A GRENOBLE,	À GRENOBLE,
Madame, Madame, ſi vous voulez batdre mon Coenei uepeemez vous sil vous plaiſt, car je le tiens à l'heuie.	Madame, Madame, si vous voulez batdre mon Coènei uepeemez -vous sil vous plaît, car je le tiens à l'heuie.
MEZETTIN.	MEZETIN.
Petit Laquais allez me chercher à dîner à la Gargoite, & faites porter du foin pour mes Chevaux.	Petit Laquais allez me chercher à dîner à la Gargoite, et faites porter du foin pour mes Chevaux.
ARLEQUIN.	ARLEQUIN.
Pour moy j’ay toû ours des vivres pour trois jours, donnez ma Cuiſine.	Pour moi j'ai toujours des vivres pour trois jours, donnez ma Cuisine.
Il tire de ſa Chaize des Serviettes, de la Vaiſſelle, un Poulet, de la ſalade, une Bouteille & des verres,	Il tire de sa Chaize des Serviettes, de la Vaisselle, un Poulet, de la salade, une Bouteille et des verres,
SCENE II.	SCÈNE II.
LE COMMISSAIRE, ARLEQUIN, MEBETTIN.	LE COMMISSAIRE, ARLEQUIN, MEBETIN.
LE COMMISSAIRE.	LE COMMISSAIRE.
URE cohuë, eſt-ce donc mes Dames, & vonid du dincerremens yuu troupeau de Bœufs, & deux Chars de foin qui ne ſçauroient paſſer, oſtez-vous de là.	URE cohue, est-ce donc mes Dames, et vonid du dincerrements yu troupeau de Bœufs, et deux Chars de foin qui ne sauraient passer, ôtez-vous de là.
RABO ETRAIVS, Oh!	RABO ETRAIUS, Oh!
bien Monſieur, je ſecheray plûtôt ſur pied que d’en branler.	bien Monsieur, je sécherai plutôt sur pied que d'en branler.
ARLEQUIN.	ARLEQUIN.
Et moy je n’en demareray pas deuſſai-je uſter la circulation de Paris.	Et moi je n'en dévarerai pas dussai-je usiter la circulation de Paris.
MEZETTIN.	MEZETIN.
Je ſouffriray bien vraiment qu’une ſousRoturiere inſulte ma Caleche en pleine ruë.	Je souffrirai bien vraiment qu'une sousRoturière insulte ma Calèche en pleine rue.
ARLEQUIN.	ARLEQUIN.
Nous verrons ſi une arriere Bourgeoiſe Esda druumsedu a Mlaeo len so dooe	Nous verrons si une arrière Bourgeoise Édà drueusedu à Mlaeo len so doe
LE COMMISSAIRE.	LE COMMISSAIRE.
Il faut trouver quelque accommodement à cela.	Il faut trouver quelque accommodement à cela.
ARLEQUIN.	ARLEQUIN.
Comment Monſieur le Praticien;	Comment Monsieur le Praticien;
eſt-ce que vous me prenez pour une femme d’accommodement?	est-ce que vous me prenez pour une femme d'accommodement?
LE COMMISSAIRE, prend les Vinaigrettes pour les faire reculer.	LE COMMISSAIRE, prend les Vinaigrettes pour les faire reculer.
Reculez-donc.	Reculez-donc.
MRENGCOMHETTIN.	MRENGCOMHÉTTIN.
Ils ſe battent & ſe decoiffent.	Ils se battent et se décoiffent.
eiti enil pl LUCRECE SEULE, Ca.	éiti enil pl LUCRECE SEULE, Ca.
NUEL' bruit injurieux oze attaquer ma gloite?	NUEL bruit injurieux oze attaquer ma gloite?
Quel horrible attentât!	Quel horrible attentât!
ô ciel le puis-je croire?	ô ciel le puis-je croire?
Quoy Tarquin mépriſant les Dieux & leurs Autels, Nourriroit dans ſon ſein des deſits erimi1112 nels, Dieux!	Quoi Tarquin méprisant les Dieux et leurs Autels, Nourrirait dans son sein des désits erimi12 nels, Dieux!
pourquoy m’accorder les traits d’un beau viſage, A moy qui ne veux point en faire aucun uſage.	pourquoi m'accorder les traits d'un beau visage, À moi qui ne veux point en faire aucun usage.
A moy qui ne veux point d’un ſoûris, d’un regard Enchaîner chaque jour quelque amant à mon chatt, A moy qui ne ſuis point de ces ſemmes coquettes, Qui tirent intereſt de leurs faveurs ſecrettes, Et mettant à proſit les charmes de leurs yeux Traſiquent un preſent qu’elles doivent aux Dieux:	À moi qui ne veux point d'un souris, d'un regard Enchaîner chaque jour quelque amant à mon chat, À moi qui ne suis point de ces semmes coquettes, Qui tirent intérêt de leurs faveurs secrètes, Et mettant à prosit les charmes de leurs yeux Trasiquent un présent qu'elles doivent aux Dieux:
Mais pourquoy faire au ciel une injuſte querelle, Des amours de Tarquin ſuis-je pas criminelle, C’eſt moy qui ce matin par des ſoins imprudens, Ay voulu me parer de ces ajuſtemens, C’eſt moy qui par ces nœuds dont l’appareil m’offenſe, De mes cheveux épars ay domptè la licence, Dangereux ornemens, pe ni-ieux attraics, Cherchez une autre main quittez-moy pour jamais, Periſſe un ornement à ma vertu contiaire, Mais quel mortel icy porte un pas temeraire.	Mais pourquoi faire au ciel une injuste querelle, Des amours de Tarquin suis-je pas criminelle, C'est moi qui ce matin par des soins imprudents, Ai voulu me parer de ces ajustements, C'est moi qui par ces nœuds dont l'appareil m'offense, De mes cheveux épars ai domptère la orne, Dangereux ornements, ni-yeux attraics, Cherchez une autre main quittez-moi pour jamais, Périsse un ornement à ma vertu contiaire, Mais quel mortel porte un pas téméraire.
SCENE IV.	SCÈNE IV.
LUCRECE, MEZETTIN en habit heroïque.	LUCRECE, MEZETIN en habit héroïque.
MEZETTIN.	MEZETIN.
Rinceſſe, pardonnez ſi d’un pas indiſcret.	Rincesse, pardonnez si d'un pas indiscret.
Y Je m’offre deyant vous crotté comme un ba bet, Excuſez ſi forcé du zele qui me preſſe.	Y Je m'offre deyant vous crotté comme un ba bet, Excusez si forcé du zèle qui me presse.
, Madame, par haz rd n’eſtes-vous point LuCee.	, Madame, par has réd n'êtes-vous point LuCée.
LUCRECE.	LUCRECE.
Ony, Scigneurs je la Iuis.	Oni, Scigneurs je la Juis.
MEZETTIN.	MEZETIN.
L’Empereur des Romains Me depéche vers vous pour vous remettre és mains Des ſignes aſſeurez de l’amour qui le perce, Un poulet des plus grands eſcorté d’un Seſterce.	L'Empereur des Romains Me dépêche vers vous pour vous remettre ès mains Des signes assurés de l'amour qui le perce, Un poulet des plus grands escorté d'un Sesterce.
Un Seſterce en François fait mil écus & ds.	Un Sesterce en Français fait mil écus et ds.
Ma Princeſſe il eſt bon de pezer là-deſſus.	Ma Princesse il est bon de pezer là-dessus.
LUCRECE.	LUCRECE.
A moy, Seigneur.	À moi, Seigneur.
Liſez.	Lisez.
MEZETTIN.	MEZETIN.
A.	A.
vous.	vous.
***.	***.
LUCRECE.	LUCRECE.
O Dieux!	Ô Dieux!
METETTIN.	METTTIN.
Sçavez-vous lire,	Savez-vous lire,
LUCRECE.	LUCRECE.
D'étounement je ne ſçaurois rien dire;	D'étounement je ne saurais rien dire;
MEZETTIN.	MEZETIN.
Ne vous y trompez pas il eſt ſigné Tarquin, Scellé de ſon grand ſceau, & plus bas Mezettin.	Ne vous y trompez pas il est signé Tarquin, Scellé de son grand sceau, et plus bas Mezettin.
LUCRECE lit.	LUCRECE lit.
Il n’eſt rien qu’en ees lieux l’amour ne voüs ſoûmette, 113 Vous remuez les cœurs par des reſſoris ſecrets.	Il n'est rien qu'en ces lieux l'amour ne ès soumette, 113 Vous remuez les cœurs par des ressoris secrets.
En argent bien comptant je compte la fleurette, Et je ne prens pas garde aux frais.	En argent bien comptant je compte la fleurette, Et je ne prends pas garde aux frais.
Le ſtile en eſt preſſant.	Le style en est pressant.
1e.	1e.
MEZETTIN.	MEZETIN.
Et ſur tout Laçonique:	Et sur tout Laçonique:
Mais m’eux que ce papiel eette bourſe s’explique.	Mais m'eux que ce papiel cette bourse s'explique.
io	jo
0& HumA Que dites-vous, Seigneur, l’ay-je bien entendu, Connoiſt.	>0 HumA Que dites-vous, Seigneur, l'ai-je bien entendu, Connaît.
il bien Lucrece?	il bien Lucrece?
.	.
MEZETTIN.	MEZETIN.
E ouy, que je ſois pendu, Haut & court par mon col, il vous connoiſt, Madame.	E oui, que je sois pendu, Haut et court par mon col, il vous connaît, Madame.
Jugez en ce moment de l’excez de ſa flâme Dachepter des faveurs trois cens Loüis comptans, Qu’il pourroit obtenir ailleurs pour quinze francs,	Jugez en ce moment de l'excès de sa flamme Dachepter des faveurs trois cens Loüis comptant, Qu'il pourrait obtenir ailleurs pour quinze francs,
LUCRECE.	LUCRECE.
N’étoit tout le reſpect que j’ay pour voſtra Maiſtie, Vous poulkes bien, spigneur, ſortir par la feneſtre.	N'était tout le respect que j'ai pour vostra Maîtie, Vous poulées bien, spigneur, sortir par la fenêtre.
MELEPEIN.	MELÉPEIN.
Moy, Madame.	Moi, Madame.
LUCRECE.	LUCRECE.
Ouy, Scigueur, car ennu pour le Roy, Vous vous chargez icy d’un foit vilain employ.	Oui, Sigueur, car ennu pour le Roi, Vous vous chargez ici d'un soit vilain emploi.
MELETIIN.	MELETIN.
C’eſt l’employ le plus ſeur pour bruſquer la fortune.	C'est l'emploi le plus sûr pour brusquer la fortune.
LUCRECE.	LUCRECE.
Seigneur, voſtre preſence en ces lieux m’importune, Allez, retirez-vous.	Seigneur, votre présence en ces lieux m'importune, Allez, retirez-vous.
MEZETTIN.	MEZETIN.
Voici Tarquin qui vien, Faites voſtre devoir je vais faire le mien;	Voici Tarquin qui viens, Faites votre devoir je vais faire le mien;
Souvenez-vous toûjours, Beauté trop deſſalée, Quand on reçoit l’argent que l’on eſt entôl.	Souvenez-vous toujours, Beauté trop dessalée, Quand on reçoit l'argent que l'on est entôl.
lée.	lée.
SCENEV.	SCENEU.
TARQUIN, LUCRECE, MEZETTIN.	TARQUIN, LUCRECE, MEZETIN.
Gardes.	Gardes.
TARQUIN.	TARQUIN.
Vant que de venir vous découvrir mon cœur, J'ay fait ſonder le guet pat mon Ambaſſadeur, Mon Gaide du Tréſor l’a fait partir en poſte;	Vant que de venir vous découvrir mon cœur, J'ai fait sonder le guet pat mon Ambassadeur, Mon Gaide du Trésor l'a fait partir en poste;
Auſſi ſans un moment douter de la Ripoſte, Et pouſſé des tranſports d’un feu ſeditieux, Je me luis tranſporté moy-même, ſur les Lieux.	Aussi sans un moment douter de la Riposte, Et poussé des transports d'un feu séditieux, Je me luis transporté moi-même, sur les Lieux.
Mon amour à la fin a rompu ſa gourmette, Et mon Valet-de-Chainbre appotte ma Toilette.	Mon amour à la fin a rompu sa gourmette, Et mon Valet-Chainbre appotte ma Toilette.
LUCRECE.	LUCRECE.
Seigneur, que ce diſcouis pour Lucroce eſt nouveau, Moy que l’on vit dans Rome au ſortir du Berceau, Eſtre un exemple à tous d’honneur & de ſageſſe.	Seigneur, que ce discouis pour Lucroce est nouveau, Moi que l'on vit dans Rome au sortir du Berceau, Être un exemple à tous d'honneur et de sagesse.
TARQUIN.	TARQUIN.
On peut bien en ſa vie avoir une foibleſſe, Le Soleil quelque fois s’éclipſe dans les Cieux, Et n’en eſt pas moins pur revenant à nos yeux;	On peut bien en sa vie avoir une faiblesse, Le Soleil quelque fois s'éclipse dans les Cieux, Et n'en est pas moins pur revenant à nos yeux;
Plus d’une femime ici, dout la vertu je gage, A ſouffert mainte Eclypſe, y paſſe encor pour lagc.	Plus d'une femime ici, dout la vertu je gage, A souffert mainte Eclypse, y passe encor pour lagc.
Toute l’adreſſe giſt à bien cacher ſon jeu;	Toute l'adresse gît à bien cacher son jeu;
Vous pouvez avec moy tarquiniſer un peu,	Vous pouvez avec moi tarquiniser un peu,
LUGREOE.	LUGREOE.
Quoy donc;	Quoi donc;
oubliez-vous, Seigneur, quelle eſt Lucrece?	oubliez-vous, Seigneur, quelle est Lucre?
TARQUIN.	TARQUIN.
Oüy, je veux l’oublier, car enfin, ma Print ceſſe, Quand on peut regarder ce Corſage joly, Ce minois ſi bien peint, ce cuir frais & poli, Cette bouche, ces dents, cette vive prus nelle, Qui comme un gros Rubis charme, brille.	Oui, je veux l'oublier, car enfin, ma Print cesse, Quand on peut regarder ce Corsage joli, Ce minais si bien peint, ce cuir frais et poli, Cette bouche, ces dents, cette vive prus nelle, Qui comme un gros Rubis charme, brille.
étincelle.	étincelle.
Sur tout ces petits monts faits d’un cettait.	Sur tout ces petits monts faits d'un cettait.
metail, Tenus ſur l’eſtomac par deux clouds de corail;	métail, Tenus sur l'estomac par deux clouds de corail;
Ça.	Ça.
Qu'on a vû ce nez, ce .	Qu'on a vu ce nez, ce .
Ah Divine Princeſſe, On oublie aiſement que vous eſtes Lucrece, Pour ſe ieſſouvenir qu’en ce preſſant deſtin, Toute Luerece eſt femme, & tout homme ent laſquiſe Il luy baiſe la main,	Ah Divine Princesse, On oublie aisément que vous êtes Lucrece, Pour se jessouvenir qu'en ce pressant destin, Toute Luerece est femme, et tout homme ent sise Il était baise la main,
LUCRECE.	LUCRECE.
Queue eudtejine du Gale eauel amoui temeraire?	Queue eutejine du Gale eauel amoui téméraire?
Seigueur, que faites-vous.	Seigueur, que faites-vous.
3.	3.
TARQUI N.	TARQUI N.
Mojus que je ne veux faire.	Mojus que je ne veux faire.
D’un amour clandeſt n'mon ſoye eſt riſſolé.	D'un amour clandest n'mon soie est rissolé.
Juſques aux inieſtins ie me ſens greſillé.	Jusqu' aux injestins ie me sens gresillé.
ain:	ain:
mnauame, iouitiez qu’avec vous j’eſcarmouche;	mnaume, jouitiés qu'avec vous j'escarmouche;
Que d’appas, que d’attraits, l’eau m’en vient à li bouche.	Que d'appas, que d'attraits, l'eau m'en vient à li bouche.
Lpti ?	Lpti ?
a i2	a j2
LUCRECE.	LUCRECE.
On pourroit par bonté d’un amour mutuel.	On pourrait par bonté d'un amour mutuel.
Mais, Soigheur, vous allez d’acord au cris miuel.	Mais, Soigheur, vous allez d'acord au cris mivel.
21.	21.
TARQUIN.	TARQUIN.
Madame, j’ayme en Roy, cela veut dire en maiſtre.	Madame, j'aime en Roi, cela veut dire en maître.
Ma tendreſſe eſt avide & veut de quoy repaiſtre.	Ma tendresse est avide et veut de quoi repaître.
Un ſoûris, un regard’affriole un Amant, analsecit viuude stop ciede untou anour gourmand.	Un souris, un regard'affriole un Amant, analsecit vivude stop cide untou anour gourmand.
LUCRECE.	LUCRECE.
Seigneur, à quelque excez vous porterez iroz ame.	Seigneur, à quelque excès vous porterez iroz âme.
TARQUIN.	TARQUIN.
Madame, à quelque excez vous pouſſerez ma flâme;	Madame, à quelque excès vous pousserez ma flamme;
dideu de Mep loengeure veue cutez mon feu.	didu de Mep loengeure vue cutez mon feu.
J'ay trop fait pour titer mon épingle du jeu.	J'ai trop fait pour titer mon épingle du jeu.
LUCRECE.	LUCRECE.
Avant qu'à tes deſſeins mon cœur ſe détermine, Ce fer de mille coups m’ouvrira la poitrine.	Avant qu'à tes desseins mon coeur se détermine, Ce fer de mille coups m'ouvrira la poitrine.
TARQUIN.	TARQUIN.
Il n’eſt pas encor temps d’accomplir ce deſir, Vous vous poignarderez tantoſt tout à loiſir.	Il n'est pas encor temps d'accomplir ce désir, Vous vous poignarderez tantôt tout à loisir.
LUCRECE.	LUCRECE.
Quoy!	Quoi!
Seigneur, ia vertu cette fleur immortelle.	Seigneur, ja vertu cette fleur immortelle.
belle.	belle.
TARQUIN.	TARQUIN.
Holà, Gatdes.	Holà, Gatdes.
à moy.	à moi.
MEZETTIN.	MEZETIN.
3 Que voulez-vous, Seigneur?	3 Que voulez-vous, Seigneur?
LUCRECE.	LUCRECE.
Puiſque rien ne ſçauroit atêter ta fureur, Approche, & vois en moy l’action la plus rare Dont jamais l'Univers ait oüi parler.	Puisque rien ne saurait atêter ta fureur, Approche, et vois en moi l'action la plus rare Dont jamais l'Univers ait ouï parler.
Barbare, .	Barbare, .
Contre tes noirs deſſeins en vain j’ay combattu;	Contre tes noirs desseins en vain j'ai combattu;
En blen:	En blen:
conhols Luelece & toute ſa vertu.	conhols Luelece et toute sa vertu.
Elle ſe tuë.	Elle se tue.
12 TARQUIN.	12 TARQUIN.
Que vois-je?	Que vois-je?
Juſte Ciel l.	Juste Ciel l.
MEZETTIN.	MEZETIN.
Bon ce n’eſt que pour rire.	Bon ce n'est que pour rire.
TARQUIN.	TARQUIN.
i) 2l.	y) 2l.
se Phr Non la peſte m’étouffe, elle tombe, elle exire.	se Phr Non la peste m'étouffe, elle tombe, elle exire.
Et c’eſt moy Dieux cruels qui ſuis ſon aſ22 ſaſſin, dans le ſein.	Et c'est moi Dieux cruels qui suis son as2 sassin, dans le sein.
Que la terre irritée aprés tant d’injuſtice, S’ouvre pour m’engloûtir dans ſes cteux precipices Que la toudre du ciel ſur moy tombe en éclats;	Que la terre irritée aprés tant d'injustice, S'ouvre pour m'engloutir dans ses cteux précipices Que la toudre du ciel sur moi tombe en éclats;
Mais quoy, pour me punir n’ay- je donc pas un bras, Que ee poignard encor tout fumant de ſageſſe, Immole en même temps & Tarquin & Lucrece, Frappons ce lache cœur qui me retient la main, Perçons.	Mais quoi, pour me punir n'ai- je donc pas un bras, Que ce poignard encor tout fumant de sagesse, Immole en même temps et Tarquin et Lucrece, Frappons ce lache cœur qui me retient la main, Perçons.
, non.	, non.
, remettons cette affaire à demain:	, remettons cette affaire à demain:
Je ſens mollir mon bras, je ſens couler mes larmes, Et ma main de foibleſſe abandonne les armes.	Je sens mollir mon bras, je sens couler mes larmes, Et ma main de faiblesse abandonne les armes.
Je deviens tout perplex, viens-t’en me ſoûtenir:	Je deviens tout perplex, viens-t-en me soutenir:
O temps!	Ô temps!
ôſiecle!	ôsiecle!
ô mœurs!	ô mœurs!
que dira l’avenir, D'un chimerique honneur le ſexe s’infatuë, Plûtoſt que forligner une femme ſe tuë Ah!	que dira l'avenir, D'un chimérique honneur le sexe s'infatue, Plutôt que forligner une femme se tue Ah!
Lucrece mamour vous donnez aujourd’huy Un exemple étonnant qui ſera peu ſuivy.	Lucrece mamour vous donnez aujourd'hui Un exemple étonnant qui sera peu suivi.
.	.
MEZETTIN.	MEZETIN.
Pleurez, Seigneur,pleurez l’effet de vos fiedaiſles.	Pleurez, Seigneur,pleurez l'effet de vos fiedaisles.
TARQUIN.	TARQUIN.
Ah toy qui ſçais pleurer, épargnes-m’en les .	Ah toi qui sais pleurer, épargnes-m'en les .
peines.	peines.
MEZETTIN.	MEZETIN.
Chantez du moms du an lat lon triſte tombeau.	Chantez du moments du an lat lon triste tombeau.
TARQUIN.	TARQUIN.
C’eſt à toy bien plûtoſt d’enfler ton chalumeau.	C'est à toi bien plutôt d'enfler ton chalumeau.
40 clsbente.	40 clsbente.
Car je t’ay pris pour mon valet.	Car je t'ai pris pour mon valet.
A cauſe de ton Flageollet.	À cause de ton Flageollet.
MEZETTIN chante.	MEZETIN chante.
Car il m’a pris pour ſon valet A caule de mon Flageollet	Car il m'a pris pour son valet A caule de mon Flageollet
ACTE TROISIEME.	ACTE -TROISIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARLEGUIN.	ARLEGUIN.
LE DOCIEUR.	LE DOCIEUR.
ARLEQUIN.	ARLEQUIN.
EST icy qu’en voit ce qu’il y a de & plus curieux à la Foire.	EST ici qu'en voit ce qu'il y a de et plus curieux à la Foire.
Sauts perilleux.	Sauts périlleux.
Un Greffier qui ſaute à pieds joints pardeſſus la Juſtice.	Un Greffier qui saute à pieds joints pardessus la Justice.
Une femme de cinquante-ans qui ſaute à reculons à vingt- cinq.	Une femme de cinquante-ans qui saute à reculons à vingt- cinq.
Une jeune perſonne qui ſaute de l'état de fille à celuy de veuve ſans avoir paſſé par le Mariage.	Une jeune personne qui saute de l'état de fille à celui de veuve sans avoir passé par le Mariage.
Un Baſque qui du derriere d'un Cairoſſe ſaute dedans ſans attraper la rouë.	Un Basque qui du derrière d'un Cairosse saute dedans sans attraper la roue.
Monſtres naturels, un animal moitié Medecin de la ceinture en haut, & moitié Mule de la ceinture en bas, avec un autre animal moitié Avocat, & moitié petir Maiſtre.	Monstres naturels, un animal moitié Médecin de la ceinture en haut, et moitié Mule de la ceinture en bas, avec un autre animal moitié Avocat, et moitié petir Maître.
Un Autropophage qui mange les hommes tous crûs, & qui n’a plus faim dés uiſvoit des femmes.	Un Autrophage qui mange les hommes tous crus, et qui n'a plus faim ès uisvoit des femmes.
Ouvrages merveilleux, un Sac fait à l’éguille, contenant le procés d’un bas Normand commencé ſous Richard ſans peur premier Duc de Normandie.	Ouvrages merveilleux, un Sac fait à l'éguille, contenant le procès d'un bas Normand commencé sous Richard sans peur premier Duc de Normandie.
Le Coftre fort d’un Gaſcoi pezant trois grains de bled avec tout ce qui eſt dedans;	Le Coftre fort d'un Gascoi pezant trois grains de bled avec tout ce qui est dedans;
mais!	mais!
ce qu’il y a de plus curieux c’eſt une Pendule qui marque l’heure d’emprunter, & jamais celle de paver, Ouvrage tres-utile pour quantité d’Officiers re venus de l’armée.	ce qu'il y a de plus curieux c'est une Pendule qui marque l'heure d'emprunter, et jamais celle de paver, Ouvrage très -utile pour quantité d'Officiers re venus de l'armée.
LE DOCT.	LE DOCT.
EUR.	EUR.
quepouovoncauuleque couz avoir une à quel prix que ce ſoit.	quepouovoncauuleque couz avoir une à quel prix que ce soit.
ARLEQUIN.	ARLEQUIN.
A prefent ces Ouvrages là ne ſe vendent plus, on en fait les Louteries, & depuis qu’on ne uome pias de jettons dans les compagnies, ce ſont les Orlogers qui les diſtribuënt.	À présent ces Ouvrages là ne se vendent plus, on en fait les Louteries, et depuis qu'on ne ome pias de jetons dans les compagnies, ce sont les Orlogers qui les distribuënt.
LEDOCIEON.	LÉDOCIEON.
Eh bien je prendray des billets de Lotterie.	Eh bien je prendrai des billets de Lotterie.
ARLEQUIN.	ARLEQUIN.
Vous ferez fort bien, vous avez la Phiziouomie heureuſe, & je crois que vous gagnerez le gros Lot.	Vous ferez fort bien, vous avez la Phiziouomie heureuse, et je crois que vous gagnerez le gros Lot.
Voilà le Cadran du Zodiaque.	Voilà le Cadran du Zodiaque.
On ouvre.	On ouvre.
LE DOCTEUR.	LE DOCTEUR.
Ah ah!	Ah ah!
je vois dans voſtre Zodiaque des ſignes que je ne conuois point.	je vois dans votre Zodiaque des signes que je ne convois point.
ARLEQUIN.	ARLEQUIN.
Ce ſont tous ſignes ſimboliques & miſtetieux que j’ay mis à la place des anciens, je teforme le Lodiaque comme il me plaiſt.	Ce sont tous signes symboliques et mistetieux que j'ai mis à la place des anciens, je teforme le Lodiaque comme il me plaît.
LE DOCTEUR.	LE DOCTEUR.
oubutune qupavoir mis un Procuteur parmy les aſtres.	oubutune qupavoir mis un Procuteur parmi les astres.
ARLEQUIN.	ARLEQUIN.
C’eſt moy qui l’ay mis à la place du Cancre.	C'est moi qui l'ai mis à la place du Cancre.
Celuy que vous voyez en ſigne, Eſtoit un Procureur iuſigne Que je nommai cancre ou vilain, Pour m’avoir fait mouiir de faim Quand j’étois Clerc ſous ſa ferulle, On euteudoit à la peuaule Sonner l’heure du coucher Avant celle du ſouper.	Celui que vous voyez en signe, Était un Procureur iusigne Que je nommai cancre ou vil, Pour m'avoir fait mouiir de faim Quand j'étais Clerc sous sa ferlle, On euteudait à la peuaule Sonner l'heure du coucher Avant celle du souper.
LE DOCTEUR.	LE DOCTEUR.
Qu’eſt-ce que c’eſt que cette fille avec un trebuchet à la main?	Qu'est-ce que c'est que cette fille avec un trébuchet à la main?
ARLEQUIN.	ARLEQUIN.
Au lieu de ſigne on a pris ſoin, De mettre en cet endroit l’Epiciere du coin, La Balance autrefois ſervoit à la Juſt:	Au lieu de signe on a pris soin, De mettre en cet endroit l'Épicière du coin, La Balance autrefois servait à la Jut:
ce, Maintenant au Palais ce meuble eſt ſuperflus, Et l’on ne s’en ſert preſque plus, Qu’à pezer le ſucre & l’épice.	ce, Maintenant au Palais ce meuble est superflus, Et l'on ne s'en sert presque plus, Qu'à pezer le sucre et l'épice.
LE DOCTEUR.	LE DOCTEUR.
Eh.	Eh.
voiſa un homme qui me reſſemble.	voisa un homme qui me ressemble.
ARLEQUIN.	ARLEQUIN.
C'eſt le Caprieorne.	C'est le Capprieorne.
Quoique ce Chef cornu contienne une Satire, Je ne veux tien vous dire, Sur un ſujet ſi beau Pour un' Epoux content que mes vers feroient rire, Mille enrageroient dans leur peau.	Quoique ce Chef cornu contienne une Satire, Je ne veux tien vous dire, Sur un sujet si beau Pour un Époux content que mes vers feraient rire, Mille enrageraient dans leur peau.
LE DOCTEUR.	LE DOCTEUR.
Y a-t-il des malades dans le Firmament, Que j'y vois un Carabinier de la faculté.	Y a-t-il des malades dans le Firmament, Que j'y vois un Carabinier de la faculté.
ARLEQUIN.	ARLEQUIN.
J'ay mis au lieudu Sagittaire Ce venstable Aporiquaite, Tout viſage ſans nez fiemit à ſon aſpest.	J'ai mis au lieudu Sagittaire Ce venstable Aporiquaite, Tout visage sans nez fiemit à son aspest.
ẽt ly s’agnoüillaut de cirile maniere misa ſuane avuasestece	Ut li s'agnoüillaut de cirile manière misa suane avuasestece
LE DOCTEUR.	LE DOCTEUR.
Eſt-ce qu’il y a quelque ſigne de mort que je vois une place vaquante.	Est-ce qu'il y a quelque signe de mort que je vois une place vaquante.
ARLEQUIN.	ARLEQUIN.
l’ay cherché vainement par tout noſtre Hemiſphere, Une fille pour mettre au ſigne de Virge;	l'ai cherché vainement par tout notre Hémisphère, Une fille pour mettre au signe de Virge;
Mais par le premier ordinaire Il m’en vient uns de Congo.	Mais par le premier ordinaire Il m'en vient uns de Congo.
Que unes-vous de ces Gemcaul-lat	Que unes-vous de ces Gemcaulat
LE DOCTEUR.	LE DOCTEUR.
Octave & Angelique qui s’embraſſent.	Octave et Angélique qui s'embrassent.
ARLEQUIN.	ARLEQUIN.
Vous l’avez dit Docteur les Gemini ſont morts;	Vous l'avez dit Docteur les Gemini sont morts;
Mais ces deux grands Gemeaux que vous voyez paroiſtre, Ne faiſant plus qu’un en deux corps Malgré vous en feront renaiſtre.	Mais ces deux grands Gemeaux que vous voyez paraître, Ne faisant plus qu'un en deux corps Malgré vous en feront renaître.
Mx M d eso Allez-vous en au diable avec voſtre Lodiaque.	Mx M ô Allez-vous en au diable avec votre Lodiaque.
ARLEQUIN.	ARLEQUIN.
Tour vous detienee je d’en vais vous ſaire entendre mon carillon.	Tour vous détiene je d'en vais vous zaïre entendre mon carillon.
Le Temps ſe détache & chante.	Le Temps se détache et chante.
LE TEMPS.	LE TEMPS.
Ton temps, ton temps eſt paſſé, Ton timb.	Ton temps, ton temps est passé, Ton timb.
ton timbre eſt caſſé, Tu t’en tu t’en vas ſinir ta catriere, Ne prens point de femme;	ton timbre est cassé, Tu t'en tu t'en vas sinir ta catrière, Ne prends point de femme;
car Au lieu de ſonner l’heure entiere Ta ne ſonncrois que le quart.	car Au lieu de sonner l'heure entière Ta ne sonncrais que le quart.
LE CAPVERD.	LE CAPVERD.
SCENE I.	SCÈNE I.
ARLEQUIN, en Empereur Mh etl iers.	ARLEQUIN, en Empereur Mh etl jers.
E ſuis Prince de la verdure, J Le Teinturier en verd de toute la natute, On ne me prend jamais ſans verd;	E suis Prince de la verdure, J Le Teinturier en verd de toute la natute, On ne me prend jamais sans verd;
Singes & Perroquets ſont ſous ma Seigneurie, Roy des Serins de Canarie;	Singes et Perroquets sont sous ma Seigneurie, Roi des Serins de Canarie;
Je m’appelle en un mot l’Empereur du Cap Verd.	Je m'appelle en un mot l'Empereur du Cap Verd.
Je bois pour me tenir toûjours la teſte verte;	Je bois pour me tenir toujours la tête verte;
Vin de Vauver, Verjus, Verdée & Ver-degris Chez moy les Ragoûts ſont vernis, Tout s’y mange à la ſauce verte;	Vin de Vauver, Verjus, Verdée et Ver-degris Chez moi les Ragoûts sont vernis, Tout s'y mange à la sauce verte;
Et mon Cuiſinier depuis peu Fut pendu par mon ordre en la place publique, Pour m’avoir à ſoupé contre ma politique, Fait ſervir une Carpe au bleu.	Et mon Cuisinier depuis peu Fut pendu par mon ordre en la place publique, Pour m'avoir à soupé contre ma politique, Fait servir une Carpe au bleu.
C’eſt ici que l’on voit un Serail à loüer, Femme à vendte ou Femme à donner.	C'est ici que l'on voit un Serail à louer, Femme à vendte ou Femme à donner.
