PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
Le moyen;	Le moyen;
ne dites-vous pas que l’aſcendant;	ne dites-vous pas que l'ascendant;
eſt plus fort que tout;	est plus fort que tout;
& s’il eſt écrit dans les Aſtres, que je ſois enclin à parler de vous, comment voulez vous que je relſte à ma deſtinée?	et s'il est écrit dans les Astres, que je sois enclin à parler de vous, comment voulez -vous que je relste à ma destinée?
ANAXARQUE.	ANAXARQUE.
Avec tout le reſpect, Madame, que je vous dois;	Avec tout le respect, Madame, que je vous dois;
il y a une choſe qui eſt fâcheuſe dans vôtre Cour, que tout le monde y prenne liberté de parier, ce que le plus nomeite homme y ſoit expoſé aux railleries du premier méchant plaiſant.	il y a une chose qui est fâcheuse dans votre Cour, que tout le monde y prenne liberté de parier, ce que le plus noméite homme y soit exposé aux railleries du premier méchant plaisant.
LITIDAS.	LITIDAS.
Je vous rends grace de l’honneur.	Je vous rends grâce de l'honneur.
ARISTIONE.	ARISTIONE.
Que vous eſtez fou, de vous chagriner de ce qu’il dit.	Que vous estez fou, de vous chagriner de ce qu'il dit.
LITIDAS.	LITIDAS.
Avec tout le reſpect que je dois à Madame, il y a une choſe qui m’étonne dans l’Aſtrologie, comment des gens qui ſçavent tous les ſecrets des Dieux, & qui poiſedent des connoiſſances à ſe mettre au deſſus de tous les hommes, ayent beſoin de faire leur Cour, & de demander quelque choſe.	Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'Astrologie, comment des gens qui savent tous les secrets des Dieux, et qui poisédent des connaissances à se mettre au dessus de tous les hommes, aient besoin de faire leur Cour, et de demander quelque chose.
ANAXARQUE.	ANAXARQUE.
Vous devriez gagner un peu mieux vôtre argent, & donner à Madame de mellieures plaiſanteries.	Vous devriez gagner un peu mieux votre argent, et donner à Madame de mellieures plaisanteries.
LITIDAS.	LITIDAS.
Ma foy, on les donne telles qu’on peut.	Ma foi, on les donne telles qu'on peut.
Vous en parlez fort à vôtre ayſe, & le meſtier de plaiſant n’eſt pas comme celuy d’Aſtrologue.	Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'Astrologue.
Bien mentir, & bien plaiſanter ſont deux choſes fort differentes, & il eſt bien plus facile de tromper les gens, que de les faire rire.	Bien mentir, et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens, que de les faire rire.
RISTIONE.	RISTIONE.
Eh, qu’eſt-ce donc que cela veut dire?	Eh, qu'est-ce donc que cela veut dire?
CLI	CLI
CLIT I DAS ſe parlant à luy-meſme.	CLIT I DAS se parlant à notre-même.
Paix, impertinent que vous eſtes.	Paix, impertinent que vous êtes.
Ne ſçavezvous pas bien que l’Aſtrologie eſt une affaire d’Eſtat, & qu’il ne faut point toucher à cette corde là.	Ne sçavezvous pas bien que l'Astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde là.
Je vous l’ay dit pluſieurs ſois, vous vous émancipez trop, & vous prenez de certaines libertez qui vous jouëront un mauvais tour;	Je vous l'ai dit plusieurs sois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour;
je vous en avertis.	je vous en avertis.
Vous verrez qu’un de ces jours on vous donnera du pied au cul, & qu’on vous chaſſera comme un faquin, taiſez-vous ſi vous eſtes ſage.	Vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin, taisez-vous si vous êtes sage.
ARISTIONE.	ARISTIONE.
Où eſt ma Fille?	Où est ma Fille?
1 M d e h A 9.	1 M d ès ha A 9.
Madame, elle s’eſt écartée, & je luy ay preſenté une main qu’elle a refuſé d’accepter.	Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter.
AR ISTIONE.	AR ISTIONE.
Princes, puiſque l’amour que vous avez pour Eriphile, a bien voulu ſe ſoûmettre aux loix que j’ay voulu vous impoſer, puiſque j’ay ſȩû obtenir que vous fuſſiez Rivaux ſans devenir ennemis, & qu’avec pleine ſoûmiſſion aux ſehtimens de ma Fille, vous attendez un choix dont je I’ay faite ſeule maiſtreſſe, ouvrez moy tous deux le fond de vôtre ame, & me dites ſincerement quel progrez vous croyez l’un & l’autre avoir fait ſur ſon cœur.	Princes, puisque l'amour que vous avez pour Eriphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir que vous fussiez Rivaux sans devenir ennemis, et qu'avec pleine soumission aux sehtiments de ma Fille, vous attendez un choix dont je J'ai faite seule maîtresse, ouvrez moi tous deux le fond de votre âme, et me dites sincèrement quel progriez vous croyez l'un et l'autre avoir fait sur son cœur.
IMOCLES.	JMOCLES.
Madame, je ne ſuis point pour me flater, j’ay fait ce que j’ay pû pour toucher le cœur de la Princeſſe Eriphile, & je m’y ſuis pris que je croy de toutes les tendres manieres, dont un Amant ſe peut ſervir.	Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le cœur de la Princesse Ériphile, et je m'y suis pris que je crois de toutes les tendres manières, dont un Amant se peut servir.
Je luy ay fait des hommages ſoûmis de tous mes vœux;	Je te ai fait des hommages soumis de tous mes vœux;
j’ay montré des aſſiduitez;	j'ai montré des assiduités;
j’ay rendu des ſoins chaque jour;	j'ai rendu des soins chaque jour;
j’ay fait chanter ma paſſion aux voix les plus touchantes, & l’ay fait exprimer en Vers aux plumes les plus délicates:	j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai fait exprimer en Vers aux plumes les plus délicates:
je me ſuis plaint de mon martyre en des termes paſſionnez;	je me suis plaint de mon martyre en des termes passionnés;
j'ay fait dire à mes yeux auſſi bien qu’à ma bouche le deſeſpoir de mon amour;	j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour;
j’ay pouſſé à ſes pieds des ſoûpirs languiſſants;	j'ai poussé à ses pieds des soupirs languissants;
j’ay meſme répandu des larmes, mais tout cela inutilement, & je n’ay point connu qu’elle ait dans l’ame aucun reſſentiment de mon ardeur.	j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur.
al l da lae n ne Et vous Prince?	al l âla la ne ne Et vous Prince?
IPHICRATE.	IPHICRATE.
Pour moy, Madame, connoiſſant ſon indifference, & le peu de cas qu’elle fait des devoirs qu’on Iuy rend, je n’ay voulu perdre auprés d’elle, ny plaintes, ny ſoûpirs, ny larmes Je ſçay qu’elle eſt toute ſoûmiſe à vos volontez, & que ce n’eſt que de vôtre main ſeule qu’elle voudra prendre un époux.	Pour moi, Madame, connaissant son indifférence, et le peu de cas qu'elle fait des devoirs qu'on Jui rend, je n'ai voulu perdre auprès d'elle, ni plaintes, Seigneur soupirs, ni larmes Je sais qu'elle est toute soumise à vos volontés, et que ce n'est que de votre main seule qu'elle voudra prendre un époux.
Auſſi n’eſt ce qu’à vous que je m’adreſſe pour l’obtenir, à vous plûtôt qu’a elle que je rends tous mes ſoins & tous mes hommages.	Aussi n'est ce qu'à vous que je m'adresse pour l'obtenir, à vous plutôt qu'a elle que je rends tous mes soins et tous mes hommages.
Et plut au Ciel, Madame, que vous euſſiez pu vous reſoudre à teiiir ſa plâce;	Et plut au Ciel, Madame, que vous eussiez pu vous résoudre à teiir sa plâce;
que vous euſſiez voulu joüir des conqueſtes que vous luy faites, & recevoir pour vous les vœux que vous luy renvoyez.	que vous eussiez voulu jouir des conquêtes que vous lui faites, et recevoir pour vous les vœux que vous lui renvoyez.
ARISTIONE.	ARISTIONE.
Prince, le compliment eſt d’un Amant adroit, & vous avez entendu dire qu’il faloit cajoler les meres pour obtenir les filles;	Prince, le compliment est d'un Amant adroit, et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles;
mais icy par malheur tout cela devient inutile, & je me ſuis engagee à laiſler le choix tout entier à l’inclination de ma fille.	mais ici par malheur tout cela devient inutile, et je me suis engage à laisler le choix tout entier à l'inclination de ma fille.
PHICRATE.	PHICRATE.
Quelque pouvoir que vous luy donniez pour ce choix, ce n’eſt point compliment Madame, que ce que je vous dy.	Quelque pouvoir que vous lui donniez pour ce choix, ce n'est point compliment Madame, que ce que je vous dis.
Je ne recherche la Princeſſe Eriphile, que parce qu’elle eſt vôtre ſang;	Je ne recherche la Princesse Ériphile, que parce qu'elle est votre sang;
je la trouve charmante par tout ce qu’elle tient de vous, & c’eſt vous que j’adore;	je la trouve charmante par tout ce qu'elle tient de vous, et c'est vous que j'adore;
en elle.	en elle.
ARISTIONE.	ARISTIONE.
vona qui elt loit blen.	vona qui ellet loit blen.
IPHICRATE.	IPHICRATE.
Oüy, Madame, toute la terre voit en vous des attraits & des charmes que je.	Oui, Madame, toute la terre voit en vous des attraits et des charmes que je.
ARISTIONE.	ARISTIONE.
De grace, Prince, oſtons ces charmes & ces attraits, vous ſçavez que ce ſont des mots que je retranche des complimens qu’on me veut faire.	De grâce, Prince, ôtons ces charmes et ces attraits, vous savez que ce sont des mots que je retranche des compliments qu'on me veut faire.
je ſouffre qu’on me louë de ma ſincerité, qu’on diſe que je ſuis une bonne Princeſſe, que j’ay de la parole pour tout le monde, de la chaleur pour mes amis, & de l’eſtime pour le merite & la vertu;	je souffre qu'on me loue de ma sincérité, qu'on dise que je suis une bonne Princesse, que j'ai de la parole pour tout le monde, de la chaleur pour mes amis, et de l'estime pour le mérite et la vertu;
je puis taſter de tout cela;	je puis tâter de tout cela;
mais pour les douceurs de charmes & d’attraits je ſuis bien ayſe qu’on ne m’en ſerve point, & quelque verité qur loj pau dencomtier, on don ranre quelque ſcrupule d’en goûter la loüange, quand on eſt mere d’une fille comme la mienne.	mais pour les douceurs de charmes et d'attraits je suis bien aise qu'on ne m'en serve point, et quelque vérité qur loj au dencomptier, on don ranre quelque scrupule d'en goûter la louange, quand on est mère d'une fille comme la mienne.
PHICRATE.	PHICRATE.
An!	An!
Madame, c’eit vous qui voulez eſtre mere malgré tout le monde, il n’eſt point d’yeux qui ne s’y oppoſent, & ſi vous le vouliez la Princeſſe Eriphile ne ſeroit que vôtre ſœur.	Madame, c'it vous qui voulez être mère malgré tout le monde, il n'est point d'yeux qui ne s'y opposent, et si vous le vouliez la Princesse Eriphile ne serait que votre sœur.
ARISTIONE.	ARISTIONE.
Mon Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la pluſpart des Femmes;	Mon Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la plupart des Femmes;
je veux eſtre mere, parce que je la ſuis, & ce ſeroit en vain que je ne la voudrois pas eſtre.	je veux été mère, parce que je la suis, et ce serait en vain que je ne la voudrais pas été.
Ce titre n’a rien qui me chocque, puiſque de mon conſentement je me ſuis expoſée à le rece.	Ce titre n'a rien qui me chocque, puisque de mon consentement je me suis exposée à le rece.
voir, c’eſt un foible de nôtre ſexe, dont grace au Ciel je ſuis exempte, & je ne m’embaraſſe point de ces grandes diſputes d’âge ſurquoy nous voyons tant de folles.	voir, c'est un faible de notre sexe, dont grâce au Ciel je suis exempte, et je ne m'embarrasse point de ces grandes disputes d'âge surquoy nous voyons tant de folles.
Revenons à notre diſcours.	Revenons à notre discours.
Eſt-il poſſible que juſqu’icy vous n’ayez pû connoiſtre où panche l’inclination d’Eriphile?	Est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'Ériphile?
IPHI	IPHI
IPRICRATE.	IPRICRATE.
Ce ſont obicuritez pour Inioy.	Ce sont obicurités pour Inioi.
TIMOCLES.	TIMOCLES.
C’eſt pour moy un myſtere impenetrable.	C'est pour moi un mystère impénétrable.
ARISTIONE.	ARISTIONE.
La pudeur peut-eſtre l’empeſche de s’expliquer à vous & à moy, ſervons-nous de quelque autre pour découvrir le ſecret de ſon cœur.	La pudeur peut-être l'empêche de s'expliquer à vous et à moi, servons-nous de quelque autre pour découvrir le secret de son cœur.
Soſtrate, prenez de ma part cette commiſſion, & rendez cet office à ces Princes, de ſçavoir adroitement de ma Fille vers qui des deux ſes ſentimens peuvent tourner.	Sostrate, prenez de ma part cette commission, et rendez cet office à ces Princes, de savoir adroitement de ma Fille vers qui des deux ses sentiments peuvent tourner.
OSTRATE.	OSTRATE.
Madame, vous avez cent perſonnes dans vôtre Cour, lur qui vous pouinez imieux verſer l’honneur d’un tel employ, & je me ſens mal propre à bien executer ce que vous ſouhaitez de moy.	Madame, vous avez cent personnes dans votre Cour, lur qui vous pouinez imieux verser l'honneur d'un tel emploi, et je me sens mal propre à bien exécuter ce que vous souhaitez de moi.
ARISTIONE.	ARISTIONE.
Vôtre merite, Soſtrate, n’eſt point borné aux ſeuls emplois de la guerre, vous avez de l’eſprit, de la conduite;	Votre mérite, Sostrate, n'est point borné aux seuls emplois de la guerre, vous avez de l'esprit, de la conduite;
de Pauiene, ce mu enle fait cas de vous.	de Paviene, ce mu enle fait cas de vous.
SOSTRATE.	SOSTRATE.
Quelqu’autre mieux que moy, Madame.	Quelqu'autre mieux que moi, Madame.
ARISTIONE.	ARISTIONE.
Non, non, en vain vous vous en défendez.	Non, non, en vain vous vous en défendez.
STRATE.	STRATE.
Punque vous le voulez, Madame, il vous faut obeïr, mais je vous jure que dans toute vôtre Cour vous ne pouviez choiſir perſonne qui ne fuſt en eſtat de s’acquiter beaucoup mieux que moy d’une telle commiſſion.	Punque vous le voulez, Madame, il vous faut obéir, mais je vous jure que dans toute votre Cour vous ne pouviez choisir personne qui ne fût en état de s'acquiter beaucoup mieux que moi d'une telle commission.
RISTIONE.	RISTIONE.
C’eſt trop de modeſtie, & vous vous acquiterez toûjours bien de toutes les choſes dont on vous chargera.	C'est trop de modestie, et vous vous acquiterez toujours bien de toutes les choses dont on vous chargera.
Découvrez doucement les ſentimens d’Eriphile, & faites la reſouvenir qu’il faut ie rendre de bonne heure dans le Bois de Diane.	Découvrez doucement les sentiments d'Eriphile, et faites la ressouvenir qu'il faut venir rendre de bonne heure dans le Bois de Diane.
SCENE III.	SCÈNE III.
IPHICRATE, TIMOCLES, GLITIDAS, SOSTRATE.	IPHICRATE, TIMOCLES, GLITIDAS, SOSTRATE.
PHICRATE.	PHICRATE.
Ous pouvez croire que je prends part à l’eſtime que la Princeſſe vous témoigne.	Ous pouvez croire que je prends part à l'estime que la Princesse vous témoigne.
IMOCLE 3 Vous pouvez croire, que je ſuis ravy du choix que l’on a fait de vous.	JMOCLE 3 Vous pouvez croire, que je suis ravi du choix que l'on a fait de vous.
CRATE.	CRATE.
Vous voilà en êtat de ſervir vos amis.	Vous voilà en état de servir vos amis.
M 3 CL Vous avez dequoy rendre de bons offices aux gens qu’il vous plaira.	M 3 CL Vous avez dequoy rendre de bons offices aux gens qu'il vous plaira.
CRATE.	CRATE.
Je ne v ous recommande point mes intereſts.	Je ne v ais recommande point mes intérêts.
LES.	LES.
Je ne vous dy point de parler pour moy.	Je ne vous dis point de parler pour moi.
RATE Seigneurs, il ſeroit inutile;	RATE Seigneurs, il serait inutile;
j’aurois tort de paſſer les ordres de ma commiſſion, & vous trouverez bon que je ne parle, ny pour l’un, ny pbur Pautre.	j'aurais tort de passer les ordres de ma commission, et vous trouverez bon que je ne parle, ni pour l'un, ni pbur Pautre.
ICRATE.	ICRATE.
Je vous laiſſe agir comme il vous plaira.	Je vous laisse agir comme il vous plaira.
MOCLE Vous en uſerez comme vous voudrez.	MOCLE Vous en userez comme vous voudrez.
SCENE IV.	SCÈNE IV.
IPHICRATE, TIMOCLES, CLITIDAS.	IPHICRATE, TIMOCLES, CLITIDAS.
IPHACRATE.	IPHACRATE.
« Litidas ſe reſouvient bien qu’il eſt de mes  amis, je luy recommande toûjours de prendre mes intereſts auprés de ſa Maiſtreſſe, contre ceux de mon Rival.	" Litidas se ressouvient bien qu'il est de mes amis, je lui recommande toujours de prendre mes intérêts auprès de sa Maîtresse, contre ceux de mon Rival.
IDAS.	IDAS.
nuien mey fuire, ir y a bien de la comparaiſon de luy à vous, & c’eſt un Prince bien Caty poul vous le dilputel.	nuien me fuire, ir y a bien de la comparaison de lui à vous, et c'est un Prince bien Caty poul vous le dilputel.
CRATE.	CRATE.
Je reconnoiſtray ce ſervice.	Je reconnaîtrai ce service.
MOCLES.	MOCLES.
Mon Rival fait ſa Cour à Clitidas, mais Clitidas ſçait bien qu’il m’a promis d’appuyer contre luy les pretentions de mon amour.	Mon Rival fait sa Cour à Clitidas, mais Clitidas Sait bien qu'il m'a promis d'appuyer contre deux les prétentions de mon amour.
ADAS.	ADAS.
Aſſurement, & il ſe mocque de croire l’emporter ſur vous;	Assurement, et il se moque de croire l'emporter sur vous;
voila auprés de vous un beau petit morveux de Prince.	voilà auprès de vous un beau petit morveux de Prince.
TIMOCLES.	TIMOCLES.
Il n’y a rien que je ne faſſe pour Clitidas.	Il n'y a rien que je ne fasse pour Clitidas.
TIDAS.	TIDAS.
Belles paroles de tous côtez.	Belles paroles de tous côtés.
Voicy la Princeſſe;	Voici la Princesse;
prenons mon temps pour l’aborder.	prenons mon temps pour l'aborder.
SCENE V.	SCÈNE V.
ERIPHILE, CLEONICE.	ERIPHILE, CLÉONICE.
CLEONICE.	CLÉONICE.
ne ſiouvera etfange, Madaine, que vous vous ſoyez ainſi écartée de tout le monde.	ne siouvera etfange, Madaine, que vous vous soyez ainsi écartée de tout le monde.
ERIPHILE.	ERIPHILE.
Ah!	Ah!
qu’aux perſonnes comme nous qui ſommes toûjours accablées de tant de gens, un peu de ſolitude eſt parfois agreable, & qu’aprés mille mpeitments entienens, il eit doux de s’entretenir avec ſes penſées.	qu'aux personnes comme nous qui sommes toujours accablées de tant de gens, un peu de solitude est parfois agréable, et qu'après mille mpeitments entienens, il eit doux de s'entretenir avec ses pensées.
Qu’on me laiſſe icy promener toute ſeule.	Qu'on me laisse ici promener toute seule.
LEONICE.	LEONICE.
Ne voudriez vous pas, Madame, voir un petit eſſay de la diſpoſition de ces gens admirables qui veulent ſe donner à vous?	Ne voudriez -vous pas, Madame, voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous?
Ce ſont des perſonnes, qui par leurs pas, leurs peſtes, & leurs Ihouvemens expriment aux yeux toutes choſes;	Ce sont des personnes, qui par leurs pas, leurs pestes, et leurs Ihouvements expriment aux yeux toutes choses;
& on appelle cela Pantomimes.	et on appelle cela Pantomimes.
J'ay tremblé à vous dire ce mot, & il y a des gens dans vôtre Cour qui ne me le pardonneroient pas.	J'ai tremblé à vous dire ce mot, et il y a des gens dans votre Cour qui ne me le pardonneraient pas.
ERIPHLLE.	ERIPHLLE.
Vous avez bien la mine, Cleonice, de me venir icy regaler d’un mauvais divertiſſement;	Vous avez bien la mine, Cléonice, de me venir ici régaler d'un mauvais divertissement;
car grace au Ciel vous ne manquez pas de vouloir produire indifferemment tout ce qui ſe preſente à vous, & vous avez une affabilité qui ne rejette rien.	car grâce au Ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous, et vous avez une affabilité qui ne rejette rien.
Auſſi-eſt-ce à vous ſeule qu’on voit avoir recours, toutes les Muſes neceſſitantes;	Aussi-ce à vous seule qu'on voit avoir recours, toutes les Muses nécessitantes;
vous eſtes la grande protectrice du merite incommodé, & tout ce qu’il y a de vertueux indigens au monde va débarquer chez vous.	vous êtes la grande protectrice du mérite incommodé, et tout ce qu'il y a de vertueux indigents au monde va débarquer chez vous.
CLIO	CLIO
LEONICE.	LEONICE.
Si vous n’avez pas envie de les voir, Madame, il ne faut que les Iaſſer-la.	Si vous n'avez pas envie de les voir, Madame, il ne faut que les Jasser-la.
ERIPHILE.	ERIPHILE.
Non, non, voyons les, faites-les venir.	Non, non, voyons les, faites-les venir.
EONIGE.	EONIGE.
mais peut eire, maauamie, que lour dance ſera méchante.	mais peut eire, maavamie, que lour dance sera méchante.
ERIPHILE.	ERIPHILE.
Méchante, ou non, il la faut voir;	Méchante, ou non, il la faut voir;
ce ne ſeroit avec vous que reculer la choſe, & il vaut mieux en eſtre quitte.	ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte.
EONICE.	EONICE.
Ce ne ſera icy, Madame, qu’une dance ordinaire, une autre fois.	Ce ne sera ici, Madame, qu'une dance ordinaire, une autre fois.
RIPHILE.	RIPHILE.
Point de preambule, Cleonice, qu’ils dancent.	Point de préambule, Cléonice, qu'ils dancent.
Fin du premier Acte.	Fin du premier Acte.
SECOND INTERMEDE.	SECOND INTERMÈDE.
A Confidente de la jeune Princeſſe luy produſt tlois danceuis, ious le flom de Pantomimes;	À Confidente de la jeune Princesse autre prodût tlois danceuis, jous le flom de Pantomimes;
c’eſt à dire qui expriment par leurs geſtes toutes ſortes de choſes.	c'est à dire qui expriment par leurs gestes toutes sortes de choses.
La Princeſſe les voit dancer, & les reçoit à ſon ſervice.	La Princesse les voit dancer, et les reçoit à son service.
ENTRE’E DE BALLET De trois Pantomimes.	ENTRE- DE BALLET De trois Pantomimes.
ACIE	ACIE
ACTE II.	ACTE II.
CENE PREMIERE.	CÈNE PREMIÈRE.
ERIPHILE, CLEONICE, CLITIDAS.	ERIPHILE, CLÉONICE, CLITIDAS.
ERIPHILE.	ERIPHILE.
Oilà qui eſt admirable!	Ôilà qui est admirable!
je ne croy puo qu'on pumne Meun dancer qu’ils dancent, & je ſuis bien aiſe de les avoir à moy.	je ne crois pu qu'on pumne Meun dancer qu'ils dancent, et je suis bien aise de les avoir à moi.
LEONICE.	LEONICE.
Et moy, Madame, je ſuis bien aiſe que vous ayez vû que je n’ay pas ſi méchant gouſt que vous avez penſé.	Et moi, Madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé.
»	"
hn ixi eD2.	hn jxi eD2.
Ne triomphez point tant, vous ne tarderez guere à me faire avoir ma revanche:	Ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche:
qu’on me laille icy.	qu'on me laille ici.
CLEONICE.	CLÉONICE.
Je vous avertis, Clitidas,, que la Princeſſe veut eſtre ſeule.	Je vous avertis, Clitidas, que la Princesse veut être seule.
IDAS.	IDAS.
Laiſſez-moy faire, je ſuis homme qui ſçais ma Cour.	Laissez-moi faire, je suis homme qui sais ma Cour.
ERIPHILE, CLITIDAS.	ERIPHILE, CLITIDAS.
CLITIDAS fait ſemblant de chanter.	CLITIDAS fait semblant de chanter.
LA, la, la, la, ah!	LA, la, la, la, ah!
Clitidas.	Clitidas.
ERIPHILE.	ERIPHILE.
CLITIDAS.	CLITIDAS.
Je ne vous avois pas veu là, Madame.	Je ne vous avais pas vu là, Madame.
RIPHILE.	RIPHILE.
Approche.	Approche.
D’où viens tu?	D'où viens -tu?
LITIDAS.	LITIDAS.
De laiſſer la Princeſſe vôtre Mere qui s’en aloit vers le Temple d’Appollon, accompagnée de beaucoup de gens.	De laisser la Princesse votre Mère qui s'en alait vers le Temple d'Apollon, accompagnée de beaucoup de gens.
ERIPHILE.	ERIPHILE.
Ne tiouvesrtu pas ces leda les pius chlarmans du monde?	Ne tiouvesrtu pas ces leda les pius chlarmands du monde?
IDAS.	IDAS.
Aſſuremenit.	Assureménit.
Les Princes vos Amans y eſtoient.	Les Princes vos Amants y étaient.
RIPHILE.	RIPHILE.
niiuii iée fait icy d’agreables détours.	nijui iée fait ici d'agréables détours.
AS.	AS.
Fort agreables.	Fort agréables.
Soſtrate y eſtoit auſſi.	Sostrate y était aussi.
ERIPHILE.	ERIPHILE.
D'où vient qu’il n’eſt pas venu à la promenade?	D'où vient qu'il n'est pas venu à la promenade?
DAS.	DAS.
Il a quelque choſe dans la teſte qui l’empeſche de prendre plaiſir à tous ces beaux regales.	Il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux règales.
Il m’a voulu entretenir, mais vous m’avez défendu ſi expreſſement de me charger d’aucune affaire auprés de vous, que je n’ay point voulu luy preſter I’oreille, & je luy ay dit nettement que je n’avois pas le loiſir de l’entendre.	Il m'a voulu entretenir, mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous, que je n'ai point voulu lui prêter J'oreille, et je lui ai dit nettement que je n'avais pas le loisir de l’entendre.
ERIPHILE.	ERIPHILE.
Tu as eu tort de luy dire cela, & tu devois l'écouter.	Tu as eu tort de ours dire cela, et tu devais l'écouter.
2 ITIDAS.	2 ITIDAS.
Je luy ay dit d’abord que je n’avois pas le loiſir de l’entendre, mais aprés je luy ay donné audience.	Je te ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience.
ERIPAILE.	ERIPAILE.
Tu as bien fait.	Tu as bien fait.
LITIDAS.	LITIDAS.
En verité c’eſt un homme qui me revient, un homme fait comme je veux que les hommes ſoyent faits.	En vérité c'est un homme qui me revient, un homme fait comme je veux que les hommes soient faits.
Ne prenant point des manieres bruyantes & des tons de voix aſſommans;	Ne prenant point des manières bruyantes et des tons de voix assommans;
ſage & poſé en toutes choſes, ne pârlant jamais que bien à propos;	sage et posé en toutes choses, ne pârlant jamais que bien à propos;
point prompt à décider;	point prompt à décider;
point du tout exagerateur incommode;	point du tout exagérateur incommode;
& quelques beaux Vers que nos Poëtes Auy ayent recité, je ne luy ay jamais oüy dire voilà qui eſt plus beau que tout ce qu’a jamais fait Homere.	et quelques beaux Vers que nos Poètes Aui aient recité, je ne parler ai jamais ouï dire voilà qui est plus beau que tout ce qu'a jamais fait Homère.
Enfin, c’eſt un homme pour qui je me ſens de l’inclination, & ſi j’étois Princeſſe il ne aciont pas maintuieus.	Enfin, c'est un homme pour qui je me sens de l'inclination, et si j'étais Princesse il ne aciont pas maintuieus.
ERIPHILE.	ERIPHILE.
C’eſt un homme d’un grand merite aſſurement;	C'est un homme d'un grand mérite assurément;
mais dequoy t’a t-il parle?	mais dequoy t'a -t-il parle?
LITIDAS.	LITIDAS.
Il m’a demandé ſi vous aviez témoigné grande joye au magnifique regale que l’on vous a donné;	Il m'a demandé si vous aviez témoigné grande joie au magnifique rale que l'on vous a donné;
m’a parlé de votre perſonne avec des tranſports les plus grands du monde, vous a miſe au deſſus du Ciel, & vous a donné toutes les loüanges qu’on peut donner à la Princeſſe la plus accomplie de la terre, entremeſlant tout cela de pluneuis ſoûpirs qui diſoient plus qu’il ne vouloit.	m'a parlé de votre personne avec des transports les plus grands du monde, vous a mise au dessus du Ciel, et vous a donné toutes les langes qu'on peut donner à la Princesse la plus accomplie de la terre, entremêlant tout cela de pluneuis soupirs qui disaient plus qu'il ne voulait.
Enfin, à force de le tourner de tous côtez, & de le preſſer ſur la cauſe de cette proſonde mélancolie, dont toute la Cour s’apperçoit, il a eſté contraint de m’avoüer qu’il eſtoit amoureux.	Enfin, à force de le tourner de tous côtés, et de le presser sur la cause de cette prosonde mélancolie, dont toute la Cour s'aperçoit, il a été contraint de m'avour il estoit amoureux.
ERIPHILE.	ERIPHILE.
Comment amoureux?	Comment amoureux?
quelle temerité eſt la ſienne?	quelle témérité est la sienne?
c’eſt un extravagant que je ne verray de ma vie.	c'est un extravagant que je ne verrai de ma vie.
CLITIDAS.	CLITIDAS.
Dequoy vous plaignez-vous, Madame?	Dequoy vous plaignez-vous, Madame?
ERIPHILE.	ERIPHILE.
Avon l'audace de m'amer, & de plus avoir l’audace de le dire?	Avon l'audace de m'amer, et de plus avoir l'audace de le dire?
ITIDAS.	ITIDAS.
Ce n’eſt pas vous, Madame, dont il eſt amoureux.	Ce n'est pas vous, Madame, dont il est amoureux.
ERIPHILE.	ERIPHILE.
Ce n’eſt pas moy?	Ce n'est pas moi?
LITIDAS.	LITIDAS.
Non, Madame, il vous reſpecte trop pour cela, & eſt trop ſage pour y penſer.	Non, Madame, il vous respecte trop pour cela, et est trop sage pour y penser.
ERIPHILE.	ERIPHILE.
Et de qui donc, Clitidas?	Et de qui donc, Clitidas?
TTIDAS.	TTIDAS.
Dune de vosries, la jeune Ailoc.	Dune de vosries, la jeune Ailoc.
ERIPHILE.	ERIPHILE.
