a ded	a déd
Mais que fait Iſimandre en cetie tongue uoſence?	Mais que fait Isimandre en cetie tongue osence?
CLINDOR.	CLINDOR.
Il deſire lamort;	Il désire lamort;
il maudit ſa naiſſance;	il maudit sa naissance;
Il accuſe le ſort;	Il accuse le sort;
il attaque les Cieux;	il attaque les Cieux;
Et croit que pour pleurer Nature fit les yeux.	Et croit que pour pleurer Nature fit les yeux.
Son ame ſuit Orante, & n’a point d’autre idée;	Son âme suit Orante, et n'a point d'autre idée;
Son feu ne peut ſouffrir celuy de Celidée;	Son feu ne peut souffrir celui de Celidée;
Il croit qu’aupres de l’œil, dont le ſien eſt eſpris, Vne Deſſe meſme, est digne de meſpris.	Il croit qu'auprès de l'œil, dont le sien est épris, Une Desse même, est digne de mépris.
Il rend les Bois teſmoings de ſon inquietude, Son vnique recours eſt en la ſolitude;	Il rend les Bois témoings de son inquiétude, Son unique recours est en la solitude;
C’eſt là, que librement dans le mal qui le point, Il ſe plaint à l’Amour, qui ne le quitte point:	C'est là, que librement dans le mal qui le point, Il se plaint à l'Amour, qui ne le quitte point:
C’eſt là que ce grand Dieu luy dicta les penſées, Que garde ce papier, que ſa main a tracées;	C'est là que ce grand Dieu lui dicta les pensées, Que garde ce papier, que sa main a tracées;
Et qu’il adreſſe aux yeux qui luy font endurer Vn mal ſi violent, qu’il ne ſçauroit durer.	Et qu'il adresse aux yeux qui était font endurer Un mal si violent, qu'il ne saurait durer.
NERINE.	NERINE.
Ma Maiſtreſſe auiourd'huy n’est point accompagnée;	Ma Maîtresse aujourd'hui n'est point accompagnée;
Sa fieure à ce matin, a voulu la ſeignée;	Sa fièvre à ce matin, a voulu la seignée;
B iij Elle garde la Chambre, où ie m’en vay courir;	 Bij Elle garde la Chambre, où tu m'en vais courir;
Mieux que le Medecinie la puis ſecourir;	Mieux que le Médecinie la puis secourir;
Son remede conſiste au papier que ie porte, Dont ie vay r’animer ſon esperance morte;	Son remède consiste au papier que sans porte, Dont apprendre vais ranimer son espérance morte;
Tor fidelle Clindor ſuis moy dans le Chasteau;	Tor fidèle Clindor suis -moi dans le Château;
Paſſe la baſſe court, le nez dans la manteau;	Passe la basse court, le nez dans la manteau;
Miomt du grant eſeanti, ou te m'en vay tattendre:	Miompt du grant éeanti, ou te m'en vais tattendre:
CLINDOR.	CLINDOR.
I’oſe tout, ie fais tout, pour ſeruir Iſimandre.	J'ose tout, Seigneur fais tout, pour servir Isimandre.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LVCINDE, FLORANGE, PALINICE.	LUCINDE, FLORANGE, PALINICE.
LVCINDE.	LUCINDE.
Ous l’accuſez à tort, elle a plus de bonté;	Ous l'accusez à tort, elle a plus de bonté;
Me Son cœur ne prend de loyque de ma volonté;	Me Son cœur ne prend de loique de ma volonté;
Son esprit est fort doux, i’en difpoſe abſoluë;	Son esprit est fort doux, j'en dispose absolue;
Florange, elle eſt à vous, ſi i’y ſuis reſoluë:	Florange, elle est à vous, si j'y suis résolue:
Et puis qu’Ormin l’agrée, & Palinice encor, Quand vous auriez les ans, que l’on donne à Neſtor;	Et puis qu'Ormin l'agrée, et Palinice encor, Quand vous auriez les ans, que l'on donne à Nestor;
Quand plus de cent Hyuers, horribles en tempeste, Auroient ainſi qu'aux champs, neige ſur vostre teſte;	Quand plus de cent Hivers, horribles en tempête, Auraient ainsi qu'aux champs, neige sur notre tête;
Croyez (puis qu’il eſt vray) que i’aurois le pouuoir De la mettre en vos bras comme dans ſon deuoir.	Croyez (puis qu'il est vrai) que j'aurais le pouvoir De la mettre en vos bras comme dans son devoir.
FLORANGE.	FLORANGE.
Mon âge luy fait peur, ſa triſteſſe m’eſtonne;	Mon âge avait fait peur, sa tristesse m'étonne;
Et ie pleins la do:	Et ici pleins la do:
leur que mon plaiſir luy donne:	leur que mon plaisir Seigneur donne:
Ie ne la trouuepoint fauorable à mes vœux;	Je ne la trouvepoint favorable à mes vœux;
L’orne ſçauroit cacher l’argent de mes cheueux.	L'orne saurait cacher l'argent de mes cheveux.
PALINICE.	PALINICE.
Ea ſoy de mon mar y vous aſſure ta ſienne,	Éa soi de mon mar y vous assure ta sienne,
LVCINDE.	LUCINDE.
Puis que ie l’ay promis, il faut que ie le tienne:	Puis que ici l'ai promis, il faut que deux le tienne:
On ne peut vous l’oſter, Orante eſt voſtre bien;	On ne peut vous l'ôter, Orante est vôtre bien;
Esperez tout Florange, & ne craignez plus rien Condamnez deſormais cette pleinte au ſilence, Außi toſt que ſon mal perdra ſa violence, Guariſſant la douleurpar qui vous ſouspirez, Ie ſçauray bien la mettre où vous la deſirez.	Espérez tout Florange, et ne craignez plus rien Condamnés désormais cette pleinte au silence, Aussi tôt que son mal perdra sa violence, Guarissant la douleur qui vous soupirez, Je saurai bien la mettre où vous la désirez.
FLORANGE.	FLORANGE.
Ce diſcours me rauit;	Ce discours me ravit;
n’en parlons plus Madamee L’excez de ce plaiſir me deroberoit l’ame;	n'en parlons plus Madamee L'excès de ce plaisir me déroberait l'âme;
Ie mourrois à vos yeux, & mon cœur a deſſein, De prendre pour Tombeau l’albaſtre de ſon ſein.	Je mourrais à vos yeux, et mon cœur a dessein, De prendre pour Tombeau l'albâtre de son sein.
Couronné des lauriers d’vne victoire inſigne, Puis qu’il me faut mourir ie veux mourir en Cygne, Et chanterles beautez, & vanter les appas, Que ie trouue en ſes yeux, ſuu it gomnunmiſpas.	Couronné des lauriers d'une victoire insigne, Puis qu'il me faut mourir toujours veux mourir en Cygne, Et chanterles beautés, et vanter les appas, Que ie trouve en ses yeux, su it gomnunispas.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
ORANTE.	ORANTE.
STANCES.	STANCES.
E Mour, ie veux ſuiure l’enuie, ANN Qui me pouſſe à mourir;	E Mour, Seigneur veux suivre l'envie, AN Qui me pousse à mourir;
Et trouuer pour me ſecourir, La fin de mes malheurs, dans celle de ma vie:	Et trouver pour me secourir, La fin de mes malheurs, dans celle de ma vie:
Mais puis qu’il me faut vn Tombeau, Amour, fais au moins qu’il ſoit beau.	Mais puis qu'il me faut un Tombeau, Amour, fais au moins qu'il soit beau.
Inuiſible Demon de flame, Qui cauſe mon tourment;	Invisible Démon de flamme, Qui cause mon tourment;
Parois deſſus ce Monument;	Parais dessus ce Monument;
Mais außi triomphant, que tu l’es dans mon ame:	Mais aussi triomphant, que tu l'es dans mon âme:
Puis que ie t’ay fait immortel, Prends mon Sepulchre pourautel.	Puis que ici t'ai fait immortel, Prends mon Sépulcre pourautel.
Pouréterni ſer la memoire Des mots que i’ay ſoufferts, Peinds-y bien mes feux & mes fers, Qui ſont les ſeuls Tableaux qui font bien voir te gloire:	Pouréterni ser la mémoire Des mots que j'ai soufferts, Peinds-y bien mes feux et mes fers, Qui sont les seuls Tableaux qui font bien voir te gloire:
Et fais y paroiſtre mon cœur, Deſſous les pieds de ſon vainqueur.	Et fais y paraître mon cœur, Dessous les pieds de son vainqueur.
Mais pour acheuer la structure, D'vn ſi noble deſſein;	Mais pour achever la structure, D'un si noble dessein;
Prends le traict qui m’ouurit le ſein, Et graue ces deux vers deſſus ma ſepulture:	Prends le trait qui m'ouvrit le sein, Et grave ces deux vers dessus ma sépulture:
Sa constance a causé ſa mort, Paſſe, va t'en, & pleins ſon ſort.	Sa constance a causé sa mort, Passe, va t'-en, et pleins son sort.
Ce n’est pas tout;	Ce n'est pas tout;
fais qu’Iſimandre, En ſa paſle couleur, L leſmoisne Luipende donnar, Pour la perte d’vn bien qu’il n’aura pû deffendre:	fais qu'Isimandre, En sa pâle couleur, L lesmoisne Luipende donnar, Pour la perte d'H bien qu'il n'aura pu défendre:
Et qu’il ſemble dire à par ſoy, Helas!	Et qu'il semble dire à par soi, Hélas!
elle est morte pour moy.	elle est morte pour moi.
Fantaſtiques propos, ſonges, chimeres vaines, Vous irritez mes pleurs, vous augmentez mes peirs,	Fantastiques propos, songes, chimères vaines, Vous irrités mes pleurs, vous augmentez mes péirs,
Et le temps que ie perds à diſcourir icy, Ne doit estre employé qu’à finir mon ſoucy.	Et le temps que je perds à discourir ici, Ne doit être employé qu'à finir mon souci.
I'aspire apres vn bien qui n'a point d’apparance;	J'aspire après un bien qui n'a point d'apparance;
C’eſt me nourrir de vent, que viure d’eſperance;	C'est me nourrir de vent, que vivre d'espérance;
Orante infortuné, & bien ne viuons plus:	Orante infortuné, et bien ne vivons plus:
Bornons auec nos iours ces regrets ſuperflus:	Bornons avec nos jours ces regrets superflus:
Innocent criminel, vieil importun Florange, Par montriſte deſſein, vois où le tien me range:	Innocent criminel, vieil importun Florange, Par montriste dessein, vois où le tien me range:
Iſimandre fidelle, apprends que ie le ſuis;	Isimandre fidèle, apprends que sans le suis;
Sans partager ma mort, partage mes ennuis;	Sans partager ma mort, partage mes ennuis;
Et iuge par le ſang que ie m'en vay respandre, Qu’Orante n’aima rien que le ſeul Iſimandre.	Et juge par le sang que ainsi m'en vais répandre, Qu'Orante n'aima rien que le seul Isimandre.
Viuant en ton penſer, ie mourray ſans douleur:	Vivant en ton penser, On mourrai sans douleur:
Dieux, ce ſang est de flame, il en a la couleur;	Dieux, ce sang est de flamme, il en a la couleur;
Reçois au lieu d’encens l’agreable fumée, Qui ſort parmy le ſang de la perſonne aimée, Ce ſont là des eſprits qui vont chercher le tien:	Reçois au lieu d'encens l'agréable fumée, Qui sort parmi le sang de la personne aimée, Ce sont là des esprits qui vont chercher le tien:
La mort n’est point vn mal, à qui la connoiſt bien:	La mort n'est point un mal, à qui la connaît bien:
Mais puis que ce papier ſe trouue fauorable, Taſchons de conſoler l’esprit d’vn miſerable;	Mais puis que ce papier se trouve favorable, Tâchons de consoler l'esprit d'un misérable;
Faiſons voir que la mort ne peut rien ſur l’Amour:	Faisons voir que la mort ne peut rien sur l'Amour:
Adieu cher Iſimandre, adieu, ie perds le iour.	Adieu cher Isimandre, adieu, on perds le jour.
SCENE SIXIESME.	SCÈNE SIXIÈME.
NERINE.	NERINE.
Ve me donneriez vous d’vne bonne nouuelle?	Ve me donneriez -vous d'une bonne nouvelle?
Madame, vous dormez;	Madame, vous dormez;
c'eſt en vainque i’appelle:	c'est en vainque j'appelle:
Ha Ciel!	Ha Ciel!
quel accident?	quel accident?
au ſecours mes amis;	au secours mes amis;
Dieux!	Dieux!
vous l’auez veu faire, & vous l’auez permis!	vous l'avez vu faire, et vous l'avez permis!
Elle nage en ſon ſang:	Elle nage en son sang:
ô l’horrible spectacle!	ô l'horrible spectacle!
Son funeste projet n’a point trouué d’obſtacle:	Son funeste projet n'a point trouvé d'obstacle:
Et ce papier m'apprend, que ſa fidelité, Arriue par la mort à l’immortalité.	Et ce papier m'apprend, que sa fidélité, Arrive par la mort à l'immortalité.
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
SLINDOR NERINE.	SLINDOR NERINE.
CLINDOR.	CLINDOR.
111 puutu a chambre voiſine:	111 puutu a chambre voisine:
Quel prodige eſt-ce-là?	Quel prodige est-ce-là?
que faites vous Nerine?	que faites -vous Nerine?
NERINE.	NERINE.
Retour ne vers ton Maiſtre, & va-ten l’aduertir, Qu'Orante ne vit plus, qu’il eſt temps de partir:	Retour ne vers ton Maître, et va-ten l'avertir, Qu'Orante ne vit plus, qu'il est temps de partir:
Porte luy ce papier:	Porte aux ce papier:
CLINDOR.	CLINDOR.
O funeſte meſſage:	Ô funeste message:
NERINE.	NERINE.
Qu’il puniſſe Florange autheurde ce dommagt;	Qu'il punisse Florange auteurde ce dommagt;
On la vouloit forcer de viure ſous ſa Loy;	On la voulait forcer de vivre sous sa Loi;
Adieu, ne ſois point veu, quelqu’vn vient, ſauue toy.	Adieu, ne sois point vu, quelqu'un vient, sauve toi.
SCENE HVICTIESME.	SCÈNE HVICTIESME.
LVCINDE, ORMIN, FLORANGE, PALINICE, NERINE, ORANTE.	LUCINDE, ORMIN, FLORANGE, PALINICE, NERINE, ORANTE.
AveIaDE.	AveIaDE.
Vel bruit ay-ie entendu?	Vel bruit ai-je entendu?
ORMIN.	ORMIN.
Bons Dieux Orante estmorte!	Bons Dieux Orante estmorte!
FLORANGE.	FLORANGE.
Quel homme, ou quel demon, l’a miſe de la ſorte?	Quel homme, ou quel démon, l'a mise de la sorte?
PALINICE.	PALINICE.
Elle s’eſt faitſaigner, & ſon bras s’estouuert;	Elle s'est faitsagner, et son bras s'estouuert;
Mais ie vois qu’elle vit, par le ſang qu'elle pert	Mais était vois qu'elle vit, par le sang qu'elle pert
Ma fille, LVCINDE.	Ma fille, LUCINDE.
PALINICE.	PALINICE.
Ma Couſine,	Ma Cousine,
ORMIN.	ORMIN.
& rainsey	et rainsei
TLORANGE.	TLORANGE.
Ma Maiſtreſſe:	Ma Maîtresse:
NERINE.	NERINE.
Qu'on luy iette deleau, remettons la compreſſe:	Qu'on lui jette déleau, remettons la compresse:
ORMIN.	ORMIN.
Luc!	Luc!
elle reuient;	elle revient;
NERINE.	NERINE.
Ouy mais ceſe pour montu, ElleparSi vous n’auez deſſein de la mieux ſecourir:	Oui mais cese pour montu, ElleparSi vous n'avez dessein de la mieux secourir:
Florange luy deſplaist, ſa mere la martire:	Florange lui déplaît, sa mère la martyre:
ORMIN.	ORMIN.
II parte Lebruit luy feroit mal, que chacun ſe retire, bas.	II parte Lébruit lui était mal, que chacun se retire, bas.
Vilez almable Orante, on ne vous peut forcer;	Vilez alable Orante, on ne vous peut forcer;
ORANTE.	ORANTE.
Ie coniure les Dieux de vous recompenſer.	Je conjure les Dieux de vous récompenser.
ACTE	ACTE
ACTE SECOND.	ACTE SECOND.
PALINICE, ORMIN, ORANTE, NERINE, FLORANGE, ISIMANDRE, ELINDOR.	PALINICE, ORMIN, ORANTE, NERINE, FLORANGE, ISIMANDRE, ÉLINDOR.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PALINICE.	PALINICE.
Nuiſible ſerpent, cruelle ialouſie, bν Qui vomis ton venin dans noſtre fantaiſie, Bourreau de monrepos, vray Monstre des enfers, Qui mets l’ame à la geſne, & l’eſprit dans les fers;	Nuisible serpent, cruelle jalousie, bête Qui vomis ton venin dans notre fantaisie, Bourreau de monrepos, vrai Monstre des enfers, Qui mets l'âme à la gêne, et l'esprit dans les fers;
Ceſſe de me monstrer ta vaine, & paſle image;	Cesse de me montrer ta vaine, et pas image;
Ceſſe de me predire vn funeste dommage;	Cesse de me prédire un funeste dommage;
Orante aime l’honneur, Ormin ſçait ſon deuoir;	Orante aime l'honneur, Ormin sait son devoir;
Mais Amoureſt aueugle, il ne ſçauroit rien voir.	Mais Amourêt aveugle, il ne saurait rien voir.
La plus forte raiſon cede à cette manie;	La plus forte raison cède à cette manie;
Et bien qu’elle ſoit Reine, elle eſt ſouuent bannie.	Et bien qu'elle soit Reine, elle est souvent bannie.
Lechange a des attraits plus forts que la beauté:	Léchange a des attraits plus forts que la beauté:
Touſiours l’eſprit d’vn homme aime la nouueauté;	Toujours l'esprit d'une homme aime la nouveauté;
L’Hymen eſt vn fardeau qu’il iuge inſupportable;	L'Hymen est un fardeau qu'il juge insupportable;
Plus vn bien eſt aiſé, moins il est delectable;	Plus un bien est aisé, moins il est délectable;
Ce que nous poſſedons, eſt preſque ſans plaiſir;	Ce que nous possédons, est presque sans plaisir;
L’amour trouue ſa fin en celle du deſir;	L'amour trouve sa fin en celle du désir;
Lors qu’il eſt au ſommet, il commence à deſcendre;	Lors qu'il est au sommet, il commence à descendre;
Et ce braſier s’eſteint dedans ſa propre cendre.	Et ce brasier s'éteint dedans sa propre cendre.
Dieux!	Dieux!
ie l’experimente en ma iuſte douleur:	Il l'expérimente en ma juste douleur:
Ormin est touſiours triste, il change de couleur;	Ormin est toujours triste, il change de couleur;
Des ſouſpirs continus deſcouurent ſa folie;	Des soupirs continus découvrent sa folie;
Son cœur ſuit par les yeux la belle qui le lie;	Son cœur suit par les yeux la belle qui le lie;
Il ne me parle plus qu’en termes de mespris;	Il ne me parle plus qu'en termes de mépris;
Orante eſt vn miracle entre les beaux eſprits;	Orante est un miracle entre les beaux esprits;
Elle ſeule merite vne extreme loüange;	Elle seule mérite quelque extrême louange;
Il la peint des couleurs, dont on peindroit vn AnIl luy donne l’encens qu’on offriroit aux Dieux;	Il la peint des couleurs, dont on peindrait un AnIl lui donne l'encens qu'on offrirait aux Dieux;
Il mespri ſe la terre, & ſe mocque des Cieux;	Il mépri se la terre, et se moque des Cieux;
Afinde l’obliger, il manque à ſa promeſſe;	Afinde l'obliger, il manque à sa promesse;
Florange n'eſtant qu’homme offence ſa Deeſſe;	Florange n'étant qu'homme offense sa Déesse;
Pour poſſeder ce corps il faut eſtre immortel, Bref, pour auoir ſa couche il luy dreſſe vn Autel.	Pour posséder ce corps il faut être immortel, Bref, pour avoir sa couche il était dresse un Autel.
Il eſt vray, ie le voy, ſon ame en eſt bleſſée;	Il est vrai, Seigneur le vois, son âme en est blessée;
Elle est l’vnique obiect qu’il a dans la penſee;	Elle est l'unique objet qu'il a dans la pensée;
Il mespriſe ma flame außi bien que ſa foy;	Il méprise ma flamme aussi bien que sa foi;
Pour rendre Orante à luy, l’ingrat n’est plus à moy.	Pour rendre Orante à lui, l'ingrat n'est plus à moi.
Mais il manque d’amour, & non moy de couraOn connoiſt le Pilote au milieu de l’orage;	Mais il manque d'amour, et non -moi de couraOn connaît le Pilote au milieu de l'orage;
Faiſons agir l’eſprit pour rompre ſes deſſeins;	Faisons agir l'esprit pour rompre ses desseins;
Taſchons de luy donner des ſentimens plus ſeins:	Tâchons de peine donner des sentiments plus seins:
Qu’il prenne pour guarir la medecine amere, Et que ſon pouuoir cede à celuy d’vne mere.	Qu'il prenne pour garir la médecine âme, Et que son pouvoir cède à celui d'une mère.
D ii	 Di
SCENE SECONDE.	SCÈNE SECONDE.
ORMIN.	ORMIN.
TANCES.	TANCES.
LE fais gloire de mes malheurs;	LE fais gloire de mes malheurs;
le me van e de mes douleurs;	le me van est de mes douleurs;
Tant ie cheris ma ſeruitude:	Tant ici chéris ma servitude:
Et bien que dans mes maux l’espoir me ſoit oſté, (Sans l'accuſer d ingratitude) I’adore ma maiſtreſſe, & haïs ma liherté.	Et bien que dans mes maux l'espoir me soit ôté, (Sans l'accuser d' accuse) D'adore ma maîtresse, et haïs ma liherté.
Ie la ſers, mais c’eſt pardeuoir:	Je la sers, mais c'est pardevoir:
Qui peut n'aimer pas & la voir?	Qui peut n'aimer pas et la voir?
A ſes beaux yeux tout est poßible:	À ses beaux yeux tout est passible:
Et qui n'eſt point touché par de ſi doux appas, A la qualité d’inſenſible, Où malgré ſes rigueurs, mon cœur n’aſpire pas.	Et qui n'est point touché par de si doux appas, À la qualité d'insensible, Où malgré ses rigueurs, mon cœur n'aspire pas.
C’eneſt fait, i’y ſuis reſolu;	C'enest fait, j'y suis résolu;
Leiel, & moncœur l’ont voulu;	Leiel, et moncœur l'ont voulu;
Ie ſuis content des deſtinees;	Je suis content des destinées;
Ie quitte ſans regret, lalumiere du iour;	Je quitte sans regret, lalumière du jour;
Mais dans la fin de mes annees, On ne verra iamais celle de mon amour.	Mais dans la fin de mes années, On ne verra jamais celle de mon amour.
Les espines me ſont des fleurs;	Les épines me sont des fleurs;
Dans l’Oubly, comme dans les pleurs, Ie conſerueray ſa memoire:	Dans l'Oubli, comme dans les pleurs, Je conserverai sa mémoire:
Et mon eſprit ſans corps, & ſans legereté, Donnera mes feux, & ſa gloire, Dans l’Empire des morts à l’immortalité.	Et mon esprit sans corps, et sans légèreté, Donnera mes feux, et sa gloire, Dans l'Empire des morts à l'immortalité.
Ouy, ie la veux aimer iuſqu’en la ſepulture:	Oui, Seigneur la veux aimer jusqu'en la sépulture:
Elle merite bien qu’on force la Nature;	Elle mérite bien qu'on force la Nature;
y D iij	y D ijà
On doit à ſes vertus vn amour eternel;	On doit à ses vertus un amour éternel;
S’il eſtoit periſſable il ſeroit criminel.	S'il était périssable il serait criminel.
On ne peut trop aimer vn obiect tant aimable:	On ne peut trop aimer un objet tant aimable:
Iamais l’excez du bien ne peut eſtre blaſmable, S’il est permis de mettre vn excez dans le bien) Il faut que mon esprit prenne la loy du ſien;	Jamais l'excès du bien ne peut être blâmable, S'il est permis de mettre un excès dans le bien) Il faut que mon esprit prenne la loi du sien;
Et que ſes volontez regnent ſur mes penſées:	Et que ses volontés règnent sur mes pensées:
Que Florange n’ait plus ſes flames inſenſées Puis qu’il deſplaiſt à l’œil que ie veux adorer, Le reſpect qu’il me doit luy deffend d’eſperer;	Que Florange n'ait plus ses flammes insensées Puis qu'il déplaît à l'œil que ie veux adorer, Le respect qu'il me doit lui défend d'espérer;
Et mes commandemens l’obligent à ſe taire:	Et mes commandements l'obligent à se taire:
O toyde mes penſers, fidele Secretaire, Amour;	Ô toide mes pensers, fidèle Secrétaire, Amour;
qui les fais naiſtre, & ſeul les vois au cœuri Viens rendre vne viſite au belœil mon vainqueur;	qui les fais naître, et seul les vois au cœuri Viens rendre un visite au belœil mon vainqueur;
Et pourfaire vn miracle, en voyant ma Rebelle, Suy moy dans mon retour, & demeure chez elle.	Et pourfaire un miracle, en voyant ma Rebelle, Sui moi dans mon retour, et demeure chez elle.
SCENE TROISIESME URANTE, NERINE.	SCÈNE -TROISIÈME URANTE, NERINE.
ORANTE.	ORANTE.
J'Empeſchant de mourir, ton ſecours me conduit, Du repos à la peine, & du ſi lence au bruit.	J'Empêchant de mourir, ton secours me conduit, Du repos à la peine, et du si lence au bruit.
NERINE.	NERINE.
Uous irez (ſi le ſort calme ſa violence) De la peine au repos, & du bruit au ſilence.	Vous aurez (si le sort calme sa violence) De la peine au repos, et du bruit au silence.
ORANTE.	ORANTE.
Ha!	Ha!
ne me flatte point d’vn espoir deceuant, I’arreſterois plustoſt les ondes, & le vent, Que la ſuitte des maux, dont ie ſuis trauerſée;	ne me flatte point d'âme espoir décevant, J'arresterois plutôt les ondes, et le vent, Que la suitte des maux, dont ie suis traversée;
L’eſperance est trop foible, elle en eſt renuerſée;	L'espérance est trop faible, elle en est renversée;
La rigueur de ma mere, & celle de mon ſort, Ne laiſſent à mon choix, que Florange, ou la mort;	La rigueur de ma mère, et celle de mon sort, Ne laissent à mon choix, que Florange, ou la mort;
Toutes mes volontez panchent vers la derniere:	Toutes mes volontés penchent vers la dernière:
Elle deliurera mon ame priſonniere;	Elle délivrera mon âme prisonnière;
Et malgré tous vos ſoins, mon esprit enflamé, Fera voir que le feu ne peut eſtre enfermé, Vne ame genereuſe a la clef de ſa porte:	Et malgré tous vos soins, mon esprit enflammé, Fera voir que le feu ne peut être enfermé, âme généreuse à la clef de sa porte:
Rien ne peut empeſcher que la mienne ne ſorte;	Rien ne peut empêcher que la mienne ne sorte;
Ie meurs ſans deſeſpoir, ie finis par raiſon;	Je meurs sans désespoir, ie finis par raison;
La liberté vaut mieux que ne fait la priſon.	La liberté vaut mieux que ne fait la prison.
NERINE.	NERINE.
La parole d’Ormin doit bannir cette crainte:	La parole d'Ormin doit bannir cette crainte:
ORANTE.	ORANTE.
La crois-tu veritable?	La crois-tu véritable?
NERINÉ.	NERIN.
Et la croyez vous feinte?	Et la croyez vous feinte?
Non esperez Madame, vn traitement plus dous;	Non espérez Madame, un traitement plus dous;
Viuez pour Iſimandre, ainſi qu’il vit pour vous;	Vivez pour Isimandre, ainsi qu'il vit pour vous;
Et croyez que le Ciel, par ſes Loix ſouueraines, Meſurera vos biens aux grandeurs de vos peines;	Et croyez que le Ciel, par ses Lois souueraines, Mesurera vos biens aux grandeurs de vos peines;
Il vous a fait vn mal, dont il aura pitié.	Il vous a fait un mal, dont il aura pitié.
Faites que le Deſtin cede a voſtre amitié;	Faites que le Destin cède a vôtre mitié;
Le ſage (à ce qu’on dit) ſe fait ſes deſtinées:	Le sage (à ce qu'on dit) se fait ses destinées:
Le pilote ſe rit des vagues mutinées;	Le pilote se rit des vagues mutinées;
eſt parmy les mal-heurs que paroiſt la vertu;	est parmi les malheurs que paraît la vertu;
La fortune meſpriſe vn courage abatu;	La fortune méprise un courage abattu;
On gagne ſes faueurs auec la reſiſtance;	On gagne ses faveurs était la résistance;
Elle est fille, elle eſt belle, on la vainc par constance.	Elle est fille, elle est belle, on la vainc par constance.
ORANTE.	ORANTE.
Et bien donc, ie viuray, puïs qu’il te plaiſt ainſi:	Et bien donc, Seigneur vivrai, puis qu'il te plaît ainsi:
Mais Nerine, mon cœur, tire moy de ſoucy, Quandla perte du ſang (eſtant eſuanoüye) M’euſt derobé la veuë außi bien que l’oüye;	Mais Nerine, mon cœur, tire moi de souci, Quandla perte du sang (étant évanouie) M'eût derobé la vue aussi bien que l'oüye;
mpprenus moy que denint, inpuptes, meſcrif, Où l’Amour par ma plume auoit peint mon esprit;	mépprenus moi que denint, inpîtes, mécrif, Où l'Amour par ma plume avait peint mon esprit;
Ne l’apperceus-tu point?	Ne l'aperçus-tu point?
il eſtoit ſur ma table:	il était sur ma table:
NERINE.	NERINE.
Ha!	Ha!
Madame pardon, ma memoire eſt coupable:	Madame pardon, ma mémoire est coupable:
Le ſoin de ſoulager vostre corps affoibly, A fait que mes penſers ont mis tout en oubly:	Le soin de soulager votre corps affaibli, A fait que mes pensers ont mis tout en oubli:
Ouy Madame, ie leus cette honorable marque, Quelaiſſoit voſtre amour endeſpit de la parque;	Oui Madame, Seigneur lus cette honorable marque, Quelaissait votre amour endespit de la parque;
Et Clindor la receut à l’inſtant de ma main:	Et Clindor la reçut à l'instant de ma main:
ORANTE.	ORANTE.
Clindor di dont 1e.	Clindor di dont 1e.
NERINE.	NERINE.
non, il partit ſoudain:	non, il partit soudain:
Et porta ce billet, & la mort à ſon Maistre, De qui i’auois receu pour vous vne autre lettre:	Et porta ce billet, et la mort à son Maître, De qui j'avais reçu pour vous une autre lettre:
Aluis ujant tt ueſſcinu tuctompaguti vospas.	Aluis ujant tt uessinu tuctompaguti vospas.
Ie voulois que ſa fin, ſuïuiſt noſtre treſpas.	Je voulais que sa fin, suïuist notre trépas.
ORANTE.	ORANTE.
Omauuenufaun eſgaune jautomuparable!	Omauvenufaun égaune jautomuparable!
Voyons ce qu’eſcriuoit cét Amant déplorable.	Voyons ce qu'écrivait cet Amant déplorable.
LETTRE.	LETTRE.
E ne ſçaurois plus endurer;	E ne saurais plus endurer;
Mon mal eſt tropgrand pourdurer;	Mon mal est tropgrand pourdurer;
Voſtre abſence me tyranniſe:	Votre absence me tyrannise:
Bornant mes iours ou mon ſoucy;	Bornant mes jours ou mon souci;
Permettez moy d’aller à Piſe, Ou ſouffrez que ie meure icy.	Permettez -moi d'aller à Pise, Ou souffrez que tu meure ici.
Faites Orante ( au nom des Dieux) Qu’vn miroir vous monſtre vos yeux;	Faites Orante ( au nom des Dieux) Qu'un miroir vous montre vos yeux;
Sa glace vous rendant ſenſible, Mes Soleils verront clairement, Que ſans doute il n’est pas poßible, De ſouffrir leur eſloignement.	Sa glace vous rendant sensible, Mes Soleils verront clairement, Que sans doute il n'est pas pouvible, De souffrir leur éloignement.
Naples me paroist vn deſert Mon œil perd tout, quand il vous pert;	Naples me paraît un des Mon œil perd tout, quand il vous pert;
Ie ne me ſgaurois plus deffendre D’aller voir ces Rois de mon cœur;	Je ne me saurais plus défendre D'aller voir ces Rois de mon cœur;
Adieu, ie ſuis	Adieu, Seigneur suis
Voſtre	Votre
ISIMANDRE.	ISIMANDRE.
Au diuin Obiect mon vainqueur.	Au divin Obiect mon vainqueur.
* Ha Ciel!	* Ha Ciel!
tout est perdu, ſi ton conſeil nem’aide;	tout est perdu, si ton conseil nem'aide;
NERINE.	NERINE.
Ie vous ay fait vn mal dont voicy le remede:	Je vous ai fait un mal dont voici le remède:
Eſcriuez ſeulement trois mots de vostre main;	Écrivez seulement trois mots de votre main;
Que Lindoman les porte, & qu’il parte demain:	Que Lindoman les porte, et qu'il parte demain:
