TRAGI-COMEDIE.	TRAGI-COMÉDIE.
Et qu’il ſemble dire à par ſoy, Helas !	Et qu'il semble dire à par soi, Hélas !
elle eſt morte pour moy.	elle est morte pour moi.
Fantaſliques propos fonges, chimeres vaines.	Fantasliques propos fonges, chimères vaines.
2 Vous irritez mes pleurs vous augmintez mes puïnes, Et le temps que ie perds à diſcourir icy, Ne doit eſtre employé qu’à fiuir mon ſoucy.	2 Vous irritez mes pleurs vous augmintez mes puînés, Et le temps que sans perds à discourir ici, Ne doit être employé qu'à fivir mon souci.
I’aſpirt apres vn bien qui n’a point d’apparince, C'eſt me nourrir de vent que viure d’eſperance, Orante infortunée, & bien ne viuons plus, Bornons auec nos iours cis regrets ſaperflus, Innecent criminel, vieil importun Florange, Par mon triſte deſſein, vou où le tien me range, Ifimandre fidelle, apprends que ie le ſuis, Sans paitager ma mort, partage mes ennuü, Et iuge par le ſang que ie m’en vais répandre, Qu'Orante n’atma rien que le ſeul ſimandre, Viuant en ton penſer;	J'aspirait après un bien qui n'a point d'apparince, C'est me nourrir de vent que vivre d'espérance, Orante infortunée, et bien ne vivons plus, Bornons ainsi nos jours cis regrets saperflus, Innecent criminel, vieil importun Florange, Par mon triste dessein, voulez où le tien me range, Ifimandre fidèle, apprends que ie le suis, Sans paitager ma mort, partage mes ennu, Et juge par le sang que promen vais répandre, Qu'Orante n'atma rien que le seul simandre, Vivant en ton penser;
ie mourray ſans douleur,	Ne mourrai sans douleur,
Elle ſe débande le bras.	Elle se débande le bras.
Dieux ce ſang eſt de flâme il en a la couleur, Reçois au liieu d’encens l’agreable fumée, Qui ſort parmy le ſang de la perſonne aimée, Ce ſont là des eſprits qui vont chercher le tien, La mort n’eſt point vn mal à qui la connoiſt bien, Mais puiſque ce pappier ſe trouue fauorable, Taſchons de conſoler l’oſprit d’vn miſernort,	Dieux ce sang est de flamme il en a la couleur, Reçois au liieu d'encens l'agréable fumée, Qui sort parmi le sang de la personne aimée, Ce sont là des esprits qui vont chercher le tien, La mort n'est point un mal à qui la connaît bien, Mais puisque ce papier se trouve favorable, Tâchons de consoler l'osprit d'un misernort,
Elle eſcrit de Ion ſang.	Elle écrit de Ion sang.
Faiſons voir que la mort ne prui non jur l’amour, Adieu ches Iſimandre adieu, ie peids le iour.	Faisons voir que la mort ne prui non jur l'amour, Adieu chez Isimandre adieu, quelque péids le jour.
NERINE.	NERINE.
SCENE VI	SCÈNE VI
Ve me donneriez vous d’vne bonne nouuelle?	Ve me donneriez -vous d'une bonne nouvelle?
Madame, vous dormez, c’eſt en vain que i’a pelle:	Madame, vous dormez, c'est en vain que j'a pelle:
Ha Ciil!	Ha Ciil!
quel accident?	quel accident?
au ſicouts mes amis, Dieux!	au sicouts mes amis, Dieux!
vous l’auez veu faire, & vous l’auez permis Elle nage en ſon ſang;	vous l'avez vu faire, et vous l'avez permis Elle nage en son sang;
ô l’horrible ſpectacle!	ô l'horrible spectacle!
Son funeſte projet n’a point trouué d’obſtacle:	Son funeste projet n'a point trouvé d'obstacle:
Et ce pappier m'apprend que ſa fidelité, Aiius paula more ue mnuortetrer.	Et ce papier m'apprend que sa fidélité, Ajus paula more ue mnuortetrer.
SCENE VII.	SCÈNE VII.
CLINDOR, NERINE.	CLINDOR, NERINE.
CLINDOR.	CLINDOR.
L faut que is m’aduance à la chambre voiſine:	L faut que is m'avance à la chambre voisine:
&8 Quel prodige eſt-ce la?	et8 Quel prodige est-ce la?
que faites-vo' Nerinti	que faites-vo' Nérinti
NERINE.	NERINE.
Retourne vers lon Maifire, & var t’in l’aduertir, Qu’Orante ne vit plus, qu’il eſt temps de partir:	Retourne vers lon Majire, et var t'in l'avertir, Qu'Orante ne vit plus, qu'il est temps de partir:
Porte-luy ce pappier.	Porte-lui ce papier.
CLINDOR.	CLINDOR.
O funeſte meſſage!	Ô funeste message!
NERINE.	NERINE.
Qu’il puniſſe Florange autheur de ce dommage, On la vouloit forcer de viurs ſous ſa Loy, Aditu, ne ſois point veu quel qu’vn vient, ſauut-toj	Qu'il punisse Florange auteur de ce dommage, On la voulait forcer de vivres sous sa Loi, Aditu, ne sois point vu quel qu'un vient, savut-toj
SCENE VIII.	SCÈNE VIII.
LVCINDE, ORMIN, FLORANGE, PALINICE, NERINE, ORANTE,	LUCINDE, ORMIN, FLORANGE, PALINICE, NERINE, ORANTE,
LVCINDE.	LUCINDE.
Vel bruit ay-je entendu?	Vel bruit ai-je entendu?
ORMIN.	ORMIN.
Bons Dieux, Orante eſt mort	Bons Dieux, Orante est mort
FLORANGE.	FLORANGE.
Quel homme, ou quel Oemon, l’a miſe de la ſerte?	Quel homme, ou quel Oémon, l'a mise de la serte?
PALINICE.	PALINICE.
E lle s’eſt fait ſaigni?	ELLE lèle s'est fait saigni?
& ſon bras s’eſt ouuert, Mais ie vois qu’elle vit par le ſang qu’elle pert,	et son bras s'est ouvert, Mais je vois qu'elle vit par le sang qu'elle pert,
Ma Fille.	Ma Fille.
LVCINDE.	LUCINDE.
Ma Couſine.	Ma Cousine.
PALINICE.	PALINICE.
ORMIN.	ORMIN.
Orante.	Orante.
TPORANGE.	TOPORANGE.
Ma Maiſtreſſe.	Ma Maîtresse.
NERINE.	NERINE.
Qu'on luy iette de l’eau remettons la compreſſe,	Qu'on lui jette de l'eau remettons la compresse,
ORMIN.	ORMIN.
Ha Cidl!	Ha Cidl!
elle reuient.	elle revient.
NERINE.	NERINE.
Ouy, mais c’eſt pour mourir,	Oui, mais c'est pour mourir,
ORANTE, deurangt iuy uiſpiaiſt, ja mirt ta manire	ORANTE, devrangt jui uispiaist, ja mir a manire
ORMIN.	ORMIN.
Et vmit luy feroit mal, que chacun ſe retire,	Et vit lui ferait mal, que chacun se retire,
Il parle bas.	Il parle bas.
Viuez, aimable Orante, on ne vous peut forcer,	Vivez, aimable Orante, on ne vous peut forcer,
ORHAGIL.	ORHAGIL.
Ie conjure les Dieux de vous récompenſer.	Je conjure les Dieux de vous récompenser.
TISITE	TISITE
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PALINICE.	PALINICE.
Nuiſible ſerpent, cruelle ialouſie, I Qui vomit ton vinin dans noſtre fantaiſie.	Nuisible serpent, cruelle jalousie, I Qui vomit ton vin dans notre fantaisie.
Bourreau de mon repos, vray monſtre des enfers, Qui meis l’ame à la geſne, & l’eſprit dans les fers;	Bourreau de mon repos, vrai montre des enfers, Qui me l'âme à la gêne, et l'esprit dans les fers;
Ceſſe de me monſtrer ta vaine, & paſte image, Ceſſe de me pridire vn funeſti dommage, Orante ayme l'honneur.	Cesse de me montrer ta vaine, et pâte image, Cesse de me pridire un funesti dommage, Orante aime l'honneur.
Ormin ſçait ſon deuoir.	Ormin sait son devoir.
Mais Amour eſt aueugle, il ne ſçauroit rien voir, La plus forte raiſon cide à cettt manie.	Mais Amour est aveugle, il ne saurait rien voir, La plus forte raison cide à celt manie.
Et bien qu’elle ſoit Reynt, elle eſt ſouuent banye.	Et bien qu'elle soit Reine, elle est souvent banie.
Le change a des attraits plus forts que la beauté Touſiouts l’eſprit d’vn homme ayme la nouueauté, L’Hymen eſt vn fardeau qu’il iuge inſuportable;	Le change a des attraits plus forts que la beauté Touiouts l'esprit d'un homme aime la nouveauté, L'Hymen est un fardeau qu'il juge insupportable;
Lius vn bien eſt aiſé, moins il eſt delectable;	Lius un bien est aisé, moins il est délectable;
Ca que nous poſſidone, eſt prijme jaus praſites	Ça que nous possidone, est prime jaus prasites
L’amour trouue ſa fin en celle da deſir, 2 Lors qu’il eſt au ſommet il tommence a de ſcendrs, Et ce braſier s’eſteint dedans ſa propre cendre.	L'amour trouve sa fin en celle da désir, 2 Lors qu'il est au sommet il tommence a de scendrs, Et ce brasier s'éteint dedans sa propre cendre.
Dieux!	Dieux!
ie l’experimente en ma iuſte doulenr, Ormin eſt touſiours triſſe, il cbange de couleur, Des ſouſpirs continus deſcouurent ſa folie, Son cœur ſuit par les yeux la bille qui le lie, Il ne me parle plus qu’en termes de meſpris, Orants eſt vn miracle entre les beaux eſprits, Elle ſeule merits vne extréme loüange.	nos l'expérimente en ma juste doulenr, Orin est toujours trisse, il cbange il couleur, Des soupirs continus découvrent sa folie, Son cœur suit par les yeux la bille qui le lie, Il ne me parle plus qu'en termes de mépris, Orants est un miracle entre les beaux esprits, Elle seule mérits une extrême louange.
Il la peint des couleurs, dont on peindroit vn Ange Il luy donne l’encens qu’on offriroit aux Dieux, Il mépriſe la terre, & ſe moque des Cieux Afin de l’obliger il manque à ſa promeſſe.	Il la peint des couleurs, dont on peindrait un Ange Il avait donne l'encens qu'on offrirait aux Dieux, Il méprise la terre, et se moque des Cieux Afin de l'obliger il manque à sa promesse.
Florangę n’eſtant qu’homme effence ſa Decſſe.	Florangę n'étant qu'homme essence sa Décsse.
Pour poſſeder ce corps il faut eſtre immortel, Bref, pour auoir ſa couche il luy dreſſe vn autel, Il eſt vray, ie le voy;	Pour posséder ce corps il faut être immortel, Bref, pour avoir sa couche il était dresse un autel, Il est vrai, ie le vois;
ſon ams en eſt bleßée.	son ams en est blessée.
Elle eſt l’vnique objet qu’il a dans la penſée, Il mépriſe ma flâme außi-bien que ſa foy, Pour rendre Orante à luy, l’ingrat n’eſt pius à moy Mais il manque d’amour.	Elle est l'unique objet qu'il a dans la pensée, Il méprise ma flamme aussi-bien que sa foi, Pour rendre Orante à lui, l'ingrat n'est pius à moi Mais il manque d'amour.
& non moy de courage On connoiſt le Pilote au milieu de l’orage, Faiſens agir l’eſprit pour rompre ſes deſſeins Taſchons de luy donner des ſentimens plus ſains, Qu’il prenne pour guarir la medecine amire, Et que ſon pouuoir cide à celuy d’vne mers,	et non moi de courage On connaît le Pilote au milieu de l'orage, Faisens agir l'esprit pour rompre ses desseins Tâchons de lui donner des sentiments plus sains, Qu'il prenne pour garir la médecine amire, Et que son pouvoir cide à celui d'une mers,
SCENE ORMIN.	SCÈNE ORMIN.
II.	II.
STANCES.	STANCES.
8E fais gloire de mes mal-heurs, al2 Ie me vante de mes douleurs, Tant ie cheris ma ſeruitude:	8E fais gloire de mes malheurs, al2 Ie me vante de mes douleurs, Tant ie chéris ma servitude:
Et bien que dãs mes maux l’eſpoir me ſoit oſté (Sans l’accuſer d’ingratitude) I’adore ma maiſtreſſe, & hay ma liberté.	Et bien que dans mes maux l'espoir me soit ôté (Sans l'accuser d'ingratitude) J'adore ma maîtresse, et haï ma liberté.
Ie la ſers, mais c’eſt par deuoir, Qui peut n’aimer pas & la voir?	Je la sers, mais c'est par devoir, Qui peut n'aimer pas et la voir?
A ſes beaux yeux tout eſt poſſible:	À ses beaux yeux tout est possible:
Et qui n’eſt point touché par de ſi doux appas, A la qualité d’inſenſible, Ou malgré ſes rigueurs, mon cœur n’aſpire pas.	Et qui n'est point touché par de si doux appas, À la qualité d'insensible, Ou malgré ses rigueurs, mon cœur n'aspire pas.
La peine me ſemble vn plaiſir, Ie fuy l’eſpoir & le deſir, Qui font aimer les ames baſſes:	La peine me semble un plaisir, Je fuis l'espoir et le désir, Qui font aimer les âmes basses:
Vn tombeau glorieux ne peut eſtre que doux, Et mourir pour vne des graces.	Un tombeau glorieux ne peut être que doux, Et mourir pour une des grâces.
Eſt vn ſort qui peut rẽdre vn Dieu meſme ialoux, C’en eſt fait, i’y ſuis reſolu, Le Ciel, & mon cœur l’ont voulu, Ie ſuis content des deſtinées,	Est un sort qui peut rẽdre un Dieu même jaloux, C'en est fait, j'y suis résolu, Le Ciel, et mon cœur l'ont voulu, Je suis content des destinées,
Ie quitte ſans regret, la lumiere du jour;	Je quitte sans regret, la lumière du jour;
Mais dans la fin de mes années, On ne verra iamais celle de mon amour Les eſpines me ſont des fleurs;	Mais dans la fin de mes années, On ne verra jamais celle de mon amour Les épines me sont des fleurs;
Dans l’oubly, comme dans les pleurs, Ie conſerueray ſa memoire:	Dans l'oubli, comme dans les pleurs, Je conserverai sa mémoire:
Et mon eſprit ſans corps, & ſans legereté, olnera mes ſeux & ſa gloire, Dans l’Empire des morts à l’immortalité.	Et mon esprit sans corps, et sans légèreté, olnera mes seux et sa gloire, Dans l'Empire des morts à l'immortalité.
Ouy, ie la veux aimer iuſqu’en la ſepulture, Elle merite bien qu’on force la Nature, On doit à ſes vertus vn amour eternel, S’il eſtoit periſſable il ſeroit criminel, On ne peut trop aimer vn objet tant aimable, Iamais l’excez du bien ne peut eſire blaſmable, ( S’il eſt permis de mettre vn excez dans le bien) Il faut que mon eſprit prenne la toy du ſien.	Oui, Seigneur la veux aimer jusqu'en la sépulture, Elle mérite bien qu'on force la Nature, On doit à ses vertus un amour éternel, S'il était périssable il serait criminel, On ne peut trop aimer un objet tant aimable, Jamais l'excès du bien ne peut esire blâmable, ( il est permis de mettre un excès dans le bien) Il faut que mon esprit prenne la toi du sien.
Et que ſes volontez regnent ſur mes penſées, Que Florange n’ait plu ſes flâmes inſensées, Puis qu’il déplaiſt à l’œil que ie veux adorer Le reſpect qu’il me doit luy deffond d’eſperer, Et mes commandemens l’obligent à ſe taire, O toy de mes penſers, fidele Secretaire, Amour, qui les fau naiſtre & ſeul les vois au cœur, Viens rendre vne viſite au bil œil mon vainqueur.	Et que ses volontés règnent sur mes pensées, Que Florange n'ait plu ses flammes insensées, Puis qu'il déplaît à l'œil que tu veux adorer Le respect qu'il me doit ainsi défond d'espérer, Et mes commandements l'obligent à se taire, Ô toi de mes pensers, fidèle Secrétaire, Amour, qui les fau naître et seul les vois au cœur, Viens rendre une visite au bil œil mon vainqueur.
Et pour faire vn miracle, en voyant ma Rebelle.	Et pour faire un miracle, en voyant ma Rebelle.
Suy-moy dans mon retour, & demeure chez elle.	Sui-moi dans mon retour, et demeure chez elle.
SCENE III.	SCÈNE III.
ORANTE NERINE.	ORANTE NERINE.
ORANTE.	ORANTE.
Empethaneue mouin, vonjuours me conduit, M Du repos à la peine, & du ſilence au bruit.	Empethaneue mouin, vonjuours me conduit, M Du repos à la peine, et du silence au bruit.
NERINE, Vous irez (ſi le ſort talme ſa violence, De la peint au repos & du bruit au ſilence.	NERINE, Vous irez (si le sort talme sa violence, De la peint au repos et du bruit au silence.
ORANTE.	ORANTE.
Ha!	Ha!
ne me flatte point d’vn eſpoir deceuant, I’arreſterous pluſieſt les ondes & le vent, Que la ſuite des maux dont ie ſuis trauerſet, L’eſperance eſt trop foible, elle en eſt renuerſée, La rigueur de ma mere, & celle de mon ſort Ne laiſſent à mon choix que Florange, ou la mort;	ne me flatte point d' espoir décevant, J'arresterous plusiest les ondes et le vent, Que la suite des maux dont je suis traverset, L'espérance est trop faible, elle en est renversée, La rigueur de ma mère, et celle de mon sort Ne laissent à mon choix que Florange, ou la mort;
Toutes mes volontez panchint vers la derniere, Elle déliurera mon ame priſonniere.	Toutes mes volontés penchint vers la dernière, Elle délivrer mon âme prisonnière.
Et malgré tous vos ſoins mon eſprit enflâmé Fera voir que le feu ne peut eſtre enfermé.	Et malgré tous vos soins mon esprit enflammé Fera voir que le feu ne peut être enfermé.
Vne ame gentreuſt à la clif di ſa porte, Rien ne peut empeſcher que la mienne ne ſorte, Ie meuts ſans deſeſpotr, ie finis par raiſon, Cnoinié vaut mieux que ne fait la priſon.	Une âme gentreust à la clis di sa porte, Rien ne peut empêcher que la mienne ne sorte, Je meuts sans désespotr, ie finis par raison, Cnoinié vaut mieux que ne fait la prison.
NERINE.	NERINE.
La parole d’Ormin doit bannir cette crainte.	La parole d'Ormin doit bannir cette crainte.
ORANIE.	ORANIE.
La crois-tu veritable?	La crois-tu véritable?
NERINE.	NERINE.
Et la croyez-vous feinte, 21 Non, eſperez Madame, vn traittement plus doux Viuez pour Iſimandre ainſi qu’il vit pour vous Et croyez que te Ciel par ſes Loix ſouueraines Meſurera vos biens aux grandeurs de vos peines, Il vous a fait vn mat dont il aura pitté Faites que le Deſtin cede à voſtre amitié;	Et la croyez-vous feinte, 21 Non, espérez Madame, un traitement plus doux Vivez pour Isimandre ainsi qu'il vit pour vous Et croyez que te Ciel par ses Lois souveraines Mesurera vos biens aux grandeurs de vos peines, Il vous a fait un mat dont il aura pitté Faites que le Destin cède à votre amitié;
Le Sage (à ce qu’on dit) ſe fait ſes deſtinées, Le Pilote ſe rit des vagats mutinées, C’eſt parmy les mal-heurs que paroiſt la vertu, La fortant hprije in gamage aobata, On gaigne ſes faueurs auec la refiſtance, Elle eſt fille, elle eſt belle, on la vainc par conſtancs.	Le Sage (à ce qu'on dit) se fait ses destinées, Le Pilote se rit des vagats mutinées, C'est parmi les malheurs que paraît la vertu, La sortant hprije in gamage aobata, On gagne ses faveurs avec la résistance, Elle est fille, elle est belle, on la vainc par constancs.
ORANTE.	ORANTE.
Et bien donc, ie viuray, puus qu’il te plaiſt airſ, Maù Nerine, mon cœur, tire moy de ſouc M1ou Quand la perte du ſang eſtant eſuanoist, M’euſt dérobé la tiue uupuoren dur Poxre 41 Apprends-moy que deuint vn pappier, vn eſcrit, Où l’Amour par ma plume aupit peint mon eſprit, Ne l’apperceus-tu point il eſtoit ſur ma table:	Et bien donc, Madame vivrai, puus qu'il te plaît airs, Maù Nerine, mon cœur, tire moi de souc M1ou Quand la perte du sang étant esuanoist, M'eût dérobé la tive upuoren dur Poxre 41 Apprends-moi que devint un papier, Un écrit, Où l'Amour par ma plume aupit peint mon esprit, Ne l'aperçus-tu point il était sur ma table:
NERINE.	NERINE.
Ha!	Ha!
Madame pardon, ma memoire eſt cou pable:	Madame pardon, ma mémoire est cou pable:
Le ſoin de ſoûtager voſtre torps aſſoibty, A fait que mes penſers ont mis tout en oubly.	Le soin de soutager votre torps assoibty, A fait que mes pensers ont mis tout en oubli.
Ouy, Madame ie leus cette honorable marque, que laiſſoit voſtre amour en deſpit de la parque;	Oui, Madame ie leus cette honorable marque, que laissait votre amour en dépit de la parque;
Et Clindor la receut à l’inſtant de ma main,	Et Clindor la reçut à l'instant de ma main,
ORANTE.	ORANTE.
Sindor eſt duonc i&.	Sindor est duonc jet.
NERINE.	NERINE.
Non, il partit ſoudain, Es porta ce billet, & la mort à ſon Maiſtre, De qui i'auous receu pour vous vns autre lettre, Muu ujant te uigtin à ueto ppagner vos pas, Is veulois que ſa fin ſuiaiſt noſtre treſpas.	Non, il partit soudain, Es porta ce billet, et la mort à son Maître, De qui j'avou reçu pour vous uns autre lettre, Mu jant te éguigtin à ueto ppagner vos pas, Is veulais que sa fin suiaist notre trépas.
ORANTE.	ORANTE.
O mal-beur ſans égal!	Ô malheur sans égal!
ô faute incomparable!	ô faute incomparable!
Vojons te qu'eſerinon tet Amamt atpiorable.	Vojons te qu'eserinon tet Amamt atpiorable.
LETTRE.	LETTRE.
E ne ſçaurois plus endurer, I Mon mal eſt trop grand pour duret, Voſtre abſence me tyranniſe, Bornant mes iours ou mon ſoucy Permettez-moy d’aller à Piſe, Ou ſouffrez que ie meure icy.	E ne saurais plus endurer, I Mon mal est trop grand pour duret, Votre absence me tyrannise, Bornant mes jours ou mon souci Permettez-moi d'aller à Pise, Ou souffrez que mille meure ici.
Faites Orante ( au nom des Dieux) Qu’vn miroir vous montre vos yeux, Da glace vous fendant lennale, Mes Soleils verront clairement.	Faites Orante ( au nom des Dieux) Qu'un miroir vous montre vos yeux, Da glace vous fendant lennale, Mes Soleils verront clairement.
Que ſans doute il n’eſt pas poſſible, De ſouffrir leur eſloignement.	Que sans doute il n'est pas possible, De souffrir leur éloignement.
*	*
Naples me paroiſt vn deſert, Mon œil perd tout quand il vous pert.	Naples me paraît un désert, Mon œil perd tout quand il vous pert.
Ie ne me ſçaurois plus deffendre D’aller voir les Roys de moi cœur;	Je ne me saurais plus défendre D'aller voir les Rois de moi cœur;
Adicu, ie ſuis	Adicu, Seigneur suis
Voſtre	Votre
ISIMANDRE.	ISIMANDRE.
C'eſt le deſſus de la tettre.	C'est le dessus de la tettre.
Au diuin Obj ect mor tarliqueur.	Au divin Obj ect mór tarliqueur.
Ma Ciel!	Ma Ciel!
tout eſt perdu ſi ton conſeil ne m’aide.	tout est perdu si ton conseil ne m'aide.
NERINE.	NERINE.
Ie vous ay fait vn mai dont voicy le remede, Eſcriuez ſeulement trois mots de voſtre main, Que Lindoman les porit, O quu paitt dimain	Je vous ai fait un mai dont voici le remède, Écrivez seulement trois mots de votre main, Que Lindoman les porit, Ô paitt dimain
ORANTE.	ORANTE.
Eſt-il aſſez diſcret pour luy montrer ma flâme?	Est-il assez discret pour lui montrer ma flamme?
NERINE.	NERINE.
Vn ſicret important l’eſt touſiours dans ſon ame.	Un sicret important l'est toujours dans son âme.
Iſimandre, ſans donte, a beſoin de celx.	Isimandre, sans donte, a besoin de celx.
ORANTE, lote tena.	ORANTE, lote tena.
mab Horan.	ma Horan.
NERINE.	NERINE.
Madame, le voilà.	Madame, le voilà.
CENE IV.	CÈNE IV.
FLORANGE, ORANTEL IERINE.	FLORANGE, ORANTEL IERINE.
FLORANGE.	FLORANGE.
On abord vous déplaiſt mon reſpect vous offence, M Mais contre vos rigueurs, amour prẽd ma deffence:	On abord vous déplaît mon respect vous offense, M Mais contre vos rigueurs, amour prend ma défense:
Et promit à mon cœur, pour le reconfortez La forte de les vainere, ou de let ſupporter.	Et promit à mon cœur, pour le réconfortez La forte de les vaine, ou de let supporter.
ORANTE luy offrant vn ſiege.	ORANTE était offrant un siège.
dtnox-vous en repos, ſans parler dauantage, Ie vous dois du reſpect à cauſe de voſtre âge.	dtnox-vous en repos, sans parler davantage, Je vous dois du respect à cause de votre âge.
FLORANGE.	FLORANGE.
Mon feu ne peut ſoeffrir vn ſi froid complimint, Vous me traittez en Pire & non pas en Amans.	Mon feu ne peut souffrir un si froid complimint, Vous me traités en Pire et non pas en Amants.
Ha!	Ha!
vueillez adoucir mes peines obſtinées, Et compter mon argent pluſtoſt que mes années, Pour faire que mon aſtre ait vn aſpect plus doux, Sengez que mon amour eſt ieunt comme vous.	veuillez adoucir mes peines obstinées, Et compter mon argent plutôt que mes années, Pour faire que mon astre ait un aspect plus doux, Séngez que mon amour est jeunt comme vous.
ORIIIE.	ORIIIE.
Songez que le Sepulchre eſt prés de voſtre couche, Et qu’Ormin vous deffend d’en ouurir plus la bouche.	Songez que le Sépulcre est près de votre couche, Et qu'Ormin vous défend d'en ouvrir plus la bouche.
FLORANGE.	FLORANGE.
Oimin peut tout ſur moy, mais rien ſur men amous, Il ne peut me l’oſter qu’en me priuant dù iour, Sa foy me veut trahir, mais en cette aduanture Mon Amour outragé s’adreſſe à la Naturs.	Oimin peut tout sur moi, mais rien sur men amous, Il ne peut me l'ôter qu'en me privant dù jour, Sa foi me veut trahir, mais en cette aventure Mon Amour outragé s'adresse à la Naturs.
Lucinde arriue.	Lucinde arrive.
Madame, c'eſt de vous que i’attends aujourd'buy, Ou ma premiere ioye, ou mon derniez ennuy, Ormin eſt ſans parole, Orante me mépriſe, Et ce iour pour mon ame eſt bien vn iour de criſe, Prononçant vn arreſt que i’attends à genoux, Paid:	Madame, c'est de vous que j'attends aujourd'hui, Ou ma première joie, ou mon derniez ennui, Ormin est sans parole, Orante me méprise, Et ce jour pour mon âme est bien un jour de crise, Prononçant un arrêt que j'attends à genoux, Paid:
z le diffirent qui s’eſmeut entre nous.	z le diffirent qui s'émut entre nous.
SCENE V.	SCÈNE V.
LVCINDE, FLORARSET ORANTE, NERINE.	LUCINDE, FLORARSET ORANTE, NERINE.
LVCINDE.	LUCINDE.
A parole tiendra, puis que ie l’ay donnée.	À parole tiendra, puis que sans l'ai donnée.
ORAMIE.	ORAMIE.
Amour eſt bien vn Dieu plus puiſſant qu’Hymenée,	Amour est bien un Dieu plus puissant qu'Hyménée,
Ormin paroiſt.	Ormin paraît.
Ha, Monſieur, ontejoitt;	Ha, Monsieur, ontejait;
O urcuux ennemi Veulent m’oſter vn bien que vous m’auez promis.	Ô aucuux ennemi Veulent m'ôter un bien que vous m'avez promis.
CENE VI ORMIN, FLORANGE, ORANTE, LVCINDE, NERINE.	CÈNE VI ORMIN, FLORANGE, ORANTE, LUCINDE, NERINE.
ORMIN Vi vous fait ſi hardy, que de m'eſtre ribelle?	ORMIN Vi vous fait si hardi, que de m'être ribelle?
FLORANGE.	FLORANGE.
Fermez l’œil pour ma faute, & voyez cette Belle.	Fermez l'œil pour ma faute, et voyez cette Belle.
ORMIN.	ORMIN.
Allez, ſi iamais plus vous procedez ainſi, Ie vous fer ay bien veir que ie commande icy, Madame, ce Mary n'eſt pas bon peur drinin, Leur âge eſt inégal, leur humeur differente, Pour agir là deſſus auecque iugement Souffrez que ie vous meine à voſtre appartement.	Allez, si jamais plus vous procédez ainsi, Je vous fer ai bien veir que mon commande ici, Madame, ce Mari n'est pas bon peur drin, Leur âge est inégal, leur humeur différente, Pour agir là -dessus après jugement Souffrez que je vous mène à votre appartement.
Seruons-nous du loiſir qui nous vient ſans l'attendre.	Servons-nous du loisir qui nous vient sans l'attendre.
Deſpeſihons Lindoman, au fidelle ſimandre, Afin que ſon eſprit où regne la raiſon, Tire le mien de peins, & mon corps de priſon.	Despesihons Lindoman, au fidèle simandre, Afin que son esprit où règne la raison, Tire le mien de peins, et mon corps de prison.
deLivn VTA.	deLivn VTA.
ISIMANDRE.	ISIMANDRE.
Ve l’attente eſt faſcheuſs à l’amant qui ſoûpire Qu'vn bien ſemble tardi f alors qu’on le deſire!	Ve l'attente est fâcheuss à l'amant qui soupire Qu'un bien semble tardi f alors qu'on le désire!
Le cours d’vn ſiecle entitr a bien moins de moments, Que la crainte & l’eſpoir ne donnent de tourments, Pareſſeux Meſſager, qui fais languir mon ame.	Le cours d'un siècle entitr a bien moins de moments, Que la crainte et l'espoir ne donnent de tourments, Paresseux Messager, qui fais languir mon âme.
Reſouds-toy de quitter les beaux yeux de ma Dame, Voy mes maux.	Résouds-toi de quitter les beaux yeux de ma Dame, Vois mes maux.
ſonge à moy, regarde ton deuoir, Et ſois prompt à venir ſi tu me veux reuoir, Penſe que ta longueur m’aſſaßine, & me tuë, Toy ſeul peux releuer ma pauure ame abatuë:	songe à moi, regarde ton devoir, Et sois prompt à venir si tu me veux revoir, Pense que ta longueur m'assassine, et me tue, Toi seul peux relever ma pauvre âme abattue:
Souffre que mes deſirs t'arrachent de ce Ciel, Voudrois-tu du Nectar, quand ie n’ay que du fich Ton immortalité me couſteroit la vie, He!	Souffre que mes désirs t'arrachent de ce Ciel, Voudrais-tu du Nectar, quand quelque n'ai que du fich Ton immortalité me coûterait la vie, He!
ſois plus pitoyable en ſaiuant mon enuie, Tu m’as cent fois promis d’aider à mon deſſein, Ha, bons Dieux!	sois plus pitoyable en saisant mon envie, Tu m'as cent fois promis d'aider à mon dessein, Ha, bons Dieux!
le voicy, le cœur me bat au ſein, Ie tremble en remarquant qu’il s’eſt peint le viſage De la paſle couleur d’vn funeſte preſage, La triſteſſe le ſuit & marche ſur ſes pas;	le voici, le cœur me bat au sein, Je tremble en remarquant qu'il s'est peint le visage De la pâle couleur d'vn funeste présage, La tristesse le suit et marche sur ses pas;
Is lis dedans ſes yeux ce qu’il ne me dit pas, Et dans l’incertitudt bumuut ſon ſilence, L’excez de mon ſuplice accroiſt ſa violince, Mes pleurs ſoiuent lis ſiens ſans en voir le ſujet, Toy qui fais ma douleur, mentre-luy ſon objet, Ne me le cele point veut-on forcer Orante?	Is lis dedans ses yeux ce qu'il ne me dit pas, Et dans l'incertitudt bumuut son silence, L'excès de mon supplice accrois sa violince, Mes pleurs soivent lis siens sans en voir le sujet, Toi qui fais ma douleur, mentre-lui son objet, Ne me le cèle point veut-on forcer Orante?
As-tu veu les abou de ſa vertu mourante?	As-tu vu les abou de sa vertu mourante?
As-tu veu ſon eſprit à trauers ſon diſcours?	As-tu vu son esprit à travers son discours?
Suu-je deſeſpere?	Su-je désespère?
n’ay-je plus de ſecours?	n'ai-je plus de secours?
