Suivant la Copie imprimée	Suivant la Copie imprimée
Une telle vertu n’appartenoit qu’à nous.	Une telle vertu n'appartenait qu'à nous.
L’éclat de ſon grand nom luy fait peu de jaloux, Et peu d’hommes au cœur l’ont aſſez imprimée Pour oſer aſpirer à tant de renommée.	L'éclat de son grand nom lui fait peu de jaloux, Et peu d'hommes au cœur l'ont assez imprimée Pour oser aspirer à tant de renommée.
CURIACE.	CURICE.
Il eſt vray que nos noms ne ſçauroient plus perir, L’occaſion eſt belle, il nous la faut cherir, Nous ſerons les miroirs d’une vertu bien rare, Mais voſtre fermeté tient un peu du barbare.	Il est vrai que nos noms ne sauraient plus périr, L'occasion est belle, il nous la faut chérir, Nous serons les miroirs d'une vertu bien rare, Mais quelque fermeté tient un peu du barbare.
Peu, meſme des grands cœurs, tireroient vanité D’aller par ce chemin à l’immortalité:	Peu, même des grands cœurs, tireraient vanité D'aller par ce chemin à l'immortalité:
A quelque prix qu’on mette une telle fumée, L’obſcurité vaut mieux que tant de renommée.	À quelque prix qu'on mette une telle fumée, L'obscurité vaut mieux que tant de renommée.
Pour moy, je l’oſe dire, & vous l’avez pû voir, Je n’ay point conſulté pour ſuivre mon devoir, Noſtre longue amitié, l’amour, ny l’alliance, N’ont pû mettre un moment mon eſprit en balane, Et puiſque par ce choix Albe montre en effet Qu’elle m’eſtime autant que Rome vous a fait, Je croy faire pour elle autant que vous pour Rome, J’ay le cœur auſſi bon, mais enfin je ſuis homme.	Pour moi, je l'ose dire, et vous l'avez pu voir, Je n'ai point consulté pour suivre mon devoir, Notre longue amitié, l'amour, ni l'alliance, N'ont pu mettre un moment mon esprit en balane, Et puisque par ce choix Albe montre en effet Qu'elle m'estime autant que Rome vous a fait, Je crois faire pour elle autant que vous pour Rome, J'ai le cœur aussi bon, mais enfin je suis homme.
Je voy que voſtre honneur demande tout mon ſang, Que tout le mien conſiſte à vous percer le flanc, Preſt d’épouſer la ſœur qu’il faut tuer le frere, Et que pour mon païs j’ay le Sort ſi contraire;	Je vois que votre honneur demande tout mon sang, Que tout le mien consiste à vous percer le flanc, Prêt d'épouser la sœur qu'il faut tuer le frère, Et que pour mon pays j'ai le Sort si contraire;
Encor qu’à mon devoir je coure ſans terreur, Mon cœur s’en effarouche, & j’en fremis d’horreur, J’ay pitié de moy-meſme, & jette un œil d’envie Sur ceux dont noſtre guerre a conſumé la vie.	Encor qu'à mon devoir je coure sans terreur, Mon cœur s'en effarouche, et j'en frémis d'horreur, J'ai pitié de moi-même, et jette un œil d'envie Sur ceux dont notre guerre a consumé la vie.
Sans ſouhait toutefois de pouvoir reculer, Ce triſte & fier honneur m’émeut ſans m’ébranler, J’amle ce qu’il me donne, & je plains ce qu’il 1 m’oſte;	Sans souhait toutefois de pouvoir reculer, Ce triste et fier honneur m'émeut sans m'ébranler, J'amle ce qu'il me donne, et je plains ce qu'il 1 m'ôte;
Et ſi Rome demande une vertu plus haute, Je rens graces aux Dieux de n’eſtre pas Romain, nour comerter encor quelque choſe d’humain.	Et si Rome demande une vertu plus haute, Je rends grâces aux Dieux de n'être pas Romain, nour comerter encor quelque chose d'humain.
HORACE.	HORACE.
Si vous n’eſtes Romain, ſoyez digne de l’eſtre, Et ſi vous m’égalez, faites-le mieux paroiſtre.	Si vous n'êtes Romain, soyez digne de l'être, Et si vous m'égalez, faites-le mieux paraître.
La ſolide vertu dont je fais vanité N’admet point de foibleſſe avec ſa fermeté, Et c’eſt mal de l’honneur entrer dans la carriere Que dés le premier pas regarder en arriere.	La solide vertu dont je fais vanité N'admet point de faiblesse avec sa fermeté, Et c'est mal de l'honneur entrer dans la carrière Que dès le premier pas regarder en arrière.
Noſtre malheur eſt grand, il eſt au plus haut point.	Notre malheur est grand, il est au plus haut point.
Je l’enuiſage entier, mais je n’en fremis point.	Je l'envisage entier, mais je n'en frémis point.
Contre qui que ce ſoit que mon pays m’employe, ’accepte aveuglément cette gloire avec joye, Celle de recevoir de tels commandemens Doit étouffer en nous tous autres ſentimens;	Contre qui que ce soit que mon pays m'emploie, aaccepte aveuglément cette gloire avec joie, Celle de recevoir de tels commandements Doit étouffer en nous tous autres sentiments;
Qui prés de le ſervir conſidere autre choſe, A faire ce qu’il doit lâchement ſe diſpoſe, Ce droit ſaint & ſacré rompt tout autre lien, Rome a choiſi mon bras, je n’examine rien.	Qui près de le servir considère autre chose, À faire ce qu'il doit lâchement se dispose, Ce droit et et sacré rompt tout autre lien, Rome a choisi mon bras, je n'examine rien.
Avec une allegreſſe auſſi pleine & ſincere Que jepomray la lueur, je comoatiay le lere, Et pour trancher enfin ces diſcours ſuperflus, Albe vous a nommé, je ne vous connoy plus.	Avec une allégresse aussi pleine et sincère Que jepomrai la lueur, je comatiai le lere, Et pour trancher enfin ces discours superflus, Albe vous a nommé, je ne vous connais plus.
CURIACE.	CURICE.
Je vous connois encor, & c’eſt ce qui me tuë;	Je vous connais encor, et c'est ce qui me tue;
Mais cette âpre vertu ne m’eſtoit pas connuë, Comme noſtre malheur elle eſt au plus haut point, Souffrez que je l’admire & ne l’imite point.	Mais cette âpre vertu ne m'était pas connue, Comme notre malheur elle est au plus haut point, Souffrez que je l'admire et ne l'imite point.
HORACE.	HORACE.
Non, non, n’embraſſez pas de vertu par contrainte, Et puiſque vous trouvez plus de charme à la plainte En toute liberté goûtez un bien ſi doux, ierremi marceur pour ſe plaindre avec vous.	Non, non, n'embrassez pas de vertu par contrainte, Et puisque vous trouvez plus de charme à la plainte En toute liberté goûtez un bien si doux, jerremi marceur pour se plaindre avec vous.
Je vay revoir la voſtre, & reſoudre ſon ame A ſe reſſouvenir qu’elle eſt toujours ma femme, A vous aimer encor ſi je meurs par vos mains, Et prendre en ſon malheur des ſentimẽs Romains.	Je vais revoir la vôtre, et résoudre son âme A se ressouvenir qu'elle est toujours ma femme, À vous aimer encor si je meurs par vos mains, Et prendre en son malheur des sentiments Romains.
SCENE IV.	SCÈNE IV.
HORACE, CURIACE, CAMILLE.	HORACE, CURIACE, CAMILLE.
4 HORACE.	4 HORACE.
Vez-vous ſçeu l’eſtat qu’on fait de Curiace, Ma ſœur?	Vez-vous su l'état qu'on fait de Curiace, Ma sœur?
OAMILLE.	ÔAMILE.
Helas!	Hélas!
mon ſort a bien changé de face.	mon sort a bien changé de face.
HORACE.	HORACE.
Armez-vous de conſtance, & montrez vous ma Et ſi par mon trépas il retourne vainqueur, (ſœur, Ne le recevez point en meurtrier d’un frere;	Armez-vous de constance, et montrez -vous ma Et si par mon trépas il retourne vainqueur, (sœur, Ne le recevez point en meurtrier d'un frère;
Mais en hõme d’honneur, qui fait ce qu’il doit faire, Qui ſert bien ſon païs, & ſçait montrer à tous Par ſa haute vertu qu’il eſt digne de vous, Comme ſi je vivois achevez l’Hymenée.	Mais en homme d'honneur, qui fait ce qu'il doit faire, Qui sert bien son pays, et sait montrer à tous Par sa haute vertu qu'il est digne de vous, Comme si je vivais achevez l'Hyménée.
Mais ſi ce fer auſſi tranche ſa deſtinée, Faites à ma victoire un pareil traitement, Ne me reprochez point la mort de voſtre amant.	Mais si ce fer aussi tranche sa destinée, Faites à ma victoire un pareil traitement, Ne me reprochez point la mort de votre amant.
vou laries vont couiei, ce voitle cœul le preſſe, Conſumez avec luy toute cette foibleſſe, Querellez Ciel & Terre, & maudiſſez le Sort, Mais aprés le combat ne penſez plus au mort.	vou laries vont couie, ce voitle cœul le presse, Consumez avec lui notre cette faiblesse, Querellez Ciel et Terre, et maudissez le Sort, Mais après le combat ne pensez plus au mort.
a chriace.	a chriace.
Je ne vous laiſſeray qu’un moment avec elle, Puis nous irons enſemble où l’honneur nous appene.	Je ne vous laisserai qu'un moment avec elle, Puis nous irons ensemble où l'honneur nous appène.
SCENE V.	SCÈNE V.
CURIACE, CAMILLE.	CURICE, CAMILLE.
CAMILLE.	CAMILLE.
Ras-tu, Curiace, & ce funeſte honneur Te plaiſt-il aux dépens de tout noſtre bonheur?	Ras-tu, Curiace, et ce funeste honneur Te plaît-il aux dépens de tout notre bonheur?
CURIACE.	CURICE.
Helas, je voy trop bien qu’il faut, quoy que je faſſe, Mourir, ou de douleur, ou de la main d’Horace.	Hélas, je vois trop bien qu'il faut, quoi que je fasse, Mourir, ou de douleur, ou de la main d'Horace.
Je vay comme au ſupplice à cet illuſtre employ, Je maudis mille fois l’eſtat qu’on fait de moy, Je hay cette valeur qui fait qu’Albe m’eſtime, Ma flame au deſeſpoir paſſe juſques au crime, Elle ſe prend au Ciel, & l’oſe quereller, Je vous plains, je me plains;	Je vais comme au supplice à cet illustre emploi, Je maudis mille fois l'état qu'on fait de moi, Je hais cette valeur qui fait qu'Albe m'estime, Ma flamme au désespoir passe jusques au crime, Elle se prend au Ciel, et l'ose quereller, Je me plains, je me plains;
mais il y faut aller.	mais il y faut aller.
CAMILLE.	CAMILLE.
Non, je te connois mieux, tu veux que je te prie, Et qu’ainſi mon pouvoir t’excuſe à ta patrie.	Non, je te connais mieux, tu veux que je te prie, Et qu'ainsi mon pouvoir t'excuse à ta patrie.
Tu n’es que trop fameux par tes autres explois, Albe a receu par eux tout ce que tu luy dois, Autre n’a mieux que toy ſoûtenu cette guerre, Autre de plus de morts n’a couvert noſtre terre, Ton nom le peur plus cromie, n ne luy manque rien, Souffre qu’un autre icy puiſſe ennoblir le ſien.	Tu n'es que trop fameux par tes autres explois, Albe a reçu par eux tout ce que tu sensible dois, Autre n'a mieux que toi soutenu cette guerre, Autre de plus de morts n'a couvert notre terre, Ton nom le peur plus cromie, né ne lui manque rien, Souffre qu'un autre ici puisse ennoblir le sien.
CURIACE.	CURICE.
Que je ſouffre à mes yeux qu’on ceigne une autre teſte Des lauriers immortels que la gloire m’apreſte, Ou que tout mon païs reproche à ma vertu Qu’il auroit triomphé ſi j’avois combatu, Et que ſous mon amour ma valeur endormie Couronne tant d’exploits d’une telle infamie?	Que je souffre à mes yeux qu'on ceigne une autre tête Des lauriers immortels que la gloire m'apprête, Ou que tout mon pays reproche à ma vertu Qu'il aurait triomphé si j'avais combattu, Et que sous mon amour ma valeur endormie Couronne tant d'exploits d'une telle infamie?
Non, Albe, aprés l’honneur que j’ay receu de toy, Tu ne ſuccomberas, ny vaincras que par moy.	Non, Albe, après l'honneur que j'ai reçu de toi, Tu ne succomberas, ni vaincras que par moi.
Tu Mras commis con ioit, je ten rendray bon conte, Et viuray lans reproche, ou penſray lans nonte.	Tu Mras commis con joit, je ten rendrai bon conte, Et vivrai lans reproche, ou pensrai lans nonte.
CAMILLE.	CAMILLE.
Quoy!	Quoi!
tu ne veux pas voir qu’ainſi tu me trahis!	tu ne veux pas voir qu'ainsi tu me trahis!
CURIACE.	CURICE.
Avant que d’eſtre à vous je ſuis à mon païs.	Avant que d'être à vous je suis à mon pays.
CAMILLE.	CAMILLE.
Mais te priver pour luy toy-meſme d’un beau-frere, Ta ſœur de ſon mary!	Mais te priver pour lui toi-même d'un beau-frère, Ta sœur de son mari!
CURIACE.	CURICE.
Telle eſt noſtre miſere.	Telle est notre misère.
Le Le choix d’Albe & de Rome oſte toute douçeur Aux noms jadis i'’dona de oeuurirere ce de lœur.	Le Le choix d'Albe et de Rome ôte toute douçeur Aux noms jadis j'AY dona de oeuurirere ce de lœur.
CAMILLE.	CAMILLE.
Tu pourras donc, cruel, me preſenter ſa teſte, Et demander ma main pour prix de ta conqueſte!	Tu pourras donc, cruel, me présenter sa tête, Et demander ma main pour prix de ta conquête!
CURIACE.	CURICE.
Il n’y faut plus penſer, en l’eſtat où je ſuis, vous aiſner fans erporre en tource que je puis.	Il n'y faut plus penser, en l'état où je suis, vous aîner sans erporre en tource que je puis.
Vous en pleurez, Camille?	Vous en pleurez, Camille?
CAMILLE.	CAMILLE.
Il faut bien que je pleure, Mon inſenſible amant ordonne que je meure, Et lors que noſtre Hymen allume ſon flambeau Arretenit de la mam pour i ouvin le tomocau, Ce cœur impitoyable à ma perte s’obſtine, Et dit qu’il m’aime encor alors qu’il m’aſſaſſine.	Il faut bien que je pleure, Mon insensible amant ordonne que je meure, Et lors que notre Hymen allume son flambeau Arretenit de la mam pour y ouvin le tomocau, Ce cœur impitoyable à ma perte s'obstine, Et dit qu'il m'aime encor alors qu'il m'assassine.
GURIACE.	GURICE.
cours, Que les pleurs d’une amante ont de puiſſans diſEt qu’un bel œil eſt fort avec un tel ſecours!	cours, Que les pleurs d'une amante ont de puissants disait qu'un bel œil est fort avec un tel secours!
Que mon cœur s’attendrit à cette triſte veuë!	Que mon cœur s'attendrit à cette triste vue!
Ma conſtance contre elle à regret s’évertuë.	Ma constance contre elle à regret s'évertue.
N’attaquez plus ma gloire avec tant de douleurs, Et laiſſez-moy ſauver ma vertu de vos pleurs.	N'attaquez plus ma gloire avec tant de douleurs, Et laissez-moi sauver ma vertu de vos pleurs.
Je ſens qu’elle chancelle, & défend mal la place, Plus je ſuis voſtre amant, moins je ſuis Curiace :	Je sens qu'elle chancelle, et défend mal la place, Plus je suis votre amant, moins je suis Curiace :
Foible d’avoir déja combatu l’amitié Vaincroit-elle à la fois l’amour & la pitié?	Faible d'avoir déjà combattu l'amitié Vaincrait-elle à la fois l'amour et la pitié?
Allez, ne m’aymez plus, ne verſez plus de larmes, Ou j’oppoſe l’offence à de ſi fortes armes, Je me défendray mieux contre voſtre couroux, Et pour le meriter je n’ay plus d’yeux pour vous.	Allez, ne m'aimez plus, ne versez plus de larmes, Ou j'oppose l'offense à de si fortes armes, Je me défendrai mieux contre votre courroux, Et pour le mériter je n'ai plus d'yeux pour vous.
Vangez-vous d’un ingrat, puniſſez un volage.	Vengez-vous d'un ingrat, punissez un volage.
Vous ne vous montrez point ſenſible à cet outrage!	Vous ne vous montrez point sensible à cet outrage!
je n’ay plus d’yeux pour vous, vous en avez pour moy!	je n'ai plus d'yeux pour vous, vous en avez pour moi!
En faut-il plus encor?	En faut-il plus encor?
je renonce à ma foy.	je renonce à ma foi.
Rigoureuſe vertu dont je ſuis la victime, Ne peux-tu reſiſter ſans le ſecours d’un crime?	Rigoureuse vertu dont je suis la victime, Ne peux-tu résister sans le secours d'un crime?
2.	2.
Part.	Part.
E CA	E CA
CAMILLE.	CAMILLE.
Ne fais point d’autre crime, & j’atteſte les Dieux Qu’au lieu de t’en haïr, je t’en aimeray mieux;	Ne fais point d'autre crime, et j'atteste les Dieux Qu'au lieu de t'en haïr, je t'en aimerai mieux;
Ouy, je te cheriray tout ingrat & perfide, Et ceſſe d’aſpirer au nom de fratricide.	Oui, je te chérirai tout ingrat et perfide, Et cesse d'aspirer au nom de fratricide.
Pourquoy ſuis-je Romaine, ou que n’es-tu Romain ?	Pourquoi suis-je Romaine, ou que n'es-tu Romain ?
Je te preparerois des lauriers de ma main, Je t’encouragerois au lieu de te diſtraire, Et je te traiterois comme j’ay fait mon frere.	Je te préparerais des lauriers de ma main, Je t'encouragerais au lieu de te distraire, Et je te traiterais comme j'ai fait mon frère.
Helas!	Hélas!
j’eſtois aveugle en mes vœux aujourd’huy.	j'étais aveugle en mes vœux aujourd'hui.
J’en ay fait contre toy quand j’en ay fait pour luy Il revient, quel malheur, ſi l’amour de ſa femme Ne peut non plus ſur luy que le mien ſur ton ame!	J'en ai fait contre toi quand j'en ai fait pour Elle Il revient, quel malheur, si l'amour de sa femme Ne peut non plus sur lui que le mien sur ton âme!
SCENE VI.	SCÈNE VI.
HORACE, CORIACE, SABINE, CAMILLE.	HORACE, CORIACE, SABINE, CAMILLE.
CURIACE.	CURICE.
Ieux!	Jeux!
Sabine le ſuit!	Sabine le suit!
Pour ébranler mon cœur Eſt-ce peu de Camille?	Pour ébranler mon cœur Est-ce peu de Camille?
y joignez-vous ma ſœur?	y joignez-vous ma sœur?
Et laiſſant à ſes pleurs vaincre ce grand courage, L’amenez-vous icy chercher meſme avantage?	Et laissant à ses pleurs vaincre ce grand courage, L'amenez-vous ici chercher même avantage?
SABINE.	SABINE.
Non non, mon frere, non, je ne viens en ce lieu Que pour vous embraſſer, & pour vous dire adieu, Voſtre ſang eſt trop bon, n’en craignez riẽ de lâche, Rien dont la fermeté de ces grands cœurs ſe fâche;	Non non, mon frère, non, je ne viens en ce lieu Que pour vous embrasser, et pour vous dire adieu, Votre sang est trop bon, n'en craignez rien de lâche, Rien dont la fermeté de ces grands cœurs se fâche;
Si ce malheur illuſtre ébranloit l’un de vous, Je le deſavoûrois pour frere, ou pour époux.	Si ce malheur illustre ébranlait l'un de vous, Je le desavoûrois pour frère, ou pour époux.
Pourray-je toutefois vous faire une priere Digne d’un tel époux & digne d’un tel frere?	Pourrai-je toutefois vous faire une prière Digne d'un tel époux et digne d'un tel frère?
Je veux d’un coup ſi noble oſter l’impieté, A l’honneur qui l’attend rendre ſa pureté,	Je veux d'un coup si noble ôter l'impiété, A l'honneur qui l'attend rendre sa pureté,
La	La
La mettre en ſon éclat ſans mélange de crimes, Enfin je vous veux faire ennemis legitimes.	La mettre en son éclat sans mélange de crimes, Enfin je vous veux faire ennemis légitimes.
Du ſaint nœud qui vous joint je ſuis le ſeul lien, Quand je ne ſeray plus, vous ne vous ſerez rien;	Du saint nœud qui vous joint je suis le seul lien, Quand je ne serai plus, vous ne vous serez rien;
Briſez voſtre alliance & rompez-en la chaiſne, Et puiſque voſtre honneur veut des effets de haine, Acheptez par ma mort le droit de vous haïr.	Brisez votre alliance et rompez-en la chaîne, Et puisque votre honneur veut des effets de haine, Acheptez par ma mort le droit de vous haïr.
Albe le veut & Rome, il faut leur obeïr, Qu’un de vous deux me tuë & que l’autre me vãge;	Albe le veut et Rome, il faut leur obéir, Qu'un de vous deux me tue et que l'autre me venge;
Alors voſtre combat n’aura plus rien d’étrange, Et du moins l’un des deux ſera juſte aggreſſeur, Ou pour vanger ſa femme, ou pour vanger ſa ſœur.	Alors votre combat n'aura plus rien d'étrange, Et du moins l'un des deux sera juste agresseur, Ou pour venger sa femme, ou pour venger sa sœur.
Mais quoy?	Mais quoi?
vous ſoüilleriez une gloire ſi belle, Si vous vous animiez par quelque autre querelle.	vous soüilleriez une gloire si belle, Si vous vous animiez par quelque autre querelle.
Voſtre zele au païs vous défend de tels ſoins, Vous feriez peu pour luy, ſi vous vous eſtiez moins;	Votre zèle au pays vous défend de tels soins, Vous feriez peu pour toujours, si vous vous étiez moins;
Il luy faut, & ſans haine, immoler un beau-frere.	Il lui faut, et sans haine, immoler un beau-frère.
Ne differez donc plus ce que vous devez faire, Commencez par ſa ſœur à répandre ſon ſang, Commencez par ſa femme à luy percer le flanc, Commencez par Sabine à faire de vos vies Un digne ſacrifice à vos cheres patries;	Ne différez donc plus ce que vous devez faire, Commencez par sa sœur à répandre son sang, Commencez par sa femme à lui percer le flanc, Commencez par Sabine à faire de vos vies Un digne sacrifice à vos chères patries;
Vous eſtes ennemis en ce combat fameux, vous d’Albe, vous de Rome, & moy de toutes deux.	Vous êtes ennemis en ce combat fameux, vous d'Albe, vous de Rome, et moi de toutes deux.
Quoy?	Quoi?
me reſervez-vous à voir une victoire, Où pour haut appareil d’une pompeuſe gloire, Je verray les lauriers d’un frere ou d’un mary Fumer encor d’un ſang que j’auray tant chery?	me réservez-vous à voir une victoire, Où pour haut appareil d'une pompeuse gloire, Je verrai les lauriers d'un frère ou d'un mari Fumer encor d'un sang que j'aurai tant cheri?
Pourray-je entre vous deux regler alors mon ame?	Pourrai-je entre vous deux régler alors mon âme?
Satisfaire au devoir & de ſœur & de femme?	Satisfaire au devoir et de sœur et de femme?
Embraſſer le vainqueur en pleurant le vaincu?	Embrasser le vainqueur en pleurant le vaincu?
Non non, avant ce coup Sabine aura veſcu, Ma mort le préviendra de qui que je l’obtienne, Le refus de vos mains y condamne la mienne.	Non non, avant ce coup Sabine aura vécu, Ma mort le préviendra de qui que je l'obtienne, Le refus de vos mains y condamne la mienne.
Sus donc qui vous retient?	Sus donc qui vous retient?
Allez, cœurs inhumains, J’auray trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n’arreſte vos épées, Et malgré vos refus il faudra que leurs coups Se ſanſent jour icy pour aller juſqu’à vous.	Allez, cœurs inhumains, J'aurai trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n'arrête vos épées, Et malgré vos refus il faudra que leurs coups Se sansent jour ici pour aller jusqu'à vous.
O ma femme!	Ô ma femme!
HORACE.	HORACE.
CURIACE.	CURICE.
O ma ſœur!	Ô ma sœur!
aAuPasL.	aAuPasL.
Courage, ils s’amolliſſent.	Courage, ils s'amollissent.
SABINE.	SABINE.
Vous pouſſez des ſoûpirs, vos viſages pâliſſent!	Vous poussez des soupirs, vos visages pâlissent!
Quelle peur vous ſaiſit:	Quelle peur vous saisit:
ſont-ce-là ces grands cœurs, Ces Heros qu’Albe & Rome ont pris pour defenſeurs?	sont-ce-là ces grands cœurs, Ces Héros qu'Albe et Rome ont pris pour défenseurs?
HORACE.	HORACE.
Que t’ay-je fait, Sabine, & quelle eſt mon offence Qui t’oblige à chercher une telle vangeance?	Que t'ai-je fait, Sabine, et quelle est mon offense Qui t'oblige à chercher une telle vengeance?
Que t’a fait mon honneur, & par quel droit viens-tu Avec toute ta force attaquer ma vertu?	Que t'a fait mon honneur, et par quel droit viens-tu Avec toute ta force attaquer ma vertu?
Du moins contente-toy de l’avoir étonnée, Et me laiſſe achever cette grande journée.	Du moins contente-toi de l'avoir étonnée, Et me laisse achever cette grande journée.
Tu me viens de reduire en un étrange point, Aime ailez ton inary pour n’en mompner point;	Tu me viens de réduire en un étrange point, Aime ailé ton inari pour n'en mompner point;
Va-t’en, & ne rends plus la victoire douteuſe, La diſpute déja m’en eſt aſſez honteuſe, Souffre qu’avec honneur je termine mes jours.	Va-t-en, et ne rends plus la victoire douteuse, La dispute déjà m'en est assez honteuse, Souffre qu'avec honneur je termine mes jours.
SABINE.	SABINE.
Va, ceſſe de me craindre, on vient à ton ſecours.	Va, cesse de me craindre, on vient à ton secours.
SCENE VII.	SCÈNE VII.
Levieil HORACE, HORACE, CURIACE, SABINE, CAMILLE.	Levieil HORACE, HORACE, CURIACE, SABINE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
U’eſt-ce-cy, mes enfans?	Ù'est-ce-cy, mes enfants?
écoutez-vous vos - flames, Et perdez-vous encor le temps avec des femmes?	écoutez-vous vos - flames, Et perdez-vous encor le temps avec des femmes?
Preſts Preſts à verſer du ſang regardez-vous des pleurs ?	Prêts Prêts à verser du sang regardez-vous des pleurs ?
Fuyez, & laiſſez-les déplorer leurs malheurs.	Fuyez, et laissez-les déplorer leurs malheurs.
Leurs plaintes ont pour vous trop d’art & de tendreſſe, Eiles vous ierorent part enfin de leur foibleſſe, Et ce n’eſt qu’en fuyant qu’on pare de tels coups.	Leurs plaintes ont pour vous trop d'art et de tendresse, Eiles vous jérorent part enfin de leur faiblesse, Et ce n'est qu'en fuyant qu'on pare de tels coups.
ABINE.	ÀBINE.
N’apprehendez rien d’eux, ils ſont dignes de vous, Malgré tous nos efforts vous en devez attendre Ce que vous ſouhaitez & d’un fils & d’un gendre, Et ſi noſtre foibleſſe avoit pû les changer Nous vous laiſſons icy pour les encourager.	N'appréhendez rien d'eux, ils sont dignes de vous, Malgré tous nos efforts vous en devez attendre Ce que vous souhaitez et d'un fils et d'un gendre, Et si notre faiblesse avait pu les changer Nous vous laissons ici pour les encourager.
Allons, ma ſœur, allons, ne perdons plus de larmes, Contre tant de vertu ce ſont de foibles armes, Ce n’eſt qu’au deſeſpoir qu’il nous faut recourir.	Allons, ma sœur, allons, ne perdons plus de larmes, Contre tant de vertu ce sont de faibles armes, Ce n'est qu'au désespoir qu'il nous faut recourir.
Tigres, allez combatre, & nous allons mourir.	Tigres, allez combattre, et nous allons mourir.
SCENE VIII.	SCÈNE VIII.
Le vieil HORACE, HORACE, CURIACE.	Le vieil HORACE, HORACE, CURIACE.
M HORACE.	M HORACE.
On pere, retenez des femmes qui s’emportent, Et de grace empeſchez ſur tout qu’elles ne ſortent, Leur amour importun viendroit avec éclat Par des cris & des pleurs troubler noitre combat, Et ce qu’elles nous ſont feroit qu’avec juſtice On nous imputeroit ce mauvais artifice.	On père, retenez des femmes qui s'emportent, Et de grâce empêchez sur tout qu'elles ne sortent, Leur amour importun viendrait avec éclat Par des cris et des pleurs troubler noître combat, Et ce qu'elles nous sont ferait qu'avec justice On nous imputerait ce mauvais artifice.
L’honneur d’un ſi beau choix ſeroit trop achepté Si l’on nous ſoupçonnoit de quelque lâcheté.	L'honneur d'un si beau choix serait trop acheté Si l'on nous soupçonnait de quelque lâcheté.
Le vieil HORACE.	Le vieil HORACE.
J’en auray ſoin, allez, vos freres vous attendent, Ne penſez qu’aux devoirs que vos païs demandent.	J'en aurai soin, allez, vos frères vous attendent, Ne pensez qu'aux devoirs que vos pays demandent.
CURIACE.	CURICE.
Quel Adieu vous diray-je, & par quels cõplimens.	Quel Adieu vous dirai-je, et par quels compliments.
E 3 Le	E 3 Le
Le vieil HORACE.	Le vieil HORACE.
Ah!	Ah!
n’attendriſſez point icy mes ſentimens, Pour vous encourager ma voix manque de termes Mon cœur ne forme point de penſers aſſez fermes Moy-meſme en cet Adieu j’ay leo laiiies aux yeux Faites voſtre uevoir, & lamez faire aux Dieux.	n'attendrissez point ici mes sentiments, Pour vous encourager ma voix manque de termes Mon cœur ne forme point de pensers assez fermes Moi-même en cet Adieu j'ai le laiiies aux yeux Faites votre évoir, et lamez faire aux Dieux.
Fin du ſecond Acte.	Fin du second Acte.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SABINE.	SABINE.
Renons party, mon ame, en de telles diſgraP ces, Soyons femme d’Horace, ou ſœur des Curiaces, Ceſſons de partager nos inutiles ſoins, Souhaitons quelque choſe, & craignons un peu moins.	Renons parti, mon âme, en de telles disgrâP ces, Soyons femme d'Horace, ou sœur des Curiaces, Cessons de partager nos inutiles soins, Souhaitons quelque chose, et craignons un peu moins.
Mais las!	Mais las!
quel party prendre en un ſort ſi contraire!	quel parti prendre en un sort si contraire!
Quel ennemy choiſir d’un époux, ou d’un frere!	Quel ennemi choisir d'un époux, ou d'un frère!
La Nature, ou l’Amour parle pour chacun d’eux, -2 Et la loy du devoir m’autâcne a tous les deux.	La Nature, ou l'Amour parle pour chacun d'eux, 2 Et la loi du devoir m'autâcne à tous les deux.
Sur leurs hauts ſentimens reglõs plûtoſt les noſtres.	Sur leurs hauts sentiments reglõs plutôt les nôtres.
Soyõs femme de l’un enſemble, & ſœur des autres, Regardõs leur honneur comme un ſouverain bien, Imitons leur conſtance, & ne craignons plus rien.	Soyons femme de l'un ensemble, et sœur des autres, Regardons leur honneur comme un souverain bien, Imitons leur constance, et ne craignons plus rien.
La mort qui les menace eſt une mort ſi belle, Qu’il en faut ſans frayeur attendre la nouvelle.	La mort qui les menace est une mort si belle, Qu'il en faut sans frayeur attendre la nouvelle.
N’appellons point alors les Deſtins inhumains, Songeons pour quelle cauſe, & non par quelles mains, Revoyons les vainqueurs ſans penſer qu’à la gloire Que toute leur maiſon reçoit de leur victoire, Et ſans conſiderer aux dépens de quel ſang Leur vertu les éleve en cet illuſtre rang, Faiſons nos intereſts de ceux de leur famille:	N'appelons point alors les Destins inhumains, Songeons pour quelle cause, et non par quelles mains, Revoyons les vainqueurs sans penser qu'à la gloire Que toute leur maison reçoit de leur victoire, Et sans considérer aux dépens de quel sang Leur vertu les élève en cet illustre rang, Faisons nos intérêts de ceux de leur famille:
En l’une je ſuis femme, en l’autre je ſuis fille, Et tiens à toutes deux par de ſi forts liens, Qu’on ne peut triompher que par les bras des miẽs.	En l'une je suis femme, en l'autre je suis fille, Et tiens à toutes deux par de si forts liens, Qu'on ne peut triompher que par les bras des miennes.
