PRIVILEGE DU ROY.	PRIVILÈGE DU ROI.
Faiſons tout retentir du bruit de ſes Exploits.	Faisons tout retentir du bruit de ses Exploits.
POLYMNIE.	POLYMNIE.
Preparons des Feſtes nouvelles.	Préparons des Fêtes nouvelles.
MELPOMENE.	MELPOMENE.
Que nos Chanſons ſoient immortelles.	Que nos Chansons soient immortelles.
EUTERPE.	EUTERPE.
Que nos airs ſoient doux & touchants.	Que nos airs soient doux et touchants.
D’US ENSEMBLE.	D'US ENSEMBLE.
Meſlons aux plus aimables Chants Les Dances les plus belles.	Mêlons aux plus aimables Chants Les Dances les plus belles.
Joignons nos ſoins & nos voix.	Joignons nos soins et nos voix.
Pour plaire au plus grand des Roys.	Pour plaire au plus grand des Rois.
Fin du Prologue.	Fin du Prologue.
ACTE PREMIER.	ACTE PREMIER.
Q E Theatre change & repreſente Le Theaune épaiſſe Foreſt, où des chû-tre eſt une tes d’eaux coulent entre les Ar-Foreſt.	Q E Theatre change et représente Le Theaune épaisse Forêt, où des chûtre est une tes d'eaux coulent entre les Art -Forest.
bres:	bres:
On void dans l’enfoncement deux Montagnes ſeparées par une belle Valée où une Riviere tombe par diverſes Caſcades qui produiſent pluſieurs effets agreables & differents.	On voit dans l'enfoncement deux Montagnes séparées par une belle Valée où une Rivière tombe par diverses Cascades qui produisent plusieurs effets agréables et différents.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TIRCIS.	TIRCIS.
J Ous chantez ſous ces feüillages, Doux Rofſignols pleins d’amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages:	 Jus chantez sous ces feuillages, Doux Rofsignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages:
Helas!	Hélas!
petits oyſeaux, helas!	petits oiseaux, hélas!
Si vous aviez mes maux vous ne chãteriez, pas.	Si vous aviez mes maux vous ne chôteriez, pas.
GCMATTCXIESME.	GCATTCXIESME.
LICASTE, MENANDRE, TIRCIS.	LICASTE, MENANDRE, TIRCIS.
LTCASTE.	LTCASTE.
E quoy, toûjours languiſſant, ſombre, IT & triſte?	E quoi, toujours languissant, sombre, IT et triste?
MENANDRE.	MENANDRE.
Hé quoy, toûjours aux pleurs abandonné?	Hé quoi, toujours aux pleurs abandonné?
IRCIS.	JRCIS.
Toûjours adorant Caliste, Et touſouis inforiuné.	Toujours adorant Caliste, Et toujours inforiuné.
LICASTE.	LICASTE.
Domte, domte, Berger, l'ennuy qui te poßede.	Domte, domte, Berger, l'ennui qui te possède.
IRCIS.	JRCIS.
Et le moyen, helas!	Et le moyen, hélas!
MENANDRE.	MENANDRE.
Fay, Fais-toy quelque-effort.	Fais, Fais-toi quelque-effort.
RCIS.	RCIS.
Eh le moyen, helas!	Eh le moyen, hélas!
quand le mal eſt ſi fort?	quand le mal est si fort?
LICASTE.	LICASTE.
Ce mal trouvera ſon remede.	Ce mal trouvera son remède.
IRCIS.	JRCIS.
Je ne gueriray qu’à ma mort.	Je ne guérirai qu'à ma mort.
Licaſte, & Menandre enſemble.	Licaste, et Ménandre ensemble.
Ah Tircist	Ah Tircist
TIRCIS.	TIRCIS.
l Eiee ser Ah Bergers!	 Liee ser Ah Bergers!
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
Pren ſur toy plus d’empire.	Pren sur toi plus d'empire.
IS.	IS.
Rien ne me peut plus ſecourir.	Rien ne me peut plus secourir.
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
C’eſt trop, c’eſt trop ceder.	C'est trop, c'est trop céder.
CIS.	CIS.
C’eſt trop, c’eſt trop ſouffrir.	C'est trop, c'est trop souffrir.
LICASTE, DI MENANDRE.	LICASTE, DI MENANDRE.
Quelle foibleſſe!	Quelle faiblesse!
TIRCIS.	TIRCIS.
Quel martyre!	Quel martyre!
LICASTE, ET MENANDRE.	LICASTE, ET MENANDRE.
Il faut prendre courage.	Il faut prendre courage.
TIRCIS.	TIRCIS.
Il faut plûtoſt mourir.	Il faut plutôt mourir.
LICASTE.	LICASTE.
Il n’eſt point de Bergere Si froide, & ſi ſevere, Dont la preſſante ardeur D'un cœur qui perſevere Ne vainque la froideur.	Il n'est point de Bergère Si froide, et si sévère, Dont la pressante ardeur D'un cœur qui persévère Ne vainque la froideur.
MENANDRE.	MENANDRE.
Il eſt dans les affaires Des amoureux myſteres, Certains pelis moments Qui changent les plus Fieres, Et font d’heureux Amants.	Il est dans les affaires Des amoureux mystères, Certains pelis moments Qui changent les plus Fières, Et font d'heureux Amants.
IRCIS.	JRCIS.
Je la voy, la Cruelle, Qui porte icy ſes pas, Gardons d’eſtre veu d’elle, L’Ingrate, helas!	Je la vois, la Cruelle, Qui porte ici ses pas, Gardons d'être vu d'elle, L'Ingrate, hélas!
N'y viendroit pas.	N'y viendrait pas.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CLIMENE.	CLIMENE.
CALISTE.	CALISTE.
CLIMENE.	CLIMENE.
Ien dans noſtre Village:	Jen dans notre Village:
Voicy le Jour Qu'on y doit celevrer ia Peſte ue l'Amour.	Voici le Jour Qu'on y doit célévrer ja Peste ue l'Amour.
Que cherche-tu dans ce boccage?	Que cherche-tu dans ce bocage?
ALISTE.	ÀLISTE.
Je cherche le repos, le ſilence, & l’ombrage.	Je cherche le repos, le silence, et l'ombrage.
CLIMENE.	CLIMENE.
Tu devrois bien plûtoſt ſonger A t'engager.	Tu devrais bien plûtost songer A t'engager.
En que peu jaire Une Bergere Sans un Berger?	En que peu jaire Une Bergère Sans un Berger?
ALISTE.	ÀLISTE.
Ton malheur doit me rendre ſage:	Ton malheur doit me rendre sage:
Tu n’as choiſi qu’un Inconſtant.	Tu n'as choisi qu'un Inconstant.
LIMENE.	LIMENE.
Si mon Berger devient volage, Il m’eſt permis d’en faire autant.	Si mon Berger devient volage, Il m'est permis d'en faire autant.
N gouſte la douceur d’une amour eternelle, JQuand on fait l’heureux choix d’un fidele Berger, Et quand on aime un Infidelle, L’on a le plaiſir de changer.	NOUS goûte la douceur d'une amour éternelle, JUand on fait l'heureux choix d'un fidèle Berger, Et quand on aime un Infidèle, L'on a le plaisir de changer.
Quoy, l’amour de Tircis ne t’a point attendrie?	Quoi, l'amour de Tircis ne t'a point attendrie?
Lors qu’on en veut parler tu n’écoutes jamais ?	Lors qu'on en veut parler tu n'écoutes jamais ?
Ne reſve plus, ou je m'en vais.	Ne rêve plus, ou je m'en vais.
ALISTE.	ÀLISTE.
Laiße-moy dans ma reſverie.	Laissemoi dans ma rêverie.
Ah!	Ah!
que ſous ce feüillage épais Il eſt doux de neſver en paix!	que sous ce feuillage épais Il est doux de nêver en paix!
ij Je n’entre point dans un myſtere Que tu veux reſerver;	ij à n'entre point dans un mystère Que tu veux réserver;
Mais un cœur ſans affaire Ne donne point tant à reſver.	Mais un cœur sans affaire Ne donne point tant à rêver.
SCENE QUATRIESME.	SCÈNE QUATRIÈME.
CALISTE.	CALISTE.
H!	H!
que ſur noſtre cœur A La ſevere Loy de l’honneur Prend un cruel empire!	que sur notre cœur A La sévère Loi de l'honneur Prend un cruel empire!
Je ne fais voir que rigueurs pour Tircis, Et cependant ſenſible à ſes cuiſans ſoucis, De ſa langueur en ſecret je ſoupire, Et voudrois bien ſoulager ſon martire;	Je ne fais voir que rigueurs pour Tircis, Et cependant sensible à ses cuisants soucis, De sa langueur en secret je soupire, Et voudrais bien soulager son martyre;
C’eſt à vous ſeuls que je le dis, Arbres, n'allez pas le redire.	C'est à vous seuls que je le dis, Arbres, n'allez pas le redire.
Puis que le Ciel a voulu nous former Avec un cœur qu’Amour peut enflamer, Quelle rigueur impitoyable Contre des traue jruomenom jortounous armer?	Puis que le Ciel a voulu nous former Avec un cœur qu'Amour peut enflamer, Quelle rigueur impitoyable Contre des trave jromenom jortounous armer?
Et pourquoy ſans eſtre blâmable Ne peut-on pas aimer Ce que l’on trouve aimable?	Et pourquoi sans être blâmable Ne peut-on pas aimer Ce que l'on trouve aimable?
Helas!	Hélas!
petits oyſeaux que vous eſtes heureux De ne ſentir nulle contrainte, Et de pouvoir ſuivre ſans crainte Les doux emportements de vos cœurs amoureux!	petits oiseaux que vous êtes heureux De ne sentir nulle contrainte, Et de pouvoir suivre sans crainte Les doux emportements de vos cœurs amoureux!
Mais le ſommeil ſur ma paupiere Verſe de ſes pavots l’agreable fraiſcheur, Donnons-nous à luy toute entiere, N ous n’avons point de loy ſevere Qui défende à nos ſens d’en goûter la douceur.	Mais le sommeil sur ma paupière Verse de ses pavots l'agréable fraîcheur, Donnons-nous à lui notre entière, N ous n'avons point de loi sévère Qui défende à nos sens d'en goûter la douceur.
La Bergere Caliſte s’endort ſur un Gazon.	La Bergère Caliste s'endort sur un Gazon.
SCENE CINQUIESME.	SCÈNE CINQUIÈME.
AARCII HICHOIDIORE.	AARCII HICHOIDIORE.
CALISTE.	CALISTE.
TIRCIS.	TIRCIS.
Ers ma belle Ennemie Portons ſans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.	Ers ma belle Ennemie Portons sans bruit nos pas, Et ne réveillons pas Sa rigueur endormie.
ROIS.	ROIS.
Dormez, dormez beaux yeux adorables vainqueurs, Et goûtez le repos que vous oſtez aux cœurs.	Dormez, dormez beaux yeux adorables vainqueurs, Et goûtez le repos que vous ôtez aux cœurs.
C iij	Ç Cijà
TIRCIS.	TIRCIS.
Silence petits oyſeaux, im ne nulle choſe;	Silence petits oiseaux, im ne nulle chose;
oulez doucement ruiſſeaux, 'eſt Caliste qui repoſe.	oulez doucement ruisseaux, 'est Caliste qui repose.
ROIS.	ROIS.
Dormez, dormez beaux yeux, &c.	Dormez, dormez beaux yeux, etc.
CALISTE s’éveillant.	CALISTE s'éveillant.
An e queut pemne extréme!	An e ut pemne extrême!
Suivre par tout mes pas?	Suivre par tout mes pas?
RCIS.	RCIS.
Que voulez-vous qu’on ſuive, helas!	Que voulez-vous qu'on suive, hélas!
Qu'eſt-ce qu’on aime.	Qu'est-ce qu'on aime.
CALISTE.	CALISTE.
Berger, que voulez-vous?	Berger, que voulez-vous?
RCIS.	RCIS.
Mourir belle Bergere, Mourir à vos genoux, Et finir ma miſere, Puis qu’en vain à vos pieds on me void ſoûpirer, Il y faut expirer.	Mourir belle Bergère, Mourir à vos genoux, Et finir ma misère, Puis qu'en vain à vos pieds on me voit soupirer, Il y faut expirer.
CALISTE.	CALISTE.
Ah!	Ah!
Tircis, oſtez-vous, j’ay peur que dans ce ou.	Tircis, ôtez-vous, j'ai peur que dans ce ou.
La pitié dans mon cœur n’introduiſe l’amour.	La pitié dans mon cœur n'introduise l'amour.
Soit amour, ſoit pitié, Il ſied bien d’eſtre tendre;	Soit amour, soit pitié, Il sied bien d'être tendre;
ſt par trop vous défendre, Bergere, il faut ſe rendre A ſa longue amitié, Soit amour, ſoit pitié, Il ſied bien d’eſtre tendre.	st par trop vous défendre, Bergère, il faut se rendre A sa longue amitié, Soit amour, soit pitié, Il sied bien d'être tendre.
1	1
ALISTE.	ÀLISTE.
est imp, c'en trop de rigueur ay mal-traité voſtre ardeur Cheriſſant voſtre perſonne, Vangez-vous de mon cœur Tircis, je vous le donne.	est imp, c'en trop de rigueur ai mal-traité reux ardeur Chérissant votre personne, Vengez-vous de mon cœur Tircis, je vous le donne.
CIS.	CIS.
O Ciel!	Ô Ciel!
Bergers!	Bergers!
Caliſte!	Caliste!
ah je ſuis hors de moy!	ah je suis hors de moi!
Si l'on meurt de plaiſir je doy perdre la vie.	Si l'on meurt de plaisir je dois perdre la vie.
LICASTE.	LICASTE.
Digne prix de ta foy!	Digne prix de ta foi!
AENANDRE.	AENANDRE.
O!	Ô!
ſort digne d’envie!	sort digne d'envie!
SCENE SIXIESME.	SCÈNE SIXIÈME.
FORESTAN, SILVANDRE, CALISTE, TIRCIS.	FORÊTAN, SILVANDRE, CALISTE, TIRCIS.
LICASTE, MENANDRE.	LICASTE, MENANDRE.
FORESTAN.	FORÊTAN.
Uoy tu me fuis, Ingrate, & je te vois icy Dece Berger à moy faire une preference?	Où tu me fuis, Ingrate, et je te vois ici Dece Berger à moi faire une préférence?
LVANDRE.	LVANDRE.
Quoy, mes ſoins n'ont rien pû ſur ton indifference, Et pour ce Langoureux ton cœur s’eſt adoucy?	Quoi, mes soins n'ont rien pu sur ton indifférence, Et pour ce Langoureux ton cœur s'est adouci?
CALISTE.	CALISTE.
Dt Dejumu veut ainſi, Prenez tous deux patience	 Déjumu veut ainsi, Prenez tous deux patience
ORESTAN.	ORÊTAN.
Aux Amants qu’on pouſſe à bout L’Amour fait verſer des larmes;	Aux Amants qu'on pousse à bout L'Amour fait verser des larmes;
Mais ce n'est pas noſtre goût, Et la bouiemt a uts chaimts Qui nous conſolent de tout.	Mais ce n'est pas notre goût, Et la bouiemt a utz chaimts Qui nous consolent de tout.
ILVANDRE.	ILVANDRE.
Noſtre amour n’a pas toûjours.	Notre amour n'a pas toujours.
SILVANDRE.	SILVANDRE.
Tout le bonheur qu’il deſire:	Tout le bonheur qu'il désire:
Mais nous avons un ſecours, Et le bon vin nous fait rire Quand on rit de nos amours.	Mais nous avons un secours, Et le bon vin nous fait rire Quand on rit de nos amours.
US.	US.
Champeſtres Divinitez, Faunes, Driades, ſortez De vos paiſbles retraites;	Champestres Divinités, Faunes, Driades, sortez De vos paisbles retraites;
Meſlez vos pas à nos ſons, Et tracez ſur les herbettes L’image de nos chanſons.	Meslez vos pas à nos sons, Et tracés sur les herbettes L'image de nos chansons.
Uatre Faunes ſortent avec de petits Tambours, & quatre Driades avec des Feſtons de fleurs.	Oùatre Faunes sortent avec de petits Tambours, et quatre Diades avec des Festons de fleurs.
Ils forment enſemble une Entrée qui finit le premier Acte.	Ils forment ensemble une Entrée qui finit le premier Acte.
TROISIE'ME ENTRE’E.	TROISIE'ME ENTRE'E.
Quatre Faunes, quatre Driades.	Quatre Faunes, quatre Driades.
Fin du premier Acte.	Fin du premier Acte.
ACTE SECOND.	ACTE SECOND.
L E Theatre change & repreſente un vieux Chaſteau qui eſtoit autrefois la demeure des Seigneurs du prochain Village, & qui tombe entierement en ruïnes.	 LE Théâtre change et représente un vieux Château qui était autrefois la demeure des Seigneurs du prochain Village, et qui tombe entièrement en ruines.
On y void en pluſeurs endroits des Arprés & des Ronces, & dans l’enfoncement au travers d’une Arcade à demy rompuë, on découvre les veſtiges de trois grandes Allées de Cyprés à perte de veuë.	On y voit en pluseurs endroits des Arprès et des Ronces, et dans l'enfoncement au travers d'une Arcade à demi rompue, on découvre les vestiges de trois grandes Allées de Cyprès à perte de vue.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
FORESTAN, E ne puis ſouffrir l’outrage Que Caliſte fait à ma foy:	FORÊTAN, E ne puis souffrir l'outrage Que Caliste fait à ma foi:
Dans le fonds de mon cœur j’enrage Qu'elle ayme un Autre que moy.	Dans le fonds de mon cœur j'enrage Qu'elle aime un Autre que moi.
Deux Enchanteurs m’ont fait entendre Qu’ils ont le ſecret de me rendre Tel qu’il faut eſtre pour charmer:	Deux Enchanteurs m'ont fait entendre Qu'ils ont le secret de me rendre Tel qu'il faut été pour charmer:
Cuuij c’aura beau s'en défendre, Je la contraindray de m'aymer.	Cuuij c’aura beau s'en défendre, Je la contraindrai de m'aimer.
SCENE DEUXIE’ME.	SCÈNE DEUXIE'ME.
FORESTAN, DEUX MAGICIENS, TROIS SORCIERES, SIX DEMONS QUI DANCENT, ET SEPT AUTRES DEMONS VOLANTS.	FORÊTAN, DEUX MAGICIENS, TROIS SORCIÈRES, SIX DÉMONS QUI DANCENT, ET SEPT AUTRES DÉMONS VOLANTS.
’Eſt dans cette Scene que des Lutins O déguiſez font une Ceremonie magique pour feindre d’embellir Foreſtan, & pour ſe mocquer de luy.	Est dans cette Scène que des Lutins Ô déguisez font une Cérémonie magique pour feindre d'embellir Forétan, et pour se moquer de même.
Deux Magiciens paroiſſent chacun une baguette à la main, ils frappent la Terre en dançant, & en font ſortir ſix Demons qui ſe joignent avec eux.	Deux Magiciens paraissent chacun une baguette à la main, ils frappent la Terre en dançant, et en font sortir six Demons qui se joignent avec eux.
Trois Sorcieres ſortent auſſi de deſſous terre, & faiſant aſſeoir Foreſtan au milieu d’Elles, meſlent leurs chants aux dances des Magiciens & des Demons, pour former une maniere d’enchantement.	Trois Sorcières sortent aussi de dessous terre, et faisant asseoir Forétan au milieu d'Elles, mêlent leurs chants aux dances des Magiciens et des Démons, pour former une manière d'enchantement.
QUATRIE'ME ENTRE'E.	QUATRIE'ME ENTRE.
DEUA MHGICIENS, SIX DEMONS.	DEUA MHGICIENS, SIX DÉMONS.
LES TROIS SORCIERES ENSEMBLE.	LES TROIS SORCIÈRES ENSEMBLE.
Eeße des appas DNe nous refuſe pas La grace qu’implorent nos bouches;	Eesse des appas DNe nous refuse pas La grâce qu'implorent nos bouches;
Nous t’en prions par tes rubans, Par tes boucles de Diamans, Ton rouge, ta poudre, tes mouches, Ton maſque, ta coeffe, & tes gans.	Nous t'en prions par tes rubans, Par tes boucles de Diamants, Ton rouge, ta poudre, tes mouches, Ton masque, ta coffe, et tes gans.
UNE SORCIERE SEULE.	UNE SORCIÈRE SEULE.
O Toy?	Ô Toi?
qui peux rendre agreables Les viſages les plus mal-faits, Répans, Venus, de tes attraits Deux ou trois dozes charitables Sur ce muzeau tondu tout frais.	qui peux rendre agréables Les visages les plus mal-faits, Répans, Venus, de tes attraits Deux ou trois docés charitables Sur ce muzeau tondu tout frais.
LES TROIS SORCIERES ENSEMBLE.	LES TROIS SORCIÈRES ENSEMBLE.
Deeſſe des appas, &c.	Deesse des appas, etc.
Les Demons habment rorentuir d’une maniere bizare & ridicule, & tandis que les Magiciens & Demons dancent, les trois Sorcieres chantent.	Les Demons habment rorentuir d'une manière bizare et ridicule, et tandis que les Magiciens et Demons dancent, les trois Sorcières chantent.
Ah qu’il eſt beau Le Jouvenceau, Ah qu’il eſt beau.	Ah qu'il est beau Le Jouvenceau, Ah qu'il est beau.
Qu’il va faire mourir de belles:	Qu'il va faire mourir de belles:
Auprés de luy les plus cruelles Ne pourront tenir dans leur peau.	Auprès de Seigneur les plus cruelles Ne pourront tenir dans leur peau.
Ah qu’il eſt beau Le Jouvenceau, Ah qu’il eſt beau!	Ah qu'il est beau Le Jouvenceau, Ah qu'il est beau!
Ho, ho, ho, ho, ho, ho, Qu’il eſt joli!	Ho, ho, ho, ho, ho, ho, Qu'il est joli!
Gentil, poli!	Gentil, poli!
Qu’il eſt joli!	Qu'il est joli!
Eficii ues yeux qu’il ne raviſſe?	Efici êtes yeux qu'il ne ravisse?
Ii paſſe en veaute feu Narciſſe ui fut un Blondin accomply.	Ji passe en veaute feu Narcisse ui fut un Blondin accompli.
Qu'il eſt joli!	Qu'il est joli!
Gentil, poli!	Gentil, poli!
Qu’il eſt joli!	Qu'il est joli!
Hi, hi, hi, hi, hi, hi.	Hi, hi, hi, hi, hi, hi.
Es trois Sorcieres qui chantent seir Dfoncent dans la Terre, les deux Magi ciens & les ſix Demons qui dancent diſparoiſſent, & dans le meſme temps quatre Demons qui partent de quatre coſtez differens, croiſent dans l’air, & trois autres petits Demons qui ſortent de terre, & qui tous trois enſemble s’élevent en rond, apres avoir fait trois tours en volant, ſe vont perdre dans les Nuages au milieu du Theatre.	Es trois Sorcières qui chantent se Défoncent dans la Terre, les deux Magi ciens et les six Demons qui dancent disparaissent, et dans le même temps quatre Demons qui partent de quatre côtés différents, croisent dans l'air, et trois autres petits Demons qui sortent de terre, et qui tous trois ensemble s'élèvent en rond, après avoir fait trois tours en volant, se vont perdre dans les Nuages au milieu du Théâtre.
SCENE TROISIE’ME.	SCÈNE -TROISIE'ME.
FORESTAN.	FORÊTAN.
Oun vruu Piſage Oa uuountage!	Oun vru Pisage Oa uuountage!
Tout luy rit, tout luy fait la cour.	Tout lui lit, tout homme fait la cour.
Que l’on verra dans ce Boccage De Bergeres mourir d’amour, Et de Bergers crever de rage!	Que l'on verra dans ce Boccage De Bergères mourir d'amour, Et de Bergers crever de rage!
SCENE QUATRIE’ME.	SCÈNE QUATRIE'ME.
SILVANDRE, FORESTAN.	SILVANDRE, FORÊTAN.
SILVANDRE.	SILVANDRE.
F Oreſtan?	 Orestan?
eſt-tu là?	est-tu là?
FORESTAN.	FORÊTAN.
Beau comme je dois eſtre Il va me voir ſans me connestre.	Beau comme je dois être Il va me voir sans me connaître.
ILVANDRE.	ILVANDRE.
O!	Ô!
Foreſtan?	Forêtan?
ah!	ah!
te voila.	te voilà.
Pourquoy t’amuſer de la ſorte?	Pourquoi t'amuser de la sorte?
RESTAN.	RESTAN.
Qu'importe, qu’importe.	Qu'importe, qu'importe.
LVANDRE.	LVANDRE.
Hé quoy!	Hé quoi!
ne veux-tu pas aller Où nous devons nous aſſembler?	ne veux-tu pas aller Où nous devons nous assembler?
Ton impatience eſt peu forte.	Ton impatience est peu forte.
ORESTAN.	ORÊTAN.
Qu’importe, qu'importe.	Qu'importe, qu'importe.
ILVANDRE.	ILVANDRE.
Veux-tu ſouffrir en ce jour Que le foible Dieu d’amour Sur le Dieu du vin l’emporte?	Veux-tu souffrir en ce jour Que le faible Dieu d'amour Sur le Dieu du vin l'emporte?
ORESTAN.	ORÊTAN.
Qu’importe, qu'importe.	Qu'importe, qu'importe.
ILVANDRE.	ILVANDRE.
Allons;	Allons;
c’eſt trop railler.	c'est trop railler.
RESTAN.	RESTAN.
A qui crois-tu parler?	À qui crois-tu parler?
SILVANDRE.	SILVANDRE.
Quel badinage!	Quel badinage!
Tu n'es pas ſage;	Tu n'es pas sage;
La Feſte de Bachus commencera bien-toſt.	La Fête de Bachus commencera bientôt.
Allons, ſans tarder davantage, Aauono y vont comme il faut.	Allons, sans tarder davantage, Aavono y vont comme il faut.
Foreſtan affecte de faire l’agreable, & quitte ſon ton naturel de baſſe pour chanter en fauſſet.	Forétan affecte de faire l'agréable, et quitte son ton naturel de basse pour chanter en fausset.
FORESTAN.	FORÊTAN.
Il eſt bien doux de boire;	Il est bien doux de boire;
On peut en faire gloire.	On peut en faire gloire.
Quand on n’a pas dequoy charmer;	Quand on n'a pas dequoy charmer;
Bachus ſçait conſoler un Amant miſerable;	Bachus sais consoler un Amant misérable;
Mais quand on eſt aymable, Il n'eſt rien ſi doux que d’aymer.	Mais quand on est aimable, Il n'est rien si doux que d'aimer.
STLVANDRE.	STLVANDRE.
Que veux-tu dire ?	Que veux-tu dire ?
D’où vient ce caprice nouveau?	D'où vient ce caprice nouveau?
ORESTAN.	ORÊTAN.
Regarue, conpuere yuumner Ah qu’il eſt beau!	Regarue, conpuère yuumner Ah qu'il est beau!
Ho, ho, ho, ho, ho, ho.	Ho, ho, ho, ho, ho, ho,
Ah qu’il eſt beau.	Ah qu'il est beau.
SILVANDRE.	SILVANDRE.
SILVANDRE.	SILVANDRE.
Oj'moy donc je te prie De quelle folle reſverie Ton cerveau s’eſt remply?	Oj'moi donc je te prie De quelle folle rêverie Ton cerveau s'est rempli?
FORESTAN.	FORÊTAN.
Qu’il eſt joli!	Qu'il est joli!
Hi, hi, hi, hi, hi, hi,	Hi, hi, hi, hi, hi, hi,
ILVANDRE.	ILVANDRE.
Conſulte la Fontaine La plus prochaine, Mire-toy dans ſon eau.	Consulte la Fontaine La plus prochaine, Mire-toi dans son eau.
Foreſtan s’approche d’une Fontaine qui paroiſt au milieu du Theatre, & dans le moment qu’il ſe baiſſe pour ſe regarder dans l’eau, il en ſort deux Sirenes qui luy preſentent un grand miroir.	Forétan s'approche d'une Fontaine qui paraît au milieu du Théâtre, et dans le moment qu'il se baisse pour se regarder dans l'eau, il en sort deux Sirènes qui avait présent un grand miroir.
Foreſtan s’y void auſſi laid qu’il eſtoit avant la ceremonie magique, & dans la rage qu’il a de la tromperie qu’on luy a faite, il veut frapper de ſa Maſſuë les deux Sirenes qui ſe mocquent de luy, mais Elles évitent ſes coups, en ſe plongeant & ſe perdant dans la Fontaine, qui diſparoiſt en un moment.	Forétan s'y voit aussi laid qu'il était avant la cérémonie magique, et dans la rage qu'il a de la tromperie qu'on lui a faite, il veut frapper de sa Massue les deux Sirène qui se moquent de Sir, mais Elles évitent ses coups, en se plongeant et se perdant dans la Fontaine, qui disparaît en un moment.
SILVANDRE.	SILVANDRE.
Ah qu’il eſt beau!	Ah qu'il est beau!
ho, ho, ho, & c.	ho, ho, ho, et ç.
Je ſuis digne de raillerie;	Je suis digne de raillerie;
On m’a fait une fourberie, Mais ſi je la mets en oubly.	On m'a fait une fourberie, Mais si je la mets en oubli.
Non, non, les Impoſteurs n’auront pas lieu de rire.	Non, non, les Imposteurs n'auront pas lieu de rire.
Deux Sorcieres affreuſes paroiſſent aux deux coſtez du Theatre, & preſentent chacune un miroir à Foreſtan.	Deux Sorcières affreuses paraissent aux deux côtés du Théâtre, et présent chacune un miroir à Forêtan.
ILVANDRE.	ILVANDRE.
Regarde, conſidere, admire.	Regarde, considère, admire.
FORESTAN.	FORÊTAN.
Ah!	Ah!
je vais vous payer de m’avoir embelly.	je vais vous payer de m'avoir embelli.
Foreſtan s’avance vers une des Sorcieres, & la veut frapper de ſa Maſſuë, mais la Sorciere évite le coup en s’envolant, le Satire ne frappe que l’air, & ſa Maſſuë luy échappe des mains.	Forétan s'avance vers une des Sorcières, et la veut frapper de sa Massue, mais la Sorcière évite le coup en s'envolant, le Satire ne frappe que l'air, et sa Massue lui échappe des mains.
Il court vers l’autre Sorciere, il l’attrape, mais dans le moment qu’il ſe jette ſur Elle, & qu’il la tient, il ne luy demeure entre les mains qu’une figure de Sorciere qui luy fait la grimace, & luy preſente un miroir, tandis qu’un petit Lutin qui eſtoit enfermé dedans s’envole en ſe mocquant du Satire.	Il court vers l'autre Sorcière, il l'attrape, mais dans le moment qu'il se jette sur Elle, et qu'il la tient, il ne le demeure entre les mains qu'une figure de Sorcière qui lui fait la grimace, et lui présente un miroir, tandis qu'un petit Lutin qui était enfermé dedans s'envole en se moquant du Satire.
DMIIMNE.	DMIIMNE.
Qu'il eſt joli!	Qu'il est joli!
Hi, hi, hi, &c.	Hi, hi, hi, etc.
ORESTAN.	ORÊTAN.
C’est un tour des Lutins errants dans ce Bocage Dont il faut que je ſois vengé.	C'est un tour des Lutins errants dans ce Bocage Dont il faut que je sois vengé.
ILVANDRE riant.	ILVANDRE riant.
Hé, hé, hé, hé, hé, hé.	Hé, hé, hé, hé, hé, hé.
RESTAN.	RESTAN.
Tu ris quand je ſuis outragé?	Tu ris quand je suis outragé?
LVANDRE riant.	LVANDRE riant.
Hé, hé, hé, hé, hé, hé.	Hé, hé, hé, hé, hé, hé.
RESTAN.	RESTAN.
Ne m’inſulte point davantage;	Ne m'insulte point davantage;
Va rire ailleurs;	Va rire ailleurs;
Je ſuis dans une rage Qui pourroit bien tourner ſur les méchants railleurs.	Je suis dans une rage Qui pourrait bien tourner sur les méchants railleurs.
ILVANDRE.	ILVANDRE.
Amy, me veux-tu croire, Ne ſongeons plus qu'à boire;	Ami, me veux-tu croire, Ne songeons plus qu'à boire;
Fuyons l’Amour, & le chagrin, Suivons Bachus, courons au vin.	Fuyons l'Amour, et le chagrin, Suivons Bachus, courons au vin.
RESTAN.	RESTAN.
Au vin, au vin, au vin, au vin.	Au vin, au vin, au vin, au vin.
E 5	 5
ENSEMBLE.	ENSEMBLE.
Fuyons l’Amour, & le chagrin, Dutvuns Datms, tourons au vin.	Fuyons l'Amour, et le chagrin, Dutuuns Dats, tourons au vin.
Ain omn, uu oms un vin, au vin.	Ain , oms un vin, Ain vin,
CENE CINQUIE’ME.	CÈNE CINQUIE'ME.
DIMON, SIDVHIDRE, FORESTAN.	DIMON, SIDVHIDRE, FORESTAN.
DAMON.	DAMON.
A Bergere a changé, je veux changer XVT comme Elle.	À Bergère a changé, je veux changer XUT comme Elle.
