LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
Mais que trop plus i’eſtime, & qui m’ẽfle le cœur, C’eſt la poſſeßion d'vn bel œil mon vainqueur.	Mais que trop plus j'estime, et qui m'enfle le cœur, C'est la possession d'un bel œil mon vainqueur.
SCBNVE IP.	SCBNVE IP.
CALASIRE, THYRRHENE, THEAGENE, ET CARICLE’E,	CALASIRE, THYRRHENE, THÉGENE, ET CARICLÉLÉ,
CALASIRE.	CALASIRE.
iure, Os corps s’abſenteront, quant aux eſprits ie TN Que des lieux, ny des ans, la diſtance, ou Ne peuuent ſeparer leur lien mutuel, (l’iniure, Que voſtre ſouuenir i’auray perpetuel, Adieu mon bon amy, mon hoſte, mon Pylade, Et me fauoriſez d’vne eſtroitte accolade.	jure, Os corps s'absenteront, quant aux esprits était TN Que des lieux, sans des ans, la distance, ou Ne peuvent séparer leur lien mutuel, (l'injure, Que votre souvenir j'aurai perpétuel, Adieu mon bon ami, mon hôte, mon Pylade, Et me favorisez d'une étroite accolade.
THYRRHENE.	THYRHÉNE.
Vous violez le droit de l’hospitalité, Monſtrant me ſoupçonner d'vne infidelité, Qui ſurpris n’ay rien ſçeu de voſtre départie, Iuſques à maintenant, iuſques à la ſortie, Helas!	Vous violez le droit de l'hospitalité, Monsieur me soupçonner d'une infidélité, Qui surpris n'ai rien su de votre départie, Jusques à maintenant, jusques à la sortie, Hélas!
où courez vous, où courez vous forclos;	où courez -vous, où courez -vous forclos;
D’eſpoir de tout ſalut comme ie voy les flots, Vous ſemble ma maiſon ores vn brigandage, Pour d’elle ſe ietter precipits au naufrage?	D'espoir de tout salut comme je vois les flots, Vous semble ma maison ores un brigandage, Pour d'elle se jeter précipits au naufrage?
CALASIRE.	CALASIRE.
D'vn autre dépendans ainſi que nous faiſons, Vous deuez receuoir ſoluables mes raiſons, V’attribuant qu’à luy l’offence perpetrée, Car qu’vne défiance en mon cœur ſoit entrée, Que i’aye tant meſpris vers voſtre loyauté, upiter i'en atteſte, & ſon throſne vouté, Votre vie en vos mains, nos biens, noſtre fortune, rop pius jeurs te tiendrois qu'en ceutes de Neptune:	D'un autre dépendants ainsi que nous faisons, Vous devez recevoir solvables mes raisons, V'attribuant qu'à autre l'offense perpetrée, Car qu'une défiance en mon cœur soit entrée, Que j'aie tant mépris vers votre loyauté, upiter j'en atteste, et son trône vouté, Votre vie en vos mains, nos biens, nôtre fortune, rop pius j' en ciendrais qu'en ceutes de Neptune:
De Neptune qui ſemble encores diſputer, L’Empire que le ſort obtint à Iupiter.	De Neptune qui semble encor disputer, L'Empire que le sort obtint à Jupiter.
THYRRRENE.	THYRRENE.
La fureur de la mer vous eſt moins redoutable, ue de ce chef corſaire au labeur indomptable, cognoiſt les détroits & de rames leger, von paiſſeau ne jaudra de vous uutercharger.	La fureur de la mer vous est moins redoutable, ue de ce chef corsaire au labeur indomptable, connaît les détroits et de rames léger, von paisseau ne jaudra de vous utercharger.
CALASIRE.	CALASIRE.
Moyennant que le vent à nos voiles ne faille, Sa pourſuitte ne peut ſur nous choſe qui vaille, Pountuuermere fois nous vous diſons adieu, On fait ſigne du port qu’il faut changer de lieu.	Moyennant que le vent à nos voiles ne faille, Sa poursuite ne peut sur nous chose qui vaille, Pountuuermere fois nous vous disons adieu, On fait signe du port qu'il faut changer de lieu.
THYRRHENE.	THYRHÉNE.
Adieu mes bõs amys que tous ie vous embraſſe.	Adieu mes bons amis que tous deux vous embrasse.
THEAGENE.	THÉGENE.
Mille mercis mon pere.	Mille mercis mon père.
THYRRHENE.	THYRHÉNE.
Adieu celeſte race, Puiſſe à voſtre ſujet l’orage ſe calmer, Tout homme qui voudra vous pourſuiure, abiſmer I’en ſupplie les Cieux du plus ſain de mon ame, Allez à la bonne heure.	Adieu céleste race, Puisse à votre sujet l'orage se calmer, Tout homme qui voudra vous poursuivre, abîmer J'en supplie les Cieux du plus sain de mon âme, Allez à la bonne heure.
Ah!	Ah!
de regret ie paſme Et conuient que monté ſur ce roc ſourcilleux, Ie conduiſe de l’œil par les flots perilleux, Leur nef qui de frayeur me glace la poictrine, Helas?	de regret nom pâme Et convient que monté sur ce roc sourcilleux, Je conduise de l'œil par les flots périlleux, Leur nef qui de frayeur me glace la poitrine, Hélas?
plus que iamais la vague ſe mutine, L’orage ſe renforce:	plus que jamais la vague se mutine, L'orage se renforce:
ô fous deſeſperez De ne m’auoir point crû l’heure vous maudire;	ô fous désespérez De ne m'avoir point cru l'heure vous maudire;
Non pas ſi Iupiter m'en faiſoit la promeſſe Doublement aßiegez du peril qui vous pr'eſſe, Ie croyray que pûßiezle naufrage eſchapper, Ou de vos ennemis la pourſuitte tromper.	Non pas si Jupiter m'en faisait la promesse Doublement asiégez du péril qui vous presse, Je croirai que pûssiezle naufrage échapper, Ou de vos ennemis la poursuite tromper.
Las!	Las!
plus aucun moyen de ſalut ne vous reſte Ie le voy qui deſia de vous ſuiure s’appreste, Ils voguent, ç’en eſt fait, & le port regaigner Des chetifs ne ſe peut, qu’ils viennẽt d'esloigner.	plus aucun moyen de salut ne vous reste Je le vois qui déjà de vous suivre s'apprête, Ils voguent, ç'en est fait, et le port régagner Des chétifs ne se peut, qu'ils viennent d'éloigner.
Eole Roy des vents renforce leurs haleines, Les faiſant empouper dans leurs grands-voiles pleines, Sauue ces eſtrangers, tu es ſeul qui le peus, Ah?	Eole Roi des vents renforce leurs haleines, Les faisant empouper dans leurs grands-voiles pleines, Sauve ces étrangers, tu es seul qui le pus, Ah?
que ie te preuoy mal diſpos à mes vœus, La pluye qui s’eſpand de ce petit nuage.	que ici te prévois mal dispos à mes vœus, La pluie qui s'épand de ce petit nuage.
De leur force laſchée eſt vn certain preſage, Vn preſage que dis-je, il ne vente ia plus, Et les voiles leurs maſts accolent ſuperflus:	De leur force lâchée est un certain présage, Un présage que dis-je, il ne vente ja plus, Et les voiles leurs mâts accolent superflus:
Au contraire l’ardeur des pirates s’augmente, A ramer plus legers quittes de la tourmente, O barbare, infidelle tô iniuſte element, O Ciel inexorable!	Au contraire l'ardeur des pirates s'augmente, A ramer plus légers quittes de la tourmente, Ô barbare, infidèle tô injuste élément, Ô Ciel inexorable!
ô Ciel trop inclement, Ces fuitifs de leur part n’ont rien que l’innocence, Les vœux ou les ſanglots (ineſgale puiſſance) Ie n’en ſçaurois plus voir de regret abbatu, Helas pauure vieillard que ne me croyois tu?	ô Ciel trop inclément, Ces fuitifs de leur part n'ont rien que l'innocence, Les vœux ou les sanglots (inégale puissance) Je n'en saurais plus voir de regret abattu, Hélas pauvre vieillard que ne me croyais tu?
SCENE V.	SCÈNE V.
MARCHAND THYRRHENE, TRACHIN, CARICLEE, CALASIRE & THEAGENE.	MARCHAND THYRRHENE, TRACHIN, CARICLE, CALASIRE et THÉAGENE.
MARCHAND.	MARCHAND.
E?	E?
de gracemercy la vie, au moins la vie.	de grâcemerci la vie, au moins la vie.
IQue l’ame ne nous ſoit auec les biens rauie.	IQue l'âme ne nous soit apprendre les biens ravie.
D iij	 Dijà
TRACHIN.	TRACHIN.
Apres auoir osé aueug les impudens, Iuſqu'à l’extremité reſiſter là dedans, Ie ne ſçay qui me tient?	Après avoir osé aveug les impudents, Jusqu'à l'extrémité résister là -dedans, Je ne sais qui me tient?
or ſus viſte qu’on ſorte, Et ſon ſeul veſtement chacun de vous emporte, Grace qui peu feront maiſtriſants leur courous, Mais vn autre reſpect m'empeſche que de vous.	or sus vite qu'on sorte, Et son seul vêtement chacun de vous emporte, Grâce qui peu feront maîtrisants leur courous, Mais un autre respect m'empêche que de vous.
CARICLEE.	CARICLE.
Paſſez deuant mon pere, afin que ie vous ſuiue.	Passez devant mon père, afin que je vous suive.
TRACHIN.	TRACHIN.
Belle de ton captif tu demeure captifue, Ta beauté de leur vie a payé la rançon, Pourquoy pallit ton teint triſte de la façon?	Belle de ton captif tu demeure captifue, Ta beauté de leur vie a payé la rançon, Pourquoi pallit ton teint triste de la façon?
Tout le bon traittement qu’il me ſera poßible, Tu le dois eſperer aux alarmes terribles:	Tout le bon traitement qu'il me sera passible, Tu le dois espérer aux alarmes terribles:
Ie ſuis la douceur meſme enuers ton ſexe aymé, Vn tigre ou vn dragon ne m’ont point animé:	Je suis la douceur même envers ton sexe aimé, Un tigre ou un dragon ne m'ont point animé:
Ceſte guerre pour toy, non contre toy mignonne, La gloire du vainqueur te conſacre & te donne, Tu m'en jettas l’amorce, alors que ie te vy, Voyant prés d’Tacinthe immobile & rauy:	Cette guerre pour toi, non contre toi mignonne, La gloire du vainqueur te consacre et te donne, Tu m'en jetâtas l'amorce, alors que de te vi, Voyant près d'Tacinthe immobile et ravi:
Deeſſe du depuis ſi tu ſçauois les peines, Que t’obtenant i’eſtime heureuſement humaines, Le cœur te ſeigneroit d’vne iuſte pitié, Ne dédaigne donc point ma conſtante amitié.	Deesse du depuis si tu savais les peines, Que t'obtenant j'estime heureusement humaines, Le cœur te seignerait d'une juste pitié, Ne dédaigne donc point ma constante amitié.
CARICLE’E.	CARICLÉLÉ.
Ie ren graces au Ciel qui m’a faitdebonnaire, Rencontrer vn Amant au lieu d’vn aduerſaire Mais pour bien m’aſſeurer de vos trauaux paſ Ores par ces genous que ie tiens embraſſe Par ces larmes (recours) d’vne ame miſerable, Soyez au nom des Dieux à ma voix exorable:	Je ren grâces au Ciel qui m'a faitdebonnaire, Rencontrer un Amant au lieu d'un adversaire Mais pour bien m'assurer de vos travaux pas Ores par ces genous que tu tiens embrasse Par ces larmes (recours) d'une âme misérable, Soyez au nom des Dieux à ma voix exorable:
Que mon pere chenu, & mon pauure Germain, N’ayent pas moins que moy le traitement humain:	Que mon père chenu, et mon pauvre Germain, N'aient pas moins que moi le traitement humain:
Hine poui mu compugme muuotete rous demaue.	Hine pouy mu compugme muotète rous demave.
Las?	Las?
que differez vous, eſt-ce choſe ſi grande.	que différez -vous, est-ce chose si grande.
TRACHIN.	TRACHIN.
La douceur de ta voix me charmoit ententif, Leue toy mon ſoulas, chaſſe ce ſoin craintif, Ie veux ce qu’il te plaiſt, ton frere eſt en vn aage, Qui ſe peut appliquer des mieux à noſtre vſage:	La douceur de ta voix me charmait ententif, Lève toi mon soûlas, chasse ce soin craintif, Je veux ce qu'il te plaît, ton frère est en un âge, Qui se peut appliquer des mieux à notre usage:
Le vieillard ſans mentir vn inutile faix Nous charge, mais pour toy ce plaiſir ie luy fais;	Le vieillard sans mentir un inutile faix Nous charge, mais pour toi ce plaisir ie lui fais;
Rentrons dans le vaiſſeau, & que chacun habile, Freſte ſon induſtrie à regagner noſtre Isle.	Rentrons dans le vaisseau, et que chacun habile, Frête son industrie à regagner notre Île.
ACTEV.	ACTEU.
CALASIRE, CARICLEE, THEAGENE, PELORE, ARCATOHINJ IROVPPE DE IIRAIES.	CALASIRE, CARICLEE, THÉGENE, PELORE, ARCATOYIN JROUPPE DE IIRAIES.
OCLNVD I.	OCLNVD I.
CALASIRE, CARICLE’E, TH.	CALASIRE, CARICLÉLÉE, TH.
CALASIRE.	CALASIRE.
Rigand audacieux, que l’aueugle bandeau OD'vn proſpere larcin trouble de ſon cerueau:	Rigand audacieux, que l'aveugle bandeau OD'un prospère larcin trouble de son cerveau:
Tu mépriſes ce corps vſe par les années, Tu penſes allegertes flammes forcenées, Soubs couleur d'vn Hymen à ma fille promis, Mais à ceux de ton rang tel bonneur n’eſt permis;	Tu méprises ce corps se par les années, Tu penses allégertes flammes forcenées, Sous couleur d'un Hymen à ma fille promis, Mais à ceux de ton rang tel bonneur n'est permis;
Ta force iniurieuſe a vn eſprit en teſte, Qui du lict nuptial vn ſuaire t’appreſte, Ie pourroy t’affronter vn riual genereux, Si pour luy ton treſpas ne ſembloit funereux:	Ta force injurieuse a un esprit en tête, Qui du lit nuptial un suaire t'apprête, Je pourrai t'affronter un rival généreux, Si pour lui ton trépas ne semblait funreux:
Si le nombre des tiens n’excedoit l’apparence, Si tu n’eſtois vn' Hydre en ſemblable occurrence, Qu'en eſt.	Si le nombre des tiens n'excédait l'apparence, Si tu n'étais un Hydre en semblable occurrence, Qu'en est.
il de beſoin, ie feray que ton ſang, Par l’vn de tes ſuppoſts t’eſpuiſera le flang:	il de besoin, je ferai que ton sang, Par l'un de tes suppôts t'épuisera le slang:
Ie feray, ie feray, qu’vne Erine ſanglante, Au paillard eſtomach de ton ſecond ſe plante, L’anime à ton carnage, à te priuer du iour, Equitable loyer d’vn monſtrueux amour, Où poſsible qu’entr’eux la diſcorde ſemée, La partialité des deux parts enflammée:	Je ferai, Seigneur ferai, qu'une Erine sanglante, Au paillard estomac de ton second se plante, L'anime à ton carnage, à te priver du jour, Équitable loyer d'un monstrueux amour, Où possible qu'entreux la discorde semée, La partialité des deux parts enflammée:
Nous les verrons auec leurs complices meſchans.	Nous les verrons toujours leurs complices méchants.
S’entr’occir à la fois par leurs propres tranchans.	S'entr'occir à la fois par leurs propres tranchants.
Or ſus donc preuenons ſon eſpoir temeraire, Qu'en tels mots m’a naguere exprimé le Corſaire.	Or sus donc prévenons son espoir téméraire, Qu'en tels mots m'a naguère exprimé le Corsaire.
Les victimes (dit-il) que tu vois couronner, Ie les veux à Iunon la nopciere donner:	Les victimes (dit-il) que tu vois couronner, Je les veux à Junon la nopcière donner:
Ne pouuant differer plus que ceſte iournée, De receuoir ta fille en loyal Hymenée:	Ne pouvant différer plus que cette journée, De recevoir ta fille en loyal Hyménée:
Partant fais la parer de ſes plus beaux habits, Que l’or, les diamans, les perles, les rubis, Enluſtrent ſa beauté, la rendent plus aymable, Offre que i’ayreceu comme il m'eſt agreable, Impetrant au vaiſſeau quelque lieu ſepare, Où ſon corps en ſecret ſoit par elle paré.	Partant fais la parer de ses plus beaux habits, Que l'or, les diamants, les perles, les rubis, Enlustrent sa beauté, la rendent plus aimable, Offre que j'ayreceu comme il m'est agréable, Impetrant au vaisseau quelque lieu sépare, Où son corps en secret soit par elle paré.
Dépeſche Calaſire, accomply ta promeſſe, un:	Dépêche Calasire, accompli ta promesse, un:
voicy mes enfans quitnargez de trijteſſe Se tiennent pres de moy, ma fille eſgarez vous, Il ſe faudra parer pour vn nouuel eſpoux, Le Pirate à ce ſoir vous attend à ſa couche.	voici mes enfants quitnargés de trijtesse Se tiennent pres de moi, ma fille égarés vous, Il se faudra parer pour un nouvel époux, Le Pirate à ce soir vous attend à sa couche.
CARICLEE.	CARICLE.
Las?	Las?
pourquoy voulez vous que ces yeux ie débouNont-ils à voſtre gré aſſez verſe de pleurs, (che, Q ieſouuut ma piuse uugmenteZ mes douleurs	pourquoi voulez -vous que ces yeux Seigneur débouNont-ils à votre gré assez verse de pleurs, (che, Q iesouuut ma piuse uugmenteZ mes douleurs
THEAGENE.	THÉGENE.
Et moy chetif, & moy ne doiſ-je à ces paroles, Vn reproche éuiter digne des ames molles, Pourquoy repoſe plus ce poignard au fourreau, Que de ſon triste maiſtre il ne ſe fait bourreau?	Et moi chétif, et moi ne dois-je à ces paroles, Un reproche éviter digne des âmes molles, Pourquoi repose plus ce poignard au fourreau, Que de son triste maître il ne se fait bourreau?
CALASIRE.	CALASIRE.
Tant ſoit peu mes enfans encor de patience, Et vous confeſſerez ſage d’experience, Que par douceurie ſçay la force repouſſer, Offençant l’ennemy qui nous cuide offencer, Retournez dans la nef, où à vous Cariclée, L’eſlection du lieu plus ſecret eſt baillée;	Tant soit peu mes enfants encor de patience, Et vous confesserez sage d'expérience, Que par douceurie sais la force repousser, Offensant l'ennemi qui nous cuide offenser, Retournez dans la nef, où à vous Cariclée, L'élection du lieu plus secret est baillée;
Là ſans plus enquerir preparez viſtement, En voſtre plus ſuperbe & riche veſtement, Vne beauté ſeconde & monſtrée à Pelore, L’autre de ces brigans que pour chef on honore:	Là sans plus enquérir préparez vitement, En votre plus superbe et riche vêtement, eauté seconde et montrée à Pelore, L'autre de ces brigants que pour chef on honore:
Empriſonnez ſon ame en la tirant du ſein, L’effet vous monſtrera à quoy tend ſon deſſein.	Emprisonnez son âme en la tirant du sein, L'effet vous montrera à quoi tend son dessein.
CARICLE’E.	CARICLÉLÉ.
Ie le feray mon Pere, helas?	Je le ferai mon Père, hélas?
mais quelle feinte, Au ſront v'aaumera au tœur ia joye cteinte.	mais quelle feinte, Au sront v'aaumera au tœur joie cteinte.
THEAGENE.	THÉGENE.
La feinte plus exquiſe eſt d’aller égorger Ces voleurs, & du moins notre honte venger.	La feinte plus exquise est d'aller égorger Ces voleurs, et du moins notre honte venger.
CALASIRE.	CALASIRE.
Ah?	Ah?
l’indiſcretion que c’est d’vne jeuneſſe, Qui ſuccombe boüillante à la fureur maitreſſe, oſtez vous, laiſſez moy, voicy l’homme ſortir Par le moyen duquel ie vous veux garantir.	l'indiscrétion que c'est d'une jeunesse, Qui succombe bouillante à la fureur maîtresse, ôtez -vous, laissez moi, voici l'homme sortir Par le moyen duquel ie vous veux garantir.
SCENE II.	SCÈNE II.
PELORE.	PELORE.
CALASIRE.	CALASIRE.
PELORE.	PELORE.
Eſire tu vieillard quelque choſe me dire?	Érire tu vieillard quelque chose me dire?
CALASIRE.	CALASIRE.
Oüy, choſe qui ton heur & ton honneur conſpire.	Oui, chose qui ton heur et ton honneur conspire.
ELORE.	ÉLORE.
Declare moy que c’eſt, parle ſans differer, Les plaiſirs qu'on me fait ie ſçay remunerer.	Declare moi que c'est, parle sans différer, Les plaisirs qu'on me fait a sçay rémunérer.
CALASIRE.	CALASIRE.
Sçache ie te le dy comme à mon plus intime, Que ma fille t’ayant reconnu magnanime, D’infinis dons du corps, & de l’eſprit doüë, T’a preferable à tous, ſon courage voüé, Elle ne veut d’Eſpous que Pelore, deuſt elle (Ce ſont ſes propres mots) ſouffrir lamort cruelle, Ne la dédaigne pas, de noſtre affinité Ne te peut reüßir que de l’vtilité;	Sache ie te le dis comme à mon plus intime, Que ma fille t'ayant reconnu magnanime, D'infinis dons du corps, et de l'esprit dès, T'a préférable à tous, son courage voüé, Elle ne veut d'Espous que Pelore, dût -elle (Che sont ses propres mots) souffrir lamort cruelle, Ne la dédaigne pas, de notre affinité Ne te peut réussir que de l'vtilité;
Tu en trouueras peu du ſang & du merite, Elle s’offre en tes mains comme vne fleur d’elite.	Tu en trouveras peu du sang et du mérite, Elle s'offre en tes mains comme une fleur d'élite.
Pudique autant que belle, & qui de ton butin, Su ffira bien heurer ton mal heureux deſtin, A te mettre en repos le reste de ſon aage, Tindigne meſtier laiſſant de brigandage.	Pudique autant que belle, et qui de ton butin, Su ffira bien heurer ton mal heureux destin, À te mettre en repos le reste de son âge, Tindigne métier laissant de brigandage.
PELORE.	PELORE.
Que ja peaute m'aſfecte, an pie ne le croy pas.	Que ja peaute m'asfecte, an pie ne le crois pas.
CALASIRE.	CALASIRE.
Puiſſe donc à tes pieds me prendre le trespas.	Puisse donc à tes pieds me prendre le trépas.
PELORE.	PELORE.
Si n’en ay-je apperçeu non le plus foible indice.	Si n'en ai-je aperçu non le plus faible indice.
OfEdoIREs La honte fait cela, qui eſt ſon plus grand vice.	OfEdoIREs La honte fait cela, qui est son plus grand vice.
PELORE.	PELORE.
Ah!	Ah!
ne me flatte point, ne reueille en mes os, Sur ce meſme ſujet vn trouble de repos.	ne me flatte point, ne réveille en mes os, Sur ce même sujet un trouble de repos.
CALASIRE.	CALASIRE.
mes, La preuue eſt vn flambeau qui guide tous les hõ	mes, La preuve est un flambeau qui guide tous les ha
PELORE.	PELORE.
Las ne t'atton fommer de ce uontiume ſommes, Ie meurs de ſon amour, & ne deſire rien, Que de vous eſtre ioints par vn ſtable lien.	Las ne t'atton sommer de ce uontivme sommes, Je meurs de son amour, et ne désire rien, Que de vous être joints par un stable lien.
CALASIRE.	CALASIRE.
Nulle difficulté aux nopces ne s’oppoſe, Que celles de Trachin, ie ne crains autre choſe, Le pompeux ſacrifice appreſté de ſa part, Ne viſe qu’à ce but, d’impatience il ard, Que le iour acheué ne conduit en ſa couche, Celle qui l’ayme moins qu'vne inſenſible ſouche, Violent il ne m’a ſa volonté celé, Mais nous auons à toy de l’arreſt appelè, N’encours en luy cedant vn timide re proche, Luy qu'aucune vertu de ton grade n’approche, Luy qui n’eſt comme toy des ſoldats eſtimé, Ne permets ton amour jous ia fonce oppnme,	Nulle difficulté aux noces ne s'oppose, Que celles de Trachin, toujours ne crains autre chose, Le pompeux sacrifice apprêté de sa part, Ne vise qu'à ce but, d'impatience il ard, Que le jour achevé ne conduit en sa couche, Celle qui l'aime moins qu'une insensible souche, Violent il ne m'a sa volonté celé, Mais nous avons à toi de l'arrêt appelé, N'encours en lui cédant un timide re proche, Lui qu'aucune vertu de ton grade n'approche, Lui qui n'est comme toi des soldats estime, Ne ts ton au jous fonce oppnme'
PELORE.	PELORE.
Il n’obtient primauté̀ ſur moy que ie ne vueille, Tel fruit de mes labeurs qu’il me plaiſt ie recueille, Plus cupide de los que d’vn auare gain, Et cuidant s'vſurper le pouuoir ſouuerain, Entreprendre ſur moy l’amitié de ta fille, Si tant d’ambition le jugement luy cille:	Il n'obtient primauté sur moi que je ne veuille, Tel fruit de mes labeurs qu'il me plaît ie recueille, Plus cupide de los que d'un avare gain, Et cuidant s'usurper le pouvoir souuerain, Entreprendre sur moi l'amitié de ta fille, Si tant d'ambition le jugement mille cille:
Vn courage, & vn bras de ce fer aſſiſtez, Reprimeront l’ardeur de ſes lubricitez Ie ne veux neantmoins que ſous bonne aſſûrãce.	Un courage, et un bras de ce fer assistez, Reprimeront l'ardeur de ses lubricités Je ne veux néanmoins que sous bonne assurrance.
D’vne telle amitié, entrer en concurrence,	D'une telle amitié, entrer en concurrence,
CALASIRE.	CALASIRE.
Pren la peine d’aller au vaiſſeau contempler Celle qui peut d’amours le monde repeupler, Ta maiſtreſſe en vn lieu ſeulette ſeparée, Pour complaire à tes yeux ſuperbement parée.	Pren la peine d'aller au vaisseau contempler Celle qui peut d'amours le monde repeupler, Ta maîtresse en un lieu seulette séparée, Pour complaire à tes yeux superbement parée.
Tente la de regards, & te reigle par eux, Tu ne vis iamais rien ſi beau ne ſi piteux.	Tente la de regards, et te règle par eux, Tu ne vis jamais rien si beau ne si piteux.
PELORE.	PELORE.
I'approuue ce moyen, & pouruû que ie ſente, Que ſon amour au mien reciproque conſente, Qu'vne ſcintile l’ait eſpriſe à mon ſujet, Alors ie franchiray la borne du reſpect, Ou de force, ou de gré i’obtiendray ma requeſte, Bref l'vn de nous perdra la vie ou ſa conqueſte,	J'approuve ce moyen, et pourvu que votre sente, Que son amour au mien reciproque consente, Qu'une scintile l'ait éprise à mon sujet, Alors Seigneur franchirai la borne du respect, Ou de force, ou de gré j'obtiendrai ma requête, Bref l'un de nous perdra la vie ou sa conquête,
CALASIRE.	CALASIRE.
Dieux vengeurs, permettez que ce couple meſchant, Ait la victoire égale au combat trébuchant.	Dieux vengeurs, permettez que ce couple méchant, Ait la victoire égale au combat trébuchant.
PELORE.	PELORE.
Que murmure tu ſeul?	Que murmure tu seul?
CALASIRE.	CALASIRE.
E dliemeqnenapee;	E dlièmeqnenape;
Et que ie prie aux Dieux t’enflammer inuincible,	Et que ici prie aux Dieux t'enflammer invincible,
PELORE.	PELORE.
Point, point, cela vaut fait, ie m'e vay la trouuër, Et dans vne heure au plus l’entrepriſe acheuer.	Point, point, cela vaut fait, je m'e vais la trouver, Et dans une heure au plus l'entreprise achever.
CALASIRE.	CALASIRE.
O celeſte induſtrie, excellent ſtratageme, Tout de feu, tout d’amour, il n’eſt plus en luy meſme, Vne rage infernale en ſon ſein boüillonnant, Au meurtre, & au diſcord ſe conduit maintenãt:	Ô céleste industrie, excellent stratagème, Tout de feu, tout d'amour, il n'est plus en lui -même, Âme rage infernale en son sein bouillonnant, Au meurtre, et au discord se conduit maintenants:
Tandis i’aduertiray deſſoubs main Theagene, Qu’il attende appreſté l’occaſion prochaine:	Tandis j'avertirai dessoubs main Thagène, Qu'il attende apprêté l'occasion prochaine:
Qu’armè pour ſa maiſtreſſe il taſche exterminer Nos brigands reſolus de s'entr'eßaſiner.	Qu'armène pour sa maîtresse il tâche exterminer Nos brigands résolus de s'entr'essasiner.
SCENE III.	SCÈNE III.
TRACHIN, PELORE, TROVPPE DE PIRATES, DHLASIRE, THEAGENE, & CARICLEE.	TRACHIN, PELORE, TROUPE DE PIRATES, DHLASIRE, THÉGENE, et CARICLE.
TRACHIN.	TRACHIN.
IRachin cent fois heureux, ton attente feT conde apporte la moiſſon des beautez de ce monde, amant bien fortuné;	JRachin cent fois heureux, ton attente feT condé apporte la moisson des beautés de ce monde, amant bien fortuné;
voicy, voicy la nuict 'vne fel cité celeſte qui te luit, Iuict, ſatrée aux douceurs du fils de Cytherée, Iuict, autant chere à toy qu’elle fut deſirée:	voicy, voicy la nuict ' fel cité celeste qui te luit, Iuict, satrée aux douceurs du fils de Cytherée, Voici, autantchère y la nuelle fut y:
uict, qui cache en ſon ombre vn eſſein de plaiſirs, nrefrigere exquis de tes boüillans deſirs, uict, qu’à peine ie croy combien que ie la touche, ui les graces m’ameine, & Cypris en ma couche, pris n’eſt pas ſi belle, elle n’euſt onc le teint gal à ſa blancheur, que la neige n’atteint, emée de vermillon ſur la ioüe arondie, eſes Aſtres beſſons la lumiere brandie, oſcurcit le plus clair de toute autre clarté, foudroye d’vn rais l’humaine liberté;	Ouict, qui cache en son ombre in de plaisirs, nrefrigere exquis de tes boüillans désirs, uit, qu'à peine ie crois combien que je la touche, ui les grâces m'amène, et Cypris en ma couche, pris n'est pas si belle, elle n'eût onc le teint gal à sa blancheur, que la neige n'atteint, emée de vermillon sur la joue arondie, eses Astres bons la lumière brandie, oscurcit le plus clair de toute autre clarté, foudroye aie d'humaine liberté;
Quel bouton frais eſclos de la fleur odoreuſe, Qu'empourpra d’vn amant la playe douloureuſe A ſa levre iumelle oſeroit s’affronter?	Quel bouton frais éclos de la fleur odoreuse, Qu'empourpra d'un amant la plaie douloureuse À sa lèvre jumelle oserait s'affronter?
O Cieux!	Ô Cieux!
en vn Dedale or ie me vay ietter, Entamant l’infiny de ſes moindres loüanges, Il vaut mieux qu’au feſtin preparè tu te ranges, Les tiens ſont attendans.	en un Dédale or ie me vais jeter, Entamant l'infini de ses moindres louanges, Il vaut mieux qu'au festin préparé tu te ranges, Les tiens sont attendants.
Approchez vous amys Embraſſez l’allegreſſe, & que tout ſoin remis, On celebre à ce ſoir mon heureux Hymenée, Chacun à ſon pouuoir honore la iournée, S’empliſſe à qui mieux mieux de ce ſuc Tyrien, Qu’on face bonne chere & qu’on n’eſpargne riẽ Aſſez certes, aſſez vos trauaux le meritent, Et i’eſtime que ceux les Deitez irritent, Qui ne daignent ingrats de leurs preſens vſer, Iamais il ne les faut enuoyeZ refuſer, Incertains du trespas qui nous ſuit à toute heure, Et nous fait Citoyens de la triſte demeure:	Approchez -vous amis Embrassez l'allégresse, et que tout soin remis, On célèbre à ce soir mon heureux Hyménée, Chacun à son pouvoir honore la journée, S'emplisse à qui mieux mieux de ce suc Tyrien, Qu'on face bonne chère et qu'on n'épargne rienne Assez certes, assez vos travaux le méritent, Et j'estime que ceux les Deitez irritent, Qui ne daignent ingrats de leurs presens er, Jamais il ne les faut enuoyeZ refuser, Incertains du trépas qui rieurs suit à toute heure, Et nous fait Citoyens de la triste demeure:
Ie ſalüray premier de ce vin couronné, Celle que m’ont les Dieux pour Espouſe donné, Pleigez la tour à tour, ſus que quiconque m’aymé, Puiſe la couppe pleine, & faſſe tout de meſme.	Je salouerai premier de ce vin couronné, Celle que m'ont les Dieux pour Espouse donné, Pligez la tour à tour, sus que quiconque m'aimé, Puise la couppe pleine, et fasse tout de même.
TROVPPE' DE PYRATES.	TROUPPE DE PIRATES.
