dMmMlM dHO.	dMmlM dHO.
Et quand je puis venir enflé d’une nouvelle, Donner à ſon repos une atteinte mortelle, C’eſt lors que plus il m’aime, & je voy ſa raiſon D’une audience avide avaler ce poiſon, Et m’en remereier, comme d’une victoire, Qui combleroit ſes jours de bonheur & degloire.	Et quand je puis venir enflé d'une nouvelle, Donner à son repos une atteinte mortelle, C'est lors que plus il m'aime, et je vois sa raison D'une audience avide avaler ce poison, Et m'en remereier, comme d'une victoire, Qui comblerait ses jours de bonheur et degloire.
Mais mon Rival paroiſt, je vous laiſſe tous deux, Et bien que je renonce à l’eſpoir de vos vœux, J’aurois un peu de peine à voir qu’en ma preſence, Il receuſt des effets de quelque preference;	Mais mon Rival paraît, je vous laisse tous deux, Et bien que je renonce à l'espoir de vos vœux, J'aurais un peu de peine à voir qu'en ma présence, Il reçût des effets de quelque préférence;
Et je veux, ſi je puis, m’épargner ce ſoucy.	Et je veux, si je puis, m'épargner ce souci.
LISE.	LISE.
Tout amant de bon ſens en doit uſer ainſi.	Tout amant de bon sens en doit user ainsi.
SCENE II.	SCÈNE II.
D.	D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ALVAR.	ALVAR.
Nfin, nous apprenons que le Roy de Navarre Pour les deſirs du Prince, aujourd’huy ſe declare;	Nfin, nous apprenons que le Roi de Navarre Pour les désirs du Prince, aujourd'hui se déclare;
Et qu’un nouveau renfort de Troupes nous attend Pour le fameux ſervice, où ſon amour pretend.	Et qu'un nouveau renfort de Troupes nous attend Pour le fameux service, où son amour prétend.
Je ſuis ſurpris pour moy, qu’avec tant de viteſſe, On ait fait avancer.	Je suis surpris pour moi, qu'avec tant de vitesse, On ait fait avancer.
Mais.	Mais.
ELISE.	ÉLISE.
Queiques letties, seigneur, je le prelume ainſi;	Queiques letties, seigneur, je le prélume ainsi;
Mais elle va ſçavoir que vous eſtes icy.	Mais elle va savoir que vous êtes ici.
SCENE IV.	SCÈNE IV.
D.	D.
GARCIE ſeul.	GARCIE seul.
Attendray qu’elle ait fait.	Attendrai qu'elle ait fait.
Prés de ſouffrir ſa veuë, JD’un trouble tout nouveau je me ſens l’ame émeuë Et la crainte meſlée à mon reſſentiment, Jette par tout mon corps un ſoudain tremblement.	Prés de souffrir sa vue, JD'un trouble tout nouveau je me sens l'âme émue Et la crainte mêlée à mon ressentiment, Jette par tout mon corps un soudain tremblement.
Prince, prends garde au moins, qu’un aveugle caprice Ne te conduiſe icy dans quelque precipice, Et que de ton eſprit les deſordres puiſſans, Ne donnent un peu trop au rapport de tes ſens.	Prince, prends garde au moins, qu'un aveugle caprice Ne te conduise ici dans quelque précipice, Et que de ton esprit les désordres puissants, Ne donnent un peu trop au rapport de tes sens.
Conſulte ta raiſon, prends ſa clarté pour guide, Voy ſi de tes ſoupçons, l’apparence eſt ſolide;	Consulte ta raison, prends sa clarté pour guide, Vois si de tes soupçons, l'apparence est solide;
Ne dements pas leur voix, mais auſſi garde bien Que pour les croire trop ils ne t’impoſent rien;	Ne démens pas leur voix, mais aussi garde bien Que pour les croire trop ils ne t'imposent rien;
Qu’à tes premiers tranſports ils n’oſent trop permettre, Et relis poſément cette moille de feftter.	Qu'à tes premiers transports ils n'osent trop permettre, Et relis posément cette moille de fefter.
Ha!	Ha!
qu’eſt-ce que mon cœur, trop digne de pitié, Ne voudroit pas donner pour ſon autre moitié!	qu'est-ce que mon cœur, trop digne de pitié, Ne voudrait pas donner pour son autre moitié!
Mais aprés tout que dis-je?	Mais après tout que dis-je?
il ſuffit bien de l’une, Et n’en voilà que trop pour voir mon infortune.	il suffit bien de l'une, Et n'en voilà que trop pour voir mon infortune.
Quoy	Quoi
Quoy que voſtre Rival.	Quoi que votre Rival.
Vous devez toutefois vous.	Vous devez toutefois vous.
Et vous avez en vous à.	Et vous avez en vous à.
L'obſtacle le plus graiid.	L'obstacle le plus graiid.
Je cheris tendremeht ce.	Je chéris tendremehait ce.
Pour me tirer des mains de.	Pour me tirer des mains de.
Son amour, ſes devoirs.	Son amour, ses devoirs.
Mais il m’eſt odieux avec.	Mais il m'est odieux avec.
Oſtez donc à vos feux ce.	Ostez donc à vos feux ce.
Meritez les regards que l’on.	Méritez les regards que l'on.
Et lois qu’on vous oonge.	Et lois qu'on vous oonge.
Ne vous obſtinez point à.	Ne vous obstinez point à.
Oüy, mon ſort par ces mots eſt aſſez éclaircy, Son cœur comme ſa main ſe fait connoiſtre icy;	Oui, mon sort par ces mots est assez éclairci, Son cœur comme sa main se fait connaître ici;
Et les ſens imparfaits de cet écrit funeſte, Pour s’expliquer à moy, n’ont pas beſoin du reſte Toutefois dans l’abord agiſſons doucement, Couvrons à l’infidelle un vif reſſentiment;	Et les sens imparfaits de cet écrit funeste, Pour s'expliquer à moi, n'ont pas besoin du reste Toutefois dans l'abord agissons doucement, Couvrons à l'infidèle un vif ressentiment;
Et de ce que je tiens, ne donnant point d’indice, Confondons ſon eſprit par ſon propre artifice.	Et de ce que je tiens, ne donnant point d'indice, Confondons son esprit par son propre artifice.
La voicy, ma raiſon, renferme mes tranſports, Et rends-toy pour un temps maiſtreſſe du dehors.	La voici, ma raison, renferme mes transports, Et rends-toi pour un temps maîtresse du dehors.
CBii r.	CBi r.
D.	D.
ELOIRE, D.	ÉLOIRE, D.
GARCIE.	GARCIE.
D.	D.
ELUIRE.	ÉLUIRE.
J Ous avez bien voulu que jevous fiſſe attendre?	 Jus avez bien voulu que jevous fisse attendre?
D.	D.
GARCIE.	GARCIE.
Ha!	Ha!
qu’elle cache bien.	qu'elle cache bien.
D.	D.
ELUIRE.	ÉLUIRE.
On vient de nous apprenuioQue le Roy voſtre Pere approuve vos projets, Et mon ame en a pris une allegreſſe extrême.	On vient de nous apprenuioQue le Roi votre Père approuve vos projets, Et mon âme en a pris une allégresse extrême.
D.	D.
GARCIE.	GARCIE.
Oüy, Madame, & mon cœur s’en réjoüit de meſme, Mais.	Oui, Madame, et mon cœur s'en réjouit de même, Mais.
D.	D.
ELUIRE.	ÉLUIRE.
Le Tyran ſans doute aura peine à parer Les foudres que par tout il entend murmurer;	Le Tyran sans doute aura peine à parer Les foudres que par tout il entend murmurer;
Et j’oſe me flater que le meſme courage Qui pût bien me ſouſtraire à ſa brutale rage:	Et j'ose me flatter que le Seigneur courage Qui pût bien me soustraire à sa brutale rage:
Et dans les murs d’Aſtorgue, arrachez de ſes mains, Mre faiſe ui lem azlie a braver ſes deſſeins:	Et dans les murs d'Astorgue, arrachés de ses mains, Mre faise ui le aslie a braver ses desseins:
Pourra de tout Leon, achevant la conqueſte, Sous ſes nobles efforts faire cheoir cette teſte.	Pourra de tout Léon, achevant la conquête, Sous ses nobles efforts faire choir cette tête.
D.	D.
GARCIE.	GARCIE.
Le ſuccez en pourra parler dans quelques jours, Mais de grace paſſons à quelque autre dſſcours.	Le succès en pourra parler dans quelques jours, Mais de grâce passons à quelque autre dssours.
Puis-je ſans trop oſer vous prier de me dire, Ir qui vous avez pris, Madame, ſoin d’écrire, Depuis que le deſtin nous a conduits icy?	Puis-je sans trop oser vous prier de me dire, Ir qui vous avez pris, Madame, soin d'écrire, Depuis que le destin nous a conduits ici?
D.	D.
ELUIRE.	ÉLUIRE.
Pourquoy cette demande?	Pourquoi cette demande?
& d’où vient ce ſoucy?	et d'où vient ce souci?
D.	D.
GARCIE.	GARCIE.
D'un deſir curieux de pure fantaiſie.	D'un désir curieux de pure fantaisie.
DLLUIRB.	DLUIRB.
La curioſité naiſt de la jalouſie.	La curiosité naît de la jalousie.
D.	D.
GARCIE.	GARCIE.
Non, ce n’eſt rien du tout de ce que vous penſez, Vos ordres de ce mal me défendent aſſez.	Non, ce n'est rien du tout de ce que vous pensez, Vos ordres de ce mal me défendent assez.
D.	D.
ELUIRE.	ÉLUIRE.
Sans chercher plus avant quel intereſt vous preſſe, J’ay deux fois à Leon écrit à la Comteſſe;	Sans chercher plus avant quel intérêt vous presse, J'ai deux fois à Léon écrit à la Comtesse;
Et deux fois au Marquis D.	Et deux fois au Marquis D.
Louis, à Burgos;	Louis, à Burgos;
Avec cette réponſe eſtes vous en repos?	Avec cette réponse êtes -vous en repos?
D.	D.
GARCIE.	GARCIE.
Vous n’avez point écrit a quelque autre penomne, Ma	Vous n'avez point écrit à quelque autre pénomne, Ma
D.	D.
ELUIRE.	ÉLUIRE.
Non, ſans doute, & ce diſcours m’étonne.	Non, sans doute, et ce discours m'étonne.
D.	D.
GARCIE.	GARCIE.
De grace ſongez bien avant que d’aſſurer, En manquant de memoire on peut ſe parjurer,.	De grâce songez bien avant que d'assurer, En manquant de mémoire on peut se parjurer,.
Es a e dra Le Ma bouche ſur ce point ne peut eſtre parjure.	Es a e ura Le Ma bouche sur ce point ne peut être parjure.
D.	D.
GARCTE.	GARCTE.
Elle a dit toutefois une haute impoſture.	Elle a dit toutefois une haute imposture.
Prince.	Prince!
D.	D.
ELUIRE.	ÉLUIRE.
D.	D.
GARCIE.	GARCIE.
Madame.	Madame.
D.	D.
ELUIREO O Ciel!	ÉLUIREO Ô Ciel!
quel eſt ce mouvement, Avez vous, dites-moy, perdu le jugement?	quel est ce mouvement, Avez -vous, dites-moi, perdu le jugement?
D.	D.
GARCIE.	GARCIE.
Oüy, oüy, je l’ay perdu, lorſque dans voſtre veuë, ’ay pris pour mon malheur le poiſon qui me tuë.	Oui, oui, je l'ai perdu, lorsque dans votre vue, aay pris pour mon malheur le poison qui me tue.
Et que j’ay crû trouver quelque ſincerité Dalis les tralitres appas, dont je fus enchanté.	Et que j'ai cru trouver quelque sincérité Dalis les tralitres appas, dont je fus enchanté.
D.	D.
ELUIRE.	ÉLUIRE.
De quelle trahiſon pouvez vous donc vous plaindre?	De quelle trahison pouvez -vous donc vous plaindre?
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
que ce cœur eſt double, & ſçait bien l'art de lemdle , Mais tous moyens de fuir luy vont eſtre ſouſtraits, Jettez icy les yeux, & connoiſſez vos traits;	que ce cœur est double, et sçait bien l'art de lèdle , Mais tous moyens de fuir quelque vont être soustraits, Jettez ici les yeux, et connaissez vos traits;
Sans avoir veu le reſte, il m’eſt aſſez facile De découvrir pour qui vous employez ce ſtile.	Sans avoir vu le reste, il m'est assez facile De découvrir pour qui vous employez ce style.
D.	D.
ELUIRE.	ÉLUIRE.
Voilà donc le ſujet qui vous trouble l’eſprit?	Voilà donc le sujet qui vous trouble l'esprit?
D.	D.
GARCIE.	GARCIE.
Vous ne rougiſſez pas en voyant cet écrit?	Vous ne rougissez pas en voyant cet écrit?
D.	D.
ELUIRE.	ÉLUIRE.
L’innocence à rougir n’eſt point accoûtumée.	L'innocence à rougir n'est point accoutumée.
D.	D.
GAR	GAR
D.	D.
GARCIE.	GARCIE.
Il eſt vray qu'en ces lieux on la voit opprimée, Ce billet dementi pour n’avoir point de ſeing.	Il est vrai qu'en ces lieux on la voit opprimée, Ce billet démenti pour n'avoir point de seing.
D.	D.
ELUIRE.	ÉLUIRE.
Pourquoy le dementir, puiſqu’il eſt de ma main?	Pourquoi le démentir, puisqu'il est de ma main?
D.	D.
GARCIE.	GARCIE.
Encor eſt-ce beaucoup que de franchiſe pure, Vous demeuriez d’accord, que c’eſt voſtre écriture;	Encore est-ce beaucoup que de franchise pure, Vous demeuriez d'accord, que c'est votre écriture;
Mais ce ſera, ſans doute, & j’en ſerois garant, Un billet qu’on envoye à quelque indifferent, Ou du moins ce qu’il a de tendreſſe évidente Sera pour une amie, ou pour quelque parente.	Mais ce sera, sans doute, et j'en serais garant, Un billet qu'on envoie à quelque indifférent, Ou du moins ce qu'il a de tendresse évidente Sera pour une amie, ou pour quelque parente.
D.	D.
ELUIRE.	ÉLUIRE.
Nony e ert pour un Amnant, que ma main l’a formé, Et j’ajoute de plus pour un Amant aimé.	Noni e ert pour un Amnant, que ma main l'a formé, Et j'ajoute de plus pour un Amant aimé.
D.	D.
GARCIE.	GARCIE.
Et je puis, ô Perfide.	Et je puis, ô Perfide.
D.	D.
ELUIRE.	ÉLUIRE.
Arreſtez, Prince indigne, De ce lâche tranſport l’égarement inſigne, Bien que de vous mon cœur ne prenne point de loy, Et ne doive en ces lieux aucun conte qu’à ſoy, Je veux bien me purger pour voſtre ſeul ſupplice, Du crime que m’impoſe, un inſolent caprice;	Arrêtez, Prince indigne, De ce lâche transport l'égarement insigne, Bien que de vous mon cœur ne prenne point de loi, Et ne doive en ces lieux aucun compte qu'à soi, Je veux bien me purger pour votre seul supplice, Du crime que m'impose, un insolent caprice;
Vous ſerez éclaircy, n’en doutez nullement, j’ay ma delence preſte en ce meſme moment.	Vous serez éclairci, n'en doutez nullement, j'ai ma délence prête en ce même moment.
Vous allez recevoir une pleine lumiere, Mon innocence icy paroiſtra toute entiere;	Vous allez recevoir une pleine lumière, Mon innocence ici paraîtra toute entière;
Et je veux vous mettant juge en voſtre intereſt, Vous faire prononcer vous meſme voſtre arreſt.	Et je veux vous mettant juge en votre intérêt, Vous faire prononcer vous même vôtre arrêt.
D.	D.
GARCIE.	GARCIE.
Ce ſont propos obſcurs, qu’on ne ſçauroit comprendre.	Ce sont propos obscurs, qu'on ne saurait comprendre.
D.	D.
ELUIRE.	ÉLUIRE.
Bien-toſt à vos dépens vous me pourrez entendre.	Bientôt à vos dépens vous me pourrez entendre.
Eliſe, hola.	Élise, holà.
SCE	SCE
SCENE VI.	SCÈNE VI.
12 D.	12 D.
GANGID, DIHLUIRE, ELISE.	GANGID, DIHLUIRE, ÉLISE.
ELISE.	ÉLISE.
MAdame.	MAdame.
D.	D.
ELUIRE.	ÉLUIRE.
Obſervez bien au moins, Si j'oſe à vous tromper employer quelques ſoins, Si par un ſeul coup d’œil, ou geſte qui l’inſtruiſe, je cherche de ce coup à parer la ſurpriſe.	Observez bien au moins, Si j'ose à vous tromper employer quelques soins, Si par un seul coup d'œil, ou geste qui l'instruise, je cherche de ce coup à parer la surprise.
Le billet que tantoſt ma main avoit tracé, Répondez promptement, où l’avez vous laiſſé?	Le billet que tantôt ma main avait tracé, Répondez promptement, où l'avez -vous laissé?
E LISE.	E LISE.
Madame, j’ay ſujet de m’avoüer coupable, Je ne ſçay comme il eſt demeuré ſur ma table;	Madame, j'ai sujet de m'avouer coupable, Je ne sais comme il est demeuré sur ma table;
Mais on vient de m’apprendre en ce meſme moment Que Dom Lope venant dans mon appartement, Par une liberté, qu’on luy voit ſe permettre, A fureté par tout, & trouvé cette lettre.	Mais on vient de m'apprendre en ce même moment Que Dom Lope venant dans mon appartement, Par une liberté, qu'on lui voit se permettre, A fureté par tout, et trouvé cette lettre.
Comme il la déplioit, Leonor a voulu S’en ſaiſir promptement, avant qu’il eût rien leu;	Comme il la dépliait, Leonor a voulu S'en saisir promptement, avant qu'il eût rien lu;
Et ſe jettant ſur luy, la lettre conteſtée En deux juſtes moition duns feurs mains eſt reſtée;	Et se jetant sur belle, la lettre contestée En deux justes moition duns feurs mains est restée;
Dom Lope auſſi-toſt prenant un prompt effort, 2l derope la neme ana lois de Econole	Dom Lope aussitôt prenant un prompt effort, 2l derope la ne ana lois de Éconole
D.	D.
ELUIRE.	ÉLUIRE.
Avez vous icy l'autre?	Avez -vous ici l'autre?
ELISE.	ÉLISE.
Oüy, la voilà, Madamne.	Oui, la voilà, Madamne.
D.	D.
ELUIRE.	ÉLUIRE.
Dounez, nous allons voir qui merite le blâme.	Dounez, nous allons voir qui mérite le blâme.
Avec voſtre moitié raſſemblez celle-cy, Liſez, & hautement, je veux l’entendre auſſi,	Avec votre moitié rassemblez celle-cy. Lisez, et hautement, je veux l'entendre aussi,
I D.	I D.
EE	CE
D.	D.
GARCIE.	GARCIE.
Au Prince Dom Garcie!	Au Prince Dom Garcie!
ah.	ah.
D.	D.
ELUIRE.	ÉLUIRE.
Achevez delire, voſtre ame pour ce mot ne doit pas s’interdire?	Achevez délire, votre âme pour ce mot ne doit pas s'interdire?
D.	D.
GARCTE lit.	GARCTE lit.
Quoy que voſtre Rival, Prince, alarme voſtre ame, Vous devez toutefois vous craindre plus que luy, Et vous avez en vous à détruire aujourd’huy L’obſtacle le plus grand que trouve voſtre flâme.	Quoi que votre Rival, Prince, alarme votre âme, Vous devez toutefois vous craindre plus que lui, Et vous avez en vous détruire aujourd'hui L'obstacle le plus grand que trouve votre flamme.
Je cheris tendrement ce qu’a fait Dom Gracie, Pour me tirer des mains de nos fiers raviſſeurs, Son amour, ſes devoirs ont pour moi des douceurs, Mais il m’eſt odieux avec ſa jalouſie.	Je chéris tendrement ce qu'a fait Dom Gracie, Pour me tirer des mains de nos fiers ravisseurs, Son amour, ses devoirs ont pour moi des douceurs, Mais il m'est odieux avec sa jalousie.
Oſtez donc à vos feux, ce qu’ils en font paroiſtre, Melitez les legaius que l'oil jette ſur eux;	Ôstez donc à vos feux, ce qu'ils en font paraître, Mélités les légaius que l'oïl te sur eux;
Et lors qu’on vous oblige à vous tenir heureux, ne vous obnines ponſt a ne pas voulen l’eſtre?	Et lors qu'on vous oblige à vous tenir heureux, ne vous obnes ponst à ne pas voulen l'être?
D.	D.
ELUIRE.	ÉLUIRE.
Hé, bien que dites-vous?	Hé, bien Que dites-vous?
D.	D.
GARCIE.	GARCIE.
Ha !	Ha !
Madame, je dis, Qu’à cet objet mes ſens demeurent interdits:	Madame, je dis, Qu'à cet objet mes sens demeurent interdits:
Que je voy dans ma plainte une horrible injuſtice, Et qu’il n’eſt point pour moy d’aſſez cruel ſupplice,	Que je vois dans ma plainte une horrible injustice, Et qu'il n'est point pour moi d'assez cruel supplice,
D.	D.
ELUIRE.	ÉLUIRE.
Il ſuffit, apprenez que ſi j’ay ſouhaité Qu’à vos yeux cet écrit puſt eſtre preſenté;	Il suffit, apprenez que si j'ai souhaité Qu'à vos yeux cet écrit pût été présenté;
C’eſt pour le dementir, & cent fois me dédire De tout ce que pour vous, vous y venez de lire.	C'est pour le démentir, et cent fois me dédire De tout ce que pour vous, vous y venez de lire.
Adieu Prince.	Adieu Prince.
D.	D.
GARCIE.	GARCIE.
Madame, helas!	Madame, hélas!
où fuyez-vous?	où fuyez-vous?
D.	D.
ELUIRE Où vous ne ſerez point trop odieux jaloux.	ÉLUIRE Où vous ne serez point trop odieux jaloux.
D.	D.
GARCIE.	GARCIE.
Ha!	Ha!
Madame, excuſez un Amant miſerable, Qu’un ſort prodigieux a fait vers vous coupable, Et Et qui, bien qu’il vous cauſe un courroux ſi puiſſant, Euſt eſté plus blâmable à reſter innocent.	Madame, excusez un Amant misérable, Qu'un sort prodigieux a fait vers vous coupable, Et Et qui, bien qu'il vous cause un courroux si puissant, Eut été plus blâmable à rester innocent.
Car enfin, peut il eſtre une ame bien atteinteDont l’eſpoir le plus doux ne ſoit meſlé de crainte?	Car enfin, peut il être une âme bien atteinteDont l'espoir le plus doux ne soit mêlé de crainte?
Et pourriez-vous penſer que mon cœur euſt aymé, Si ce billet fatal ne l’euſt point allarmé?	Et pourriez-vous penser que mon cœur eut aimé, Si ce billet fatal ne l'eût point alarmé?
S’il n’avoit point fremy des coups de cette foudre, Dont je me figurois tout mon bon lieur en poudre;	S'il n'avait point frémi des coups de cette foudre, Dont je me figurais tout mon bon lieur en poudre;
Vous meſme, dites-moy, ſi cet évenement N’euſt pas dans mon erreur jetté tout autre Amant?	Vous -même, dites-moi, si cet événement N'eût pas dans mon erreur jeté tout autre Amant?
Si d’une preuve, helas!	Si d'une preuve, hélas!
qui me ſembloit ſi claire, Je pouvois dementir.	qui me semblait si claire, Je pouvais démentir.
D.	D.
ELUIRE.	ÉLUIRE.
Oüy, vous le pouviez faire, Et dans mes ſentimens aſſez bien déclarez Vos doutes rencontroyent des garants aſſurez;	Oui, vous le pouviez faire, Et dans mes sentiments assez bien déclarés Vos doutes rencontraient des garants assurés;
Vous n’aviezrien à craindre, & d’autres ſur ce gage, Auroient du monde entier bravé le témoignage.	Vous n'aviezrien à craindre, et d'autres sur ce gage, Auraient du monde entier bravé le témoignage.
D.	D.
GARCIE.	GARCIE.
Moins on merite un bien qu’on nous fait eſperer, Plus noſtre ame a de peine à pouvoir s’aſſurer;	Moins on mérite un bien qu'on nous fait espérer, Plus notre âme a de peine à pouvoir s'assurer;
Un ſort trop plein de gloire a nos yeux eſt fragile, Et nous laiſſe aux ſoupçons une pente facile.	Un sort trop plein de gloire a nos yeux est fragile, Et nous laisse aux soupçons une pente facile.
Pour moy qui crois ſi peu meriter vos contez, l’ay douté du bonheur de mes temeritez;	Pour moi qui crois si peu mériter vos comptez, l'ai douté du bonheur de mes témérités;
J’ay crû que dans ces lieux rangez ſous ma puiſſance Voſtre ame ſe forçoit à quelque complaiſance;	J'ai cru que dans ces lieux rangés sous ma puissance Votre âme se forçait à quelque complaisance;
Que déguiſant pour moy voſtre ſeverité.	Que déguisant pour moi votre sévérité.
D.	D.
ELUIRE.	ÉLUIRE.
Et je pourrois deſcendre à cette lâcheté, Moy prendre le party d’une honteuſe feinte, Agir par les motifs dune ſervile crainte, Trahir mes ſentimens, & pour eſtre en vos mains, D’un maſque de faveur vous couvrir mes dédains;	Et je pourrais descendre à cette lâcheté, Moi prendre le parti d'une honteuse feinte, Agir par les motifs dune servile crainte, Trahir mes sentiments, et pour chang en vos mains, D'un masque de faveur vous couvrir mes dédains;
La gloire ſur mon cœur auroit ſi peu d’empire?	La gloire sur mon cœur aurait si peu d'empire?
Vous pouvez le penſer, & vous me l’oſez dire?	Vous pouvez le penser, et vous me l'osez dire?
Apprenez que ce cœur ne ſçait point s’abaiſſer, I 2 Qu’il Qu’il n’eſt rien ſous les Cieux qui puiſſe l’y forcer.	Apprenez que ce cœur ne sait point s'abaisser, I 2 Qu'il Qu'il n'est rien sous les Cieux qui puisse l'y forcer.
Et s’il vous a fait voir par une erreur inſigne Les marques de bonté, dont vous n’eſtiez pas digne, Qu’il ſçaura bien montrer malgré voſtre pouvoir, La haine que pour vous il ſe reſout d’avoir;	Et s'il vous a fait voir par une erreur insigne Les marques de bonté, dont vous n'étiez pas digne, Qu'il saura bien montrer malgré votre pouvoir, La haine que pour vous il se résout d'avoir;
bravei vonle luile, d vous jaire connoiſtre Qu’il n’a point eſté lâche, & ne veut jamais l’eſtre.	bravei vonle luile, d vous jaire connaître Qu'il n'a point été lâche, et ne veut jamais l'être.
D.	D.
GARCIE.	GARCIE.
Hé bien je ſuis coupable, & ne m’en défends pas, Mais je demande grace à vos divins appas;	Hé bien je suis coupable, et ne m'en défends pas, Mais je demande grâce à vos divins appas;
Je la demande au nom de la plus vive flâme, Dont jamais deux beaux yeux ayent fait brûler une ame.	Je la demande au nom de la plus vive flamme, Dont jamais deux beaux yeux aient fait brûler une âme.
Que ſi voſtre courroux ne peut eſtre appaiſé, Si mon crime eſt trop grand pour ſe voir excuſé, Si vous ne regardez, ny l’amour qui le cauſe, Ny le vif repentir que mon cœur vous expoſe;	Que si votre courroux ne peut être apaisé, Si mon crime est trop grand pour se voir excusé, Si vous ne regardez, Seigneur l'amour qui le cause, Ni le vif repentir que mon cœur vous expose;
Il faut qu’un coup heureux, en me faiſant mourir, M’arrache à des tourmens que je ne puis ſouffrir.	Il faut qu'un coup heureux, en me faisant mourir, M'arrache à des tourments que je ne puis souffrir.
Non, ne preſumez pas, qu’ayant ſçeu vous déplaire, Je puiſſe vivre une heure avec voſtre colere.	Non, ne présumez pas, qu'ayant su vous déplaire, Je puisse vivre une heure avec votre colère.
Déja de ce moment la barbare longueur, Sous ſes cuiſans remords fait ſuccomber mon cœur;	Déjà de ce moment la barbare longueur, Sous ses cuisants remords fait succomber mon cœur;
Et de mille Vautours les bleſſures cruelles, N’ont rien de comparable à ſes douleurs mortelles;	Et de mille Vautours les blessures cruelles, N'ont rien de comparable à ses douleurs mortelles;
Madame, vous n’avez qu’à me le déclarer, S’il n’eſt point de pardon que je doive eſperer, Cette épée auſſi toſt, par un coup favorable Va percer à vos yeux le cœur d’un miſerable;	Madame, vous n'avez qu'à me le déclarer, S'il n'est point de pardon que je doive espérer, Cette épée aussi tôt, par un coup favorable Va percer à vos yeux le cœur d'un misérable;
Ce cœur, ce traiſtre cœur, dont les perplexitez, Ont ſi fort outragé vos extrêmes bontez;	Ce cœur, ce traître cœur, dont les perplexités, Ont si fort outragé vos extrêmes bontés;
Trop heureux en mourant, ſi ce coup legitime Efface en voſtre eſprit l’image de mon crime;	Trop heureux en mourant, si ce coup légitime Efface en votre esprit l'image de mon crime;
Et ne laiſſe aucuns traits de voſtre averſion Au foible ſouvenir de mon affection;	Et ne laisse aucuns traits de votre aversion Au faible souvenir de mon affection;
C’eſt l’anique faveur que demande ma fame.	C'est l'anique faveur que demande ma famé.
D.	D.
EL	ÉL
D.	D.
ELUIRE.	ÉLUIRE.
Ha!	Ha!
Prince trop cruel.	Prince trop cruel.
D.	D.
GARCIE.	GARCIE.
Dites, parlez, Madame.	Dites, parlez, Madame.
D.	D.
ELUIRE.	ÉLUIRE.
Faut-il encor pour vous conſerver des bontez, Et vous voir m’outrager par tant d’indignitez.	Faut-il encore pour vous conserver des bontés, Et vous voir m'outrager par tant d'indignités.
D.	D.
GARCIE.	GARCIE.
Un cœur ne peut jamais outrager quand il aime, Et ce que fait l’amour il l’excuſe luy-meſme.	Un cœur ne peut jamais outrager quand il aime, Et ce que fait l'amour il l'excuse lui-même.
D.	D.
ELUIRE.	ÉLUIRE.
L’amour n’excuſe point de tels emportemens.	L'amour n'excuse point de tels emportements.
Ae dll de ſur l.	Ae dll de sur l.
Tout ce qu’il a d’ardeur paſſe en ſes mouvemens, El plus il devient fort, pius il trouve de peine.	Tout ce qu'il a d'ardeur passe en ses mouvements, Él plus il devient fort, pius il trouve de peine.
D.	D.
ELUIRE.	ÉLUIRE.
Non, ne m’en parlez point vous meritez ma haine	Non, ne m'en parlez point vous méritez ma haine
GARCIE.	GARCIE.
Vous me haïſſez donc?	Vous me haïssez donc?
D.	D.
ELUIRE.	ÉLUIRE.
veux tâcher au moins;	veux tâcher au moins;
Mais, nelas!	Mais, nélas!
je crains bien que j’y pelde mes ſoins, Et que tout le courroux qu’excite voſtre offence Ne puiſſe juſques là faire aller ma vangeance.	je crains bien que j'y pelde mes soins, Et que tout le courroux qu'excite votre offense Ne puisse jusques là faire aller ma vengeance.
D.	D.
GARCHE.	GARCHE.
D'tm auppalee n'grand ne tentez point l’cifort, Puiſque pour vous vanger je vous offre ma mort;	D'tm auppalee n'grand ne tentez point l'cifort, Puisque pour vous venger je vous offre ma mort;
Prononcez en l’arreſt, & j’obeïs ſur l’heure.	Prononcez -en l'arrêt, et j'obéis sur l'heure.
D.	D.
ELUIRE.	ÉLUIRE.
Qui ne ſçauroit haïr, ne peut vouloir qu’on meure.	Qui ne saurait haïr, ne peut vouloir qu'on meure.
D.	D.
GARCIE.	GARCIE.
Et moy je ne puis vivre, à moins que vos bontez Accordent un pardon a mes temeriten, Reſolvez l’un des deux, de punir, ou d’abſoudre.	Et moi je ne puis vivre, à moins que vos bontés Accordent un pardon a mes témériten, Résolvez l'un des deux, de punir, ou d'absoudre.
D.	D.
E LUIRE.	E LUIRE.
Helas!	Hélas!
j’ay trop fait voir, ce que je puis reſoudre.	j'ai trop fait voir, ce que je puis résoudre.
Tar l’aveu d’un pardon, n’eſt ce pas ſe traliir, 3 Que Qe une au cier qu’on ne le peut hair;	Tar l'aveu d'un pardon, n'est -ce pas se traliir, 3 Que Que une au cier qu'on ne le peut haïr;
D.	D.
GARCIE.	GARCIE.
An.	An.
c’en eſt trop, ſouffrez, adorable Princeſſe.	c'en est trop, souffrez, adorable Princesse.
D.	D.
ELUIRE.	ÉLUIRE.
Laiſlez, je me veux mal d’une telle ſoibleſſe.	Laislez, je me veux mal d'une telle soiblesse.
D.	D.
GARCIE.	GARCIE.
Enfin je ſtis.	Enfin je stis.
