ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Ce moment eſt venu qu’il faut que vôtre bouche Exhale des ſoûpirs ſi long-tems retenus, Et qu’en vous arrachant à cette humeur farouche, Un amas de tranſporis auſſi doux qu’inconnus Auſſi ſenſiblement tout à la fois vous touche, Qu’ils ont dû vous toucher durãt tant de beaux jours Dont cette ame inſenſible a Profané le cours.	Ce moment est venu qu'il faut que votre bouche Exhale des soupirs si longtemps retenus, Et qu'en vous arrachant à cette humeur farouche, Un amas de transporis aussi doux qu'inconnus Aussi sensiblement tout à la fois vous touche, Qu'ils ont dû vous toucher durant tant de beaux jours Dont cette âme insensible a Profané le cours.
* o A OIE5 N’aimer point, c’eſt donc un grand crime!	* ô À OIE5 N'aimer point, c'est donc un grand crime!
E AMOON.	 AMOON.
En ſouffrez vous un rude chatiment?	En souffrez -vous un rude châtiment?
PSICHE'.	PSICHÉE.
C’eſt punir aſſez doucement.	C'est punir assez doucement.
L'AMOUR.	L'AMOUR.
C’eſt lui choiſir ſa peine légitime, Et ſe faire juſtice en ce glorieux jour D’un manquement d’amour, par un excés d’a nour.	C'est lui choisir sa peine légitime, Et se faire justice en ce glorieux jour D'un manquement d'amour, par un excès d'a nour.
PSICHE'.	PSICHÉE.
Que n’ai-je été plûtôt punie!	Que n'ai-je été plutôt punie!
y mets le bonheur de ma vie, Je devrois en rougir, ou le dire plus bas, Mais le ſuplice a trop d’appas:	y mets le bonheur de ma vie, Je devrais en rougir, ou le dire plus bas, Mais le suplice a trop d'appas:
Permettez que tout haut je le die & redie, Je le dirois cent fois & n’en rougirois pas.	Permettez que tout haut je le die et rédie, Je le dirais cent fois et n'en rougirais pas.
Ce n’eſt point moi qui parle, & de vôtre preſence L’empire ſurprenant, laimable violence, Dés que je veux parler, s’empare de ma voix.	Ce n'est point moi qui parle, et de votre présence L'empire surprenant, laimable violence, Dès que je veux parler, s'empare de ma voix.
C’eſt en vain qu’en ſecret ma pudeur s’en offenſe, Que le Sexe & la bienſeance Oſent me faire d’autre loix;	C'est en vain qu'en secret ma pudeur s'en offense, Que le Sexe et la bienséance Osent me faire d'autre lois;
Vos yeux de ma réponſe eux-mêmes tont le choix.	Vos yeux de ma réponse eux-mêmes tont le choix.
Et ma oouche aſſervie à leur toute-puiſfance Ne me conſulte plus ſur ce que je me dois.	Et ma oouche asservie à leur toute-puissance Ne me consulte plus sur ce que je me dois.
L’AMOUR.	L'AMOUR.
croyez, belle Pſiché, croyez ce qu’ils vous diſent.	croyez, belle Psiché, croyez ce qu'ils vous disent.
Ces yeux, qui ne ſont point jaloux, Qu’à l’envi les voſtres m’inſtruiſent De tout ce qui ſe paſſe en vous.	Ces yeux, qui ne sont point jaloux, Qu'à l'envi les vôtres m'instruisent De tout ce qui se passe en vous.
Croyez en ce cœur qui ſoûpire.	Croyez -en ce cœur qui soupire.
Et qui, tant que le vôtre y voudra repartir.	Et qui, tant que le vôtre y voudra répartir.
Vous dira bien plus d’un ſoûpir Que cent regards ne peuvent dire.	Vous dira bien plus d'un soupir Que cent regards ne peuvent dire.
C’eſt le langage le plus doux, C’eſt le plus foit, c’eſt le plus ſeur de tous,	C'est le langage le plus doux, C'est le plus soit, c'est le plus sûr de tous,
SICHE'.	SICHÉE.
L’intelligence en étoit deuë A nos cœurs, pour les rendre également contens:	L'intelligence en était due A nos cœurs, pour les rendre également contens:
J’ai ſoûpiré, vous m’avez entenduë;	J'ai soupiré, vous m'avez entendue;
Vous ſoûpirez, je vous entens.	Vous soupirez, je vous entends.
Mais ne me laiſſez plus en doute Seigneur, & dites-moin par la meme loute Aprés moi le Zephire ici vous a rendu Pour me dire ce que j’écoute.	Mais ne me laissez plus en doute Seigneur, et dites-moin par la même loute Après moi le Zéphire ici vous a rendu Pour me dire ce que j'écoute.
Quand j’y ſuis arrivée, étiez-vous attendu?	Quand j'y suis arrivée, étiez-vous attendu?
Rt quand vous lui parlerez êtes vous entendu?	Rt quand vous lui parlerez êtes vous entendu?
L’AMOUR.	L'AMOUR.
J’ai dans ce doux climal un ſouverain empire, Comme vous l’avez ſur mon cœur:	J'ai dans ce doux climal un souverain empire, Comme vous l'avez sur mon cœur:
L’Amour m’eſt favorable, & c’eſt en ſa faveur Qu’à mes ordres Æole a ſoûmis le Téphire.	L'Amour m'est favorable, et c'est en sa faveur Qu'à mes ordres Æole a soumis le Téphire.
C’eſt l’Amour qui pout voir mes ſeux récompenſez Lui-même a decté cet Oracle, Par qui vos beaux jours menacez D’une foule d’Amans ſe ſont débaraſſez, Et qui m’a délivré de l’éternel obſtacle De tant de ſoûpirs empreſſez, Qui ne méritoient pas de vous être adreſſez.	C'est l'Amour qui pout voir mes seux récompensez Lui-même a décté cet Oracle, Par qui vos beaux jours menacés D'une foule d'Amand se sont débarassez, Et qui m'a délivré de l'éternel obstacle De tant de soupirs empressez, Qui ne méritaient pas de vous être adressez.
Ne me demandez point quelle eſt cette Province, Ni le nom de ſon Prince, Vous le ſçaurez quand il en ſera tems:	Ne me demandez point quelle est cette Province, Ni le nom de son Prince, Vous le saurez quand il en sera temps:
Je veux vous acquerir, mais c’eſt par mes ſervices, Par des ſoins aſſidus, & par des vœux conſtans, Pâr les amoureux ſacrifices  De tout ce que je ſuis.	Je veux vous acquérir, mais c'est par mes services, Par des soins assidus, et par des vœux constants, Pâtr les amoureux sacrifices De tout ce que je suis.
De tout ce que je puis.	De tout ce que je puis.
Sans que l’éclat du rang pour moi vous ſollicite, Sans que de mon pouvoir je me faſſe un mérite;	Sans que l'éclat du rang pour moi vous sollicite, Sans que de mon pouvoir je me fasse un mérite;
Et bien que Souverain dans cet heureux ſéjour, Je ne vous veux, Pſiché, devoir qu’à mon amour.	Et bien que Souverain dans cet heureux séjour, Je ne vous veux, Psiché, devoir qu'à mon amour.
Venez en admirer avec moi les merveilles, Princeſſe, & préparez vos yeux & vos oreilles A ce qu’il a d’enchantemens.	Venez en admirer avec moi les merveilles, Princesse, et préparés vos yeux et vos oreilles À ce qu'il a d'enchantements.
Vous y verrez des Bois & des Prairies Conteſter ſur leurs agrémens Avec l’Or & les Pierreries;	Vous y verrez des Bois et des Prairies Conter sur leurs agrémens Avec l'Or et les Pierreries;
Vous n’entendrez que des concerts charmans.	Vous n'entendrez que des concerts charmants.
De cent Beautez- vous y ſerez ſervie, Qui vous adoreront ſans vous porter envie.	De cent Beautés- vous y serez servie, Qui vous adoreront sans vous porter envie.
Et brigueront à tous momens D’une ame ſoûmiſe & ravie L’honneur de vos commandemens,	Et brigueront à tous moments D'une âme soumise et ravie L'honneur de vos commandements,
SICHE'.	SICHÉE.
Mes volon ez ſuivent les vôtres, Je n’en ſçaurois plus avoir d’autres;	Mes volon ez suivent les vôtres, Je n'en saurais plus avoir d'autres;
Mais vôtre Oracle enfin vient de me ſépareri De deux Sœurs, & du Roi mon Pere;	Mais votre Oracle enfin vient de me sépareri De deux Sœurs, et du Roi mon Père;
Que mon trépas imaginaire Réduit tous trois à me pleurer.	Que mon trépas imaginaire Réduit tous trois à me pleurer.
Pour diſſiper l’erreur dont leur ame accablée De mortels déplaiſirs ſe voit pour moi comblée, Souffrez que mes Sœurs ſoient témoins Et de ma gloire & de vos ſoins.	Pour dissiper l'erreur dont leur âme accablée De mortels déplaisirs se voit pour moi comblée, Souffrez que mes Sœurs soient témoins Et de ma gloire et de vos soins.
Prétez-leur comme à moi les aiſſes du Zéphire, Qui leur puiſſent de vôtre Empire  Ainn qua mol faeliter lacces , Faites-leur voir en quels lieux je reſpire, Faites-leur de ma perte admirer le ſuccés.	Prêtez-leur comme à moi les aisses du Zéphire, Qui leur puissent de votre Empire Ainn qua mol faeliter lacées , Faites-leur voir en quels lieux je respire, Faites-leur de ma perte admirer le succès.
L’AMOUR.	L'AMOUR.
Vous ne me donnez pas, Pſiché, toute vôtre ame, Ce tendre ſouvenir d’un Pere & de deux Sœurs Me vole une part des douceurs Que je veux toutes pour ma flame.	Vous ne me donnez pas, Psiché, toute votre âme, Ce tendre souvenir d'un Père et de deux Sœurs Me vole une part des douceurs Que je veux toutes pour ma flamme.
vous, N’ayez d’yeux que pour moi, qui n'en ai que pour Ne ſongez qu’à m’aimer, ne ſongez qu’a me plaire;	vous, N'ayez d'yeux que pour moi, qui n'en ai que pour Ne songez qu'à m'aimer, ne songez qu'à me plaire;
Et quand de tels ſoucis oſe vous en diſtraire.	Et quand de tels soucis ose vous en distraire.
SICHE'.	SICHÉE.
Des tendreſſes du ſang peut-on être jaloux?	Des tendresses du sang peut-on être jaloux?
L'AMOUR.	L'AMOUR.
Je le ſuis, ma Pſiché, de toute la Nature.	Je le suis, ma Psiché, de toute la Nature.
Les rayons du Soleil vous baiſent trop ſouvent, Vos cheveux ſouffrent trop les careſſes du Vent;	Les rayons du Soleil vous baisent trop souvent, Vos cheveux souffrent trop les caresses du Vent;
Dés qu’il les flate, j’en murmure:	Dès qu'il les flatte, j'en murmure:
L’air même que vous reſpüez.	L'air même que vous respüez.
Avec trop de plaiſir paſſe par vôtre bouche;	Avec trop de plaisir passe par votre bouche;
vôtre habit de trop prés yous touche	votre habit de trop près yous touche
Et ſi-tôt que vous ſoûpirez, Je ne ſçai quoi qui m’effarouche Craint parmi vos ſoûpirs des ſoûpirs égarez.	Et sitôt que vous soupirez, Je ne sais qui qui m'effarouche Craint parmi vos soupirs des soûpirs égarés.
muit rous voulez vos Sœurs allez, partez Zéphire, Pſiché le veut, je ne l’en puis dédire.	muit rous voulez vos Sœurs allez, partez Zéphire, Psiché le veut, je ne l'en puis dédire.
Le Zephire s’envole.	Le Zéphire s'envole.
Quand vous leur ferez voir ce bienheureux ſejour, De ſes treſors faites leur cent largaſſes, Prodiguez leur careſſes ſur careſſes, Et du ſang, s’il ſe peut, épuiſez les tendreſſes.	Quand vous leur ferez voir ce bienheureux séjour, De ses trésors faites leur cent largasses, Prodiguez leur caresses sur caresses, Et du sang, s'il se peut, épuisez les tendresses.
Pour vous rendre toute à l’Amour.	Pour vous rendre toute à l'Amour.
Je n’y mêlerai point d’importune préſence, Mais ne feur faites pas de miengy entretiens;	Je n'y mêlerai point d'importune présence, Mais ne seur faites pas de miengi entretiens;
Vous ne ſçauriez pour eux avoir de complaiſance, Que vous ne dérobiez aux miens.	Vous ne sauriez pour eux avoir de complaisance, Que vous ne dérobiez aux miens.
ICHE.	ICHÉ.
Vôtre amour me fait une grace Dont je n’abuſerai jamais	Votre amour me fait une grâce Dont je n'abuserai jamais
L’AMOUR.	L'AMOUR.
Allons voir cependant ces Jardins, ce Palais, Où vous ne verrez rien que vôtre éclat n’efface.	Allons voir cependant ces Jardins, ce Palais, Où vous ne verrez rien que votre éclat n'efface.
Et vous petits Amours, & vous jeunes Zépirs, Qui pour ames n’avez que de tendres ſoûpirs, Montrez tous à l’envy ce qu’à voir ma Princeſſe Vous avez ſenty d’allegreſſe.	Et vous petits Amours, et vous jeunes Zépirs, Qui pour âmes n'avez que de tendres soupirs, Montrez tous à l'envi ce qu'à voir ma Princesse Vous avez senti d'allégresse.
TROISIESME INTERMEDE.	TROISIÈME INTERMÈDE.
I ſe fait une Entrée de Ballet de quatre Amours & Iquatre Zéphirs, interrompuë deux fois par un Dialoque enante par un Amour Orun Zéphir.	I se fait une Entrée de Ballet de quatre Amours et Iquatre Zéphirs, interrompue deux fois par un Dialoque enante par un Amour Orun Zéphir.
LE ZEPHIR.	LE ZEPHYR.
Imable Jeuneſſe, A Suivez la tendreſſe, Joignez aux beaux jours La douceur des mes Amours.	Imable Jeunesse, À Suivez la tendresse, Joignez aux beaux jours La douceur des mes Amours.
C’eſt pour vous ſurprendre, on vous fait entendre Qu’il faut éviter leurs ſoûpirs.	C'est pour vous surprendre, on vous fait entendre Qu'il faut éviter leurs soupirs.
Et craindle leurs denrs ;	Et craindle leurs denrs ;
Laiſſez-vous apprendre Quels ſont leurs plaiſirs.	Laissez-vous apprendre Quels sont leurs plaisirs.
Ils chantent enſemble.	Ils chantent ensemble.
«Haeun eit oonge d’aimer 3 A ſon tour Et plus on a dequoi charmer, Plus on doit à l’Amour.	«Haeun eit oonge d'aimer 3 À son tour Et plus on a dequoi charmer, Plus on doit à l'Amour.
LE ZEPHIR ſeulUn cœur jeune & tendre Eſt fait pour ſe rendre, Il n’a point à prendre De fâcheux détour.	LE ZEPHYR seulUn cœur jeune et tendre Est fait pour se rendre, Il n'a point à prendre De fâcheux détour.
Les deux enſemble.	Les deux ensemble.
Chacun eſt obligé d’aimer A ſon tour, Et plus on a dequoi charmer, Plus on doſt à lAmour,	Chacun est obligé d'aimer A son tour, Et plus on a déquoi charmer, Plus on d' à lAmour,
L’AMOUR ſeul.	L'AMOUR seul.
Pourquoi ſe défendre!	Pourquoi se défendre!
ue ſert-il d’attendre!	Que sert-il d'attendre!
Quuna em peru an jaur, On le perd ſans retour.	Quuna em perv an jaur, On le perd sans retour.
Les deux enſemble.	Les deux ensemble.
Chacun eſt obligé d’aimer A ſon tour, Et plus on a dequoi charmer, Plus on doit à l'’Amour	Chacun est obligé d'aimer A son tour, Et plus on a déquoi charmer, Plus on doit à l'Amour
ECOND COUPLET.	ECOND COUPLET.
LE ZEPHIR.	LE ZEPHYR.
L’Amour a des charmes, Rendons lui les at mes, Ses ſoins & ſes pleurs Ne ſont pas ſans douceurs.	L'Amour a des charmes, Rendons lui les at mes, Ses soins et ses pleurs Ne sont pas sans douceurs.
Un cœur pour le ſuïvre A cent maux ſe livre Il faut gouter ſes appas Languir janqqu’au trépas.	Un cœur pour le suire À cent maux se livre Il faut goûter ses appas Languir janqqu'au trépas.
Mais ce neit pas vivle Que de n’aimer pas.	Mais ce neit pas vivle Que de n'aimer pas.
110	110
Ils chantent enſemble.	Ils chantent ensemble.
s’il faut des ſoins & des travaux En aimant, On eſt payé de mille maux Par un heureux moment.	s'il faut des soins et des travaux En aimant, On est payé de mille maux Par un heureux moment.
LE ZEPHIR ſeul.	LE ZEPHYR seul.
On craint, on eſpere, Il faut du miſtere, Mais on obtient guere Du bien ſans tourment.	On craint, on espère, Il faut du mystère, Mais on obtient guère Du bien sans tourment.
Les deux enſemble.	Les deux ensemble.
S’il faut des ſoins & des travaux En aimant, On eſt paye de mille faux Par un heureux moment.	S'il faut des soins et des travaux En aimant, On est paie de mille faux Par un heureux moment.
L’AMOUR ſeul.	L'AMOUR seul.
Que peut-on mieux faire, l alimer, d que plalle .	Que peut-on mieux faire, l alimer, d que plalle .
C’eſt un ſoin charmant, Que l’employ d’un Amant.	C'est un soin charmant, Que l'emploi d'un Amant.
Les deux enſemble.	Les deux ensemble.
s li laut des loins a des tlavaua En aimant, On eſt payé de mille maux Par un heureux moment.	s li laut des loins a des tlava En aimant, On est payé de mille maux Par un heureux moment.
Le Theatre devient un autre Palais magnifique, eoupé dans le fond par un Veſtibule, au travers duquel on voit un jardin ſuperbe & charmant, décoré de pluſieurs Vaſes d’Orangers, & d’Aibres chargez de outes ſortes de Fruits.	Le Théâtre devient un autre Palais magnifique, eoupé dans le fond par un Vestibule, au travers duquel on voit un jardin superbe et charmant, décoré de plusieurs Vases d'Orangers, et d'Aibres chargez de outes sortes de Fruits.
ACTE IV SCENE PREMIERE.	ACTE IV SCÈNE PREMIÈRE.
101 AGLAURE, CIDIPPE.	101 AGLAURE, CIDIPE.
AGLAURE.	AGLAURE.
1 E n’en puis plus, ma Sœur, j’ai veu trop de merveilles, L’avenir aura peine à les bien concevoir;	1 E n'en puis plus, ma Sœur, j'ai vu trop de merveilles, L'avenir aura peine à les bien concevoir;
Le Soleil qui voit tout, & qui nous fait tous voir, N’en a veu jamais de pareilles.	Le Soleil qui voit tout, et qui nous fait tous voir, N'en a vu jamais de pareilles.
Elles me chagrinent l’eſprit;	Elles me chagrinent l'esprit;
Et ce brillant Palais, ce pompeux équipage.	Et ce brillant Palais, ce pompeux équipage.
Font un odieux étalage Qui m’accable de honte autant que de dépit.	Font un odieux étalage Qui m'accable de honte autant que de dépit.
Que la Fortune andignement nous traite, Et que ſa largeſſe indiſcrete Prodigue aveuglement, épuiſe, unit d’efforts, Pour faire de tant de tréſors Le partage d’une Cadette:	Que la Fortune andignement nous traite, Et que sa largesse indiscrète Prodigue aveuglement, épuise, unit d'efforts, Pour faire de tant de trésors Le partage d'une Cadette:
IDIPPE.	JDIPE.
J’entre dans tous vos ſentimens J’ai les mêmes chagrins, & dans ces lieux!	J'entre dans tous vos sentiments J'ai les mêmes chagrins, et dans ces lieux!
charmans Tout ce qui vous déplaiſt me bleſſe;	charmands Tout ce qui vous déplaît me blesse;
Tout ce que vous prenez pour un mortel affront, Comme vous M accavle, ee me laiſſe L’amertume dans l’ame, & la rougeur au front.	Tout ce que vous prenez pour un mortel affront, Comme vous M accavle, ce me laisse L'amertume dans l'âme, et la rougeur au front.
A GLAURE.	À GLAURE.
Non, ma Sœur, il n’eſt point de Reines, Qui dans leur propre Etat parlent en Souveraines, Comme Pſiché parle en ces lieux.	Non, ma Sœur, il n'est point de Reines, Qui dans leur propre Etat parlent en Souveraines, Comme Psiché parle en ces lieux.
On l’y voit obeïe avec exactitude, Et de ſes volontez une amoureuſe étude Les cherche juſques dans ſes yeux.	On l'y voit obéie avec exactitude, Et de ses volontés une amoureuse étude Les cherche jusque dans ses yeux.
Mille beautez s’empreſſent autour d’elle, En ſemblent dire à nos regards jaloux, Quels que ſoient nos attraits, elle eſt encor plus belle, Et nous qui la ſervons, le ſommes plus que vous.	Mille beautés s'empressent autour d'elle, En semblent dire à nos regards jaloux, Quels que soient nos attraits, elle est encor plus belle, Et nous qui la servons, le sommes plus que vous.
Elle prononce, on execute, Aucun ne s’en défend, aucun ne s'en rebute:	Elle prononce, on execute, Aucun ne s'en défend, aucun ne s'en rebute:
Flore qui s’attache à ſes pas, Répand à pleines mais autour de ſa perſonne Ce qu’elle à de plus doux appas, Zephire vole aux ordres qu’elle donne, Et ſon Amante & lui s’en laiſſant trop charmer, Quittent pour la ſervir les ſoins de s’entr’aimer.	Flore qui s'attache à ses pas, Répand à pleines mais autour de sa personne Ce qu'elle à de plus doux appas, Zéphire vole aux ordres qu'elle donne, Et son Amante et lui s'en laissant trop charmer, Quittent pour la servir les soins de s'entre aimer.
CIDIPPE.	CIDIPE.
Elle a des Dieux à ſon ſervice, Elle aura bien-tôt des Autels;	Elle a des Dieux à son service, Elle aura bientôt des Autels;
Et nous ne commandons qu’à de chétifs Mortels, De qui l’audace & le caprice, Contre nous a toute heure en ſecret revoltez, Oppoſent à nos volontez Ou le murmure ou l’artifice.	Et nous ne commandons qu'à de chétifs Mortels, De qui l'audace et le caprice, Contre nous a toute heure en secret révoltez, Opposent à nos volontés Ou le murmure ou l'artifice.
AGLAURE.	AGLAURE.
C’étoit peu que dans nôtre Cour Tant de cœurs à l'envy nous l’euſſent preferée;	C'était peu que dans notre Cour Tant de cœurs à l'envi nous l'eussent préférée;
Ce n’étoit pas aſſez que de nuit & de jour D’une foule d’Amans elle y fut adorée:	Ce n'était pas assez que de nuit et de jour D'une foule d'Amand elle y fut adorée:
Quand nous conſolions de la voir au tombeau Par l’ordre impréveu d’un Oracle, Elle a voulu de ſon deſtin nouveau Faire en nôtre preſence éclater le miracle, Et choiſi nos yeux pour témoins De ce qu’au fond du cœur nous ſouhaitions le moins	Quand nous consolions de la voir au tombeau Par l'ordre imprévu d'un Oracle, Elle a voulu de son destin nouveau Faire en notre présence éclater le miracle, Et choisi nos yeux pour témoins De ce qu'au fond du cœur nous souhaitions le moins
IDIPPE.	JDIPE.
Ce qui le plus me deſeſpere, C’eſt cet Amant parfait & ſi digne de plaire, Qui ſe captive ſous ſes loix.	Ce qui le plus me désespère, C'est cet Amant parfait et si digne de plaire, Qui se captive sous ses lois.
Quand nous nous pourrions choiſir entre tous les Monarques, En eſt il un de tant de Rois Qui porte de ſi nobles marques?	Quand nous nous pourrions choisir entre tous les Monarques, En est il un de tant de Rois Qui porte de si nobles marques?
Se voir du bien par delà ſes ſouhaits, N’eſt ſouvent qu’un bonheur qui fait des miſérables;	Se voir du bien par delà ses souhaits, N'est souvent qu'un bonheur qui fait des misérables;
Il n’eſt ny train pompeux ny ſuperbes Palais, Qui n’ouvrent quelque porte à des maux incurables;	Il n'est assez train pompeux Seigneur superbes Palais, Qui n'ouvrent quelque porte à des maux incurables;
Mais avoir un amant d’un mérite achevé, Et s’en voir cherement aimée, C’eſt un bon-heur ſi haut, ſi relevé, Que ſa grandeur ne peut être exprimée.	Mais avoir un amant d'un mérite achevé, Et s'en voir chèrement aimée, C'est un bonheur si haut, si relevé, Que sa grandeur ne peut être exprimée.
AGLAURE.	AGLAURE.
N’en parlõs plus, ma Sœur, nous en mourrions d’enSongeons plûtôt a la vangeance;	N'en parlons plus, ma Sœur, nous en mourrions d'enSongeons plutôt a la vengeance;
[nuy, Et trouvons le moyen de rompre entre elle & luy Cette adorable intelligence.	[nui, Et trouvons le moyen de rompre entre elle et Seigneur Cette adorable intelligence.
La voicy.	La voici.
J’ay des coups tous prêts à lui porter, Qu'elle aura peine d’éviter.	J'ai des coups tous prêts à lui porter, Qu'elle aura peine d'éviter.
SCENE II.	SCÈNE II.
Biene, AGERURE, CIDIPTE.	Biene, AGERURE, CIDIPTE.
PSICHE'.	PSICHÉE.
E viens vous dire adieu, mon Amant vous renvoye Et ne ſçauroit plus endurer Que vous lui retranchiez un moment de la joye Qu’il prend de ſe voir ſeul à me conſiderer.	E viens vous dire adieu, mon Amant vous renvoie Et ne saurait plus endurer Que vous lui retranchiez un moment de la joie Qu'il prend de se voir seul à me considérer.
Dans un ſimple regard, dans la moindre parole, Son amour trouve des douceurs, Qu’en faveur du ſang je lui vole, Quand je les partage à des Sœurs.	Dans un simple regard, dans la moindre parole, Son amour trouve des douceurs, Qu'en faveur du sang je lui vole, Quand je les partage à des Sœurs.
AGLAURE.	AGLAURE.
La jalouſie eſt aſſez fine, Et ces delicats ſentimens Méritent bien qu’on s’imagine Que celui qui pour vous à ces empreſſemens, Paſſe le commun des Amans.	La jalousie est assez fine, Et ces délicats sentiments Méritent bien qu'on s'imagine Que celui qui pour vous à ces empressements, Passe le commun des Amants.
Je vous en parle ainſi faute de le connoître.	Je vous en parle ainsi faute de le connaître.
Vous ignorez ſon nom, & ceux dont il tient l’être, Nos eſprits en ſont alarmez:	Vous ignorez son nom, et ceux dont il tient l'être, Nos esprits en sont alarmés:
Je le tiens un grand Prince, & d’un pouvoir ſupréme Bien au dela du Diadéme, Ses treſors ſous vos pas confuſément ſemez Ont dequoy faire honte à l’abondance même;	Je le tiens un grand Prince, et d'un pouvoir suprême Bien au déla du Diadème, Ses trésors sous vos pas confusément semés Ont dequoy faire honte à l'abondance même;
Vous l’aimez autant qu’il vous aime, Il vous charme, & vous le charmez;	Vous l'aimez autant qu'il vous aime, Il vous charme, et vous le charmez;
Vôtre felicité, ma Sœur, ſeroit extréme, Si vous ſçaviez qui vous aimez.	Votre félicité, ma Sœur, ferait extrême, Si vous saviez qui vous aimez.
PSICHE'.	PSICHÉE.
Que m’importe?	Que m'importe?
j’en ſuis aimée;	j'en suis aimée;
Plus il me voit, plus je lui plais?	Plus il me voit, plus je lui plais?
Il n’eſt point de plaiſirs dont l’ame ſoit charmée;	Il n'est point de plaisirs dont l'âme soit charmée;
Qui ne préviennent mes ſouhaits, Et je voi mal dequoila votre eſt dlaimnec, Quand tout me ſert dans ce Palais.	Qui ne préviennent mes souhaits, Et je vois mal dequoila votre est dlaimènec, Quand tout me sert dans ce Palais.
AGLAURE.	AGLAURE.
Qu’importe qu’icy tout vous ſerve, Si toûjours cet Amaut vous cache ce qu’il eſt;	Qu'importe qu'ici tout vous serve, Si toujours cet Amaut vous cache ce qu'il est;
Nous ne nous alarmons que pour vôtre interrêt.	Nous ne nous alarmons que pour votre interrêt.
En vain tout vous y rit, en vain tout vous y plait, Le veritable amour ne fait point de reſerve, Et qui s’obſtine à ſe cacher, Sent quelque choſe en ſoy qu’on lui peut reprochet.	En vain tout vous y rit, en vain tout vous y plaît, Le véritable amour ne fait point de réserve, Et qui s'obstine à se cacher, Sent quelque chose en soi qu'on lui peut reprochet.
Si cet Amant devient volage, Car ſouvent en amour le change eſt aſſez doux, Et j’oſe le dire entre nous, Pour grand que ſoit l’éclat dont brille ce viſage, Il en peut être ailleurs d’auſſi belles que vous.	Si cet Amant devient volage, Car souvent en amour le change est assez doux, Et j'ose le dire entre nous, Pour grand que soit l'éclat dont brille ce visage, Il en peut être ailleurs d'aussi belles que vous.
Si, dis-je, un autre objet ſous d’autres loix l’engage, Si dans l’état où je vous voi, Seule en ſes mains, & ſans défenſe Il va juſqu’à la violence, oui qui voas vaagela le non Ou de ce changement, ou de cette inſollence?	Si, dis-je, un autre objet sous d'autres lois l'engage, Si dans l'état où je vous voi, Seule en ses mains, et sans défense Il va jusqu'à la violence, oui qui voas vaagela le non Ou de ce changement, ou de cette insollence?
PSICHE.	PSYCHÉ.
Ma Sœur, vous me faites trembler.	Ma Sœur, vous me faites trembler.
Juſte Ciel!	Juste Ciel!
pourrois je être aſſez infortunée.	pourrais -je être assez infortunée.
CIDIPPE.	CIDIPE.
Que ſçait-on ſi déja les nœuds de l’Hymenée.	Que sait-on si déjà les nœuds de l'Hyménée.
ICHE'.	ICHÉE.
N’achevez pas, ce ſeroit m’accabler.	N'achevez pas, ce serait m'accabler.
AGLAURE.	AGLAURE.
Je n’ay plus qu’un mot à vous dire.	Je n'ai plus qu'un mot à vous dire.
Ce Prince qui vous aime, & qui cõmande aux Vents, Qui nous donne pour Char les aiſles de Zéphire, Et de nouveaux plaiſirs vous comble à tous momens Quand il rompt à vos yeux l’ordre de la Nature, Peut-êrre à tant d’amour meſle un peu d’impoſture, Peut-être ce Palais n’eſt qu’un enchantement, Et ces lambris dorez ces amas de richeſſes Dont il achete vos tendreſſes, 1 fa mhomfanle de ſoumm vos careſſes, Diſparoîtront en un moment.	Ce Prince qui vous aime, et qui commande aux Vents, Qui nous donne pour Char les aisles de Zéphire, Et de nouveaux plaisirs vous comble à tous moments Quand il rompt à vos yeux l'ordre de la Nature, Peut-être à tant d'amour mêle un peu d'imposture, Peut-être ce Palais n'est qu'un enchantement, Et ces lambris dorez ces amas de richesses Dont il achète vos tendresses, 1 fa mhomfanle de soumm vos caresses, Disparaîtront en un moment.
Vous tçavez come nous ce que peuvent les charmes.	Vous tavez compe nous ce que peuvent les charmes.
PSICHE'.	PSICHÉE.
Que je ſens à mon tour de cruelles alarmes!	Que je sens à mon tour de cruelles alarmes!
AGLAURE.	AGLAURE.
Nôtre amitié ne veut que vôtre bien.	Notre amitié ne veut que votre bien.
ICHE'.	ICHÉE.
Adieu, mes Sœurs, finiſſons l’entretien, j’aime, & je crains qu’on ne s’impatiente Partez, & demain ſi je puis Vous me verrez, ou plus contente, Ou dans l’accablement des plus mortels ennuis.	Adieu, mes Sœurs, finissons l'entretien, j'aime, et je crains qu'on ne s'impatiente Partez, et demain si je puis Vous me verrez, ou plus contente, Ou dans l'accablement des plus mortels ennuis.
AGLAURE.	AGLAURE.
Nou, allous dic au Nol quene nouvelle glorre, Quel excés de bonheur le Ciel répand ſur vous.	No, allous dic au Nol quène nouvelle glorre, Quel excès de bonheur le Ciel répand sur vous.
CIDIPPE.	CIDIPE.
Nous allons luy conter d’un changement ſi doux La ſurprenante & merveilleuſe hiſtoire.	Nous allons Seigneur conter d'un changement si doux La surprenante et merveilleuse histoire.
SICHE'.	SICHÉE.
Ne l'inquiétez point, ma Sœur:	Ne l'inquiétez point, ma Sœur:
de vos ſoupçons ;	de vos soupçons ;
Et quand vous lui peindrez un ſi charmant Empire.	Et quand vous lui peindrez un si charmant Empire.
AGLAURE.	AGLAURE.
