AVERTISSEMENT.	AVERTISSEMENT.
en verité Madamoiſelle vous avezla une Fille d’un prix infini & je voudrois avoir donné la moitié de mon ſang, & que vous fuſſiez auſsi miſericordieuſe qu’elle, quoy Mademoiſelle, vous demeurez dans le ſilence dans quelle cruelle incertitude tenez vous mon ame ſuſpendue, ſeroit-il poſsible que vous ne vous ſentiſsiez pour moi aucun mouvement de pieté.	en vérité Madamoiselle vous avezla une Fille d'un prix infini et je voudrais avoir donné la moitié de mon sang, et que vous fussiez aussi miséricordieuse qu'elle, quoi Mademoiselle, vous demeurez dans le silence dans quelle cruelle incertitude tenez vous mon âme suspendue, serait-il possible que vous ne vous sentissiez pour moi aucun mouvement de piété.
JUNIE.	JUNIE.
Que vous étes preſſant, &.	Que vous êtes pressant, et.
CIAVDINS Ah Mademoiſelle nous ſommes perdues, j’entens vôtre Tante.	CIAUDINS Ah Mademoiselle nous sommes perdues, j'entends votre Tante.
LE CHEVALIER Cruelle me fuyez vous, me voulez.	LE CHEVALIER Cruelle me fuyez -vous, me voulez.
vous deſeſperer?	vous désespérer?
SCENE HI.	SCÈNE HI.
CIIIIS PITMII, me GIIMI ALIER L’EPINE.	CIIIIS PITMI, me GIIMI ALIER L'ÉPINE.
CHRISTINE errant daus la Chambre.	CHRISTINE errant daus la Chambre.
U’eſt ce-ci, ſuis-je bien éveillée, ſont ce deux hommes que e vois dans la chambre de ma Niece.	OÙ'est ce-cy, suis-je bien éveillée, sont ce deux hommes que e st dans la chambre de ma Nièce.
LE CHEVALIER Ouy Madame, je ſuis un témeraire, qui meriterois de reſſentir les plus ſeveres eſſets de vôtre vengeance, pardonnez aux prémiers cranſports d’un amour violent, je ſuis le ſeul coupable & le ſeul digne d’être puny.	LE CHEVALIER Oui Madame, je suis un témeraire, qui mériterais de ressentir les plus sûres essets de votre vengeance, pardonnez aux prémiers cransports d'un amour violent, je suis le seul coupable et le seul digne d'être puni.
Ma hardieſſe a fait diſparoître le charmant objet que j’adore, & j’en cours moy ſeul toute voſtre indignation, vous comprenez aſſez que ſans ſa permiſſion je me trouve dans ſon apartement, & la fuite en eſt un témoin irreprochable, ſi vous avez jamais aimé Madame, vous pourrez un peu moderer vôtre emportement, & faire paroiſtre au travers de vôtre coierequerque rayou de bienvaillance à l’homme du monde le plus repenturle cente plumſoumts.	Ma hardiesse a fait disparaître le charmant objet que j'adore, et j'en cours moi seul toute votre indignation, vous comprenez assez que sans sa permission je me trouve dans son appartement, et la fuite en est un témoin irréprochable, si vous avez jamais aimé Madame, vous pourrez un peu modérer votre emportement, et faire paraître au travers de votre coierequerque rayou de bienvaillance à l'homme du monde le plus repenturle cente plumsoumaits.
Chriſtine, trouvant le Cavalier fort a	Christine, trouvant le Cavalier fort a
ſon gré.	son gré.
Si je voulois m’abandonner à tout ce que ma colore m’inſpire, je vous ferois ſentir qu’une femme irritée eſt quelque choſe de redoutable, mais quand on rampe & qu’on ſe ſoumet comme vous faites, on ſuſpend ſa vengeance, je m’informerai de ma niece de la verité du fait, cependant retirés vous afin de laiſſur évaporer ma mauvaiſe humeur, & revenez tantôt, afin que je vous confronte avec elle.	Si je voulais m'abandonner à tout ce que ma colore m'inspire, je vous ferais sentir qu'une femme irritée est quelque chose de redoutable, mais quand on rampe et qu'on se soumet comme vous faites, on suspend sa vengeance, je m'informerai de ma nièce de la vérité du fait, cependant retirez vous afin de laissur évaporer ma mauvaise humeur, et revenez tantôt, afin que je vous confronte avec elle.
L’EPINE, tout bas.	L'ÉPINE, tout bas.
Labonne Dame n’eſt pas intraitable	Labonne Dame n'est pas intraitable
LE CHEVALIER Ah Madame vous me comblés de graces, cette ſurprenante generoſité, imprime dans mon cœur tant de reconnoiſſance que vos interéts vont deſormaism’étre plus chers que les miens, vos bontez je l’avoüe me charment & me raviſſent, d’autant plus que je ne les eſperois pas, enfin Madame pour ne pas contrevenir à vos ordres, je me rétire.	LE CHEVALIER Ah Madame vous me comblez de grâces, cette surprenante générosité, imprime dans mon cœur tant de reconnaissance que vos intérêts vont désormaismaise plus le que les miens, vos bontés je l'avoue me charment et me ravissent, d'autant plus que je ne les espérais pas, enfin Madame pour ne pas contrevenir à vos ordres, je me restire.
Chrifime appelle Claudine.	Chrifime appelle Claudine.
SCENE IV.	SCÈNE IV.
CHRISTINE, ſeule.	CHRISTINE, seule.
N verité ce Cavalier eſt bien L heureux de m’avoir d’abord inſpiré des ſentimens favorables pour luy, ſans cela j’aurois pû m’en venger cruellement, mais ces manieres fines, & d’habile cortiſan m’ont deſarmée, & je commence à ſentir pour luy quelque choſe qu’on ne ſent pas pour tout le monde, juſqu’a preſent, j’avois fait aſlez peu de cas des hommes, mais celui-ci merite mon eſtime, il eſt vrai que je ne ſuis plus dans la grande jeuneſſe, & que ſi je me veux rendre juſtice, je ne dois pas me flatter de donner beaucoup d’amour à ce Cavalier, pourtant il me ſemble que j’ay encore aſſez de charme pour Elle ſe regardé dans le miroir.	 verité ce Cavalier est bien L heureux de m'avoir d'abord inspiré des sentiments favorables pour lui, sans cela j'aurais pu m'en venger cruellement, mais ces manières fines, et d'habile cortisan m'ont désarmée, et je commence à sentir pour lui quelque chose qu'on ne sent pas pour tout le monde, jusqu'a présent, j'avais fait aslez peu de cas des hommes, mais celui-cy mérite mon estime, il est vrai que je ne suis plus dans la grande jeunesse, et que si je me veux rendre justice, je ne dois pas me flatter de donner beaucoup d'amour à ce Cavalier, pourtant il me semble que j'ai encore assez de char pour Elle se regardé dans le miroir.
captiver un cœur, * & quand je me regarde j’en ſuis preſque convaincüe, deplus il y a dans ce monde cens petits moyens pour reparer les ravages des années, il y a du blanc d’Eſpagne, il y a du vermillon, il y a des mouches, s’il nous manque des dens nous connoiſſons des ouvriers qui en font de trés-belles d’yvoire, ſi nous puons, nous avons recours aux parfums, & en cas que j’aye ma part de ces petites infirmitez, j’y ſaurai donner ordre, il faut pourtant que j’aye encore quelques beaux reſtes, car j’ay remarqué que ce Cavalier en me parlant laiſſoit tomber de temps en temps quelques regards languiſſans ſur moy qui me ſont des garans ſurs des effets que peuvent encore produire les reſtes de mabeaubeauté, pour parvenir a mes fins.	captiver un cœur, * et quand je me regarde j'en suis presque convaincüe, déplus il y a dans ce monde cens petits moyens pour réparer les ravages des années, il y a du blanc d'Espagne, il y a du vermillon, il y a des mouches, s'il nous manque des dents nous connaissons des ouvriers qui en fit de trés-belles d'yvoire, si nous puons, nous avons recours aux parfums, et en cas que j'aie ma part de ces petites infirmités, j'y saurai donner ordre, il faut pourtant que j'aie encore hauts beaux restes, car j'a remarqué que ce Ie en me parlant laissoit tomber de temps en temps quelques regards languissans sur moi qui me sont des garans surs des effets que peuvent encore produire les restes de mabeaubeauté, pour car a j' ai.
il faut que je le detourne de ſa paſſion pour ma Niece, que je luy repreſente qu’elle a un tendre engagement ailleurs, & j’eſpere par ce moyen venir à bout de mon entrepriſe.	il faut que je le détourne de sa passion pour ma Nièce, que je lui représente qu'elle a un tendre engagement ailleurs, et j'espère par ce moyen venir à bout de mon entreprise.
Car il.	Car il.
SCENE V.	SCÈNE V.
CLAUDINE, CHRISTINE.	CLAUDINE, CHRISTINE.
CLAUDINE, écoutant à la porte, entre.	CLAUDINE, écoutant à la porte, entre.
Adame m’apellez-vous?	Adame m'appelez-vous?
CEhilDiRi.	CÉhilDisRi.
Et par l’ordre de qui je vous prie eſt-ce que les plumets s’introduiſent chez moy?	Et par l'ordre de qui je vous prie est-ce que les plumets s'introduisent chez moi?
CLAUDINE.	CLAUDINE.
Par l’ordre de Madame de eur caprice & de leur fantaſie, étant à la feneſtre tantoſt nous avons vû paſſer cet homme, qui a ſalué Madamoiſelle voſtre Niéce, & l’a regardée trés-attentivement, depuis il l’a vuë dans la boutique de la Marchande, voſtre voiſine, & c’en c’en étoit aſſez à ſon avis pour nous venir rendre viſite, ſi-toſt qu’il eſt entré nous avons pris la fuite.	Par l'ordre de Madame de eur caprice et de leur fantaisie, étant à la fenêtre tantôt nous avons vu passer cet homme, qui a salué Madamaiselle était Nièce, et l'a regardée trésattentivement, depuis il l'a vue dans la boutique de la Marchande, votre voisine, et c'en en était assez à son avis pour nous venir rendre visite, sitôt qu'il est entré nous avons pris la fuite.
CHRISTINE.	CHRISTINE.
Et depuis quand ces oiſeaux-l vous font-ils fuir, ſachez que m’ayant fait beaucoup de ſoûmiſſions, je luy ay pardonné ſon effronterie, & il doit revenir bientoſt pour juſtifier ma Niece, car je la ſoubçonnois de quelqu’intelligence, je ſuis aſſez fine pour il'en apercevoir quand je les verrai enſemble, en cas qu’il y en ait.	Et depuis quand ces oiseaux-l vous font-ils fuir, sachez que m'ayant fait beaucoup de soumission, je lui ai pardonné son effronterie, et il doit revenir bientôt pour justifier ma Nièce, car je la soubçonnois de quelqu'intelligence, je suis assez fine pour il' en apercevoir quand je les verrai ensemble, en cas il y en ait.
CLACUINE, Bas.	CLACUINE, Bas.
Vous étes bien radoucie quel changement d’humeur.	Vous êtes bien radoucie quel changement d'humeur.
CHRISTINE.	CHRISTINE.
Claudine ſui moy dans cette chambre.	Claudine su moi dans cette chambre.
B15	B15
Ae.	Ae.
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
LE CHEVALIER, L'EPINE.	LE CHEVALIER, L'ÉPINE.
LE CHEVALIER Ue te ſemble l’Epine de cette e vielle lanterne qui nous eſtaparuë ſi mal a propos dans la chambre de ma maiſtreſſe.	LE CHEVALIER Ue te semble l'Épine de cette vielle lanterne qui nous estapparue si mal à propos dans la chambre de ma maîtresse.
L’EPINE.	L'ÉPINE.
Je la trouve fort ſinguliere dans ſon eſpece & ſi je ne me trompe, vous luy avez donné dans la viſime, car il me ſemble qu’elle nous a traitez aſſez humainement.	Je la trouve fort singulière dans son espèce et si je ne me trompe, vous lui avez donné dans la visime, car il me semble qu'elle nous a traitez assez humainement.
LE CHEVALIER Oh!	LE CHEVALIER Oh!
morbleu je n’en doute pas, & ce n’eſt pas la premiere vieille que j’ay rendue folle, mais je ne brigue pas ſes faveurs, j’ay deſſein de l’amuſer de quelques œillades que je ſcai mettre en pratique dans l’ocaſion, afin de voir plus facilement ſa Niéce, & pour te dire la verité je crois que cette jeune beauté ne me ſera pas cruelle.	morbleu je n'en doute pas, et ce n'est pas la première vieille que j'ai rendue folle, mais je ne brigue pas ses faveurs, j'ai dessein de l'amuser de quelques œillades que je sais mettre en pratique dans l'ocasion, afin de voir plus facilement sa Nièce, et pour te dire la vérité je crois que cette jeune beauté ne me sera pas cruelle.
L’E	L'E
L’EFINE Pour moi je la conſidere deja comme un bien qui vous apartient.	L'EFINE Pour moi je la considère déjà comme un bien qui vous appartient.
LE CHEVALIER Tu as raiſon, ſui-moy alons y de pâs.	LE CHEVALIER Tu as raison, zvi-moi alons y de pays.
SCENE II.	SCÈNE II.
JUNIE, CLAUDINE.	JUNIE, CLAUDINE.
CLAUDINE AH Mademoiſelle, que vous alum iez rire, votré Tante eſt amoureuſe a la folie de nôtre nouvel amant.	CLAUDINE AH Mademoiselle, que vous alum lez rire, votré Tante est amoureuse à la folie de notre nouvel amant.
JUNIE.	JUNIE.
Je n’ay pas de peine à le croire, mais comment le ſais-tu?	Je n'ai pas de peine à le croire, mais comment le sais-tu?
CLAUDINE.	CLAUDINE.
J’écoutois à la porte quand elle m’a appellée, & elle a regalé mes oreilles des plus beaux raiſonnemens du monde, enfin elle en à tant dit que je ſuis convaincuë qu' elle en eſt amoureuſe, & nous devons bien rendre graces à l’amour, car ſans luy il y auroit eu bien d’autre bruit au logis, enfin l’affaire s' eſt paſſée bien doucement, le Cavalier luy a fait de grandes ſoumiſſions, elles les a bien recuës, il s’eſt donné tout le tort, & il doit revenir bien toſt, j’entens monter quelqu’un, ah c’eſt Monſieur le ChevaAIer.	J'écoutais à la porte quand elle m'a appelée, et elle a régalé mes oreilles des plus beaux raisonnements du monde, enfin elle en à tant dit que je suis convaincuë qu' elle en est amoureuse, et nous devons bien rendre grâces à l'amour, car sans lui il y aurait eu bien d'autre bruit au logis, enfin l'affaire s' est passée bien doucement, le Cavalier Seigneur a fait de grandes soumissions, elles les a bien reçues, il s'est donné tout le tort, et il doit revenir bien tôt, j'entens age quelqu’un, à c'est Monsieur le ChevaAIer.
SCENE III.	SCÈNE III.
LE Chh IMIEIT, jENIE, L’EPINE, CLAUDINE.	LE Chh IMIEIT, jENIE, L'ÉPINE, CLAUDINE.
LE CHEVALIER Ademoiſelle quoy que je ne redoute plus rien de la part de Madame vôtre Tante, je ne laiſſe pas d’entrer ici en tremblant, dans l’incertutide où je ſuis encore de l’état de mes affaires auprés de vous.	LE CHEVALIER Ademoiselle quoi que je ne redoute plus rien de la part de Madame votre Tante, je ne laisse pas d'entrer ici en tremblant, dans l'incertutide où je suis encore de l'état de mes affaires auprès de vous.
CLAUDINE.	CLAUDINE.
Entrez Mr.	Entrez Mr.
le Chevalier vos affaires ne vont pas mal ſur ma parole.	le Chevalier vos affaires ne vont pas mal sur ma parole.
JVNIE.	JUNIE.
Tu-es bien promte à parler pour moy, (au Chevalier) j’avoûe Monſieur que j’aurois peut-être aſſez de foibleſſe pour vous écouter, ſi mon cœur n’étoit point engagé ailleurs, & ſi.	Tu-es bien promte à parler pour moi, (au Chevalier) j'avoue Monsieur que j'aurais peut-être assez de faiblesse pour vous écouter, si mon cœur n'était point engagé ailleurs, et si.
Vous.	Vous.
CLAUDINE Vous me faites enrager quand vous parlez d’engagement, pourriez-vous affirmer ici ſans trahir vos ſentimens que vous aimez don Alvaros, ai!	CLAUDINE Vous me faites enrager quand vous parlez d'engagement, pourriez-vous affirmer ici sans trahir vos sentiments que vous aimez don Alvaros, ai!
que ne ilis-je acnoix comme vous de ces deux amans, je.	que ne ilis-je acnoix comme vous de ces deux amants, je.
L’Epine a ſon Maître.	L'Épine à son Maître.
Je croy Monſieur que vous avez paié cette fille pour ſi bien plaider vôtre cauſe.	Je crois Monsieur que vous avez payé cette fille pour si bien plaider votre cause.
CLAUDINE On dira ce qu'on voudra je ne puis m’empeſcher de prendre le parti des gens de merite & je ſai que ma Maîtreſſe en elle-même eſt de mon ſentiment, a quoy bon tant fineſſer mais on ne ſeroit pas fille ſi on ne diſſimuloit.	CLAUDINE On dira ce qu'on voudra je ne puis m'empêcher de prendre le parti des gens de mérite et je sais que ma Maîtresse en elle-même est de mon sentiment, a quoi bon tant finesser mais on ne serait pas fille si on ne dissimulait.
Le Chevalier, à Junie.	Le Chevalier, à Junie.
Serois-je aſſez forruné Mademoiſelle pour eſtre ausſi bien dans vôtre eſprit qu’on me le veut perſuader, ſi cela étoit je conterois ce jour pour le plus heureux de ma vie &.	Serais-je assez forruné Mademoiselle pour être aussi bien dans votre esprit qu'on me le veut persuader, si cela était je conterais ce jour pour le plus heureux de ma vie et.
SCE	SCE
SCENE IV.	SCÈNE IV.
CARISTINE, JUNIE, CLAU.	CARISTINE, JUNIE, CLAU.
DINE, LE CHEVALIER,	DYNE, LE CHEVALIER,
LE CHEVALIER.	LE CHEVALIER.
Ah!	Ah!
Mademoiſelle je n’ay garde de faire une pareille faute, je tachois ſeulement de calmer l’extreme couPouin ounanoimile Ha hardleſſe, & ſi vous ne m’acordez vôtre genereu.	Mademoiselle je n'ai garde de faire une pareille faute, je tachais seulement de calmer l'extrême couPin ounanoimile Ha hardlesse, et si vous ne m'acordez votre généreu.
ſe entremiſe, je cours risque de n’être pas ſi-tôt de ſes amis.	se entremise, je cours risque de n'être pas sitôt de ses amis.
CHRISTINE.	CHRISTINE.
Que cela ne vous inquiete pas, dormez en repos la deſſus, il vous ſuffit d’avoir déja éprouvé ma clemence;	Que cela ne vous inquiète pas, dormez en repos la dessus, il vous suffit d'avoir déjà éprouvé ma clémence;
je vous dirai ſeulement en paſſant, que ma Niece ne depend plus d’elle, & qu’un autre en eſt le maiſtre;	je vous dirai seulement en passant, que ma Nièce ne dépend plus d'elle, et qu'un autre en est le maître;
ainſi je vous conſeille de n’y plus penſer, il eſt d’autres beautez dans ce lieu qui meautant qu’elle vos aſſiduitez, & ſi vous avez tant ſoit peut le bon gouiej rous ne balancerez pàs ſur le choix.	ainsi je vous conseille de n'y plus penser, il est d'autres beautés dans ce lieu qui meautant qu'elle vos assiduité, et si vous avez tant soit peut le bon gouiej rous ne balancerez pays sur le choix.
LE CHEVALIER.	LE CHEVALIER.
Vos raiſons Mademoiſelle, ſont trop bonnes pour ne les pas écouter, mais permettez moy de reflechir un peu deſſus avant que de m’y rendre.	Vos raisons Mademoiselle, sont trop bonnes pour ne les pas écouter, mais permettez moi de réfléchir un peu dessus avant que de m'y rendre.
CHRISTINE.	CHRISTINE.
Il me ſemble que les reflexions ne ſont pas ici fort de ſaiſon, & ſi vous étiez tant ſoit peu clairvoiant, vous liriez dans mes yeux, ce que ma bouche n’oze pas exprimer.	Il me semble que les réflexions ne sont pas ici fort de saison, et si vous étiez tant soit peu clairvoyant, vous liriez dans mes yeux, ce que ma bouche n'oze pas exprimer.
LE CHEVALIER, bas.	LE CHEVALIER, bas.
Eſt-elle folle, haut, je vous avouë Mademoiſ, que j’ay aujourd’huy l’eſprit un peu bouché, bien que ce ne ſoit pas mon ordinaire, & ſi vous ne me parlez en termes plus intelligibles, tout ce que vous me dites, ſera une enigme inexplicable pour moy.	Est-elle folle, haut, je vous avoue Mademois, que j'ai aujourd'hui l'esprit un peu bouché, bien que ce ne soit pas mon ordinaire, et si vous ne me parlez en termes plus intelligibles, tout ce que vous me dites, sera une énigme inexplicable pour moi.
CHRISTINE.	CHRISTINE.
Ah je ne penſois pas que ma niéce étoit preſente, je vous entretiendrai endrai plus amplement de cette affaire une autrefois, les jeunes filles comme elle, ne doivent pome ceroihlommieeo de ces ſortes de choſes.	Ah je ne pensais pas que ma nièce était présente, je vous entretiendrai endrai plus amplement de cette affaire une autrefois, les jeunes filles comme elle, ne doivent pome ceroihlommièneo de ces sortes de choses.
CLAUDINE a Chriſtine.	CLAUDINE a Christine.
Il y a une Dame Mademoiſelle dans cette antichambre qui vous atattend impatiemment, ſi vous aviez la bonté de l’aller trouver.	Il y a une Dame Mademoiselle dans cette antichambre qui vous atattend impatiemment, si vous aviez la bonté de l'aller trouver.
Chriſtine ſort.	Christine sort.
L’EPINE, a ſon Maiſtre.	L'ÉPINE, à son Maître.
En effet Monſieur je croy que vous avez raiſon, vous avez ſans doute detraqué l’eſprit de cette bonne Demoiſelle.	En effet Monsieur je crois que vous avez raison, vous avez sans doute détraqué l'esprit de cette bonne Demoiselle.
JUNIE.	JUNIE.
in clecomanique jonyeomprens rien, & ceci me ſurprend extrémement, je n’ay jamais vû ma tante dans de pareils égaremens.	in clécomanique jonieomprends rien, et ceci me surprend extrêmement, je n'ai jamais vu ma tante dans de pareils égarements.
CLAUDINE Ne vous avois-je pas bien dit qu’elle étoit déja coiffée de Mr.	CLAUDINE Ne vous avais-je pas bien dit qu'elle était déjà coiffée de Mr.
au Chevalier, & quel terrible homme étes-vous de troubler ainſi la raiſon, d’une pauvre femme qui vous reçoit ſi civilement chez elle	au Chevalier, et quel terrible homme êtes-vous de troubler ainsi la raison, d'une pauvre femme qui vous reçoit si civilement chez elle
LE CHEVALIER.	LE CHEVALIER.
Ecoute Claudine cette conqueſte ne flatte pas mon ambition, celle de ta charmante Maitreſſe eit la à Junie.	Écoute Claudine cette conquête ne flatte pas mon ambition, celle de ta charmante Maitresse eit la à Junie.
ſeule où j’aſpire, quoy mon adorable, eſt-il poſſible que vous ne puiſſiez aimer un homme qui ne croit pas qu’il y ait au mondé un plus grand bien que celuy d’eſtre dans tos bomnes gracen yee qui vous prefere a toutes les beautez de la terre.	seule où j'aspire, quoi mon adorable, est-il possible que vous ne puissiez aimer un homme qui ne croit pas qu'il y ait au mondé un plus grand bien que celui d'être dans tos bomnes grâces grâces qui vous préfère a toutes les beautés de la terre.
JUNIE.	JUNIE.
En verité Monſieur ce ſeroit en vain que je voudrois m’en defendre davantage, vous violentez les gens d’une maniere, qu’on eſt obligé de ſe rendre & de demander quartier.	En vérité Monsieur ce serait en vain que je voudrais m'en défendre davantage, vous violentez les gens d'une manière, qu'on est obligé de se rendre et de demander quartier.
LE CHEVALIER.	LE CHEVALIER.
Je ne ſçai Mademoiſelle ſi j’ay uien entendu, je doute tant de mon bon-heur, que je ne me fie pas a mes oreilles, repetez je vous prie ces charmantes paroles.	Je ne sais Mademoiselle si j'ai yen entendu, je doute tant de mon bonheur, que je ne me fie pas à mes oreilles, répétez je vous prie ces charmantes paroles.
CLAUDINE De grace Mr.	CLAUDINE De grâce Mr.
n’obligez point ma Maîtreſſe a cette repetition, vous	n'obligez point ma Maîtresse a cette répétition, vous
vous ferriez trop patir ſa pudeur, il ſuffit je vous répons d’elles.	vous feriez trop pâtir sa pudeur, il suffit je vous réponds d'elles.
Junie s’en va.	Junie s'en va.
Voyez vous elle a diſparu, ſon peu d’experience dans les choſes luy donue tant de crainte, qu’elle ne peut ſoûtenir vôtre preſence, aprés ce quelle vous a dit, je m’en vais aprés elle, & ſoyez perſuadé que tout va bien pour vous.	Voyez -vous elle a disparu, son peu d'expérience dans les choses homme dont tant de crainte, qu'elle ne peut soutenir votre présence, après ce quelle vous a dit, je m'en vais après elle, et soyez persuadé que tout va bien pour vous.
elle part.	elle part.
SCENE V.	SCÈNE V.
LE CHEVALIER, L'EPINE.	LE CHEVALIER, L'ÉPINE.
LE CHEVALIER.	LE CHEVALIER.
Enfin c'en eſt fait, je ſuis aſſeuré du cœur de ma Maîtreſſe, rien ne m’en peut faire douter.	Enfin c'en est fait, je suis assuré du cœur de ma Maîtresse, rien ne m'en peut faire douter.
L’EPINE.	L'ÉPINE.
Ie le veux croire Mr.	Je le veux croire Mr.
mais ſavez vous bien quelle ſorte d’animal c’eſt qu’une femme, ſavez vous que rien n’eſt plus caché & plus impenetrable, & par conſequent rien de plus disſimulé.	mais savez -vous bien quelle sorte d'animal c'est qu'une femme, savez -vous que rien n'est plus caché et plus impénétrable, et par conséquent rien de plus dissimulé.
LE CHEVALIER.	LE CHEVALIER.
Et depuis quand eſtu Philoſophe phe, où as tu apris de ſi belles choſes, va va, je ſai ce que je ſai, & je ſuis aſſeuré qu’elle m’aime, conte la denue, mais il faut que je faſſe un tour en Ville.	Et depuis quand est Philosophe phe, où as tu appris de si belles choses, va va, je sais ce que je sais, et je suis assuré qu'elle m'aime, conte la denue, mais il faut que je fasse un tour en Ville.
Ils ſortent.	Ils sortent.
SCENE VI.	SCÈNE VI.
CHRISTINE, ſeule.	CHRISTINE, seule.
Ls ſont tous ſortis, où ſeroit allé le Chevalier, qu’eſt devenuë ma niéce, aſſeurement il eſt amoureux d’elle, & elle de luy, j’en ſuis trop convaincûe il n’a pas presque daigné me regarder, l’ingrat n’a que trop entendu ce que je voulois dire, mais comme il ne ſent rien pour moy, il a feint grosſierement de n’y rien comprendre, ne perdons point courage pourtant pour cela, il n’a pas encore eu le temps de me bien conſiderer il ne fait pas ce que je vaux, il faut que menage un tête a tête avec luy, & que je prenne bien mes meſures pour n’être interrompue de perſonne ſonne, cependant je tremble de peur qu’il ne demeure inſenſible, & s’il ne m’aime pas, j’en mourai de douleur, ne ſuis-je pâs bien malheureuſe de me mettre en tête ce jeune éventé, qui ſans doute, me tournera eucore en ridicule, & voila toute la recompenſe que je dois entendre de ma tendreſſe, cette cruelle penſée me deſeſpere, ſortons un peu pour dismper s'n en posnble ce chagrin cuiſant.	Lus sont tous sortis, où serait allé le Chevalier, qu'est devenue ma nièce, assurément il est amoureux d'elle, et elle de lui, j'en suis trop convainue il n'a pas presque daigné me regarder, l'ingrat a que trop entendu ce que je voulais dire, mais comme il ne sent rien pour moi, il a feint grossièrement de n'y rien comprendre, ne perdons point courage pourtant pour cela, il n'a pas encore eu le temps de me bien considérer il ne fait pas ce que je vaux, il faut que menage un tête a tête à lui, et que te ave bien mes mesures lu être interrompue de personne sonne, et que je de pr il ne demeure insensible, et bil ne aime pas, en m de douleur, ne su-je pâs bien malheureuse de me mettre en tête ce jeune éventé, qui sans pou, me tournera n' en ridicule, et voila toute la re que je dois inter de ma tendresse, cette cruelle penséeom desespere, sortons un peu pour de s' en on ce ma cuisant'
Elle ſort.	Elle sort.
SCENE VII.	SCÈNE VII.
JUNIE, CLAUDINE.	JUNIE, CLAUDINE.
JUNIE.	JUNIE.
Nfin ma chere Claudine, j'ais me le Chevalier, je ne m’en puis deffendre, tu diras tout ce que tu voudras, je viens de luy écrive un petit billet, qui le convaincra abſolument de ma pasſion.	Nfin ma chère Claudine, j'ai me le Chevalier, je ne m'en puis défendre, tu diras tout ce que tu voudras, je viens de lui écrive un petit billet, qui le convaincra absolument de ma passion.
CLAUDINE.	CLAUDINE.
C’eſt que vous étes plus hardie ſur le papier qu’en converſation.	C'est que vous êtes plus hardie sur le papier qu'en conversation.
Mais cela viendra avec le temps, au reſte je ne ſaurois vous blamer de de l’amour que vous faites paroître a Chevalier, c’eſt ſelon moy un himme qui merite fort d’être diſtinguë.	Mais cela viendra avec le temps, au reste je ne saurais vous blâmer de de l'amour que vous faites paraître à Chevalier, c'est selon moi un hymme qui mérite fort d'être distingue.
Le Chevalier entre parlant à ſon valet.	Le Chevalier entre parlant à son valet.
Qui t'adonné ce billet, (voyant Junie) ah Mademoiſelle, je ne vous croyois pas ſi proche de moy, je fuis dans l’impatience d’ouvrir ce que monvancevrene de me donner, pardonnez à mon empreſſement.	Qui t'adonné ce billet, (voyant Junie) ah Mademoiselle, je ne vous croyais pas si proche de moi, je fuis dans l'impatience d'ouvrir ce que monvancevrene de me donner, pardonnez à mon empressement.
Il lit.	Il lit.
Quand des gens faits comme vous saviſent d’en conter il faut être une vertale pour faire la ſoude oreille, cera ngnine en pon Prauçois que je ne vous ay que trop écouté, & que vous étes Maître de Cœur de Junie.	Quand des gens faits comme vous savisent d'en conter il faut être une vertale pour faire la soude oreille, cera nuine en pon Prauçois que je ne vous ai que trop écouté, et que vous êtes Maître de Cœur de Junie.
Ah!	Ah!
qu’ay je fait Mademoiſelle quelle indiſcretion, d’avoir lu haut ce.	qu'ai je fait Mademoiselle quelle indiscrétion, d'avoir lu haut ce.
CLAVDINE.	CLAUDINE.
On vous pardonne, vous étes aſſés des amis de la maiſon pour cela ll encoure a ma Maîtreſſe quelque conconfuſion, maís qu’y faire c’eſt un mal que le hazard a produit, & dont perſonne ne mourra.	On vous pardonne, vous êtes assez des amis de la maison pour cela l encoure à ma Maîtresse quelque conconfusion, maís qu'y faire c'est un mal que le hasard a produit, et dont personne ne mourra.
CHEVALIER.	CHEVALIER.
Vous me raviſſez & me comblez de joye en m’a ſeurant que mon etourderie n’aura point de facheu.	Vous me ravissez et me comblez de joie en m'a sûrant que mon étourderie n'aura point de fachevu.
ſe ſuite, (il embraſſe ler genoux de Junie) & vous ma charmante Maiſtreſſe, aurez vous aſſez de bonté pour moy pour excuſer ma ſottiſe, je me flatte d’obtenir mon pardon, puis que l’innocence y paroit ſi évidemment, l’exces de la joye ou je ſuis ne me permet pas de faire la deſſus une plus grande reflexion, employon mieux ces momens que l’amour nous acorde & jurons nous une fidelité éternelle ouy Mademoiſelle, je ſuis ſi charmé de toutes vos bontez qu’il n’y a que la mort ſeule capable d’en effacer le ſouvenir dans un cœur ausſi reconnoiſſant que le mien.	se suite, (il embrasse ler genoux de Junie) et vous ma charmante Maîtresse, aurez vous assez de bonté pour moi pour excuser ma sottise, je me flatte d'obtenir mon pardon, puis que l'innocence y parait si évidemment, l'excès de la joie ou je suis ne me permet pas de faire la dessus une plus grande réflexion, employon mieux ces moments que l'amour nous acde et jurons nous une fidélité éternelle ouï Mademoiselle, je suis si charmé de toutes vos bontés qu'il n'y a que la mort seule capable d'en effacer le souvenir dans un cœur aussi reconnaissant que le m.
JUNIE.	JUNIE.
