Auec priuilege du Roy.	Avec privilège du Roi.
Et moy me retirant l’ay laißé dans la ruë;	Et moi me retirant l'ai laisse dans la rue;
Mais ne m'enquerez, plus, ſon maiſtre que voicy, Vous dira le ſujet qui l’amenoit icy.	Mais ne m'enquérez, plus, son maître que voici, Vous dira le sujet qui l'amenait ici.
DCEEVE II.	DCEUE II.
HORACE.	HORACE.
HIPPOCRASSE.	HIPOCRASSE.
Le Valet?	Le Valet?
HORACE.	HORACE.
Vy dea, Religieuſe, vne ſi ſainte enuie, Si ie te cognois bien ne te vint de ta vie;	Vi dea, Religieuse, une si sainte envie, Si tu te connais bien ne te vint de ta vie;
Et la deuotion qu'on apprend au mirqüer, Eſt moins des enfermer, que de ſe faire voir.	Et la dévotion qu'on apprend au mirquer, Est moins des enfer, que de se faire voir.
Hortenſe tarde trop;	Hortense tarde trop;
ceſte longueur me laſſe, Rendons nous ſur les lieux, & voyons Hippocraſſe.	cette longueur me lasse, Rendons nous sur les lieux, et voyons Hipocrasse.
.	.
4 Pour terminer l’affaire, ou la rompre en deux mots:	4 Pour terminer l'affaire, ou la rompre en deux mots:
Car cette diligence importe à mon repos.	Car cette diligence importe à mon repos.
Dieu!	Dieu!
Comme ie vous trouue au poinct que ie deſire, Ie vous allois chercher;	Comme ici vous trouve au point que je désire, Je vous allais chercher;
HIPPOCRASSE.	HIPOCRASSE.
Que me voulez-vous dire?	Que me voulez-vous dire?
HORACE.	HORACE.
Vn' mot qui vous importe, & qui vous ſera douxi Mais quand nouts ſerons ſeuls.	Vn' mot qui vous importe, et qui vous sera douxi Mais quand nouts serons seuls.
.	.
HIPPOCRASSE au Valet.	HIPOCRASSE au Valet.
R’entre donc, laiſſe nous, Eeme faits au retour treuuer ma chambre faite, Tout le meuble dreſſé, toute la maiſon nette, Les eſcaliers frottez, les grenters balayez, Decrvitt vien ma nouſſe;	R'entre donc, laisse nous, Eeme faits au retour treuver ma chambre faite, Tout le meuble dressé, toute la maison nette, Les escaliers frottez, les grenters balayez, Décritt viens ma nousse;
étrille bien la mule, Mets le diſner au feu, garde que rien ne bruſle, Prepare la farine, & mets le pain au four, Puis desjeune, & que tout ſoit preſt à mon retour:	étrille bien la mule, Mets le dîner au feu, garde que rien ne brûle, Prépare la farine, et mets le pain au four, Puis déjeune, et que tout soit prêt à mon retour:
Va, l’exercice eſt ſain, il n’eſt choſe meilleure.	Va, l'exercice est sain, il n'est chose meilleure.
Le Valet.	Le Valet.
Et quand reuiendrez-vous?	Et quand reviendrez-vous?
D iij.	 Dij.
HIPPOCRASSE.	HIPOCRASSE.
irentit duns on quart d’heure.	irentit duns on quart d'heure.
LE VALET.	LE VALET.
Et dans ſi peu de temps puis-je en venir à bout?	Et dans si peu de temps puis-je en venir à bout?
HIPPOCRASSE.	HIPOCRASSE.
Ouy, tout homme de cœur eſt capable de tout, Tel que fut vn Ceſar qui pouuoit tout ſans peine;	Oui, tout homme de cœur est capable de tout, Tel que fut un César qui pouvait tout sans peine;
Sçais tu ce que l on dit de ce grand Capitaine, Qui fiſt mordre la terre à tant de legions, Qui miſt te joug Romam funiant de regions;	Sais tu ce que l on dit de ce grand Capitaine, Qui fît mordre la terre à tant de légions, Qui mit te joug Romam funiant de régions;
Et qui porta ſa gloire à ſon degré ſupréme;	Et qui porta sa gloire à son degré suprême;
Ie ſuis venu, i’ay veu, i’ay vaincu, fay de meſme.	Je suis venu, j'ai vu, j'ai vaincu, fais de même.
LE VALET.	LE VALET.
He bien laiſſez moyfaire, allez, Ceſar, ou rien, Mais pluſtost le dernier.	He bientôt le moyfaire, allez, César, ou rien, Mais plutôt le dernier.
HORACE.	HORACE.
L’agreable entretient	L'agréable entretient
HIPPOCRASSE.	HIPOCRASSE.
Fay ton poßible enfin;	Fais ton passible enfin;
LE VALET.	LE VALET.
Ceſar ourien vous dis je.	César our vous dis je.
HORACE.	HORACE.
Hot Seigneur Hippocraſſe, & quel eſt ce prodige?	Hot Seigneur Hypocrasse, et quel est ce prodige?
Quoys iuſqu a vos valets ſont des demy-docteurs?	Quois jusqu' à vos valets sont des demi-docteurs?
HI PPOCRASSE.	HI PPOCRASSE.
Le ſçauoir reflechit du maiſtre aux ſeruiteurs;	Le sçauoir reflechit du maître aux serviteurs;
Et de meſme en aduient à qui fait habitude, Et frequente pratique auec des gens d'eſtude;	Et de même en advient à qui fait habitude, Et fréquente pratique avec des gens d'étude;
Ma reputation n'est pas ſans fondement, Ie conuerſe & i’inſtruits ſi fructueuſement, Auecques tant d’eſprit, de douceur & de grace, Qu'vn ignorant, vn afne, vn ſot.	Ma réputation n'est pas sans fondement, Je converse et j'instruits si fructueusement, Avec tant d'esprit, de douceur et de grâce, Qu' ignorant, une âne, un sots.
Seigneur Horace;	Seigneur Horace;
Me voyant quinze iours ſçauroit tout le latin, Et deuiendroit grand homme & fameux Medecin;	Me voyant quinze jours saurait tout le latin, Et deviendrait grand homme et fameux Médecin;
HORACE.	HORACE.
Oi ſu toutnons taſpaue, & puriensat Clarice, Ne deſirez vous pas que l’hymens accompliſſe?	Oi su toutnons taspave, et puriensat Clarice, Ne désirez -vous pas que l'hymens accomplisse?
Voulez vous touſiours tiede & touſiours incertain, Me remettre (ſans fin) du iour au lendemain?	Voulez -vous toujours tiède et toujours incertain, Me remettre (sants fin) du jour au lendemain?
HIPPOCRASSE.	HIPOCRASSE.
I'ay leu dans Ariſtote au troiſieſme de l’Ame Que c’eſt vn grand diſcours que le choix d’vne femme;	J'ai lu dans Aristote au troisième de l'Âme Que c'est un grand discours que le choix d'une femme;
Qu'il faut en cét endroit peſer bien nos tranſports, Et que l’homme eſtant l’ame & la femme le corps, Et l’vnion des deux deuant estre eternelle, On doit bien auoir peur de ſe degouster d’elle;	Qu'il faut en cet endroit peser bien nos transports, Et que l'homme étant l'âme et la femme le corps, Et l'épion des deux devant être éternelle, On doit bien avoir peur de se dégoûter d'elle;
Ie ſçay que ie craindrois ce qui n’aduiendra pas, Et qu’en effect, Clarice a de trop doux appas;	Je sais que demain craindrais ce qui n'adviendra pas, Et qu'en effet, Clarice a de trop doux appas;
Puis n’ayant jamais eu de dégoust pour le pere, La fille aſſeurement ne me ſçauroit deplaire;	Puis n'ayant jamais eu de dégoût pour le père, La fille assurément ne me saurait déplaire;
On dit vulgairement que telpere, tel fils, (Hun gourvmnaſculin ſous qui l’autre eſt compris.	On dit vulgairement que telpère, tel fils, (Hun gourvincasculin sous qui l'autre est compris.
Mais ce que i'en ay dit eſt pourfaire paroiſtre, Que ie ne puis faillir manque de le connoiſtre.	Mais ce que j'en ai dit est pourfaire paraître, Que ie ne puis faillir manque de le connaître.
HORACE.	HORACE.
C’eſt bien fait, mais enfin c’eſt trop deliberer, L’ardeur d’vn amoureux ſe perd à differer, Et ſur tout en noſtre âge, où chaque heure qui paſſe, Nous oſte quelque flame, & donne quelque glace.	C'est bien fait, mais enfin c'est trop délibérer, L'ardeur d'un amoureux se perd à différer, Et sur tout en notre âge, où chaque heure qui passe, Nous ôte quelque flamme, et donne quelque glace.
HIPROCRASSE en ſoy-meſme.	HIPROCRASSE en soi-même.
Inutiles tranſports, mouuemens inſenſeZ, Deuoirs mal recogneus, vœux mal recompenſez, Qui m'attireZ encor du coſté de Lucrece, Arreſtez, il eſt temps que ſon empire ceſſe.	Inutiles transports, mouvements insensés, Deuoirs mal reconnus, vœux mal récompensez, Qui m'attirez encor du côté de Lucrece, Arrêtez, il est temps que son empire cesse.
Ouy Clarice me plaiſt, ie l’ayme, ie la veux;	Oui Clarice me plaît, Seigneur l'aime, Elle la veux;
C’eſt le temple viuant ous s’adreſſent mes vœux:	C'est le temple vivant ous s'adressent mes vœux:
Ie conſents d’accomplir cét heureux mariage, Que deſirez-vous plus?	Je consens d'accomplir cet heureux mariage, Que désirez-vous plus?
HORACE.	HORACE.
HORACE.	HORACE.
Ie voudrois dauantage.	Je voudrais davantage.
Hé quoy?	Hé quoi?
llllo en nosu	llllo en nos
HORACE.	HORACE.
Que cet Hymon, fuſt deſia conſomme.	Que cet Hymon, fût déjà consomme.
HIPPOCRASSEOt de quelle furie estes vous animé.	HIPOCRASSEOt de quelle furie êtes -vous animé.
Vous me donneriez-lieu de ſoup çonner Clarice.	Vous me donneriez-lieu de soup çonner Clarice.
MORACE.	MORACE.
Qui ne ſçait point tromper agit ſans artifice;	Qui ne sais point tromper agit sans artifice;
Pour ma fille elle eſt ſage, & l'on la cognoist bien:	Pour ma fille elle est sage, et l'on la connaît bien:
Mais on ſçaura l’affaire, & nous ne ferons rien.	Mais on sçaura l'affaire, et nous ne ferons rien.
HIPPOGRASSE.	HIPOGRASSE.
Dequi la ſcaura-t'on?	Dequi la saura-t'-on?
mais ie veux qu on la ſçache, (Comme mal-ayſément vn tel ſecret ſe cache;	mais ie veux qu on la sache, (Comme malaisément un tel secret se cache;
Qui ſeroit ſi hardy que d'aller ſur mes pas?	Qui serait si hardi que d'aller sur mes pas?
Et ſi preſomptueux qu’il creuſt n’en mourir pas?	Et si présomptueux qu'il crût n'en mourir pas?
Ha, ſi i’en ſçauois vnt Pour Dieu, Seigneur Horace, En l’humeur ou ie ſuis, retirez-vous de grace, Qu'vne oüeugle fureur ne m’emporte aujourd’huy, Et que ie ne vous tuë en vous prenant pour luy.	Ha, si j'en savais unt Pour Dieu, Seigneur Horace, En l'humeur ou ie suis, retirez-vous de grâce, Qu'une oüeugle fureur ne m'emporte aujourd'hui, Et que je ne vous tue en vous prenant pour donner.
HORACE.	HORACE.
Tout beau, ie ne dis pas qu’on vouluſt entreprendre, Deſſus vne alliance, où l’on vous veist pretendre, Par forme de diſcours ie vous parlois ainſi.	Tout beau, Seigneur ne dis pas qu'on voulût entreprendre, Dessus une alliance, où l'on vous vît endre, Par forme de discours je vous parlais ainsi.
HIPPOCRASSE.	HIPOCRASSE.
Par forme de diſcours, ie fais le braue außi.	Par forme de discours, je fais le brave aussi.
HORACE.	HORACE.
Il reste de conclure, & l'heure, & la iournée;	Il reste de conclure, et l'heure, et la journée;
Que nous accomplirons cet heureux Hymenée.	Que nous accomplirons cet heureux Hyménée.
HATPOCKASSE.	HATPOCASSE.
Hé bien, ne prenons loy que de vostre vouloir, Quand l'auompions nomi	Hé bien, ne prenons loi que de votre vouloir, Quand l'avompions nomi
HORACE.	HORACE.
.	.
S’il ſe peut dés ceſoir:	S'il se peut dès cesoir:
Dés ce ſoir .	Dès ce soir .
.	.
.	.
7.	7.
HIPPOCRASSE.	HIPOCRASSE.
HORACE.	HORACE.
Qu'y ce ſoir, & ſans plus de remiſe:	Qu'y ce soir, et sans plus de remise:
COMEDIE.	COMÉDIE.
HIPPOCRASSE.	HIPOCRASSE.
ue fomuouuuouuuuunuquele en eſtpniſe.	Que fomuouuuouuuuunuquele en te.
HORACE.	HORACE.
Luy mettrez-vous la bague, & contracterons nout?	Lui mettrez-vous la bague, et contracterons nout?
HIPPOCRASSE.	HIPOCRASSE.
Nous accomplirons tout.	Nous accomplirons tout.
EOXACE tendant la fain.	EOXACE tendant la sain.
HIPPOCRASSE luy touchant dans la main.	HIPOCRASSE était touchant dans la main.
Ie vous promets bien plus, s’il eſten ma puiſſance.	Je vous promets bien plus, s'il éten ma puissance.
Quoy?	Quoi?
HORACE.	HORACE.
HIPPOCRASSE.	HIPOCRASSE.
De luy faire vn fils, Docteur dés ſa naiſſance, Pour marque du ſçauoir dont le pere eſt doüé.	De était faire un fils, Docteur dès sa naissance, Pour marque du sçauoir dont le père est doué.
Que reſte-t’il encor?	Que reste-t-il encor?
HORACE.	HORACE.
Rien, le Ciel ſoit loüé	Rien, le Ciel soit loué
E ij Et prenne touſiours part en ce qui vous concerne;	 Ej Et prenne toujours part en ce qui vous concerne;
Au reſte allez vn peu vous mettre à la moderne.	Au reste allez un peu vous mettre à la moderne.
Mettez has pour ce ſoirees babits de Doctour, Eſſayez, de parler plus Courtiſan qu'Autheur, Paſſez par le raſoir le poil de ce viſage Laiſſez à la maiſon ce teſmoin de voſtre âge, AfuſteZ testneneux, oint e toons, pait e vous;	Mettez has pour ce soirées babits de Doctour, Essayez, de parler plus Courtisan qu'Auteur, Passez par le rasoir le poil de ce visage Laissez à la maison ce témoin de votre âge, Afusez testneneux, oint toctons, paît eût -vous;
Et ſouuenez-vous d’eſtre, & bel, & bon Eſpoux.	Et souvenez-vous d'être, et bel, et bon Espoux.
HIPPOGRASSE.	HIPOGRASSE.
Et vous, ſouueneZ-vous, en me voyant paroiſtre, De ne vous tromper pas, & de me reconnoistre.	Et vous, souvenez-vous, en me voyant paraître, De ne vous tromper pas, et de me reconnaître.
L’artme varedonnerles fleurs de mon printemps, Ie m'em cuy morontitretmrii de vingt ans;	L'artême varedonnerles fleurs de mon printemps, Je m'em cuy morontitrettri de vingt ans;
Enfin, pour faire foy de mon amour extrême, lé veux, aux yeux de tous, paſſer pour l’amour même.	Enfin, pour faire foi de mon amour extrême, lé veux, aux yeux de tous, passer pour l'amour même.
SCENE III.	SCÈNE III.
NORACE.	NORACE.
HORTENSE.	HORTENSE.
HORACE.	HORACE.
E t’ay bien-attendu, tu m’as mis en ſoucy, TEt par cotte longueur tu m'as fait rendre icy.	E t'ai bien-attendu, tu m'as mis en souci, TEt par cotte longueur tu m'as fait rendre ici.
.	.
.	.
.	.
.	.
.	.
COMEDIE.	COMÉDIE.
HORTENSE.	HORTENSE.
J A, fay moy, contre moy, l'inſrumẽt de mon forti Et dans ma propre main mets la fatale eſpée, Par qui doit de mes iours la trame eſtre coigée.	 JET, fais moi, contre moi, l'insrhument de mon sorti Et dans ma propre main mets la fatale épée, Par qui doit de mes jours la trame être coigée.
Hat cruelle Fortunet il n'eſtoit point beſoin, De conſeruer mu vie auecques tant de ſſoing, De me ſauuer des vents à nos vaiſſeaux contraires, De me faire eſchapper de la main des Corſaires, De me faire trouuer le ſecours d’Alexis, Et preſque en ce ſecours la fin de mes ſoucis.	Hat cruelle Fortunet il n'était point besoin, De conserver mu vie auecques tant de ssoing, De me sauver des vents à nos vaisseaux contraires, De me faire échapper de la main des Corsaires, De me faire trouver le secours d'Alexis, Et presque en ce secours la fin de mes soucis.
Puis qu’il m'auoit rendu ſi prés de ma maiſtreſſe, Pour me l’oſter apres, & m'estre ſi traiſtreſſe.	Puis qu'il m'avait rendu si près de ma maîtresse, Pour me l'ôter après, et m'être si traîtresse.
Mourons donc, & faiſons noſtre naufrage au port, Sur vne mer de ſang, allons chencher la mort.	Mourons donc, et faisons notre naufrage au port, Sur une mer de sang, allons chencher la mort.
Il ne faut pour mourir qu’auoüer ma naiſſance, Ie ceſſeray de viure, en ceſſant d’eſtre Hortenſe, La hayne inueterée entre nos deux maiſons, N a pas encore éteint ces funeſtes tiſons, Ma fortune dépend du nom que ie veux prendre, Autãt qu’on ayme Hortenſe, autãt on hayt Leandre, Si ie veux viure, enfin, ie ſuis celuy qui plaît, Et ſi ie veux mourir ie ſuis celuy qu’on hait;	Il ne faut pour mourir qu'avouer ma naissance, Je cesserai de vivre, en cessant d'être Hortense, La haine inueterée entre nos deux maisons, N a pas encore éteint ces funestes tisons, Ma fortune dépend du nom que je veux prendre, Autãt qu'on aime Hortense, autãt on hait Lécandre, Si soins veux vivre, enfin, Seigneur suis celui qui plaît, Et si ie veux mourir ie va celui qu'on hait;
Mon nom en me nuiſant me ſeruira peut- eſtre, Et me faiſant perin me fera reconnoistre, Iauray peut eſtre mort l’honneur d’estre pleuré, Des yeux qui m’ont veu vif & qui m’ont ignoré:	Mon nom en me nuisant me servira peut- être, Et me faisant périn me fera reconnaître, Jaurai peut -être mort l'honneur d'être pleuré, Des yeux qui m'ont vu vif et qui m'ont ignoré:
Mais pour ce faux honneur faut il perdre Clarice, Eprouuons tout pourelle, employons l’artifice, Le ſortpeut ſi ie vis ſeconder mes efforts, Mais tout puiſſãt qu’ileſt ne peut rien pour les morts, La mort eſtle ſeul mal qui n’a point de remede;	Mais pour ce faux honneur faut il perdre Clarice, Éprouvons tout -mourelle, employons l'artifice, Le sortput si tu vis seconder mes efforts, Mais tout puissãt qu'il ne peut rien pour les morts, La mort estle seul mal qui n'a point de remède;
Arrestons Alexis, & reclamons ſon aide.	Arrêtons Alexis, et réclamons son aide.
DCLECE ALEXIS.	DCLECE ALEXIS.
LEONSE.	LEONSE.
HORTENSE.	HORTENSE.
Tproche du Palais où regne vostre amour, O Sans doute vous venez d'y faire voſtre courr C’eſt aſſezs expliquer le logis de Lucrece:	Tproche du Palais où règne votre amour, Ô Ans doute vous venez d'y faire votre courr C'est assez expliquer le logis de Lucrece:
ALEXIS.	ALEXIS.
Ce n’est pas d’où me vient le ſoucy qui me preſſe.	Ce n'est pas d'où me vient le souci qui me presse.
HORTENSE.	HORTENSE.
Ces diſcrets deſadueus pour moy ſont ſuperflus;	Ces discrets desadueus pour moi sont superflus;
COMEDIE.	COMÉDIE.
ALEXIS.	ALEXIS.
RnJaielx MaTa.	RnJeelx MaTa.
HORTENSE.	HORTENSE.
A quoy donc tant de tours à l’entour de ſa porte, Et qu’est-ce (ſans mentir) qu'attendre qu’elle ſorte, Mais te me puis tromper, peut eſtre attendiez,-vous, L’heure de voir paßer nostre nouuel eſpoux.	À quoi donc tant de tours à l'entour de sa porte, Et qu'est-ce (sants mentir) qu'attendre qu'elle sorte, Mais te me puis tromper, peut estre peu,-vous, L'heure de voir passer notre nouvel époux.
ALEXIS.	ALEXIS.
Quel eſpoux cher amy, i’ignore ce langage.	Quel époux cher ami, j'ignore ce langage.
HORTENSE.	HORTENSE.
Quoy vous ne ſçauez, rien de ce beau mariage?	Quoi vous ne savez, rien de ce beau mariage?
ALEXIS.	ALEXIS.
Qu'est-ce donc, quelque piece?	Qu'est-ce donc, quelque pièce?
ou quelque bruit qui Ie n'en ay rien appris.	ou quelque bruit qui Je n'en ai rien appris.
court?	court?
HORTENSE.	HORTENSE.
Pour vous le faire court.	Pour vous le faire court.
Mon maiſtre vous inuite aux nopces de ſa fille;	Mon maître vous inuite aux nopces de sa fille;
Comme parfait amy de toute ſa famille.	Comme parfait ami de toute sa famille.
O dieuxt ALEXIS ſurpris.	Ô dieuxt ALEXIS surpris.
HORTENSE.	HORTENSE.
Quoy, ce diſcours vous deſtobe la voix, Et que dire Cvous dõc quãd vous ſçaurez, ſon choix.	Quoi, ce discours vous destobe la voix, Et que dire Cvous donne quãd vous saurez, son choix.
ALEXIS.	ALEXIS.
Ne me fay point reſver, apprens-le moy de grace?	Ne me fais point rêver, apprends-le moi de grâce?
HO.	HO.
RTENSE.	RTENSE.
Vous reſueriez, long-tẽps pour trouuer Hippocraſſe	Vous rêveriez, longtemps pour trouver Hypocrasse
ALEXIS.	ALEXIS.
Quoy?	Quoi?
ce vieil Medecin plûs malade d’eſprits Et plus intemperé que les corps qu’il guerit?	ce vieil Médecin plus malade d'esprits Et plus intempéré que les corps qu'il guérit?
Qui ſignale ſon art par ſa ſeule vieilleſſe, Et qui ces jours paſſéz, en contoit à Lncrece?	Qui signale son art par sa seule vieillesse, Et qui ces jours passéz, en contait à Lncrèce?
HORTENSE.	HORTENSE.
Fous en eſtonnez-vous?	Fous en étonnés-vous?
ſçachant qu'ila du bien;	sachant qu'ila du bien;
Aujourd’huy l’or eſt tout, & tout ſans luy n’eſt riens	Aujourd'hui l'or est tout, et tout sans lui n'est riens
ALEXIS.	ALEXIS.
Hippocraſſetô quel gouſtiil vaudroit mieux pour elle, Qu’auecques moins de bien, ileuſt plus de ceruelle, Horace a bon deſſein, mais il deuroit iuger;	Hippocrassetô quel goûtiil vaudrait mieux pour elle, Qu'avecques moins de bien, ileust plus de cervelle, Horace à bon dessein, mais il devrait juger;
Combien il met l’honneur de ſa fille en danger, Qu'il veut qu’à ſon contraire, vn contraire s’allie,	Combien il met l'honneur de sa fille en danger, Qu'il veut qu'à son contraire, quelque contraire s'allie,
Ioignant tant de ſageſſe, auec tant de folie.	Joignant tant de sagesse, avec tant de folie.
L’affaire vaudroit bien qu’on s’en daignaſt meſler.	L'affaire vaudrait bien qu'on s'en daignât mêler.
HORTENSE.	HORTENSE.
Ie ne vous cherche außi que pour vous en parler, Vous inuitant bien moins que ie ne vous conjure, D’ayder à mettre obſtacle à cette procedure.	Je ne vous cherche aussi que pour vous en parler, Vous invitant bien moins que je ne vous conjure, D'aider à mettre obstacle à cette procédure.
Vous aymez, trop Horace, & ie ſuis trop à luy Pour ſouffrir le regret qu’il s’achepte aujourd’huy;	Vous aimez, trop Horace, et tu suis trop à lui Pour souffrir le regret qu'il s'achepte aujourd'hui;
D'effendons ſonhonneur contre ſon auarice, Faiſons luy marier, nonpas vendre Clarice.	D'effendons sonhonneur contre son avarice, Faisons ici marier, nonpas vendre Clarice.
Seruons là,	Servons là,
ALEXIS.	ALEXIS.
Volontiers, & plus que tu ne crois:	Volontiers, et plus que tu ne crois:
Ie croirois obligerbien du monde à la fois, Et moy-mefuites proumoic vn interestextreſme.	Je croirais obligerbien du monde à la fois, Et moi-fuites proumoic un interestextresme.
HORTENSE.	HORTENSE.
Obligeant ſes amys, on s’oblige ſoy-meſme.	Obligeant ses amis, on s'oblige soi-même.
Ne differons donc point, meſnageons bien le semps.	Ne différons donc point, ménageons bien le semps.
LEONCE diehi.	LÉONCE diehi.
Parlez, qu’attendez-vous?	Parlez, qu'attendez-vous?
ALEXIS.	ALEXIS.
Il ne prend pas mon ſence	Il ne prend pas mon sence
iij	jij
HORTENSE.	HORTENSE.
Puſt dont, taſant pregt, eue ent tienauancée.	Pût dont, tasant prét, eue ent tienauancée.
LEONSE.	LEONSE.
Nous en viendrons à bout;	Nous en viendrons à bout;
écoutez, mapenſée:	écoutez, mapensée:
Vous ne pouuez douter ſans trop d’aueuglement, Que Lucrece vous ayme, & tres-ſenſiblement, Ses feux ſont ſi cogneus, que l’on ne s'en peut taire, Et qu'elle fait pitié de ne vous en point faire.	Vous ne pouvez douter sans trop d'aveuglement, Que Lucrece vous aime, et très-sensiblement, Ses feux sont si connus, que l'on ne s'en peut taire, Et qu'elle fait pitié de ne vous en point faire.
A peine elle vous vid que vos charmes vainqueurs, Luy firent écarter vne foule de cœurs.	À peine elle vous vit que vos charmes vainqueurs, Lui firent écarter une foule de cœurs.
Et vous croyant touché d’vne ardeur mutuelle, Mépriſer cent amans qui ſouſpiroient pour elle.	Et vous croyant touché d'une ardeur mutuelle, Mépriser cent amants qui soupiraient pour elle.
.	.
q S folde Medecin, Si gros aſne en ſa langue, & docteur en Latin.	q S olde Medecin, Si gros âne en sa langue, et docteur en Latin.
ALEXIS.	ALEXIS.
Il eſt vray, mais enfin à quoy tend ce langage?	Il est vrai, mais enfin à quoi tend ce langage?
LEONSE.	LEONSE.
A leur faire joüer chacun leur perſonnage, Ayant ſur la premiere vn ſouuerain pouuoir, Forcez voſtre froideur, & retournez la voir.	À leur faire jouer chacun leur personnage, Ayant sur la première un souverain pouvoir, Forcez votre froideur, et retournez la voir.
Puis quand vous en aurez, obtenu voſtre grace, Comme par entretientombeZ ſur Hippocraſſe.	Puis quand vous en aurez, obtenu votre grâce, Comme par enttientombez sur Hipocrasse.
COMED II.	COMED II.
Et ſous pretexte enfin de diuertiſſement, Fattes luy r’approcher ce ridicule amant.	Et sous prétexte enfin de divertissement, Fattes lui aapprocher ce ridicule amant.
Vous pourreZ, ſous couleur de cette raillerie, Ayſément obtenir qu'elle meſme l’en prie, Et luy perſuadé de ſa preſomption, Croyant qu'elle reſponde à ſon affection, Sans éguard de traicté, ny reſpect de prõmeſſe, Laiſſera bien-toſt la Clarice pour Lucrece, Et ſe rira d’Horace, auec ſon' appareil.	Vous pourrez, sous couleur de cette raillerie, Aysément obtenir qu'elle même l'en prie, Et deux persuadé de sa présomption, Croyant qu'elle réponde à son affection, Sans éguard de traité, Seigneur respect de prendre. Laissera bientôt la Clarice pour Lucrece, Et se rira d'Horace, avec son appareil.
ALEXIS.	ALEXIS.
Qu'en dis-tu cher amy ?	Qu'en dis-tu cher ami ?
HORTENSE.	HORTENSE.
Lapprouue ce conſeil.	Lapprouve ce conseil.
ALEXIS:	ALEXIS:
H'eſt bon ce me ſemble.	H'est bon ce me semble.
HORTENSE.	HORTENSE.
Il eſt incomparable;	Il est incomparable;
Et pourueu que l’effet nous en ſoit fauorable, Nous vous deurons-la vie, & l’on aura chez nous Vn éternel ſujet de ſe louër de vous.	Et pourvu que l'effet nous en soit favorable, Nous vous devrons-la vie, et l'on au chez nous Un éternel sujet de se louer de vous.
Pour moy qui ſuis ialoux de l’hõneur de mon maiſtre, Au plus extreſme poinct qu’vn valet le peut estre;	Pour moi qui suis jaloux de l'honneur de mon maître, Au plus extrême point qu'un valet le peut être;
Quoy que voſtre amitié m'ayt produit tant d’effets, Ce ſeruice m'eſt cher entre tous vos bienfaits.	Quoi que votre amitié m'ait produit tant d'effets, Ce service m'est cher entre tous vos bienfaits.
Et dans les ſentimens de ce plaiſir extroſme, Si ie ne vous eſtois plus acquis que vous meſme, Ie me plaindrois de vous en vn poinct ſeulement, Que vous ſemblez dourer de mon reſſentimenri Et parmy ces bien-faits me faites vne injure, De vous ſeruir ſi peu de vostre creature;	Et dans les sentiments de ce plaisir extrôme, Si ici ne vous étais plus acquis que vous rendre, Je me plaindrais de vous en un point seulement, Que vous semblez dourer de mon ressentimenri Et parmi ces bienfaits me faites une injure, De vous servir si peu de votre créature;
Et thertnant tous tes iours moyen de m’obliger, Ne m'en donneZ jamais dequoy me neuanger.	Et thertnant tous tes jours moyen de m'obliger, Ne m'en donne jamais dequoy me neuanger.
LEONSE à Alexis.	LENSE à Alexis.
Or ſus declarez, vous, l’occaſion est belle.	Or sus déclarez, vous, l'occasion est belle.
ALEXIS.	ALEXIS.
Ie veux croire en effet que tu m'es ſi fidelle, Que mon bien t’eſt ſi cher, & que tu m’ayme tant, Qu'ayant à te fier vn deſſein important, Ous la neceßité veut que ie t’intereſſe, Ie ne vetix exiger ta foy ny ta promeſſe, Craignant de faire tort à ta fidelité, Si ie ſemblois douter de ſa ſinœerité.	Je veux croire en effet que tu m'es si fidèle, Que mon bien t'est si cher, et que tu m'aime tant, Qu'ayant à te fier un dessein important, Us la necessité veut que tu t'intéresse, Je ne vetix exiger ta foi ni ta promesse, Craignant de faire tort à ta fidélité, Si bon semblais douter de sa sinœérité.
HORTENSE.	HORTENSE.
Et moy ie vous promets de vous faire paraiſtre, Les fidelles deuoirs d’vn eſclaue à ſon maiſtne, Et de mon mouuement vous engage ma foy, D'eſtre bien plus à vous que ie ne ſuis à moy.	Et moi : vous promets de vous faire paraître, Les fidèles devoirs d'un esclave à son maistne, Et de mon mouvement vous engage ma foi, D'être bien plus à vous que je ne suis à moi.
Parlez Parlez donc maintenant auecques conſiance, Vn instant m'est vn an tant i'ay d’impatience, De payer pour le moins quelqu’vn de vos bien faits, Et de fairen mon Zelé eclorre des efféts.	Parlez Parlez donc maintenant avec constance, Un instant m'est un an tant j'ai d'impatience, De payer pour le moins quelqu'un de vos bien faits, Et de fairen mon Zélé éclore des effets.
ALEXIS.	ALEXIS.
Appren donc le commerce ou ta bonté t’engage;	Appren donc le commerce ou ta bonté t'engage;
Pour auoir autant vaut rompu ce mariage, Et redonné la vie à Clarice en effet, Tout cela ſeroit peuſi tu n’auois plus fait;	Pour avoir autant vaut rompu ce mariage, Et redonné la vie à Clarice en effet, Tout cela serait peusi tu n'avais plus fait;
La vertu de ton œuure eſt d’vn merite extréme, Tu t'es rendu la vie à bien dire à toy-meſme, Et ton œuure eſt de ſoy le merite & le prix.	La vertu de ton œuvre est d'un mérite extrême, Tu t'es rendu la vie à bien dire à toi-même, Et ton œuvre est de soi le mérite et le prix.
TEORRENO.	TEORENO.
D.	D.
Dieux:	Dieux:
il ſçait mon ſecret, de qui l’a t’il appris?	il sait mon secret, de qui l'a -t-il appris?
