An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
» Toute action vne fin ſe propoſe, „ Tout ce qui vit à pour but quelque choſe:	" Toute action une fin se propose, „ Tout ce qui vit à pour but quelque chose:
Le grain ſe iette au milieu des guerets, „Pour augmenté, l’y moiſſonner apres:	Le grain se jette au milieu des guérets, „Pour augmenté, l'y moissonner après:
» Le Paſtoureau ſon cher troupeau ne meine, » Que ſous l’eſpoir du laict, & de la laine, » Et le nocher ne s’abandonne aux eaux, , Pour aller voir d’autres mondes nouueaux, 3 Que ſous l’eſpoir, que pour vn peu de verre » Il aura l’or d’vne barbare terre.	" Le Pastoureau son cher troupeau ne mène, " Que sous l'espoir du lait, et de la laine, " Et le nocher ne s'abandonne aux eaux, , Pour aller voir autres mondes nouueaux, 3 Que sous espoir, que pour peu de verre » Il aura or barbare terre.
Moy ſeule helas, ie ſeme ſans eſpoir Mes vains trauaux, dont ie n’attend de voir De meilleurs fruicts, n’y d’autre recompenſe, Qu'vne tardiue & folle repentance.	Moi seule hélas, Madame sème sans espoir Mes vains travaux, dont ie j'attend de voir De meilleurs fruits, n'y d'autre récompense, Qu'une tardive et folle repentance.
Ce qui pourroit conſoler mes ennuis, Si l’on le peut en l’eſtat où ie ſuis, Eſt de te voir Hylas, en ces alarmes, Et que tes pleurs accompagnent mes larmes, Ainſi que moy tes ſouſpirs langoureux Vont accuſant les aſtres rigoureux.	Ce qui pourrait consoler mes ennuis, Si l'on le peut en l'état où tu suis, Est de te voir Hylas, en ces alarmes, Et que tes pleurs accompagnent mes larmes, Ainsi que moi tes soupirs langoureux Vont accusant les astres rigoureux.
Hylas.	Hylas.
oüi ie me plains:	oui grands me plains:
i’en ay ſujet bien ample:	j'en ai sujet bien ample:
De tous malheurs, mon malheur eſt l’exemple:	De tous malheurs, mon malheur est l'exemple:
C’eſt bien perdu quand pour ſe contenter, L’ennemy fier ne peut plus rien oſter.	C'est bien perdu quand pour se contenter, L'ennemi fier ne peut plus rien ôter.
Dans mon pays i’ay couru ce naufrage;	Dans mon pays j'ai couru ce naufrage;
32	32
Ma chere troupe a contenté la rage De l’eſtranger mes bleds ſont conſommeZ!	Ma chère troupe a contenté la rage De l'étranger mes bleds sont consommés!
Par ceux helas qui ne les ont ſemeZ!	Par ceux hélas qui ne les ont semés!
Il n’eſt reſté ſinon ceſte Houlette, Dont ie guidois ma bande camuſeite, Et ces habits pour me couurir le corps Pauure inconneu dans ces eſtrangers bords!	Il n'est resté sinon cette Houlette, Dont ie muidais ma bande camuse, Et ces habits pour me couvrir le corps Pauvre inconnu dans ces étrangers bords!
C’eſt vne perte extrémement profonde, Et i’en attends bien toſt vne ſeconde Encorepire, & crains que le changer:	C'est une perte extrêmement profonde, Et j'en attends bien tôt une seconde Encorepire, et crains que le changer:
De nation n’augmente mon danger:	De nation n'augmente mon danger:
Car tous les biens dont le ſort m’importune, Sont biens du corps, où biens de la fortune;	Car tous les biens dont le sort m'importune, Sont biens du corps, où biens de la fortune;
Mais ceux deſquels ie cours la riſque apres Sont biens de l’ame, & touchent de plus pres.	Mais ceux desquels apprendre cours la risque après Sont biens de l'âme, et touchent de plus pres.
O fier deſtin qui gourmandes ma vie!	Ô fier destin qui gourmandes ma vie!
N'eſtoit-ce aſſeZ que de m’auoir rauie Ma Bergerie, & m’auoir confiné En champs loingtains, d’eſpoir abandonné, Sans me rauir ma liberté plus chere, Seule reſtée apres tant de miſere!	N'était-ce assez que de m'avoir ravie Ma Bergerie, et m'avoir confiné En champs loingtains, d'espoir abandonné, Sans me ravir ma liberté plus chère, Seule restée après tant de misère!
O pauure Hylas que tes funeſtes iours Ont de malheurs au milieu de leurs cours!	Ô pauvre Hylas que tes funestes jours Ont de malheurs au milieu de leurs cours!
Ie ſuis en peine en ma douleur nouuelle D’où m’eſt venu ce mal qui me bourrelle, Et comme ont peu deux yeux ſi promptement.	Je suis en peine en ma douleur nouvelle D'où m'est venu ce mal qui me bourrelle, Et comme ont peu deux yeux si promptement.
Roler mon cœur, voire inſenſiblement:	Roler mon cœur, voire insensiblement:
Ce fut helas faute d’experience, Qu'vn autre priſt ſur moy telle puiſſance, „ Bien aiſément on trompe vn apprentif.	Ce fut hélas faute d'expérience, Qu'un autre prît sur moi telle puissance, „ Bien aisément on trompe un apprentis.
Tantoſt ie penſe à faire du retiſ;	Tantôt ie pense à faire du retis;
Cõme vn Poullain qui n’eut onc mors en bouche, Contre le traict qui viuement me touche:	Comme un Poullain qui n'eût onc mors en bouche, Contre le trait qui vivement me touche:
Mais tout en vain:	Mais tout en vain:
l’hoſte que i’ay logé A la maiſon & le fort ſaccagé, Victorieux il fait cheZ moy du braue, Et a lié ma raiſon comme eſclaue, Mis en priſon mes rebelles deſirs, Et banny loin tous mes premiers plaiſirs.	l'hôte que j'ai logé À la maison et le fort saccagé, Victorieux il fait chez moi du brave, Et à lié ma raison comme esclave, Mis en prison mes rebelles désirs, Et banni loin tous mes premiers plaisirs.
O deſolé!	Ô désolé!
pourquoy deſſus les ondes Ne fus-ie proye aux troupes vagabondes Qui cheZ Neree, ont domicile ouuert, Sans me garder au tourment qui me perd!	pourquoi dessus les ondes Ne fus-je proie aux troupes vagabondes Qui chez Nére, ont domicile ouvert, Sans me garder au tourment qui me perd!
Pourquoy mon corps ne cachas-tu l’eſpée Du More fier, en tes veines trempée, Sans i’en vemr à toy meſme cruel Souler l’Amour Tygre perpetuel, Qui te deſchirere bien toſt pourra rendre D’vn corps de chair, vn qui ſera de cendre!	Pourquoi mon corps ne cachas-tu l'épée Du More fier, en tes veines trempée, Sans j'en vemr à toi même cruel Souler l'Amour Tygré perpétuel, Qui te déchire bien tôt pourra rendre D'un corps de chair, une qui sera de cendre!
Las te n’ay peu!	Las te n'ai peu!
les Cieux quand ie fus né Auoyent entr’eux autrement ordonné:	les Cieux quand je fus né Auoyent entr'eux autrement ordonné:
Ie deuois eſtre vn Phenix, dont la vie Par vn Soleil deuoit eſtre rauie.	Je devais être un Phénix, dont la vie Par un Soleil devait être ravie.
O Iycoris honneur de ces deſerts!	Ô Ois honneur de ces déserts!
Port de mon heur, Reine de mes penſers!	Port de mon heur, Reine de mes pensers!
Beauté ſans pair, d’amour la ſeule gloire, Clair Monument le plus beau de memoire!	Beauté sans pair, d'amour la seule gloire, Clair Monument le plus beau de mémoire!
Oſay-ie bien paſſant à trauers l’air, Iuſques au Ciel de ton front m’enuoler, Cõme vn ieune Aigle en ma courſe premiere, Pour eſſayer mes yeux à la lumiere?	Osé-je bien passant à travers l'air, Jusques au Ciel de ton front m'envoler, Comme un jeune Aigle en ma course première, Pour essayer mes yeux à la lumière?
C’eſt trop oſé:	C'est trop osé:
ceſte preſomption Veut vn treſpas pour ſa punition.	cette présomption Veut un trépas pour sa punition.
Connoiſſons nous, r’auallons ce courage, Ne bruſlons pas au Ciel noſtre pennage, Comme vn I care & par trop preſumer Ne ſeruons pas de Parrains à la Mer.	Connaissons nous, r'avallons ce courage, Ne brûlons pas au Ciel notre pennage, Comme un I Jare et par trop présumer Ne servons pas de Parrains à la Mer.
Mais las!	Mais las!
que dis-ie?	que dis-je?
où giſt ma connoiſſancel Il ſemble à voir que i’aye encor puiſſance Sur mon vouloir, & qu’encor la raiſon Porte tuuej paurtonmtut ma prifon?	où gît ma connaissancel Il semble à voir que j'aie encor puissance Sur mon vouloir, et qu'encor la raison Porte tuue paurtonmut ma prison?
Et quand i’aurois pouuoir de m’en diſtraire, I'aymerois mieux mourir que de le faire.	Et quand j'aurais pouvoir de m'en distraire, J'aimerais mieux mourir que de le faire.
Myrthine.	Myrthine.
Ie te ſçay gré d’auoir dit librement Le beau ſujet qui cauſe ton tourment, Et ie voudrois eſtre außi bien certaine De la fléchir pour ſoulager ta peine, Comme tu dois eſtre tout aſſeuré Que de tes maux i’ay mille fois pleuré.	Je te sais gré d'avoir dit librement Le beau sujet qui cause ton tourment, Et ie voudrais être aussi bien certaine De la fléchir pour soulager ta peine, Comme tu dois être tout assuré Que de tes maux j'ai mille fois pleuré.
Hylas.	Hylas.
Ie teſçay gré de tes pleurs reſpanduës, Mais las Myrthine elles ſont bien perduës, Puis que moy meſme en ayant tant verſé Ie n’en ſeray iamais recompenſé, Et que la mort la Deeſſe inhumaine, Eſt le guerdon de ma pourſuite vaine.	Je tesçai gré de tes pleurs répandues, Mais las Myrthine elles sont bien perdues, Puis que moi -même en ayant tant versé Je n'en serai jamais récompensé, Et que la mort la Déesse inhumaine, Est le guerdon de ma poursuite vaine.
Myrthine.	Myrthine.
Ton deſeſpoir te vient auant le temps:	Ton désespoir te vient avant le temps:
Et que ſçais-tu ſi les deſtins contens, De tes malheurs, induiront ta Bergere A te donner ce que ton cœur n’eſpere?	Et que sais-tu si les destins contents, De tes malheurs, induiront ta Bergère À te donner ce que ton cœur n'espère?
Ie ne croy pas quand pour moy que ſon cœur Puiſſe pour toy loger de la rigueur.	Je ne crois pas quand pour moi que son cœur Puisse pour toi loger de la rigueur.
Eiyidoo Folle creance, ô Bergere agreable!	Eiyidoo Folle créance, ô Bergère agréable!
Elle eſt trop belle, & moy trop miſerable.	Elle est trop belle, et moi trop misérable.
Myrthine.	Myrthine.
Belle, & cruelle, eſt-elle voirement:	Belle, et cruelle, est-elle voirement:
Mais que ne peut ayant ſi conſtamment Aymé ſesyeux vn amant ſi fidelle?	Mais que ne peut ayant si constamment Aïmé sesyeux un amant si fidèle?
I’eſpererois meilleure choſe d’elle.	J'espérerais meilleure chose d'elle.
Hylas.	Hylas.
Ie le veux croire afin de me flatter En ces frayeurs qui viennent m’agiter.	Je le veux croire afin de me flatter En ces frayeurs qui viennent m'agiter.
Mais ô beaux yeux qui cauſeZ ma ſouffrance, AydeZ mon ame en ſa foible creance.	Mais ô beaux yeux qui causez ma souffrance, Aydez mon âme en sa faible créance.
SCENE SECONDE e i naun.	SCÈNE SECONDE e a jaun.
Satyre, ſeul.	Satire, seul.
6 2 M Ay redouté dés long temps qu'vn malheur N’allaſt fauchant mon amour en ſa fleur:	6 2 M y redouté dès long temps qu'op malheur N'allât fauchant mon amour en sa fleur:
Et s’il falloit s’arreſter aux preſages, I’aypeur qu’en fin ie n’y ſois pour les gages.	Et s'il fallait s'arrêter aux présages, J'aipeur qu'en fin apprendre n'y sois pour les gages.
A ce matin i’ay r’encontré deux loups, Et en ſortant i’ay heurté deux cailloux Auec le pied on dit que c’eſt augure De malencontre, & fortune future.	À ce matin j'ai rencontré deux loups, Et en sortant j'ai heuré deux cailloux Avec le pied on dit que c'est augure De malencontre, et fortune future.
Pres de mon antre eſt vn Cheſne ébranché, Par le long temps de vieilleſſe ſeiché:	Pres de mon antre est un Chesne ébranché, Par le long temps de vieillesse seiché:
La tous les iours vne vieille Corneil le En croaſſant m'importune l’oreille, Et par ſa voix ſemble Prophetiſer Que Lycoris ne fait que m’abuſer, Que ie me pais d'eſperances bien folles, Si i’en attends iamais que des paroles.	La tous les jours une vieille Corneil le En croassant m'importune l'oreille, Et par sa voix semble Prophétiser Que Lycoris ne fait que m'abuser, Que ie me pais d'espérances bien folles, Si j'en attends jamais que des paroles.
Dans ces Ormeaux, dont le chef orgueilleux	Dans ces Ormeaux, dont le chef orgueilleux
Semble vouloir eſcalader les Cieux, I'auois trouué deux nids de Tourterelle:	Semble vouloir escalader les Cieux, J'avais trouvé deux nids de Tourterelle:
Ie les voulois enſeigner à ma Belle, Et pour l’induire à m’aymer, & cherir, Luy faire don des petits pour nourrir 7 „ En ſon vollier, car au ſiecle où nous ſommes „ Les preſents ont grand pouuoir ſur les hõmes:	Je les voulais enseigner à ma Belle, Et pour l'induire à m'aimer, et chérir, Lui faire don des petits pour nourrir 7 „ En son vollier, car au siècle où nous sommes „ Les présents ont grand pouvoir sur les hommes:
Il eſt bien vray que ſon cœur inhumain N’accepte rien qui vienne de ma main:	Il est bien vrai que son cœur inhumain N'accepte rien qui vienne de ma main:
» Les femmes n’ont amitié vers perſonne:	" Les femmes n'ont amitié vers personne:
» Sont biẽs perdus que les biẽs qu’on leur dõne.	" Sont bien perdus que les biens qu'on leur donne.
Et mes deux nids ont eſté dénicheZ, Signe euident qu’on me veut faire offence, Et dénicher ma nouuelle eſperance.	Et mes deux nids ont été dénichés, Signe évident qu'on me veut faire offense, Et dénicher ma nouvelle espérance.
Le plus grand mal qui me peut arriuer Eſt de me voir ma Bergere enleuer, Tout mon treſor en elle ſe repoſe, Et ne crains point la perte d’autre choſe.	Le plus grand mal qui me peut arriver Est de me voir ma Bergère enlever, Tout mon trésor en elle se repose, Et ne crains point la perte d'autre chose.
Et quand i’aurois tout autant de troupeaux Que l'Arcadie en void ſur les coupeaux Ou de Menalle, ou du mont de Lycee, Et que des loups la fureur inſenſée Ou des Lyons, auroit tout deuoré, On n’en voirroit mon eſprit alteré:	Et quand j'aurais tout autant de troupeaux Que l'Arcadie en voit sur les coupeaux Ou de Menalle, ou du mont de Lycée, Et que des loups la fureur insensée Ou des Lyons, aurait tout dévoré, On n'en voir mon esprit altéré:
Car la fortune, en inconſtance experte, Pourroit m’en rendre & reparer ma perte.	Car la fortune, en inconstance experte, Pourrait m'en rendre et réparer ma perte.
Mais ſi i’auois perdu ceſte Beauté, Quand bien i’aurois tout le monde queſté, Ie ne croy pas que iamais i’y trouuaſſe Vne Beauté comparable à ſa face:	Mais si j'avais perdu cette Beauté, Quand bien j'aurais tout le monde quêté, Je ne crois pas que jamais j'y trouvasse Ve Beauté comparable à sa face:
Car la nature à tous va teſmoignant, Qu'elle exceda ſa force en la peignant.	Car la nature à tous va témoignant, Qu'elle excéda sa force en la peignant.
De ſes cheueux la treſſe entrelaſſée Semble aux chardons quãd leur fleur eſt paſſée Son front reſſemble au glaçon d’vn eſtan Et en couleur a l’yuoire plus blanc:	De ses cheveux la tresse entrelacée Semble aux chardons quand leur fleur est passée Son front ressemble au glaçon d'un étan Et en couleur a l'yvoire plus blanc:
Ses yeux brillans de lumiere, e de gloire, Sont comme vers qui ſous la robe noire De la nuict ſombre, éclairent aux buiſſons, Et des foreſts ſont les aſtres beſſons:	Ses yeux brillants de lumière, eu de gloire, Sont comme vers qui sous la robe noire De la nuit sombre, éclairent aux buissons, Et des forêts sont les astres bessons:
Sa belle bouche, ou naiſſent les paroles Pour amollir le marbre, & les Idoles, Eſt vn parterre ou s’ouurent des œillets, Et des roſiers, les boutons vermeillets:	Sa belle bouche, ou naissent les paroles Pour amollir le marbre, et les Idoles, Est un terre ou s'ouvrent des œillets, Et des rosiers, les boutons vermeillets:
Et ſon beau ſein, des trois graces le ſiege, En ſa blancheur feroit honte à la neigé.	Et son beau sein, des trois grâces le siège, En sa blancheur ferait honte à la neigé.
Ne ſuis-ie pas en mes maux bien-heureux, D’oſer me dire vn de ſes amoureux?	Ne suis-je pas en mes maux bienheureux, D'oser me dire un de ses amoureux?
Que ſi i’auois ſi bien ſa grace acquiſe, Que ſa recerche à moy ſeul fuſt permiſe, Q ue de bon heur!	Que si j'avais si bien sa grâce acquise, Que sa recerche à moi seul fût permise, Q Que de bon heur!
I’irois lors dépitant Ceux-là qui vont ſur l’Olympe habitant.	J'irais lors dépitant Ceux-là qui vont sur l'Olympe habitant.
» Mais c'eſt en vain que ce guay la ie tente:	" Mais c'est en vain que ce guai la vôtre tente:
„ Iamais d’vn ſeul la femme n’eſt contente.	„ Jamais d'un seul la femme n'est contente.
92 Comme vn qui chaſſe vn lieure qui s’enfuit, „ Quand il eſt pris, vn autre encor pourſuit, n Et puis vn autre, & touſiours luy commande „, Deſir, de courre à nouuelle viande.	92 Comme un qui chasse un lièvre qui s'enfuit, „ Quand il est pris, un autre encor poursuit, n Et puis un autre, et toujours lui commande „, Désir, de courre à nouvelle viande.
» Telle eſt la femme:	" Telle est la femme:
or ne m’importe pas, Qu'vn Doralis, qu’vn amoureux Hylas, Aillent l’aymant, ie ne trouble leur aiZe, Pourueu qu’en fin à mon tour ie la baiZe.	À ne m'importe pas, Qu'un Doralis, qu'un amoureux Hylas, Aillent l'aimant, ie ne trouble leur aize, Pourvu qu'en fin à mon tour ie la baise.
Mais ſi pour n’eſtre außi beau comme ils ſont, Si pour auoir le viſage, & le front, Couuert de poil, preſage de ma force, Elle pourchaſſe entre nous vn diuorce, Ie ſçauray bien à l’heure me pouruoir, Et la ranger par force à ſon deuoir.	Mais si pour n'être aussi beau comme ils sont, Si pour avoir le visage, et le front, Couvert de poil, présage de ma force, Elle pourchasse entre nous un divorce, Je saurai bien à l'heure me pourvoir, Et la ranger par force à son devoir.
Encor ne ſuis-ie außi laid au viſage Comme on diroit!	Encor ne suis-je aussi laid au visage Comme on dirait!
I’en ay le teſmoignage De Thetis meſme:	J'en ai le témoignage De Thétis même:
auiourd’huy que ſes flots Se repoſoyent dans leur grand lit enclos, Ie m'y ſuis veu, i’ay contemplé ma face, Et ie me trouue auoir fort bonne grace.	aujourd'hui que ses flots Se reposaient dans leur grand lit enclos, Je m'y suis vu, j'ai contemplé ma face, Et tu me trouve avoir fort bonne grâce.
Außi ie veux premierement ſonder Sa volonté, que de rien haZarder:	Aussi ici veux premièrement sonder Sa volonté, que de rien hasarder:
Mais ſi ie voy qu'elle me le refuſe, Ie l’auray d’elle ou de force, ou de ruſe, Elle aura beau faire éclater ſa voix:	Mais si ici vois qu'elle me le refuse, Je l'aurai d'elle ou de force, ou de ruse, Elle aura beau faire éclater sa voix:
Ie ſeray ſourd comme elle außi m'a fois.	Je serai sourd comme elle aussi m'a fois.
SCENE TROISIESME DV SECOND ACTE.	SCÈNE -TROISIÈME DU SECOND ACTE.
Lycoris.	Lycoris.
Hylas.	Hylas.
Lycoris.	Lycoris.
ed oicy venir l’honneur de ces Montaynes, Et le ſouhait des Nymphes mes compagnes:	ed oici venir l'honneur de ces Montaînes, Et le souhait des Nymphes mes compagnes:
Ie ſuis trompée ou l’Amour la domté, Il a l’eſprit triſte, & déconforté:	Je suis trompée ou l'Amour la domté, Il a l'esprit triste, et déconforté:
Sa belle bouche, autresſois ſi diſerte, N'eſt plus qu’aux cris, & aux ſoupirs ouuerte:	Sa belle bouche, autressois si diserte, N'est plus qu'aux cris, et aux soupirs ouverte:
Il m’a promis de me dire auiour i’huy D’ou vient ſon mal, & ſon facheux ennuy.	Il m'a promis de me dire aujour j'hui D'ou vient son mal, et son fâcheux ennui.
He bien u pusquepaui renti promeſſe!	He bien u pusquepaui renty promesse!
Ie veux ſçauoir d’ou vient ceſte triſteſſe, Que faits-tu ſeul en ce lieu maintenant?	Je veux sçauoir d'ou vient cette tristesse, Que faits-tu seul en ce lieu maintenant?
De quels penſers vas-tu l’entretenant?	De quels pensers vas-tu l'entretenant?
Hylas.	Hylas.
Ie n’y faits rien ô gentille Bergere:	Je n'y faits rien ô gentille Bergère:
Vn qui voyage en Prouince eſtrangere,	Un qui voyage en Province étrangère,
Nud Nud de tous biens, & pour s’en tretenir En a touſiours le triſte ſouuenir, Ne peut auoir vn grand meſnage à faire:	Nud Nud de tous biens, et pour s'en tretenir En a toujours le triste souvenir, Ne peut avoir un grand ménage à faire:
Ainſi le veut le deſtin aduerſatre.	Ainsi le veut le destin aversatre.
Lycoris.	Lycoris.
Eſt ce l’objet qui te rend ſoucieux?	Est -ce l'objet qui te rend soucieux?
Ne te crain point l’ordonnance des Cieux Ret u porinmuemuinſeuunoſrcadie, Pour y manquer de rien durant ta vie.	Ne te crain point l'ordonnance des Cieux Ret u porinmuemuinseuunosrcadie, Pour y manquer de rien durant ta vie.
Hylas.	Hylas.
Ce ne ſont point les biens que i’ay perdus Qui m’ont les ſens ainſi triſtes rendus:	Ce ne sont point les biens que j'ai perdus Qui m'ont les sens ainsi tristes rendus:
Vn ftus grand mal, vne plus grand diſgrace Que ces malheurs, de fort pres me menace.	Un fûtus grand mal, une plus grand disgrâce Que ces malheurs, de fort pré me menace.
Mon peu de bien l’ennemy me le prit, Icy ie perds & le corps, et l’eſprit, Perte agreable, helas ſi i’oſois dire Ma paßion, a qui fait mon martyre!	Mon peu de bien l'ennemi me le prit, Ici ici perds et le corps, et l'esprit, Perte agréable, hélas si j'osais dire Ma passion, à qui fait mon martyre!
Mais pour n’oſer ie veux quitter ce lieu, Ie vous veux dire vn eternel Adieu!	Mais pour n'oser On veux quitter ce lieu, Je vous veux dire un éternel Adieu!
A la malheure ay-ie abordé ces terres!	À la malheure ai-je abordé ces terres!
Que ne peris-ie au milieu de nos guerres,	Que ne péris-je au milieu de nos guerres,
Lycoris.	Lycoris.
Quel deſplaiſir as-tu peu receuoir, Contre l’honneur, & contre le deuoir, Que l’on doit rendre au droit de l’hoſtellage?	Quel déplaisir as-tu peu recevoir, Contre l'honneur, et contre le devoir, Que l'on doit rendre au droit de l'hôtellage?
Ie n'en ſçay rien, & m’en faſche au courage?	Je n'en sais rien, et m'en fâche au courage?
ne Bergel Inconneu, Dy le moy donc, ne me le cert point,	ne Bergel Inconnu, Dis le moi donc, ne me le cert point,
Hylas.	Hylas.
A vous le dire vn autre mal eſt ioint, Chaſte Bergere:	À vous le dire un autre mal est joint, Chaste Bergère:
il vaut mieux que i’eſlance Mes chauds ſouſpirs, & meure en mon ſilence, Que vous le dire, außi bien le diſant Mon dur tourment n’ira s’en appaiſant.	il vaut mieux que j'élance Mes chauds soupirs, et meure en mon silence, Que vous le dire, aussi bien le disant Mon dur tourment n'ira s'en apaisant.
Lycoris.	Lycoris.
Quoy quimen fou te veux ouir le conte De ta douleur, & deuſſe eſtre à ma honte,	Quoi quimen fou te veux ouïr le conte De ta douleur, et dusse être à ma honte,
Hylas.	Hylas.
Ie le veux donc:	Je le veux donc:
mais ô rare Beauté Ne preneZ garde à ma temerité.	mais ô rare Beauté Ne preneZ garde à ma témérité.
Amour qu’on dit le monarque du monde!	Amour qu'on dit le monarque du monde!
Qui ſous ſes loix regit la terre, & l’onde, Sans prendre garde à voſtre extraction, Et aux malheurs de ma condition, M’a commandé, de puiſſance abſoluë, D’Idolatrer les rais de voſtre veuë:	Qui sous ses lois régit la terre, et l'onde, Sans prendre garde à votre extraction, Et aux malheurs de ma condition, M'a commandé, de puissance absolue, D'Idolatrer les rais de votre vue:
I'y ſuis contraint:	J'y suis contraint:
vos beaux yeux enchãteurs Dignes des Rois, pluſtoſt que des Paſteurs.	vos beaux yeux enchanteurs Dignes des Rois, plutôt que des Pasteurs.
Ont tellement ma volonté bleßée, Que ſans eſgard au vol de ma penſée, I’ay mieux aymé me faire renommer En mon malheur, que ne vous point aymer.	Ont tellement ma volonté blessée, Que sans égard au vol de ma pensée, J'ai mieux aimé me faire renommer En mon malheur, que ne vous point aimer.
Comme vn vieil Cheſne expoſé ſur le feſte De l’Apennin, au gré de la tempeſte Apres auoir ſouſtins long temps l’effort Desſoufflemens de l' Autan, & du Nort, En fin contraint par leur rage peruerſe, Cede à leur force, & tombe à la renuerſe.	Comme un vieil Chêne exposé sur le fête De l'Apennin, au gré de la tempête Apres avoir soutins long temps l'effort Déessoufflements de l' Autan, et du Nort, En fin contraint par leur rage perverse, Cède à leur force, et tombe à la renverse.
Ainſi m’eſtant conſtamment deffendu, Contre l’effort du trait qui ma perdu, » Ie n’ay gaigné, ſinon qu’a reconnoiſtre Que c’eſt en vain qu’on reſiſte à ſon maiſtre.	Ainsi m'étant constamment défendu, Contre l'effort du trait qui ma perdu, " Je n'ai gagné, sinon qu'a reconnaître Que c'est en vain qu'on résiste à son maître.
Voila ſans plus ce qui geſne mon cœur, Et non le bien dont ie fus poſſeſſeur, Si vous m'aymie( o gentille Bergere, Toute ma perte helas, ſeroit legere.	Voilà sans plus ce qui gêne mon cœur, Et non le bien dont tu fus possesseur, Si vous m'aimie( ô gentille Bergère, Toute ma perte hélas, serait légère.
Lycoris.	Lycoris.
I'auois touſiours entendu renommer L’iſle de Cypre, en eſprits pour aymer, Et que Paphos, & la belle Amathonte, En produiſoient & ſans nõbre, & ſans comte.	J'avais toujours entendu renommer L'isle de Cypre, en esprits pour aimer, Et que Paphos, et la belle Amathonte, En produisaient et sans nombre, et sans compte.
Mais d’auoir creit qu'vn de la nation, S’en abſentant, portaſt ſa paßion, Et nu de biens, euſt bien oſé pretendre D’eſtre de Mopſe, & d’Aleine le gendre, C’eſt vn miracle où ma credulité, Et mon eſprit, n’euſt point eſté porté.	Mais d'avoir crédit qu'un de la nation, S'en absentant, portât sa passion, Et nu de biens, eût bien osé prétendre D'être de Mopse, et d'Aleine le gendre, C'est un miracle où ma crédulité, Et mon esprit, n'eût point été porté.
toint que depuis que le ſort, & l’orage, A fait briſer ta Nef en ce riuage, Tu peux ſçauoir, m’ayant veuë à loiſir A quel objet eſt porté mon deſir:	toint que depuis que le sort, et l'orage, A fait briser ta Nef en ce rivage, Tu peux savoir, m'ayant vue à loisir À quel objet est porté mon désir:
L i Et que rien tant n’afflige mon courage, Qu’alors qu’on veut m’aſtraindre au mariage;	 L' Et que rien tant n'afflige mon courage, Qu'alors qu'on veut m'astraindre au mariage;
Et que plutoſt on pourroit m’obliger A prẽdre vn iour vn tombeau, qu’vn Berger.	Et que plutôt on pourrait m'obliger A prendre un jour vn tombeau, qu'un Berger.
I’euſſe attendu toute autre recompenſe D’auoir nourry cheZ moy ton indigence, Te racueillant pauure, eſtranger, & nu, Deſſous mon toict, de chacun inconnu, Ne croyant pas ton humeur ſi ſauuage, De violer les ſaincts droicts d’hoſtelage, Et de fouler aux pieds toute raiſon, Faiſant iniure au chef d’vne maiſon.	J'eusse attendu toute autre récompense D'avoir nourri chez moi ton indigence, Te racueillant pauvre, étranger, et nu, Dessous mon toit, de chacun inconnu, Ne croyant pas ton humeur si sauvage, De violer les saints droits d’hôtelage, Et de fouler aux pieds toute raison, Faisant injure au chef d'une maison.
» On dit bien vray;	" On dit bien vrai;
ce ſiecle ingrat & rude » Paye vn grand bien, de grande ingratitude!	ce siècle ingrat et rude " Paye un grand bien, de grande ingratitude!
C’eſt pour m'apprendre à viure deſormais » Plus ſagement:	C'est pour m'apprendre à vivre désormais " Plus sagement:
mieux vaut tard que iamais.	mieux vaut tard que jamais.
Hylas.	Hylas.
Ie ſçauois bien qu’adorant voſtre face, Ie m’efforçois d’eſchauffer de la glace, Ie ſçauois bien que mon vœu s’addreſſoit V ers vn Dieu ſourd, qui iamais n’exauçoit!	Je savais bien qu'adorant votre face, Je m'efforçais d'échauffer de la glace, Je savais bien que mon vœu s'adressait V ers un Dieu sourd, qui jamais n'exauçait!
O fortuné!	Ô fortuné!
que maudite ſoit l’heure Que ſur Ladon ie vins faire demeure!	que maudite soit l'heure Que sur Ladon Ne vins faire demeure!
Mais puis qu’helas!	Mais puis qu'hélas!
ie ne puis ébranler Ce fier courage, il vaut mieux m’en aller Loin de ces bois en demeures loingtaines:	Ce ne puis ébranler Ce fier courage, il vaut mieux m'en aller Loin de ces bois en demeures loingtaines:
Pour emporter mes malheurs & mes peines,	Pour emporter mes malheurs et mes peines,
Seuls compagnons qui doiuent m’a ßiſter, Iuſqu’au cercueil, qui les peut limiter.	Seuls compagnons qui doivent m'a us, Qu'au cercueil, qui les peut limiter.
