LA TRAGEDIE DE PRYAM,ROY.	LA TRAGÉDIE DE PRIAM,ROY.
Mais ſa dame amoureuſe en traiuant ſon mal-beur Et ſe tuaut d’amour ſiſt naiſtre le bon-haur De cet amant perfile, a qui elle ſe ſie, Pour qui elle ſe trompe & ſi ne s’en deſie, Qui pour eſtic offenece en ſa vir ginité, S’arma d’vn ſier derdain, luy d’vne laſcheté.	Mais sa dame amoureuse en traivant son malheur Et se tuaut d'amour zist naître le bonhaur De cet amant perfile, à qui elle se siète, Pour qui elle se trompe et si ne s'en désie, Qui pour étic offenece en sa vir ginité, S'arma d'une sier derdain, Seigneur d'une lâcheté.
Ce graud guerrier Tueſe qui ſit trembler la terre Vn Mauors au combats, vn ſoudre de la gueire:	Ce graud guerrier Tuèse qui sit trembler la terre Un Mavors au combats, un soudre de la guère:
N’auoit de ſa maraſtre eſchappé les appus, Que le ſort qui ſembloit courir à ſon treſpas, L’emporta pour le perdre au mouſtre de Dedale, Luy qui ſuit de ſes iours la carr iere ſatale court à ſa propre perte aueuglé de valeurs, Et mal-beureux qu’il eſt ne voit pas ſes mal-heurs, Ny l’extreme danger, ou le ſort le conuie, Que ſi l’amour vainqueur n’euſt arrathé ſa vie Des miius de la mort meſme, il euſt en meſme iour Honteux perdu ſa vie en perdaut ſon amour:	N'avait de sa marâtre échappé les appus, Que le sort qui semblait courir à son trépas, L'emporta pour le perdre au moutre de Dédale, Lui qui suit de ses jours la carr ère satale court à sa propre perte aveuglé de valeurs, Et malheure qu'il est ne voit pas ses malheurs, Ni l'extrême danger, ou le sort le convie, Que si l'amour vainqueur n'eût arrathé sa vie Dés mius de la mort même, il eût en même jour Honteux perdu sa vie en perdaut son amour:
M ais moy ſans entoirir tant de mortelles peines, Qui courent par les os qui gliſſent par les veines De ceux qui eſgarez dans vne ſolle erreur, võt cerchans leur amour & trouuent leur mal-heur, I’auray de mes deſirs parfaite iouyſſance,	M Mais -moi sans entoirir tant de mortelles peines, Qui courent par les os qui glissent par les veines De ceux qui égarés dans une solle erreur, võt cerchans leur amour et trouuent leur mal-heur, auray de mes désirs parfaite iouyssance,
Ies Dieux ne mentent pas, i’en ay bonne aſſeurance De leur diuinité.	Jes Dieux ne ment pas, j'en ai bonne assurance De leur divinité.
Venus me la iuré Par le cheſ de ſon ſis & par ſon arc doré Et pour mettre a ſon point cette belle entrepriſe, Cypris de ſes attraits mes appas ſauoriſe, Amour loge en mes yeux les traits de ſes amours, Pyibon ſorme en ma bouche vn fleuue de diſcours.	Venus me la juré Par le chez de son sis et par son arc oré Et pour mettre a son point cette belle entreprise, Cypris de ses attraits mes appas savorise, Amour loge en mes yeux les traits de ses amours, Pyibon sorme en ma bouche un fleuve de discours.
Que ſi pour conquerir vne ſi riche proye, Qui vaut cent ſois ma vic & cent treſpas de Troye;	Que si pour conquérir ainsi si riche proie, Qui vaut cent sois ma vic et cent trépas de Troie;
Jl ſaut abandouner mon pays, & ramer Et cingler brauement ſur le dos de la mer, D’ilion en la Grece ou l’on adore Helcine, », Faut pour beaucoup de choſe auoir vn peu de peine n Et ne craindre du mal pour receuoir du bien, " Car l’amoureux craintif ne reçoit iamais rien.	Il saut abandouner mon pays, et ramer Et cingler bravement sur le dos de la mer, D'ilion en la Grèce ou l'on adore Helcine, ", Faut pour beaucoup de chose avoir un peu de peine n Et ne craindre du mal pour recevoir du bien, " Car l'amoureux craintif ne reçoit jamais rien.
Si pour ce cher butin qui vaut bien tout le monde, Ie mets m’amour ma vie & ma neſ deſſus l’onde, 11 Le haz ard n’eſt qu’hõneſte & le mourir que beaïs, » Lo ſque l'hõme & l’amour ont vn meſme tõbeau:	Si pour ce cher butin qui vaut bien tout le monde, Je mets m'amour ma vie et ma nés dessus l'onde, 11 Le has ard n'est qu'honneur et le mourir que beaïs, " Lo soient l'homme et l'amour ont un homme tombeau:
Mais mes diſcours ſot vais, l’amour qui me trã ſporMe porte a ces diſcours que le vẽt nous ewporte, (le Ie ne crain point les veus, ny la mort ny la mer, Si ie les puis moy-meſme en mes ſeux alumer.	Mais mes discours sot vais, l'amour qui me trans sporMe porte à ces discours que le vendre nous éporte, (le Je ne crain point les veux, ni la mort ni la mer: Si tu les puis moi-même en mes seux alumer.
Mais quoy que tardes tu amoureuſe penſee, D’amour & d’vn bel œil ſi doucement bleſſee, Que tardes iu Paris ſi longuement icy De deſit & d’abſence outrage ſans mercy:	Mais quoi que tardes tu amoureuse pensée, D'amour et d'un bel œil si doucement blessée, Que tardes ju Paris si longuement ici De désit et d'absence outrage sans merci:
Que ſais-tu, Pareſſeux, eſloigué de taDDame, Ainçois que ſais-tu mort eſloigné de ton ame, Que tu ne monte en mer aſia de la r’auois?	Que sais-tu, Paresseux, esloigué de taDame, Ainçois que sais-tu mort éloigné de ton âme, Que tu ne monte en mer asia de la reauois?
Voir ce que l’ame voit, & le corps ne peut voir, Voir ce ſubiect diuin miracle de nature, Voir la beauté changee en cette creature, Voir la tecre en ſon corps, voir lescieux en ſes ytux, Et le ſacheux obiect de mon mal gracieux, Que it porte dans l’œil que ie porte en la teſte, Quoy craindrai-ie les bancs, les vents, & la tẽpe Et de peur de mourir dans les ſlots de la mer Mouray-ie malbeureux dans les flames d’aymer.	Voir ce que l'âme voit, et le corps ne peut voir, Voir ce sujet divin miracle de nature, Voir la beauté change en cette créature, Voir la tecre en son corps, voir lescieux en ses ytux, Et le sacheux objet de mon mal gracieux, Que it porte dans l'œil que ie porte en la tête, Quoi craindrai-je les bancs, les vents, et la tẽpe Et de peur de mourir dans les slots de la mer Mourai-je malbeureux dans les flammes d'aimer.
A chattes.	À chattes.
Paris.	Paris.
Achattes.	Achattes.
velle rage vous poind quelle ſureur vo'bleſſe Q Quelleeſtrage mauie eſtrãgemẽt vous preſſe vous pourſuit, vous tallõne, & vous ſait ſans raiſe Errer dans tant d’erreurs priué de la raiſon, Eſtes-vous incenſe, eſt-ce point quelque image Qui vous imprime tant de ſureur & de rage:	velle rage vous poind quelle sûreur voblesse Q Quelleestrage mavie estrãgemẽt vous presse vous poursuit, vous tallõne, et vous sait sans raise Errer dans tant d'erreurs privé de la raison, Êtes-vous incense, est-ce point quelque image Qui vous prime tant de sûreur et de rage:
Eſtes-vous eſperdu?	Êtes-vous éperdu?
ou ne l'eſtes-vous point, Qi eſt ce qui vous pique eſt-ce vn mal qui vo' poind Eſt-te vue deite qui vous rend ſi mauſſade, Agité de ſurie ainſi qu’une menade, Qui ſent les eſguillons de ſon Dieu qu’elle ſuit:	ou ne l'êtes-vous point, Qi est ce qui vous pique est-ce un mal qui vo' poind Est-te vue de qui vous rend si maussade, Agité de surie ainsi qu'une ménade, Qui sent les éguillons de son Dieu qu'elle suit:
Pourſuiuez vous vn rie eſt-ce vn rien qui vous ſuit;	Poursuivez vous un rie est-ce un rien qui vous suit;
Quoy ne parlez-vous plus:	Quoi ne parlez-vous plus:
le mal qui vous affole Vous remplit-il la bouche au lieu de la parole, Pour ſçauoir voſtre mal Paris parlez à moy:	le mal qui vous affole Vous remplit-il la bouche au lieu de la parole, Pour savoir votre mal Paris parlez à moi:
Au lieu de ſentiment eſtes-vous plein d’e moy, Plein d’éauy, plein d’amour ſas voix, ni ſas haleine, Reprenez viſtre haleine, & quittez voſtie Heleine, Fuyez d’vn tel ſabiect l’eſclandicux ſouuenir, „5 Prenez le temps preſent, preuoyez l’aduenir.	Au lieu de sentiment êtes-vous plein d'e moi, Plein d'avi, plein d'amour sas voix, ni sale haleine, Reprenez vite haleine, et quittez vostie Hèleine, Fuyez d' tel sabiect l'éclandicux souvenir, „5 Prenez le temps présent, prévoyez l'avenir.
Paris.	Paris.
Quoy que ie quitte aiuſi la beaute la plus belle, Que iamais la nature ourdit ſur le modelle De ſa perſection, modelle qu’en d-ſpit De la terre & du tiel la nature rompis	Quoi que ici quitte aiusi la beauté la plus belle, Que jamais la nature ourdit sur le modèle De sa perséction, modèle qu'en dèspit De la terre et du tiel la nature rompis
Pour ſaire ſon ouurage vniq' en ſes merueilles, Eſmerueiller nos yeux, eſtouner nos aureilles, C’eſt ceſte beaute la qui me ruine d’eſmoy, Qui ſans rauiſſement me deſrobe de moy, Qui ſe rue en mon cœur plus viſte que la foudre, Plus viſte qu’vn eſclair qui ſe reduit en poudre, Que te diray ie plus ceſt la perfection, c’eſt la diuinite de mon aſſection, C’eſt moy, ce n’eſt pas moy, c’eſt vne belle imagé Qui eſſencie en ſoy mon ame & mon courage, Tout ainſi que le feu en bruſlant peu à peu Transſorine ce qu’il bruſle en ſon eſtre de ſeu.	Pour zaïre son ouvrage uniq en ses merveilles, Esmerueiller nos yeux, étouner nos oreilles, C'est cette beauté la qui me ruine d'émoi, Qui sans ravissement me dérobe de moi, Qui se rue en mon cœur plus vite que la foudre, Plus te qu'un éclair qui se réduit en poudre, Que te dira ie plus taît la perfection, c'est la divinité de mon assection, C'est moi, ce n'est pas moi, c'est une belle imagé Qui esscie en soi mon âme et mon courage, Tout ainsi que le feu en brûlant peu à peu Transsorine à peu à peu en ce être de so.
C’eſt image eſt le vent qui reſpire à ma vie, Elle n’a point d’enuie, & ſi c’eſt mon enuie, C’eſt mon contentement & ſi ce ne l’eſt pas, Elle eſt pleine de vie & pleine de treſpas, Elle eſt mon bien, mon mal, & ſi ie ne deſire, Pour eſtre biẽ-heureux qu’vn malheureux marty'e, C’eſt ce martyre-la qui me rend eſperdu Et peuſant le trouuer las!	C'est image est le vent qui respire à ma vie, Elle n'a point d'envie, et si c'est mon envie, C'est mon contentement et si ce ne l'est pas, Elle est pleine de vie et pleine de trépas, Elle est mon bien, m al, et si tu ne désire, Pour être qu'heureux qu'un malheureux marty, MARTY a ce martyre-la qui me rend éperdu Et pusant le trouver las!
ie me ſuis perda Eſgaé de ſureur, eſgaré de penſes.	Ne me suis perda Esgaé de fureur, égaré de penses.
Penſee de deſirs & d’abſence offencee, Quoy que ie quitte, Acbatte, vn ſedoux ſouuenir, Le preſeut eſt certain, baſardous l’aduenir.	Pensée de désirs et d'absence offensée, Quoi que je quitte, Acatte, un sedoux souvenir, Le presut est certain, basardous l'avenir.
Achattes.	Achattes.
Oextréme fureur qui lei cœurs enſorcelle, O mortelle douleur, ô douleur immortelle O un peu de douceur auec beaucoup d’amer O ſoucy des ſoucis que l’on aopelle aymer, O ſier contentement entre meſle d’enuic O mort que l’on ſurnomme vne ſeconde vie?	Oextréme fureur qui lei cœurs ensorcelle, Ô mortelle douleur, douleur immortelle Ô un peu de douceur auec beaucoup amer Ô soucy des soucis que on aopelle aimer, Ô Ô contentement entre mêle enuic Ô mort qui lon surnomme en seconde vie,
Mais las par quels moyẽs vous pourroit-on guerir.	Mais las par quels moie vous pourroit-on guérir.
Paris.	Paris.
Amour me peut guerir ou me faire mour ir.	Amour me peut guérir ou me faire mour ir.
Achattes.	Achattes.
fortur Voſtre amour ceſt Heleine Paris.	fortur Votre amour cet Hèleine Paris.
Il ſaut courit Sur la mer de l’amour ſur la mer de Neptune Pour voir ceſte Deeſſe ou giſt tout mon confort, Et preſerant hardy mon amour à ma mort, Doucement la rauir par vne douce priſe, Veuus mere d’amour conduit noſtre entrepriſe.	Il saut courit Sur la mer de l'amour sur la mer de Neptune Pour voir cette Déesse ou gît tout mon confort, Et preserant hardi mon amour à ma mort, Doucement la ravir par une douce prise, Veu mere d'amour conduit après entreprise.
Achattes.	Achattes.
Il faut donc amoureux & valeureux Paris Surmonté d’vn bel æil ſurmonter les peris.	Il faut donc amoureux et valeureux Paris Surmonté d'amour bel æil surmonter les péris.
Paris.	Paris.
I'ay le cœur aſſez braue, Aehatte ie t’en iure, Pour ſorcer les dangers, le ciel, & la nature, Et me promcis cela qu’vn amant ſe promet Quand amour iuſqu’à l’os ſa ſagette luy met, Il ſaut baſtir des Naus pour l’œaure que i’attéte Et tourmenter les ſlots comme amour me tourmẽte, va, vole, cours, Aehatte, arrache des ſapins Et d’vne grand cognce, aterremoy des pins.	J'ai le cœur assez brave, Aéhatte apprête t'en jure, Pour sorcer les dangers, le ciel, et la nature, Et me promis cela qu'un amant se promet Quand amour jusqu'à l'os sa sagette lui met, Il saut bâtir des Naus pour l'œaure que j'attête Et tourmenter les sots comme amour me tourmẽte, va, vole, cours, Aehatte, arrache des sapins Et d'une grand connée, aterremoi des pins.
Que le coup ſace bruit, comme on voit en autonpę L’eſclair goouder en l’air tout le ciel en reſonnt, Tourne les Pins en Naus, & qu’on voye ramer Sauter, bondir, vauguer lus Pius deſſus la mer, Pour rauir, & ne rendre ainſi que fit Theſce, Cetie beauté celeſte en mon ame embraſee, Calfeutre les vaiſſeaux, & n’y eſpargne rien.	Que le coup sa bruit, comme on voit en autonpirer L'éclair gouder en l'air tout le ciel en résonnut, Tourne les Pins en Naus, et qu'on voie ramer Sauter, bondir, vauguer lus Pius dessus la mer, Pour ravir, et ne rendre ainsi que fit Thésce, Cetie beauté celles en mon âme embrase, Calfeutre les vaisseaux, et n'y épargne rien.
» Ne faut rien eſparguer pour receuoir du bien	» Ne faut rien éparguer pour recevoir du bien
Achattes.	Achattes.
Gentil ſoldat d’amour la Nauire eſt gliſſee, Pour demarer du port, dedans l’onde perſee, Voyez l’air noir de poudre, & regardez la mer Sous la neſ boüillonner, & la riue fumir.	Gentil soldat d'amour la Navire est glissée, Pour demarer du port, dedans l'onde persé, Voyez l'air noir de poudre, et regardez la mer Sous la nés boüillonner, et la rive fumir.
Deſguainez voſtre eſpee, & d’vne ſorce graude Coupez ſans plus tarder d’vn reuers la commande, 25 Le temps ſe peut ebager, & la ſemme eſt touſiours », Legere en toute choſe, & ſur tout en amours.	Déguainez votre espée, et d'une sorce gravde Coupez sans plus tarder d'un revers la commande, 25 Le temps se peut ébager, et la semme est toujours ", Légère en toute chose, et sur tout en amours.
Paris.	Paris.
Deïtez de la mer ſoyez-moy ſauorables, Si Dieu eſt fauorable aux bommes miſerables, Ne tourmentez ma nef de ſlots impetueux, Et vous Sye thes auſſi aux recours fluctueux Sous vn eſcueil marin ou l’onde ſe reuire Ne froiſſez en cent parts les flancs de mon nauire I’immole en voſtre bonneur à la riue de l’eau, Pour ſecõder mes vœus, le grãd corps d’vn Taureau, Et toy grande Venus Deeſſe gracieuſe.	Deïtez de la mer soyez-moi savorables, Si Dieu est favorable aux bommes misérables, Ne tourmentez ma nef de slots impétueux, Et vous Sye très aussi aux recours fluctueux Sous un écueil marin ou l'onde se révire Ré froissez en cent parts les flancs de mon navire J'immole en votre bonneur à la rive de l'eau, Pour secéder mes vœus, le grand corps d'un Taureau, Et toi grande Venus Déesse grâces.
Guide ma Veſ qui ſlotte, & mon ame amoureuſe, Tu vois bien mon deſſein brauement aduancé entuon de daminm tognarſant le paſſe.	Guide ma Ves qui slotte, et mon âme amoureuse, Tu vois bien mon dessein bravement avancé entuon de daminm onnarsant le passe.
LE CHOEVR.	LE CHOEUR.
V'amour eſt vne douleur viue, Qraiſant mourir la choſe viue Pour puis apres la r’animer:	V'amour est une douleur vive, Qraisant mourir la chose vive Pour puis après la ranimer:
Qu’amour eſt vne choſe eſtrange Faiſant d’vn Chaos de Meſlange Vne beaute qu’on nomme aymer Qu’amour a ſur nous de puiſſance Nous aſſeurant d’vne inconſtance, Et nous guidont dans des erreurs Il trompe comme de couſtums Preſentant beaucoup d’amertume, Et donnant bien peu de douceurs.	Qu'amour est assez chose étrange Faisant d'un Chaos de Mêlange Vaine beauté qu'on nomme aimer Qu'amour a sur nous de puissance Nous assurant d'une inconstance, Et nous guidont dans des erreurs Il trompe comme de coutums Prentant beaucoup d'amertume, Et donnant bien peu de douceurs.
Depuis que ceſte folle rage Se rend maiſtreſſe du courage Elle l’eſclaue en ſa priſon, Et pour mieux ſeduire noſtre ame, Elle remplit noſtre œil de ſtlamme, Et obſeurcit noſtre raiſon.	Depuis que cette folle rage Se rend maîtresse du courage Elle l'esclave en sa prison, Et pour mieux séduire notre âme, Elle remplit notre œil de stlamme, Et obseurcit notre raison.
La pauure femme de Sichee En amour toute deſſechee Eſtoui-ce qu’elle n’eſtoit pas, Car apres qu’icelle euſt perduë Par l’amour l’eſprit & la veuë Perdit l’ame par le treſpas.	La pauvre femme de Siche En amour toute desséchée Étoui-ce qu'elle n'était pas, Car après qu'icelle eût perdue Par l'amour l'esprit et la vue Perdit l'âme par le trépas.
N’allons cercher noſtre miſere Dedans vne cendre eſtrangere, Parĩ nous ſournit d’argument, Il va tramant noſtre deſtreſſe, Et pour vn comble de triſteſſe Nous fait voir ſon aueuglement.	N'allons cercher votre misère Dedans une cendre étrangère, Par1 nous sournit d'argument, Il va tramant notre détresse, Et pour un comble de tristesse Nous fait voir son aveuglement.
Helas!	Hélas!
me ſemble que i’augure Sa ſaute & noſtre mort ſuture Dure & triſte prediction, D’horreur i’ay l’ame toute pleine, Nous voyant auoir tant de prine, D'auoir ſi peu d’aſſection.	me semble que j'augure Sa saute et notre mort suture Dure et triste prédiction, D'horreur j'ai l'âme toute pleine, Nous voyant avoir tant de prine, D'avoir si peu d'assection.
Quelle bameur cruelle & ſentre Te tait ourdir contre ton pere Tant de maux enſant ſans pitié, Que ſi tu as dedans ton ame Pour toy vne amoureuſe ſlamme, Ayés pour luy de l’amitié.	Quelle bameur cruelle et sentre Te ait ourdir contre ton père Tant de maux ensant sans pitié, Que si tu as dedans ton âme Pour toi était amoureuse slamme, Ayez pour lui de l'amitié.
O deſtin doux & pitoyable, Secourez ce Roy miſcrable, Qu’amour veut reudre malheureux.	Ô destin doux et pitoyable, Secourez ce Roi miscrable, Qu'amour veut revdre malheureux.
Et deſtournez voſtre colere, Et comblez le ſits de miſere, Rendant le perebien-beureux.	Et détournez votre colère, Et comblés le sits de misère, Rendant le pèrebience.
ACTE III.	ACTE III.
Paris.	Paris.
Heleine.	Hèleine.
Paris.	Paris.
’Ay vogué ſur les eaux d’amour & de Neptune, TTourmenté de Junon, battu de la ſortune, I'ay couru les dangers des Cieux & de la mer, Et i’ay cerchant l’aymer, trouué beaucoup d’amer, Forcé de ta beaute i’ay ſorce la Nature, Mon Dieu que peut ſur nous la belle creature, Car l’ire de la mer, & la fureur des Cieux N’ont peu ſlechir mon cœur amoureux de ies yeux, Neptun bouſſant en l’ame orageoit mon Nauire, L’onde, ſtot deſſus flot ſe roule & ſe reuire, Rompt les ais de ma nef, comme vn canon plantô Breſche de grand' ſureur les murs d’vne Cité.	Ay vogué sur les eaux d'amour et de Neptune, TTourmenté ne Junon, battu de la sortune, J'ai couru les dangers des Cieux et de la mer, Et j'ai cerchant l'aimer, trouvé beaucoup d'amer, Forcé de ta beauté j'ai sorce la Nature, Mon Dieu que peut sur nous la belle créature, Car l'ire de la mer, et la fureur des Cieux N'ont peu sléchir mon cœur amoureux de jes yeux, Neptun boussant en l'âme orageait mon Nauire, LAvire, L' dessus flot s' elle et se roule, Et se ais ré ma nef, comme un can plantô Bresche de grand' sureur les murs Cité.
Iunon par vn deſpit de la pomme perduë Pour ne perdre en la mer pendoit deſſus la nuë Forgeoit des traicts de feu, les lancoit de ſes mains, Mes nauſs bruſloyent de ſeu & elle de deſdains Les vens d’autre coſlé d’vne gorge beante Siſſtant & magiſſant augmentoyent la tourmenté, Brouilloyent tout l’Ocean, & les flois irritez Se guidoyent peſle meſle aux aſtres deſpitez Mais moy braue de cœur ie roidis la poitrine Contre les cruautez de l’ondeuſe marine, Demeurant roide & ſerme ainſi que ſait ſouuent Vn rocher au riuage, aux orages du vent.	Junon par un dépités de la pomme perdue Pour ne perdre en la mer pendait dessus la nue Forgeait des traits de feu, les lançait de ses mains, Mes nauss brûlaient de seu et elle dé dédains Les vents d'autre coslé d'une gorge béante Sisstant et magissant augments la tourmenté, Brouillaient tout l'Océan, et les flamme irrités Se guidaient pèle mêle aux astres dépitez Mais moi brave de cœur ie roidis la poitrine Contre les cruautés de l'ondeuse marine, Demeurant rude et serme ainsi que sait souuent ré au riuage, aux orages du vent.
Mais moy dy-ie ie ſuis inuicible en courage Surgi au port d’amour où reluit ion image, Phare de ma ſor tune, & ſuis venu icy.	Mais moi dis-ieois suis inuicible en courage Surgi au port d'amour où reluit ion image, Phare de ma sor tune, et suis venu ici.
Viur e ſous la beaute ou ie meurs de ſoucy?	Vivr e sous la te ou ainsi meurs de souci?
Reauté des Dieux aymee, & des Rois eſlimé, Plus b'lle par mes yeux, que par la renommee.	Reauté des Dieux aimée, et des Rois élimé, Plus b'lle par mes yeux, que par la renommée.
Heleine.	Hèleine.
Auour qu’ay-ie dûs l’ame, o Dieu que i’ay d'amox Qui me bat l’eſtomach, autugle mon beau iour, Boul’uerſe ma raiſon, me rend la fate bleſme, Comment en vn moment ne ſuis-ie plus moy-meſme Quelle poiſou ſecrette entre dedans mes os, Quel ſoin doux & cuiſant me volle le repos, Et quel eſclair ſi prompt eſclaire dans mon ameEt quel extréme froid ſi chaudement m'enſlame Quel deſtin m’acompaigne, & las!	Auour qu'ai-je dus l'âme, ô Dieu que j'ai d'amox Qui me bat l'estomac, autugle mon beau jour, Boul'uerse ma raison, me rend la fate blême, Comment en un moment ne suis-je plus moi-même Quelle poisou secrète entre dedans mes os, Quel soin doux et cuisant me volle le repos, Et quel éclair si prompt éclaire dans mon âme quel âme froid si chaudement m'enslame Quel destin m'acompagne, et las!
d’où viẽt ce ſont Que ie voy daus tes yeux les Démons de ma mort.	d'où vien ce sont Que ainsi vois daus tes yeux les Démons de ma mort.
Paris.	Paris.
Tu ne vois dant mes yeux obiect de mon enuie, Les Demons de ta mort, mais ceux la de ta vie Démõs rẽplis d’amour, qui pour nous rẽdre beureux En l'Auril de nos iours nous rendent amoureux.	Tu ne vois dant mes yeux objet de mon envie, Les Demons de ta mort, mais ceux la de ta vie Démons Remplis d'amour, qui pour nous rendre beureux En l'Ouril de nos jours nous rendent amoureux.
Si tu es eſperdue en ia propre penſee, Si tu es de mes yeux doucement offencee, Helas croy Tyudaride Heleine que pour toy, Amour rauit mon ame, & m’anime d’eſmoy, Et tant le ſens de mal de ton œil qui m’aſſolle, Qu’il faut ver ſer des pleurs, & fiuir la parole.	Si tu es éperdue en ja propre pensée, Si tu es de mes yeux doucement offense, Hélas crois Tyudaride Hèleine que pour toi, Amour ravit mon âme, et m'anime d'émoi, Et tant le sens de mal de ton œil qui m'assolle, Qu'il faut ver des pleurs, et fivir la parole.
Heleine.	Hèleine.
Mais qui es-tu qui parle, & d’où es-tu venu De quels parenses-tu, car tu mes incognu, Quel pays ta nourry en ta prcmiere enfance Et quel nom te donna le ciel à ta naiſſance Ie ue te cognois point, & mon cœur eſt lié, Ie ne ſçoy qui tu es, ou ie t’ay oublié, Serois-tu bien Theſee, ou quelqu’vn de ſa race, Lequel eſtant raui des appas de ma grace, Me rauit par amour, puis apres me rendit, Et par armes iamais ſot ne me defendit, Sot quine deuoit pas ceſle audace entreprendre, S’il ne vouloit auſſi par armes me deſendre, Non tu n’es p as Theſee ou i’ay le ſens perdu, Quoy voudrois-tu r’auoir ce que tu as rendu, Dy moy donc qui tu es, & ne me laiſſe en peine, Pour moy ie ſuis Deeſſe, & ie m’appelle Heleine.	Mais qui es-tu qui parle, et d'où es-tu venu De quels parentses-tu, car tu mes inconnue, Quel pays ta nourri en ta près enfance Et quel nom te donna le ciel à ta naissance Je ue te cognais point, et mon cœur est lié, Je ne sais qui tu es, ou ieit, oublié, Serais-tu bien Thesee, ou quelqu'un de sa race, Lequel étant raui des appas de ma grâce, Me ravit par amour, puis après me rendit, Et par armes jamais sot ne me défendit, Sot quine deuoit pas cèle audace entreprendre, 'il ne voulait aussi par le me desendre, Non tu es a Thesee ou ay le sens perdu, Quoy rais-tu pas ce que tu a rendu, m donc qui tu es, et ne me laisse en peine, Sor moiait suis Deesse, et ie pa Heleine.
Paris.	Paris.
Princeſſe de merite & de perſection, Ne penſe que ie ſois Gregeois de nation, Natif comme Theſee de Corynthe ou d’Athenes:	Princesse de mérite et de perséction, Ne pense que votre sois Grégeois de nation, Natif comme Thesee de Cornthe ou d'Athenes:
12 Mais croy que ta beauté, le gouſſre de mes peines, Ma ſait tourir la mer, ardant de voir les yeux, Furieux a bleſſer, à guerir gratieux, Ie ne ſuis pas ce Grec, ny ne voudrois pas l’eſtre Qui pour te faire, omant, ſa ſiamme recognoiſtre, Ourdit vn beau deſſcin, & ne l’acheua pas, Soit qu’il manquaſt d’amour, ou craigniſt le treſpas.	12 Mais crois que ta beauté, le goussre de mes peines, Ma sait tourir la mer, ardant de voir les yeux, Furieux a blesser, à guérir gratieux, Je ne suis pas ce Grec, ni ne voudrais pas l'être Qui pour te faire, omant, sa siamme reconnaître, Ourdit un beau desscin, et ne l'acheva pas, Soit qu'il manquât d'amour, ou craignît le trépas.
Ou bien s’il euſt pour toy quelque amour au viſage, Il n’euſt iamais pour toy d’honneur ny de courage, Ie ne ſuis pas ce Grec, ny ne le ſus iamais, Qui fit guerre à l’amour, à fin d’auoir la paix, Auec les freres tiens, ame par trop craintiue, Qui s’allumoit le cœur d’vne ſlamme trop viue.	Ou bien s'il eût pour toi quelque amour au visage, Il n'eût jamais pour toi d'honneur seule de courage, Je ne suis pas ce Grec, ni ne le sus jamais, Qui fit guerre à l'amour, à fin d'avoir la paix, Avec les frères tiens, âme par trop craintive, Qui s'allumait le cœur d'une slamme trop vive.
O amoureux Theſet, â Prince ſans amours, Tu commis en amour deux erreurs en deux iours, Erreurs qu’õ ne pourroit te pardõner ſans craindre, De violer d’amour les loys, & les enfreindre, Apres auoir rauy une telle beauté Tu la rends, ô courage amy de laſcheté, Craignant la mort que donne vne lame pointue, Et ne craignant la mort que nous donne la veue D'vn œil cruel & doux, œil doux qui fait perir Les cœurs des amoureux, & ne les fait mourir.	Ô amoureux Théset, â Prince sans amoureux, Tu commis en amour deux erreurs en deux jours, Erreurs qu'on ne pourrait te pardonner sans craindre, De violer d'amour les lois, et les enfreindre, Apres avoir ravi une telle beauté Tu la rends, ô courage ami de lâcheté, Craignant la mort que donne une lame pointue, Et ne craignant la mort que nous donne la vue D'un œil cruel et doux, œil doux qui doux qui Fait périr des amoureux, et ne les fait mourir.
Ne te ſouuient-il pas braue amoureux Theſee, (ſec Qu'Ariadne en ſes beaux yeux i’auoit l’ame tmbraEt que t’ayant donne le beau ſil de tes iours, Et rendu ton voyage beüreux par ſes amours, Que toy pour recompenſe at tainct de perfidie, L’abaudounas ſeulleite au riuage de Die:	Ne te souvient-il pas brave amoureux Thesee, (sec Qu'Ariadne en ses beaux yeux j'avait l'âme tmbraEt que t'ayant donne le beau sil de tes jours, Et rendu ton voyage béunreux par ses amours, Que toi pour récompense at taint de perfidie, L'abaudoune seulleite au rivage de Die:
Que ie ſois ce coüard, ce pipeur ce mocqueur, Pluſtoſt mille treſpas ſe logent en mon cœur?	Que homme sois ce coüard, ce pipeur ce moqueur, Plutôt mille trépas se logent en mon cœur?
Ie ſuis, rare Deeſſe, iſſu de noble race, Vn grãd Roy ma faict naiſtre, on le voit en ma face En ma garbe de Prince, & ie ſuis frere encor Du prophete Helenin & du vaillant Hector:	Je suis, rare Deesse, issu de noble race, Un grand Roi ma fait naître, on le voit en ma face En ma garbe de Prince, et et quefrère encor Du prophète Hélenin et du vaillant Hector:
Ilion eſt le lieu ou i’ay pris ma naiſſance, Et Venus a ſur moy verſe ſon iuſtuence, Ie me nomme Paris Alexandre, & Amour Ma faict perdre la veue aux rayons de ton iour.	Ilion est le lieu ou j'ai pris ma naissance, Et Venus a sur moi verse son justuence, Je me nomme Paris Alexandre, et Amour Ma fait perdre la vue aux rayons de ton jour.
Heleine.	Hèleine.
