Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
c ert que de tous ces enems, certuy:	ç cert que de tous ces enems, certui:
cy eſt le plus commode à noſtre retraite.	cy est le plus commode à notre retraite.
Cependant, pour nous deſennuyer ſcéons nous ſur ces gazons verdoyans que voylà.	Cependant, pour nous désennuyer scéons nous sur ces gazons verdoyant que voilà.
Echo là	Écho là
PHIL.	PHIL.
Mais il me ſemble que ie viens d’ouïr vne voix non gueresrloig drey me en poſſible Cleanthe qui nous appelle,	Mais il me semble que Dieu viens d'ouïr quelque voix non gueresrloig rei me en possible Cléanthe qui nous appelle,
L’OR.	L'OR.
Pour moy ie n’ois rien que le ſifflant murmure du vent.	Pour moi ici n'ois rien que le sifflant murmure du vent.
PHIL.	PHIL.
Auſſi vray c’eſt la voix naturell e d’vne perfonnne qui m’a frappé l’oreille?	Aussi vrai c'est la voix naturell est d'une perfonnne qui m'a frappé l'oreille?
vous plaiſt il que i'en face l'eſpreuue en criant tout haue comme ſi i’appellois quelqu’vn.	vous plaît il que j'en face l'épreuve en criant tout have comme si j'appelais quelqu'un.
L’OR.	L'OR.
Ie le veux Philodice.	Je le veux Philodice.
PHIL.	PHIL.
Olla, Olla, Etho, Ona.	Olla, Olla, Étho, Ona.
Le breirruls-ie vne mẽteuſe?	Le bréirruls-je une mienteuse?
n’eſt il pas vray qu’on m’a reſpondu?	n'est il pas vrai qu'on m'a répondu?
L’OR.	L'OR.
Il me le ſemble, mais recommencez pout voir ſi l’on continuera.	Il me le semble, mais recommencez pout voir si l'on continuera.
PHIL.	PHIL.
Holla, Holla, Echo, Holla.	Holla, Holla, Écho, Holla.
Eſt-ce toy Cleãthe qui vas criant Echo, riant.	Est-ce toi Cleãthe qui vas criant Écho, riant.
Ie penſe que c’eſt quelqu’vn qui ſe rit de nous.	Je pense que c'est quelqu'un qui se rit de nous.
Toutesfois ie ne veux pas qu’on me croye iamais, ſi ce n’eſt vn cry de Cleanthe que i’ay ouy, Echo, ouy.	Toutefois rien ne veux pas qu'on me croie jamais, si ce n'est un cri de Cléanthe que j'ai oui, Écho, oui.
Vous voyez bien maintenant que ce n’eſt autre qu’elle qui s’eſt cachee derriere ce gros rocher pour nous amuſer ainſi.	Vous voyez bien maintenant que ce n'est autre qu'elle qui s'est cachée derrière ce gros rocher pour nous amuser ainsi.
En bonne foy (mauuaiſe) ſi ie te puis treuuer, tu n’auras point d’autres careſſes de moy que deux ou trois bõnes gourmades.	En bonne foi (mauvaise) si je te puis trouver, tu n'auras point d'autres caresses de moi que deux ou trois bonnes gourmades.
Mais ie ne vois icy ny Cleanthe, ny autre perſonne.	Mais ici ne vois ic y Cléanthe, ni autre personne.
O que nous voyla bien loing de noſtre conte!	Ô que nous voilà bien loing de notre conte!
Echo.	Écho.
honte.	honte.
L’OR.	L'OR.
Ouy vrayement ce nous eſt vne honte & bien grande, de n’auoir pas l’eſprit de cognoiſtre que c’eſt Echo fille de l’air, & maiſtreſſe de l’infortuné Narciſſe qui repete nos dernieres ſyllabes.	Oui vraiment ce nous est une honte et bien grande, de n'avoir pas l'esprit de connaître que c'est Écho fille de l'air, et maîtresse de l'infortuné Narcisse qui répète nos dernières syllabes.
De verité ie recognois maintenãt que les obiects, &les lieux n’õt pas peu de force pour nous remettre en memoire les choſespaſſees, car lavoix de ceſteplaintiue Amante ne faict reſſouuenir d’vn ſemblable faict qui aduint du tẽps que i’eſtois à la Royne de Cypre.	De vérité Seigneur reconnais maintenant que les objets, etles lieux n'ont pas peu de force pour nous remettre en mémoire les chosespassées, car lavoix de cesteplaintiue Ante ne fait ressouvenir d'un semblable fait qui advint du temps que j'étais à la Royaine de Cypre.
PHIL.	PHIL.
Partes m enle recit ie vous pile, li vous ne me l’auez deſia dict autresfois.	Partes m enle récit après vous pile, li vous ne me l'avez déjà dit autrefois.
L’OR.	L'OR.
Ie ne penſe pas vous en auoir iamais faict le compte.	Je ne pense pas vous en avoir jamais fait le compte.
Car lors de cet euenement nous n’eſtions point encore enſemble.	Car lors de cet événement nous n'étions point encore ensemble.
PHIL.	PHIL.
Si c’eſt choſe qui ne vous importe ie vous Iupplie de recher de me la raconter.	Si c'est chose qui ne vous importe je vous Jupplie de recher de me la raconter.
Nous en paſſerons le temps auec moins d’ennuy, attendant le retour de Cleanthe.	Nous en passerons le temps avec moins d'ennui, attendant le retour de Cléanthe.
L’OR.	L'OR.
I’en ſuis contẽte, pour l’amour de vous:	J'en suis compte, pour l'amour de vous:
mais auant que paſſer outre ie veux que vous me promettiez dene dire mot à perſonne, parce que cette hiſtoire me touche, & il me ſuffit que vous ſoyez la ſeule qui l’aprenne par mon moyen.	mais avant que passer outre ie veux que vous me promettiez dene dire mot à personne, parce que cette histoire me touche, et il me suffit que vous soyez la seule qui l'apprenne par mon moyen.
PHIL.	PHIL.
Aſſeurez vous que ie ſerois fachee d’en auoir iamais parlé, puis que vous le deſirez ainſi.	Assurez vous que ici serais fâchée d'en avoir jamais parlé, puis que vous le désirez ainsi.
L’OR.	L'OR.
I’auois eſté deſià deux ou trois mois au ſeruice de la Royne de Cypre du nombre de ſes autres Damoiſelles, lors qu’vn ieune gentilhõme nommé Caliſthene ( qui ne cedoit à nul autre des courtiſans, ny en merite ny en valeur) ſe donna de viues atteintes d’amour à mon occaſiõ, qu’il voyoit en moy ſeule l’abregé de tous ſes deſirs.	J'avais été déjà deux ou trois mois au service de la Royne de Cypre du nombre de ses autres Damoiselles, lors qu'un jeune gentilhomme nommé Calisthène ( qui ne cédait à nul autre des courtisans, ni en mérite a en valeur) se donna de vives atteintes d'amour à mon occasion, qu'il voyait en moi seule l'abrégé de tous ses désirs.
Mais ce pauure Amant n’eut iamais l’aſſeurance de me decouurir ſa paſſion, ſoit pour l’inegalité qu’il y auoit de ſa maiſon à la mienne, ou de peur que ſon Amour s’eſleuant trop haut ne le rendiſt coulpable enuers moy de mocquerie & de preſomption.	Mais ce pauvre Amant n'eût jamais l'assurance de me découvrir sa passion, soit pour l'inégalité qu'il y avait de sa maison à la mienne, ou de peur que son Amour s'élevant trop haut ne le rendît coulpable envers moi de moquerie et de présomption.
Il ſe repreſentoit d’ailleurs (comme ie l’ay ſçeu depuis d’vn ſien Amy) que mon aage encore tendre me diſpenſoit d’aimer, outre que mon humeur n’y conſentoit que tres-volõtiers.	Il se représentait d'ailleurs (comme ici l'ai su depuis d'un sien Ami) que mon âge encore tendre me dispensait d'aimer, outre que mon humeur n'y consentait que très-volõtiers.
Neãtmoins tous ces obſtacles n’empeſchoiẽt pas qu’il ne fit pour moy tout ce qu’vn loyal ſeruiteur peut faire pour ſa maiſtreſſe, afin queſes actiõs fuſſent autant de teſmoignages du ſeruice qu’il m’auoit voüé.	Néanmoins tous ces obstacles n'empêchaient pas qu'il ne fit pour moi tout ce qu'un loyal serviteur peut faire pour sa maîtresse, afin ques actions fussent autant de témoignages du service qu'il m'avait voüé.
Mais comme ie n’auois iamais appris l’art d’aimer, ny deſiré d’en ſçauoir des leçõs, i’attribuois à ſa ſeule courtoiſie tout ce reſpect qu’il me portoit ſans y eſtre obligé.	Mais comme ici n'avais jamais appris l'art d'aimer, ni désiré d'en savoir des leçõs, j'attribuais à sa seule courtoisie tout ce respect qu'il me portait sans y être obligé.
Nõ que ie veüille nier, Philodice, qu’il n’y euſt pour lors en mon fait vn peu trop de naifueté.	Nomme que ici veuille nier, Philodice, qu'il n'y eût pour lors en mon fait un peu trop de naifueté.
Car quelque reſolutiõ que i’aye iamais faite de n’aimer pas, ie ſçay bien que ſi i’euſſe eſté de ce temps là ce que ie ſuis à preſent, ie me fuſſe aiſement aperceüe qu’il y auoit de l’extreme en l’amour de ce Caualier.	Car quelque résolution que j'aie jamais faite de n'aimer pas, tu sais bien que si j'eusse été de ce temps là ce que je suis à présent, je me fusse aisément aperçue qu'il y avait de l'extrême en l'amour de ce Cavalier.
Il m’en donnoit des indices trop apparens, par les occaſions qu’il recerchoit, de me voir & de me ſeruir.	Il m'en donnait des indices trop apparents, par les occasions qu'il recerchoit, de me voir et de me servir.
Ainſi il faiſoit publier à ſes actions ce qu’il nen’oſoit dire luy meſme de viue voix, ſans ſe mettre au hazard d’eſtre refuſé:	Ainsi il faisait publier à ses actions ce qu'il nen’osait dire lui même de vive voix, sans se mettre au hasard d'être refusé:
Neantmoins ie me ſuis figuré depuisqu’il preferoit tout reſpect au deſir de me complairre pour m’inuiter taciteſe trouuaſt, ſi par forme d’entretien l’on debattoit du merite & de la beauté des filles de la Cour, il m’en deferoit touſiours les premieres palmes, & ce que i’eſtime encore le plus, c’eſt que ſi quelqu’vn vouloit dire qu’il y en auoit de plus belles que moy, il prenoit la parole tout auſſi toſt, & meſme s’offroit d’en venir aux mains pour ſouſtenir Ie contraire.	Néanmoins raison me suis figuré depuisqu'il préferait tout respect au désir de me complairre pour m'inviter tacitese trouvât, si par forme d'entretien l'on débattait du mérite et de la beauté des filles de la Cour, il m'en déferait toujours les premières palmes, et ce que j'estime encore le plus, c'estime encore le quelqu’un voulait dire qu'il y en avait de plus belles que moi, il prenait la parole tout aussi tôt, et même s'offroit d'en venir aux mains pour soutenir Je contraire.
Or d’autant que l’amant ſe trãsforme, comme l’on dict, en la choſe aymee, de laquelle il s’imprime en l’intellectlés affections &les habitudes, Caliſtene ayant apris d’vne mienne compagne que i’aymois fort les vers, il fit pluſieurs Stances & chanſons amoureu ſes à ma loüange.	Or d'autant que l'amant se transforme, comme l'on dit, en la chose aimée, de laquelle il s'imprime en l'intellectlés affections etles habitudes, Calistène ayant appris d'une mienne compagne que j'aimais fort les vers, il fit plusieurs Stances et chansons amoureu ses à ma louange.
Mais pour tombet ſur le ſuject qui me fait raconter ceſte hiſtoire, ce mien Amant, deux de mes Compagnes & moy nous pourmenions vn iour dans vn beau iardin, où l’Echo ne manque iamais de reſpõdre à ceux qui ſe plaiſent à ſes repliques, bõ Caliſthene m’oyãt dire fortuitemẽt, que ie prenois vn merueilleux plaiſir, ſi quelqu’vn chantoit deuant elle, ou bien s’il recitoit des vers auſquels elle reſpond d’ordinaire par la derniere ſyllabe des rimes;	Mais pour tombet sur le sujet qui me fait raconter cette histoire, ce mien Amant, deux de mes Compagnes et moi nous pourmenions un jour dans un beau jardin, où l'Écho ne manque jamais de répondre à ceux qui se plaisent à ses repliques, bien Calistene m'oyãt dire fortuitement, que ie prenois un merveilleux plaisir, si quelqu'un chant deuant elle, ou bien s'il récitait des vers ausquels elle répond d'ordinaire par la dernière syllabe des rimes;
il ne manqua pas trois ou quatre iours apres que nous retournaſmes au meſme lieu, d’y faire des vers qu’il recita luy meſme en forme de pleinte:	il ne manqua pas trois ou quatre jours après que nous retournâmes au même lieu, d'y faire des vers qu'il récita avait avait en forme de pleinte:
& par ce qu’ils me ſemblent aſſez bien, faicts, ie m’en vay les dire deuant cette Echo que voicy, pour voir ſi elle y repartira.	et par ce qu'ils me semblent assez bien, faits, Elle m'en vais les dire devant cette Écho que voici, pour voir si elle y répartira.
ECHO.	ECHO.
*TOy qui vis ſolitaire és antres plus ſauuages, ISur les riues des eaux, parmi les verdsboccages, Ou dans les creux rochers, pleignant iournellement, Les dedaings orgueilleux, & le cruel tourment, Que te feiſt endurer le beau fils de Cephiſe Dont tu fûs, mais en vain, trop ardemment eſpriſe, Reſponds moy maintenant que ie ſents en mon cœur Comme tu l’as ſenty, le traict d’Amour vaincœur;	*TOy qui vis solitaire ès antres plus sauvages, ISur les rives des eaux, parmi les verdsboccages, Ou dans les creux rochers, pleinant journellement, Les dédains orgueilleux, et le cruel tourment, Que te feist endurer le beau fils de Céphise Dont tu fus, mais en vain, trop ardemment éprise, Responds moi maintenant que votre sents en mon cœur Comme tu l'as senti, le trait d'Amour vaincœur;
Mais helas!	Mais hélas!
differant, car ſi tu feis entendre Ton mal à ton Amant, moy ie n’oſe entreprendre De raconter le mien à la ieune beauté Qui tient en ſes priſons ma chere liberté.	différant, car si tu feis entendre Ton mal à ton Amant, moi tu n'ose entreprendre De raconter le mien à la jeune beauté Qui tient en ses prisons ma chère liberté.
Tant i’ay de peur helas!	Tant j'ai de peur hélas!
que poßible elle n’vſe D’vn rigoureux meſpris, ou qu'elle me refuſe, Echo ſois moy propice, & me conſeille vn peu, Si ie dois librement luy decouurir mon feu, Ou plustost le cacher, ou patient, attendre Que la longueur du temps le luy face comprendre, Deeſſe dy le moy;	que pouvible elle n'une D'un rigoureux mépris, ou qu'elle me refuse, Écho sois moi propice, et me conseille un peu, Si pleins dois librement lui découvrir mon feu, Ou plutôt le cacher, ou patient, attendre Que la longueur du temps le lui face comprendre, Déesse dis le moi;
car on tient qu’autres fois Les Amans ont treuué prophetique ta voix;	car on tient qu'autres fois Les Amants ont trouvé prophétique ta voix;
Meſme quand la fortune a troublé leur penſee De mainte affliction ſur leur chef eſlencée, Chetif que dois-ie faire, afin de m’acquerir Cette ieune beauté, qui las!	Même quand la fortune a troublé leur pensée De mainte affliction sur leur chef eslencée, Chétif que dois-je faire, afin de m'acquérir Cette jeune beauté, qui las!
mefait meurir?	méfait meurir?
mourir Mourir!	mourir Mourir!
ie meurs außi, car en penſant en elle, Mon ame va quitant ceſte priſon mortelle, Et s’attache à ſes yeux, ſans reuenir à moy, De ſorte que n'eſtant qu'vn ſpectre plein d'effroy.	Elle meurs aussi, car en pensant en elle, Mon âme va quitant cette prison mortelle, Et s'attache à ses yeux, sans revenir à moi, De sorte que n'étant qu'Un spectre plein d'effroi.
Ie n’ay rien que la voix qui lamente ſans ceſſe, ceſſe.	Je n'ai rien que la voix qui lamente sans cesse, cesse.
Quoy?	Quoi?
que ie ceſſe Echo?	que ici cesse Écho?
la cruelle triſteſſe, Qui m’aſſaut nuict & iour, ne me le permet pas, Et ſa rigueur me pouſſe à l’extreme treſpas, Pourquoy non?	la cruelle tristesse, Qui m'assaut nuit et jour, ne me le permet pas, Et sa rigueur me pousse à l'extrême trépas, Pourquoi non?
ſi ie ſuis fruſtré de l’eſperance D’auoir de mon deſir iamais la iouyſſance?	si ici suis frustré de l'espérance D'avoir de mon désir jamais la jouissance?
Car le cœur de Madame eſt par trop endurcy, Et ie ne m’attends pas de le voir adoucy.	Car le cœur de Madame est par trop endurci, Et tu ne m'attends pas de le voir adouci.
pas ſi O Dieux!	pas si Ô Dieux!
que me dis-tu Nymphe, te dois-je croire?	que me dis-tu Nymphe, te dois-je croire?
Qui ſera le motif d’vn bienfaict ſi notoire?	Qui sera le motif d'un bienfait si notoire?
Serõt-ce les peſtis, les hõmes, ou les pieux, les pieux I’iray donc publiant leur grandeur en tous lieux, Puis qu’ils prennent le ſoing de reſſouder ma playe.	Seront-ce les pétis, les hommes, ou les pieux, les pieux J'irai donc publiant leur grandeur en tous lieux, Puis qu'ils prennent le soin de ressouder ma plaie.
Mais ce que tu me dis, eſt-ce vne choſe vraye?	Mais ce que tu me dis, est-ce une chose vraie?
vraye L’eſpoir de poſſeder ce precieux threſor Adoucit ma langueur & me conſole encor.	vraie L'espoir de posséder ce précieux trésor Adoucit ma langueur et me console encor.
Attendant ce temps là qu’eſt-ce qu’il me faut ſaire?	Attendant ce temps là qu'est-ce qu'il me faut zaïre?
Dois-je parler d’Amour (ô Deeſſe) ou me taire?	Dois-je parler d'Amour (ô Déesse) ou me taire?
taire Et bien ie me tairay, puis que tu l’as enjoint;	taire Et bien Dieu me tairai, puis que tu l'as enjoint;
Mais mon ſilence außi ne me nuira t’il point?	Mais mon silence aussi ne me nuira -t-il point?
point Du ſort imperieux le Iugement ſeuere.	point Du sort impérieux le Jugement sévère.
Quel terme a t’il prefix à ce bien que i’eſpere?	Quel terme a -t-il préfix à ce bien que j'espère?
Pour atteindre à ce but, combien faut-il de mois, Ou pluſtoſt cõbien d’ans, dy viſte, deux ou trois, trois Trois ans !	Pour atteindre à ce but, combien faut-il de mois, Ou plutôt compien d'ans, dis vite, deux ou trois, trois Trois ans !
ô que c’eſt peu, pour vn bien tant aimable, Et qui n’a rien icy qui luy ſoit comparable.	ô que c'est peu, pour un bien tant aimable, Et qui n'a rien ici qui lui notre comparable.
Belle Nymphe des bois ie m’offre librement D’attendre & de ſeruir comme vn loyal Amant.	Belle Nymphe des bois était m'offre librement D'attendre et de servir comme un loyal Amant.
Außi le ferme nœud d’vn ſeruice fidele.	Aussi le ferme nœud d'un service fidèle.
Peut lier par Amour la beauté plus rebelle.	Peut lier par Amour la beauté plus rebelle.
Mais puis qu’il eſt ainſi que ie quitte ce lieu, Pour m'en aller ailleurs, Nymphede l’air adieu, adieu	Mais puis qu'il est ainsi que ie mite ce lieu, Pour m'en aller ailleurs, Nymphede l'air adieu, adieu
PHIL.	PHIL.
Voila des vers qui me plaiſent fort, & ie vous aſſeure que leur autheur merite bien d’auoir vne place entre les plus beaux eſprits de ſon temps.	Voilà des vers qui me plaisent fort, et je vous assure que leur auteur mérite bien d'avoir une place entre les plus beaux esprits de son temps.
Mais continuez ie vous prie, de me raconter quelle fut la fin de cette granue amour que vous dites qu’il vous portoit?	Mais continuez Dieux vous prie, de me raconter quelle fut la fin de cette granue amour que vous dites qu'il vous portait?
L’OR.	L'OR.
Il aduint qu’vn Seigneur auquel il appartenoit & de qui dependoit toute ſa fortune, eut querelle auec vn Grand de la Cour, d’où s’enſuiuit par rencontre la mort du Caualier que le Maiſtre de Calliſthene auoit pour aduerſe partie:	Il advint qu'un Seigneur auquel il appartenait et de qui dépendait toute sa fortune, eut querelle avec un Grand de la Cour, d'où s'ensuivit par rencontre la mort du Cavalier que le Maître de Calisthène avait pour adverse partie:
Cet accident fut l’orage contraire qui porta le pauure Caliſthene auec ſon Seigneur en vne terre eſtrangere, pour y viure tous deux exempts de la peine que les loix ont eſtablie contre les duels.	Cet accident fut l'orage contraire qui porta le pauvre Calisthène avec son Seigneur en une terre étrangère, pour y vivre tous deux exempts de la peine que les lois ont établie contre les duels.
PHIL.	PHIL.
Il laloit donc que ce seigneur n’euſt pas beaucoup de faueur à la Cour, puis qu’apres le coup faict il auoit plus de recours à la fuitte qu’au pourchas d’vne remiſſion.	Il lalait donc que ce seigneur n'eût pas beaucoup de faveur à la Cour, puis qu'après le coup fait il avait plus de recours à la fuite qu'au pourchas d'une rémission.
L’OR.	L'OR.
Pardonnez moy, Philodice, le MaiItre de Garneirene ne mariquore iy de credit ny d’amis.	Pardonnez -moi, Philodice, le MaiItre de Garneirène ne mariquore ji de crédit ni d'amis.
Mais aucun n’oſoit s’employer pour luy, d’autant que le defunct eſtoit l’homme du monde, que le Roy cheriſſoit le plus.	Mais aucun n'osait s'employer pour lui, d'autant que le défunt était l'homme du monde, que le Roy cherissoit le plus.
PHIL.	PHIL.
C’eſt vne eſtrange reuolution que celle des affaires du monde!	C'est une étrange révolution que celle des affaires du monde!
Vrayement voilà qui me fait pitié, Mais le pauure Caliſthenę ne prit-il point congé de vous auant que partir?	Vraiment voilà qui me fait pitié, Mais le pauvre Calisthency ne prit-il point congé de vous avant que partir?
L’OR.	L'OR.
O qu’il n’auoit garde d’y manquer!	Ô qu'il n'avait garde d'y manquer!
& il faut que ie vous die qu’encore qu’en vn ſubjet ſi funeſte il y euſt de quoy pleurer, neantmoins ie ne puis tenir le rire toutes les fois que ie penſe à la plaiſante inuẽtion qu’il treuua pour me venir dire adieu.	et il faut que je vous die qu'encore qu'en un sujet si funeste il y eût de quoi pleurer, néanmoins assez ne puis tenir le rire toutes les fois que sans pense à la plaisante inuẽtion qu'il trouva pour me venir dire adieu.
Sçachez Philodice, que n’oſant ſe monſtrer en public (parce qu’il auoit aſſiſté ſon Maiſtre, lors qu’il tua le Seigneur duquel ie vous ay parlé) il s’en vint à moy deguiſé de l’habit & de tout l’attirail d’vn portefaix.	Sachez Philodice, que n'osant se montrer en public (parce qu'il avait assisté son Maître, lors qu'il a le Seigneur duquel il vous ai parlé) il s'en vint à moi déguisé de l'habit et de tout l'attirail d'un portefaix.
Carpour mieux iouër sõ perſonnage, il feignoit d’eſtre venu là expres, pour charger & porter dãs les Chariots quelques hardes des filles de la Reine, qui eſtoit pour lors ſur ſon depart de Famagouſte à Nicoſie, où elle deuoit ſejourner quelque temps.	Carpour mieux jouer sa personnage, il feignait d'être venu là exprès, pour charger et porter dans les Chariots quelques hardes des filles de la Reine, qui était pour lors sur son départ de Famagoute à Nicosie, où elle devait séjourner quelque temps.
Caliſthene ſe pourmenoit en cet equipage dans la Cour du Palais, ayant la face vn peu plus noire que de couſtume, vn chapeau bas de forme, large en circonference, & qui ſe retrouſſoit à replis, vne grãde jaquette de toile noire, cõme s’il euſt porté le dueil, des crochets ſur ſon dos, & vn baſton en main, pour mieux contrefaire le naturel, lors que fortuitement, & à ſon grand aduantage, ie mis la teſte hors vne feneſtre.	Calisthène se pourmenait en cet équipage dans la Cour du Palais, ayant la face un peu plus noire que de coutume, un chapeau bas de forme, large en circonférence, et qui se retroussait à replis, une grande jaquette de toile noire, comme yil eût porté le deuil, des crochets sur son dos, et un bâton en main, pour mieux contrefaire le naturel, lors que fortuitement, et à son grand aduantage, avait mis la tête hors une fenestre.
Ce que voyant Caliſthene ( qui auoit touſ-jours l’œil au guet & le cœur en haut ) il me recogneut tout auſſi toſt, & accourut à moy.	Ce que voyant Calisthène ( qui avait tousjours l'œil avait guet et le cœur en haut ) il me reconnut tout aussi tôt, et accourut à moi.
Et parce que noſtre Gouuernante & mes compagnes auſſi ne penſoient à rien moins qu’à cette ruſe de Caliſthene, qu’ils prenoient pour vn porte-faix, le temps & le loiſir luy permirent de faire cette harangue à huis clos, ou, ſi ie ne me trompe, entre les deux portes.	Et parce que notre Gouvernante et mes compagnes aussi ne pensaient à rien moins qu'à cette ruse de Calisthène, qu'ils prenaient pour un porte-faix, le temps et le loisir Seigneur permirent de faire cette harangue à huis clos, ou, si grande ne me trompe, entre les deux portes.
Ie rends graces aux Dieux, Belle Nymphe, de ce qu’au milieu des flots qui m’agitent, ils m’eſclairent encore vne fois de la celeſte lumiere de voſtre veuë, pour diſſiper le plus fort de mes ennuis qui naiſſoient en moy d’vne impatience, & d’vn extreme deſir que i’auois de vous dire ces dernieres paroles.	Je rends grâces aux Dieux, Belle Nymphe, de ce qu'au milieu des flots qui m'agitent, ils m'éclairent encore une fois de la céleste lumière de votre vue, pour dissiper le plus fort de mes ennuis qui naissaient en moi d'une impatience, et d'un extrême désir que j'avais de vous dire ces dernières paroles.
Ie ſuis l’infortuné Caliſthene, qui deguiſé, çomme vous voyez, de l’habit d’vn faquin, & trauaillé de regrets vous viens dire adieu, pour m’en aller à la ſuitte de mon Seigneur en quelque contree du monde, où le deſtin, ſoit fauorable ou contraire, me portera.	Je suis l'infortuné Calisthène, qui déguisé, çomme vous voyez, de l'habit d'Han faquin, et travaillé de regrets vous viens dire adieu, pour m'en aller à la suitte de mon Seigneur en quelque contrée du monde, où le destin, soit favorable ou contraire, me portera.
Il ne faut pas que vous doutiez, ( belle Nymphe) que la peur d’eſtre reconnu, a tenu fort long temps en branſle ma reſolution & ma volonté, auant que vous venir voir.	Il ne faut pas que vous doutiez, ( belle Nymphe) que la peur d'être reconnu, a tenu fort long temps en branle ma résolution et ma volonté, avant que vous venir voir.
Mais en fin Ie ſeruice que ie vous ay voüé de tout temps, a plus eu de pouuoir, ſur moy, que l’apprehenſion de la mort.	Mais en fin Je service que après vous ai vengé de tout temps, a plus eu de pouvoir, sur moi, que l'appréhension de la mort.
Ouy, ma bellę, il eſt vray, ie fais trophee de vous dire derechef, Que toutes morts me ſont bonnes, pourueu qu’elles rendent teſmoignage que par les loix du deuoir ie cheris plus vos vertus que ma vie.	Oui, ma bellę, il est vrai, je fais trophée de vous dire derechef, Que toutes morts me sont bonnes, pourvu qu'elles rendent témoignage que par les lois du deuoir ainsi chéris plus vos vertus que ma vie.
Toutesfois parce que ie preuoy que cette inexorable pourroit bien m’attaquer à preſent, non pour vn ſi honorable ſubject, mais pluſtoſt par vn malheur de fortune & pour auoir eſté fidele, ie deſire de gauchir à ſon traict le mieux qu’il me ſera poſſible.	Toutefois parce que ainsi preuoi que cette inexorable pourrait bien m'attaquer à présent, non pour un si honorable sujet, mais plutôt par un malheur de fortune et pour avoir été fidèle, je désire de gauchir à son trait le mieux qu'il me sera possible.
Voilà ce qui me ſepare de vous ( mon Aſtre.	Voilà ce qui me sépare de vous ( mon Astre.
Voilà ce qui m’exile de voſtre douce preſence.	Voilà ce qui m'exile de votre douce présence.
Voilà ce qui me chaſſe helas!	Voilà ce qui me chasse hélas!
de cette contree, pour me confiner auec mon Seigneur en vne terre eſtrangere.	de cette contrée, pour me confiner avec mon Seigneur en une terre étrangère.
Adieu donques, ma belle Nymphe, adieu l’vnique ſoulas qui me reſte parmy tant d’afflictions.	Adieu donc, ma belle Nymphe, adieu l'vnique soûlas qui me reste parmi tant d'afflictions.
Adieu ma tutelaire Deeſſe, Adieu le ſainct Aſyle où i’eſpere adreſſer mes vœux.	Adieu ma tutélaire Déesse, Adieu le saint Asile où j'espère adresser mes vœux.
Viuez heureuſe, tandis que ie m’en vay yiure le plus miſerable de tous les Mortels.	Vivez heureuse, tandis que personne m'en vais yivre le plus misérable de tous les Mortels.
Ne perdez pas ie vous prie le ſouuenir de mon nom, pendant que i’oublieray toutes choſes, pour conſeruer celuy de voſtre merite.	Ne perdez pas assez vous prie le souvenir de mon nom, pendant que j'oublierai toutes choses, pour conserver celui de votre mérite.
Et s’il aduient que dans peu de temps quelqu vn vous face le recit de ma mort, ne craignez point de proferer ces paroles:	Et s'il advient que dans peu de temps quelqu vn vous face le récit de ma mort, ne craignez point de proférer ces paroles:
la parque s’eſt ſeruie de la ſeule abſence de l’Oreade, pour faire mourir Caliſthene.	la parque s'est servie de la seule absence de l'Oreade, pour faire mourir Calisthène.
Ce diſant, les larmes luy coulerent des yeux en ſi grande abondance, & ſes ſouſpirs entrecoupés de ſanglots luy houcherent tellement le paſſage à ſa voix, qu’il en tumba tout eſuanouy.	Ce disant, les larmes lui coulèrent des yeux en si grande abondance, et ses soupirs entrecoupés de sanglots lui houchèrent tellement le passage à sa voix, qu'il en tumba tout esuanouy.
Peu apres qu’il fut reuenu à ſoy, il reprit vn peu ſon haleine, &me dit en me regardant.	Peu après qu'il fut revenu à soi, il reprit un peu son haleine, etme dit en me regardant.
Adieu derechef (ma belle Oreade ) Permettez ię vous prie anant que ie parte, que i’aye l’honneur de baiſer vos belles mains, qui mieux que celles des Sœurs Filandieres, peuuent alonger ou couper le fillet de ma vie.	Adieu derechef (ma belle Oreade ) Permettez ici vous prie anant que sans parte, que j'aie l'honneur de baiser vos belles mains, qui mieux que celles des Sœurs Filandières, peuvent alonger ou couper le sillet de ma vie.
Là deſſus il prit mes deux mains, & les baiſa d’vne bouche toute humectee des pleurs qui luy noyoient le viſage.	Là -dessus il prit mes deux mains, et les baisa d'une bouche toute humecte des pleurs qui lui noyaient le visage.
Il partit alors ſans plus long delay, & meſme ſans me donner preſque loiſir de luy dire ce peu de mots pour reſponſe.	Il partit alors sans plus long délai, et même sans me donner presque loisir de lui dire ce peu de mots pour réponse.
Adieu Caliſthene;	Adieu Calisthène;
le Ciel vous veuïlle touſiours conſeruer, en quelque part du monde que vous ſoyez.	le Ciel vous veuille toujours conserver, en quelque part du monde que vous soyez.
PHILOD.	PHILOD.
Ceſte hiſtoire de Caliſthene m’a ſemblé ſi lamentable, que vous l’oyant reciter, i’en ay eu la larme à l’œil trois ou quatre fois.	Cette histoire de Calisthène m'a semblé si lamentable, que vous l'oyant réciter, j'en ai eu la larme à l'œil trois ou quatre fois.
Mais ie voudrois bien ſçauoir, ſi depuis qu’il vous dict adieu, vous n’en auez point ouy de nouuelles?	Mais ici voudrais bien savoir, si depuis qu'il vous dit adieu, vous n'en avez point oui de nouvelles?
