AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
14 Si malgré cet objet qui vous a pû ſurprendre, Prince, vous me rendez ce que vous devez rendre;	14 Si malgré cet objet qui vous a pu surprendre, Prince, vous me rendez ce que vous devez rendre;
Et ne demandez point d’autre preuve que moy Pour condãner l’erreur du trouble où je vous voy.	Et ne demandez point d'autre preuve que moi Pour condamner l'erreur du trouble où je vous vois.
Si de vos ſentimens la prompte déferance, Veut ſur ma ſeule foy croire mon innocence, Tome VII.	Si de vos sentiments la prompte déférence, Veut sur ma seule foi croire mon innocence, Tome VII.
Et de tous vos ſoupçons dementir le credit, [dit;	Et de tous vos soupçons démentir le crédit, [dit;
Pour croire aveuglement ce que mon cœur vous Cette ſoûmiſſion, cette marque d’eſtime, Du paſſé dans ce cœur efface tout le crime.	Pour croire aveuglément ce que mon cœur vous Cette soumission, cette marque d'estime, Du passé dans ce cœur efface tout le crime.
Je retracte à l’inſtant, ce qu’un juſte courroux M’a fait dans la chaleur prononcer contre-vous;	Je rétracte à l'instant, ce qu'un juste courroux M'a fait dans la chaleur prononcer contre-vous;
Et ſi je puis un jour choiſir ma deſtinée, Sans choquer les devoirs du rang où je ſuis née, Mon honneur ſatisfait par ce reſpect ſoudain Promet à voſtre amour, & mes vœux, & ma main;	Et si je puis un jour choisir ma destinée, Sans choquer les devoirs du rang où je suis née, Mon honneur satisfait par ce respect soudain Promet à vôtre amour, et mes vœux, et ma main;
Mais preſtez bien l’oreille, à ce que je vais dire, Si cet offre ſur vous obtient ſi peu d’empire, Que vous me refuſiez de me faire entre nous.	Mais prêtez bien l'oreille, à ce que je vais dire, Si cet offre sur vous obtient si peu d'empire, Que vous me refusiez de me faire entre nous.
Un ſacrifice entier de vos ſoupçons jaloux;	Un sacrifice entier de vos soupçons jaloux;
s’il ne vous ſuffit pas de toute l’aſſurance Que vous peuvent donner mon cœur, & ma naiſſance, Et que de voſtre eſprit les ombrages puiſſans, Forcent mon innocence à convaincre vos ſens, Et porter à vos yeux l’éclatant témoignage D’une vertu ſincere à qui l’on fait outrage:	s'il ne vous suffit pas de toute l'assurance Que vous peuvent donner mon cœur, et ma naissance, Et que de votre esprit les ombrages puissants, Forcent mon innocence à convaincre vos sens, Et porter à vos yeux l'éclatant témoignage D'une vertu sincère à qui l'on fait outrage:
Je ſuis preſte à le faire, & vous ſerez content, Mais il vous faut de moy détacher à l’inſtant, A mes vœux pour jamais renoncer de vous même, Et j’atteſte du Ciel la puiſſance fapreme, Que quoy que le deſtin puiſſe ordonner de nous, Je choiſiray plûtoſt d’eſtre à la mort qu’à vous;	Je suis prête à le faire, et vous serez content, Mais il vous faut de moi détacher à l'instant, À mes vœux pour jamais renoncer de vous -même, Et j'atteste du Ciel la puissance fapprême, Que quoi que le destin puisse ordonner de nous, Je choisirai plutôt d'être à la mort qu'à vous;
Voilà dans ces deux choix dequoy vous ſatisfaire, Aviſez maintenant celuy qui peut vous plaire.	Voilà dans ces deux choix dequoy vous satisfaire, Avisez maintenant celui qui peut vous plaire.
D.	D.
GARCIE.	GARCIE.
Juſte Ciel!	Juste Ciel!
jamais rien peut-il eſtre inventé Avec plus d’artifice, & de déloyauté?	jamais rien peut-il être inventé Avec plus d'artifice, et de déloyauté?
T-.	T-.
2a 1 Duo Ct 1.	2a 1 Duo Ct 1.
que des Enfers la malice étudie, A-t’il rien de ſi non rue cette perſidie, Et peut-elle trouver dans touſa rigueur Un plus cruel moyen d’embaraſſer un cœur?	que des Enfers la malice étudie, A-t-il rien de si non rue cette persidie, Et peut-elle trouver dans tous rigueur Un plus cruel moyen d'embarrasser un cœur?
Ah!	Ah!
que vous ſçavez bien, icy contre moymeſme, Ingrate, vous ſervir de ma foibleſſe extrême, Et ménager pour vous l’effort prodigieux De ce fatal amour né de vos traiſtres yeux, Parce qu’on eſt ſurpriſe, & qu’on mãque d’excuſe, D’un offre de pardon on emprunte la ruſe, Voſtre feinte douceur forge un amuſement, Pour divertir l’effet de mon reſſentiment;	que vous savez bien, ici contre moymesme, Ingrate, vous servir de ma faiblesse extrême, Et ménager pour vous l'effort prodigieux De ce fatal amour né de vos traîtres yeux, Parce qu'on est surprise, et qu'on manque d'excuse, D'un offre de pardon on emprunte la ruse, Votre feinte douceur forge un amusement, Pour divertir l'effet de mon ressentiment;
Et par le nœud ſubtil du choix qu’elle embaraſſe, Veut ſouſtraire un perfide au coup qui le menace, Oüy, vos dexteritez veulent me détourner D’un éclairciſſement qui vous doit condamner;	Et par le nœud subtil du choix qu'elle embarrasse, Veut soustraire un perfide au coup qui le menace, Oui, vos dextérités veulent me détourner D'un éclaircissement qui vous doit condamner;
Et voſtre ame feignant une innocence entiere Ne s’offre à m’en donner une pleine lumiere, Qu’à des conditions, qu’aprés d’ardans ſoûhaits, Vous penſez que mon cœur n’acceptera jamais;	Et votre âme feignant une innocence entière Ne soffre à m'en donner une pleine lumière, Qu'à des conditions, qu'après d'arden ts, Vous pensez que mon cœur n'acceptera jamais;
Mais vous ſerez trompée en me croyant ſurprendle 5 [ fendre, Oüy, oüy, je pretends voir ce qui doit vous déEt quel fameux prodige accuſant ma fureur, Peut de ce que j’ay veu juitifier l’horreur.	Mais vous serez trompée en me croyant surprendle 5 [ fendre, Oui, oui, je prétends voir ce qui doit vous déEt quel fameux prodige accusant ma fureur, Peut de ce que j'ai vu juitifier l'horreur.
D.	D.
ELUIRE.	ÉLUIRE.
boiigez que par ce choix vous allez vous preſcrire De ne plus rien pretẽdre au cœur de Done Eluire.	boiigez que par ce choix vous allez vous prescrire De ne plus rien prétendre au cœur de Done Elvire.
Me dNRerue Soit, je ſouſcris à tout, & mes vœux auſſi bien, En l’eſtat où je ſuis ne pretendent plus rien.	Me dNRerue Soit, je souscris à tout, et mes vœux aussi bien, En l'état où je suis ne prétendent plus rien.
D.	D.
ELUIRE.	ÉLUIRE.
Vous vous repentirez de l'éclat que vous faites.	Vous vous repentirez de l'éclat que vous faites.
D.	D.
GARCIE.	GARCIE.
Non, non, tous ces diſcours ſont de vaines défaites, Et c’eſt moy bien plûtoſt qui dois vous avertir, Que quelqu’autre dans peu ſe pourra repentir;	Non, non, tous ces discours sont de vaines défaites, Et c'est moi bien plutôt qui dois vous avertir, Que quelque autre dans peu se pourra repentir;
Le traiſtre, quel qu’il ſoit, n’aura pas l’avantage, De dérober ſa vie à l’effort de ma rage	Le traître, quel qu'il soit, n'aura pas l'avantage, De dérober sa vie à l'effort de ma rage
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
c’eſt trop en ſouffrir, & mon cœur irrité Ne doit plus conſerver une ſotte bonté;	c'est trop en souffrir, et mon cœur irrité Ne doit plus conserver une sotte bonté;
Abandonnons l’ingrat à ſon propre caprice, Et puis qu’il veut perir, conſentons qu’il periſſe;	Abandonnons l'ingrat à son propre caprice, Et puis qu'il veut périr, consentons qu'il périsse;
Eliſe.	Élise.
A cet éclat vous voulez me forcer, Mais je vous apprendray que c’eſt trop m’offenſer.	À cet éclat vous voulez me forcer, Mais je vous apprendrai que c'est trop m'offenser.
Eliſe entre.	Élise entre.
Faites un peu ſortir la perſonne cherie.	Faites un peu sortir la personne chérie.
Allez, vous m’entendez, dites que je l’en prie.	Allez, vous m'entendez, dites que je l'en prie.
D.	D.
GARCIE.	GARCIE.
dje Pamirre,	dje Pamirre,
D.	D.
ELUIRE.	ÉLUIRE.
Attendez vous lerez ſatisfait.	Attendez -vous lerez satisfait.
ELISE.	ÉLISE.
Voicy de ſon jaloux ſans doute un nouveau trait.	Voici de son jaloux sans doute un nouveau trait.
D.	D.
ELUIRE.	ÉLUIRE.
Prenez garde qu’au moins cette noble colere, Dans la meſme fierté, juſqu’au bout perſevere;	Prenez garde qu'au moins cette noble colère, Dans la même fierté, jusqu'au bout persévère;
Et fur tout deſormais ſongez bien à quel prix Vous avez voulu voir vos ſoupçons éclaircis.	Et fur tout désormais songez bien à quel prix Vous avez voulu voir vos soupçons éclaircis.
Voicy, graces au Ciel, ce qui les a fait naiſtre, Ces ſoupçons obligeans que l’on me fait paroiſtre, Voyez bien ce viſage, & ſi de Done Ignés, Vos yeux au meſme inſtant n’y connoiſſent les traits.	Voici, grâces au Ciel, ce qui les a fait naître, Ces soupçons obligéants que l'on me fait paraître, Voyez bien ce visage, et si de Done Ignès, Vos yeux au même instant n'y connaissent les traits.
SCENE IX.	SCÈNE IX.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, D.	IGNÉS, D.
ALVAR, ELISE.	ALVAR, ÉLISE.
O ciel!	Ô ciel!
D.	D.
GARCIE.	GARCIE.
D.	D.
ELUIRE.	ÉLUIRE.
Si la fureur dont voſtre ame eſt émeuë, Vous trouble juſques-là l’uſage de la veuë, Vous avez d’autres yeux à pouvoir conſulter, Qui ne vous laiſſeront aucun lieu de douter.	Si la fureur dont votre âme est émue, Vous trouble jusque-là l'usage de la vue, Vous avez d'autres yeux à pouvoir consulter, Qui ne vous laisseront aucun lieu de douter.
Sa mort eſt une adreſſe au beſoin inventée Pour fuïr l’autorité qui l’a perſecutée, Et ſous un tel habit elle cachoit ſon fort Pour mieux joüir du fruit de cette feinte mort.	Sa mort est une adresse au besoin inventée Pour fuir l'autorité qui l'a persécutée, Et sous un tel habit elle cachait son fort Pour mieux jouir du fruit de cette feinte mort.
Madame, pardonnez, s’il faut que je conſente A trahir vos ſecrets, & tromper voſtre attente;	Madame, pardonnez, s'il faut que je consente À trahir vos secrets, et tromper votre attente;
Je me vois expoſée à ſa temerité, Toutes mes actions n’ont plus de liberté, Et mon honneur en butte aux ſoupçons qu’il peut prendre, Eſt reduit à toute heure aux ſoins de ſe défendre.	Je me vois exposée à sa témérité, Toutes mes actions n'ont plus de liberté, Et mon honneur en butte aux soupçons qu'il peut prendre, Est réduit à toute heure aux soins de se défendre.
Nos doux embraſſemens qu’a ſupris ce jaloux, De cent indignitez m’ont fait ſouffrir les coups.	Nos doux embrassements qu'a supris ce jaloux, De cent indignités m'ont fait souffrir les coups.
Oüy, voilà le ſujet d’une fureur ſi prompte, Et l’aſſuré témoin qu’on produit de ma honte;	Oui, voilà le sujet d'une fureur si prompte, Et l'assuré témoin qu'on produit de ma honte;
Joüiſſez à cette heure en Tyran abſolu De l’éclairciſſement que vous avez voulu;	Jouissez à cette heure en Tyran absolu De l'éclaircissement que vous avez voulu;
Mais ſçachez que j’auray ſans ceſſe la memoire De l’oûtrage ſanglant qu’on a fait à ma gloire, Et ſi je puis jamais oublier mes ſermens, Tombent ſur moy du Ciel les plus grands châtimens, Qu’un tonnerre éclatant mette ma teſte en poudre, Lors qu’à ſouffrir vos feux je pourray me reſoudre.	Mais sachez que j'aurai sans cesse la mémoire De l'outrage sanglant qu'on a fait à ma gloire, Et si je puis jamais oublier mes serments, Tombent sur moi du Ciel les plus grands châtiments, Qu'un tonnerre éclatant mette ma tête en poudre, Lors qu'à souffrir vos feux je pourrai me résoudre.
Allons, Madame, allons, oſtons nous de ces lieux, Qu’infectent les regards d’un monſtre furieux, Fuyons-en promptement l’atteinte envenimée, Evitons les effets de ſa rage animée, Et ne faiſons des vœux dans nos juſtes deſſeins, Que pour nous voir bien-toſt affranchir des ſes mains.	Allons, Madame, allons, ôtons nous de ces lieux, Qu'infectent les regards d'un monstre furieux, Fuyons-en promptement l'atteinte envenimée, Évitons les effets de sa rage animée, Et ne faisons des vœux dans nos justes desseins, Que pour nous voir bientôt affranchir des ses mains.
D.	D.
IONES.	JONNES.
Seigneur, de vos ſoupçons l’injuſte violence, A la meſme vertu vient de faire une offence.	Seigneur, de vos soupçons l'injuste violence, À la même vertu vient de faire une offense.
D.	D.
GARCIE.	GARCIE.
Quelles triſtes clartez diſſipent mon erreur, Envelopent mes ſens d’une profonde horreur, Et ne laiſſent plus voir à mon ame abatuë, Que l’effroyable objet d’un remords qui me tuët Ah!	Quelles tristes clartés dissipent mon erreur, Enveloppent mes sens d'une profonde horreur, Et ne laissent plus voir à mon âme abattue, Que l'effroyable objet d'un remords qui me tuet Ah!
D.	D.
Alvar, je voy que vous avez raiſon, Mais l’Enfer dans mon cœur a ſouflé ſon poiſon;	Alvar, je vois que vous avez raison, Mais l'Enfer dans mon cœur a soufflé son poison;
Et par un trait fatal d’une rigueur extrême, Mon plus grand ennemy ſe rencontre en moymeſme.	Et par un trait fatal d'une rigueur extrême, Mon plus grand ennemi se rencontre en moymesme.
Que me ſert-il d’aimer du plus ardent amour, Qu’une ame conſumée ait jamais mis au jour;	Que me sert-il d'aimer du plus ardent amour, Qu'une âme consumée ait jamais mis au jour;
Si par ſes mouvemens qui font toute ma peine?	Si par ses mouvements qui font toute ma peine?
Cet amour à tous coups ſe rend digne de hayne, Il faut, il faut vanger par mon juſte trépas L’outrage que j’ay fait à ſes divins appas;	Cet amour à tous coups se rend digne de haine, Il faut, il faut venger par mon juste trépas Loutrage que j'ai fait à ses divins appas;
Auſſi bien quel conſeil aujourd’huy puis-je ſuivre?	Aussi bien quel conseil aujourd'hui puis-je suivre?
Ah!	Ah!
j’ay perdu l’objet, pour qui j’aymois à vivre, Si j’ay pû renoncer à l’eſpoir de ſes vœux, Renoncer à la vie, eſt beaucoup moins fâcheux.	j'ai perdu l'objet, pour qui j'aimais à vivre, Si j'ai pu renoncer à l'espoir de ses vœux, Renoncer à la vie, est beaucoup moins fâcheux.
Seigneur.	Seigneur.
D.	D.
ALVAR.	ALVAR.
D.	D.
GARCIE.	GARCIE.
Non, D.	Non, D.
Alvar, ma mort eſt neceſſaire, Il n’eſt ſoins, ny raiſons qui m’en puiſſent diſtraiMais il faut que mon ſort en ſe precipitant Rende à cette Princeſſe un ſervice éclatant.	Alvar, ma mort est nécessaire, Il n'est soins, ni raisons qui m'en puissent distraiMais il faut que mon sort en se précipitant Rende à cette Princesse un service éclatant.
Et je veux me chercher dans cette illuſtre envie Les moyens glorieux de ſortir de la vie, Faire par un grand coup qui ſignale ma foy, Qu’en expirant pour elle, elle ait regret à moy, Et qu’elle puiſſe dire en ſe voyant vangée, C’eſt par ſon trop d’amour qu’il m’avoit outragée.	Et je veux me chercher dans cette illustre envie Les moyens glorieux de sortir de la vie, Faire par un grand coup qui signale ma foi, Qu'en expirant pour elle, elle ait regret à moi, Et qu'elle puisse dire en se voyant vengée, C'est par son trop d'amour qu'il m'avait outragée.
Il faut que de ma main un illuſtre attentat Porte une mort trop deuë au ſein de Mauregat, Que j’aille prevenir par une belle audace, Le coup, dont la Caſtille avec bruit le menace, Et j’auray des douceurs dans mon inſtant fatal, De ravir cette gloire, à l’eſpoir d’un Rival.	Il faut que de ma main un illustre attentat Porte une mort trop due au sein de Mauregat, Que j'aille prévenir par une belle audace, Le coup, dont la Castille avec bruit le menace, Et j'aurai des douceurs dans mon instant fatal, De ravir cette gloire, à l'espoir d'un Rival.
D.	D.
ALVAR.	ALVAR.
Un ſervice, Seigneur, de cette conſequence Auroit bien le pouvoir d’effacer voſtre offence;	Un service, Seigneur, de cette conséquence Aurait bien le pouvoir d'effacer votre offense;
Mais hazarder.	Mais hasarder.
D.	D.
GANCIE.	GANCIE.
Allons par un juſte devoir, Faire à ce noble effort ſervir mon deſeſpoir.	Allons par un juste devoir, Faire à ce noble effort servir mon désespoir.
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACTE V	ACTE V
SCENE PREMIERE.	SCÈNE PREMIÈRE.
D.	D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ALVAR.	ALVAR.
UY, jamais il ne fut de ſi rude ſurpriſe, Il venoit de former cette haute entrepriſe, A l’avide deſir d’immoler Mauregat, De ſon prompt deſeſpoir il tournoit tout l’éclat.	UY, jamais il ne fut de si rude surprise, Il venait de former cette haute entreprise, A l'avide désir d'immoler Mauregat, De son prompt désespoir il tournait tout l'éclat.
Ses ſoins precipitez vouloient à ſon courage, De cette juſte mort aſſurer l’avantage, Y chercher ſon pardon, & prevenir l’ennuy, Qu’un Rival partageaſt cette gloire avec luy.	Ses soins précipités voulaient à son courage, De cette juste mort assurer l'avantage, Y chercher son pardon, et prévenir l'ennui, Qu'un Rival partageast cette gloire avec lui.
Il ſortoit de ces murs, quand un bruit trop fidele, Eſt venu luy porter la fâcheuſe nouvelle, Que ce meſme Rival qu’il vouloit prevenir, A remporté l’honneur qu’il penſoit obtenir;	Il sortait de ces murs, quand un bruit trop fidèle, Est venu y porter la fâcheuse nouvelle, Que ce même Rival qu'il voulait prévenir, A remporté l'honneur qu'il pensait obtenir;
L’a prevenu luy-meſme, en immolant le traiſtre, Et pouſſe dans ce jour, Dom Alp' onſe à paroiſtre, Qui d’un ſi prompt ſuccés va gouter la douceur, Et vient prendre en ces lieux la Princeſſe ſa ſœur;	L'a prévenu avoir-même, en immolant le traître, Et pousse dans ce jour, Dom Alp' onze à paraître, Qui d'un si prompt succès va goûter la douceur, Et vient prendre en ces lieux la Princesse sa sœur;
Et ce qui n’a pas peine à gagner la croyance, Dont On entend publier que c’eſt la recompence, Dont il pretend payer le ſervice éclatant Du bras qui luy fait jour, au Throſne qui l’attend?	Et ce qui n'a pas peine à gagner la croyance, Dont On entend publier que c'est la récompense, Dont il prétend payer le service éclatant Du bras qui lui fait jour, au Trône qui l'attend?
ELISE.	ÉLISE.
Oüy, Done Eluire a ſçeu ces nouvelles ſemées, Et du vieux Dom Loüis, les trouve confirmées.	Oui, Done Elvire a su ces nouvelles semées, Et du vieux Dom Louis, les trouve confirmées.
Qui vient de luy mander, que Leon dans ce jour.	Qui vient de Seigneur mander, que Léon dans ce jour.
De Dom Alphonſe, & d’elle, attend l’heureux retour, Et que c’eſt-là qu’on doit, par un revers proſpere, Luy voir prendre un époux de la main de ce Frere;	De Dom Alphonse, et d'elle, attend l'heureux retour, Et que c'est-là qu'on doit, par un revers prospère, Lui voir prendre un époux de la main de ce Frère;
Dans ce peu qu’il en dit, il donne aſſez à voir, Omo jane dne nepour qu'ene doit Iecevoir.	Dans ce peu qu'il en dit, il donne assez à voir, Omo jane dès nepour qu'ène doit Jecevoir.
D.	D.
ALVAR.	ALVAR.
Ce coup au cœur du Prince.	Ce coup au cœur du Prince.
ELISE.	ÉLISE.
Eſt ſans doute bien rude, Et je le trouve à plaindre en ſon inquietude, Son intereſt pourtant, ſi j’en ay bien jugé, Eſt encor cher au cœur qu’il a tant outragé;	Est sans doute bien rude, Et je le trouve à plaindre en son inquiétude, Son intérêt pourtant, si j'en ai bien jugé, Est encor cher au cœur qu'il a tant outragé;
Et je n’ay point connu, qu’à ce ſuccés qu’on vanCa Princeſſe ait fait voir une ame fort contente, me cersere qui tient, ce de la Iettie aun, Mais.	Et je n'ai point connu, qu'à ce succès qu'on vanCa Princesse ait fait voir une âme fort contente, me cerse qui tient, ce de la Jettie aun, Mais.
M	M
SCENE II.	SCÈNE II.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR, ELISE, D.	ALVAR, ÉLISE, D.
IGNES	IGNÉS
D.	D.
ELUIRE.	ÉLUIRE.
F Aites Dom Alvar venir le Prince icy;	 Aites Dom Alvar venir le Prince ici;
Souffrez que devant vous je luy parle, Madame Sur cet évenement, dont on ſurprend mon ame;	Souffrez que devant vous je lui parle, Madame Sur cet événement, dont on surprend mon âme;
Tome VII.	Tome VII.
Et ne m’accuſez point d’un trop prompt changement, Si je perds contre luy tout mon reſſentiment.	Et ne m'accusez point d'un trop prompt changement, Si je perds contre mort tout mon ressentiment.
Sa diſgrace impreveuë a pris droit de l’éteindre, Sans luy laiſſer ma haine, il eſt aſſez à plaindre, Et le Ciel qui l’expoſe à ce trait de rigueur, N’a que trop bien ſervi les ſermens de mon cœur, Un éclatant arreſt de ma gloire outragée, A jamais n’eſtre à luy me tenoit engagée;	Sa disgrâce imprévue a pris droit de l'éteindre, Sans lui laisser ma haine, il est assez à plaindre, Et le Ciel qui l'expose à ce trait de rigueur, N'a que trop bien servi les serments de mon cœur, Un éclatant arrêt de ma gloire outragée, À jamais n'être à lui me tenait engagée;
Mais quand par les deſtins il eſt executé, ’y vois pour ſon amour trop de ſeverité;	Mais quand par les destins il est exécuté, 'y vois pour son amour trop de sévérité;
Et le triſte ſuccés de tout ce qu’il m’adreſſe M’efface ſon offence, & luy rend ma tendreſſe.	Et le triste succès de tout ce qu'il m'adresse M'efface son offense, et avait rend ma tendresse.
Oüy, mon cœur trop vangé par de ſi rudes coups, Laiſſe à leur cruauté deſarmer ſon courroux, Et cherche maintenant par un ſoin pitoyable A conſoler le ſort d’un Amant miſerable;	Oui, mon cœur trop vengé par de si rudes coups, Laisse à leur cruauté désarmer son courroux, Et cherche maintenant par un soin pitoyable À consoler le sort d'un Amant misérable;
Et je croy que ſa flâme a bien pû meriter Cette compaſſion que je luy veux preſter.	Et je crois que sa flamme a bien pu mériter Cette compassion que je te veux prêter.
D.	D.
IGNES.	IGNÉS.
Madame, on auroit tort de trouver à redire Jre, Aux tendres ſentimens qu’on voit qu’il vous inſpiCe qu’il a fait pour vous.	Madame, on aurait tort de trouver à redire Jre, Aux tendres sentiments qu'on voit qu'il vous inspiCe qu'il a fait pour vous.
Il vient, & ſa pâleur, De ce coup ſurprenant marque aſſez la douleur.	Il vient, et sa pâleur, De ce coup surprenant marque assez la douleur.
SCENE III.	SCÈNE III.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, ELISE	IGNÉS, ÉLISE
D.	D.
GARCIE.	GARCIE.
Adame, avec quel front faut-il que je m’aM vance, Quend je viens vous offrir l’odieuſe preſencer	Adame, avec quel front faut-il que je m'aM vance, Quend je viens vous offrir l'odieuse présencer
D.	D.
ELUIRE.	ÉLUIRE.
Prince, ne parlons plus de mon reſſentiment, Voſtre ſort dans mon ame a fait du changement, Et par le triſte eſtat où ſa rigueur vous jette, Ma colere eſt éteinte, & noſtre paix eſt faite.	Prince, ne parlons plus de mon ressentiment, Votre sort dans mon âme a fait du changement, Et par le triste état où sa rigueur vous jette, Ma colère est éteinte, et notre paix est faite.
Oüy, bien que voſtre amour ait merité les coups, Que fait ſur luy du Ciel éclater le couroux;	Oui, bien que votre amour ait mérité les coups, Que fait sur deux du Ciel éclater le courroux;
Bien que ſes noirs ſoupçons ayent offencé ma gloire, Par des indignitez qu’on auroit peine à croire ;	Bien que ses noirs soupçons aient offensé ma gloire, Par des indignités qu'on aurait peine à croire ;
J’avoüeray toutefois que je plains ſon mal-heur, Juſqu’à voir nos ſuccés avec quelque douleur;	J'avouerai toutefois que je plains son malheur, Jusqu'à voir nos succès avec quelque douleur;
Que je hay les faveurs de ce fameux ſervice, Lors qu’on veut de mon cœur luy faire un ſacrifice, Et voudrois bien pouvoir racheter les momens, Où le ſort contre vous n’armoit que mes ſermens, Mais, enfin, vous ſçavez comme nos deſtinées, Aux intereſts publics ſont toûjours enchaînées, Et que l’ordre des Cieux pour diſpoſer de moy, Dans mon Frere qui vient, me va montrer mon Roy.	Que je hais les faveurs de ce fameux service, Lors qu'on veut de mon cœur homme faire un sacrifice, Et voudrais bien pouvoir racheter les moments, Où le sort contre vous n'armait que mes serments, Mais, enfin, vous savez comme nos destinées, Aux intérêts publics sont toujours enchaînées, Et que l'ordre des Cieux pour disposer de moi, Dans mon Frère qui vient, me va montrer mon Roi.
Cedez comme moy, Prince, à cette violence, Où la grandeur ſoûmet celles de ma naiſſance;	Cédez comme moi, Prince, à cette violence, Où la grandeur soumet celles de ma naissance;
Et ſi de voſtre amour les déplaiſirs ſont grands, Qu’il ſe faſſe un ſecours de la part que j’y prends Et ne ſe ſerve point contre un coup qui l’étonne Du pouvoir qu’en ces lieux voſtre valeur vous donne;	Et si de votre amour les déplaisirs sont grands, Qu'il se fasse un secours de la part que j'y prends Et ne se serve point contre un coup qui l'étonne Du pouvoir qu'en ces lieux votre valeur vous donne;
Ce vous ſeroit ſans doute un indigne tranſport De vouloir dans vos maux luter contre le ſort.	Ce vous serait sans doute un indigne transport De vouloir dans vos maux luter contre le sort.
Et lors que c’eſt en vain qu’on s’oppoſe à ſa rage, La ſoûmiſſion prompte eſt grandeur de courage Ne reſiſtez donc point à ſes coups éclatans, Ouvrez les murs d’Aſtorgue au Frere que j’attends,	Et lors que c'est en vain qu'on s'oppose à sa rage, La soumission prompte est grandeur de courage Ne résistez donc point à ses coups éclatants, Ouvrez les murs d'Astorgue au Frère que j'attends,
Laiſſez-moy rendre aux droits qu’il peut ſur moy pretendre, Ce que mon triſte cœur a reſolu de rendre;	Laissez-moi rendre aux droits qu'il peut sur moi prétendre, Ce que mon triste cœur a résolu de rendre;
Et ce fatal hommage, où mes vœux ſont forcez Peut-eſtre n’ira pas ſi loin que vous penſez.	Et ce fatal hommage, où mes vœux sont forcés Peut-être n'ira pas si loin que vous pensez.
D.	D.
GARCIE.	GARCIE.
C’eſt faire voir, Madame, une bonté trop rare, Que vouloir adoucir le coup qu’on me prepare, Sur moy ſans de tels ſoins vous pouvez laiſſer cheoir Le foudre rigoureux de tout voſtre devoir.	C'est faire voir, Madame, une bonté trop rare, Que vouloir adoucir le coup qu'on me prépare, Sur moi sans de tels soins vous pouvez laisser choir Le foudre rigoureux de tout votre devoir.
En l’eſtat où je ſuis, je n’ay rien à vous dire, J’ay merité du ſort tout ce qu’il a de pire, Et je ſçay, quelques maux qu’il me faille endurer, Que je me ſuis oſté le droit d’en murmurer.	En l'état où je suis, je n'ai rien à vous dire, J'ai mérité du sort tout ce qu'il a de pire, Et je sais, quelques maux qu'il me faille endurer, Que je me suis ôté le droit d'en murmurer.
Par où pourrois-je, helas!	Par où pourrais-je, hélas!
dans ma vaſte diſgrace, Vers vous de quelque plainte authoriſer l’audace, Mon amour s’eſt rendu mille fois odieux, Il n’a fait qu’outrager vos attraits glorieux:	dans ma vaste disgrâce, Vers vous de quelque plainte autoriser l'audace, Mon amour s'est rendu mille fois odieux, Il n'a fait qu'outrager vos attraits glorieux:
Et lors que par un juſte, & fameux ſacrifice, Mon bras à voſtre ſang cherche à rendre un ſervice, Mon aſtre m’abandonne au déplaiſir fatal, De me voir prevenu par le bras d’un Rival.	Et lors que par un juste, et fameux sacrifice, Mon bras à votre sang cherche à rendre un service, Mon astre m'abandonne au déplaisir fatal, De me voir prévenu par le bras d'un Rival.
Madame, aprés cela je n’ay rien à pretendre, Je ſuis digne du coup que l’on me fait attendre, Et je le vois venir, ſans oſer contre luy, Tenter de voſtre cœur le favorable appuy.	Madame, après cela je n'ai rien à prétendre, Je suis digne du coup que l'on me fait attendre, Et je le vois venir, sans oser contre lui, Tenter de votre cœur le favorable appui.
Ce qui peut me reſter dãs mon mal-heur extrême, C’eſt de chercher alors mon remede en moymeſme, Et faire que ma mort propice à mes deſirs, Affranchiſſe mon cœur de tous ſes déplaiſirs.	Ce qui peut me rester dans mon malheur extrême, C'est de chercher alors mon remède en moymesme, Et faire que ma mort propice à mes désirs, Affranchisse mon cœur de tous ses déplaisirs.
Oüy, bien-toſt dans ces lieux, Dom Alphonſę doit eſtre, Et déja mon Rival commence de paroiſtre, De Leon vers ces murs, il ſemble avoir volé, Pour recevoir le prix du Tyran immolé;	Oui, bientôt dans ces lieux, Dom Alphons doitme, Et déjà mon Rival commence de paraître, De Léon vers ces murs, il semble avoir volé, Pour recevoir le prix du Tyran immolé;
Ne craignez point du tout qu’aucune reſiſtance Faſſe valoir icy ce que j’ay de puiſſance, Il n’eſt effort humain que pour vous conſerver, Si vous y conſentiez, je ne pûſſe braver;	Ne craignez point du tout qu'aucune résistance Fasse valoir ici ce que j'ai de puissance, Il n'est effort humain que pour vous conserver, Si vous y consentiez, je ne pusse braver;
