M DC LXIX.	M MC LXIX.
MERCURE.	MERCURE.
Cinq fort gros Diamans, en nœud proprement mis;	Cinq fort gros Diamants, en nœud proprement mis;
Dont leur Chef ſe paroit, comme d’un laie ouvrage.	Dont leur Chef se parait, comme d'un laie ouvrage.
S OSIE.	S OSIE.
Al falcellllle l irainilenle rleienes	Al fallcellllle l irainille rleienes
MERCURE.	MERCURE.
ar la reme;	ar la reme;
& iur ene n'ie veut von paroiſtre.	et jur ene n'ie veut von paraître.
SOSIE.	SOSIE.
Mais où, pour l’apporter, eſt-il mis à preſent?	Mais où, pour l'apporter, est-il mis à présent?
MERCURE.	MERCURE.
Dans un Coffret, ſcellé des Armes de mon Maiſtre.	Dans un Coffret, scellé des Armes de mon Maître.
SOSIE.	SOSIE.
Il ne ment pas d’un mot, à chaque repartie, Et de moy je commence à douter tout de bon.	Il ne mens pas d'un mot, à chaque répartie, Et de moi je commence à douter tout de bon.
Prés de moy, par la force, il eſt déja Soſie:	Près de moi, par la force, il est déjà Sosie:
Il pourroit bien encor l’eſtre, par la raiſon.	Il pourrait bien encor l'être, par la raison.
Pourtant, quand je me tâte, & que je me rapelle, Il me ſemble que je ſuis Moy.	Pourtant, quand je me tâte, et que je me rappelle, Il me semble que je suis Moi.
Où puis-je rencontrer quelque clarté fidelle, Pour démeſler ce que je voy?	Où puis-je rencontrer quelque clarté fidèle, Pour démêler ce que je vois?
Ce que j’ay fait tout ſeul, & que n’a veu perſonne, A moins d’eſtre Moy-même, on ne le peut ſçavoir.	Ce que j'ai fait tout seul, et que n'a vu personne, À moins d'être Moi-même, on ne le peut savoir.
Par cette Queſtion, il faut que je l’étonne:	Par cette Question, il faut que je l'étonne:
C’eſt dequoy le confondre, & nous allons le voir.	C'est dequoy le confondre, et nous allons le voir.
Lors qu’on eſtoit aux mains, que fis-tu dans nos TCHtCS, Où tu courus ſeul te fourrer?	Lors qu'on était aux mains, que fis-tu dans nos TCHtCS, Où tu courus seul te fourrer?
MERCURE.	MERCURE.
D’un Jambon.	D'un Jambon.
OSIE.	OSIE.
L’y voila!	L'y voilà!
MERCURE.	MERCURE.
Que j’allay déterrer, Je coupay bravement deux tranches ſuculentes, Dont je ſçus fort bien me bourrer.	Que j'allai déterrer, Je coupai bravement deux tranches suculentes, Dont je sais fort bien me bourrer.
Et joignant à cela d’un Vin que l’on ménage, Et dont avant le gouſt, les yeux ſe contentoient, Je pris un peu de courage, Pour nos Gens qui ſe battoient.	Et joignant à cela d'un Vin que l'on ménage, Et dont avant le goût, les yeux se contentaient, Je pris un peu de courage, Pour nos Gens qui se battaient.
OSIE.	OSIE.
Cette preuve ſans pareille En ſa faveur conclut bien;	Cette preuve sans pareille En sa faveur conclut bien;
Et l’on n’y peut dire rien, S’il n’eſtoit dans la Bouteille.	Et l'on n'y peut dire rien, S'il n'était dans la Bouteille.
Je ne ſçaurois nier, aux preuves qu’on m’expoſe.	Je ne saurais nier, aux preuves qu'on m'expose.
Que tu ne ſois Soſie;	Que tu ne sois Sosie;
& j’y donne ma voix.	et j'y donne ma voix.
Mais le cunco, ajnmoy quitu veunque je ſois;	Mais le cunco, ajnmoy quitu veunque je sois;
Car encor faut-il bien que je ſois quelque choſe.	Car encor faut-il bien que je sois quelque chose.
MERCURE.	MERCURE.
Quand je ne ſeray plus Soſie, Sois-le, j’en demeure d’accord.	Quand je ne serai plus Sosie, Sois-le, j'en demeure d'accord.
Mais tant que je le ſuis, je te garantis mort, Si tu prens cette fantaiſie.	Mais tant que je le suis, je te garantis mort, Si tu prends cette fantaisie.
SIE.	SIE.
Tout cet embarras met mon Eſprit ſur les dents;	Tout cet embarras met mon Esprit sur les dents;
Et la Ranon à ce qu’on voit soppole.	Et la Ranon à ce qu'on voit soppole.
Mais il faut terminer enfin par quelque choſe, Et le plus court pour moy, c’eſt d’entrer là-dedans.	Mais il faut terminer enfin par quelque chose, Et le plus court pour moi, c'est d'entrer là-dedans.
MERCURE.	MERCURE.
Ah!	Ah!
tu prens donc, Pendart, gouſt à la baſtonnade?	tu prends donc, Pendard, goût à la bastonnade?
OSIE.	OSIE.
Ah!	Ah!
qu’eſt-ce-cy, grands Dieux!	qu'est-ce-cy, grands Dieux!
il frape un ton plus fort;	il frappe un ton plus fort;
Et mon Dos, pour un mois, en doit eſtre malade.	Et mon Dos, pour un mois, en doit être malade.
Laiſſons ce diable d’Homme;	Laissons ce diable d'Homme;
& retournons au Port.	et retournons au Port.
O juſte Ciel!	Ô juste Ciel!
j’ay fait une belle Ambaſſade!	j'ai fait une belle Ambassade!
MERCURE.	MERCURE.
Enfin, je l’ai fait fuïr;	Enfin, je l'ai fait fuir;
& ſous ce traitement, De beaucoup d’actions il a receu la peine.	et sous ce traitement, De beaucoup d'actions il a reçu la peine.
Mais je voy Jupiter, que fort civilement Reconduit l’amoureuſe Alcméne.	Mais je vois Jupiter, que fort civilement Reconduit l'amoureuse Alcméne.
SCENE III.	SCÈNE III.
TUPITER, ALCMENE, CLEANTHIS, MERCURE.	TUPITER, ALCMENE, CLEANTHIS, MERCURE.
JPITER.	JPITER.
Efendez, chere Alcméne, aux Flambeaux d’approcher;	Efendez, chère Alcméne, aux Flambeaux d'approcher;
Ils m’offrent des plaiſirs, en m’offrant voſtre veües Mais ils pourroient icy découvrir ma venuë, Qu’il eſt à propos de cacher.	Ils m'offrent des plaisirs, en m'offrant votre vue Mais ils pourraient ici découvrir ma venue, Qu'il est à propos de cacher.
Mon amour, que génoient tous ces ſoins éclatans, Où me tenoit lié la gloire de nos Armes, Au devoir de ma Charge, a volé les inſtans, Qu’il vient de donner à vos charmes.	Mon amour, que génoient tous ces soins éclatants, Où me tenait lié la gloire de nos Armes, Au devoir de ma Charge, a volé les instants, Qu'il vient de donner à vos charmes.
Ce vol, qu’à vos Beautez mon Cœur a conſacré, Pourroit eſtre blame dans la bouche publique;	Ce vol, qu'à vos Beautez mon Cœur a consacré, Pourrait être blâme dans la bouche publique;
Et j’en veux, pour témoin unique, Celle qui peut m’en ſçavoir gré.	Et j'en veux, pour témoin unique, Celle qui peut m'en savoir gré.
ALCMENE.	ÀLCMENE.
Je prens, Amphitryon, grande part à la gloire, Que répandent ſur vous vos illuſtres Exploits;	Je prends, Amphitryon, grande part à la gloire, Que répandent sur vous vos illustres Exploits;
Et l’éclat de voſtre Victoire Sçait toucher de mon Cœur les ſenſibles endroits.	Et l'éclat de votre Victoire Sait toucher de mon Cœur les sensibles endroits.
Mais quand je voy que cet honneur fatal Eloigne de moy ce que j’aime, Je ne puis m’empécher dans ma tendreſſe extréme De luy vouloir un peu de mal;	Mais quand je vois que cet honneur fatal Éloigne de moi ce que j'aime, Je ne puis m'empêcher dans ma tendresse extrême De tu vouloir un peu de mal;
Et d’oppoſer mes vœux à cet Ordre ſupréme, Qui des Thebains vous fait le General.	Et d'opposer mes vœux à cet Ordre suprême, Qui des Thébains vous fait le Général.
C’eſt une douce choſe, aprés une Victoire, Que la Gloire, où l’on voit ce qu’on aime élevé:	C'est une douce chose, après une Victoire, Que la Gloire, où l'on voit ce qu'on aime élevé:
Mais parmy les perils meſlez à cette Gloire, Un triſte coup, helas!	Mais parmi les périls mêlez cette Gloire, Un triste coup, hélas!
eſt bientoſt arrivé.	est bientôt arrivé.
De combien de frayeurs a-t-on l’Ame bleſſée, Au moindre choc dont on entend parler?	De combien de frayeurs a-t-on l'Âme blessée, Au moindre choc dont on entend parler?
Voit-on, dans les horreurs d’une telle penſée,	Voit-on, dans les horreurs d'une telle pensée,
Par où jamais ſe conſoler Du coup, dont on eſt menacée?	Par où jamais se consoler Du coup, dont on est menacée?
Et de quelque Laurier qu’on couronne un Vainqueur;	Et de quelque Laurier qu'on couronne un Vainqueur;
Quelque part que l’on ait à cet honneur ſupréme;	Quelque part que l'on ait à cet honneur suprême;
Vaut-il ce qu’il en couſte aux tendreſſes d’un Cœu.	Vaut-il ce qu'il en coûte aux tendresses d'un Cœu.
Qui peut, à tout moment, trembler pour ce qu’il aime?	Qui peut, à tout moment, trembler pour ce qu'il aime?
PITER.	PITER.
Je ne voy rien en vous, dont mon feu ne s’augmente.	Je ne vois rien en vous, dont mon feu ne s'augmente.
Tout y marque à mes yeux un Cœur bien enflamé.	Tout y marque à mes yeux un Cœur bien enflamé.
Et c’eſt, je vous l’avoüe, une choſe charmante, De trouver tant d’amour dans un Objet aimé.	Et c'est, je vous l'avoue, une chose charmante, De trouver tant d'amour dans un Objet aimé.
Mais, ſi je l’oſe dire, un ſcrupule me géne, Aux tendres ſentimens que vous me faites voir;	Mais, si je l'ose dire, un scrupule me gêne, Aux tendres sentiments que vous me faites voir;
Et pour les bien goûter, mon amour, chere Alcméne, Voudroit n’y voir entrer, rien de voſtre devoir:	Et pour les bien goûter, mon amour, chère Alcméne, Voudrait n'y voir entrer, rien de votre devoir:
Qu’à voſtre ſeule ardeur, qu’à ma ſeule perſonne, Je dûſſe les faveurs que je reçois de vous;	Qu'à votre seule ardeur, qu'à ma seule personne, Je dusse les faveurs que je reçois de vous;
Et que la qualité que j’ay de voſtre Epous, Ne fuſt point ce qui me les donne.	Et que la qualité que j'ai de votre Épous, Ne fût point ce qui me les donne.
ALCMENE.	ÀLCMENE.
C’eſt de ce Nom pourtant, que l’ardeur qui me brûle, Tient le droict de paroiſtre au jour:	C'est de ce Nom pourtant, que l'ardeur qui me brûle, Tient le droit de paraître au jour:
Et je ne comprens rien à ce nouveau ſcrupule, Dont s’embarraſſe voſtre amour.	Et je ne comprends rien à ce nouveau scrupule, Dont s'embarrasse votre amour.
PITER.	PITER.
Ah!	Ah!
ce que j’ay pour vous d’ardeur, & de tendreſſe, Paſſe auſſi celle d’un Epous;	ce que j'ai pour vous d'ardeur, et de tendresse, Passe aussi celle d'un Épous;
Et vous ne ſçavez pas, dans des momens ſi dous, Quelle en eſt la delicateſſe.	Et vous ne savez pas, dans des moments si dous, Quelle en est la délicatesse.
Vous ne concevez pomt ja un oeeur biei amoureux, Sur cent perits égards s’attache avec étude;	Vous ne concevez pompt ja un deueur bye amoureux, Sur cent périts égards s'attache avec étude;
Et ſe fait une inquietude, De la maniere d’eſtre heureux.	Et se fait une inquiétude, De la manière d'être heureux.
En moy, belle, & charmante Alcméne, Vous voyez un Mary;	En moi, belle, et charmante Alcméne, Vous voyez un Mari;
vous voyez un Amant:	vous voyez un Amant:
Mais l’Amant ſeul me touche, à parler franchement;	Mais l'Amant seul me touche, à parler franchement;
Et je ſens prés de vous, que le Mary le géne.	Et je sens près de vous, que le Mari le gêne.
Cet Amant, de vos vœux, jalous au dernier poinct, Souhaite qu’à luy ſeul voſtre Cœur s’abandonne;	Cet Amant, de vos vœux, jalous au dernier point; Souhaite qu'à lui seul votre Cœur s'abandonne;
Et ſa paſſion ne veut point De ce que le Mary luy donne.	Et sa passion ne veut point De ce que le Mari Rome donne.
Il veut, de pure ſource, obtenir vos ardeurs;	Il veut, de pure source, obtenir vos ardeurs;
Et ne veut rien tenir des nœuds de l’Hymenée:	Et ne veut rien tenir des nœuds de l'Hyménée:
Rien d’un fâcheux devoir, qui fait agir les Cœurs, Et par qui tous les jours, des plus cheres faveurs La douceur eſt empoiſonnée.	Rien d'un fâcheux devoir, qui fait agir les Cœurs, Et par qui tous les jours, des plus chères faveurs La douceur est empoisonnée.
Dans le ſcrupule enfin, dont il eſt combattu, Il veut, pour ſatisfaire à ſa delicateſſe, Que vous le ſepariez d’avec ce qui le bleſſe;	Dans le scrupule enfin, dont il est combattu, Il veut, pour satisfaire à sa délicatesse, Que vous le sépariez d'avec ce qui le blesse;
Que le Mary ne ſoit que pour voſtre vertu;	Que le Mari ne soit que pour votre vertu;
Et que de voſtre Cœur, de bonté reveſtu, L’Amant ait tout l’amour, & toute la tendreſſe.	Et que de votre Cœur, de bonté revêtu, L'Amant ait tout l'amour, et toute la tendresse.
ALCMENE.	ÀLCMENE.
Amipiitiyoi, en vente, Vous vous moquez, de tenir ce langage:	Amipiitioi, en vente, Vous vous moquez, de tenir ce langage:
Et j’aurois peur qu’on ne vous crût pas ſage, Si de quelqu’un vous eſtiez écouté.	Et j'aurais peur qu'on ne vous crût pas sage, Si de quelqu'un vous étiez écouté.
PITER.	PITER.
Ce diſcours eſt plus raiſonnable, Alcméne, que vous ne penſez :	Ce discours est plus raisonnable, Alcméne, que vous ne pensez :
Mais un plus long ſejour me rendroit trop coupable, Et du retour au Port, les momens ſont preſſez.	Mais un plus long séjour me rendrait trop coupable, Et du retour au Port, les moments sont pressez.
Adieu, de mon devoir l’étrange barbarie, Pour un temps, m’arrache de vous.	Adieu, de mon devoir l'étrange barbarie, Pour un temps, m'arrache de vous.
Mais, belle Alcméne, au moins, quand vous verrez l’Epous, Songez à l’Amant, je vous prie.	Mais, belle Alcméne, au moins, quand vous verrez l'Épous, Songez à l'Amant, je vous prie.
A L e	À L e
ALCMENE.	ÀLCMENE.
Je ne ſepare point ce qu’uniſſent les Dieux;	Je ne sépare point ce qu'unissent les Dieux;
Et l’Epous, & l’Amant, me lont fort precieux.	Et l'Épous, et l'Amant, me lont fort précieux.
CLEANTHIS.	CLÉANTHIS.
O Ciel!	Ô Ciel!
que d’aimables careſſes D'un Epous ardemment chery!	que d'aimables caresses D'un Épous ardemment chéri!
Dt que mon haiſtre de Mary Eſt loin de toutes ces tendreſſes!	Dît que mon haître de Mary Est loin de toutes ces tendresses!
MERCURE.	MERCURE.
La Nuit, qu’il me faut avertir, N’a plus qu’à plier tous ſes voiles;	La Nuit, qu'il me faut avertir, N'a plus qu'à plier tous ses voiles;
Et pour effacer les Etoiles, Le Soleil, de ſon Lit, peut mainte nant ſortir.	Et pour effacer les Étoiles, Le Soleil, de son Lit, peut mainte nant sortir.
SCENE IV.	SCÈNE IV.
CLEANTHIS, MEROURE.	CLEANTHIS, MEROURE.
cibrenrt vella an auta	cibrenrt vêla an auta
CLEANTHIS.	CLÉANTHIS.
Uoy!	Uoi!
c’eſt ainſi que l’on me quitte?	c'est ainsi que l'on me quitte?
MEMOGRE.	MEMOGRE.
Et comment donc?	Et comment donc?
ne veux-tu pas, Que de mon devoir je m’acquite?	ne veux-tu pas, Que de mon devoir je m'acquite?
Et que d’Amphitryon j’aille ſuivre les pas?	Et que d'Amphitryon j'aille suivre les pas?
CLEANTHIS.	CLÉANTHIS.
Muis uvoc cette oruſquerie, Traiſtre, de moy te ſeparer!	Muis uvoc cette orusquerie, Traître, de moi te séparer!
MERCURE.	MERCURE.
Le peau lujer de Iaenene:	Le peau lujer de Iaenene:
Nous avons tant de temps enſemble à demeurer.	Nous avons tant de temps ensemble à demeurer.
CLEANTHIS.	CLÉANTHIS.
Mais quoy!	Mais quoi!
partir ainſi d’une façon brutale, Sans me dire un ſeul mot de douceur pour regale?	partir ainsi d'une façon brutale, Sans me dire un seul mot de douceur pour régale?
MERCURE.	MERCURE.
Diantre, où veux-tu que mon Eſprit T’aille chercher des fariboles?	Diantre, où veux-tu que mon Esprit T'aille chercher des fariboles?
Quinze ans de Mariage épuiſent les paroles;	Quinze ans de Mariage épuisent les paroles;
Et depuis un long temps, nous nous ſommes tout dit.	Et depuis un long temps, nous nous sommes tout dit.
CLEANTHIS.	CLÉANTHIS.
Regarde, Traiſtre, Amphitryon.	Regarde, Traître, Amphitryon.
oy combien, pour Alcméne, il étale de flame.	oi combien, pour Alcméne, il étale de flamme.
Et rougis là-deſſus, du peu de paſſion, Que tu témoignes pour ta Femme.	Et rougis là-dessus, du peu de passion, Que tu témoignes pour ta Femme.
MERCURE.	MERCURE.
Hé, mon Dieu, Cleanthis, ils ſont encore Amans.	Hé, mon Dieu, Cléanthis, ils sont encore Amants.
Il eſt certain âge où tout paſſe:	Il est certain âge où tout passe:
Et ce qui leur ſied bien dans ces commencemens, En nous, vieux Mariez, auroit mauvaiſe grace.	Et ce qui leur sied bien dans ces commencements, En nous, vieux Mariés, aurait mauvaise grâce.
Il nous feroit beau voir attachez, face à face, A pouſſer les beaux Sentimens!	Il nous ferait beau voir attachez, face à face, À pousser les beaux Sentiments!
SLEANIAFS.	SLÉANIAFS.
Quoy!	Quoi!
ſuis-je hors d’état, Perfide, d’eſperer Qu’un Cœur auprés de moy ſoûpire?	suis-je hors d'état, Perfide, d'espérer Qu'un Cœur auprès de moi soupire?
MERCURE.	MERCURE.
Non, je n’ay garde de le dire :	Non, je n'ai garde de le dire :
Mais je ſuis trop Barbon, pour oſer ſoûpirer;	Mais je suis trop Barbon, pour oser soupirer;
Et je nclonucrardale.	Et je néonucrardale.
CLEANTHIS.	CLÉANTHIS.
Merites-tu, Pendart, cet inſigne bonheur, De te voir, pour Epouſe, une Femme d’honneur?	Mérites-tu, Pendard, cet insigne bonheur, De te voir, pour Épouse, une Femme d'honneur?
MERCURE.	MERCURE.
Mon Dieu, tu n’es que trop honneſte:	Mon Dieu, tu n'es que trop honnête:
Ce grand honneur ne me vaut rien.	Ce grand honneur ne me vaut rien.
de iois pomt nreinſle de blen;	de jois pompt nreinsle de blen;
Et me romps un peu moins la teſte.	Et me romps un peu moins la tête.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
de trop bien vivre, on te voit me blâmer?	de trop bien vivre, on te voit me blâmer?
MERCURE.	MERCURE.
La douceur d’une Femme eit tout ce qui me eflarEt ta vertu fait un vacarme, Qui ne ceſſe de m’aſſommer.	La douceur d'une Femme eit tout ce qui me eflarEt ta vertu fait un vacarme, Qui ne cesse de m'assommer.
me:	me:
CLEAN	CLÉAN
CLEANTHIS.	CLÉANTHIS.
Il te faudroit des Cœurs pleins de fauſſes tendreſſes De ces Femmes aux beaux & loüables talens, Qui ſçavent accabler leurs Maris de careſſes, Pour leur faire avaler l’uſage des Galans.	Il te faudrait des Cœurs pleins de fausses tendresses De ces Femmes aux beaux et louables talents, Qui savent accabler leurs Maris de caresses, Pour leur faire avaler l'usage des Galants.
MERCURE.	MERCURE.
Ma foy, veux-tu que je te diſe?	Ma foi, veux-tu que je te dise?
Un mal d’opinion, ne touche que les Sots.	Un mal d'opinion, ne touche que les Sots.
Et je plendiols poul ma Derne, Moins d’honneur, & plus de repos.	Et je plendiols poul ma Derne, Moins d'honneur, et plus de repos.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
tu ſouffrirois, ſans nulle repugnance, Que j’aimaſſe un Galant avec toute licence?	tu souffrirais, sans nulle répugnance, Que j'aimasse un Galant avec toute licence?
MERCURE.	MERCURE.
Oüy, ſi je n’eſtois plus de tes cris rebattu;	Oui, si je n'étais plus de tes cris rebattu;
Et qu’on te viſt changer d’humeur & de methode.	Et qu'on te vît changer d'humeur et de méthode.
J’aime mieux un Vice commode, Qu’une fatigante Vertu.	J'aime mieux un Vice commode, Qu'une fatigante Vertu.
Adieu, Cleanthis, ma chere Ame, Il me faut ſuivre Amphitryon.	Adieu, Cléanthis, ma chère Âme, Il me faut suivre Amphitryon.
Il s’en va.	Il s'en va.
CLEANTHIS.	CLÉANTHIS.
Pourquoy, pour punir cet Infame, Mon Cœur n’a-t-il aſſez de reſolution?	Pourquoi, pour punir cet Infâme, Mon Cœur n'a-t-il assez de résolution?
Ah!	Ah!
que dans cette occaſion, J’enrage d’eſtre honneſte Femme!	que dans cette occasion, J'enrage d'être honnête Femme!
Fin du Premier Acte.	Fin du Premier Acte.
B 5	 5
SOSIE.	SOSIE.
arvuua le plenca lar ce ton Monſieur, je n’ay plus rien à dire;	arvua le plenca lar ce ton Monsieur, je n'ai plus rien à dire;
Et vous aurez toujours raiſon.	Et vous aurez toujours raison.
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
tu veux me donner pour des veritez, Traître, Des contes que je vois d’extravagance outrez?	tu veux me donner pour des vérités, Traître, Des contes que je vois d'extravagance outrez?
OSIE.	OSIE.
Non, je ſuis le Valet, & vous eſtes le Maiſtre;	Non, je suis le Valet, et vous êtes le Maître;
Il n’en ſera, Monſieur, que ce que vous voudrez.	Il n'en sera, Monsieur, que ce que vous voudrez.
AMPHITRYON.	AMPHITRYON.
Cà, je veux étouffer le courroux qui m’enflame, Et, tout du long, t’oüir ſur ta Commiſſion.	Çà, je veux étouffer le courroux qui m'enflamme, Et, tout du long, t'oüir sur ta Commission.
Il faut, avant que voir ma Femme, Que je débroüille icy cette confuſion.	Il faut, avant que voir ma Femme, Que je débrouille ici cette confusion.
Rapelle tous tes ſens;	Rapelle tous tes sens;
rentre bien dans ton Ame;	rentre bien dans ton Âme;
Et répons, mot pour mot, à chaque Queſtion.	Et réponds, mot pour mot, à chaque Question.
OSIE.	OSIE.
Mais de peur d’incongruité, Dites-moy, de grace, à l’avance, De quel air il vous plaiſt que cecy ſoit traitté.	Mais de peur d'incongruité, Dites-moi, de grâce, à l'avance, De quel air il vous plaît que ceci soit traité.
Parleray-je, Monſieur, ſelon ma conſcience;	Parlerai-je, Monsieur, selon ma conscience;
Ou comme auprés des Grands on le voit uſité?	Ou comme auprès des Grands on le voit usité?
Faut-il Faut-il dire la verité;	Faut-il Faut-il dire la vérité;
Ou vien diei de complanunee?	Ou viens die de complanunee?
AMPHITRYON.	AMPHITRYON.
Non, je ne te veux obliger Qu’à me rendre de tout un conte fort ſincere.	Non, je ne te veux obliger Qu'à me rendre de tout un compte fort sincère.
OSIE.	OSIE.
Bon, c’eſt aſſez;	Bon, c'est assez;
laiſſez-moy faire:	laissez-moi faire:
Vous n’avez qu’à m’interroger.	Vous n'avez qu'à m'interroger.
AiIIIANION.	AiIIIANION.
Sur l’ordre que tantoſt je t’avois ſçu preſcrire?	Sur l'ordre que tantôt je t'avais sçu prescrire?
OSIE.	OSIE.
Je ſuis party;	Je suis parti;
les Cieux d’un noir creſpe voilez, Peſtant fort contre vous dans ce fâcheux martyre, Et maudiſſant vingt fois l’ordre dont vous parlez.	les Cieux d'un noir crêpe lés, Pétant fort contre vous dans ce fâcheux martyre, Et maudissant vingt fois l'ordre dont vous parlez.
A MPHITRYON.	À MPHITRYON.
Comment, Coquin?	Comment, Coquin?
OSIEC Monſieur, vous n’avez rien qu’à dire.	OSIEC Monsieur, vous n'avez rien qu'à -dire.
Je mentiray, ſi vous voulez.	Je mentirai, si vous voulez.
AMPHITRYON.	AMPHITRYON.
Voila comme un Valet montre pour nous du zele.	Voilà comme un Valet montre pour nous du zèle.
Tanlons.	Tanlons.
qui les enemns, que t'eſt-il arrivé?	qui les enemns, que t'est-il arrivé?
OSIE.	OSIE.
D avoir une Hayeur mortenie, Au moindre objet que j’ay trouvé.	D avoir une Haïeur morténie, Au moindre objet que j'ai trouvé.
Poltron!	Poltron!
AMPHITRYON.	AMPHITRYON.
OSIE.	OSIE.
En nous formant, Nature a ſes caprices.	En nous formant, Nature a ses caprices.
Divers panchans en hous ehle lat oplervel.	Divers penchants en hous éple lat oplervel.
Les uns à s’expoſer, trouvent mille delices:	Les uns à s'exposer, trouvent mille délices:
Moy, j’en trouve à me conſerver.	Moi, j'en trouve à me conserver.
AMPHITRYON.	AMPHITRYON.
Arrivant au Logis?	Arrivant au Logis?
SOSIE.	SOSIE.
J’ay, devant noſtre Porte, En moy-même voulu repeter un petit, Sur quel ton, & de quelle ſorte, je’iciois du combat le glonleux Recit.	J'ai, devant notre Porte, En moi-même voulu répéter un petit, Sur quel ton, et de quelle sorte, je’iciais du combat le glonleux Recit.
En ſuite?	En suite?
AMPHITRYON.	AMPHITRYON.
SOSIE.	SOSIE.
On m’eſt venu troubler, & mettre en peine.	On m'est venu troubler, et mettre en peine.
Et qui?	Et qui?
AMPHITRYON.	AMPHITRYON.
OSIE.	OSIE.
Soſie, un Moy, de vos ordres jalous, Que vous avez du Port envoyé vers Alcméne, Et qui de nos ſecrets a connoiſſance pleine, Comme le Moy qui parle à Vous.	Sosie, un Moi, de vos ordres jalous, Que vous avez du Port envoyé vers Alcméne, Et qui de nos secrets à connaissance pleine, Comme le Moi qui parle à Vous.
AMPHITRYON.	AMPHITRYON.
Quels contes!	Quels contes!
SOSIE.	SOSIE.
Non, Monſieur, c’eſt la verité pure.	Non, Monsieur, c'est la vérité pure.
Ce Moy, plutoſt que Moy, s’eſt au Logis trouvé :	Ce Moi, plutôt que Moi, s'est au Logis trouvé :
Et j’eſtois venu, je vous jure, Avant que je fuſſe arrivé.	Et j'étais venu, je vous jure, Avant que je fusse arrivé.
AMPHITRYON.	AMPHITRYON.
D’où peut proceder, je te prie, Ce galſnatlas maudit :	D'où peut procéder, je te prie, Ce galnatlas maudit :
Eſt-ce ſonge?	Est-ce songe?
eſt-ce yvrognerie?	est-ce yvrognerie?
Alienation d’Eſprit?	Alienation d'Esprit?
Ou méchante plaiſanterie?	Ou méchante plaisanterie?
OSIE.	OSIE.
Non, c’eſt la choſe comme elle eſt, Et point du tout conte frivole.	Non, c'est la chose comme elle est, Et point du tout compte frivole.
Je ſuis Homme d’honneur, j’en donne ma parole;	Je suis Homme d'honneur, j'en donne ma parole;
Et vous m’en croirez, s’il vous plaiſt.	Et vous m'en croirez, s'il vous plaît.
Je vous dis que croyant n’eſtre qu’un ſeul Soſie, Je me ſuis trouvé deux chez nous.	Je vous dis que croyant n'être qu'un seul Sosie, Je me suis trouvé deux chez nous.
Et que de ces deux Moy piquez de jalouſie, L’un eſt à la Maiſon, & l’autre eſt avec Vous.	Et que de ces deux Moi piquez de jalousie, L'un est à la Maison, et l'autre est avec Vous.
Que le Moy que voicy, chargé de laſſitude, A trouvé l’autre Moy, frais, gaillard, & diſpos, Et n’ayant d’autre inquietude, Quudebattle, e cunerdesos.	Que le Moi que voici, chargé de lassitude, A trouvé l'autre Moi, frais, gaillard, et dispos, Et n'ayant d'autre inquiétude, Quudebattle, e cunerdesos.
A MPHITRYON.	À MPHITRYON.
Il faut eſtre, je le confeſſe, D’un Eſprit bien poſé, bien tranquile, bien dous, Pour ſouffrir qu’un Valet, de Chanſons me repaiſſe.	Il faut être, je le confesse, D'un Esprit bien posé, bien tranquille, bien dous, Pour souffrir qu'un Valet, de Chansons me repaisse.
OSIE.	OSIE.
Si vous vous mettez en courrous, Pius de contelence entle nous 5 Vous ſçavez que d’abord tout ceſſe.	Si vous vous mettez en courrous, Pius de contelence entle nous 5 Vous savez que d'abord tout cesse.
AMPHITRYON.	AMPHITRYON.
Non, ſans emportement, je te veux écouter.	Non, sans emportement, je te veux écouter.
Je l’ay promis.	Je l'ai promis.
Mais dis, en bonne conſcience;	Mais dis, en bonne conscience;
Au myſtere nouveau que tu me viens conter, Eſt-il quelque ombre d’apparence?	Au mystère nouveau que tu me viens conter, Est-il quelque ombre d'apparence?
OSIE.	OSIE.
Non;	Non;
vous avez raiſon;	vous avez raison;
& la choſe à chacun, Hors de creance doit paroiſtre.	et la chose à chacun, Hors de créance doit paraître.
C’eſt un fait à n’y rien connoiſtre;	C'est un fait à n'y rien connaître;
Un conte extravagant, ridicule, importun;	Un conte extravagant, ridicule, importun;
Cela choque le ſens commun:	Cela choque le sens commun:
Mais cela ne laiſſe pas d’eſtre.	Mais cela ne laisse pas d'être.
AMPHITRYON.	AMPHITRYON.
Le moyen d’en rien croire, à moins qu’eſtre inſenſé?	Le moyen d'en rien croire, à moins qu'être insensé?
SIE.	SIE.
Je ne l’ay pas crû Moy, ſans une peine extréme.	Je ne l'ai pas cru Moi, sans une peine extrême.
Je me ſuis, d’eſtre deux, ſenty l’Eſprit bleſſé;	Je me suis, d'être deux, senti l'Esprit blessé;
Et long-tems, d’Impoſteur, j’ay traité ce Moymême.	Et longtemps, d'Imposteur, j'ai traité ce Moymême.
Mais à me reconnoiſtre, enfin il m’a forcé:	Mais à me reconnaître, enfin il m'a forcé:
I’ay veu que c’eſtoit Moy, ſans aucun ſtratagéme.	J'ai vu que c'était Moi, sans aucun stratagème.
