A VIIIDIIRTE LA ROCVREVSE GENERALE.	À VIIIDIIRTE LA ROCUREUSE GÉNÉRALE.
En verité ie doute ſi ie veille, Madame, iuſtes Dieux i’ay trop bien entendu, Prince eſt infidelle, & vous l’auez perdu.	En vérité ie me si grande veille, Madame, justes Dieux j'ai trop bien entendu, Prince est infidèle, et vous l'avez perdu.
IRENE.	IRENE.
Mais regarde pour qui ce traiſtre eſt infidelle, Admire auecque moy ſa fſâme criminelle, Voy l’horreur de ſon crime, & tu pourras juger, Sl le Ciel y prend part, & s’il me doit vanger.	Mais regarde pour qui ce traître est infidèle, Admire avec moi sa fsme criminelle, Vois l'horreur de son crime, et tu pourras juger, Sl le Ciel y prend part, et s'il me doit venger.
LE PRINCE.	LE PRINCE.
En vain plein de remords ie cherche à me défaire, D’vn mouuement bizarre, iniuſte, inuolontaire, Vn doux eſpoir meſlé d’vne ſecrette horreur, Flattant ma reſiſtance, entretient mon erreur, Mon cœur tremble en ſentant ce qu’il oſe entreprendre, Mais ſon crime eſt ſi beau qu’il ne s’en peut deffendre, I’ay beau m’en repentir, i’oſe perſeuerer, Dés que ie voy l’objet qui me fait ſoûpirer, Ie trouue dans ſes yeux ma flâme legitime, Et ſens que leur douceur en efface le crime.	En vain plein de remords était cherche à me défaire, D'un mouvement bizarre, injuste, involontaire, Un doux espoir mêlé d'une secrète horreur, Flattant ma résistance, entretient mon erreur, Mon cœur tremble en sentant ce qu'il ose entreprendre, Mais son crime est si beau qu'il ne s'en peut défendre, ay beau j'en repentir, j'ose persévérer, Deute que Dés que dobjet qui me fait soupirer, Je trouve dans ses yeux ma flamme légitime, Et sens que leur douceur en efface le crime.
Pourquoy crime?	Pourquoi crime?
ah perdons ce penſer odieux Suiuons nos premiers Rois dont on a fait de Dieux, Qui, ſi nous en croyons ce que nous dit l’hiſtoire Sont par meſmes degrez montez à meſme gloire Comme eux paſſons au rang des bien-heureur Amans, Oticouurons par la voix nos ſecrets ſentiment Les timides conſeils n’ont rien que de la honte, Parlons.	ah perdons ce penser odieux Suivons nos premiers Rois dont on a fait de Dieux, Qui, si nous en croyons ce que nous dit l'histoire Sont par mêmes degrés montez à même gloire Comme eux passons au rang des bienheureur Amants, Oticouvrons par la voix nos secrets sentiment Les timides conseils n'ont rien que de la honte, Parlons.
1119 4 IRENE.	1119 4 IRENE.
911 V1 M Ah!	911 V1 M Ah!
laiſſons-là ce traiſtre qui m’affronte.	laissons-là ce traître qui m'affronte.
Il verroit ma foibleſſe en voyant mon ſoucy, Qu’il n’ait pas le plaiſir de me trouuer icy, corcons, furiron rhigru hhucette folitude, Et Iamons ſe peri dans Ion ingratitude, Coulons nous doucement, ne nous deſcouuront pas.	Il verrait ma faiblesse en voyant mon souci, Qu'il n'ait pas le plaisir de me trouver ici, corcons, furiron rhigru hhigucette solitude, Et Iamons se péri dans Ion ingratitude, Coulons nous doucement, ne nous descouuront pas.
2	2
SCENE VI.	SCÈNE VI.
LE PRINCE, ſeul.	LE PRINCE, seul.
400 1111 111 E puis au moins baiſer les marques de tes pas Adorable merueille, incomparable Reine, Attendant qu’en ces lieux mon deſtin te rameine Ie me reſous enfin à ne plus endurer, 11119 Le mal que tu me fais ſans te le dedarer, Amour fais qu’elle eſcoute, & fais qu’elle demeure, Puiſque, ſi ie ne parle, il faudra que ie meure, Rends-là moy fauorable, & fais dans ce danger.	400 1111 111 E puis au moins baiser les marques de tes pas Adorable merveille, incomparable Reine, Attendant qu'en ces lieux mon destin te ramène Je me résous enfin à ne plus endurer, 11119 Le mal que tu me fais sans te le dédarer, Amour fais qu'elle écoute, et fais qu'elle demeure, Puisque, si ici ne parle, il faudra que A meure, Rends-là moi favorable, et fais dans ce danger.
Qu'elle ſouffre vn ſoûpir qui me peut ſoulager, Voicy l’heure à peu prés que vers ces palliſſades, Elle a tous les matins choiſi ſes promenades, Amour conduy ma langue, entre auſſi dans ſon cœur, Defay moy de ma honte, elle de ſa rigueur, Fay ſur tout, ſi nos cœurs par nos voix ne ſe monſtrent, Que dans nos yeux au moins nos ames ſe rencontrent, Car ie crains ma foibleſſe, en voyant ſes appas, Sans doute qu’interdit, ie ne parleray pas, Mais mes yeux qui peut-eſtre auront plus d’aſſeurance.	Qu'elle souffre un soupir qui me peut soulager, Voici l'heure à peu prés que vers ces pâmes, Elle a tous les matins choisi ses promenades, Amour conduis ma langue, entre aussi dans son cœur, Défai moi de ma honte, elle de sa rigueur, Fais sur tout, si nos cœurs par nos voix ne se montrent, Que dans nos yeux au moins nos âmes se rencontrent, Car ie crains ma faiblesse, en voyant ses appas, Sans doute qu'interdit, je ne parlerai pas, Mais mes yeux qui peut-être auront plus d'assurance.
Donneront de mon feu quelque foible apparence, Ou par l’vn ou par l’autre il faudra m’exprimer, Car il faut qu’elle ſçache enfin qui i’oſe aimer, Et ſi ſon cœur bleſſé trouue ma flâme eſtrange, ll faudta que ce rer au memme mtant la vange, fuyons ie vois Irene.	Donneront de mon feu quelque faible apparence, Ou par l'amour ou par l'autre il faudra m'exprimer, Car il faut qu'elle sache enfin qui j'ose aimer, Et si son cœur blessé trouve ma flamme étrange, l' audta que ce retr au même mont la venge, fuyons fait vois Irene.
SCENE VII.	SCÈNE VII.
IRENE, CARINTE.	IRENE, CARINTE.
4 IRENE.	4 IRENE.
Enfin tout eſt perdu, Ta le vois, i’en ſçay trop, i’en ay trop entendu, Ie le perds ſans reſſource, & ce qui plus m’ou trage, C’eſt qu’auec mon Amour mon honneur fait naufrage, Non qu’entre nous iamais il ſe ſoit rien paſſé, Qui puiſſe faire iniure à mon honneur bleſſé, Mais on le croit, Carinte, & ſeruant de riſée D'vn dalſtre auec cela ie me voy mepriſée,	Enfin tout est perdu, Ta le vois, j'en sais trop, j'en ai trop entendu, Je le perds sans ressource, et ce qui plus m'ou trage, C'est qu'avec mon Amour mon honneur fait naufrage, Non qu'entre nous jamais il se soit rien passé, Qui puisse faire injure à mon honneur blessé, Mais on le croit, Carinte, et servant de risée D'un dalstre avec cela ie me vois méprisée,
CARINTE.	CARINTE.
Mais puis que vous ſçauez d’où naiſt ſon changenleiit, Vous pouuez vous vanger.	Mais puis que vous savez d'où naît son changenleiit, Vous pouvez vous venger.
IRENE.	IRENE.
Ie le puis aiſement, Carinte, mais crois-tu qu’vne ſi grande offence, Se puiſſe reparer par vn trait de vangeance, Crois-tu que mon honneur puiſſe eſtre reſtably, Par la mort d’vn ingrat qui m’a miſe en oubly?	Je le puis aisément, Carinte, mais crois-tu qu'une si grande offense, Se puisse réparer par un trait de vengeance, Crois-tu que mon honneur puisse être rétabli, Par la mort d'un ingrat qui m'a mise en oubli?
Prince indigne du iour, ame laſche & traiſtreſſe, I’ay par ta bouche enfin reconnu ta foibleſſe, Les ſecrets de ton cœur me ſont tous deſcouuers, Ie voy que ie te pers, ie voy que tu me pers, Aprés tes vains ſermẽs, ie voy que tu me change, Mais dans vn meſme temps ie voy que tu me vanges, Ton foible cœur attaque vn Rocher de vertu, Qui par tes vains ſoûpirs en vain ſera batu, Qui ne peut iamais eſtre amoli par tes larmes, Deuant qui laſchement tu vas rendre les armes, Aueugle & foible eſprit voy ta temerité, Tu cherches d’attaquer la meſme Chaſteté, L’honneur qui la deffend, ſa force, & ſa conſtãce, Vont confondre ton crime auec ta repentance, Dans peu ton vain eſpoir ne t’entretiendra plus, Tu te vas conſommer en deſirs ſuperflus, Et par ton repentir ie ſeray ſoulagée, Mais ie me voudray voir plus noblement vangée, Ne croy pas que l’horreur que tu vas conceuoir, D’vn feu ſi deteſtable, & d’vn crime ſi noir, Ne croy pas qu’vn remors qui va ſuiure ta flâme, A toute heure, en tous lieux ſatisfaſſent mon ame, Si c’eſtoit à l’amour ſeul à ſe reſſentir, Il ſe pairoit peut-eſtre auec vn repentir, Mais mon honneur bleſſé dont ie ſens mieux l’outrage, Dans ce reſſentiment demande dauantage, Il veut plus que ta honte & plus que tes remors, Il veut ta mort;	Prince indigne du jour, âme lâche et traîtresse, J'ai par ta bouche enfin reconnu ta faiblesse, Les secrets de ton cœur me sont tous descouvers, Je vois que tu te pers, a voy que tu me pers, Après tes vains serments, ie vois que tu me change, Mais dans un même temps deux vois que tu me venges, Ton faible cœur attaque un Rocher de vertu, Qui par tes vains soupirs en vain sera batu, Qui ne peut jamais été amoli par tes larmes, Deuant qui la tu vas rendre les mes, Dé et foible esprit ta temerité, Tu che attaquer la me Chasteté, Thonneur vi la en, sa me, et sa constãce, Vont confondre ton crime Au tarepentance, Dans peu ton vain foi ne entretiendra plus, Tu te vas consommer en y superflus, Et , ton repentir té serai soulagée, m ie me voudrai voir plus noblement vangée, Ne croy Ta que horreur la tu a conceuoir, feu si détestable, et crime si noir, Ne la Ta qu remors qui la suiure ta flâme, A toute h, en tous lieux satisfassent mon âme, Si estoit ur seul se ressentir, Il se la peutor ç repentir, Mais mon honneur blessé et ie sens a for, Dans ce ressentiment demande dauantage, Il veut plus que ta se et plus que tes remors, Il veut ta mort;
que dis-je?	que dis-je?
il voudroit mille molts, Tu dois à cet honneur de plus grandes victimes Vne mort toute ſeule eſt trop peu pour tes crimes.	il voudrait mille molts, Tu dois à cet honneur de plus grandes victimes Vune mort toute seule est trop peu pour tes crimes.
CARINTE.	CARINTE.
Mais s’il ſe void mocqué, comme on doit l’eſperer, Il reuiendra peut-eſtre à vos pieds ſoûpirer.	Mais s'il se voit moqué, comme on doit l'espérer, Il reviendra peut-être à vos pieds soupirer.
TRENE.	TRENE.
Va tu me fais pitié d’auoir oſé le croire, En ſa mort deſormais ie mets toute ma gloire.	Va tu me fais pitié d'avoir osé le croire, En sa mort désormais homme mets toute ma gloire.
Il faut que ie le perde, & que dés auiourdhuy, Ie cherche à l’inſtãt meſme à me perdre aprés luy:	Il faut que personne le perde, et que dès auiourdhuy, Je cherche à l'instãt toujours à me perdre après belle:
FIN DV PREMIER ACTE.	FIN DU PREMIER ACTE.
B.	B.
ij.	ij.
ACTE II.	ACTE II.
SCENEI.	SCENEI.
LA RETNE, IRENE.	LA RETNE, IRENE.
LAREYNE.	LAREYNE.
VIS qu’enfin ma deffence a mis dans ſur I deuoir, Le Prince qui vous perd s’il s’obſtine à vous voir, Puis qu’il vous fuit enfin de peur de me déplaire, Contre vous, contre luy ie fuſpens ma colere, Et veux examiner l’amour qu’il a pour vous, Pour voir ſi nous pourrions en faire voſtre épour, Vous eſtes de mon ſang, & ſon amour me bleſſe, S’il cherche ſeulement à faire vne Maiſtreſſe, Ie condamne en ce cas juſqu’au moindre deſir.	VIS qu'enfin ma défense a mis dans sur I devoir, Le Prince qui vous perd s'il s'obstine à vous voir, Puis qu'il vous fuit enfin de peur de me déplaire, Contre vous, contre au ie suspens ma colère, Et veux examiner l'amour qu'il a pour vous, Pour voir si nous pourrions en faire votre épour, Vous êtes de mon sang, et son amour me blesse, S'il cherche seulement à faire une Maîtresse, Je condamne en ce cas jusqu'au moindre désir.
Mais à quoy reſuez-vous, d’où vous naiſt ce ſoûpir, Ie reſpons par cet offre aſſez à voſtre attente, Vous deuriez ce me ſemble en eſtre plus contente;	Mais à quoi rêvez-vous, d'où vous naît ce soupir, Je réponds par cet offre assez à votre attente, Vous devriez ce me semble en être plus contente;
Dés que ie l’auray veu, ie ſçauray ſon deffaut	Dès que ici l'aurai vu, Seigneur saurai son défaut
IRENE.	IRENE.
Ah!	Ah!
Madame, le Prince aſpire en lieu plus hau	Madame, le Prince aspire en lieu plus hau
LA REYNE.	LA REINE.
Il le doit, mais enfin s’il eſt homme équitable, S’il conſerue pour vous vne amour veritable,	Il le doit, mais enfin s'il est homme équitable, S'il conserve pour vous une amour véritable,
Ie veux bien l’appuyer de mon authorité, Ouy, s’il s’adreſſe à moy, s’il vient de bonne grace, Pour ſoulager ſa peine, il n’eſt rien qu’on ne faſſe, Pour vaincre ma deffence, il n’a qu’à me parler, Mais en homme ſincere, & ſans diſſimuler, Car des bruis médiſans ie ſuis importunée;	Je veux bien l'appuyer de mon autorité, Oui, s'il s'adresse à moi, s'il vient de bonne grâce, Pour soulager sa peine, il n'est rien qu'on ne fasse, Pour vaincre ma défense, il n'a qu'à me parler, Mais en homme sincère, et sans dissimuler, Car des bruis médisans ie suis importunée;
Il les fera ceſſer s’il paſſe à l’Hymenée, Et ſi d’vn feu tout pur ſon cœur eſt embrazé, Il ne laiſſera plus voſtre honneur expoſé.	Il les fera cesser s'il passe à l'Hyménée, Et si d'un feu tout pur son cœur est embrasé, Il ne laissera plus votre honneur exposé.
Car enfin, ma Couſine, & ie ne m’en puis taire, C tit vous qui lerenden rerueur ce ronedire, Le chagrin qui l’accable, & qui paroiſt ſi noir, Vient des peines qu’il ſouffre en n’oſant plus vous voir.	Car enfin, ma Cousine, et ie qui l'en puis taire, Ç it vous qui lerenden rerueur ce ronédire, Le chagrin qui l'accable, et qui paraît si noir, Vient des peines qu'il souffre en n'osant plus vous voir.
I doit vous rendre heureuſe, il n’y doit pas manquer, Et ma rigueur ne va qu’à le faire expliquer, Il peut tout ſur le Roy, qui, s’il luy veut eſcrire, Agrera fon Frymen, quoy qu’on en vueille dire, Et s’il m’en ſollicite auec ſincerité,	I doit vous rendre heureuse, il n'y doit pas manquer, Et ma rigueur ne va qu'à le faire expliquer, Il peut tout sur le Roi, qui, s'il lui rendre écrire, Agréra son Fren, quoi qu’on en veuille dire, Et s'il m'en sollicite auec sincérité,
IRENE.	IRENE.
Madame, ce chagrin vient de quelqu’autre choſe.	Madame, ce chagrin vient de quelqu'autre chose.
LA REYNE.	LA REINE.
Ert d’ou pourroit-il naiſtre, en ſçauez-vous la cauſe?	Ert d'ou pourrait-il naître, en savez-vous la cause?
1 IRENE.	1 IRENE.
Madame, ie ne voy que voſtre Majeſté, Qui puiſſe penetrer dans cette obſcurité.	Madame, Seigneur ne vois que votre Majesté, Qui puisse pénétrer dans cette obscurité.
LAREYNE.	LAREYNE.
Pourquoy moy?	Pourquoi moi?
IRENE, bas.	IRENE, bas.
Le diray-je?	Le dirai-je?
il ne m’eſt pas poſſible, Laiſſons luy deuiner ce crime trop horrible.	il ne m'est pas possible, Laissons lui deviner ce crime trop horrible.
L'A REYNE.	L'A REINE.
Parlez, confiez-moytout ce que vous penſez;	Parlez, confiez-moitout ce que vous pensez;
Bas.	Bas.
Elle l’aime, & de honte elle a les yeux baiſſez, Sauuons-luy la rougeur qui ſuy monte au viſas Et ne la laiſſons pas expliquer dauantage:	Elle l'aime, et de honte elle a les yeux baissez, Sauvons-lui la rougeur qui suis monte au visas Et ne la laissons pas expliquer davantage:
Ie cherche à vous ſeruir, & i’ay l’eſprit diſcret, Mais ie deuine Irene aſſéz voſtre ſecret, Ouy, ie penetre aſſez dans le cœur de mon frere Pour demeſler enfin cet Amoureux myſtere, Al veut vous epouſer, voila Tobſcurité, Et cherche à ſe ſeruir de mon authorité, S’il eſt vray, i’y conſens.	Je cherche à vous servir, et j'ai l'esprit discret, Mais tu devine Irene asséz votre secret, Oui, ie penetre assez dans le cœur de mon frère Pour démêler enfin cet Amoureux mystère, Al veut vous épouser, voilà Tobscurité, Et cherche à se servir de mon autorité, S'il est vrai, j'y consens.
IRENE, bas.	IRENE, bas.
Luy feray-je conneſtre, Icy pour me vangér le crime de ce traiſtrel Oüy, ie ne la puis plus laiſſer dans ſon erreur, Mais ie n’oſe parler, car i’en ay trop d’horreur.	Lui ferai-je connaître, Ici pour me venger le crime de ce traîtrel Oui, quelque ne la puis plus laisser dans son erreur, Mais je n'ose parler, car j'en ai trop d'horreur.
LA REYNE.	LA REINE.
Mais à quoy icuerrrous tIgauez-vous au choſe, Du Prince?	Mais à quoi icuerrous tIgavez-vous au chose, Du Prince?
il n’eſt plus temps d’auoir la bouche cloſe, Parlezt IRENE.	il n'est plus temps d'avoir la bouche close, Parlezt IRENE.
Ie vous diray puis que vous le voulez, Dés ſecrets que iamais ie n’aurois reuelez:	Je vous dirai puis que vous le voulez, Dès secrets que jamais tu n'aurais révélez:
Tantoſt me dérobant contre voſtre deffence, I'ay voulu voir le Prince,	Tantôt me dérobant contre votre défense, J'ai voulu voir le Prince,
LAREYNE, bas.	LAREYNE, bas.
Ahi c’eſt trop de licence,	Ahi c'est trop de licence,
IRENE.	IRENE.
Ayant ſçeu qu’il eſtoit icy dés le matin, I'ay voulu dé ſa bouche apprendre mon deſtin;	Ayant su qu'il était ici dès le matin, J'ai voulu de sa bouche apprendre mon destin;
Carinte me ſuiuoit;	Carinte me suivait;
dans ſon chagrin extreſme, Nous l’auons veu caché ſe parlant à ſoy-meſme, Et proferant le nom de voſtre Majeſté, D'vne fureur nouuelle il ſembloit agité, Son cœur ſembloit troublé de mortelles allarmes;	dans son chagrin extrême, Nous l'avons vu caché se parlant à soi-même, Et proférant le nom de votre Majesté, D'une fureur nouvelle il semblait agité, Son cœur semblait troublé de mortelles alarmes;
Il tournoit vers le Ciel ſes yeux baignez de larmes, Il ſoûpiroit ſans ceſſe, il ſe croiſoit les bras, Puis marquant par ſa voix ſon extreſme embarras, I'outrage, diſoit-il, le Ciel, & la Nature, Ie fais au Roy mon frere vne mortelle iniure, Ie m’outrage moy-meſme en cette extrémité, Mais l’amour malgré moy, force ma volonté, Pardonne à ma fureur belle & chaſte Princeſſe, Contre elle ma raiſon à monſtré ſa foibleſſe.	Il tournait vers le Ciel ses yeux baignés de larmes, Il soupirait sans cesse, il se croisait les bras, Puis marquant par sa voix son extrême embarras, J'outrage, disait-il, le Ciel, et la Nature, Je fais au Roi mon frère une mortelle injure, Je m'outrage moi-même en cette extrémité, Mais l'amour malgré moi, force ma volonté, Pardonne à ma fureur belle et chaste Princesse, Contre elle ma raison à monstré sa faiblesse.
LA REYNE.	LA REINE.
Irene, ie ſens bien où vous voulez venir, Le Prince malgré moy vous veut entretenir, Il void qu’à ſes deſirs ſeule ie fais obſtacle, Et l’embarras qu’il a, n’eſt pas vn grand miracle, Mais enfin s’il ne parle en qualité d’époux, Ie vous deffens ſa veuë;	Irene, je sens bien où vous voulez venir, Le Prince malgré moi vous veut entretenir, Il voit qu'à ses désirs seule moment fais obstacle, Et l'embarras qu'il a, n'est pas un grand miracle, Mais enfin s'il ne parle en qualité d'époux, Je vous défends sa vue;
il vient, auançons nous Ie m’en vay deſcouurir le fonds de ſa penſée, Car de ſon prõcede le me tiens onencée.	il vient, avançons nous Je m'en vais découvrir le fond de sa pensée, Car de son prõcede le me tiens onencée.
Que l’on nous laiſſe ſeuls parler en liberté.	Que l'on nous laisse seuls parler en liberté.
IRENE, bas en ſe retirant.	IRENE, bas en se retirant.
Ie m’eſtois expliquée auec trop de clarté, Mais elle a pris le change;	Je m'étais expliquée avec trop de clarté, Mais elle a pris le change;
elle va par ce traiſtre Eſtre mi eux éclaircie, elle va tout conneſtre.	elle va par ce traître Estre mi eux éclaircie, elle va tout connaître.
Il va s’ouurir l’infame, & ne peut s’engager, A luy monſtrer icy ſon cœur, ſans me vanger.	Il va s'ouvrir l'infâme, et ne peut s'engager, A lui montrer ici son cœur, sans me venger.
SCENETI.	SCENETI.
LA REYNE, LE PRINCE.	LA REINE, LE PRINCE.
LA REYNE.	LA REINE.
Voy Prince, vous fuyez vne ſœur qui vo  aime, Et qui ſouhaitte plus voſtre bien que vous n me.	Vois Prince, vous fuyez une sœur qui vo aime, Et qui souhaite plus votre bien que vous n me.
LE PRINCE, bas.	LE PRINCE, bas.
Quelle ſurpriſe, ô Dieux!	Quelle surprise, ô Dieux!
Amour qu’ay-je entendu?	Amour qu'ai-je entendu?
Jiens-tu me lecourir ?	Jiens-tu me lecourir ?
Ians toy le ruis peruu.	Jans toi le ruis pervis.
LA REYNE.	LA REINE.
Enfin ne cherchez plus d’éuiter ma preſence, sii’ay quelque pouuoir, flattez-vous d’eſperance, Ie vous appelle icy pour vous ouurir mon cœur, cioyez, irie vous ay monſtré quelque rigueur, Que l’honneur m’ordonnoit d'en vier de la ſorte, Et que mon amitié n’en eſtoit pas moins forte.	Enfin ne cherchez plus d'éviter ma présence, siiai quelque pouvoir, flattez-vous d'espérance, Je vous appelle ici pour vous ouvrir mon cœur, cioyez, irie vous ai montré quelque rigueur, Que l'honneur m'ordonnait d'en vier de la sorte, Et que mon amitié n'en était pas moins forte.
LE PRINCE, bas.	LE PRINCE, bas.
bitur que veut-elle dire, ou tendent ces diſcours?	bitur que veut-elle dire, ou tendent ces discours?
Ie voy bien que c’eſt toy qui viẽs à mon ſecours, Amour, & que tu veux ſoulager ma foibleſſe.	Je vois bien que c'est toi qui viens à mon secours, Amour, et que tu veux soulager ma faiblesse.
LA REYNE.	LA REINE.
Vous ſemblez interdit:	Vous semblez interdit:
que voſtre crainte ceſſe, Ie ſçay l’ennuy ſecret qui vous fait ſoûpirer, Prince, & ie vous permets de me le declarer, Celle qui vous oyoit m’en a fait confidence, Etrous pouuer enfin tout mettre en éuidence, Car mon frere auſſi bien les échos de ces bois, Quand vous vous parliez ſeul, ont trahy voſtre voix :	que votre crainte cesse, Je sais l'ennui secret qui vous fait soupirer, Prince, et votre vous permets de me le déclarer, Celle qui vous oyait m'en a fait confidence, Etrous pouver enfin tout mettre en évidence, Car mon frère aussi bien les échos de ces bois, Quand vous vous parliez seul, ont trahi vôtre voix :
Dites, s’il n’eſt pas vray, qu’au leuer de l’Aurore, Ious eſtiez dãs ce bois où ie vous trouue encore, Que reſueur & chagrin ſur ce gazon aſſis, Vous entreteniez ſeul vos amoureux ſoucis, Que tournant vers le Ciel vn œil ſombre & rouche, Mon nom, qu’à tous propos vous auiez en bouche, Marquoit tacitement que la Reine cauſoit, En vous ce grand defordre, & qu’on l’en cuſoit,	Dites, s'il n'est pas vrai, qu'au lever de l'Aurore, Jous étiez dans ce bois où je vous trouve encore, Que rêveur et chagrin sur ce gazon assis, Vous entreteniez seul vos amoureux soucis, Que tournant vers le Ciel un œil sombre et rouche, Mon nom, qu'à tous propos vous aviez en bouche, Marquait tacitement que la Reine causait, En vous ce grand désordre, et qu'on l'en cusait,
LE PRINCE.	LE PRINCE.
Dieux que ie ſuis ſurpris.	Dieux que ie suis surpris.
LA REYNE.	LA REINE.
Vous le voyez mon frere, Vous vous cachez en vain, ie ſçay tout le myſter Irene m’a tout dit, elle a tout entendu, Et i’ay pour voſtre bien parlé comme i’ay deu Pourquoy hezitez-vous ſçachant que ie vot aime, A me venir ouurir voſtre cœur à moy-meſme, Vous connoiſſez le mien plein de ſincerité, Vos ſecrets y ſeroient bien mieux en ſeureté, Que parmy ces Echos & ces bois infidelles, Qui vont de voſtre Amour redire les nouuelles Ne me celez donc rien, parlez-moy librement, Voyez ce que ie puis pour voſtre allegement, L'ay beaucoup d’amitié jointe à beaucoup d' ſtime, Qui me fera trouuer voſtre ardeur legitime, Qui pour vos intereſts me fera tout oſer, Parlez, puis que ie m’offre à vous fauoriſer;	Vous le voyez mon frère, Vous vous cachez en vain, je sais tout le myster Irene m'a tout dit, elle a tout entendu, Et j'ai pour moi bien parlé comme j'ai dev Pourquoi hezités-vous secachant que sans vot aime, À me venir ouvrir votre cœur à moi-même, Vous connaissez le mien plein de sincérité, Vos secrets y seraient bien mieux en sûreté, Que parmi ces Échos et ces bois infidèles, Qui vont de votre Amour redire les nouvelles Ne me celez donc rien, parlez-moi librement, Voyez ce que ie puis pour vôtre allement, L'ai beaucoup d'ai jointe beaucoup d' stime, Qui me fera trouuer vôtre ardeur legitime, Qui jo vos intérêts à bea toutoser, Parlez, puis que ie offre vous fauoriser;
Si vous me paromez mictre en roitre fâme, Ie la veux ſeconder, & de toute mon ame.	Si vous me paromez mictre en raître fâme, Je la veux seconder, et de toute mon âme.
y LE PRINCE, bas.	y LE PRINCE, bas.
ie croy qu’elle meſme aux lieux où i’ay parlé, 4111 joit ce qu’elle femt qu'henc à reuelé.	Ne crois qu'elle même aux lieux où j'ai parlé, 4111 jait ce qu'elle fût qu'henc à revelé.
1	1
LA REYNE.	LA REINE.
d’il a peine à s’ouurir!	d'il a peine à s'ouvrir!
LE PRINCE.	LE PRINCE.
Ma flâme eſt deſcouuerte, renons l’occaſion, puis qu’elle m’eſt offerte, ailons, ou bien pluſtoſt, ſi nous ſçauons aimer, larquons que noſtre Amour ne ſe peut exprimer, ſlonſtrons par nos ſoûpirs, ſi ma flâme eſt ſecrette,IE GUII.	Ma flamme est découverte, renons l'occasion, puis qu'elle m'est offerte, ailons, ou bien plustost, nous nous savons aimer, larquons que notre Amour ne se peut exprimer, slonstrons par nos soupirs, si ma flamme est secrète,IE GUII.
n'elle eſt reſpectueuſe, & timide, & dilcrerte, it que iamais ce feu n’euſt oſé s’exaler, ans le commandement qu’on m’a fait de parler.	n'elle est respectueuse, et timide, et dilcrerte, it que jamais ce feu n'eût osé s'exaler, ans le commandement qu'on m'a fait de parler.
LA REYNE.	LA REINE.
Quoy vous eſtes encore & muet, & timide, Quand ie m’offre moy-meſme à vous ſeruir de guide, Quand ie veux iuſqu’au bout ſeconder vos deſirs, entens vos yeux, mon frere, & i’entens vos ſoûpirs, Mais ie connoiſtray mieux tout le mal qui vous touche, i voſtre cœur s’explique enfin par voſtre bouche, Parlez.	Quoi vous êtes encore et muet, et timide, Quand tu m'offre moi-même à vous servir de guide, Quand Je veux jusqu'au bout seconder vos désirs, entends vos yeux, mon frère, et j'entends vos soupirs, Mais tu connaîtrai mieux tout le mal qui vous touche, y vôtre cœur j'explique enfin par notre bouche, Parlez.
LE PRINCE.	LE PRINCE.
Puis-je me taire aprés tant de bont Ouy, j’obeys, Madame, à voſtre Majeſté, Mais j’oſe proteſter dans cette obeyſſance, Si voſtre ordre abſolu n’euſt rompu mon ſilence Que l’on n’auroit iamais de ma bouche arrache Ce ſecret que mon cœur a tenu ſi caché.	Puis-je me taire après tant de bont Oui, j'obéis, Madame, à votre Majesté, Mais j'ose protester dans cette obéissance, Si votre ordre absolu n'eût rompu mon silence Que l'on n'aurait jamais de ma bouche arrache Ce secret que mon cœur a tenu si caché.
I’ayme, & j’oſe aſſeurer qu’on n’a point veu flâme, Qui ſe puiſſe égaler à celle de mon ame, come ent fenente nur de peuemm egaſer, Si c’eſt du fonds du cœur que vous daignez par ler.	J'aime, et j'ose assurer qu'on n'a point vu flamme, Qui se puisse égaler à celle de mon âme, come ent enente nur de peuemm égaser, Si c'est du fond du cœur que vous daignez par ler.
LA REYNE.	LA REINE.
Malgré voſtre ſilence, & voſtre retenuë, Mon frere, cette Amour m’eſtoit deſia connuë Et ſouuent dans mon cœur ie vous ay reproche Ce feu que ſans raiſon vous me teniez caché, Comme l’objet aimé, ſi ce feu n’eſt volage, Pourra de cet Amour tirer grand aduantage, Comme vous eſtes jeune, & dans l’âge d’a mer Sans iniuſtice enfin ie ne vous puis blâmer, Ie blaſme ſeulement voſtre iniuſte ſilence, Vous me connoiſſez bonne & pleine d’indulgence, I’ay le cœur aſſez tendre, & l’eſprit aſſez dour, Vous ſçauez l’amitié que j’eus touſiours pous voue;	Malgré votre silence, et votre retenue, Mon frère, cette Amour m'était déjà connue Et souvent dans mon cœur ie vous ai reproche Ce feu que sans raison vous me teniez caché, Comme l'objet aimé, si ce feu n'est volage, Pourra de cet Amour tirer grand avantage, Comme vous êtes jeune, et dans l'âge d'à mer Sans injustice enfin ie ne vous puis blâme, Je blâme seulement votre injuste silence, Vous me connaissez bonne et pleine d'indulgence, J'ai le cœur assez tendre, et d'esprit assez dour, Vous sçauez d'amitié que j'a toujours pous voue;
Que ne veniez-vous donc droit à moy pour me dire, En quoy ie puis flatter voſtre amoureux martire, Ah!	Que ne veniez-vous donc droit à moi pour me dire, En quoi je puis flatter votre amoureux martyre, Ah!
ne me cachez plus voſtre cœur deſormais, Puu Puis que ie ſuis fidelle en ce que ie promets.	ne me cachez plus votre cœur désormais, Pu Vis que tu suis fidèle en ce que ie effets.
