DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
Theſée peut me paroiſtre ennemy, mais ie ne puis eſtre ſon ennemie;	Thesée peut me paraître ennemi, mais tu ne puis être son ennemie;
ie veux le voir, & non pas pas le punir, ie ne me plains que de ſon abſence;	ie veux le voir, et non pas pas le punir, je ne me plains que de son absence;
doncques dés que ie le verray preſent ie n'auray plus aucun ſujet de plainte.	donc dès que venir le verrai présent je n'aurai plus aucun sujet de plainte.
EGERIE.	ÉGÉRIE.
Pouuez-vous deſirer de voir vn ennemy?	Pouvez-vous désirer de voir un ennemi?
ANTOPE.	ANTOPE.
Puis-je ne pas deſirer de voir vn Amant?	Puis-je ne pas désirer de voir un Amant?
EGERIE.	ÉGÉRIE.
IVou.	JVou.
Mym	Mym
Il m’aima.	Il m'aima.
ANTIOPE.	ANTIOPE.
20T9b eGIOmCIOILEI	20T9 éGIOmCIOILEI
LGENIE.	LGENIE.
Si ſon amour a pû vous obliger à l’aimer, ſa haine doit vous obliger à le haïr.	Si son amour a pu vous obliger à l'aimer, sa haine doit vous obliger à le haïr.
di allalE.	di allalE.
I’ay deu imiter Theſée aux actions qui m’ont ſemblé raiſonnables;	J'ai dev imiter Thesée aux actions qui m'ont semblé raisonnables;
mais ie ne dois point l’imiter en celles que ie condamne.	mais ici ne dois point l'imiter en celles que sans condamne.
EGERIL.	ÉGERIL.
211 Si vous condamnez ſon changement, pourquoy n’en condamnez vous pas l’autheur?	211 Si vous condamnez son changement, pourquoi n'en condamnez -vous pas l'auteur?
ANTIOPE.	ANTIOPE.
Il peut ſe repentir.	Il peut se repentir.
EGERIE.	ÉGÉRIE.
Il peut encore changer apres s’eſtre repenty.	Il peut encore changer après s'être repenti.
ANTIOPE.	ANTIOPE.
Vous auez trop de preuoyance.	Vous avez trop de prévoyance.
1	1
EGERIE.	ÉGÉRIE.
Vous auez tropd’amouf.	Vous avez tropd'amouf.
ANTIOPE.	ANTIOPE.
LA Si vous connoiſſiez Theſée comme ie le connoy!	LA Si vous connaissiez Thesée comme ie le connais!
oyob ioinbeu v-xOLUOT	oyob ioinbeu vu -xOLUOT
EGERIE.	ÉGÉRIE.
Ie ſerois bien mal-heureuſes que	Je serais bien malheureuses que
ANTIOPE.	ANTIOPE.
vous aunezmomgde hamHOVII	vous aunezmomgde hamHOUI
EGRIE.	ÉGRIE.
I’aurois moins de repos.	J'aurais moins de repos.
ANTIOPE.	ANTIOPE.
Il paroiſt bien à vos diſcours que vous n’auez iamais aimé.	Il paraît bien à vos discours que vous n'avez jamais aimé.
OoMobon	OùMobon
EGERIE.	ÉGÉRIE.
Ie vous aime infiniment.	Je vous aime infiniment.
ANTIOPE.	ANTIOPE.
GOMEIA  Pourquoy n’aimez vous donc pas ce que i’aime ?	GOMEIA Pourquoi n'aimez -vous donc pas ce que j'aime ?
1100 I0.	1100 I0.
EGERIE.	ÉGÉRIE.
Ie ne puis aimer ce qui vous tourmente.	Je ne puis aimer ce qui vous tourmente.
ANTIOPE.	ANTIOPE.
Mais ſi ce tourment m’eſt agreable?	Mais si ce tourment m'est agréable?
EGERLE.	ÉGERLE.
Ie le dois haïr dauantage.	Je le dois haïr davantage.
ANTIOPE.	ANTIOPE.
Pourquoy?	Pourquoi?
y.	y.
EGERIE.	ÉGÉRIE.
Parce qu’il eſt plus dangereux.	Parce qu'il est plus dangereux.
mηολωλο͂ͅ 1 LAVE TADESTRIE.	mas 1 LAVE TADESTRIE.
Auaiſit, on nous attaque.	Avaisit, on nous attaque.
ANTIOPE.	ANTIOPE.
Eſt-ce Theſée?	Est-ce Thesée?
V	V
*.	*.
TALESTRIE.	TALÊTRIE.
elih H.	elih H.
4 2 I E.	4 2 I .
Voyons cét ihumain, & perçons luy le cœur des yeux ou de la main.	Voyons cet ihumain, et perçons notre le cœur des yeux ou de la main.
D DUU	 DU
DORENIL( Fin, du premier Acte.	DORENIL( Fin, du premier Acte.
EM.	EM.
æ LL	æ LL
3 {E EGEE, MEDEE.	3 3 ÊGE, MÈDE.
I	I
L MN ZVIS que ces illuſtres Heros, ces parfaits amis, Theſée & Piritous, a combattent pour noſtre deffence, nous n’auons rien à craindre.	 MN ZVIS que ces illustres Héros, ces parfaits amis, Thesée et Piritous, a combattent pour notre défense, nous n'avons rien à craindre.
Ces ſuperbes Amazones, qui croyent vẽger leur pays par le rauage du noſtre, ſignaleront nos campagnes par leurs tombeaux, & fourniront vn champ ſpatieux à voſtre gloire.	Ces superbes Amazones, qui croient vienger leur pays par le ravage du nôtre, signaleront nos campagnes par leurs tombeaux, et fourniront ainsi champ spatieux à votre gloire.
Nos valeureux deffenſeurs ſont aux mains auec nos inſolentes ennemies, leur generoiſté n’a pû ſouffrir que ie partageaſſe auec eux les trauaux du combat, & ils veulent pourtant que ie profite ſeul des fruicts de la victoire.	Nos valeureux défenseurs sont aux mains avec nos insolentes ennemies, leur generoisté n'a pu souffrir que ie partageasse sans eux les travaux du combat, et ils veulent pourtant que sans profite seul des fruits de la victoire.
MEDEE.	MÈDE.
I’eſpere beaucoup de la valeur de ces fameux amis, mais ie crains encore dauantage de leur ambition;	J'espère beaucoup de la valeur de ces fameux amis, mais tu crains encore davantage de leur ambition;
ie veux croire qu’ils ne ſont-pas venusdans Athenes pour vous en rauir le Sceptre, mais il eſt à craindre que l’occaſion leur en faſſe naiſtre le deſir, & ſi i’ay quelque connoiſſance des choſes, Theſée n’eſt point ſans quelque grand deſſein:	Ce veux croire qu'ils ne sont-pas venusdans Athènes pour vous en ravir le Sceptre, mais il est à craindre que l'occasion leur en fasse naître le désir, et si j'ai quelque connaissance des choses, Thesée n'est point sans quelque grand dessein:
j’obſeruay ſon viſage lors qu’il s’approcha de vous, & j’y vis des marques infaillibles d’vne ame troublée.	j'observai son visage lors qu'il s'approcha de vous, et j'y vis des marques infaillibles d'une âme troublée.
EGEE.	ÉGE.
Si vous euſſiez pris garde à moy, vous euſſiez ſans doute remarqué des mouuemens ſemblables aux ſiens;	Si vous eussiez pris garde à moi, vous eussiez sans doute remarqué des mouvements semblables aux siens;
ie n’ay pù m'empeſcher de treſſaillir dés l’inſtant que ie l’ay veu:	Ce n'ai pu m'empêcher de tressaillir dès l'instant que personne l'ai vu:
Direz-vous auſſi que i’ay quelque grand deſſein contre luy	Direz-vous aussi que j'ai quelque grand dessein contre notre
MEDEE.	MÈDE.
Ie ne le diray point Seigneur, mais s’il vous plaiſt d’eſcouter mon raiſonnement, i’eſpere de luy perſuader que ce qui cauſe ſon aſſeurance deut eſtre le ſujet de ſa crainte.	Je ne le dirai point Seigneur, mais s'il vous plaît d'écouter mon raisonnement, j'espère de lui persuader que ce qui cause son assurance deut être le sujet de sa crainte.
on	on
le EGUESPVMME Medée ne doit iamais douter que ie ne l’eſcoute agreablement, & ie l’aime trop pour ne pas croire que toutes ſes penſées ſont raiſonnables.	le EGUESPVMME Medée ne doit jamais douter que je ne l'écoute agréablement, et ie ondaime trop pour ne pas croire que toutes ses pensées sont raisonnables.
C ii	Ç Ci
MEDEE.	MÈDE.
Dés l’entrée de ce diſcours ie proteſte, Seigneur, que ie nè pretends pas de vous rendre Theſée ſuſpect iuſques au point d’authoriſer vne precautiomviolentei mais ie veux ſeulement temperer la trop grande confiance que vous poumiez auoit en luy, & tacher de preucnir des maux qui ſeroient incurables.	Dès l'entrée de ce discours on proteste, Seigneur, que je né tends pas de vous rendre Thesée suspect jusques au point d'autoriser une precautiomviolentei mais ainsi veux seulement tempérer la trop grande confiance que vous poumiez avait en rendre, et tacher de preucir des maux qui seraient incurables.
EGEE.	ÉGE.
Alauio coiliiene me pourren tous prouuer que mon émotion medoiue faire peur, pluſtoſt que celle de Theſée?	Alauio coiliène me pourren tous prouver que mon émotion médoive faire peur, plutôt que celle de Thesée?
On	On
L'in QUOV) MEDEE.	L'in QUOU) MÈDE.
L’émotion de Theſée peut trouuerſon excuſe dans la Majeſté des Roys, qui produit preſque toûjours ces marques de reſpect:	L'émotion de Thesée peut trouverson excuse dans la Majesté des Rois, qui produit presque toujours ces marques de respect:
Mais lavoſtre ne peut proceder que d’vne crainte ſecrette, qui par vne voye incõnuë ſe gliſſe dans l’ame à l’objet d’vn ennemy couuert.	Mais lavotre ne peut procéder que d'une crainte secrète, qui par une voie incõnuë se glisse dans l'âme à l'objet d'H ennemi couvert.
Les grandes connoiſſances qu’Apollon mon peré m’a donné des cauſes de preſque tous les effets que les ſçauants admirent, m’ont appris qu’il y a vn commerce entre nos eſprits, ſans l’entremiſe.	Les grandes connaissances qu'Apollon mon péré m'a donné des causes de presque tous les effets que les savants admirent, m'ont appris qu'il y a un commerce entre nos esprits, sans l'entremise.
des ſens, d’où ſe forment l’amour & la haine, que nous appellons d’inclination, & d’où procedent ces craintes & ces deſirs dont nous ignorons les cauſes;	des sens, d'où se forment l'amour et la haine, que nous appelons d'inclination, et d'où procèdent ces craintes et ces désirs dont nous ignorons les causes;
c’eſt par cette voye que l’honreur s’introduit dans noſtre amę à l’abond d’vn mauuais Démon, quoy qu’inuiſible;	c'est par cette voie que l'honreur s'introduit dans notre amis à l'abond d' mauuais Mon, quoi qu'invisible;
d’eſt de cette cauſe que procede l’ouuerture de la playe dVil loiſniſe ſiotrant à Ia lencontre du meurtrie oboM	d'est de cette cause que procède l'ouverture de la plaie dVil loisnise siotrant à Ia lencontre du meurtrie oboM
1oy S5ſmmo Æ GE EtD ol entbiinal Mais ſi l’eſprit peut eſtre touché de crainté à l’abord d’vn eſprit ennemy, n’eſt-il pas vrayſemblablequ’il peut eſtre émeu deioye à la cencontre d’vn eſprit amy?	1oi S5smblo ÇÀ ED ol entrbiinal Mais si l'esprit peut -être touché de crainté à l'abord d'un esprit ennemi, n'est-il pas vraisemblablequ'il peut être ému deioie à la cencontre d'il esprit ami?
Et ſi i’aime Theſée, ne puis-je pas croire ſans ſortir des termes de voſtroraiſonnement, que mon émotion n’a procedé que d’vn excés de plaiſir?	Et si j'aime Thesée, ne puis-je pas croire sans sortir des termes de vostroraisonnement, que mon émotion n'a procédé que d'un excès de plaisir?
Et ne dois-je pas tout eſperer de ſonſecours, puiſque ſa ſeule preſence me donne tant de ioye?	Et ne dois-je pas tout espérer de sonsecours, puisque sa seule présence me donne tant de joie?
M’EDEE.	M'ÉDE.
Les émoſions que la ioye produit ſont bien differentes de celles qui procedent de l’hõrreur:	Les émosions que la joie produit sont bien différentes de celles qui procèdent de l'honneur:
Ie croy pourtant que vous pouuez beaucoup eſperer de Theſée;	Je crois pourtant que vous pouvez beaucoup espérer de Thesée;
mais e ne penſe pasque vous deuiez negliger la défiance.	mais ne pense pâque vous deviez négliger la défiance.
1 4	1 4
HUOG UOV EGEEA ·OIO I’en auray puiſque vous l’approuuez autant que la bien-ſeance m’en pouria permettre, & pour commencer à vous le témoigner, ie ſeray bien.	HUG UOU EGEEA ·OIO J'en aurai puisque vous l'approuvez autant que la bienséance m'en pourjà permettre, et pour commencer à vous le témoigner, tu serai bien.
aiſe que nous allions voir du haut de cette Tour, les déportemens de nos defenſeurs:	aise que nous allions voir du haut de cette Tour, les déportements de nos défenseurs:
il nous ſera facile de iuger de leurs intentions par ces premiers efforts.	il nous sera facile de juger de leurs intentions par ces premiers efforts.
OHEDHNOMEDEE.	OHÉDHNOMEDE.
Nous découurons de ce rempart tout ce qui le lait dans le Camp, & ie commence à voir Theſée.	Nous découvrons de ce rempart tout ce qui le lait dans le Camp, et ton commence à voir Thesée.
h 11 2	h 11 2
EA EGEE.	EA ÉGE.
MU Ouy, mais il nous peut voir, & ie croy que nous deuons nous cacher, de crainte qu’il n’one agienoremene, letirons nous uonc & montons ſur cette terraſſe, d’où nous pourrons les von lune chrenie veus.	MU Oui, mais il nous peut voir, et ainsi crois que nous devons nous cacher, de crainte qu'il n'one agienoremène, letirons nous onc et montons sur cette terrasse, d'où nous pourrons les von lune chren us.
n lin dnnUuou	 lin dînUuou
10 TIT 11 ANTIOTEJ IHEVEE.	10 TIT 11 ANTIOTE IHEVEE.
Voy barbare, vous fuyez Antiope!	Vois barbare, vous fuyez Antiope!
HESEE.	HÉSE.
Quoy, Madailie, vous poulſuiuez Theſée!	Quoi, Madailie, vous poulsuivez Thesée!
ANTIOPE.	ANTIOPE.
Theſée défend il vne ville que j’attaque?	Thesée défend il une ville que j'attaque?
THE4	THÉ4
HESEE.	HÉSE.
Antiope ataque-t ene vne ville que ie défends?	Antiope ataque-t ene une ville que . défends?
ANTIOPE.	ANTIOPE.
Ie dois venger les Amazones.	Je dois venger les Amazones.
THESEE.	THESEE.
Ie dois proteger les Grecs.	Je dois protéger les Grecs.
ANTTOPE.	ANTOPE.
Vous me deuez voſtre affection.	Vous me devez votre affection.
THESEE.	THESEE.
Ie vous la conſerue inuiolable.	Je vous la conserve inviolable.
IIIOIL.	IIIOIL.
Eſt-ce me le témoigner que de prendre le party d’Egée contre moy?	Est-ce me le témoigner que de prendre le parti d'Egée contre moi?
7	7
HESEE.	HÉSE.
Voulez-vous que ie prenne le voſtre contre ma patrie?	Voulez-vous que ici prenne le vôtre contre ma patrie?
A I TIOPE.	À I TIOPE.
Ie vous le défends.	Je vous le défends.
THESEE.	THESEE.
Que deuois-je donc faire?	Que devais-je donc faire?
M ANTIOPE.	M ANTIOPE.
mis Monv MA Rien.	mis Monv MA Rien.
no	nô
THESEE.	THESEE.
Quoy, ie deuois demeurer dans l’oiſiueté, tandis que toute la Grece eſtoit en armes?	Quoi, Seigneur devais demeurer dans l'oisiveté, tandis que toute la Grèce était en armes?
ANTIOPE.	ANTIOPE.
121 UOV IHIE Ouy, puiſque vous ne pouuez en ſortir ſans vous rendre criminel.	121 UOU IHIE Oui, puisque vous ne pouvez en sortir sans vous rendre criminel.
Mais Theſée, apres vous auoir demandé la cauſe de voſtre fuite, n’ay-je pas occaſion de douter à quel deſſein vous reuenez?	Mais Thesée, après vous avoir demandé la cause de votre fuite, n'ai-je pas occasion de douter à quel dessein vous revenez?
Eſt-ce pour faire ceſſer les déplaiſirs que voſtre abſence m’a cauſe?	Est-ce pour faire cesser les déplaisirs que votre absence m'a cause?
Les armes que vous me preſentez ne me permettent pas d’auoir cette pensée:	Les armes que vous me présentez ne me permettent pas d'avoir cette pensée:
Eſt-ce pour entichir Egée des dépoüilles d’Antiope?	Est-ce pour entichir Egée des dépouilles d'Antiope?
Ces meſmes armes que vous baiſſez contre terte ſemblent me défendre ce ſoupçon.	Ces mêmes armes que vous baissez contre terte semblent me défendre ce soupçon.
Tirez-moy de gracé de l’incertitude ouie ſuis:	Tirez-moi de grâce de l'incertitude ouïe suis:
mais reſſouuenez vous que ie ſuis femme, & qu’il n’importe que vous trahiſſiez la verité, pourueu que vous flattiez ma paſſion.	mais ressouvenez vous que je suis femme, et qu'il n'importe que vous trahissiez la vérité, pourvu que vous flattiez ma passion.
THESEE.	THESEE.
Quand vous me demandez, Madame, pourquoy i’ay fuy, vous me demandez la raiſon d’vne action qui n’en peut auoir:	Quand vous me demandez, Madame, pourquoi j'ai fui, vous me demandez la raison d'une action qui n'en peut avoir:
D’où puis-je tirer vn raiſonnnable ſujet de fuyr vne Amazone, vne charmante Reyne?	D'où puis-je tirer un raisonnable sujet de fuir une Amazone, une charmante Reine?
Si ie la conſidere comme ennemie, l’honneur m’ordonne de l’attendre;	Si ici la considère comme ennemie, l'honneur m'ordonne de l'attendre;
& ſi ie la regarde comme amie, la bienſeance & l’amour me le derendenti ripres vous auoir dit pourquoy ie ne deuois pas fuyr deuant vous, ie ne croy pas eſtre obligé de vous dire ce qui m’a fait arreſter:	et si ici la regarde comme amie, la bienséance et l'amour me le derendenti près vous avoir dit pourquoi grande ne devais pas fuir devant vous, je ne crois pas être obligé de vous dire ce qui m'a fait arrêter:
Mais puiſque vous auez causé ma fuite & mon retour en me pourſuiuant & en ceſſant de me pourſuiure, ne puisje pas vous demander pourquoy vous m’auez paululuy rec pourquoy cousne inc pourſuiuez plus?	Mais puisque vous avez causé ma fuite et mon retour en me poursuivant et en cessant de me poursuivre, ne puisje pas vous demander pourquoi vous m'avez paululuy recui pourquoi coutne inc poursuivez plus?
ANTIOPE.	ANTIOPE.
Quoy!	Quoi!
vn barbare qui foulant aux pieds tous les deuoirs de l’humanité & de la bienſeance, attaque vne armée de belles femmes?	un barbare qui foulant aux pieds tous les devoirs de l'humanité et de la bienséance, attaque une armée de belles femmes?
Vn ingrat qui choque des deſſeins qu’il deuroit proteger au peril de ſa vie, vn ennemy mortel qui vient porter la terreur & la mort iuſques dans mon quartier, qui fait ſi peu d’eſtat d’vn lieu que la Majeſté des Roys rend inacceſſible à Ia violence:	Un ingrat qui choque des desseins qu'il devrait protéger au péril de sa vie, un ennemi mortel qui vient porter la terreur et la mort jusque dans mon quartier, qui fait si peu d'état d'un lieu que la Majesté des Rois rend inaccessible à Ia violence:
& pour dire encore dauahtage, vn infidelle s’eſtonne dequoy ie le pourſuis!	et pour dire encore davahage, un infidèle s'étonne de quoi le poursuis!
Et Theſée ce genereux Prince qui a bien eu autrefois aſſez de bonté pour me promettre vne affection immortelle;	Et Thesée ce généreux Prince qui a bien eu autrefois assez de bonté pour me promettre une affection immortelle;
ce modeſte conquerant, qui s’eſt contenté de triompher de ſon ambition, lors qu’il pouuoit triompher de la Reyne des Amazones;	ce modeste conquérant, qui s'est contenté de triompher de son ambition, lors qu'il pouvait triompher de la Reine des Amazones;
qui m’a tant de fois iuré que i’eſtois le ſeul objet qui plaiſoit à ſes yeux, & qui a eu tant d’occaſion de croire que ſa preſence m’eſtoit agreable!	qui m'a tant de fois juré que j'étais le seul objet qui plaisait à ses yeux, et qui a eu tant d'occasion de croire que sa présence m'était agréable!
Theſée me demande pourquoy i’ay ceſſé de le pourſuiure?	Thesée me demande pourquoi j'ai cessé de le poursuivre?
Ah!	Ah!
i’ay dû pourſuiure vn ennemy, mais i’ay voulu ceſſer depoululuie llicice.	j'ai dû poursuivre un ennemi, mais j'ai voulu cesser dépoululuie licice.
THESEE.	THESEE.
Dieu que voſtre generoſité me fait de honte!	Dieu que votre générosité me fait de honte!
ANTIOPE.	ANTIOPE.
Eſtes-vous ſatisfait, apres cette declaration ne puis-je pas vous en demander vne autre?	Êtes-vous satisfait, après cette déclaration ne puis-je pas vous en demander une autre?
Voſtre viſage ſe trouble, vous craignez qu’Antiope vous reproche voſtremanque de foy?	Votre visage se trouble, vous craignez qu'Antiope vous reproche vostremanque de foi?
qu’elle vous en demande la cauſe?	qu'elle vous en demande la cause?
Ne vous r’aſſeurez point, voſtre deſordre me rauit, c’eſt vne marque que vous n’eſtes pas encore bien confirmé dans voſtre crime:	Ne vous rassurez point, votre désordre me ravit, c'est une marque que vous n'êtes pas encore bien confirmé dans votre crime:
mais ne craignez pas pourtant que ie renouuelle le paſſé:	mais ne craignez pas pourtant que Seigneur renouvelle le passé:
ſouffrez ſeulenient que le vous uemande quels ſont vos deſſeins pour l’auenir, & pourquoy vous tâchez de diminuer les conqueſtes d’vne Reyne qui a touſiours fait gloire d’augmenter les voſtres?	souffrez seulénient que le vous emande quels sont vos desseins pour l'avenir, et pourquoi vous tâchez de diminuer les conquêtes d'une Reine qui a toujours fait gloire d'augmenter les vôtres?
THESEE.	THESEE.
Puiſque vous auez aſſez de bonté pour vouloir m’entendre en mes iuſtifications, & pour diſtinguer encore en ma perſonne les noms de Theſée d’auec celuy demieinyi queique ſoin qu’il ait paru que i’aye pris de les confondre, ie ne vous celeray point les veritables motifs de mon apparente rebellion.	Puisque vous avez assez de bonté pour vouloir m'entendre en mes justifications, et pour distinguer encore en ma personne les noms de Thesée d'avec celui demieiny queique soin qu'il ait paru que j'aie pris de les confondre, ieans vous cèlerai point les véritables motifs de mon apparente rébellion.
Il eſt vray que parſtant de vos terres ie vous promis d’y retournet, & que vous euſtes aſſez de ciuilité pour faire ſemblant de le deſirer.	Il est vrai que parstant de vos terres Dieux vous promis d'y retournet, et que vous eûtes assez de civilité pour faire semblant de le désirer.
Mais ce conſeiller fidelle.	Mais ce conseiller fidèle.
LANTIOPE.	LANTIOPE.
UMIMIOISE Tlouueninououppaminuene boidy qui vouls a conſeillé de fairesvne infidelité?	OÙMIMIOISE Tlouueninououppaminuene boidi qui vouls a conseillé de fairesvne infidélité?
o	ô
MURILHALTHESEE.	MURILHALTHÉSE.
EIDOE Ne m’en accuſez poim, & permettez que ie vous diſe que le temps, et aconſeiller qui ne trompe iamais, & qui fait voirles choſes ſoubs leurs veritables viſages, me montra bien-toſt apres mon départ le peur d’occaſion que vous auiez de deſirer mon retour, & le peu de ſujet que i’auois d’imaginer que vous la deſiraſſiez:	EIDOE Ne m'en accusez poim, et permettez que je vous dise que le temps, et aconseiller qui ne trompe jamais, et qui fait voirles choses sous leurs véritables visages, me montra bientôt après mon départ le peur d'occasion que vous aviez de désirer mon retour, et le peu de sujet que j'avais d'imaginer que vous la désirassiez:
Ainſi ie me priuay d’vne veuë qui m’euſt eſté tres-agreable par la crainte de ne vous l’eſtre point.	Ainsi ie me privai d'une vue qui m'eût été très-agréable par la crainte de ne vous l'être point.
Vous diray-je l’eſtat ou cette priuation m’a mis?	Vous dirai-je l'état où cette privation m'a mis?
Celuy où ie me voy ne me permet pas derpeici volie crcairecen cetemroit:	Celui où belle me vois ne me permet pas derpici volie crcairecen cetemrait:
je m'en tairay donc.	je m'en tai donc.
ANTIOPE.	ANTIOPE.
Ne me faites point ce tort, & ſçachez que ie ruis abſolument reſoluë à croire tout ce qui peut vous iuſtifier enuers moy.	Ne me faites point ce tort, et sachez que personne ruis absolument résolue à croire tout ce qui peut vous justifier envers moi.
2 THESEE.	2 THESEE.
Il y a de l’impudence de paroiſtre deuãt vous les armes à la main & de vous dire que la penD iij ſéer do l’amitié!	Il y a de l'impudence de paraître devant vous les armes à la main et de vous dire que la penD iij séer do l'amitié!
que vous m’auiez promis eſt la ſeule qui apuflatten mon ame de quelque plaiſir depuisque ie me ſuis ſeparée de vous, & ie ſerois injuſte autant quelie parois ingrat, ſi ie voulois vous obliger à croire des paroles ſi viſiblement contredites par mes actionsn mais Ireſt pourtant vraj-quele ſouuenir de vos bontez a fait toutemaioye.	que vous m'aviez promis est la seule qui apufflatten mon âme de quelque plaisir depuisque sans me suis séparée de vous, et a pprois injuste autant quelie parais ingrat, si tu voulais vous obliger à croire des paroles si visiblement contredites par mes actionsn mais Irêt pourtant rajue nir de vos bontés a fait toutemaie.
uos dom	uos dom
Ip MMIMMANIOVE.	Ip MMIMANIOUE.
DIII Mais Theſée.	DIII Mais Thesée.
THESEE.	THESEE.
Vous allez me demander encore pourquoy eſt-ce que i’ay pris les armes pour ſes ennemis?	Vous allez me demander encore pourquoi est-ce que j'ai pris les armes pour ses ennemis?
Ie vous doy ſatisfaire;	Je vous dois satisfaire;
mais ſouuenezt vous que vous m’auez permis d’adjouſter à la verité.	mais souvenez vous que vous m'avez permis d'ajouter à la vérité.
pour rendre ma faute plus excuſable, & ne croyez pas que i’abuſe de cette liberté.	pour rendre ma faute plus excusable, et ne croyez pas que j'abuse de cette liberté.
MMANTIOPELDE MMI Si le veritable recip des moriſs de voſtre entrée dans Athenes, & de voſtre ſortie contre nous ne vous laiſſe aucunc voye pour vous ſauuer du crime d’ingratitude, de grace dipargnez vous la peine de le faire, & laiſſez moy dans la penſée que vous n’en eſtés pas abſolument coupable.	MMANTIOPELDE MMI Si le véritable recip des moriss de votre entrée dans Athène, et de votre sortie contre nous ne vous laisse aucun voie pour vous sauver du crime d'ingratitude, de grâce dipargnez vous la peine de le faire, et laissez moi dans la pensée que vous n'en est pas absolument coupable.
ho THESEE.	ho THESEE.
AII	AII
Puiſque monannocence & ma condamnationſont en vos mains, ie puis me declarer ouuertement ſi vous deſirez de m’abſoudre;	Puisque monannocence et ma condamnationsont en vos mains, tu puis me déclarer ouuertement si vous désirez de m'absoudre;
vous le pouuez auſſi bien par vn acte de clemẽce, que par vn ſentiment de juſtice:	vous le pouvez aussi bien par un acte de clémence, que par un sentiment de justice:
& ſoit que ie paromemhno cent ou crminel, ie ſeray touſiours innocent ſi vous me pardonnez.	et soit que personne paromemhno cent ou créminel, tu serai toujours innocent si vous me pardonnez.
ANTIOPE.	ANTIOPE.
I Quelque auantage que ie peuſſe retirer de la gloire de vous auoir pardonné, i'aime bien mieux que vous n’ayez pas failly.	I Quelque avantage que votre peusse retirer de la gloire de vous avoir pardonné, j'aime bien mieux que vous n'ayez pas failli.
THESEE.	THESEE.
11 Si dans le commerce de la terre, auſſi bien que dans celuy du Ciel, lantention pouuoit iuſtifier les actions, ie ne ſerois pas maintenant en peine de vous dire ce que i’ay deſiré de faire, qui n’a pû paroiſtre dans ce que i’ay fait.	11 Si dans le commerce de la terre, aussi bien que dans celui du Ciel, lantention pouvait justifier les actions, votre ne serais pas maintenant en peine de vous dire ce que j'ai désiré de faire, qui n'a pu paraître dans ce que j'ai fait.
Sçachez donc Madame, qu’ayant appris que vous vous auanciez vers la Grece, le deſir que i’ay touſiours conſerué de vous reuoir ne m’a pû permettre d’arreſter à Trezene:	Sachez donc Madame, qu'ayant appris que vous vous avanciez vers la Grèce, le désir que j'ai toujours conservé de vous revoir ne m'a pu permettre d'arrêter à Trezene:
j’en ſuis donc party auec cette penſée.	j'en suis donc parti avec cette pensée.
Ie n’eſtois pas loin d’Athenes lors que i’ay ſçeuque vous auiez deſſein de l’aſſieger, & d’aſſubjettir en ſuite toute la Grece:	Je n'étais pas loin d'Athène lors que j'ai sujet vous aviez dessein de l'assiéger, et d'assubjettir en suite toute la Grèce:
Cette nouuelle a bien troublé mon ame;	Cette nouvelle a bien troublé mon âme;
ie ſuis Grec, ie ſuis Prince, ie ſuis dans quelque legere eſtime, ces qualitez ne m’ont pû permettre de ioindre mes armes aux voſtres, de crainte de paroiſtre perfide à ma patrie, & par conſequent indigne de voſtre amitié:	Il suis Grec, ie suis Prince, je suis dans quelque légère estime, ces qualités ne m'ont pu permettre de joindre mes armes aux vôtres, de crainte de paraître perfide à ma patrie, et par conséquent indigne de votre amitié:
I’ay donc voulu retourner ſur mes pas, mais enfin le deſir qui m’auoit fait partir m’a fait encore pouſſer plus auant, i’ay penſé qu’il valloit mieux paroiſtre ennemy d’Antiope, que dene la voir point.	J'ai donc voulu retourner sur mes pas, mais enfin le désir qui m'avait fait partir m'a fait encore pousser plus avant, j'ai pensé qu'il vallait mieux paraître ennemi d'Antiope, que dene la voir point.
le ſuis donc entré dans Athenes:	le suis donc entré dans Athènes:
& lors qu’on a voulu faire vne ſortie, i’ay demandé la permiſſion d’attaquer voſtre quartier, mon deſſein a reüſſi, ie vous y ay veuë;	et lors qu'on a voulu faire une sortie, j'ai demandé la permission d'attaquer votre quartier, mon dessein a réussi, je vous y ai vue;
vous m’auez pourſuiuy auec les ſentimens que vous pouuoit donner celuy que ie vous paroiſſois, & ie me ſuis deſtourné auec la penſée que deuoit auoir celuy que i’eſtois en effet:	vous m'avez poursuivi avec les sentiments que vous pouvait donner celui que je vous paraissais, et été me suis détourné avec la pensée que devait avoir celui que j'étais en effet:
ma fuite vous amiſe en peine;	ma fuite vous amise en peine;
vous auez ceſſé de me pourſuiure, pour m’en demander la cauſe, ie me ſuis arreſté pour vous la dire, & vous pouuez iuger par tout ce qui s’eſt paſſé depuis dans noſtre conuerſation, s’il eſt vrayſemblable que Theſée ait voulu vaincre Antiope, en faueur de ſes ennemis, ouqu’il l’ait voulu voir à la faueur de ſes ennemis.	Vous avez cessé de me poursuivre, pour m'en demander la cause, je me suis arrêté pour vous la dire, et vous pouvez juger par tout ce qui s'est passé depuis dans notre conversation, s'il est vraisemblable que Thesée ait voulu vaincre Antiope, en faveur de ses ennemis, ouqu'il l'ait voulu voir à la faveur de ses ennemis.
ANTIOPE.	ANTIOPE.
