E 2 AVA DAMES	 2 AVA DAMES
Tu mourras ſans le perdre, & ſans la ſecourir?	Tu mourras sans le perdre, et sans la secourir?
Ha!	Ha!
laſche, meurs pluſtoſt, d’auoir voulu mourir.	lâche, meurs plutôt, d'avoir voulu mourir.
Entens, entens la voix de la triſte Princeſſe, Qui ſe meſle à ſes pleurs, qui t’appelle ſans ceſſe, Qui ſignale en ce lieu ſon amour & ſa foy, Et qui ſemble te dire, Vrſace, ſauue moy.	Entends, entends la voix de la triste Princesse, Qui se mêle à ses pleurs, qui t'appelle sans cesse, Qui signale en ce lieu son amour et sa foi, Et qui semble te dire, Vrsace, sauve moi.
Pardonne, chere Eudoxe, au deſſein qui te faſche:	Pardonne, chère Eudoxe, au dessein qui te fâche:
Ce cœur eſt affligé, mais ce cœur n'eſt point laſche.	Ce cœur est affligé, mais ce cœur n'est point lâche.
Il a voulu mourir, te voyant enleuer, Il veut viure & mourir, afin de te ſauuer.	Il a voulu mourir, te voyant enlever, Il veut vivre et mourir, afin de te sauver.
Allons, allons, Olimbre, où la fureur m’emportes Il n’eſt point de Palais, ny de garde aſſez forte, Pour retenir vn cœur qu’on ne peut ſurmonter.	Allons, allons, Olimbre, où la fureur m'emportes Il n'est point de Palais, Seigneur de garde assez forte, Pour retenir un cœur qu'on ne peut surmonter.
Le Throſne ades degrez par où l’on peut monter:	Le Thrône ades degré par où l'on peut monter:
C’eſt en vain qu’vn tyran y veut cacher ſon crime;	C'est en vain qu'un tyran y veut cacher son crime;
Qui ne vit point en Roy, n'eſt pas Roy legitime;	Qui ne vit point en Roi, n'est pas Roi légitime;
Et qui ne ſauue point ſa Reine d’vn mal-heur, Eſt perfide ſujet, ou ſoldat ſans valeur.	Et qui ne sauve point sa Reine d'un malheur, Est perfide sujet, ou soldat sans valeur.
A la mort, à la mort, ou pluſtoſt à la gloire;	À la mort, à la mort, ou plutôt à la gloire;
La fortune auiourd’huy ne tient point la victoire;	La fortune aujourd'hui ne tient point la victoire;
Elle deſpend de nous, elle eſt en cette main;	Elle dépend de nous, elle est en cette main;
Elle s’en va punir ce Monarque inhumain;	Elle s'en va punir ce Monarque inhumain;
Rien ne peut s’oppoſer à ma iuſte vangeance:	Rien ne peut s'opposer à ma juste vengeance:
abaats enſipaut utſſein ceut ut ta diligence;	abaats ensipaut utssein ceut ut ta diligence;
Ne perdons point de tẽps, & mõtrons auiourd’huy, Qu'en mépriſant ſa vie, ontient celle d’autruy.	Ne perdons point de temps, et montrons aujourd'hui, Qu'en méprisant sa vie, ontient celle d'autrui.
OLIMBRE.	OLIMBRE.
Ie ſuis preſt de mourir, & pour voſtre ſeruice, Et pour ma Placidie, & pour l’Imperatrice:	Je suis prêt de mourir, et pour votre service, Et pour ma Placidie, et pour l'Impératrice:
Vrſace, aucun peril ne peut m'eſpouuenter, Et ie n'en connois point que ie n'oſe tenter.	Vrsace, aucun péril ne peut m'espouuenter, Et tu n'en connais point que ie n'ose tenter.
Mais quoy, noſtre eſperance eſt ſans doute deſtruite;	Mais quoi, notre espérance est sans doute détruite;
Si la force en ce iour agit ſans la conduite:	Si la force en ce jour agit sans la conduite:
Au milieu de ſa Cour, aſſaßiner vn Roy, C’eſt ſe perdre ſans fruit, & tout perdre auec ſoy, Attendons, il s’agit d’vne affaire trop grande.	Au milieu de sa Cour, assiner un Roi, C'est se perdre sans fruit, et tout perdre avec soi, Attendons, il s'agit d'une affaire trop grande.
VRSACE.	VRSACE.
Helas, trop ſage Amy, que veux-tu que i'attende?	Hélas, trop sage Ami, que veux-tu que j'attende?
Qu'vn barbare inſolent me rauiſſe mon bien?	Qu'un barbare insolent me ravisse mon bien?
Qu'il m'enleue vn thefor, qu'itne me taiffe rien?	Qu'il m'enlève un thefor, qu'itne me taise rien?
Et que ie ſois venu ſur les riues d’Affrique, Pour rendre ma diſgrace, ou ma honte publique?	Et que ici sois venu sur les rives d'Afrique, Pour rendre ma disgrâce, ou ma honte publique?
4– 6 Qu'Vrſace n’ait veſcu ſans ioye & ſans bon-heur, Que pour mourir apres, ſans gloire, & ſans honneur?	40 6 Qu'Unsace n'ait vécu sans joie et sans bonheur, Que pour mourir après, sans gloire, et sans honneur?
Qu'il ſoit ſans ſentimẽt, ſans force, & ſans courage?	Qu'il soit sans sentiment, sans force, et sans courage?
Qu'il ſoit ſans deſplaiſir, ſans colere, & ſans rage?	Qu'il soit sans déplaisir, sans colère, et sans rage?
Ha!	Ha!
cela ne ſe peut, cela ne ſe doit pas;	cela ne se peut, cela ne se doit pas;
Ce mal a quelque choſe au delà du treſpas;	Ce mal a quelque chose au delà du trépas;
Viure ainſi, n'eſt pas viure, ô funeſte memoire!	Vivre ainsi, n'est pas vivre, ô funeste mémoire!
C’eſt mourir pour l’honneur, & ſuruiure à ſagloire.	C'est mourir pour l'honneur, et survivre à sagloire.
OLIMBRE.	OLIMBRE.
Ne precipitons rien,	Ne précipitons rien,
VRSACE.	VRSACE.
Mais precipitons tout;	Mais précipitons tout;
Pouſſons, pouſsõs pluſtost le mal-heur iuſqu’au bout, La tempeste fnir, utors qu eut esrextréme;	Poussons, poussons plutôt le malheur jusqu'au bout, La tempête fondir, utors eut esrextréme;
Et l’on peut ſe ſauuer par le naufrage meſine.	Et l'on peut se sauver par le naufrage mesine.
OLIMBRE.	OLIMBRE.
Attendez, attendez;	Attendez, attendez;
VRSACE.	VRSACE.
Ha!	Ha!
i'ay tropattendu:	j'ai tropattendu:
OLIMBRE.	OLIMBRE.
Vous perdez.	Vous perdez.
VRSACE.	VRSACE.
Quoy, ie pers, ne ſuis-ie pas perdu?	Quoi, Seigneur perds, ne suis-je pas perdu?
OLIMBRE.	OLIMBRE.
Mais vous perdez, encor par vostre impatience, Mais vous perue Sentor pur vostre violence, L’objet de vos deſirs & des miens;	Mais vous perdez, encor par votre impatience, Mais vous perve Sentor pur votre violence, L'objet de vos désirs et des miens;
VRSHOL.	VRSHOL.
Et pourquoy?	Et pourquoi?
OLIMBRE.	OLIMBRE.
Lors qu'vn peuple irrité verra meurtrir ſon Roy, Croyez-vous qu’il pardõne à ces pauures Princeſſes Qui ſeront le ſujet de toutes ſes triſteſſes?	Lors qu'un peuple irrité verra meurtrir son Roi, Croyez-vous qu'il pardonne à ces pauvres Princesses Qui seront le sujet de toutes ses tristesses?
Non, ne vons ſtateZ poimt, ce penpie furieux Viendra les eſgorger, & peut-eſtre à vos yeux:	Non, ne vons statez poim, ce pénie furieux Viendra les égorger, et peut-être à vos yeux:
Lors en vain nous mettrons noſtre force en vſage, Et leur ſangialira iuſqu'à vostre viſage.	Lors en vain nous mettrons notre force en usage, Et leur sangialira jusqu'à votre visage.
VRSACE.	VRSACE.
Ha!	Ha!
cruel ie me rends, & tu m’as ſçeu forcer;	cruel Dieux me rends, et tu m'as su forcer;
Mon cœur ne peut ſouffrir vn ſi triſte penſer;	Mon cœur ne peut souffrir un si triste penser;
Il faut ſauuer Eudoxe, & ſuiure ton enuie, Puis que tu me fais veoir qu’il s’agit de ſa vie.	Il faut sauver Eudoxe, et suivre ton envie, Puis que tu me fais véoir qu'il s'agit de sa vie.
Vous, defſeins criminels, abandonnez mon cœur, Cedez a Genſeric, qui doit eſtre vainqueur;	Vous, desseins criminels, abandonnés mon cœur, Cédez a Genseric, qui doit être vainqueur;
Et vous, cœur affligé, mourant pour l’amour d’elle, Soyez moins genereux, poureſtre plus fidelle;	Et vous, cœur affligé, mourant pour l'amour d'elle, Soyez moins généreux, pourêtre plus fidèle;
Preerez Preferez l’intereſt d’vn objet ſi charmant;	Prérez Preférez l'intérêt d'un objet si charmant;
Faites-la viure en Reine, & mourez en Amant;	Faites-la vivre en Reine, et mourez en Amant;
Ouy, ouy, c’eſt pour vous ſeul que la tombe eſt ouuerte;	Oui, oui, c'est pour vous seul que la tombe est ouverte;
Gardez de l’engager dans voſtre triſte perte;	Gardez de l'engager dans votre triste perte;
Mourez pluſtoſt cent fois, mais mourez inconnu;	Mourez plutôt cent fois, mais mourez inconnu;
Suis luy faire ſçauoir que vous ſoyez venu;	Suis lui ' avoir que vous soyez venu;
Ainſi le veut le ſort, dont la force eſt extréme, Ainſi le voulons-nous, & l’Amour, & moy-meſme.	Ainsi le veut le sort, dont la force est extrême, Ainsi le voulons-nous, et l'Amour, et moi-même.
OLIMBRE.	OLIMBRE.
A ſe deſeſperer, voſtre eſprit eſt trop prompt:	À se désespérer, votre esprit est trop prompt:
Allons chercher encor le Prince Thraſimond;	Allons chercher encor le Prince Thrasimond;
Vous ſçauez que l’amour luy fait ſentir ſa flame, Et que la ieune Eudoxe a pouuoir ſur ſon ame;	Vous Savez que l'amour avait fait sentir sa flamme, Et que la jeune Eudoxe a pouuoir sur son âme;
Vous ſçauez que ce Prince a beaucoup de vertu;	Vous savez que ce Prince a beaucoup de vertu;
Luy ſeul peut releuer voſtre eſprit abatu;	Lui seul peut relever votre esprit abattu;
Luy ſeul peut s’oppoſer au deſſein de ſon pere;	Lui seul peut s'opposer au dessein de son père;
Et nous rendre a la fin la fortune proſpere.	Et nous rendre a la fin la fortune prospère.
VRSACE.	VRSACE.
Allons, mais ſouuiens-toy s’il arriue vn mal-heur, Que ta voix ſeulement arreſta ma valeur.	Allons, mais souviens-toi s'il arrive un malheur, Que ta voix seulement arrêta ma valeur.
OLIMBRE.	OLIMBRE.
Toy du bruit, paſſons viſte.	Toi du bruit, passons vite.
SCENEEI L’IMPERATRICE, PLACIDIE, EVDOXE.	SCENEI L'IMPÉRATRICE, PLACIDIE, EVDOXE.
L’IMPERATRICE.	L'IMPÉRATRICE.
Inſi quoy qu’il arriue, Si le corps est captif, l’ame n'eſt point captiue;	Insi quoi qu'il arrive, Si le corps est captif, l'âme n'est point captive;
Sa liberté natale eſt vn riche Threſor, Que meſme dans les fers, elle conſerue encor;	Sa liberté natale est un riche Trésor, Que même dans les fers, elle conserve encor;
Et que tous les Tyrans, auec leur inſolence, N'ont iamais pu ſoumettre à tant de violence.	Et que tous les Tyrans, avec leur insolence, N'ont jamais pu soumettre à tant de violence.
Ils peuuent renuerſer des Empires entiers;	Ils peuvent renverser des Empires entiers;
En arracher le ſceptre aux iustes heritiers;	En arracher le sceptre aux justes héritiers;
Sur la teste des Roys, par vn orgueil extréme, Marcher en s'eſleuant iuſqu'à leur Throſne meſme:	Sur la tête des Rois, par un orgueil extrême, Marcher en s'élevant jusqu'à leur Thrône fin:
Mais encor que leur vice en paroiſſe vainqueur, Ils ne ſçauroient forcer la liberté du cœur.	Mais encor que leur vice en paraisse vainqueur, Ils ne sauraient forcer la liberté du cœur.
Cette place eſt trop forte, & de trop d’importance;	Cette place est trop forte, et de trop d'importance;
On ne la prend iamais que par intelligence;	On ne la prend jamais que par intelligence;
Contre elle aucun effort n’a iamais reüßi, Et quand elle eſt ſurpriſe, elle veut l’estre außi.	Contre elle aucun effort n'a jamais réussi, Et quand elle est surprise, elle veut l'être aussi.
En vain de Genſeric, la force, & la fortune, Taſchent de ſouſtenir l’amour qui m'importune;	En vain de Genseric, la force, et la fortune, Tâchent de soutenir l'amour qui m'importune;
En vain ſa cruauté me retient en priſon;	En vain sa cruauté me retient en prison;
En vain il m’interdit le fer & le poiſon;	En vain il m'interdit le fer et le poison;
En vain tant de mal-heurs ſecondent ſonenuie;	En vain tant de malheurs secondent sonenvie;
Ie ſortirayde tout, en ſortant de la vie.	Je sortiraide tout, en sortant de la vie.
Vous qui tenez le iour, & du ciel, & de moy;	Vous qui tenez le jour, et du ciel, et de moi;
Si ie le perds icy par la fureur d’vn Roy, Apprenez à combattre auec les deſtinées, Et n’oubliez iamais ce que vous eſtes nées:	Si personne le perds ici par la fureur d'un Roi, Apprenez à combattre avec les destinées, Et n'oubliez jamais ce que vous êtes nées:
Teſmoignez au tyran qui regne en cette cour, Qu'on vous mit dans la pourpre, en vous mettant au iour, Dimocgre tu ergueun uu ioug epui vous oppreſſe, Que vous eſtes du ſang des Empereurs de Grece:	Témoignez au tyran qui règne en cette cour, Qu'on vous mit dans la pourpre, en vous mettant au jour, Dimocre tu ergueun uu joug eut vous oppresse, Que vous êtes du sang des Empereurs de Grèce:
Et qu'enfin voſtre pere obtint du genre humain, Et le nom de Ceſar, & l’Empire Romain.	Et qu'enfin votre père obtint du genre humain, Et le nom de César, et l'Empire Romain.
PLACIDIE.	PLACIDIE.
Que voſtre majeſté, s’il luy plaiſt, ſe conſole;	Que votre majesté, s'il lui plaît, se console;
Cette vertu ſublime, appriſe en ſon eſcole, Ne permettra iamais à nos ieunes eſprits De la perdre de veuë, au ſentier qu'elle a pris.	Cette vertu sublime, apprise en son école, Ne permettra jamais à nos jeunes esprits De la perdre de vue, au sentier qu'elle a pris.
EVDOXE.	EUDOXE.
Ouy nous voulons l’aymer, ouy, nous la voulons ſuiure, Et ſoit que voſtre cœur veüille mourir ou viure, Qu'il conſerue la vie, ou qu’il coure au treſpas, Madame, aſſeurez, vous que nous ſuiurons vos pas.	Oui nous voulons l'aimer, oui, nous la voulons suivre, Et soit que votre cœur veuille mourir ou vivre, Qu'il conserve la vie, ou qu'il coure au trépas, Madame, assurez, vous que nous suivrons vos pas.
L’IMPERATRICE.	L'IMPÉRATRICE.
Ha!	Ha!
le voicy venir, cet importun Vandale.	le voici venir, cet importun Vandale.
MVMIIE GENSERIC, ASPAR, L’IMPERATRICE, PLACIDIE, EVDOXE.	MUMIIE GENSERIC, ASPAR, L'IMPÉRATRICE, PLACIDIE, ÉVDOXE.
21 GENSERIC.	21 GENSERIC.
Prés vne amitié qui n’eut iamais d’eſgale, Apres auoir paſſé des mers pour vous vanrer, Et vaincu pour cela tout vn peuple eſtranger;	Près une amitié qui n'eut jamais d'égale, Après avoir passé des mers pour vous vanrer, Et vaincu pour cela tout un peuple étranger;
Auoir couru ſi loin de ma natale terre;	Avoir couru si loin de ma natale terre;
Armé tant de vaiſſeaux, & tant de gens de guerre;	Armé tant de vaisseaux, et tant de gens de guerre;
Fait punir l’aſſaßin de voſtre cher eſpoux, Seulement pour vous plaire, & pour l’amour de vous:	Fait punir l'assassin de votre cher époux, Seulement pour vous plaire, et pour l'amour de vous:
Mais tout cela n’eſt rien, non ce n'eſt rien, Madame;	Mais tout cela n'est rien, non ce n'est rien, Madame;
Mais aprés que l’amour vous a donné mon ame;	Mais après que l'amour vous a donné mon âme;
Aprés mille deuoirs rendus à vos beautez, Les armer contre moy de milte cruauteZ, Par elles chaque iour attenter à la vie De celuyqui vous ſert, & qui vous a ſeruie,	Après mille devoirs rendus à vos beautés, Les armer contre moi de milte cruautés, Par elles chaque jour attenter à la vie De celuiqui vous sert, et qui vous a servie,
TRAGICOMEDIE.	TRAGICOMEDIE.
Ha!	Ha!
Madame, c’eſt trop;	Madame, c'est trop;
& voſtre iugement, En cette occaſion s’eſgare aſſeurément:	et votre jugement, En cette occasion s'égare assurément:
37 De quels profonds reſpects ne vous ay-ie honorée?	37 De quels profonds respects ne vous ai-je honorée?
N'eſtes-vous pas ſeruie, ou pluſtoſt adorée?	N'êtes-vous pas servie, ou plutôt adorée?
Ne commandez-vous pas en ces lieux plus que moy?	Ne commandez-vous pas en ces lieux plus que moi?
Ne fay-ie pas l’eſclaue, encor que ie ſois Roy?	Ne fais-je pas l'esclave, encor que . sois Roi?
Et moy qu'i fais trembler, & l’Europe, & l’Affrique, N’ay-ie pas trop ſouffert, voſtre humeur tyrannique, N’ay-ie pas enduré ſans oſer murmurer, Ce qu’vn ſimple ſujet ne pourroit endurer?	Et mo qu'y fais trembler, et l'Europe, et l'Afrique, N'ai-je pas trop souffert, votre humeur tyrannique, N'ai-je pas enduré sans oser murmurer, Ce qu'un simple sujet ne pourrait endurer?
Enfin tant de meſpris & tant d’ingratitude, Vn orgueil ſi conſtant, vn traitement ſi rude, Vn eſprit inflexible, vn cœur ſans amitié, Vn cœur qui ne connoit, ny raiſon, ny pitié, Forcent ma patience, au milieu de mes larmes De ſe deſeſperer, & de prendre les armes.	Enfin tant de mépris et tant d'ingratitude, Un orgueil si constant, un traitement si rude, Un esprit inflexible, un cœur sans amitié, Un cœur qui ne connaît, ni raison, ni pitié, Forcent ma patience, au milieu de mes larmes De se désespérer, et de prendre les armes.
Elle les prend Madame, & dans l’extremité, Ou vous auez, reduit mon courage irrité, Tout ce que ie puis faire en l’eſtat où nous ſommes, En preſence du ciel, en preſence des hommes, C’eſt de vous proteſter pour la derniere fois, Que ſi voſtre rigueur, n'eſt ſenſible à ma voix;	Elle les prend Madame, et dans l'extrémité, Ou vous avez, réduit mon courage irrité, Tout ce que je puis faire en l'état où nous sommes, En présence du ciel, en présence des hommes, C'est de vous protester pour la dernière fois, Que si votre rigueur, n'est sensible à ma voix;
Si vous ne vous portez à m'eſtre moins cruelle;	Si vous ne vous portez à m'être moins cruelle;
Si vous ne receuez vne ardeur mutuelle;	Si vous ne recevez une ardeur mutuelle;
Si vous ne receuez, vn ſceptre tant offert;	Si vous ne recevez, un sceptre tant offert;
Ie vaincray par la force, vn orgueil qui me perd, Madame ſongez-y, ſans tarder d’auantage, Cur ie ſuis Genſeric, & ie ſuis à Carthage.	Je vaincrai par la force, un orgueil qui me perd, Madame songez-y, sans tarder d'avantage, Cur ie suis Genseric, et un suis à Carthage.
E iij	 Ejà
deme,	dème,
L’IMPERATRICE.	L'IMPÉRATRICE.
Seigneur auecraiſon ce diſcours me ſurprend:	Seigneur auecraison ce discours me surprend:
Ie ne l’attendois pas d’vn Monarque ſi grand:	Je ne l'attendais pas d'un Monarque si grand:
Ie ſçay qu’il eſt certain que vous m'auez ſeruie, Et ie m'en ſouuiendray le reſte de ma vie:	Je sais qu'il est certain que vous m'avez servie, Et tu m'en souviendrai le reste de ma vie:
Mais tenant ce ſeruice, & ſi grand & ſi cher, Il n'eſtoit pas beſoin de me le reprocher.	Mais tenant ce service, et si grand et si cher, Il n'était pas besoin de me le reprocher.
Et moins encor ſeigneur eſtoit-il raiſonnable, De me faire vn diſcours qui n'eſt pas pardonnable, Qui vous offence plus, qu’il ne peut m'offencer, Puis qu'vn Prince bien nay, n’y peut iamais penſer.	Et moins encor seigneur était-il raisonnable, De me faire un discours qui n'est pas pardonnable, Qui vous offense plus, qu'il ne peut m'offenser, Puis qu'un Prince bien nay, 'y peut jamais penser.
Ie ne le puis ſouffrir, ny m'impoſer ſilence;	Je ne le puis souffrir, ni m'imposer silence;
Non, ie ne puis ſouffrir ce mot de violence;	Non, Seigneur ne puis souffrir ce mot de violence;
Il choque mon honneur, il fait tort à mon ſang, Et ne ſe doit point dire, à celles de mon rang.	Il choque mon honneur, il fait tort à mon sang, Et ne se doit point dire, à celles de mon rang.
Oubliez-vous ſeigneur, que cette infortunée Deux fois Imperatrice, & deux fois couronnée, A tenu ſi long-temps le ſceptre dans ſa main, Compagne d’vn Ceſar, d’vn Empereur Romain, Et que ie ſuis enfin pour ne dire autre choſe, Fille d’Athenais, fille de Theodoſe?	Oubliez-vous seigneur, que cette infortunée Deux fois Impératrice, et deux fois couronnée, A tenu si longtemps le sceptre dans sa main, Compagne d'un César, d'un Empereur Romain, Et que sans suis enfin pour ne dire autre chose, Fille d'Athenais, fille de Théodose?
Et qu’on aveu ſouuent, mon Pere, & mon eſpoux, Paroiſtre ſur le Throſne, & des Roys à genoux.	Et qu'on aveu souvent, mon Père, et mon époux, Paraître sur le Thrône, et des Rois à genoux.
Ha ſeigneur, parlez mieux, & rentrez en vous meſme;	Ha seigneur, parlez mieux, et rentrez en vous -même;
Les Princes peuuent perdre, & ſceptre;	Les Princes peuvent perdre, et sceptre;
& Dia	et Dia
C’eſt vn renuerſement que l’on a veu cent fois, Et qu’on peut voir encor;	C'est un renversement que l'on a vu cent fois, Et qu'on peut voir encor;
mais ils ſont touſiours Roys.	mais ils sont toujours Rois.
Ne vous ſuffit-il pas de me tenir captiue?	Ne vous suffit-il pas de me tenir captive?
De me faire languir ſur vne eſtrange riue?	De me faire languir sur une étrange rive?
Et loin des bords du Tibre, où i'ay regné long-temps, Empeſcher le ſecours de la mort que i’attends?	Et loin des bords du Tibre, où j'ai régné longtemps, Empêcher le secours de la mort que j'attends?
VouleZ-vous m’offencer, voulez-vous qu’on vous blaſme.	Voulez-vous m'offenser, voulez-vous qu'on vous blâme.
Voulez-vous que les fers, opriment iuſqu'à l’ame?	Voulez-vous que les fers, opriment jusqu'à l'âme?
Voulez-vous me contraindre à cherir auiourd’huy, L’autheurde ma priſon, l’autheurde mon ennuy?	Voulez-vous me contraindre à chérir aujourd'hui, L'auteurde ma prison, l'auteurde mon ennui?
Qu'à d’iniuſtes deſirs, ie deuienne ſenſible?	Qu'à d'injustes désirs, Elle devienne sensible?
Ha Seigneur c’eſt vouloir vne choſe impoßible;	Ha Seigneur c'est vouloir une chose impossible;
C’eſt ce qui ne peut eſtre, & croyez, deſormais, Que cette volonté ne me prendra iamais.	C'est ce qui ne peut être, et croyez, désormais, Que cette volonté ne me prendra jamais.
En l’eſtat où ie ſuis, en l’eſtat ou vous eſtes, Beaucoup accepteroient l’offre que vous me faites, Beaucoup ayant prié, vous auroient entendu, Afin de remonter ſur vn Throſne perdu:	En l'état où je suis, en l'état où vous êtes, Beaucoup accepteraient l'offre que vous me faites, Beaucoup ayant priez, vous auraient entendu, Afin de remonter sur un Thrône perdu:
Mais tant de maux ſouffers, m’ont bien oſté l’enuie, Et du Throſne, & du ſceptre, & meſme de la vie:	Mais tant de maux soufferts, m'ont bien osté l'envie, Et du Trône, et du sceptre, et même de la vie:
Tout m'eſt indifferend, ou pour dire encor mieux, Tout m'eſt inſupportable, & tout m’eſt odieux:	Tout m'est indifférend, ou pour dire encor mieux, Tout 'est insupportable, et tout m'est odieux:
Il n'eſt grandeur Royalle, il n’eſt rang, ny puiſſanHonneur, reſpect, deuoir, ſeruice, obeïſſance, Amour, contentement, felicité, plaiſir, Qui puiſſe me toucher de l’ombre d’vn deſir.	Il n'est grandeur Royalle, il n'est rang, ni puissanHonneur, respect, devoir, service, obéissance, Amour, contentement, félicité, plaisir, Qui puisse me toucher de l'ombre d'un désir.
M'enueloppe les ſens, l’eſprit, & la memoire, Et me rendant ſtupide aux objets les plus beaux, Fait errer cét eſprit, à l’entour des tombeaux:	M'enveloppe les sens, l'esprit, et la mémoire, Et me rendant stupide aux objets les plus beaux, Fait errer cet esprit, à l'entour des tombeaux:
C’eſt là qu’est tout mon bien, c’eſt là que ie veux eſtre, Donc ſi dans voſtre cœur, quelque pitié peut naiſtre;	C'est là qu'est tout mon bien, c'est là que ie veux être, Donc si dans votre cœur, quelque pitié peut naître;
Si les mal-heurs d’autruy, vous peuuent eſmouuoir;	Si les malheurs d'autrui, vous peuvent émouvoir;
Si i'ay quelque credit, ſi i'ay quelque pouuoir;	Si j'ai quelque crédit, si j'ai quelque pouvoir;
Si la raiſon encor ne vous eſt ennemie;	Si la raison encor ne vous est ennemie;
Permettez que ie meure, au moins ſans infamie;	Permettez que Madame meure, au moins sans infamie;
Et qu'vn noble treſpas arreſte le deſſein, Qu'vne iniuſte fureur, vous a mis dans le ſein.	Et qu'un noble trépas arrête le dessein, Qu'une injuste fureur, vous a mis dans le sein.
Ie vous coniure donc, par Rome ſurmontée, Par ce haut rang de gloire, où la voſtre eſt montée, Par les fameux lauriers, qui vous ceignent le front, Par ce bras genereux, ſi vaillant & ſi prompt, Par le tiltre de Roy, par l’honneur, par vous meſme, De poignarder ce cœur, ſans vouloir qu’il vous ayme.	Je vous conjure donc, par Rome surmontée, Par ce haut rang de gloire, où la vôtre est montée, Par les fameux lauriers, qui vous ceignent le front, Par ce bras généreux, si vaillant et si prompt, Par le titre de Roi, par l'honneur, par vous rendre, De poignarder ce cœur, sans vouloir qu'il vous aime.
GENSERIC.	GENSERIC.
Comment, vous preferez la mort à mon amour!	Comment, vous préférez la mort à mon amour!
Vous me haïſſez plus, que vous n’aymez le iour!	Vous me haïssez plus, que vous n'aimez le jour!
Et voſtre œil qui s’obſtine à ſa rigueur premiere, Pour perdre monobjet, veut perdre la lumiere:	Et votre œil qui s'obstine à sa rigueur première, Pour perdre monobjet, veut perdre la lumière:
Qui cauſe le meſpris, que vous auez pour moy?	Qui cause le mépris, que vous avez pour moi?
Sont-ce les qualitez, & d’Amant & de Roy?	Sont-ce les qualités, et d'Amant et de Roi?
Et dans les ſentimens que voſtre orgueil vous donne, Eſt-ce trop peu pour vous, que porter la couronne?	Et dans les sentiments que votre orgueil vous donne, Est-ce trop peu pour vous, que porter la couronne?
Que faut-il eſtre, vn Dieu, pour pouuoirmeriter?	Que faut-il être, un Dieu, pour pouuoirmeriter?
D’aimer ſans vous deſplaire, & ſans vous irriter?	D'aimer sans vous déplaire, et sans vous irriter?
Non, ce n'eſt point l’objet que ce cœur ſe propoſe:	Non, ce n'est point l'objet que ce cœur se propose:
Et ſon orgueil n'a pas vne ſi noble cauſe;	Et son orgueil n'a pas un si noble cause;
Son ſentiment eſt bas, honteux, ſeruile, abjet;	Son sentiment est bas, honteux, servile, abjet;
Et meſpriſant les Roys, il adore vn ſujet:	Et méprisant les Rois, il adore un sujet:
Le ſouuenir d’Vrſace, occupe ſa penſée;	Le souvenir d'Vrsace, occupe sa pensée;
C’eſt ce fantome heureux, qui vous rend inſenſée;	C'est ce fantôme heureux, qui vous rend insensée;
C’eſt luy qui me deſtruit, qui me fait rebuter, Et qui ſort du tombeau, pour me perſecuter.	C'est lui qui me détruit, qui me fait rebuter, Et qui sort du tombeau, pour me persécuter.
Ennemy de mon bien, obſtacle de ma ioye, Fantoſme, prend vn corps, afin que ie te voye, Ne ſois plus inuiſible, en me perſecutant, Viens icy, monſtre-toy, ta maiſtreſſe t’attend.	Ennemi de mon bien, obstacle de ma joie, Fantôme, prend un corps, afin que sans te voie, Ne sois plus invisible, en me persécutant, Viens ici, montre-toi, ta maîtresse t'attend.
L’IMPERATRICE.	L'IMPÉRATRICE.
Ny mon cœur n'eſt point bas, ny ma vertu douteuſe, On doit cacher ſa flame, alors qu'elle eſt honteuſe:	Ni mon cœur n'est point bas, Seigneur ma vertu douteuse, On doit cacher sa flamme, alors qu'elle est honteuse:
Mais lors qu'on eſt bruſié d’vn feu ſi pur, ſi beau, D'vn feu qui ſe conſerue, au milieu du tombeau;	Mais lors qu'on est brusié d'un feu si pur, si beau, D'un feu qui se conserve, au milieu du tombeau;
L’ame la plus parfaite, & la plus eſtimée, Peut dire hautement, qu'elle en eſt enflamée.	L'âme la plus parfaite, et la plus estimée, Peut dire hautement, qu'elle en est enflammée.
Ie ne le cele point, i'aime ſon ſouuenir:	Je ne le cèle point, j'aime son souvenir:
La memoire d’Vrſace en moy ne peut finir;	La mémoire d'Vrsace en moi ne peut finir;
Il eut tant de vertus, il les poſſeda telles, Qu'il eſt iuſte apres luy de les rendre immortelles;	Il eut tant de vertus, il les posséda telles, Qu'il est juste après avoir de les rendre immortelles;
I'en veux touſiours parler, c'eſt l’vnique moyen;	J'en veux toujours parler, c'est l'Hique moyen;
GENSERIC.	GENSERIC.
Mais ce n'eſtoit pourtant, qu'vn ſimple citoyen.	Mais ce n'était pourtant, qu'un simple citoyen.
L’IMPERATRICE.	L'IMPÉRATRICE.
Non, mais ces citoyens ont conqueſté la terre;	Non, mais ces citoyens ont conquesté la terre;
Et portant en tous lieux, la frayeur & la guerre, On les a veus ſouuent, fauoriſez de Mars, Traiſner des Roys captifs, attachez à leurs Chars.	Et portant en tous lieux, la frayeur et la guerre, On les a vus souvent, favorisez de Mars, Traîner des Rois captifs, attachez à leurs Chars.
GENSERIC.	GENSERIC.
Pla t empeſeneray vien que te mal-heur n'arriue!	Pla empésenerai viens que te malheur n'arrive!
L’IMPERATRICE.	L'IMPÉRATRICE.
Vne autre fois pourtant, Carthage fut captiue:	Une autre fois pourtant, Carthage fut captive:
GENSERIC.	GENSERIC.
