Auec Priuilege du Royi	Avec Privilège du Roii
Ha pluſtoſt qu’vn Barbare ait part en mon eſtime, Vn (orſaire Inſolent qui me propoſe vn crime, Pluſloſt que d’attirer le reproche eternd, D’armer en ma faueur vn bras ſi criminel, Que les plus grands malheurs que l’on craint ſu Terre, Me faſſent ſans relaſche vne cruelle guerre, Que ces meſmes Tyrans, dont trop officieux Il m’offre d’abaiſſer l’orgueil ambitieux, Exercent contre moy toute la violence, Qu’inſpire à des ſujets vne aueugle inſolence:	Ha plutôt qu' Barbare ait part en mon estime, Un (orsaire Insolent qui me propose un crime, Pluslost que d'attirer le reproche éternd, D'armer en ma faveur un bras si criminel, Que les plus grands malheurs que l'on craint su Terre, Me fassent sans relâche une cruelle guerre, Que ces mêmes Tyrans, dont trop officieux Il m'offre d'abaisser l'orgueil ambitieux, Exercent contre moi toute la violence, Qu'inspire à des sujets une aveugle insolence:
Hé que peut-il me rendre apres m’auoir oſté, Le ſeul bien qui manquoit à ma felicité?	Hé que peut-il me rendre après m'avoir ôté, Le seul bien qui manquait à ma félicité?
SEBASTE.	SÉBASTE.
Oroſmane ſçait bien que vous eſtes geſnée, Dans la libre action du choix d’vn himenée, Qu’il vous fait perdre Alcandre vn amant genereux, De qui le ſeul defaut fut d’eſtre malheureux;	Orômane sait bien que vous êtes gênée, Dans la libre action du choix d'un hyménée, Qu'il vous fait perdre Alcandre un amant généreux, De qui le seul défaut fut d'être malheureux;
Que tout ſon ſang versé, toute ſa flotte offerte, Peut reparer à peine vne ſi grande perte.	Que tout son sang versé, toute sa flotte offerte, Peut réparer à peine une si grande perte.
ELISE.	ÉLISE.
Et ſçait-il que mon cœur ne peut trop déteſter, Celuy qui m’oſte Alcaudre, & s’en oſe vanter?	Et sais-il que mon cœur ne peut trop détester, Celui qui m'ôte Alcaudre, et s'en ose vanter?
Veut-il du ſang encore apres celuy d’Alcandre, Et m’offre-t’il le fer qui vient de le repandre?	Veut-il du sang encore apres celui d'Alcandre, Et m'offre-t-il le fer qui vient de le répandre?
Oroſmanc.	Orômanc.
SEBASTE.	SÉBASTE.
ELISE.	ÉLISE.
Oſtez vous eſtranger odieux, Ce qui vient d’Oroſmane eſt horrible à mes yeux, Ha ne les ouurons plus que pour verſer des larmes, Renonçõs pour iamais aux objets pleins de charmes, Donnons nous toute enniere à nos triſtes ennuis, Lt faiſons de nos iours des eternelles nuicts.	Ostez vous étranger odieux, Ce qui vient d'Orômane est horrible à mes yeux, Ha ne les ouvrons plus que pour verser des larmes, Renonçõs pour jamais aux objets pleins de charmes, Donnons nous toute ennière à nos tristes ennuis, Lt faisons de nos jours des éternelles nuits.
C’eſtoit donc de nos feux la trompeuſe eſperance?	C'était donc de nos feux la trompeuse espérance?
C’eſt donc ce que le Ciel gardoit à ſa conſtance, Dans vn temps où ſon bras ſecondant ſa valeur, Eſtoit preſt d’eſtablir noſtre commun bon-heur;	C'est donc ce que le Ciel gardait à sa constance, Dans un temps où son bras secondant sa valeur, Était prêt d'établir notre commun bonheur;
De luy rendre vn Royaume vſurpé par mon Pere, Et de me conſeruer la Cypre hereditaire?	De grands rendre un Royaume usurpé par mon Père, Et de me conserver la Cypre héréditaire?
Ne viens donc plus eſpoir, de tes trompeurs appas, Adoucir des tourmens que tu ne gueris pas, Puiſque ie pers Alcandre, & que ie le veux ſuiure, Dequoy peux tu ſeruir à qui ne veut plus viure) Oüy bientoſt dans le Ciel où tu vis loin de moy.	Ne viens donc plus espoir, de tes trompeurs appas, Adoucir des tourments que tu ne guéris pas, Puisque je perds Alcandre, et que ie le veux suivre, Dequoy peux tu servir à qui ne veut plus vivre) Oui bientôt dans le Ciel où tu vis loin de moi.
Ie t’y ioindray bien-toſt pour n’eſtre plus qu’à toy Belle ame qui quittas, & fis tout pour El ſe, Et ſeule eus le pouuoir d’aſſeruir ſa franchiſe.	Je t'y joindrai bientôt pour n'être plus qu'à toi Belle âme qui quittas, et fis tout pour Él se, Et seule eus le pouvoir d'asservir sa franchise.
ELISE.	ÉLISE.
Ma ſœur!	Ma sœur!
vous voyez mes yeux moüillez dé pleurs, Ils ne ſont point cauſez par nos communs malheurs I’ay pleuté comme vous vne perte conmune;	vous voyez mes yeux mouillez dé pleurs, Ils ne sont point causés par nos communs malheurs J'ai pleuté comme vous perte conmune;
Mais le Ciel ennemy me cauſe vne infortune!	Mais le Ciel ennemi me cause une infortune!
A moy ſeule funeſte, à moy ſeule à pleurer, Et que tout ſon pouuoir ne ſçauroit reparer.	À moi seule funeste, à moi seule à pleurer, Et que tout son pouvoir ne saurait réparer.
ALCIONNE.	ÀLCIONE.
Le ſujet de vos pleurs ne ſe peut-il apprendre?	Le sujet de vos pleurs ne se peut-il apprendre?
Et le temps, & la part qu’vne ſœur y peut prendre Vne ſœur qui voudroit tous vos maux partager, Ne pourront-ils du moins voſtre eſprit ſoulãger?	Et le temps, et la part qu'une sœur y peut prendre Vune sœur qui voudrait tous vos maux partager, Ne pourront-ils du moins votre esprit soulangger?
ELISE.	ÉLISE.
Le temps, & la raiſon quand on pert ce qu’on aime Seruent de peu de choſe en ce malheur extréme, Et qui peut eſperer de s’en voir ſoulagé, A merité le mal dont il eſt affligé.	Le temps, et la raison quand on pert ce qu'on aime Servent de peu de chose en ce malheur extrême, Et qui peut espérer de s'en voir soulagé, A mérité le mal dont il est affligé.
ALCIONNE.	ÀLCIONE.
He quoy ma chere ſœur, auez vous quelque affaire, Ou quelque déplaiſir que vous me deuiez taire?	He quoi ma chère sœur, avez vous quelque affaire, Ou quelque déplaisir que vous me deviez taire?
ELISE.	ÉLISE.
Ce ieune Caualier, ce vaillant eſtranger, Qui ſecourut mon Pere en vn mortel danger, Dans ce fameux combat où d'vn Prince rebelle, Rhodes contre Piſandre entreprit la querelle, Alcandre, Ha!	Ce jeune Cavalier, ce vaillant étranger, Qui secourut mon Père en un mortel danger, Dans ce fameux combat où d'un Prince rebelle, Rhodes contre Pisandre entreprit la querelle, Alcandre, Ha!
ce beau nom eſt tout ce qui de luy, Peut-eſtre reſteroit ſur la rerre auiourd huy, S’il ne viuoit encore en l’amoureuſe idée, Que pour ce cher amant ma memoire a gardée,	ce beau nom est tout ce qui de lui, Peut-être resterait sur la rerèvre aujourd , 'il ne vivait encore en l'amoureuse idée, Que pour ce cher amant ma mémoire a gardée,
ALCIONNE.	ÀLCIONE.
Et quoy le braue Alcandre?	Et quoi le brave Alcandre?
ELISE.	ÉLISE.
Eſt le Prince charmant, Que meſme apres ſa mort i’ayme ſi tendrement, Peut-eſtre blaſmez vous ma foible reſiſtance;	Est le Prince charmant, Que même après sa mort j'aime si tendrement, Peut-être blâmez vous ma faible résistance;
Mais ſi iamais l’amour vous met ſous ſa puiſſance, Si vous ſçauez iamais ce que c’eſt que d’aymer, Vous me plaindrez ma ſœur, au lieu de me blaſmer.	Mais si jamais l'amour vous met sous sa puissance, Si vous savez jamais ce que c'est que d'aimer, Vous me plaindrez ma sœur, au lieu de me blâmer.
ALCIONNE.	ÀLCIONE.
Pour eſtre ſans amour, on n’eſt pas ſans tendreſſe, Et ie n’ay iamais cru l’amour vne foibleſſe, Mais ce vaillant Alcandre en Cypre paruenu, Iuſqu’où peut s’eſleuer vn merite connu, Et puis que vous l’aymiez d’vne ardeur non cõmune, Heureux dans ſon amour plus que dans ſa fortune, Pourquoy s’eſloigna-t’il?	Pour ra sans amour, on n'est pas sans tendresse, Et grands n'ai jamais cru l'amour une faiblesse, Mais ce vaillant Alcandre en Cypre parvenu, Jusqu'où peut s'élever un mérite connu, Et puis que vous l'aimiez d'une ardeur non commune, Heureux dans son amour plus que dans sa fortune, Pourquoi s'éloigna-t-il?
& s’il vous fut ſi cher, l’auez vous du ſouffrir?	et s'il vous fut si cher, l'avez -vous du souffrir?
ELISE.	ÉLISE.
I’euſſe peu l’empeſcher;	J'eusse peu l'empêcher;
Mais loin de m’oppoſer au voyage d’Alcandre, Mon ſeul commandement le lu .	Mais loin de m'opposer au voyage d'Alcandre, Mon seul commandement le lu .
fit entreprendre, Vous ſçaurez les raiſons de ſon eſloignement, Lt de nos feux cachez le triſte éuenement.	fit entreprendre, Vous saurez les raisons de son éloignement, Lt de nos feux cachés le triste événement.
ALCIONNE.	ÀLCIONE.
Ne me differez pas cette faueur extrême,	Ne me différez pas cette faveur extrême,
LLISE Ie ne refuſe rien aux perſonnes que i’ayme.	LLISE -Je ne refuse rien aux personnes que j'aime.
Mlon Alcandre eſtoit donc vn Prince malheureux;	Mlon Alcandre était donc un Prince malheureux;
Ilais qui n’eut pas d’abord vn deſtin rigoureux, 12 D'vne illuſtre Princeſſe il receut la naiſſance, Et monta ſur le Throſne au ſortir de l’enfance, Sa mere eut de l’amour pour vn Prince eſtranger Aymable;	Ilais qui n'eut pas d'abord un destin rigoureux, 12 D'une illustre Princesse il reçut la naissance, Et monta sur le Thrône au sortir de l'enfance, Sa Mère eut de l'amour pour un Prince étranger Aimable;
mais ingrat;	mais ingrat;
infidelle, & leger, Et dont elle ſe vit depuis abandonnée, Bien qu’vnie auec luy par vn ſaint himenée;	infidèle, et léger, Et dont elle se vit depuis abandonnée, Bien qu'unie avec a par un saint hyménée;
Mais qui peut s’aſſeurer d’vn eſprit inconſtant?	Mais qui peut s'assurer d'un esprit inconstant?
Ce Prince abandonna celle qui l’aymoit tant, Et luy laiſſant vn fils, cher;	Ce Prince abandonna celle qui l'aimait tant, Et tu laissant un fils, cher;
mais funeſte gage, Alla peut-eſtre ailleurs offrir ſon cœur volage.	mais funeste gage, Alla peut-être ailleurs offrir son cœur volage.
Elle eſpera long-temps de le voir de retour, Que n’eſpere-t’on point, quand on bruſle d’amour Mais de ſon vain eſpoir enfin deſabuſée, Et d’vn perfide eſpoux ſe voyant meſpriſée, Elle laiſſa tout faire à ſa iuſte douleur, Et preſte de finir ſa vie, & ſon malheur, Aſſembla ſes ſujets, & leur fit reconnaiſtre, Le Fils de ſon ingrat pour leur ſouuerain Maiſtre, Elle meurt, & mourant cache meſme à ſon fils, De ſon Pere inconſtant le nom, & le pais, Elle ne voulut pas qu’apres ſa foy fauſſée, Vn infidelle Eſpoux d’vne Reine laiſſée, Sçeuſt qu’il en cuſt vn fils;	Elle espéra longtemps de le voir de retour, Que n'espère-t-on point, quand on brûle d'amour Mais de son vain espoir enfin désabusée, Et d'un perfide époux se voyant méprisée, Elle laissa tout faire à sa juste douleur, Et prête de finir sa vie, et son malheur, Assembla ses sujets, et leur fit reconnaître, Le Fils de son ingrat pour leur souverain Maistre, Elle meurt, et mourant cache même à son fils, De son Père inconstant le nom, et le pais, Elle ne voulut pas qu'après sa foi faussée, Un infidèle Espoux d'une Reine laissée, Sçeust quail on sut fils;
que ce fils fuſt vn Roy Et qu’il fiſt gloire ainſi d’auoir manqué de foy.	que ce fils fût un Roi Et qu'il fît gloire ainsi d'avoir manqué de foi.
Son fils donc luy ſuccede, & ſon adoleſcence, Des Rois les plus prudens égalle la prudence, Il eſt braue, il eſt iuſte, & de ſon peuple aymé;	Son fils donc deux succède, et son adolescence, Des Rois les plus prudents égale la prudence, Il est brave, il est juste, et de son peuple aimé;
Il eſt de ſes voiſins craint autant qu’eſtimé.	Il est de ses voisins craint autant qu'estimé.
Mon malheureux portrait le rauit, & l’enflâme, Il me fait demander a mon Pere pour femme, Mon Pere le refuſe, & meſme auec dédain, Luy mande ſur le bruit de ſon Pere incertain, Qu’on peut luy reprocher que la Reine ſa Mere, Fut femme ſans eſpoux, & qu’il eſt fils ſans Pere, Alcandre refusé;	Mon malheureux portrait le ravit, et l'enflamme, Il me fait demander à mon Père pour femme, Mon Père le refuse, et même avec dédain, Lui mande sur le bruit de son Père incertain, Qu'on peut-même reprocher que la Reine sa Mère, Fut femme sans époux, et qu'il est fils sans Père, Alcandre refusé;
mais Alcandre amoureux,	mais Alcandre amoureux,
Loin de ſe rebuter d’vn refus rigoureux,	Loin de se rebuter d'un refus rigoureux,
Vint en Cypre où l’amour me fit bien-toſt cõnoiſtre, Le feu que dans ſon cœur ma beauté faiſoit naiſtre, Vous vouliez tout ſçauoir, & ie vous ay tout dit.	Vînt en Cypre où l'amour me fit bien-tôt cõnoistre, Le feu que dans son cœur ma beauté faisait naître, Vous vouliez tout sçauoir, et je vous ai tout dit.
ALCIONNE Ie ne vous quitte pas d’vn plus ample recit, Ie veux ſçauoir comment vous euſtes connoiſfance.	ÀLCIONNE Je ne vous quitte pas d'vn plus ample récit, Je veux savoir comment vous eûtes connaissance.
Du ſecret important de ſa haute naiſſance, Mais ne ſeroit-ce point aigrir voſtre douleur?	Du secret important de sa haute naissance, Mais ne serait-ce point aigrir votre douleur?
ELISE Vn malheureux ſe plaiſt à conter ſon malheur, Il m’aymoit donc ma ſœur, & ne me l’oſoit dire;	ELISE Un malheureux se plaît à conter son malheur, Il m'aimait donc ma sœur, et ne me l'osait dire;
Mlais ſa langueur enfin découurit ſon martyre, Et les triſtes ſoûpirs de ſon cœur enflâmé, Le firent ſoupçonner d’aymer ſans eſtre aymé.	Mlais sa langueur enfin découvrît son martyre, Et les tristes soupirs de son cœur enflammé, Le firent soupçonner d'aimer sans être aimé.
La pitié par l’eſtime eſt ſouuent excitée, De ſon mal dangereux la Cypre eſt attriſtée;	La pitié par l'estime est souvent excitée, De son mal dangereux la Cypre est attristée;
En luy l’Eſtat perdoit vn guerrier genereux, Mon Pere luy deuoit plus d’vn combat heureux, Et la cour autrefois pleine de barbarie, Deuoit ſa politeſſe a ſa galanterie;	En Elle l'État perdait un guerrier généreux, Mon Père lui était plus d'un combat heureux, Et la cour autrefois pleine de barbarie, Deuait sa politesse à sa galanterie;
Pour moy ie luy deuois des ſoins, & des reſpects, Que ſa condition ne rendoit point ſuſpects, La pitié de ſon mal dans ſon mal m’intereſſe, Ie veux ſçauoir le nom de ſa fiere Maiſtreſſe;	Pour mo ie ici devais des soins, et des respects, Que sa condition ne rendait point suspects, La pitié de son mal dans son mal m'intéresse, Je veux savoir le nom de sa fière Maîtresse;
Ie le preſſe en ſecret de me le découurir, Vous ne ſçauriez iamais que par la mort d’Alcandre, La cauſe de ſon mal que vous voulez apprendre, Le malheureux vous ayme;	Je le presse en secret de me le découvrir, Vous ne sauriez jamais que par la mort d'Alcandre, La cause de son mal que vous voulez apprendre, Le malheureux vous aime;
à ce mot eſchappé, Déja de vos beaux yeux les foudres l’ont frappé, Il voit d’vn fier dédain s’armer voſtre viſagé, Et dans ce fier dédain de ſa mort le prelage;	à ce mot échappé, Déjà de vos beaux yeux les foudres l'ont frappé, Il voit d'un fier dédain s'armer votre visagé, Et dans ce fier dédain de sa mort le prêlage;
Mais ayant obeï ſi vous l’en haiſſez, Daignez connoiſtre au moins ce que vous puniſſez, Il eſt Prince Madame, & les Roys de ſa race, N’ont point mis dans ſon cœur ſa temeraire audace, Vn feu reſpectueux, vne immuable foy, Font viure ſon eſpoir plus que le nom de Roy;	Mais ayant obéir si vous l'en haïssez, Daignez connaître au moins ce que vous punissez, Il est Prince Madame, et les Rois de sa race, N'ont point mis dans son cœur sa téméraire audace, Un feu respectueux, une immuable foi, Font vivre son espoir plus que le nom de Roi;
Mais ſi cét humble adueu de ſa ſlâme inſenſée, Paroiſt vn nouueau crime à voſtre ame offensée, Vn regard menaçant de vos yeux en courroux, Le feront à l’inſtant expirer deuant vous, Lors que i’allois punir ce diſcours temeraire, Sa qualité de Roy ſuſpendit ma colere, Ie la ſentis s’éteindre au heu de s’allumer, Peut-on long-temps haïr ce que l’on doit aymer!	Mais si cet humble aveu de sa slâme insensée, Paraît un nouveau crime à votre âme offensée, Un regard menaçant de vos yeux en courroux, Le feront à l'instant expirer devant vous, Lors que j'allais punir ce discours téméraire, Sa qualité de Roy suspendit ma colère, Je la sentis s'éteindre au heu de s'allumer, Peut-on longtemps haïr ce que l'on doit aimer!
L'vnion de deux cœurs dans le Ciel déja faitte, Leur inſpire à s’aymer vne pante ſecrette;	L'union de deux cœurs dans le Ciel déjà faitte, Leur inspire à s'aimer une pante secrète;
Elle preuient leur choix & tel eſt ſon pouuoir, Ouę l’on s’ayme ſouuent auant que de ſe voir, I’eſcoutay donc ma ſœur tout ce qu’il voulut dire, il m’apprit que l’amour le mit ſous mon Empire!	Elle prévient leur choix et tel est son pouvoir, Ou l'on s'aime souvent avant que de se voir, J'écoutai donc ma sœur tout ce qu'il voulut dire, il m'apprit que l'amour le mit sous mon Empire!
Sur mon ſimple portrait, ſur le bruit de mon nom, Que vous diray-je encore?	Sur mon simple portrait, sur le bruit de mon nom, Que vous dirai-je encore?
il obtint ſon pardon.	il obtint son pardon.
ALCIONNE.	ÀLCIONE.
L’orgue l qu’vn ſang illuſtre à nos ames inſpire, En vain malgré l’amour veut garder ſon Empire, Les ſoupirs d’vn amant agreable à nos yeux, Triumphent toſt ou tard d’vn cœur imperieux, Et ſelon qu’vn amant eſt capable de plaire, Il ſe rend le deſtin fauorable ou contraire,	L'orgue l' amour sang illustre à nos âmes inspire, En vain malgré l'amour veut garder son Empire, Les soupirs d'un amant agréable à nos yeux, Triumphent tôt ou tard d'un cœur impérieux, Et selon qu'un amant est capable de plaire, Il se rend le destin favorable ou contraire,
ELISE Ha ma ſœur!	ÉLISE Ha ma sœur!
ce n’eſt pas ce qui nous reud heureux La fort ne peut tout dans l’Empire amoureux, Et ſouuent ſon capr ce a fait des miſerables, Des plus rares beautez des aimans plus aymables, Que le calme eſt à craindre aux plus heureux Amĩs Que leur ſort eſt ſujet à de grands changemens Le Soleil a deux fois enrichy les campagnes, Et deux fois a fondu la neige des montagnes, Depuis qu’amour fait voir entre ce Prince, & my Les plus rares effects d’vne conſtante foy?	ce n'est pas ce qui nous reud heureux La fort ne peut tout dans l'Empire amoureux, Et souvent son caprès ce a fait des misérables, Des plus rares beautés des aimands plus aimables, Que le calme est à craindre aux plus heureux Amis Que leur sort est sujet à de grands changements Le Soleil a deux fois enrichi les campagnes, Et deux fois a fondu la neige des montagnes, Depuis qu'amour fait voir entre ce Prince, et mi Les plus rares effets d'une constante foi?
ORSAIRE.	ORSAIRE.
Helas!	Hélas!
dequoy uous ſert d’auoir eſté fidelles ?	dequoy -vous sert d'avoir été fidèles ?
En auons nous moins eu de trauerſes cruelles?	En avons nous moins eu de traverses cruelles?
Vn Prince que le Ciel auoit fait ſi charmant, Si conſtant à m’aymer, que i’aymay conſlamment, Par vn indigne ſort, ſous vne main barbare, Tõbe, & me laiſſe aux maux que ſa mort me prépare.	Un Prince que le Ciel avait fait si charmant, Si constant à m'aimer, que j'aimai conslamment, Par un indigne sort, sous une main barbare, Tombe, et me laisse aux maux que sa mort me prépare.
Ha ſa perte m’apprend que la fidelité, Eſt vne vertu vainc j & ſans vrilité.	Ha sa perte m'apprend que la fidélité, Est une vertu vainc j et sans vrilité.
Mais il eſt temps, ma ſœur, d’aller où nous appells De nos propres ſujers l’aſſemblée infidelle;	Mais il est temps, ma sœur, d'aller où nous appels De nos propres sujers l'assemblée infidèle;
Allons voir Nicanor, d’vn prétexte pieux Déguiſer les deſſeins d’vn cœur ambitieux;	Allons voir Nicanor, d'un prétexte pieux Déguiser les desseins d'un cœur ambitieux;
Et ſon fils Amintas qu’vn meſme eſprit inſpire, Couurir de ſon amour ſon deſſein pour l’Empire;	Et son fils Amintas qu'E armé esprit inspire, Couvrir de son amour son dessein pour l'Empire;
Mais leur ambition outre l’ordre du Roy, Aura beſoin encore, & de vous, & de moy, Si vous voulez ma ſœur eſtre d’intelligence, Et comme moy contre-eux vous atmer de conſlãce, Nous les obligerons ces Tyrans odieux, De recourir au crime, & d’offenſer les Dieux, Et peut-eſtre le Ciel qu’irrite le Coupable, D’ennemy qu’il nous eſt, deuiendra fauorable.	Mais leur ambition outre l'ordre du Roi, Aura besoin encore, et de vous, et de moi, Si vous voulez ma sœur être d'intelligence, Et comme moi contre-eux vous atmer de conslance, Nous les obligerons ces Tyrans odieux, De recourir au crime, et d'offenser les Dieux, Et peut-être le Ciel qu'irrite le Coupable, D'ennemi qu'il nous est, deviendra favorable.
Fin du premier Acte.	Fin du premier Acte.
A SCENE PREMIE NICANOR, ELISE, ALCIONNE AMINTAS.	À SCÈNE PREMIE NICANOR, ELISE, ALCYONE AMINTAS.
NICANOR.	NICANOR.
ADAME, ie veux bien icy vous repeter, MCe que dans le conſeil ie viens de proteſter, Que mon fils a mintas vous ayme, & vous adore, Et qu’il mourra pluſtoſt du feu qui le deuore, Que de ſe preualoir des volontez du Roy, Pour vn bien qu’il n’attend que de ſa ſeule foy.	ADAME, je veux bien ici vous répéter, MCe que dans le conseil ie viens de protester, Que mon fils a mintas vous aime, et vous adore, Et qu'il mourra plutôt du feu qui le dévore, Que de se prévaloir des volontés du Roi, Pour un bien qu'il n'attend que de sa seule foi.
ELISE Ie vous l’ay déja dit.	ÉLISE -Je vous l'ai déjà dit.
& ie vous le repete, I’ay du reſſentiment de ſa flâme diſcrette, Et c’eſt de tout mon cœur que ie voudrois aymer, Celuy dont la vertu ne peut trop s’eſtimer:	et petit vous le répète, J'ai du ressentiment de sa flamme discrette, Et c'est de tout mon cœur que ie voudrais aimer, Celui dont la vertu ne peut trop s'estimer:
Mais i'at-eſte les Dieux que ie ne le puis faire, Et s’il n’eſt point aymé, que c’eſt ſans me déf	Mais j'at-leste les Dieux que ieans le puis faire, Et s'il n'est point aimé, que c'est sans me déf
NICANOR.	NICANOR.
Cependant Oroſmane à la coſte paroiſt, Vous ſçauez ce qu’il peut, hazardeux comme il eſt, Et contre vn ennemy que la Cypre aprehende, Que nous auons beſoin d’vn Roy qui la deffende, Et vous ſçauez auſſi que Piſandre en mourant.	Cependant Orômane à la côte paraît, Vous savez ce qu'il peut, hasardeux comme il est, Et contre un ennemi que la Cypre appréhende, Que nous avons besoin d'un Roi qui la défende, Et vous savez aussi que Pisandre en mourant.
ELISE.	ÉLISE.
Ie ſçay tout, & de plus, qu’il eſt indifferent, De laquelle des ſœurs, d’Eliſe, ou d’Alcionne, toitre mo fimitas recoiue la couronne, Ma ſœur peut comme moy couronner Amintas.	Je sais tout, et de plus, qu'il est indifférent, De laquelle des sœurs, d'Élise, ou d'Alcionne, toitre mo fimitas reçoive la couronne, Ma sœur peut comme moi couronner Amintas.
NICANOR.	NICANOR.
Mais il n’aime que vous,	Mais il n'aime que vous,
ELISE.	ÉLISE.
Mais ie ne l’ayme pas.	Mais ici ne l'aime pas.
NICANOR.	NICANOR.
Amintas ne veut point de Sceptre ſans Elize.	Amintas ne veut point de Sceptre sans Élise.
ELISE ſe tournant vers Alcionna Ha ie l’ay refuſe;	ELISE se tournant vers Alcionna Ha Hl’ès refuse;
mais ſans le meſpriſer,	mais sans le mépriser,
IBETUNNE.	IBETUNE.
Et ſans mépris auſſi ie le puis refuſer, Ie le ſepare aſſez des hommes du vulgaire:	Et sans mépris aussi ici le puis refuser, Je le sépare assez des hommes du vulgaire:
Ie trouue aſſez en luy ce qui me poutroit plaire;	Je trouve assez en peine ce qui me poutrait plaire;
I'eſtime ſa vertu;	J'estime sa vertu;
i’admireſa valleur:	j'admirez valeur:
Mais à voſtre refus il m’offriroit ſon cœur, Et quoy que ſon amour puiſſe eſtre ſon excuſe, le ne puis accepter ce qu’vn autre refuſe,	Mais à votre refus il m'offrirait son cœur, Et quoi que son amour puisse être son excuse, le ne puis accepter ce qu'un autre refuse,
NICANOR.	NICANOR.
Vous pourrez entte vous terminer ces debats, Mais mon fils doit regner.	Vous pourrez entte vous terminer ces débats, Mais mon fils doit régner.
ELISE.	ÉLISE.
Et ne regne t’il pas, Puis que vous dont il tient la vie, & la lumiere, Auez ſur cét Eſtat vne puiſſance entiere?	Et ne règne t'il pas, Puis que vous dont il tient la vie, et la lumière, Avez sur cet État quelque puissance entière?
Du moins tout ſans reſerue y dependroit de vous, S vous pouuiez auſſi nous marier ſans nous:	Du moins tout sans réserve y dépendroit de vous, S au riez aussi nous marier sans nous:
Ilais à l’ordre du Roy qui du Sceptre diſpoſe, De grace examinons s’il manque quelque choſe, L’intention du Roy ( vous en ſerez d’accord)  que l’vne de nous ſoit Reine apres ſa mort, Et s’il veut qu’Amintas ait part en la Couronne, C’eſt comme eſpoux d’Eliſe, ou celuy d'Alciõne:	Ilais à l'ordre du Roi qui du Sceptre dispose, De grâce examinons s'il manque quelque chose, L'intention du Roi ( vous en serez d'accord) que l'une de nous soit Reine après sa mort, Et s'il veut qu'Amintas ait part en la Couronne, C'est comme époux d'Élise, ou celui d'Alcine:
Mais de l’aymer iamais mon cœur eſt eſloigné;	Mais de l'aimer jamais mon coeur est éloigné;
Il dédaigne ma ſœur;	Il dédaigne ma sœur;
il en eſt dédaigné, Perdrons nous elle & moy pour cette antipathie, Cypre, que nos ayeux nous ont aſſuiettie?	il en est dédaigné, Perdrons nous elle et moi pour cette antipathie, Cypre, que nos aïeux nous ont assuiettie?
Et pourra-t’il regner voſtre fils Amintas, Puiſque ma ſœur ny moy ne l’eſpouſerons pas?	Et pourra-t-il régner votre fils Amintas, Puisque ma sœur ni ici ne l'épouserons pas?
NICANOR.	NICANOR.
Mon fils peut ſucceder à Piſandre mon frere,	Mon fils peut succéder à Pisandre mon frère,
ELISE.	ÉLISE.
Ce frere fut ſon Roy;	Ce frère fut son Roi;
mais ce Roy fut mon Pere.	mais ce Roi fut mon Père.
AMINTAS.	AMINTAS.
Puis-je parler Seigneur?	Puis-je parler Seigneur?
NICANOR.	NICANOR.
Oüy parle, mais en Roy.	Oui parle, mais en Roi.
AMINTAS.	AMINTAS.
A ces diuines ſœurs qui peuuent tout ſur moy, Comment puis je parler qu’en eſclaue fidelle, Dont le moindre murmure en ferot vn rebelle?	À ces divines sœurs qui peuvent tout sur moi, Comment puis je parler qu'en esclave fidèle, Dont le moindre murmure en ferot un rebelle?
Conſeruer ſon reſpect heureux ou malheureux, C’eſt comme doit agit vn Amant genereux, I’ayme Eliſe, & mon ame à ſes fers aſſeruie, N’en ſortira iamais qu’en ſortant de la vie, Et toute autre beaute par des Sceptres offers, La tenteroit en vain de ſortir de ſes fers, Pourrois-je donc, Seigneur, eſpouſant Alcionne, A ſa ſœur que i’adore oſter vne Couronne?	Conserve son respect heureux ou malheureux, C'est comme doit agit un Amant généreux, J'aime Élise, et mon âme à ses fers asservie, N'en sortira jamais qu'en sortant de la vie, Et toute autre beauté par des Sceptres offerts, La tenterait en vain de sortir de ses fers, Pourrais-je donc, Seigneur, épousant Alcionne, À sa sœur que j'adore ôter une Couronne?
Quand vous l’ordonneriez, vous deurois-je obcïr Tout d’vn temps, puït-ie aymer Eliſe, & la trahir Ha!	Quand vous l'ordonneriez, vous devrais-je obcir Tout d'un temps, puït-je aimer Élise, et la trahir Ha!
que l’ambition ne nous faſſe rien faire, Dont nous puiſſions rougir, qui luy puiſſe déplai N’exigez rien d’vn fils, qu’il doiue refuſer, Et dont vn Pere vn iour le puiſſe mépriſer,	que l'ambition ne nous fasse rien faire, Dont nous puissions rougir, qui lui puisse déplai N'exigez rien d'un fils, qu'il doive refuser, Et dont votre Père un jour le puisse mépriser,
NICANOR.	NICANOR.
Et de ton Pere auſſi ne trompe pas l’attente, Mais quel homme iuconnu ſans ordre ſe preſente?	Et de ton Père aussi ne trompe pas l'attente, Mais quel homme juconnu sans ordre se présente?
SCENE SECONDE SEBASTE, ELISE, NICANOR, ALCIONNE, AMINTAS.	SCÈNE SECONDE SÉBASTE, ELISE, NICANOR, ALCIONNE, AMINTAS.
SEBASTE parlant à Amintas IE vous cherchois Seigneur, en ces mots vous verrez, Ce que veut Oroſmane, & vous luy répondrez.	SÉBASTE parlant à Amintas IE vous cherchais Seigneur, en ces mots vous verrez, Ce que veut Orosmane, et vous lui répondrez.
NICANOR.	NICANOR.
