A PARIS, Chez GABRIEI.	À PARIS, Chez GABRIEI.
Que la Nature en vous réueille ſa tendreſſe, Ne m’abandonnez point aux coups de ma triſteſſe, Formez en ma faueur de plus juſtes deſirs, Et ſoyez exorable enfin à mes ſoûpirs.	Que la Nature en vous réueille sa tendresse, Ne m'abandonnez point aux coups de ma tristesse, Formez en ma faveur de plus justes désirs, Et soyez exorable enfin à mes soupirs.
LIS Eſe mettant außi à genoux.	LIS Ese mettant aussi à genoux.
N’imitez point Orgon;	N'imitez point Orgon;
ayez, voyant ſa peine, Pour voſtre Fille en pleurs, de la foibleſſe humaine,	ayez, voyant sa peine, Pour votre Fille en pleurs, de la faiblesse humaine,
CLEON releuant Lidiane.	CLEON relevant Lidiane.
Tes douleurs m’ont touché, ie me ſens attendrir, Va, mon deſſemn n’eſt pas de te faite ſouffrit;	Tes douleurs m'ont touché, Seigneur me sens attendrir, Va, mon dessemn n'est pas de te faite souffrit;
Et quoy que faſſe Orgon, ie ſoûtiens impoſſible, Qu’vn Pere en cet eſtat ne ſe rende flexible.	Et quoi que fasse Orgon, ie soutiens impossible, Qu'un Père en cet état ne se rende flexible.
La Pitié dans nos cœurs vſant de trahiſon, Aux Loix de la Nature aſſeruit la raiſon.	La Pitié dans nos cœurs usant de trahison, Aux Lois de la Nature asservit la raison.
Quelques forts intereſts qui ſeduiſent noſtre ame, Cette meſme Nature en leurs mains nous reclame, Et ſurprend d’autant plus aiſément noſtre cœur, Qu'elle ne nous combat qu’a force de douceur.	Quelques forts intérêts qui séduisent notre âme, Cette même Nature en leurs mains nous réclame, Et surprend d'autant plus aisément notre cœur, Qu'elle ne nous combat qu'a force de douceur.
A tes ſoûpirs enfin tu me vois exorable;	À tes soupirs enfin tu me vois exorable;
Et puis qu’vn tel Hymen te rendroit miſerable, Que Liſandre eſt l’objet de tes vœux les plus doux, Crois-moy, dés ce jourd’huy tu l’auras pour Epoux.	Et puis qu'un tel Hymen te rendrait misérable, Que Lisandre est l'objet de tes vœux les plus doux, Crois-moi, dès ce jourd'hui tu l'auras pour Époux.
LIDIANL.	LIDIANL.
Ah quels remereimens, s’il faut qu’on vous en croye!	Ah quels remereimens, s'il faut qu'on vous en croie!
CLEON.	CLEON.
Que la douleur en toy faſſe place à la joye.	Que la douleur en toi fasse place à la joie.
LISE à Lidiane.	LISE à Lidiane.
Vous voyez à preſent ſi mon conſeil eſt bon.	Vous voyez à présent si mon conseil est bon.
Quand vn Pere obſtiné n’entre point en raiſon, Que pour l’humaniſer la maxime eſt tres-ſeure, Qu’il faut tâcher en luy d’émouuoir la Narure, C’eſtoit le ſeulmoyen d’appaiſer ſon couroux, Car la Nature en ſoy n’a rien que de fort doux.	Quand un Père obstiné n'entre point en raison, Que pour l'humaniser la maxime est très -sèvre, Qu'il faut tâcher en lui d'émouuoir la Narre, C'était le seulmoyen d'apaiser son courroux, Car la Nature en soi n'a rien que de fort doux.
Tartuffe eſt moins chery d’Orgon qui le réuere, Que ie ſens attendrir mon cœur pour voſtre Pere;	Tartuffe est moins chéri d'Orgon qui le réuere, Que me sens attendrir mon cœur pour votre Père;
Il eſt tout naturel, & loin d’eſtre inhumain, Ciſi ountemumqjumumiunnuma.	Il est tout naturel, et loin d'être inhumain, Cisi ountemumqjumiunnuma.
vnHõme enfn.	vnHõme enfn.
CLEON.	CLEON.
L'éloge eſt de Tartuffe;	L'éloge est de Tartuffe;
ô la belle loüange!	ô la belle louange!
LISE.	LISE.
Non plus que luy, ie crois, vous n’eſtes pas vn Ange?	Non plus que Seigneur, ie crois, vous n'êtes pas un Ange?
CLEON.	CLEON.
Ie ſuis vn Homme enfin?	Je suis un Homme enfin?
as-tu de la raiſon?	as-tu de la raison?
LISE.	LISE.
I’en ay dans ce diſcours du moins autant qu’Orgon, Et ce n’eſt qu’apres luy que mon eſprit s’enuole.	J'en ai dans ce discours du moins autant qu'Orgon, Et ce n'est qu'après lui que mon esprit s'envole.
CLEON.	CLEON.
rou intti e gih, tu n’en es pas moins fole.	rou intti est gih, tu n'en es pas moins sole.
LIDIANE à Liſe.	LIDIANE à Lise.
Que ie reſſens de joye en ſecret dans mon cœur!	Que était ressens de joie en secret dans mon cœur!
LISE à CleonA quoy donc penſez-vous?	LISE à CléonA quoi donc pensez-vous?
CLEON.	CLEON.
A me ſauuer l’honneur.	À me sauver l'honneur.
Manqueray-je à Panulphe, en rompant cette affaire?	Manquerai-je à Panulphe, en rompant cette affaire?
LISE.	LISE.
Le grand hialneur !	Le grand hialneur !
Orgon manque bien à Valere.	Orgon manque bien à Valère.
CLEON.	CLEON.
C’eſt vn crime ſi noir que violer ſa foy?	C'est un crime si noir que violer sa foi?
u.	u.
LISE.	LISE.
le me charge de tout, e prens le mal ſur may.	le me charge de tout, e ends le mal sur mai.
Ayez moins de ſcrupule, & plus de confiance.	Ayez moins de scrupule, et plus de confiance.
CLEON.	CLEON.
Peut-on du mal d’autruy charger ſa conſcience!	Peut-on du mal d'autrui charger sa conscience!
LISE.	LISE.
Demandez à Tartuſſe.	Demandez à Tartusse.
Orgon dit qu’il fera, Touchant vn tel Hymen, ce que le Ciel voudra;	Orgon dit qu'il fera, Touchant un tel Hymen, ce que le Ciel voudra;
Et puis ſans dégager ſa foy d’auec Valere, Il s’engage à Tartuffe, & veut preſſer l’affaire.	Et puis sans dégager sa foi d'avec Valère, Il s'engage à Tartuffe, et veut presser l'affaire.
Agiſſez-en de meſme;	Agissez-en de même;
& ſi c’eſt vn peché, Le Ciel, & non pas vous, en doit eſtre taché, Puis que c’eſt luy qui veut qu’on mãque à ſa promeſſe,	et si c'est un péché, Le Ciel, et non pas vous, en doit être taché, Puis que c'est toujours qui veut qu'on manque à sa promesse,
CLEON.	CLEON.
Dans le rang où ie ſuis, ma gloire m’intereſſe, Et ie crains qu’vn tel tour ne faſſe trop d’éclat.	Dans le rang où je suis, ma gloire m'intéresse, Et ie crains qu'un tel tour ne fasse trop d'éclat.
LISE.	LISE.
Orgon n’eſtoit-il pas jadis Homme d'Etat?	Orgon n'était-il pas jadis Homme d'État?
mecepcmuunomumous que quoy quomſe ſenomme?	mécepmuunomumous que quoi quomse senomme?
CLEON.	CLEON.
Ah ne m’allegues plus pour exemple vn tel Homme;	Ah ne m'allégues plus pour exemple un tel Homme;
Crois-tu que comme luy i’euſſe aſſez peu de foy, Pour oſer preferer vn Bigot à mon Roy?	Crois-tu que comme lui j'eusse assez peu de foi, Pour oser préférer un Bigot à mon Roi?
M’eſtant donc engagé touchant cer Hymenée, Ie ne puis retirer ma parole donnée.	M'étant donc engagé touchant cer Hyménée, Je ne puis retirer ma parole donnée.
Va, ne reſiſte plus, ma Fille, à m’obeïr.	Va, ne résiste plus, ma Fille, à m'obéir.
Acceptant cet Epoux, tache à le moins haïr.	Acceptant cet Époux, tache à le moins haïr.
Tu vois que de ton ſort telle eſt la loy ſeuere, Puis qu’enfin il y va de l’honneur de ton Pere.	Tu vois que de ton sort telle est la loi sévère, Puis qu'enfin il y va de l'honneur de ton Père.
Voudrois-tu me trahir?	Voudrais-tu me trahir?
& puis que ie le veux, Rens ton ame inſenſible a l’ardeur de ſes feux.	et puis que ie le veux, Rens ton âme insensible à l'ardeur de ses feux.
LISE.	LISE.
Iuſtement.	Justement.
Comme Orgon, c’eſt vouloir l’impoſſible Voulant qu’a contre-cœur ſa Fille ſoit ſenſible, Et quoy qu’il n’en ſoit rien, qu’elle auouë hautement, Que Tartuffe luy plaiſt, & qu’il eſt ſon Amant.	Comme Orgon, c'est vouloir l'impossible Voulant qu'a contre-cœur sa Fille soit sensible, Et quoi qu'il n'en soit rien, qu'elle avoue hautement, Que Tartuffe lui plaît, et qu'il est son Amant.
N’eſt-ce pas faire voit plus d’vn grain de folie?	N'est-ce pas faire voit plus d'un grain de folie?
Car peut-on de deux cœurs dompter l’antipathie?	Car peut-on de deux cœurs dompter l'antipathie?
Quoy que l’obeiſſance ait des charmes puiſſans, Se peut on affranchir du commerce des ſens?	Quoi que l'obéissance ait des charmes puissants, Se peut on affranchir du commerce des sens?
Et la haine & l’amour ſe montent-ils à vices, Pour les faire & défaire au gré de ſes caprices?	Et la haine et l'amour se montent-ils à vices, Pour les faire et défaire au gré de ses caprices?
Non, non.	Non, non.
& voſtre honneur duſt-il ſe gendarmet, La haine fait haïr, & l’amour fait aimer.	et votre honneur dût-il se gendarmet, La haine fait haïr, et l'amour fait aimer.
LIDIANE.	LIDIANE.
Si-toſt voſtre bonté ſe ſeroit diſſipée?	Si-tôt votre bonté se serait dissipée?
Et par vn faux brillant i’aurois eſté trompée?	Et par un faux brillant j'aurais été trompée?
Quoy, ſecoüant en vous le joug de l’amitié, L’Intereſt triomphant, s’immole la Pitié!	Quoi, secouant en vous le joug de l'amitié, L'Inter triomphant, s'immole la Pitié!
Et liurant la Nature à voſtre humeur auare, Peut vous rendre à la fois & parjure & barbare!	Et livrant la Nature à votre humeur avare, Peut vous rendre à la fois et parjure et barbare!
Dans voſtre cruauté, par quelle injuſte Loy, Pour ſauuer voſtre honneur, me mãquez-vous de foy?	Dans votre cruauté, par quelle injuste Loi, Pour sauver votre honneur, me manquez-vous de foi?
Car enfin ſi pour luy cet honneur s’intereſſe, D’acheuer cet Hymen ſelon voſtre promeſſe, M’ayant promis à moy de le rompre aujourd’huy, Ne me deuez-vous pas, mon l’ere, autant qu’a luy?	Car enfin si pour lui cela honneur s'intéresse, D'achever cet Hymen selon votre promesse, M'ayant promis à moi de le rompre aujourd'hui, Ne me devez-vous pas, mon l'ère, autant qu'a lui?
Si l’honneur entre nous tient voſtre ame en balance, Que la Nature emporte au moins la preference.	Si l'honneur entre nous tient votre âme en balance, Que la Nature emporte au moins la préférence.
Ene je mser aFana.	Une je mser aFana.
Mon Pere, hé ſi ce nom qui jadis vous fut cher, A des craits aſſez doux encor pour vous toucher.	Mon Père, hé si ce nom qui jadis vous fut cher, À des craits assez doux encor pour vous toucher.
CLEON s'éloignant d’elle.	CLEON s'éloignant d'elle.
A d’autres.	À d'autres.
Derechef vous voulez me ſurprendre, Pour oüir vos douleurs, ie porte vn cœur trop tendre.	Derechef vous voulez me surprendre, Pour ouïr vos douleurs, ie porte un cœur trop tendre.
Aiſément la pitié peut encor l’enuahir.	Aisément la pitié peut encor l'envahir.
Hé ſi le dur Orgon que l’on vit ſe trahir, N’auoit pas de ſa Fille écouté la ſouffrance, Il n’auroit pas peché contre la vray-ſemblance.	Hé si le dur Orgon que l'on vit se trahir, N'avait pas de sa Fille écouté la souffrance, Il n'aurait pas péché contre la vraiisemblance.
Iidiaue & Liſe ſuiuent Cleon, qui s’enfuts d’elles d’vn bout du Theatre à l'autre.	Iidiaue et Lise suivent Cleon, qui s'enfuts d'elles d'un bout du Théâtre à l'autre.
LISE.	LISE.
Quoy, ces beaux yeux en pleurs?	Quoi, ces beaux yeux en pleurs?
CLEON.	CLEON.
Ses pleurs ſont ſuperflus.	Ses pleurs sont superflus.
LIDIANE.	LIDIANE.
Hé de grace écoutez.	Hé de grâce écoutez.
CLEON.	CLEON.
Vous ne m’y tenez plus,	Vous ne m'y tenez plus,
LISE à part.	LISE à part.
Que i’aurois de plaiſir de luy dire vne injure!	Que j'aurais de plaisir de lui dire une injure!
baut à Cleon, Vous eſtes ſi bon Pere, écoutez la Nature.	baut à Cleon, Vous êtes si bon Père, écoutez la Nature.
LIDIANE.	LIDIANE.
Par tous vos mouuemens de tendreſſe & d’ardeur,	Par tous vos mouvements de tendresse et d'ardeur,
LISE.	LISE.
Par les phantômes d’or qui charment voſtre cœut.	Par les phantômes d'or qui charment votre cœut.
Cleon ſe trouue au milieu du Theatre, & Liſe & Lidiane ſe mettent à genoux a ſes deux coſtez.	Cleon se trouve au milieu du Théâtre, et Lise et Lidiane se mettent à genoux à ses deux côtés.
LIDIANE.	LIDIANE.
Par l’objet le plus cher que vous ayez aumonde.	Par l'objet le plus cher que vous ayez aumonde.
LISE.	LISE.
Par voſtre grande bourſe en richeſſes féconde.	Par votre grande bourse en richesses féconde.
CLEON.	CLEON.
Auez-vous pris deſſein de ne iamais ceſſer?	Avez-vous pris dessein de ne jamais cesser?
Ah ie ſçais vn moyen pour me débaraſſer.	Ah ici sais un moyen pour me débarrasser.
Si ie rõps cetHymen, ie veux bien qu’on m’aſſomme.	Si ici roms cetHymen, je veux bien qu'on m'assomme.
Il ſorn,	Il sorn,
LISE à genoux Voila, ie vous l’auouë, vn abominable Homme!	LISE à genoux Voilà, je vous l'avoue, un abominable Homme!
SCENE V LIDIANE, LISE.	SCÈNE V IDIANE, LISE.
LIDIANE.	LIDIANE.
St-il rien ſous le Ciel d’égal à mon malheur?	St-il rien sous le Ciel d'égal à mon malheur?
LIe prendrois vn Epoux pour qui i’ay de l’horreur.	LIe prendrais un Époux pour qui j'ai de l'horreur.
LISE.	LISE.
Non non, conſolez-vous, vous ſerez mariée, Et ſi vous ne ſerez iamais Panulphiée.	Non non, consolez-vous, vous serez mariée, Et si vous ne serez jamais Panulphiée.
Ie ſçais certain ſecret qui vous peut ſecourir, Mais celieu m’eſt ſuſpect pour vous le découurir.	Je sais certain secret qui vous peut secourir, Mais celieu m'est suspect pour vous le découvrir.
Ayant regardé par tout.	Ayant regardé par tout.
Ie vais tout viſiter.	Je vais tout visiter.
Dans la peur qui m’accable, Il ne me teſte plus qu’à chercher ſous la Table.	Dans la peur qui m'accable, Il ne me tête plus qu'à chercher sous la Table.
LIDIANE.	LIDIANE.
Es-tu folle?	Es-tu folle?
Crois-tu que quelqu’vn?	Crois-tu que quelqu'un?
LISE.	LISE.
Que ſçait-on Si ie n’y pourois point rencontrer quelqu’Orgon?	Que pourrait-on Si ici n'y pourrais point rencontrer quelqu'Orgon?
Si Tartuffe eſt ſi fat que de ſe faire entendre, Ie ne ſuis pas d’humeur à me laiſſer ſurprendre.	Si Tartuffe est si fat que de se faire entendre, Je ne suis pas d'humeur à me laisser surprendre.
LIDIANE.	LIDIANE.
dut lay dipauemte a ivauonte ſcice.	dut lay dipavemte a jauonte sciée.
LISE.	LISE.
Ce lieu, tout grand qu’il eſt, ne peut eſtre indiſcret.	Ce lieu, tout grand qu'il est, ne peut être indiscret.
LIDIANE.	LIDIANE.
Ne me fais point languir.	Ne me fais point languir.
& dis-moy ſans myſtere.	et dis-moi sans mystère.
LISE.	LISE.
Il faut auparauant banir toute humeur fiere.	Il faut auparavant banir toute humeur fière.
LIDIAAE.	LIDIAE.
Volontiers, i’y conſens, pour guerir ma douleur.	Volontiers, j'y consens, pour guérir ma douleur.
LISE.	LISE.
Ne point trop écouter les Loix de la Pudeur.	Ne point trop écouter les Lois de la Pudeur.
LIDIANE.	LIDIANE.
Déja, ſans le ſçauoir, vn tel ſecret m’étonne!	Déjà, sans le savoir, un tel secret m'étonne!
LISE.	LISE.
Et meſme il ne faut pas que voſtre honneus naiſonnc.	Et même il ne faut pas que votre honnus naisonnc.
B ii	 Bi
LIDIANE.	LIDIANE.
Dûſſay-je de mon ſort éprouter nan gueur Ie ne foſtray point des regles de l’honneur	Dussé-je de mon sort éprouter nan gueur Je ne fostrai point des règles de l'honneur
Mais.	Mais.
LTSE.	LTSE.
LIDIANE.	LIDIANE.
Ie ne puis t’entendre.	Je ne puis t'entendre.
LISE.	LISE.
Ayez plus de franchiſe.	Ayez plus de franchise.
Non.	Non.
Qoy.	Qoi.
drE Pilleſ LISE.	drE Pilles LISE.
LIDIANE.	LIDIANE.
Ie ne veux pas enfin qu’on me le diſe.	Je ne veux pas enfin qu'on me le dise.
Sçachant vn tel ſecret, quoy qu’il choquaſt l’honneus Ie pourois m’en ſeruir au gré de ma fureur.	Sachant un tel secret, quoi qu'il choquât l'honnus Ie pourais m'en servir au gré de ma fureur.
LISE.	LISE.
Mla foy, vous l’entendrez.	Mla foi, vous l'entendrez.
LIDIANE.	LIDIANE.
Ton erreur eſt extréme.	Ton erreur est extrême.
LISE.	LISE.
Ie vais icy tout haut me le dire a moy-meſme.	Je vais ici tout haut me le dire à moi-même.
Auant que d’imirer la Seruante d’Orgon, Que voitne nomeur au moins le fende did laiſon.	Avant que d'imirer la Servante d'Orgon, Que voitne nomeur au moins le fende did aison.
LIDIANE.	LIDIANE.
Dis-moy dõc quel il eſt?	Dis-moi domme quel il est?
Quãd i’auray ſçeu l’aprẽdre.	Quand j'aura y l'aprendre.
LISE.	LISE.
C’eſt qu’il vous faudroit faire enleuer par Liſandre, Et fort adroitement il le faut diſpoſer.	C'est qu'il vous faudrait faire enlever par Lisandre, Et fort adroitement il le faut disposer.
LIDIANE.	LIDIANE.
Ah qu’oſes-tu, meſchante, icy me propoſer?	Ah qu'oses-tu, méchante, ici me proposer?
Hé quoy, non ſeulement tu veux dans ta malice Me faite conſentir que mon honneur periſſe, Mais encor ſans pudeur tu veux que de mes mains Ie trauaille à ſa perte, & ſoüille ſes deſtins, Et loin d’en rejetter la coupable priere, Que moy-memie le'piie, d vouunt lacainere, Et liurant ma vertu pour victime à mes ſens, Que mon cœur ſe reduiſe à ſeduire les Gens?	Hé quoi, non seulement tu veux dans ta malice Me faite consentir que mon honneur périsse, Mais encor sans pudeur tu veux que de mes mains Je travaille à sa perte, et soüille ses destins, Et loin d'en rejetter la coupable prière, Que moi-même le'épiie, d vouunt lacaine, Et livrant ma vertu pour victime à mes sens, Que mon cœur se réduise à séduire les Gens?
Peut-on voit vne Femme à ce poinct effrontée?	Peut-on voit une Femme à ce point effrontée?
LISE.	LISE.
Oüy, la Femme d’Orgon n’eſt pas moins emportée;	Oui, la Femme d'Orgon n'est pas moins emportée;
Ne la voyons-nous pas, oubliant ſa pudeut, En faueur du Tartuffe expliquer ſon ardeur?	Ne la voyons-nous pas, oubliant sa pudeut, En faveur du Tartuffe expliquer son ardeur?
Et courant au deuant, bien loin d’eſtre ſeuere Ne luy fait-elle pas ce qu’il luy deuroit faite?	Et courant au devant, bien loin d'être sévère Ne avait fait-elle pas ce qu'il lui devrait faite?
Preuenant ſes deſirs par mille & mille aueus, Pour le faire deſcendre à l’endroit chatouilleux Ne conduit-elle pas, d’vn infame artifice, Son honneur imbecile au bord du precipice?	Prévenant ses désirs par mille et mille aveus, Pour le faire descendre à l'endroit chatouilleux Ne conduit-elle pas, d'un infâme artifice, Son honneur imbécile au bord du précipice?
Et ne juge-t-on pas, Mrid ro aucapn, duene paſſéroit biea pasoutle nans lougiI.	Et ne juge-t-on pas, Mrid ro aucapn, dune passerait biea pasoutle nans lougiI.
LIDIANE.	LIDIANE.
Vn tel raiſonnement eſt dîgne qu’on l’admire.	Un tel raisonnement est dîgne qu'on l'admire.
Oſes-tu bien noireir l’innocence d’Elmire?	Oses-tu bien noireir l'innocence d'Emire?
Sq̧ai nan.	Sq̧ai nan.
qu'ene ne femit d’expoler ion noilneur, Qu’afin de mieux cofondre vn Traiſtre, vn Impoſteus.	qu'ene ne fémit d'expoler ion noileur, Qu'afin de mieux cofondre un Traître, un Imposteus.
LISE.	LISE.
Mais Tartuffe voit-il dans le fonds de ſon ame?	Mais Tartuffe voit-il dans le fond de son âme?
Pour dire les tranſports d’vne trompeuſe flame, Il eſt bien moins aiſé de dompter ſa pudeur, Que pour marquer l’excés d’vne fincere ardeur.	Pour dire les transports d'une trompeuse flamme, Il est bien moins aisé de dompter sa pudeur, Que pour marquer l'excès d'une sincère ardeur.
Quand vn cœur en effet ſent de viues ſouffrances, La paſſion le rend aueugle aux conſequences;	Quand un cœur en effet sent de vives souffrances, La passion le rend aveugle aux conséquences;
Mais alors que l'on feint, le deuoir reuolté Fait voir vn tel diſcours ut venin infecté;	Mais alors que l'on feint, le devoir révolté Fait voir un tel discours ut venin infecté;
Et la honte au dehors faiſant ſa reſidence, Naiſt de ce que l’on dit, & non de ce qu’on penſe.	Et la honte au dehors faisant sa résidence, Naît de ce que l'on dit, et non de ce qu'on pense.
SCENE VI.	SCÈNE VI.
LISANDRE, LIDIANE, LISE,	LISANDRE, LIDIANE, LISE,
LISANDRE.	LISANDRE.
H Madame, eſtece ainſi que vous vous engagez?	H Madame, été ainsi que vous vous engagez?
ASous les Loix de l’He men ainſi vous vous rangez?	ÀSous les Lois de l'He men ainsi vous vous rangez?
Des ce loir, m’a-t-on dit, au gre de voſtre flame, D’vn autre Epoux que moy l’on vous verra la Femme.	Des ce loir, m'a-t-on dit, au gré de votre flamme, D'un autre Époux que moi l'on vous verra la Femme.
a ll llarale Ie ne puis m’en defendre, & mon Pere le veut,	a l' larale Je ne puis m'en défendre, et mon Père le veut,
LISANDRE.	LISANDRE.
L’Amour au deſeſpoir ainſi fait ce qu’il peut Pour rompre en ma faueur cette fatale affaire?	L'Amour au désespoir ainsi fait ce qu'il peut Pour rompre en ma faveur cette fatale affaire?
nin vous y confenteu, la pieuue eneit dopelaire, Et ie n’en puis douter, vous me manquez de foy.	nin vous y confentu, la pieuue enéit dopelaire, Et personne n'en puis douter, vous me manquez de foi.
Hé bien, Madame, hé bien, dégagez-vous de moy, Mais craignez les itanſports de ma viue colere.	Hé bien, Madame, hé bien, dégagez-vous de moi, Mais craignez les itantsports de ma vive colère.
LISE.	LISE.
Peut on voir vn Brutal plus ſemblable à Valeres Peut-on mieux comme luy, dans vn tel contretemps, Expliquer ce qu’on dit ſelon ſon mauuais ſens?	Peut on voir un Brutal plus semblable à Valères Peut-on mieux comme lui, dans un tel contretemps, Expliquer ce qu'on dit selon son mauvais sens?
Ainſi voſtre vangeance à ce poinct eſt cruelle, Que de faire tomber voſtre fureur ſur elle?	Ainsi votre vengeance à ce point est cruelle, Que de faire tomber votre fureur sur elle?
LI SANDRE.	LI SANDRE.
Non, non;	Non, non;
mais ſi i’apprens quel eſt cet inhumaim, Ie veux auec plaiſir le tuer de ma main.	mais si j'apprends quel est cet inhumaim, Je veux a plaisir le tuer de ma main.
LISE.	LISE.
vous rueler uone vn pionmie ance moſne de colere, Que Tartuffe une Puce en faiſant ſa priere?	vous rueler Puone un pionmie ance mône de colère, Que Tartuffe une Puce en faisant sa prière?
LISANDRE.	LISANDRE.
Oüy, ie veux à longs traits ſauourer la douceut De luy rauir celuy qui poſſede ſon cœur, Et que par tont ſon ſang.	Oui, Seigneur veux à longs traits savourer la doucut De notre ravir celui qui possède son cœur, Et que par tont son sang.
LISE.	LISE.
Alte là, mon Beauſrere.	Alte là, mon Beausre.
Le Fils d’Orgon n’eſt pas d’humeur ſi ſanguinaire;	Le Fils d'Orgon n'est pas d'humeur si sanguinaire;
Tartuſſe le trahit, & le fait ſans raiſon, Par ſon Pere irrité, chaſſer de ſa Maiſon;	Tartusse le trahit, et le fait sans raison, Par son Père irrité, chasser de sa Maison;
Et loin de conceuoir des cruautez pareilles, Hluy veut ſeulement couper les deux oreilles, Et vous?	Et loin de concevoir des cruautés pareilles, Hlui veut seulement couper les deux oreilles, Et vous?
LISANDRE.	LISANDRE.
Ne faillons point.	Ne faillons point.
LISE.	LISE.
Il eſt vray que i’ay tort, Voſtre Riual reſpire, & n’eſt pas encor mort.	Il est vrai que j'ai tort, Votre Rival respire, et n'est pas encor mort.
Eſtes-vous inſenſé?	Êtes-vous insensé?
de luy faite querelle, Quand ſon ame pour vous ſe montre ſi fidelle, Et ſon cœur obſtiné pour vous garder ſa foy, Des deſirs paternels combat la dure loy.	de même faite querelle, Quand son âme pour vous se montre si fidèle, Et son cœur obstiné pour vous garder sa foi, Des désirs paternels combat la dure loi.
LI SANDRE à Lidiane.	LI SANDRE à Lidiane.
Ah qu’entens-je, Madame!	Ah qu'entends-je, Madame!
& ſeroit il poſſible?	et serait il possible?
LIDIANE.	LIDIANE.
Croyez-vous que mon cœut pour vous ſoit inſenſible?	Croyez-vous que mon cœur pour vous soit insensible?
Vous ne meritez pas qu’on vous faſſe vn aueu.	Vous ne méritez pas qu'on vous fasse un aveu.
LISANDRE.	LISANDRE.
Ah pardonnez, Madame, aux tranſports de mon feu, Pardonnez aux ſoupçons.	Ah pardonnez, Madame, aux transports de mon feu, Pardonnez aux soupçons.
LISE.	LISE.
Tréue à ce badinage.	Trêve à ce badinage.
Et ſongeons à parer ce preſlant Mariage.	Et songeons à parer ce preslant Mariage.
I’entens quelqu’vn qui vient, l’on peur vous arreſter, Montez dans voſtre Chambre, afin d’y conſulter.	J'entends quelqu'un qui vient, l'on peur vous arrêter, Montez dans votre Chambre, afin d'y consulter.
Ie m’en vais renuoyer d’icy qui ce puiſſe eſtre, Et vous itay ttouuer.	Je m'en vais renvoyer d'ici qui ce puisse être, Et vous itai touver.
SCENE VII LAVRENS, LISE.	SCÈNE VII LAURENS, LISE.
LAVRENS.	LAURENS.
N’As-tu point veu mon Maiſtre?	N'As-tu point vu mon Maître?
LISE.	LISE.
Va le chercher ailleurs.	Va le chercher ailleurs.
Non, il n’eſt point icy.	Non, il n'est point ici.
Que vient-il redoubler encor noſtre ſoucy?	Que vient-il redoubler encor notre souci?
Ne te l’ay-je pas dit cent fois en confidence, Que l’affaire, en vn mot, n’ira pas comme on penſe?	Ne te l'ai-je pas dit cent fois en confidence, Que l'affaire, en un mot, n'ira pas comme on pense?
Que quoy que Lidiane ait pour luy des attraits, Ton Maiſtre doit s’attendre à ne l’auoir iamais.	Que quoi que Lidiane ait pour lui des attraits, Ton Maître doit s'attendre à ne l'avoir jamais.
LAVRENS.	LAURENS.
Ie ne m’étonne pas de ton humeur facheuſe.	Je ne m'étonne pas de ton humeur fâcheuse.
I’ay reſvé cette nuit de mort, & d’eau bourbeuſe, I’ay bien erû que c’eſtoient des preſages mauuais.	J'ai rêvé cette nuit de mort, et d'eau bourbeuse, J'ai bien erû que c'étaient des présages mauvais.
Mais pourquoy contre moy lances-tu tous ces traits?	Mais pourquoi contre moi lances-tu tous ces traits?
Bien loin de quereller, quand le te vois ſi belle, Mon ame ſe tranſporte, & ma ſerueur eſt telle.	Bien loin de quereller, quand le te vois si belle, Mon âme se transporte, et ma serveur est telle.
LISE.	LISE.
Tu m’écaches les doigts.	Tu m'écaches les doigts.
Le plaiſant Amoureux!	Le plaisant Amoureux!
Faire du mal aux Gens, pour témoigner ſes feux.	Faire du mal aux Gens, pour témoigner ses feux.
LAVRENS.	LAURENS.
C’eſt que ie fais l'amour à la nouuelle mode, Du Tartuffe enflamé i’imite la methode.	C'est que personne fais l'amour à la nouvelle mode, Du Tartuffe enflamé j'imite la méthode.
Il embraſſe la cuiſſe de Liſe.	Il embrasse la cuisse de Lise.
Ton étoffe eſt moüelleuſe!	Ton étouffe est moüelleuse!
LISE.	LISE.
En vn pareil deſſein, C’eſt mal ſuiure Tartuffe, il n’y met qu’vne main.	En un pareil dessein, C'est mal suivre Tartuffe, il n'y met qu'une main.
Ne te hazardes point à me faire careſſe, Car ie te ferois voir vne vertu diableſſe, le ceiends mon honneur de griſſes & de uehte, Et ie ſçais pour vn mot deuilager les Gens;	Ne te hasardes point à me faire caresse, Car ie te ferais voir une vertu diablesse, le ceiends mon honneur de grisses et de uehte, Et Seigneur forais pour un mot devilager les Gens;
Car lors qu’auec douceur l’on veut ſe montrer ſage, Plus auant qu’on ne veut, fort ſe’iuent on s’engage.	Car lors qu'avec douceur l'on veut se montrer sage, Plus avant qu'on ne veut, fort se'ivent on s'engage.
LAVRENS.	LAURENS.
Que ton Colier eſt beau!	Que ton Colier est beau!
LISE.	LISE.
Ie comptens ton deſſein, Tu voudrois bien par là me patiner le Sein.	Je comptends ton dessein, Tu voudrais bien par là me patiner le Sein.
LAVRHNS.	LAURHNS.
Non, laiſſe le moy voir, les perles en ſont groſſes, Et d’vne fort belle eau.	Non, laisse le moi voir, les perles en sont grosses, Et d'une fort belle eau.
C ij	Ç ij
LISE.	LISE.
Bien.	Bien.
LAVRENS.	LAURENS.
Mais ie les crois fauſſes.	Mais ici les crois fausses.
LISE.	LISE.
