ICAL L.	ICAL L.
Le Ciel ſera témoin de ma juſte défence, Et que je vous promets fidelle obeïſſance, Je vous l’ai proteſté déja par pluſieurs fois, En ce que Dieu permet par ces tres-juſtes loix, je ne puis adorer Venus une lubrique, l’aime trop la vertu, je veux être pudique.	Le Ciel sera témoin de ma juste défense, Et que je vous promets fidèle obéissance, Je vous l'ai protesté déjà par plusieurs fois, En ce que Dieu permet par ces très-justes bon, je ne puis adorer Venus une lubrique, l'aime trop la vertu, je veux être pudique.
CLEMENT.	CLEMENT.
R’apelle tes eſprits, ma fille, encor un coup, Tu ne peux pas douter que je t’aime beaucoup, Ah!	R'appelle tes esprits, ma fille, encor un coup, Tu ne peux pas douter que je t'aime beaucoup, Ah!
pourquoi me tiens-tu ſi long-temps en cervelle Pourquoi me ſeras-tu maintenant ſi cruelle, Tu me feras changer mon amour en couroux, Je te ſerai cruel au lieu de t’être doux, Ton obſtination, ta criminelle envie, A ton Pere à la fin fera perdre la vie, Quertcće que tu pretens?	pourquoi me tiens-tu si longtemps en cervelle Pourquoi me seras-tu maintenant si cruelle, Tu me feras changer mon amour en courroux, Je te serai cruel au lieu de t'être doux, Ton obstination, ta criminelle envie, À ton Père à la fin fera perdre la vie, Quertce que tu prétends?
ne connois-tu pas bien En qu’el rang de mépris eſt le monde Chrétien, O quel aveuglement!	ne connais-tu pas bien En qu'elle rang de mépris est le monde Chrétien, Ô quel aveuglement!
mépriſer l’alliance, D’un Préſident Romain, helas!	mépriser l'alliance, D'un Président Romain, hélas!
qu’elle imprudence	qu'elle imprudence
REINE.	REINE.
Mon Pere permettés que j’aime uniquement, Celui qui me fera reine du Firmament.	Mon Père permettés que j'aime uniquement, Celui qui me fera reine du Firmament.
CLEMENT	CLEMENT
CLEMENT.	CLEMENT.
Je ſuis au deſeſpoir, helas mal-heureux Pere, Ma Fille eſt mon boureau déteſtable mégere;	Je suis au désespoir, hélas malheureux Père, Ma Fille est mon boureau détestable mégère;
Theophile aide moi, donne lui bon conſeil, Le mal-heur où je ſuis, n’eût jamais de pareil.	Théophile aide moi, donne lui bon conseil, Le malheur où je suis, n'eût jamais de pareil.
THEOPHILE.	THÉOPHILE.
Seigneur elle promet entiére obeïſſance, A vos commandemens quand ils ſont ſans offence;	Seigneur elle promet entierre obéissance, À vos commandements quand ils sont sans offense;
D’adorer des faux.	D'adorer des faux.
Dieux cela n’eſt point permis, Tels crimes font damner ceux qui les ont commis, Ondoit à JESUS ſeul un culte de latrie, Je veux le ſoûtenir au péril de ma vie.	Dieux cela n'est point permis, Tels crimes font damner ceux qui les ont commis, Ondait à JESUS seul un culte de latrie, Je veux le soutenir au péril de ma vie.
BLONDE.	BLONDE.
Ie poſſede l’honneur d’être en votre maiſon, e n’ai jamais apris à parler ſans raiſon, Ni vous déſobeïr à vôtre fille Reine, Je lui défere encor comme à ma ſouveraine, Ie l’ai toûjours portée à l’honneur du vrai bien, ai dû lui découvrir l’aveuglement Païen, ai dit la verité comme j’étois chargée, Et le droit naturel m’y tenoit obligée, Son eſprit tout Divin a crû la verité, Elle a vû les ſplendeurs de la Divinité.	Je possède l'honneur d'être en votre maison, eu n'ai jamais appris à parler sans raison, Ni vous désobeïr à votre fille Reine, Je lui défère encor comme à ma souveraine, Je l'ai toujours portée à l'honneur du vrai bien, ai dû lui découvrir l'aveuglement Païens, ai dit la vérité comme j'étais chargée, Et le droit naturel m'y tenait obligée, Son esprit tout Divin a cru la verité vu Elle la vu les splendeurs de la Divinité.
CLEMENT.	CLEMENT.
Vous m’avés donc trahi engence de vipére, e vous ferai ſentir l’effet de ma colére, Vous avés fait couler par un eſprit inaim, Dans le cœur de ma Fille un dangereux venin, Vous l’avés donc portée à vomir ce blaſphême:	Vous m'avez donc trahi engence de vipère, e vous ferai sentir l'effet de ma colère, Vous avez fait couler par un esprit inaim, Dans le cœur de ma Fille un dangereux venin, Vous l'avez donc portée à vomir ce blasphomme:
Quand vous avés oſé lui donner ce Baptême, Avortons des Enfers déloïaux ſerviteurs:	Quand vous avez osé lui donner ce Baptême, Avortons des Enfers déloïaux serviteurs:
Vous êtes de mon mal les perfides auteurs, Je ferai de vos corps de ſanglantes victimes, Aprochés criminels:	Vous êtes de mon mal les perfides auteurs, Je ferai de vos corps de sanglantes victimes, Aprochés criminels:
car de ma propre main, je vous enfoncerai ce poighard dans le ſein	car de ma propre main, je vous enfoncerai ce poighard dans le sein
FELIX.	FELIX.
Sire ne faites pas de tranſport témeraire, Il vaut mieux modérer ces élans de colére.	Sire ne faites pas de transport témeraire, Il vaut mieux modérer ces élans de colère.
SCENE V.	SCÈNE V.
CLEMENT, REINE, GARDES.	CLEMENT, REINE, GARDES.
CLEMENT.	CLEMENT.
TEs Enfans de la mort avortons des Enfers, OQu’ils ſoient mis en priſon, qu’ils ſoient charSes de fers , Et toi cruel enfant, il faut que tu périſſe, Sans tarder plus long-temps, ou que tu m’obeïſſe.	TEs Enfants de la mort avortons des Enfers, OÙils soient mis en prison, qu'ils soient charnées de fers , Et toi cruel enfant, il faut que tu périsse, Sans tarder plus longtemps, ou que tu m'obéisse.
REINE.	REINE.
O Seigneur Jeſus-Chriſt l’objet de mes amours, Je vous prie aidés-moi venés à mon ſecours.	Ô Seigneur Jésus-Christ l'objet de mes amours, Je vous prie aidez-moi venez à mon secours.
CLEMENT.	CLEMENT.
J’ai l’eſprit trop gêné, j’ai trop verſé de larmes, Je ſuis contraint d’uſer des effets de mes armes, je ſuis déterminé de te percer le flanc, Tu dégenere trop des vertus de mon ſang, Ifliete, qu’aujourd’hui je t’arrache la vie, Tu le mérite bien, car tu me l’as ravie,	J'ai l'esprit trop gêné, j'ai trop versé de larmes, Je suis contraint d'user des effets de mes armes, je suis déterminé de te percer le flanc, Tu dégénère trop des vertus de mon sang, Ifliète, qu'aujourd'hui je t'arrache la vie, Tu le mérite bien, car tu me l'as ravie,
REINE, en fuiant.	REINE, en fuyant.
Esus qui ſurmontés les Rois & les puiſſans, Soïés le deffenſeur des Chrêtiens innocens.	Esus qui surmontés les Rois et les puissants, Soïés le défenseur des Chrétiens innocents.
SCENE VI.	SCÈNE VI.
CLEMENT, PERSE, FELIX.	CLEMENT, PERSE, FELIX.
CLEMENT.	CLEMENT.
L’Homme infortuné:	L'Homme infortuné:
ô le mal-heureux Pere!	ô le malheureux Père!
QIl me faut donc mourir?	QIl me faut donc mourir?
ha!	ha!
je me deſeſpere, Mon mal eſt ſans pareil je ne fais que ſoûfrir, Il vaut mieux aujourd’hui pour une fois périr, Infidelle c’eſt toi qui m’arrache la vie, Je le merite bien de t’avoir mal nourrie, Je ſuis malade, helas!	je me désespère, Mon mal est sans pareil je ne fais que souffrir, Il vaut mieux aujourd'hui pour une fois périr, Infidèle c'est toi qui m'arrache la vie, Je le mérite bien de t'avoir mal nourrie, Je suis malade, hélas!
juſqu’à l’extrémite.	jusqu'à l'extrémite.
PERSE.	PERSE.
Vous avés grand beſoin Seigneur d’être aſſiſté, Repoſés vous un peu reprenés vôtre haleine, La cauſe de ce mal eſt vôtre Fille Reine.	Vous avez grand besoin Seigneur d'être assisté, Reposez -vous un peu reprenez votre haleine, La cause de ce mal est votre Fille Reine.
φσφπτ φτυτ ττ  M	φσφπτ Seigneur ττ M
ACTE TTE	ACTE TTE
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SELZEDOTH, ASMODLE, MEGERE,	SELZEDOTH, ASMODLE, MÉGÈRE,
BELZEBUTH.	BÉLZEBUTH.
Mort aprochés vous!	Mort après vous!
ô mort, ô mort, ô mort, OLe mal-heureux deſſein de mon funeſte ſort.	ô mort, ô mort, ô mort, OLe malheureux dessein de mon funeste sort.
MEGERE.	MÉGÈRE.
O fureur, ô fureur, ô fureur infinie, 10 ſe brûle & je gémis, je ſuis dans la mante.	Ô fureur, ô fureur, ô fureur infinie, 10 se brûle et je gémis, je suis dans la mante.
à	à
ASMODE’E.	ASMODÉTÉ.
Au feu Démons au feu, je dis encor au feu.	Au feu Démons au feu, je dis encor au feu.
le conſumne enragéant, & bruſant dans ce neu.	le consumne enragéant, et brusant dans ce neu.
BELZEBUTH.	BÉLZEBUTH.
Aumeurtre, au meurtre, au meurtre, au ſuplice, au carnage, Je n’aſpire qu’au ſang, aux tourmens, à la rage, Cveux que jerts-eint m'auore mecnamiment, e ſuis égal à Dieu je le dis hautement.	Aumeurtre, au meurtre, au meurtre, au supplice, au carnage, Je n'aspire qu'au sang, aux tourments, à la rage, Cveux que jerts-eint m'auore mecnamiment, je suis égal à Dieu je le dis hautement.
ASMODE’E.	ASMODÉTÉ.
Il ne me reſte plus qu’une fille en la terre, Qui m’oſe reſiſter, & qui me fait la guerre, Voici les inſtrumens pour la faire périr, Comme ſon Jeſus-Chriſt lequel j’ai fait mourir, Contr’elle jarmerai tout le Ciel & la terre, je la veux ecraſer par un coup de tonnerre.	Il ne me reste plus qu'une fille en la terre, Qui m'ose résister, et qui me fait la guerre, Voici les instruments pour la faire périr, Comme son Jésus-Christ lequel j'ai fait mourir, Contr'elle jarmerai tout le Ciel et la terre, je la veux écraser par un coup de tonnerre.
RmMNPMMRNMNMNNMNVYIAMAMMMMNMNOU M CEDIMCnMMCDI AMan	RmMNPMMRNMNMNNMNVYIAMAMMMMNMNOU M CEDIMCnMMCDI CE
E CEREa*I.	E CEREa*I.
THEOPISTE, KILIE, GARDES, SOLDATS, OLIBRE, CLEMENT, LVCILLE, CARAVSE.	THÉPISTE, KILIE, GARDES, SOLDATS, OLIBRE, CLEMENT, LUCILLE, CARAUSE.
THEOPISTE.	THÉPISTE.
L'eſt juſte aujourd’hui d’aprocher des Autels, IEt de Sacrifier à nos Dieux immortels, Nous ſommes obligés d’honorer par juſtice, Le Monarque des Cieux qui nous eſt ſi propice, Lui que nous avons vû tant de fois rendre vain.	L'est juste aujourd'hui d'approcher des Autels, IEt de Sacrifier à nos Dieux immortels, Nous sommes obligez d'honorer par justice, Lé Parque des Cieux qui nous est si propice, Lui que nous avons vu tant de fois rendre vain.
L’effort des ennemis de l’Empire Romain, Implor ons les ſecours qui nous ſont néceſſaires, Pour plut heureuſement dompter nos adverſaires?	L'effort des ennemis de l'Empire Romain, Implor ons les secours qui nous sont nécessaires, Pour plut heureusement dompter nos adversaires?
Conſultons le deſſein ſur les évenemens, Des dencinsencreprisconcre les Mnemiano.	Consultons le dessein sur les événements, Des dencinsencreprisconcre les Mémiano.
OLIBRE.	OLIBRE.
J’ai reçû tant de bien & reconnu la grace, Du grand Dieu Jupiter, je punirai l’audace, De ceux qui par blaſpême & par témerité, Refuſent le reſpect à ſa Divinité, L Quiconque à d’autre Dieu preſente Sacrifice, Je lui ferai ſoûfrir un rigoureux ſuplice, je deſcends de mon i’rone, & fechis les genoux, Adorant Jupiter humblement avec vous.	J'ai reçu tant de bien et reconnu la grâce, Du grand Dieu Jupiter, je punirai l'audace, De ceux qui par blaspême et par témerité, Refusent le respect à sa Divinité, L Quiconque à d'autre Dieu présente Sacrifice, Je lui ferai souffrir un rigoureux supplice, je descends de mon j'one, et féchis les genoux, Adorant Jupiter humblement avec vous.
THEOPISTE.	THÉPISTE.
O grand Dieu Jupiter, recevés cette Hoſtie, Qu’à vôtre Majeſté le peuple ſacrifie, Je vous offre ce foïe, & ce cœur languiſſant, Pour gage aſſuré d’un amour innocent, Ce cœur, ces inteſtins, cette chair, ces entrailles, Ne ſont dûës qu’à vous ſeul ce grand Dieu des batailles:	Ô grand Dieu Jupiter, recevez cette Hostie, Qu'à votre Majesté le peuple sacrifie, Je vous offre ce foïe, et ce cœur languissant, Pour gage assuré d'un amour innocent, Ces cœur, ces intestins, cette chair, ces entrailles, Ne sont dûës qu'à vous seul ce grand Dieu des batailles:
Recherchons maintenant quel ſera le ſuccés, Des efforts ennemis dont nous craignons l’accés, Ce poulmon palpitant, ce cœur émû preſage, Des peuples ennemis un tres-ſanglant carnage.	Recherchons maintenant quel sera le succès, Des efforts ennemis dont nous craignons l'accès, Ce poulémon palpitant, ce cœur ému présage, Des peuples ennemis un très-sanglant carnage.
KILIE.	KILIE.
Sortés de vos Tombeaux, ſortés de vos manoirs Sortés Ombres ſortés, paroiſſés eſprits noirs, Vous qui vivés là-bas dans les champs Elizée, Venés, venés ici déclarer vos penſées, Cét angle, ce carreau, cedroit, ce rond parfait, Seront des ſignes feints propres pour cét effet, Vous qui ſçavés le ſort & les choſes futuręs, Dités nous hardiment toutes nos avantures, Ce Milan, ce Vaultour, ce Merle, ce Corbeau, Menace les Chrétiens d’un funeſte Tombeau, Le vol de cét Hibou, cét Aiglon, ce Choüette, Ne preſage aux mutins qu’une entière défaite.	Sortez de vos Tombeaux, sortés de vos manoirs Sortés Ombres sortés, paraissez esprits noirs, Vous qui vivez là-bas dans les champs Elizée, Venés, venez ici déclarer vos pensées, Cet angle, ce carreau, cedrait, ce rond parfait, Seront des signes feints propres pour cet effet, Vous qui savez le sort et les choses futurs, Dités nous hardiment toutes nos aventures, Ce Milan, ce Vaultour, ce Merle, ce Corbeau, Menace les Chrétiens d'un este Tombeau, Le vol de cet Hibou, cét Aiglon, ce Choüette, Lé presage aux mutins une entière défaite.
OLIBRE.	OLIBRE.
Nous avons la faveur du grand Dieu Jupiter, Il nous aime beaucoup nous n’en pouvons douter, Qu’on me faſſe ſçavoir ſi le Saxon aproche.	Nous avons la faveur du grand Dieu Jupiter, Il nous aime beaucoup nous n'en pouvons douter, Qu'on me fasse avoir si le Saxon approche.
IOIIO 21 21 FELIX.	JOIIO 21 21 FELIX.
Sa témeraire main deja ſes traits décoche, Olibre, les voici.	Sa témeraire main déjà ses traits décoche, Olibre, les voici.
OLIBRE.	OLIBRE.
C’eſt donc ce que j’entends, qus senereun dueniers ne perdes poit de temps, Ils ſont aſſés hardis pour donner ces allarmes, Ils s’en repentiront, cependant vîte au armes.	C'est donc ce que j'entends, qus sénéreux dueniers ne perdes poit de temps, Ils sont assez hardis pour donner ces alarmes, Ils s'en repentiront, cependant vite au armes.
LUCILLE.	LUCILLE.
La fortune mérite toûjours dans les combats, Nous allons bien-tôt voir nos ennemis à bas, Il faut ſe comporter ſi bien dans cette Guerre, Que tous nos ennemis baillent du nés en terre.	La fortune mérite toujours dans les combats, Nous allons bientôt voir nos ennemis à bas, Il faut se comporter si bien dans cette Guerre, Que tous nos ennemis baillent du nés en terre.
CARAUSE.	CARAUSE.
Ce n’eſt pas tant l’ardeur que la dexterité, Qui dans tous les combats fait la proſperité, Il ſaut uſer ici d’une grande ſoupleſſe, Et vaincre aſſurément par ruſe & par adreſſe, Aprés les premiers coups quand ils ſeront éparts, Ils ſeront enfermés par nous de toutes parts;	Ce n'est pas tant l'ardeur que la dextérité, Qui dans tous les combats fait la prospérité, Il saut user ici d'une grande souplesse, Et vaincre assurément par ruse et par adresse, Après les premiers coups quand ils seront éparts, Ils seront enfermés par nous de toutes parts;
en veux être le Chef j’en prendrai la conduite, Nous en verrons bien-tôt les effets & la ſuite.	en veux être le Chef j'en prendrai la conduite, Nous en verrons bientôt les effets et la suite.
SCENE III.	SCÈNE III.
SVNON, HILDEGASTE, ERENNIE, SOLDATS, ARME’ES.	SUNON, HILDÉGASTE, ERENIE, SOLDATS, ARME'ES.
SUNON, E parle à vous hardis & génereux Lions, Qui ſçavés renverſer les plus forts bataillons, Qui comme des Démons dans le choc des batailles, Arrachès aux mutins le cœur & les entrailles, Invincibles Soldats, illuſtres Allemans, Qui par tout l’Univers dreſſés, des monumens, Aprés avoir toûjours r’emporté la victoire, Voudriés vous aujourd’hui voir ternir vôtre gloire Faut-il que le Saxon & le Noble Germain, Deviennent les ſujets de l’Empire Romain?	SUNON, E parle à vous hardis et généreux Lions, Qui Savez renverser les plus forts bataillons, Qui comme des Démons dans le choc des batailles, Arrachés aux mutins le cœur et les entrailles, Invincibles Soldats, illustres Allemands, Qui par tout l'Univers dressés, des monuments, Après avoir toujours rapporté la victoire, Voudriez -vous aujourd'hui voir ternir votre gloire Faut-il que le Saxon et le Noble Germain, Deviennent les sujets de l'Empire Romains?
Qu’on jette dans les fers un peuple toûjours libre, Que nous ſoïons nommés les eſclaves d’Olibre:	Qu'on jette dans les fers un peuple toujours libre, Que nous soïons nommés les esclaves d'Olibre:
Vous qui dans les combats pire que des démons, ai vû ſouvent braver des eſprits rodomonts, Apellés ce tranſport & fureur marciale, Capable d’enlever leur Aigle Imperiale, Les débrits de l’Armée, & leurs triſtes lambeaux, Feront les ornemens de vos Arcs triomphaux, J’entrerai le premier, & la tête baiſſée, Nous allons bien-tôt voir leur force renverſée:	Vous qui dans les combats pire que des démons, ai vu souvent braver des esprits rodomonts, Apellés ce transport et fureur marciale, Capable d'enlever leur Aigle Impériale, Les débrits de l'Armée, et leurs tristes lambeaux, Feront les ornements de vos Arcs triomphaux, J'entrerai le premier, et la tête baissée, Nous allons bientôt voir leur force renversée:
Déja dans leur eſprit j’ai jetté la terreur, Et les ai fait trembler au bruit de ma fureur, Ils ſe ſont retirés aux premiéres allarmes, Nous leur avons fait peur par l’éclat de nos armes;	Déjà dans leur esprit j'ai jeté la terreur, Et les ai fait trembler au bruit de ma fureur, Ils se sont retirés aux premières alarmes, Nous leur avons fait peur par l'éclat de nos armes;
Je vai les attaquer juſques dedans leurs forts, INAGEDIE Et leur faire éprouver nos genereur efforts.	Je vais les attaquer jusques dedans leurs forts, INAGEDIE Et leur faire éprouver nos généreur efforts.
HI LDEGASTE.	HI LDEGASTE.
Agiſſons prudemment uſons d’un ſtratagéme, je crailis que contre notts ils n’en uſent de même.	Agissons prudemment usons d'un stratagème, je crailis que contre notts ils n'en usent de même.
ERENNIE.	ERENNIE.
Je ne puis plus tarder, allons enfans de Mars, Ataquer ces poltrons juſques dans leurs ramparts.	Je ne puis plus tarder, allons enfants de Mars, Ataquer ces poltrons jusques dans leurs remparts.
Sortés lâches ſortés, ſortés de la tanniére, Je vous deffie ici de paroître en lumiére, Voulés-vous par l’ennui d’une triſte langueur, Des Soldats animés refroidir la vigueur.	Sortez lâches sortés, sortés de la tannièvre, Je vous défie ici de paraître en lumièvre, Voulez-vous par l'ennui d'une triste langueur, Des Soldats animez refroidir la vigueur.
&χιφυγ νωγ κελιεδυκςυγ Μην θωυγ γυγιαπβγεαιAN MDLEEECEVE MARAMRMAA	etχιφυγ „ κελιεδυκςυγ § θωυγ AN MDLEECEUE MARAMRMAAAA
UNON.	UNON.
SCENE IV.	SCÈNE IV.
OLIBRE, SUNON, SABIN, ERENNIE.	OLIBRE, SUNON, SABIN, ERENIE.
OLIBRE.	OLIBRE.
Moi, Soldats à moi, tuë, tuë, maſſacre, égorge, LLHa Sunon je te tiens la poignard à la gorge, Soldatsc’eſt à ce coupque nous ſommes vainqueurs On connoîtra par tout la grandeur de nos cœurs, Jouïſſons aujourd’hui des fruits de la victoire, Rcencune nos eipiits d’uſe ngrande Gioire.	Moi, Soldats à moi, tue, tue, massacre, égorge, LLHa Sunon je te tiens la poignard à la gorge, Soldatsc'est à ce coupque nous sommes vainqueurs On connaîtra par tout la grandeur de nos cœurs, Jouissons aujourd'hui des fruits de la victoire, Rcencune nos eipiits d'use négrande Gioire.
SABIN.	SABIN.
Maintenant Radamante, vous vous verrés traités, Selon le grand pouvoir de vos témerités.	Maintenant Radamante, vous vous errez traités, Selon le grand pouvoir de vos témerités.
ERENNIE.	ERENNIE.
O mal-heureux deſtin!	Ô malheureux destin!
ta rage eſt aſſouvie, Pourquoi dans ce combat n’ai-je perdu la vie, aime mieux m’étouffer par un coup violent, Que ſoûfrir les affronts d’un vainqueur inſolent.	ta rage est assouvie, Pourquoi dans ce combat n'ai-je perdu la vie, aime mieux m'étouffer par un coup violent, Que souffrir les affronts d'un vainqueur insolent.
MICRAEV.	MICRAEU.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SAINT REVERIAN, SAINTE REINE, BLONDE.	SAINT REUERIAN, SAINTE REINE, BLONDE.
THEOPHILE.	THÉOPHILE.
SAINT REVERIAN.	SAINT REUERIAN.
Nge dont la vertu fait naître dans la Gaule, AADu culte du vrai Dieu la floriſſante écolle, Chaſſe l’aveuglement, & diſſipe l’erreur, Allume le déſir du vrai bien dans le cœur, Miniſtre du Tres-haut, Ambaſſadeur céleſte, Inſtrument du ſalut, le ſecours manifeſte, Du peuple élû de Dieu & des prédeſtinés, Qui ſeront dans le Ciel pour jamais couronnés, Aſſiſte fortement les conforte en la gloire, Et de leurs ennemis impetrer la victoire, Nous avons a combatre le monde & l’Enfer, Il nous faut ſurmonter tant le feu que le fer, Contre Jeſus-Chriſt ſeul le monde ſe revolte, je veux dans ces déſerts faire une ample récolte, Arborer dans ces lieux l’étendard de la Croix, Y prêcher Jeſus-Chriſt, & publier ſa Loi, En chaſſer les Démons avec l’Idolâtrie, Annoncer le vrai Dieu à ma chere patrie, Le Ciel m’a député l’Apôtre de ce lieu,  jummilcrurmon lung pour le gione de Diou.	Nge dont la vertu fait naître dans la Gaule, AADu culte du vrai Dieu la florissante écolle, Chasse l'aveuglement, et dissipe l'erreur, Allume le désir du vrai bien dans le cœur, Ministre du Très-haut, Ambassadeur céleste, Instrument du salut, le secours manifeste, Du peuple élu de Dieu et des prédestinez, Qui seront dans le Ciel pour jamais couronnés, Assiste fortement les conforteen la gloire, Et de les ennemis impétrer la victoire, Nous avons a combatre le monde et Enfer, Il nous faut surmonter ment le feu que le fer, Con Jesus-Christ seul le fo se revolte, la veux dansces déserts faire une ample récolte, Arborer dans ces lieux a de laCroix, Y re Jesus-Christ, et ou sa Loi, En chasser les Démons a çIdolâtrie, Annoncer le mo Dieu et l' Enfer patrie, Le Il a nous fApôtre de ce su, jummilcrurmon lung ter le tant de Diou'
REINE.	REINE.
L’Adorable Soleil clair raïon de ſa Grace, M’échauffe dans le cœur, & m’éclaire en la face Nous goûtons maintenant les prémices des fruits, Que cét Aſtre divin par ſa grace a produits.	L'Adorable Soleil clair raïon de sa Grâce, M'échauffe dans le cœur, et m'éclaire en la face Nous goûtons maintenant les prémices des fruits, Que cet Astre divin par sa grâce a produits.
SAINT REVERIAN.	SAINT REUERIAN.
v Ous aveumeprirema vencrabie nceme y Les délices du corps, & la gloire mondaine.	 Ô vumeprirema vencrabie nième y Les délices du corps, et la gloire mondaine.
REINE.	REINE.
O que j’ai de bon-heur de goûter tendrement, Qu’il n’eſt que Jeſus ſeul qui ſoit fidel Amant, Il me fait éprouver par dix mille carreſſes, Combien pour ſes amis ſon cœur a de tendreſſe, Quand je ſoûfre pour lui la perſecution, Il me rend le centruple en conſolation.	Ô que j'ai de bonheur de goûter tendrement, Qu'il n'est que Jésus seul qui soit fidel Amant, Il me fait éprouver par dix mille carresses, Combien pour ses amis son cœur a de tendresse, Quand je souffre pour lui la persécution, Il me rend le centruple en consolation.
SAINT REVERIAN.	SAINT REUERIAN.
Comme un riche fleuron vous ornés ſa Couronne, L’objet de ſes amours à qui ſeul il la donne, Heureuſe mille fois d’avoir un tel Epoux, Qui tranſporté d’amour ſe communique à vous, o llà done Mmpiime fui vous lon caraceere, Il doit vous poſſéder en qualité de Pere, Conſacrés vous à lui, & qu’un vœu ſolemnel, Vous uniſſe avec lui d’un amour éternel.	Comme un riche fleuron vous ornez sa Couronne, L'objet de ses amours à qui seul il la donne, Heureuse mille fois d'avoir un tel Époux, Qui transporté d'amour se communique à vous, ô llà done Mmpiime fui vous lon caraceere, Il doit vous posséder en qualité de Père, Consacrez vous à lui, et qu'un vœu solennel, Vous unisse avec lui d'un amour éternel.
REINE.	REINE.
Dieu qui brûlés mon cœur d’une ſi douce flâme, Je conſacre à vous ſeul ilon corps avee mon ame;	Dieu qui brûlés mon cœur d'une si douce flamme, Je consacre à vous seul il corps avée mon âme;
Je veux vivre & mourir dans la virginité, Soïës le protecteur de mon integrité, Je ſuis à la merci de vôtre Providence, jonnés-moi la vertu de la perſevérance.	Je veux vivre et mourir dans la virginité, Soïës le protecteur de mon integrité, Je suis à la merci de votre Providence, jonnez-moi la vertu de la persévérance.
SAINT REVERIAN.	SAINT REUERIAN.
Vierge ne doutés pas de ſa fidélité, ſera protecteur de vôtre pureté, ecevés par mes mains le ſecours de la grace, Qui vous donne le cœur & la force efficace, pour vaincre hardiment contre tous les efforts, Qui voudront prophaner vôtre ame & vôtre corps;	Vierge ne doutez pas de sa fidélité, sera protecteur de votre pureté, écevez par mes mains le secours de la grâce, Qui vous donne le cœur et la force efficace, pour vaincre hardiment contre tous les efforts, Qui voudront prophaner votre âme et votre corps;
joïés ferme en la foi remportés la victoire, Dieu vous a deſtinés à cette grande gloire, e vous fais ce préſent qui ne convient qu’à vous, C’eſt ce cœur embraſé de Jeſus vôtre époux, Quand vous le baiſerés vous ſerés enflâmée, et tout autant de fois vous ſerés animée.	jouez ferme en la foi remportés la victoire, Dieu vous a destinez à cette grande gloire, vous fais ce présent qui ne convient qu'à vous, C'est ce cœur embrasé de Jésus votre époux, Quand vous le baiserez vous serez enflammée, et tout autant de fois vous serez animée.
THEOPHILE.	THÉOPHILE.
Benit ſoit Jeſus-Chriſt qui dans l’affliction, Réjoüit nos eſprits de conſolation, Il nous a conſolée par l’heureuſe viſite, De vôtre Sainteté laquelle nous excite, Comme un digne Prélat à l’amour du vrai bien, ſtuenenure en tout lieu l’hõneur du nom Chrétien	Bénit soit Jésus-Christ qui dans l'affliction, Réjoüit nos esprits de consolation, Il nous a consolée par l'heureuse visite, De votre Sainteté laquelle nous excite, Comme un dès Prélat à l'amour du vrai bien, stuenure en tout lieu l'honneur du nom Chrétien
BLONDE.	BLONDE.
Je déſire par tout ſuivre ma fille Reine, e l’acompagnerai dans la mort dans la peine.	Je désire par tout suivre ma fille Reine, e 'acompagnerai dans la mort dans la peine.
SAINT REVERIAN.	SAINT REUERIAN.
O Blonde, ô Theophile, Apôtres de la Foi, ods cces des Dcioi la cenicunuonaim al, Vous planterés la foi par vôtre patience, Vôtre ſang épandu en ſera la ſemence;	Ô Blonde, ô Théophile, Apôtres de la Foi, ods cees des Dciai la cénicunuonaim al, Vous planterés la foi par votre patience, Votre sang épandu en sera la semence;
Dieu vous ſera préſent vous aurés ſon ſecours, Avec tous les efforts de ſes tendres amours:	Dieu vous sera présent vous aurez son secours, Avec tous les efforts de ses tendres amours:
28 Je vous confirmerai par l’huile du Saint Crême Qui vous animera comme un ſecond Baptême, Pour confeſſer la Foi, deffendans hardiment, Nôtre Religion ſans crainte du tourment:	28 Je vous confirmerai par l'huile du Saint Crême Qui vous animera comme un second Baptême, Pour confesser la Foi, défendant hardiment, Notre Religion sans crainte du tourment:
Recevés de Jeſus cette adorable Image, Qui de ſon grand amour vous ſervira de gage, Il ſera la terreur du dragon infernal, Et rompra les efforts de l’ennemi fatal, ’aloux de ton bon-heur, helas:	Recevez de Jésus cette adorable Image, Qui de son grand amour vous servira de gage, Il sera la terreur du dragon infernal, Et rompra les efforts de l'ennemi fatal, aloux de ton bon-heur, hélas:
fille Reine, ſe baiſe tes liens, & j’adore ta chaîne, Je les priſe bien fort & j’en fais plûtôt choix, Que des beaux ornemens & des Sceptres des Rois ’eſpere dans le Ciel te devoir bien-tôt ſuivre, T’aïant vû triompher je ne voudrois plus vivre, Adieu prédeſtinés, adieu mes chers amis;	fille Reine, se baise tes liens, et j'adore ta chaîne, Je les prise bien tôt et j'en fais plutôt choix, Que des beaux ornements et des Sceptres des Rois espere dans le Ciel te devoir bien-tôt suivre, aïant triompher je ne voudrois plus vivre, Adieu prédestinés, adieu mes chers amis;
Priés pour moi pecheurs, aimés vos ennemis, Vous avés le ſujet d’une gloire infinie, La rage des Tirans enfin ſera punie.	Priez pour moi pécheurs, aimez vos ennemis, Vous avez le sujet d'une gloire infinie, La rage des Tyrans enfin sera punie.
y aΝηνΝΝY NVεΝ N&UVNUY .	y aΝηνΝΝY NOtre NetUVNUY .
