GALATEE.	GALATE.
Je vous laiſſe, je part, je cours à mon ſuplice, Ce n’eſt que pour la mort que je forme des vœux, Agréez ſeulement ce dernier ſacrifice D’un cœur toujours fidelle, & toujours malheureux.	Je vous laisse, je part, je cours à mon suplice, Ce n'est que pour la mort que je forme des vœux, Agréez seulement ce dernier sacrifice D'un cœur toujours fidèle, et toujours malheureux.
i.	y.
G’ALATE’E.	G'ALATÉE.
Il’me quitte;	Il'me quitte;
arrêtez, Acis, je vous l’ordonne, Ie ne puis ſoútenir le trouble où je vous voi, Contre un ſi tendre amour ma fierté m’abandonne, Et ma foible raiſon ne répond plus de moi.	arrêtez, Acis, je vous l'ordonne, Je ne puis soutenir le trouble où je vous vois, Contre un si tendre amour ma fierté m'abandonne, Et ma faible raison ne répond plus de moi.
ACIS.	ACIS.
Qu'entens- je?	Qu'entends- je?
vôtre cœur dans mon ſort s’intereſſe?	votre cœur dans mon sort s'intéresse?
GALATE’E.	GALATÉE.
Vous n’avez-point perdu vos ſoins, Je vous ai fait voir ma foibleſſe, Vos yeux en ont été de fidelles témoins.	Vous n'avez-point perdu vos soins, Je vous ai fait voir ma faiblesse, Vos yeux en ont été de fidèles témoins.
Joüiſſez de mon trouble &, de vôtre victoire, Il ne veut point vous en ravir la gloire;	Jouissez de mon trouble et, de votre victoire, Il ne veut point vous en ravir la gloire;
Connoiſſez le bonheur qui vous eſt preparé, Je l’ai rendu plus doux quaud je ’ai diferé.	Connaissez le bonheur qui vous est préparé, Je l'ai rendu plus doux quaud je aai diferé.
ACIS.	ACIS.
Idreſſe,	Idresse,
Mais puiſque vous vouliez couronner ma tenFaleit:	Mais puisque vous vouliez couronner ma tenFalit:
il du Cielope aprouver les deſirs?	il du Cielope approuver les désirs?
GALATE’E.	GALATÉE.
Je craignois pour vos jours ſa fureur vangereſſe;	Je craignais pour vos jours sa fureur vengeresse;
Ie voulois à ſes yeux dérober nos ſoûpirs Par une agreable promeſſe.	Je voulais à ses yeux dérober nos soupirs Par une agréable promesse.
ACIS.	ACIS.
Immortels habitans des Cieux!	Immortels habitants des Cieux!
Dans les tranſports de mon ame ravie, Ie-puis regarder ſans envie Vôtre ſort glorieux:	Dans les transports de mon âme ravie, Je-puis regarder sans envie Votre sort glorieux:
Aimer, d’un doux ſuccez voir ſa flame ſuivie, N’eſt-ce pas un plaiſir reſervé pour les Dieux?	Aimer, d'un doux succès voir sa flamme suivie, N'est-ce pas un plaisir réservé pour les Dieux?
SCENE II.	SCÈNE II.
ACIS, GALATE’E, TELEME, SCYLLA.	ACIS, GALATE, TELEME, SCILLA.
GALATE'E.	GALATÉE.
E'mon fidele Amant j’ai rempli l’eſperance, A2 Mon cœur répond à ſes deſirs;	Emon fidèle Amant j'ai rempli l'espérance, A2 Mon cœur répond à ses désirs;
De ce rendre Berger couronnez la conſtance, Ne lui refuſez plus le prix de ſes ſoûpirs.	De ce rendre Berger couronnés la constance, Ne lui refusez plus le prix de ses soupirs.
ACIS.	ACIS.
Suivez l’exemple qu’on vous donne, Une Déeſſe à l’amour s’abandonne, Son cœur ne peut plus reſiſter, Que peut mieux faire Une Bergere Que de l’imiter?	Suivez l'exemple qu'on vous donne, Une Déesse à l'amour s'abandonne, Son cœur ne peut plus résister, Que peut mieux faire Une Bergère Que de l'imiter?
TELEME.	TELEME.
Vous défendez-vous encore Contre un Amant qui vous adore, Et dans un jour au bonheur deſtiné, Serai-je ſeul infortuné?	Vous défendez-vous encore Contre un Amant qui vous adore, Et dans un jour au bonheur destiné, Serai-je seul infortuné?
SCYLLA.	SCILLA.
En vain vous pretendez inſpirer à mon ame	En vain vous prétendez inspirer à mon âme
Le deſir de s’enflamer;	Le désir de s'enflammer;
L'exemple & les conſeils nous forcent-ils d’aiHier.	L'exemple et les conseils nous forcent-ils d'aiHier.
Par ſou propre penchant il faut qu’un cœur s’enflame.	Par sou propre penchant il faut qu'un cœur s'enflamme.
Vous l'avez entendu cent fois, Ie fuis l’amour, je mépriſe ſes loix, Quittez une entrepriſe vaine;	Vous l'avez entendu cent fois, Je fuis l'amour, je méprise ses lois, Quittez une entreprise vaine;
Vos ſoûpirs importuns me pourroient engager A redoubler vôtre peine Plutôt qu’à la ſoulager.	Vos soupirs importuns me pourraient engager A redoubler votre peine Plutôt qu'à la soulager.
TELEME.	TELEME.
C’en eſt trop!	C'en est trop!
vos mépris étoufent ma tendreſſe, Je ſens le calme heureux de ma premiere paix, Et je dois rougir deſormais D’avoir montré tant de foibleſſe.	vos mépris étoufent ma tendresse, Je sens le calme heureux de ma première paix, Et je dois rougir désormais D'avoir montré tant de faiblesse.
Cependant redoutez la vangeance des Dieux, Ils me font preſentir le ſort qui vous menace, Ils éteindront ce feu qui brille dans vos yeux, Ils rendront vos atraits ſans douceur & ſans grace.	Cependant redoutez la vengeance des Dieux, Ils me font présentir le sort qui vous menace, Ils éteindront ce feu qui brille dans vos yeux, Ils rendront vos atraits sans douceur et sans grâce.
Que dis-je?	Que dis-je?
ils changeront ces riches dons des Cieux En des marques de leur colere, Et vous ſerez un jour par ce retour ſevere L’objet le plus funeſte & le plus odieux.	ils changeront ces riches dons des Cieux En des marques de leur colère, Et vous serez un jour par ce retour sévère L'objet le plus funeste et le plus odieux.
SCENE III.	SCÈNE III.
ACIS, GALATE’E, SCYLLA.	ACIS, GALATE, SCILLA.
ACIS.	ACIS.
Uelque fureur qu’il inſpire Il ne ſauroit m’allarmer, Ie crains moins les malheurs qu’il vient de me predire, Que le peril d’aimer.	Velque fureur qu'il inspire Il ne saurait m'alarmer, Je crains moins les malheurs qu'il vient de me prédire, Que le péril d'aimer.
GALATE’E.	GALATÉE.
Je ne puis aprouver cette fierté rebelle Qui flate vôtre vanité;	Je ne puis approuver cette fierté rebelle Qui flatte votre vanité;
Une extrême cruauté Pour un Amant fidelle Eſt toûjours criminelle.	Une extrême cruauté Pour un Amant fidèle Est toujours criminelle.
SCYLLA.	SCILLA.
Vous aimez tendrement, je deteſte l’amour, Et déja ma fierté commence à vous déplaire, Je me bannis de vôtre Cour, Pour éviter vôtre coleré.	Vous aimez tendrement, je déteste l'amour, Et déjà ma fierté commence à vous déplaire, Je me bannis de votre Cour, Pour éviter votre coléré.
2 CENE IV.	2 CÈNE IV.
ACIS, GALATE’E.	ACIS, GALATE'E.
Uelle erreur loin de nous precipite ſes pas!	Uelle erreur loin de nous précipite ses pas!
Dieux!	Dieux!
qu’un vain orgueil l’abuſe!	qu'un vain orgueil l'abuse!
L’inſenſible nè connoit pas Les plaiſirs qu’elle refuſe.	L'insensible né connaît pas Les plaisirs qu'elle refuse.
ACIS.	ACIS.
N’aſſûrerez-vous poinit ma gloire & mon bõheur?	N'assûrerez-vous poinit ma gloire et mon bonheur?
Aprés le don de vôtre cœur Aurai-je encor des vœux à faire?	Après le don de votre cœur Aurai-je encor des vœux à faire?
GALAT E’E.	GALÂT E'E.
Je puis donner ma foi par l’aveu de mon pere, Ie l’ai ſur vôtre amour dés long-tems preſenti, A vos deſirs Nerée a conſenti.	Je puis donner ma foi par l'aveu de mon père, Je l'ai sur votre amour dès longtemps présenti, À vos désirs Nerée a consenti.
Le Temple de Junon nous ofre un ſeul azile, Nous y ſe rons en liberté, Il eſt bâti dans l’endroit de cette Iſle Le plus inacceſſible & le moins frequenté;	Le Temple de Junon nous offre un seul asile, Nous y se rons en liberté, Il est bâti dans l'endroit de cette Île Le plus inaccessible et le moins fréquenté;
Allez y preparer l’encens & les victimes Dignes de conſscrer nos ardeurs legitimes, I’aurai ſein de m’y rendte avant la fin du jour, I’y conduirai l’Himenée & l’Amour.	Allez y préparer l'encens et les victimes Dignes de consscrer nos ardeurs légitimes, J'aurai sein de m'y rendte avant la fin du jour, J'y conduirai l'Himenée et l'Amour.
SCENE V	SCÈNE V
GALATE’E ſoule.	GALATÉE soule.
U’une injuſte fierté nous cauſe de cõtrainte, 2 Et tiranniſe nos deſirs, Tandis qu’à mon Amaut j’ai caché mes ſoupirs, J’ai ſoufert mille maux dans cette longue ſeinte, A peine mon amour s’eſt expliqué ſans crainte, Que j’ai ſenti mille plaiſirs;	OÙune injuste fierté nous cause de confrainte, 2 Et tyrannise nos désirs, Tandis qu'à mon Amaut j'ai caché mes soupirs, J'ai souffert mille maux dans cette longue seinte, À peine mon amour s'est expliqué sans crainte, Que j'ai senti mille plaisirs;
Qu’une injuſte fierté nous cauſe de contrainte, Et tiranniſe nos deſirs!	Qu'une injuste fierté nous cause de contrainte, Et tyrannise nos désirs!
Doux tranſports d’une ame contence Que vous êtes charmans, Mais je voi le Ciclope, il prévient mon atente, Contraignons-nous quelques momens.	Doux transports d'une âme contence Que vous êtes charmants, Mais je vois le Ciglope, il prévient mon atente, Contraignons-nous quelques moments.
SCENE VI.	SCÈNE VI.
GALATE’E, POLIPHEME, Suite de Polipheme.	GALATÉ, POLIPHEME, Suite de Polipheme.
POLIPHEME.	POLIPHÉME.
U’à l’envi chacun ſe preſſe ()De me ſuivre en ces lieux, Pour un cœur que l’amour bleſſe Les momens ſent precieux, Preparez à ma Déeſſe Un triomphe glorieux;	Où l'envi chacun se presse ()De me suivre en ces lieux, Pour un cœur que l'amour blesse Les moments sent précieux, Préparés à ma Déesse Un triomphe glorieux;
Hâtez-vous, il faut ſans ceſſe Rendre homage à ſes beaux yeux Qu’à l’envi chacun ſe preſſe De me ſuivre dans ces lieux.	Hâtez-vous, il faut sans cesse Rendre hommage à ses beaux yeux Qu'à l'envi chacun se presse De me suivre dans ces lieux.
LE CHOEUR.	LE CHOEUR.
Qu’à l’envi chacun ſe preſſe De vous ſuivre dans ces lieux?	Qu'à l'envi chacun se presse De vous suivre dans ces lieux?
Pour un cœur que l’amour bleſſe Les momens ſont precieux, Preparons à la Déeſſe Un triomphe glorieux;	Pour un cœur que l'amour blesse Les moments sont précieux, Préparons à la Déesse Un triomphe glorieux;
Hâtons-nous, il faut ſans ceſſe Rendre hommage à ſes beaux yeux.	Hâtons-nous, il faut sans cesse Rendre hommage à ses beaux yeux.
Qu’à l’envi chacun ſe preſſe De vous ſuivre dans ces lieux!	Qu'à l'envi chacun se presse De vous suivre dans ces lieux!
OIIPHEME.	OIIPHEME.
Connoi, puiſſant Amour, ta derniere victoire, Ce triomphe ſufit pour te combler de gloire, Tu ranges ſous tes loix un cœur audacieux, Qui mépriſe la foudre & brave tous les Dieux.	Connais, puissant Amour, ta dernière victoire, Ce triomphe suffit pour te combler de gloire, Tu ranges sous tes lois un cœur audacieux, Qui méprise la foudre et brave tous les Dieux.
LE CHOEUR.	LE CHOEUR.
O vous!	Ô vous!
adorable Immortelle, Ecoutez favorablement Les vœux de vôtre Amant, Vous ne ferez jamais de conquête ſi belle, Plus un cœur eſt loin d’aimer, Plus il eſt beau de l’enflamer.	adorable Immortelle, Ecoutez favorablement Les vœux de votre Amant, Vous ne ferez jamais de conquête si belle, Plus un cœur est loin d'aimer, Plus il est beau de l'enflammer.
POLIPHEME.	POLIPHÉME.
Ie ſuis content de vôtre zele, A mes yeux vos tranſports ont aſſez éclaté;	Je suis content de votre zèle, À mes yeux vos transports ont assez éclaté;
Voions s’ils ont ſceu plaire à ma divinité:	Voyons s'ils ont su plaire à ma divinité:
Qu’on me laiſſe ſeul avec elle.	Qu'on me laisse seul avec elle.
SCENE VII.	SCÈNE VII.
POLIPHEME, CALATE’E.	POLIPHÉME, CALATÉTÉE.
POLIPHEME.	POLIPHÉME.
DHaque moment me tuë, & redouble mes  feux, Je ne puis plus ſoufrir l’ardeur qui me devore, Voulez-vous acabler un cœur qui vous adore?	DHaque moment me tue, et redouble mes feux, Je ne puis plus souffrir l'ardeur qui me dévore, Voulez-vous acabler un cœur qui vous adore?
TALAT E’E.	TALÂT E'E.
Le ſeul Nerée a droit de diſpoſer de moi, Jamais à ſes deſirs mon cœur ne fut contraire, Peut-on ſans ſon aveu me demander ma foi?	Le seul Nerée a droit de disposer de moi, Jamais à ses désirs mon cœur ne fut contraire, Peut-on sans son aveu me demander ma foi?
Allez:	Allez:
& pour l’himen que vôtre amour eſpere, Meritez le choix de mon pere.	et pour l'hymen que votre amour espère, Mérités le choix de mon père.
POLIPHEME.	POLIPHÉME.
Oüi j’obtiendrai l’aveu charmant Qui ſeul peut aſſurer le repos de ma vie, Ma demande ſera ſuivie D’un prompt conſentement.	Oui j'obtiendrai l'aveu charmant Qui seul peut assurer le repos de ma vie, Ma demande sera suivie D'un prompt consentement.
Pour hâter mon bonheur je vais tout entreprendre, Vôtre pere connoit ma force & mon pouvoir, Et ſait trop ce qu’on doit atendre D’un Amant tel que moi reduit au deſeſpoir.	Pour hâter mon bonheur je vais tout entreprendre, Votre père connaît ma force et mon pouvoir, Et sait trop ce qu'on doit atendre D'un Amant tel que moi réduit au désespoir.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
Le Thȩatre change, & repreſente un petit eſpace de terre aride & deſerte;	Le Thȩatre change, et représente un petit espace de terre aride et déserte;
cet eſpace eſt bordé par des Montagnes d’une hauteur prodigieuſe, dont la principale eſt le Mont Ethna.	cet espace est bordé par des Montagnes d'une hauteur prodigieuse, dont la principale est le Mont Ethna.
On voit à côté un petit Temple conſacré à Junon:	On voit à côté un petit Temple consacré à Junon:
La mer paroit dans l’éloignemenes	La mer parait dans l'éloignemenes
SCENE I.	SCÈNE I.
Le Prêtre de Junon, & ſa Suite.	Le Prêtre de Junon, et sa Suite.
LE PRESTRE DE JUNON.	LE PRÊTRE DE JUNON.
JOus qui dans ces lieux ſolitaires Y Celebrez avec moi Junon & ſes miſteres, Miniſtres de ſon Temple, & Favoris des Cieux, Qui faites vos plaiſirs du ſervice des Dieux, Preparez les fleurs les plus belles, Et l’encens le plus precieux, Vous verrez bien-tôt en ces lieux Arriver deux Amans fideles, Ils ſont dignes des ſoins que vous prendrez pour eux, L’Himené & l’Amour veulent qu’ils ſoient heureux.	JOus qui dans ces lieux solitaires Y Clébrez avec moi Junon et ses misères, Ministres de son Temple, et Favoris des Cieux, Qui faites vos plaisirs du service des Dieux, Préparés les fleurs les plus belles, Et l'encens le plus précieux, Vous verrez bientôt en ces lieux Arriver deux Amants fidèles, Ils sont dignes des soins que vous prendrez pour eux, L'Hymené et l'Amour veulent qu'ils soient heureux.
LE	LE
LE CHOEUR.	LE CHOEUR.
Puiſſent.	Puissent.
ils prés de nons trouver un feur azile:	ils près de nons trouver un seur asile:
Daigne le juſté Ciel favorifer leurs vœux!	Daigne le justé Ciel favoriser leurs vœux!
Puiſſent ils voir croître leurs feux Dans un Himen doux & tranquile.	Puissent ils voir croître leurs feux Dans un Hymen doux et tranquille.
LE PRESTRE.	LE PRÊTRE.
Tſirs!	Tsirs!
Qu’ils forment chaque jour mille nouveaux deQue l’amour ſeul ait ſoin de regler leurs plaiſirs?	Qu'ils forment chaque jour mille nouveaux deQue l'amour seul ait soin de régler leurs plaisirs?
LE CHOEUR.	LE CHOEUR.
Puiſſent-ils prés de nous trouver un ſeur azile!	Puissent-ils près de nous trouver un sûr asile!
Daigne le juſte Ciel favoriſer leurs vœux!	Daigne le juste Ciel favoriser leurs vœux!
Puiſſent.	Puissent.
ils voir croître leurs feux Dans un Himen doux & tranquile.	ils voir croître leurs feux Dans un Hymen doux et tranquille.
SCENE II.	SCÈNE II.
ACIS, GALATE’E, LE PRESTRE, ET SA SUITE.	ACIS, GALATE, LE PRÊTRE, ET SA SUITE.
LE PRESTRE.	LE PRÊTRE.
LEs voici ces tendres Amans, Dans leur impatience ils comptent les momens, Avançons vers le Temple, & par un ſacrifice Intereſſons Junon à leur être propice.	LEs voici ces tendres Amants, Dans leur impatience ils comptent les moments, Avançons vers le Temple, et par un sacrifice Intéressons Junon à leur être propice.
SCENE III.	SCÈNE III.
ACIS, GALATE’E, LE PRESTRE, & ſa Suite, POLIPHEME ſur le haut d’un Rocher.	ACIS, GALATE, LE PRÊTRE, et sa Suite, POLIPHÉME sur le haut d'un Rocher.
POMTIPHEME.	POMTIPHÉME.
Ue voi-je?	Que voi-je?
quel objet pour un Amant  jaloux?	quel objet pour un Amant jaloux?
L’ingrate Galatée, & le Berger qu’elle aime, Tu mourras, temeraire, & lupiter lui même Ne ſauroit dérober ta tête à mon courroux.	L'ingrate Galatée, et le Berger qu'elle aime, Tu mourras, téméraire, et lupiter lui -même Ne saurait dérober ta tête à mon courroux.
LE CHOEUR.	LE CHOEUR.
Le Ciclope menaſſe!	Le Ciglope menace!
O Ciel protege-nous!	Ô Ciel prote-nous!
Sers-toi pour nous ſauver de ton pouvoir ſuprême.	Sers-toi pour nous sauver de ton pouvoir suprême.
SCENE IV.	SCÈNE IV.
ACIS & GALATE’E.	ACIS et GALATE'E.
GALTAE’E.	GALTAE'E.
Uions ſa violence extrême;	Oùions sa violence extrême;
THeureux de pouvoir l’éviter.	THeureux de pouvoir l'éviter.
ACIS.	ACIS.
ous me quittez, helas, n’oſez-vous arrêter?	ous me quittez, hélas, n'osez-vous arrêter?
GALATE’E.	GALATÉE.
Fuiez, s’il eſt poſſible, Ou vôtre perte eſt infaillible.	Fuiez, s'il est possible, Ou votre perte est infaillible.
ACIS.	ACIS.
Mourant pour vos beaur yeux, je ne craine point la mort.	Mourant pour vos beaur yeux, je ne craine point la mort.
Où puis-je la trouver plus belle?	Où puis-je la trouver plus belle?
Dois-je enfin me plaindre du ſort Si je meurs heureux & fidelle?	Dois-je enfin me plaindre du sort Si je meurs heureux et fidèle?
SCENE V.	SCÈNE V.
POLIPHEME ſeul.	POLIPHÉME seul.
Uel chemin ont-ils pris ces Amans tropZ heureux, Sans doute lupiter s’intereſſe pour eux.	Vel chemin ont-ils pris ces Amants trop heureux, Sans doute lupiter s'intéresse pour eux.
u’il ſe montre, ce Dieu que l'Univers revere, C’eſt un objet digne de ma colere.	Çu'il se montre, ce Dieu que l'Univers révère, C'est un objet digne de ma colère.
e l’atens:	Je l'attends:
Mais il craint de paroître à mes yeux t croit braver ma rage enfermé dans les Cieuxy monterai malgré l’éfort de ſon tonnerre, entaſſerai ces Monts pour aller juſqu’à lui, t ferai plus trembler tout l’Olimpe aujourd’hui, ue ne firent jadis les enfans de la terre.	Mais il craint de paraître à mes yeux t oit braver ma rage enfermé dans les Cieuxy monterai malgré l'efort de son tonnerre, entasserai ces Monts pour aller jusqu'à lui, t ferai plus trembler tout l'Olimpe aujourd'hui, ue ne firent jadis les enfants de la terre.
Mais commençons d’exercer mon courroux Sur un rival que je deteſte.	Mais commençons d'exercer mon courroux Sur un rival que je déteste.
u’il ſoit aneanti par un ſeul de mes coups, ue ſa mort ſoit enfin ſi triſte & ſi funeſte, ue de tout ſon bonheur je ne ſois plus jaloux!	u’il soit anéanti par un seul de mes coups, ue sa mort soit enfin si triste et si funeste, ue de tout son bonheur je ne sois plus jaloux!
B ij	B ij
SCENE VI.	SCÈNE VI.
ACIS, GALATE'E, POLIPHEMES.	ACIS, GALATE, POLIPHÉMES.
GAEATE’E.	GAEATÉE.
Llez, éloignez-vous, faut-il vous le redire!	Llez, éloignez-vous, faut-il vous le redire!
A Galatée ſe plonge dans la Mer.	À Galatée se plonge dans la Mer,
ACIS.	ACIS.
Vous me fuiez, par où l’ai-je donc merité?	Vous me fuyez, par où l'ai-je donc mérité?
POLIPHEME.	POLIPHÉME.
Traître reçois le prix de ta temerité.	Traître reçois le prix de ta témérité.
Polipheme écraſe.	Polipheme écrase.
Acis avec un Rocher	Acis avec un Rocher
ACIS.	ACIS.
Déeſſe c’en eſt fait, je vous pers, & j’expire.	Déesse c'en est fait, je vous perd, et j'expire.
SCENE.	SCÈNE.
VII.	VII.
,	,
POLIPHEME ſeul.	POLIPHÉME seul.
L eſt mort l'inſolent, j'ai trompé ſon atente, T Je ſuis content puiſque je ſuis vangé;	L est mort l'insolent, j'ai trompé son atente, T Je suis content puisque je suis vengé;
Ah!	Ah!
quel plaiſir pour un cœur outragé.	quel plaisir pour un cœur outragé.
Qu’une vengeance ſanglante.	Qu'une vengeance sanglante.
Et toi, Déeſſe perfide, Pleure l’indigne Amant que tu m’as preferé;	Et toi, Déesse perfide, Pleure l'indigne Amant que tu m'as préféré;
Ma tendreſſe a fait place au tranſport qui meguide, J’ai repouſſé les traits dont j’étois penetré.	Ma tendresse a fait place au transport qui méguide, J'ai repoussé les traits dont j'étais pénétré.
Publions par tout ma victoire, Elle aſſure à la fois mon repos & ma gloire, J’immole dans le même jour, Mon Rival & mon Amour.	Publions par tout ma victoire, Elle assure à la fois mon repos et ma gloire, J'immole dans le même jour, Mon Rival et mon Amour.
GALATE’E ſeule.	GALATÉE seule.
Galatée ſort de la Mer.	Galatée sort de la Mer.
Nfin j’ai diſſipé la crainte L Qui m’arrêtoit au fond des flots, Je voi regner ici le calme & le repos, Ma flâme deſormais ne ſera plus contrainte.	Nfin j'ai dissipé la crainte L Qui m'arrêtait au fond des flots, Je voi régner ici le calme et le repos, Ma flamme désormais ne sera plus contrainte.
Cherchons ſeulement Le Berger charmant Que mon cœur adore;	Cherchons seulement Le Berger charmant Que mon cœur adore;
Helas!	Hélas!
il ne vient point encore.	il ne vient point encore.
Acis, mon cher Acis, en quels lieux êtes-vous?	Acis, mon cher Acis, en quels lieux êtes-vous?
Revenez prés de moi, tout eſt ici tranquile;	Revenez près de moi, tout est ici tranquille;
Vous n’avez plus beſoin d’azile Contre un injuſte courroux.	Vous n'avez plus besoin d'asile Contre un injuste courroux.
Quoi?	Quoi?
tu ne répons point à la voix qui t’apelle?	tu ne réponds point à la voix qui t'appelle?
Ie commence à fentir une peine mortelle De ton éloignement;	Je commence à sentir une peine mortelle De ton éloignement;
Reviens, mon cher Acis?	Reviens, mon cher Acis?
Dois-tu perdre un moment?	Dois-tu perdre un moment?
Mais quelle terreur ſecrete M’allarme & m’inquiete?	Mais quelle terreur secrète M'alarme et m'inquiète?
Quelle image, grands Dieux!	Quelle image, grands Dieux!
vient fraper mon eſprit?	vient frapper mon esprit?
Je tremble!	Je tremble!
quel objet à mes yeux ſe preſente?	quel objet à mes yeux se présente?
Les Rochers renverſez, & la Terre ſanglante M’aſſurent le malheur que mon cœur m’a predit.	Les Rochers renversez, et la Terre sanglante M'assurent le malheur que mon cœur m'a prédit.
Que ne puis je expirer aprés ce coup funeſte?	Que ne puis je expirer après ce coup funeste?
Mon amour à jamais fera couler mes pleurs5	Mon amour à jamais fera couler mes pleurs5
Heureux mortels!	Heureux mortels!
dans de pareils malheurs L’eſpoir de la mort vous reſte.	dans de pareils malheurs L'espoir de la mort vous reste.
Fut.	Fut.
il jamais un deſtin plus afreux?	il jamais un destin plus afreux?
Quel cœur a reſſenti la douleur qui me preſſe?	Quel cœur a ressenti la douleur qui me presse?
Je perds l’objet de ma tendreſſe Quand nous ſommes prés d’être heureux.	Je perds l'objet de ma tendresse Quand nous sommes près d'être heureux.
Faut-il encore pour croître mon ſuplice Que de ſa mort je ſois complice?	Faut-il encore pour croître mon suplice Que de sa mort je sois complice?
J'ai pû l’abandonner dans ce preſſant danger, Quand ſon amour faiſoit éclater ſon courage.	J'ai pu l'abandonner dans ce pressant danger, Quand son amour faisait éclater son courage.
Ah!	Ah!
je ne puis y ſonger, Sans fremir de honte & de rage!	je ne puis y songer, Sans frémir de honte et de rage!
Songeons du moins à le vanger.	Songeons du moins à le venger.
Pourſuivons le Geant, invoquons les Furies, Qu’il ne puiſſe trouver d’azile ni d’apui!	Poursuivons le Géant, invoquons les Furies, Qu'il ne puisse trouver d'asile ni d'appui!
Qu’elles exercent ſur lui Poutes reuis barbaries!	Qu'elles exercent sur lui Poutes réuis barbaries!
Mais ce cruel châtiment Me rendra-t’il mon Amant?	Mais ce cruel châtiment Me rendra-t-il mon Amant?
Pour ſoulager ma peine extrême Il faut me rendre ce que j’aime.	Pour soulager ma peine extrême Il faut me rendre ce que j'aime.
Puiſſantes Divinitez, Genereuſe Thetis, favorable Neptune!	Puissantes Divinités, Généreux Thétis, favorable Neptune!
Si juſqu’à vous mes ſoûpirs ſont portez Faites ceſſer mon infortune, R'onimez mon Amant, redonnez lui le jour, Et s’il ſe peut encor augmentez ſon amour,	Si jusqu'à vous mes soupirs sont portés Faites cesser mon infortune, R'onimez mon Amant, redonnez lui le jour, Et s'il se peut encor augmentez son amour,
SCENE IX.	SCÈNE IX.
NEPTUNE ſortant de la Mer, GALATE’E.	NEPTUNE sortant de la Mer, GALATE.
NEPTUNE.	NEPTUNE.
IE fors de mes gtotes proſondes, Tes cris ont penetré juſques au fond des Ondes, Tes maux par mon ſecours ſeront bien tôt finis, Je viens pour reparer le crime de mon fils.	JE fors de mes gîtotes prosondes, Tes cris ont pénétré jusques au fond des Ondes, Tes maux par mon secours seront bien tôt finis, Je viens pour réparer le crime de mon fils.
Vous que la loi du ſort ſoûmet à ma puiſſance, Dieux, qui ſuivez ma Cour, Paroiſſez ſur les Eaux, honorez ce grand jour De vôtre auguſte preſence.	Vous que la lois du sort soumet à ma puissance, Dieux, qui suivez ma Cour, Paraissez sur les Eaux, honorez ce grand jour De votre auguste présence.
S-C-E.	SC-ÇE.
NE- X.	NE- X.
NEPTUNE, CALATEE, Toutes les Divinitez, de la Mer, Troupe de Nayades & de Divinitez.	NEPTUNE, CALATE, Toutes les Divinités, de la Mer, Troupe de Nayades et de Divinités.
CHOEUR DE DIVINITEZ.	CHOEUR DE DIVINITÉ.
Ous acourons au ſeul bruit de ta voix, NNNôtre plus doux plaiſir eſt de ſuivre tes loix.	Ous acourons au seul bruit de ta voix, NNNôtre plus doux plaisir est de suivre tes lois.
EPTUNE.	EPTUNE.
Ma fille, le deſtin répond à ta priere.	Ma fille, le destin répond à ta prière.
Vivez, Acis, vivez;	Vivez, Acis, vivez;
revoiez la lumiere;	revoyez la lumière;
.	.
Mais vivez deſormais Pour ne mourir jamais.	Mais vivez désormais Pour ne mourir jamais.
LE CHOEUR.	LE CHOEUR.
Acis, vivez deſormais Pour ne mourir jamais.	Acis, vivez désormais Pour ne mourir jamais.
NEPTUNE.	NEPTUNE.
Que vôtre ſang ſe change & devienne une eau pule, Dont l’agreable murmure Faſſe naître dans tous les cœurs D’innocentes ardeurs.	Que votre sang se change et devienne une eau pule, Dont l'agréable murmure Fasse naître dans tous les cœurs D'innocentes ardeurs.
SCENE XI.	SCÈNE XI.
NEPTUNE, ACI S changé on Fleuve, GALATE’E, les Oivinitez de la Mer, Fleuves, O Nayades.	NEPTUNE, ACY changé on Fleuve, GALATE'E, les Oivinités de la Mer, Fleuves, Ô Nayades.
GALATE’E.	GALATÉE.
Her Acis?	Her Acis?
ACIS.	ACIS.
Galatée?	Galatée?
ACHS, GALATE’E.	ACHÊ, GALATE'E.
Il m’eſt permis encore De revoir ce que j’adore.	Il m'est permis encore De revoir ce que j'adore.
PTUNE.	PTUNE.
Joüiſſez des biens éternels Qui ſont faits pour les Immortels.	Jouissez des biens éternels Qui sont faits pour les Immortels.
Vous Fleuves amoureux, vous Nayades charmantes, Venez de ces Amans redoubler les plaiſirs;	Vous Fleuves amoureux, vous Naïades charmantes, Venez de ces Amants redoubler les plaisirs;
Venez animer leurs deſirs Par les chanſons les plus touchantes.	Venez animer leurs désirs Par les chansons les plus touchantes.
UNE NAYADE.	UNE NAÏADE.
Sous ſes loix l’Amour veut qu’on joüiſſe D’un bonheur qui jamais ne finiſſe.	Sous ses lois l'Amour veut qu'on jouisse D'un bonheur qui jamais ne finisse.
Tendres cœurs venez tous En joüir avec nous.	Tendres cœurs venez tous En jouir avec nous.
LE CHOEUR.	LE CHOEUR.
Sous ſes loix l’Amour veut qu’on joüiſſe D’un bonheur qui jamais ne finiſſe, Tendres cœurs venez tous En jouir avec nous.	Sous ses lois l'Amour veut qu'on jouisse D'un bonheur qui jamais ne finisse, Tendres cœurs venez tous En jouir avec nous.
DEUXNAY ADES.	DEUXNAY ADES.
