offrir celuy cy:	offrir celui celui:
vous l’entendez mal, & ce n’eſt pas auſſi Pour ſouffrir d’eſtre aimée & cauſer du ſoucy, Qu’vne beauté nous donne vne atteinte mortelle, Et celuy-là ſans doute eſt cauſe du trépas, Qui peut ſauuer la vie & ne la ſauue pas.	vous l'entendez mal, et ce n'est pas aussi Pour souffrir d'être aimée et causer du souci, Qu'une beauté nous donne une atteinte mortelle, Et celui-là sans doute est cause du trépas, Qui peut sauver la vie et ne la sauve pas.
Enfin, Docteur.	Enfin, Docteur.
EMILIE.	EMILIE.
HORTENSE.	HORTENSE.
Enfin, mon Ange, ie vous aime C’eſtoit là tout le but de ce grand theoréme, Mon ame n’agit plus que dans voſtre beau corps, La voſtre à l’en chaſſer feroit de vains efforts;	Enfin, mon Ange, votre vous aime C'était là tout le but de ce grand théorème, Mon âme n'agit plus que dans votre beau corps, La vôtre à l'en chasser ferait de vains efforts;
Mieux que vous ne penſez elles ſont aſſorties, Et nous auons tous deux d’étroites ſympatles.	Mieux que vous ne pensez elles sont assorties, Et nous avons tous deux d'étroites sympatles.
Contons.	Contons.
Vous eſtes veufue, & ie ſuis veuf auſſi;	Vous êtes veuve, et ainsi suis veuf aussi;
Vous eſtes ieune encor, ie ne ſuis pas chanſi.	Vous êtes jeune encor, ie ne suis pas chansi.
Ma taille auec la voſtre eſt aſſez congruente, Ie ſuis Docteur fameux, & vous eſtes ſçahante;	Ma taille avec la vôtre est assez congruente, Je suis Docteur fameux, et vous êtes sçahante;
Iamais Eſpouſe n’eut vn plus conforme Eſpoux, Nous ferons des enfans habiles comme nous, Orateurs, Medecins, Poëtes, Philoſophes, Enfin nous en ferons de toutes les étofes, Que nous verrons tous deux vn iour auec éclat, Seruir vtilement le Prince & ſon Eſtat.	Jamais Espouse n'eut Un plus conforme Espoux, Nous ferons des enfants habiles comme nous, Orateurs, Médecins, Poètes, Philosophes, Enfin nous en serons de toutes les étouffes, Que nous verrons tous deux un jour avec éclat, Servir vtilement le Prince et son État.
Apres tout, ie voy bien que c’eſt par modeſtie, Que vouo mie temoigner en auoir peu d'enuie:	Après tout, je vois bien que c'est par modestie, Que voulo mie témoigner en avoir peu d'envie:
Mais au fond, ſans rougir;	Mais au fond, sans rougir;
quand vn Phyſicien, Diſcourt de la matiere, aſpirant au lien, Qui l’vnit à la forme, il nous ajouſte;	quand un Physicien, Discourt de la matière, aspirant au lien, Qui l'Unit à la forme, il nous ajoute;
Comme Tres-naturellement la femme appete l’homme.	Comme Très-naturellement la femme appète l'homme.
EMILIE.	EMILIE.
Et moy, i’appete fort de vous bien quereller:	Et moi, j'appète fort de vous bien quereller:
A qui, chetif Pedan, penſez-vous donc parler?	À qui, chétif Pédan, pensez-vous donc parler?
Con noiſſant qui ie ſuis, me tenir ce langage !	Con naissant qui ie suis, me tenir ce langage !
A moy, qui ne veux plus penſer au mariage!	À moi, qui ne veux plus penser au mariage!
Et quand i’y penſerois, qui voudrois en ce cas, Tout au moins vn Marquis, & cent mille ducats, 11 Depuis mon mary mort, ie fais la nique aux hommes, Ie leur feray bien-toſt ſçauoir ce que nous ſommes, Et nous auons aſſez ſouffert de leur humeur, Pour leur montrer, enfin, que nous auons du cœur.	Et quand j'y penserais, qui voudrais en ce cas, Tout au moins un Marquis, et cent mille ducats, 11 Depuis mon mari mort, on fais la nique aux hommes, Je leur ferai bientôt sçauoir ce que nous sommes, Et nous avons assez souffert de leur humeur, Pour leur montrer, enfin, que nous avons du cœur.
Adieu, mais deſormais choiſiſſez, ie vous prie, Vn lieu plus éloigné pour voſtre réuerie, Et comme en ce jardin on vous a trop ſouffert, le feray qu’à perſonne il ne ſoit plus ouuert.	Adieu, mais désormais choisissez, je vous prie, Un lieu plus éloigné pour votre réuerie, Et comme en ce jardin on vous a trop souffert, le ferai qu'à personne il ne soit plus ouvert.
SCENE V	SCÈNE V
HORTENSE ſeul.	HORTENSE seul.
Auois vn beau deſſein de deuenir bigame!	Avais un beau dessein de devenir bigame!
I’aurois pris vn cerbere, & non pas vne femme, Elle auroit à toute heure ergoté contre moy.	J'aurais pris un cerbère, et non pas une femme, Elle aurait à toute heure ergoté contre moi.
Et de belle hauteur m’auroit donné la loy, Ah Dieu!	Et de belle hauteur m'aurait donné la loi, Ah Dieu!
qu’allois-ie faire?	qu'allais-je faire?
& ſi cette ame vaine M’eut pris enfin au mot, quelle euſt eſté ma peine!	et si cette âme vaine M'eût pris enfin au mot, quelle eût été ma peine!
Dieu me garde d’auoir iamais dans mon dongeon, V ne femme qui lit Des Cartes, Caſaubon!	Dieu me garde d'avoir jamais dans mon dongeon, V ne femme qui lit Des Cartes, Casaubon!
ayme mieux luy ſouffrir & des dez & des cartes, 'ayme mieux en aller prendre vne chez les Parthess orſque ce Sexe croit en ſçauoir plus que nous, De noſtre authorité d’abord il eſt ialoux.	aime mieux mieux souffrir et des de dés des cartes, qu'aime mieux en aller prendre une chez les Parthess orsque ce Sexe croit en sçauoir plus que nous, De notre autorité d'abord il est jaloux.
Ine femme qui lit, & qui lit Campanelle!	Âne femme qui lit, et qui lit Campanelle!
Que c’eſt vn beau moyen de gaſter ſa ceruelle?	Que c'est un beau moyen de gâter sa cervelle?
Et que tandis qu’elle a cette demangeaiſon, Vn mary paſſe bien ſon tems à la maiſon!	Et que tandis qu'elle a cette démangeaison, Un mari passe bien son temps à la maison!
Quand ſur tous ces Autheurs ſon feble eſprit trauaille, Que des valets en bas ont beau faire gogaille, Et qu’on a ſouuent tort d’imputer au cerceau, Que le vin va trop viſte, & s’enfuit du tonneau.	Quand sur tous ces Auteurs son feble esprit travaille, Que des valets en bas ont beau faire gogaille, Et qu'on a souvent tort d'imputer au cerceau, Que le vin va trop vite, et s'enfuit du tonneau.
Vne bonne quenoüille en la main d’vne femme Luy ſied bien, & la met à couuert de tout blame, Son menage florit, la regle va par tout, Et de ſes ſeruiteurs elle vient mieux à bout.	Une bonne quenouille en la main d'une femme Lui sied bien, et la met à couvert de tout blâme, Son menage florit, la règle va par tout, Et de ses serviteurs elle vient mieux à bout.
Mais vn liure, bon Dieu!	Mais un livre, bon Dieu!
qu’en pretend-elle ſaire?	qu'en prétend-elle zaïre?
Ne voudroit-elle point encor monter en chaire, Et laſſe à la maiſon de nous queſtionner, Nous venir en public derechef ſermonner?	Ne voudrait-elle point encor monter en chaire, Et lasse à la maison de nous questionner, Nous venir en public derechef sermonner?
Si nous n’y donnons ordre, apres cette equipée, Bien-toſt auec vn liure elle prendra l’eſpée:	Si nous n'y donnons ordre, après cette équipée, Bientôt homme un livre elle prendra l'épée:
Non, non, reſolument, iamais femme qui lit, Quand i’en deurois mourir, n’entrera dans mon lit.	Non, non, résolument, jamais femme qui lit, Quand j'en devrais mourir, n'entrera dans mon lit.
Fin du premier Acte.	Fin du premier Acte.
RCFL IT SCENL IREMIERE,	RCL IT SCENL JREMIÈRE,
HORTENSE ſeul.	HORTENSE seul.
GV’AMOVR eſt vn tyran qui nous cauſe d’ennuy !	GU'AMOUR est un tyran qui nous cause d'ennui !
Malgré tous nos conſeils nous dépendons Y de luy.	Malgré tous nos conseils nous dépendons Y de lui.
Il veut m’enbeguiner de cette fiere veuue, Il veut abſolument que i’en faſſe l’épreuue.	Il veut m'enbuiner de cette fière veue, Il veut absolument que j'en fasse l'épreuve.
Ie ſçay qu’elle mettra ma patience à bout, Et pour auoir la paix, ie me reſous à tout.	Je sais qu'elle mettra ma patience à bout, Et pour avoir la paix, Seigneur me résous à tout.
Peut-eſtre auec le tems.	Peut-être avec le temps.
Mais i’apperçoy ſon pere, Ouy, puis qu’amour l'ordonne, il faut que i’obtempere;	Mais j'aperçois son père, Oui, puis qu'amour l'ordonne, il faut que j'obtempère;
Taſchons d’eſtre ſon gendre vne derniere fois,	Tâchons d'être son gendre une dernière fois,
B i	B y
SCENE II.	SCÈNE II.
HORTENSE, LEARQVE.	HORTENSE, LEARQUE.
HORTENSE.	HORTENSE.
L'Earque, ſaluus ſis.	L'Earque, saluus sis.
LEARQVE.	LEARQUE.
Parlez-moy bon François, Défaites-vous enfin de voſtre pedantiſme, Et ſçachez qu’à la Cour c’eſt vn grand barbariſme.	Parlez-moi bon Français, Défaites-vous enfin de votre pédantisme, Et sachez qu'à la Cour c'est un grand barbarisme.
La Cour.	La Cour.
HORTENSE.	HORTENSE.
LEARQVE.	LEARQUE.
Laiſſons la Cour, s’il vous plaiſt, comme elle eſt.	Laissons la Cour, s'il vous plaît, comme elle est.
Ie ſuis icy venu pour vn autre intereſt, Pour vous dire en vn mot, qu’en muguetant ma fille, Vous eſperez en vain d’entrer en ma famille.	Je suis ici venu pour un autre intérêt, Pour vous dire en un mot, qu'en muguetant ma fille, Vous espérez en vain d'entrer en ma famille.
Ma fille, ſire Hortenſe, eſt d’vne qualité, A ne ſouffrir qu’vn Comte à ſes pieds arreſté;	Ma fille, sire Hortense, est d'une qualité, À ne souffrir qu'un Comte à ses pieds arrêté;
Encor, comme auiourd’huy, ſi haut le nombre en monte;	Encor, comme aujourd'hui, si haut le nombre en monte;
A peine elle pourroit le receuoir ſans honte, Il faut luy propoſer quelque choſe d’exquis.	À peine elle pourrait le recevoir sans honte, Il faut lui proposer quelque chose d'exquis.
Comme quoy?	Comme quoi?
HORTENSE.	HORTENSE.
LEARQVE.	LEARQUE.
Comme vn Duc, ou du moins vn Marquis;	Comme un Duc, ou du moins un Marquis;
Car enfin nous ſortons d’vne ſi noble race, Que nous en voyons peu que ſon éclat n’efface, Et nous pouuons conter malgré les enuieux, Tounours de pere en fils cinq ou ſix mille ayeux-	Car enfin nous sortons d'une si noble race, Que nous en voyons peu que son éclat n'efface, Et nous pouvons conter malgré les envieux, Tounours de père en fils cinq ou six mille aïeux-
HORTENSE.	HORTENSE.
Ie m’eſtonne pourtant ( & ſauf tout vitupere) Qu’on n’ait iamais bien ſçeu quel eſtoit voſtre pere	Je m'étonne pourtant ( et sauf tout vitupère) Qu'on n'ait jamais bien su quel était votre père
LEARQVE.	LEARQUE.
C’eſt qu’il viuoit ſans bruit, exent d’ambition, Et qu’ayant peu de bien pour ſa condition, Il aimoit mieux aux chãps ſe cacher ſous le chaume, Que venir s’endetter pour coucher ſous vn dôme.	C'est qu'il vivait sans bruit, exent d'ambition, Et qu'ayant peu de bien pour sa condition, Il aimait mieux aux chans se cacher sous le chaume, Que venir s'endetter pour coucher sous un dôme.
Cela n’empeſche pas, ſi vous ne le ſçauez, Que nos titres touſiours ne ſe ſoient conſeruez;	Cela n'empêche pas, si vous ne le savez, Que nos titres toujours ne se soient conservez;
Ils rempliſſent chez moy trois ou quatre grãs coffres;	Ils remplissent chez moi trois ou quatre grands coffres;
Mais ma fille de plus me fait de belles offres, Et comme elle eſt ſçauante, & qu’elle lit par tout, Elle me veut encor montrer de bout en bout, Dans de fameux Authears, ma Gencuiogie.	Mais ma fille de plus me fait de belles offres, Et comme elle est savante, et qu'elle lit par tout, Elle me veut encor montrer de bout en bout, Dans de fameux Authéars, ma Gencuiogie.
Pour moy qui ne voy goutte en la Chronologie, Et qui dans ces Aurheurs ne marche qu’à taſtons, Ie he puis retenir tous ces diables de noms.	Pour moi qui ne vois goutte en la Chronologie, Et qui dans ces Aurheurs ne marche qu'à tâtons, Je hé puis retenir tous ces diables de noms.
HORTENSE.	HORTENSE.
Ie vous croy ſans cela, la preuue en eſt trop claire.	Je vous crois sans cela, la preuve en est trop claire.
LEARQVE.	LEARQUE.
Hortenſe, vous ſçauez que ie vous ayme en frere, Que nous nous connoiſſons depuis plus de vingt ans, Et vous fuſtes touſiours le bien venu ceans.	Hortense, vous savez que je vous aime en frère, Que nous nous connaissons depuis plus de vingt ans, Et vous fûtes toujours le bien venu céans.
Ma maiſon, mon iardin, ma bourſe, tout eſt voſtre:	Ma maison, mon jardin, ma bourse, tout est votre:
Mais ſans vous en fâcher, ma fille eſt pour vn autre.	Mais sans vous en fâcher, ma fille est pour un autre.
Voſtre âge, voſtre humeur, voſtre profeſſion, Ne répondent pas bien à ſon ambition, Ie n’y voy rien pour vous que du deſauantage, Et vous feriez enſemble vn tres-mauuais ménage.	Votre âge, votre humeur, votre profession, Ne répondent pas bien à son ambition, Je n'y vois rien pour vous que du désavantage, Et vous feriez ensemble un très -mauuais ménage.
Mais vous n’y perdrez rien.	Mais vous n'y perdrez rien.
Deux mille eſcus pour vous, Si vous pouuez treuuer pour elle vn digne Eſpoux;	Deux mille écus pour vous, Si vous pouvez trouver pour elle un digne Époux;
Pourueu qu’il ſoit Marquis, & de la vieille datte, Car ſur ce point ma fille eſt vn peu delicate.	Pourvu qu'il soit Marquis, et de la vieille datte, Car sur ce point ma fille est un peu délicate.
HORTENSE.	HORTENSE.
Quoy qu’on puſt m’eſtimer pour elle aſſez bien né, Ie ſuiuray vos auis comme d’vn frere aiſné.	Quoi qu'on pût m'estimer pour elle assez bien né, Je suivrai vos avis comme d'un frère aisné.
Ie ne penſeray plus à voſtre aimable veuue, Et pour vous en donner vne infaillible preuue, Ie connois vn Marquis bien fait, touſiours gaillard, Qui vous ira treuuer dés ce ſoir au pluſtard.	Je ne penserai plus à votre aimable veuve, Et pour vous en donner une infaillible preuve, Je connais un Marquis bien fait, toujours gaillard, Qui vous ira trouver dès ce soir au plustard.
LEARQVE.	LEARQUE.
Tant mieux, ſa belle humeur détournera ma fille De tous ces chiens d’Autheurs, dont ſa chambre fourmille;	Tant mieux, sa belle humeur détournera ma fille De tous ces chiens d'Auteurs, dont sa chambre fourmille;
Et ie crains de la voir enfin à lire trop, Aux petites Maiſons aller au grand galop.	Et petit crains de la voir enfin à lire trop, Aux petites Maisons aller au grand galop.
Ie vais donc l’auertir qu’elle ſe tienne preſte, Et dans ce bon deſſein que rien ne vous arreſte.	Je vais donc l'avertir qu'elle se tienne prête, Et dans ce bon dessein que rien ne vous arrête.
HORTENSE.	HORTENSE.
Allez, pauure caboche, allez, feble cerueau, Ouy, ie vous feray faire vn Marquis tout nouueau, Et piqué iuſqu’au vif, ie vais en diligence, Prendre de vos mépris vne haute vengcanee.	Allez, pauvre caboche, allez, feble cerveau, Oui, toujours vous ferai faire un Marquis tout nouveau, Et piqué jusqu'au vif, Seigneur vais en diligence, Prendre de vos mépris quelque haute vengane.
De mon valet Guillot, il n’eſt point de fripier, Qui ne mette vn Marquis d’abord ſur le métier;	De mon valet Guillot, il n'est point de fripier, Qui ne mette un Marquis d'abord sur le métier;
Apres m’auoir traitté comme vn homme de bouë;	Après m'avoir traité comme un homme de boue;
A mon tour maintenant il faut que ie vous iouë.	À mon tour maintenant il faut que je vous joue.
SCENE III.	SCÈNE III.
HORIENSE, ALIA, GVILLOT,	HORIENSE, ALIA, GUILLOT,
HORTENSE.	HORTENSE.
Ais faiſons-le venir.	Ais faisons-le venir.
Heurteray-ie long-temps?	Heurterai-je longtemps?
ÆVLMIRe Ion vaict.	ÆVLMIRe Ion vait.
Emn le les entens.	Emn le les entends.
ALIX.	ALIX.
A la porte, Guillot, viſte.	À la porte, Guillot, vite.
GVILLOT.	GUILOT.
Vas-y toy-méme, Ie prens dans le cellier deux verres d’Apoſéme.	Vas-y toi-même, Je prends dans le cellier deux verres d'Aposème.
HORTENSE.	HORTENSE.
Ailcaroie, vonla comment on boit men vi?	Ailcaroie, vonla comment on boit men vi?
Redoublons.	Redoublons.
ALIX.	ALIX.
Patience, on y va.	Patience, on y va.
GVILLOT.	GUILOT.
Quel faquin Oze pour me troubler venir heurter en maiſtre?	Quel faquin Oze pour me troubler venir heurter en maître?
Si i’y vais.	Si j'y vais.
HORTENSE.	HORTENSE.
Mets au moins la teſte à la feneſtre.	Mets au moins la tête à la fenêtre.
Qui va là?	Qui va là?
GVILLOT.	GUILOT.
HORTENSE.	HORTENSE.
Qui te rend le viſage effaré.	Qui te rend le visage effaré.
Ce n’eſt rien.	Ce n'est rien.
GVILLOT.	GUILOT.
HORTENSE.	HORTENSE.
L’Apoſéme a-t’il bien operé?	L'Aposéme a-t-il bien opéré?
L’as-tu pris tout d’vn coup?	L'as-tu pris tout d'un coup?
iuſqu’où montoit la doze Parle donc, depuis quand as-tu la bouche cloſe?	jusqu'où montait la donnée Parle donc, depuis quand as-tu la bouche close?
GVILLOT.	GUILOT.
G ent que le piens plai d’en rappefler ſe gouſt.	G ent que le piens plai d'en rapefler se goût.
Sans aller au deuin, ces Docteurs ſçauent tout.	Sans aller au devin, ces Docteurs Savent tout.
HORTENSE.	HORTENSE.
Ouy, ie ſçauray, maraut, punir ton inſolence, Et t’apprendre à vuider mes muids en mon abſence.	Oui, Seigneur saurai, maraud, punir ton insolence, Et t'apprendre à vider mes muids en mon absence.
Pour vn valet tout neuf qu’il faudroit bien dauber, Tu ſçais vn peur trop tort l'art de me derobber.	Pour un valet tout neuf qu'il faudrait bien dauber, Tu sais un peur trop tort l'art de me deroberber.
Ie t’ay pris ſur le fait deux fois, & la troiſiéme Pajcia pourie tout.	Je t'ai pris sur le fait deux fois, et la troisième Pajà pourie tout.
GVILLOT.	GUILOT.
Le maudit Apoſéme!	Le maudit Aposéme!
HORTENSE.	HORTENSE.
Deſcen, & pour ce coup ie te pardonne encor.	Descen, et pour ce coup ie te pardonne encor.
VILLOT.	VILOT.
Eſt-il vn meilleur maître?	Est-il un meilleur maître?
Il vaut ſon peſant d’or.	Il vaut son pesant d'or.
HORTENSE.	HORTENSE.
Guillot, quoy que ie puſſe auec bonne juſtice Te donner tout le ſou de l’eau pour ton ſupplice, Te fermer la cuiſine, & te bien teſtonner, le veux plus fatle encor que de te pardonner.	Guillot, quoi que ie pusse avec bonne justice Te donner tout le sou de l'eau pour ton supplice, Te fermer la cuisine, et te bien tétonner, le veux plus fatle encor que de te pardonner.
Par vn bon monuement qui m’eſt venu dans l’ame, Ie veux dés aujourd’huy te donner vne femme.	Par un bon monuement qui m'est venu dans l'âme, Je veux dés aujourd'hui te donner une femme.
Me marier?	Me marier?
GVILLOT.	GUILOT.
HORTENSE.	HORTENSE.
Bien plus, t’enſeigner comme il faut Deuenir Gentilhomme, & t’éleuer plus haut.	Bien plus, t'enseigner comme il faut Deuenir Gentilhomme, et t'élever plus haut.
Car la femme, en vn mot, que ie t’ay preparée, Eſt belle, eſt bien diſante, eſt toute diaprée, C'eſt vne pretieuſe, elle a bien de l’aquis, Et te dedaigneroit ſi tu n’eſtois Marquis.	Car la femme, en un mot, que ie éclai préparée, Est belle, est bien disante, est toute diaprée, C'est une prétieuse, elle a bien de l'aquis, Et te dédaignerait si tu n'étais Marquis.
GVILLOT.	GUILOT.
Ha!	Ha!
que ie ſçaurois bien trancher du Gentilhomme, S’il me tomboit du Ciel quelque notable ſomme!	que ici sçaurois bien trancher du Gentilhomme, S'il me tombait du Ciel quelque notable somme!
Car comment ſans argent pouuoir gentilhommer?	Car comment sans argent pouuoir gentilhommer?
Comment entre les Grans ſe faire renommer?	Comment entre les Grans se faire renommer?
Peut-on auoir beau train, gtande meute, écurie, Autours & Laneretz pour la Fauconnerie, Pages, Laquais, vn Suiſſe à dire, qui va la?	Peut-on avoir beau train, gtande meute, écurie, Autours et Lanerez pour la Fauconnerie, Pages, Laquais, un Suisse à dire, qui va la?
Car enfin vn Marquis doit auoir tout cela.	Car enfin un Marquis doit avoir tout cela.
HORTENSE.	HORTENSE.
Bon, ie voy que deſia la gloire t’aiguillonne;	Bon, Seigneur vois que déjà la gloire t'aiguillonne;
Mais tu ne dis pas tout, il faut que ie te donne Touchant le Marquiſat des auis importans, Qui te pourront ſeruir en tous lieux, en tout tems, I'entens du Rluiquiturde la faunle labiique, Dont ordinairement le hobereau ſe pique;	Mais tu ne dis pas tout, il faut que femme te donne Touchant le Marquisat des avis importants, Qui te pourront servir en tous lieux, en tout temps, J'ents du Rluiquiturde la faunle labiique, Dont ordinairement le hobereau se pique;
Car de méme que luy tu n’as le nez tourné Qu’à te faire eſtimer vn Marquis nouueau né.	Car de même que lui tu n'as le nez tourné Qu'à te faire estimer un Marquis nouveau né.
GVILLOT.	GUILOT.
C’eſt bien aſſez pour moy, puiſqu’il faut que i’en taſte, D’eſtre de ces Marquis qui ſont faits à la haſte, Et qui las de ſe voir de petits compagnons, Viennent en vne nuict comme des champignons.	C'est bien assez pour moi, puisqu'il faut que j'en tâte, D'être de ces Marquis qui sont faits à la hâte, Et qui las de se voir de petits compagnons, Viennent en une nuit comme des champignons.
Ie feray bien comme eux, n’en ſoyez point en peine;	Je ferai bien comme eux, n'en soyez point en peine;
Et ie ſçauray ſur tout bien remplir ma bedaine;	Et ici sçauray sur tout bien remplir ma bedaine;
Guille aura bien ſouuent l’emmarquiſé Guillot, Et Guille bien ſouuent payera tout l’écot.	Guille aura bien souvent l'emarquisé Guillot, Et Guille bien souvent payera tout l'écot.
Par diuertiſſement i’iray voir la donzelle, Pour rire ſeulement, & cauſer auec elle.	Par divertissement j'irai voir la donzelle, Pour rire seulement, et causer avec elle.
HORTENSE.	HORTENSE.
Tout beau, tu vas trop vîte, il faut pour ton profit rauailler auant tout à te mettre en credit.	Tout beau, tu vas trop vite, il faut pour ton profit ravailler avant tout à te mettre en crédit.
Fein donc que tu reçois des lettres d’importance, Qu’vn Duc t’écrit ſouuent, & te fait confidence D'vne intrigue d’amour, de ſes ſecrets riuaux, De duels, de balets, de chaſſes, de cheuaux.	Fein donc que tu reçois des lettres d'importance, Qu'une Duc 'écrit souvent, et te fait confidence D'une intrigue d'amour, de ses secrets rivaux, De duels, de ballets, de chasses, de cheuaux.
Laiſſe exprés dans ta poche, ou bien ſur ta toilette Ces lettres que tu veux que par tout on trompette;	Laisse exprès dans ta poche, ou bien sur ta toilette Ces lettres que tu veux que que partout on trompette;
Ton tailleur, tes valets, gens à ne rien celer, S’iroient pendre plutoſt que de n’en pas parler.	Ton tailleur, tes valets, gens à ne rien celer, S'iraient pendre plutôt que de n'en pas parler.
Mais quand tu iugeras qu’on aura pû les lire, Pour feindre du regret, ne laiſſe rien à dire, Repren-les tout fâché, querelle tous tes gens, Nomme les étourdis, curieux, negligens;	Mais quand tu jugeras qu'on aura pu les lire, Pour feindre du regret, ne laisse rien à dire, Repren-les tout fâché, querelle tous tes gens, Nomme les étourdis, curieux, négligents;
Et eroy moy, qu'H u eit point d’elprit qui ne s’em bourbe, Dans les ſubtils détours d’vne pareille fourbe.	Et erai moi, qu'H u eit point d'élprit qui ne s'em bourbe, Dans les subtils détours d'une pareille fourbe.
GVILLOT.	GUILOT.
Peſte, comme il l’entend!	Peste, comme il l'entend!
quel ruſé!	quel rusé!
quel matois	quel matais
HORTENSE.	HORTENSE.
aetten, ie ne puis pas te tout dile à la fois.	aetten, Madame ne puis pas te tout dile à la fois.
GVILLOT.	GUILOT.
Il eſt vray, pourſuiuez, ma rate à vous entendre S’épanouït de ioye.	Il est vrai, poursuivez, ma rate à vous entendre S'épanouit de joie.
HORTENSE.	HORTENSE.
Ecoute, il faut t’apprendre, Pour te faire eſtimer, vn ſecret bien plus beau, Qui portera ton nom au delà du tombeau.	Écoute, il faut t'apprendre, Pour te faire estimer, un secret bien plus beau, Qui portera ton nom au delà du tombeau.
Tu ſçais comme aujourd’huy le Royaume fourmill D’Autheurs bons & mauuais, dont la plume fretille Et que nous nous voyons dedans vne ſaiſon, Où d’écrire chacun à la demangeaiſon.	Tu sais comme aujourd'hui le Royaume fourmill D'Auteurs bons et mauvais, dont la plume fretille Et que nous nous voyons dedans quelque saison, Où d'écrire chacun à la démangeaison.
Qu’il ne manque non plus pour produire vn ouurage D’Imprimeurs affamez, qui ſans craindre la cage Mettent tout ſous la preſſe, & ſoûs l’eſpoir du gain Le debitent bien-toſt hautement, ou ſoûs main,	Qu'il ne manque non plus pour produire int ouvrage D'Imprimeurs affamés, qui sans craindre la cage Mettent tout sous la presse, et sous l'espoir du gain Le débitent bientôt hautement, ou sous main,
GVILLOT.	GUILOT.
En effet, quand ie paſſe au Palais, on m’enyure.	En effet, quand je passe au Palais, on m'enivre.
Le beau Liure, Monſieur;	Le beau Livre, Monsieur;
Monſieur, le nouueau Liure;	Monsieur, le nouveau Livre;
Un vous le porte au nez, on vous le vante bon, Qui ma foy bien ſouuent ce n’eſt qu’vne chanſon,	Un vous le porte au nez, on vous le vante bon, Qui ma foi bien souvent ce n'est qu'une chanson,
HORTENSE.	HORTENSE.
Tres-ſouuent.	Très-souuent.
Il faut donc apoſter quelque plume, Qui pour te faire honneur te dedie vn volume, Qui te nomme en l’Epitre vn Alexandre, vn Mars, Quile porte en valeur piuo haut que les Ceſars, En prudence au deſſus de la prudence méme, Et te declare enfin digne du diadéme.	Il faut donc aposter quelque plume, Qui pour te faire honneur te dédie un volume, Qui te nomme en l'Épitre un Alexandre, un Mars, Quile porte en valeur pivo haut que les Césars, En prudence au dessus de la prudence même, Et te déclare enfin digne du diadème.
GVILLOT.	GUILOT.
12 Pour cette belle Epitre il f'aut faire vn preſent.	12 Pour cette belle Épitre il s'aut faire un présent.
HORTENCE.	HORTENCE.
On ne ſe pique plus de donner à preſent.	On ne se pique plus de donner à présent.
Male.	Male.
GVILLOT.	GUILOT.
HORTENSE.	HORTENSE.
Quoy mais?	Quoi mais?
Laiſſe moy pourſuiure, ie te prie;	Laisse -moi poursuivre, Elle te prie;
Et ne m’interrons plus.	Et ne m'interrons plus.
GVILLOT.	GUILOT.
Araio poine de tiſcherie, Et ſeray-ie à couuert des mauuais accidens, Quanq.	Araio poine de tischerie, Et serai-je à couvert des mauvais accidents, Quanq.
HORTENSE.	HORTENSE.
Quand, i’ay grand, deſir de te caſſer les dens.	Quand, j'ai grand, désir de te casser les dents.
GVILLOT.	GUILOT.
Il y va trop du mien, & ie veux bien m’inſtruire.	Il y va trop du mien, et Seigneur veux bien m'instruire.
HORTENSE.	HORTENSE.
Tant que tu parleras, ie ne te puis rien dire.	Tant que tu parleras, ie ne te puis rien dire.
GVILLOT.	GUILOT.
Qui ne doute iamais ſçait tout, ou ne ſçait rien,	Qui ne doute jamais sait tout, ou ne sait rien,
HORTENSE.	HORTENSE.
Qui n’écoute iamais, n’apprendra iamais bienp	Qui n'écoute jamais, n'apprendra jamais bienp
GVILLOT.	GUILOT.
Vous ne découurez pas icy tout le myſtere.	Vous ne découvrez pas ici tout le mystère.
AONIENEL.	ÀONIENEL.
Ha le maudit parleur!	Ha le maudit parleur!
ne te ſçaurois-tu taire!	ne te saurais-tu taire!
GVILLOT.	GUILOT.
Non, & ie veux enfin, en duſſiez vous mourir, Sçauoir ſi ie n’ay point d’accident à courir, Quand pour faire marcher mon train touſiours de Il faudra quelquefois vſer de ſtratagéme.	Non, et Seigneur veux enfin, en dussiez vous mourir, Savoir si je n'ai point d'accident à courir, Quand pour faire marcher mon train toujours de Il faudra quelquefois user de stratagème.
[ méme, Car n’auoir dequoy frite, & vouloir marquiſer, C’eſt dire en mots couuerts qu’il faut deualizer, Soit en leur faiſant peur, ſoit par quelques bricoles De ces bons gros Bourgeois tegorgeans de piſtoles.	[ même, Car n'avoir dequoy frite, et vouloir marquiser, C'est -dire en mots couverts qu'il faut dévaliser, Soit en leur faisant peur, soit par quelques bricoles De ces bons gros Bourgeois tegorgeants de pistoles.
Toutefois il eſt iuſte, & n’eſt-il pas honteux De voir vn Marchand riche, & qu’vn Marquis ſoit gueux?	Toutefois il est juste, et n'est-il pas honteux De voir un Marchand riche, et qu'un Marquis soit gueux?
Qdiinuit pas ie teſton pour faire bonne vie, Pour ſe rendre par tout où l’honneur le conuie, n'la Sphere, à l’Auſtruche, en tous ces autres lieux, Où l’on va ſe gorger de vins delicieux?	Quiinuit pas homme teston pour faire bonne vie, Pour se rendre par tout où l'honneur le convie, n'la Sphère, à l'Autruche, en tous ces autres lieux, Où l'on va se gorger de vins délicieux?
HORTENSE.	HORTENSE.
As-tu bien-toſt tout dit?	As-tu bientôt tout dit?
