PERGONNAGES.	PERGONAGES.
Je dois par un Hymen t’engager à leurs vœux, Et c’eſt toy que l’on veut qui choiſiſſe des deux.	Je dois par un Hymen t'engager à leurs vœux, Et c'est toi que l'on veut qui choisisse des deux.
MYRTIL.	MYRTIL.
Ces Nymphes.	Ces Nymphes.
CARSIS.	CARSIS.
Oüy, des deux tu peux en choiſirune;	Oui, des deux tu peux en choisirune;
Voy quel eſt ton bonheur, & benis la fortune.	Vois quel est ton bonheur, et bénis la fortune.
MYRTIL.	MYRTIL.
Ce choix qui m’eſt offert, peut il m’eſtre un bonheur, dil n ent anemnement toulante de mon cœur?	Ce choix qui m'est offert, peut -il m'être un bonheur, d' il n' anemnement toulante de mon cœur?
LYCARSIS.	LYCARSIS.
Enfin, qu’on le reçoive, & que ſans le confondre, A l’honneur qu’elles font, on ſonge à bien répondre.	Enfin, qu'on le reçoive, et que sans le confondre, A l'honneur qu'elles font, on songe à bien répondre.
EROXENE.	EROXENE.
Malgré cette fierté qui regne parmy nous, Deux Nymphes, ô Myrtil, viennent s’offrir à vous, Et de vos qualitez les merveilles écloſes, Font que nous renverſons icy l’ordre des choſes.	Malgré cette fierté qui règne parmi nous, Deux Nymphes, ô Myrtil, viennent s'offrir à vous, Et de vos qualités les merveilles écloses, Font que nous renversons ici l'ordre des choses.
DAPHNE'.	DAPHNE.
Nous vous laiſſons, Myrtil, pour l’avis le meilMe leur, Comtiiter lul ce enoix vos yeux & volle cœur, Et nous n’en voulons point prevenir les ſuffrages Par un recit paré de tous nos avantages.	Nous vous laissons, Myrtil, pour l'avis le meMe leur, Comtiiter lul ce enoix vos yeux et volle cœur, Et nous n'en voulons point prévenir les suffrages Par un récit paré de tous nos avantages.
MYRTIL.	MYRTIL.
C’eſt me faire un honneur dont l’éclat me ſurprend;	C'est me faire un honneur dont l'éclat me surprend;
Mais cet honneur pour moy, je l’avoüe, eſt trop grand.	Mais cet honneur pour moi, je l'avoue, est trop grand.
A vos rares bontez, il faut que je m’oppoſe;	À vos rares bontés, il faut que je m'oppose;
Pour menter ce lort, je luis trop peu de choſe !	Pour menter ce lort, je luis trop peu de chose !
Et jeſerois faſché, quels qu’en ſoient les appas, Qu’on vous blaſmaſt pour moy de faire un choix trop bas.	Et jéserais fâché, quels qu'en soient les appas, Qu'on vous blâmât pour moi de faire un choix trop bas.
EROXENE.	EROXENE.
Contentennos dents;	Contentennos dents;
quoy qu'on en pumnecroire, Et ne vous chargez point du ſoin de nôtre gloire.	quoi qu'on en pumnecroire, Et ne vous chargez point du soin de notre gloire.
DAPHNE’.	DAPHNE.
Non, ne deſcendez point dans ces humilitez, Et laiſſez-nous juger ce que vous meritez.	Non, ne descendez point dans ces humilités, Et laissez-nous juger ce que vous méritez.
MYRTIL.	MYRTIL.
Le choix qui m’eſt offert s’oppoſe à vôtre attente, Et peut ſeul empeſcher que mon cœur vous contente.	Le choix qui m'est offert s'oppose à votre attente, Et peut seul empêcher que mon cœur vous contente.
Le moyen de choiſir de deux grandes beautez, Egales en naiſſance, & rares qualitez?	Le moyen de choisir de deux grandes beautés, Égales en naissance, et rares qualités?
Teeretter Rejetter l’une ou l’autre eſt un crime effroyable, Et n’en choiſir aucune eſt bien plus raiſonnable.	Teèreter Rejeter l'une ou l'autre est un crime effroyable, Et n'en choisir aucune est bien plus raisonnable.
EROXENE.	EROXENE.
Mais en faiſant refus de répondre à nos vœux, Au lieu d’une, Myrtil, vous en outragez deux.	Mais en faisant refus de répondre à nos vœux, Au lieu d'une, Myril, vous en outragez deux.
DAPHNE'.	DAPHNE.
Puis que nous conſentons à l’arreſt qu’on peut rendre, Ces raiſons ne fontrien à vouloir s’en défendre.	Puis que nous consentons à l'arrêt qu'on peut rendre, Ces raisons ne fontrien à vouloir s'en défendre.
MYRTI L.	MYRTI L.
Et bien, ſi ces raiſons ne vous ſatisfont pas, Senre ey le rera, j arme d’autres appas, 4 7 Et je ſens bien qu’un cœur, qu’un bel objet engage, Eſt inſenſible & ſourd à tout autre avantage.	Et bien, si ces raisons ne vous satisfont pas, Senre ei le rera, j arme d'autres appas, 4 7 Et je sens bien qu'un cœur, qu'un bel objet engage, Est insensible et sourd ' un autre avantage.
LYCARSIS.	LYCARSIS.
Comment donc?	Comment donc?
qu’eſt cecy?	qu'est ceci?
qui l’euſt pû preſumer?	qui l'eût pu présumer?
Et ſçavez-vous, morveux, ce que c’eſt que d’aimer.	Et Savez-vous, morveux, ce que c'est que d'aimer.
TIL.	TIL.
Sans ſçavoir ce que c’eſt, mon cœur a ſçeu le fai.	Sans savoir ce que c'est, mon cœur a su le fay.
Ie.	Je.
LYCARSIS.	LYCARSIS.
Mais cét amour me choque, & n’eſt pas neceſſaire.	Mais cet amour me choque, et n'est pas nécessaire.
MYRTIL.	MYRTIL.
Vous ne deviez donc pas, ſi cela vous déplaiſt, me rane memtir ienubie ce tendle conmit il eſt.	Vous ne deviez donc pas, si cela vous déplaît, me rane mémtir ienvie ce tendle conmit -il est.
LYCARSIS.	LYCARSIS.
Mais ce cœur que j’ay fait, me doit obeïſſance.	Mais ce cœur que j'ai fait, me doit obéissance.
YRTTL.	YRTL.
Oüy, lors que d’obeïr il eſt en ſa puiſſance.	Oui, lors que d'obéir il est en sa puissance.
YCARSIS.	YCARSIS.
Mais enfin, ſans mon ordre, il ne doit point aimer.	Mais enfin, sans mon ordre, il ne doit point aimer.
MYRTIL.	MYRTIL.
Que n’empeſchiez-vous done que l’on peuſt le charmer?	Que n'empêchiez-vous done que l'on pût le charmer?
LY	LI
CARSIS.	CARSIS.
Et bien, je vous deicnus que cela continuë.	Et bien, je vous deicnus que cela continue,
MYRTIL.	MYRTIL.
La defenſe, j’ay peur, ſera trop tard venuë.	La défense, j'ai peur, sera trop tard venue.
LYCARSTS.	LYCARSTS.
Quoy, les peres n’ont pas des droits ſuperieurs?	Quoi, les pères n'ont pas des droits supérieurs?
MYRTIL.	MYRTIL.
Les Dleux qui iont bien plus ne roicent point les cœurs.	Les Dleux qui jont bien plus ne roicent point les cœurs.
CARSIS.	CARSIS.
Les Dieux.	Les Dieux.
Faix, petit ſot, cette philoſophie Me.	Faix, petit sot, cette philosophie Me.
APHNE'.	APHNE.
Ne vous mettez point en courroux, je vous prie.	Ne vous mettez point en courroux, je vous prie.
LYCARSIS.	LYCARSIS.
Non, je venx qu’Ille donne al une pour époux, Où je vay luy donner le foüet tout devant vous:	Non, je venx qu'Ille donne al une pour époux, Où je va lui donner le fouet tout devant vous:
Ah, ah, je vous feray ſentir que je ſuis pere.	Ah, ah, je vous ferai sentir que je suis père.
APHNE’.	APHNE.
Rauacols, asgiues ley red end de lurls colere,	Ravacols, asgives ley red end de lurs colère,
EROXENE.	EROXENE.
Tent on icavon de vous cetonjel n chailiafit, Dont la beauté, Myrtil, vous a fait ſon Amant?	Tent on icavon de vous cetonjel n ailiafit, Dont la beauté, Myrtil, vous a fait son Amant?
MYRTIL.	MYRTIL.
Melicerte, Madame, elle en peut faire d’autres.	Mélicerte, Madame, elle en peut faire d'autres.
EROXENE.	EROXENE.
Vous comparez, Myrtil, ſes qualitez aux noſtres?	Vous comparez, Myrtil, ses qualités aux nôtres?
APHNE'.	APHNE.
Le choix d’elle & de nous eſt aſſez inégal.	Le choix d'elle et de nous est assez inégal.
MYRTIL Nymphes, au nom des Dieux, n’en dites point de mal, Daignez conſiderer, de grace, que je l’aime, Et ne me jettez point dans un deſordre extrême.	MYRTIL Nymphes, au nom des Dieux, n'en dites point de mal, Daignez considérer, de grâce, que je l'aime, Et ne me jetez point dans un désordre extrême.
Si j’outrage en l’aimant vos celeſtes attrais, Elle n’a point de part au crime que je fais :	Si j'outrage en l'aimant vos célestes attrais, Elle n'a point de part au crime que je fais :
C’eſt de moy;	C'est de moi;
s’il vous plaiſt, que vient toute l’offenſe.	s'il vous plaît, que vient toute l'offense.
Il eſt vray d’elle à vous je ſçay la difference, Mais par ſa deſtinée on ſe trouve enchaiſné, Et jeſens bien enfin que le Ciel m’a donné Pour vous tout le reſpect, Nymphes, imaginable:	Il est vrai d'elle à vous je sais la différence, Mais par sa destinée on se trouve enchaîné, Et jésens bien enfin que le Ciel m'a donné Pour vous tout le respect, Nymphes, imaginable:
Pour elle tout l’amour dont une ame eſt capable.	Pour elle tout l'amour dont une âme est capable.
Je vois à la rougeur qui vient de vous ſaiſir, Que ce que je vous dy ne vous fait pas plaiſir.	Je vois à la rougeur qui vient de vous saisir, Que ce que je vous dis ne vous fait pas plaisir.
Si vouz parlez, mon cœur apprehende d’entendre Ce qui peut le bleſſer par l’endroit le plus tendre:	Si vouz parlez, mon cœur appréhende d'entendre Ce qui peut le blesser par l'endroit le plus tendre:
Et pour me dérober à de ſemblables coups, Nymphes, j’aime bien mieux prendre congé de vous.	Et pour me dérober à de semblables coups, Nymphes, j'aime bien mieux prendre congé de vous.
AR SIS.	AR SIS.
Myrtil, hola, Myrtil, veux tu revenir, traiſtre?	Myrtil, holà, Myrtil, veux tu revenir, traître?
Il fuit, mais on verra qui de nous eſt le maiſtre.	Il fuit, mais on verra qui de nous est le maître.
Ne vous effrayez point de tous ces vains tranſports, Vous l’aurez pourépoux, j’en réponds corps pour corps.	Ne vous effrayez point de tous ces vains transports, Vous l'aurez pourépoux, j'en réponds corps pour corps.
Ein du premier Acte.	Ein du premier Acte.
ACTE	ACTE
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MELICERTE, CORINE.	MELICERTE, CORINE.
MELICERTE.	MELICERTE.
H, Corine, tu viens de l’apprendre de dtelle , Et c’eſt de Lycarſis qu’elle tient la houvenle.	H, Corine, tu viens de l'apprendre de dtelle , Et c'est de Lycarsis qu'elle tient la houvenle.
Oüy.	Oui.
CORINE.	CORINE.
MELICERTE.	MELICERTE.
Que les qualitez, dont Myrtil eſt orné, Ont ſçeu toucher d’amour Eroxene & Daphné.	Que les qualités, dont Myrtil est orné, Ont avait toucher d'amour Eroxène et Daphné.
oüy.	oui.
CORINE.	CORINE.
MELICERTE.	MELICERTE.
Que pour l’obtenir leur ardeur eſt ſi grande, Qu’enſemble elles en ont déja fait la demande, Et que dans ce debat elles ont fait deſſein De paſſer dés cette heure à recevoir ſa main.	Que pour l'obtenir leur ardeur est si grande, Qu'ensemble elles en ont déjà fait la demande, Et que dans ce débat elles ont fait dessein De passer dès cette heure à recevoir sa main.
Ah, que tes mors ont peine à fortir de ta bouche, Et que c’eſt foiblement que mon ſoucy te touche.	Ah, que tes mors ont peine à sortir de ta bouche, Et que c'est faiblement que mon souci te touche.
CORINE.	CORINE.
Mais quoy, que voulez-vous, c’eſt-là la verité, Et vous redites tout, comme je l’ay conté.	Mais quoi, que voulez-vous, c'est-là la vérité, Et vous redites tout, comme je l'ai conté.
MELICERTE.	MELICERTE.
Mais comment Lycarſis reçoit-il cette affaire?	Mais comment Lycars reçoit-il cette affaire?
CORINE.	CORINE.
Comme un honneur, je croy, qui doit beaucoup luy plaire.	Comme un honneur, je crois, qui doit beaucoup lui plaire.
MELICERTE.	MELICERTE.
Et ne vois-tu pas bien, toy qui ſçais mon ardeur, Qu’avec ce mot, helas?	Et ne vois-tu pas bien, toi qui sais mon ardeur, Qu'avec ce mot, hélas?
tu me perces le cœur.	tu me perces le cœur.
Comment?	Comment?
CORINNE.	CORINE.
MELICERTE.	MELICERTE.
Me mettre aux yeux que le ſort implacable, Auprés d’elles me rend trop peu conſiderable, Et qu’a moy par ſeur rang oil ies va prercrer, N’eſt-ce pas une idee à me deſeſperer?	Me mettre aux yeux que le sort implacable, Auprès d'elles me rend trop peu considérable, Et qu'a moi par sûr rang oïl jes va précrer, N'est-ce pas une idée à me désespérer?
ORINE.	ORINE.
Mais quoy?	Mais quoi?
je vous réponds & dis ce que je penſe.	je vous réponds et dis ce que je pense.
ME LICERTE.	ME LICERTE.
Ah, tu me fais mourir par ton indifference.	Ah, tu me fais mourir par ton indifférence.
Mais uy, queis fentanens Myrtn a til fait voir?	Mais Çui, queis fentanents Myrn a til fait voir?
Je neſçay.	Je nesçai.
CORINE.	CORINE.
clueller MELICERTE.	clueler MELICERTE.
Et c’eſt-là ce qu’il faloit ſçavoir,	Et c'est-là ce qu'il fallait sçavoir,
CORINE.	CORINE.
En verité, je ne ſçay comment faire, Et de tous les coſtez je trouve à vous déplaire.	En vérité, je ne sais comment faire, Et de tous les côtés je trouve à vous déplaire.
MELICERTE.	MELICERTE.
C’eſt que tu n’entres point dans tous les mouvemens D’un cœur helas, remply de tendres ſentimens.	C'est que tu n'entres point dans tous les mouvements D'un cœur hélas, rempli de tendres sentiments.
Va-t-ei laiſſe-moy ſeule en cette ſolitude Paſſer quelques momens de mon inquietude.	Va-t-éi laisse-moi seule en cette solitude Passer quelques moments de mon inquiétude.
SCENE II.	SCÈNE II.
M E LICERTE.	M E LICERTE.
V Ous le voyez, mon cœur, ce que c’eſt que d’aimer, Et Beliſe avoit ſçeu trop bien m’en informer.	V VOus le voyez, mon cœur, ce que c'est que d'aimer, Et Bélise avait su trop bien m'en informer.
Cette charmante mere avant ſa deſtinée, Me diſoit une fois ſur le bord du Pénée, Ma fille, ſonge à toy, l’amour aux jeunes cœurs Se preſente toûjours entouré de douceurs.	Cette charmante mère avant sa destinée, Me disait une fois sur le bord du Pénée, Ma fille, songe à toi, l'amour aux jeunes cœurs Se présente toujours entouré de douceurs.
D’abord il n’offre aux yeux que choſes agreables:	D'abord il n'offre aux yeux que choses agréables:
Mais il traiſne aprés luy des troubles effroyables.	Mais il traîne après avoir des troubles effroyables.
Et ſi tu veux paſſer tes jours dans quelque paix, Toûjours comme d’un mal défend-toy de ſes traits.	Et si tu veux passer tes jours dans quelque paix, Toujours comme d'un mal défend-toi de ses traits.
De ces leçons mon cœur, je m’eſtois ſouvenuë:	De ces leçons mon cœur, je m'étais souvenue:
Et quand Myrtil venoit à s’offiir à ma veuë, Qu’il joüoit avec moy, qu’il me rendoit des ſoins, Je vous diſois toûjours de vous y plaire moins;	Et quand Myril venait à s'offiir à ma vue, Qu'il jouait avec moi, qu'il me rendait des soins, Je vous disais toujours de vous y plaire moins;
Vous ne me creuſtes point, & vôtre complaiſance Se vit bien toſt changée en trop de bien-veillance.	Vous ne me crûtes point, et votre complaisance Se vit bien tôt changée en trop de bienveillance.
Dans ce naiſſant amour qui flatoit vos deſirs, Vous ne vous figuriez que joye & que plaiſirs:	Dans ce naissant amour qui flattait vos désirs, Vous ne vous figuriez que joie et que plaisirs:
Cependant vous voyez la cruelle diſgrace, Dont en ce triſte jour le deſtin vous menace, Et la peine mortelle où vous voila reduit.	Cependant vous voyez la cruelle disgrâce, Dont en ce triste jour le destin vous menace, Et la peine mortelle où vous voilà réduit.
Ah, mon cœur!	Ah, mon cœur!
ah, mon cœur!	ah, mon cœur!
je vous l’avois bien dit:	je vous l'avais bien dit:
Mais tenons, s’il ſe peut nôtre douleur couverte.	Mais tenons, s'il se peut notre douleur couverte.
Voicy.	Voici.
SCENE III.	SCÈNE III.
MYRTIL, MELICERTE.	MYRTIL, MELICERTE.
MVRTIL.	MURTIL.
’Ay fait tantoſt, charmante Melicerte, Un petit priſonnier que je garde pour vous, Et dont peut-eſtre un jour je deviendray jaloux.	’Ay fait tantost, charmante Melicerte, Un petit prisonnier que je garde pour vous, Et dont peut-estre un jour je deviendray jaloux.
C’eſt un jeune Moineau, qu’avec un ſoin extrême je veux pour vous l’offrir apprivoiſer moy même.	C'est un jeune Moineau, qu'avec un soin extrême je veux pour vous l'offrir apprivoiser moi -même.
Le preſent n’eſt pas grand;	Le présent n'est pas grand;
mais les divinitez Ne jettent leurs regards que ſur les volontez.	mais les divinités Ne jettent leurs regards que sur les volontés.
C’eſt le cœur qui fait tout, & jamais la richeſſe Des preſens que.	C'est le cœur qui fait tout, et jamais la richesse Des présents que.
Mais Ciel, d’où vient cette triſteſſe?	Mais Ciel, d'où vient cette tristesse?
Qu’avez-vous, Melicerte, & quel ſombre chagrin Seroit dans vos beaux yeux répandu ce matin?	Qu'avez-vous, Mélicerte, et quel sombre chagrin Serait dans vos beaux yeux répandu ce matin?
Vous ne répondez point?	Vous ne répondez point?
& ce morne ſilence Redouble encore ma peine & mon impatience.	et ce morne silence Redouble encore ma peine et mon impatience.
Parlez, de quel ennuy reſſentez vous les coups?	Parlez, de quel ennui ressentez vous les coups?
Qu’eſt ce donc?	Qu'est ce donc?
ai eiu le l a Ai Ce n’eſt rien.	ai eu le l a Ai Ce n'est rien.
MYRTIL.	MYRTIL.
Ce n’eſt rien, dites-vous?	Ce n'est rien, dites-vous?
Et je voy cependant vos yeux couverts delarmes, Cela s’accorde-t il, beauté pleine de charmes?	Et je vois cependant vos yeux couverts délarmes, Cela s'accorde-t -il, beauté pleine de charmes?
Ah, ne me faites point un ſecret dont je meurs, Beilr capaiquen, nerus.	Ah, ne me faites point un secret dont je meurs, Beilr capaiquen, nerus.
ce que uneneces pleurs.	ce que uneneces pleurs.
ME LICERTE.	ME LICERTE.
Rien ne me ſerviroit dé vous le faire entendre.	Rien ne me servirait dé vous le faire entendre.
MYRTIL.	MYRTIL.
Devez-vous rien avoir que je ne doive apprendre, Et ne bleſſez-vous pas notre amour aujourd’huy, De vouloir me voler ma part de vôtre ennuy?	Devez-vous rien avoir que je ne doive apprendre, Et ne blessez-vous pas notre amour aujourd'hui, De vouloir me voler ma part de votre ennui?
Ah.	Ah.
ne le cachez point à l’ardeur qui m’inſpire.	ne le cachez point à l'ardeur qui m'inspire.
MELICERTE.	MELICERTE.
Hé bien, Myrtil, hé bien, il faut donc vous le dire :	Hé bien, Myrtil, hé bien, il faut donc vous le dire :
J’ay ſçeu que par un choix plein de gloire pour vous, Eronene de mipmne vouoveuient pour Epoux:	J'ai su que par un choix plein de gloire pour vous, Erone de mipne vouoveuient pour Époux:
Et je vous avoüeray que j’ay cette foibleſſe, De n’avoir pû, Myrtil, le ſçavoir ſans triſtéſſe, Sans accuſer du ſort la rigoureuſe loy, Qui les rend dans leurs vœux préferables à moy.	Et je vous avouerai que j'ai cette faiblesse, De n'avoir pu, Myrtil, le savoir sans tristésse, Sans accuser du sort la rigoureuse loi, Qui les rend dans leurs vœux préférables à moi.
MYRTIL.	MYRTIL.
Et vous pouvez l’avoir cette injuſte triſteſſe, Vous pouvez ſoupçonner mon amour de roibleſſe, Et croire qu’engagé par des charmes ſi doux, Je puiſſe eſtre jamais à quelqu’autre qu’à vous?	Et vous pouvez l'avoir cette injuste tristesse, Vous pouvez soupçonner mon amour de roiblesse, Et croire qu'engagé par des charmes si doux, Je puisse être jamais à quelque autre qu'à vous?
Que je puiſſe accepter une autre main offerte?	Que je puisse accepter une autre main offerte?
Hé, que vous ay je fait, cruelle Melicerte?	Hé, que vous ai je fait, cruelle Mélicerte?
Pour traiter ma tendreſſe avec tant de rigueur, Et faire un jugement ſi mauvais de mon cœur?	Pour traiter ma tendresse avec tant de rigueur, Et faire un jugement si mauvais de mon cœur?
Quoy, faut il que de luy vous ayez quelque crainte;	Quoi, vous il que de soins vous ayez quelque crainte;
Je ſuis bien mal-heureux de ſouffrir cette atteinte:	Je suis bien malheureux de souffrir cette atteinte:
Et que me ſert d’aimer comme je fuis;	Et que me sert d'aimer comme je fuis;
nelas, Si vous eſtes ſi preſte à ne le croire pas.	nélas, Si vous êtes si prête à ne le croire pas.
MELICERTE.	MELICERTE.
Je pourrois moins, Myrtyl, redouter ces Rivales, Si les choſes eſtoient de part & d’autre égales.	Je pourrais moins, Myrtyl, redouter ces Rivales, Si les choses étaient de part et d'autre égales.
Et dans un rang pareil j’oſerois eſperer, Que peut eſtre l’Amour me feroit preferer:	Et dans un rang pareil j'oserais espérer, Que peut être l'Amour me ferait préférer:
Mais l’inégalité de bien & de naiſſance, Qui peut d’elles à moy faire la difference.	Mais l'inégalité de bien et de naissance, Qui peut d'elles à moi faire la différence.
MYRTIL.	MYRTIL.
Ah, leur rang de mon cœur ne viendra point à bout, Et vos divins appas vous tiennent lieu de tout.	Ah, leur rang de mon cœur ne viendra point à bout, Et vos divins appas vous tiennent lieu de tout.
Je vous aime, il ſuffit, & dans vôtre perſonne, Je voy Rang, Biens, Treſors, Etats, Sceptres, Couronne, Et des Rois les plus grands in’oirit on ie pouvoir, Je n’y changerois pas le bien de vous avoir.	Je vous aime, il suffit, et dans votre personne, Je vois Rang, Biens, Tresors, États, Sceptres, Couronne, Et des Rois les plus grands infinit on ie perds, Je n'y changerais pas le bien de vous avoir.
C’eſt une verité toute ſincere & pure, Et pouvoir en douter eſt me faire une injure.	C'est une vérité toute sincère et pure, Et pouvoir en douter est me faire une injure.
MELICERTE.	MELICERTE.
Hé bien, je croy, Myrtil, puis que vous le voulez, Que vos vœux par leur rang ne ſont point ébranlez, Et que bien qu’elles ſoient Nobles, riches & belles, Vôtre cœur m’aime aſſez pour me mieux aimer qu’elles:	Hé bien, je crois, Myril, puis que vous le voulez, Que vos vœux par leur rang ne sont point ébranlez, Et que bien qu'elles soient Nobles, riches et belles, Votre cœur m'aime assez pour me mieux aimer qu'elles:
Mais ce n’eſt pas d’Amour dont vous ſuivez la voix, Vôtre pere, Myrtil, reglera vôtre choix, Et de meſme qu’a vous je ne luy ſuis pas chere, Pour preferer à tout une ſimple Bergere.	Mais ce n'est pas d'Amour dont vous suivez la voix, Votre père, Myrtil, réglera votre choix, Et de même qu'à vous je ne lui suis pas chère, Pour préférer à tout une simple Bergère.
MYR	MIR
MYRTIL.	MYRTIL.
Non, chere Melicerte, il n’eſt pere ny Dieux Qui me puiſſent forcer à quiter vos beaux yeux, ut toûjours de mes vœux, Reyne commé vous eſtes.	Non, chère Mélicerte, il n'est père ni Dieux Qui me puissent forcer à quit vos beaux yeux, ut toujours de mes vœux, Reine commé vous êtes.
MELICERTE.	MELICERTE.
Ah, Myrtil, prenez garde à ce qu’icy vous faites, N’allez point preſenter un eſpoir à mon cœur, Qu’il recevroit peut-eſtre avec trop de douceur, Et qui tombant aprés comme un éclair qui paſſe, Me rendroit plus cruel le coup de ma diſgrace.	Ah, Myril, prenez garde à ce qu'ici vous faites, N'allez point présenter un espoir à mon cœur, Qu'il recevrait peut-être avec trop de douceur, Et qui tombant après comme un éclair qui passe, Me rendrait plus cruel le coup de ma disgrâce.
MYRTIL.	MYRTIL.
Quoy, faut- il des ſermens appeller le ſecours, Lors que l’on vous promet de vous aimer toûjours?	Quoi, faut- il des serments appeler le secours, Lors que l'on vous promet de vous aimer toujours?
Que vous vous faites tort par de telles alarmes, Et connoiſſez bien peu le pouvoir de vos charmes.	Que vous vous faites tort par de telles alarmes, Et connaissez bien peu le pouvoir de vos charmes.
Hé bien, puis qu’il le faut, je jure par les Dieux;	Hé bien, puis qu'il le faut, je jure par les Dieux;
Et ſi ce n’eſt aſſez, je jure par vos yeux, Qu’on me tuëra plûtoſt que je vous abandonne, Recevez-en icy la foy que je vous donne, Et ſouffrez que ma bouche avec farinemene, Sur cette belle main en ſigne le ſerment.	Et si ce n'est assez, je jure par vos yeux, Qu'on me tuera plutôt que je vous abandonne, Recevez-en ici la foi que je vous donne, Et souffrez que ma bouche avec farinemène, Sur cette belle main en signe le serment.
MRLICERTE.	MRLICERTE.
Ah, Myrtil, levez vous, de peur qu’on ne vous voye.	Ah, Myril, levez -vous, de peur qu'on ne vous voie.
MYRTIL.	MYRTIL.
Eſt-il rien.	Est-il rien.
Mais, ô Ciel, on vient troubler ma joye	Mais, ô Ciel, on vient troubler ma joie
SCENE IV.	SCÈNE IV.
LYCARSIS, MYRTIL, MELICERTE.	LYCARSIS, MYRTIL, MELICERTE.
AYCARSIS.	AYCARSIS.
E vous contraignez pas pour moy.	E vous contraignez pas pour moi.
MELICERTE.	MELICERTE.
Quel ſort fâcheux.	Quel sort fâcheux.
LYCARSIS.	LYCARSIS.
Cela ne va pas mal, continuez tousdeux.	Cela ne va pas mal, continuez tousdeux.
Peſte, mon petit fils, que vous avez l’air tendre, Et qu’en maiſtre déja vous ſçavez vous y prendre.	Peste, mon petit fils, que vous avez l'air tendre, Et qu'en maître déjà vous savez vous y prendre.
Vous a-t-il, ce ſçavant, qu’Athénes exila, Dans ſa Philoſophie appris ces choſes-là :	Vous a-t-il, ce pavant, qu'Athénes exila, Dans sa Philosophie appris ces choses-là :
Et vous qui luy donnez de ſi douce maniere Vôtre main à baiſer, la gentille Bergere, L’honneur vous apprend il ces mignardes douceurs, lui qui pous debatenenamit les jeunescœurs ?	Et vous qui avait donnez de si douce manière Votre main à baiser, la gentille Bergère, L'honneur vous apprend il ces mignardes douceurs, lui qui pous debatenenamit les jeunescœurs ?
MYRTIL.	MYRTIL.
An, quittez de ces mots l’outrageante baiſeſſe, Et ne m’accablez point d’un diſcours qui là bleſſe.	An, quittez de ces mots l'outrageante baisesse, Et ne m'accablez point d'un discours qui là blesse.
LYCARSIS.	LYCARSIS.
Je veux luy parler moy, toutes ces amitiez.	Je veux mieux parler moi, toutes ces amitiés.
MYRTIL.	MYRTIL.
Je ne ſouffriray point que vous la maltraitiez.	Je ne souffrirai point que vous la maltraitiez.
A du reſpect pour vous la naiſſance m’engage, Mais je ſçauray ſur moy vous punir de l’outrage:	À du respect pour vous la naissance m'engage, Mais je saurai sur moi vous punir de l'outrage:
Oüy, j’atteſte le Ciel, que ſi contre mes vœux, Vous luy dites encore le moindre mot fâcheux, Je vais avec ce fer, qui m’en fera juſtice, Au milieu de mon ſein vous chercher un ſupplice, Et par mon ſang verſé luy marquer promptement L’éclatant deſaveu de vôtreemportement.	Oui, j'atteste le Ciel, que si contre mes vœux, Vous avait dites encore le moindre mot fâcheux, Je vais avec ce fer, qui m'en fera justice, Au milieu de mon sein vous chercher un supplice, Et par mon sang versé quelque marquer promptement L'éclatant désaveu de votreemportement.
MELICERTE.	MELICERTE.
Non, non, ne croyez pas qu’avec art je l’enflâme, Et que mon deſſein ſoit de ſeduire ſon ame:	Non, non, ne croyez pas qu'avec art je l'enflamme, Et que mon dessein soit de séduire son âme:
s’il s’attache à me voir, & me veut quelque bien, C’eſt de ſon mouvement, je ne l’y force en rien.	s'il s'attache à me voir, et me veut quelque bien, C'est de son mouvement, je ne l'y force en rien.
De répondre à ſes vœux d’une ardeur aſſez tendre.	De répondre à ses vœux d'une ardeur assez tendre.
Je l’aime, je l’avoüe autant qu’on puiſſe aimer:	Je l'aime, je l'avoue autant qu'on puisse aimer:
Mais cet amour n’a rien qui vous doive alarmer, Et pour vous arracher toute injuſte créance, Je vous promets icy d’éviter ſa preſence;	Mais cet amour n'a rien qui vous doive alarmer, Et pour vous arracher toute injuste créance, Je vous promets ici d'éviter sa présence;
De faire place au choix où vous vous reſoudrez, Et ne lounin les vœux que quanu vous le voudrez.	De faire place au choix où vous vous résoudrez, Et ne lounin les vœux que quanu vous le voudrez.
SCENE V.	SCÈNE V.
LYCARSIS, MYRTIL.	LYCARSIS, MYRTIL.
MYRTIL.	MYRTIL.
T bien, vous triomphez avec cette retraite, «Et dans ces mots vôtre ame a ce qu’elle ſouhaite :	T bien, vous triomphez avec cette retraite, «Et dans ces mots votre âme a ce qu'elle souhaite :
Mais apprenez qu’en vain vous vous réjoüiſſez, Que vous ſerez trompé dans ce que vous penſez, Et qu’avec tous vosſoins, toute vôtre puiſſance, voarne gegnencanenlur Mapenevelaice.	Mais apprenez qu'en vain vous vous réjouissez, Que vous serez trompé dans ce que vous pensez, Et qu'avec tous vossoins, toute votre puissance, voarne gegnencanenlur Mapenevelaice.
LYCARSIS.	LYCARSIS.
Comment, à quel orgueil, fripon, vous vois-je aller?	Comment, à quel orgueil, fripon, vous vois-je aller?
Eſt-ce de la façon que l’on me doit parler?	Est-ce de la façon que l'on me doit parler?
MYRTIL.	MYRTIL.
