A	À
Sois libre.	Sois libre.
ORMIN.	ORMIN.
I'obeïs?	J'obéis?
qu'ay-ie promis, helas!	qu'ai-je promis, hélas!
Puis-ie’eſtre libre, amour, quand mon cœur ne l’eſt pas?	Puis-jeêtre libre, amour, quand mon cœur ne l'est pas?
Fin du premier Acte.	Fin du premier Acte.
Aore II SCENE PREMIERE.	Aore II CÈNE PREMIÈRE.
FATIME, ZAIDE, CHARIFE, MEDINE.	FATIME, ZAIDE, CHARIFE, MEDINE.
FATIME.	FATIME.
Entrez Zaide, il faut que les ceremonies De meſme qu’autrefois, d’entre vous ſoient Cun Duutes.	Entrez Zaide, il faut que les cérémonies Deâme qu'autrefois, d'entre vous soient Cun Dues.
Pourquoy voulez-vous prendre vn inutlle ſoint	Pourquoi voulez-vous prendre un inutlle soint
ZAIDE.	ZAIDE.
Puiſque vous le voulez, ie n’iray pas plus loin.	Puisque vous le voulez, votre n'irai pas plus loin.
FATIME.	FATIME.
Ie puis donc m'aſſeurer auant que ie vous quitte, quę vous empeſcherez qu’Adibar vous viſite, le vouslu, ceju ait, n i aymoicsoſciois s Mais ie ſçay qu’auiourd’huy vous luy donnez de;	Je puis donc m'assurer avant que je vous quitte, qu ' empêcherez qu'Adibar vous visite, le vouslu, ceju ait, y aymoicsosciois s Ais ie sçay qu'aujourd'hui vous lui donnez de;
loix;	lois;
Et i'ay lieu d’eſperer, s'il vous trouue inhumaine, Qu’il pourra retourner à ſa premiere chalne.	Et j'ai lieu d'espérer, s'il vous trouve inhumaine, Qu'il pourra retourner à sa première chalne.
ZAIDE.	ZAIDE.
Fatime, aſſeurés vous qu'il ſera rebuté, Son amour n'eſt pour moy qu'vne importunité;	Fatime, assurez -vous qu'il sera rebuté, Son amour n'est pour moi qu'une importunité;
Mais ſouuenez vous bien que ſi ie vous ſuis chete, Vous feindrez des bontez encore pour mon frere:	Mais souvenez vous bien que si ici vous suis chette, Vous feindrez des bontés encore pour mon frère:
De grace en ma faueur, tmec luy quelque eſpoir,	De grâce en ma faveur, tamciblé quelque espoir,
FATIME.	FATIME.
Adieu, ie vous promets de le mieux receuolre	Adieu, Seigneur vous promets de le mieux receuolre
SCENE II.	SCÈNE II.
MEDINES LATOE.	MÉDINES LATOE.
ZAIDE.	ZAIDE.
veuſssto de raume, ce de cete pliere, MEDINE.	veusssto de raume, ce de cettee plière, MEDINE.
Qu'Adibar eſt aymable!	Qu'Adibar est aimable!
ZAIDE.	ZAIDE.
Oüy, mais ie ſuis trop fiere Pour accepter vn cœur, qu’vn auire a ſurmonté, Ee dusicioie auey Pas la lencicie o Mais ſi i’oſois aymer.	Oui, mais je suis trop fière Pour accepter un cœur, qu'un avire a surmonté, Ee dusicioie auei Pas la lencicie ô Mais si j'osais aimer.
MEDINE.	MÉDINE.
Acheuez.	Achevez.
ZAIDE.	ZAIDE.
de Colo sulso d sescee Ah, Medine!	de Colo sulso d sescée Ah, Médine!
MEDINEi Etiigy, le iç ocume, L’amour vous a touchée, & i’ay lieu de iuger, Que c’eſt pour Almanſor, cet aymable Eſtranger.	MÉDINÉj Etiigi, le juger ocume, L'amour vous a touchée, et j'ai lieu de juger, Que c'est pour Almandor, cet aimable Étranger.
ZAIDE.	ZAIDE.
Moy, de l'amour pour luy?	Moi, de l'amour pour lui?
MEDINE.	MÉDINE.
Pourquoy-non, eſt-ce vn crime?	Pourquoi-non, est-ce un crime?
ZAIDE.	ZAIDE.
N’appelle point amour, ce qui n’eſt rien qu’eſtime.	N'appelle point amour, ce qui n'est rien qu'estime.
MEDINE.	MÉDINE.
Dans l'eſtime cc l'Amout, on void tant de rapport, Qu’on les prend l’vn pour l’autre, & qu’on s’y trompe fort.	Dans l'estime ç 'Amout, on voit tant de rapport, Qu'on les prend l'un pour l'autre, et qu'on s'y trompe fort.
ZAIDE.	ZAIDE.
Ie doit me ſouuenir qu’en ſon dernier voyage;	Je doit me souvenir qu'en son dernier voyage;
Monfrere a dans Alger conclud mon Mariage, Que mon nouuel Amant doit bien-toſt arriuer;	Monfre a dans Alger conclud mon Mariage, Que mon nueel Amant doit bientôt arriver;
Et que mon cœur ſe doit pour luy ſeul reſeruer, De plus à ton aduis, pouroit-ie ſans ſoibleſſe, Aymer cét eſtranges, que mon frere careſſe!	Et que mon cœur se doit pour avoir seul réserver, De plus à ton avis, pourrait-je sans soiblesse, Aimer cet étranges, que mon frère caresse!
Mais qui depuis vn mois en ces lieux eſt venu, Et de qui le merite encor m’eſt inconnu.	Mais qui depuis un mois en ces lieux est venu, Et de qui le mérite encor m'est inconnu.
MEDINE.	MÉDINE.
Puiſque cét Eſtranger qui n’eſt pas du vulgaire, Merite de ſe voir l’amy de voſtie frere, L'on peur auec raiſon croire qu’aſſurément, Il doit bien meriter d’eſtre auſſi voſtre Amant;	Puisque cet Étranger qui n'est pas du vulgaire, Mérite de se voir l'ami de vostie frère, L'on peur avec raison croire qu'assurément, Il doit bien mériter d'être aussi votre Amant;
Et i’ignore pourquoy voſtre bouche veut taire La flame qui pour luy dans vos yeux eſt ſi elaire Lo qu’apce vonte neten vieue vous viſiter, Nos regards ſur luy ſeul ſemblent tous s’arreſtet;	Et j'ignore pourquoi votre bouche veut taire La flamme qui pour lui dans vos yeux est si elaire Lo qu'apce vonte neten vieue vous visiter, Nos regards sur un seul semblent tous s'arrêtet;
Et dans le melme muant, l’ay mmle lois prit garde, Qu'auec la meſme ardeur l’eſtranger vous regarde,	Et dans le melme muant, l'ai même lois prit garde, Qu'avec la même ardeur l'étranger vous regarde,
ZAIDE.	ZAIDE.
Tout de bon, l'as-tu veu ſouuent me regarder?	Tout de bon, l'as-tu vu souvent me regarder?
MEDINE.	MÉDINE.
Vous prenez bien du ſoin de me le demander!	Vous prenez bien du soin de me le demander!
vona plus de cent iois ucpuis vneneeie endese, Que vous m’interrogez deſſus cette matiere;	vona plus de cent jois ucpuis vneneeie endes, Que vous m'interrogez dessus cette matière;
Et ſans doute à vous voir curieuſe à tel point, Ie croy que ſes regards ne vous déplaiſent point, Et que vous y ſerez ſans peine accouſtumée,	Et sans doute à vous voir curieuse à tel point, Je crois que ses regards ne vous déplaisent point, Et que vous y serez sans peine accoutumée,
ZAIDE.	ZAIDE.
Helas, peut.	Hélas, peut.
on iamais s'offencei d’eſtre aymée!	on jamais s'offense d'être aimée!
MEDINE.	MÉDINE.
Si ſon amour vous plaiſt, ie penſe qu'ayſement Sa perſonne pourra vous plaire egalement,	Si son amour vous plaît, ie pense qu'aisément Sa personne pourra vous plaire également,
ZAIDE.	ZAIDE.
c'eſt ſans attachement que ie le conſidere, Peut-eſtre il ayme ailleurs, & ie puis luy déplai, 1e.	c'est sans attachement que personne le considère, Peut-être il aime ailleurs, et ie puis quelque déplai, 1e.
MEDINE.	MÉDINE.
rma mal-gré vous met voſtre hauieud lour.	rma malgré vous met votre hauieud lour.
Touſiours la ialouſie eſt fille de l'amour.	Toujours la jalousie est fille de l'amour.
ZAIDE.	ZAIDE.
Pleuſt au Ciel qu'il fuſt libre & qu’il me trouuaſt belle:	Plût au Ciel qu'il fût libre et qu'il me trouvât belle:
Mais ie le voy ſortir du logis de Gomelle:	Mais ie le vois sortir du logis de Gomèle:
Ie veux ſonder ſon ame & me deſabuſes, Ie vay ſur ce gazon feludre de repoſer,	Je veux sonder son âme et me désabuses, Je vais sur ce gazon feludre de reposer,
Sto de u les duc.	Sto de u les duc.
Comment, pour quel deſſein t i’ay peine à le comiprendre.	Comment, pour quel dessein t 'ai peine à le comiprendre.
ZMIDE.	ZMIDE.
Elolgne.	Élolgne.
toy, tantoſt tu le pourras apprendre.	toi, tantôt tu le pourras apprendre.
SCENE III.	SCÈNE III.
ALMANZOR, ZAIDE.	ÀLMANZOR, ZAIDE.
AEMANSOR.	AEMANSOR.
Omelle eſt en viſite attendant ſon retour;	Omelle est en visite attendant son retour;
¶IIt puis icy réuer;	¶IIt puis icy réuer;
à ma nouuelle amour O Uel, ue voy.	à ma nouvelle amour OÙ ma nue vois.
je pas deſſous cejte verdure L’A or:	je pas dessous cète verdure L'A or:
ble ſuiet des peihes que i'endurc[ Dans es rencontre amour ſemble aſſez me flatter, C’eſt l'aymable zaide, il n’en ſaut point douter.	blé sujet des péihes que j'endurc[ Dans es contre amour semble assez me flatter, C'est l'aimable zaide, il n'en saut point douter.
Auec tranquilité, cette belle repoſs, Tandis que ie languis du mal qu’elle me cauſe;	Avec tranquillité, cette belle reposs, Tandis que ici languis du mal qu'elle me cause;
40 La Geuetcuſe Iogratitude Elle ne peut ſant doute à preſent m'écouter;	40 La Geuetcuse Jogratitude Elle ne peut sant doute à présent m'écouter;
Et ie puis luy parles d’amour ſans l'irritez:	Et ici puis que parles d'amour sans l'irrités:
Mais helas!	Mais hélas!
de mon ſort la rigueur eſt bien grande:	de mon sort la rigueur est bien grande:
Lors que i’oſe parler le crains que l’on m’entende, vous qui m'auez apris l’vſage des ſoûpirs, Cher Obiet de ma ioye & de mes déplaiſirs:	Lors que j'ose parler le crains que l'on m'entende, vous qui m'avez appris l'usage des soupirs, Cher Obiet de ma joie et de mes déplaisirs:
Permettez que mon ame amoureuſe & diſcrete, Exprime deuant vous ſa paſſion ſecrette, Et s'oſe plaindre icy de cent maux endurez, Que vous auez ſait naiſtre & que vous ignorez;	Permettez que mon âme amoureuse et discrète, Exprime devant vous sa passion secrète, Et s'ose plaindre ici de cent maux endurez, Que vous avez sait naître et que vous ignorez;
Et vous de tous mes feux ſources toutes brillantes, Qù i'ay pris des ardeurs qui ſont ſi violentes Beaux yeux charmans autheurs de ma captluité, Iouy ſſez du repos que vous m'auez oſté!	Et vous de tous mes feux sources toutes brillantes, Qù j'ai pris des ardeurs qui sont si violentes Beaux yeux charmants auteurs de ma captluité, Joui ssez du repos que vous m'avez ôté!
Et parruy les pauots qui ferment vos paupiers Ne vous oftencez pas de perdie vos lumieres, L’Aſtre leplus brillant ne s’en peur diſpenſer, Et ſouuent comme vous on les void éclipſer,	Et parrui les pauls qui ferment vos paupiers Ne vous offtencez pas de perdie vos lumières, L'Astre leplus brillant ne s'en peur dispenser, Et souvent comme vous on les voit éclipser,
Simamiol.	Simamiol.
ZAIDE faiſant la réueuſe,	ZAIDE faisant la révueuse,
ALMANSOR.	ÀLMANSOR.
Elle réue.	Elle réue.
ZAIDE.	ZAIDE.
Ah, rigoureux martire!	Ah, rigoureux martyre!
De languir, de brûler, & de n’oſer le dire!	De languir, de brûler, et de n'oser le dire!
Helas!	Hélas!
ALMANSOR.	ÀLMANSOR.
du entendsle, oeſns	du entendsle, oesns
ZAIDE.	ZAIDE.
Nous ſentons meſme ardeur.	Nous sentons même ardeur.
SOR.	SOR.
que n’eſt.	que n'est.
Il vray, Zaide?	Il vrai, Zaide?
ZAIDE.	ZAIDE.
Excuſe ma pudeur.	Excuse ma pudeur.
ALMANEPESS O ſommell fauorable!	ÀLMANEPESS Ô sommel favorable!
ZAIDE	ZAIDE
ZAIDE.	ZAIDE.
O cruelles contralntes!	Ô cruelles contralntes!
Quand ſerons nous contens, quand finiront nos maintes.	Quand serons nous contents, quand finiront nos maintes.
ALMANSOR.	ÀLMANSOR.
Dans mon rauiſſement tout mes reſpects ſont vains;	Dans mon ravissement tout mes respects sont vains;
Pour la remercler baiſons ſes belles mains.	Pour la remercler baisons ses belles mains.
asdode La a duveses.	asdode La a duves.
Atreſtez inſoleut d’où vous vient cét audacel	Atrestez insolut d'où vous vient cet audacel
ALMANSOR.	ÀLMANSOR.
Qu’ay-ie fait mal-heureux, i’alois vous rendie grace.	Qu'ai-je fait malheureux, j'alois vous rendie grâce.
Dequoyt.	Dequoyt.
ZAIDE.	ZAIDE.
AEMANSOR.	AEMANSOR.
De vos bontez ?	De vos bontés ?
ZAIDE.	ZAIDE.
Ie ne ſçay pas comment, I'ay peu donnes matlere à ce remerelement, Quiconque aura voulu conſulter l’apparence, Sçaura que ſ'ay pour vous beaucoup d'indifference, Mais qu’en l’en aurois molns, ſeroit.	Je ne sais pas comment, J'ai pu donnes matle à ce remèrelement, Quiconque aura voulu consulter l'apparence, Saura que s'ai pour vous beaucoup d'indifférence, Mais qu'en en aurais molns, serait.
il à propos, Pour me remercler de troubler mon repos.	il à propos, Pour me remercler de troubler mon repos.
A LMENSOR.	À LMENSOR.
Excuſez mon tranſport, Bergere trop aymable, si i'auois moins aymé le ſerois moins coupable, Dans cette occaſion vn Amant eirconſped Euſt ſait voir peu d’amour monſtrant trop de reſpect;	Excusez mon transport, Bergère trop aimable, si j'avais moins aimé le serais moins coupable, Dans cette occasion un Amant eirconspéd Eust sait voir peu d'amour montrant trop de respect;
Et tel que ſoit mon crime, & Beauté que l'adore, Il ſeroit pardonné, ſi vous dormiez encore?	Et tel que soit mon crime, et Beauté que l'adore, Il serait pardonné, si vous dormiez encore?
Mais, helas mon bon-heur ſe voit bien toſt chanVous ne vous éueillez qu’afin de m'affliger, Vos yeux en reprenant leur grace & leur lumiere, Repronent tout d’vn temps leur fierté couſtumierez Et le charmant eſpoir dont i’ay ſi peu iouy Aues voſtre ſommeil ſe trouue euanouy.	Mais, hélas mon bonheur se voit bien tôt chanVous ne vous éveillez qu'afin de m'affliger, Vos yeux en reprenant leur grâce et leur lumière, Repronent tout d'un temps leur fierté coutumierez Et le charmant espoir dont j'ai si peu jou Aues votre sommeil se trouve évanoui.
	
ZAIDE.	ZAIDE.
Vous vous expliquez mal:	Vous vous expliquez mal:
ce mot d’eſpoit m’eſtonne, Ie n'en donne ſamais ny n’en oite à perſonne.	ce mot d'espoit m'étonne, Je n'en donne samais ni n'en oite à personne.
ALMANSOR.	ÀLMANSOR.
Si meſme à vos diſcours i'oſois adiouſter foy Du moins n’aurlez vous pas d’auerſion pour moy:	Si même à vos discours j'osais ajouter foi Du moins n'aurlez -vous pas d'aversion pour moi:
Rien ne ſeroit egal à ma bonne Fortune, Vous ne treuueriez polut ma preſence lmportune, Ie ſerois mieux feceu, le ſerois eſtimé;	Rien ne serait égal à ma bonne Fortune, Vous ne trouveriez polut ma présence lmportune, Je serais mieux sécu, le serais estimé;
Et poſſible	Et possible
ARIOGe.	ARIOGe.
Acheuez.	Achevez.
ALMANSOR.	ÀLMANSOR.
Ie poutrois eſtre aymé.	Je poutrais être aimé.
EAIOE.	EAIOE.
Aymé, ſi c’eſt de moy, vous pourrlez vous méprendre.	Aymé, si c'est de moi, vous pourrlez -vous méprendre.
ALMANSOR.	ÀLMANSOR.
Vous m’auez fait pourtant l'honneur de ine l’apprendre, I'ay place en voſtre cœur ſi l'en croy voſtre voix, Vous eſtes mon témoin & mon iuge à la ſois.	Vous m'avez fait pourtant l'honneur de ine l'apprendre, J'ai place en votre cœur si l'en cro vôtre voix, Vous êtes mon témoin et mon juge à la sois.
Ne déſauoſez point cét areſt fauorable, Cét Qracle ſorty d’yne bouche adorable, Ces mots remplis de charme endormant prononcez Qui m’ont promis des biens qui ſont ſi-toſt paſſez.	Ne désauosez point cet arêt favorable, Cet Qracle sorti d'yne bouche adorable, Ces mots remplis de charme endormant prononcez Qui m'ont promis des bien qui sont si-tôt passés.
ZAIDE.	ZAIDE.
Ie réuois, Almanſor, & vous ſçauez qu'vn ſonge Eſt ſouuent vn trompeur & touſiours vn menſonge.	Je rêvais, Almandsor, et vous savez qu'un songe Est souvent un trompeur et toujours un mensonge.
ALMANSOR.	ÀLMANSOR.
oüy, ma gloire eſt vn ſonge ainſi que vos bontez;	oui, ma gloire est un songe ainsi que vos bontés;
Mais i'ay des paſſions qui ſont des verltez, Ma flame dans mes yeux vous a paru trop claite, Pour la pouuoir cacher à force de la taire, 2u Et l'ingrate ſroideur que vous me faites voir, N’eſtelnt pas mon amour ainſi que mon eſpoir.	Mais j'ai des passions qui sont des verlés, Ma flamme dans mes yeux vous a paru trop claite, Pour la pouvoir cacher à force de la taire, 2u Et l'ingrate sroideur que vous me faites voir, N'estelnt pas mon amour ainsi que mon espoir.
ZAIDE.	ZAIDE.
Cette amour vient fort tard & i'en ſuls affligée, vous içadez oſen qu’ameuis le me Moude engagée.	Cette amour vient fort tard et j'en suls affligée, vous içadez osen qu'ameuis le me Moude engagée.
ALMANSOR.	ÀLMANSOR.
oüy, ie ſçay qu’vn Amant fauoriſé des Cieux, Vous doit bien-toſt venir enleuer à mes yeux, Ie ſçay qu’il vous eſt cher, meſme auant qu’il vous voye Ie ne troubleray point vos plaiſirs ny ſa joye, Tel que ſoit ſon bou-heur ie pretends le ſouffrlr, sans me plaindre de vous;	oui, Seigneur sais qu'une Amant favorisé des Cieux, Vous doit bientôt venir enlever à mes yeux, Je sais qu'il vous est cher, même avant qu'il vous voie Je ne troublerai point vos plaisirs ni sa joie, Tel que soit son bouheur votre prétends le souffrleur, sans me plaindre de vous;
mais non pas sãs mourir.	mais non pas sãs mourir.
Dés que vous partirez pour le fatal voyage Où ſe doit accomplir voſtre heureux marlage, Sçachez qu’au meſme inſtant dans l’excez de mon deuil, vousne vence paus pour aueraa ceiceuir, Où les reſtes du feu qui m'y fera deſcendre, Apres ma mort encore echaufferont ma cendre.	Dès que vous partirez pour le fatal voyage Où se doit accomplir votre heureux marlage, Sachez qu'au même instant dans l'excès de mon deuil, vousne vence paus pour avéra ceiceuir, Où les restes du feu qui m'y fera descendre, Après ma mort encore échaufferont ma cendre.
ZAIDE.	ZAIDE.
La fortune vous doit vn ſort beaucoup plus doux,	La fortune vous doit un sort beaucoup plus doux,
de d la sesaepiss.	de la sesaépiss.
Mon bon ou mauuais ſort ne dépend que de vous, vneladeera Mleuisme ſetoicimportone s Enfin ie vous adore, & non pat là fortune.	Mon bon ou mauvais sort ne dépend que de vous, uneladevera Mleuisme sétoicimportone s Enfin ie vous adore, et non pat là fortune.
ZAIDE.	ZAIDE.
Qu'attendez vous de moy, dans l'eſtat où ie ſuis?	Qu'attendez -vous de moi, dans l'état où tu suis?
ALMANS OL.	ÀLMANS OL.
D'immortelles ardeurs & d’éternels ennuis, Ie doit touſiours aymer ſans eſpoir que l’õ m’ayme.	D'immortelles ardeurs et d'éternels ennuis, Je doit toujours aimer sans espoir que l'on m'aime.
EMIDE.	EMIDE.
Quiconque ayme beaucoup, peut eſperer de meſme.	Quiconque aime beaucoup, peut espérer de même.
ALMANJOR.	ÀLMANJOR.
Quoy, pourrois.	Quoi, pourrais.
ie eſperer d’eſtre vn iour mieux traité?	Elle espérer d'être un jour mieux traité?
,	,
ZAIDE.	ZAIDE.
Conſultez Ià deſſus voſtre fidelité.	Consultez Ià dessus votre fidélité.
ALMANSOR.	ÀLMANSOR.
Voſtre ame pour aymer paroiſt trop inſenſible,	Votre âme pour aimer paraît trop insensible,
ZAIDE.	ZAIDE.
Vn Amant bien conſtant peut faire l'impoſſible, Et le premier reſus ne doit pas eſtonner Quiconque a de l’amour, aſſez pour en donner,	Un Amant bien constant peut faire l'impossible, Et le premier ressus ne doit pas étonner Quiconque a de l'amour, assez pour en donner,
AL'MANSOR, Ah, c’eſt m’en dire aſſez!	ÀL'MANSOR, Ah, c'est m'en dire assez!
ZAIDE.	ZAIDE.
ne tan conout me monte, Ie n’en ay que trop dit & i’en rougis de honte.	ne tan conout me monte, Je n'en ai que trop dit et j'en rougis de honte.
AEMARSOR.	AEMARSOR.
Cét adueu glorieux me rend trop ſatisfait.	Cet aveu glorieux me rend trop satisfait.
ZAIDE.	ZAIDE.
Les ſonges quelquerfois ne ſont pas ſans eſſet:	Les songes quelquerfois ne sont pas sans esset:
Mais deſia le soleil acheue ſa carriere, R'émtrens poul Mnecunn cente ceuemcnie;	Mais déjà le soleil achève sa carrière, Reyne poul Mnecunn cente ceuemcnie;
Ie crains cet importun.	Je crains cet importun.
SCENE IV.	SCÈNE IV.
Mbiniaiey milinn, alhmhSOR.	Mbiniaiei milinn, alhmhSOR.
ADIBAR.	ADIBAR.
SAns paroiſtre trop vain;	SAns paraître trop vain;
Puis-le eſperer l'honneur de vous donner la main, L’vne vous reſte libre, oſetay-ie la prendre.	Puis-le espérer l'honneur de vous donner la main, L'une vous reste libre, osetai-je la prendre.
ZAIDE.	ZAIDE.
I'ay peu beſoin des ſoins que vous me voulez rendre,	J'ai peu besoin des soins que vous me voulez rendre,
ADIBAR.	ADIBAR.
Ma condulte vaut bien celle d’vn Eſtranger.	Ma condulte vaut bien celle d'une Étranger.
ZAIDE!	ZAIDE!
ZAIDE.	ZAIDE.
vous pourmez me depianeen peuant m'obliges,	vous pourmez me dépianeen peuant m'obliges,
ADIBAR.	ADIBAR.
Le Prophete qui ſçait combien ie vous réuere, Connoiſt bien à quel point ie crains voſtre colere, Et les ſoins que ie prends, vous doiuent aſſeurer Que le ne viensrey que pour vousmonorer, Puis-ie vous dire à part vn ſecret d’importancer	Le Prophète qui sait combien je vous révère, Connaît bien à quel point apprendre crains vôtre colère, Et les soins que ie prends, vous doivent assurer Que le ne viensrey que pour vousémonorer, Puis-je vous dire à part un secret d'importancer
ZAIDE.	ZAIDE.
Rien ne m'eſt important comme la bien-ſeance, Qui ne peut me permettre au iugement de tous D'écouter des ſecrets d'vn homme et que vous,	Rien ne m'est important comme la bienséance, Qui ne peut me permettre au jugement de tous D'écouter des secrets d'un homme et que vous,
ADIBAR.	ADIBAR.
le ne Gemuncerien que ce qu’ocdent vnautle.	le ne Gemuncérien que ce qu'ocdent vnautle.
ZAIDE, Son entretien me plaiſt, & ie hay fort le voſtre.	ZAIDE, Son entretien me plaît, et ici ha fort le vôtre.
ALMANSOR.	ÀLMANSOR.
Vous prenez malle temps pour conter vos ſecrets, L’Amour n’eſt pas ſouuent propice aux indiſcretz 141 Mmsieise jle voitre cikcurrcipsime, Eſt vn mauuais moyen pour gagner de l’eſtime.	Vous prenez malle temps pour conter vos secrets, L'Amour n'est pas souvent propice aux indiscrets 141 Mmsise jelle voitre cikcurrcipsime, Est un mauvais moyen pour gagner de l'estime.
ADIDARe Ie ne ſuis pas icy pour prendre vos leçons.	ADIDARe Je ne suis pas ici pour prendre vos leçons.
ALMANSOR.	ÀLMANSOR.
I’en fais à vos parells de toutes les façons.	J'en fais à vos parells de toutes les façons.
ADIBAR.	ADIBAR.
Ce grand emportement vous conuaine & m’ereuſe De l’inciuite dont vouseesseur m'aceuie, Vn homme mieux inſtruit, de peur d’eſtre ſuſpect, Se ſeroit retiré pour marquer ſonreſpect, Vous eſtes fort groſſier, mais auec indulgence, On doit d’vn Eſtranger ſupporter l’ignorance.	Ce grand emportement vous convaine et m'ereuse De l'incite dont vouseesseur m'acvie, Un homme mieux instruit, de peur d'être suspect, Se serait retiré pour marquer sonrespect, Vous êtes fort grossier, mais avec indulgence, On doit d'un Étranger supporter l'ignorance.
DATE.	DATE.
Vous auez les deffauts qu’en luy vous condamnez, Cét Eſtranger m’oblige, & vous m’importunez	Vous avez les défauts qu'en lui vous condamnés, Cet Étranger m'oblige, et vous m'importunez
ADIBAR.	ADIBAR.
Voſtre main toutesfois luy deuroit eſtre oſtée:	Votre main toutefois Seigneur devrait être ôtée:
ALMANSOR.	ÀLMANSOR.
VouxIcriez en quuger nicr auois quaitéc.	VouxIcriez en quuger nicr avais quaitéc.
ADIBAR.	ADIBAR.
Vous pourriez la quities pour courir à la mort.	Vous pourriez la quities pour courir à la mort.
ALMANSOR.	ÀLMANSOR.
Ie reſpecte Zaide, & vous mépriſe fort.	Je respecte Zaide, et vous méprise fort.
ADIBAR.	ADIBAR.
oi le meite leippces a uirescone mite vcugeauce, Le chaſtiment de pres ſuiuroit voſtre inſolence.	oi le mite lipces a uirescone mite vcugeauce, Le châtiment de pres suivrait votre insolence.
&AIDE quittant la main d’Almanſor.	ETAIDE quittant la main d'Almands.
Ces mouuements ſi prompts, & ſi fort éclattants Doiuent eſtre pour moy de mauuais paſſe.	Ces mouvements si prompts, et si fort éclattants Doivent avoir pour moi de mauvais passe.
temps;	temps;
Et ie reconnois bien par cette violence, qu’aucun ne me reſpecte, & que chacun m’offence,	Et ici reconnais bien par cette violence, qu'aucun ne me respecte, et que chacun m'offense,
ALMANSOR.	ÀLMANSOR.
Quoy, ſuiuant ſes delirs vous m’oſtez voſtre main?	Quoi, suivant ses délirs vous m'ôtez votre main?
Mon Riual trop content va deuenir trop vain, Deuez vous m’outrager à deſſein de luy plaire?	Mon Rival trop content va devenir trop vain, Devez -vous m'outrager à dessein de M plaire?
ZAIDE.	ZAIDE.
Et par quel droit auſſi, dois.	Et par quel droit aussi, dois.
ie vous ſatisfaires	ici vous satisfaires
ADIBAR.	ADIBAR.
Madame, en ma ſaueur ne vous contraignez pas?	Madame, en ma saveur ne vous contraignez pas?
Ie ſçay qui de nous deux, pour vous a plus d’appas.	Je sais qui de nous deux, pour vous a plus d'appas.
Ie luy cede en bon-heur, & peut-eſtre en merlte, Son entretien vous plaiſt, & le mien vous irrite, De cette verité ie ne puis ignorer Pour ne vous troubler pas ie vay me retirer, Mon reſpect eſt plus fort que n’eſt la ialouſie Dont mon ame amoureuſe eſt iuſtement ſaiſie;	Je lui cede en bonheur, et peut-être en merlte, Son entretien vous plaît, et le mien vous irrite, De cette vérité ie ne puis ignorer Pour ne vous troubler pas ie sans me retirer, Mon respect est plus fort que n'est la jalousie Dont mon âme amoureuse est justement saisie;
Et mes reſſentimens pour vous ſeront forcez, Iuſ jues à me haïr, ſi vous me haïſſez, Que mon riual ſans trouble icy vous entretienne, Aux dépens de ma ioye eſtabliſſez la ſienne:	Et mes ressentiments pour vous seront forcés, Jus jues à me haïr, si vous me haïssez, Que mon rival sans trouble ici vous entretienne, Aux dépens de ma joie établissez la sienne:
Mais ſongez qu’Adibar qui vous quitte à regtet;	Mais songez qu'Adibar qui vous quitte à regtet;
s’il n’eſt le plus aymé, n’eſt pas le moins diſcret.	s'il n'est le plus aimé, n'est pas le moins discret.
Adibar, reuenez!	Adibar, revenez!
ZAIDE.	ZAIDE.
ADIBAR.	ADIBAR.
mion uepait vous oonge?	myon ait vous oonge?
ZAIDE.	ZAIDE.
Non, ſi vous m'eſtimez, vous reuiendrez, vous.	Non, si vous m'estimez, vous reviendrez, vous.
dis-ie, 1 er des ſoupçons à ma gloire oppoſez.	dis-je, 1 er des soupçons à ma gloire opposez.
Donnez-moy voſtre main, & me reconduiſez:	Donnez-moi votre main, et me reconduisez:
MDlAleson.	MDlAleson.
Ah, ie ne puis ſouffrir cette iniure inhumaine!	Ah, Seigneur ne puis souffrir cette injure inhumaine!
AAIDE.	ÀAIDE.
Almanſor, demeurez ſut peine de ma haine!	Almandor, demeurez sut peine de ma haine!
ALMANSOR.	ÀLMANSOR.
Eſcoutez quatre mots.	Écoutez quatre mots.
ZAIDE.	ZAIDE.
neeclene poeem cutecorr;	neclène poènem cutecorr;
I'écoute la raiſon, & ie ſuy mon deuoir,	J'écoute la raison, et ieroute mon devoir,
SCENE V ALMANSOR.	SCÈNE V ALMANSOR.
Vel coup de foudre, 6 Ciel contre toute apparence!	Vel coup de foudre, 6 Ciel contre toute apparence!
Vient deſtruire ma ioye auee mon eſperance?	Vient détruire ma joie auée mon espérance?
I’éeoute la raiſon, & ie ſuy mon deuoir.	J'éeoute la raison, et ie suis mon devoir.
Ma conſtance, à ces mots, cede à mon deſeſpoir;	Ma constance, à ces mots, cède à mon désespoir;
Et ie ſuy mon deuoir, non cruelle zaide, En ſuiuant Adibar, c’eſt l'amour qui vous guide:	Et petit suis mon devoir, non cruelle zaide, En suivant Adibar, c'est l'amour qui vous guide:
Mais quoy?	Mais quoi?
peut- eſtre auſſi que ie me plains à tort, Poſſible en me quittant elle ſe fait effort;	peut- être aussi que personne me plains à tort, Possible en me quittant elle se fait effort;
Et donne à mon Rlual icy la preference Pour oſter tout ſoupçon de noſtre intelligence;	Et donne à mon Rlual ici la préférence Pour ôter tout soupçon de notre intelligence;
