AV ROT.	AU ROT.
MIRAME.	MIRAME.
Leuez vous, Arimant.	Levez -vous, Arimant.
ARIMANT.	ARIMANT.
Souffiez moy.	Souffiez -moi.
MIRAME.	MIRAME.
Ie ne puie.	Je ne puie.
AR IMANT.	AR IMANT.
ur laure miex Pleſtat ou ie ſuis que mon amour, mon reſpect me l’ordonne,	ur la murex Plestat où je suis que mon amour, mon respect me l'ordonne,
MIRAME.	MIRAME.
Prince, voulez-vous que je vous abandonne?	Prince, voulez-vous que je vous abandonne?
ous me deſplaire, & ne m’obeir pas?	ous me déplaire, et ne m'obéir pas?
ARIMANT.	ARIMANT.
mhiSE Princeſſe.	mhiSE Princesse.
ah!	ah!
pluſtoſt le treſpad ne je vous obeïs.	plutôt le trépad ne je vous obéisse.
MIRAME.	MIRAME.
Quelle oauſe foudains tant de vaiſſeaux à nos bordi vous amcine?	Quelle occause soudains tant de vaisseaux à nos bordi vous amcine?
ARIMANT.	ARIMANT.
A peut vous apporter en triomphe moa cœur:	À peut vous apporter en triomphe moa cœur:
our faire que du Roy mon amour ſoit vainqueus:	our faire que du Roi mon amour soit vainquus:
us auoir de ſon gré, ſinon à ſorce ouuerte.	Vous avoir de son gré, sinon à sorce ouverte.
iin je viens chercher mon bon-heur ou ma perte.	jin je viens chercher mon bonheur ou ma perte.
mourir à vos yeux, ou bien vous enleuer , n force d’amour vous porte à l’approuuer.	mourir à vos yeux, ou bien vous enlever , n force d'amour vous porte à l'approuver.
11 MIRAME.	11 MIRAME.
ince, vous m’obligez & m’offencer enſemble.	ince, vous m'obligez et m'offenser ensemble.
veux bien voſtre cœur, & qu’Hymen nous aſſemble, uoy que tout l’Vniuers puiſſe penſer de moy.	veux bien votre cœur, et qu'Hymen nous assemble, que tout Vniuers puisse penser de moi.
ai, m’enleuer par force à mon Pere, à mon Roy, eſt choſe injurieuſe à mon Pere, à moy meſme.	ai, m'enlever par force à mon Père, à mon Roi, est chose injurieuse à mon Père, à moi -même.
on cœur ayme l’honpeur, tout autant qu’il vous aymes	on cœur aime l'honpeur, tout autant qu'il vous aimes
ARIMANT.	ARIMANT.
Encore que des Roys ſoient autheurs de mon ſans Tout mon eſpoir s’eſleint, penſant à voſtre rang Mais par mon ſeul amour mon eſpoir reſſuſcite!	Encore que des Rois soient auteurs de mon sans Tout mon espoir s'éleint, pensant à votre rang Mais par mon seul amour mon espoir ressuscite!
Car l’excés en amour fait l’excés du mente.	Car l'excès en amour fait l'excès du mente.
Vn Pere ne veut pas que je ſois voſtre eſpoux:	Un Père ne veut pas que je sois votre époux:
Mais Amour qui le veut eſt le pere de tous.	Mais Amour qui le veut est le père de tous.
La violence eſt propre au Dieu qui nous anime, Et porte en meſme temps l’excuſe auec le crime.	La violence est propre au Dieu qui nous anime, Et porte en même temps l'excuse avec le crime.
Ses ſeux ſentis de tous, ſont de tous approuuez ?	Ses seux sentis de tous, sont de tous approuvés ?
Dans vn fleuue de biens ſes etimes ſont lauez	Dans un fleuve de biens ses étimes sont lavés
MIRAME.	MIRAME.
Mon cœur vous fuit par tout, efclaue volontaix Et me vouloit rauir, c’eſt me vouloir deſplaire.	Mon cœur vous fuit par tout, efclaue volontaix Et me voulait ravir, c'est me vouloir déplaire.
ARIMANT.	ARIMANT.
Dieux!	Dieux!
que feray je dong en l’eſtat où je ſuis ?	que ferai je dong en l'état où je suis ?
Mourray je loin de vous, outié de mille ennuis Par la force d’amour, ny par celle des armes, Ne puis-je, malheureux, conquerir tant de chan Mirame aucc le Roy s’oppoſe à mes amours.	Mourrai -je loin de vous, outié de mille ennuis Par la force d'amour, ni par celle des armes, Ne puis-je, malheureux, conquérir tant de chan Mirme auc le Roi s'oppose à mes amours.
L’vn refuſe ſa fille, & l’autre ſon ſecours.	L'un refuse sa fille, et l'autre son secours.
Couſentez pour le moins que je porte la guerre A cette bien-heureuſe & mal-heureuſe terre :	Cousentez pour le moins que je porte la guerre À cette bienheureuse et mal-heureuse malheureuse :
Heureuſe de porter vn miracle parfait.	Heureuse de porter un miracle parfait.
Mais qui ſe doit ſentir du refus qu’on me fait.	Mais qui se doit sentir du refus qu'on me fait.
Mes aimes ne feront qu’augmenter voſtre gloire.	Mes aimes ne feront qu'augmenter votre gloire.
Car ſi dans vos Eſtits j’acquiers vne victoire, Ie remets à vos pieds ma conqueſſe à genoux, Et le Roy trop heureux la reprendra de vous.	Car si dans vos Étits j'acquiers une victoire, Je remets à vos pieds ma conques à genoux, Et le Roi trop heureux la reprendra de vous.
Et vous rendrez par moy, quand je ſeray le mi Et le bien & l’honneur a qui vous deuez l’eſtre.	Et vous rendrez par moi, quand je serai le mi Et le bien et l'honneur à qui vous devez l'être.
MIRAME.	MIRAME.
Puis-je auoir de la gloire auec tant de malheur	Puis-je avoir de la gloire avec tant de malheur
ARIMANT.	ARIMANT.
La faueur d’vn amant, ſouffrez quelque doule	La faveur d'un amant, souffrez quelque doule
MIRAME.	MIRAME.
a Pere à l’hymen ſe tient touſiours contraire)	à Père à l'hymen se tient toujours contraire)
ARIMANT.	ARIMANT.
y l’heur de vous voir, qu’à tout heur je preferes	y l'heur de vous voir, qu'à tout heur je préfères
MIRAME.	MIRAME.
