ſεui:	zvi:
Les regards, les baiſers, & les embraſſemens, Les ſoupirs amoureux & les douces tendreſſes.	Les regards, les baisers, et les embrassements, Les soupirs amoureux et les douces tendresses.
Les trois Bergeres.	Les trois Bergères.
Donnez-noux des veautez, & des grates nouuelles.	Donnez-nous des veautez, et des grates nouvelles.
Les trois Bergers.	Les trois Bergers.
ConſerueZ pour jamais le Printemps de nos jours.	Conservez pour jamais le Printemps de nos jours.
A0do eMlelllelos Et faites par vos ſoins que nous trouuions touiours.	A0do eMlelllelos Et faites par vos soins que nous trouvions toujours.
Les trois Bergeres.	Les trois Bergères.
Nos Bergers plus galands.	Nos Bergers plus galants.
Les trois Bergers.	Les trois Bergers.
Nos Bergeres plus belles.	Nos Bergères plus belles.
Tous enſemble.	Tous ensemble.
Enfin que nos plaiſirs ſurpaſſent nos enuies, er qu’us ne ſoient troubiez ny de ſoins ny d’ennuis:	Enfin que nos plaisirs surpassent nos envies, er qu'us ne soient troubie ni de soins été d'ennuis:
Terminez nos beaux jours par de plus belles nuits, Et par vn doux treſpas nos bien-heureuſes vies.	Terminez nos beaux jours par de plus belles nuits, Et par un doux trépas nos bienheureuses vies.
Ritornelle.	Ritornelle.
DIANE.	DIANE.
Faites qu’enfin la Paix ramene ſur la terre Le Repos, les Plaiſirs & les FeliciteZ.	Faites qu'enfin la Paix ramène sur la terre Le Repos, les Plaisirs et les Félicitez.
ALCIDOR.	ÀLCIDOR.
Et chaſſez loin de nout, & loin de nos Citez, Aux climats ennemis les fureurs de la guerre.	Et chassez loin de nout, et loin de nos Cités, Aux climats ennemis les fureurs de la guerre.
DIANE, SILVIE, ALCIDOR.	DIANE, SYLVIE, ALCIDOR.
Rendez, le ſiecle d’or à ces belles çampagnes:	Rendez, le siècle d'or à ces belles çampagnes:
Que le laict & le miel courent dans les ruiſſeaux.	Que le lait et le miel courent dans les ruisseaux.
TIRCIS.	TIRCIS.
Que l’Ambre & le Nectar coulent des arbriſſeaux, Que les torrents de vin roulent de nos montagnes.	Que l'Ambre et le Nectar coulent des arbrisseaux, Que les torrents de vin roulent de nos montagnes.
Les ſlols Delperes.	Les slols Delpères.
Que la terre en tous lieux produiſe toutes choſes,	Que la terre en tous lieux produise toutes choses,
Les trois Bergers.	Les trois Bergers.
Qu'elle estuue a nos yeux miut nouueaux appas,	Qu'elle estive à nos yeux miut nouveaux appas,
Tous enſemble.	Tous ensemble.
Que Zephire & Cloris ſement deuant nos pas	Que Zéphire et Cloris sèment devant nos pas
Les trois Bergeres.	Les trois Bergères.
Le Lys & le Iaſmin,	Le Lys et le Iasmin,
Heu tlols bargers, Les œillets & les Roſes.	Heu tlols bargers, Les œillets et les Roses.
Tous enſemble.	Tous ensemble.
Enfin que nos plaiſirs, &c.	Enfin que nos plaisirs, etc.
IN.	IN.
PERMISSION.	PERMISSION.
Ermis faire imprimer ladite Paſtoralle, à la charY ge que l’Imprimeur retiendra ces preſentes.	Ermis faire imprimer ladite Pastorale, à la charY gé que l'Imprimeur retiendra ces présentes.
Fait ce 16.	Fait ce 16.
Mars 1659.	Mars 1659.
DAVBRAY.	DAUBRAY.
