A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
Il faut que ie quitte la qualité d’eſclaue, & que ie reprenne celle de Souuerain, pour chercher le remede de mon mal, dãs les derniers efforts de ma puiſſance abſoluë.	Il faut que ici quitte la qualité d'esclave, et que je reprenne celle de Souverain, pour chercher le remède de mon mal, dans les derniers efforts de ma puissance absolue.
Elle a bien le gouſt de l’eſprit depraué de preferer vn luſcet à fonPincc.	Elle a bien le goût de l'esprit dépravé de préférer un luscet à fonPinc.
SYLLAR.	SYLAR.
La Reſſemblance eſt la Mere des affections, on ayme touſiours ſon ſemblable.	La Ressemblance est la Mère des affections, on aime toujours son semblable.
LE ROY.	LE ROY.
Si ce Mignon luy plaiſt, ie le rendray ſi effroyable à ſes yeux, qu’elle en aura autant d’horreur que de pitié.	Si ce Mignon nous plaît, Seigneur le rendrai si effroyable à ses yeux, qu'elle en aura autant d'horreur que de pitié.
YLLAR.	ILAR.
Il faut donc que voſtre Majeſté en cherche les moyens, & les artinccs nois de la Nature, & qu’elle ayt recours aux charmes, & à la puiſſance des Demons.	Il faut donc que votre Majesté en cherche les moyens, et les artincs nois de la Nature, et qu'elle ait recours aux charmes, et à la puissance des Démons.
LE ROY.	LE ROY.
Mes volontez abſolues ſeront mes charmes, & mes commandemens les Demons, qui ſacrifieront à ma cholere.	Mes volontés absolues seront mes charmes, et mes commandements les Demons, qui sacrifieront à ma cholère.
SYLLAR.	SYLAR.
Voſtre Majeſté veut elle achepter vn contentement au prix de ſon honneur, dont la perte luy ſeroit beaucoup plus importante, que celle de ſon ſceptre, & de ſa Couronne.	Votre Majesté veut elle acheter un contentement au prix de son honneur, dont la perte te serait beaucoup plus importante, que celle de son sceptre, et de sa Couronne.
Les conqueſtes qu’on faict par la voye de la tyrannie ſont touſiours accompagnées de honte, & de reproche.	Les conquêtes qu'on fait par la voie de la tyrannie sont toujours accompagnées de honte, et de reproche.
LE ROY.	LE ROY.
Ne ſçais-tu pas que la premiere loy, que les Monarques ont faicte, eſt celle de les pouuoir violer toutes enſemble, quand il leur plaira?	Ne sçais-tu pas que la première loi, que les Monarques ont faite, est celle de les pouvoir violer toutes ensemble, quand il leur plaira?
Vn Roy ne peut iamais faillit parce que ſes actions ſouueraſnes, portent touſiours leur authorité auec elles.	Un Roi ne peut jamais faillit parce que ses actions souuerasnes, portent toujours leur autorité avec elles.
Sa raiſon offuſque de ſon eſclat, celle des autres, d’où vient qu’on ne peut voir ce qu’il faict, que d’vn coſté, s’en reſeruant à luy ſeul, la parfaicte cognoiſſan co.	Sa raison offusque de son éclat, celle des autres, d'où vient qu'on ne peut voir ce qu'il fait, que d'un côté, s'en réservant à lui seul, la parfaite connaissan co.
SYLLAR.	SYLAR.
Comme nous ſommes ſubjets des Roys, les Roys le ſont des Dieux, dont ils doibuent craindre les foudres.	Comme nous sommes sujets des Rois, les Rois le sont des Dieux, dont ils doibuent craindre les foudres.
Les mauuaiſes actions ne changent iamais de nature;	Les mauvaises actions ne changent jamais de nature;
Et vne puiſſance abſolue en peut biẽ meſpriſer les reproches ſer la terre, mais non pas en euiter le Chaſti ment du Ciel.	Et une puissance absolue en peut bien mépriser les reproches ser la terre, mais non pas en éviter le Châti ment du Ciel.
LE ROY.	LE ROY.
Puis que les Roys font des Dieux, icy bas, il ont entre les mains le deſtin de la vie des hommes, pour en diſpoſer, comme il leur plaiſt.	Puis que les Rois font des Dieux, ici bas, il ont entre les mains le destin de la vie des hommes, pour en disposer, comme il leur plaît.
Toutesfois ie veux croire, qué lors que l’enuie me prend de faire mourir quelqu’vn, l’arreſt en eſt prononcé dans le Ciel, Ciel, & que ie ne ſuis que l’inſtrument, pour le faire executer en terre.	Toutefois je veux croire, qué lors que l'envie me prend de faire mourir quelqu'un, l'arrêt en est prononcé dans le Ciel, Ciel, et que je ne suis que l'instrument, pour le faire exécuter en terre.
1410 11	1410 11
SYLLAR.	SYLAR.
Sire il faut que voſtre Majeſté ſe repreſente qu’elle eſt Iuge, & partie en ceſte cauſe, & que ſe laiſſant maiſtriſer par l’Amour, & par la Cholere, qui ſont deux puiſſances ſouueraines, & aueugles, elle ne peut voir les malheurs ou ſe terminent ſes deſirs.	Sire il faut que votre Majesté se représente qu'elle est Juge, et partie en cette cause, et que se laissant maîtriser par l'Amour, et par la Cholère, qui sont deux puissances souveraines, et aveugles, elle ne peut voir les malheurs ou se terminent ses désirs.
LE ROY.	LE ROY.
Tes diſcours ſont meſurez à la portee de ton iugement, tu parles ſelon ta façon de conçeuoir.	Tes discours sont mesurés à la portée de ton jugement, tu parles selon ta façon de concevoir.
Sçaches que lors que les Aſtres, qui præſident à la naiſſance des hommes, en rendent vn malhereux, iuſques au point de me deſplaire, il eſt digne de mort, & il ne faut point chercher d’autres teſmoings pour l’accuſer, puis que la Natur le rend coulpable en naiſſant.	Saches que lors que les Astres, qui præsident à la naissance des hommes, en rendent un malhéreux, jusques au point de me déplaire, il est digne de mort, et il ne faut point chercher d'autres tesmoings pour l'accuser, puis que la Natur le rend coulpable en naissant.
Qu ne m’en parle plus, il faut qu meure, le repos de ma vie giſt dans ſa ſepulture.	Qu ne m'en parle plus, il faut qu' heure, le repos de ma vie gît dans sa sépulture.
SYLLAR.	SYLAR.
Puis que c’eſt vne neceſſité.	Puis que c'est une nécessité.
dont voz volontés abſoluës font la loy, i’ay aſſez de courage, pour changer les deſirs de voſtre Majeſté en effects, voicy la main qui fera le coup.	dont vo volontés absolues font la loi, j'ai assez de courage, pour changer les désirs de votre Majesté en effets, voici la main qui fera le coup.
LE ROY.	LE ROY.
Tu m’oblige de trop bonne grace, pour en oublier ſamais la faueur, rends moy content, & ie te feray riche.	Tu m'oblige de trop bonne grâce, pour en oublier samais la faveur, rends moi content, et ie te ferai riche.
SYLLAR.	SYLAR.
Sire on peut deſia conter Pyrame au nombre des morts, & marquer ce iour pour celuy de ces funerailles;	Sire on peut déjà conter Pyrame au nombre des morts, et marquer ce jour pour celui de ces funérailles;
Et ſi les vents portent leurs leurs alenes iuſques aufleuue d’oubly, ils peuuent aduertir Caron de tenir ſa barque preſte ſur le riuage pour paſſer ſon ombre dans vne heure.	Et si les vents portent leurs leurs alênes jusques aufleuve d'oubli, ils peuvent avertir Caron de tenir sa barque prête sur le rivage pour passer son ombre dans une heure.
LE ROY.	LE ROY.
Ceſte heure me durera vn ſiecle, ſert toy du temps, & de l’occaſion, & oite moy le moyen de t’accuſer de pareſſe.	Cette heure me durera un siècle, sert toi du temps, et de l'occasion, et oite moi le moyen de t'accuser de paresse.
YLLAR.	ILAR.
Ie verray bien toſt la fin de mon entrepriſe, ou celle de ma vie, il faut tenter des grands perils pour aire des grandes fortunes.	Je verrai bien tôt la fin de mon entreprise, ou celle de ma vie, il faut tenter des grands périls pour aire des grandes fortunes.
ACTE SECONI THISBE’, PYRAME ET DEVXIS.	ACTE SECONI THISBE, PYRAME ET DEUXIS.
SCHENE.	SCHENE.
I.	I.
PYRAME, DISARQVE	PYRAME, DISARQUE
PYRAME.	PYRAME.
Abonne volonté m’eſ aſſez cognue, cher amy ie t’en ſuis redeuable.	Abonne volonté m'es assez connue, cher ami ici t'en suis redevable.
mais tu ne cõſideres pas qu’en voulant m’arracher les eſpines du cœur, tu m’en oſteras auſſi les roſes.	mais tu ne compterais pas qu'en voulant m'arracher les épines du cœur, tu m'en ôteras aussi les roses.
Ie ne puis eſtaindre le feu feu qui me bruſle, qu’auec la derniere goute de mon ſang, la reſolution en eſt priſe, le ſort en eſt jetté, ma vie toute d’amour, ne ſe peut terminer que par vne mort ſemblable.	Je ne puis est le feu feu qui me brûle, qu'avec la dernière goute de mon sang, la résolution en est prise, le sort en est jeté, ma vie toute d'amour, ne se peut terminer que par une mort semblable.
Tes conſeils me ſont des iniures, & ſi tu ne veux aymer ſla pamnon auce inoy, le ſenohee à ton amitié.	Tes conseils me sont des injures, et si tu ne veux aimer sla pamnon auce ini, le senohe à ton amitié.
DISARQVE.	DISARQUE.
A quelles extremité vous laiſſen vous emporter?	À quelles extrémité vous laissen vous emporter?
PYRAME.	PYRAME.
A celle de fuir ceux qui n’ayment point le repos de ma vie.	À celle de fuir ceux qui n'aiment point le repos de ma vie.
DISARQVE.	DISARQUE.
Que vous eſtes peu ſçauant à cognoiſtre vos amis.	Que vous êtes peu savant à connaître vos amis.
PYRAME.	PYRAME.
Le deffaut m'en eſt agreable, puis qu’il procede de la perfection de mon amour.	Le défaut m'en est agréable, puis qu'il procède de la perfection de mon amour.
C 4	Ç 4
DISARQVE.	DISARQUE.
Serois-ie voſtre ennemy pour vous vouloir retirer du danger ou vous eſtes.	Serais-je votre ennemi pour vous vouloir retirer du danger ou vous êtes.
PYRAME.	PYRAME.
Ouy, puis que le danger me plait.	Oui, puis que le danger me plaît.
Ie ſuis contraint d’haſarder ma vie pour la ſauuer:	Je suis contraint d'hasarder ma vie pour la sauver:
Car il faut necenanement que ie meure de triſteſſe, ſiie ne meurs d’amour.	Car il faut nécenanement que ainsi meure de tristesse, siie ne meurs d'amour.
DISARQVE.	DISARQUE.
Encore eſtes vous obligé dans la neceſſité de mourir, de choiſir la mort la plus glorieuſe, pour laiſſer ceſte derniere conſolation à vos l’arclis, dont l’authorité demande Iuſtice aux Dieux de voſtre deſobeïſſance.	Encore êtes vous obligé dans la nécessité de mourir, de choisir la mort la plus glorieuse, pour laisser cette dernière consolation à vos l'arclis, dont l'autorité demande Justice aux Dieux de votre désobéissance.
PYRAME.	PYRAME.
On n’eſt iamais puny de violer la loix tyranniques, ma liberté non plus que mes penſees, ne releuent uent point de l’authorité de mes Parens.	On n'est jamais puni de violer la lois tyranniques, ma liberté non plus que mes pensées, ne relèvent uent point de authorité de mes Parens.
Si i’ay diſposé de mes affections ſans leur conſentement, ie me ſuis ſerui du priuilege que la Nature m’a donné.	Si j'ai disposé de mes affections sans leur consentement, tu me suis servi du privilège que la Nature m'a donné.
Les Dieux ne partagent iamais leur puiſſance auec les hommes.	Les Dieux ne partagent jamais leur puissance avec les hommes.
Mon deſtin veut que i’ayme Thisbé, i’y conſens, & ie changeray pluſtoſt de vie que d’amour.	Mon destin veut que j'aime Thisbé, j'y consens, et je changerai plutôt de vie que d'amour.
DISARQVE.	DISARQUE.
Ie voy bien que voſtre raiſon eſt auſſi eſclaue que voſtre Franchiſe, & que ie vous ſuis importun de vous preſcher la gueriſon d’vn mal dont vous abhorrez le remede;	Je vois bien que votre raison est aussi esclave que votre Franchise, et que je vous suis importun de vous prêcher la guérison d'un mal dont vous abhorrez le remède;
Mais ie preuoy que le repentir ſera le dernier de vos maux.	Mais ici prévois que le repentir sera le dernier de vos maux.
PYRAME.	PYRAME.
Si le repentir m’arrache le dernier ſoupir des entrailles.	Si le repentir m'arrache le dernier soupir des entrailles.
Ie mourray donc de regret de n’auoir plutoſt aymé la beauté que ie ſers.	Je mourrai donc de regret de n'avoir plutôt aimé la beauté que je sers.
comme la plus aymable qui fut iamais.	comme la plus aimable qui fut jamais.
Confeſſe le Diſarque;	Confesse le Disarque;
N’eſt il pas vray, qu’elle a des appas, & des douceurs capables de rendre les Dieux meſme Idolatres.	N'est il pas vrai, qu'elle a des appas, et des douceurs capables de rendre les Dieux même Idolâtres.
Vis tuiamais rien de pareil à ſes cheueux creſpez, dont les charmes brillans les rendent de la couleur des plus belles choſes du monde.	Vis tuiamais rien de pareil à ses cheveux crêpez, dont les charmes brillants les rendent de la couleur des plus belles choses du monde.
Ils font tous enſemble vne foreſt, où mil petits amours vont à la chaſſe des libertés.	Ils font tous ensemble une forêt, où mil petits amours vont à la chasse des libertés.
Tu dois auoir admiré ſon front, plus poly que l’iuoire, plus blanc que la neige, & où cõme dans vn troſne à trois place, la Majeſté, l’Innocence, & la Pudeur, ſe font adorer des mortels.	Tu dois avoir admiré son front, plus poli que l'ivoire, plus blanc que la neige, et où cõme dans un trône à trois place, la Majesté, l'Innocence, et la Pudeur, se font adorer des mortels.
As tu pris garde à la delicateſſe de ſes ſourcils que les Mignardiſes ont faict ſur le modelle de l’arc de Cupidons Na-tù pas eſté mille fois oſblouy de la lumiere de ſes beaux yeux, mais ils s’appellent autrement:	As tu pris garde à la délicatesse de ses sourcils que les Mignardises ont fait sur le modèle de l'arc de Cupidons Na-tù pas été mille fois ôbloui de la lumière de ses beaux yeux, mais ils s'appellent autrement:
de ces beaux Soleils:	de ces beaux Soleils:
ceſte comparaiſon leur eſt trop honteuſe:	cette comparaison leur est trop honteuse:
de ces Flambeaux d’amour:	de ces Flambeaux d'amour:
ce n’eſt pas dire le nom de leurs perfections:	ce n'est pas dire le nom de leurs perfections:
de ces Aſtres diuins qui font tous les beaux iours de ma vie, ceſte exemple encore ne peut auoir du rapport qu’auec vne de leur qualitez, il faut que ie te die la verité pourtant.	de ces Astres divins qui font tous les beaux jours de ma vie, cette exemple encore ne peut avoir du rapport qu'avec venir de leur qualités, il faut que que te die la vérité pourtant.
Sçaches donc que les yeux de ma chere Thyſbé ſont ceux là meſme de l’Amour, d’où vient qu’il eſt aueugle, & que leurs regards ſont les plus riches traits & les plus belles chaiſnes dont ce petit Dieu ſe peut ſeruir, pour bleſſer les cœurs, & pour enchaiſner les ames.	Saches donc que les yeux de ma chère Thysbé sont ceux -là même de l'Amour, d'où vient qu'il est aveugle, et que leurs regards sont les plus riches traits et les plus belles chaînes dont ce petit Dieu se peut servir, pour blesser les cœurs, et pour enchaîner les âmes.
Ie ſuis d’humeur à t’en dire d’auantage, ſon Nez eſt vn ouurage fait à plaiſir par la Beauté.	Je suis d'humeur à t'en dire d'avantage, son Nez est un ouvrage fait à plaisir par la Beauté.
Ne t’imagine pas que ſes iouës ſoient egallement couuertes de Lis, & de Roſes, les Nimphes des bois, & des eaux ont ces meſmes aduantages.	Ne t'imagine pas que ses joues soient également couvertes de Lis, et de Roses, les Nymphes des bois, et des eaux ont ces mêmes avantages.
La Nature les a voulu parer d’vn certain email de fleurs toutes nouuelles, que l’Aurore n’a iamais veuës, que Flore ne cognoit pas, & que le Printemps n’eſt point capable de produire.	La Nature les a voulu parer d'un certain email de fleurs toutes nouvelles, que l'Aurore n'a jamais vues, que Flore ne connaît pas, et que le Printemps n'est point capable de produire.
Elles ont la blancheur du Lis, & l’incarnadin de la Roſe mellez enſemble, auec ceſte vertu de ne ſe fletrir iamais, & d’eſpandre vne odeur, qui rauit l’eſprit d’aiſe, & de plaiſir par le ſens qui luy eſt affecté.	Elles ont la blancheur du Lis, et l'incarnadin de la Rose mellez ensemble, avec cette vertu de ne se flétrir jamais, et d'épandre une odeur, qui ravit l'esprit d'aise, et de plaisir par le sens qui luitaît affecté.
Sa bouche naine, pour ſa petiteſſe, n’eſt point de corail, ny d’œillets, mais bien d’vne matiere toute ſemblable en couleur, & differente en prix à cauſe du charme qu’elle a de donner à vn chacun le deſir de la baiſer, & d’en oſter à meſme temps l’eſperance.	Sa bouche naine, pour sa petitesse, n'est point de corail, Seigneur d'œillets, mais bien d'une matière toute semblable en couleur, et différente en prix à cause du charme qu'elle a de donner à un chacun le désir de la baiser, et d'en ôter à même temps l'espérance.
De mettre en auant que ſon menton eſt forcheu, & que les Graces meſme ont eſté ialouſes de ſes beautez, c’eſt dire ſeulement vne partie de ſes perfections.	De mettre en avant que son menton est forcheu, et que les Grâces même ont été jalouses de ses beautés, c'est dire seulement une partie de ses perfections.
Son ſein n’eſt point auſſi d’albaſtre n’y d’iuoire Mais ie te diray que ſes deux petites montagnes de laict, dont il eſt formé, & qui ſont touſiours en action, ne pouuant ſouffrir les regards, quoy qu’elles les attirent, s’appellent des Merueilles animées, c’eſt le nom qu’on leur a donné en naiſſant.	Son sein n'est point aussi d'albâtre n'y d'ivoire Mais même te dirai que ses deux petites montagnes de lait, dont il est formé, et qui sont toujours en action, ne pouvant souffrir les regards, quoi qu'elles les attirent, s'appellent des Merveilles animées, c'est le nom qu'on leur a donné en naissant.
Adioute à tous ces miracles celuy de ſa voix qui enchante les eſprits, ou pluſtoſt encore celuy du bel eſprit, qui anime ce beau Corps.	Ajoute à tous ces miracles celui de sa voix qui enchante les esprits, ou plutôt encore celui du bel esprit, qui anime ce beau Corps.
Et tu ſeras contraint de confeſſer qu’il n’appartient pas à vn mortel, de profaner de ſon amour, vn ſubiet ſi adoraDle.	Et tu seras contraint de confesser qu'il n'appartient pas à un mortel, de profaner de son amour, un sujet si adoraDle.
DISARQVE.	DISARQUE.
Si ie pouuois eſtre voſtre Riual, ſans eſtre voſtre Ennemy, ie me dirois deſia compagnon de vos haſards, pour coutre enſemble vne meſme fortune en ſeruant ceſte diuine beauté, dont les diſcours de ſes perfections ont ſeruy de pinceau pour les depeindre dans mon ame.	Si petit pouvais être votre Rival, sans être votre Ennemi, tu me dirais déjà compagnon de vos hasards, pour coutre ensemble une même fortune en servant cette divine beauté, dont les discours de ses perfections ont servi de pinceau pour les dépeindre dans mon âme.
Mais le reſpect que ie vous dois, & l’affection que ie vous ay voüee, m’obligent à vous laiſſer ſeul en ceſte conqueſte, puis que vous eſtes le ſeul qui la merite.	Mais le respect que je vous dois, et l'affection que je vous ai vue, m'obligent à vous laisser seul en cette conquête, puis que vous êtes le seul qui la mérite.
Permettez moy toutesfois de vous dire, que les grands mal-heurs, ſuiuent touſiours les grandes entrepriſes.	Permettez -moi toutefois de vous dire, que les grands malheurs, suivent toujours les grandes entreprises.
PYRAME.	PYRAME.
Mais tu ne dis pas auſſi que les grandes grandes fortunes accompagnent les delallis Harardeule	Mais tu ne dis pas aussi que les grandes grandes fortunes accompagnent les délaillis Harardeule
DISARQVE.	DISARQUE.
Les Sages n’haſardent point ce qu’ilan pauuone perdre qu’vne fois.	Les Sages n'hasardent point ce qu'ilan pauvone perdre qu'une fois.
PIRAME.	PIRAME.
Que veux tu que ie face d’vne vie miſerable, i’ayme bien mieux l’haſarder ſur l’eſperance d’eſtre heureux, que de la ooineruer dans le deſeſpoir ou ie ſuis, de poſſeder iamais vne meilleure fortune.	Que veux tu que Seigneur face d'une vie misérable, j'aime bien mieux l'hasarder sur l'espérance d'être heureux, que de la ooineruer dans le désespoir ou ainsi suis, de posséder jamais une meilleure fortune.
DISARQVE.	DISARQUE.
Si voſtre perte n’eſtoit aſſeuree, ie veux croire que le malheur où vous eſtes vous pourroit porter à quelque extremité, pour tenter le haſards mais ſi vous vous debandez les yeux.	Si votre perte n'était assurée, on veux croire que le malheur où vous êtes vous pourrait porter à quelque extrémité, pour tenter le hasards mais si vous vous débandez les yeux.
Vous verrez les precipices qui vous enuironnent.	Vous verrez les précipices qui vous environnent.
Pyra	Pyra
PYRAME.	PYRAME.
l’ay plus de peur de la vie, q de la mort, car ie meurt continue lement, Ne ſeray-ie pas heure parmy tant de morts, de mou vne derniere fois, pour vne ſi be cauſe.	l'ai plus de peur de la vie, q de la mort, car tu meurt continue lement, Ne serai-je pas heure parmi tant de morts, de mou une dernière fois, pour une si be cause.
DISARQVE.	DISARQUE.
Ne vous a-t’on pas dict, au moins combien de lumieres ialouſes eſt clairent vos actions.	Ne vous a-t-on pas dit, au moins combien de lumières jalouses est clairent vos actions.
11	11
PIRAME.	PIRAME.
Puis que les Dieux les voyent, les hommes en peuuent bien eſtre temoings.	Puis que les Dieux les voient, les hommes en peuvent bien être témoings.
Il eſt vray, ie te de confeſſe, que ie voy tous les iours ma maiſtreſſe, & que ie luy parle ſouuent, mais ſeroit-ce vn crime de regarder le Soleil, & de parler à la Vertu.	Il est vrai, Seigneur te de confesse, que je vois tous les jours ma maîtresse, et que ie cy parle souvent, mais serait-ce un crime de regarder le Soleil, et de parler à la Vertu.
Adieu cher amy, l’heure s’approche, où ie dois reçeuoir ce contentement.	Adieu cher ami, l'heure s'approche, où tu dois recevoir ce contentement.
SCENE II.	SCÈNE II.
LMAMME RIIODE.	LMAME RIIODE.
PYRAME.	PYRAME.
VE i'attendois ceſte heure auec impatience:	VE j'attendais cette heure auec impatience:
Pourquoy vas tu ſi lentement, beau Soleil, ſerois-tu ialoux de ma fortune?	Pourquoi vas tu si lentement, beau Soleil, serais-tu jaloux de ma fortune?
le ſçay bien que ma Thiſbé a beaucoup plus d’apas, & de graces que ta Clitie n’en a ſouhaité pour te plaire;	le sais bien que ma Thisbé a beaucoup plus d'appas, et de grâces que ta Clitie n'en a souhaité pour te plaire;
Mais quelque deſſein que tu ayes de me nuire, tout m’eſt indifferent.	Mais quelque dessein que tu aises de me nuire, tout m'est indifférent.
Arreſte, ou fuis, contemple mon bon-heur, ou cache toy d’enuie, ie prefere en mon aueuglement le flambeau de Gupidon à ta Lumiere.	Arrête, ou fuis, contemple mon bonheur, ou cache toi d'envie, quelque préfère en mon aveuglement le flambeau de Gupidon à ta Lumière.
Il me ſemble que i’entends le bruit des pas craintifs de ma Maiſtreſſe.	Il me semble que j'entends le bruit des pas craintifs de ma Maîtresse.
THISBE' Es tu là mon Soucy?	THISBE' Es tu là mon Souci?
PYRAME.	PYRAME.
Si i'eſtois ton ſoucy, de meſn que tu es ma penſee, ie ne t’auro pas preuenu en ce lieu.	Si j'étais ton souci, de ménu que tu es ma pensée, tu ne t'auro pas prévenu en ce lieu.
THISBE'.	THISBE'.
Mon deſir y a eſté pluſtoſt que coj, mais le mai-neur qui me ſuit touſiours m’a detenuë.	Mon désir y a été plutôt que coj, mais le mai-neur qui me suit toujours m'a détenue.
PYRAME.	PYRAME.
Conte moy tes deſplaiſirs, afin que i’en aye ma part.	Conte moi tes déplaisirs, afin que j'en aie ma part.
15	15
THISBE' Tu ſçauras qu’vne vieille de mes parentes m’eſt venuë viſiter pour me faire des leçons ſur le meſ meſpris de l’Amour.	THISBE' Tu sauras qu'une vieille de mes parentes m'est venue visiter pour me faire des leçons sur le mes pris de l'Amour.
Ie te laiſſe à penſer ſi i’auois l’ame diſpoſee à remarquer ſes diſcours.	Je te laisse à penser si j'avais l'âme dispose à remarquer ses discours.
elle parloit continuellement, ſans me donner le loiſir de repondre, comme ſi elle eut preueu que ie n’auois rien à luy dire.	elle parlait continuellement, sans me donner le loisir de répondre, comme si elle eut prévu que ici n'avais rien à lui Nages.
Mais pourtant il faut que ie te confeſſe que mes oreilles tuuoiene mon Eiprie à la gehenne.	Mais pourtant il faut que cela te confesse que mes oreilles tuuoiene mon Éiprie à la géhenne.
PYRAME.	PYRAME.
Ie m’imagine en quels termes elle te peut auoir parlé d’vne paſſion dont elle n’a iamais eſté capable.	Je m'imagine en quels termes elle te peut avoir parlé d'une passion dont elle n'a jamais été capable.
Elle peut bien auoir aymé autresfois;	Elle peut bien avoir aimé autrefois;
mais comme la perfection eſt vnique, ie veux croire que celle d’aymer n’a iamais eſté poſſedee que de nos cœurs, & qu’ainſi tout le reſte des hommes n’en a eu qu’vne vaine idée.	mais comme la perfection est unique, je veux croire que celle d'aimer n'a jamais été possédée que de nos cœurs, et qu'ainsi tout le reste des hommes n'en a eu qu'une vaine idée.
12	12
THISBE'.	THISBE'.
Ie ne ſçaurois te contredire parce que ie t’ayme, ie ne dis pas plus que ma vie:	Je ne saurais te contredire parce que je t'aime, Elle ne dis pas plus que ma vie:
car ce ſeroit t'offenſer puis que c’eſt la tienne:	car ce serait t'offenser puis que c'est la tienne:
Mais autant que tu veux, & non pas d’auantage, n’ayant pour volonté que tes deſirs.	Mais autant que tu veux, et non pas d'avantage, n'ayant pour volonté que tes désirs.
PYRAME.	PYRAME.
Si tu m’aymes autant que ie veux, tu m’ayme autant qu’il te plait, puis que ma volonté n’eſt animee que de ton contentement.	Si tu m'aimes autant que je veux, tu m'aime autant qu'il te plaît, puis que ma volonté n'est animée que de ton contentement.
Ie ne ſouhaite rien qu’apres toy, & mon eſpoir ſuit ton attente.	Je ne souhaite rien qu'après toi, et mon espoir suit ton attente.
THISBE'.	THISBE'.
Si ie t’ayme autant qu’il me plaiſt, combien dirois-tu que ie t’ayme?	Si ici t'aime autant qu'il me plaît, combien dirais-tu que personne t'aime?
Ie deffie ton bel Eſprit d'en 6.	Je défie ton bel Esprit d'en 6.
Mrâme.	Mrâme.
d’en auoir la penſee.	d'en avoir la pensée.
PYRAME.	PYRAME.
nide furuyManes	nide furuiManes
HISBE'.	HISBE'.
Ie ne ſçaurois:	Je ne saurais:
car ſi ie ſuis Pyrame, & que tu ſois Thiſbé, ie m’ayme mieux que toutes les choſes du monde,	car si ici suis Pyrame, et que tu sois Thisbé, tu m'aime mieux que toutes les choses du monde,
PYRAME.	PYRAME.
le diray donc que tu m’aymes autant qu’il ſe peut.	le dirai donc que tu m'aimes autant qu'il se peut.
THISBE'.	THISBE'.
Contorerieoiute Dlimon Amour, mais non pas le deſir que i’ay de la rendre immortelle.	Contorerieoivte Dlimon Amour, mais non pas le désir que j'ai de la rendre immortelle.
PYRAME.	PYRAME.
Ie ſçay bien que tu m’aymes parfaictement, ma chere amesmais ne crains tu pas en me le diſant, de me faire mourir de ioye.	Je sais bien que tu m'aimes parfaitement, ma chère âmesmais ne crains tu pas en me le disant, de me faire mourir de joie.
THISBE'.	THISBE'.
Mais n’apprehende tu pas toy meſme, qu’en t’oyant parler de mourir, ie meure de la frayeur de tes paroles.	Mais n'appréhende tu pas toi -même, qu'en t'oyant parler de mourir, toujours meure de la frayeur de tes paroles.
PYRAME.	PYRAME.
Vn Amant malheureux comme moy, ne peut parler que de ſes inlortunes.	Un Amant malheureux comme moi, ne peut parler que de ses inlortunes.
Ie ne ſçay a quoy nous reſerue le ſort.	Je ne sais a quoi nous réserve le sort.
THISBE'.	THISBE'.
Ne nous melons point des aſfaires des Dieux, ſuiuons noſtre Deſtin ſans contrainte.	Ne nous melons point des asfaires des Dieux, suivons notre Destin sans contrainte.
PYRAME.	PYRAME.
Ie ne ſuis capable de crainte, que pour toy:	Je ne suis capable de crainte, que pour toi:
Car ie reſſens deſia par aduance tous les maux que te peuuent arriuer;	Car ie ressens déjà par avance tous les maux que te peuvent arriver;
helas!	hélas!
que ne ſuisie vn nouueau Promethee, condemné à mourir à tous momens, à condition de t’exempter de la Mort.	que ne suisie un nouveau Prométhée, condemné à mourir à tous moments, à condition de t'exempter de la Mort.
THISBE'.	THISBE'.
A quoy me ſeruiroit l’immortalité en ton abſences crois-tu que ie vouluſſe eſtre lunon, ſi tu n’eſtois Iupiter.	À quoi me servirait l'immortalité en ton absences crois-tu que deux voulusse chang lunon, si tu n'étais Jupiter.
PYRAME.	PYRAME.
Ie croy que tu m’aymes, iuſqueà ce point;	Je crois que tu m'aimes, jusqueà ce point;
Mais comme la force de mon amour, ne peut ceder que par reſpect à la grandeur de la tien ne, ie voudrois que tu fuſſes tout, & que ie ne fuſſe rien.	Mais comme la force de mon amour, ne peut céder que par respect à la grandeur de la tien ne, toujours voudrais que tu fusses tout, et que sans ne fusse rien.
THISBE'.	THISBE'.
Ne ſçais tu pas que mon be heur, & ta felicité, ne font qu’y meſme choſe.	Ne sçais tu pas que mon be heur, et ta félicité, ne font qu'y même chose.
Songe donc a rendre heureux, pour me renc contente.	Songe donc a rendre heureux, pour me renc contente.
YRAME.	YRAME.
Tu vois bien en quel eſtat ie ſuis reduit, ma chere ame.	Tu vois bien en quel état où suis réduit, ma chère âme.
A peit ay-ie ouuert les yeux pour te voir qu’il me faut ouurir la bouche.	À péit ai-je ouvert les yeux pour te voir qu'il me faut ouvrir la bouche.
pour te dire adieu.	pour te dire adieu.
Ha!	Ha!
que l’interuale de nos ennuis eſt de courte duree.	que l'intervale de nos ennuis est de courte dure.
AIIIODE.	ÀIIIODE.
Conſole toy, puis que ie ſouffre la moitié de tes deplaiſirs.	Console toi, puis que ainsi souffre la moitié de tes déplaisirs.
PIRAME.	PIRAME.
