ROBERT 1986	ROBERT 1986
Rome a trop creu de moy, mais mon ame rauie Remplira ſon attente ou quittera la vie, Qui veut mourir, ou vaincre, eſt vaintu rarement, .	Rome a trop cru de moi, mais mon âme ravie Remplira son attente ou quittera la vie, Qui veut mourir, ou vaincre, est vaint rarement, .
TCNE 9 Ce noble deſeſpoir perit malaiſément :	TCNE 9 Ce noble désespoir périt malaisément :
Rome, quoy qu’il en ſoit, ne ſera point ſujette Que mes derniers ſouſpirs n’aſſeurent ma défaite.	Rome, quoi qu'il en soit, ne sera point sujet Que mes derniers soupirs n'assurent ma défaite.
CVRIACE.	CURICE.
Helas, c’eſt bien icy que ie dois eſtre plaint!	Hélas, c'est bien ici que je dois être plaint!
Ce que veut mon pays, mon amitié le craint.	Ce que veut mon pays, mon amitié le craint.
Dures extremitez, de voir Albe aſſeruie, Où ſa victoire au prix d’vne ſi chere vie, Et que l’vnique bien où tendent ſes deſirs S’achepte ſeulement par vos derniers ſouſpirs?	Dures extrémités, de voir Albe asservie, Où sa victoire au prix d'une si chère vie, Et que l'unique bien où tendent ses désirs S'achepte seulement par vos derniers soupirs?
Quels vœux puis ie former, & quel bonheur attendre?	Quels vœux puis notre former, et quel bonheur attendre?
De tous les deux coſtez i’ay des pleurs à reſpandre, De tous les deux coſtez mes deſirs ſont trahis.	De tous les deux côtés j'ai des pleurs à répandre, De tous les deux côtés mes désirs sont trahis.
HORACE.	HORACE.
Quoy!	Quoi!
vous me pleureriez mourant pour mon pays!	vous me pleureriez mourant pour mon pays!
Pour vn cœur genereux ce treſpas a des charmes, La gloire qui le ſuit ne ſouffre point de larmes, Et ie le receurois en beniſſant mon ſort Si Rome & tout l’Eſtat perdoient moins à ma mort.	Pour un cœur généreux ce trépas a des charmes, La gloire qui le suit ne souffre point de larmes, Et su le recevrais en bénissant mon sort Si Rome et tout l'État perdaient moins à ma mort.
CVRIACE.	CURICE.
A vos amis pourtant permettez de le craindre, Dans vn ſi beau treſpas ils ſont les ſeuls à plaindre, La gloire en eſt pour vous, & la perté pour eux;	À vos amis pourtant permettez de le craindre, Dans un si beau trépas ils sont les seuls à plaindre, La gloire en est pour vous, et la perté pour eux;
Il vous fait immortel & les rend malheureux, On perd tout quand on perd vn amy ſi fidelle.	Il vous fait immortel et les rend malheureux, On perd tout quand on perd un ami si fidèle.
Mais Flauian m’apporte icy quelque nouuelle, Albe de trois guerriers a-t’elle fait le choix?	Mais Flauian m'apporte ici quelque nouvelle, Albe de trois guerriers a-t-elle fait le choix?
BCENEII.	BCENEII.
HORACE, CVRIACE, TENVTANe	HORACE, CURIACE, TENVTANe
FLAVIAN.	FLAVIAN.
IE viens pour vous l’apprendre.	JE viens pour vous l'apprendre.
CVRIACE.	CURICE.
Et bien qui ſont les trois	Et bien qui sont les trois
FLAVIAN.	FLAVIAN.
Vos deux freres & vous.	Vos deux frères et vous.
CVRIACE.	CURICE.
FLAVIAN.	FLAVIAN.
Vous & vos deux freres.	Vous et vos deux frères.
Mais pourquoy ce front triſte & ces regards ſe;	Mais pourquoi ce front triste et ces regards se;
ueres?	Que?
Ce choix vous deſplaiſt-il ?	Ce choix vous déplaît-il ?
CVB.	CUB.
IACE.	JACE.
Nvon, mais il me ſurprend, Ie m’eſtimois trop peu pour vn honneur ſi grand.	Névon, mais il me surprend, Je m'estimais trop peu pour un honneur si grand.
LAVIAN.	LAVIAN.
Diray-ie au Dictateur qui deuers vous m’enuoye Que rous le retouun duve a pou de joye ?	Dirai-je au Dictateur qui devers vous m'envoie Que rous le retouun duve a pou de joie ?
Ce morne & froid accueil me ſurprend à mon tour.	Ce morne et froid accueil me surprend à mon tour.
CVRIACE.	CURICE.
Dy luy que l’amitié, l’alliance & l’amour Ne pourront empeſcher que les trois Curiaces qe ferdent lour puja conde le trots trorâces.	Dis ainsi que l'amitié, l'alliance et l'amour Ne pourront empêcher que les trois Curiaces qe ferdent lour pujà condé le trots trorâces.
LAVIAN.	LAVIAN.
Contre eux !	Contre eux !
ah, c’eſt beaucoup me dire en peu de  mots!	ah, c'est beaucoup me dire en peu de mots!
CVRIACE.	CURICE.
Porte luy ma reſponſe & nous laiſſe en repos.	Porte nô ma réponse et nous laisse en repos.
SCENE III.	SCÈNE III.
MONROE, CVMIACE.	MONROE, CUMIACE.
CVRIACE.	CURICE.
Ve deſormais le Ciel, les Enfers, & la terre lVniſſent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons & le ſort Preparent contre nous vn general effort, Ie mets à faire pis en l’eſtat où nous ſommes, Le ſort, & les Demons, & les Dieux & lot hõmes, L’eſt bien moins que l’honneur qu’on nous fait à tous deux.	Ve désormais le Ciel, les Enfers, et la terre lVnissent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons et le sort Préparent contre nous un général effort, Je mets à faire pis en l'état où nous sommes, Le sort, et les Demons, et les Dieux et lot hommes, L'est bien moins que l'honneur qu'on nous fait à tous deux.
HORACE.	HORACE.
Le ſort qui de l’honneur nous ouure la barriere.	Le sort qui de l'honneur nous ouvre la barrière.
Offre à noſtre conſtance vne illuſtre matiere.	Offre à notre constance une illustre matière.
Il eſpuiſe ſa force à former vn malheur Pour mieux ſe meſurer auec noſtre valeur, Comme il ne nous prend pas pour des ames conimunes Hors de l’ordre commun il nous fait des fortunes.	Il épuise sa force à former un malheur Pour se mieux mesurer avec notre valeur, Comme il ne nous prend pas pour des âmes conimunes Hors de l'ordre commun il nous fait des fortunes.
Combatre vn ennemy pour le ſalut de tous, Et contre vn incognu s’expoſer ſeul aux coups, D’vne ſimple vertu c’eſt l’effet ordinaire, Mille deſia l’ont fait, mille pourroient le faire, Mourir pour le pays eſt vn ſi digne ſort Qu’on brigueroit en foule vne ſi belle mort.	Combatre un ennemi pour le salut de tous, Et contre un inconnu s'exposer seul aux coups, D'une simple vertu c'est l'effet ordinaire, Mille déjà l'ont fait, mille pourraient le faire, Mourir pour le pays est un si digne sort Qu'on briguerait en foule une si belle mort.
Mais vouloir au public immoler ce qu’on ayme, S’attacher au combat contre vn autre ſoy-meſme, Attaquer vn party qui prend pour defenſeur Le frere d’vne femme, & l’amant d’vne ſœur, Et rompant tous ces nœuds s’armer pour la patrie Contre vn ſang qu’on voudroit racheter de ſa vie, Vne telle vertu n’appartenoit qu’à nous, L’eſclat de ſon grand nom luy fait peu de jaloux, Et peu d’hommes au cœur l’ont aſſez imprimée Pour oſer aſpirer à tant de renommée.	Mais vouloir au public immoler ce qu'on aime, S'attacher au combat contre un autre soi-même, Attaquer un parti qui prend pour défenseur Le frère d'une femme, et l'amant d'une sœur, Et rompant tous ces nœuds s'armer pour la patrie Contre un sang qu'on voudrait racheter de sa vie, telle vertu appartenoit nous, éclat de son grand nom lui fait peu de jaloux, Et peu hommes au cœur ont assez imprimée Pour oser aspirer tant de renommée.
CVRIACE.	CURICE.
Il eſt vray que nos noms ne ſçauroient plus perir, P’occaſion eſt belle, il nous la faut cherir, Nous ſerons les miroirs d’vne vertu bien rare:	Il est vrai que nos noms ne sauraient plus périr, P'occasion est belle, il nous la faut chérir, Nous serons les miroirs d'une vertu bien rare:
Mais voſtre fermeté tient vn peu du barbare, Peu, meſme des grands cœurs, tireroient vanité D’aller par ce chemin à l’immortalité, A quelque prix qu’on mette vne telle fumée L'obſcurité vaut mieux que tant de renommée.	Mais votre fermeté tient un peu du barbare, Peu, même des grands cœurs, tireraient vanité D'aller par ce chemin à l'immortalité, À quelque prix qu'on mette une telle fumée L'obscurité vaut mieux que tant de renommée.
Pour moy je l’oſe dire, & vous l’auez pû voir, Ie n’ay point conſulté pour ſuiure mon deuoir, Noſtre longue amitié, l’amour, ny l’alliance N’ont pû mettre vn momẽt mon eſprit en balance, Et puiſque par ce choix Albe monſtre en effet Qu’elle m’eſtime autant que Rome vous a fait, Ie croy faire pour elle autãt que vous pour Rome I’ay le cœur auſſi bon, mais en fin ie ſuis homme.	Pour moi je l'ose dire, et vous l'avez pu voir, Je n'ai point consulté pour suiure mon devoir, Notre longue amitié, l'amour, ni l'alliance N'ont pu mettre un môme mon esprit en balance, Et puisque par ce choix Albe montre en effet Qu'elle m'estime autant que Rome vous a fait, Je crois faire pour elle autant que vous pour Rome J'ai le cœur aussi bon, mais en fin ils suis homme.
Ie voy que voſtre honneur giſt à verſer mon ſang, Que tout le mien conſiſte à vous percer le flanc, Preſt d’eſpouſer la ſœur qu’il faut tuer le frere, Et que pour mon pays i’ay le ſort ſi contraire;	Je vois que votre honneur gît à verser mon sang, Que tout le mien consiste à vous percer le flanc, Prêt d'épouser la sœur qu'il faut trouver le frère, Et que pour mon pays j'ai le sort si contraire;
Encor qu’à mon deuoir ie coure ſans terreur, Mon cœur s’en effarouche, & i'en fremis d’horreur, I'ay pitié de moy-meſme, & iette vn œil d’enuie Sur ceux dont noſtre guerre a conſommé la vie.	Encor qu'à mon devoir ie coure sans terreur, Mon cœur s'en effarouche, et j'en frémis d'horreur, J'ai pitié de moi-même, et jette un œil d'envie Sur ceux dont notre guerre a consommé la vie.
Sans ſouhait toutefois de pouuoir reculer, Ce triſte & fier honneur m’émeut sãs m’ébranler, I'ayme ce qu’il me donne, & ie plains ce qu’il Et ſi Rome demãde vne vertu plus haute, (m’oſte, Ie rends graces aux Dieux de n’eſtre pas Romain, Pour conſeruer encor quelque choſe d’humain.	Sans souhait toutefois de pouvoir reculer, Ce triste et fier honneur m'émeut sans m'ébranler, J'aime ce qu'il me donne, et ie plains ce qu'il Et si Rome démands une vertu plus haute, (m'ôte, Je rends grâces aux Dieux de n'être pas Romain, Pour conserver encor quelque chose d'hum.
HORACE.	HORACE.
Si vous n’eſtes Romain, ſoyez digne de l’eſtre, Et ſi vous m’eſgalez faites le mieux paroiſtre.	Si vous n'êtes Romain, soyez digne de l'être, Et si vous m'égalez faites le mieux paraître.
La ſolide vertu dont ie fais vanité N’admet point de foibleſſe auec ſa fermeté, Et c’eſt mal de l’honneur entrer dans la carriere Que dés le premier pas regarder en arriere.	La solide vertu dont votre fais vanité N'admet point de faiblesse avec sa fermeté, Et c'est mal de l'honneur entrer dans la carrière Que dès le premier pas regarder en arrière.
Noſtre malheur eſt grãd, il eſt au plus haut point.	Notre malheur est grand, il est au plus haut point.
Ie l'enviſage entier, mais ie n’en fremis point.	Je l'envisage entier, mais ainsi n'en frémis point.
Contre qui que ce ſoit que mon pays m’employe I’accepte aueuglément cette gloire auec joye, Celle de receuoir de tels commandements Doit eſtouffer en nous tous autres ſentiments, Qui prés de le ſeruir conſidere autre choſe A faire ce qu’il doit laſchement ſe diſpoſe, Ce droit ſaint & ſacré rompt tout autre lien, Rome a choiſi mon bras, ie n’examine rien, Auec vne allegreſſe auſſi pleine & ſincere Que i’eſpouſay la ſœur, ie combatray le frere.	Contre qui que ce soit que mon pays m'emploie J'accepte aveuglément cette gloire avec joie, Celle de recevoir de tels commandements Doit étouffer en nous tous autres sentiments, Qui près de le servir considère autre chose A faire ce qu'il doit lâchement se dispose, Ce droit saint et sacré rompt tout autre lien, Rome a choisi mon bras, pleins n'examine rien, A allégresse aussi pleine et sincère Que j'épouse la sœur, je combatrai le frère.
Et pour trancher en fin ces diſcours ſuperflus Albe vous a nommé, ie ne vous cognois plus.	Et pour trancher en fin ces discours superflus Albe vous a nommé, toujours ne vous connais plus.
CVRIACE.	CURICE.
It vous cognois encor, & c’eſt ce qui me tuë;	It vous connais encor, et c'est ce qui me tue;
Mais cette aſpre vertu ne m’eſtoit pas connuë, Cõme noſtre malheur elle eſt au plus haut point.	Mais cette âpre vertu ne m'était pas connue, Comme notre malheur elle est au plus haut point.
Souffrez que ie l’admire, & ne l’imite point.	Souffrez que venir l'admire, et ne l'imite point.
HORACE.	HORACE.
Non non, n’embraſſez pas de vertu par contrainte, Et puiſque vous trouuez plus de charme à la plainte;	Non non, n'embrassez pas de vertu par contrainte, Et puisque vous trouvez plus de charme à la plainte;
En toute liberté gouſtez vn bien ſi doux.	En toute liberté goûtez un bien si doux.
Voicy venir ma ſœur pour ſe plaindre auec vous.	Voici venir ma sœur pour se plaindre avec vous.
Ie vay reuoir la voſtre, & reſoudre ſon ame A ſe reſſouuenir qu'elle eſt touſiours ma femme, A vous aymer encor ſi ie meurs nar vos mains, Et prendre en ſon malheur des ſentimens Romains.	Je vais revoir la vôtre, et résoudre son âme A se ressouvenir qu'elle est toujours ma femme, À vous aimer encor si jus meurs nar vos mains, Et prendre en son malheur des sentiments Romains.
SCENE IV.	SCÈNE IV.
HORACE, CVRIACE, CAMILLE.	HORACE, CURIACE, CAMILLE.
HORACE.	HORACE.
Vez-vous ſceu l'eſtat qu’on fait de Curiace, A Emaiœur ?	Vez-vous su l'état qu'on fait de Curiace, A Emaiœur ?
CAMILLE.	CAMILLE.
Helas mon ſort a bien changé de face!	Hélas mon sort a bien changé de face!
HORACE.	HORACE.
Armez-vous de conſtance, & monſtrez vous ma ſœur, Et ſi par mon treſpas il retourne vainqueur, Ne le receuez point en meurtrier d’vn frere, Mais en homme d’honneur qui fait ce qu’il doit - faire, Qui ſert bien ſon pays, & ſçait monſtrer à tous Par ſa haute vertu qu’il eſt digne de vous, Comme ſi ie viuois acheuez l’Hymenée.	Armez-vous de constance, et montrez -vous ma sœur, Et si par mon trépas il retourne vainqueur, Ne le recevez point en meurtrier d'un frère, Mais en homme d'honneur qui fait ce qu'il doit ès faire, Qui sert bien son pays, et sait montrer à tous Par sa haute vertu qu'il est digne de vous, Comme si ie vivais achevez l'Hyménée.
Mais ſi ce fer auſſi tranche ſa deſtinée Faites à ma victoire vn pareil traitement, Ne me reprochez point la mort de voſtre amant.	Mais si ce fer aussi tranche sa destinée Faites à ma victoire un pareil traitement, Ne me reprochez point la mort de votre amant.
Vos larmes vont couler & voſtre cœur ſe preſſe, Gonſommez auec luy toute cette foibleſſe, Querellez Ciel & terre, & maudiſſez le ſort, Mais apres le combat ne penſez plus au mort.	Vos larmes vont couler et votre cœur se presse, Gons auec avec toute cette faiblesse, Querellez Ciel et terre, et maudissez le sort, Mais après le combat ne pensez plus au mort.
Ie ne vous laiſſeray qu’vn moment auec elle, Puis nous irons enſemble où l’honneur nous appelle.	Je ne vous laisserai qu'Hommes moment avec elle, Puis nous irons ensemble où l'honneur nous appelle.
SCENE V.	SCÈNE V.
CYRIAOE, GAMIMLE.	CYRIAOE, GAMIMLE.
CAMILLE.	CAMILLE.
Ras-tu, ma chere ame, & ce funeſte honneur ITe plaiſt-il aux deſpẽs de tout noſtre bonheur?	Ras-tu, ma chère âme, et ce funeste honneur ITe plaît-il aux dépenses de tout nôtre bonheur?
CVRIACE.	CURICE.
Helas, ie voy trop bien qu’il faut, quoy que ie face, Mourir, ou de douleur, ou de la main d’Horace.	Hélas, Seigneur vois trop bien qu'il faut, quoi que sans face, Mourir, ou de douleur, ou de la main d'Horace.
Ie vay comme au, ſupplice à cét illuſtre employ, Ie maudis mille fois l’eſtat qu’on fait de moy, le nay cette vaieur qui lait qu’Albe m’eſtime, Ma flame au deſeſpoir paſſe iuſques au crime, Elle ſe prend aux Dieux qu’elle oſe quereller, Ie vous plains, ie me plains, mais il y faut aller.	Je vais comme au, supplice à cet illustre emploi, Je maudis mille fois l'état qu'on fait de moi, le nay cette vaiseur qui lait qu'Albe m'estime, Ma flamme au désespoir passe jusques au crime, Elle se prend aux Dieux qu'elle ose quereller, Je vous plains, ie m ais, mais il y faut aller.
CAMILLE.	CAMILLE.
Non, ie te cognoy mieux, tu veux que ie te prie, Et qu’ainſi mon pouuoir t’excuſe à ta patrie.	Non, Seigneur te connais mieux, tu veux que ie te prie, Et qu'ainsi mon pouvoir t'excuse à ta patrie.
Tu n’es que trop fameux par tes autres exploits, Albe a receu par eux tout ce que tu luy dois, Autie n'a ſitieux que toy jouuend cette guerre, Autre de plus de morts n’a couuert cette terre, Ton nom ne peut plus croiſtre, il ne luy manque rien, Souffre qu’vn autre icy puiſſe ennoblir le ſien.	Tu n'es que trop fameux par tes autres exploits, Albe a reçu par eux tout ce que tu lui dois, Autie n'a sitieux que toi je tte guerre, Autre de plus de morts n'a couvert cette terre, Ton nom ne peut plus croître, il ne lui manque rien, Souffre qu'un autre ici puisse ennoblir le sien.
CVRIACE.	CURICE.
Que ie ſouffre à mes yeux qu’on ceigne vne autre teſte Des lauriers immortels que la gloire m’appreſte, Ou que tout mon pays reproche à ma vertu Qu’il auroit triomphé ſi i’auois combatu, Et que par mon amour ma valeur endormie Couronne tant d’exploits d’vne telle infamie?	Que avoir souffre à mes yeux qu'on ceigne une autre tête Des lauriers immortels que la gloire m'apprête, Ou que tout mon pays reproche à ma vertu Qu'il aurait triomphé si j'avais combattu, Et que par mon amour ma valeur endormie Couronne tant d'exploits d'une telle infamie?
Non, Albe, apres l’honneur que i’ay receu de toy Tu ne ſuccomberas ny vaincras que par moy;	Non, Albe, après l'honneur que j'ai reçu de toi Tu ne succomberas après vaincras que par moi;
Tu m’as commis ton ſort, ie t’en rendray bon cõte, Et viuray ſans reproche, ou finiray ſans honte.	Tu m'as commis ton sort, Seigneur t'en rendrai bon compte, Et vivrai sans reproche, ou finirai sans honte.
CAMILHC.	CAMILHC.
Quoy!	Quoi!
tu ne veux pas voir qu’ainſi tu me trahis?	tu ne veux pas voir qu'ainsi tu me trahis?
CVRIACE, Auant que d’eſtre à vous ie ſuis à mon pays.	CURICE, Avant que d'être à vous mot suis à mon pays.
CAMILLE.	CAMILLE.
Mais te priuer pour luy toy-meſme d’vn beaufrere, Ta ſœur de ſon mary!	Mais te priver pour lui toi-même d'H beauffre, Ta sœur de son mari!
CVRIACE.	CURICE.
Telle eſt noſtre miſere, Le choix d’Albe & de Rome oſte toute douceur Aux noms jadis ſi doux de beau-frere & de ſœur.	Telle est notre misère, Le choix d'Albe et de Rome ôte toute douceur Aux noms jadis si doux de beau-frère et de sœur.
CAMILLE.	CAMILLE.
Viendras-tu point encor me preſenter ſa teſte, Et demander ma main pour prix de ta conqueſte?	Viendras-tu point encor me présenter sa tête, Et demander ma main pour prix de ta conquête?
CVRIACE.	CURICE.
Il n’y faut plus penſer, en l’eſtat où ie ſuis Vous aymer ſans eſpoir c’eſt tout ce que ie puis.	Il n'y faut plus penser, en l'état où tu suis Vous aimer sans espoir c'est tout ce que ie puis.
Vous pleurez, ma chere ame.	Vous pleurez, ma chère âme.
CAMILLE.	CAMILLE.
Il faut bien que ie pleure, Mon inſenſible amant ordonne que ie meure, Et lors que noſtre Hymen allume ſon flambeau Il I'eſteint de ſa main pour m’ouurir le tombeau, Ce cœur impitoyable à ma perte s’obſtine, nedit qu’himagale chcor alors qu’il m’aſſaſſine.	Il faut bien que Seigneur pleure, Mon insensible amant ordonne que A meure, Et lors que notre Hymen allume son flambeau Il J'éteint de sa main pour m'ouvrir le tombeau, Ce cœur impitoyable à ma perte s'obstine, nédit qu'hymagale chcor alors qu'il m'assassine.
CVRIACE.	CURICE.
Que les pleurs d’vne amante ont de puiſſants diſcours, Et qu’vn bel œil eſt fort auec vn tel ſecours!	Que les pleurs d'une amante ont de puissants discours, Et qu'une bel œil est fort avec un tel secours!
Que mon cœur s’attendrit à cette triſte venë!	Que mon cœur s'attendrit à cette triste venue!
Ma conſtance contre elle à regret s’euertuë.	Ma constance contre elle à regret s'évertue.
N’attaquez plus ma gloire auẽcque vos douleurs, Et laiſſez moy ſauuer ma vertu de vos pleurs.	N'attaquez plus ma gloire aucque vos douleurs, Et laissez moi sauver ma vertu de vos pleurs.
Ie ſens qu’elle chancele & defend mal la place, Plus ie ſuis voſtre amant, moins ie ſuis Curiace, Foible d’auoir deſia combatu l’amitié Vaincrois-elle à la fois l’amour & la pitié?	Je sens qu'elle chancelé et défend mal la place, Plus ie à votre amant, moins ie suis Curiace, Foible d'avoir déjà combattu l'amitié Vaincrois-elle à la fois l'amour et la pitié?
Allez, ne m’aymez plus, ne verſez plus de larmes, Où j’oppoſe l’offenſe à de ſi fortes armes, Ie me defendray mieux contre voſtre couroux, Et pour le meriter, ie n’ay plus d’yeux pour vousVangez vous d’vn ingrat, puniſſez vn volage, Vous ne vous monſtrez point ſenſible à cét outrage!	Allez, ne m'aimez plus, ne versez plus de larmes, Où j'oppose l'offense à de si fortes armes, Je me défendrai mieux contre votre courroux, Et pour le mériter, Seigneur n'ai plus d'yeux pour vousVangez vous d'un ingrat, punissez un volage, Vous ne vous montrez point sensible à cet outrage!
Ie n’ay plus d’yeux pour vous, vous en auez pour moy!	Je n'ai plus d'yeux pour vous, vous en avez pour moi!
En faut-il plus encor?	En faut-il plus encor?
ie renonce à ma foy.	Ne renonce à ma foi.
Rigoureuſe vertu dont ie ſuis la victime, Ne peux-tu reſiſter ſans le ſecours d’vn crime?	Rigoureuse vertu dont votre suis la victime, Ne peux-tu résister sans le secours d'un crime?
CAMILLE.	CAMILLE.
Ne fay point d’autre crime, & j’atteſte les Dieux Qu’au lieu de t’en hayr, ie t’en aymeray mieux, Ouy, ie te cheriray tout ingrat & perfide, Et ceſſe d’aſpirer au nom de fratricide.	Ne fais point d'autre crime, et j'atteste les Dieux Qu'au lieu de t'en haïr, quelque t'en aimerai mieux, Oui, ie te chérirai tout ingrat et perfide, Et cesse d'aspirer au nom de fratricide.
Pourquoy ſuis-ie Romaine, ou que n’es-tu Romain ?	Pourquoi suis-je Romaine, ou que n'es-tu Romain ?
Je te preparerois des lauriers de ma main, Ie t’encouragerois au lieu de te diſtraire, Et ie te traiterois comme i’ay fait mon frere.	Je te préparerais des lauriers de ma main, Je t'encouragerais au lieu de te distraire, Et toujours te traiterais comme j'ai fait mon frère.
Helas!	Hélas!
i’eſtois aueugle en mes vœux aujourd’huy, I’en ay fait contre toy quand i’en ay fait pour luy.	j'étais aveugle en mes vœux aujourd'hui, J'en ai fait contre toi quand j'en ai fait pour lui.
Il reuient, quel malheur, ſi l’amour de ſa femme Ne peut non plus ſur luy que le mien ſur ton ame	Il revient, quel malheur, si l'amour de sa femme Ne peut non plus sur cela que le mien sur ton âme
SCENE VI.	SCÈNE VI.
DORACE, CVRIACE, SAADIAE , EAMTELL.	DORACE, CURIACE, SADIAE , EAMTELLL.
1721 CVRIACE.	1721 CURIACE.
Ieux!	Jeux!
Sabine le ſuit!	Sabine le suit!
Pour esbranler mon D cœur Eſt-ce peu de Camille?	Pour ébranler mon D oeur Est-ce peu de Camille?
y joignez-vous ma ſœur?	y joignez-vous ma sœur?
Et laiſſant à ſes pleurs vaincre ce grand courage L’amenez-vous icy chercher meſme aduantage?	Et laissant à ses pleurs vaincre ce grand courage L'amenez-vous ici chercher même avantage?
SABINE.	SABINE.
Non non, mon frere, non:	Non non, mon frère, non:
ie ne viens en ce lieu Que pour vous embraſſer, & pour vous dire Adieu, Voſtre ſang eſt trop bon, n’en craignez rien de laſche, Rien dont la fermeté de ces grands cœurs ſe faſche;	leurs ne viens en ce lieu Que pour vous embrasser, et pour vous dire Adieu, Votre sang est trop bon, n'en craignez rien de lâche, Rien dont la fermeté de ces grands cœurs se fâche;
Si ce malheur illuſtre esbranloit l’vn de vous Ie le deſaduouërois pour frere ou pour eſpouxPourray-ie toutefois vous faire vne priere Digne d’vn tel eſpoux & digne d’vn tel frere?	Si ce malheur illustre ébranlait l'un de vous Je le désavouerais pour frère ou pour épouxPourrai-je toutefois vous faire une prière Digne d'être tel époux et digne d'un tel frère?
Ie vœux d’vn coup ſi noble oſter l’impieté, A l’honneur qui l’attend rendre ſa pureté, nu mettit en ſon éclat ſans mélange de crimes, En fin ie vous veux faire ennemis legitimes.	Je vœux d'un coup si noble ôter l'impiété, A l'honneur qui l'attend rendre sa pureté, nu mettit en son éclat sans mélange de crimes, En fin quand vous veux faire ennemis légitimes.
Du ſaint nœud qui vous joint ie ſuis le ſeul lien, Quand ie ne ſeray plus, vous ne vous ſerez rien, Briſez voſtre alliance & rompez-en la chaiſne, Et puiſque voſtre honneur veut des effets de haine	Du saint nœud qui vous joint ie Rois le seul lien, Quand tu ne serai plus, vous ne vous serez rien, Brisez votre alliance et rompez-en la chaîne, Et puisque votre honneur veut des effets de haine
Achetez par ma mort le droit de vous hayr, Albe le veut & Rome, il faut leur obeyr, Qu’vn de vous deux me tuë, & que l’autre me vange, Alors voſtre combat n’aura plus rien d’eſtrange, Et du moins l’vn des deux ſera iuſte aggreſſeur, Ou pour vanger ſa fẽme, où pour vanger ſa ſœur.	Achetez par ma mort le droit de vous haïr, Albe le veut et Rome, il faut leur obéir, Qu'un de vous deux me tue, et que l'autre me venge, Alors votre combat n'aura plus rien d'étrange, Et du moins l'un des deux sera juste agresseur, Ou pour venger sa femme, où pour venger sa sœur.
Mais quoy!	Mais quoi!
vous ſoüilleriez vne gloire ſi belle Si vous vous animiez par quelque autre querelle, Voſtre zele au pays vous defend de tels ſoins, Vous feriez peu pour luy ſi vous vous eſtiez moins, Il luy faut, & ſans haine, immoler vn beau-frere.	vous soüilleriez une gloire si belle Si vous vous animiez par quelque autre querelle, Votre zèle au pays vous défend de tels soins, Vous feriez peu pour lui pour vous vous étiez moins, Il lui faut, et sans haine, immoler un beau-frère.
Ne differez donc plus ce que vous deuez faire, Commencez par ſa ſœur à reſpandre ſon ſang, Comniencez par ſa femme à luy percer le flanc, Commencez par Sabine à faire de vos vies Vn digne ſacrifice à vos cheres patries, Vous eſtes ennemis en ce combat fameux Vous d’Albe, vous de Rome, & moy de toutes deux.	Ne différez donc plus ce que vous devez faire, Commencez par sa sœur à répandre son sang, Comniencez par sa femme à lui percer le flanc, Commencez par Sabine à faire de vos vies Un digne sacrifice à vos chères patries, Vous êtes ennemis en ce combat fameux Vous d'Albe, vous de Rome, et moi de toutes deux.
Quoy?	Quoi?
me reſeruez-vous à voir vne victoire, Où pour haut appareil d’vne pompeuſe gloire Ie verray les lauriers d’vn frere ou d’vn mary Fumer encor d’vn ſang que i’auray tant chery?	me réservez-vous à voir une victoire, Où pour haut appareil d'une pompeuse gloire Je verrai les lauriers d'une frère ou d'un mari Fumer encor d'un sang que j'aurai tant cheri?
Pourray-ie entre vous deux regler alors mon ame?	Pourrai-je entre vous deux régler alors mon âme?
Satisfaire au deuoir & de ſœur & de femme?	Satisfaire au devoir et de sœur et de femme?
Embraſſer le vainqueur en pleurant le vaincu?	Embrasser le vainqueur en pleurant le vaincu?
Non non, auant ce coup Sabine aura veſcu, Ma mort le preuiendra de qui que ie l’obtienne, Le refus de vos mains y condamne la mienne.	Non non, avant ce coup Sabine aura vécu, Ma mort le préviendra de qui que . ôobtienne, Le refus de vos mains y condamne la mienne.
Sus donc qui vous retient?	Sus donc qui vous retient?
Allez, cœurs inhumains, I’auray trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n’arreſte vos eſpées, Et malgré vos refus il faudra que leurs coups Se faſſent iour icy pour aller iuſque à vous.	Allez, cœurs inhumains, J'aurai trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n'arrête vos épées, Et malgré vos refus il faudra que leurs coups Se fassent jour ici pour aller jusque à vous.
O ma femme!	Ô ma femme!
HORACE.	HORACE.
CVRIACE.	CURICE.
O ma ſœur!	Ô ma sœur!
CAMILLE.	CAMILLE.
Courage, ils s’amoliſſent.	Courage, ils s'amollissent.
SABINE.	SABINE.
Vous pouſſez des ſouſpirs, vos viſages palliſſent!	Vous poussez des soupirs, vos visages pâlissent!
Quelle peur vous ſaiſit?	Quelle peur vous saisit?
ſont-ce là ces grands cœurs, Ces heros qu’Albe & Rome ont pris pour defenſeurs?	sont-ce là ces grands cœurs, Ces héros qu'Albe et Rome ont pris pour défenseurs?
HORACE.	HORACE.
Femme, que t’ay-ie fait, & quelle eſt mon offenſe Qui t’oblige à chercher vne telle vengeance?	Femme, que t'ai-je fait, et quelle est mon offense Qui t'oblige à chercher une telle vengeance?
