DERETE L FRAGICOMLDIE.	DERTE L FRAGICOMLDIE.
Mais voicy mon fils.	Mais voici mon fils.
D L PSME.	D L ME.
LE ROY, TARSIS, TIRINTE.	LE ROY, TARSIS, TIRINTE.
TARSIS.	TARSIS.
IRE, comme ie ne ſouhaite rien auec vne paſſion plus violente, que voſtre gloire, & la tranquillité de l’Eſtat, ie ſuis obligé ſans doute de vous deſcouurir vne choſe qui importe à l’vn & à l'autre.	IRE, comme je ne souhaite rien avec une passion plus violente, que votre gloire, et la tranquillité de l'État, ie suis obligé sans doute de vous découvrir une chose qui importe à l'autre et à l'autre.
Vous ſçauez, Sire, ce que Criton a fait pour voſtre ſeruice depuis que vous luy auez fait l'honneur de l’employer;	Vous savez, Sire, ce que Criton a fait pour votre service depuis que vous lui avez fait l'honneur de l'employer;
vous connoiſſez par de grands effets;	vous connaissez par de grands effets;
combien ſa prudence & ſon courage ont contribué au repos & à la gloire meſme de cet Empire.	combien sa prudence et son courage ont contribué au repos et à la gloire même de cet Empire.
eia.	éjà.
LE-ROY.	LE-ROY.
le ſo̧ay bien touccela, mon fils, ie n’apperçoy de tous coſtez que des victoires & des trophées, qu’il a obtenus à noſtre auantage depuis qu’il eſt:	le so̧ay bien touccela, mon fils, je n'aperçois de tous côtés que des victoires et des trophées, qu'il a obtenus à notre avantage depuis qu'il est:
en ce pays, & ie cherche vne recompenſe en quelqueſorte proportionnée à la grandeur de ſa vertu.	en ce pays, et ainsi cherche une récompense en quelquesorte proportionnée à la grandeur de sa vertu.
Mais que m’en veniez vous dirc.	Mais que m'en veniez -vous dirc.
TARSIS.	TARSIS.
Sire, ie venois vous faire ſçauoir qu’il ſe diſpoſe à vous quitter.	Sire, Seigneur venais vous faire savoir qu'il se dispose à vous quitter.
A nous quitter.	À nous quitter.
LE ROY.	LE ROY.
TIRINTE.	TIRINTE.
A quitter le Roy.	À quitter le Roi.
ARSIS.	ARSIS.
Il en a fait vne ſi ferme reſolution qu’il ſera malaiſé de le retenir.	Il en a fait une si ferme résolution qu'il sera malaisé de le retenir.
Mais ilime ſemble qu’il eſt importaiit pour voitte gione quil ne s’eſloigne pas de cette Cour, & qu’il y demeure en vn rang qui teſmoigne à toute laterre, que ſi vous ſçauez employer le veruoun rouoijaueb uaiſi les recompenſer.	Mais ilime semble qu'il est importaiit pour voitte gione quil ne s'éloigne pas de cette Cour, et qu'il y demeure en un rang qui témoigne à toute laterre, que si vous savez employer le vern rouoijaueb aisy les récompenser.
LE ROY.	LE ROY.
Certe, cettenouuelle meſtonne.	Certe, cettenouuelle métonne.
TARSIS.	TARSIS.
Elle eſt toutefois veritable.	Elle est toutefois véritable.
LE ROY.	LE ROY.
Mais de qui la tenez vous.	Mais de qui la tenez vous.
TARSIS.	TARSIS.
Ie la tiens d’vne perſonne qui ne m'a pû dire ſes raiſons, mais qui ſçait fort bien ſon deſſein.	Je la tiens d'une personne qui ne m'a pu dire ses raisons, mais qui sait fort bien son dessein.
LE ROY.	LE ROY.
Il faut taſcher de s’y oppoſer.	Il faut tâcher de s'y opposer.
TARSIS.	TARSIS.
TARSIS.	TARSIS.
Ie croy cela heceſſaire.	Je crois cela hécessaire.
LE ROY.	LE ROY.
Il faut taſcher de le retenir, & de l’attacher pros de nous par des liens ſi ferme & ſi agreables, qu’il craigne plutoſt quiis ne le rompent qu’Il fi’ayt enuie de les rompre.	Il faut tâcher de le retenir, et de l'attacher pros de nous par des liens si ferme et si agréables, qu'il craigne plutôt qui ne le rompent qu'Il fi'ait envie de les rompre.
TARSIS.	TARSIS.
Toutes ſortes de conſiderations vous y doiuent obliger.	Toutes sortes de considérations vous y doivent obliger.
C’eſt vous conſeruer des forces que de le conſeruer pres de vous, & c’eſt vous mettre en eſtat d’adjouſter de nouueaux triomphes à vos anciennes victoires.	C'est vous conserver des forces que de le conserver pres de vous, et c'est vous mettre en état d'ajouter de nouveaux triomphes à vos anciennes victoires.
Il eſt aymé dans voſtre Empire, il eſt en veneration parmy les eſtrangers, vos ennemis le redoutent, & la perte que nous en ferions les conſoleroit facilement de la perte de douze batailles.	Il est aimé dans votre Empire, il est en vénération parmi les étrangers, vos ennemis le redoutent, et la perte que nous en ferions les consolerait facilement de la perte de douze batailles.
Dailleurs, commeiln’y a point de vertu ſi contante & ſi bien approuuée, dont vn Roy qui ſçait regner ne doiue entrer en defiance;	Dailleurs, commeiln'y a point de vertu si contante et si bien approuvée, dont un Roi qui sait régner ne doive entrer en défiance;
Luy pourroit-on raiſonnablement permettre de ſortir de ce païs, apres luy auoir permis d’entrer dans la connoiſſance de nos ſecrets.	Lui pourrait-on raisonnablement permettre de sortir de ce pays, après lui avoir permis d'entrer dans la connaissance de nos secrets.
Ce n’eſt pas queie ſoupçonne ſa vertu, mais ie ſuis de ce ſentiment qu’il ne faut pas ſe mettre au hazard d’auoir lieu de le ſoupçonner.	Ce n'est pas queie soupçonne sa vertu, mais je suis de ce sentiment qu'il ne faut pas se mettre au hasard d'avoir lieu de le soupçonner.
Il faut co:	Il faut co:
me voſtre Majeſté vient de dite, le retenir en ce Paye par des chaines ſi agreables qu’elles faſſenttout enſemble ſa gloire & ſa felicité:	me votre Majesté vient de dite, le retenir en ce Paye par des chaines si agréables qu'elles fassenttout ensemble sa gloire et sa félicité:
Et pour moy ie iugerois qu’il faudroit le retenir par quelque aliance auanta	Et pour moi ici jugerais qu'il faudrait le retenir par quelque aliance avanta
LE ROY.	LE ROY.
C’eſt la mon ſentiment, Tarſis;	C'est la mon sentiment, Tarsis;
& c’eſt à quoy ie trauaille.	et c'est à quoi rien travaille.
TARSIS.	TARSIS.
Mais pour le retenir plus ayſement il faudroit que cette alſſance luy nt eſperer des honneurs qu’il ne pût trouuer autre part.	Mais pour le retenir plus aisément il faudrait que cette alssance vertu n espérer des honneurs qu'il ne pût trouver autre part.
LE ROY.	LE ROY.
Il ſemble que ie parle par voſtre bouche, & que vous liſiez dans mes penſees, tant Il’y a de conformité entre vos ſentimens & les miens:	Il semble que je parle par votre bouche, et que vous lisiez dans mes pensées, tant Il’y a de conformité entre vos sentiments et les miens:
Mais comment voudriez vous faire?	Mais comment voudriez -vous faire?
TARSIS.	TARSIS.
Sire, ily a long-temps que vous m’auez teſmoigné que ſi vous auiez de plus grands biens à me donner, que le Sceptre & la Couronne, vous me les donneriez auec plealir.	Sire, ili a longtemps que vous m'avez témoigné que si vous aviez de plus grands biens à me donner, que le Sceptre et la Couronne, vous me les donneriez avec plealir.
LE ROY.	LE ROY.
Autrefois, Tarſis, ie t’ay donné cette parole, & maintenant ie tela confirme.	Autrefois, Tars, ie t'ai donné cette parole, et maintenant a tela confirme.
Il n’y a rien que ie ne doiue à tes grandes actions, tu as affermy la Couronne qui trembloit deſſus ma teſte;	Il n'y a rien que ici ne doive à tes grandes actions, tu as affermi la Couronne qui tremblait dessus ma tête;
Et bien qu’vn enfant doiue toutes choſes à ſon pere & qu’vn pere ne puiſſe eſtre ingrat enuers ſes enfans, apres leur auoir donné la vie, ie confeſſe neantmoins que ie ſerois ingrat enuers toy, ſi ie me contentois de t’auoir donné des paroles.	Et bien qu'un enfant doive toutes choses à son père et qu'un père ne puisse être ingrat envers ses enfants, après leur avoir donné la vie, je confesse néanmoins que je serais ingrat envers toi, si je me contentais de t'avoir donné des paroles.
Pour t’auoir donnéla vie:	Pour t'avoir donna vie:
Ie ne me croy pas diſpenſé de recompenſer ton courage.	Je ne me crois pas dispensé de récompenser ton courage.
Mais .	Mais .
p.	p.
enfin qu’eſpere-tu de la parole que ie t’ay donnée, connois-tu de plus grands biens que le diadeſme?	enfin qu'espère-tu de la parole que je t'ai donnée, connais-tu de plus grands biens que le diadème?
Apperçoy-tu quelque choſe au de là de cette gloire que l’on rencontre dans le throſne?	Aperçois-tu quelque chose au de là de cette gloire que l'on rencontre dans le trône?
Par-le, ne feins point de faire des demandes;	Parle, ne feins point de faire des demandes;
Ie ſeray plus prompt à te donner que tu ne ſeras à demander.	Je serai plus prompt à te donner que tu ne seras à demander.
Si cet Empire obligé par ton courage, t’en a deſia recompenſé en te reconnoiſſant poi ſon Roy, comme tu en tiendras la Couronne, certes, ie ſeray bien ayſe que tu tiennes de moy des choſes qui te ſoient plus precieuſes que la Couronne.	Si cet Empire obligé par ton courage, t'en a déjà récompensé en te reconnaissant poi son Roi, comme tu en tiendras la Couronne, certes, ie serai bien aise que tu tiennes de moi des choses qui te soient plus précieuses que la Couronne.
Par-le donc, & demande norement.	Parle donc, et demande norement.
TARSIS.	TARSIS.
I’ayme il y a long-temps, l’incomparable Berenice.	J'aime il y a longtemps, l'incomparable Berenice.
Quoy!	Quoi!
Sire, vous changez de viſage.	Sire, vous changez de visage.
LE ROL.	LE ROL.
Vous aymez, Berenice.	Vous aimez, Berenice.
TARSIS.	TARSIS.
Oüy, Sire, & vous pouuez retenir ſon Pere par l’honneur de voſtre alliance.	Oui, Sire, et vous pouvez retenir son Père par l'honneur de votre alliance.
LE ROT.	LE ROT.
Oüy, mon fils, ie puis l’arreſter par ce bien, & mon repos en depend.	Oui, mon fils, je puis l'arrêter par ce bien, et mon repos en dépend.
TARSIS.	TARSIS.
Ainſi voſtré repos ne depend que de voſtre vo lonté.	Ainsi vostré repos ne dépend que de votre vo lonté.
LE ROY.	LE ROY.
Ié ſerois mon ennemy, ſi ié ne voulois y conſentir, .	Jé serais mon ennemi, si jé ne voulais y consentir, .
D ij -4	D ij 4
TARSIS.	TARSIS.
Ha!	Ha!
Sire ce conſentement eſt ce grand bien que i’ay attendu;	Sire ce consentement est ce grand bien que j'ai attendu;
& que i’ay touſiours eſtimé plus conſiderable que la Couronne.	et que j'ai toujours estimé plus considérable que la Couronne.
LE ROY.	LE ROY.
Mais bien que Berenice ſoit d’vne naiſſance illuſtre, & que ſes beautez ſoient merueilleuſes, elle n’eſt ny Reyne ny Princeſſe, & en l’Eſtat oü vous eſtes vous ne deuez penſer qu’à l’alliance des autres Rois.	Mais bien que Berenice soit d'une naissance illustre, et que ses beautés soient merveilleuses, elle n'est assez Reine ni Princesse, et en l'État ou vousrés vous ne devez penser qu'à l'alliance des autres Rois.
Vous deuez alier le throſne au throſne, & ſi l’amour vous enſlamme pour vneautre que pour vne Reyne, vous le deuez croire voſtre ennemy.	Vous devez alier le trône au trône, et si l'amour vous enslamme pour vneautre que pour une Reine, vous le devez croire votre ennemi.
La bonne grace & la beauté ſont ſans doute de puiſſans moyens pour attirer de ieunes cœurs;	La bonne grâce et la beauté sont sans doute de puissants moyens pour attirer de jeunes cœurs;
Mais ce ne ſont pas là les charmes qui doiuent captiuer les Rois, & c’eſt principalement en leur faiſant reſiſtance qu’vn Roy peut faire connoiſtre qu’il eſt au deſſus des autres hommes.	Mais ce ne sont pas là les charmes qui doivent captiver les Rois, et c'est principalement en leur faisant résistance qu'un Roi peut faire connaître qu'il est au dessus des autres hommes.
TARSIS.	TARSIS.
Il eſt vray que Berenice n’eſt pas Reyne, mais il ne s’en faut que voſtre conſentement.	Il est vrai que Berenice n'est pas Reine, mais il ne s'en faut que votre consentement.
Et peut-eſtre que le Ciel qui veut la felicité de cet Eſtat ne la fit venir en cette Cour, que pour eſtre le lien qui vous arreſtera ſon pere.	Et peut-être que le Ciel qui veut la félicité de cet État ne la fit venir en cette Cour, que pour être le lien qui vous arrêtera son père.
Si vous croyez que mon amour ſoit tropbaſſe, il ne tiendra qu’à vous que ie n’ayme vne Reyné, puiſqu’il ne tiendra qu’à vous que Berenice ne la deuienne.	Si vous croyez que mon amour soit tropbasse, il ne tiendra qu'à vous que je n'aime un Reiné, puisqu'il ne tiendra qu'à vous que Berenice ne la devienne.
LE ROY.	LE ROY.
Il ne tiendra iamais à moy;	Il ne tiendra jamais à moi;
mais comme cette affaire eſt grande, elle merite bien d’eſtre conſultée, & qu’on y penſe auec attention.	mais comme cette affaire est grande, elle mérite bien d'être consultée, et qu'on y pense avec attention.
TARSIS.	TARSIS.
Plus voſtre Majeſté y penſera & plus elle ſe declarera pour moy.	Plus votre Majesté y pensera et plus elle se déclarera pour moi.
Si vous y penſez dauantage, vous duuteltouipeniede pas ca poſuader Timportance;	Si vous y pensez davantage, vous duteltouipéniede pas ca osuader Timportance;
car comme elle eſt auantageuſe, vous n’auez qu’à la conſiderer, afin d’en eſtre perſuadé.	car comme elle est avantageuse, vous n'avez qu'à la considérer, afin d'en être persuadé.
LE ROY.	LE ROY.
Voyez cependant Criton, & ſans luy parler de ce deſſein, faite en ſorte de ſçauoir de luy quelles raiſons il a de nous quitter.	Voyez cependant Criton, et sans lui parler de ce dessein, faite en sorte de savoir de lui quelles raisons il a de nous quitter.
AAROIJ.	AAROIJ.
Ie vay obeïr à voſtre Majeſté.	Je vais obéir à votre Majesté.
SCENE TROISIIESME.	SCÈNE -TROISIÈME.
LE ROY, TIRINTE, 51	LE ROY, TIRINTE, 51
LE RO'Y.	LE RO'Y.
:	:
1y T Vrinte, il ne faut plus demander les raiſons de lareſponce de Criton;	1i T Vrinte, il ne faut plus demander les raisons de laresponce de Criton;
Ie les deſcouure facilen ment dans la paſſion que mon fils a pour ſa fillo, il ne laiſſe pas deſouhaiter mon aliance.	Je les découvre facilen ment dans la passion que mon fils a pour sa fillo, il ne laisse pas déjouhaiter mon aliance.
Il ayme mieux .	Il aime mieux .
.	.
.	.
D iij pour ſon gendre vn ieune Prince, qu’vn Roy deſia preſt de deſcendre dans le tombeau;	 Dijà pour son gendre un jeune Prince, qu'un Roi déjà prêt de descendre dans le tombeau;
Mon âge luy fait peur & la ieuneſſe de mon fils luy donne vne agreable eſperance.	Mon âge Seigneur fait peur et la jeunesse de mon fils lui donne une agréable espérance.
Il s’imagine que la Couronne ne peut lon-gtemps demeurer ſur des cheueux blancs;	Il s'imagine que la Couronne ne peut lon-gtemps demeurer sur des cheveux blancs;
& conime l’apparence luy fait iuger que ie ne ſuis pas loing de la mort, & que la mott luy feroit perdre la puiſſance que i’aurois, portée ſa maiſon, il croit que la receuoir de ma main, c’eſt la receuoir cõmme d’vn ſonge, ou il n’y a que l’imagination qui ſe puiſſe vanter d’eſtre heureuſe.	et conime l'apparence avait fait juger que je ne suis pas loin de la mort, et que la mott quelque ferait perdre la puissance que j'aurais, portée sa maison, il croit que la recevoir de ma main, c'est la recevoir commme d'un songe, ou il n'y a que l'imagination qui se puisse vanter d'être heureuse.
Il croid enfin qu’entrer dans le throſne auec moy chargé de foibleſſe & d’années, c’eſt entrer ſeulement dans vn tombeau magnifique.	Il croid enfin qu'entrer dans le trône avec moi chargé de faiblesse et d'années, c'est entrer seulement dans un tombeau magnifique.
Et qu’y monte aue c mon fils, c’eſt monter d’vn meſme pas dans le ſiege dela vie & de la gloite.	Et qu'y monte use ç mon fils, c'est monter d'un même pas dans le siège déla vie et de la gloite.
Voila ce que pẽſe Criton, mais il faut que ie me contente, & que ie ſatisfaſſe mon amour;	Voilà ce que pẽse Au, mais il faut que ici me contente, et que personne satisfasse mon amour;
il ne faut pas que la puiſſance me ſoit vn auantage inutile, & qu’eſtant le plus puiſſant de cét Empire i’en ſeis en meſme temps le plus malheureux.	il ne faut pas que la puissance me soit un avantage inutile, et qu'étant le plus puissant de cet Empire j'en seis en même temps le plus malheureux.
TIRINTE.	TIRINTE.
Voudriez-vous vſer de force.	Voudriez-vous user de force.
LE ROY.	LE ROY.
Ie mettray tout en vſage.	Je mettrai tout en usage.
TIRINTE.	TIRINTE.
Ha!	Ha!
Sire, on ne gagne pas les cœurs comme les Empires, & l’amour eſt vn enfant de la volonté & non pas de la violence.	Sire, on ne gagne pas les cœurs comme les Empires, et l'amour est un enfant de la volonté et non pas de la violence.
LE ROY.	LE ROY.
Hé bien, Tirinte, voy Berenice, & deſcouure luy mon amour.	Hé bien, Tyrinte, vois Berenice, et découvre lui mon amour.
Peut-eſtre que comme elle eſt digne de regner elle en aura l’amibition.	Peut-être que comme elle est digne de régner elle en aura l'amibition.
Il faut la voir.	Il faut la voir.
PIRINVIL.	PIRINVIL.
LE ROY.	LE ROY.
Mais il s’agit ici deux choſes, ſatisfaire mon amour & de retenir Criton.	Mais il s'agit ici deux choses, satisfaire mon amour et de retenir Criton.
Ie ne doute point qu’il ne demeure s’il entre dans mon alliance, mais il y voudroit entrer parle moyen de mon fils,il faut donc tatener de le contenter, puiſque ſon contentement ſera le mien.	Je ne doute point qu'il ne demeure s'il entre dans mon alliance, mais il y voudrait entrer parle moyen de mon fils,il faut donc tatener de le contenter, puisque son contentement sera le mien.
Ainſi pour accommoder toutes choſes, i’eſpouſeray Berenice, & ie donneray ſa ſœur à mon fils.	Ainsi pour accommoder toutes choses, j'épouserai Berenice, et notre donnerai sa sœur à mon fils.
TIRINTE.	TIRINTE.
Oa Eur (Aſſalle.	Ôa Eur (Assalle.
LE ROY.	LE ROY.
Oüy, Tirinte, ie donneray à mon fils la ſœur de Berenice, Ie luy donneray amaſie, qu’en ditesvous.	Oui, Tirinte, Seigneur donnerai à mon fils la sœur de Berenice, Je lui donnerai amasie, qu'en ditesvous.
TIRINTE.	TIRINTE.
Que ce remede de voſtre mal eſt digne veritablement de l’eſprit qui l’ainuenté, & que Criton manqueroit de ſageſſe s’il ne vouloit pas eſcouter des conditions ſi fauorables.	Que ce remède de votre mal est digne véritablement de l'esprit qui l'ainventé, et que Criton manquerait de sagesse s'il ne voulait pas écouter des conditions si favorables.
Mais, Sire, ſi le Prince voſtre fils a de l’amour pour Berenice, penſez-vous qu’il puiſſe aymer Amaſie.	Mais, Sire, si le Prince votre fils a de l'amour pour Berenice, pensez-vous qu'il puisse aimer Amasie.
LE ROY.	LE ROY.
Il s’y reſoudra bien-toſt, quand il ſçaura ma volonté.	Il s'y résoudra bientôt, quand il saura ma volonté.
TIRINTE.	TIRINTE.
Ie ne doute point que voſtre volonté ne ſoit ſouueraine ſur ſon eſprit.	Je ne doute point que votre volonté ne soit souveraine sur son esprit.
Mais, Sire, pourriezvous quitter' Berenice, afin d’en aymer vn autre, & comme vous ne dependez que des Dieux ſi vn Dieu vous le commandoit luy obeïriez-vous facilement?	Mais, Sire, pourriezvous quitter' Berenice, afin d'en aimer un autre, et comme vous ne dépendez que des Dieux si un Dieu vous le commandait avoir obéiriez-vous facilement?
LE ROY.	LE ROY.
Ne mefais point de queſtions, contente toy de m'obeïr, la ſœur de Berenice eſt belle, & merite bien d’eſtre aymée.	Ne mefais point de questions, contente toi de m'obéir, la sœur de Berenice est belle, et mérite bien d'être aimée.
TIRINTE.	TIRINTE.
Oüy, Sire, & ie ſerois le plus aueugle de tous les hommes ſiie ne connoiſſois la force, & la puiſſance de ſa beauté.	Oui, Sire, et ainsi serais le plus aveugle de tous les hommes siie ne connaissais la force, et la puissance de sa beauté.
Mais vous ne pouuez ignorer que quand l’amour eſt dans noſtre ame il ne permet pas ànos yeux de trouuer rien de beau que l’obiet qu’il nous fait aymer.	Mais vous ne pouvez ignorer que quand l'amour est dans notre âme il ne permet pas ànos yeux de trouver rien de beau que l'objet qu'il nous fait aimer.
Peut-eſtre que le Prince ne ſera pas exempt de cette loy, Et comme il n’y a rien, qui nous empeche tant d’aymer que des le commandemens qu’on nous en fait, il aura, peut-eſtre, de peineà vous obeïr quand vous luy commanderez d’aymer Amaſie.	Peut-être que le Prince ne sera pas exempt de cette loi, Et comme il n'y a rien, qui nous empèche tant d'aimer que des le commandements qu'on nous en fait, il aura, peut-être, de peineà vous obéir quand vous lui commanderez d'aimer Amasie.
LE ROY.	LE ROY.
Il ſe ſoumettra, Tirinte.	Il se soumettra, Tirinte.
TIRINTE.	TIRINTE.
TIRINTE.	TIRINTE.
Ie ne voudrois pas mettre au hazard de vous faiee voir le coutraire.	Je ne voudrais pas mettre au hasard de vous faye voir le coutraire.
LE ROI.	LE ROI.
Ie connois parfaitement ſon eſprit.	Je connais parfaitement son esprit.
TIRINTE.	TIRINTE.
Quarier ramour eit daus vile aile, & qu’il y regne en ſouuerain, il y fait de ſi grands changemens, qu’il eſt mal-aiſé de la reconnoiſtre.	Quarier ramour eit daus vile aile, et qu'il y règne en souverain, il y fait de si grands changements, qu'il est mal-aisé de la reconnaître.
LE ROY.	LE ROY.
Si bien, Tirinte, il faut s’eſloigner pour quelque temps, ann que durant ſon ablence n puiſſe oublier Berenice.	Si bien, Tirinte, il faut s'éloigner pour quelque temps, ann que durant son ablence n puisse oublier Berenice.
TIRINTE.	TIRINTE.
al laut tenter ce denem, nieta peue citremeilleur.	al laut tenter ce denem, niéta peue citremeilleur.
LE ROY.	LE ROY.
Mais il faudra que tu l’accompagne par tout, & durant ſon eſloignement tu taſche de le diſpoſer à ne conndeler qu’Ainanle.	Mais il faudra que tu l'accompagne par tout, et durant son éloignement tu tâche de le disposer à ne conndéler qu'Ainanle.
TIRINTE.	TIRINTE.
C’eſt touſiours en reuenir au meſme poinct.	C'est toujours en revenir au même point.
Pour moy iecrains auec raiſon de ne pouuoir vous ſatisfaire, & que mon trauail ne reſponde pas à ma volonté.	Pour moi imprains toujours raison de ne pouvoir vous satisfaire, et que mon travail ne réponde pas à ma volonté.
LE ROY.	LE ROY.
Conſidere qui t’a obligé, & par la grandeur du ſeruice que tu me rendras, iuge de la grandeur de la recompenſe:	Considère qui t'a obligé, et par la grandeur du service que tu me rendras, juge de la grandeur de la récompense:
Mais enfin va dire à Criton que ie veux parler à luy.	Mais enfin va dire à Criton que tu veux parler à lui.
E	E
SOLEVA DATRE,	SOLEUA DATRE,
TIRINTE SEVL.	TIRINTE SEUL.
Vel coup viens-je de receuoir!	Vel coup viens-je de recevoir!
Moy, prendre la charge de me donner vn Riual.	Moi, prendre la charge de me donner un Rival.
Moy, trauaner moy-meſme à me priuer de celle que i’ayme!	Moi, travaner moi-même à me priver de celle que j'aime!
Il faut plutoſt me commander de m’arracher le cœur, il m’eſt plus ayſé de perdre la vie que de perdre mon amour.	Il faut plutôt me commander de m'arracher le cœur, il m'est plus aisé de perdre la vie que de perdre mon amour.
Allons, allons dire au Roy que nous ne pouuons luy obeïr, s’il ne peut vaincre ſon amour, pourroit-il trouuer eſtrange que ie ne ſirmonte pas la mienne;	Allons, allons dire au Roi que nous ne pouvons lui obéir, s'il ne peut vaincre son amour, pourrait-il trouver étrange que sans ne sirmonte pas la mienne;
Et s’il me vouloit condamner comme vn ſujet deſobeïſſant, & rebelle, il a mon excuſe dans ſon ame, puiſqu’il ayme auſſi-bien que moy, & qu’il reconnoiſt la force de cette puiſſante paſſion?	Et s'il me voulait condamner comme un sujet désobéissant, et rebelle, il a mon excuse dans son âme, puisqu'il aime aussi-bien que moi, et qu'il reconnaît la force de cette puissante passion?
s’il eſt arreſté que ie doiue perdre Amaſie, ô Dieux, ô amour, ô fortune, priuez moy de ce treſor ſans me contraindre moy-meſme de trauailler pour le perdre.	s'il est arrêté que ici doive perdre Amasie, ô Dieux, ô amour, ô fortune, privez moi de ce trésor sans me contraindre moi-même de travailler pour le perdre.
Laiſſez-moy dans mon malheur cette ſeule conſolation, qu’au moins ie ne puiſſe dire que i’ay cauſé mon infortune.	Laissez-moi dans mon malheur cette seule consolation, qu'au moins tu ne puisse dire que j'ai causé mon infortune.
Mais que fay-ie & que veux-ieicy reloudre:	Mais que fais-je et que veux-jeici reloudre:
finuiſſeray le contte moy la colere d’vn Monarque, m’en feray-ie vn ennemy?	finuisserai le contte moi la colère d' Monarque, m'en ferai-je un ennemi?
Helas!	Hélas!
quoy que ie faſſe, & de quelque coſté que ie P.	quoi que ieclasse, et de quelque côté que personne P.
P.	P.
.	.
me tourne, ie ne voy que des precipices, & ie connois trop clairement que ie ſuis deſtiné moy-meſme à me perſecuter, & me nuire?	me tourne, Seigneur ne vois que des précipices, et notre connais trop clairement que personne suis destiné moi-même à me persécuter, et me nuire?
Si ie parle au Prince d’aymer Amaſie, & que ie reüſſiſſe en ce deſſein, ne me trahiray-ie pas moy-meſme;	Si ici parle au Prince d'aimer Amasie, et que sans réussisse en ce dessein, ne me trahirai-je pas moi-même;
& ſi ie deſobeys au Roy, n’attireray-ie pas ſur moy ſa diſgrace & ſa co lere.	et si ici désobéis au Roi, n'attirerai-je pas sur moi sa disgrâce et sa co lere.
Mais cette conſideration peut-elle naiſtre dans vn ,eour;	Mais cette considération peut-elle naître dans un ,;
qui ayme vemcablemene.	qui aime vemcablemene.
Non, iioil.	Non, jioil.
Mais;	Mais;
CEISLEINVAESME AMASIE, TIRINTE.	CEISLEINVAESME AMASIE, TIRINTE.
AMASIE.	AMASIE.
TT Hrinte, ne blaſmez point ma curioſité?	TT Hrinte, ne blâmez point ma curiosité?
Dites moy ie vous ſupplie, pourquoy le Roy vous a Taſt paiſcr amon Perc;	Dites -moi encore vous supplie, pourquoi le Roi vous a Tât paicr amon Perc;
TIRINTE.	TIRINTE.
Helas, Madame, c’eſt pour vn deſſein qui ne peut reuſſir qu’à ma ruine;	Hélas, Madame, c'est pour un dessein qui ne peut réussir qu'à ma ruine;
mais la conſolation que i’y trouue, c’eſt qu’il ne peut reuſſir que pour voſtre gloire,	mais la consolation que j'y trouve, c'est qu'il ne peut réussir que pour votre gloire,
AMASIE, Comment, Tirinte?	AMASIE, Comment, Tirinte?
3---- vous le Ipaulce allce tolte.	3- vous le Ipaulce allée tolte.
AMASIE.	AMASIE.
Ie ne ſçauray point trop toſt ce que ie deſire ſçauoir auec vne ardante paſſion.	Je ne saurai point trop tôt ce que je désire savoir auec vne ardante passion.
TIRINTE.	TIRINTE.
Ne me contraighez poſſit de Vous donner de l’eſtonnement, & peut eſtre de vous geſner.	Ne me contraighez possit de Vous donner de l'étonnement, et peut être de vous gêner.
AMASIE.	AMASIE.
Si ce deſſein eſt pour ma gloire, comment puiſie en eſtre geſnée?	Si ce dessein est pour ma gloire, comment puisie en être gênée?
N’augmentez point mon impatience;	N'augmentez point mon impatience;
Ce ſeroit me faire achepter la faueur que ie vous demande, & me teſmoigner en meſme temps qu’il y auroit peu d’amour, où ie voy ſi peu de ſoin de me ſatisfaire.	Ce serait me faire acheter la faveur que je vous demande, et me témoigner en même temps qu'il y aurait peu d'amour, où tu vois si peu de soin de me satisfaire.
TTRINTE.	TTRINTE.
Vous le diray-ie, Madame?	Vous le dirai-je, Madame?
on veut me rendre malheureux, on veut que le Prince vous ayme, que tiouslelpondlce a fol aioure.	on veut me rendre malheureux, on veut que le Prince vous aime, que tiouslelpondlce a fol aioure.
AMASIE.	AMASIE.
Moy, Tirinte!	Moi, Tirinte!
TIRINTE.	TIRINTE.
Vous, Madame, à quoy eſtiez vous reſoluë,	Vous, Madame, à quoi étiez -vous résolue,
AMASIE.	AMASIE.
Ie vous le demande, Tirinte;	Je vous le demande, Tirinte;
Ne deuez-vous pas ſçauoir ma reſolution, puiſque vous ne pouuezignoter que ie ne manque pas de generoſité?	Ne devez-vous pas savoir ma résolution, puisque vous ne pouvezignoter que ici ne manque pas de générosité?
2 .	2 .
.	.
.	.
.	.
.	.
TIRINTE.	TIRINTE.
Quoy, Madame, eſpererois-je en ma faueur, que l’amour, dont vous m’honorez, priueroit voſtre vertu de la Couronne qu’on luy preſente, & qu’elle merite ſi iuſtement?	Quoi, Madame, espérerais-je en ma faveur, que l'amour, dont vous m'honorez, priverait votre vertu de la Couronne qu'on lui présente, et qu'elle mérite si justement?
AMASIE.	AMASIE.
Ie ne feray rien que de raiſonnable.	Je ne ferai rien que de raisonnable.
IRINTE.	JRINTE.
Si vous ne faites rien que de raiſonnable, que i’ày de fujet de craindre au milieu de tant de raiſons que vous auez d’abandonner vn malheureux.	Si vous ne faites rien que de raisonnable, que j'ài de sujet de craindre au milieu de tant de raisons que vous avez d'abandonner un malheureux.
Helas!	Hélas!
