A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
Il n’eſt rien de plus vray, ma tres-chere Maiſtreſſe, Et je l’eſprouve en moy chetive pechereſſe, Le bon Dieu faſſe paix à mon pauvre Martin;	Il n'est rien de plus vrai, ma très-chère Maîtresse, Et je l'éprouve en moi chétive pécheresse, Le bon Dieu fasse paix à mon pauvre Martin;
Mais j’avois luy vivant le teint d’un Cherubin, l’Embonpoint merveilleux, l’œil guay, l’ame contente, Et je ſuis maintenant ma commere dolente, Pendant cet heureux temps paſſé comme un éclair, Je me couchois ſans feu dans le fort de l’hyver, Seicher meſme les draps me ſembloit ridicule, Et je tremble à preſent dedans la Canicule;	Mais j'avais Seigneur vivant le teint d'un Chervin, l'Embonpoint merveilleux, l'œil guai, l'âme contente, Et je suis maintenant ma commere dolente, Pendant cet heureux temps passé comme un éclair, Je me couchais sans feu dans le fort de l'hiver, Sicher même les draps me semblait ridicule, Et je tremble à présent dedans la Canicule;
Enfin il n’eſt rien tel, Madame croyez-moy, Que d’avon un mary la nuit auples de IOy, Ne fuſſe que pour l’heur d’avoir qui vous ſaluë, d’Un Dieu vous ſoit en aide, alors qu’on éternuë	Enfin il n'est rien tel, Madame croyez-moi, Que d'avon un mari la nuit auples de JOis, Ne fusse que pour l'heur d'avoir qui vous salue, d'Un Dieu vous soit en aide, alors qu'on éternue
CELIE.	CELIE.
Peux-tu me conſeiller de commettre un forfait, d’Abandonner Lelie, & prendre ce mal fait?	Peux-tu me conseiller de commettre un forfait, d'Abandonner Lélie, et prendre ce mal fait?
LA SUIVANTE.	LA SUIVANTE.
voltie Lelle aui n’eit ma loy qu'unc belte;	voltie Lelle aui n'éit ma loi qu'unc elte;
Puiſque ſi hors de temps ſon voyage l’arreſte, Et la grande longueur de ſon eſloignement Me le fait ſoupçonner de quelque changement	Puisque si hors de temps son voyage l'arrête, Et la grande longueur de son éloignement Me le fait soupçonner de quelque changement
CELIE, luy montrant le portraict de Lelie.	CELIE, Seigneur montrant le portrait de Lelie.
Ah!	Ah!
ne m’accable point par ce triſte preſage, vois attentivement les tralets de ce vllage.	ne m'accable point par ce triste présage, vois attentivement les tralets de ce vllage.
Ils jurent à mon cœur d’eternelles ardeurs, Je veux croire apres tout qu’ils ne ſont pas menteurs;	Ils jurent à mon cœur d'éternelles ardeurs, Je veux croire après tout qu'ils ne sont pas menteurs;
Et comme c’eſt celuy que l’art y repreſente, Er vtonſerve à mes feux une amitié conſtante.	Et comme c'est celui que l'art y représente, Er utonserve à mes feux une amitié constante.
LA SUIVANTE.	LA SUIVANTE.
Il eſt vray que ces traits marquent un digne amant, Et que vous avez lieu de l’aimer tendrement.	Il est vrai que ces traits marquent un digne amant, Et que vous avez lieu de l'aimer tendrement.
CELIE laiſſant tomber le portraict de Lelie.	CELIE laissant tomber le portrait de Lélie.
Et cependant il faut.	Et cependant il faut.
ah!	ah!
ſouſtiens-moy.	soutiens-moi.
LA SUIVANTE.	LA SUIVANTE.
Madame, d’Où vous pourroit venir.	Madame, d'Où vous pourrait venir.
ah!	ah!
bons Dieux elle paſme.	bons Dieux elle pâme.
He!	He!
viſte, hola!	vite, holà!
quelqu’un, SCE	quelqu'un, SCE
SCENE III.	SCÈNE III.
CELIE, LA SUIVANTE, SGANA	CELIE, LA SUIVANTE, SGANA
RELLE.	RELLE.
V Ette Scene eſt fort courte, & Sganarelle, comO me un des plus proches voiſins de Celie, accourt aux cris de cette Suivante, qui luy donne ſa Maiſtreſſe à ſouſtenir, cependant qu’elle va chercher encore du ſecours d’un autre coſté, comme vous pouvez voir par ce qui ſuit.	V Vite Scène est fort courte, et Séganarelle, comO me un des plus proches voisins de Celie, accourt aux cris de cette Suivante, qui avait donne sa Maîtresse à soutenir, cependant qu'elle va chercher encore du secours d'un autre côté, comme vous pouvez voir par ce qui suit.
SGANARELLE.	SGANARELLE.
Qu eit-ce donc, ihe voilà.	Qu it-ce donc, jhe voilà.
LA SUIVANTE.	LA SUIVANTE.
Ma Maiſtreſſe ſe meurt.	Ma Maîtresse se meurt.
SGANARE LLE.	SGANARE LLE.
Quoy!	Quoi!
ce n’eſt que cela:	ce n'est que cela:
Je croyois tout perdu de crier de la ſorte;	Je croyais tout perdu de crier de la sorte;
Mais approchons un peu, Madame, eſtes-vous morte?	Mais approchons un peu, Madame, êtes-vous morte?
Hays, elle ne dit mot.	Hais, elle ne dit mot.
EAJONVANIE.	EAJONVANIE.
Je vais faire venir Quelqu’un pour l’emporter, vueillez la ſoûtenir.	Je vais faire venir Quelqu'un pour l'emporter, veuillez la soutenir.
SCENE IV.	SCÈNE IV.
CELIE, SGANARELLE, SA FEMME.	CELIE, SGANARELLE, SA FEMME.
TEtte Scene n’eſt pas plus longue que la preceO dente, & la Femme de Sganarelle regardant par la feneſtre, prend de la jalouſie de ſon mary, à qui elle void tenir une Femme entre ſes bras & deſcend pour le ſurprendre, cependant qu’il aide à r’emporter Celie chez elle.	TEtte Scène n'est pas plus longue que la précès denté, et la Femme de Séganarelle regardant par la fenêtre, prend de la jalousie de son mari, à qui elle voit tenir une Femme entre ses bras et descend pour le surprendre, cependant qu'il aide à remporter Celie chez elle.
Ce que vous pourrez voir en liſant ces Vers.	Ce que vous pourrez voir en lisant ces Vers.
SGANARELLE en luy paſſant la main ſur le ſein.	SGANARELLE en était passant la main sur le sein.
Lle eſt froide par tout, & je ne ſçay qu’en dire:	Lle est froide par tout, et je ne sais qu'en dire:
LApprochons-nous pour voir ſi ſa bouche reſpire:	LApprochons-nous pour voir si sa bouche respire:
Ma Ma foy, je ne ſçay pas, mais j’y trouve encor moy Quelque ſigne de vie.	Ma Ma foi, je ne sais pas, mais j'y trouve encor moi Quelque signe de vie.
LA FEMME de Sganarelle regardant par la feneſtre.	LA FEMME de Séganarelle regardant par la fenêtre.
Ah!	Ah!
qu’eſt-ce que je voy?	qu'est-ce que je vois?
Mon mary dans ſes bras.	Mon mari dans ses bras.
mais je m’en vais deIcendre, Il me trahit ſans doute & je veux le ſurprendre.	mais je m'en vais deIcendre, Il me trahit sans doute et je veux le surprendre.
SGANARELLE.	SGANARELLE.
Il faut ſe depeſcher de l’aller ſecourir, Certes elle auroit tort de le failler Mourii;	Il faut se dépêcher de l'aller secourir, Certes elle aurait tort de le failler Mouri;
Aller en l’autre monde eſt tres-grande ſottiſe, Tant que dans celuy-cy l’onpeut-eſtre demiſe.	Aller en l'autre monde est très-grande sottise, Tant que dans celui-cy l'onput-être démise.
A Pemporte aoec un homme que la Suivante ameine.	À Pemporte aec un homme que la Suivante âmeine.
SCENE IV.	SCÈNE IV.
LA FEMME DE SGANARELLE ſeule.	LA FEMME DE SGANARELLE seule.
’Autheur, qui comme nous avons dit cy deſſus, L ſçait tout à fait bien meſnager l’eſprit de ſon auditeur, apres l’avoir diverty dans les deux precedentes Scenes, dont la beauté conſiſte preſque toute dans l’action, l’attache dans celle-cy par un raiſonnement ſi juſte que l’on ne pourra qu’à peine ſe l’imaginer, ſi l’on en conſidere la matiere;	’Auteur, qui comme nous avons dit cy dessus, L sçait tout à fait bien ménager l'esprit de son auditeur, après l'avoir diverty dans les deux précédentes Scères, dont la beauté consiste presque toute dans l'action, l'attache dans celle-cy par un raisonnement si juste que l'on ne pourra qu'à peine se l'imaginer, si l'on en considère la matière;
mais il n’appartient qu’à des plumes, cõ me la ſienne, à faire beaucoup de peu, & voicy pour ſatisfaire voſtre curioſité le ſujet de cette Scene.	mais il n'appartient qu'à des plumes, comme me la sienne, à faire beaucoup de peu, et voici pour satisfaire votre curiosité le sujet de cette Scène.
La femme de Sganarelle eſtant deſcenduë, & n’ayant point trouvé ſon mary fait éclatter ſa jalouſie, mais d’une maniere ſi ſurprenante & ſi extraordinaire, que quoy que cette matiere ait eſté fort ſouvent rebatuë, jamais perſonne ne l’a traittée avec tant de ſuccez, d’une maniere ſi contraire à celle de toutes les autres Femmes, qui n’ont recours qu’aux emportemens en de ſemblables recontres, & comme il m’a eſté preſque impoſſible de vous l’exprimer auſſi-bien que luy.	La femme de Séanarelle étant descendue, et n'ayant point trouvé son mari fait éclater sa jalousie, mais d'une manière si surprenante et si extraordinaire, que quoi que cette matière ait été fort souvent rebattue, jamais personne ne l'a traitée avec tant de succès, d'une manière si contraire à celle de toutes les autres Femmes, qui n'ont recours qu'aux emportements en de semblables recontres, et comme il m'a été presque impossible de vous l'exprimer aussi-bien que lui.
Ces vers vous en feront connoiſtre la beauté.	Ces vers vous en seront connaître la beauté.
LA FEMME DE SGANARELLE ſeule, Il s’eſt ſubitement eſloigné de ces lieux, Et ſa ſuitte a trompé mon deſir curieux;	LA FEMME DE SGANARELLE seule, Il s'est subitement éloigné de ces lieux, Et sa suitte a trompé mon désir curieux;
Mais de ſa trahiſon je ne fais plus de doute, Et le peu que j’ay veu me la découvre toute.	Mais de sa trahison je ne fais plus de doute, Et le peu que j'ai vu me la découvre toute.
Je ne m’eſtonne plus de l’eſtrange froideur Dont je le voy répondre à ma pudique ardeur Il reſerve l’ingrat ſes carreſſes à d’autres, Et nourit leurs plaiſirs par le jeune des noſtres:	Je ne m'étonne plus de l'étrange froideur Dont je le vois répondre à ma pudique ardeur Il réserve l'ingrat ses carresses à d'autres, Et nourit leurs plaisirs par le jeune des nôtres:
Voilà de nos maris le procedé commun, Ce qui leur eſt permis leur devient importun, Dans les commencemens ſe ſont toutes merveilles;	Voilà de nos maris le procédé commun, Ce qui leur est permis leur devient importun, Dans les commencements se sont toutes merveilles;
Ils témoignent pour nous des ardeurs nompareilles:	Ils témoignent pour nous des ardeurs nompareilles:
Mais les traiſtres bien-toſt ſe laſſent de nos feux Et portent autre part ce qu’ils doivent chez eux:	Mais les traîtres bientôt se lassent de nos feux Et portent autre part ce qu'ils doivent chez eux:
Ah!	Ah!
que j’ay de depitque la loy n’authoriſe, A changer de mary comme on fait de chemiſe Cela ſeroit commode, & j’en ſçay tel icy Qui comme moy ma foy, le voudroit bien auſſi.	que j'ai dé pitque la loi n'autorise, A changer de mari comme on fait de chemise Cela serait commode, et j'en sais tel ici Qui comme moi ma foi, le voudrait bien aussi.
En ramaſſant le portraict que Celie avoit laiſſé tomber.	En ramassant le portrait que Celie avait laissé tomber.
Mais quel eſt ce bijou que le ſort me preſente?	Mais quel est ce bijou que le sort me présente?
manuuiemeit tont beuu lu grareuic chermdhte, Ouvrons.	manuièmeit tont bu lu grareuic chermdhte, Ouvrons.
SGANARELLE ET SA FEMME.	SGANARELLE ET SA FEMME.
Uelques beautez que l’autheur ait fait voir dans Qla Scene precedente, ne croyez pas qu’il ſoit de ceux qui ſouvent apres un beau debut donnent (pour parler vulgairement du nez en terre) puiſque plus vous advancerez dans la lecture de cette Piece, plus vous y découvrirez de beautez & pour en eſtre perſuade, il ne faut que jetter les yeux ſur cette Scene, qui en fait le fondement.	Oùelques beautés que l'auteur ait fait voir dans Qla Scène précédente, ne croyez pas qu'il soit de ceux qui souvent après un beau début donnent (pour parler vulgairement du nez en terre) puisque plus vous avancerez dans la lecture de cette Pièce, plus vous y découvrirez de beautés et pour en être persuade, il ne faut que jeter les yeux sur cette Scène, qui en fait le fondement.
Celie en s’évanoüiſſant, ayant laiſſé tomber le portraict de ſont Amant, la femme de Sganarelle le ramaſſe, & comme elle le conſidere attentivement, ſon mary ayant aidé à reporter Celie chez elle, rentre ſur la Scene, & regarde par deſſus l’épaulle de ſa Femme, ce qu’elle conſidere, & voyant ce portraict, commence d’entrer en quelque ſorte de jalouſie, lors que ſa Femme s’adviſe de le ſentir, ce qui confirme ces ſoupçons dans la penſée qu’il a qu’elle le baiſe, mais il ne doute bien-toſt plus qu’il eſt de la grande Confrairie, quand il entend dire à ſa Femme qu’elle ſouhaitteroit d’avoir un Eſpoux d’une auſſi bonne mine:	Celieu en s'évanoüissant, ayant laissé tomber le portrait de sa Amant, la femme de Séganarelle le ramasse, et comme elle le considère attentivement, son mari ayant aidé à reporter Celie chez elle, rentre sur la Scène, et regarde par -dessus l'épaulle de sa Femme, ce qu'elle considère, et voyant ce portrait, commence d'entrer en quelque sorte de jalousie, lors que sa Femme s'avise de le sentir, ce qui confirme ces soupçons dans la pensée qu'il a qu'elle le baise, mais il ne doute baise-tôt mais yil est de la grande Ize, mais il est dire sa Femme elle souhaitteroit pavoirlu Espoux qune aussi bonne mine:
c’eſt alors qu’en la ſurprenant il luy arrache ce portraict.	c'est alors qu'en la surprenant il lui arrache ce portrait.
Mais devant que de parler des diſcours qu’ils tiennent enſemble ſur le ſujet de leur jalouſie, il eſt à propos de vous dire, qu’il ne s’eſt jamais rien veu de ſi agreable que les poſtures de Sganarelle, quand il eſt derriere ſa femme, ſon viſage, & ſes geſtes expriment ſi bien ſa jalouſie, qu’il ne ſeroit pas neceſſaire qu’il parlaſt, pour paroiſtre le plus jaloux de tous les hommes:	Mais devant que de parler des discours qu'ils tiennent ensemble sur le sujet de leur jalousie, il est à propos de vous dire, qu'il ne s'est jamais rien vu de si agréable que les postures de Séganarelle, quand il est derrière sa femme, son visage, et ses gestes expriment si bien sa jalousie, qu'il ne serait pas nécessaire qu'il para, pour paroistre le plus jaloux de tous les hommes:
Il reproche à ſa femme ſon infidelitè, & taſche à la perſuader, qu’elle eſt d’autant plus coupable, qu’elle a un mary qui (ſoit pour les qualitez du corps, ſoit pour celles de l’eſprit) eſt entierement parfait.	Il reproche à sa femme son infidelitè, et tâche à la persuader, qu'elle est d'autant plus coupable, qu'elle a un mari qui (sait pour les qualités du corps, soit pour celles de l'esprit) est entièrement parfait.
Sa Femme qui d’un autre coſté croit avoir autant & plus de ſujet que luy d’avoir Martel en teſte, s’emporte contre luy en luy redemandant ſon bijou;	Sa Femme qui d'un autre côté croit avoir autant et plus de sujet que lui d'avoir Martel en tête, s'emporte contre lui en lui redemandant son bijou;
tellement que chacun croyant avoir raiſon, cette diſpute donne un agreable divertiſſement à l’auditeur, à quoy Sganarelle contribuë beaucoup par des geſtes qui ſont inimitables, & qui ne ſe peuvent exprimer ſur le Pappier.	tellement que chacun croyant avoir raison, cette dispute donne un agréable divertissement à l'auditeur, à quoi Sganarelle contribue beaucoup par des gestes qui sont inimitables, et qui ne se peuvent exprimer sur le Papier.
Sa Femme eſtant laſſe d’oüir ſes reproches, luy arrache le portraict qu’il luy avoit pris & s’enfuit, & Sganarelle court apres elle.	Sa Femme étant lasse d'ouïrir ses reproches, tu arrache le portrait qu'il lui avait pris et s'enfuit, et Séganarelle court après elle.
Vous auriez ſuiet de me quereller, ſi je ne vous envoyois pas les vers d’une ocene qui faitle fondement de cette Pieçe, c’eſt pourquoy je ſatisfaits à voſtre curioſité.	Vous auriez sujet de me quereller, si je ne vous envoyais pas les vers d'une ocène qui faitle fondement de cette Pieçe, c'est pourquoi je satisfaits à votre curiosité.
SGANARELLE.	SGANARELLE.
N la croyoit morte & ce n’eſtoit rien, OIl n’en faut plus qu’autant elle ſe porte bien;	N la croyait morte et ce n'était rien, OL n'en faut plus qu'autant elle se porte bien;
Mais j’apperçoy ma Femme.	Mais j'aperçois ma Femme.
SA FEMME.	SA FEMME.
celel etcunanre, Et voila d’un bel homme une vive pelnture.	cèle estcunanre, Et voilà d'un bel homme une vive pelnture.
SGANARELLE à part, & regardant ſur l'eſpaule de ſa femme.	SGANARELLE à part, et regardant sur l'épaule de sa femme.
Que conſidere-t’elle avec attention?	Que considère-t-elle avec attention?
Ce portrait mon nomeur le vous die rieit de bonD’un fort vilain ſoupçon je me ſens l’ame emeuë.	Ce portrait mon nomeur le vous die rieit de bonD'un fort vilain soupçon je me sens l'âme émue.
SA FEMME ſans l’apperçevoir continuë.	SA FEMME sans l'apperçevoir continue.
Iamais rien de plus beau ne s’offrit à ma veuë, Le travail plus que l’or s’en doit encor priſer:	Jamais rien de plus beau ne s'offrit à ma vue, Le travail plus que l'or s'en doit encor priser:
Hon que cela ſent bon.	Hon que cela sent bon.
ConltnRnnnn u part.	ConltnRnnnn u part.
Ah!	Ah!
j’en tiens.	j'en tiens.
Quoy!	Quoi!
peſte le baiſer?	peste le baiser?
SA FEMME pourſuit.	SA FEMME poursuit.
Advoüons qu’on doit eſtre ravie, Quand d’un homme ainſi fait on ſe peut voit ſervie, Et que shen contoicavce atcentron, Le penchant ſeroit grand à la tentation, Ah!	Advouons qu'on doit être ravie, Quand d'un homme ainsi fait on se peut voit servie, Et que zhen contoicauce atcentron, Le penchant serait grand à la tentation, Ah!
que n’ay-je un mary d’une auſſi bonne mine, Au lieu de mon pelé, de mon ruſtre.	que n'ai-je un mari d'une aussi bonne mine, Au lieu de mon pelé, de mon rustre.
SGANARELLE luy arrachant le portraict.	SGANARELLE était arrachant le portrait.
Ah!	Ah!
matine, Nous vous y ſurprenons en faute contre nous, En diffamant l’honneur de voſtre cher Eſpoux;	matine, Nous vous y surprenons en faute contre nous, En diffamant l'honneur de votre cher Spoux;
Donc à voſtre calcul, ô ma trop digne femme, Monſieur tout bien conté ne vaut pas bien madame, Et de par Belzebut qui vous puiſſe emporter, Quel plus rare party pour riez-vous ſouhaiter;	Donc à votre calcul, ô ma trop digne femme, Monsieur tout bien conté ne vaut pas bien madame, Et de par Belzebut qui vous puisse emporter, Quel plus rare parti pour riez-vous souhaiter;
Peut-on trouver en moy quelque choſe à redire?	Peut-on trouver en moi quelque chose à redire?
Cette taille, ce port que tout le monde admire, ce vilage Iipropre à donner de l’amour, Pour qui mille beautez ſoûpirent nuit & jour, Bref, en tout & par tout ma perſonne charmante N’eſt donc pas un morceau, dont vous ſoyes contẽte?	Cette taille, ce port que tout le monde admire, ce vilage Jipropre à donner de l'amour, Pour qui mille beautés soupirent nuit et jour, Bref, en tout et par tout ma personne charmante N'est donc pas un morceau, dont vous soies contente?
Et pour raſſaſier voſtre appetit gourmand Il faut à ſon mary le ragouſt d’un galand.	Et pour rassasier votre appétit gourmand Il faut à son mari le ragoût d'un galant.
SA FEMME.	SA FEMME.
J’entends à demy mot où va la raillerie;	J'entends à demi mot où va la raillerie;
Tu crois par cemoyen.	Tu crois par cémoyen.
SGANARELLE.	SGANARELLE.
A d’autres je vous prie, La choſe eſt averée & je tiens dans mes mains Un bon certificat du mal dont je me plains.	À d'autres je vous prie, La chose est averée et je tiens dans mes mains Un bon certificat du mal dont je me plains.
SA FEMME.	SA FEMME.
Mon couroux n’a deſia que trop de violence Sans le charger encor d’une nouvelle offence, Eſcoute, ne croy pas retenir mon bijou, Et ſonge un peu .	Mon courroux n'a déjà que trop de violence Sans le charger encor d'une nouvelle offense, Écoute, ne crois pas retenir mon bijou, Et songe un peu .
SGANARELLE.	SGANARELLE.
Ie ſonge à te rompre le cou.	Je songe à te rompre le cou.
Que ne puis-je auſſi bien que je tiens la coppie Aelfoligluai.	Que ne puis-je aussi bien que je tiens la coppie Aelfoligluai.
SA FEMME.	SA FEMME.
Pourquoy.	Pourquoi.
SGANARELLE.	SGANARELLE.
Pour rien m’amie, Doux obiet de mes vœux, j’ay grand tort de crier, Et mon front de vos dons vous doit remercier.	Pour rien m'amie, Doux objet de mes vœux, j'ai grand tort de crier, Et mon front de vos dons vous doit remercier.
Regaruant te portraict de Lelie.	Regaruant te portrait de Lélie.
Le voilà le beau fils le mignon de couchette Le mal-heureux tiſon de ta fſame ſecrette, Le drole avec lequel.	Le voilà le beau fils le mignon de couchette Le malheureux tison de ta fsame secrète, Le drôle avec lequel.
SA FEMME.	SA FEMME.
Avec lequel, pourſuis.	Avec lequel, poursuis.
SGANARELLE.	SGANARELLE.
Avec lequel te dis-je.	Avec lequel te dis-je.
& j’en creve d’ennuis.	et j'en crève d'ennuis.
SA FEMME.	SA FEMME.
Que me veux donc par là conter ce maiſtre yvrogne?	Que me veux donc par là conter ce maître ivrogne?
SGANARELLE, Tu ne m’entends que trop Madame la carogne, Sganarelle eſt un nom qu’on ne me dira plus, Etron vam appenſer oeigneur corneilius, J’en ſuis pour mon honneur, mais à toy qui me l'oſtes, Je t’en feray du moins pour un bras ou deux coſtes.	SGANARELLE, Tu ne m'entends que trop Madame la carogne, Séganarelle est un nom qu'on ne me dira plus, Etron va appenser oeigneur corneilius, J'en suis pour mon honneur, mais à toi qui me l'ôtes, Je t'en ferai du moins pour un bras ou deux côtes.
SA FEMME.	SA FEMME.
Et tu m’oſes tenir de ſemblables diſcours?	Et tu m'oses tenir de semblables discours?
SGANARELLE.	SGANARELLE.
Et tu m’oſes joüer de ces Diables de tours?	Et tu m'oses jouer de ces Diables de tours?
SA FEMME.	SA FEMME.
Et quels diables de tours, parle donc ſans riẽ feindre.	Et quels diables de tours, parle donc sans rien feindre.
SGANARELLE.	SGANARELLE.
Ah!	Ah!
cela ne vaut pas la peine de ſe plaindre, Dun pauuene de cerrlurie ilont me pourvoir!	cela ne vaut pas la peine de se plaindre, Dun pauvène de cerrlurie ilont me pourvoir!
Helas!	Hélas!
voila vrayment un beau venez y voir.	voilà vraiment un beau venez y voir.
SA FEMME.	SA FEMME.
Donc apres m’avoir fait la plus ſenſible offence Qui puiſſe d’une femme exciter la vengeance, Tu prends d’un feint couroux le vain amuſement Pour prevenir l’effect de mon reſſentiment, D’un pareil procedé l’inſolence eſt nouvelle, Celuy qui fait l’offence eſt celuy qui querelle.	Donc après m'avoir fait la plus sensible offense Qui puisse d'une femme exciter la vengeance, Tu prends d'un feint courroux le vain amusement Pour prévenir l'effet de mon ressentiment, D'un pareil procédé l'insolence est nouvelle, Celui qui fait l'offense est celui qui querelle.
SCANARELLE.	SACNARELLE.
Ah!	Ah!
la bonne effrontée, à voir ce fier maintien Ne la croiroit-on pas une femme de bien.	la bonne effrontée, à voir ce fier maintien Ne la croirait-on pas une femme de bien.
SA FEMME.	SA FEMME.
Va pourſuis ton chemin cajolle tes maiſtreſſes, Adreſſe leur tes vœux & fay-leur des careſſes;	Va poursuis ton chemin cajolle tes maîtresses, Adresse leur tes vœux et fais-leur des caresses;
Mais rends moy mon portraict ſans te joüer de moy.	Mais rends moi mon portrait sans te jouer de moi.
SGANARELLE courant apres elle.	SGANARELLE courant après elle.
Ouy, tu crois m’échapper, je l’auray malgré toy.	Oui, tu crois m'échapper, je l'aurai malgré toi.
SCENE VII.	SCÈNE VII.
LELIE, GROS-RENE'.	LELIE, GROS-RENE.
Elie avoit deſia trop cauſé de trouble dans l'eſLprit de tous nos acteurs, pour ne pas venir faire paroiſtre les ſiens ſur la Scene.	Élie avait déjà trop causé de trouble dans l'esLprit de tous nos acteurs, pour ne pas venir faire paraître les siens sur la Scène.
En effet il n’y arrive pas pluſtoſt que l’on void la triſteſſe peinte ſur ſon viſage.	En effet il n'y arrive pas plustost que l'on voit la tristesse peinte sur son visage.
Il fait voir que de la campagne où il eſtoit, il s’eſt rendu au pluſtoſt à Paris, ſur le bruit de l'Hymen de Celie.	Il fait voir que de la campagne où il était, il s'est rendu au plustost à Paris, sur le bruit de l'Hymen de Celie.
Comme il eſt tout nouvellement arrivé ſon valet le preſſe d’aller manger un morceau devant que d’aller apprendre des nouvelles de ſa Maiſtreſſe, mais il n’y veut pas conſentir & voyant que ſon valet l’importune, il l’envoye manger, cependant qu’il va chercher à ſe délaſſer des fatigues de ſon voyage auprés de ſa Maiſtreſſe.	Comme il est tout nouvellement arrivé son valet le presse d'aller manger un morceau devant que d'aller apprendre des nouvelles de sa Maîtresse, mais il n'y veut pas consentir et voyant que son valet l'importune, il l'envoie manger, cependant qu'il va chercher à se délasser des fatigues de son voyage auprès de sa Maîtresse.
Remarquez s’il vous plaiſt ce que cette Scene contient, & je vous feray voir en un autre endroit que l’Autheur a infiniment de l'upliede navoir placée ſi à propos, & pour vous en mieux faire reſſouvenir, en voicy les Vers.	Remarquez s'il vous plaît ce que cette Scène contient, et je vous ferai voir en un autre endroit que l'Auteur a infiniment de l'Aupliede navoir placée si à propos, et pour vous en mieux faire ressouvenir, en voici les Vers.
GROS-RENE'.	GROS-RENE'.
Enſn nous y voicy, mals Monſieur, ſi je l’oſe, Ie voudrois vous prier de me dire une choſe.	Ensn nous y voici, mals Monsieur, si je l'ose, Je voudrais vous prier de me dire une chose.
He bien!	He bien!
parle.	parle.
LELIE.	LELIE.
GROS-RENEꝰ.	GROS-RENE*.
Avez-vous le diable dans le corps, Pour ne pas ſuccomber à de pareils efforts?	Avez-vous le diable dans le corps, Pour ne pas succomber à de pareils efforts?
Depuis huit jours entiers avec vos longues traites, Nous ſommes a piquer de chiennes de mazettes, De qui le train maudit nous a tant ſecoüez, Que je m’en ſens pour moy tous les membres roüez.	Depuis huit jours entiers avec vos longues traites, Nous sommes a piquer de chiennes de mazettes, De qui le train maudit nous a tant secoüez, Que je m'en sens pour moi tous les membres rouez.
Sans prejudice encor d’un accident bien pire, Qui m’afflige un endroit, que je ne veux pas dire;	Sans préjudice encor d'un accident bien pire, Qui m'afflige un endroit, que je ne veux pas dire;
Cependant arrivé vous ſortez bien & beau Sans prendre de repos, ny manger un morceau.	Cependant arrivé vous sortez bien et beau Sans prendre de repos, ni manger un morceau.
Ce grand empreſſement n’eſt point digne de blâme, De l’hymen de Celie on alarme mon ame:	Ce grand empressement n'est point digne de blâme, De l'hymen de Célie on alarme mon âme:
Tu ſçais que je l’adore, & je veux eſtre inſtruit, Avant tout autre ſoin de ce funeſte bruit.	Tu sais que je l'adore, et je veux être instruit, Avant tout autre soin de ce funeste bruit.
GROS-RENE'.	GROS-RENE'.
Ouy, mais un bon repas vous ſeroit neceſſaire, Pour s’aller éclaircir, Monſieur de cette affaire, Et vôtre cœur ſaus doute en deviendroit plus fort, Pour pouvoir reſiſter aux attaques du ſort;	Oui, mais un bon repas vous serait nécessaire, Pour s'aller éclaircir, Monsieur de cette affaire, Et votre cœur saus doute en deviendrait plus fort, Pour pouvoir résister aux attaques du sort;
J’en juge par moy-méme & la moindre diſgrace Lors que je ſuis à jeun, me ſaiſit, me terrace;	J'en juge par moi-même et la moindre disgrâce Lors que je suis à jeun, me saisit, me terrace;
Mais quand j’ay bien mangé mon ame eſt ferme à tout, Et les plus grands revers n’en viendroient pas à bout, Croyez-moy, bourrez-vous, & ſans reſerve aucune, Contre les coups que peut vous porter la fortune?	Mais quand j'ai bien mangé mon âme est ferme à tout, Et les plus grands revers n'en viendraient pas à bout, Croyez-moi, bourrez-vous, et sans réserve aucune, Contre les coups que peut vous porter la fortune?
Et pour fermer chez vous l’entrée à la douleur, De vingt verres de bnthtoutr tortieee LELIE.	Et pour fermer chez vous l'entrée à la douleur, De vingt verres de bnthoutr tortieee LELIE.
LELIE.	LELIE.
Je ne ſçaurois manger.	Je ne saurais manger.
GROS-RENE'.	GROS-RENE'.
à part ce demy Vers.	à part ce demi Vers.
Si feray bien moy, je meure;	Si ferai bien moi, je meure;
Vôtre diſné pourtant ſeroit preſt tout à l’heure:	Votre dîné pourtant serait prêt tout à l'heure:
LELIE.	LELIE.
Tay-toy, je te l’ordonne.	Tais-toi, je te l'ordonne.
GROS-RENE.	GROS-RENE.
Ah!	Ah!
quel ordre inhumain.	quel ordre inhumain.
LELIE.	LELIE.
J’ay de l’inquietude, & non pas de la faim.	J'ai de l'inquiétude, et non pas de la faim.
ORCuuau.	ORCuau.
Et moy j’ay de la faim & de l’inquietude, De voir qu’un ſot amour fait toute vôtre eſtude.	Et moi j'ai de la faim et de l'inquiétude, De voir qu'un sot amour fait toute votre étude.
LELIE.	LELIE.
Laiſſe-moy m’informer de l’objet de mes vœux, Et ſans m’importuner va manger n'tu veux.	Laisse-moi m'informer de l'objet de mes vœux, Et sans m'importuner va manger n'tu veux.
GROS-RENE'.	GROS-RENE'.
Je ne replique point à ce qu’un Maiſtre ordonne.	Je ne replique point à ce qu'un Maître ordonne.
SCENE VIII.	SCÈNE VIII.
