A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
Il faut qu’un ſerviteur ne ſe joüe à ſon maître non-plus qu’au feu, tu ne Iȩais pas ton pain manger, fais comme moy qui va tout rondement en beſongne, & aprens que pour bien ſervir & loyal être, de bien ſervir on devient maître.	Il faut qu'un serviteur ne se joue à son maître non-plus qu'au feu, tu ne Jais pas ton pain manger, fais comme moi qui va tout rondement en besongne, et aprens que pour bien servir et loyal être, de bien servir on devient maître.
Alaigre.	Alaigre.
Le gros nigaut, il eſt auſſi fin qu’une dague de plomb, & ſi le voyez vous, il ſe quarre comme un poux ſur une galle, tu t’amuſe à umler, tu ne ſeras pas Prevot des Marchands.	Le gros nigaud, il est aussi fin qu'une dague de plomb, et si le voyez vous, il se quarre comme un poux sur une gale, tu t'amuse à umler, tu ne seras pas Prévot des Marchands.
Lidias.	Lidias.
Taiſez-vous enfans, vous avez trop de caquet vous n’aurez pas ma toille:	Taisez-vous enfants, vous avez trop de caquet vous n'aurez pas ma toille:
mais viença Philippin, tu en as bien donné à nôtre Duetoun ce la Peme avee ta feinte, c’eſſ juſtement leur avoir donné d’une veſſie par le nez.	mais viença Philippin, tu en as bien donné à notre Duétoun ce la Peme avée ta feinte, c'ès justement leur avoir donné d'une vessie par le nez.
.	.
Philippin,	Philippin,
Ils peuvent bien joüer au jeu de j’en tenons, je croy qu’ils ne nous promettent pas poire molles, j’ay bien fait croire aux voiſins que des veſſies ſont des lanternes:	Ils peuvent bien jouer au jeu de j'en tenons, je crois qu'ils ne nous promettent pas poire molles, j'ai bien fait croire aux voisins que des vessies sont des lanternes:
mordiable ils croyent maintenant qu’il n’y a plus de Philippin pour un double.	mordiable ils croient maintenant qu'il n'y a plus de Philippin pour un double.
Ils ſont bien du guet, mort non pas de ma vie, la veſſie pleine de ſang a bien joüé ſon jeu, quant Alaigre la percée au milieu de mon ventre;	Ils sont bien du guet, mort non pas de ma vie, la vessie pleine de sang a bien joué son jeu, quant Alaigre la percée au milieu de mon ventre;
mais s’il eût pris Gautier pour garguille, j’en aurois belle verdaſſe.	mais s'il eût pris Gautier pour garguille, j'en aurais belle verdasse.
Alaigre.	Alaigre.
Il eût fallu dire febé, pour qui eſt-ce?	Il eût fallu dire éebé, pour qui est-ce?
c’eût été pour toy.	c'eût été pour toi.
Philippin.	Philippin.
Là la mon pauvre garçon, qui bien fait bien trouve, & qui bien fera bien trouvera.	Là la mon pauvre garçon, qui bien fait bien trouve, et qui bien fera bien trouvera.
Alaigre.	Alaigre.
Où l’écriture mentira.	Où l'écriture mentira.
Florinde.	Florinde.
Unbien fait n’eſt jamais perdu.	Unbien fait n'est jamais perdu.
Tout vient à point qui peut attendre.	Tout vient à point qui peut attendre.
Mon cher Li	Mon cher Li
dias ſe mangeroit plûtôt le bras juſques au coude quand on luy fait plaiſir grand comme la main, qu’il n’en rendît long comme le bras.	dias se mangerait plutôt le bras jusques au coude quand on avait fait plaisir grand comme la main, qu'il n'en rendît long comme le bras.
Lidias.	Lidias.
Philippin, tu peux t’aſſeurer de ce que te dit ma Florinde comme ſi cela étoit, autant vauuront que tous les Notaires y euſſent paſſé, ce que nous te diſons n’eſt pas de l’eau benîte de Cour.	Philippin, tu peux t'assurer de ce que te dit ma Florinde comme si cela était, autant vauvront que tous les Notaires y eussent passé, ce que nous te disons n'est pas de l'eau bénite de Cour.
Alaigre.	Alaigre.
P'hilippin:	P'hilipin:
autant de frais que de ſallé, de ce qu’on promet n’eſt pas perdu.	autant de frais que de sallé, de ce qu'on promet n'est pas perdu.
Philippin.	Philippin.
Vous n’avez qu’à commander je me metterois en quatre & ferois de la fauſſe monnoye pour vous je prendrois la Lune avec les dents, je ferois de neceſſité vertu pour vôtre ſervice.	Vous n'avez qu'à commander je me metterais en quatre et ferais de la fausse monnaie pour vous je prendrais la Lune avec les dents, je ferais de nécessité vertu pour votre service.
Je vous ayme mieux tous deux qu’une bergere ne fait un nid de tourterelle, à cauſe de luy pour l’amour d’elle, Morgoine, je ſuis un homme qui n’eſt pas de bois, & qui içait rendre a Celar ce qui eſt à Ceſar.	Je vous aime mieux tous deux qu'une bergère ne fait un nid de tourterelle, à cause de lui pour l'amour d'elle, Morgoine, je suis un homme qui n'est pas de bois, et qui içait rendre a Célar ce qui est à César.
Je fais cas des hommes de qualité plus que d’une pomme pourrie & que d’un chien dans un jeu de quille.	Je fais cas des hommes de qualité plus que d'une pomme pourrie et que d'un chien dans un jeu de quille.
Alaigre.	Alaigre.
Tu fais des comparaiſons bien ſaugrenuë, & ſi tu les enfilles comme crotes de chevres.	Tu fais des comparaisons bien saugrenue, et si tu les enfilles comme crotes de chèvres.
Il te faudroit un petit bout de chandelle pour t’éclairer à trouver tout ce que tu veux dire, ou il n’y a ny bon envers, ny bon en	Il te faudrait un petit bout de chandelle pour t'éclairer à trouver tout ce que tu veux dire, ou il n'y a été bon envers, ni bon en
ler, tu es bien-heureux d’être fait, on n’en fait plus de ſi ſots.	ler, tu es bienheureux d'être fait, on n'en fait plus de si sots.
Philippin.	Philippin.
Oye, il ſemble à tentendre que je ſois une huître en écaille ou quelque ſot qui parle à bricq & a bracq.	Oie, il semble à tentendre que je sois une huître en écaille ou quelque sot qui parle à bricq et à bracq.
Aga a mocqueur la mocque, à boſſu la boſſe, & à tortu la torſe:	Aga a moqueur la moque, à bossu la bosse, et à tortu la torse:
tu es un beau frelempier, c’eſt bien à toy que je voudrois rendre compte:	tu es un beau frèrempier, c'est bien à toi que je voudrais rendre compte:
je crois que tu as fait ton cours à Aniere, c’eſt-la où tu as laiſſé manger ton pain à l’âne, c’eſt-la où tu as apris ces beaux pieds de mouches & ſes beaux y Gregeois, tu es un ſçavant Prêtre, tu as mangé ton breviere.	je crois que tu as fait ton cours à Anière, c'est-la où tu as laissé manger ton pain à l'âne, c'est-la où tu as appris ces beaux pieds de mouches et ses beaux y Grègeais, tu es un savant Prêtre, tu as mangé ton brevière.
Aga tu n’eſt qu’un ſot, tu ſeras marié au village.	Aga tu n'est qu'un sot, tu seras marié au village.
Il n’y a que trois jours que tu es ſorty de l’hôpital, & tu veux faire des comparaiſons avec les gueux.	Il n'y a que trois jours que tu es sorti de l'hôpital, et tu veux faire des comparaisons avec les gueux.
Si tu étois auſſi mordant que tu es reprenant, il n’y auroit crote dans ces champs que tu n’allaſſe fleurant.	Si tu étais aussi mordant que tu es reprenant, il n'y aurait crote dans ces champs que tu n'allasse fleurant.
Alaigre.	Alaigre.
Mais gros boufetrippe, il me ſemble que vous prenez bien du nort.	Mais gros boufetrippe, il me semble que vous prenez bien du nort.
Je te conſeille de ne point tant empiler, ſi tu ne veux que je te donne cinq & quatre la moitié de dix huit.	Je te conseille de ne point tant empiler, si tu ne veux que je te donne cinq et quatre la moitié de dix huit.
Philippin.	Philippin.
Ouye, je te baillerois raffle de cinq & trente en trois cartes.	Ouie, je te baillerais râle de cinq et trente en trois cartes.
Si tu y avois ſeulement penſé je ferois de ton corps un abreuvoir à mouches, & te montrerois bien que j’ay du ſang aux ongles Alaigre je le croy, mais c’eſt d’avoir tué des poux.	Si tu y avais seulement pensé je ferais de ton corps un abreuvoir à mouches, et te montrerais bien que j'ai du sang aux ongles Alaigre je le crois, mais c'est d'avoir tué des poux.
Lidias La paille entre deux, ſus, la paix à la maiſon.	Lidias La paille entre deux, sus, la paix à la maison.
Je n’aime pas le bruit ſi je ne le fais, je veux que vous ceſſiez vos riotes, & que vous ſoyez comme les deux doigts de la main.	Je n'aime pas le bruit si je ne le fais, je veux que vous cessiez vos riotes, et que vous soyez comme les deux doigts de la main.
Alaigre vous faites le Jean fichu l’aîné, & vous vous amuſez à des coque ſi gruës & des balivernes.	Alaigre vous faites le Jean fichu l'aîné, et vous vous amusez à des coque si grues et des balivernes.
Je veux que vous vous embraſſiés comine mereo ceque vous vous accordien comme deux larrons en foire, & que vous ſoyez camarades comme cochons.	Je veux que vous vous embrasiez comine mèreo ceque vous vous accordien comme deux larrons en foire, et que vous soyez camarades comme cochons.
Alaigre.	Alaigre.
Il eſt bien heureux qui eſt maître, il eſt valet quand il veut.	Il est bien heureux qui est maître, il est valet quand il veut.
Philippin.	Philippin.
Je croy que tu as ete au grenier ſans chandelle, tu as aporté de la veſſe pour du foin.	Je crois que tu as été au grenier sans chandelle, tu as apporté de la vesse pour du foin.
Alaigre.	Alaigre.
Tu n’y entens rien, c’eſt que j’ay tué mon pourceau je me joüe de la veſſie.	Tu n'y entends rien, c'est que j'ai tué mon pourceau je me joue de la vessie.
Ho groſſe balourde, ne ſçais tu pas qui veut vivre longuement il faut donner à ſon cul vent.	Ho grosse balourde, ne sais tu pas qui veut vivre longuement il faut donner à son cul vent.
Philippin.	Philippin.
Ouy, mais pour vivre honnêtement, il ne faut veſſir ſi puant.	Oui, mais pour vivre honnêtement, il ne faut vessir si puant.
Lidias.	Lidias.
Accordez vos Flûtes encor un coup, & changez de note, re tonono anotre premiere chanſon, que diſoit-on en mon abſence.	Accordez vos Flûtes encor un coup, et changez de note, re tonono an première chanson, que disait-on en mon absence.
on me prêt oit de bellescharités au moins, je croy que l’on n’oublioit pas à me metre ſur les tapis, & à mettre en avant que je diſois comme le Renard des meures, quand je fis courir le bruit que l’Amour ne me trotoit plus dans le ventre, & que je ne me ſobciois ny des res, ny des tondus.	on me prêt ait de bellescharités au moins, je crois que l'on n'oubliait pas à me metre sur les tapis, et à mettre en avant que je disais comme le Renard des meures, quand je fis courir le bruit que l'Amour ne me trotoit plus dans le ventre, et que je ne me sobciais jamais des rés, ni des tondus.
Je croy mon cœur que cela fut cauſe qu’on ne nous ſerroit plus	Je crois mon cœur que cela fut cause qu'on ne nous serait plus
tant la bride.	tant la bride.
Florinde.	Florinde.
Il eſt vray que vôtre abſence faiſoit parler de vous tous au travers des choux.	Il est vrai que votre absence faisait parler de vous tous au travers des choux.
MonPere entr’autre ne m’en rompoit plus la tête, parce qu’il croyoit que toutes nos affections fuſſent évanoüies, & que nous euſſions planté l’Amour pour reverdir, Bref on ne ſongeoit plus qu’à rire & me donner à ce grand franc taupin de Capitaine, qui me ſuivoit connne ui parbet:	MonPère entr'autre ne m'en rompait plus la tête, parce qu'il croyait que toutes nos affections fussent évanoüies, et que nous eussions planté l'Amour pour reverdir, Bref on ne songeait plus qu'à rire et me donner à ce grand franc taupin de Capitaine, qui me suivait connne ui parbet:
& je ne m'en fuſſe.	et je ne m'en fusse.
jamais dépreſtrée ſans cette contremiſe, de laquelle on ne ſe doutoit non-plus que le Ciel deut tomber.	jamais déprestrée sans cette contremise, de laquelle on ne se doutait non-plus que le Ciel deut tomber.
Philippin.	Philippin.
Philippin tombe.	Philippin tombe.
On vous avoit mis aux pechez oubliez, on ne ſongeoit non-plus à vous que ſi vous n’euſſiez jamais été né, & nôtre Docteur etoit plus aiſe qu’un pourceau qui piſſe dans du ſon, de ce qu’on diſoit que vous aviez lié bagage, car il ne croyoit jamais être dépatroüillé de vous.	On vous avait mis aux péchez oubliés, on ne songeait non-plus à vous que si vous n'eussiez jamais été né, et notre Docteur était plus aise qu'un pourceau qui pisse dans du son, de ce qu'on disait que vous aviez lié bagage, car il ne croyait jamais être dépatroüillé de vous.
Il eſcarpinoit avec ſa robe trouſſée de peur des crotes.	Il escarpinoit avec sa robe troussée de peur des crotes.
Alaigre.	Alaigre.
Saute crapaut, voicy la pluye.	Saute crapaut, voici la pluie.
Philippin.	Philippin.
Miais ii ne ionge pas, qui rit le Vendredy pleure le Dimanche.	Miais ji ne ionge pas, qui rit le Vendredi pleure le Dimanche.
Aatalgre.	Aatalgre.
Il rit bien, qui rit le dernier.	Il rit bien, qui rit le dernier.
Philippin.	Philippin.
Saimon, je crois qu’il ſe gratte bien maintenant où il ne luy demange pas.	Saimon, je crois qu'il se gratte bien maintenant où il ne la premange pas.
Il rit jaune comme farine, & vous dit bien la patenôtre de Singe, mais morgoine il ne vous tient pas, ce n’eſt pas pour ſon nez mon cul, ny pour ce grand malotru de Capitaine, qui croyoit tenir Florinde comme nn pet à la main.	Il rit jaune comme farine, et vous dit bien la patenôtre de Singe, mais morgoine il ne vous tient pas, ce n'est pas pour son nez mon cul, Seigneur pour ce grand malotru de Capitaine, qui croyait tenir Florinde comme nn pet à la main.
Il peut bien la ſerrer & dire qu’il ne tient rien, dru beuu denderipper nn a qu'a sen torcher le bec.	Il peut bien la serrer et dire qu'il ne tient rien, dru bu denderiper n' a qu'a sen torcher le bec.
Aliſon.	Alison.
C’eſt un bon fallot, le morceau luy paſſera bien loin des côtes.	C'est un bon fallot, le morceau lui passera bien loin des côtes.
Florinde.	Florinde.
Pour moy je ne ſçay comme mon pere eſt coueſfé de cét avaleur de charette ferrée, quelques-uns diſent qu’il eſt aſſez avenant, mais pour moy je le trouve plus ſot qu’un panier percé, plus éfronté qu’un page de Cour, plus fantaſque qu’une mule, méchant comme un âne rouge, au reſte plus poltron qu’une poule, & menteur comme uil arra cheur de dents.	Pour moi je ne sais comme mon père est couesfé de cet avaleur de charette ferrée, quelques-uns disent qu'il est assez avenant, mais pour moi je le trouve plus sot qu'un panier percé, plus éfronté qu'un page de Cour, plus fantasque qu'une mule, méchant comme un âne rouge, au reste plus poltron qu'une poule, et menteur comme arra cheur de dents.
Lidias.	Lidias.
Vous dites-la bien des vers à ſa loüange.	Vous dites-la bien des vers à sa louange.
Florinde.	Florinde.
Pour la mine il l’a telle quelle, & ſur tout il eſt delicat & blond comme un pruneau relavé, & la bource il ne l’a pas trop bien ferrée, de ce côté là il eſt ſec comme un rebec, & plus plat qu’une punaiſe.	Pour la mine il l'a telle quelle, et sur tout il est délicat et blond comme un pruneau relavé, et la bource il ne l'a pas trop bien ferrée, de ce côté là il est sec comme un rebec, et plus plat qu'une punaise.
Alaigre.	Alaigre.
Et puis aprés cela, allez vous y fourer.	Et puis après cela, allez -vous y fourer.
Philippin.	Philippin.
Elle dit vray, il eſt plus glorieux qu’un pet, & ce drôle là n’enferoit pas un amoins de cinq ſols, quand il rit les chiens ſe battent, il eſt quelque-fois rebiffé comme la poule à gros Jean, & à cette heure là il faut être grand Monſieur pour avoir un pied de veau.	Elle dit vrai, il est plus glorieux qu'un pet, et ce drôle là n'enferait pas un amoins de cinq sols, quand il rit les chiens se battent, il est quelque-fois rebiffé comme la poule à gros Jean, et à cette heure là il faut être grand Monsieur pour avoir un pied de veau.
Lidias.	Lidias.
Vous le tenez bien au cul & aux chauſſes, les oreilles luy doivent bien corner:	Vous le tenez bien au cul et aux chausses, les oreilles était doivent bien corner:
mais c’eſt aſſez le draper en ſon abſence, laiſſons le là pour tel qu’il eſt.	mais c'est assez le draper en son absence, laissons le là pour tel qu'il est.
Alaigre.	Alaigre.
Sil en veut davantage il n’a qu’à en aller chercher, s’il n’eſt content de cela qu’il prenne des cartes auſſi-bien il eſt bon à joüer au berland, il y a toûjours un aze caché ſous ſon pourpoint.	Sil en veut davantage il n'a qu'à en aller chercher, s'il n'est content de cela qu'il prenne des cartes aussi-bien il est bon à jouer au berland, il y a toujours un aze caché sous son pourpoint.
Lidias.	Lidias.
Ce n’eſt pas tout il ne faut pas demeurer icy planté commes des échalats, il faut faire gille pour trois mois, & ne point revenir que nous n’ayons conſommé nôtre mariage;	Ce n'est pas tout il ne faut pas demeurer ici planté commes des échalats, il faut faire gille pour trois mois, et ne point revenir que nous n'ayons consommé notre mariage;
s’il nous viennent chercher ſur nôtre paille nous leur monſtrerons qu’un coq eſt fort ſur ſon fumier, & que chacun eſt maître en ſa	s'il nous viennent chercher sur notre paille nous leur montrerons qu'un coq est fort sur son fumier, et que chacun est maître en sa
maiſon Alaigre.	maison Alaigre.
Il faudra que ce croquant de Capitaine ait de bonnes mitaines pour en approcher, il eſt fort mauvais il a battu ſon petit frere, je n’ay pas peur qu’il luy prenne envie de courir aprés ſon eſteuf, car il y a plus de ſix mois qu’il a vendu ſon cheval pour avoir de l’avonie;	Il faudra que ce croquant de Capitaine ait de bonnes mitaines pour en approcher, il est fort mauvais il a battu son petit frère, je n'ai pas peur qu'il avait prenne envie de courir après son éteuf, car il y a plus de six mois qu'il a vendu son cheval pour avoir de l'avonie;
u cion jue s’il eſt borifié c’eſt pour coucher à la ville pour picquer les boucs.	> cyon jue s'il est borifié c'est pour coucher à la ville pour piquer les boucs.
Je vous jure que je n’ay pas la puce à l’oreille, & ne m’enleveray pas plus matin.	Je vous jure que je n'ai pas la puce à l'oreille, et ne m'enlèverai pas plus matin.
Philippin.	Philippin.
La bête a raiſon il la faut mettre à l’étable:	La bête a raison il la faut mettre à l'étable:
mais parlons un peu d’affaire, il faut dégue mier drey, irn'y fait pas ſi bon qu’à la cuifine, quand le Soleil eſt couché il y à bien des bêtes à l’ombre.	mais parlons un peu d'affaire, il faut dégue mier dis, irn'y fait pas si bon qu'à la cuifine, quand le Soleil est couché il y a bien des bêtes à l'ombre.
Alaigre parlant au violon.	Alaigre parlant au violon.
Soufflez nienetrier l’épouſee vient.	Soufflez nientrier l'épouse vient.
ACTE SECOND SEENE IREMIERE.	ACTE SECOND SENE JREMIERE.
Le Capitaine Fierabras, Aliſon & le Docteur.	Le Capitaine Fierabras, Alison et le Docteur.
Le Capitaine.	Le Capitaine.
JAuvre Docteur Theſaurus je te plains I bien mais je n’ay rien a te donner, ſi tu n’avois la caboche bien faite tu ſerois déja à Pampelune:	JAuvre Docteur Thesaurus je te plains I bien mais je n'ai rien à te donner, si tu n'avais la caboche bien faire tu serais déjà à Pampelune:
tu as receu un terrible revers de fortune, tu as perdu le joyau plus precieux de ta maiſõ ſans l’avoir joüé & le tout par un tour de ſoupleſſe que ta Fille t’a fait, ayant laiſſé prendre un pain ſur la fournée, par un qui ne ſeroit pas digne de ſervir de goujat à un qui ſe ſentiroit trop heureux de me torcher les bottes.	tu as reçu un terrible revers de fortune, tu as perdu le joyau plus précieux de ta maision sans l'avoir joué et le tout par un tour de souplesse que ta Fille t'a fait, ayant laissé prendre un pain sur la fournée, par un qui ne serait pas digne de servir de goujat à un qui se sentirait trop heureux de me torcher les bottes.
Ha Florinde qui en ſe caſa per amores malos dias y buenas noches.	Ha Florinde qui en se casa per amores malos dias y buenas noches.
Ouy ouy, Florinde tu l’éprouveras que qui ſe marie par amourete a pour une bõne nuit beaucoup de mauvais jours, tu m’as bien baillé de la gabatine, & fait un tour de Femme aprés m’avoir promis mons & vaux.	Oui oui, Florinde tu l'éprouveras que qui se marie par amoure à pour une bonne nuit beaucoup de mauvais jours, tu m'as bien baillé de la gabatine, et fait un tour de Femme après m'avoir promis mons et vaux.
Ab.	Ab.
que dela malé muger regorday de labuenæ nofiat noda.	que déla malé muger regordai de labuenæ nofiat noda.
Toutes-fois que dis-je Florinde, je te fais tort de croire que tu aye fait breché à ton honneur, tu es poſſible dans la C iij gueule des loups, & en quelque part plus morte que vive, & toy auſſi pauvre Pere plus triſte qu’un bonnet de nuit ſans coeffe, tu es plus cojols qu’une chate qui trouve ſes petits chats morts, plus dolent qu’une femme mal mariée, bref plus deſolé que ſi tous tes parens étoient trépaſſez, il faut bien à cette heure que la conſtance te ſerve d’eſcrote & de bouclier.	Toutefois que dis-je Florinde, je te fais tort de croire que tu aie fait breché à ton honneur, tu es possible dans la Ç ij gueule des loups, et en quelque part plus morte que vive, et toi aussi pauvre Père plus triste qu'un bonnet de nuit sans coffe, tu es plus cojols qu'une chate qui trouve ses petits chats morts, plus dolent qu'une femme mal mariée, bref plus désolé que si tous tes parents étaient trépassez, il faut bien à cette heure que la constance te serve d'écrote et de bouclier.
Je ſçay bien que c’eſt dans la neceſſité que les vrais amis ſe montrent où ils ſont, c’eſt pourquoy ma langue auſſi bien éguiſée que mon épée, va dire & faire tout enſemble au Docteur Theſaurus que je ſuis Roy des hommes, le Phœnix des vaillans, que j’extermineray & metray à la brebidaine tous ſes ennemis, & que je chiqueteray pour ſon ſer vice tout ce qui ſe rencontrera plus menu que chair à pâté, de l’abondance du cœur la bouche parle, à grand Seigneurs peu de paroles, moy qui ſuis plus vaillant que mon épée, je les vais aſſeurer que pour un amy l’autre veille.	Je sais bien que c'est dans la nécessité que les vrais amis se montrent où ils sont, c'est pourquoi ma langue aussi bien éguisée que mon épée, va dire et faire tout ensemble au Docteur Thésaurus que je suis Roi des hommes, le Phœnix des vaillants, que j'exterminerai et mettrai à la brebidène tous ses ennemis, et que je chiqueterai pour son vice tout ce qui se rencontrera plus menu que chair à pâté, de l'abondance du cœur la bouche parle, à grand Seigneurs peu de paroles, moi qui suis plus vaillant que mon épée, je les vais asseurer je pour es a ssure veille,
Me voici proche de ſon hôtel hola ho.	Me voici proche de son hôtel holà ho.
Alizon.	Alison.
Qui va ladre la.	Qui va ladre la.
Fierabras.	Fierabras.
C’eſt le vaillant Fierabras, General des Regimens de Tartarie, Moſcovie & autres.	C'est le vaillant Fierabras, Général des Regiments de Tartarie, Moscovie et autres.
Aliſon.	Alison.
Dites des Regimens du port au foin, de Pouly & autres.	Dites des Regiments du port au foin, de Pouli et autres.
Ha ha, c’eſt donc vous, ce n’eſt pas grand cas, attendez ſi vous voulez, ou bien allez vous en à l’autre porte, on y donne des miches, tout beau ne rompez pas hotre porte ene à coute de l’argent.	Ha heureux, c'est donc vous, ce n'est pas grand cas, attendez si vous voulez, ou bien allez -vous en à l'autre porte, on y donne des miches, tout beau ne rompez pas hotre porte ene à coute de l'argent.
Fierabras.	Fierabras.
A tous Seigneurs tous honneurs, bêtes brute voila bien nicqueter, c’eſt trop niveler, il n’eſt pire ſourd que celuy qui ne veut pas entendre, c’eſt le Capitaine Fierabras & mâchefer, cela te ſuffiſe, ouvre ſans tant de babil & ne m’échauffe pas la cervelle que tu ne t’en trouve mauvaiſe marchande, prens y garde, & que je ne t’envoye à Mortaigne, ou à Quancalle pêcher des huîtres.	À tous Seigneurs tous honneurs, bêtes brute voilà bien nicqueter, c'est trop niveler, il n'est pire sourd que celui qui ne veut pas entendre, c'est le Capitaine Fierabras et mâchefer, cela te suffise, ouvre sans tant de babil et ne m'échauffe pas la cervelle que tu ne t'en trouve mauvaise marchande, prends y garde, et que je ne t'envoie à Mortaigne, ou à Quancale pûcher des huîtres.
Aliſon.	Alison.
Vos fiévres quartains à trois blanc les deux;	Vos fièvres quartains à trois blanc les deux;
tout beau encor un coup de par Dieu ou de par le diable.	tout beau encor un coup de par Dieu ou de par le diable.
Dieu vous ſoit en aide, puis qu’il le faut dire, vous faites plus de bruit qu’un cent d’oyes, & ſi vous ttes tout ſeul.	Dieu vous soit en aide, puis qu'il le faut dire, vous faites plus de bruit qu'un cent d'oies, et si vous ttes tout seul.
Vous étes bien hâté & ſi perſonne ne vous preſſe Monſieur, venez vîtement parler au Capitaine Fierabras, il rompra tout ſi on ne le marie.	Vous êtes bien hâté et si personne ne vous presse Monsieur, venez vitetement parler au Capitaine Fierabras, il rompra tout si on ne le marie.
LA COMEDIE	LA COMÉDIE
SCENE II.	SCÈNE II.
Fierabras, Theſaurus, Alizon.	Fierabras, Thesaurus, Alison.
Fierabras.	Fierabras.
Il entre en la maiſon du Docteur.	Il entre en la maison du Docteur.
leu loit ceans & moy deuans, & le Ddiable chez les Moines.	Le loit céans et moi devants, et le Dédiable chez les Moines.
Theſaurus.	Thesaurus.
Seigneur Capitaine à vous & aux vôtres fuſſiez vous un cent encor un coup en dépit des envieux, il faut que je vous embraſſe bras deſſous & bras deſſus, & bien quel bon	Seigneur Capitaine à vous et aux vôtres fussiez vous un cent encor un coup en dépit des envieux, il faut que je vous embrasse bras dessous et bras dessus, et bien quel bon
vent vous mene.	vent vous mène.
Fierabras.	Fierabras.
Les vents ne me menent pas, car je vay plus vîte à pied qu’ils ne font à cheval, quand il eſt queſtion de vous voir, Eole n’eſcroque & n’emprunte que mon haleine pour ſouffler dans les oreilles des hommes & des enfans, que je ſuis la terreur de l’Uni vers, l’honneur d'icenes, ce le manacreur du vautour qui m’a ravy la proye que vous me gardiez.	Les vents ne me mènent pas, car je vais plus vite à pied qu'ils ne font à cheval, quand il est question de vous voir, Éole n'escroque et n'emprunte que mon haleine pour souffler dans les oreilles des hommes et des enfants, que je suis la terreur de l'Uni vers, l'honneur d'icène, ce le manacreur du vautour qui m'a ravi la proie que vous me gardiez.
Aliſon.	Alison.
On vous la gardoit dans un petit pot à part.	On vous la gardait dans un petit pot à part.
Fierabras.	Fierabras.
Et pour cela je vous ſuis venu dire qu’il vous faut armer des armes de la patience, pour moy je me veux vêtir de celles de la vengeance contre ceux qui vous ont tolli & emble vôtre Filer incotoupes en bataille	Et pour cela je vous suis venu dire qu'il vous faut armer des armes de la patience, pour moi je me veux vêtir de celles de la vengeance contre ceux qui vous ont tolly et emble votre Filer incotoupes en bataille
piſſer ny fienter.	pisser Seigneur fienter.
Fierabras.	Fierabras.
Enfin jamais homme ne fut plus ébahi que moi, ni plus reſolu de nous vanger tous deux, c’eſt pourquoy je ſuis venu ſans dire ny qui a perdu ny qui a gaigné, pour vous offrir l’or & les richeſſes qui ne manquent non-plus que l’eau en la riviere.	Enfin jamais homme ne fut plus ébahi que moi, ni plus résolu de nous venger tous deux, c'est pourquoi je suis venu sans dire ni qui a perdu ni qui a gagné, pour vous offrir l'or et les richesses qui ne manquent non-plus que l'eau en la rivière.
Pour le courage la valeur & la force.	Pour le courage la valeur et la force.
Aliſon.	Alison.
Il eſt fourny comme de fil & d’aiguille.	Il est fourni comme de fil et d'aiguille.
Fierabras.	Fierabras.
Faites de moy comme des choux de vôtre Jardin, j’employeray le verd & le ſec pour vous, je ne ſuis point de ces eſpeces de thiambraye, qui n’ont que du caquet & qui n’ont point de force qu’aux dents.	Faites de moi comme des choux de votre Jardin, j'emploierai le verd et le sec pour vous, je ne suis point de ces espèces de thiambraie, qui n'ont que du caquet et qui n'ont point de force qu'aux dents.
Je t’ay bien montré où gît le lievre, je ſçay bien où il faut apliquer le courage que je feray paroître comme le clocher ſur l’Egliſe, quand il ſera temps je les attaqueray d’étoc ce docanie, de cur ce de pomce, de bec & de griffe, à méchant, méchant & demy.	Je t'ai bien montré où gît le lièvre, je sais bien où il faut appliquer le courage que je ferai paraître comme le clocher sur l'Église, quand il sera temps je les attaquerai d'étoc ce docanie, de cur ce de pomce, de bec et de griffe, à méchant, méchant et demi.
Theſaurus.	Thesaurus.
Quant à cela vous ne ſçauriez mieux dire ſi vous ne recommencez, vous n’en parler pas comme un clerc d’arme, mais comme un homme qui en a bien veu d’autres, ceux-la ne vous feroient pas veſſit de peur, comme dit notre voilin jean Dadais, il h’eſt que.	Quant à cela vous ne sauriez mieux dire si vous ne recommencez, vous n'en parler pas comme un clerc d'arme, mais comme un homme qui en a bien vu d'autres, ceux-la ne vous feraient pas us de peur, comme dit notre voilin jean Dadais, il h'est que.
d’avoir du courage, car qui ſe fait brebis le, Loup le mange, vous n’en avez pas moint qu’un Lyon.	d'avoir du courage, car qui se fait brebis le, Loup le mange, vous n'en avez pas moint qu'un Lyon.
Fierabras.	Fierabras.
Ces brigands, ces chercheurs de barbet:	Ces brigands, ces chercheurs de barbet:
& de midy à quatorze heures, quels qu’ilt ſoient ſous la calote du Ciel, fuſſent-ils aux Antipodes ou dans les entrailles de la terre ils ſeront bien cachez ſi je ne les trouve.	et de midi à quatorze heures, quels qu'ilt soient sous la calote du Ciel, fussent-ils aux Antipodes ou dans les entrailles de la terre ils seront bien cachés si je ne les trouve.
Je leur montreray bien à tourner au bout:	Je leur montrerai bien à tourner au bout:
à qui ſe joüent-ils ?	à qui se jouent-ils ?
