RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
N eſt-ce déja fait, & nos bords malheureux L Sont-ils déja ſouillez d’un ſang ſi généreux?	N est-ce déjà fait, et nos bords malheureux Sont-ils déjà souillez d'un sang si généreux?
ACHOREE.	ACHORE.
Madame, j’ay couru par voſtre ordre au rivage, J’ay veu la trahiſon, j’ay veu toute ſa rage, Du plus grand des Mortels j’ay veu trancher le ſort, J’ay veu dans ſon malheur la gloire de ſa mort, Et puisque vous voulez qu’icy je vous raconte La gloire d’une mort qui nous couvre de honte, Ecoutez, admirez, & plaignez ſon trépas.	Madame, j'ai couru par votre ordre au rivage, J'ai vu la trahison, j'ai vu toute sa rage, Du plus grand des Mortels j'ai vu trancher le sort, J'ai vu dans son malheur la gloire de sa mort, Et puisque vous voulez qu'ici je vous raconte La gloire d'une mort qui nous couvre de honte, Ecoutez, admirez, et plaignez son trépas.
Ses trois vaiſſeaux en rade avoient mis voile bas, Et voyant dans le Port préparer nos galéres,  Il croyoir que le Roy touché de ſes miſéres, Par un beau ſentiment d’honneur & de devoir, Avec toute ſa Cour le venoit recevoir.	Ses trois vaisseaux en rade avaient mis voile bas, Et voyant dans le Port préparer nos galères, Il croyoir que le Roi touché de ses misères, Par un beau sentiment d'honneur et de devoir, Avec toute sa Cour le venait recevoir.
Mais voyant que ce Prince ingrat à ſes mérites N’envoyoit qu’un esquif remply de ſatellites.	Mais voyant que ce Prince ingrat à ses mérites N'envoyait qu'un esquif rempli de satellites.
12 Il ſoupçonne auſſi-toſt ſon manquement de foy, Et ſe laiſſe ſurprendre à quelque peu d’effroy.	12 Il soupçonne aussitôt son manquement de foi, Et se laisse surprendre à quelque peu d'effroi.
Enfin voyant nos bords & noſtre Flote en armes, Il condamne en ſon cœur ces indignes alarmes, Et réduit tous les ſoins d’un ſi preſſant ennuy A ne hazarder pas Cornélie avec luy.	Enfin voyant nos bords et notre Flote en armes, Il condamne en son cœur ces indignes alarmes, Et réduit tous les soins d'un si pressant ennui À ne hasarder pas Cornélie avec tu.
N’expoſons, luy dit-il, que cette ſeule teſte, A la réception que l’Egypte m’apreſte, Et tandis que moy ſeul j’en courray le danger, Songe à prendre la fuite afin de me venger.	N'exposons, Seigneur dit-il, que cette seule tête, A la réception que l'Égypte m'apprête, Et tandis que moi seul j'en courrai le danger, Songe à prendre la fuite afin de me venger.
Le Roy Iuba nous garde une foy plus ſincére, Chez luy tu trouveras, & mes fils, & ton pére, Mas quand tu les verrois deſcendre chez Pluton, Ne deſeſpére point du vivant de Caton.	Le Roi Juba nous garde une foi plus sincère, Chez Dieu tu trouveras, et mes fils, et ton père, Mas quand tu les verrais descendre chez Pluton, Ne désespère point du vivant de Caton.
CLEOPATRE.	CLÉPATRE.
N’épargnez pas les miens, achevez, Achorée, L’hiſtoire d’une mort que j’aydéja pleurée.	N'épargnez pas les miens, achevés, Achorée, L'histoire d'une mort que j'aydéja pleurée.
B vj	B vi
ACHOREE.	ACHORE.
On l’améne, & du Port nous le voyons venir, Sans que pas-un d’entr’eux daigne l’entretenir.	On l'amène, et du Port nous le voyons venir, Sans que pas-un d'entre eux daigne l'entretenir.
Ce mépris luy fait voir ce qu’il en doit attendre.	Ce mépris Seigneur fait voir ce qu'il en doit attendre.
Si-toſt qu’on a pris terre, on l’invite à deſcendre.	Si-tôt qu'on a pris terre, on l'invite à descendre.
Il ſe leve, & ſoudain pour ſignal Achillas Derriére ce Héros tirant ſon coutelas, Septime & trois des ſiens, laſches enfans de Rome, Percent à coups preſſez les flancs de ce grand homme, Tandis qu’Achillas meſme épouvanté d’horreur De ces quatre enragez admire la fureur.	Il se lève, et soudain pour signal Achillas Derriére ce Héros tirant son coutelas, Septime et trois des siens, lâches enfants de Rome, Percèrent à coups pressez les flancs de ce grand homme, Tandis qu'Achillas même épouvanté d'horreur De ces quatre enragez admire la fureur.
CLEOPATRE.	CLÉPATRE.
Vous qui livrez la Terre aux discordes civiles, Si vous vengez ſa mort, Dieux, épargnez nos villes, le limpucen men aux neux, Iecomoſſez les mnains Le crime de l’Egypte eſt fait par des Romains.	Vous qui livrez la Terre aux discordes civiles, Si vous vengez sa mort, Dieux, épargnez nos villes, le limpucen men aux neux, Jecomossez les ménains Le crime de l'Égypte est fait par des Romains.
Mais que fait, & que dit ce généreux courage?	Mais que fait, et que dit ce généreux courage?
ACHOREE.	ACHORE.
D’un des pans de ſa robbe il couvre ſon viſage, A ſon mauvais destin en aveugle obéït, Et dédaigne de voir le Ciel qui le trahit, De peur que d’un coup d’œil contre une telle offenſe Il ne ſemble implorer ſon aide ou ſa vengeance.	D'un des pans de sa robe il couvre son visage, À son mauvais destin en aveugle obéissance, Et dédaigne de voir le Ciel qui le trahit, De peur que d'un coup d'œil contre une telle offense Il ne semble implorer son aide ou sa vengeance.
Aucun gémiſſement à ſon cœur échapé Ne le montre en mourant digne d’eſtre frapé;	Aucun gémissement à son cœur échappé Ne le montre en mourant digne 'être frappé;
Immobile à leurs coups, en luy-meſme il rappelle Ce qu’eut de beau ſa vie, & ce qu’on dira d’elle, Et tient la trahiſon que le Roy leur prescrit Trop au deſſous de luy pour y préter l’esprit.	Immobile à leurs coups, en lui-même il rappelle Ce qu'eut de beau sa vie, et ce qu'on dira d'elle, Et tient la trahison que le Roi leur prescrit Trop au dessous de Seigneur pour y prêter l'esprit.
Sa vertu dans leur crime augmente ainſi ſon lustre, Et ſon dernier ſoûpir eſt un ſoûpir illustre, Qui de cette grande ame achevant les destins Etale tout Pompée aux yeux des aſſaſſins.	Sa vertu dans leur crime augmente ainsi son lustre, Et son dernier soupir est un soupir illustre, Qui de cette grande âme achevant les destins Etale tout Pompée aux yeux des assassins.
Sur les bords de l’esquif ſa teſte enfin panchée, Par le traiſtre Septime indignement tranchée, Paſſe au bout d’une lance en la main d’Achillas, Ainſi qu’un grand trophée après de grands combats.	Sur les bords de l'esquif sa tête enfin penchée, Par le traître Septime indignement tranchée, Passe au bout d'une lance en la main d'Achillas, Ainsi qu'un grand trophée après de grands combats.
On deſcend, & pour comble à ſa noire avanture, On donne à ce Héros la Mer pour ſépulture, Et le tronc ſous les flots roule doreſnavant, Au gré de la Fortune, & de l’Onde & du Vent, La triste Cornélie à cét affreux ſpectacle Par de longs cris aigus taſche d’y mettre obstacle, Défend ce cher époux de la voix & des yeux, Puis n’espérant plus rien, léve les mains aux Cieux, Et cédant tout à coup à la douleur plus forte, Tombe dans ſa galére évanoüye, ou morte.	On descend, et pour comble à sa noire aventure, On donne à ce Héros la Mer pour sépulture, Et le tronc sous les flots roule dorénavant, Au gré de la Fortune, et de l'Onde et du Vent, La triste Cornelie à cet affreux spectacle Par de longs cris aigus tâche d'y mettre obstacle, Défend ce cher époux de la voix et des yeux, Puis n'espérant plus rien, lève les mains aux Cieux, Et cédant tout à coup à la douleur plus forte, Tombe dans sa galère évanoüye, ou morte.
Les ſiens en ce deſastre à force de ramer L’éloignent de la rive, & regagnent la Mer, Mais ſa fuite eſt mal ſeure, & l’infame Septime Qui ſe voit dérober la moitié de ſon crime, Afin de l’achever prend ſix vaiſſeaux au Port, Et pourſuit ſur les eaux Pompée après ſa mort.	Les siens en ce désastre à force de ramer L'éloignent de la rive, et regagnent la Mer, Mais sa fuite est mal sûre, et l'infâme Se Qui se voit dérober la moitié de son crime, Afin de l'achever prend six vaisseaux au Port, Et poursuit sur les eaux Pompée après sa mort.
Cependant Achillas porte au Roy ſa conqueſte, Tout le Peuple tremblant en détourne la teſte, Un effroy général offre à l’un ſous ſes pas Des abîmes ouverts pour venger ce trépas, L’autre entend le tonnerre, & chacun ſe figure Un deſordre ſoudain de toute la Nature, Tant l’excès du forfait troublant leurs jugemens Preſente à leur terreur l’excès des châtimens.	Cependant Achillas porte au Roi sa conquête, Tout le Peuple tremblant en détourne la tête, Un effroi général offre à l'un sous ses pas Des abîmes ouverts pour venger ce trépas, L'autre entend le tonnerre, et chacun se figure Un désordre soudain de toute la Nature, Tant l'excès du forfait troublant leurs jugements Presse à leur terreur l'excès des châtiments.
Philippe d’autre part montrant ſur le rivage Dans une ame ſervile un généreux courage, Examine d’un œil & d’un ſoin curieux Où les vagues rendront ce dépoſt précieux, (rendre, Pour luy rendre, s’il peut, ce qu’aux morts on doit Dans quelque Urne chetive en ramaſſer la cendre, Et d’un peu de pouſſiére élever un tombeau A celuy qui du Monde eut le ſort le plus beau.	Philippe d'autre part montrant sur le rivage Dans une âme servile un généreux courage, Examine d'un œil et d'un soin curieux Où les vagues rendront ce dépôt précieux, (rendre, Pour Se rendre, s'il peut, ce qu'aux morts on doit Dans quelque Urne chétive en ramasser la cendre, Et d'un peu de poussière élever un tombeau A celui qui du Monde eut le sort le plus beau.
Mais comme vers l’Afrique on pourſuit Cornélie, On voit d’ailleurs Céſar venir de Theſſalie, Une Flote paroit qu’on a peine à conter.	Mais comme vers l'Afrique on poursuit Cornélie, On voit d'ailleurs César venir de Thessalie, Une Flote parait qu'on a peine à conter.
CLEOPATRE.	CLÉPATRE.
C’eſt luy-meſme, Achorée, il n'en faut pont douter.	C'est lui-même, Achorée, il n'en faut pont douter.
Tremblez, tremblez, méchans, voicy venir la foudre, Cléopatre a dequoy vous mettre tous en poudre, Céſar vient, elle eſt Reine, & Pompée eſt vengé, La tyrannie eſt bas, & le Sort a changé.	Tremblez, tremblez, méchants, voici venir la foudre, Cléopatre a dequoy vous mettre tous en poudre, César vient, elle est Reine, et Pompée est vengé, La tyrannie est bas, et le Sort a changé.
Admirons cependant le destin des grands hommes, Plaignons-les, & par eux jugeons ce que nous ſommes.	Admirons cependant le destin des grands hommes, Plaignons-les, et par eux jugeons ce que nous sommes.
Ce Prince d’un Sénat Maiſtre de l’Univers, Dont le bonheur ſembloit au deſſus du revers, Luy que ſa Rome a veu plus craint que le tonnerre Triompher en trois fois des trois parts de la terre, Et qui voyoit encor en ces derniers hazards L’un & l autre Conſul ſuivre ſes étendarts, Si-toſt que d’un malheur ſa fortune eſt ſuivie, Les Monstres de l’Egypte ordonnent de ſa vie;	Ce Prince d'un Sénat Maître de l'Univers, Dont le bonheur semblait au dessus du revers, Lui que sa Rome a vu plus craint que le tonnerre Triompher en trois fois des trois parts de la terre, Et qui voyait encor en ces derniers hasards L'un et t autre Consul suivre ses étendards, Sitôt que d'un malheur sa fortune est suivie, Les Monstres de l'Égypte ordonnent de sa vie;
On voit un Achillas, un Septime un Photin, A rbitres ſouverains d’un ſi noble destin;	On voit un Achillas, un Septime un Photin, A rbitres souverains d'un si noble destin;
Un Roy qui de ſes mains a receu la Couronne A ces pestes de Cour laſchement l’abandonne;	Un Roi qui de ses mains a reçu la Couronne À ces pestes de Cour lâchement 'abandonne;
Ainſi finit Pompée, & peut-eſtre qu’un jour Céſar éprouvera meſme ſort à ſon tour.	Ainsi finit Pompée, et peut-être qu'un jour César éprouvera même sort à son tour.
Rendez l’augure faux, Dieux qui voyez mes larmes, Et ſecondez par tout & mes vœux & ſes armes.	Rendez l'augure faux, Dieux qui voyez mes larmes, Et secondez par tout et mes vœux et ses armes.
CHARMION.	CHARMION.
Madame, le Roy vient qui pourra vous oüir.	Madame, le Roi vient qui pourra vous ouïr.
SCENNE IIR PTOLOMEE, CLEOPATRE, CHARMION.	SCÈNE IIR PTOLOMEE, CLÉPATRE, CHARMION.
PTOLOMEE.	PTOLOMEE.
Cavez-vous le bon-heur dont nous allons joüir, S Ma lœur?	Cavez-vous le bonheur dont nous allons jouir, S Ma our?
CLEOPATRE.	CLÉPATRE.
Oüy, je le ſçay, le grand Céſar arrive, Sous les loix de Photin je ne luis plus captive.	Oui, je le sais, le grand César arrive, Sous les lois de Photin je ne luis plus captive.
PTOLOMEE.	PTOLOMEE.
Vous haïſſez toûjours ce fidelle Sujet.	Vous haïssez toujours ce fidèle Sujet.
CLEOPATRE.	CLÉPATRE.
Non, mais en liberté je ry de ſon projet.	Non, mais en liberté je ri de son projet.
IIOLOMED.	IIOLOMED.
Quel projet faiſoit-il cont vous pûſſiez vous plaindre?	Quel projet faisait-il compt vous pussiez vous plaindre?
GLEOPATRE.	GLÉPATRE.
J’en ay ſouffert beaucoup & j’avois plus à craindre.	J'en ai souffert beaucoup et j'avais plus à craindre.
Un ſi grand Politique eſt capable de tout, Et vous donnez les mains à tout ce qu’il téſout.	Un si grand Politique est capable de tout, Et vous donnez les mains à tout ce qu'il tezout.
PTOLOMEE.	PTOLOMEE.
Si je luy les comens, jen core y la prudence.	Si je était les comens, jen core y la prudence.
CLEOPATRE.	CLÉPATRE.
Si j’en crains les effets, j’en voy la violence.	Si j'en crains les effets, j'en vois la violence.
PTOLOMEE.	PTOLOMEE.
Pour le bien de l’Etat tout eſt juste en un Roy.	Pour le bien de l'État tout est juste en un Roi.
CELOPATRE.	CELOPATRE.
Ce genre de justice eſt à craindre pour moy.	Ce genre de justice est à craindre pour moi.
Après ma part du Sceptre à ce tître uſurpée, Il en coûte la vie, & la teſte à Pompée.	Après ma part du Sceptre à ce tître usurpée, Il en coûte la vie, et la tête à Pompée.
PTOLOMEE.	PTOLOMEE.
Jamais un coup d’Etat ne fut mieux entrepris, Derouiant ſecourir, Céſar nous euſt ſurpris, Vous voyez ſa viſteſſe, & l’Egypte troublée Avant qu’eſtre en défenſe, en ſeroir accablée.	Jamais un coup d'État ne fut mieux entrepris, Dérouiant secourir, César nous eût surpris, Vous voyez sa vitresse, et l'Égypte troublée Avant qu'être en défense, en seroir accablée.
Mais je puis maintenant à cet neureux vainqueur Offrir en ſeureté mon troſne, & voſtre cœur.	Mais je puis maintenant à cet neureux vainqueur Offrir en sûreté mon trône, et votre cœur.
CLEOPATRE.	CLÉPATRE.
Je feray mes preſens, n’ayez ſoin que des voſtres, Et dans vos intéreſts n’en confondez point d’autres.	Je ferai mes présents, n'ayez soin que des vôtres, Et dans vos intérêts n'en confondez point d'autres.
PTOLOMEE Les voſtres ſont les miens, étant de meſme ſang.	PTOLOMEE Les vôtres sont les miens, étant de même sang.
CLEOPATRE.	CLÉPATRE.
Vous pouvez dire encor étant de meſme rang, Etant Rois l’un & l’autre;	Vous pouvez dire encor étant de même rang, Étant Rois l'un et l'autre;
& toutefois je penſe Que hos deux mtereits ont queique dmerence.	et toutefois je pense Que hos deux mtereits ont queique dmence.
PTOLOMEE.	PTOLOMEE.
Ouy, ma ſœur, car l’Etat dont mon cœur eſt content Sur quelques bords du Nil à grand peine s’étend:	Oui, ma sœur, car l'État dont mon cœur est content Sur quelques bords du Nil à grand peine s'étend:
Raais Celur a vos fomioumeceane londourage, Vous va faire régner ſur le Gange & le Tage.	Ra Celur a vos fomioumeceane londourage, Vous va faire régner sur le Gange et le Tage.
CLEOPATRE.	CLÉPATRE.
J’ay de l’ambition, mais je la ſçay régler, Elle peut m’ébloüir & non-pas m’aveugler;	J'ai de l'ambition, mais je la sais régler, Elle peut m'ébloüir et non-pas m'aveugler;
Ne parlons point icy du Tage, ny du Gange, yuoonmopim pone, & ne prens point le change.	Ne parlons point ici du Tage, Seigneur du Gange, yvoonmopim one, et ne prends point le change.
PTOLOMEE.	PTOLOMEE.
L otcanon vousilt, e vousendlelco.	L otcanon vousilt, e vousendlelco.
CLEOPATRE.	CLÉPATRE.
Si je n’en ule bien, vous m’en accuſerez.	Si je n'en a bien, vous m'en accuserez.
PTOLOMEE.	PTOLOMEE.
J’en espére beaucoup, veu l’amour qui l’engage.	J'en espère beaucoup, vu l'amour qui l'engage.
CLEOPATRE.	CLÉPATRE.
Vous la craignez peut-eſtre encore davantage;	Vous la craignez peut-être encore davantage;
Mrais queique occaſlon qui me ne aufourd huy, N’ayez aucune peur, je ne veux rien d’autruy, je ne garde pour vous ny haine ny colère, Et je ſuis bonne ſœur, ſi vous n’étes bon frére.	Mrais queique occaslon qui me ne aufourd' ai, N'ayez aucune peur, je ne veux rien d'autrui, je ne garde pour vous mieux haine mot colère, Et je suis bonne sœur, si vous n'êtes bon frère.
PTOLOMEE.	PTOLOMEE.
Vous montrez cependant un peu bien du mépris.	Vous montrez cependant un peu bien du mépris.
CLEOPATRE.	CLÉPATRE.
Le tempsue chaque choieordome & fair le prix.	Le tempsve chaque choieordome et fair le prix.
PTOLOMEE.	PTOLOMEE.
Voſtre façon d’agir le fait aſſez connoiſtre.	Votre façon d'agir le fait assez connaître.
CLEOPATRE.	CLÉPATRE.
Le grand Céſar arrive, & vous avez un maiſtre.	Le grand César arrive, et vous avez un maître.
PTOLOMEE.	PTOLOMEE.
Il l’eſt de tout le Monde, & je l’ay fait le mien.	Il l'est de tout le Monde, et je l'ai fait le mien.
CLEOPATRE.	CLÉPATRE.
Allez luy rendre hommage & j’attendray le ſien.	Allez Seigneur rendre hommage et j'attendrai le sien.
Allez, ce n’eſt pas trop pour luy que de vous-meſme, Je garderay pour vous l’honneur du Diadème.	Allez, ce n'est pas trop pour lui que de vous-même, Je garderai pour vous l'honneur du Diadème.
Photin vous vient aider à le bien recevoir, Conſultez avec luy quel eſt voſtre devoir.	Photin vous vient aider à le bien recevoir, Consultez avec tu quel est votre devoir.
SCENE IV.	SCÈNE IV.
PTOLOMEE, PHOTIN,	PTOLOME, PHOTIN,
PTOLOMEE.	PTOLOMEE.
Ay ſuivy tes conſeils, mais plus je l’ay flatée, J'Et plus dans l’inſolence elle s’eſt emportée, Si bien qu’enfin outré de tant d’indignitez Je m’allois emporter dans les extrémitez;	Ai suivi tes conseils, mais plus je l'ai flattée, J'Et plus dans l'insolence elle s'est emportée, Si bien qu'enfin outré de tant d'indignités Je m'allais emporter dans les extrémités;
Mon bras dont ſes mépris forçoient la retenuë N’euſt plus conſidéré Céſar, ny ſa venuë, Et l’euſt miſe en état malgré tout ſon appuy De s’en plaindre à Pompée auparavant qu’à luy.	Mon bras dont ses mépris forçaient la retenue N'eût plus considéré César, quelque venue, Et l'eût mise en état malgré tout son appui De s'en plaindre à Pompée auparavant qu'à lui.
L’arrogante, à l’oüir elle eſt déja ma Reine, Et ſi Céſar en croit ſon orgueil & ſa haine, Si, comme elle s’en vante, elle eſt ſon cher objet, De ſon frére & ſon Roy je deviens ſon Sujet.	L'arrogante, à l'oüir elle est déjà ma Reine, Et si César en croit son orgueil et sa haine, Si, comme elle s'en vante, elle est son cher objet, De son frère et son Roi je deviens son Sujet.
Non, non, prévenons-la, c’eſt foibleſſe d’attendre Le mal qu’on voit venir ſans vouloir s’en défendre, Oſtons-luy les moyens de nous plus dédaigner, Oſtons-luy les moyens de plairc & de régner, Et ne permettons pas qu’après tant de bravades Mon ſceptre ſoit le prix d’une de ſes œillades.	Non, non, prévenons-la, c'est faiblesse d'attendre Le mal qu'on voit venir sans vouloir s'en défendre, Ostons-lui les moyens de nous plus dédaigner, Ôtons-lui les moyens de plairc et de régner, Et ne permettons pas qu'après tant de braves Mon sceptre soit le prix d'une de ses œillades.
PHOTIN.	PHOTIN.
Seigneur, ne donnez point de prétexte à Céſar Pour attacher l’Egypte aux pompes de ſon char.	Seigneur, ne donnez point de prétexte à César Pour attacher l'Égypte aux pompes de son char.
Ce cœur ambitieux qui par toute la Terre Ne cherche qu’à porter l’esclavage & la guerre, Enflé de ſa victoire & des reſſentimens Qu’une perte pareille imprime aux vrais Amans, Quoy que vous ne rendiez que justice à vous meſme, Prendroit l’occaſion de venger ce qu’il aime Et pour s’aſſujettir & ves Etats & vous, Imputeroit à crime un ſi juste couroux.	Ce cœur ambitieux qui par toute la Terre Ne cherche qu'à porter l’ esclavage et la guerre, Enflé de sa victoire et des ressentiments Qu'une perte pareille imprime aux vrais Amants, Quoi que vous ne rendiez que justice à vous -même, Prendrait l'occasion de venger ce qu'il aime Et pour s'assujettir et vez Etats et vous, Imputerait à crime un si juste courroux.
PTOLOMEE.	PTOLOMEE.
Si Cléopatre vit, s’il la voit, elle eſt Reine.	Si Cléopatre vit, s'il la voit, elle est Reine.
liIOlARe.	liIOlARe.
Si Cléopatre meurt, voſtre perte eſt certaine.	Si Cléopatre meurt, votre perte est certaine.
PIOLOMEE.	PIOLOMEE.
Je perdray qui me perd, ne pouvant me ſauver.	Je perdrai qui me perd, ne pouvant me sauver.
PHOTIN.	PHOTIN.
Pour la perdre avec joye il faut vous conſerver.	Pour la perdre avec joie il faut vous conserver.
PTOLOMEE.	PTOLOMEE.
Quoy:	Quoi:
pour von iur la terte celacerina couronne?	pour von jur la terte celacerina couronne?
Sceptre, s’il faut enfin que ma main t’abandonne, Paſſe, paſſe plûtoſt en celle du vainqueur.	Sceptre, s'il faut enfin que ma main t'abandonne, Passe, passe plutôt en celle du vainqueur.
PHOTIN.	PHOTIN.
Vous l’arracherez mieux de celle d’une ſœur.	Vous l'arracherez mieux de celle d'une sœur.
Quelques feux que d’abord il luy faſſe paroiſtre, Il partira bien-toſt, & vous ſerez le maiſtre.	Quelques feux que d'abord il lui fasse paraître, Il partira bientôt, et vous serez le maître.
L’Amour à ſes pareils ne donne point d’ardeur Qui ne céde aiſément aux ſoins de leur grandeur:	L'Amour à ses pareils ne donne point d'ardeur Qui ne cède aisément aux soins de leur grandeur:
Il voit encor l’Afrique & l’Espagne occupées Par Juba, Scipion, & les jeunes Pompées, Et le Monde à ſes loix n’eſt point aſſujetty, Tant qu’il verra durer ces restes du Party.	Il voit encor l'Afrique et l'Espagne occupées Par Juba, Scipion, et les jeunes Pompées, Et le Monde à ses lois n'est point assujetti, Tant qu'il verra durer ces restes du Parti.
Au ſortir de Pharſale un ſi grand Capitaine Sçauroit mal ſon métier s’il laiſſoit prendre haleine, Et s’il donnoit loiſir à des cœurs ſi hardis De relever du coup dont ils ſont étourdis.	Au sortir de Pharsale un si grand Capitaine Saurait mal son métier s'il laissait prendre haleine, Et s'il donnait loisir à des cœurs si hardis De relever du coup dont ils sont étourdis.
S’il les vainq, s’il parvient où ſon deſir aspire, Il faut qu’il aille à Rome établir ſon empire, Joüir de ſa fortune, & de ſon attentat, Et changer à ſon gié la forme de l’Etat:	S'il les vainq, s'il parvient où son désir aspire, Il faut qu'il aille à Rome établir son empire, Jouir de sa fortune, et de son attentat, Et changer à son gié la forme de l'État:
Jugez durant ce temps ce que vous pourrez faire.	Jugez durant ce temps ce que vous pourrez faire.
Seigneur, voyez Céiar, forcez-vous à luy plaire, Et luy déférant tout veuillez vous ſouvenir Que les événemens régleront l’avenir.	Seigneur, voyez Céiar, forcez-vous à lui plaire, Et tu déférant tout veuillez vous souvenir Que les événements régleront l'avenir.
Remettez en ſes mains, Troſne, Sceptre, Couronne, Et ſans en murmurer ſouffrez qu’il en ordonne.	Remettez en ses mains, Trône, Sceptre, Couronne, Et sans en murmurer souffrez qu'il en ordonne.
Il en croira ſans doute ordonner justement En ſuivant du feu Roy l’ordre & le testament;	Il en croira sans doute ordonner justement En suivant du feu Roi l'ordre et le testament;
L’importance d’ailleurs de ce dernier ſervice Ne permet pas d’en craindre une entiére injustice:	L'importance d'ailleurs de ce dernier service Ne permet pas d'en craindre une entièvre injustice:
Quoy qu’il en faſſe enfin, feignez d’y conſentir, Loüez ſon jugement, & laiſſez-le partir.	Quoi qu'il en fasse enfin, feignez d'y consentir, Louez son jugement, et laissez-le partir.
Après, quand nous verrons le temps propre aux vengeances, Nous aurons, & la force, & les intelligences:	Après, quand nous verrons le temps propre aux vengeances, Nous aurons, et la force, et les intelligences:
Jusque-là reprimez ces transports violens Qu'ehcnene a une lour les incpris Moren, Les bravades enfin ſont des discours frivoles, Et qui ſonge eux effets néglige les paroles.	Jusque-là réprimez ces transports violents Qu'ehcnene à une lour les incpris Moren, Les bravades enfin sont des discours frivoles, Et qui songe eux effets néglige les paroles.
PTOLOMEE.	PTOLOMEE.
Ah!	Ah!
tu me rens la vie, & le ſceptre à la fois, Un ſage Conſeiller eſt le bon-heur des Rois.	tu me rends la vie, et le sceptre à la fois, Un sage Conseiller est le bonheur des Rois.
cher appuy de mon Troſne, allons ſans plus attendre Offrit tout à Céſar afin de tout reprendre, Avec toute ma r'iote arlons le fecevoir, Et par ces vaiis fionieurs féduire ſon pouvoir.	cher appui de mon Trône, allons sans plus attendre Offrit tout à César afin de tout reprendre, Avec toute ma riote arlons le fécevoir, Et par ces vaiis fionieurs séduire son pouvoir.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CHARMION, ACHOREE.	CHARMION, ACHORE.
CHARMION.	CHARMION.
Uy, tandis que le Roy va luy-meſme en perſonne Jusqu’aux pieds de Céſar prosterner ſa couronne, Cléopatre s’enferme en ſon appartement, Et ſans s’en émouvoir attend ſon compliment.	Oui, tandis que le Roi va beau-même en personne Jusqu'aux pieds de César prosterner sa couronne, Cléopatre s'enferme en son appartement, Et sans s'en émouvoir attend son compliment.
Comment nommerez-vous une humeur ſi hautaine?	Comment nommerez-vous une humeur si hautaine?
ACHOREE.	ACHORE.
Un orgueil noble & juste, & digne d’une Reine, Qui ſoûtient avec cœur & magnanimité L’honneur de ſa naiſſance & de ſa Dignité.	Un orgueil noble et juste, et digne d'une Reine, Qui soutient avec cœur et magnanimité L'honneur de sa naissance et de sa Dignité.
Luy pourray-je parler?	Lui pourrai-je parler?
CHARMION.	CHARMION.
Non, mais elle m’envoye Sçavoir a cet abord ce qu’on a veu de joye, Ce qu’à ce beau preſent Céſar a témoigné, S’il a paru content, ou s’il l’a dédaigné, S’il traite avec douceur, s’il traite avec empire, Ce qu’à nos aſſaſſins enfin il a ſçeu dire.	Non, mais elle m'envoie Savoir à cet abord ce qu'on a vu de joie, Ce qu'à ce beau présent César a témoigné, S'il a paru content, ou s'il l'a dédaigné, S'il traite avec douceur, s'il traite avec empire, Ce qu'à nos assassins enfin il a su dire.
ACHOREE.	ACHORE.
La teſte de Pompée a produit des effets Dont ils n’ont pas ſujet d’eſtre fort ſatisfaits.	La tête de Pompée a produit des effets Dont ils n'ont pas sujet d'être fort satisfaits.
Je ne ſçay ſi Céſar prendroit plaiſir à feindre, Mais pour eux jusqu’icy je trouve lieu de craindre;	Je ne sais si César prendrait plaisir à feindre, Mais pour eux jusqu'ici je trouve lieu de craindre;
S’ils aimoient Ptolomée, ils l’ont fort mal ſervy.	S'ils aimaient Ptolomée, ils l'ont fort mal servi.
Vous l’avez veu partir, & moy je l’ay ſuivy.	Vous l'avez vu partir, et moi je l'ai suivi.
Ses vaiſſeaux en bon ordre ont éloigné la ville, Et pour joindre Céſar n’ont avancé qu’un mille.	Ses vaisseaux en bon ordre ont éloigné la ville, Et pour joindre César n'ont avancé qu'un mille.
Il venoit à plein voile, & ſi dans les hazards Il éprouva toûjours pleine faveur de Mars, Sa Flote qu’à l’envy favoriſoit Neptune Avoit le vent en poupe ainſi que ſa fortune.	Il venait à plein voile, et si dans les hasards Il éprouva toujours pleine faveur de Mars, Sa Flote qu'à l'envi favoris Neptune Ait le vent en poupe ainsi que sa fortune.
Dès le prémier abord noſtre Prince étonne Ne s’eſt plus ſouvenu de ſon front couronné, Sa frayeur a paru ſous ſa fauſſe allegreſſe, Toutes ſes actions ont ſenty la baſſeſſe, J’en ay rougy moy-meſme, & me ſuis plaint à moy De voir là Ptolomée, & n’y voir point de Roy, Et Céſar qui liſoit ſa peur ſur ſon viſage Le flatoit par pitié pour luy donner courage.	Dès le prémier abords était Prince étonne Ne s'est plus souvenu de son front couronné, Sa frayeur a paru sous sa fausse allégresse, Toutes ses actions ont senti la bassesse, J'en ai rougi moi-même, et me suis plaint à moi De voir là Ptolomée, et n'y voir point de Roi, Et César qui lisait sa peur sur son visage Le flattait par pitié pour lui donner courage.
Luy d’une voix tombante offrant ce don fatal, Seigneur, vous n’avez plus, luy dit-il, de Rival;	Lui d'une voix tombante offrant ce don fatal, Seigneur, vous n'avez plus, notre dit-il, de Rival;
