A M.	À M.
PERSEE.	PERSE.
Seigneur, s’il m’eſt permis d’entendre voſtre Oracle.	Seigneur, s'il m'est permis d'entendre votre Oracle.
Ie croy qu’à ſa priere il donne peu d’obſtacle;	Je crois qu'à sa prière il donne peu d'obstacle;
Il parle d’Andromede, il la nomme, il ſuffit, Arreſtez vous pour elle a ce qu’il vous en dit;	Il parle d'Andromède, il la nomme, il suffit, Arrêtez -vous pour elle a ce qu'il vous en dit;
La ſeparer long-temps d’vn amant ſi fidelle C’eſt tout le chaſtiment qu’il ſemble vouloir d’elle, Differez ſon Hymen ſans l’expoſer au choix, Le Ciel aſlez ſouuent doux aux crimes des Rois, Quand il leur a montre quelque legere haine, Répand ſur leurs Sujets le reſte de leur peine.	La séparer longtemps d'un amant si fidèle C'est tout le châtiment qu'il semble vouloir d'elle, Différez son Hymen sans l'exposer au choix, Le Ciel aslez souvent doux aux crimes des Rois, Quand il leur a montre quelque légère haine, Répand sur leurs Sujets le reste de leur peine.
CEPHEE.	CÉPHÉE.
Vous prenez mal l’Oracle, & pour l’expliquer mieux, Sçachez,.	Vous prenez mal l'Oracle, et pour l'expliquer mieux, Sachez,.
mais quel éclat vient de frapper Hes yeuxa D’où partent ces longs traits de nonuelles lumieres ?	mais quel éclat vient de frapper Hes yeuxa D'où partent ces longs traits de nonuelles lumières ?
PERSEE.	PERSE.
Du Ciel qui vient d’ouurir ſes luiſantes barrieres D'où quelque Deïté vient ce ſemble icy bas Terminer elle-meſme entre vous ces debats.	Du Ciel qui vient d'ouvrir ses luisantes barrières D'où quelque Deïté vient ce semble ici bas Terminer elle-même entre vous ces débats.
CASSIOPE.	CASSIOPE.
Ah, ie la recognoy, la Deeſſe d’Erice, C’eſt elle, c’eſt Venus à mes vœux ſi propice, Ie voy dans ſes regards mon bon-heur renaiſſant.	Ah, Seigneur la reconnais, la Déesse d'Erice, C'est -elle, c'est Venus à mes vœux si propice, Je vois dans ses regards mon bonheur renaissant.
Peuple, faites des vœux tandis qu’elle deſcend.	Peuple, faites des vœux tandis qu'elle descend.
Le Ciel s'ouure durant cette conteſtation du Roy auec Phinée, & fait voir dans vn profond eſloignement l’eſtoile de Venus qui ſert de machine pour apporter cette Deeſſe iuſqu’au milieu du Theatre:	Le Ciel s'ouvre durant cette contestation du Roi auec Phinée, et fait voir dans un profond éloignement l'étoile de Venus qui sert de machine pour apporter cette Deesse jusqu'au milieu du Théâtre:
Elle s’auance lentement ſans que l’œil puiſſe découurir à quoy elle eſt ſuſpenduë, & cependant le peuple a loiſir de luy adreſſer fes vœux par cet Hymne que chantent les Muſiciens.	Elle s'avance lentement sans que l'œil puisse découvrir à quoi elle est suspendue, et cependant le peuple à loisir de lui adresser fes vœux par cet Hymne que chantent les Musiciens.
SCE	SCE
CENE III.	CÈNE III.
VENVS, CEPHEE, CASSTOPE,	VENUS, CÉPHÉE, CASTOPE,
PERSEE, PHINEE, Chœur de Muſique, Suite du Roy & de la Reine.	PERSE, PHINE, Chœur de Musique, Suite du Roi et de la Reine.
CHOEVR de Muſique cependant que Venus s’auance.	CHOEUR de Musique cependant que Venus s'avance.
Eine de Paphe & d’Amathonte, R Mere d’Amour & fille de la mer, Peux-tu voir ſans vn peu de honte Que contre nous elle ait voulu s’armer, Sorte noſtre ruine?	Éine de Paphe et d'Amathonte, R Ait d'Amour et fille de la mer, Peux-tu voir sans un peu de honte Que contre nous elle ait voulu s'armer, Sorte notre ruine?
Peux-tu voir que de la meſme ondé Il oſe naiſtre vn tel monſtre apres toy, Que d’où vint tant de bien au monde Il vienne enfin tant de mal & d’effroy, Et que l’heureux berçeau de ta beauté ſupreſme Enfante l’horreur meſme ?	Peux-tu voir que de la même ondé Il ose naître un tel montre après toi, Que d'où vint tant de bien au monde Il vienne enfin tant de mal et d'effroi, Et que l'heureux berce de ta beauté suprême Enfante l'horreur même ?
Vange l’honneur de ta naiſſance Qu’on a ſouïllé par vn tel attentat, Rends-luy ſa premiere innocence, Et tu rendras le calme à cet Eſtat, Et nous dirons que d’où le mal procede, Part auſſi le remede.	Venge l'honneur de ta naissance Qu'on a souïllé par un tel attentat, Rends-lui sa première innocence, Et tu rendras le calme à cet État, Et nous dirons que d'où le mal procède, Part aussi le remède.
CASSTOPE.	CASTOPE.
Peuple, elle veut parler, ſilence à la Deeſſe, Silence, & preparez vos cœurs à l’allegreſſe, Elle a receu nos vœux & les daigne exaucer, Eſcout ez-en l’effet qu’elle va prononcer.	Peuple, elle veut parler, silence à la Déesse, Silence, et préparés vos cœurs à l'allégresse, Elle a reçu nos vœux et les daigne exaucer, Escout ez-en l'effet qu'elle va prononcer.
VENVS au milieu de l’air, Ne tremblez plus, mortels, ne tremble plus, 6 mere, On va ietter le Sort pour la derniere fois, Et le Ciel ne veut plus qu’vn choix Pour appaiſer de tout point ſa colere :	VENUS au milieu de l'air, Ne tremblez plus, mortels, ne tremble plus, 6 mère, On va jeter le Sort pour la dernière fois, Et le Ciel ne veut plus qu'un choix Pour appaiser de tout point sa colère :
Andromede ce ſoir aura l’illuſtre eſpoux Qui ſeul eſt digne d’elle & dont ſeule elle eſt digne, PrepaPreparez ſon Hymen, où pour faueur inſigne Les Dieux ont reſolu de ſe ioindre auec vous.	Andromède ce soir aura l'illustre époux Qui seul est digne d'elle et dont seule elle est digne, Préparez son Hymen, où pour faveur insigne Les Dieux ont résolu de se joindre avec vous.
PHINEE aCephée.	PHINE aCephée.
Souffrez que ſans tarder ie porte à ma Princeſſe, Seigneur, l’heureux Arreſt qu’a donné la Deeſſe.	Souffrez que sans tarder votre porte à ma Princesse, Seigneur, l'heureux Arrêt qu'a donné la Déesse.
E l l la a de, Allez, l’impatience eſt trop iuſte aux amants.	E l l a a de, Allez, l'impatience est trop juste aux amants.
CASSIOPE voyant remonter Venus.	CASIOPE voyant remonter Venus.
Suiuons la dans le Ciel par nos remerciments, Et d’vne voix commune adorant ſa puiſſance Monſtrons à ſes faueurs noſtre recognoiſſance.	Suivons la dans le Ciel par nos remerciments, Et d'une voix commune adorant sa puissance Monstrons à ses faveurs notre reconnaissance.
CHOEVR de Muſique cependant que Venus remonte.	CHOEUR de Musique cependant que Venus remonte.
Ainſi touſiours ſur tes Autels Tous les mortels Offrent leurs cœurs en ſacrifice, Ainſi le Zephyre en tout temps Sur tes palais de Cythere & d’Eryce Face regner les Graces du Printemps.	Ainsi toujours sur tes Autels Tous les mortels Offrent leurs cœurs en sacrifice, Ainsi le Zéphyre en tout temps Sur tes palais de Cysthère et d'Éryce Face régner les Grâces du Printemps.
Daigne affermir l’heureuſe paix Qu’à nos ſouhaits Vient de promettre ton Oracle;	Daigne affermir l'heureuse paix Qu'à nos souhaits Vient de promettre ton Oracle;
Et fay pour ces ieunes amants, Pour qui tu viens de faire ce miracle, Vn ſiecle entier de doux rauiſſements.	Et fais pour ces jeunes amants, Pour qui tu viens de faire ce miracle, Un siècle entier de doux ravissements.
Dans nos campagnes & nos bois Toutes nos voix Beniront tes douces atteintes :	Dans nos campagnes et nos bois Toutes nos voix Béniront tes douces atteintes :
Et dans les rochers d’alentour La meſme Echo qui rediſoit nos plaintes, Ne redira que des ſoûpirs d’amour.	Et dans les rochers d'alentour La même Écho qui redisait nos plaintes, Ne redira que des soupirs d'amour.
CEPHEE.	CÉPHÉE.
C’eſt aſſez, la Deeſſe eſt deſia diſparuë, Ses dernieres clartez ſe perdent dans la nuë;	C'est assez, la Déesse est déjà disparue, Ses dernières clartés se perdent dans la nue;
Allons ietter le Sort pour la derniere fois :	Allons jeter le Sort pour la dernière fois :
Malheureux le dernier que foudroyera ſon choix, Et dont en ce grand iour la perte domeſtique Souïllera de ſes pleurs l’allegreſſe publique.	Malheureux le dernier que foudroiera son choix, Et dont en ce grand jour la perte domestique Soullera de ses pleurs l'allégresse publique.
Madame, cependant ſongez à préparer Cet Hymen que les Dieux veulent tant honorer, RenRendez-en l’appareil digne de ma puiſſance, Et digne, s’il ſe peut, d’vne telle preſence.	Madame, cependant songez à préparer Cet Hymen que les Dieux veulent tant honorer, RenRendez-en l'appareil digne de ma puissance, Et digne, s'il se peut, d'une telle présence.
CASSIOPE.	CASSIOPE.
I'obeïs auec ioye, & c’eſt me commander ce qu'auce pamonranois vouy demander.	J'obéis homme joie, et c'est me commander ce qu'auce pamonranais voui demander.
CENE IV.	CÈNE IV.
CASSTORE, TERGEE, Suitte de la Reyne.	CASTORE, TERGEE, Suitte de la Reine.
CASSIOPE.	CASSIOPE.
T bien, vous le voyez, ce n’eſtoit pas va E crime, Et les Dieux ont trouué cet Hymen legitime, Puiſque leur ordre exprés nous le fait acheuer, Et que par leur preſence ils doiuent l’approuuer.	TAIS bien, vous le voyez, ce n'était pas va E crime, Et les Dieux ont trouvé cet Hymen légitime, Puisque leur ordre exprés nous le fait achever, Et que par leur présence ils doivent l'approuver.
Mais quoy?	Mais quoi?
vous ſoûpirez?	vous soupirez?
PERSEE.	PERSE.
I'en ay bien lieu, Madame.	J'en ai bien lieu, Madame.
Le ſujet?	Le sujet?
CASSTOTE.	CASTOTE.
PERSEE.	PERSE.
Voſtre ioye.	Votre joie.
CASSIOPE.	CASSIOPE.
Elle vous geſne l’ame !	Elle vous gêne l'âme !
PERSEE.	PERSE.
Apres ce que i’ay dit douter d’vn ſi beau feu, Reine, c’eſt ou m’entendre, ou me croire bien peu;	Après ce que j'ai dit douter d'un si beau feu, Reine, c'est ou m'entendre, ou me croire bien peu;
Mais ne me forcez pas du moins à vous le dire, Quand mon ame en fremit, & mon cœur en ſoûpire.	Mais ne me forcez pas du moins à vous le dire, Quand mon âme en frémit, et mon cœur en soupire.
Pouuois-ie auoir des yeux, & ne pas l’adorer, Et pourrois-ie la perdre & n’en pas ſoûpirer ?	Pouvais-je avoir des yeux, et ne pas l'adorer, Et pourrais-je la perdre et n'en pas soupirer ?
CASSIOPE.	CASSIOPE.
Quel eſpoir formiez-vous puiſqu’elle eſtoit promiſe, Et qu’en vain ſon bon-heur domptoit voſtre franchiſe?	Quel espoir formiez-vous puisqu'elle avait promise, Et qu'en vain son bonheur domptait votre franchise?
PERSEE.	PERSE.
Vouloir que la raiſon regne ſur vn amant, C’eſt eſtre plus que luy dedans l’aueuglement.	Vouloir que la raison règne sur un amant, C'est être plus que tu dedans l'aveuglement.
Vn cœur digne d’aymer court à l’objet aymable, Sans penſer au ſuccez dont ſa ſlame eſt capable, 2l J'ubamome entiei, ee ncaaie rien, Aymer eſt tout ſon but, aymer eſt tout ſon bien, Il n’eſt difficulté ny peril qui l’eſtonne.	Un cœur digne d'aimer court à l'objet aimable, Sans penser au succès dont sa slamme est capable, 2l J'ubamome entie, ce nécaaie rien, Aimer est tout son but, aimer est tout son bien, Il n'est difficulté ni péril qui l'étonne.
Ce qui n’eſt point a moy n’eſt encor a perſonne, Diſois-ie, & ce riual qui poſſede ſa foy, Stil eſpere vn peu plus, n’obtient pas plus que moy.	Ce qui n'est point à moi n'est encor a personne, Disais-je, et ce rival qui possède sa foi, Stil espère un peu plus, n'obtient pas plus que moi.
Voila durant vos maux dequoy viuoit ma ſſame, Et les douces erreurs dont ie ſlattois mon ame;	Voilà durant vos maux dequoy vivait ma same, Et les douces erreurs dont quelque slattais mon âme;
Pour nourrir des deſirs d’vn beau feu trop contents C eſtoit aſſez d’eſpoir que d’eſperer au temps, Luy qui fait chaque iour tant de metamorphoſes, Pouuoit en ma faueur faire d’eſtranges choſes:	Pour nourrir des désirs d'un beau feu trop contents Ç estoit assez d'espoir que d'espérer au temps, Lui qui fait chaque jour tant de métamorphoses, Pouvait en ma faveur faire d'étranges choses:
Mais enfin la Deeſſe a prononee ma mort, Et ie ſuis ce dernier ſur qui tombe le Sort, I’eſtois indigne d’elle & de ſon Hymenée, Et toutefois, helas !	Mais enfin la Deesse a prononce ma mort, Et ils suis ce dernier sur qui tombe le Sort, J'étais indigne d'elle et de son Hyménée, Et toutefois, hélas !
ie valois bien Phinée.	Elle valais bien Phinée.
CASSIOPE.	CASSIOPE.
Vous plaindre en cet eſtat, c’eſt tout ce que ie puis.	Vous plaindre en cet état, c'est tout ce que personne puis.
PERSEE.	PERSE.
Vous vous plaindrez peut-eſtre apprenant qui ie ſuis.	Vous vous plaindrez peut-être apprenant qui tu suis.
Vous ne vous trompiez point touchant mon origine Lors que vous la iugiez ou Royale, ou Diuine;	Vous ne vous trompiez point touchant mon origine Lors que vous la jugiez ou Royale, ou Divine;
Mon pere eſt.	Mon père est.
Mais pourquoy contre vous l’animer?	Mais pourquoi contre vous l'animer?
Puiſqu’il nous faut mourir, mourons ſans le nommer, Il vangeroit ma mort ſi i’auois fait cognoiſtre De quel illuſtre ſang i’ay la gloire de naiſtre, Et voſtre grand bon-heur ſeroit mal aſſeuré Si vous m’auiez cognu ſans m’auoir preferé.	Puisqu'il nous faut mourir, mourons sans le nommer, Il vengerait ma mort si j'avais fait connaître De quel illustre sang j'ai la gloire de naître, Et votre grand bonheur serait mal assuré Si vous m'aviez connu sans m'avoir préféré.
C’eſt trop perdre de temps, courons à voſtre ioye, B 2 CouCourons à ce bon-heur que le Ciel vous enuoye, I’en veux eſtre témoin, afin que mon tourment Puiſſe par ce poiſon finir plus promptement.	C'est trop perdre de temps, courons à votre joie, B 2 CouCourons à ce bonheur que le Ciel vous envoie, J'en veux rendre témoin, afin que mon tourment Puisse par ce poison finir plus promptement.
CASSIOPÉ.	CASSIOP.
Le temps vous fera voir pour ſouuerain remede Le peu que vous perdez en perdant Andromede, Et les Dieux, dont pour nous vous voyez la bonté, Vous rendront bien-toſt plus qu’ils ne vous ont oſté.	Le temps vous fera voir pour souverain remède Le peu que vous perdez en perdant Andromède, Et les Dieux, dont pour nous vous voyez la bonté, Vous rendront bientôt plus qu'ils ne vous ont ôté.
PERSEE.	PERSE.
Ny le temps ny les Dieux ne feront ce miracle, Mais allons, à voſtre heur ie ne mets point d’obſtacle, Reyne, c’eſt l’affoiblir que de le retarder, Et les Dieux ont parlé, c’eſt à moy de ceder.	Ni le temps Seigneur les Dieux ne feront ce miracle, Mais allons, à votre heur Dieux ne mets point d'obstacle, Reine, c'est l'affaiblir que de le retarder, Et les Dieux ont parlé, c'est à moi de céder.
FIN DV PREMIER ACTE.	FIN DU PREMIER ACTE.
Decoration du ſecond Acte.	Décoration du second Acte.
Ette Place publique dont la Reine & Perſee vienCnent de ſortir, s’euanouyt en vn inſtant, pour faire place à vn Iardin delicieux, & ces grands Palais ſont changez en autant de Vaſes de marbre blanc qui portent alternatiuement, les vns des ſtatuës d’où ſortent autant de jets d’eau, les autres des myrthes, des jaſmins, & d’autres arbres de cette nature.	Ette Place publique dont la Reine et Perse vienCent de sortir, s'euanouyt en un instant, pour faire place à un Jardin délicieux, et ces grands Palais sont changez en autant de Vases de marbre blanc qui portent alternativement, les autres des statues d'où sortent autant de jets d'eau, les autres des myrthes, des jasmins, et d'autres arbres de cette nature.
De chaque coſté ſe détache vn rang d’Orangers dans de pareils Vaſes, qui viennent former vn admirable berceau juſqu’au milieu du Theatre, & le ſeparent ainſi en trois allées, que l’artineeigemeind de tunoijpeenuifait paroiſtre longues de plus de mille pas.	De chaque côté se détache un rang d'Orangers dans de pareils Vases, qui viennent former un admirable berceau jusqu'au milieu du Théâtre, et le séparent ainsi en trois allées, que l'artineeigemeind de tunoijpeenfait paraître longues de plus de mille pas.
C’eſt la qu’on voit Andromede auec ſes Nymphes qui cueillent des fleurs, & en compoſent vne guirlande dont cette Princeſſe veut couronner Phinée, pour le recompenſer par cette galanterie de la bonns muvelle qu'il luy vient d’apporter.	C'est la qu'on voit Andromede avec ses Nymphes qui cueillent des fleurs, et en composent une guirlande dont cette Princesse veut couronner Phinée, pour le récompenser par cette galanterie de la bonns muelle qu'il lui vient d'apporter.
ACTE	ACTE
ANDROMEDE.	ANDROMEDE.
Q’o3e& Et D Ymphes, noſtre guirlande eſt encor mal ornée, Et deuant qu’il ſoit peu nous reuerrons Phinée, Que de ma propre main i’en voulois couronner Pour les heureux aduis qu’il vient de me donner.	QU'o3e Main ET Ymphes, notre guirlande est encor mal ornée, Et devant qu'il soit peu nous réverrons Phinée, Que de ma propre main j'en voulais couronner Pour les heureux avis qu'il vient de me donner.
Toutesfois la faueur ne ſeroit pas bien grande, Et mon cœur apres tout vaut bien vne guirlande :	Toutefois la faveur ne serait pas bien grande, Et mon cœur après tout vaut bien une guirlande :
Dans l’eſtat où le Ciel nous a mis auiourd’huy, C’eſt l’vnique preſent qui ſoit digne de luy.	Dans l'état où le Ciel nous a mis aujourd'hui, C'est l'unique présent qui soit digne de lui.
Quittez, Nymphes, quittez ces peines inutiles, L’augure déplairoit de tant de ſleurs ſteriles, aniuut a noitre frjmen des prelages prus doux.	Quittez, Nymphes, quittez ces peines inutiles, L'augure déplairait de tant de sleurs stériles, anjut à naître frémen des prélages prus doux.
Dites-moy cependant laquelle d’entre vous.	Dites-moi cependant laquelle d'entre vous.
Mais il faut me le dire, & ſans faire les fines.	Mais il faut me le dire, et sans faire les fines.
AGLANTE.	AGLANTE.
Quoy, Madame?	Quoi, Madame?
ANDROMEDE.	ANDROMEDE.
A tes yeux ie voy que tu deuines;	À tes yeux Seigneur vois que tu devines;
Dy-moy donc, d’entre vous laquelle a retenu En ces lieux iuſqu’icy cet illuſtre Inconnu.	Dis-moi donc, d'entre vous laquelle a retenu En ces lieux jusqu'ici cet illustre Inconnu.
Car enfin ce n’eſt point ſans vn peu de myſtere Qu’vn tel Heros s’attache à la Cour de mon pere, Quelque chaiſne l’arreſte, & le force à tarder.	Car enfin ce est point sans peu de mystère tel Heros attache la Cour de mon Car, Enfin ce n'est, et le point sans tarder.
Qu’on ne perde point temps à s’entreregarder, Parlez, & d’vn ſeul mot éclairciſſez mes doutes.	Qu'on ne perde point temps à s'entregarder, Parlez, et d'un seul mot éclaircissez mes doutes.
Aucune ne répond, & vous rougiſſez toutes !	Aucune ne répond, et vous rougissez toutes !
Quoy, toutes l’aymez-vous?	Quoi, toutes l'aimez-vous?
vn ſi parfait amant Vous a-t’il ſçeu charmer toutes également ?	Un si parfait amant Vous a-t-il se mer toutes également ?
Il n’en faut point rougir, il eſt digne qu’on l’ayme, Si ie n’aymois ailleurs peut-eſtre que moymeſme, Ouy, peut-eſtre à le voir ſi bien fait, ſi bien né, Il auroit eu mon cœur s’il n’euſt eſté donné :	Il n'en faut point rougir, il est digne qu'on l'aime, Si apprendre n'aimais ailleurs peut-être que moymesme, Oui, peut-être à le voir si bien fait, si bien né, Il aurait eu mon cœur s'il n'eût été donné :
Mais i’ayme trop l'hinée, & le change eſt vn crime.	Mais j'aime trop l'hinée, et le change est un crime.
AGLANTE.	AGLANTE.
Ce Heros vaut beaucoup puiſqu’il a voſtre eſtiMie y Mais il ſçait ce qu’il vaut, & n’a iuſqu’à ce iour A pas vne de nous daigne monſtrer d’amour.	Ce Héros vaut beaucoup puisqu'il a votre étiMie y Mais il sait ce qu'il vaut, et n'a jusqu'à ce jour A pas une de nous daigne montrer d'amour.
Que dis-tu?	Que dis-tu?
ANDROMEDE.	ANDROMEDE.
AGLANTE.	AGLANTE.
Pas fait meſme vne offre de ſeruice.	Pas fait même une offre de service.
ANDROMEDE.	ANDROMEDE.
An ?	An ?
Ceit dequoy Tougir toutes adec Iuſtice, Et la honte à vos fronts doit bien cette couleur Si tant de ſi beaux yeux ont pû manquer ſon cœur.	Ceit dequoy Tougir toutes adec Justice, Et la honte à vos fronts doit bien cette couleur Si tant de si beaux yeux ont pu manquer son cœur.
CEPHALIE.	CÉPHALIE.
Où les voſtres, Madame, eſpandent leur lumiere, Le moyen qu’on nous voye ou qu’on nous conſidere?	Où les vôtres, Madame, épandent leur lumière, Lé moyen qu'on nous voit ou qu'on nous considère?
Les plus viues clartez s’eſteignent auprés d’eux, Comme auprés du Soleil meurent les autres feux, Et depuis qu’vn amant à vous voir ſe hazarde, Il ne voit plus qu’vne ombre alors qu’il nous regarde , Tant il eſt ébloüy des charmes tout-puiſſants Qui luy penetrent l’ame & dérobent les ſens, Il n’a plus d’yeux pour nous, & par tout où vous eſtes Il nous eſt défendu de faire des conqueſtes.	Les plus vives clartés s'éteignent auprès d'eux, Comme auprès du Soleil meurent les autres feux, Et depuis qu'un amant à vous voir se hasarde, Il ne voit plus qu'une ombre alors qu'il nous regarde , Tant il est ébloüy des charmes tout-puissants Qui lui pénètrent l'âme et dérobent les sens, Il n'a plus d'yeux pour nous, et par tout où vous êtes Il nous est défendu de faire des conquêtes.
ANDROMEDE.	ANDROMEDE.
Vous eſtes vne adroite, acheuez, acheuez, C’eſt C’eſt peut-eſtre en effet vous qui le captiuez, Car il ayme, & i’en voy la preuue trop certaine:	Vous êtes une adroite, achevez, achevez, C'est C'est peut-être en effet vous qui le captivez, Car il aime, et j'en vois la preuve trop certaine:
Chaque fois qu’il me parle il ſemble eſtre à la geſne, Son viſage & ſa voix changent à tous propos, Il neſite, il s’égare au bout de quatre mots, Ses diſcours vont ſans ordre, & plus ie les écoute, Plus j’entends des ſoüpirs dont j’ignore la route.	Chaque fois qu'il me parle il semble être à la gêne, Son visage et sa voix changent à tous propos, Il nésite, il s'égare au bout de quatre mots, Ses discours vont sans ordre, et plus rien les écoute, Plus j'entends des soupirs dont j'ignore la route.
Où vont-ils, Cephalie, où vont-ils?	Où vont-ils, Céphalie, où vont-ils?
répondez.	répondez.
CEPHALIE.	CÉPHALIE.
cen à vous d’en iuger, vous qui les entendez.	cen à vous d'en juger, vous qui les entendez.
VN PAGE de Phinée chantant ſans eſtre veu.	UN PAGE de Phinée chant sans être vu.
Qu’elle eſt lente, cette journée !	Qu'elle est lente, cette journée !
ANDROMEDE.	ANDROMEDE.
Taiſons-nous, cette voix me parle pour Phinée, Sans doute il n’eſt pas loin;	Taisons-nous, cette voix me parle pour Phinée, Sans doute il n'est pas loin;
& veut à ſon retour Que des accents ſi doux m’expliquent ſon amour.	et veut à son retour Que des accents si doux m'expliquent son amour.
PAGE chantant ſans eſtre veu.	PAGE chant sans être vu.
Qu’elle eſt lente, cette iournée, Dont la fin me doit rendre heureux !	Qu'elle est lente, cette journée, Dont la fin me doit rendre heureux !
Chaque moment à mon cœur amoureux Semble durer plus d’vne année :	Chaque moment à mon cœur amoureux Semble durer plus d'une année :
O Ciel?	Ô Ciel?
quer eſt I’neur d'vn amant, Si quand il en a l’aſſeurance, Sa iuſte impatience Eſt vn nouueau tourment !	quer est J'neur d'ins amant, Si quand il en a l'assurance, Sa juste impatience Est un nouveau tourment !
Ie dois poſſeder Andromede :	Je dois posséder Andromède :
Iuge, Soleil, quel eſt mon bien, Vis-tũ iamais amour égal au mien ?	Juge, Soleil, quel est mon bien, Vis-t-cy autre égal au mien ?
Vois-tu beauté qui ne luy cede ?	Vois-tu beauté qui ne lui cède ?
Puis donc que la longueur du iour De mon nouueau mal eſt la ſource, Précipite ta courſe, Et tarde ton retour.	Puis donc que la longueur du jour De mon nouveau mal est la source, Précipite ta course, Et tarde ton retour.
Tu luis encor, & ta lumiere B 4 Semble ſe plaire à m’affliger :	Tu luis encor, et ta lumière B 4 Semble se plaire à m'affliger :
Ah!	Ah!
mon amour te va bien obliger A quitter ſoudain ta carriere :	mon amour te va bien obliger À quitter soudain ta carrière :
Vien, Soleil, vien voir la beauté Dont le diuin eſclat me dompte, Et tu fuiras de honte D’auoir moins de clarté.	Viens, Soleil, viens voir la beauté Dont le divin éclat me dompte, Et tu fuiras de honte D'avoir moins de clarté.
SCENE II.	SCÈNE II.
PHINEE, ANDROMEDE, Chœur de Nymphes, Suite de Phinée.	PHINE, ANDROMEDE, Chœur de Nymphes, Suite de Phinée.
PHINEE.	PHINE.
E n’eſt pas mon deſſein, Madame, de ſurprendre, Puiſqu’auant que d’entrer ie me ſuis fait entendre ?	ELLE n'est pas mon dessein, Madame, de surprendre, Puisqu'avant que d'entrer ie me suis fait entendre ?
Mico Ro nsmE.	Mico Ro nsmE.
Vos vœux pour les cacher n’eſtoient pas crimineis, Puiſqu’ils ſuiuent des Dieux les ordres eternels.	Vos vœux pour les cacher n'étaient pas crimineis, Puisqu'ils suivent des Dieux les ordres éternels.
PHINEE.	PHINE.
Qe me direz-vous donc de leur galanterie?	Que me direz-vous donc de leur galanterie?
ANDROMEDE.	ANDROMEDE.
Que ie vay vous payer de voſtre ſlatterie.	Que ici vais vous payer de votre slatterie.
Comment ?	Comment ?
PHINEE.	PHINE.
ANDROMEDE.	ANDROMEDE.
En vous donnant de ſemblables témoins Si vous aymez beaucoup que ie n’ayme pas moins.	En vous donnant de semblables témoins Si vous aimez beaucoup que tu n'aime pas moins.
Approchez, Liriope, & rendez-luy ſon change, C’eſt vous, c’eſt voſtre voix que ie veux qui me vange.	Approchez, Liriope, et rendez-lui son change, C'est vous, c'est votre voix que Seigneur veux qui me venge.
De grace écoutez-la, nous avons écouté, Et demandons filence apres l’avoir preſté.	De grâce écoutez-la, nous avons écouté, Et demandons silence après l'avoir prêté.
LIRIOPE chante.	LIRIOPE chante.
Phinée eſt plus aymé qu’Andromede n’eſt belle, Bien qu’icy bas tout cede à ſes attraits, Comme il n’eſt point de ſi doux traits, Il n’eſt point de cœur ſi fidelle:	Phinée est plus aimé qu'Andromède n'est belle, Bien qu'ici bas tout cède à ses attraits, Comme il n'est point de si doux traits, Il n'est point de cœur si fidèle:
De mille apas ſon viſage ſemé La rend toute merveille, 4 Mais quoy qu’elle ſoit ſans pareille, Phinée eſt encor plus aymé.	De mille apas son visage semé La rend toute merveille, 4 Mais quoi qu’elle soit sans pareille, Phinée est encor plus aimé.
Bien que le iuſte Ciel face voir que ſans crime On la préfere aux Nymphes de la mer, Ce n’eſt que de ſçauoir aymer Qu’elle-meſme veut qu’on l’eſtime :	Bien que le juste Ciel face voir que sans crime On la préfère aux Nymphes de la mer, Ce n'est que de savoir aimer Qu'elle-même veut qu'on l'estime :
Chacun d’amour pour elle conſumé, Dvrceui ly lult dimxemple, Mais quoy qu’elle ſoit ſans exemple, Phinée eſt encor plus aymé.	Chacun d'amour pour elle consumé, Dévrcui li ult dimxemple, Mais quoi qu'elle soit sans exemple, Phinée est encor plus aimé.
Enfin ſi ſes beaux yeux paſſent pour vn miracle, C’eſt vn miracle auſſi que ſon amour, Pour qui Venus en ce beau iour A prononcé ce digne Oracle:	Enfin si ses beaux yeux passent pour un miracle, C'est un miracle aussi que son amour, Pour qui Venus en ce beau jour A prononcé ce digne Oracle:
Le Cier luy-memne en la toyant emaimé La juge incomparable, Mais quoy qu’il l’ait faite adorable, Phinée eſt encor plus aymé.	Le Cier Prince-memne en la toyant emaimé La juge incomparable, Mais quoi qu'il l'ait faite adorable, Phinée est encor plus aimé.
Cet air chanté, le Page de Phinée & cette Nymphe ſont on Diatogne en Mupque, dont chaque couplet a pour refrain l’Oracle, que Venus a prononcé au premier Acte en faueur de ces deux Amants, chanté par les deux voix vnies, & repeté par le Chœur entier de la Muſique.	Cet air chanté, le Page de Phinée et cette Nymphe sont on Diatogne en Mupque, dont chaque couplet a pour refrain l'Oracle, que Venus a prononcé au premier Acte en faveur de ces deux Amants, chanté par les deux voix apies, et repété par le Chœur entier de la Musique.
Heureux amant!	Heureux amant!
PAGE.	PAGE.
LIRIOPE.	LIRIOPE.
Heureuſe amante !	Heureuse amante !
PAGE.	PAGE.
Ils n’ont qu’vne ame.	Ils n'ont qu'une âme.
LIRIOPE.	LIRIOPE.
Ils n’ont tous deux qu’vn cœur.	Ils n'ont tous deux qu'un cœur.
PAGE.	PAGE.
Ioignons nos voix pour chanter leur bon-heur.	Joignons nos voix pour chanter leur bonheur.
LIRIOPE.	LIRIOPE.
Ioignons nos voix pour benir leur attente.	Joignons nos voix pour bénir leur attente.
Tous deux enſemble.	Tous deux ensemble.
