trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
Mais de grace, Madame, aprenez-moy le reſte, Et par quelartifice, & quels ſoins ſpecieux Vous avez ſi long-temps ébloüi tous les yeux.	Mais de grâce, Madame, apprenez-moi le reste, Et par quelartifice, et quels soins spécieux Vous avez si longtemps ébloui tous les yeux.
EPONINE.	EPONINE.
Malgré les vains efforts d’une valeur parfaite Nôtre armée aguerrie ayant été defaite, Sabinus ſans apui, ſans eſpoir de ſecours, Ne ſongea plus d’abord qu’à terminer ſes jours, Et ſenſible au malheur de ſa chere Patrie Voulut la ſatisfaire aux dépens de ſa vie.	Malgré les vains efforts d'une valeur parfaite Notre armée aguerrie ayant été défaite, Sabinus sans apui, sans espoir de secours, Ne songea plus d'abord qu'à terminer ses jours, Et sensible au malheur de sa chère Patrie Voulut la satisfaire aux dépens de sa vie.
Mais, las!	Mais, las!
en cet inſtant loconjugalamour	en cet instant loconjugalamour
Par un plus noble effort lui conſerva le jour, Et les Dieux, protecteurs d’une ſi belle flâme Pour le rendre à mes pleurs attendrirent ſon ame.	Par un plus noble effort lui conserva le jour, Et les Dieux, protecteurs d'une si belle flamme Pour le rendre à mes pleurs attendrirent son âme.
O Ciel!	Ô Ciel!
que ne peut point une fidelle ard eur!	que ne peut point une fidèle ard eur!
Et de quels traits l’amour frape-t’il un grand cœur.	Et de quels traits l'amour frappe-t-il un grand cœur.
Sabinus occupé de ſa douleur profonde, Hors moy comptant pour rien tout le reſte du monde, Et du ſeul Dieu d’amour reconnoiſſant la loy, Ne voulut deſormais reſpirer que pour moy.	Sabinus occupé de sa douleur profonde, Hors moi comptant pour rien tout le reste du monde, Et du seul Dieu d'amour reconnaissant la loi, Ne voulut désormais respirer que pour moi.
Il s’enferma vivant dans une grote obſcure, Dans un antre profond que forma la nature:	Il s'enferma vivant dans une grote obscure, Dans un antre profond que forma la nature:
Là, ſans être éclairé du celeſte flambeau, Tout retraçoit aux yeux les horreurs du tombeau.	Là, sans être éclairé du celeste flambeau, Tout retraçait aux yeux les horreurs du tombeau.
Jamais le Dieu du jour, fourniſſant ſa carriere, N’avoit dans cet endroir répandu ſa lumiere.	Jamais le Dieu du jour, fournissant sa carrière, N'avait dans cet endroir répandu sa lumière.
Et l’éternelle nuit de ce lieu tenebreux En rendoit & l’accés & le ſejour affreux.	Et l'éternelle nuit de ce lieu ténébreux En rendait et l'accès et le séjour affreux.
Avec deux affranchis, ſeuls témoins de ſes peines, Il fut donc habiter ces grotes ſoûteraines, Et fit courir le bruit, pour tromper les Romains, Qu’il avoit par la flâme achevé ſes deſtins.	Avec deux affranchis, seuls témoins de ses peines, Il fut donc habiter ces grotes soûteraines, Et fit courir le bruit, pour tromper les Romains, Qu'il avait par la flamme achevé ses destins.
Juge de mes douleurs lorſque la renommée Rendit de ſon trépas la nouvelle ſemée.	Juge de mes douleurs lorsque la renommée Rendit de son trépas la nouvelle semée.
La raiſon ſur mon cœur n’a plus aucun pouvoir, Je ne conſultay rien que mon ſeul deſeſpoir, Je pouſſay des ſoûpirs, je répandis des larmes, Tout reſſentit l’effroy de mes triſtes allarmes, Et déja faiſant tréve aux regrets ſuperflus, Je ſongeois au cerceüil à ſuivre Sabinus Pour lui prouver l’excés de mon amour parfaite, Lors qu’un des habitans de ſa ſombre retraite, Un des deux affranchis, compagnons de ſon ſort, Me vint par ſa preſence Ariuenier a famiore, Et calmant mes ennuis par un recit fidelle Apaiſa les tranſports de ma douleur mortelle.	La raison sur mon cœur n'a plus aucun pouvoir, Je ne consultai rien que mon seul désespoir, Je poussai des soupirs, je répandis des larmes, Tout ressentit l'effroi de mes tristes alarmes, Et déjà faisant trève aux regrets superflus, Je songeais au cerceüil à suivre Sabinus Pour lui prouver l'excès de mon amour parfaite, Lors qu'un des habitants de sa sombre retraite, Un des deux affranchis, compagnons de son sort, Me vint par sa présence Arjuenier à famiore, Et calant mes ennuis par un récit fidèle Apaisa les transports de ma les mortelle.
Quaud la nuit eut chaſſé la lumiere du jour Je courus m’enfermer en cet affreux ſejour.	Quaud la nuit eut chassé la lumière du jour Je courus m'enfermer en cet affreux séjour.
J’y trouvay mon Epoux, & ma juſte tendreſſe	J'y trouvai mon Époux, et ma juste tendresse
Malgré l’horreur du lieu ſçut banir ma triſteſſe.	Malgré l'horreur du lieu secut banir ma tristesse.
Que te diray-je enfin?	Que te dirai-je enfin?
Neuf ausſont écoulez Depuis qu’en cet endroit nous ſommes exilez, Et le Ciel en ce temps, contre nôtre eſperance, A deux fils malheureux procura la naiſſance.	Neuf aussont écoulez Depuis qu'en cet endroit nous sommes exilés, Et le Ciel en ce temps, contre notre espérance, À deux fils malheureux procura la naissance.
Pour mon cœur deſolé quel ſpectacle nouveau !	Pour mon cœur désolé quel spectacle nouveau !
Ces deux pauvres enfans nacquirent au tombeau, Et recevant le jour en un lieu de tenebres Ils n’ont encore rien vû que des objets funebres.	Ces deux pauvres enfants nacquirent au tombeau, Et recevant le jour en un lieu de ténèbres Ils n'ont encore rien vu que des objets funèbres.
Enfinje vins à Rome où bien-tôt nos amis Pour des infortunez ſe croyant tout permis, Prétendent, dans l’ardeur qui pour nous les inſpire, Chaſſer Veſpaſien & nous rendre l’Empire.	Enfinje vins à Rome où bientôt nos amis Pour des infortunés se croyant tout permis, Prétendent, dans l'ardeur qui pour nous les inspire, Chasser Vespasien et nous rendre l'Empire.
Parmi ces conjurez on compte Marcellus, Cecinna, Flavien, Valere & Proculus, Qui pour nos interêts, animez d’un beau zele, Veulent donner à Rome une face nouvelle.	Parmi ces conjurés on compte Marcellus, Cecina, Flavien, Valère et Proculus, Qui pour nos intérêts, animez d'un beau zèle, Veulent donner à Rome une face nouvelle.
Voyant à ce ſuccés nos deſſeins parvenus Par un des affranchis je manday Sabinus:	Voyant à ce succès nos desseins parvenus Par un des affranchis je mandai Sabinus:
Il revient, il approche, & va par ſa preſence Agiter mes eſprits de crainte & d’eſperance, Ainſi tu peux jager toy-même ſi mon cœur Doit de Veſpaſien flâter l’injuſte ardeur.	Il revient, il approche, et va par sa présence Agiter mes esprits de crainte et d'espérance, Ainsi tu peux jager toi-même si mon cœur Doit de Vespasien flamter l'injuste ardeur.
Il me vit, & ma vûë alluma dans ſon ame, Pour me perſecuter une importune flâme:	Il me vit, et ma vue alluma dans son âme, Pour me persécuter une importune flamme:
Ni l’orgueil de ſon rang, ni ma juſte fierté, Ni mes conſtans mépris ne l’ont point rebuté, Et ce fatal amour où ſans ceſſe il s’obſtine miupreinge les ilaui que le Ciel me deſtine.	Ni l'orgueil de son rang, ni ma juste fierté, Ni mes constant mépris ne l'ont point rebuté, Et ce fatal amour où sans cesse il s'obstine miupreinge les ilaui que le Ciel me destine.
Ouy, je crains tout, Pauline, & je n’oſe eſperer, Un cœur toûjours tremblant ne ſe peut raſſurer.	Oui, je crains tout, Pauline, et je n'ose espérer, Un cœur toujours tremblant ne se peut rassurer.
Mon ame malheureuſe, acoûtumée aux plaintes, Languit inceffamment dans de mortelles craintes, Et ne peut penetrer.	Mon âme malheureuse, accoutumée aux plaintes, Languit incessamment dans de mortelles craintes, Et ne peut pénétrer.
PAULINE.	PAULINE.
Calmez cette douleur Contraignez vos ſoûpirs, j’aperçoy l’Empereur.	Calmez cette douleur Contraignez vos soupirs, j'aperçois l'Empereur.
SABINUS, VESPASIEN, EPONINE, MUCIEN, PAULINE, GARDES.	SABINUS, VESPASIEN, EPONE, MUCIEN, PAULINE, GARDES.
MYOCIEN.	MYOCIEN.
AH!	AH!
Seigneur, moderez l’ardeur qui vous domine.	Seigneur, modérez l'ardeur qui vous domine.
SPASIEN.	SPASIEN.
Non, Mucien, cherchous la charmante Eponine, Tâchons par nos reſpects de ſléchir ſa rigueur, Et qu’elle accepte enfin l’homage de moncœur.	Non, Mucien, cherchous la charmante Eponine, Tâchons par nos respects de sléchir sa rigueur, Et qu'elle accepte enfin l'hommage de moncœur.
Ah!	Ah!
Madame, pourquoy fuyez-vous ma preſence?	Madame, pourquoi fuyez-vous ma présence?
Croiray-je que toûjours mon amour vous offenſe?	Croirai-je que toujours mon amour vous offense?
Voulez-vous perſiſter dans vos cruels refus, Et ſans ceſſe adorer un Epoux qui n’eſt plus?	Voulez-vous persister dans vos cruels refus, Et sans cesse adorer un Époux qui n'est plus?
C’eſt trop par vos ſoûpirs honorer ſa memoire.	C'est trop par vos soupirs honorer sa mémoire.
Du rang que je vous offre enviſagez la gloire, Et pour voir à vos pieds tout l’Empire Romain, Acceptez en ce jour & mon cœur & ma main.	Du rang que je vous offrent envisagez la gloire, Et pour voir à vos pieds tout l'Empire Romain, Acceptez en ce jour et mon cœur et ma main.
EPONINE.	EPONINE.
C’eſt trop, Veſ paſien, irriter ma conſtance, Ouy, ton injuſte ardeur aigrit ma reſiſtance, Mon cœur veut ſignaler ſon amour & ſa foy.	C'est trop, Ves pasien, irriter ma constance, Oui, ton injuste ardeur aigrit ma résistance, Mon cœur veut signaler son amour et sa foi.
Et que peux-tu m’offrir qui ſoit digne de moy?	Et que peux-tu m'offrir qui soit digne de moi?
Les Sceptres, les grandeurs, que dis-je?	Les Sceptres, les grandeurs, que dis-je?
la mort même, Ne m’obligeront point à trahir ce que j’aime, Et tu me connois mal ſi tu peux préſumer Que l’éclat de ton rang me contraigne à t’aimer.	la mort même, Ne m'obligeront point à trahir ce que j'aime, Et tu me connais mal si tu peux présumer Que l'éclat de ton rang me contraigne à t'aimer.
Mais cet Empire heureux, cette grandeur immenſe Les tiens-tu du deſtin ou bien de ta naiſſance?	Mais cet Empire heureux, cette grandeur immense Les tiens-tu du destin ou bien de ta naissance?
A ce rang glorieux le ſort t’a fait monter.	À ce rang glorieux le sort t'a fait monter.
Un revers imprévû t’en peut precipiter.	Un revers imprévu t'en peut précipiter.
Crains du Ciel irrité la foudre menaçante, Crains du peuple en courrona ia fufenrcciatante, Et crains enfin Tiran, le juſte deſeſpoir Où tu réduis un cœur fidelle à ſon devoir.	Crains du Ciel irrité la foudre menaçante, Crains du peuple en courrona ja fufenrcciatante, Et crains enfin Tyran, le juste désespoir Où tu réduis un cœur fidèle à son devoir.
Je brave ta colere, & quoy qu’il en puiſſe être, Je t’en ay dit aſſez pour me faire connoître, Et je trouve la mort moins affreuſe pour moy Que le nonteux plaiſir de regner avec toy.	Je brave ta colère, et quoi qu’il en puisse être, Je t'en ai dit assez pour me faire connaître, Et je trouve la mort moins affreuse pour moi Que le nonteux plaisir de régner avec toi.
ESPASIEN.	ÉPASIEN.
Ah!	Ah!
c’eſt trop mebraver, vôtre haine, Madame, A de trop grands chagrins abandonne moname.	c'est trop mébraver, votre haine, Madame, A de trop grands chagrins abandonne moname.
Je ſeus que le reſpect que vous doit un Amant Cede aux juſtes tranſports de mon reſſentiment, Et qu’il eſt temps auſſi, pour me faire connoître, Que j’agiſſe en Romain, & que je parle en Maître.	Je zeus que le respect que vous doit un Amant Cède aux justes transports de mon ressentiment, Et qu'il est temps aussi, pour me faire connaître, Que j'agisse en Romain, et que je parle en Maître.
Sçachez donc qu’à la fin l’amour d’un Empereur S’il n’eſt pas ſatisfait degenere en fureur.	Sachez donc qu'à la fin l'amour d'un Empereur S'il n'est pas satisfait dégénère en ur.
Monarque Souverain de la Terre & de l’Onde, Moy qui d’un ſeul regard fais trembler tout le Monde, Puis-je voir ſans dépit qu’un inſenſible cœur Mépriſe ſeul mes Loix, & brave ma douleur?	Monarque Souverain de la Terre et de l'Onde, Moi qui d'un seul regard fais trembler tout le Monde, Puis-je voir sans dépit qu'un insensible cœur Méprise seul mes Lois, et brave ma douleur?
Non, non n’eſperez pas qu’une lâche tendreſſe Vous laiſſe triompher ainſi de ma foibleſſe.	Non, non n'espérez pas qu'une lâche tendresse Vous laisse triompher ainsi de ma faiblesse.
Pour me joindre avec vous par un nœud ſolomnel Preparez-vous demain à me ſuivre à l’Autel.	Pour me joindre avec vous par un nœud solomnel Préparez-vous demain à me suivre à l'Autel.
L’hymen, nousuniſſant, punira vôtre audace.	L'hymen, nousunissant, punira votre audace.
EPONINE.	EPONINE.
J’attendray ſans frayeur l’effet de ta menace, Adieu.	J'attendrai sans frayeur l'effet de ta menace, Adieu.
Mais ſonge au moins que le ſort en tout temps A produit ici bas des revers éclatans, Et fuſfions-nous placez au plus haut de ſa rouë Que des projets humains la fortune ſe jouë, Que le moue ent ſouvent laene arenverier, Qu’enfin tu peux mourir.	Mais songe au moins que le sort en tout temps A produit ici bas des revers éclatants, Et fusfions-nous placés au plus haut de sa roue Que des projets humains la fortune se joue, Que le moue ent souvent la arenverier, Qu'enfin tu peux mourir.
Je te laiſſe y penſer.	Je te laisse y penser.
SCENE III.	SCÈNE III.
VESPASIEN, MUCIEN, GARDES.	VESPASIEN, MUCIEN, GARDES.
ESPASIEN.	ÉPASIEN.
H!	H!
quelorgueil, ô Ciel!	quelorgueil, ô Ciel!
quoy!	quoi!
mon ame étonnée, A Par un fatal amour en eſclave enchaînée, Aprés tant de mépris n’oſe brherſes feis:	mon âme étonnée, À Par un fatal amour en esclave enchaînée, Après tant de mépris n'ose brherses feis:
Dois-je toûjours languir dans ces troubles divers?	Dois-je toujours languir dans ces troubles divers?
Soûtiendray-je ſi mal l’honneur du diadême, Et d’un auguſte rangla Majeſté ſuprême?	Soutiendrai-je si mal l'honneur du diadême, Et d'un auguste rangla Majesté suprême?
Non, c’en eſt trop ſouffrir, je prétens en ces jour, QuelQuelque effort qu’il m’en coute, étoufer mon amour.	Non, c'en est trop souffrir, je prétends en ces jour, QuelQuelque effort qu'il m'en coute, étouffer mon amour.
Je veux abandonner l’ingrate qui m’outrage, Cette indigne tendreſſe eſt honteuſe à mon âge, Et quelque ardeur enfin qui me puiſſe enflâmer, Ne pouvantêtre heureux, il fautceſſer d’aimer.	Je veux abandonner l'ingrate qui m'outrage, Cette indigne tendresse est honteuse à mon âge, Et quelque ardeur enfin qui me puisse enflâmer, Ne pouvant heureux, il fautcesser d'aimer.
MVCIIN.	MUCIIN.
Ouy, Seigneur, il eſt temps de vous rendre à la gloire, D’emporter ſur vous-même une entiere victoire.	Oui, Seigneur, il est temps de vous rendre à la gloire, D'emporter sur vous-même une entière victoire.
O Dieux!	Ô Dieux!
en quel état l’amour vous a réduit!	en quel état l'amour vous a réduit!
Et quel eſt de vos feux le déplorable fruit?	Et quel est de vos feux le déplorable fruit?
Oubliez pour jamais la ſevere Eponine.	Oubliez pour jamais la sévère Éponine.
C’eſt à d’autres projets que le Ciel vous deſtine.	C'est à d'autres projets que le Ciel vous destine.
Pour ſe ſoûmetre à vous mille peuples divers Qui viennent en ces lieux du bout de l’Univers, Tant de Rois aſſervis, de Provinces conquiſes, De treſors amaſſez, de richeſſes acquiſes, Taut de ſuccés heureux, tant d’illuſtres exploits Semblent pour vous toucher s’accorder à ma voix.	Pour se soumetre à vous mille peuples divers Qui viennent en ces lieux du bout de l'Univers, Tant de Rois asservis, de Provinces conquises, De trésors amassez, de richesses acquises, Taut de succès heureux, tant d'illustres exploits Semblent pour vous toucher s'accorder à ma voix.
Ah!	Ah!
Seigneur, banniſſez cet amour de vôtre ame, Qu’une plus noble ardeur vous pteſſe & vous enflâme.	Seigneur, bannissez cet amour de votre âme, Qu'une plus noble ardeur vous ptesse et vous enflâme.
Le Ciel qui vous rendit l’arbitre des humains Veut faire par vos Fils triompher les Romains.	Le Ciel qui vous rendit l'arbitre des humains Veut faire par vos Fils triompher les Romains.
Déja la Paleſtine à vos Loix eſt ſoûmiſe, Titus vient d’achever cette grande entrepriſe, Et l’ennemi vaincu, ſurpris de toutes parts, Vient d’être enſeveli ſous ſes triples remparts.	Déjà la Palestine à vos Lois est soumise, Titus vient d'achever cette grande entreprise, Et l'ennemi vaincu, surpris de toutes parts, Vient d'être enseveli sous ses triples remparts.
D’ailleurs, Domitien qui marche en Germanie S’y promet d’acquerir une gloire infinie:	D'ailleurs, Domitien qui marche en Germanie S'y promet d'acquérir une gloire infinie:
Et vous devez vous-même en fuyant le repos, Seconder la valeur de ces jeunes Heros.	Et vous devez vous-même en fuyant le repos, Seconder la valeur de ces jeunes Héros.
Ne languiſſez donc plus dans de honteuſes chaînes, Par un heureux oubli fiuiſſez tant de peines, Et calmant en ce jour vôtre cœur agité, Perdez le ſouvenir d’une ingrate beauté.	Ne languissez donc plus dans de honteuses chaînes, Par un heureux oubli fivissez tant de peines, Et calmant en ce jour votre cœur agité, Perdez le souvenir d'une ingrate beauté.
VSPASIEN.	VSPASIEN.
Ah!	Ah!
plûtôt qu’oublier cette ingrate que j’aime, Je crains, cher Mucien, de m’oublier moy-même.	plutôt qu'oublier cette ingrate que j'aime, Je crains, cher Mucien, de m'oublier moi-même.
Dans l’état où je ſuis je ne me connoisplus, Et mes efforts contre elle ici ſont ſuperflus.	Dans l'état où je suis je ne me connaisplus, Et mes efforts contre elle ici sont superflus.
Je ſens trop que l’amour a jetté dans moname, Pour me deſeſperer une immottelle flâme, Qu’il faut luy conſacrer le reſte de mes jours, Et pour tout dire enfin qu’il faut aimer toûjours.	Je sens trop que l'amour a jeté dans monme, Pour me désespérer une immottelle flamme, Qu'il faut lui consacrer le reste de mes jours, Et pour tout dire enfin qu'il faut aimer toujours.
Et que me peut ſervir cette éclatante gloire?	Et que me peut servir cette éclatante gloire?
Que me ſert aprés moy de traîner la victoire, Et du vaſte Univers d’être aujourd’hui vainqueur, Si je ne puis, helas!	Que me sert après moi de traîner la victoire, Et du vaste Univers d'être aujourd'hui vainqueur, Si je ne puis, hélas!
triompher d’un ſeul cœur?	triompher d'un seul cœur?
Mais d’un cœur à mes yeux bien plus cher que l’Empire J’en atteſte les Dieux.	Mais d'un cœur à mes yeux bien plus cher que l'Empire J'en atteste les Dieux.
MUCIEN.	MUCIEN.
Seigneur, qu’oſez-vous dire?	Seigneur, qu'osez-vous dire?
Qui vous peut inſpirer un ſemblable diſcours?	Qui vous peut inspirer un semblable discours?
Non, mon zele pour vous n’en peut ſouffrir le cours;	Non, mon zèle pour vous n'en peut souffrir le cours;
Eſt-ce là, dites-moy, ce genereux courage Qui ſur Vitellius vous donna l’avantage, Et vous fit triompher de vos fiers ennemis En reudant à vos Loix tout l’Empire ſoûmis?	Est-ce là, dites-moi, ce généreux courage Qui sur Vitellius vous donna l'avantage, Et vous fit triompher de vos fiers ennemis En reudant à vos Lois tout l'Empire soumis?
Vous ſuivez les conſeils d’une aveugle tendreſſe!	Vous suivez les conseils d'une aveugle tendresse!
Ah!	Ah!
vous devez rougir d’une telle foibleſſe.	vous devez rougir d'une telle faiblesse.
Que dira l’Univers?	Que dira l'Univers?
que diront les Romains, Seigneur, lors qu’ils ſeront inſtruits de vos deſſeins?	que diront les Romains, Seigneur, lors qu'ils seront instruits de vos desseins?
Vous les vetrez alors, zélez pour la Patrie, Dans leur juſte fureur attaquer vôtre vie, Et ces peuples jaloux de conſerver leurs droits Voudront vanger ſur vous la honte d’un telchoix:	Vous les vetrez alors, zélé pour la Patrie, Dans leur juste fureur attaquer votre vie, Et ces peuples jaloux de conserver leurs droits Voudront venger sur vous la honte d'un telchoix:
Car voulant partager la grandeur ſouveraine, Vous devez en ces lieux choiſir quelque Romaine, Digne de cet honneur, & dont le noble ſang L’éleve avec juſtice en cet illuſtre rang.	Car voulant partager la grandeur souveraine, Vous devez en ces lieux choisir quelque Romaine, Digne de cet honneur, et dont le noble sang L'élève avec justice en cet illustre rang.
Cet ordre parmi nous eſt une loy ſacrée De tous nos Empereurs juſqu’ici reverée;	Cet ordre parmi nous est une loi sacrée De tous nos Empereurs jusqu'ici reverée;
Eponine eſt Gauloiſe, & par ce ſeul défaut Elle ne peut monter en un degté ſi haut.	Éponine est Gauloise, et par ce seul défaut Elle ne peut monter en un dégté si haut.
D’autre part Domitie, attachée à vous nuire, Ne cherche pour regner qu’à pouvoir vous détruire.	D'autre part Domitie, attachée à vous nuire, Ne cherche pour régner qu'à pouvoir vous détruire.
Le fier Domitien doit être ſon Epoux, Et ce jeune Guerrierl’a laiſſée avec nous Peur mieux examiner toute vôtre conduite, Et voir de cet amour quelle ſera la ſuiteCe Prince de long-temps ennemi de Titus Quoy qu’il ait même ſang n’a pas mêmes vertus, n peut vous perdre un jour ſi vôtre ame s’obſtine Dans ſon aveuglementpour l’ingrate Eponine.	Le fier Domitien doit être son Époux, Et ce jeune Guerrierl’a laissée avec nous Peur mieux examiner toute votre conduite, Et voir de cet amour quelle sera la suiteCe Prince de longtemps ennemi de Titus Quoi qu'il ait même sang n'a pas mêmes vertus, n peut vous perdre un jour si votre âme s'obstine Dans son aveuglementpour l'ingrate Éponine.
ESPASIEN.	ÉPASIEN.
Je ne puis, Mucien, négliger vos avis, Ils ſont trop importans pout n’être pas ſuivis, C’eſt par eux que je regne en cet auguſte Empire.	Je ne puis, Mucien, négliger vos avis, Ils sont trop importants pout n'être pas suivis, C'est par eux que je règne en cet auguste Empire.
Mais, encore une fois, j’oſeray vous le dire, de ne pourray jamais, m’ent coutartil ie jour, Arracher de mon cœur ce malheureux amour.	Mais, encore une fois, j'oserai vous le dire, de ne pourrai jamais, m'ent coutartil este jour, Arracher de mon cœur ce malheureux amour.
ACT H HI.	ACT H Y.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DOMITIE, SULPICIE.	DOMITIE, SULPICIE.
DOMITIE.	DOMITIE.
L H!	 H!
ne m’accablez pas, mais plûtôt, Sulpicie, pre a Venez par vosconſeils raſſurer Domitie.	ne m'accablez pas, mais plutôt, Sulpicie, pré a Nez par vosconseils rassurer Domitie.
uoy, quand l’ambitionéleve mes regards Juſqu’au plus haut degré du Trône des Céſars, Lorſque Domitien ne voit qu’avec colere Un rang ſi glorieux occupé par ſon Pere, Quand je n’ay plus enfin qu’un pas pour y monter, Puis-je, ſans deſeſpoir, m’en voir precipiter?	uoy, quand l'ambitionéleve mes regards Jusqu'au plus haut degré du Trône des Césars, Lorsque Domitien ne voit qu'avec colère Un rang si glorieux occupé par son Père, Quand je n'ai plus enfin qu'un pas pour y monter, Puis-je, sans désespoir, m'en voir précipiter?
A quels houneurs, ô Ciel!	À quels houneurs, ô Ciel!
l’Empereur vous deſtine Trop ſuperbe Gauloiſe, orgueilleuſe Eponine!	l'Empereur vous destine Trop superbe Gauloise, orgueilleuse Éponine!
Déja pour vôtre hymen tout s’aprête en ces lieux.	Déjà pour votre hymen tout s'apprête en ces lieux.
Et vous le ſouffririez, impitoyables Dieux?	Et vous le souffririez, impitoyables Dieux?
Ah!	Ah!
dans quel trouble affreux un tel deſſein me jette!	dans quel trouble affreux un tel dessein me jette!
Quoy!	Quoi!
loin de commander, je me verrois ſujete!	loin de commander, je me verrais sujete!
Le peuple qui déja ſemble ſubir ma Loy Prodigueroit ſes vœux pour un autre que moy, Et le brillant éclat de la grandeur Romaine Seroie Seroitentre les mains d’une autre Souveraine!	Le peuple qui déjà semble subir ma Loi Prodiguerait ses vœux pour un autre que moi, Et le brillant éclat de la grandeur Romaine Seroie Serait les mains d'une autre Souveraine!
Tandis queloin du Trône, en proye à mes douleurs, Je n’aurois pour ſecours que d’inutiles pleurs!	Tandis queloin du Trône, en proie à mes douleurs, Je n'aurais pour secours que d'inutiles pleurs!
Que du Ciel en courroux le redoutable foudre Tombe ici ſur ma tête & me reduiſe en poudre, liutot que ia herté de mon cœur furieux Souffre, ſans le troubler, cet hymen odieux.	Que du Ciel en courroux le redoutable foudre Tombe ici sur ma tête et me réduise en poudre, liutôt que ja herté de mon cœur furieux Souffre, sans le troubler, cet hymen odieux.
SULPICIE.	SULPICIE.
C’eſt pouſſer un peu loin cette ardeur inquiete.	C'est pousser un peu loin cette ardeur inquiète.
Vous ſerez ſon égale, & non pas ſa ſujete, Et vous devez, Madame, au gré de l’Empereur, Moderer les éclats d’une telle fureur.	Vous serez son égale, et non pas sa sujete, Et vous devez, Madame, au gré de l'Empereur, Modérer les éclats d'une telle fureur.
Ne peut-il à ſon choix diſpoſer de l’Empire, Et ſuivre en ſon amour le penchant qui l’attire?	Ne peut-il à son choix disposer de l'Empire, Et suivre en son amour le penchant qui l'attire?
Il eſt Maître, il le veut, & c’eſt aſſez pour nous, Pourquoi ces vains tranſports d’inutile courroux?	Il est Maître, il le veut, et c'est assez pour nous, Pourquoi ces vains transports d'inutile courroux?
A vôtre illuſtre ſort, un heureux hymenée Va de Domitien joindre la deſtinée, Et d’abord qu’en ces lieux il ſera de retour Il doit aux yeux de tous couronner vôtre amour, Il eſt vray.	À votre illustre sort, un heureux hyménée Va de Domitien joindre la destinée, Et d'abord qu'en ces lieux il sera de retour Il doit aux yeux de tous couronner votre amour, Il est vrai.
Mais, Madame, une telle alliance Ne met pas en vos mains la ſupréme puiſſance.	Mais, Madame, une telle alliance Ne met pas en vos mains la suprême puissance.
Par la force des Loix, & par l’ordre du ſang, Il ne peut pas encore aſpirer à ce rang, Et tous les droits ſacrez qui parlent pour le pere Sur le Trône, avant lui, doivent metre ſon frere;	Par la force des Lois, et par l'ordre du sang, Il ne peut pas encore aspirer à ce rang, Et tous les droits sacrés qui parlent pour le père Sur le Trône, avant lui, doivent metre son frère;
Quelque deſir qu’il ait de ſe voir couronné, Le pere n’étant plus, l’Empire eſt à l’aîné, Et Titus des Romains aujourd’hui les delices Pour qui tous nos autels fument de ſacrifices, Qui dans Jeruſalem accablant les Hebreux Vient d’en exterminer les reſtes dangereux, Triomphant & cheri letient par la preſence Bannir de vôtre eſprit une telle eſperance.	Quelque désir qu'il ait de se voir couronné, Le père n'étant plus, l'Empire est à l'aîné, Et Titus des Romains aujourd'hui les délices Pour qui tous nos autels fument de sacrifices, Qui dans Jérusalem accablant les Hébreux Vient d'en exterminer les restes dangereux, Triomphant et chéri letient par la présence Bannir de votre esprit une telle espérance.
DOMITIE.	DOMITIE.
Et c’eſt là, Sulpicie, & vous l’avez pû voir, D’où vient toute ma rage & tout mon deſeſpoir.	Et c'est là, Sulpicie, et vous l'avez pu voir, D'où vient toute ma rage et tout mon désespoir.
Je ne puis plus ſouffrir cette brillante gloire D’un Prince trop heureux qu’a ſuivi la victoire.	Je ne puis plus souffrir cette brillante gloire D'un Prince trop heureux qu'a suivi la victoire.
Ce n’eſt pas qu’en ſecret je n’admire Titus Je rens en mon eſprit juſtice à ſes vertus.	Ce n'est pas qu'en secret je n'admire Titus Je rends en mon esprit justice à ses vertus.
Mais ce jeune Heros, cet effroy de l’Aſie, Inſpire dans mon cœur une âpre jalouſie, Je voudrois avoir mis ce Vainqueur ſous ma loy, Que ce fameux guerrier ne vécût que pour moy, Plus il acquert d’honneur, plus ce deſir m’enflâme.	Mais ce jeune Héros, cet effroi de l'Asie, Inspire dans mon cœur une âpre jalousie, Je voudrais avoir mis ce Vainqueur sous ma loi, Que ce fameux guerrier ne vécut que pour moi, Plus il acquert d'honneur, plus ce désir m'enflamme.
Non que le foible amour ait penetré mon ame, J’en repouſſe les traits, j’en hay la paſſion, Et ne reſpire enfin que pour l’ambition.	Non que le faible amour ait pénétré mon âme, J'en repousse les traits, j'en hais la passion, Et ne respire enfin que pour l'ambition.
C’eſt cette ambition qui ſans ceſſe m’anime Qui me fait ſans frayeur enviſager le crime, Et qui pour m’élever au plus ſublime rang Me feroit, ſans trembler, verſer mon propre ſang:	C'est cette ambition qui sans cesse m'anime Qui me fait sans frayeur envisager le crime, Et qui pour m'élever au plus sublime rang Me ferait, sans trembler, verser mon propre sang:
Pour m’y placer bien-tôt, & pour meſatisfaire, Je ne veux épargner parens, frere, ni pere, Et quelques noms qu’on donne à de pareils deſſeins, La honte d’en tomber eſt tout ce que je crains.	Pour m'y placer bientôt, et pour mesatisfaire, Je ne veux épargner parents, frère, ni père, Et quelques noms qu'on donne à de pareils desseins, La honte d'en tomber est tout ce que je crains.
SULPICIE.	SULPICIE.
