ARGVMENT DE LA PRESENTE COMEDIE.	ARGUMENT DE LA PRÉSENTÉ COMÉDIE.
Deux ans ou enuiron.	Deux ans ou environ.
Sarono premier Sattrape.	Sarono premier Sattrape.
Ha!	Ha!
c’eſt vn fol ie gage 10 bI Qu’il ne l’aura pas faict de ce iour à quinze ans.	c'est un fol On gage 10 bI Qu'il ne l'aura pas fait de ce jour à quinze ans.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Ce qu’il en faict ie croy eſt pour gaigner le temps.	Ce qu'il en fait ie crois est pour gagner le temps.
Car s’il ne l’euſt ainſi promis à noſtre maiſtre Il ne ſeroit ja plus ſur ce globe terreſtre, Et ſi s’il ne s’eſt parfaict le temps eſtant finy Il ſera du Soldam cruellement puny.	Car s'il ne l'eût ainsi promis à notre maître Il ne serait ja plus sur ce globe terrestre, Et si s'il ne s'est parfait le temps étant fini Il sera du Soldam cruellement puni.
Sarono premier Sattrape.	Sarono premier Sattrape.
Ceſt ouurage eſt vn roch du tout innaceſsible, Et il ſeroit, Raphin, cent fois pluſtoſt poſsible D’eſpuiſer l’Occean où d’arreſter les vents Que de faire vn tel œuure en ſi petit de temps.	Cest ouvrage est un roch du tout innacessible, Et il serait, Raphin, cent fois plutôt possible D'épuiser l'Océan où d'arrêter les vents Que de faire un tel œuvre en si petit de temps.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Le Soldam, Sarono, eſt fol auſsi ie penſe, De penſer que l’on puiſſe vn Chaſteau d’apparence Ainſi qui le requiert en ſi peu ouurager.	Le Soldam, Sarono, est fol aussi re pense, De penser que l'on puisse un Château d'apparence Ainsi qui le requiert en si peu ouvrager.
Ha!	Ha!
ie m’en vay ce iour par mon ame gager:	Il m'en vais ce jour par mon âme gager:
Voire mon bleu Turban auec ma teſte ronde, Que ie ne donnerois pour tout l’or de ce monde Qui n’aura de vingt ans ceſt ouurage accomply.	Voire mon bleu Turban avec ma tête ronde, Que tu ne donnerais pour tout l'or de ce monde Qui n'aura de vingt ans cet ouvrage accompli.
Sarono premier Sattrape.	Sarono premier Sattrape.
De l’enuoyer paſſer la riuiere funebre S’il ne tient le marché ainſi qu’il l’a promis.	De l'envoyer passer la rivière funèbre S'il ne tient le marché ainsi qu'il l'a promis.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Si cela ne ſe fait ils ne ſeront amis, Mais le tout balancé vn perſonnage en ſomme Ne ſçauroit tant ouurer comme feront cent hommes Hé!	Si cela ne se fait ils ne seront amis, Mais le tout balancé un personnage en somme Ne saurait tant ouvrer comme feront cent hommes Hé!
penſez-vous auſsi que ceſt homme ſeullet Rende ce grand ouurage accomply & parfait En deux ans ſeulement où il en faudroit mille, Non, non, c’eſt vn project ce me ſemble inutille.	pensez-vous aussi que cette homme seullet Rende ce grand ouvrage accompli et parfait En deux ans seulement où il en faudrait mille, Non, non, c'est un project ce me semble inutille.
Sarono premier Sattrape.	Sarono premier Sattrape.
Face ce qu’il voudra ie ne m’en donne eſmoy, Il n’y va de mon bien, il n’y va rien de moy, Parquoy ie ne lairray à boire a taſſe plaine Tant que ie trouueray vin ou parrochimaine, Raphin ſecond Sattrape.	Face ce qu'il voudra ici ne m'en donne émoi, Il n'y va de mon bien, il n'y va rien de moi, Parquoi jusqu' y laissai à boire a tasse plaine Tant que tu trouverai vin ou parrochimaine, Raphin second Sattrape.
Allons, viens-en gouſter, mon amy, Sarono, I’en ay encor chez moy plain vn petit barot.	Allons, viens-en goûter, mon ami, Sarono, J'en ai encor chez moi plain un petit barot.
Sarono premier Sattrape.	Sarono premier Sattrape.
Allons e ſurs en crain, d veuxce iour tant boirẽ Qu’il en ſera au monde à tout iamais memoire.	Allons e us en crain, d veuxce jour tant boiren Qu'il en sera au monde à tout jamais mémoire.
SCENE II.	SCÈNE II.
Flodoar Capitaine, Le Soldam.	Flodoar Capitaine, Le Soldam.
Flodoar Capitaine.	Flodoar Capitaine.
Mon Dieu en quel gouphre & abyſme eſtrange 4 Me ſuis-je aueuglement ainſi venu plonger, Ch-dis	Mon Dieu en quel gouphre et abîme étrange 4 Me suis-je aveuglement ainsi venu plonger, Chou-dis
Helas!	Hélas!
hé falloit-il apres tant de paſſages Paſſez me venir mettre en ces cruels cordages, Hé!	hé fallait-il après tant de passages Passez me venir mettre en ces cruels cordages, Hé!
que ne ſuis-je au creux d’vn obſcurcy tombeau, Helas!	que ne suis-je au creux d'vn obscurci tombeau, Hélas!
qu’ay-je entrepris, ie dois faire vn Chaſteau En deux ans ſeullement dont ie ſuis en mal-aiſe, Car cent ne ſçaurois pas l’auoir baſty en ſaize, Et l’object qui m’a fait ceſt accord accorder D’autant qu’il n’eſt rien plus que la vie en ce monde.	qu'ai-je entrepris, je dois faire un Château En deux ans seullement dont mis suis en malaise, Car cent ne saurais pas l'avoir bâti en saise, Et l'object qui m'a fait cest accord accorder D'autant qu'il n'est rien plus que la vie en ce monde.
Helas!	Hélas!
i’ay eſchappé cent fois la mort ſur l’onde, Helas!	j'ai échappé cent fois la mort sur l'onde, Hélas!
i’ay terraſſé de Neptun les boüillons, Les eſcueils, les rochers, les bancs, & les poiſſons, Et ſuis venu icy me prendre à la fillace Comme les lamprions qui ce lancent à la naſſe, Helas!	j'ai terrassé de Neptun les boüillons, Les écueils, les rochers, les bancs, et les poissons, Et suis venu ici me prendre à la fillace Comme les lamprions qui ce lancent à la nasse, Hélas!
ie ſuis venu malheureux m’eſclauer, Imitant celuy-là qui ſe penſant ſauuer D’vn petit fleuue ondeux ce pert en vne abyſme, Ie ne ferois pourtant de tout cela eſtime Si ie pouuois baſtir le grand Chaſteau exquis Auant le temps finy comme ie l’ay promis, Mais las!	Les suis venu malheureux m'esclauer, Imitant celui-là qui se pensant sauver D'un petit fleuve ondeux ce pert en une abîme, Je ne ferais pourtant de tout cela estime Si ainsi pouvais bâtir le grand Château exquis Auant le temps fini comme tu l'ai promis, Mais las!
ne le faiſant i’ay dans moy grand doutance Que ie n’ayé la mort pour toute recompence, Helas!	ne le faisant j'ai dans moi grand doutance Que je n'ayé la mort pour toute récompense, Hélas!
hé falloit-il ſi loing venir mourir!	hé fallait-il si loing venir mourir!
Helas!	Hélas!
qui me viendra au beſoin ſecourir, Mes gens ſont morts ou pris par ces cruels Sattrapes, Foy que ie dois à Dieu, ſi quelqu’vn i’en attrape Ils maudiront le iour & le ſort deſtiné Qu’ils m’ont en ceſt endroit malgré moy amené, Mais ce n’eſt pas le tout il faut prendre courage Et taſcher d’acheuer mon excellent ouurage, I’ay iabien commencé car i’ay fait vn circuit	qui me viendra au besoin secourir, Mes gens sont morts ou pris par ces cruels Sattrapes, Foi que je dois à Dieu, si quelqu'un j'en attrape Ils maudiront le jour et le sort destiné Qu'ils m'ont en cet endroit malgré moi amené, Mais ce n'est pas le tout il faut prendre courage Et tâcher d'achever mon excellent ouvrage, J'ai iabien commencé car j'ai fait un circuit
B ij Où l’on voit ja planté des pierres vingt & huict.	B ij Où l'on voit ja planté des pierres vingt et huit.
Sus, ſus, acheuons donc ce Chaſteau neceſſaire, Le commencer n’eſt rien mais le tout eſt parfaire, Puis ſi le Soldam vient & ne me trouue pas A cimenter la pierre ou ioüer du compas, Il me fera bailler maint coups de baſtonnades Et ie n’ay pas apris dancer telles gaillardes.	Sus, sus, achevons donc ce Château nécessaire, Le commencer n'est rien mais le tout est parfaire, Puis si le Soldam vient et ne me trouve pas À cimenter la pierre ou jouer du compas, Il me fera bailler maint coups de bastonnades Et ici n'ai pas appris dancer telles gaillardes.
Sus, ſus, cheminons donc à noſtre baſtiment Pour eſuiter l’effort d’vn ſi dur chaſtiment, Car mon dos n’a apris receuoir tel orage, De vray on ne ſçauroit en faire d’auantage Aux chiens qui auroyent pris ſecrettement le lard:	Sus, sus, cheminons donc à notre bâtiment Pour éviter l'effort d'un si dur châtiment, Car mon dos n'a appris recevoir tel orage, De vrai on ne saurait en faire d'avantage Aux chiens qui auraient pris secrètement le lard:
Hors, hors, de ce ieu là, i’en vais donnant ma part Aeir qu Il ia vOtara lano pejennuile choſe.	Hors, hors, de ce jeu là, j'en vais donnant ma part Aéir qu' Il ja vOtara lano péjennuile chose.
Ha!	Ha!
voicy le Soldam qui quelque mal propoſe, Il me faut retirer, acheuer mon Chaſteau.	voici le Soldam qui quelque mal propose, Il me faut retirer, achever mon Château.
11 Le Soldam.	11 Le Soldam.
Du lambris eſtoillé le ce leſte flambeau, Voit-il rien de plus grand en tournoyant ſa ronde, Et de plus excellent qu’vn Soldam en ce monde Dont la dextre qui peut le tonnerre arreſter Se laſſe en l’Vniuers de vaincre & de dompter, Comme d’auoir le chef orné de tant de palmes, Et de tant de lauriers acqueſtez par les armes:	Du lambris étoilé le ce les flambeau, Voit-il rien de plus grand en tournoyant sa ronde, Et de plus excellent qu'un Soldam en ce monde Dont la dextre qui peut le tonnerre arrêter Se lasse en l'Univers de vaincre et de dompter, Comme d'avoir le chef orné de tant de palmes, Et de tant de lauriers acquêtez par les armes:
Auſsi ie veux de bref eſſeuer vn autel A chaque coin diuers de ce globe mortel, HEIGE Car les angles ſans plus teſmoigneront mes bornes, Comme au Gadiquain faict d’Hercul les colomnes:	Aussi ici veux de bref esseuer un autel A chaque coin divers de ce globe mortel, HÉIGE Car les angles sans plus témoigneront mes bornes, Comme au Gadiquain fait d'Hercul les colomnes:
Mais tout beau il faut voir vn petit noſtre ouurier Pour voir & admirer ſi ſçait bien ſon meſtier, D’autant que du depuis qui me fit la promeſſe De me baſtir en bref vne alme fortereſſe, Ie ne l’ay, par mes dieux, ne veu, ne r’encontré, Dequoy ie ne luy ſçay tant ſoit petit de gré.	Mais tout beau il faut voir un petit nôtre ouurier Pour voir et admirer si sait bien son métier, D'autant que du depuis qui me fit la promesse De me bâtir en bref alme forteresse, Je ne l'ai, par mes dieux, ne veu, ne rencontré, Dequoi toujours ne le sais tant soit petit de gré.
Allons donc voir auant que de reprendre mon erre S’il connoit quelque choſe à tailler de la pierre.	Allons donc voir avant que de reprendre mon erre S'il connaît quelque chose à tailler de la pierre.
quA'boune l.	qu'Aboune l.
j.	j.
Tuply.	Tupli.
Cez Vs, allons, Vandalon, porter agillement && Ceſte blanchaſtre chaux, & ce moüille cyment Au pauure Flodoar, qui le Soldam deteſte, nfred Ne pouuant en deux ans ſa tour rendre parfaicte.	Cez Vs, allons, Vandalon, porter agillement et Cette blanchâtre chaux, et ce mouille ciment Au pauvre Flodoar, qui le Soldam deteste, nèred Ne pouvant en deux ans sa tour rendre parfaite.
Aux dieux qu’il eſtoit fol, & comblé de terreür, D’aueuglement, de rage, & d’obſcure eſpoiſſeur, Alors qu’il s’obligea au Soldam inuincible De faire ce Chaſteau qui ne luy eſt poſsible.	Aux dieux qu'il était fol, et comblé de terreuer, D'aveuglement, de rage, et d'obscure époisseur, Alors qu'il s'obligea au Soldam invincible De faire ce Château qui ne m est possible.
Ha!	Ha!
ie croy ſur ma foy que ce plaiſant ouurier Voudroit au dos auoir du (cretois) Charpentier Les aiſles encirées pour franchir ceſte terre, Et prendre ainſi que luy dedans les airs ſon erre.	Les crois sur ma foi que ce plaisant ouvrier Voudrait a dos auoir du (crettois) Charpentier Les ai encirées pour franchir cette terre, Et prendre ainsi que lui dedans les airs son erre.
TITIsq IoInHA IN Mamion.	TITIsq IoInHA IN Mamion.
orilue Ie croy, & gageray mon bonnet bigarré, Debleu, de gris, de blanc, & de rouge paré, Mes bottines de euir, mon couſteau, & ma hotte, Voire vray'ment, Turly, la teſte que ie porte Qui voudroit onc n’auoir commencé ce Chaſteau Et qu’en naiſſant ſa mere euſt eſté ſon tombeau, Entendu qu’il ſçait bien quelque choſe qu’il faſſe Qu’il faut qu’en ce pays triſtement il treſpaſſe, Le que ces jeux iamais de leur viue clarté Ne verront le pays ou il fut allaicté.	orilève Je crois, et gagerai mon bonnet bigarré, Debleu, de gris, de blanc, et de rouge paré, Mes bottines de évir, mon coûteau, et ma hotte, Voire vraiment, Turé, la teste la tête que Sans voudrait onc n'avoir commencé ce Château Et qu'en naissant sa mère eût été son tombeau, Entendu qu'il avait bien quelque chose qu'il fasse Qu'il faut qu'en ce pays tristement il trépasse, Le que ces jeux jamais de leur vive clarté Ne verront le pays ou il fut allaicté.
Turl y.	Turl y.
Cela ert prerreertain, mais aſſons ſe voir faire, I’ay peur qu’eſtant tout feul il ne ſe deſeſpere.	Cela ert prerreertain, mais assons se voir faire, J'ai peur qu'étant tout seul il ne se désespère.
Vandalon.	Vandalon.
Allons il pourroit bien faire vn tour au Soldam, Et ce laiſſer tomber de ſon neuf baſtiment, Où faire vn trou dans l’eau du clair fleuue d’Euphrate.	Allons il pourrait bien faire un tour au Soldam, Et ce laisser tomber de son neuf bâtiment, Où faire un trou dans l'eau du clair fleuve d'Euphrate.
Tarty.	Tarti.
I’ay peur que mort ou vif de nous il ne s’eſcarte, Et ne lailie au bordam ſon Chaſteau imparfait.	J'ai peur que mort ou vif de nous il ne s'écarte, Et ne lailie au bordam son Château imparfait.
* Vandalon.	* Vandalon.
I’ay peur (non pas) Turly, qui le rende parfait.	J'ai peur (non pas) Turli, qui le rende parfait.
MIOIII 212 110	MIOII 212 110
SCENE DEVAIESME.	SCÈNE DEUAIESME.
o Flodoar Capitaine, Pharos demon infernal.	ô Flodoar Capitaine, Pharos demon infernal.
anol aunscunbobvolenn nais oibupia Dieu qui tout obiect peux du haut ciel parfaire, QQu'ay-je, helas!	anol aunscunbobolenn nais oibupia Dieu qui tout objet peux du haut ciel parfaire, QQu'ai-je, hélas!
entrepris, qu’ay-je entrepris;	entrepris, qu'ai-je entrepris;
He!	He!
que ne faiſois-tu m’inhumer dans Thetis, (faire?	que ne faisais-tu m'inhumer dans Thétis, (faire?
Pluſtoſt que d’aborder en cemeſchamt pays.	Plutôt que d'aborder en cemeschamt pays.
1913 Flodoar Capitaine.	1913 Flodoar Capitaine.
ono a.	ono a.
Comedie admiraote.	Comédie admiraote.
Voire me deuorer des Baleines humides, Où des Tygres qui ſont dans les deſerts arides.	Voire me dévorer des Baleines humides, Où des Tigres qui sont dans les déserts arides.
Helas!	Hélas!
Soleil qui peut ma grand triſteſſe voir, Qu’ay-je entrepris de faire en ce meſchant terroir.	Soleil qui peut ma grand tristesse voir, Qu'ai-je entrepris de faire en ce méchant terroir.
Helas!	Hélas!
i’ay entrepris, clair flambeau qui rayonne De baſtir vn azille, ou Tour de Babylonne, Que ſeul ie pourray rendre en ſon luſtre parfait, Quand ce rond, par Vulcain, s’admirera parfait?	j'ai entrepris, clair flambeau qui rayonne De bâtir un azille, ou Tour de Babylonne, Que seul homme pourrai rendre en son lustre parfait, Quand ce rond, par Vulcain, s'admirera parfait?
Mais qui ſeroit ça bas, l’homme expert & habille Qui feroit en deux ans vn ſi puiſſant azille;	Mais qui serait ça bas, l'homme expert et habille Qui ferait en deux ans un si puissant azille;
Il ne s’en puis trouuer dont i’entre en deſconfort, 1 Car ne l’acheuant pas ie ſçay que ie ſuis mort,  Et que tous les ioyaux &, perles de l’Indie Des mains du faux Soldam ne ſauueroyent ma vie:	Il ne s'en puis trouver dont j'entre en desconfort, 1 Car ne l'achevant pas été sais que tu suis mort, Et que tous les joyaux et, perles de l'Indie Des mains du faux Soldam ne sauveraient ma vie:
He!	He!
que feray-je donc à ce triſte malheur Qui me va coup ſur coup accablant de douleur, Voire ainſi qu’vne foudre ou funeſte tempeſte Eſcrazant le ſommet de mon inique teſte.	que ferai-je donc à ce triste malheur Qui me va coup sur coup accablant de douleur, Voire ainsi qu'une foudre ou funeste tempête Escrasant le sommet de mon inique tête.
He!	He!
que feray-je donc à ce deſtin felon, Sortez, manes ſortez, du bourbeux Acheron, Sortez, eſprits ſortez, ſortez hydeux ſuccubes, Sortez, demons vollans, & bazanez incubes:	que ferai-je donc à ce destin felon, Sortez, mânes sortez, du bourbeux Acheron, Sortez, esprits sortez, sortez hideux succubes, Sortez, démons vollants, et basanez incubes:
Venez, fatales ſœurs, & venez m’aſsiſter, Voire en mon deſeſpoir ayder & conforter, Venez, venez bourgeois de l’infernalle auerne, Quittez vos feux ardants, & vos noires cauernes, Et venez ce iourd’huy eſtoupher mes beaux iours Où ſubtils me donner à ma douleur ſecours:	Venez, fatales sœurs, et venez m'assister, Voire en mon désespoir aider et conforter, Venez, venez bourgeois de l'infernalle averne, Quittez vos feux ardants, et vos noires cavernes, Et venez ce iourd’hui étoupher mes beaux jours Où subtils me donner à ma douleur secours:
Venez, venez, Pharos, c’eſt vous que de la bande Du Stix bitumieux ie deſire & demande:	Venez, venez, Pharos, c'est vous que de la bande Du Stix bitumieux ie désire et demande:
C’eſttoy, e’eſt toy, Pharos, qui me peux alleges, Voire ce grand Chaſteau en bref temps eriger.	C'estâtoi, elle est toi, Pharos, qui me peux allèges, Voire ce grand Château en bref temps ériger.
Viens donc, quitte l’enfer, au croüaſſant murmure Puiſque deſeſpere ie t’inuoque & conitre:	Viens donc, quitte l'enfer, au crouassant murmure Puisque désespère te t'invoque et conitte:
2	2
Pharos.	Pharos.
He!	He!
que demandeastuo qui te faict ſi hardy 23 2 De troubler mon repos comme vn lourd eſtourdy?	que demandeastuo qui te fait si hardi 23 2 De troubler mon repos comme un lourd ourdis?
t ourquoy m’inuoques-tu de ce morterempire:	tour quoi m'invoques-tu de ce morterempire:
He!	He!
bien, que me veux-tu alleguer ou predire.	bien, que me veux-tu alléguer ou prédire.
Flodoar Capitaine.	Flodoar Capitaine.
Puiſque tu as quitté ton obſcur cauerneau, Ie veux que tu m’aſsiſte à baſtir ce Chaſteau Tant qu’il ſoit acheué d’icy à ſix ſemaines, Afin d’enſeuelir mes trauaux & mes peines, Te donnant neant-moins quelque honneſte guerdon.	Puisque tu as quitté ton obscur caverneau, Je veux que tu m'assiste à bâtir ce Château Tant qu'il soit achevé d'ici à six semaines, Afin d'ensévelir mes travers et mes peines, Te donnant néantmoins quelque honnête guerdon.
1o*d Flodoar Capit,ine100 ou Vous parlez, mon amy, tres raiſonnablement:	1o*d Flodoar Capit,ine10 ou Vous parlez, mon ami, très raisonnablement:
con Or bien quel don exquis, ou quel preſent ſupreſme Deſirez vous de moy?	con Or bien quel don exquis, ou quel présent suprême Désirez -vous de moi?
5onoy Beethallanitisl son olno Pharos.	5onoi Beethallanitisl son olo Pharos.
jo9o	jo9o
bodſam Pharos.	bodsam Pharos.
onohuideclorDi Ie n’ay pas delaiſsé l’infecté Acheron, Les trouppes des damnez, & maint cruel ſupplice Pour venir en ce lieu te ſacrer mon ſeruice Sans receuoir de toy ſalaire & payement.	onohuideclorDi Je n'ai pas délaissé l'infecté Acheron, Les troupes des damnés, et maint cruel supplice Pour venir en ce lieu te sacrer mon service Sans recevoir de toi salaire et paiement.
Mais de me demander c’eſt vn preſent trop cher, Car l'on puit des manons trouuer a mlemeur conte.	Mais de me demander c'est un présent trop cher, Car l'on puit des manons trouver à mêlemeur conte.
Pharos.	Pharos.
bEllid Quand tu irois d’icy à la mer d’Helleponte Voire au lict de Titan ou au fleuue Egeon, Tu ne trouuerois pas vn plus ſubtil maſſon N’y artiſte artiſan car par mon chef ie gaige, 2810 L 104 Que ie rendray parfaict dans trois iours ton ouurage Ce que tu ne ferois de ce iour a mille ans, Hé!	bEllid Quand tu irais d'ici à la mer d'Honte Voire au lit de Titan ou au fleuve Égeon, Tu ne trouverais pas un plus subtil masson N'y artiste artisan car par mon chefâme gaige, 2810 4 104 Que nous rendra parfaict dans trois jours ton ouvrage Ce que tu ne ferais de ce jour a mille ans, Hé!
penſes-tu auoir le trauail des ſçauans Comme cil des groſsiers non c’eſt pure folie, Regarde ſi tu veux donc me donner ta vie 21.	penses-tu avoir le travail des Savants Comme cil des grossiers non c'est pure folie, Regarde si tu veux donc me donner ta vie 21.
001 Que le Soldam de bref doit offrir au tombeau, L moluſ uunre dune puu aanacompaee chaſteaue au	001 Que le Soldam de bref doit offrir au tombeau, L olus uunre dune aanacompaee chasteaue au
Flodoar Capitaine.	Flodoar Capitaine.
Non, non demandez moy pour ma vie autre choſe.	Non, non demandez moi pour ma vie autre chose.
Pharos.	Pharos.
Ie ne veux rien ſinon que, ce que ie propoſe, Si tu n’es pas d’accord cherche des artiſans.	Je ne veux rien sinon que, ce que je propose, Si tu n'es pas d'accord cherche des artisans.
Flodoar Capitaine.	Flodoar Capitaine.
12 Vous la donnant combien viuray-ie encore d’ans?	12 Vous la donnant combien vivrai-je encore d'ans?
Pharos.	Pharos.
Dix, aulquels tu viuras en ce monde en ton aiſe.	Dix, aulquels tu vivras en ce monde en ton aise.
Bharos.	Bharos.
MOU Propoſez Flodoar ie vous orray parler.	MOU Proposez Flodoar ! Vous orrai parler.
Flodoar Capitame.	Flodoar Capitame.
Premierement ie veux pour m’abſenter de peine Qu’ou rendiez le chaſteau tout preſt dans ſix ſepmai	Premièrement ils veux pour m'absenter de peine Qu'ou rendiez le château tout prêt dans six sepmai
nes, Et que de ce païs vous me portiez dehors Apres auoir pillé du Soldam les treſors, Et occis les gloutons ou malheureux Sattrapes Qui me prindrent hardis en leur ſubtille attrappe, Sans pendant les ſaize ans manquer d’aucun objet Car lors que ie voudray auoir quelque projet, Tant ſoit-il rare & grand, ou comblé d’excellence, A entends que ce marene lort de nane puiſſance Si ie ne l’ay ſubit ſelon ma volonté	nés, Et que de ce pays vous me portiez dehors Apres avoir pillé du Soldam les trésors, Et occis les gloutons ou malheureux Sattrapes Qui me prindrent hardis en leur subtille attrape, Sans pendant les saise ans manquer d'aucun objet Car lors que ie voudrai avoir quelque projet, Tant soit-il rare et grand, ou comblé d'excellence, A entends que ce marène lort de nane puissance Siâme ne l'ai subit selon ma volonté
P11DIINGI Pharos.	P11DINGI Pharos.
Non, il n’y aura rien entre nous d’arreté H Si ſelon voſtre vueil ie ne vous puis complaire:	Non, il n'y aura rien entre nous d'arreté H Si selon votre veueil apprend ne vous puis complaire:
Muars pendant ir voublade rhe obagacionfaire, Comme vous vous donnęz a moy totallement En vous obeïſſant comme il faut humblement.	Muars pendant ir voublade rhé obagacionfaire, Comme vous vous donnés a moi totallement En vous obéissant comme il faut humblement.
S.	S.
1.	1.
S .	S .
aev e?	aev eu?
V.	V.
Flodour Capitame.	Flodour Capitame.
1 4.	1 4.
S.	S.
.	.
.	.
I’en demeure d’accord, mais ne treuez eſtrange Si i’en veux auoir vne auſsi en contrechange:	J'en demeure d'accord, mais ne trouvez étrange Si j'en veux avoir une aussi en contrechange:
Oar li n ert pue rarrofl'n’eſtant pas ſatisfait Que vous ayez ainſi de la ſorte mon fait.	Oar li n ert pue rarrofl'étant pas satisfait Que -vous ayez ainsi de la sorte mon fait.
Pharos.	Pharos.
Hé auez vous de moy Flodoar defiance?	Hé avez -vous de moi Flodoar défiance?
Flodoar Capitaine.	Flodoar Capitaine.
Nenny mais cet eſcrit ſera pour aſſeurance Et pour monſtrer comment vous m’eſtes obligé.	Nenni mais cet écrit sera pour assurance Et pour montrer comment vous m'êtes obligé.
Comme vous monſtrerez que ie me ſuis rangé Deſſous voſtre vouloir.	Comme vous montrerez que ici me suis rangé Dessous votre vouloir.
v	v
Vous ſçauez la chicane.	Vous savez la chicane.
thetu 11 3i6h3 Pharos.	thétu 11 3i6h3 Pharos.
Flodoar.	Flodoar.
Vous y eſtes ſçauant, mais ié ne ſuis qu’vne aſne Non plus qu’eſtoit Midas:	Vous y êtes savant, mais jé ne suis qu'une âne Non plus qu'était Midas:
mais ô Pharos pourtant Ie ne ſuis pas ſi lourd ſi ſot & ignorant, ( hau ?	mais ô Pharos pourtant Je ne suis pas si lourd si sot et ignorant, ( hau ?
Que de m’offrir à vous par vn certain mememoire Si vous ne m’aſſeurez d’eſtre au bas territoire, Enicor laie aus entiers plain de vie & ſanté Et d'auon tout objeet lelon ma volonté.	Que de m'offrir à vous par un certain -mêmemoire Si vous ne m'assurez d'être au bas territoire, Enicor laie aussi entiers plain de vie et santé Et d'avon tout objet lelon ma volonté.
Pharos.	Pharos.
Vous penſez me tromper?	Vous pensez me tromper?
Flodoar.	Flodoar.
Qui tromperoit le diable?	Qui tromperait le diable?
Il faudroit que ce fut vn docteur admirable.	Il faudrait que ce fut un docteur admirable.
Pharos.	Pharos.
Vous faites l’eloquent, le fin & l’empeſché Neant-moins pour tenir, Flodoar, le marché, Que nous auons taillé de pure conſcience, Voila vn bref eſcrit pour la voſtre aſſeurance Donnez-moy donc ſubit voſtre obligation?	Vous faites l'éloquent, le fin et l'empêché Néan-moins pour tenir, Flodoar, le marché, Que nous avons taillé de pure conscience, Voilà un bref écrit pour la vôtre assurance Donnez-moi donc subit votre obligation?
11 Flodoar.	11 Flodoar.
Or tenez la voila.	Or tenez la voilà.
degciortiiu phares.	dégciortiv phares.
Vous eſtes bon garçon.	Vous êtes bon garçon.
11°112	111112
*8 En Flodoar.	*8 En Flodoar.
1 180 Gardez bien de manquer a la voſtre promeſſe Pourtant ſi vous ſçauez plus que moy de fineſſe:	1 180 Gardez bien de manquer a la vôtre promesse Pourtant si vous savez plus que moi de finesse:
Car ie ſçay le moyen de vous bien attrapper.	Car ie sais le moyen de vous bien attraper.
*1 Pharos.	*1 Pharos.
I’aymerois mieux mourir que penſer te tromper, Et pour tenir ma foy allons d’vn pas agille Acheuer le Chaſteau du Soldam mal habille, Flodoar Capitaine.	J'aimerais mieux mourir que penser te tromper, Et pour tenir ma foi allons d'un pas agille Achever le Château du Soldam mal habille, Flodoar Capitaine.
Ie croy bien que tu ſois vn expert batiſſeur  Mais tu es mille fois plus adextre menteur.	Je crois bien que tu sois un expert bâtisseur Mais tu es mille fois plus adextré menteur.
Ie peux faire en vne heure vn Cayre tout nouueau, Ainſi comme en vne heure abyſmer & deſtruire Babylon & ces tours & ce mondam Einpire.	Je peux faire en une heure un Cayre tout nouveau, Ainsi comme en une heure abîmer et détruire Babylon et ces tours et ce mondam Einpire.
11	11
SCENE III.	SCÈNE III.
Le Soldam, Boſphoron	Le Soldam, Bosphoron
inbs Le Soldum.	inbs Le Soldum.
AIS comment Boſphoron quelle eſtrange me ueille „!	AIS comment Bosphoron quelle étrange me ueille !
3sonoid munamne ernomauso Vient aſſouſpir mes ſens & charmer momoreille, Quel obſtacle hideux, hé quoy!	3sonoid munamne ernomauso Vient assoupir mes sens et charmer momoreille, Quel obstacle hideux, hé quoi!
qui euſt penſé, Que ce Maſſon là eut en ſi peu aduancé,  Ce celebre Chaſteau, vray’ment ie m’en eſtonne Car deſ-ja ſa hauteur ſurpaſſe Babylonne, Sy mes yeux ne ſont plains d’extreſme aueuglement:	qui eût pensé, Que ce Masson là eut en si peu avancé, Ce celebre Château, vraiment pr m’en étonne Car déjà sa hauteur surpasse Babylonne, Sy mes yeux ne sont plains d'extrême aveuglement:
Mais n’eſt-ce point auſſi par art d’enchantement do Qu’il baſtit, Boſphoron, ſi dru ſe grand ouurage?	Mais n'est-ce point aussi par art d'enchantement do Qu'il bâtit, Bosphoron, si dru se grand ouvrage?
Bosphoron Lieutenant.	Bosphoron Lieutenant.
