TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
ANGELIQVE, Vous auez eu raiſon.	ANGELIQUE, Vous avez eu raison.
Mais bien loing contre luy d’eſtre encor en colere, Il vous faut estre amis, aimeZ-le mon cher frere, Dono uifoongeruis mon frere aſſeurément Si vous auiez deſſein d’en uſer autrement.	Mais bien loindre contre Rome d'être encor en colère, Il vous faut être amis, aimez-le mon cher frère, Dono uifoongeruis mon frère assurément Si vous aviez dessein d'en user autrement.
LICIDAS.	LICIDAS.
Bien, ie m’en vay le voir.	Bien, Seigneur m'en vais le voir.
OCEN 4 ISABELLE.	OCEN 4 ISABELLE.
ANGELIQVE.	ANGELIQUE.
II	II
ISABELLE.	ISABELLE.
JV'en dites-vous, Madame?	JU'en dites-vous, Madame?
Celuy que vous aymeZ d’vne ſecrette flame, Ce gentil Eſtranger, ce galand incognu, Celuy qui voſtre honneur a ſi bien maintenu, Qui geneneux pour vous a haZarde ſa vie, Qu’on a bleßé pour vous, que vous bruſliez d’enuie De voir & de cognoiſtre, il eſt logé chez vous, Et vous le pouurɇ voir en dépit des jaloux.	Celui que vous aimez d'une secrète flamme, Ce gentil Estranger, ce galant inconnu, Celui qui votre honneur a si bien maintenu, Qui geneneux pour vous a hasarde sa vie, Qu'on a blesié pour vous, que vous brûliez d'envie De voir et de connaître, il est logé chez vous, Et vous le pouvr voir en dépit des jaloux.
Ar	Ar
ANGELIQVE.	ANGELIQUE.
Ce cas est bien estrange, & s’il ne m’est viſible.	Ce cas est bien étrange, et s'il ne m'est visible.
A peine le croiré-je, il est preſque impoſsible, Et l’eſprit le mieux fait s’y trouueroit ſurpris) Qu’vn estranger rencontre arriuant à Paris Vne femme en paſſant qui d’abord le conuie De luy vouloir ſauuer & l’honneur & la vie;	À peine le croiré-je, il est presque impossible, Et l'esprit le mieux fait s'y trouverait surpris) Qu'un étranger rencontre arrivant à Paris Une femme en passant qui d'abord le convie De lui vouloir sauver et l'honneur et la vie;
Se voir en meſme temps par ſon frere bleßé, Arriuer l’autre frere, & s’en voir careſſé, Luy donner ſon logis, les accorder enſemble, C’eſt vn fait qui n'est pas troyable ce me ſemble.	Se voir en même temps par son frère blesié, Arriver l'autre frère, et s'en voir caressé, Lui donner son logis, les accorder ensemble, C'est un fait qui n'est pas troyable ce me semble.
ISABELLE.	ISABELLE.
Pourquoy ne l’est-il pas?	Pourquoi ne l'est-il pas?
ANGELIQVE.	ANGELIQUE.
Ce ſont des accidens Qui merueilleuſement me ſurprennent les ſens, Ie n’oſe ſeulement eſperer cette gloire, Et ie penſe en effet qu’on me le fait acroire.	Ce sont des accidents Qui merveilleusement me surprennent les sens, Je n'ose seulement espérer cette gloire, Et deux pense en effet qu'on me le fait acroire.
ISABELLE.	ISABELLE.
Il m’eſt aſſeZ aiſé de vous le faire voir.	Il m'est assez aisé de vous le faire voir.
ANGELIQVE.	ANGELIQUE.
Ah!	Ah!
ma chere Iſabelle aurois-tu ce pouuoir?	ma chère Isabelle aurais-tu ce pouvoir?
Comment pourrois-je voir de ma chambre en la ſienphe Veu qu’elle eſt tellement diſtante de la mienne.	Comment pourrais-je voir de ma chambre en la sienphe Veu qu'elle est tellement distante de la mienne.
ISABELLE.	ISABELLE.
Laiſſez-m’en le ſoucy, par vne inuention Ie viendraybien à bout de voſtre intention.	Laissez-m'en le souci, par une invention Je viendraibien à bout de votre intention.
Ie cognoy vn endroit prés de la galerie Qui reſpond à ſa chambre, où la tapiſſerie Que l’on voit pardedans ne couure que des ais Qui font vne cloiſon, qu’on a fait tout exprés, Pour pouuoir pratiquer vn lieu propre pour faire Vn cabinet qui lors nous eſtoit neceſſaire.	Je connais un endroit près de la galerie Qui répond à sa chambre, où la tapisserie Que l'on voit pardedans ne couvre que des ai Qui font une cloison, qu'on a fait tout exprès, Pour pouvoir pratiquer un lieu propre pour faire Un cabinet qui lors nous était nécessaire.
Or de cette cloiſon il'eſt tres à propos De deſtacher deux ais, & deſſus deux piuots, Et parhaut & parbas, faire tourner de ſorte Ces deux ais entr’ouuers qu’ils nous ſeruent de portes.	Or de cette cloison il'est très à propos De détacher deux ais, et dessus deux piots, Et parhaut et parbas, faire tourner de sorte Ces deux ais entr’ers qu'ils nous servent de portes.
Pur là nous pourrons bien entrer fort aiſémient, Sans qu’on s’en apperçoiue, en ſon appartement.	Pur là nous pourrons bien entrer fort aisémient, Sans qu'on s'en aperçoive, en son appartement.
Ces ais eſtans rejoints, & fermez par derriere, Qui ne iugera pas la cloiſon eſtre entiere?	Ces ais étant rejoints, et fermés par derrière, Qui ne jugera pas la cloison était entière?
Vn menuiſier pourra meſme dans vn moment Accommoder ces ais.	Un menuisier pourra même dans un moment Accommoder ces ais.
ANGELIQVE.	ANGELIQUE.
Allons donc promptement, Et ſans plus conſulter executer la choſe, I'approuue cet aduis que ton eſprit propoſe, Va donner ordre à tout, car ie deſire auoir Ce diuertiſſement, & meſme dés ce ſoir.	Allons donc promptement, Et sans plus consulter exécuter la chose, J'approuve cet avis que ton esprit propose, Va donner ordre à tout, car tu désire avoir Ce divertissement, et même dès ce soir.
Mais mandons ma coufine, il eſt bon ce me ſemble, Que nous ayons ce ſoir ce paſſe-temps enſemble, Faiſons-luy donc ſçauoir, ſans luy dire pourquoy, Qu'elle vienne ſoupper & coucher auec moy.	Mais mandons ma coufine, il est bon ce me semble, Que nous ayons ce soir ce passe-temps ensemble, Faisons-lui donc savoir, sans lui dire pourquoi, Qu'elle vienne souper et coucher avec moi.
ISABELLE.	ISABELLE.
Mais tout de bon Madame?	Mais tout de bon Madame?
ANGELIQVE.	ANGELIQUE.
Ouy i'on veux voir l’iffuë.	Oui j'on veux voir l'issue.
ISABELLE.	ISABELLE.
Vous entrerez chez luy.	Vous entrerez chez Roi.
ANGELIQVE.	ANGELIQUE.
M’y voila reſoluë.	M'y voilà résolue.
Ie veux voir ſi c’eſt luy, car ſi c’eſt l’eſtranger Qui de ſi bonne grace a voulu m’obliger, Qui me voyant tantoſt d’un jaloux pourſuiuie, Pour moy ſi librement a hazardé ſa vie.	Je veux voir si c'est lui, car si c'est l'étranger Qui de si bonne grâce a voulu m'obliger, Qui me voyant tantôt d'un jaloux poursuivie, Pour moi si librement a hasardé sa vie.
Qui s’eſt monſtré vers moy ſi courtois & ſi franc, Qui n’a pas eſpargné meſme iuſqu'à ſon ſang, Qui m’a gaigné le cœur, & de ſi bonne grace, Iſabelle il n'eſt rien pour luy que ie ne face.	Qui s'est montré vers moi si courtois et si franc, Qui n'a pas épargné même jusqu'à son sang, Qui m'a gagné le cœur, et de si bonne grâce, Isabelle il n'est rien pour lui que je ne face.
ISABELLE.	ISABELLE.
I'y ſongerois deuant, car en cette action, Quilie preuue auez-vous de ſa diſcretion?	J'y songerais devant, car en cette action, Quilie preuve avez-vous de sa discrétion?
Ne nous fions iamais aux Amours paſſageres, S’il s’en alloit vanter, & le dire à vos freres?	Ne nous fions jamais aux Amours passagères, S'il s'en allait vanter, et le dire à vos frères?
ANGELIQVE.	ANGELIQUE.
Il ne le fera pas quand ie luy defendray, L'en ſuis tres-aſſeurée, il ne peut estre vray Qu’vn homme genereux, qui pour mon aduantage A meſme u jee uojprnas gnalé ſon courage, Par cette tupenero uoyjmontiſt aujourd’huy Les rares qualitez qui ſe trouuent en luy.	Il ne le fera pas quand on se défendrai, L'en suis trèsrassurée, il ne peut avoir vrai Qu'un homme généreux, qui pour mon avantage A même u ie Œuojprna lé son courage, Par cette tupenero uoyjmontist déjourd'hui Les rares qualités qui se trouvent en était.
A I E II SCENE PREMIERE.	À I E II CÈNE PREMIÈRE.
LIZANDRE, FLORESTAN,	LIZANDRE, FLORÊTAN,
2 LIZANDRE.	2 LIZANDRE.
I le courage eſt grand, la maiſon eſt estrette.	I le courage est grand, la maison est estrette.
Pour vous bien receuoir comme ie le ſouhaite.	Pour vous bien recevoir comme ici le souhaite.
ELORESTAN.	ELORESTAN.
Ie ne merite point tant de ciuiliteZ	Je ne mérite point tant de civilité
LIZANDRE.	LIZANDRE.
Vous n’eſtes pas receu comme vous meritez, Mais ſelon mon deuoir & ſelon mon enuie, Ie ne le pourrois pas quand i’y mettrois la vie.	Vous n'êtes pas reçu comme vous méritez, Mais selon mon devoir et selon mon envie, Je ne le pourrais pas quand j'y mettrais la vie.
Mais laiſſons ce diſcours, & ſans vous amuſer A tant de complimens, allez vous repoſer, Le lict pour voſtre mal vous eſt fort neceſſaire.	Mais laissons ce discours, et sans vous amuser À tant de compliments, allez vous reposer, Le lit pour votre mal vous est fort nécessaire.
FLORESTAN.	FLORÊTAN.
Le mal n’est pas ſi grand pour en faire vn myſtere.	Le mal n'est pas si grand pour en faire un mystère.
Comment, cela vaut-il ſeulement en parler?	Comment, cela vaut-il seulement en parler?
LIZANDRE.	LIZANDRE.
En-vain on me voudroit deſormais conſoler, Si vous auieZ ſujet de me faire vn reproche D'eſtue en peril, bleßé par vn qui m'eſt ſi proche.	Envain on me voudrait désormais consoler, Si vous auieZ sujet de me faire un reproche D'estue en péril, blesié par un qui m'est si proche.
FLORESTAN.	FLORÊTAN.
Lizandre, voſtre frere eſt un homme de cœur, Ie veux doreſnauant eſtre ſon ſeruiteur, Et l’honorer bien fort, ſa vertu m'y conuie.	Lisandre, votre frère est un homme de cœur, Je veux dorénavant être son serviteur, Et l'honorer bien fort, sa vertu m'y convie.
SCENE II LICIDAS, FLORESTAN, LIZANDRE.	SCÈNE II LICIDAS, FLORESTAN, LIZANDRE.
LICIDAS, mettant ſon eſpee aux pieds	LICIDAS, mettant son espee aux pieds
de Floreſtan.	de Florêtan.
VEſt moy qui dois pour vous mettre cent fois la vie.	VEst moi qui dois pour vous mettre cent fois la vie.
Voila ce fer, Monſieur, qui fut ſi malheureux D’auoir oſé bleſſer vn bras ſi genereux, Ie banny de cheZ moy cette inſolente eſpée, Qui ne ſera iamais par mon bras occupée, Ainſi qu’vn ſeruiteur qui m’a deſobligé, L’infame ie la chaſſe, & luy donne congé, Ie la mets à vos pieds.	Voilà ce fer, Monsieur, qui fut si malheureux D'avoir osé blesser un bras si généreux, Je banni de cheZ moi cette insolente épée, Qui ne sera jamais par mon bras occupée, Ainsi qu'un serviteur qui m'a desobligé, L'infâme ie la chasse, et lui donne congé, Je la mets à vos pieds.
FLORESTAN.	FLORÊTAN.
Puis-je ſans jalouſie Voir qu’encor vous vueillieZ me vaincre en courtoiſie?	Puis-je sans jalousie Voir qu'encor vous veuilliez me vaincre en courtoisie?
C’est trop, contentez-vous;	C'est trop, contentez-vous;
puis que ie recognoy Qu’au combat vous l’auez emporté deſſus moy, Ie l’accepte pourtant, ſans vous en faire excuſe, En ſi mre preſent iamais ne ſe refuſe, Ce fer venant de vous, fera qu’en bataillant, I'apprendray deſormais à deuenir vaillant, Ie ne m'en deferay pour quoy qui me ſuruienne, Mais daignez s’il vous plaiſt vous ſeruir de la mienne.	puis vous servir recognoy Qu'au combat vous l'avez emporté dessus moi, Je l'accepte pourtant, sans vous en faire excuse, En si mère présent jamais ne se refuse, Ce fer venant de vous, fera qu'en bataillant, J'apprendrai désormais à devenir vaillant, Je ne m'en déferai pour quoi qui me survienne, Mais daignez s'il vous plaît vous servir de la mienne.
LICIDAS.	LICIDAS.
I’accepte de bon cœur ſi vous le deſirez, Ce gage d amitie duquel vous m'honoreZ, Quoy que facilement chacun puiſſe cognoiſtre Qu'elle perdra beaucoup ayant changé de maiſtre.	J'accepte de bon cœur si vous le désirez, Ce gage d amitié duquel vous m'honorez, Quoi que facilement chacun puisse connaître Qu'elle perdra beaucoup ayant changé de maître.
LIZANDRE.	LIZANDRE.
Laiſſons ces complimens qui ſont hors de ſaiſon.	Laissons ces compliments qui sont hors de saison.
4 CENE III.	4 CÈNE III.
CARRILLE, LICIDAS, FLORESTAN, A chercher le logis, & ſans menrir ie croy Que ces fils de putains ſe mocquoient tous de moy, L'vn m’enuoyoit en haut, l’autre enbas, il n’importe Ie l’ay trouué ſans eux, le diable les emporte, Ils ſe rioient de moy, mais moy d’eux ie me ris.	CARRILE, LICIDAS, FLORESTAN, A chercher le logis, et sans menrir Se croy Que ces fils de putains se moquaient tous de moi, L'un m'envoyait en haut, l'autre enbas, il n'importe Je l'ai trouvé sans eux, le diable les emporte, Il se riaient de moi, mais moi d'eux ie me ris.
Quoy c’est icy ce lieu qu’on appelle Paris, Dont on fait tant d’eſtat, ah!	Quoi c'est ici ce lieu qu'on appelle Paris, Dont on fait tant d'état, ah!
grands Dieux i’en enrage, Ie fais plus mille fois cas de noſtre vilage, On y ſçait en vne heure autant comme en vn iour, Car tous les chemins vont aboutir au carfour.	grands Dieux j'en enrage, Je fais plus mille fois cas de notre vilage, On y avait en une heure autant comme en un jour, Car tous les chemins vont aboutir au carfour.
LICIDAS.	LICIDAS.
Ce valet eſt plaiſant.	Ce valet est plaisant.
FLORESTAN.	FLORÊTAN.
Tu prens trop de licence, Maraut, va bouffonner ailleurs qu’en ma preſence.	Tu prends trop de licence, Maraud, va bouffonner ailleurs qu'en ma présence.
Laiſſez-le.	Laissez-le.
LILANDRE.	LILANDRE.
FLORESTAN.	FLORÊTAN.
Tes diſcours ſont vn peu bien hardis.	Tes discours sont un peu bien hardis.
CARRILLE.	CARRILLE.
Pauois leu que Paris eſtoit vn Paradis, Mais ie croy qu’on dit vray, ce n’eſt pas choſe eſtrãge Qu du nomme dumunocuuonno poit ne mange, Sçachez que ie croiray mon liure vne autre fois.	Pavais le que Vis était un Paradis, Mais je crois qu'on dit vrai, ce n'est pas chose estrãge Qu du nomme dumunocuuonno poit ne mange, Sachez que ainsi croirai mon livre un autre fois.
LICIDAS.	LICIDAS.
Tu ſçais lire, & partant ſi tantoſt tu diſois Que tu ne pouuois pas, c’eſtoit vne impoſture.	Tu sais lire, et partant si tantôt tu disais Que tu ne pouvais pas, c'était une imposture.
CARRILLE.	CARRILLE.
Ie l'y bien le moûlé, mais non pas l’eſcriture.	Je l'y bien le moulé, mais non pas l'écriture.
FLORESTAN bas.	FLORÊTAN bas.
Il a bien reparé, ie hay les froids bouffons.	Il a bien reparé, ie hai les froids bouffons.
CARRILLE.	CARRILLE.
Aux plus fins du meſtier i’en feray des leçons, Laiſſez-y moy penſer, & ie vous feray dire Que vous n'euſtes iamais vn tel ſujet de rire.	Aux plus fins du métier j'en ferai des leçons, Laissez-y moi penser, et un vous ferai dire Que vous n'eûtes jamais un tel sujet de rire.
LIZANDRE luy baillant vne clef.	LIZANDRE était baillant une clef.
Monſieur, voila la clef de voſtre appartement, Le vous ay mis icy pour pouuoir librement Entrer quand vous voudreZ ſans qu'on vous diuertiſſe.	Monsieur, voilà la clef de votre appartement, Le vous ai mis ici pour pouvoir librement Entrer quand vous voudrez sans qu'on vous divertisse.
ELORESTAN.	ELORESTAN.
Quand pourrey-je iamais payer ce bon office?	Quand pourrei-je jamais payer ce bon office?
LIZANDRE.	LIZANDRE.
Si vous ne vouleZ pas ſi toſt vous mettre au lit Pour taſcher d’acquerir un peu plus d’appetit, Puis que vous estimez, ſi peu voſtre bleſſeure Allons nous promener il eſt encor bonne heure, Si nous allons au Cours, quelque rare beauté Vous pourra dans Paris rauir la liberté.	Si vous ne voulez pas si tôt vous mettre au lit Pour tâcher d'acquérir un peu plus d'appétit, Puis que vous estimez, si peu votre blessure Allons nous promener il est encor bonne heure, Si nous allons au Cours, quelque rare beauté Vous pourra dans Paris ravir la liberté.
FLORESTAN.	FLORÊTAN.
Allons, ie le veux bien, c’eſt ce que ie deſire.	Allons, Seigneur le veux bien, c'est ce que Rome désire.
LIZANDRE.	LIZANDRE.
Deſcend là-bas Ariste, & va promptement dire Que le carroce vienne, & qu’on nous tienne preſt Le ſoupé dans vne heure.	Descend là-bas Ariste, et va promptement dire Que le carroce vienne, et qu'on nous tienne prêt Le soupé dans une heure.
FLORESTAN.	FLORÊTAN.
Allons puis qu’il vous plaist.	Allons puis qu'il vous plaît.
Carrille eſcoute vn mot.	Carrille écoute un mot.
CARRILLE, Bien Monſieur ſans remiſe.	CARRILLE, Bien Monsieur sans remise.
3.	3.
2 S CV	2 S CV
CARRILLE?	CARRILLE?
ſeul.	seul.
41.	41.
R ça reuiſitons vn peu nostne valiZe, OVoicy ma bourſe, il faut que ie voye à la fins Combien i’ay pû gaigner en toût noſtre chemin.	 ça révisitons un peu nostne valisés, OUoici ma bourse, il faut que je voie à la fins Combien j'ai pu gagner en toût notre chemin.
Quelle commodite que de ferrer la mule, Si ie ne l’auois fait ie ſerois ridicule, On peut plus librement voler qu’à la maiſon, Ie n’ay qu’a dire on conte icy hors de raïſon, Ie n’ay iamais rien veu de plus opiniaſtre, L’hoſteſſe des trois Rois n’a rien voulu rabattre, Elle eſt toute en vn mot, & quand ie ſuis party Qui me peut ſouſtenir au nez que i’ay menty?	Quelle commodité que de ferrer la mule, Si je ne l'avais fait homme serais ridicule, On peut plus librement voler qu'à la maison, Je n'ai qu'a dire on conte ici hors de raïson, Je n'ai jamais rien vu de plus opiniâtre, L'hôtesse des trois Rois n'a rien voulu rabattre, Elle est toute en un mot, et quand beau suis parti Qui me peut soutenir au nez que j'ai menti?
Contons, mais qui pourroit m’auoir pris quelque choſe?	Contons, mais qui pourrait m'avoir pris quelque chose?
Ma bourſe eſt pleine, & puis ma valize eſtoit cloſe, n souite En voyageant ainſi ie pourrois m’enrichir, vaute des Mais prenons noſtre linge & le portons blanchir.	Ma bourse est pleine, et puis ma valise était close, n souite En voyageant ainsi ie pourrois m'enrichir, vaute des Mais prenons notre linge et le portons blanchir.
Pourquoy rien refermer, laiſſons tout de la ſorte, L'ay la clef, c’eſt a faire à bien fermer la porte.	Pourquoi rien refermer, laissons tout de la sorte, L'ai la clef, c'est a faire à bien fermer la porte.
SCENE Angenque & flabene entrent dalis ia chambre de Floreſtan par les deux ais qu’elles ont deſioints de la cloiſon.	SCÈNE Angenque et flabène entrent dalis ja chambre de Florêtan par les deux ais qu'elles ont desioints de la cloison.
ISABELLE dans ſa chambre.	ISABELLE dans sa chambre.
Adame, tout à l’heure on me vient d’aduerM Que vos freres & luy ne font que ſortir.	Adame, tout à l'heure on me vient d'averM Que vos frères et même ne font que sortir.
ANGELIQVE.	ANGELIQUE.
Tout eſt-il preſt?	Tout est-il prêt?
entrons, ie meurs d’impatience EllesénDe voir de ton deſſein la prompte experience.	entrons, Seigneur meurs d'impatience EllesénDe voir de ton dessein la prompte expérience.
ISABELLE.	ISABELLE.
Qu'en dites-vous Madame ?	Qu'en dites-vous Madame ?
eſt-il rien plus aiſé?	est-il rien plus aisé?
L’eſprit le plus ſubtil & le plus aduiſé Pourroit-il deſcouurir iamais cette fineſſe?	L'esprit le plus subtil et le plus avisé Pourrait-il découvrir jamais cette finesse?
ANGELIQVE.	ANGELIQUE.
Ie ne ſçaurois aſſez admirer ton adreſſe.	Je ne saurais assez admirer ton adresse.
ISABELLE.	ISABELLE.
Laiſſez moy repaſſer, & ie vous feray voir Comme on ne s’en ſçauroit iamais aperceuoir, Quand meſme on defferoit cette tapiſſerie On peut entrer ſoudain dans cette galerie Si quelqu’un ſuruenoit, & la fermer ainſi, Pouſſez.	Laissez moi repasser, et ainsi vous ferai voir Comme on ne s'en sçauroit jamais apercevoir, Quand même on déferait cette tapisserie On peut entrer ain dans cette galerie Si quelqu'un survenait, et la fermer ainsi, Poussés.
ANGELIQVE.	ANGELIQUE.
Ie n’en ſuis plus maintenant en ſoucy.	Je n'en suis plus maintenant en souci.
Il n’eſt rien de plus clair, la preuue en est certaine, Et ie n’ay pas de peur que l’on nous y ſurprenne.	Il n'est rien de plus clair, la preuve en est certaine, Et je n'ai pas de peur que l'on nous y surprenne.
ISABELLE reſſortant.	ISABELLE ressortant.
Anuis unesmoy,qquuuge oyune deſſein?	Anuis unesmoi,qquuge oiune dessein?
Quoy Madame, aurions nous pris tant de peine en vain?	Quoy Madame, aurions nous pris tant de peine en vain?
Quel fruit pretendez-vous tirer, ou quelle ioye, Si vous ne voulez, pas le voir ny qu’il vous voye?	Quel fruit prétendez-vous tirer, ou quelle joie, Si vous ne voulez, pas le voir ainsi qu'il vous voie?
ANGELIQVE.	ANGELIQUE.
Si ie puis découurir que noſtre Hoſte eſt celuy Qui m’a par ſa valeur ſecouruë auiourd’huy, Eſtant bleſſé pour moy, dois-je pas Iſabelle Par mes ſoins procurer qu’il cognoiſſe mon zele, Et m’informer außi comme va ſa ſanté?	Si personne puis découvrir que notre Hôte est celui Qui m'a par sa valeur secourue aujourd'hui, Étant blessé pour moi, dois-je pas Isabelle Par mes soins procurer qu'il connaisse mon zèle, Et m'informer aussi comme va sa santé?
C’eſt le moins que ie doy.	C'est le moins que Dieu dois.
Mais qui m'a tranſporté Mon cabinet icy?	Mais qui m'a transporté Mon cabinet ici?
ISABELLE.	ISABELLE.
Madame, voſtre frere S’eſt tantoſt contre moy quaſi mis en colere;	Madame, votre frère S'est tantôt contre moi quasi mis en colère;
Car ie ne voulois pas en effect qu’on l’hoſtaſt, Il l'a voulu par force, & que l’on aportaſt Des piumes, au papiet, de t'ancre, onc eſcritoire Et des liures außi qui ſont dans cette armoire En grande quantité;	Car ie ne voulais pas en effet qu'on l'hostast, Il l'a voulu par force, et que l'on apportât Des pivmes, au papiét, de t'ancre, onc écritoire Et des livres aussi qui sont dans cette armoire En grande quantité;
c’eſt pour le diuertir.	c'est pour le divertir.
ANGELIQVE.	ANGELIQUE.
Ate tomt u n en pus piuſt preſt a partir, Courage tout va bien, grand Dieu tu fauoriſes Auiourd’huy mes deſſeins.	Ate tompt u n en pût pût prêt à partir, Courage tout va bien, grand Dieu tu favorises Avjourd'hui mes desseins.
Voila ſes deux valiſes.	Voilà ses deux valises.
ISABELLE.	ISABELLE.
Ouy Madame, elles ſont ouuertes, & pouuons Riſtter ce qu'il a	Oui Madame, elles sont ouvertes, et pouvons Ristter ce qu'il a
ANGELIQVE.	ANGELIQUE.
Ie le veux bien, voyons Comme il eſt curieux dans les hardes qu’il porte.	Je le veux bien, voyons Comme il est curieux dans les hardes qu'il porte.
ISABELLE.	ISABELLE.
Mais s’il s’en aperçoit.	Mais s'il s'en aperçoit.
ANGELIQVE.	ANGELIQUE.
Tire tout il n’importe.	Tire tout il n'importe.
Iſabelle tire tout ce qu’il y a dans la valize du maiſtre, & l’eſpand par la place.	Isabelle tire tout ce qu'il y a dans la valise du maître, et l'épand par la place.
ANGELIQVE.	ANGELIQUE.
Qu'eſt-ce là que tu tiens?	Qu'est-ce là que tu tiens?
ISABELLE.	ISABELLE.
Vn bel habit d’eſté.	Un bel habit d'été.
Qu’il eſt riche & ſuperbe, ah quelle propreté!	Qu'il est riche et superbe, ah quelle propreté!
Madame peut-on voir de plus belles chemiſes?	Madame peut-on voir de plus belles chemises?
Pour moy ie ne crois pas qu’il les ait iamais miQuelle belle dentelle, & quel beau point-couppé, Mais qu’eſt-ce que cela qu’il tient enueloppé Dans ce papier brouillart.	Pour moi ici ne crois pas qu'il les ait jamais miQuelle belle dentelle, et quel beau point-couppé, Mais qu'est-ce que cela qu'il tient enveloppé Dans ce papier brouillart.
ANGELIQVE.	ANGELIQUE.
Attend que ie le voye, Ce ſont de beaux rubans, auec deux bas de ſoye.	Attend que venir le voie, Ce sont de beaux rubans, avec deux bas de soie.
ISABELLE.	ISABELLE.
Eule r'ou- Ouurons ce cuir, ie ſens quelque choſe dedans, Cela reſſemble aux fers d’vn arracheur de dents.	Eule rou- Ouvrons ce cuir, une sens quelque chose dedans, Cela ressemble aux fers d'un arracheur de dents.
Que fait-il de cela?	Que fait-il de cela?
Dieux que ie ſuis ſurpriſe.	Dieux que ie suis surprise.
ANGELIQVE.	ANGELIQUE.
A-t’on iamais parlé d’vne telle ſottiſe?	A-t-on jamais parlé d'une telle sottise?
mom iu pus quovelly juuent pour le raſer, Ceux-là pour la mouſtache, & ceux-cy pour fric.	moment ju pus quoveli juent pour le raser, Ceux-là pour la moustache, et ceux-cy pour fric.
ISABELLE.	ISABELLE.
Voicy deux oreillers de ſatin Amaranthe.	Voici deux oreillers de satin Amaranthe.
ANGELIQVE.	ANGELIQUE.
Ce ſont coußins d’odeur, ah!	Ce sont couglins d'odeur, ah!
qu'elle eſt excellente.	qu'elle est excellente.
ISABELLE.	ISABELLE.
Ce ſont icy des gands, des mouchoirs, des colets, Des mules de velours, & deux beaux bracelets.	Ce sont ici des gands, des mouchoirs, des collets, Des mules de velours, et deux beaux bracelets.
Des peignes, vn miroir, ah la belle toillette, Mais que peut-ilgarder fermé dans cette boëtte?	Des peignes, un miroir, ah la belle toillette, Mais que peut-ilgarder fermé dans cette boîte?
ANGELIQVE.	ANGELIQUE.
Ouure, c’est de l’Iris pour poudrerles cheueux.	Ouvre, c'est de l'Iris pour poudrerles cheveux.
ISABELLE.	ISABELLE.
En verité Madame il eſt fort curieux, Voicy force papiers.	En vérité Madame il est fort curieux, Voici force papiers.
ANGELIQVE.	ANGELIQUE.
Monſtre.	Montre.
ISABELLE.	ISABELLE.
Tenez Madame.	Tenez Madame.
ANGELIQVE.	ANGELIQUE.
Dieux!	Dieux!
qu'eſt-ce que ie voy?	qu'est-ce que ie cy?
ce ſont lettres de femme Qui luy parlent d’amour, ie veux voir leur ſecret, Deſployons-les.	ce sont lettres de femme Qui lui parlent d'amour, Elle veux voir leur secret, Desployons-les.
Ah Dieux!	Ah Dieux!
quel excellent por Han.	quel excellent por Han.
Iſabelle voy-le, ie crois que la nature A mis tous ſes treſors dans cette peinture, Et ſi l’original pouuoit eſtre auſsi beau.	Isabelle vois-le, je crois que la nature A mis tous ses trésors dans cette peinture, Et si l'original pouvait être aussi beau.
	
ISABELLE.	ISABELLE.
Sans doute vous ſerieZ ialouſe du tableau.	Sans doute vous seriez jalouse du tableau.
ANGELIQVE.	ANGELIQUE.
Tay toy, ces ſots diſcours me mettent encolere, Va, ne tire plus rien.	Tais -toi, ces sots discours me mettent encolère, Va, ne tire plus rien.
ISABELLE.	ISABELLE.
Que pretendez-vous faire?	Que prétendez-vous faire?
ANGELIQVE.	ANGELIQUE.
Puis qu'icy i'ay de quoy, ie veux à ce galand Eſcrire vn mot de lettre.	Puis qu'ici j'ai de quoi, je veux à ce galant Écrire un mot de lettre.
ISABELLE.	ISABELLE.
Et pourmoy cependant Ie veux reuiſiter icy cette autre male, C’eſt celle du Valet, voicy du linge ſale, Quels infames haillons, mais quel eſt ce liuret, C’eſt l’Almanach de l’an mil ſix cens vingt & ſept, Des broſſes, vne eſtrille, vn pair de décrotoire, Vnbonnet gras ſans coiffe, vn paquet de lardoires, Deux gands deſpairiés, vn grand chanteau de pain, Vn morceau de fromage, ah!	Et pourmoi cependant Je veux revisiter ici cette autre male, C'est celle du Valet, voici du linge sale, Quels infâmes haillons, mais quel est ce livret, C'est l'Almanach de l'an mil six cents vingt et sept, Des brosses, une étrille, un pair de décrotoire, Vnbonnet gras sans coiffe, un paquet de lardoires, Deux gands despairiés, un grand chanteau de pain, V morceau de fromage, ah!
