A ORLEANS,	À ORLEANS,
Il eſt vray, mais le déſir de t’apporter une bonne nouvelle, ma fait precipiter mon voyage.	Il est vrai, mais le désir de t'apporter une bonne nouvelle, ma fait précipiter mon voyage.
Leandre.	Léandre.
J’ay ſçu par vôtre lettre, mon pere, le deſſein ou vous eſtes de me donner un regiment, mais le déſordre que cela pourroit jetter dans vos affaires, me fait vous ſuplier.	J'ai suiv par votre lettre, mon père, le dessein ou vous êtes de me donner un régiment, mais le désordre que cela pourrait jeter dans vos affaires, me fait vous suplier.
Geronte.	Géronte.
te mie, me crois-tu aſſez dépourvu de bon ſens pour me défaire de tout mon bien ſur l’eſpoir d’une fortune que le moindre petit coup de canon peut détruire en un tourne main.	te mie, me crois-tu assez dépourvu de bon sens pour me défaire de tout mon bien sur l'espoir d'une fortune que le moindre petit coup de canon peut détruire en un tourne main.
Non non j’ay plus d'œconomie, & je te donne un regiment ſans bource délier.	Non non j'ai plus d'œconomie, et je te donne un régiment sans bource délier.
Leandre.	Léandre.
Je ſuis ravy, mon pere, de ne devoir cét employ qu’aux amis que vous avez à la Cour.	Je suis ravi, mon père, de ne devoir cet emploi qu'aux amis que vous avez à la Cour.
Geronte.	Géronte.
Qu’appelle tu aux amis, eſt-ce quil y en a en ce païs là?	Qu'appelle tu aux amis, est-ce quil y en a en ce pays là?
Vertu de ma vie, ce n’eſt pas ſur des paroles en l’air, que je t’ay flatté d’une fortune ſolide, c’eſt ſur un bon mariage, mon fils.	Vertu de ma vie, ce n'est pas sur des paroles en l'air, que je t'ai flatté d'une fortune solide, c'est sur un bon mariage, mon fils.
Leandre.	Léandre.
Un mariage, mon pere.	Un mariage, mon père.
Geronte.	Géronte.
Oüi le tien eſt conclu avec une perſonne qui a beaucoup de bien, & ce qu’il y a d’étonnant, on dit qu’elle eſt encore plus belle qu’elle n’eſt riche.	Oui le tien est conclu avec une personne qui a beaucoup de bien, et ce qu'il y a d'étonnant, on dit qu'elle est encore plus belle qu'elle n'est riche.
Leandre.	Léandre.
Ah mon pere.	Ah mon père.
Geronte.	Géronte.
Attend-moy icy, je t’en pourray pa ler plus ſurement avant qu’il ſoit peu.	Attend-moi ici, je t'en pourrai pay ler plus sûrement avant qu'il soit peu.
SCENE IX.	SCÈNE IX.
LEANDRE, FRONTIN.	LÉANDRE, FRONTIN.
Frontin.	Frontin.
Elle eſt belle ou laide, ſelon que vous voudrez l’enviſager.	Elle est belle ou laide, selon que vous voudrez l'envisager.
Comment.	Comment.
Leandre.	Léandre.
Froniin.	Froniin.
Si vous ne la vouliez regarder que par la fortune qu’elle vous apporte, elle eſt belle;	Si vous ne la vouliez regarder que par la fortune qu'elle vous apporte, elle est belle;
mais ſi vous la recevez comme un obſtacle à vôtre amour, oh qu’elle eſt laide.	mais si vous la recevez comme un obstacle à votre amour, oh qu'elle est laide.
Leandre.	Léandre.
Je ne verray jamais qu’avec chagrin, tout ce qui meibigne d’Iſabelle.	Je ne verrai jamais qu'avec chagrin, tout ce qui meibigne d'Isabelle.
Prontin.	Prontin.
Cherchez à vous en conſoler de compagnie, la voicy.	Cherchez à vous en consoler de compagnie, la voici.
SEDAUIA.	SÉDAUIA.
Iſabelle, Marthon, Leandre, Frontin.	Isabelle, Marthon, Léandre, Frontin.
Marthon.	Marthon.
7 Oila Leandre, Madame.	7 Oila Léandre, Madame.
Frontin.	Frontin.
Ah Madame, venez promptement nous tendre une main favorable, ou nous allons nous precipiter dans le deſeſpoir.	Ah Madame, venez promptement nous tendre une main favorable, ou nous allons nous précipiter dans le désespoir.
Marthon.	Marthon.
Helas, nous ſommes plus à plaindre que vous, & vous voyez des perſonnes affligées qui ont beſoin de conſolation.	Hélas, nous sommes plus à plaindre que vous, et vous voyez des personnes affligées qui ont besoin de consolation.
Leandre.	Léandre.
Què vous eſt-il arrivé, Madame?	Quel vous est-il arrivé, Madame?
Je croyois n’avoir que mes malheurs à combatre.	Je croyais n'avoir que mes malheurs à combattre.
Par quelle fatalité le Ciel y ajoure t’il les võtres?	Par quelle fatalité le Ciel y ajoure t-il les vôtres?
Iſabelle.	Isabelle.
Les miens ne regardent que vous, Monſieur, & ſi je pouvois me reſoudre à ne vous plus voir, je ne ſerois pas ſi chagrine.	Les miens ne regardent que vous, Monsieur, et si je pouvais me résoudre à ne vous plus voir, je ne serais pas si chagrine.
Leandre.	Léandre.
Comment donc, Madame.	Comment donc, Madame.
Iſabelle.	Isabelle.
Le croiriez-vous, Leandre, mon oncle v’ent de m’engager à un homme qui m’eſt inconnu, & que je ſouhaite ne connoître jamais.	Le croiriez-vous, Léandre, mon oncle v'ent de m'engager à un homme qui m'est inconnu, et que je souhaite ne connaître jamais.
Leandre.	Léandre.
On vous marie, Madame?	On vous marie, Madame?
Ah Frontin qu’entens-je?	Ah Frontin qu'entends-je?
Frontin.	Frontin.
Par ma ſoy la rencontre eſt tragicomique.	Par ma soi la rencontre est tragicomique.
Marthon.	Marthon.
Frontin.	Frontin.
Tu ne me le demanderois pas, ſi tu ſçavois que mon Maître a reçû un pareil ordre de Monſieur ſon pere, qui vient de l’engager brutalement à uné je ne ſcay qui.	Tu ne me le demanderais pas, si tu savais que mon Maître a reçu un pareil ordre de Monsieur son père, qui vient de l'engager brutalement à uné je ne sais qui.
Iſabelle.	Isabelle.
On vous marie auſſi, Leandre?	On vous marie aussi, Léandre?
Leandre.	Léandre.
Mon pere le veut.	Mon père le veut.
Madame, mais quoy qu’on faſſe, je ne ſeray jamais qu'à la charmante Iſabelle.	Madame, mais quoi qu’on fasse, je ne serai jamais qu'à la charmante Isabelle.
Iſabelle.	Isabelle.
Iſabelle.	Isabelle.
Que je ſerois heureuſe de vous en pouvoir promottre autant, mais la bien ſeance.	Que je serais heureuse de vous en pouvoir promottre autant, mais la bien séance.
Marihon.	Marihon.
La bien ſeance, vois-tu cette affaire ſans accommodement, Frontin.	La bien séance, vois-tu cette affaire sans accommodement, Frontin.
Frontin.	Frontin.
Non vrayment, & je n’y vois encore rien de déſeſperé.	Non vraiment, et je n'y vois encore rien de désespéré.
Leandre.	Léandre.
Par ou demeſler cette fuſée, Marthon;	Par ou démêler cette fusée, Marthon;
Iſabelle.	Isabelle.
Comment ſortir de ce labirinthe Fron	Comment sortir de ce labyrinthe Fron
tin ?	tin ?
Marthon.	Marthon.
Quelle petiteſſe;	Quelle petitesse;
allez, allez vous ſeoir ſur ces bancs, nous allons tenir un petit Conſeil ſur vos affaires.	allez, allez -vous seoir sur ces bancs, nous allons tenir un petit Conseil sur vos affaires.
Leandre.	Léandre.
Frontin.	Frontin.
Iſabelle.	Isabelle.
Marthon.	Marthon.
Frontin.	Frontin.
Faites ce qu’elle vous dit, repoſez-vous ſur nous, & continuez de tendreſſe comme ſi de rien n'étoit.	Faites ce qu'elle vous dit, reposez-vous sur nous, et continuez de tendresse comme si de rien n'était.
Leandre & Iſabelle ſe ntirent.	Léandre et Isabelle se ntirent.
SCENE XI.	SCÈNE XI.
FRONTIN, MARTHON.	FRONTIN, MARTHON.
Marthon.	Marthon.
Q’Aiſons face à l’orage, Frontin, voila T de pauvres enfans qui s’aiment, nous y avons donné nôtre conſentement, il ſeroit beau que des parens vinſſent nous déranger.	QU'Aisons face à l'orage, Frontin, voilà TANT de pauvres enfants qui s'aiment, nous y avons donné notre consentement, il serait beau que des parents vinssent nous déranger.
Frontin.	Frontin.
Il y auroit en nous un manque de ſçavoir faire impardonnable.	Il y aurait en nous un manque de savoir faire impardonnable.
Commençons par nous entre connoître un peu plus que nous ne faiſons.	Commençons par nous entre connaître un peu plus que nous ne faisons.
Je t’aime.	Je t'aime.
Marthon, Je ne te hay pas.	Marthon, Je ne te hais pas.
Frontin.	Frontin.
Travaillons de concert.	Travaillons de concert.
Marthon.	Marthon.
Ouy, voyons ſi l’union que nous nous propoſons eſt faiſable.	Oui, voyons si l'union que nous nous proposons est faisable.
Frontin.	Frontin.
Elle eſt riche ta Maîtreſſe, n’eſt-ce pas?	Elle est riche ta Maîtresse, n'est-ce pas?
Marthon.	Marthon.
Il eſt de qualité ton Maître, dis?	Il est de qualité ton Maître, dis?
Frontin.	Frontin.
Malpeſte, il compte des ayeuls au delà du deluge.	Malpeste, il compte des aïeuls au delà du déluge.
Marthon.	Marthon.
Elle a plus de ſacs de mille livres roulans, qu’il ne roule de caroſſes dans Pa	Elle a plus de sacs de mille livres roulants, qu'il ne roule de carosses dans Pa
lris.	lris.
Frontm.	Frontm.
Diable, voila dequoy rouler agréablement.	Diable, voilà dequoy rouler agréablement.
Auroit-elle quelque peu de nobleſſe avec cela.	Aurait-elle quelque peu de noblesse avec cela.
Marthon.	Marthon.
De la nobleſſe, elle ne couche que dans des lits dor, & ne mange qu’en vainone d'argentr iifaut ſçavoir la quantité de gens que ſon oncle employe.	De la noblesse, elle ne couche que dans des lits dor, et ne mange qu'en vainone d'argentr jifaut savoir la quantité de gens que son oncle emploie.
Et ton Maître, il eſt riche auſſi ?	Et ton Maître, il est riche aussi ?
Frontin.	Frontin.
S’il eſt riche, il a toûjours compagnie à diſner & à ſouper.	S'il est riche, il a toujours compagnie à dîner et à souper.
& on tient table ouverte pour luy dans la ruë de Seine, à l’Hôtel de Nimes.	et on tient table ouverte pour lui dans la rue de Seine, à l'Hôtel de Nimes.
Marhon Ils font faits l’un pour l’autre, comme de cire, & il n’y a point à balancer.	Marhon Ils font faits l'un pour l'autre, comme de cire, et il n'y a point à balancer.
Fronten.	Front.
Non, nous n’avons plus qu’à connoître I’humeur de ces animaux, qui viennent de nous marier ſans dire gare.	Non, nous n'avons plus qu'à connaître J'humeur de ces animaux, qui viennent de nous marier sans dire gare.
Marthon.	Marthon.
Il faut leur apprendre à ne rien faire à C ij l’étourdy:	Il faut leur apprendre à ne rien faire à Ç ijou l’étourdi:
commençons par le pere de ton Maître, quel eſt-il?	commençons par le père de ton Maître, quel est-il?
Frontin.	Frontin.
C’eſt un bon Picard;	C'est un bon Picard;
mais tendre ſur le point d’honneur comme un vieux Gentilhomme.	mais tendre sur le point d'honneur comme un vieux Gentilhomme.
Et l’oncle de ta Maîtreſſe?	Et l'oncle de ta Maîtresse?
Marthon.	Marthon.
C’eſt un franc Manceau, qui renferme dans ſa perſonne tout l’orgueil d’un nouveau nenc.	C'est un franc Manceau, qui renferme dans sa personne tout l'orgueil d'un nouveau nenc.
Frontin.	Frontin.
Il eſt orgueilleux, je l’humiliray, je Tnamnay.	Il est orgueilleux, je l'humilirai, je Tamnai.
Marthon.	Marthon.
Je me fais forte moy, de faire avaler au bon Picard, une tracaſſerie de point d’honneur où il ſera embaraſſé.	Je me fais forte moi, de faire avaler au bon Picard, une tracasserie de point d'honneur où il sera embarrassé.
Telle que tu me vois, je ſuis une petite Cameleonne.	Telle que tu me vois, je suis une petite Camèleonne.
Frontin.	Frontin.
Et moy un petit Prothée.	Et moi un petit Prothée.
Marthon.	Marthon.
J’ay toûjours une Toilette de reſerve icy proche, à la grande maiſon.	J'ai toujours une Toilette de réserve ici proche, à la grande maison.
Frontin.	Frontin.
Et moy une gaderobe chez nôtre amy l’Amy.	Et moi une gadérobe chez notre ami l'Ami.
Aſarthon.	Asarthon.
Quand il me prend quelques demangeaiſons d’avantures, avec un habit de remarque, du rouge & des mouches, nous ſçavons, dieu-mercyl, nous donner des airs de Financiere.	Quand il me prend quelques démangeaisons d'aventures, avec un habit de remarque, du rouge et des mouches, nous savons, dieu-mercil, nous donner des airs de Financière.
Frontin.	Frontin.
Lors que je me ſens quelque tentation de bonne fortune, j’accompagne domeſtiquement mon Maître juſqu’au pont Roial, je me devalletaille chez l’Amy, & j’entre Gentilhomme aux Thuilleries.	Lors que je me sens quelque tentation de bonne fortune, j'accompagne domestiquement mon Maître jusqu'au pont Roial, je me devalletaille chez l'Ami, et j'entre Gentilhomme aux Thuilleries.
Marihon.	Marihon.
Fais-moy connoître ſeulement le Pere de ton Maître, & me laiſſe faire.	Fais-moi connaître seulement le Père de ton Maître, et me laisse faire.
Premtin.	Premtin.
Montre-moy l’Oncle de ta Maîtreſſe, & tu verras beau jeu.	Montre-moi l'Oncle de ta Maîtresse, et tu verras beau jeu.
Marthon.	Marthon.
Il ne ſe paſſe point de jour qu’il ne vienne icy.	Il ne se passe point de jour qu'il ne vienne ici.
Frontin.	Frontin.
Nôtre Pere y eſt preſentement	Notre Père y est présentement
Marthon.	Marthon.
Allons nous métamorphoſer, & battons le fer pendant qu’il eſt chaud.	Allons nous métamorphoser, et battons le fer pendant qu'il est chaud.
SCENE XII.	SCÈNE XII.
Leandre, Iſabelle, Marthon, Frontin.	Léandre, Isabelle, Marthon, Frontin.
Leandre.	Léandre.
Ebien Frontin, ou en ſommes nous?	Ébien Frontin, ou en sommes nous?
1I Frontin.	1I Frontin.
Voila qui eſt fait.	Voilà qui est fait.
11	11
Iſabelle.	Isabelle.
Que pouvons-nous eſperer de vos ſoins, Marthon?	Que pouvons-nous espérer de vos soins, Marthon?
Marthon.	Marthon.
Vôtre affaire eſt dans le ſac.	Votre affaire est dans le sac.
Leandre.	Léandre.
Apprens moy.	Apprends moi.
Frontin.	Frontin.
Ne vous informez de rien juſqu’à nôtre retour.	Ne vous informez de rien jusqu'à notre retour.
12	12
Iſabelle.	Isabelle.
Ne pouvons nous ſçavoir.	Ne pouvons nous savoir.
Marthon.	Marthon.
Laiſſez-nous aller, & ne paroiſſez dans ces lieux enſemble que le moins que vous pourrez.	Laissez-nous aller, et ne paraissez dans ces lieux ensemble que le moins que vous pourrez.
SCENE XIII.	SCÈNE XIII.
LEANDRE, ISABELLE.	LÉANDRE, ISABELLE.
Iſabelle.	Isabelle.
Confions-nous à leur conduite.	Confions-nous à leur conduite.
Leandre puis que nôtre deſtinée ne nous permet pas d’agir comme nous le voudrions.	Léandre puis que notre destinée ne nous permet pas d'agir comme nous le voudrions.
Dtanare.	Dtanare.
Il ne tient qu’à vous, Madame, de l’aſſujettir à nos ſouhaits.	Il ne tient qu'à vous, Madame, de l'assujettir à nos souhaits.
Iſabelle.	Isabelle.
Mon Dieu, Leandre, voyons ce qu’on va faire pour nous, avant d’en venir aux extremitez,	Mon Dieu, Léandre, voyons ce qu'on va faire pour nous, avant d'en venir aux extrémités,
Leandre.	Léandre.
Mais Madame.	Mais Madame.
Iſabelle.	Isabelle.
Separons-nous, juſqu’à ce que nous ayons de leurs nouvelles.	Séparons-nous, jusqu'à ce que nous ayons de leurs nouvelles.
Je vais joindre quelques unes de mes amies dans la grande allée, où vous me retrouverez.	Je vais joindre quelques unes de mes amies dans la grande allée, où vous me retrouverez.
Leandre.	Léandre.
Que j’ay d’impatience, & qu’il va m’ennuyer dans l’incertitude ou je ſuis.	Que j'ai d'impatience, et qu'il va m'ennuyer dans l'incertitude ou je suis.
SCENE XI Leandre, Aminte, Cidalize.	SCÈNE XI Léandre, Aminte, Cidalise.
Aminte.	Aminte.
A, Leandre, nous vous retrouvons I Ia propos, pour nous arracher aux reflexions où vôtre abſence nous avoit abandonnées.	À, Léandre, nous vous retrouvons I a propos, pour nous arracher aux réflexions où votre absence nous avait abandonnées.
Leandre.	Léandre.
Ma foy, mes Dames, les miennes m’occupent de telle maniere, que je ne ſuis nullement en état de faire attention à celles des autres.	Ma foi, mes Dames, les miennes m'occupent de telle manière, que je ne suis nullement en état de faire attention à celles des autres.
Cidaliſe.	Cidalise.
Voulez-vous m’en croire, allons voir la Comedie des petits Maîtres d’Eté, qu’on doit repreſenter aujourd’huy.	Voulez-vous m'en croire, allons voir la Comédie des petits Maîtres d'Été, qu'on doit représenter aujourd'hui.
Aminte.	Aminte.
Mon Dieu quel ſpectacle, quels étranges petits Maîtres nous y allons voir, & que peut-on dire ſur des amans que nos regards ne peuvent paſſer à compte ſans confuſion, & qui n’étourdiſſent nos oreilles que de declarations à lettre vûë, & des fleurettes de non valeur,	Mon Dieu quel spectacle, quels étranges petits Maîtres nous y allons voir, et que peut-on dire sur des amants que nos regards ne peuvent passer à compte sans confusion, et qui n'étourdissent nos oreilles que dé déclarations à lettre vue, et des fleurettes de non valeur,
Leandre.	Léandre.
Voila ce qui s’appelle financier dans toute ſon étenduë, & je ne doute point qu’ils ne jouent les premiers rolles dans la Comedie que l’on va repreſenter.	Voilà ce qui s'appelle financier dans toute son étendue, et je ne doute point qu'ils ne jouent les premiers rolles dans la Comédie que l'on va représenter.
Aminte.	Aminte.
Qu’une femme un peu ſpirituelle eſt embaraſſée, à l’aproche d’un homme qui débute par pouſſer nôtre pudeur à bout, au premier mot d’une tendreſſe, ou il n’y a qu’à prendre ou à laiſſer, & cependant le beſoin que nous nous impoſons de vouloir paroiſtre au deſſus des autres, nous neceſſite à minauder ces rejettons de la fortune, qui ne doivent leur merite qu’aux deſordres des tems & que le caprice de la guerre a rendu les Heros de a belle ſaiſon.	Qu'une femme un peu spirituelle est embarrassée, à l'approche d'un homme qui débute par pousser notre pudeur à bout, au premier mot d'une tendresse, ou il n'y a qu'à prendre ou à laisser, et cependant le besoin que nous nous imposons de vouloir paraître au dessus des autres, nous nécessite à minauder ces rejettons de la fortune, qui ne doivent leur mérite qu'aux des des tems et que le caprice de la guerre a rendu les Héros de a belle saison.
Leandre.	Léandre.
Ils ſont les plus comptables parmy les belles, mais je ne les crois pas les plus comptez & quoy que Meſſieurs au petit colet ne paroiſſent que leurs ſous traittans, on devine facilement qu’ils ne leurs cedent que l’uſufruit des cœurs, & qu’ils s’en reſervent pour eux les portions congruës.	Ils sont les plus comptables parmi les belles, mais je ne les crois pas les plus comptez et quoi que Messieurs au petit colt ne paraissent que leurs sous traits, on devine facilement qu'ils ne leurs cèdent que l'usufruit des cœurs, et qu'ils s'en réservent pour eux les portions congrues.
Cidaliſe.	Cidalise.
Oüi, jolis, polis, poudrez, guindez, bruyans & coureurs comme on les voit, il eſt peu de bonne fortune où ils n’entrent en tiers:	Oui, jolis, polis, poudrez, guindez, bruyants et coureurs comme on les voit, il est peu de bonne fortune où ils n'entrent en tiers:
Peu de ruelles où ils ne fourniſſent à la converſation, & peu de caroſſes au Cours où leurs petits airs ne brillent parmy les plus coquettés, ils font I’ornement des Thuilleries, & groſſiſſent la foule aux ſpectacles.	Peu de ruelles où ils ne fournissent à la conversation, et peu de carosses au Cours où leurs petits airs ne brillent parmi les plus coquetés, ils font J'ornement des Thuilleries, et grossissent la foule aux spectacles.
Feneans de profeſſion, les plaiſirs ne ſont que pour eux, les bonnes tables où ils ne payent jamais que de leurs perſonnes, ne retentiſſent que de leurs bons mots, & parmy les ſoupirans d’Eté, ils ſont ſans contredit les plus feuoutables.	Fenants de profession, les plaisirs ne sont que pour eux, les bonnes tables où ils ne payent jamais que de leurs personnes, ne retentissent que de leurs bons mots, et parmi les soupirants d'Été, ils sont sans contredit les plus feuoutables.
Aminte.	Aminte.
Et les plus dignes d’eſtre jouez.	Et les plus dignes d'être jouez.
Cidaliſe.	Cidalise.
Voila nôtre grand Poulailler, le petit Marcou, qui avec ſes malins vouloirs ne nous en dédira pas.	Voilà notre grand Poulailler, le petit Marcou, qui avec ses malins vouloirs ne nous en dédira pas.
SCENE XV.	SCÈNE XV.
Aminte, Cidaliſe, Leandre, Marcou.	Aminte, Cidalise, Léandre, Marcou.
Marcou.	Marcou.
E viens de faire la découverte d’un peTtit Maître d’Eté, mes Dames, & je me le figure dés plus propres à eſtre ridiculiſé dans la Comedie d’aujourd’huy.	E viens de faire la découverte d'un pTit Maître d'Été, mes Dames, et je me le figure dès plus propres à être ridiculisé dans la Comédie d'aujourd'hui.
Aminte.	Aminte.
Et quel eſt ce godelureau de nouvelle fabrique?	Et quel est ce godelureau de nouvelle fabrique?
Marcou.	Marcou.
C’eſt le jeune Marchand Gilorait, qui avec une propreté Bourgeoiſe, & des airs de bonne opinion, étale ſur le devant de ſa boutique l’adonis des négocians, planté ſur ſes jambes en éleve de Pecourt, il ne paſſe point de Dames qu’il ne chuchotte des yeux, & qu’avec le ſourire d’une petite bouche rentrayée, il n’invite à monter au magazin.	C'est le jeune Marchand Gilorait, qui avec une propreté Bourgeoise, et des airs de bonne opinion, étale sur le devant de sa boutique l'adonis des négocions, planté sur ses jambes en élève de Pecourt, il ne passe point de Dames qu'il ne chuchotte des yeux, et qu'avec le sourire d'une petite bouche rentrayée, il n'invite à monter au magazin.
Cidaliſe.	Cidalise.
Ah ma petite, c’eſt celuy de qui nous fumes l’autre jour ſi tendrement lorgnées en paſſant dans la ruë des Bourdonnois.	Ah ma petite, c'est celui de qui nous fûmes l'autre jour si tendrement lorgnées en passant dans la rue des Bourdonnais.
Marcou.	Marcou.
Il faut le voir aux Toilettes, où il eſt bien aiſe de ſe faire une neceſſité d’aller, ſuivy de ſa marchandiſe, qui eſt ſon brevet d’entrée, il fait avoüer aux connoiſ.	Il faut le voir aux Toilettes, où il est bien aise de se faire une nécessité d'aller, suivi de sa marchandise, qui est son brevet d'entrée, il fait avouer aux connais.
ſeuſes qu’elle eſt de débit, & la renommée publique qu’il en fait un tres-bon compte.	seuses qu'elle est de débit, et la renommée publique qu'il en fait un très-bon compte.
Leandre.	Léandre.
Vous ne ſçauriez-vous diſpenſer de luy donner vôtre pratique, mes Dames.	Vous ne sauriez-vous dispenser de lui donner votre pratique, mes Dames.
Aminte.	Aminte.
Cidaliſe en a beſoin, il y a long-tems qu’elle veut faire endamaſſer le Cabinet ou ene le recueille.	Cidalise en a besoin, il y a longtemps qu'elle veut faire endamasser le Cabinet ou ene le recueille.
Cidaliſe.	Cidalise.
Mais, toy-même, tu peu le mettre en uſage, pour ce deshabillé de conqueſtes qui te roule dans la fantaiſie.	Mais, toi-même, tu peu le mettre en usage, pour ce déshabillé de conquêtes qui te roule dans la fantaisie.
Marcou.	Marcou.
Je vous aſſure qu’il eſt des plus accommodans, mais voicy Monſieur de Tiermleu.	Je vous assure qu'il est des plus accommodants, mais voici Monsieur de Tiermleu.
SCENE XVI.	SCÈNE XVI.
Tiermilieu.	Tiermilieu.
E viens vous avertir, mes Dames, que Il heure de la Comedie approche.	E viens vous avertir, mes Dames, que Il heure de la Comédie approche.
Marcou.	Marcou.
Allons voir un peu, de quelle eſpece de petits Maîtres on pretend nous regaler.	Allons voir un peu, de quelle espèce de petits Maîtres on prétend nous régaler.
Leandre.	Léandre.
Tel y pourra joüer ſon perſonnage, qui qui n’y penſe pas.	Tel y pourra jouer son personnage, qui qui n'y pense pas.
Tiermilieu.	Tiermilieu.
Je croy qu’on n’y oublira pas ces petits nobles d’imagination, qui pour parfumer le caque dont ils ſentent toûjours l’odeur, avec l’épée pendante ſur le genouil, & le chapeau retrouſſé des trois coſtez, à la ſpadaſſine, repandent ſur toutes leurs perſonnes des affectations de mines, dont les plus coquettes n’oſent ſe faire honneur.	Je crois qu'on n'y oublira pas ces petits nobles d'imagination, qui pour parfumer le caque dont ils sentent toujours l'odeur, avec l'épée pendante sur le genouil, et le chapeau retroussé des trois côtés, à la spadassine, répandent sur toutes leurs personnes des affectations de mines, dont les plus coquettes n'osent se faire honneur.
Ces Marquis, Comtes & Chevaliers faits à la haſte, les Atirus des trois dez & du lanſquenet;	Ces Marquis, Comtes et Chevaliers faits à la hâte, les Atyrus des trois des et du lansquenet;
l’affluence des cabarets, & ſur tout de ceux qui font credit;	l'affluence des cabarets, et sur tout de ceux qui font crédit;
les mauvais plaiſans des Caffez, la terreur des Cochers de loüages, l’épouvante du Guet, & les pertubateurs des pauvres aveugles.	les mauvais plaisants des Caffés, la terreur des Cochers de louages, l'épouvante du Guet, et les pertubateurs des pauvres aveugles.
Marcou	Marcou
Je ſuis perſuadé, Monſieur de Tiermilieu, qu’on ne paſſera pas auſſi ſous ſilence ces narciſſes modernes, qui à l’imitation de l’ancien, avec une perruque tellement chargée de poudre, que le juſte au corps en eſt enfariné juſqu’à la chute des reins, ne ſe trouvent devant aucuns miroirs qu’ils n’honorent de leur image, & où ils ne ſe ſachent bon gré, & qui aprés avoir paſſé l’hyver à ſe morfondre ſous les feneſtres de nos Dames, & à baiſer les marteaux de leurs portes, ſe dédomagent l’été en faiſant les honneurs chez Mocope.	Je suis persuadé, Monsieur de Tiermilieu, qu'on ne passera pas aussi sous silence ces narcisses modernes, qui à l'imitation de l'ancien, avec une perruque tellement chargée de poudre, que le juste au corps en est enfariné jusqu'à la chute des reins, ne se trouvent devant aucuns miroirs qu'ils n'honorent de leur image, et où ils ne se sachent bon gré, et qui après avoir passé l'hiver à se morfondre sous les fenêtres de nos Dames, et à baiser les marteaux de leurs portes, se dédomagent l'été en faisant les honneurs chez Mocope.
Leandre.	Léandre.
A ce que je vois, on ne s’entrefait point grace icy.	À ce que je vois, on ne s'entrefait point grâce ici.
Cidaliſe.	Cidalise.
Si on en avoit quelqu’un à diſpenſer, ce ſeroit Leandre, pour ces Officiers de faveur qui s’exempte de la campagne, ſous pretexte de quelques affaires de famille, ou de celles du Regiment.	Si on en avait quelqu'un à dispenser, ce serait Léandre, pour ces Officiers de faveur qui s'exempte de la campagne, sous prétexte de quelques affaires de famille, ou de celles du Règiment.
Leandre.	Léandre.
Vous titez ſur moy, Madame, mais je m'en ſouviendray.	Vous titez sur moi, Madame, mais je m'en souviendrai.
SCENE XVII	SCÈNE XVII
Aminte, Cidaliſe, Leandre, Tiermilieu, Marcou, Frontin en petit Maître.	Aminte, Cidalise, Léandre, Tiermilieu, Marcou, Frontin en petit Maître.
Aminte.	Aminte.
Voila un Gentilhomme a qui il eſt ar1.	Voilà un Gentilhomme à qui il est ar1.
40 Tuq affaire.	40 Tuq affaire.
Frontin.	Frontin.
Parbleu mon petit amy vous ne ſerez pas toûjours avec des viſages reſpectables.	Parbleu mon petit ami vous ne serez pas toujours avec des visages respectables.
Leandre, bas.	Léandre, bas.
C’eſt Frontin, il n’eſt pas reconnoiſſable ſous cét habillement.	C'est Frontin, il n'est pas reconnaissable sous cet habillement.
Frontin.	Frontin.
Je vous feray voir qu’on ne ſe joüe pas impunement à des gens comme moy.	Je vous ferai voir qu'on ne se joue pas impunément à des gens comme moi.
Cidaliſe.	Cidalise.
Ma chere, voila un petit Maître d'Eté des mieux façonnez.	Ma chère, voilà un petit Maître d'Été des mieux façonnés.
Frontin.	Frontin.
Mes Dames.	Mes Dames.
je ſuis vôtre valet.	je suis votre valet.
Aminte.	Aminte.
Vos airs & vos diſcours, Monſieur, témoignent que vous ſortez de quelque avanture.	Vos airs et vos discours, Monsieur, témoignent que vous sortez de quelque aventure.
Frontin.	Frontin.
Il eſt vray, mes Dames, qu’une Tabellionne du grand fauxbourg, l’Aceſſeur, Mondinet & moy nous venons d’en eſſuyer une des plus embaraſſantes, ils m’embaraſſoient, & nous nous ſommes tous trois bien embaraſſez.	Il est vrai, mes Dames, qu'une Tabellionne du grand fauxbourg, l'Acesseur, Mondinet et moi nous venons d'en essuyer une des plus embarrassantes, ils m'embarrassaient, et nous nous sommes tous trois bien embarrassez.
Leandre.	Léandre.
Expliquez cet embaras, ou vous allez nous embaraſſer auſſi,	Expliquez cet embarras, ou vous allez nous embarrasser aussi,
Frontin.	Frontin.
Cela ne vaut pas la peine d’en parler.	Cela ne vaut pas la peine d'en parler.
Cidaliſe.	Cidalise.
Vous ne nous croyez pas aſſez dans vos intereſts, Monſieur.	Vous ne nous croyez pas assez dans vos intérêts, Monsieur.
Frontin.	Frontin.
Pardonnez-moy, mes Dames, mais comme la Tabellionne a des bien-ſeances d’intereſt avec Mondinet, & qu’elle a quelques ſecrettes bontez pour .	Pardonnez-moi, mes Dames, mais comme la Tabellionne a des bienséances d'intérêt avec Mondinet, et qu'elle a quelques secrètes bonté pour .
pour moy.	pour moi.
allons, allons, il faut eſtre diſcret, il faut eſtre diſcrer.	allons, allons, il faut être discret, il faut être discrer.
Aminte.	Aminte.
Cela eſt rare dans les gens de vôtre âge.	Cela est rare dans les gens de votre âge.
