I ARGVMENT.	I JRGUMENT.
Quelle apparence außi qu'apres tant de ſeruices, Tant de ſoins, tãt d’amour, & tant de bõs offices, Qu'il n'à pas employez, que pour la poſſeder, Lors qu'il en eſt au poinct il la vueille ceder, Non, non, c’eſt vn effect de noſtre reſuerie, Calirie aime Oronte, Oronte Calirie, Et l’on pourra pluſtoſt allumer des glaçons, Et rendre les rochers fertiles en moiſſons, Que de pouuoir iamais eſteindre ceſte flame, Qu'vn amour mutuel entretient dans leur ame:	Quelle apparence aussi qu' apres Tant de soins, Tant de soins, tãt d'amour, et tant de bons offices, Qu'il n'à pas employez, que pour la posséder, Lors qu'il en est au point il la veuille céder, Non, non, c'est un effet de notre rêverie, Calirie aime Oronte, Oronte Calirie, Et l'on pourra plutôt allumer des glaçons, Et rendre les rochers fertiles en moissons, Que de pouvoir jamais éteindre cette flamme, Qu'un amour mutuel entre dans le âme:
Mourons doncques, mourons, & ceſſons d’eſperer Ce que ie ne dois pas ſeulement deſirer:	Mourons donc, mourons, et cessons d'espérer Ce que je ne dois pas seulement désirer:
Toutes fois l’amitié qu’Oronte me teſmoigne Semble m'offrir le port, lors que ie m'en eſloigne, Ie voy qu'il eſt touché ſi fort de mon ennuy, Que ie ne parois pas ſi malade que luy, Et ie ſerois ingrat à ceſte amitié forte, Si ie ne receuois le bon-heur qu’il m'apporte.	Toutes fois l'amitié qu'Oronte me témoigne Semble m'offrir le port, lors que sans m'en éloigne, Je vois qu'il est touché si fort de mon ennui, Que me ne parais pas si malade que lui, Et ainsi serais ingrat à cette amitié forte, Si ie ne receuois le bonheur qu'il m'apporte.
Mais voicy cét objet, autheur de mes douleurs, Voicy ces yeux vainqueurs cauſe de mes malheurs:	Mais voici cet objet, auteur de mes douleurs, Voici ces yeux vainqueurs cause de mes malheurs:
Adorons-la pourtant, c’eſt ſans idolatrie, La Maieſté des Dieux ſe trouue en Calirie, Oronte ie vois bien que c'eſt ſans fiction Que tu me veux ayder en mon affection.	Adorons-la pourtant, c'est sans idolâtrie, La Majesté des Dieux se trouve en Calirie, Oronte femme vois bien que c'est sans fiction Que tu me veux aider en mon affection.
ACTE PREMIER.	ACTE PREMIER.
SCENE VI.	SCÈNE VI.
CALIRIE ALIDOL.	CALIRIE ALIDOL.
CALIRIE.	CALIRIE.
Lidor voulés-vous eſtre touſiours malade, Durãt ceſte ſaiſon propre à la promenade, Que tout ſe reſiouyt, que les champs ſont ſi beaux, Que les arbres ont pris de viſages nouueaux, Vous à qui la ieuneſſe, & la beauté promett ent Tous les plus doux plaiſirs que les Dieux nous permettent, Qui vertueux, courtois, prudent en vos diſcours Aux meilleurs entretiens deuez paſſer vos iours,  iij	Lidor voulez-vous être toujours malade, Durant cette saison propre à la promenade, Que tout se resiouyt, que les champs sont si beaux, Que les arbres ont pris de visages nouveaux, Vous à qui la jeunesse, et la beauté promett ent Tous les plus doux plaisirs que les Dieux nous permettent, Qui vertueux, courtois, prudent en vos discours Aux meilleurs entretiens devez passer vos jours, iij
Mn muiaui mai Md a jdM mmav	Mn muiaui mai d a jusdu mémav
81 Voulez-vous donc laiſſer voſtre ame enſeuelie Dans les noires vapeurs de la melancholie, Et pour quelque chagrin conceu legerement, Ruiner voſtre eſtime, & voſtre iugement, Chaqu'vn eſt eſtonné de vostre maladie, Voyant qu'elle s'accroit lors qu'on y remedie, Voſtre oncie qui n'eſt plus qu'vn corps demy viuât, Ne ſe peut conſeruer, ſinon en vous ſauuant, On dit puhliquement, que ce n'est que triſteſſe, Que quelque desplaiſir dedans l’ame vous preſſe, Faut-il qu'vn deſpleiſir ſoit en vous ſi puiſſant Qu'il vous porte au deſir de vous voir languiſſant;	81 Voulez-vous donc laisser votre âme enseuelie Dans les noires vapeurs de la mélancolie, Et pour quelque chagrin conçu légèrement, Ruiner votre estime, et votre jugement, Chaqu'un est estonné de votre maladie, Voyant qu'elle s'accroît lors qu'on y remédie, Votre oncie qui n'est plus qu'à corps demi viuât, Ne se peut conserver, sinon en vous sauvant, On dit puhliquement, que ce n'est que tristesse, Que quelque déplaisir dedans l'âme vous presse, Faut-il qu'un dess soit en vous si puissant Qu'il vous porte au désir de vous voir languissant;
Non, non, braue Alidor, forcez ceſte manie, Chaſſez les mouuemens d’vn ſi triſte genie, Et recouurant bien toſt la force & la ſanté, Reprenez voſtre humeur, & voſtre gayeté, Que ſi vous perſiſtez en voſtre humeur farouche, On vous laiſſera ſeul languir dans voſtre couche, Perſonne ne voudra vous voir, ny vous ouyr, Ne parlez doncques plus que de vous reſiouyr.	Non, non, brave Alidor, forcez cette manie, Chassez les mouvements d'un si triste génie, Et recouvrant bien tôt la force et la santé, Reprenez votre humeur, et ainsi gaieté, Que si vous persistez en votre humeur farouche, On vous laissera seul languir dans votre couche, Personne ne voudra vous voir, ni vous ouïr, Ne parlez donc plus que de vous réjouir.
P mquuiu	 mquuiu
ALIDOR.	ÀLIDOR.
Parfaite Calirie, adorable merueille, Dõt le prudẽt diſcours, tout d’vn coup me reſueille, Et tire mes esprits d’vn aſſoupiſſement, Qui n'euſt iamais finy que dans le monument, Quelque iuſte triſteſſe où mon ame ſe plonge, Et de quelque ſoucy dont mon esprit ſe ronge, Que ie me trouue heureux parmy tous mes ennuis, Puis que vous me plaignez en l’eſtat out ie ſuis, Et que voſtre pitié pour moy trop fauorable, Prend part aux desplaiſirs d’vn hõme miſerable, Si vous ſçauiez pourtant quelle iuſte raiſon Me fait chercher ma mort, & non ma gueriſon, Vous diriez qu'Alidor eſt digne du tonnerre, Qu'il ne merile puruiomurenei ſui la terre, Et qu'il deuoit mourir dés le premier moment Nraeja;	Parfaite Calirie, adorable merveille, Domme le prudẽt discours, tout d'un coup me réveille, Et tire mes esprits d' assoupissement, Qui n'eût jamais fini que dans le monument, Quelque iuste tristesse où mon âme se plonge, Et de quelque souci dont mon esprit se ronge, Que je me trouve heureux parmi tous mes ennuis, Puis que vous me plaignez en l'état ou ie suis, Et que vôtre pitié pour moi trop fauorable, Prend part aux y hõme misérable, Si vous y pourtant quelle iuste raison Me fait chercher ma mort, et non ma guérison, Vous diriez qu'Alidor Et digne du tonnerre, Qu'il ne merile puruiomurenei zvi la terre, Et qu'il deuoit mourir dés le premier moment Nraeja;
CALIRIE.	CALIRIE.
Pourſuiuez, ne craignez nullement.	Poursuivez, ne craignez nullement.
ALIDOR.	ÀLIDOR.
Alidor que fais-tu, penſe à ton infortune Elle eſt particuliere, & tu la rends commune:	Alidor que fais-tu, pense à ton infortune Elle est particulière, et tu la rends commune:
Beauté qui pouuez tout, accordez-moy ce point, Que siteſtcommente, ie ne t'atnene point.	Beauté qui pouvez tout, accordez-moi ce point, Que sitestcommente, toujours ne t'atnène point.
CALIRIE.	CALIRIE.
Vous voila retombé dans vostre reſuerie, Il vous faut diuertir,	Vous voilà retombé dans votre rêverie, Il vous faut divertir,
ALIDOR.	ÀLIDOR.
Aimable Calirie, L’honneur de vous parler, de vous voir ſeulement, Surpaſſe le plaiſir du diuertiſſement, Vn regard de vos yeux, vn mot de voſtre bouche Me peuuent releuer de ceste triſte couche, Vous ſeule pouuez plus que tous les Medecins, Qui nous voulans guerir deuiennent aſſaßins.	Aimable Calirie, L'honneur de vous parler, de vous voir seulement, Surpasse le plaisir du divertissement, Un regard de vos yeux, un mot de votre bouche Me peuvent relever de cette triste couche, Vous seule pouvez plus que tous les Médecins, Qui nous voulant guérir deviennent assassins.
CALIRIE.	CALIRIE.
Si par mon entretien, & ſi par mes viſites Vous pouuez Alidor, guerir comme vous dites, I'eſpere en peu de temps de vous voir en ſanté:	Si par mon entretien, et si par mes visites Vous pouvez Alidor, guérir comme vous dites, J'espère en peu de temps de vous voir en santé:
Repoſez là deſſus.	Reposez là -dessus.
ALIDOR lors qu’on cache le lict.	ÀLIDOR lors qu'on cache le lit.
O Cienque ut vonte.	Ô Cienque ut vonte.
Oronte, Oronte, quel moyen de pouuoir recognoiſtre Eere eserremnte amtete que tu pie jais paroijtre.	Oronte, Oronte, quel moyen de pouuoir reconnaître Éère éerremnte amie que tu pie jais paraître.
CALIRIE ſeule.	CALIRIE seule.
Ou ie me trompe fort, ou i’ay bien recognu La nature du mal dont il eſt detenu, Tous ces begayemens, ces tranſports, ces œillades Ne ſont pas accidẽs communs aux corps malades, Mais quoy qu’il en puiſſe eſtre, il faut continuër Iuſqu'à ce que ſon mal vienne à diminuër, Alors ayant parfait ce que demande Oronte, Ie luy teſmoigneray qu'il a mal fait ſon conté, Et que ſans l’amitié que ſon oncle a pour luy, I'aurois ſans me faſcher ſupporté ſon ennuy:	Ou personne me trompe fort, ou j'ai bien reconnu La nature du mal dont il est détenu, Tous ces begayemens, ces transports, ces œillades Ne sont pas accids communs aux corps malades, Mais quoi qu’il en puisse être, il faut continuer Jusqu'à ce que son mal vienne à diminuer, Alors ayant parfait ce que demande Oronte, Je lui témoignerai qu'il a mal fait son conté, Et que sans l'amitié que son oncle à pour lui, J'aurais sans me fâcher supporté son ennui:
Mais que ne peut Oronte, à qui dés mon enfance I'ay ſur mes volontez donné toute puiſſance.	Mais que ne peut Oronte, à qui dès mon enfance J'ai sur mes volontés donné toute puissance.
.	.
.	.
2 - 2	2 - 2
ACTE SECOND.	ACTE SECOND.
SCENE I.	SCÈNE I.
CINTILLE ſous le nom d’Alcandre.	CINTILE sous le nom d'Alcandre.
ORCAN vieux Gentil-homme qui l’accompagne.	ORCAN vieux Gentilhomme qui l'accompagne.
CINTILLE.	CINTILE.
Ay bien changé de lieu, mais le meſme ſoucy Qui me troubloit chez moy, m'afflige encore icy.	Ai bien changé de lieu, mais le même souci Qui me troublait chez moi, m'afflige encore ici.
I’ay bien changé d’habit, mais non pas de fortune, Puis que la meſme ardeur encore m'importune,	J'ai bien changé d'habit, mais non pas de fortune, Puis que la même ardeur encore m'importune,
aa la dll a la las Que i'ay dedans le ſein, cét ennemy cruel Out me rend en tous lieux le mal continuel.	à la dll a la las Que j'ai dedans le sein, cet ennemi cruel Ut me rend en tous lieux le mal continuel.
2 Dieu dont la prouidence entretient toutés choſes, Qui des biens & des maux à ton plaiſir diſpoſes, As-tu fait noſtre ſexe ainſi foible & craintif.	2 Dieu dont la providence entretient toutés choses, Qui des biens et des maux à ton plaisir disposes, As-tu fait notre sexe ainsi faible et craintif.
Pour le tenir touſiours iniuſtement captif, L’as-tu fait ſans defenſe, afin qu'il ſoit la proye De ces monſtres cruels qui nous priuent de ioye De ces hommes ingrats, dont l’affront violent S’eſt acquis deſſus nous vn empire inſolent, Et bien ſi tu l’as fait, auecquelle tuſtice Es-tu noſtre ennemy, pour leur eſtre propice, Et pourquoy ſouffres-tu que nos yeux, & nos cœurs Seliguent contre nous pour ſuiure ces vainqueurs Nous trouuons de douceurs en ces tyrans infames Et nommons nos ambles pourreaux de nos ames Nous les aimons alors qu’ils nous peuuent hayr, Et nous fions en ceux qui nous veulent trahyr.	Pour le tenir toujours injustement captif, L'as-tu fait sans défense, afin qu'il soit la proie De ces monstres cruels qui nous privent de joie De ces hommes ingrats, dont l'affront violent S'est acquis dessus nous un empire insolent, Et bien si tu l'as fait, avecquelle tustice Es-tu notre ennemi, pour leur être propice, Et pourquoi souffres-tu que nos yeux, et nos cœurs Seliguent contre nous pour suivre ces vainqueurs Nous trouvons de douceurs en ces tyrans infâmes Et nommons nos ambles pourreaux de nos âmes Nous les aimons alors qu'ils nous peuuent haïr, Et lors fions en qu' ils nous veulent trahir.
ORCAN.	ORCAN.
Madame, où penſez-vous, finiſſez vos ſaillies, Da Les Dieux n'ont point de part en toutes vos folies, Leur prouidence eſt grande agiſſant deſſus nous, L'our va nomme trompeur ne iey otaſmez pas tous.	Madame, où pensez-vous, finissez vos saillies, Da Les Dieux n'ont point de part en toutes vos folies, Leur providence est grande agissant dessus nous, L'our va nomme trompeur ne Ami otismez pas tous.
CINTILLE.	CINTILE.
Orcan, que puis-ie faire, Alidor m'a ſeduite, I’ay quitté mon pays pour arreſter ſa fuite, I’ay laißé mes parens, oublie mon deuoir, Pour auoir le bon heur encoré de le voir:	Orcan, que puis-je faire, Alidor m'a séduite, J'ai quitté mon pays pour arrêter sa fuite, J'ai laissé mes parents, oublie mon devoir, Pour avoir le bon heur encoré de le voir:
ismon s eſt eycoutu acpuinojtre ay vince, Et ie me vois pourtant de ce bon heur priuée.	Xmon s' est eycoutu acpuinaître ai vince, Et personne me vois pourtant de ce bon heur privée.
JRCAN.	JRCAN.
Vne melancholie, à ce que l’on m'adit, Le tient depuis long temps malade dans vn lit, Sans qu'on puiſſe donner vne cauſe certaine Du cruel defplaiſir, dont s’entretient ſa peine, Peur eapre le remura qut jun amt reeh D’auoir quitté vos yeux le rend ſi languiſſant, Et l'on le peut iuger auec queique apparence.	Une mélancolie, à ce que l'on m'adit, Le tient depuis long temps malade dans un lit, Sans qu'on puisse donner une cause certaine Du cruel déplaisir, dont s'entretient sa peine, Peur eapre le remura qu' un amt reeh D'avoir quitté vos yeux le rend si languissant, Et l'on le peut juger avec queique apparence.
CINTILLE.	CINTILE.
Ah!	Ah!
ne me flatte point d’vne telle esperance.	ne me flatte point d'une telle rance.
ORCAN.	ORCAN.
Il faut voir Florintor, qui m’a deſia promis.	Il faut voir Florintor, qui m'a déjà promis.
Qii vous te feron vour ſi ioſt qu'il ſoit remis.	Ai vous te feron vour si tôt qu'il soit remis.
LINTILLE.	LINTILE.
Mais il est amoureux ſi fort de Meliſſee, Qu'il porte rarement autre part ſa penſee.	Mais il est amoureux si fort de Mélisse, Qu'il porte rarement autre part sa pensée.
Le voicy, ORCAN.	Le voici, ORCAN.
CINLILLE.	CINLILE.
Florintor.	Florintor.
FLORINTOR.	FLORINTOR.
Ie vous allois chercher, Alidor auiourd’huy commence de marcher, Ie le viens de quitter fort ſatisfat uupprendre, Qu’il eſtoit cher encor au ſouuenir d’Alcandre, Et ne tiendra qu'a vous que vous ne le voyez.	Je vous allais chercher, Alidor aujourd'hui commence de marcher, Je le viens de quitter fort satisfat upprendre, Qu'il était cher encor au souvenir d'Alcandre, Et ne tiendra qu'a vous que vous ne le voyez.
DINTILLE.	DINTILLE.
I'estime maintenant vos ſoins bien employez.	J'estime maintenant vos soins bien employés.
Allons-y,	Allons-y,
LORINTOR.	LORINTOR.
vous voyez auparauant la belle, e v l7.	vous voyez auparavant la belle, e v l7.
* D iii Qui depuis ſi long temps ſe monstre ſi cruelle, Et nous viſiterons Alidor ſur le ſoir, Aaujatuienne peutxona ceſte Deure le voir.	* D Di Qui depuis si long temps se montre si cruelle, Et nous visiterons Alidor sur le soir, Aaujatuienne peutxona cette Deure le voir.
TILLE.	TILLE.
Allons ſi vous croyez que ie vous ſois vtile.	Allons si vous croyez que ici vous sois utile.
FLORINTOR.	FLORINTOR.
Ie croy que vos diſcours me la rendront facile.	Je crois que vos discours me la rendront facile.
ACTE SECOND.	ACTE SECOND.
SCENE II.	SCÈNE II.
MELTSSEE ſeule.	MELTSE seule.
Y Ne ſecrette ardeur ſe gliſſe dans mes os, Qui me gaſte l’esprit, & m'oſte le repos.	Y Ne secrète ardeur se glisse dans mes os, Qui me gâte l'esprit, et m'ôte le repos.
Que fais-tu, ma raiſon, ſerois-tu bien laſſeé De regler les transports qui troublent Meliſſee.	Que fais-tu, ma raison, serais-tu bien lasseé De régler les transports qui troublent Mélisse.
Non, nõ, viens empeſcher que ce laſche vainqueur Te chaſſant de chez moy ne me gaigne le cœur, Que dis-ie qu'il ne gaigne, il le tient, il l’emporte, Et pour luy reſiſter tu n’es pas aſſez forte, Ceſte ieune beaute, ceſte aimable douceur, Que fait voir à mes yeux ce nouueau rauiſſeur, Ce teint pareil aux fleurs que l’õ n'a point touchees,	Non, non, viens empêcher que ce lâche vainqueur Te chassant de chez moi ne me gagne le cœur, Que dis-je qu'il ne gagne, il le tient, il l'emporte, Et pour lui résister tu n'es pas assez forte, Cette jeune beau, cette aimable douceur, Que fait voir à mes yeux ce nouveau ravisseur, Ce teint pareil aux fleurs que l'on n'a point touchées,
Et mille autres beautez en ſon esprit cachees, Me rauiſſent les ſens, & forcent ma raiſon D’adorer ſon vainqueur, & d’aimer ma priſon, Reprens, reprens tes ſens, force ceste manie, Reiette les conſeils d’vn ſi mauuais genie, Mets-toy deuant les yeux l’humeur des ieunes gens, Qui ſe voyans aimez font plus de ſobligeants, Ce n'eſt qu'vn eſtranger de qui la vaine gloire Mespriſera peut-eſtre vne telle victoire, Et s’il eſt engagé, ſon inſolent meſpris Luy fera negliger le cœur qu’il aura pris, Inutiles penſers, images effacées Par celles que l’amour a dans mon cœur tracées, Foibles reſſentimens ne me reſiſtez plus, Voſtre deſir eſt vain, vos efforts ſuperflus.	Et mille autres beautés en son esprit caches, Me ravissent les sens, et forcent ma raison D'adorer son vainqueur, et d'aimer ma prison, Reprends, reprens tes sens, force cette manie, Rejet les conseils d'un si mauvais génie, Mets-toi devant les yeux l'humeur des jeunes gens, Qui se voyant aimez font plus de sobligeants, Ce n'est qu'un étranger de qui la vaine gloire Mesprisera peut-être une telle victoire, Et s'il est engagé, son insolent mépris fera négliger le cœur il a pris, Né pensersgimages effacées Par celles que amour a dans le cœur tracées, Foibles ressentimens ne me résistez plus, Et forest vain, l' efforts ur.
L’adorable ſuiet de mon inquietudé A de perſections, qui ſont tout mon eſtude, Qui ſont tout mõ bonheur, ma raiſon & mes ſoins, Inſenſibles objets, vous en eſtes teſmoins, Ie ne l’ay dit qu'à vous, car mon ardeur ſecrette	L'adorable sujet de mon inquiétudé À de perséctions, qui sont tout mon étude, Qui sont tout mon bonheur, ma raison et mes soins, Insensibles objets, vous en êtes témoins, Je ne l'ai dit qu'à vous, car mon ardeur secrète
N'a	N'a
N’a point les mouuemens de ma flame indiſcrette.	N'a point les mouvements de ma flamme indiscrète.
O Dieux!	Ô Dieux!
ie ſuis ſurpriſe, aſſeurons nos ecprits, Et les forçons à feindre encore qu’ils ſoient pris, I'oy venir quelques-vns, l’agreable viſite, Si cét autre importun n'eſtoit pas de ſa ſuite, N’importe ie feindray d’auoir pitié de luy, Et d’eſtre reſoluë à finir ſon ennuy:	Que suis surprise, assurons nos ecprits, Et les forçons à feindre encore qu'ils soient pris, J'ois venir quelques-uns, l'agréable visite, Si cet autre importun n'était pas de sa suite, N'importe autre feindrai d'avoir pitié de lui, Et d'être résolue à finir son ennui:
Mais de façon pourtant que le diuin Alcandre, S’il ne manque d’esprit, me pourra bien entendre.	Mais de façon pourtant que le divin Alcandre, S'il ne manque d'esprit, me pourra bien entendre.
ACTE SECOND.	ACTE SECOND.
SCENE III.	SCÈNE III.
TLORINTOR.	TLORINTOR.
CINTILLE.	CINTILE.
NIELISSEES	NIELISESES
FLORINTOR.	FLORINTOR.
Adame, pardonnez ceſte inciuilité, Puis qu'elle ne nous vient que de voſtre beauté.	Adame, pardonnez cette incivilité, Puis qu'elle ne nous vient que de votre beauté.
Nous auons diuerty l’aimable reſuerie, Qui vous entretenoit dans ceſte galerie:	Nous avons diverti l'aimable rêverie, Qui vous entretenait dans cette galerie:
3 Mais l’amour dans mon ſein est pour vous ſi puiſſant, Que loin de vos beaux yeux ie meurs en languiſſant, Et pour ceſte raiſon, ie me croirois coupable Des crimes dont iamais vn homme fuſt capable, Si ie laiſſois paſſer la moindre occaſion De monſtrer quelque effect de mon affection;	3 Mais l'amour dans mon sein est pour vous si puissant, Que loin de vos beaux yeux mis meurs en languissant, Et pour cette raison, je me croirais coupable Des crimes dont jamais un homme fut capable, Si tu laissois passer la moindre occasion De montrer quelque effet de mon affection;
Quoy que depuis deux ans que ma paßion dure, 35 Vous ayez ry touſiours des tourmẽs que i’endure, Que voſtre cruauté ne m'ayt point fait de iour Pour donner quelque eſpoir à mon fidelle amour.	Quo que depuis deux ans que ma passion dure, 35 Vous ayez ry toujours des tourments que j'endure, Que votre cruauté ne m'ait point fait de jour Pour donner quelque espoir à mon fidèle amour.
MELISSEE.	MELISEE.
Les bommes, Florintor, ont certaine ſcience A feindre leurs tranſports, & leur impatience Que nos foibles eſprits peuuent malaisément Aſſeoir ſur leurs diſcours vn foible iugement, C’eſt pourquoy, Florintor, de peur d’eſtre ſurpriſe Ie ry de vos diſcours, & de voſtre entrepriſe, Et ſi vous me voulez obliger deſormais, Lors que vous me verrez ne m'en parlez iamais, C'eſt trop m’importuner de vos chimeres vaines, Trop me rompre l’eſprit de vos maux, de vos chaiſ	Les bommes, Florintor, ont certaine science À feindre leurs transports, et leur impatience Que nos faibles esprits peuvent malaisément Asseoir sur leurs discours un faible jugement, C'est pourquoi, Florintor, de peur d'être surprise Je ri de vos discours, et de votre entreprise, Et si vous me voulez obliger désormais, Lors que vous me verrez ne m'en parlez jamais, C'est trop m'importuner de vos chimères vaines, Trop me de vos esprit de vos chais, de vos chais
CINTILLE.	CINTILE.
nes.	nés.
Meliſſee, ah!	Mélissee, ah!
c'eſt trop, retractez, retractez,	c'est trop, rétractez, rétractez,
E u En faueur d’vn Amant ces grandes cruautez Ne de ſesperez point vn homme dont la flâme Eſt toute de respect, toute exempte de blâme, Qui vous aime ſi fort, que deux ans de mespris N’ont encore changé ſes amoureux eſprits, Il a de qualitez ſi belles, & ſi rares, Qu'il ſe feroit aimer des ames plus barbares, meje te decenbauun pan ſiuumomme volis, Ie vous diſputerois vn entretien ſi doux.	 Eu En faveur d'HanNant ces grandes cruautés Ne de sespérez point un homme dont la flamme Est toute de respect, toute exempte de blâme, Qui vous aime si fort, que deux ans de mépris N'ont encore changé ses amoureux esprits, Il a de qualités si belles, et si rares, Qu'il se ferait aimer des âmes plus barbares, me te decenbauun pan siuumomme volis, Je vous disputerais un entretien si doux.
MELISSEE.	MELISEE.
Vous ne le faites voir auecques tant de charmes, Qu’enfin vous me pourriez faire rendre les armes, Et bien, bien Florintor, eſperez en vos feux, Puis qu’vn ſecõdl ſi fort ſe viẽt ioindre à vos vœux.	Vous ne le faites voir auecques tant de charmes, Qu'enfin vous me pourriez faire rendre les armes, Et bien, bien Florintor, espérez en vos feux, Puis qu'un secondl si fort se vie ioindre à vos vœux.
PMORINPOR.	PMORINPOR.
O bien-heureux Amant, pourueu que Meliſſee, Auec ce peu de mots explique ſa penſee.	Ô bienheureux Amant, pourvu que Mélissee, Avec ce peu de mots explique sa pensée.
MELISSEE.	MELISEE.
Mais vous, dõt les diſcours monſtrẽt à deſcouuert, Que d’vn trait amoureux voſtre cœur eſt ouuert, Ie croy que la beauté, qui de vous eſt ſeruie, Paſſe en vos entretiens vne fort douce vie, Et que d’vn meſme coup tous vos deux cœurs bleſE bhreciproque amon ſe jont retompenjez.	Mais vous, dont les discours montrent à découvert, Que d'un trait amoureux votre cœur est uert, Je crois que la beauté, qui de vous est servie, Passe en vos entretiens fort douce vie, Et que d'un même coup tous vos deux cœurs blesE bhreciproque amon se jont retompensés.
CINTILLE.	CINTILE.
Que vous renouuelez vne playe indicible, La cruelle, au contraire, eſt du tout inſenſible, Elle me fait ainſi qu'vn cruel ennemy, Et ne m'a point encor eſcoûté qu'à demy, C’eſt elle qui m’a fait errer ſans eſperance, Et dont les cruautez m'ont fait venir en Prance, Mais, Madame, laiſſons cét entretien faſcheux.	Que vous renouverez une plaie indicible, La cruelle, au contraire, est du tout insensible, Elle me fait ainsi qu'un cruel ennemi, Et ne m'a point encor écouté qu'à demi, C'est elle qui m'a fait errer sans espérance, Et dont les cruautés m'ont fait venir en Prance, Ma, Dame, laissons cet entretien fâcheux.
MELISSEE.	MELISEE.
Les hommes plus aimez ſe feignent malheureux, Et quoy que vous diſiez vous auez quelque grace Capable d’eſchaufer les marbres & la glace, Et c’eſt trop affecter ceſte ſeuerité, Que de vouloir parler contre la verité, Et n'imaginez pas que ie vous tienne quitte, Lors que vous m’aurez dit ſon nõ, & ſon merite, Si vous eſtes courtois, vous nous direz encor Quel eſt l’heureux pays qui gartuinreſor.	Les hommes plus aimés se feignent malheureux, Et quoi que vous disiez -vous avez quelque grâce Capable d'échauffer les marbres et la glace, Et c'est trop affecter cette sévérité, Que de vouloir parler contre la vérité, Et n'imaginez pas que je vous tienne quitte, Lors que vous m'aurez dit son nom, et son mérite, Si vous êtes courtois, vous nous direz encor Quel est l'heureux pays qui gartuinres.
CINTILLE.	CINTILE.
xrradame,tacujea’moy, ſrie vons le reſnſe.	Uxradame,tacujea’-moi, srie vons le rênse.
FLORINTOR.	FLORINTOR.
Non, non, Alcandre, non, ne cherchez point d’excuſe, Accordez, s’il vous plaiſt, à nos iuſtes deſirs Le recit de vos maux, & de vos deſplaiſirs, y enx errerer pea a vnt ounenererue, Qu'vn refus deuiendroit vne offenſe mortelle.	Non, non, Alcandre, non, ne cherchez point d'excuse, Accordez, s'il vous plaît, à nos justes désirs Le récit de vos maux, et de vos déplaisirs, y enx errer pérer a vnt ounenererue, Qu'à -fus deviendrait une offense mortelle.
CINTILLE.	CINTILE.
Et bien quand ie deurois ſouffrir mille tourmens Au recit malheureux de mes feux vehemens, Ie vous feray ſçauoir que lle fuſt leur naiſſance, Et qui ſont les beaux yeux dont ie ſens la puiſſance.	Et bien quand ici devrais souffrir mille tourments Au récit malheureux de mes feux vehemens, Je vous fera y que fût leur naissance, Et qui sont les beaux yeux dont toutes sens la puissance.
NALLTOGEC.	NALTOGEC.
Nous ſerons dans ma chambre auec plus de repos, Perſonne n'y viendra rompre noſtre propos.	Nous serons dans ma chambre était plus de repos, Personne n'y viendra rompre notre propos.
CINTILLE tout bas.	CINTILE tout bas.
Il ſera bien aisé d’inuenter quelque ſonge, Et de couurir mes feux de l’ombre du menſonge.	Il sera bien aisé d'inventer quelque songe, Et de couvrir mes feux de l'ombre du mensonge.
F2 – 1 --e ſc	F2 4 1 aise sc
ACTE SECOND.	ACTE SECOND.
SCENE IV.	SCÈNE IV.
ORONTE.	ORONTE.
ALIDOR.	ÀLIDOR.
ORONTE ſeul.	ORONTE seul.
Nn’a iamais parlé de ſemblable malheur, Ie trauaille moy-meſme à nourrir ma douleur, Ie ſuis ingenieux à chercher mon dommage, Et fais des coups de fou pour me mõſtrer trop ſage, N'eſt-ce pas eſtre fou de faire des efforts De conſeruer autruy pour ſouffrir mille morts.	Nn’a jamais parlé de semblable malheur, Je travaille moi-même à nourrir ma douleur, Je suis ingénieux à chercher mon dommage, Et fais des coups de foulé pour me montrer trop sage, N'est-ce pas être fou de faire des efforts De conserver autrui pour souffrir mille morts.
Car de quelque façon que mon ſoin reußiſſe, Ie voy touſiours ouuert pour moy le precipice, Si Calirie l’aime & finit ſon tourment, Ie ne ſouffriray pas vne mort ſeulement, Que ſi ceſte amitié qu'elle m'a tant iurée, Au malheur d’Alidor la rendoit coniurée, Que deuiendrois-ie, ô Dieux!	Car de quelque façon que mon soin reussisse, Je vois toujours ouvert pour moi le précipice, Si Calirie l'aime et finit son tourment, Je ne souffrirai pas une mort seulement, Que si cette amitié qu'elle m'a tant jurée, Au malheur d'Alidor la rendait conjurée, Que deviendrais-je, ô Dieux!
ſi ie voyois perir Celuy que de mon ſang ie voudrois ſecourir, Que de confuſionmet l’amour dans mon ame, Ie voudrois conſeruer Alidor, & ma flame, Et ie me voy contraint de perdre l’vn des deux, Ie puis ſauuer pourtant en moy-meſme mes feux, Encore qu'Alidor espouſe Calirie, Le voicy tout plongé dedans ſa reuerie.	si ici voyais périr Celui que de mon sang ie voudrais secourir, Que de confusionmet l'amour dans mon âme, Je voudrais conserver Alidor, et ma flamme, Et ainsi me vois contraint de perdre l'un des deux, Je puis sauver pourtant en moi-même mes feux, Encore qu'Alidor épouse Calirie, Le voici tout plongé dedans sa rêverie.
ALIOOR.	ÀLIOR.
