LA A REINE REGENTE.	LA A REINE RÉGENTE.
Que ta rebellion m’euſt eſté favorable!	Que ta rébellion m'eût été favorable!
Qu’elle m’euſt garanty d’un eſtat déplorable;	Qu'elle m'eût garanti d'un état déplorable;
Si quelque eſpoir me reſte il n’eſt plus aujourd’huy.	Si quelque espoir me reste il n'est plus aujourd'hui.
qu'en rabioru pouvoir qu’il te donnoit ſur luy;	qu'en rabioru pouvoir qu'il te donnait sur cet;
Menage en ma faveur l’amour qui le poſſede, Et d’où previent mon mal fay ſorty le remede.	Ménage en ma faveur l'amour qui le possède, Et d'où prévient mon mal fais sorti le remède.
PAVLINE.	PAULINE.
Moy, moy, que je renvoye un ſi puiſſant vainqueur, Et m’expoſe à des yeux qui me percent le cœur !	Moi, moi, que je renvoie un si puissant vainqueur, Et m'expose à des yeux qui me percent le cœur !
Mon pere, je ſuis femme, & je ſçay ma foibleſſe, Je ſens déja mon cœur qui pour luy s’intereſſe, Et pouſſera ſans doute en dépit de ma foy Queique roupi indigne e de vous & de moy, le ne le verray point,	Mon père, je suis femme, et je sais ma faiblesse, Je sens déjà mon cœur qui pour lui s'intéresse, Et poussera sans doute en dépit de ma foi Que roupy indigne de vous et de moi, le ne le verrai point,
FELIX.	FELIX.
R’aſſeure un peu ton ame.	R'assure un peu ton âme.
PAVLINE.	PAULINE.
Il eſt toûjours aymable, & je fuis toujours femme Dans le pouvoir ſur moy que ſes regards ont eu, e ne me reſponds pas de toûte ma veitd.	Il est toujours aimable, et je fuis toujours femme Dans le pouvoir sur moi que ses regards ont eu, ne me réponds pas de toûte ma vitd.
e ne le verray point :	Je ne le verrai point :
FELIX.	FELIX.
Il faut le voir, ma fille, Du tu trahis ton pere & toute ta famille.	Il faut le voir, ma fille, Du tu trahis ton père et toute ta famille.
PAVLINE.	PAULINE.
’eſt à moy d’obeyr puis que vous commandez, ſais voyez les perils où vous me hazardez.	Ç'est à moi d'obéir puis que vous commandez, sais voyez les périls où vous me hasardez.
B 2 FELIX.	 2 FELIX.
FELIX.	FELIX.
Ta vertu m’eſt connuë.	Ta vertu m'est connue.
PAVLINE.	PAULINE.
Elle vainera ſans doute, Ce n’eſt pas le ſuccés que mon ame redoute, Je crains ce dur combat, & ces troubles puiſſans Que fait déja chez, moy la revolte des ſens.	Elle vainera sans doute, Ce n'est pas le succès que mon âme redoute, Je crains ce dur combat, et ces troubles puissants Que fait déjà chez, moi la révolte des sens.
Mais puis qu’il faut combattre un ennemy que j’ayme, Souffrez que je me puiſſe armer contre moy-meſme.	Mais puis qu'il faut combattre un ennemi que j'aime, Souffrez que je me puisse armer contre moi-même.
Et qu’un peu de loiſir me prepare à le voir.	Et qu'un peu de loisir me prépare à le voir.
ELIX.	ÉLIX.
iniqu'au devant des inurs je vas le recevoir.	iniqu'au devant des inurs je vas le recevoir.
Rappelle cependant tes forces eſtonnées, Et ſonge qu’en tes mains tu tiens nos deſtinées,	Rappelle cependant tes forces étonnées, Et songe qu'en tes mains tu tiens nos destinées,
AVLINE.	AULINE.
Ouy, je vay de nouveau dompter mes ſentimens Pour ſervir de vietiine à vos commandemens.	Oui, je vay de nouveau dompter mes sentiments Pour servir de viétiine à vos commandements.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SEVENE, FABIAN.	SEUENE, FABIAN.
SEVERE.	SÈVRE.
Ependant que Felix donne ordre au ſacriO fice 60 Pourray-je prendre un temps à mes vœux ſi propice?	Ependant que Félix donne ordre au sacriO fiée 60 Pourrai-je prendre un temps à mes vœux si propice?
Pourray - je voir Pauline, & rendre à ſes beaux yeux L’hommage ſouverain que l’on va rendre aux Dieux ne ne t ay pomt cere que ceſt ce qui m’amene, Du reſte mon eſprit ne s’en met guere en peine Je viens ſacrifier, mais c’eſt a ſes beautez Que je viens immoler toutes mes volontez.	Pourrai - je voir Pauline, et rendre à ses beaux yeux L'hommage souverain que l'on va rendre aux Dieux ne ne t ai pompt ce que cet ce qui m’amene, Du reste mon esprit ne s'en met guère en peine Je viens sacrifier, mais c'est à ses beautés Que je viens immoler toutes mes volonté.
FABIEN.	FABIEN.
Vous la verrez, Seigneur.	Vous la verrez, Seigneur.
SEVERE.	SÈVRE.
Ah, quel comble de joye !	Ah, quel comble de joie !
Cét adorable objet conſent que je le voye!	Cet adorable objet consent que je le voie!
Mais ay-je ſur ſon ame encor quelque pouvoir?	Mais ai-je sur son âme encor quelque pouvoir?
En luy parlant de moy l’as tu veû s’émoûvoir?	En tu parlant de moi l'as tu veu s'émoûvoir?
Quel trouble, quel tranſport luy cauſe ma venuë?	Quel trouble, quel transports lui cause ma venue?
Puis-je tout eſperer de cette heureuſe veuë?	Puis-je tout espérer de cette heureuse vue?
Car je voudrois mourir plûtoſt que d’abuſer Des lettres de faveur que j’ay pour l’eſpouſer;	Car je voudrais mourir plutôt que d'abuser Des lettres de faveur que j'ai pour l'épouser;
Eiies	Éiies
Elles ſont pour Felix, non pour triompher d’elle, ſamais à ſes deſirs mon cœur ne fut rebelle?	Elles sont pour Félix, non pour triompher d'elle, samais à ses désirs mon cœur ne fut rebelle?
Et ſi mon mauvais ſort avoit changé le ſien, Je me vaincrois moy-meſme, & ne pretendrois rien.	Et si mon mauvais sort avait changé le sien, Je me vaincrais moi-même, et ne prétendrais rien.
FABIAN.	FABIAN.
Vous la verrez, c’eſt tout ce que je vous puis dire.	Vous la verrez, c'est tout ce que je vous puis dire.
SEVERE.	SÈVRE.
D'ou vient que tu fremis, & que ton cœur ſoûpire?	D'ou vient que tu frémis, et que ton cœur soupire?
Ne m’ayme-t’elle plus?	Ne m'aime-t-elle plus?
éclaircy moy ce point.	éclairci moi ce point.
FABIAN.	FABIAN.
M’en croiriez-vous, Seigneur !	M'en croiriez-vous, Seigneur !
ne la revoyez, point, Portez en lieu plus haut l’honneur de vos careſſes, vous trouverez à Rome allez d’autres Maiſtreſſes, Et dans ce haut degré de puiſſance & d’honneur, Les plus grands y tiẽdront voſtre amour à bonheur.	ne la revoyez, point, Portez en lieu plus hauteurhonneur de vos caresses, vous trouverez à Rome allez d'autres Maîtresses, Et dans ce haut degré de puissance et d'honneur, Les plus grands y tien ne amour à bonheur.
SEVERE.	SÈVRE.
Qu’à des penſées ſi baſſes mon ame ſe ravale!	Qu'à des pensées si basses mon âme se ravale!
Que je tienne Pauline à mon ſort inégale!	Que je tienne Pauline à mon sort inégale!
Elle en a mieux uſé, je la dois imiter, Je n’ayme mon bon-heur que pour la meriter.	Elle en a mieux usé, je la dois imiter, Je n'aime mon bonheur que pour la mériter.
Voyons-la, Fabian, ton diſcours m’importune, Allons mettre à ſes pieds cette haute fortune, Je l’ay dans les combats trouvée heureuſement En enerehant une mort digne de ſon Amant:	Voyons-la, Fabian, ton discours m'importune, Allons mettre à ses pieds cette haute fortune, Je l'ai dans les combats trouvée heureusement En enerehant une mort digne de son Amant:
Ain ſi ce rang eſt ſien, cette faveur eſt ſienne.	Ain si ce rang est sien, cette faveur est sienne.
Et je n’ay rien enfin que d’elle je ne tienne.	Et je n'ai rien enfin que d'elle je ne tienne.
FABIAN.	FABIAN.
Non, mais encore un coup ne la revoyez point.	Non, mais encore un coup ne la revoyez point.
SMERE.	SMERE.
Ah!	Ah!
c’en eſt trop, enfin éclaircy-moy ce point, As-tu veû des froideurs quand tu l’en as priée?	c'en est trop, enfin éclairci-moi ce point, As-tu vu des froideurs quand tu l'en as priée?
FABIAN.	FABIAN.
Je tremble à vous le dire, elle eſt.	Je tremble à vous le dire, elle est.
SEVE	SEVE
SEVERE.	SÈVRE.
Quoy ?	Quoi ?
FABIAN.	FABIAN.
Mariée.	Mariée.
SEVERE.	SÈVRE.
bouitien moy, rabian, ce coup de foudre eſt grand, Et frappe d’autant plus que plus il me ſurprend.	bouitien moi, rabian, ce coup de foudre est grand, Et frappe d'autant plus que plus il me surprend.
FADEnIV.	FADEnIV.
Seigneur, qu’eſt devenu ce genereux courage?	Seigneur, qu'est devenu ce généreux courage?
SEVERE.	SÈVRE.
La conſtance eſt icy d’un difficile uſage, De pareil déplaiſirs accablent un grand cœur, La vertu la plus maſle en perd toute vigueur;	La constance est ici d'un difficile usage, De pareil déplaisirs accablent un grand cœur, La vertu la plus mâle en perd toute vigueur;
Et quand d’un feu ſi beau les ames ſont épriſes, La Mort les trouble moins que de telles Iurpriſes J’ay de la peine encor à croire tes diſcours, Pauline eſt mariée !	Et quand d'un feu si beau les âmes sont éprises, La Mort les trouble moins que de telles Jurprises J'ai de la peine encor à croire tes discours, Pauline est mariée !
FABIAN.	FABIAN.
Ouy, depuis quinze jours, Polyeucte, un Seigneur des premiers d’Armenie Gouſte de ſon Hymen, la douceur infinie.	Oui, depuis quinze jours, Polyeute, un Seigneur des premiers d'Arménie Goûte de son Hymen, la douceur infinie.
SEVERE.	SÈVRE.
Je ne la puis du moins blaſmer d’un mauvais choix Polyeucte a du nom & ſort du ſang des Rois.	Je ne la puis du moins blâmer d'un mauvais choix Polieute à du nom et sort du sang des Rois.
Foibles ſoulagemens d’un malheur ſans remede, Pauline, je verray qu’un autre vous poſſede !	Faibles soulagements d'un malheur sans remède, Pauline, je verrai qu'un autre vous possède !
O Ciel qui malgré moy me renvoyez au jour.	Ô Ciel qui malgré moi me renvoyez au jour.
O fort qui redonniez l’eſpoir à mon amour.	Ô fort qui redonniez l'espoir à mon amour.
Reprenez la faveur que vous m’avez preſtée, Et rendez moy la moit que vous m’avez oſtée.	Reprenez la faveur que vous m'avez prêtée, Et rendez moi la moit que vous m'avez ôtée.
Voyons la toutefois, & dans ce triſte lieu Achevons de mourir en luy diſant adieu:	Voyons la toutefois, et dans ce triste lieu Achevons de mourir en lui disant adieu:
Que mon cœur chez les morts emportant ſon image, De fon dernier iouipir luy puiſſe faire hommage.	Que mon cœur chez les morts emportant son image, De son dernier jouipir ton puisse faire hommage.
FABIAN.	FABIAN.
Sei g neur, conſideré.	Si g eur, considéré.
SEVERF.	SEUERF.
Tout eſt conſideré, Quer deſordre pour craindre un cœur deſeſperé?	Tout est considéré, Quer désordre pour craindre un cœur désespéré?
N’y conſent-elle pas?	N'y consent-elle pas?
TABIAN.	TABIAN.
Oüy, Seigneur, mais.	Oui, Seigneur, mais.
SEVLKE.	SEULE.
N’importe.	N'importe.
FABIAN.	FABIAN.
Cette vive douleur en deviendra plus forte.	Cette vive douleur en deviendra plus forte.
SEVENE.	SEUENE.
Et ce n’eſt pas un mal que je veuïlle guerir, Je ne veux que la voir, ſouſpirer, & mourir.	Et ce n'est pas un mal que je veuille guérir, Je ne veux que la voir, soupirer, et mourir.
FABIAN.	FABIAN.
Vous vous échapperez ſans doute en ſa preſence, vn Amant qui perd tout n’a plus de complaiſance, Dans un tel deſeſpoir il ſuit ſa paſſion, Et ne pouſſe qu’injure & qu’imprecation.	Vous vous échapperez sans doute en sa présence, un Amant qui perd tout n'a plus de complaisance, Dans un tel désespoir il suit sa passion, Et ne pousse qu'injure et qu'imprécation.
SEVERE.	SÈVRE.
Juge autrement de moy, mon reſpect dure encore, Tout violent qu’il eſt, mon deſeſpoir l’adore;	Juge autrement de moi, mon respect dure encore, Tout violent qu'il est, mon désespoir l'adore;
Quels reproches auſſi peuvent m’eſtre permis?	Quels reproches aussi peuvent m'être permis?
Dequoy puis-je accuſer qui ne m’a rien promis?	Dequoy puis-je accuser qui ne m'a rien promis?
Elle n’eſt point parjure, elle n’eſt point legere, Son devoir m’a trahy, mon malheur & ſon pere.	Elle n'est point parjure, elle n'est point légère, Son devoir m'a trahi, mon malheur et son père.
Mais ſon devoir fut juſte, & ſon pere eut raiſon, J’impute à mon malheur toute la trahiſon, Vn peu moins de fortune & plûtoſt arrivée Eut gagné l’un par l’autre & me l’euſt conſeryée, Trop heureux, mais trop tard, je n’ay pu l’acquerir, Laiſſe-la moy donc voir, ſouſpirer & mourir.	Mais son devoir fut juste, et son père eut raison, J'impute à mon malheur toute la trahison, Un peu moins de fortune et plutôt arrivée Eut gagné l'un par l'autre et me l'eût conseryée, Trop heureux, mais trop tard, je n'ai pu l'acquérir, Laisse-la moi donc voir, souspirer et mourir.
FABIAN.	FABIAN.
FABIAN, Oüy, je vay l’aſſeurer qu’en ce maleheur extreme Vous eſtes aſſez fort pour vous vaincre vous-meſme Elle a craint comme moy ces premiers mouvemens Qu’une perte impréveuë arrache aux vrays Amans, Et la violence excite aſſez de trouble, ouns que robjet preſent l’irrite & la redouble.	FABIAN, Oui, je vais l'assurer qu'en ce maleheur extrême Vous êtes assez fort pour vous vaincre vous-même Elle a craint comme moi ces premiers mouvements Qu'une perte imprévue a aux vrais Amants, Et la violence excite assez de trouble, ouns que robjet présent l'irrite et la redouble.
Fabian, je la voy.	Fabian, je la vois.
SEVERE.	SÈVRE.
4	4
FABIAN.	FABIAN.
Seigneur, ſouvenez-vous.	Seigneur, souvenez-vous.
oBY Enue Helas:	oBY Enue Hélas:
elle ayme un autre, un autre eſt ſon eſpoux.	elle aime un autre, un autre est son époux.
SCENE II.	SCÈNE II.
SEVERE, PAVLINE, STRATONICE, FABIAN.	SÈVRE, PAULINE, STRATONICE, FABIAN.
PAVLINE.	PAULINE.
Ty, je l’ayme, Severe, & n’en fais point dexcuſe, Que tout autre que moy vous flatte & vous abuſe, Pauline à l’ame noble & parle a cœur ouvert, Le bruit de voſtre mort n’eſt point ce qui vous pert.	Ty, je l'aime, Sevère, et n'en fais point dexcuse, Que tout autre que moi vous flatte et vous abuse, Pauline à l'âme noble et parle a cœur ouvert, Le bruit de votre mort n'est point ce qui vous pert.
Si le Ciel en mon choix eut mis mon Hymenée, A vos ſeules vertus je me ſerois donnée,	Si le Ciel en mon choix eut mis mon Hyménée, À vos seules vertus je me serais donnée,
Et Et toute la rigueur de voſtre premier ſort Contre voſtre merite eut fait un vain effort?	Et Et toute la rigueur de votre premier sort Contre votre mérite eut fait un vain effort?
Je deſcouvris en vous d’aſſez illuſtres marques Pour vous preferer meſme au plus heureux Monarques?	Je découvris en vous d'assez illustres marques Pour vous préférer même au plus heureux Monarques?
Mais puis que mon devoir m’impoſoit d’autres loix De quelque Amant pour moy que mon pere euſt fait choix, Quand à ce grand pouvoir que la valeur vous donne, Vous auriez adjouſté l’éclat d’une Couronne.	Mais puis que mon devoir m'imposait d'autres lois De quelque Amant pour moi que mon père eût fait choix, Quand à ce grand pouvoir que la valeur vous donne, Vous auriez ajouté clat d'une Couronne.
Quand je vous aurois veû, quand je l’aurois hay, 8 en aurois fouſpire mais;	Quand je vous aurais vu, quand je l'aurais haï, 8 en aurais fouspire mais;
aurois obey, Et ſur mes paſſions ma raiſon ſouveraine Euſt blaſmé mes ſouſpirs & diſſipé ma haine.	aurais obéi, Et sur mes passions ma raison souveraine Eut blâmé mes soupirs et dissipé ma haine.
SEVERE.	SÈVRE.
Que vous eſtes heureuſe, & qu’un peu de ſouſpirs.	Que vous êtes heureuse, et qu'un peu de soupirs.
Vous acquite aiſement de tous vos deſplaiſis!	Vous acquite aisément de tous vos déplaisis!
Ainſi de vos deſirs touſiours Reine abſoluë, Les plus grands changemens vous trouvent reſoluë De la plus forte amour vous portez vos eſprits Iuſqu’à l’indifference, & peut-eſtre au meſpris, Et voſtre fermeté fait ſucceder ſans peine La faveur au meſpris, & l’amour à la haine.	Ainsi de vos désirs toujours Reine absolue, Les plus grands changements vous trouvent résolue De la plus forte amour vous portez vos esprits Jusqu'à l'indifférence, et peut-être au mépris, Et votre fermeté fait succéder sans peine La faveur au mépris, et l'amour à la haine.
Qu’un peu de voſtre humeur ou de voſtre vertu Soulageroit les maux de ce cœur abatu !	Qu'un peu de votre humeur ou de votre vertu Soulagerait les maux de ce cœur abattu !
Vn ſouſpir, une larme à regret eſpanduë, M’auroit deſia guery de vous avoir perduë;	Un soupir, une larme à regret épandue, M'aurait déjà guéri de vous avoir perdue;
Ma raiſon pourroit tout ſur l’amour affoibly, Et de l’indifference iroit juſqu’à l’oubly.	Ma raison pourrait tout sur l'amour affaibli, Et de l'indifférence irait jusqu'à l'oubli.
A Et mon feu deſormais le reglant fur ie voitie, Je me tiendrois he ureux entre les bras d’un autre.	A À mon feu désormais le réglant fur Ah voitie, Je me tiendrais hé ureux entre les bras d'un autre.
O tror O trop aymable objet qui m’avez trop charmé, Eſt-ce la comme on ayme, & m’avez-vous aymé?	Ô tror Ô trop aimable objet qui m'avez trop charmé, Est-ce la comme on aime, et m'avez-vous aimé?
PAVLINE.	PAULINE.
Je vous aymay, Severe, & ſi dedans mon ame ſe pouvois eſtouffer les reſtes de ma flame, Dieux, que j’eviterois de rigoureux tourmens !	Je vous aimai, Sevère, et si dedans mon âme se pouvais étouffer les restes de ma flamme, Dieux, que j'éviterais de rigoureux tourments !
Ma raiſon, il eſt vray, dompte mes mouvemens, Mais quelque authorité que ſur eux elle ait priſe, Elle n’y regne pas, elle les tyranniſe, Et quoy que le dehors ſoit ſans émotion, Le dedans n’eſt que trouble & que ſedition.	Ma raison, il est vrai, dompte mes mouvements, Mais quelque autorité que sur eux elle ait prise, Elle n'y règne pas, elle les tyrannise, Et quoi que le dehors soit sans émotion, Le dedans n'est que trouble et que sédition.
Vn je ne ſçay quel charme encor vers vous m’emporte, Voſtre merite eſt grand ſi ma raiſon eſt forte, Je le vois encor tel qu’il alluma mes feux D’autant plus puiſſamment ſolliciter mes vœux, Qu’il eſt environné de puiſſance & de gloire, Qu’en tous lieux apres vous il traiſne la victoire, Que j’en ſçay mieux le prix, & qu’il n’a point deçeu Le genereux eſpoir que j’en avois conçeu.	Un je ne sais quel charme encor vers vous m'emporte, Votre mérite est grand si ma raison est forte, Je le vois encor tel qu'il alluma mes feux D'autant plus puissamment solliciter mes vœux, Qu'il est environné de puissance et de gloire, Qu'en tous lieux après vous il traîne la victoire, Que j'en sais mieux le prix, et qu'il n'a point deçeu Le généreux espoir que j'en avais conçu.
Mais ce meſme devoir qui le vainquit dans Rome Et qui me range icy deſſous les loix d’un homme Repouſſe encor ſi bien l’effort de tant d’appas Qu’il deſchire mon ame & ne l’ébranle pas.	Mais ce même devoir qui le vainquit dans Rome Et qui me range ici dessous les lois d'un homme Repousse encor si bien l'effort de tant d'appas Qu'il déchire mon âme et ne l'ébranle pas.
C’eſt cette vertu meſme à nos deſirs cruelle Que vous louez alors en blaſphemant contre elle, Plaignez-vous-en encor, mais loüez la rigueur Qui triomphe à la fois de vous & de mon cœur, De plus bas ſentimens n’auroient pas meritée, Cette parfaite amour que vous m’avez portée.	C'est cette vertu même à nos désirs cruelle Que vous louez alors en blasphémant contre elle, Plaignez-vous-en encor, mais louez la rigueur Qui triomphe à la fois de vous et de mon cœur, De plus bas sentiments n'auraient pas méritée, Cette parfaite amour que vous m'avez portée.
SEVE	SEVE
SEVERE.	SÈVRE.
Ah!	Ah!
Pauline, excuſez une aveugle douleur Qui ne connoiſt plus rien que l’excez du malheur.	Pauline, excusez une aveugle douleur Qui ne connaît plus rien que l'excès du malheur.
Je nommois inconſtance & prenois pour des crimes.	Je nommais inconstance et prenais pour des crimes.
D’un vertueux devoir tes efforts legitimes De grace, monſtrez moins à mes ſens deſolez La grandeur de ma perte & ce que vous valez, Et cachant par pitié cette vertu ſi rare Qui redoublè mes feux lors qu’elle nous ſepare, Faites voir des defauts qui puiſſent à leur tour Afſoiblir ma douleur avec que mon amour.	D'un vertueux devoir tes efforts légitimes De grâce, montrez moins à mes sens désolés La grandeur de ma perte et ce que vous valez, Et cachant par pitié cette vertu si rare Qui redoublé mes feux lors qu'elle nous sépare, Faites voir des défauts qui puissent à leur tour Afsoiblir ma douleur avec que mon amour.
PAVLINE.	PAULINE.
Helas!	Hélas!
cette vertu quoy qu’enfin invincible Ne laiſſe que trop voir une ame trop ſenſible, Ces pleurs en ſont teſmoins & ces lâches ſouſpirs Qu’arrachent de nos yeux les cruels ſouvenirs, Trop rigoureux effets d’une aymable preſence Contre qui mon devoir a trop peu de deffenſe.	cette vertu quoi qu'enfin invincible Ne laisse que trop voir une âme trop sensible, Ces pleurs en sont témoins et ces lâches soupirs Qu'arrachent de nos yeux les cruels souvenirs, Trop rigoureux effets d'une aimable présence Contre qui mon devoir a trop peu dé sensé.
Mais ſi vous eſtimez ce vertueux devoir, Conſervez-m’en la gloire & ceſſez de me voir, Eſpargnez-moy des pleurs qui coulent à ma honte Eſpargnez moy des feux qu’à regret je ſurmonte, Enfin eſpargnez-moy ces triſtes entretiens Qui ne lont qu'irriter vos tourmens & les miens,	Mais si vous estimez ce vertueux devoir, Conservez-m'en la gloire et cessez de me voir, Espargnez-moi des pleurs qui coulent à ma honte Épargnez moi des feux qu'à regret je surmonte, Enfin épargnez-moi ces tristes entretiens Qui ne lont qu'irriter vos tourments et les miens,
SEVERE.	SÈVRE.
Que je me prive ainſi du ſeul bien qui me reſte.	Que je me prive ainsi du seul bien qui me reste.
PAVLINE Sauvez vous d’une veüe à tous les deux funeſte.	PAULINE Sauvez -vous d'une vue à tous les deux funeste.
SEVERE.	SÈVRE.
Quel prix de mon amour!	Quel prix de mon amour!
quel fruit de mes travaux	quel fruit de mes travaux
PAVLINE.	PAULINE.
C’eſt le remede ſeul qui peut guerir nos maux-	C'est le remède seul qui peut guérir nos maux-
SEVE	SEVE
SEVERE.	SÈVRE.
Je veux mourir des miens, aymez-en la memoire.	Je veux mourir des miens, aimez-en la mémoire.
PAVLINE.	PAULINE.
Je veux guerir des miens, ils ſouïlleroient ma gloire.	Je veux guérir des miens, ils souïlleroient ma gloire.
SEVERE.	SÈVRE.
Ah!	Ah!
puiſque voſtre gloire en prononce l’Arreſt, Il faut que ma douleur cede à ſon intereſt, D’un cœur cõme le mien qu’eſt ce qu’elle n’obtiẽne Vous réveillé les ſoins que je dois à la mienne, Adieu, je vay chercher au milieu des combats Cette immortalité que donne un beau trépas, Et remplit dignement par une mort pompeuſe De mes premlers exploits Iattente avantageuſe, Si toutefois apres ce coup mortel du ſort J’ay de la vie aſſez pour chercher une mort.	puisque votre gloire en prononce l'Arrest, Il faut que ma douleur cède à son intérêt, D'un cœur comme le mien qu'est ce qu'elle n'obtionne Vous réveillé les soins que je dois à la mienne, Adieu, je vais chercher au milieu des combats Cette immortalité que donne un beau trépas, Et remplit dignement par une mort pompeuse De mes premers exploits Iattente avantageuse, Si toutefois après ce coup mortel du sort J'ai de la vie assez pour chercher une mort.
PAVLINE.	PAULINE.
Et moy dont voſtre veuë augmente le ſupplice, Je la veux éviter meſme au ſacriſice, Et ſeule dans ma chambre enfermant mes regrets, je vay poul vous aux Dieux raire des vœux ſecrets.	Et moi dont votre vue augmente le supplice, Je la veux éviter même au sacrisice, Et seule dans ma chambre enfermant mes regrets, je vais poul vous aux Dieux raire des vœux secrets.
SEVERE.	SÈVRE.
Puiſſe le juſte Ciel content de ma ruine Combler d’heur & de jour Polyeucte & Pauline.	Puisse le juste Ciel content de ma ruine Combler d'heur et de jour Polyeute et Pauline.
e dea E lNcne Puiſſe trouver Severe apres tant de malheur Vne felicité dighe de la vaieur.	Je dea E lNcne Puisse trouver Sévère après tant de malheur Une félicité digité de la vaieur.
SEVERE.	SÈVRE.
Il la trouvoit en vous.	Il la trouvait en vous.
PAVLINE.	PAULINE.
Je dépendois d’un pere.	Je dépendais d'un père.
PAVLINE.	PAULINE.
Adieu trop malheureux & trop parfait amant.	Adieu trop malheureux et trop parfait amant.
SCENE III.	SCÈNE III.
PAULINE, STRATONICE,	PAULINE, STRATONICE,
STRATONICE.	STRATONICE.
E vous ay plains tous deux, j’en verſe encor des I larmes, Mais du inois voitre erpiit ent nors de cec alarmes Vous voyez clairement que voſtre ſonge eſt vain, Severe ne vient pas la vangeance à la main.	E vous ai plains tous deux, j'en verse encor des I larmes, Mais du inaî voitre erpiit ent ors de cec alarmes Vous voyez clairement que votre songe est vain, Sévère ne vient pas la vengeance à la main.
PAVLINE Laiſſe-moy reſpirer du moins ſi tu m’as plainte, Au fort de ma douleur tu rappelles ma crainte, dounrre un peu de feiuene a meo erpinte eroublez Et ne m’accable point par des maux redoublez.	PAULINE Laisse-moi respirer du moins si tu m'as plainte, Au fort de ma douleur tu rappelles ma crainte, dounrre un peu de feiuene a meo erpinte eroublez Et ne m'accable point par des maux redoublés.
STRATONICE.	STRATONICE.
Qu'oy, vous craignez encor?	Qu'oi, vous craignez encor?
PAVLINE.	PAULINE.
Je tremble, Stratonice, ne quoy que je memfayearet peu de juſtice, Cette injuſte frayeur ſans ceſſe reproduit L’image des malheurs que j’ay veus cette nuit.	Je tremble, Stratonice, ne quoi que je mémfaiearet peu de justice, Cette injuste frayeur sans cesse reproduit L'image des malheurs que j'ai vus cette nuit.
SIRATONICE.	SIRATONICE.
Severe eſt genereux.	Sevère est généreux.
PAVLINE.	PAULINE.
Malgré ſa retenuë Polyeucte ſanglant frappe touſiours ma veuë.	Malgré sa retenue Polieute sanglant frappe toujours ma vue.
STRATONICE.	STRATONICE.
Vous même eſtes teſmoin des vœux qu’il fait pour luy.	Vous -même êtes témoin des vœux qu'il fait pour lui.
PAVLI	PAULI
PAVLINE.	PAULINE.
Je croy meſme au beſoin qu’il ſeroit ſon appuy, Mais ſoit cette croyance ou fauſſe ou veritable, Son ſejour en ce lieu m’eſt toûjours redoutable.	Je crois même au besoin qu'il serait son appui, Mais soit cette croyance ou fausse ou véritable, Son séjour en ce lieu m'est toujours redoutable.
A quoy que ſa vertu le puiſſe diſpoſer Il eſt puiſſant, il m’ayme, & vient pour m’eſpouſer.	À quoi que sa vertu le puisse disposer Il est puissant, il m'aime, et vient pour m'épouser.
εωι εαι εαγ εσι εαι γ ει τἐςι ετυι εθι ιMιPς	 τἐςι ετυι „ ιMιPς
SCENE IV.	SCÈNE IV.
POLYEUCTE, NEARQUE, PAULINE, STRATONICE.	POLYEUCTE, NEARQUE, PAULINE, STRATONICE.
POLYEUCTE.	POLYECTE.
M’Eſt trop verſer de pleurs, il eſt temps qu’ils O tariſſent, Que voſtre douleur ceſſe & vos craintes finiſſent, Malgré les faux advis par vos Dieux envoyez Je ſuis vivant, Madame, & vous me revoyez.	M'Est trop verser de pleurs, il est temps qu'ils Ô tarissent, Que votre douleur cesse et vos craintes finissent, Malgré les faux avis par vos Dieux envoyez Je suis vivant, Madame, et vous me revoyez.
2IOEENE, Le jour eſt encor long, & ce qui plus m’effraye La moitié de l’advis ſe trouve déja vraye, I’ay creu Severe mort & je le vois icy.	2IOENE, Le jour est encor long, et ce qui plus m'effraie La moitié de l'avis se trouve déjà vraie, J'ai cru Sévère mort et je le vois ici.
POLYEUCTE.	POLYECTE.
le le ſçay, mais enfin j’en prens peu de ſoucy.	le le sais, mais enfin j'en prends peu de souci.
le ſuis dans Melitene, & quel que ſoit Severe, Voſtre pere y comilraide, & l'on in y confidere, Et je ne penſe pas qu’on puiſſe avec raiſon D’un cœur tel que le ſien craindre une trahiſon, Dn m’avoit aſſeuré qu’il vous faiſoit viſite, Et je venois luy rendre un honneur qu’il merite.	le suis dans Mélitène, et quel que soit Sévère, Votre père y comilhraide, et l'on in y considère, Et je ne pense pas qu'on puisse avec raison D'un cœur tel que le sien craindre une trahison, Dn m'avait assuré qu'il vous faisait visite, Et je venais lui rendre un honneur qu'il mérite.
PAULINE.	PAULINE.
I vient de me quitter aſſez triſte & confus, Mais j’ay gagné ſur luy qu’il ne me verra plus.	I vient de me quitter assez triste et confus, Mais j'ai gagné sur un qu'il ne me verra plus.
POLYEUCTE Quoy!	POLYECTE Quoi!
vous me ſoupçonnez déja de quelque ombrage?	vous me soupçonnez déjà de quelque ombrage?
PAULINE.	PAULINE.
