A MADAME DV RQVLET.	À MADAME DU RQULET.
Et vous verrez comment ſes faicts ſont admirables Et comme en dillayant ſes mains ſont ſecourables.	Et vous verrez comment ses faits sont admirables Et comme en dillayant ses mains sont secourables.
ACTE SECOND.	ACTE SECOND.
Thobie le pere.	Thobie le père.
Thobie le fils.	Thobie le fils.
felſuit ta feiere:	felsuit ta feière:
THOBIE le pere.	THOBIE le père.
Eigneur ie recognois que ta main liberale Souſtient le iuſte poix & ta grandeur Royale En tous lieux ſe faict voir, ie ſçay que i'ay peché Deuant toy mille fois, mais quoy eſtant taché, Tu me peux nettoyer de milles immondices, Que le maudit ſerpent cauſa par ces malices.	Eigneur ie reconnais que ta main libérale Soustient le juste poix et ta grandeur Royale En tous lieux se fait voir, ainsi sais que j'ai péché Devant toi mille fois, mais quoi étant taché, Tu me peux nettoyer de milles immondices, Que le maudit serpent causa par ces malices.
Tu peux ( ô Eternel) par ta ſeule vertu, Ranimer vn eſprit que la mort a vaincu, Et rien à ta grandeur ne ſe trouue impoßsible, Pardonne außi Seigneur à ma paaure famille I’eſpere ainßi que Iob à pres tant de tourments, Receuoir guariſon par tes ſacrez moyens:	Tu peux ( ô Éternel) par ta seule vertu, Ranimer un esprit que la mort a vaincu, Et rien à ta grandeur ne se trouve impossible, Pardonne aussi Seigneur à ma paure famille J'espère ainssi que Job à pres tant de tourments, Recvoir garison par tes sacré tends:
Nous fuſmes expulſez de tous nos heritages Pour l’amour de ton nom, endurant mil’outrages, Puis tu nous renuoyas en ce pays icy Prendre poſſeßion de tout ce que voicy.	Nous fûmes expulsez de tous nos héritages Pour l'amour de ton nom, endurant m'outrages, Puis tu nous renvoyas en ce pays ici Prendre possession de tout ce que voici.
Tu as cogneu mon cœur, ô Dieu des exercites.	Tu as connu mon cœur, ô Dieu des exercites.
Tu le congnois encor,	Tu le connais encor,
Thobie le ieune.	Thobie le jeune.
Qu'est-ce qui vous incite Mon pere, à larmoyer, ne vos attristez tant Vous me faictes mourir, ſi ie ſuis voſtre enſant Appaijez tes anbiehrn,vmamnuol paijjance Vous pourra deliurer plustoſt que l’on ne penſe.	Qu'est-ce qui vous incite Mon père, à larmoyer, ne vos attristez tant Vous me faites mourir, si grande suis votre ensant Appaijez tes anbiehrn,vamnuol paijance Vous pourra délivrer plutôt que l'on ne pense.
Thobie le pere.	Thobie le père.
Mon fils i’ay grand beſoing de ſa miſericorde, Il eſt vray qu’a part moy touſiours ie me recorde Qu’il eſt Dieu d’equité, & que quelqu’vn de nous Peut auoir grandement enflammé ſon couroux:	Mon fils j'ai grand besoin de sa miséricorde, Il est vrai qu'a part moi toujours ie me recorde Qu'il est Dieu d'équité, et que quelqu'un de nous Peut avoir grandement enflammé son courroux:
Si c’est pour nos pechez donne nous patience, oyt eſt pour eſprouner ou pour pon tuperance Que nous auons en luy, touſiours ſes mandements, Sont ſolides & ſains, comme vrais firmaments.	Si c'est pour nos péchés donne nous patience, oit est pour éprouner ou pour pon tupérance Que nous avons en lui, toujours ses mandements, Sont solides et sains, comme vrais firmaments.
Anne.	Anne.
Ce n'est pas ſans raiſon que mon mary ſe faſche D’auoir perdu les yeux, mais helas que ſera-te, Quand il orra parler de tout ce qui c’eſt faict, Ia nuict qui l’aueugla, penſez vous quel regret:	Ce n'est pas sans raison que mon mari se fâche D'avoir perdu les yeux, mais hélas que sera-te, Quand il orra parler de tout ce qui c'est fait, Ia nuit qui l'aveugla, pensez vous quel regret:
Il aura entendant la plus triste nonuelle Dont iamais on parla voire & la plus eruelle, I’en tremble dans le cœur.	Il aura entendant la plus triste nonuelle Dont jamais on parla voire et la plus ervelle, J'en tremble dans le cœur.
Thobie le ieune.	Thobie le jeune.
Ma mere taiſez vous, Si vous auez le ſoing de prolonger ſes iours	Ma mère taisez -vous, Si vous avez le soin de prolonger ses jours
Anne.	Anne.
Touſours le ſçaura t’il, n’eſt il pas veritable.	Tous le saura -t-il, n'est -il pas véritable.
Thobie le ieune.	Thobie le jeune.
Il eſt vray mais außi ſi cela n’eſt que fable, En croyant de leger apres l’on s’en repent:	Il est vrai mais aussi si cela n'est que fable, En croyant de léger après l'on s'en repent:
Differez quelque peu & vous verrez comment, Le bruit diminuera ou bien il pourra croistre, Mais pour mon ſeul regard donnez moy à cognoiſtre Ce qui eſt arriué.	Différez quelque peu et vous verrez comment, Le bruit diminuera ou bien il ra croître, Mais pour mon seul regard donnez moi à connaître Ce qui est arrivé.
Anne.	Anne.
Mais quand tu le ſçauras re jpuytonmrurer tointint en faſcheras Tu ne le ſçauras point.	Mais quand tu le sauras re jpuytonmrurer tointint en fâcheras Tu ne le sauras point.
Thobie le ieune.	Thobie le jeune.
Hé!	Hé!
ie vous pri' ma mere.	Elle vous pri' ma mère.
Anne.	Anne.
N’en ſois ſi curieux.	N'en sois si curieux.
Thobie le ieune.	Thobie le jeune.
Touſiours le populaire S’aſſemblant à l’eſcart murmurent de Sarra, Chacun en veut parler, que veut dire cela?	Toujours le populaire S'assemblant à l'écart murmurent de Sarra, Chacun en veut parler, que veut dire cela?
Anne.	Anne.
Vrayment c’eſt la raiſon puiſque chacun murmure Que ie te compte helas, de la triste aduenture v enne enen Cna:	Vraiment c'est la raison puisque chacun murmure Que ie te compte hélas, de la triste aventure v enne en Cna:
Thobie de ieune.	Thobie de jeune.
Deſpeſchez vitement Oſtez moy de ſoupçon, oſtez moy de tourment.	Despêchez vitement Osés moi de soupçon, ôtés moi de tourment.
Anne.	Anne.
Cela ne pourra point t’oſter de fantaſie, Cui ceſt horrible faict mon ame crucifie.	Cela ne pourra point t'ôter de fantaisie, Cui cette horrible fait mon âme crucifie.
Thobie le ieune.	Thobie le jeune.
Ceſe tout pnte pomsper de mete ruecompter,	Ces tout pénte pomsper de mete rucompter,
Anne.	Anne.
Mais quand tu l’auras ſçeu que pourras tu penſer.	Mais quand tu l'auras su que pourras tu penser.
Thobie le ieune.	Thobie le jeune.
Rien, mais à tout le moins ie ſeray hors de doubte.	Rien, mais à tout le moins ici serai hors de doute.
Anne.	Anne.
Bien donc approche toy, mon enfant & m’eſcoute Nous auons vn parent au pays des Medois Appellé Raguel, & entendre tu dois, Qu’il à en ſa maiſon, vne autant belle fille Qui ſoit dans l’vniuers, voire & la plus habille Qui ſoit dans le pays, on pourroit tournoyer Les champs Heliſeens parauant que trouuer Filte cat tuy jemouge, & tomesfois, Thobie, Elle à eu ſept maris, qui tous ne ſont en vie.	Bien donc approche toi, mon enfant et m'écoute Nous avons un parent au pays des Médais Appellé Raguel, et entendre tu dois, Qu'il à en sa maison, une autant belle fille Qui soit dans l'univers, voire et la plus habille Qui soit dans le pays, on pourrait tournoyer Les champs Heliseens parauant que trouver Fil cat tui jemouge, et tomesfois, Tobie, Elle à eu sept maris, qui tous ne sont en vie.
Thoble le leunes Comment c’eſt faict cela?	Thoble le leunes Comment c'est fait cela?
Anne.	Anne.
L’on dit qu’Aſmodeus Ley tt iom eſtranglez & en terre eſtendus.	L'on dit qu'Asmodeus Ley tût iom étranglez et en terre étendus.
Thobie le ieune.	Thobie le jeune.
Et ne parte t'on porut de ourru, mà Couſine.	Et ne parte t'on porut de ourru, mà Cousine.
Anne.	Anne.
L’on dit qu'ell' n'a nul mal	L'on dit qu'elle n'a nul mal
Thobie le ieune.	Thobie le jeune.
Voyez quelle ruyne.	Voyez quelle ruine.
Anne.	Anne.
Qu'en dis-tu mon enfant, le fairons nous ſçauoir A ton pere, auiourd huy:	Qu'en dis-tu mon enfant, le fairons nous savoir A ton père, aujourd' hui:
Thoble le leunc.	Thoble le leunc.
Diſons luy à ce ſoir, Mais tous ces ſept maris ditez moy, ie vous prie, Ont ils eu de Sarra tous ſept la compagnie?	Disons luy à ce soir, Mais tous ces sept maris té -moi, je vous prie, Ont ils eu de Sarra tous sept la compagnie?
Anne.	Anne.
Non, l’on tient que pas vn ne luy a habité, Et qu’ils aymoient Sarra pour la lubricité, C’eſt pourquoy, l'Eternel ne trouuant nul d’eux digne, N’a permis leur ſouffrir ioüir de ta Couſine.	Non, l'on tient que pas un ne lui a habité, Et qu'ils aimaient Sarra pour la lubricité, C'est pourquoi, l'Éternel ne trouvant nul d'eux digne, N'a permis leur souffrir jouir de ta Cousine.
Thobie le ieune.	Thobie le jeune.
Que ſi cela est vray, elle doit bien loüer Le Dieu du firmament, & quant & quant voüer  ſon nom immortel, mil & mille canticques, Maintenant congnoiſtront, tant d’infames lubricques Combien Dieu eſt puiſſant, & combien ſon ſaint nom Doit eſtre redoute, de toute naiion.	Que si cela est vrai, elle doit bien louer Le Dieu du firmament, et quant et quant vueer son nom immortel, mil et mille canticques, Maintenant connaîtront, tant d'infâmes lubricques Combien Dieu est puissant, et combien son saint nom Doit être redoute, de toute naiion.
Anne.	Anne.
Il est vray, mon enfant, mais allons ie te prie, A ton pere parler, de ceste Tragœdie.	Il est vrai, mon enfant, mais allons ie te prie, À ton père parler, de cette Tragédie.
Thobie le ieune, Aquoy faire celà, ne luy en parlez pas?	Thobie le jeune, Aquoi faire cela, ne Vous en parlez pas?
Car vous auanceriez de beaucoup ſon treſp as, He!	Car vous avanceriez de beaucoup son trép as, He!
le voudriez-vous raconter a mon pere Bon Dieu gardez-vous-en, & taiſez-vous ma mere.	le voudriez-vous raconter à mon père Bon Dieu gardez-vous-en, et taisez-vous ma mère.
Anne.	Anne.
Touſiours le ſçaura-t’il, ie veux l’oſter d’eſmoy, Enoutejpunee vomseiten, que jaltes vons ſ cay.	Toujours le saura-t-il, Elle veux l'ôter d'émoi, Enoutejpunee vomseiten, que jaltes vons s ais.
Thobie le pere.	Thobie le père.
Comment ſçauez-vous-rie n'quel bruit court il en	Comment Savez-vous-rie n'quel bruit court -il en
Anne.	Anne.
Ce que l’on va diſant ne vous eſt pas vtille, (ville.	Ce que l'on va disant ne vous est pas utille, (ville.
Alumuo rouejujenes poiu, c’est qu’il court vn grand Qu’a meſme heure, momẽt & à l'a meſme nuit, (bruit Que ce meſchant oiſeau vous euſt rauy la veuë, Vostre Niepce Sarra ſe veid bien eſperdue.	Alumo rouejujenes poiv, c'est qu'il court un grand Qu'a même heure, moment et à l'a même nuit, (bruit Que ce méchant oiseau vous eût ravi la vue, Votre Nièce Sarra se vit bien éperdue.
Thobie le pere.	Thobie le père.
Contez moy viſtement ſans me faire languir, Dites donc quel mechef ou bien quel deſplaiſir Y a chez Raguel,	Comptez moi vite sans me faire languir, Dites donc quel mechef ou bien quel déplaisir Y a chez Raguel,
Alibe Ah!	Alibe Ah!
ie vous le vay dire, Vn eſprit infernal a bien oſé occire Sept marys à Sarra & les a eſtranglez.	On vous le vais dire, Un esprit infernal a bien osé occire Sept maris à Sarra et les a étranglez.
N’eſt-ce pas grand pitié?	N'est-ce pas grand pitié?
Thobie le pere.	Thobie le père.
Grand Dieu, qui gouuernez Par vostre ſeul pouuoir le Ciel, la terre, & l'onde, Et qui fistes d’vn rien c’eſte machine ronde:	Grand Dieu, qui gouvernez Par votre seul pouvoir le Ciel, la terre, et l'onde, Et qui fîtes d rien este ' ronde:
Ayez pitié de moy, ie vous ſupplie Seigneur, Mettez moy en repos, faut il qu’vn tel malheur Rengrege mon tourment, ah!	Ayez pitié de moi, je vous supplie Seigneur, Mettez -moi en repos, faut -il qu'un tel malheur Rengrége mon tourment, ah!
ie ne dois plus viure, Mort approche de moy ie deſire te ſuyure, Que puis-ie deſirer maintenant icy bas Tuis que tout me conuie a chercher le treſpas, Außi bien ie ne puis plus eſtre ſecourable Aux pauures indigens, ny aux morts pitoyable Mon fils approche toy.	Ne ne dois plus vivre, Mort approche de mo ie désire te suivre, Que puis-je désirer maintenant ici bas Tuis que tout me convie a chercher le trépas, Aussi bien me ne puis plus été secourable Aux pauvres indigents, ni aux morts pitoyable Mon fils approche toi.
Thobie le ieune.	Thobie le jeune.
Mon pere me voicy Mais pour l’amour de moy ne lamentez ainſi Dieu eſt-il pas puiſſant pour vous rendre la veuë Ainſi qu’il à permis que vous l’ayez perduë Sçauez vous pas que Iob fut n’aguere vexé Plus que vous mille fois, mais ce voyant bleßsé, Il enttouſiours recours à la bonté ſupreſme Combien que ſes parents ſe mocquoyent de luy meſma, Il n’est iamais ſorty de ſa bouche vn propos Sinon qu’a publier de l’Eternel le los, Außi chacun le veoit restauré du dommage, Que Sathan à ſi fort verſé ſur ſon meſnage, Mon pere, excuſez moy i’augure en mon cerueau, Qu’vn iour vous reuerrez ce lumineux flambeau Et crois que pour le fait de Sarra ma couſine Teus ces marts estoyent de l’eſpouſer indigne.	Mon père me voici Mais pour l'amour de moi ne lamentez ainsi Dieu est-il pas puissant pour vous rendre la vue Ainsi qu'il à permis que vous l'ayez perdue Savez vous pas que Job fut n'aguère vexé Plus que vous mille fois, mais ce voyant blesssé, Il enttousiours recours la jo urs Recou ses parents re mocquoyent de lui mesma, Il àest la sorti de sa bouche propos Sinon a publier de Eternel le , Aussi chacun le ses pare du dommage, Que Sathan si fort versé sur son ménage, Mo pere, excusez moi augure en mon cerveau, Quai vous reuerrez ce lumineux flambeau Et crois que pour le fait de Sarra m cousine Me ces m estoyent de épouser indigne.
ACTE TROISIESME.	ACTE -TROISIÈME.
Thobie le pere.	Thobie le père.
Thobie le fils.	Thobie le fils.
Anne ſa mere.	Anne sa mère.
Azarle Menegen	Azarle Menegen
THOBIE le pereV es tu mon baſton, mon ſoulu mon ſupport, Viens entendre ma voix, car ie ſens que la mort Me talonne de pres, & ma ſoille vieilleſſe N’aſpire qu’vn cercueil.	THOBIE le père es tu mon bâton, mon soulu mon support, Viens entendre ma voix, car je sens que la mort Me talonne de pres, et ma soille vieillesse N'aspire qu'un cercueil.
Thobie le ieune.	Thobie le jeune.
O que ce mot me bleſſe.	Ô que ce mot me blesse.
Thobie le pere.	Thobie le père.
Sçais tu que tu fairas ſi la mort me ſurprend, Ereuety mon corps fort honorablement Pri' pour moy l’Eternel, qu’il reçoiue mon ame Dans l’immortel ſeiour.	Sais tu que tu fairas si la mort me surprend, Ereveti mon corps fort honorablement Pri' pour moi l'Éternel, qu'il reçoive mon âme Dans l'immortel seiour.
Thobie le ieune.	Thobie le jeune.
Las, helas ie me paſme.	Las, hélas Seigneur me pâme.
Thobie le pere.	Thobie le père.
Ayes touſiours le ſoing de ta mere honorer, Et lors que le treſpas la viendra deuorer, Gence la pres de moy de dans la mefme joije, Car ie veux que ſon corps auec le mien repoſe:	Ayez toujours le soing de ta Mère honorer, Et lors que le trépas la viendra dévorer, Gence la pres de moi de dans la même joije, Car on veux que son corps sans le mien repose:
Ne t'amuſe iamais a quelque vanité Mais contemple en tous lieux qu’vne diuinité, A poly des ſes doigts ceste ronde Machine, Entendz ce que ie dis.	Ne t'amuse jamais a quelque vanité Mais contemple en tous lieux qu'une divinité, A poli des ses doigts cette ronde Machine, Entendz ce que je dis.
Thobie le ieune.	Thobie le jeune.
O parole diuine.	Ô parole divine.
Thobie le pere.	Thobie le père.
Porte touſiours eſcript au profond de ton cœur L’honneur, & le debuoir que tu dois au Seigneur, Garde attentiuement qu’vne erreur miſerable, Ne trouble ton cerueau, ſois touſiours ſecourable Aux pauures indigents, & liberalement, Si tu as de grands biens donnes abondamment.	Porte toujours écript au profond de ton cœur L'honneur, et le débuoir que tu dois au Seigneur, Garde attentivement qu'une erreur misérable, Ne trouble ton cerveau, sois toujours secourable Aux pauvres indigents, et libéralement, Si tu as de grands biens donnes abondamment.
L’aumoſne vollera dans la vouſte celeste, Si toſt que tu l’auras a quelque pauure faicte:	L'aumône vollera dans la voûte céleste, Si tôt que tu l'auras a quelque pauvre faite:
Mon enfant garde toy d'abandonner ton corps Au plaiſir de la chair & ſous außi recors De conſeruer touſiours pure & nette ton ame, Et n’approche iamais vn’autre que ta femme:	Mon enfant garde toi d'abandonner ton corps Au plaisir de la chair et sous aussi recors De conserver toujours pure et nette ton âme, Et n'approche jamais une autre que ta femme:
Si de tous mes propos tu es obſeruateur, Causdanero, puerce demtsi turtcenss	Si de tous mes propos tu es observateur, Causdanero, puerce demtsi turtcenss
Thobie le ieune.	Thobie le jeune.
Mon pere ne doubtez, & plusteſt ie periſſe, Qu'a vos graues diſcours touſiours ie n’obeiſſe,	Mon père ne doute, et plaîtest a périsse, Qu'a vos graves discours toujours notre n'obéisse,
Thobie le pere.	Thobie le père.
Cher enfant i’ay preſté quelque nombre d’argent A vn de mes amis, mais ie ne ſçay comment I'y pourray enuoyer, qui ſera la perſonne.	Cher enfant j'ai prêté quelque nombre d'argent A int de mes amis, mais toujours ne sais comment J'y pourrai envoyer, qui sera la personne.
Qijenacaruera d'mer trouuere gt nemme.	Quijenacaruera d'mer trouvère gt nemme.
Thobie le ieune.	Thobie le jeune.
Pere ou eſt ſon manoir!	Père ou est son manoir!
Thobie le pere.	Thobie le père.
Il demeure en Ragez.	Il demeure en Ragez.
Thobie le ieune.	Thobie le jeune.
En Ragez ô bon Dieu ce n’eſt pas icy pres	En Ragez ô bon Dieu ce n'est pas ici pres
Thobie le pereMon fils trouue quelqu'vn lequel vous y conuoye.	Thobie le pèreMon fils trouve quelqu'un lequel vous y convoie.
Thobie le ieune Mais noy eſtant ab ſent vous n’aurez nulle ioye, Tontesfois de ce punto men nuy y pouruoir Car ie veux obſeruer touſiours vostre vouloir.	Thobie le jeune Mais noi étant ab sent vous n'aurez nulle joie, Tontesfois de ce punto men nui y pourvoir Car tu veux observer toujours votre vouloir.
Anne.	Anne.
Dites moy mon amy ou est allé Thobie.	Dites -moi mon ami ou est allé Thobie.
Thobie le pere.	Thobie le père.
Il reuiendra bien-toſt Anne ma bonne amye, Ie tuyuy commandé d’aller veoir s’il pourra Trouuer vn Meſſager qui le conuoyera En Ragez la Cité.	Il reviendra bientôt Anne ma bonne amie, Je tuyuy commandé d'aller veoir s'il pourra Trouver un Messager qui le convoiera En Ragez la Cité.
Anne.	Anne.
Hé!	Hé!
que penſez vous fair e Voulez vous noſtre fils ſi loin de nous distraire, Cuid vas mon ſoucy en ſi lointain pays Ie te peux bien baiſer, ôregrets, ô ennuys, Venez m’accompaigner, las helas ie me paſme Ne te verray-ie plus?	que pensez vous fair é Voulez vous notre fils si loin de nous distraire, Cuid vas mon souci en si lointain pays Je te peux bien baiser, ôregrets, ô ennui, Venez m'accompagner, las hélas Seigneur me pâme Ne te verrai-je plus?
Thobie le pere.	Thobie le père.
Tout beau tout beau ma femme, Vous ſçauez qu’il m'est deu il y a ià long-temps Grande ſomme d’argent, ie ſçay qu’il est conttant Gabel m’est oblegé, & de vray il ne reste Qu’a l’aller recepuoir, ceſt homme eſt ſi honneste Qu'il aymeroit plustost mille morts encourir Que nyer à ſon fait.	Tout beau tout beau ma femme, Vous savez qu'il m'est devoir , c' est ià d'il Aimerait somme d'argent, ie sais qu'il est conttant Gabel m'est oblegé, et de vrai il ne reste Qu'a l'aller recepuoir, cest homme est si honnête Qu'il aimerait plutôt mille morts encourir Que nyer à son fait.
Anne.	Anne.
Vous me faictes mourir, Ce n’eſt pas ce deffy qui m'apporte la crainte, Mais c'est vnefrayeur qui a mon ame atiainte, Qui me fait augurer de iamais ne reuoir Veſtre fils & le mien,	Vous me fait augurer, Ce n'est pas ce défi qui m'apporte la crainte, Mais c'est vnefrayeur qui a mon âme atiainte, Qui me fait augurer de jamais ne revoir Vêtre fils et le mien,
Thobie le pere.	Thobie le père.
M’amye ayons eſpoir Au grand Dieu d’ſſrael & luy faiſons priere, Puis quil nous deliura de ce Roy tant ſeuere, cuojex quit conauna tacore en jentete Et le ramenera.	M'amie ayons espoir Au grand Dieu d'ssrael et tu faisons prière, Puisqu' il nous délivra de ce Roi tant sévère, cuojex quit conauna tacore en jentete Et le ramènera.
Anne.	Anne.
Mais Thobię n’a este Au pays de Gabel, & n’y cognois perſonne.	Mais Thobjet n'a este Au pays de Gabel, et n'y connais personne.
Thobie le pere.	Thobie le père.
Il n’yra pas tout ſeul il trouuerra quelqu'homute?	Il n'ira pas tout seul il trouvera quelqu'homute?
Mlinc.	Mlinc.
Mais s'il n’en trouue point l’enuoyriez-vous tous ſeut.	Mais s'il n'en trouve point l'entriez-vous tous seut.
Thobie le pere.	Thobie le père.
Il ne paſſera pas ſeulement noſtre ſeuil,	Il ne passera pas seulement notre seuil,
Anne.	Anne.
O Souuerain Paſteur de toute la machine Empeſche que ſi loin mon fils ne s’achemine, Helas mon cher ſoucy & tout mon reconfort De qui doreſnauant auray-te du ſupport, Qui me cherira plus qui me faira plus viure, Puiſque tant de malheurs accourent pour me ſuiure Non, non, tu n’yras pas, quoy l’enuoyer ſi loin Vrayment ſi tu y vas tu n'en reuiendras point.	OÙ Souverain Pasteur de toute la machine Empêche que si loin mon fils ne s'achemine, Hélas mon cher souci et tout mon réconfort De qui dorénavant aurai-te du support, Qui me chérira plus qui me faitra plus vivre, Puisque tant de malheurs accourent pour me suivre Non, non, tu n'iras pas, quoi l'envoyer si loin Vraiment si tu y vas tu n'en reviendras point.
Elle ſe retire Thobie le ieune.	Elle se retire Thobie le jeune.
Dieu vous gard mon amy, ſçauriez vous m’enſeigner Où ie peuſſe trouuer quelque bon meſſager Pour aller en Ragez, vous me fairez ſeruice, Congnoiſſez?	Dieu vous gard mon ami, sauriez vous m'enseigner Où ie tusse trouver quelque bon messager Pour aller en Ragez, vous me fairez service, Congnaissez?
vous quelqu’vn.	vous quelqu'amour.
Azarie.	Azarie.
C’eſt tout mon exercice, I’ay eſté en Tagez, plus de cinquante fois Et n’i à d’icyla, mont, campagneni bois Dont ie n’aye le non, mais quel vrgent affaire As tu en ce pays.	C'est tout mon exercice, J'ai été en Tagez, plus de cinquante fois Et n'y à d'icyla, mont, campagneni bois Dont rien n'aie le non, mais quel vrgent affaire As tu en ce pays.
Thobie le ieune.	Thobie le jeune.
Il eſt deu a mon pere:	Il est dev à mon père:
Grande jomme dargent, & m'y veut enttoyer Pour voir ſi ie pourray c’eſt argent receuoir.	Grande jomme dargent, et m'y veut entoyer Pour voir si ici pourrai c'est argent recevoir.
A Lallc.	À Lallc.
Qui est veſtre debteur, commme eſt-ce qu’il ſe nomme.	Qui est vêtre débteur, commme est-ce qu'il se nomme.
Thobie le ieune.	Thobie le jeune.
On l’appele Gabel.	On l'appelé Gabel.
Azarie.	Azarie.
C’eſt vn treſ-honneſte homme.	C'est un très-honnête homme.
Thobie le ieune.	Thobie le jeune.
Cej ;	Céj ;
ne congnoſfez rom:	ne connosfez rom:
connient l’auez voue veu.	connient l'avez voue vu.
Azarie.	Azarie.
Ie ſçay bien quel il eſt & qu’elle eſt ſa vertu.	Je sais bien quel il est et qu'elle est sa vertu.
Thobie le ieune.	Thobie le jeune.
Venez auecques moy trouuer vn peu mon pere Pour vous loüer a luy, car ie luy veux complaire:	Venez avec moi trouver un peu mon père Pour vous louer a ici, car tu tu veux complaire:
O qu’il ſera ioyeux quand il orra parler Que i’ay ſi tost trouué vn ſi bon meſſager:	Ô qu'il sera joyeux quand il orra parler Que j'ai si tôt trouvé un si bon messager:
Mais le voila venir qui chemine a grand peine, Voicy vn meſſager lequel ie vous amemne.	Mais le voilà venir qui chemine a grand peine, Voici un messager lequel ie vous âmemène.
Thobie le pere.	Thobie le père.
D’ou es tu mon amy, es tu vray meſſager,	D'ou es tu mon ami, es tu vrai messager,
Thobie le fils.	Thobie le fils.
M'on pere il m'a promis me mener fans aanger.	M'on père il m'a promis me mener sans aanger.
Thobie le pere.	Thobie le père.
Ie veux pourtant ſçauoir de luy comme il ſe nomme.	Je veux pourtant Savoir de jours comme il se nomme.
Azarie.	Azarie.
Hé!	Hé!
que vous ſeruira le nom de ma perſonne, Ie le vous diray bien, mais pluſieurs m’ont loüé Pour les accompagner, qui ne m’ont demandé D’ou i’estois, ny mon nom, mais ie vous certifie, Sr tejunpueru in gruna & m’appelle Azarie, I’ay demeuré long temps en Ragez la cité Et congnois bien Gabel car ie l’ay viſité.	que vous servira le nom de ma personne, Je le vous dirai bien, mais plusieurs m'ont loué Pour les accompagner, qui ne m'ont demandé D'ou j'étais, nimon eur, mais je vous certifie, Sr tejunpuer in gruna et m'appelle Azarie, J'ai demeuré long temps en Ragez la cité Et connais bien Gabel car je l'ai visité.
Thobie le pere.	Thobie le père.
Pardonne meſſager & point ne te cournouces Dont ie ne t’ay vſe de paroles plus douces, Tuuiras tu bien mener mon fils iuſqu'ea Ragez, Sçay tu bien le chemin?	Pardonne messager et point ne te cournouces Dont apprendre ne t'ai use de paroles plus douces, Tuiras tu bien mener mon fils jusqu'ea Ragez, Sais tu bien le chemin?
Axarie.	Axarie.
Vrayment ouy ie le ſçay.	Vraiment ou ie le sais.
Thobie le ieune.	Thobie le jeune.
Mon pere il congnoiſt pout & ſoait bien les paſſages, Les viles les citez, les bourgs & les villages De tout ce pays la, il congnoist bien Gabel, eafemme &x jſes en an.	Mon père il connaît pout et soait bien les passages, Les viles les cités, les bourgs et les villages De tout ce pays la, il connaît bien Gabel, éfemme etx jses en an.
Thobie le pere.	Thobie le père.
O grand Dieu immortel, Meſſager mon amy, mais quelle recompenſe Demande tu de moy?	Ô grand Dieu immortel, Messager mon ami, mais quelle récompense Demande tu de moi?
Azarie.	Azarie.
Pere a cela ne penſe,	Père a cela ne pense,
8 iij Ie meneray ton fils & le conuoyer ay Iuſques dedans Tagez, & le conſerueray Encontre tout danger, & ſi ie te proteste Que Gabel le payera, car il eſt fort honneſte, Deliure moy ſon fait, cependant mon amy Failes poſtre puequere vapponerney.	8 ij à mènerai ton fils et le convoyer ai Jusques dedans Tagés, et le conserverai Encontre tout danger, et si ici te proteste Que Gabel le payera, car il est fort honnête, Délivre moi son fait, cependant mon ami Failes potre puequere vaponerney.
Thobie le pere baille la cedulle & ſon fils vaaccommoder ſes hardes.	Thobie le père baille la cédulle et son fils vaaccommoder ses hardes.
Anne.	Anne.
Ne te verray-ie plus (mon cher enfant Thobie Mon ſupport, mon ſoulas, le ſouſtien de ma vie, Ie ne te verray plus, las helas tu t’en vas	Ne te verrai-je plus (mon cher enfant Thobie Mon support, mon soûlas, le soutien de ma vie, Je ne te verrai plus, las hélas tu t'en vas
Azarie.	Azarie.
Ne gemiſſez point-tant appaiſez ie vous prie Les ſoupirs & les pleurs, car ie vous certifie, Que i’aymerois pluſtost de mille morts mourir Que de veoir vostre fils quel que mal encourir, Hé!	Ne gémissez point-tant apaisez Seigneur vous prie Les soupirs et les pleurs, car je vous certifie, Que j'aimerais plutôt de mille morts mourir Que de voir votre fils quel que mal encourir, Hé!
m’estimeriez vous ſi freſle & ſi debile De me charger d'vn fait dont ie ne fuße habille, Non non, aſſeurez-vous que ie puis conuoyer Voſtre fils ſain & ſauf.	m'estimeriez -vous si frêle et si débile De me charger d'une fait dont toutes ne fusse habille, Non non, assurez-vous que je puis convoyer Votre fils sain et sauf.
Aune.	Aune.
Mais i dy peur mejjarer Qu’vn malheur incognu mon enfant me moleſte Le prenant à l’eſeart & plustoſt la tempeſte Accrauante mon chef que i’entende iamais Ce que ie crains de luy.	Mais j' y peur méjarer Qu'un malheur inconnu mon enfant me moleste Le prenant à l'eseart et plutôt la tempête Accrauante mon chef que j'entende jamais Ce que tu crains de lui.
AZarie.	AZarie.
Femme ie vous promets Au peril de mon corps, & meſme de mon ame De garder vostre fiis, de mat, ue mort, de jeumme	Femme ici vous promets Au péril de mon corps, et même de mon âme De garder votre fiis, de mat, ue mort, de jeume
Anne.	Anne.
Pleuſt a Dieu que iamais n’eußions eu congnoiſſance ’il enprunta de nous eust eſté dans lamer Ie n’aurois maintenant vn couroux ſi amer.	Plût à Dieu que jamais n'eussions eu congnoissance il enprunta de nous eût esté an lamer Ie aurois maintenant ç si amer.
I lloble le pere.	I lloble le père.
Deſieunez mes enfans il vous en faut aller.	Désieunez mes enfants il vous en faut aller.
Thobie le ieune.	Thobie le jeune.
