A MADAME ADAME,	À MADAME ADAME,
C’eſt Agnés qu’on l’appelle.	C'est Agnès qu'on l'appelle.
Ah !	Ah !
ie creue.	Elle crève.
HORACE.	HORACE.
Pour l’Homme, C'eſt, ie croy, de laZouſſe, ou ſource, qu’on le nõme, Ie ne me ſuis pas fort arreſté ſur le nom;	Pour l'Homme, C'est, je ne me suis laZousse, ou source, qu'on le nomme, Je ne me suis pas fort arrêté sur le nom;
Riche, à ce qu’on mu die, mais des plus ſenſez, non, Et l’on m’en à parre come d vn feidicule.	Riche, à ce qu'on mu die, mais des plus sensés, non, Et l'on m'en à parre come dieux feidicule.
Le connoiſſez-vous point?	Le connaissez-vous point?
ARNOLPHE à part.	ARNOLPHE à part.
La faſcheuſe pilule;	La fâcheuse pilule;
HORACE.	HORACE.
mia.	mia.
voue ne uites mot?	voue ne uites mot?
ARNOLPHE.	ARNOLPHÉ.
Eh oüy, ie le connoy.	Eh oui, ie le connais.
HORACE.	HORACE.
C’eſt vn fou, n’eſt-ce pas?	C'est un fou, n'est-ce pas?
ARNOLPHE.	ARNOLPHÉ.
Eh.	Eh.
HORACE.	HORACE.
Qu'en dites-vous?	Qu'en dites-vous?
quoy?	quoi?
Eh?	Eh?
c’eſt à dire oüy Ialoux à faire rire?	c'est -à -dire ouï Jaloux à faire rire?
Sot?	Sot?
ie voy qu’il en eſt ce que l’on m’a pû dire, Enfin l’aimable Agnés a ſceu m’aſſujettir.	Ce vois qu'il en est ce que l'on m'a pu dire, Enfin l'aimable Agnès a su m'assujettir.
C’eſt vn ioly bijou, pour ne vous point mentir, Et ce ſeroit peché, qu’vne Beauté ſi rare Fuſt laiſſée au pouuoir de cet Homme bizarre.	C'est un joli bijou, pour ne vous point mentir, Et ce serait péché, qu'une Beauté si rare Fust laissée au pouvoir de cet Homme bizarre.
Pour moy, tous mes efforts, to9 mes vœux les pl9 doux, Vont à m’en rendre maiſtre, en dépit du ialoux?	Pour moi, tous mes efforts, tous mes vœux les plus doux, Vont à m'en rendre maître, en dépit du jaloux?
Et l’argent que de vous i’emprunte auec franchiſe, N’eſt que pour mettre à bout cette iuſte entrepriſe.	Et l'argent que de vous j'emprunte avec franchise, N'est que pour mettre à bout cette juste entreprise.
Voꝰ ſçauez mieuxque moi, quelques ſoiẽt nos efforts, Que l’argent eſt la clef de tous les grands reſſorts, Et que ce doux métal qui frappe tant de teſtes, En amour, cõme en guerre, auance les conqueſtes.	Vojestez mieuxque moi, quelques soient nos efforts, Que l'argent est la clef de tous les grands ressorts, Et que ce doux métal qui frappe tant de têtes, En amour, comme en guerre, avance les conquêtes.
vous me ſemblez chagrin, ſeroit-ce qu’en effet Vous deſaprouueriez le deſſein que i’ay fait?	vous me semblez chagrin, serait-ce qu'en effet Vous désapprouveriez le dessein que j'ai fait?
ARNOLPHE.	ARNOLPHÉ.
Non, c’eſt que ie ſongeois.	Non, c'est que ie mongeais.
HORACE.	HORACE.
Cet entretien vous laſſe;	Cet entretien vous lasse;
Adieu, i’iray chez vous tantoſt vous rendre grace.	Adieu, j'irai chez vous tantôt vous rendre grâce.
Ah!	Ah!
faut-il.	faut-il.
ANNOLEHE.	ANNOLEHÉ.
HORACE reuenant.	HORACE revenant.
Derechef, veüillez eſtre diſcret, t farres pas, de grace, éuenter mon ſecret.	Derechef, veuillez être discret, t arres pas, de grâce, éventer mon secret.
ARNOLPHE.	ARNOLPHÉ.
Que le lens duno inoiumones	Que le lens duno inumones
HORACE reuenant.	HORACE revenant.
Et ſur tout à mon PereQui s’en ferois peut-eſtre vn ſujet de colere.	Et sur tout à mon PèreQui s'en ferais peut-être un sujet de colère.
ARNOLPHE croyant qu’il reuient encore.	ARNOLPHE croyant qu'il revient encore.
Oh.	Oh.
Oh, que i’ay ſouffert durant cet entretien!	Oh, que j'ai souffert durant cet entretien!
Iamais trouble d’eſprit ne fut égal au mien.	Jamais trouble d'esprit ne fut égal au mien.
Auec quelle imprudence, & quelle haſte extréme, Il m’eſt venu conter cette affaire à moy-méme:	Avec quelle imprudence, et quelle hâte extrême, Il m'est venu conter cette affaire à moi-même:
Bien que mon autre nom le tienne dans l’erreur, Etourdy, montra-t’il iamais tant de fureur?	Bien que mon autre nom le tienne dans l'erreur, Éourdi, montra-t-il jamais tant de fureur?
Mais ayant tant ſouffert, ie deuois me contraindre, Iuſques à m’éclaircir de ce que ie dois craindre, A pouſſer iuſqu’au bout fon caquet indiſcret, Et ſçauoir pleinement leur commerce ſecret.	Mais ayant tant souffert, ie deuois me contraindre, Iusques ce que éclaircir de ce que ie dois craindre, A pousser jusqu'au bout son caquet indiscret, Et savoir pleinement leur commerce secret.
Tâchons à le rejoindre, il n’eſt pas loin, ie penſe, Tirons-en de ce faict l’entiere confidence.	Tâchons à le rejoindre, il n'est pas loin, tu pense, Tirons-en de ce fait l'entière confidence.
Ie tremble du malheur qui m’en peut arriuer, Et l’on cherche ſouuent plus qu’on ne veut trouuer.	Je tremble du malheur qui m'en peut arriver, Et l'on cherche souvent plus qu'on ne veut trouver.
Fin du premier Acte.	Fin du premier Acte.
TACIEIE SCENE PREMIERE.	TACIEIE SCÈNE PREMIÈRE.
ARNOLPHE.	ARNOLPHÉ.
L m’eſt, lors que i’y penſe, auantageux ſans doute, D’auoir perdu mes pas, & pû manquer ſa route:	 L'est, lors que j'y pense, avantageux sans doute, D'avoir perdu mes pas, et pu manquer sa route:
Car enfin, de mon cœur le trouble imperieux, N’euſt pû ſe renfermer tout entier à ſes yeux, Il euſt fait éclater l’ennuy qui me deuore, Mais ie ne ſuis pas Homme à gober le morceau, Et laiſſer vn champ libre aux vœux du Damoiſeau;	Car enfin, de mon cœur le trouble impérieux, N'eût pu se renfermer tout entier à ses yeux, Il eût fait éclater l'ennui qui me dévore, Mais tu ne suis pas Homme à gober le morceau, Et laisser un champ libre aux vœux du Damoiseau;
I’en veux rompre le cours, & ſans tarder, apprendre Iuſqu’où l’intelligence entr’eux a pû s’étendre:	J'en veux rompre le cours, et sans tarder, apprendre Jusqu'où l'intelligence entr'eux a pu s'étendre:
I’y prens, pour mon honneur, vn notable intereſt;	J'y prends, pour mon honneur, un notable intérêt;
Ie la regarde en Femme, aux termes qu’elle en eſt;	Je la regarde en Femme, aux termes qu'elle en est;
Elle n’a pû faillir, ſans me couurir de honte, Et tout ce qu’elle fait, enfin eſt ſur mon compte.	Elle n'a pu faillir, sans me couvrir de honte, Et tout ce qu'elle fait, enfin est sur mon compte.
Eloignement fatal!	Éloignement fatal!
Voyage malheureux!	Voyage malheureux!
Frapant à la porte.	Frappant à la porte.
SCENE II.	SCÈNE II.
ALAIN, GEORGETTE, ARNOLPHE.	ALAIN, GEORGETTE, ARNOLPHÉ.
ALAIN.	ALAIN.
AH!	AH!
Monſieur, cette fois.	Monsieur, cette fois.
ARNOLPHE.	ARNOLPHÉ.
Paix.	Paix.
Venez-çà tous deux:	Venez-çà tous deux:
Paſſez-là, paſſez-là.	Passez-là, passez-là.
Venez-là, venez dis-je.	Venez-là, venez dis-je.
GEORGETTE.	GEORGETTE.
An.	An.
vous me faites peury de coue mon tang le fige.	vous me faites peuri de coue mon tang le fige.
ARNOLPHE.	ARNOLPHÉ.
C’eſt donc ainn, qu'’ablent, vous m'auez obey, Et tous deux, de concert, vous m’auez donc trahy?	C'est donc ainn, qu'ablent, vous m'avez obéi, Et tous deux, de concert, vous m'avez donc trahi?
GEORGETTE.	GEORGETTE.
Eh ne me mangez pas, Monſieur, ie vous conjure.	Eh ne me mangez pas, Monsieur, on vous conjure.
ALAIN à part.	ALAIN à part.
Quelque Chien enragé l’a mordu, ie m’aſſeure.	Quelque Chien enragé l'a mordu, Elle m'assure.
ARNOLPHE.	ARNOLPHÉ.
Ouf.	Ouf.
Ie ne puis parler tant ie ſuis préuonu, Ie ſuffoque, & voudrois me pouuoir mettre nû.	Je ne puis parler tant grands suis préuonu, Je suffoque, et voudrais me pouvoir mettre nu.
Vous auez donc ſouffert, ô canaille maudite, Qu’vn Homme ſoit venu.	Vous avez donc souffert, ô canaille maudite, Qu'un Homme soit venu.
Tu veux prẽdre la fuite?	Tu veux prendre la fuite?
Il faut que ſur le champ.	Il faut que sur -le -champ.
Si tu bouges.	Si tu bouges.
Ie veux Que vous me diſiez.	Je veux Que vous me disiez.
Euh?	Euh?
Oüy, ie veux que toꝰ deux Quiconque remura, par la mort, ie l’aſſomme.	Oui, Seigneur veux que toù deux Quiconque remura, par la mort, Seigneur l'assomme.
Cõme eſt-ce que chez moy s’eſt introduit cet Hõme Eh?	Comme est-ce que chez moi s'est introduit cet Homme Eh?
parlez, dépeſchez, viſte, promptement, toſt, Sans reſver, veut-on dire?	parlez, dépêchez, vite, promptement, tôt, Sans rêver, veut-on dire?
ALAIN & GEORGETTE.	ALAIN et GEORGETTE.
Ah, ah.	Ah, ah.
Ie meurs.	Je meurs.
ARNOLPHE.	ARNOLPHÉ.
Ie ſuis en eau:	Je suis en eau:
prenons vn peu d’haleine:	prenons un peu d'haleine:
Il faut que ie m’éuente, & que ie me promeine.	Il faut que ici m'évente, et que ici me promène.
Aurois-je deuiné, quand ie l’ay veu petit, Qu’il croiſtroit pour cela!	Aurais-je deviné, quand ici l'ai vu petit, Qu'il croîtrait pour cela!
Ciel!	Ciel!
que mõ cœur pâtit!	que mon cœur pâtit!
Ie pẽſe qu’il vaut mieux que de ſa propre bouche Ie tire auec douceur l’affaire qui me touche.	Je pense qu'il vaut mieux que de sa propre bouche Je tire avec douceur l'affaire qui me touche.
Tâchons à moderer noſtre reſſentiment;	Tâchons à modérer notre ressentiment;
Patience, mon cœur, doucement, doucement.	Patience, mon cœur, doucement, doucement.
Leuez-vous, & rentrant, faites qu’Agnés deſcende.	Levez-vous, et rentrant, faites qu'Agnès descende.
Arreſtez.	Arrêtez.
Sa ſurpriſe en deuiendroit moins grande, Du chagrin qui me trouble, ils iroient l’auertir, Et moy-meſme ie veux l’aller faire ſortir.	Sa surprise en deviendrait moins grande, Du chagrin qui me trouble, ils iraient l'avertir, Et moi-même Je veux l'aller faire sortir.
Que l’on m’attende icy.	Que l'on m'attende ici.
SCENE III.	SCÈNE III.
ALAIN, GEORGETTE.	ALAIN, GEORGETTE.
L2 On Dieu, qu’il eſt terrible!	L2 On Dieu, qu'il est terrible!
Ses regards m’on fait peur, mais vne peur horrible, Et iamals le ne vls vn prusmideda Cretien.	Ses regards m'on fait peur, mais ainsi peur horrible, Et jamals le ne veuls un prusmideda Cretien.
ALAIN.	ALAIN.
Ce Monſieur l’a fâché, ie te le diſois bien.	Ce Monsieur l'a fâché, Seigneur te le disais bien.
GEORGETTE.	GEORGETTE.
Mais que diantre eſt-ce là, qu’auec tant de rudeſſe Il nous fait au logis garder noſtre Maiſtreſſe?	Mais que diantre est-ce là, qu'avec tant de rudesse Il nous fait au logis garder notre Maîtresse?
Dou viene qu'u tout le modoitoue tant la cacher, Et qu’il ne ſçauroit voir perſonne en approcher?	Dou viene qu'hu tout le modaitoue tant la cacher, Et qu'il ne saurait voir personne en approcher?
ALAIN.	ALAIN.
C’eſt que cette action le met en ialouſie.	C'est que cette action le met en jalousie.
GEORGETTE.	GEORGETTE.
Mais d’où vient qu’il eſt pris de cet fantaiſie?	Mais d'où vient qu'il est pris de cet fantaisie?
ALAIN.	ALAIN.
Cela vient.	Cela vient.
Cela vient, de ce qu’il eſt jaloux.	Cela vient, de ce qu'il est jaloux.
GEORGETTE.	GEORGETTE.
[roux?	[roux?
Oüy:	Oui:
mais pourquoy l’eſt-il;	mais pourquoi l'est-il;
& pourquoy ce cour	et pourquoi ce cour
ALAIN.	ALAIN.
C’eſt que la ialouſie.	C'est que la jalousie.
Entens-tu bien, Georgette, Eſt vne choſe.	Entends-tu bien, Georgette, Est une chose.
la.	la.
qui fait qu’on s’inquiete.	qui fait qu'on s'inquiète.
Et qui chaſſe les gens d’autour d’vne maiſon.	Et qui chasse les gens d'autour d'une maison.
Ie m’en vais te bailler vne comparaiſon, Afin de conceuoir la choſe dauantage Dis-moy, n’eſt-il pas vray, quãd tu tiens ton potages Que ſi quelque affamé venoit pour en manger Tu ſerois en colere, & voudrois le charger?	Je m'en vais te bailler une comparaison, Afin de concevoir la chose davantage Dis-moi, n'est-il pas vrai, quand tu tiens ton potages Que si quelque affamé venait pour en manger Tu serais en colère, et voudrais le charger?
GEORGETTE.	GEORGETTE.
Oüy, ie comprens cela.	Oui, Seigneur comprends cela.
A LAIN.	À LAIN.
C’eſt iuſtement tout comme, La Femme eſt en effet le potage de l’Homme;	C'est justement tout comme, La Femme est en effet le potage de l'Homme;
Et quand vn Homme voit d’autres Hõmes par fois, Qui veulent dans ſa ſoupe aller trẽper leurs doigts;	Et quand un Homme voit d'autres Hommes par fois, Qui veulent dans sa soupe aller tréper leurs doigts;
Il en montre auſſi-toſt vne colere extréme.	Il en montre aussitôt une colère extrême.
GEORGETTE.	GEORGETTE.
Oujanlais pourquoy endeti n'e laiten pas de meſme?	Oujanlais pourquoi endi n'e laiten pas de même?
Et que nous en voyons qui paroiſſent joyeux, Lors que leurs Fẽmes ſont auec les beaux Monſieux?	Et que nous en voyons qui paraissent joyeux, Lors que leurs Femmes sont avec les beaux Monsieux?
ALAIN.	ALAIN.
C’eſt que chacun n’a pas cette amitié gouluë, Qui n’en veue que pourloy:	C'est que chacun n'a pas cette amitié goulue, Qui n'en veue que pourloi:
GEORGETTE.	GEORGETTE.
Si ie n’ay la berluë, Ie le voy qui reuient.	Si ici n'ai la berlue, Je le vois qui revient.
ALAIN.	ALAIN.
Tes yeux ſont bons, c’eſt luy.	Tes yeux sont bons, c'est lui.
GEORGETTE.	GEORGETTE.
Voy comme il eſt chagrin.	Vois comme il est chagrin.
ALAIN.	ALAIN.
C’eſt qu’il a de l’ennuy.	C'est qu'il a de l'ennui.
SCENE IV, ARNOLPHE, AGNES, ALAIN, GEORGETTE.	SCÈNE IV, ARNOLPHE, AGNES, ALAIN, GEORGETTE.
ARNOLPHE.	ARNOLPHÉ.
YN certain Grec, diſoit à l’Empereur Auguſte, V Comme vne inſtruction vtile, autant que iuſte, Que lors qu’vne auanture en colere nous met, Nous deuons, auant tout, dire noſtre Alphabet.	IN certain Grec, disait à l'Empereur Auguste, V Comme une instruction vtyle, autant que juste, Que lors qu'une aventure en colère nous met, Nous devons, avant tout, dire notre Alphabet.
Afin que dans ce temps la bile ſe tempere, Et qu’on ne faſſe rien que l’on ne doiue faire.	Afin que dans ce temps la bile se tempère, Et qu'on ne fasse rien que l'on ne doive faire.
I’ay ſuiuy ſa leçon ſur le ſujet d’Agnés;	J'ai suivi sa leçon sur le sujet d'Agnès;
Et ie la fais venir dans ce lieu tout exprés.	Et ici la fais venir dans ce lieu tout exprès.
Sous pre texte d’y faire vn tour de promenade Afin que les ſoupçons de mon eſprit malade Puiſſe ſur le diſcours la mettre adroitement, Et luy ſondant le cœur s’éclaircir doucement.	Sous pré texte d'y faire un tour de promenade Afin que les soupçons de mon esprit malade Puisse sur le discours la mettre adroitement, Et lui tondant le cœur s'éclaircir doucement.
Venez, Agnés.	Venez, Agnès.
Rentrez.	Rentrez.
ARNOLPHE.	ARNOLPHÉ.
Le beau lour.	Le beau lour.
AGNES.	AGNES.
Fort beau!	Fort beau!
ARNOLPHE.	ARNOLPHÉ.
Quelle nouuelle?	Quelle nouvelle?
AGNES.	AGNES.
Le petit chat eſt mort.	Le petit chat est mort.
ARNOLPHE.	ARNOLPHÉ.
C’eſt dommage:	C'est dommage:
mais quoy Nous ſommes tous mortels, & chacun eſt pour ſoy, Lors que i’eſtois aux chãps n’a-il point fait de pluye	mais quoi Nous sommes tous mortels, et chacun est pour soi, Lors que j'étais aux chans n'a-il point fait de pluie
Nona AGNES.	Nona AGNES.
ARNOLPHE.	ARNOLPHÉ.
vous ehhujoiteil?	vous ehhujoiteil?
AGNES.	AGNES.
Iamais ie ne m’ennuye.	Jamais ici ne m'ennuie.
ARNOLPHE.	ARNOLPHÉ.
Qu’auez-vous fait encore ces neuf ou dix iours-cy	Qu'avez-vous fait encore ces neuf ou dix jours-cy
AGNES.	AGNES.
Six chemiſes, ie penſe, & ſix coiffes auſſi.	Six chemises, ie pense, et six coiffes aussi.
ARNOLPHE ayant vn peu reſué.	ARNOLPHE ayant un peu rêvé.
Ie monde chere Agnés, eſt vne eſtrange choſe.	Je monde chère Agnès, est une étrange chose.
Voyez la médiſance, & comme chacun cauſe.	Voyez la médisance, et comme chacun cause.
Quelques voifins m’ont dit, qu’vn ieune homme ) inconnu, Eſtoit en mon abſence à la maiſon venu;	Quelques voisins m'ont dit, qu'un jeune homme ) inconnu, Était en mon absence à la maison venu;
Que vous auiez ſouffert ſa veuë & ſes harangues:	Que vous aviez souffert sa vue et ses harangues:
Mais ie n’ay point pris foy ſur ces méchantes langues.	Mais ici n'ai point pris foi sur ces méchantes langues.
Et i’ay voulu gager que c’eſtoit fauſſement.	Et j'ai voulu gager que c'était faussement.
AGNES.	AGNES.
mommieu, ne pagen paomrous perdriez vrayment.	moment, ne pagen paomrous perdriez vraiment.
ARNOLPHE.	ARNOLPHÉ.
Quoy!	Quoi!
c’eſt la verité qu’vn homme.	c'est la vérité qu'un homme.
AGNES.	AGNES.
Choſe ſeure.	Chose sûre.
Il n'a preſque bougé de chez nous, ie vous iure,	Il n'a presque bougé de chez nous, je vous jure,
ARNOLPHE à part.	ARNOLPHE à part.
Cecadaea quenle lalcauee Meerlte r.	Cecadaea quenle lalcauee Merlte r.
Me marque pour le moins ſon ingenuité.	Me marque pour le moins son ingénuité.
Mais il me ſemble, Agnés ſi ma memoire eſt bonne, Que i’auois deffendu que vous viſſiez perſonne.	Mais il me semble, Agnès si ma mémoire est bonne, Que j'avais défendu que vous vissiez personne.
AGNES.	AGNES.
Oüy:	Oui:
mais quand ie l’ay veu, vous ignorés pourquoy, Et vous en auriez fait, ſans doute, autant que moy.	mais quand ici l'ai vu, vous ignorez pourquoi, Et vous en auriez fait, sans doute, autant que moi.
ARNOLPHE.	ARNOLPHÉ.
Peut-eſtre:	Peut-être:
mais enfin, contez-moy cette Hiſtoire.	mais enfin, contez-moi cette Histoire.
AGNES.	AGNES.
Elle eſt fort eſtonnante & difficile à croire.	Elle est fort étonnante et difficile à croire.
l’eſtois ſur le Balcon à trauailler au frais, Lors que ie vis paſſer ſous les arbres d’auprés Vn ieune hõme bien fait, qui rencontrant ma veuë, D’vn humble reuerence auſſi-toſt me ſaluë:	l'étais sur le Balcon à travailler au frais, Lors que tu vis passer sous les arbres d'auprès Un jeune homme bien fait, qui rencontrant ma vue, D'un humble révérence aussitôt me salue:
Moy, pour ne point manquer à la ciuilité, Ie fis la reuerence auſſi de mon coſté.	Moi, pour ne point manquer à la civilité, Je fis la révérence aussi de mon côté.
Soudain, il me tefait vne autre reuerence:	Soudain, il me tefait une autre révérence:
Moy, i’en refais de meſme vne autre en diligence Et luy d’vne troiſieſme auſſi-toſt repartant, D’vne troifieſme auſſi i’y repars à l’inſtant.	Moi, j'en refais de même un autre en diligence Et lui d'une troisième aussitôt repartant, D'une troifiesme aussi j'y repars à l'instant.
Il paſſe, vient, repaſſe, & touſiours de plus bell Me fait à chaque fois reuerence nouuelle:	Il passe, vient, repasse, et toujours de plus bell Me fait à chaque fois révérence nouvelle:
Et moy, qui tous ees tours fixement regardois, Nouuelle reuerence auſſi ie luy rendois.	Et moi, qui tous ces tours fixement regardais, Nouvelle révérence aussi personne lui rendais.
Tant, que ſi ſur ce point la nuit ne fut venuë, Toujours comne ctla ie me ſerois tenuë;	Tant, que si sur ce point la nuit ne fut venue, Toujours comne cla apprendre me serais tenue;
Ne voulant point ceder ny receuoir l’ennuy, Qu'iiine pult enmer moins clune que luy.	Ne voulant point céder ni recevoir l'ennui, Qu'iine pult enmer moins clune que (.
Fort bien.	Fort bien.
ARNOLPHE.	ARNOLPHÉ.
AGNES.	AGNES.
Le lendemain eſtant ſur noſtre porte, Vne vieille m’aborde en parlant de la ſorte.	Le lendemain étant sur notre porte, Une vieille m'aborde en parlant de la sorte.
Mon enfant, le bon-Dieu puiſſe-t’il vous benir, Et dãs tous vos attraits long-temps vous maintenir Il né vous a pas faite vne belle perſonne, Afin de mal-vſer des choſes qu’il vous donne!	Mon enfant, le bon-Dieu puisse-t-il vous bénir, Et dans tous vos attraits longtemps vous maintenir Il né vous a pas faite une belle personne, Afin de mal passer des choses qu'il vous donne!
Et vous deuez ſçauoir que vous auez bleſſé Vn cœur, qui de s’en plaindre eſt aujourd’huy forcés	Et vous devez savoir que vous avez blessé Un cœur, qui de s'en plaindre est aujourd'hui forcès
ARNOLPHE à part.	ARNOLPHE à part.
Ah!	Ah!
ſupoſt de Sathan, execrable damnée.	suppôt de Satan, exécrable damnée.
AGNES.	AGNES.
Moy, i’ay bleſſé quelqu’vn?	Moi, j'ai blessé quelqu'un?
fis-je toute eſtonnée.	fis-je toute étonnée.
Oüy, dit-elle, bleſſé, mais bleſſé tout de bon;	Oui, dit-elle, blessé, mais blessé tout de bon;
Et c’eſt l’homme qu’hier vous viſtes du Balcon.	Et c'est l'homme qu'hier vous vîtes du Balcon.
Helas!	Hélas!
qui pourroit, dis-je, en auoir eſté cauſe Sur luy ſans y penſer, fis-je choir quelque choſe?	qui pourrait, dis-je, en avoir été cause Suriblé sans y penser, fis-je choir quelque chose?
Non, dit-elle, vos yeux ont fait ce coup fatal, Et c'eſt de leurs regards qu’eſt venu tout ſon mal.	Non, dit-elle, vos yeux ont fait ce coup fatal, Et c'est de leurs regards qu'est venu tout son mal.
Hé, mon Dieu!	Hé, mon Dieu!
ma ſurpriſe eſt, fis-je, ſans ſeconde?	ma surprise est, fis-je, sans seconde?
Mes yeux ont-ils du mal pour en donner au monde, Oüy, fit-elle, vos yeux, pour cauſer le trépas Ma fille, ont vn venin que vous ne ſçauez pas:	Mes yeux ont-ils du mal pour en donner au monde, Oui, fit-elle, vos yeux, pour causer le trépas Ma fille, ont un venin que vous ne savez pas:
En vn mot, il languit le pauure miſerable;	En un mot, il languit le pauvre misérable;
Et s’il faut, pourſuiuit la vieille charitable, Que voſtre cruauté luy refuſe vn ſecours, C’eſt vn homme à porter en terre dans deux iours.	Et s'il faut, poursuivit la vieille charitable, Que votre cruauté lui refuse un secours, C'est un homme à porter en terre dans deux jours.
Mon Dieul i’en aurois, dy-je, vne douleur bien grãde.	Mon Dieul j'en aurais, dis-je, une douleur bien grande.
Mais pour le ſecourir, qu’eſt-ce qu’il me demande?	Mais pour le secourir, qu'est-ce qu'il me demande?
Mon enfant, me dit-elle, il ne veut obtenir Que le bien de vous voir & vous entretenir:	Mon enfant, me dit-elle, il ne veut obtenir Que le bien de vous voir et vous entretenir:
Vos yeux peuuent eux ſeuls empeſcher ſa ruine, Et du mai qu'iis ont fartertre la medecine.	Vos yeux peuvent eux seuls empêcher sa ruine, Et du mai qu'iis ont fartertre la médecine.
Helas!	Hélas!
volontiers, dis-je, & puis qu’il eſt ainſi, Il peut tant qu’il voudra me venir voir icy.	volontiers, dis-je, et puis qu'il est ainsi, Il peut tant qu'il voudra me venir voir ici.
ARNOLPHEa part.	ARNOLPHÉTa part.
Ah!	Ah!
ſorciere maudite, empoiſonneuſe d’ames, Puiſſe l’Enfer payer tes charitables trames.	sorcière maudite, empoisonneuse d'âmes, Puisse l'Enfer payer tes charitables trames.
22 AGNES.	22 AGNES.
Voila comme il me vit & receut gueriſon.	Voilà comme il me vit et reçut guérison.
22 Vous-meſme, à voſtre aduis, n’ay-je pas eu raiſon?	22 Vous-même, à votre avis, n'ai-je pas eu raison?
Et pouuois-je, apres tout, auoir la conſcience De le laiſſer mourir faute d'vne aſſiſtance?	Et pouvais-je, après tout, avoir la conscience De le laisser mourir faute d'une assistance?
Moy qui compâtis tant aux gens qu’on fait ſouffrir, Et ne puis, ſans pleurer, voir vn poulet mourir.	Moi qui compatis tant aux gens qu'on fait souffrir, Et ne puis, sans pleurer, voir é poulet mourir.
ARNOLPHEbas.	ARNOLPHÉbas.
Tout cela n’eſt party que d’vne ame innocente:	Tout cela n'est parti que d'une âme innocente:
Et i’en dois accuſer mon abſence imprudente, Qui ſans guide a laiſſé cette bonté de mœurs Expoſée aux aguets des ruſez ſeducteurs.	Et j'en dois accuser mon absence imprudente, Qui sans guide a laissé cette bonté de mœurs Exposée aux aguets des rusés séducteurs.
B iij Ie crains que le pendart, dans ſes vœux temeraires, vn peu plus rort que jeu n’ait pouſſe les affaires.	 Bij à crains que le pendard, dans ses vœux téméraires, un peu plus rort que jeu n'ait pousse les affaires.
AGNES.	AGNES.
Qu’auez-vous;	Qu'avez-vous;
vous grondez, ce me ſẽble, vn petit, Eſt-ce que c’eſt mal fait ce que ie vous ay dit;	vous grondez, ce me semble, un petit, Est-ce que c'est mal fait ce que ie vous ai dit;
ARNOLPHE.	ARNOLPHÉ.
Mun miard de cette veue apprenezamoy les ſuites;	Mun miard de cette vue apprenezamoi les suites;
Et comme le ieune homme a paſſé ſes viſites.	Et comme le jeune homme a passé ses visites.
AGNES.	AGNES.
Helas!	Hélas!
ſi vous ſçauiez, comme il eſtoit rauy ?	si vous savez, comme il était ravi ?
Comme il perdit ſon mal, ſi-toſt que ie le vy;	Comme il perdit son mal, sitôt que sans le vis;
Le preſent qu’il m’a fait a rne bene canette, Et l’argent qu’en ont eu noſtre Alain & Georgette;	Le présent qu'il m'a fait a rène bene canette, Et l'argent qu'en ont eu notre Alain et Georgette;
ano du majmeneztans doute, œuiriez comline nous.	ano du majmeneztants doute, œuiriez comline nous.
ARNOLPHE.	ARNOLPHÉ.
Oüy, mais que faiſoit-il eſtant ſeul auec vous?	Oui, mais que faisait-il étant seul avec vous?
AGNES.	AGNES.
Il iuroit, qu’il m’aimoit d’vne amour ſans ſeconde, Et me diſoit des mots les plus gentils du monde;	Il jurait, qu'il m'aimait d'une amour sans seconde, Et me disait des mots les plus gentils du monde;
Des enores que famais rien ſe peut egaler;	Des enores que famais rien se peut égaler;
Et dont, toutes les fois que ie l’entends parler, La douceur me chatoüille, & là dedans remuë Certain ie ne ſçay quoy, dont ie ſuis toute émeuë.	Et dont, toutes les fois que ici l'entends parler, La douceur me chatouille, et là -dedans remue Certain je ne sais quoi, dont personne suis toute émue.
ARNOLPHE à part.	ARNOLPHE à part.
O fâcheux examen d’vn myſtere fatal, Où l’examinateur ſouffre ſeul tout le mal!	Ô fâcheux examen d'une mystère fatal, Où l'examinateur souffre seul tout le mal!
Axnés.	Axnès.
Outie tousces dicours, toutes ces gentiireſſes.	Outie tousces dicours, toutes ces gentiiresses.
Ne vous faiſoit-il point auſſi quelques careſſes?	Ne vous faisait-il point aussi quelques caresses?
AGNES.	AGNES.
Oh tant, il me prenoit & les mains & les bras, Et de me les baiſer il n’eſtoit iamais las.	Oh tant, il me prenait et les mains et les bras, Et de me les baiser il n'était jamais las.
ARNOLPHE.	ARNOLPHÉ.
a voyãt Ne vous a-t-il point pris, Agnés, quelqu’autre choſe	a voyant Ne vous a-t-il point pris, Agnès, quelque autre chose
AGNES.	AGNES.
Hé, il m'a.	Hé, il m'a.
ARNOLPHE.	ARNOLPHÉ.
2	2
AGNES.	AGNES.
Pris.	Pris.
ANNODTAAD.	ANNODTAD.
Euh!	Euh!
AGNES.	AGNES.
Le.	Le.
ARNOLPHE.	ARNOLPHÉ.
Plaiſt-il?	Plaît-il?
ATOIVDO.	ATOIVDO.
Ie n’oſe, Et vous vous faſcherez peut-eſtre contre moy.	Je n'ose, Et vous vous fâcherez peut-être contre moi.
Non.	Non.
ARNOLPHE.	ARNOLPHÉ.
Sifait.	Sifait.
AGNES.	AGNES.
ARNOIPHE.	ARNOIPHÉ.
Mon-dieu !	Mon-dieu !
non.	non.
AONBO.	ÀONBO.
Iurez donc voſtre foy.	Jurez donc votre foi.
