ADONIS .	ADONIS .
Tremble, vient & tuient & paliſt tout tuſeriblt, Le peintre ingenieux qui voudra retirer Tous maux en vn tableaus cu voyſe figurer Ce monſtre Lerxten & ſon portraict inſame Car rien ne ſemble iant à tout mal que la ſemme.	Tremble, vient et tuient et palist tout témuseriblt, Le peintre ingénieux qui voudra retirer Tous maux en un tableaus cv voise figurer Ce montre Lerxten et son portrait insame Car rien ne semble jant à tout mal que la semme.
Vous pet auantetoureurs mal aduiſez corbeaux, Chantres Biſtoniens prophetes des tembeaux, Vous rages mon appuy qui me cretiez la teſte, Pour vn plumage blanc de ſoudre & de tempeſte.	Vous pet avantetoureurs mal avisez corbeaux, Chantres Bistoniens prophètes des tembeaux, Vous rages mon appui qui me cretiez la tête, Pour un plumage blanc de soudre et de tempête.
Toy rebelle diſcort au double couſtelas:	Toi rebelle discort au double coûtelas:
Vous inſernaux denions:	Vous insernaux dénions:
Vous acharnez debats, Toz martel ſoupçonneux qui iamais ne ſommeilles Ayant vn pied dreße & le cheſ plain d’oreilles vous terieurs, veus borreurs, toy crainte, ãs paumõ Et tout ecla qui beit les eaux du froid Sirimon, Et qui tient d’Erimant la plus proſonde rocbe ventz, ionncz, hurlez, accompaignez mon cothe Tout bõuillaut de touroux:	Vous acharnez débats, Toz martel soupçonneux qui jamais ne sommeilles Aimant un pied dresse et le chez plain d'oreilles vous terieurs, veus borreurs, toi crainte, ans paumõ Et tout ecla qui beit les eaux du froid Sirimon, Et qui tient d'Erimant la plus prosonde rocbe vent, jonnés, hurlez, accompagnés mon cothe Tout bõuillaut de touroux:
Außi-toſt qu’vn oi ſeau I’yray, i'yray trouuer ce braue damoiſcau, Et prendray de ſon ſang l’honneur de mon trophee, Comme on voit quelqu:	Aussi-tôt qu'Han oi seau J'irai, j'ai trouver ce brave damaiscau, Et prendrai de son sang l'honneur de mon trophée, Comme on voit quelqu:
sſois vne griſle Riphec Foudroyer, dißiper les ſapins & buiſſons Et l’eſpoir launiſſant des prochaines nuoiſſont;	sois une grisle Riphec Foudroyer, dissiper les sapins et buissons Et l'espoir launissant des prochaines nuaissont;
Le triſte labourcur ſe rompant le viſage Contre ſon eſtomach ſait vn ſecond orege, Ou comme vne Tigreſſe au Caſpiex rocher Arant perdu ſet ſaons ne ceſſi de tercher Plus legere beaucoup que ſon mary Zephire, En ſin prend le tolleur, & ſoudain le deſebire En mille & mille parte, non autrement auſii It veux enragtment contenter mon ſouty.	Le triste labourcur se rompant le visage Contre son estomacach sait un second orege, Ou comme une Tigresse au Caspiex rocher Arant perdu set saons ne cessy de tercher Plus légère beaucoup que son mari Zéphire, En sin prend le tolleur, et soudain le déebire En mille et mille parte, non autrement ausi It fut enragment contenter mon souty.
Rien ne m’empeſcbtra que brulant it ne volle Sur le neigeux ſautat, ſur les glates du Pole, Es abiſmes d'enſer, Au monde ſant eouleur.	Rien ne m'empêcbtra que brûlant it ne volle Sur le neigeux sautât, sur les glates du Pole, Es abîmes d'enser, Au monde sant eouleur.
Et ſi le noir Iupln s’oppoſe à ma douleur, Sa ſemme, ſa maiſon, ſet trois gueulles portitreil Ses vrnes & fureurs ne demourront entitres te fracaſſeray toul.	Et si le noir Juplin s'oppose à ma douleur, Sa semme, sa maison, set trois gueulles portitreil Ses vrnes et fureurs ne demourront entitres te fracasserai toul.
Diane.	Diane.
He Mars mal conſeillé.	He Mars mal conseillé.
Il vaudroit beaucoup mieux dedant ton œil ſile Reteueir le ſommeil qu’eſcbauſſer les tenebres De ſangloit impertunt & de plaintes ſuntbres:	Il vaudrait beaucoup mieux dedant ton œil síle Réteueir le sommeil qu'écbausser les ténèbres De sanglait impertunt et de plaintes suntbres:
Ainſi voit-on en vain le thoreau moins puiſſant St cacher ls ſablons loin du pre verdiſſant, Et cedant au vainqueur ſon amante cornuë Aſtonner de ſes tris le deſtri & la nuë.	Ainsi voit-on en vain le thoreau moins puissant St cacher lois sablons loin du pré verdissant, Et cédant au vainqueur son amante cornue Astonner de ses tris le destry et la nue.
Mars.	Mars.
O parques, ô fuſeaux, Ô deſtin mal tiſſu, O chaos enſermi dont mon mal eſt:	Ô parques, ô fuseaux, destin mal tissu, Ô chaos ensermi dont mon mal est:
iſſu:	issu:
Las belas quel conſeil?	Las bêlas quel conseil?
que maintenant le dorme Or qu’on me faict vn tort ſi laſchement enorme?	que maintenant le dorme Or qu'on me fait un tort si lâchement énorme?
Que le preſſt le lit & le mol trauerſain Sans rien effectuer de mon premier deſſain?	Que le presst le lit et le mol travers Sans rien effectuer de mon premier dessain?
Un autre loupra durant ceſte nuit ſombre Du ſolide plaiſic & ie n’auray que l’ombre Que i’endure ce tort?	Un autre loupra durant cette nuit sombre Du solide plaisic et ie n'aurai que l'ombre Que j'endure ce tort?
le ſerois inſence De languir ſur la plume ayent le cœur bleßt C’eſt affaire aux Teſſont de ronſter deſſous terrt Et aux Ours cautrnitrs non, au Dleu ionne-guerre?	le serais insence De languir sur la plume aient le cœur blesst C'est affaire aux Tessont de ronster dessous terrt Et aux Ours cautrnitrs non, au Dleu yonne-guerre?
Aimt ſang, aime bruit d’Olimpe le rempart.	Aimt sang, aime bruit d'Olympe le rempart.
Diane.	Diane.
pari Mettont pour quelque temps ces btaux tiltres & Etrtes Olenlin, it direy ſant menſong	pari Mettont pour quelque temps ces btaux titres et Etrtes Olenlin, it direi sant mensong
Par trop legerement en ce courroux amer, Sçais-tu pas que venus eſt fille de la mer Parlure, variable, inconſlante incer taine, Qui ſe tourne ſouuent à la premlere halaine.	Par trop légèrement en ce courroux amer, Sais-tu pas que venus est fille de la mer Parlure, variable, inconslante incer taine, Qui se tourne souvent à la premre halaine.
Doncques lu deſirois eſtre ſeul fauory:	Donc lu désirais être seul favori:
Vien-çà qui ſut premier d’Erycine cberp?	Viens-çà qui sut premier d'Erycine cerp?
Ne fuſſe pas Vulcan qui le foudre martelle, Auquel elle promiſt vne ſoy muſuelle, Et que iamais ſon cœr n’aymet ois changement, Toutesſois nous voyens comme ſidellement Elle a depuis et iour ſa premeſſe gardee.	Ne fusse pas Vulcan qui le foudre martelle, Auquel elle promît une soi musuelle, Et que jamais son cœr n'aimet ais changement, Toutessais nous voyens comme sidellement Elle a depuis et jour sa prêmesse gardée.
Ores elle i’en va par ſes pigeons guidec Es antres Idiens, ls ſoreſti, ſur le mont, on à ſes appetits l’impudente ſemont Anchiſe ſe bouuier, maintenant elle enragApres ſon Adonis qui la ſient en ſeruage.	Ores elle j'en va par ses pigeons guidec Es antres Idiens, ls sorestia par ses mont, on à ses appétits l'impudente semont Anchise se bouvier, maintenant elle enragApres son Adonis qui la sient en servage.
Et toy meſme qui ſais eluſi le ſuſfiſant Tu ſçais bien ſi le ſer de lemmos eſt peſant!	Et toi même qui sais élusi le susfisant Tu sais bien si le ser de lémos est pesant!
Une ſalle putain imlte la ſoetune Se manſtrant familitre & tantoſt importunt Elle chaſſ Ies vns les auir' elle reçoit Et les mieux accomplis volage elle decoit:	Une salle putain imlte la soetune Se manstrant familitre et tantôt importunt Elle chass Jes uns les auir' elle reçoit Et les mieux accomplis volage elle déçoit:
Iamais l’enſant aiſté ne ſe ſaoule de larmes Ny le braue ſoldal d ſanglantes alarmes, Les abeilles de ſleurs, & la ſemme touſiours Deſite pratlquer de nouu lles amours, Airſi fauça ladis ticleine Terapnée A l'Atride mineut ſa parole donnee.	Jamais l'ensant aisé ne se saoule de larmes Ny le brave soldal d sanglantes alarmes, Les abeilles de sleurs, et la semme toujours Désite pratquer de nouvles amours, Airsi sauça ladis ticleine Terapnée À l'Atride minut sa parole donnée.
De là vindrent auſſi mille & mille combats La Troyenne cité ſuſt renuerſée à bas H.	De là vindrent aussi mille et mille combats La Troyenne cité sût renversée à bas H.
ctur meſme teignit ſa pouciere net ille Bref de là proſſeda la ruine totale De l’Emplre Aſien, tant ee morielbrandon, 2 Enſercina les murs de vitil Iaomedon Ot l’humain iugement merite quelque exeuſe, Mais ie nt ſpay pourquoy ceſte ſurcur i’abuſe *I le Roy Stigien, ni le diuin courrier, Ni mon pere Phabus à lombre d’vn lattier.	ctur même teignit sa poucière net ille Bref de là prosséda la ruine totale De l'Emplre Asien, tant ce morielbrandon, 2 Ensercina les murs de vitil Iaomedon Ot l'humain jugement mérite quelque exeuse, Mais tu n' ai pourquoi cette surcur j'abuse *I le Roi Stigien, ni le divin courrier, Ni mon père Phabus à lombre d'un lattier.
Mars.	Mars.
Iupiter en cela nous ſert de porte enſtigne, A qudt meſmes dardi la poitrint encor ſeigne.	Jupiter en cela nous sert de porte enigne, A qudt mêmes dardi la poitrint encor seigne.
Diane.	Diane.
ſupiter en cela nout monſtre euidimment.	supiter en cela nout montre éidimment.
Qu’eſtant mal aduerti ſon pouuoir il dement.	Qu'étant mal averti son pouvoir il dément.
Pere pareonne-moy, n’eſt-ce pae villenie Que tu plantes au ciel vne troppe infiait D’adulteres ſlambeaux, afis qu’il ſoit polu Comme le monde bas de ce ſeu di ſſolu:	Père pareonne-moi, n'est-ce paye villénie Que tu plantes au ciel une troppe infiait D'adultères sambeaux, afis qu'il soit polu Comme le monde bas de ce di solu:
Iermalgre lunon l’Ourſe Menalienne Là pend ſur l’Ocean flamme Otbalitnne Det feres inuoquez:	Iermalgré lunon l'Ourse Ménalienne Là pend sur l'Océan flamme Otbalitnne Det ferez invoquez:
& là reluit encor Le Thoreau qui rauit la fille dAgenor.	et là reluit encor Le Thoreau qui ravit la fille dAgénor.
Opure cbaſtesé, ô vertu ſans macule, Eſt-ce doncq’en ce poiut que thacun te recule, Mait ſace tupiter au ciel ce qu’il voudra Cependant que l’obſcur des bois m’appartiend a I’eſpere de punir grieſuement ceſte peſte.	Opure cbastesé, ô vertu sans macule, Est-ce donc'en ce poiut que thacun te recule, Mait sace tupiter au ciel ce qu'il voudra Cependant que l'obscur des bois m'appartiend à J'espère de punir griesuement cette peste.
Mars.	Mars.
O Race Latboyde, ô lumiere celeſte, Sœur du grand Apolon, & l'œil dis paſtes nuicts, Tu me veux ſoulager en mes triſtes ennuits, Hamble is te ſupply montalenere pueille Par le iaune tarquois pendant à ton aiſſelle.	Ô Race Latboide, ô lumière celeste, Sœur du grand Apolon, et l'œil dis pâtes nuits, Tu me veux soulager en mes tristes ennuits, Hamble is te suppli montalenere pèveille Par le jaune tarquais pendant à ton aisselle.
Par Ies ſermes garreis, par ta vhginité, Donne moy qu’Adenis ordement enfanil, Et ſallement nourry, tombe mort ſur le ſable, At ton eſprouua ton courroux implatable Calidon i’en repend, Niobe le ſentit rinjujuaromogucmnre peenntriſs	Par Jes sermes garreis, par ta vhginité, Donne moi qu'Adénis ordement enfanil, Et sallement nourri, tombe mort sur le sable, At ton éprouva ton courroux implatable Calidon j'en repend, Niobe le sentit rinjujuaromogucmnre peenntriss
Diane.	Diane.
Gradiue arvt-puiſſant ta requeſte m’inuite De traiter le mignon ſelon ſon demtrite.	Gradive arvt-puissant ta requête m'inuite De traiter le mignon selon son détrite.
ACTE TROISIESME.	ACTE -TROISIÈME.
MONTAN, SILVIN, ADONIS, VENVS.	MONTAN, SILVIN, ADONIS, VENS.
CVPIDON.	CUPIDON.
Montan.	Montan.
Sſez & trop leng temps ſur le rluage Acteo TIDe Pallas veille nultl’biſtoire rechantee Garde ſes nolrs biboux & palliſſant ramtaux, Dele ne vante plus tes eſtlalrans lumeauxt Et pous l’ardeur du vln d Menadis reugies, Pardonnez à Bacchus & quittez ſes Orgies:	Ssez et trop leng temps sur le ramuage Acteo TIDe Pallas veille nultl’bistoire rechantée Garde ses nolrs biboux et pallissant ramtaux, Dele ne vante plus té estlalrans lumeauxt Et pous l'ardeur du vl d' Enadis reugies, Pardonnés à Bacchus et quittez ses Orgies:
Le peuple crprlen à chanter mieux apris Henore à meilleur droit l’eſcumiere cypris Mere de l’uniuers Apme-ris, Cyteride, Deeſſe de beauli qui iamais ne ſe ride, Qui gouuerne la lerte & le clel radieux, La ſaincte volupil des hommes & des Dieux, Alme donne-plaiſit la nourrice ſeconde De tout cela qui nage ls abiſmes de l’onde, Qui gronde ſous l’oſtur des boſcages ramez, Et couppe l’air bautoin d’auirons emplumez Iey le mol Zephire autt ſes aiſlerettes Atroſe de Nellar les ioyeuſes ſleurettes, Insitant au ſerain leurs doux Bigarrement, vous dirlez que ce ſont perles ou diamant Eſmeraudis, rubis, Agates, & Iacintbes, Tant ſe vent embaſmi les a viutment peintes, der le laboureur ſaui beſthe manier, Des dont de Triptoſeme enricbit ſon grenier.	Le peuple crprlen à chanter mieux appris Hénore à meilleur droit l'escumiere cypris Mère de l'univers Apme-ris, Cystéride, Deesse de beauli qui jamais ne se ride, Qui gouverne la lerte et le clél adieux, La sainte volupil des hommes et des Dieux, Alâme donne-plaisit la nourrice seconde De tout cela qui nage l abîmes de 'onde, Elle prîmes de l'ôdes boscages ramez, Et couppe air bautoin gros emplumez le mol Zephire us l' ost Ur de Nellar les ioyeuses sleurettes, L' a serain leurs doux Bigarrement, vous , Et ce sontperles ou diamant Esmeraudis, rubis' a, etVirons, Tant se vent emles a viutment peintes, le mlaboureur saui besthe me, Des dont Zé Triptoseme enricbit son grenier.
Sans coutre, ny ratbeau, & ſans ietter ſemenc Jl poſſede gaillard le vray tor d’abondance Parmi le ebamp ficuri ſouz les vere Aubeſpine Gambadent çà & là les cheureaux & lapins, Les Bicbes & les cerſi à la teſte ſuperbe, Se vorant raitunis ſoleſtrent deſſus l'herbe:	Sans coutre, ni ratbeau, et sans jeter semenc Jl possède gaillard le vrai tor d'abondance Parmi le ébamp ficuri souz les vere Aubespine Gambadent çà et là les cheureaux et lapins, Les Bicbes et les cersi à la tête superbe, Se vorant raitunis solestrent dessus l'herbe:
Icy d’amour laſciſ gaſoüillent les ruiſſeaux, Icy ſont, bras à bras collez les arbriſſeaux, Et en tous mois de l’an, leurt branches maquerelles, Souſtiennent les baiſers des volantes ſemelles Tacins & roßignols, linotes, ou pinçons, Ftattent l’ombrage frais d’amoureuſes chanſons:	Ici d'amour lascis gasoüillent les ruisseaux, Ici sont, bras à bras collez les arbrisseaux, Et en tous mois de l'an, leur branches maquerelles, Soutiennent les baisers des volantes semelles Tacins et roqignols, linotes, ou pinons, Fattent l'ombrage frais d'amoureuses chansons:
Cela fait que du cœur tont ſoucy ie m’arrache.	Cela fait que du cœur tont souci autre m'arrache.
siluin.	silvin.
Au verger plus berbu, la couliuure ſe catbe,	Au verger plus berbu, la coulivre se catbe,
Montan.	Montan.
aſe plaindray-ie du mal qu’ort ie ne ſent point?	aze plaindrai-je du mal qu'ort Ne ne sent point?
Siluin.	Silvin.
Il n’eſt temps de douloir, que la douleur nous polnt,	Il n'est temps de douloir, que la douleur nous polnt,
Montan.	Montan.
Fol eſt qui ſaus peril du peril ſe lamente.	Fol est qui sa péril du péril se lamente.
Siluin.	Silvin.
Preuoyant le peril la ſageſſe t’augmente.	Prévoyant le péril la sagesse t'augmente.
Montan.	Montan.
iut mau il ſaudroit viuri te pauit inpeur.	iut mau il saudrait vivri te pavit inpeur.
siluin.	silvin.
inemdepdemneigeuucennen jeironfiut.	inemdepdemneigeuucennen jeironfiut.
Montan, Rien ne peut contre nous ſa puiffance diuerſe.	Montan, Rien ne peut contre nous sa puissance diverse.
Siluin.	Silvin.
Des pallais ſoureilleux les couppeaux il renutrſe.	Des pallais soureilleux les couppeaux il renutrse.
Montan.	Montan.
La caſe du paſteur ne le redoute pas.	La case du pasteur ne le redoute pas.
csiuiio Du paſteur & du Roy il tallonne les pas.	csivio Du pasteur et du Roi il tallonne les pas.
Montan.	Montan.
Qui tombe de plus haut plus de peine il endure.	Qui tombe de plus haut plus de peine il endure.
Siluin.	Silvin.
Chatun eſgallement trouue ſa peine dure,	Chatun également trouve sa peine dure,
Montan.	Montan.
Jamaisle ſort mobile ls ſoteſis n’eſt vene.	Jamaisle sort mobile lois soutesis n'est vene.
Siluin.	Silvin.
Nareit en eſt teſmoin & le ebaſſeur corau.	Nareit en est témoin et le ébasseur corau.
Montan.	Montan.
La deitt nous ayme & tient le ſort en bride.	La déitt nous aime et tient le sort en bride.
siluin.	silvin.
Thetit ne peut garder le vaillant Eatide,	Thétit ne peut garder le vaillant Éatide,
Montan.	Montan.
Qyi priuera Veuus de ſon gentil Adont	Qi privera Veuus de son gentil Adont
Siluin.	Silvin.
Quelque piteux baſard que moint nout attendon,	Quelque piteux basard que moint nout attendon,
Montan.	Montan.
Touſiours nous ſouptonnons quand plus aiſes noui ſommes, c’eſt vn vice commun à la race des bommes,	Toujours nous souptonnons quand plus aises nouvi sommes, c'est un vice commun à la race des bommes,
Siluin.	Silvin.
Comme ſouuentesſois un nauire eſtranger Sur les floit Adriant vole prompt & leger, Le clel meſme ſe rit, la mer eſt toute calme De ſes trauaux piſſez il emporte la palme, Eole ne ſe monſtre à ſes væux diſcordant, Les tritont ſont pour luy, Neptune & ſon trldeni;	Comme souuentessois un navire étranger Sur les flamme Adriant vole prompt et léger, Le clè me se rit, la mer est toute calme De ses travaux pissez il emporte la palme, Éole ne se montre à ses væux discordant, Les tritont sont pour lu, Neptune et son trédeni;
Et tous aſtres benins, luy ſtmblent ſaite eſtorie,	Et tous astres bénins, Seigneur stmblent saite étorie,
Panun en vntun a eu vient la ſempiſte forteMeſtte de ſrimats de ſeux & de glacons, Qui pert ſe marinier en diverſes ſacons.	Panun en untun a eu vient la sempiste forteMette de srimats de seux et de glaçons, Qui pert se marinier en diverses sacons.
Elle rauiſt aux yeux le iour & les eſtoilles, Elle caſſe la hune, elle briſe les voiles, Le nauire en morceaux vogue de toutes purls, Adoncques les rochers hideuſement lpars:	Elle ravit aux yeux le jour et les étoilles, Elle casse la hune, elle brise les voiles, Le navire en morceaux vogue de toutes purs, Adoncques les rochers hideusement lpars:
Ou morts, ou demy moeis blanchiſſent ſur l’arene.	Ou morts, ou demi molys blanchissent sur l'arène.
Tel eſt l’eſtat douleux de ceſtt vie humaine, Qui vient & s’en reua comme un ſtot agité.	Tel est l'état douleux de cet vie humaine, Qui vient et s'en reva comme un sot agité.
Nul ne ſe deït fier à la felicité, S’il voit qu’à bonne fin ſes affairet procedent:	Nul ne se deït fier à la félicité, S'il voit qu'à bonne fin ses affairet procèdent:
cær miſere & plaiſir l’vn à l’autre ſuccedent:	cær misère et plaisir l'autre à l'autre succèdent:
Le mal eſt plus cer tain, & ne faut qu’vn moment:	Le mal est plus cer ain, et ne faut qu'un moment:
Pour changer nos plaiſirs en penible tourment, Or bien que tous les dieux ſe ſaçent recognoiſtre Propices enuers nous, qui s’oſt roit promettre Un demain aſſeurd?	Pour changer nos plaisirs en pénible tourment, Or bien que tous les dieux se saçent reconnaître Propices envers nous, qui s'ost roit promettre Un demain assurd?
meſme ſouuent la nuict Apres le iour heureux dommageable nous ſuit:	même souvent la nuit Après le jour heureux dommage nous suit:
Ie drubte de ma port, ie tremble ie friſſonnne, N’as-ſu pas entendu comme la voix ſelonne De nos cbiens aboyans ceſte nuict retentoit, Quand le Ciririen ſon ardeur alentoit:	Je drubte de ma port, Seigneur tremble un frissonnne, N'as-su pas entendu comme la voix selonne De nos cbiens aboyants cette nuit retentait, Quand le Cirien son ardeur alentait:
Ne voys-tu le Solcil à la ſace plombee, Conduire ce matin ſa charette courbee.	Ne vois-tu le Solcil à la sace plombe, Conduire ce matin sa charette courbe.
Au ventre pluuieux des nuaux obſcurcin Sommes nous aueuglez.	Au ventre pluvieux des nuaux obscurcin Sommes nous aveuglés.
ſommes nous endurcis?	sommes nous endurcis?
Voulont nous perſiſtant en ce vouloir proſant Ericine ſeruit & meſpriſer Diane?	Voulont nous persistant en ce vouloir prosant Ericine servit et mépriser Diane?
Nos doguts eſperdus, not rets entrebroüillez.	Nos doguts éperdus, not rets entrebrouillez.
Nos corps, & not eſpieux terniſſent entouillez Que veut dire teja?	Nos corps, et not épieux ternissent entouillez Que veut dire tejà?
ne ſont-ce pat les marques, Pour iuger le deſſein des menaſſantes Parquest Vn vlgneron cognoit le ptre Bromien, Vn nautinuler moüillt le mol saturnien, Ny pauinny tererne ſe veulent tromptet Du ruſtre qui les aime & les vierget Napees.	ne sont-ce pat les marques, Pour juger le dessein des menaçantes Parquêt Un vlgneron connaît le ptre Bromien, Un nautinuler mouillt le mol saturnien, Ni pauinny térerne se veulent tromptet Du rustre qui les aime et les vierget Nape.
chaſſeurs nous oublions nous & noſtre deuoir.	chasseurs nous oublions nous et notre devoir.
Adonis.	Adonis.
.	.
Haſtez-vous mes amis, il nous ſaut receuoir Flaiſies ta nos labeues, geimpez ſur ces montagnes Deſecadez aux vallons, courez par ſes campagnes Enuironnez ſoudain les bois Idaliens, L’vn porte ſur ſon dos les rets & les liens, L’autre d’vn ſort eſpieu la dextre ſe muniſſe, chacun ſoit diligent en ce bel excrtite Qui ſera moius bardy ſon aic dibandera, Où de vaine frayeur la beſte eſtaintera.	Hâtez-vous mes amis, il nous saut recevoir Flaisies ta nos labeues, géimpez sur ces montagnes Desecadez aux vallons, courez par ses campagnes Environnés soudain les bois Idaliens, L'un porte sur son dos les rets et les liens, L'autre d'un sort épieu la dextre se munisse, chacun soit diligent en ce bel excruite Qui sera moyus bardi son aic ibandera, Où de vaine frayeur la bête estaintera.
Et celuy de qui l’ame à geos bouillont eſcume, Aſſaüdre corps à corps le Lion quand il ſume, Irrité de deſpit:	Et celui de qui l'âme à guos bouillont écume, Assaüdre corps à corps le Lion quand il sume, Irrité de dépit:
ſus haſtez-vous enſant Or que le iour nouueau de ſes rais eſchauffaus, N’efface les odeurs qu’vre iambe ſauuage Imprime ſaulelant parmiy le gar ſteurage:	sus hâtez-vous ensant Or que le jour nouveau de ses rais échauffaus, N'efface les odeurs qu'une jambe sauvage Imprime saulelant parmi le gar steurage:
Prenez l’occaſion tar la trace ſt pert, Abuſant le naſeau du limier plus expert.	Prenez l'occasion tar la trace st pert, Abusant le naseau du limier plus expert.
Dreſſez-moy ſet leurons & d’houlcines aiguët, Ramenez en chemin leurs voltes ambigtés Afin de les induire à ceſt œuure entrepiis Trempez leur itune grois eu ſang du lieure prls.	Dressez-moi set leurons et d'houlcines aigues, Ramenez en chemin leurs voltes ambigtés Afin de les induire à cette œuvre entrepiis Trempez leur itune grois eu sang du lièvre prls.
Quel murmure quel venit ſurleux ſe deborde, Qui tellement eſmtul la ciuille diſcorde, Des cheſnes beciſſez, & les fait eibranſter?	Quel murmure quel venit surleux se déborde, Qui tellement esmtul la civille discorde, Des chaînes becissez, et les fait eibranster?
Quel orage mutin eſcarmouche dint l’air Secoit-te point helat quelout mauuais indica Si vous voulez ô Dieux qu’a ce coup le ppriſſt.	Quel orage mutin escarmouche dint l'air Secait-te point hélât quelout mauvais indiça Si vous voulez ô Dieux qu'a ce coup le pût.
Au moins que mon treſpes ne ſoit lant abbrege 2 Sdieux permettez-moy que ie prenne conge, De l'eil ambroſien, de la boucbe ſuccree, De la diue à qui i’ay mon ame conſatree, Si ie ſuis preuenu des ſiaiſtres d' ſtins, O couſtaux, à taillis, ô ſteuues as gentius, Dites en ma ſaueur, aux graces immor lelles Que mort ſouz le cercueit i’auray memoire d'ellei, Mourir I helas!	Au moins que mon trespes ne soit lant abbrege 2 Sdieux permettez-moi que ie prenne congé, De l' ambrosien, de la boucbe succree, De la diue qui ay mon âme consatree, Si ie suis prévenu des siaistres d' stins, Ô coustaux, taillis, steuues as gentius, Dites en ma Au, moins que mon lelles Ne soit souz le abrège 2auray mémoire d'ellei, -moi I ue.
paurquoy ay-ie ſeditieux Prouoque tant ſoit peu la vengeance des cieux, En moy l’ambition n’exerce ſon empite I'abandonne la court de mon pere Crnire Abborrant des palais, les enragez Dæmo is, Ie frequente les bois, les rochers, & les monts, Il eſt uray que Cypris commande à ma ieuneſſe.	paurquoi ai-je séditieux Proque tant soit peu la vengeance des cieux, En moi l'ambition n'exerce son empite J'abandonne la court de mon père Crnire Aborrant des palais, les enragez Dæmo is, Je fréquente les bois, les rochers, et les monts, Il est ouvrai que Cy commande à ma jeunesse.
Hé !	Hé !
Dieu qui n’armeroit vne telle Deeſſe.	Dieu qui n'armerait une telle Déesse.
Mait on n'attend que moy, Mais l'airain reſonnant Et les chiens accouplez m’appellent maintenans.	Mait on n'attend que moi, Mais l'air résonnant Et les chiens accouplés m'appellent maintenants.
Cupidon.	Cupidon.
.	.
O le dos, Ula ieſte, d̂main appeſantie Iuplter au ſecours, ma mere me chaſtie.	Ô le dos, Ula jette, dès appesantie Jupler au secours, ma mère me châtie.
Ha petit bouteſeul Venus.	Ha petit bouteseul Venus.
Cupidon.	Cupidon.
Helas le vous ſuppli.	Hélas le vous suppli.
Ha petit lmpudent.	Ha petit lmpudent.
venus.	venus.
1·	1§
Cupidon.	Cupidon.
Retiez iout en oubly.	Rétiez jout en oubli.
Venus.	Venus.
Peſte, rage, malbeur, de haut & bas repaire.	Peste, rage, malbeur, de haut et bas repaire.
Cupidon.	Cupidon.
Ie vous requiert pardon à deux genoux ma mere,	Je vous requiert pardon à deux genoux ma mère,
Venus.	Venus.
Ha tirand ſloral ma tiop ſimple bonté, Eſt cauſe it le vois de ton impiete.	Ha tirand sloral ma tiop simple bonté, Est cause it le vois de ton impiété.
Tu n’es print mon enſaat, ic n’ay point ſouuenanee D'auoir iamais conteu, lel, bòr rible ſe menceBl-ſſer oinſt la mête & la traiter aluſir Je ne te ſis iapnais, c’eſt le cabos nolrey, Tu rongnes le filet des ſatales quenouilles.	Tu n'es print mon ensaat, ic n'ai point souvenane D'avoir jamais conteu, lel, br rible se menceBl- oinst la mête et la re alusir Je ne te sis iapnais, est le cabos nolrey, Tu rongnes le filet des satales quenouilles.
Tu pilles lis citez, Iu ſatcages, tu broüillet, Tu conuertis en ſang les vagues de la mir, Ainſtqu’vn ſeu gre gtoit tu peux l’onde allumer.	Tu pilles lis citez, Ju satcages, tu broüillet, Tu convertis en sang les vagues de la mir, Ainstqu'un seu re gtait tu peux l'onde allumer.
On n’entend que ſouvbirs quelque part ou tu volles Tu as meſchant a buloir deſſous b llis patolles, Les pauures animaux picquez de ta ſuitur Rempliſlent en bramant leur teuernt d’horrcur.	On n'entend que souvirs quelque part ou tu volles Tu as méchant à buloir dessous b pâtis patles, Les pauvres animaux piqués de ta suitur Remplislent en bramant leur teunernt d'horrcur.
Tous l’vniuers ſe plaint on m’appelle on m’invoque, Et pour te pardonnes on dit que ie me mocque, Ha ſilte que i ſuis, ſolle ſuis-ie v-oyment De vois ta mauuaiſtit troiſt-t ſi longuement, Si l'enſint à mesſaitt à bon dioit on eſtime coulpables les parent.	Tous l'Hivers se plaint on m'appelle on m'invoque, Et pour te pardonnes on dit que mille me moque, Ha sitte que y suis, solle suis-je voit De vois a mauvaistit troist-t si longuement, Si l'ensint à messait à bon diait on estime coulpables les parent.
Car deux eſt le toime, P ii Qu’ile peuuent corriger, voyez ce ſaux garſen, Veyez comment il ſtait ſairdrt ſa paßioni Sçait-il tirer de l’eau d'vnt tuile ſeicbee.	Car deux est le toime, P , J'il peuvent corriger, voyez ce saux garsen, Veyez comment il sait sairdrt sa passion Sait-il tirer de l'eau d'unt tuile seicbe.
Que maudit ſeit le iour que le ſus accoucbee D’vn venin ſi ſardé:	Que maudit seit le jour que le sus accouce D'une venin si sardé:
va t’en poiſon inſect:	va -t-en poison inct:
Netie croiſe les bras, va t’en d’icy, c’eſt fait.	Netie croisse les bras, va -t-en d'ici, c'est fait.
Retire toy d'icy, de peur que ta ſacelle, Parjatemagienthteraeu injentne.	Retire toi d'ici, de peur que ta sacelle, Parjatemagienthteraeu injentne.
Cupidon:	Cupidon:
Quel cheuin eſt mellleur eù prẽdray-ie m eourl A qui d’oreſnauant auray-ie mon recours?	Quel chevin est mellleur éù prẽdray-je m ourl À qui d'oresnavant aurai-je mon recours?
