A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
Vous feriez dõc ſeruir pour eſtre mõ bourreau, Voſtre lict d’échaffaut, & vos bras de cordeau?	Vous feriez dont servir pour être mon bourreau, Votre lit d'échaffaut, et vos bras de cordeau?
TSSTIADAMVS.	TSTIADAMUS.
Au Diable, vn Limaçon qui prendroit pour ſa coque Celle qui luy feroit faire la pendeloque.	Au Diable, un Limaçon qui prendrait pour sa coque Celle qui était ferait faire la pendeloque.
LIMACON	LIMAÇON
LIMACONà part à Noſtradamus.	LIMACONà part à Nostradamus.
Eſcoute, emmene vn peu la tante à quatre pasNoſtradamus emmene Argine à vn coin du theatre.	Écoute, emmène un peu la tante à quatre pasNôtradamus emmène Argine à un coin du théâtre.
2	2
ISABELLE à Limaçon Vous ſouſpirez?	ISABELLE à Limaçon Vous soupirez?
LIMACON.	LIMAÇON.
Mon cœur, cela veut dire helas!	Mon cœur, cela veut dire hélas!
Deuenons tous les deux, moy coq, & vous poulette :	Devenons tous les deux, moi coq, et vous poulette :
Pour voir en ce momẽt nôtre ardeur ſatisfaite, Ie croy qu’à mõ amour vous caſſeriez des noix?	Pour voir en ce moment notre ardeur satisfaite, Je crois qu'à mõ amour vous casseriez des noix?
NOSTRADAMVS.	NOSTRADAMUS.
Viſte, prononcez donc quatre mots à la fois.	Vite, prononcez donc quatre mots à la fois.
Pendant que ie la tiens.	Pendant que ici la tiens.
ARGINE.	ARGINE.
Le chien, comme il m’abuſe!	Le chien, comme il m'abuse!
OSTRADAMVS.	OSTRADAMUS.
ue n’auez-vous dit vray!	Que n'avez-vous dit vrai!
ie vous demande excuſe, Si vous ſeriez mon fait.	On vous demande excuse, Si vous seriez mon fait.
LIMACON.	LIMAÇON.
Vien boire à leur ſanté, Ils fortents	Viens boire à leur santé, Ils fortents
ARGINE à Iſabelle.	ARGINE à Isabelle.
Voyez ſi le diſner eſt bien-toſt appreſté.	Voyez si le dîner est bientôt apprêté.
ISABELLE ſort.	ISABELLE sort.
Que ne puis-je éuiter.	Que ne puis-je éviter.
SCENE ROBIN, ARGINE.	SCÈNE ROBIN, ARGINE.
ROBIN.	ROBIN.
INcomparable fille, Que ne ſuis-je vn poiſſon, & vous vne coquille?	INcomparable fille, Que ne suis-je un poisson, et vous une coquille?
Si-toſt que ie vous voy, mõ tendre cœur ſoûrit, Et ſe ſent tout d’vn coup réueiller l’appetit.	Si-tôt que je vous vois, mon tendre cœur sousrit, Et se sent tout d'un coup réveiller l'appétit.
Tout à bon croiriez-vous ma demande indiſcrette, Si ie vous conjurois trop aimable brunette, De me vouloir donner vn deſtin ſi plaiſant, Que de m’emmaillotter cõme vn petit enfant?	Tout à bon croiriez-vous ma demande indiscrète, Si tu vous conjurais trop aimable brunette, De me vouloir donner un destin si plaisant, Que de m'emmaillotter comme un petit enfant?
Helas!	Hélas!
ma belle, helas!	ma belle, hélas!
voulez-vous m’éconduire?	voulez-vous m'éconduire?
Ie ſuis ſi bon garçon, vous me ferez tant rire Allons donc, ie m’engage à me bien acquiter, Dés que mõ tour viendra de vous emmailloter Iſabelle à mes yeux plus blanche que la neige Si l’on faiſoit ſeruir ſa Maiſtreſſe au Manege.	Je suis si bon garçon, vous me ferez tant rire Allons donc, tu m'engage à me bien acquitter, Dès que mon tour viendra de vous emmailloter Isabelle à mes yeux plus blanche que la neige Si l'on faisait servir sa Maîtresse au Mane.
I’aimerois mieux cent fois inſenſible tendron, Vous donner cent baiſers, que quatre coups d’épron.	J'aimerais mieux cent fois insensible tendron, Vous donner cent baisers, que quatre coups d'épron.
O que voſtre beauté me ſemble rauiſſante!	Ô que votre beauté me semble ravissante!
Prenez vn peu d’amour, ſoyez plus indulgente, Pour m’aduoüer apres qu’il n’eſt rien de plus doux, Auſſi-toſt qu’il prendra ſes ébats auec nous.	Prenez un peu d'amour, soyez plus indulgente, Pour m'aduoüer apprès qu'il n'est rien de plus doux, Aussitôt qu'il prendra ses ébats avec nous.
Sans vouloir employer l’outrage & la menace, Ie voudrois vous prier de me faire vne grace;	Sans vouloir employer l'outrage et la menace, Je voudrais vous prier de me faire une grâce;
Depuis trois iours entiers que ie vut lais l’amour , Diablezot, ſi iay pû ſçauoir voſtre ſejour.	Depuis trois jours entiers que sans vut lais 'amour , Diablezot, si iay pu savoir votre séjour.
Mue dricEz Que vous m’importunez!	Mu dricEz Que vous m'importunez!
ROBIN.	ROBIN.
Fy de voſtre langage.	Fi de votre langage.
A propos, auez-vous, la belle au beau viſage, Vne niepce au logis qui regorge d’eſprit?	À propos, avez-vous, la belle au beau visage, Une niepce au logis qui regorge d'esprit?
Ne la peut-on point voir debout ou dãs ſon lit:	Ne la peut-on point voir debout ou dans son lit:
Parlez donc, vourez vous me la faire cõnoître?	Parlez donc, vourez -vous me la faire cõnoître?
ARGINE.	ARGINE.
Voila voſtre chemin.	Voilà votre chemin.
ROBIN.	ROBIN.
Vous trouuefez vn maiſtre.	Vous trouvez un maître.
ARGINE à part.	ARGINE à part.
Ma niepce, aſſurement s’en va tout découurin Foin du diſner.	Ma niepce, assurément s'en va tout découurin Foin du dîner.
SCENE VI ROBIN, ARGINE, ISABELLE.	SCÈNE VI ROBIN, ARGINE, ISABELLE.
ROBIN en prenant Argine par la main, & la menam a ijaoent quii fante pna de ſa porte.	ROBIN en prenant Argine par la main, et la menam a jàoent quii santé péna de sa porte.
VEnez, daignez me ſecourir.	VEnez, daignez me secourir.
Madame, ie voudrois enleuer ma Maiſtreſſe, Permettez que chez vous ie loge vne tygreſſe, Iuſqu’au ſoir ſeulement.	Madame, Seigneur voudrais enlever ma Maîtresse, Permettez que chez vous ie loge ton tigresse, Jusqu'au soir seulement.
ISABELLE.	ISABELLE.
Voila l’échantillon?	Voilà l'échantillon?
oüy.	oui.
ROBIN.	ROBIN.
ISABELLE.	ISABELLE.
Qu'elle entre.	Qu'elle entre.
ARGINE.	ARGINE.
Ha!	Ha!
iamais.	jamais.
ROBIN.	ROBIN.
Entrés graſſe dondon.	Entrès grasse dondon.
ARGINE à part.	ARGINE à part.
Que le trait eſt plaiſant!	Que le trait est plaisant!
quoy, ie mouray perfide!	quoi, Seigneur mourai perfide!
ROBIN.	ROBIN.
Quoy, vous craignez l'amour vn ſi doux hemicide!	Quoi, vous craignez l'amour un si doux hémicide!
ISABETLE.	ISABETLE.
Madame, allons, venez.	Madame, allons, venez.
ROBIN.	ROBIN.
Entrez ſans faire bruit.	Entrez sans faire bruit.
Elle luy donne vn ſoufflet.	Elle avait donne un soufflet.
Peſte, que ce ſoufflet me chicanne & me nuit!	Peste, que ce soufflet me chicanne et me nuit!
Entrés.	Entrès.
ARGINE.	ARGINE.
Quelqu’vn à moy.	Quelqu'un à moi.
ROBIN.	ROBIN.
C’eſt perdre des paroles,	C'est perdre des paroles,
B iij	 Bijà
CENE II ANGITEJ ICHLELLE, ROBIN, LIMACON déguiſé.	CÈNE II ANGITE ICHLELLE, ROBIN, LIMAÇON déguisé.
ARGINE.	ARGINE.
A!	À!
mon cher inconnu vous aurez deux piIT ſtolles, Sauuez moy!	mon cher inconnu vous aurez deux piIT stolles, Sauvez moi!
Ainne e la De bon cœur.	Ainne e la De bon cœur.
ROBIN Cher amy, huit eſcus, Vous pourront mieux ſeruir à faire huit cocus.	ROBIN Cher ami, huit écus, Vous pourront mieux servir à faire huit cocus.
LIMACON.	LIMAÇON.
a lane nulttucus:	à lane nulttucus:
ROBIN.	ROBIN.
Qu'vn animal eſt beſte!	Qu'un animal est bête!
On nous iette à Paris les femmes à la teſte.	On nous jette à Paris les femmes à la tête.
LIMACON.	LIMAÇON.
Soit, ne conteſtõs plus, & voyons voſtre argent, S’il eſt couleur d’oliue, ou d’vn beau bleu mourant ?	Soit, ne contestons plus, et voyons votre argent, S'il est couleur d'olive, ou d'un beau bleu mourant ?
̀.	§.
Rovin iny aonnt lurgent.	Rovin iny aonnt lurgent.
C a, vous aurez de moy le ſecours neceſſaire.	Ç a, vous aurez de moi le secours nécessaire.
ROBIN à Argine en luy montrant ſon logis.	ROBIN à Argine en Seigneur montrant son logis.
C’eſt là que vous auez vne viſite à faire.	C'est là que vous avez une visite à faire.
LIMACON.	LIMAÇON.
Phœbus le long du iour, & la Lune la nuit, Ne vous brûleront point où mon bras vous, conduit.	Phœbus le long du jour, et la Lune la nuit, Ne vous brûleront point où mon bras vous, conduit.
ARGINE.	ARGINE.
Ha!	Ha!
Monſieur, halte là, ſçauez-vous qu’il m’enleue!	Monsieur, halte là, savez-vous qu'il m'enlève!
LIMACON.	LIMAÇON.
Sçachez que s’il vouloit vous conduire à laGreve, Ie le voudrois ſeruir comme on ſert vn amy, Touſiours ſans intereſt.	Sachez que s'il voulait vous conduire à laGreve, Je le voudrais servir comme on sert un ami, Toujours sans intérêt.
ROBIN à part.	ROBIN à part.
O le diable & demy!	Ô le diable et demi!
Ils font entrer Argine.	Ils font entrer Argine.
Ron, Madameà la clef, fermez viſteda porte, Ie croy que la bõne ame eſt à preſent biẽ ſottes Apres vn ſi beau coup i’eſpere qu’à iamais Le bonheur me ſuiura de meſme qu’vn Laquais.	Ron, Madameà la clef, fermez viteda porte, Je crois que la bonne âme est à présent bien sottes Après un si beau coup j'espère qu'à jamais Le bonheur me suivra de même qu'un Laquais.
Aegine & Iſabelle paroiſſentà la feneſtre.	Aegine et Isabelle paroissentà la fenêtre.
LIMACON.	LIMAÇON.
Et pour preuue en priſon ſuiués moy ie vous prie;	Et pour preuve en prison suivez mo ie -vous prie;
Enleuer!	Enlever!
c’eſt dequoy faire la penderie.	c'est dequoy faire la penderie.
ROBIN.	ROBIN.
Faiſons la donc tous deux.	Faisons la donc tous deux.
LIMACON.	LIMAÇON.
Aymez-vous les affronts?	Aimez-vous les affronts?
ROBIN.	ROBIN.
A faire inſulte au monde, ô que les gens ſont prompts !	À faire insulte au monde, ô que les gens sont prompts !
LIMACON.	LIMAÇON.
Donnez-moy dix eſcus, & ie vous donne aux diables.	Donnez-moi dix écus, et votre vous donne aux diables.
ROBIN.	ROBIN.
Montrez-moy donc de grace, où vont les miſerables, Er vous aurez apres tout mon petit butin?	Montrez-moi donc de grâce, où vont les misérables, Er vous aurez après tout mon petit butin?
ARGINE de la feneſtre.	ARGINE de la fenêtre.
Point de miſericorde.	Point de miséricorde.
LIMACON.	LIMAÇON.
Encor moins qu’au lutin	Encor moins qu'au lutin
ROBIN.	ROBIN.
Voila donc tout?	Voilà donc tout?
LIMACON.	LIMAÇON.
Soyez aſſuré de mon zele;	Soyez assuré de mon zèle;
à Argine.	à Argine.
Adieu iuſqu’à tantoſt.	Adieu jusqu'à tantôt.
SCENE VIII.	SCÈNE VIII.
RODINV, ARGINE, ISABELLE.	RODINU, ARGINE, ISABELLE.
Elles ſont toûjours à la feneſtre.	Elles sont toujours à la fenêtre.
ROBIN.	ROBIN.
EN auez-vous dans l’aiſte?	EN avez-vous dans l'aite?
Riez, riez, au jeu vous auez du bonheur, Riez, & cependant ayez la rage au cœur.	Riez, riez, au jeu vous avez du bonheur, Riez, et cependant ayez la rage au cœur.
ARGINE.	ARGINE.
Rire, c’eſt mon pleurer;	Rire, c'est mon pleurer;
ô le cruel ſupplice !	ô le cruel supplice !
M’ẽpriſonner chez moy!	M'enprisonner chez moi!
rigoureuſe injuſtice?	rigoureuse injustice?
Chez vous !	Chez vous !
ROBIN.	ROBIN.
ARGINE.	ARGINE.
Peut-eſtre bien.	Peut-être bien.
ROBIN.	ROBIN.
Eſt-il vray?	Est-il vrai?
diablezot;	diablezot;
Pete à l'entendre dire on ſe croiroit vn ſot.	Pète à l'entendre dire on se croirait un sot.
Adieu donc iuſqu’au ſoir qu’on vous fera connoiſtre, Qu’on peut prendre à credit voſtre honneur.	Adieu donc jusqu'au soir qu'on vous fera connaître, Qu'on peut prendre à crédit votre honneur.
AROINE.	AROINE.
C’eſt peut-eſtre.	C'est peut-être.
ROBIN.	ROBIN.
Car enfin, ie vous iure on m’a tout emporté, Voulez-vous compoſer trop aimable beauté?	Car enfin, je vous jure on m'a tout emporté, Voulez-vous composer trop aimable beauté?
Quoy!	Quoi!
DSABEL.	DSABEL.
EE.	CE.
Ma tante parlez	Ma tante parlez
ROBIN.	ROBIN.
Comment donc voſtre tante, Depuis quand croyez vous qu’elle eſt voſtre parente?	Comment donc votre tante, Depuis quand croyez -vous qu'elle est votre parente?
Ne pretendez-vous point la retenir tantoſt, Quand ie voudray ce ſoir l’ẽmener au plûtoſt?	Ne prétendez-vous point la retenir tantôt, Quand Je voudrai ce soir l'ẽmener au plutôt?
A la nommer ainſi vous ſeriez aſſez beſte, Pour vous croire ſa niepce, & luy faire la feſte.	À la nommer ainsi vous seriez assez bête, Pour vous croire sa niepce, et même faire la fête.
ARGINE.	ARGINE.
Si l’on achepte au poids l’eſprit matte & dodu, Le voſtre aſſurement doit eſtre cher vendu.	Si l'on achette au poids l'esprit matte et dodu, Le vôtre assurément doit être cher vendu.
ROBIN.	ROBIN.
Qu'ay-je fait de l’eſpoir de rauir ſon fillage?	Qu'ai-je fait de l'espoir de ravir son sillage?
na.	na.
que le laurois mne en plailant equipage:	que le laurais mne en plailant équipage:
ARGINE.	ARGINE.
Adieu dix huit eſcus, mon diſner eſt tout froid,	Adieu dix huit écus, mon dîner est tout froid,
SCENE IA	SCÈNE IA
ROBIN.	ROBIN.
’Eſt peu que de ſe mordre vn peu le bout du O doigt, Tout au meilleur marché ie m’en quite à cent boſſes, Quand i’auray fait pleurer mes yeux tant qu’à des nopces.	Qu'Est peu que de se mordre un peu le bout du Ô doigt, Tout au meilleur marché ie m'en quite à cent bosses, Quand j'aurai fait pleurer mes yeux tant qu'à des nopces.
O Ciel!	Ô Ciel!
deux iours pluſtoſt que n’ay-je eſté pendu, Peur de voir aujourd’huy mon pauure argent perdu!	deux jours plutôt que n'ai-je été pendu, Peur de voir aujourd'hui mon pauvre argent perdu!
Mais qui ſont ces gens là?	Mais qui sont ces gens là?
ſans nous en mettre en peine, Pout fuir les accidens courons la pretantaine;	sans nous en mettre en peine, Pout fuir les accidents courons la prétantaine;
La mort ſans boire vn coup n’a que trop de vigueur, Pour trouuer les moyens d’entrer dans noſtre cœur.	La mort sans boire un coup n'a que trop de vigueur, Pour trouver les moyens d'entrer dans notre cœur.
SCENE X.	SCÈNE X.
LIMACON, NOSTRADAMVS,	LIMAÇON, NOSTRADAMUS,
LIMACON.	LIMAÇON.
L ne fait que fortis, ie vonla, e ent iurmeſme;	L ne fait que sortis, ie vonla, e u iurmesme;
IO qu’eſtre curieux eſt vne peine extréme!	JO qu'être curieux est une peine extrême!
NOSTRADAMVS.	NOSTRADAMUS.
Croyez-moy, vous ſçaurez tantôt tout à loiſir, Pourquoy vous déguiſer?	Croyez-moi, vous saurez tantôt tout à loisir, Pourquoi vous déguiser?
LIMACON.	LIMAÇON.
C’eſtoit pour mon plaiſir, Pour ſçauoir ſi i’eſtois facile à reconnoiſtre.	C'était pour mon plaisir, Pour savoir si j'étais facile à reconnaître.
NOSTRADAMVS.	NOSTRADAMUS.
Que le valet eſt fot s’il reſſemble à ſon Maiſtre!	Que le valet est sot s'il ressemble à son Maître!
Excuſez-moy, Mõſieur, i’ay mãqué de reſpect;	Excusez-moi, Monsieur, j'ai manqué de respect;
vuua approenerniontje emtoasrẽdre ſuſpect, Reculez quatre pas.	va approenerniontje emtoasrendre suspect, Reculez quatre pas.
LIMACON.	LIMAÇON.
L’impertinente beſte!	L'impertinente bête!
NOSTRADAMVS.	NOSTRADAMUS.
Il s’eſt veu dans mes yeux des pieds iuſqu’à la teſte;	Il s'est vu dans mes yeux des pieds jusqu'à la tête;
Bon, il n’a pas oüy.	Bon, il n'a pas oui.
4 1 12 LIMA	4 1 12 LIMA
LIMACON.	LIMAÇON.
Puis-je venil A bout D emeuer m'amaltiene :	Puis-je venil A bout D emver m'amaltiene :
NOSTRADAMVS.	NOSTRADAMUS.
On dit qu’argent fait tout;	On dit qu'argent fait tout;
Ce n’eſt qu’en ſa faueur qu’vne tendre filette Tombe pour plaire aux gens quelquefois ſur l’herbette, nt croit pour cuiter de trahir ſon deuoir, Qu’il faut feindre dormir & de ne rien ſçauoir.	Ce n'est qu'en sa faveur qu'une tendre filette Tombe pour plaire aux gens quelquefois sur l'herbette, nt croit pour cuiter de trahir son devoir, Qu'il faut feindre dormir et de ne rien savoir.
ENRCON.	ENRCON.
Tant que dix-huit eſcus.	Tant que dix-huit écus.
NOSTRADAMVS.	NOSTRADAMUS.
Comment pourront s’étendre?	Comment pourront s'étendre?
Il en faut dauantage, où bien n’y pas pretendre?	Il en faut davantage, où bien n'y pas prétendre?
LIMACON.	LIMAÇON.
C’eſt aſſez de l’argent.	C'est assez de l'argent.
NOSTRADAMVS.	NOSTRADAMUS.
De Robin?	De Robin?
LIMACON.	LIMAÇON.
oüy ma foy	oui ma foi
NOSTRADAMVS.	NOSTRADAMUS.
Vous raillez.	Vous raillez.
LIMACON.	LIMAÇON.
Poie datoue.	Poie datoue.
NOSTRADAMVS.	NOSTRADAMUS.
C’eſt ſe mocquer de moy.	C'est se moquer de moi.
LIMACON.	LIMAÇON.
Ma Maiſtreſſe chez nous ie ſuis ſeur de la tãteL’affaire eſt dans le ſacq, il faut qu’elle y conſente, De cét enleuement veux-tu faire les frais, Et ie te ſuis mon cœur, redeuable à iamais?	Ma Maîtresse chez nous ie suis sûr de la tãteL’affaire est dans le sacq, il faut qu'elle y consente, De cet enlèvement veux-tu faire les frais, Et Seigneur te suis mon cœur, redevable à jamais?
NOSIRADAAVS.	NOSIRADAUS.
Ie veux donc auoir part aux baiſers & careſſes.	Je veux donc avoir part aux baisers et caresses.
LTMACON.	LTMACON.
Et moy par cinq cens coups t’expliquer ſes tendreſſes.	Et moi par cinq cens coups t'expliquer ses tendresses.
Fy.	Fi.
NOSTRADAMVS.	NOSTRADAMUS.
LIMACON.	LIMAÇON.
Ie m’en vais trouuer du mõde en certains lieux Pour m’aider.	Je m'en vais trouver du monde en certains lieux Pour m'aider.
celuy-là ſemble tombé del Cieux!	celui-là semble tombé de Cieux!
SCENE XI.	SCÈNE XI.
POLEXANDRE, LIMACON, NOSTRADAMVS.	POLEXANDRE, LIMAÇON, NOTRADAMUS.
E POLEXANDRE à part.	E POLEXANDRE à part.
St-ce luy?	St-ce Prince?
ie ne ſçay.	Ne ne sais.
Noa lanonarvo.	Noa lanonarvo.
Faiſons luy la grimace.	Faisons luy la grimace.
LIMACON.	LIMAÇON.
Non, non, peſte il viendroit ſur nous faire main baſſe.	Non, non, peste il viendrait sur nous faire main basse.
POLEXANDRE à part, A le ſentir de prés ie le connoiſtray mieux.	POLEXANDRE à part, À le sentir de près ie le connaîtrai mieux.
4	4
Lima çon en ſe tournant d’vn autre coſté, & ſe cachant le viſage.	Lima çon en se tournant d'un autre côté, et se cachant le visage.
Diable qu’il eſt goulu de me manger des yeux!	Diable qu'il est goulu de me manger des yeux!
LIMACON.	LIMAÇON.
Si ce n’eſt pas luy meſme, à peu prés c’eſt ſabiere.	Si ce n'est pas luiours, à peu prés c'est sabière.
POLEXANDRE.	POLEXANDRE.
Vous peut-on voir au nez?	Vous peut-on voir au nez?
LIMACON.	LIMAÇON.
Vous peut-on poignarder?	Vous peut-on poignarder?
Ne ſuis-je icy venu que pour vous regarder?	Ne suis-je ici venu que pour vous regarder?
Voyons pourtant qui c’eſt.	Voyons pourtant qui c'est.
Ha!	Ha!
mon cher Polexandre!	mon cher Polexandre!
POLEAANDRE.	POLEANDRE.
Ha!	Ha!
mon intime amy !	mon intime ami !
LIMACON.	LIMAÇON.
Qu’auez-vous à m’apprendre?	Qu'avez-vous à m'apprendre?
POLEXANDRE.	POLEXANDRE.
Que i’eſtois à Creteil, & que ie n’y ſuis plus, Et que ie trouue icy deux hommes ſuperflus, Si ie n’en ſuis ſeruy de la belle maniere	Que j'étais à Creil, et que je n'y suis plus, Et que je trouve ici deux hommes superflus, Si grande n'en suis servi de la belle manière
LIMACON.	LIMAÇON.
Que ie puiſſe a vos yeux entrer dans vne orniere, Si ie ne ſuis à vous auſſi-toſt qu’au demon;	Que personne puisse à vos yeux entrer dans une ornière, Si tu ne suis à vous aussitôt qu'au démon;
I'en iure les amours de Iupiter Hammon.	J'en jure les amours de Jupiter Hammon.
POLEXANDRE.	POLEXANDRE.
Mon cœur dõc en amour a ſi bien fait la beſte, Qu'il s’y voit embourbé iuſqu'au haut de la teſte, Et qu’auec trois cheuaux à parler franchemẽt, On ne le peut pas inettie à pled let alſciſient.	Mon cœur dont en amour a si bien fait la bête, Qu'il s'y voit embourbé jusqu'au haut de la tête, Et qu'avec trois chevaux à parler franchement, On ne le peut pas inertie à pled let alscisient.
LIMACON.	LIMAÇON.
pous nonniez,eneramji vorre amable donzelle?	pous nonniez,eneramjà vorre amable donzelle?
POLEXANDRE.	POLEXANDRE.
Helas!	Hélas!
ie n’en ſçay rien, ſi ce n’eſt Iſabelle.	Ce n'en sais rien, si ce n'est Isabelle.
Ouy eert le cner oojet dont ie ſuis endiablé, Et dõt i’aimerois mieux eſtre hay qu’eſtrãgléQue ie ſerois heureux ſi c’eſtoit mon eſpouſe!	Oui eert le cner oojet dont je suis endiablé, Et dompt j'aimerais mieux être ha estrãgléQue femme serais heureux si c'était mon épouse!
LMneon a pairsSicut & nos.	LMneon a pairsSicut et nos.
POLEXANDRE.	POLEXANDRE.
sa mine en vaut pour le moins douze, Et iamais ſa beauté ne ſe peut effacer.	sa mine en vaut pour le moins douze, Et jamais sa beauté ne se peut effacer.
LIMACON.	LIMAÇON.
Concluez donc?	Concluez donc?
22	22
POLEXANDRE.	POLEXANDRE.
Ie crains.	Je crains.
LIMACON.	LIMAÇON.
111111 C iij	111111 Ç iijà
POLEXANDRE.	POLEXANDRE.
De vous offenſer.	De vous offenser.
LIMACON.	LIMAÇON.
Hé comment?	Hé comment?
,	,
POLEXANDRE.	POLEXANDRE.
Si i’allois vous témoigner l’enuie	Si j'allais vous témoigner l'envie
9 De quoy?	9 De quoi?
LIMACON.	LIMAÇON.
Mohaniress.	Mohaniress.
De l’enleuer.	De l'enlever.
LIMACON.	LIMAÇON.
Perdez pluſtoſt la vie, Que de manquer ia mais d’en auoir la raiſon;	Perdez plutôt la vie, Que de manquer ja mais d'en avoir la raison;
Vn amour mal-heureux ſert de peſte & poiſon.	Un amour malheureux sert de peste et poison.
POLEXANDRE.	POLEXANDRE.
Faut-il prés d’Iſabelle & de ſa tante Argine Paſſer pour rauiſſeur?	Faut-il près d'Isabelle et de sa tante Argine Passer pour ravisseur?
LIMACON.	LIMAÇON.
En auez-vous la mine?	En avez-vous la mine?
Ha!	Ha!
c’eſt auoir de vous trop bonneopinion, Pour damer Iſabelle il faut d’autre pion;	c'est avoir de vous trop bonneopinion, Pour damer Isabelle il faut d'autre pion;
L’on peut eſtre fort propre aux autels de Cybelle, Derortmnununpore pourſelalr Iſabelle.	L'on peut être fort propre aux autels de Cybelle, Derortmnununpore pourselal Isabelle.
PO LEXANDRE.	PÔ LEXANDRE.
Hé quoy!	Hé quoi!
ſuis-je impuiſſant!	suis-je impuissant!
mais la connoiſſez-vous?	mais la connaissez-vous?
LIMACON.	LIMAÇON.
Cù voulez-vous railler ſi ce n’eſt entre nous?	Cù voulez-vous railler si ce n'est entre nous?
POLEXANDRE.	POLEXANDRE.
Il faut parler tout bas au quartier où nous ſommes, Ie m’en vais l’enleuer auec ſept ou huit hõmes:	Il faut parler tout bas au quartier où nous sommes, Je m'en vais l'enlever toujours sept ou huit hommes:
Mauio conme mon logio en clois, ne d’icy, Où la mettre d'abord?	Mauio conme mon logio en clois, ne d'ici, Où la mettre d'abord?
ie creue de ſoucy;	Ne crève de souci;
Luy pourroit-on chez vous dõner vne retraite?	Lui pourrait-on chez vous donner une retraite?
LIMACON.	LIMAÇON.
Que de tous mies Amis la voionte tort laite,	Que de tous mies Amis la voionte tort laite,
2 NOSTRADAMVS à part.	2 NOSTRADAMUS à part.
Qu'il eſt ſot!	Qu'il est sot!
POLEXANDRE.	POLEXANDRE.
61 Il eſt vray que voila m’obliger.	61 Il est vrai que voilà m'obliger.
LIMACON.	LIMAÇON.
Moins que vous ne penſez.	Moins que vous ne pensez.
POLEXANDRE.	POLEXANDRE.
Ie ſçauray m’en venger.	Je saurai m'en venger.
Mais où demeurez-vous :	Mais où demeurez-vous :
LIMAGON.	LIMAGON.
A l’image du diable.	À l'image du diable.
NOSTRADAMVS.	NOSTRADAMUS.
A quatre pas.	À quatre pas.
POLEXANDRE.	POLEXANDRE.
C’eſt là que mon incomparable.	C'est là que mon incomparable.
Allez tout preparer chez vous à receuoir, La Maiſtreſſe & l’Amant.	Allez tout préparer chez vous à recevoir, La Maîtresse et l'Amant.
LIMACON.	LIMAÇON.
Ie feray mon deuoir.	Je ferai mon devoir.
POLEXANDRE.	POLEXANDRE.
Ie cours donc enfoncer la porte de derriere, Si ie ne n’aduance rien auecque la priere.	Je cours donc enfoncer la porte de derrière, Si ici ne n'avance rien avec la prière.
Il ſort:	Il sort:
LIMACON Allons, allons chez nous, Polexandre eſt trahys Latatus ſum in nis qua dicta ſunt mihi.	LIMAÇON Allons, allons chez nous, Polexandre est trahis Latus sum in nis qua dicta sunt mihi.
O!	Ô!
que i’ame l’eſpoir en l’ardeur qui me preſſe, D'entrer ſur le terroir de ma chere Maiſtreſſe)	que j'âme l'espoir en l'ardeur qui me presse, D'entrer sur le terroir de ma chère Maîtresse)
LCTE II	LCTE II
SCENE I.	SCÈNE I.
POLEXANDRE.	POLEXANDRE.
Itoyable deſtin, de grace exemptezvous, De vouloir en m’aimant faire mille jaloux;	Itoyable destin, de grâce exemptezvous, De vouloir en m'aimant faire mille jaloux;
Portez la chance ailleurs, ou pour le moins i’enrage, Peſte de vos bien-faits, ie creue ſous la charge;	Portez la chance ailleurs, ou pour le moins j'enrage, Peste de vos bienfaits, ie creue sous la charge;
Ie vous donne au grand diable auecque vos faueurs, Si vous ne m’ẽ voulez dõner d’autres couleurs;	Je vous donne au grand diable auecque vos faveurs, Si vous ne m'en voulez donner d'autres couleurs;
Il m’ẽ faut, s’il vous plaît d’écouter ma priere, Et d'vne autre encolure & d’vne autre maniere.	Il m'en faut, s'il vous plaît d'écouter ma prière, Et d'une autre encolure et d'une autre manière.
Au lieu d’vn Polexãdre il faut eſtre vn cheual, Pour donner ſa Maiſtreſſe en garde à ſon riual;	Au lieu d'une Polexãdre il faut être un cheval, Pour donner sa Maîtresse en garde à son rival;
C’eſt l’entendre aſſez bien, & iuſtement tout comme, Qui va porter coucher ſa fẽme auęc vn hõme;	C'est l'entendre assez bien, et justement tout comme, Qui va porter coucher sa femme auc un homme;
Quand i’y ſonge morbleu, faut-il n’auoir eſtéPrendre iuſqu’en ſa chambre vne tẽdre beauté, Et n’auoir eſſuyé cent & cent coups de gaules, Qui ſont enregiſtrés ſur mes graſſes épaules, Qu’afin que ce bijou dûſt m’eſtre dérobé, Meſme auant qu’auoir ſçeu le reduire à iubé!	Quand j'y songe morbleu, faut-il n'avoir estéPrendre jusqu'en sa chambre ra tendre beauté, Et n'avoir essuyé cent et cent coups de gaules, Qui sont enregistrés sur mes grasses épaules, Qu'afin que ce bijou dût m'être dérobé, Même avant qu'avoir su le réduire à jubé!
De ce maudit riual, que ne ſuis-je en la place!	De ce maudit rival, que ne suis-je en la place!
Iſabelle auroit beau me demander ſa grace, Ie ſuis fort aſſuré qu’auant la fin du iour Ie la ferois ſeruir d’épreuue à mon amour.	Isabelle aurait beau me demander sa grâce, Je suis fort assuré qu'avant la fin du jour Je la ferais servir d'épreuve à mon amour.
Mais voicy.	Mais voici.
SCENE II POLEXANDRE, LIMACON.	SCÈNE II POLEXANDRE, LIMAÇON.
