Suiuant la Copie imprimée	Suivant la Copie imprimée
La mort du Roy mon pere à Corinthe m’appelle, I’en I'en attens aujourd’huy la funeſte nouuelle, Et ie hazarde tout à quitter les Thebains Sans mettre ce depoſt en de fidelles mains.	La mort du Roi mon père à Corinthe m'appelle, en J'en attends aujourd'hui la funeste nouvelle, Et beau hasarde tout à quitter les Thébains Sans mettre ce dépôt en de fidèles mains.
Æmon ſeroit pour moy digne de la Princeſſe, S’il a de la naiſſance, il a quelque foibleſſe, Et le peuple du moins pourroit ſe partager, Si dans quelque attentat il oſoit l’engager:	Æmon serait pour mo digne de la Princesse, S'il a de la naissance, il a quelque faiblesse, Et le peuple du moins pourrait se partager, Si dans quelque attentat il osait l'engager:
Mais vn Prince voiſin, tel que tu vois Theſée, Feroit de ma couronne une conqueſte aiſée, Si d’vn paril Hymen le dangereux lien Armoit pour luy ſon peuple, & ſouſleuoit le mien.	Mais un Prince voisin, tel que tu vois Thesée, Ferait de ma couronne une conquête aisée, Si d'un paril Hymen le dangereux lien Armait pour lui son peuple, et souleuait le mien.
Athénes eſt trop proche, & durant vn abſence L'occaſion qui flate anime l’eſperance, Et quand tous mes ſubjets me garderoient leur foi, Deſolez cõme ils ſont, que pourroient ils pour moi?	Athénes est trop proche, et durant un absence L'occasion qui flatte anime l'espérance, Et quand tous mes sujets me garderaient leur foi, Desolez comme ils sont, que pourraient ils pour moi?
La Reine a pris le ſoin d’en parlar à ſa fille, Æmon eſt de ſon ſang, & Chef de ſa famille, Et l’amour d’vne mere a ſouuent plus d’effet, Que n’ont.	La Reine a pris le soin d'en parlar à sa fille, Æmon est de son sang, et Chef de sa famille, Et amour mere a souuent plus effet, Que ont.
mais la voicy, ſçachõs ce qu’elle a fait.	mais la voici, sçachõs ce qu'elle a fait.
SCENE IV.	SCÈNE IV.
OEDIPE, IOCASTE, CLEANTE, NERINE.	OEDIPE, JOCASTE, CLEANTE, NERINE.
IOCASTE.	JOCASTE.
’Ay perdu temps, Seigneur, & cette ame emT braſée.	Ay perdu temps, Seigneur, et cette âme emT brasée.
Met trop de difference entre Æmon & Theſée:	Met trop de différence entre Æmon et Thesée:
Auſſi ie l’aduoûray, bien que l’vn ſoit mon ſang, Leur merite differe encor plus que leur rang, Et l’on a peu d’éclat aupres d’vne perſonne Qui joint à de hauts faits celuy d’vne couronne.	Aussi ici l'aduoûray, bien que l'un soit mon sang, Leur mérite diffère encor plus que leur rang, Et l'on a pu d'éclat auprès d'une personne Qui joint à de hauts faits celui d'une couronne.
OEDIPE.	OEDIPE.
Theſée eſt donc, Madame, vn dangereux riual?	Thesée est donc, Madame, une dangereux rival?
CASTE.	CASTE.
Æmon eſt fort à plaindre, ou ie deuine mal.	Æmon est fort à plaindre, ou tu devine mal.
I’ay I'ay tout mis en vſage aupres de la Princeſſe, Conſeil, authorité, reprocheyamour, tendreſſe, I’en ay tiré des pleurs, arraché des ſoûpirs, Et n’ay pû de ſon cœur eſ branſler les deſirs.	J'ai J'ai tout mis en usage auprès de la Princesse, Conseil, autorité, reprocheyamour, tendresse, J'en ai tiré des pleurs, arraché des soupirs, Et n'ai pu de son cœur es branler les désirs.
I’ay pouſſe le dépit de m’en voir ſeparée	J'ai pousse le dépit de m'en voir séparée
Iuſques à la nommer fille dénaturée.	Jusqu' à la nommer fille dénaturée.
Le ſang Roy-al n’a point ces bas attachemens, Qui font les déplaiſirs de ces eloignemeus.	Le sang Roi-al n'a point ces bas attachements, Qui font les déplaisirs de ces éloignemus.
Et les ames, dit-eſſe, antronc deſiinees, Ne doiuent aux parens que les ieunes anneés.	Et les âmes, dit-esse, antronc desiinees, Ne doivent aux parents que les jeunes anneés.
OEDIPE.	OEDIPE.
Et ces mots ont ſoudain calmé voſtre couroux?	Et ces mots ont soudain calmé votre courroux?
OCASTE.	OCACSTE.
Pour les !	Pour les !
uſtifier elle ne veut que vous, Voſtre exemple luy prente vne preuue anez claire, Que le trône eſt plus doux que le ſein d’vne mere;	Utifier elle ne veut que vous, Votre exemple était prente une preuve anez claire, Que le trône est plus doux que le sein d'une mère;
Pour regner en ces lieux vous auez tout quitté.	Pour régner en ces lieux vous avez tout quitté.
OEDIPE.	OEDIPE.
Mon exemple & ſa faute ont peu d’égalité.	Mon exemple et sa faute ont peu d'égalité.
C’eſt loin de ſes parens qu’vn homme apprend à viure, Hercule m’a donné ce grand exemple à ſuiure, Et c’eſt pour limiter que par tous nos climats I’ay cherché comme luy la gloire & les combats.	C'est loin de ses parents qu'un homme apprend à vivre, Hercule m'a donné ce grand exemple à suivre, Et c'est pour limiter que par tous nos climats J'ai cherché comme lui la gloire et les combats.
Mais bien que la pudeur par des ordres contraires Attache de plus prez les filles à leurs meres, La voſtre aime vn audace où vous la ſoûtenez.	Mais bien que la pudeur par des ordres contraires Attache de plus près les filles à leurs mères, La vôtre aime un audace où vous la soutenez.
IOCASTE.	JOCASTE.
Ie la condamneray, il vous condaſlinez;	Je la condamnerai, il vous condamnez;
Mais à parler ſans fard, ſi j’eſtois en ſa place, I’en vſerois comme elle, & j’aurois meſme audace;	Mais à parler sans fard, si j'étais en sa place, J'en userais comme elle, et j'aurais même audace;
Et vous-meſme, Seigneur, apres tout, dites-moy, La condamneriez-vous ſi vous n’eſtiez ſon Roy?	Et vous-même, Seigneur, après tout, dites-moi, La condamneriez-vous si vous n'étiez son Roi?
OEDIPE.	OEDIPE.
Si ie condamne en Roy ſon amour, ou ſa haine, Vous deuez comme moy les condamner en Reine.	Si ici condamne en Roi son amour, ou sa haine, Vous devez comme moi les condamner en Reine.
IOCASTE.	JOCASTE.
Ie ſuis Reine, Seigneur, mais ie ſuis mere auſſi, Aux miens, çomme à l’eſtat, ie dois quelque ſoucy, Ie Ie ſepare Dircé de la cauſe publique, Ie voy qu’ainſi que vous elle a ſa Politique;	Je suis Reine, Seigneur, mais je suis mère aussi, Aux miens, çomme à l'état, ie dois quelque souci, Je Ie sépare Dircé de la cause publique, Je vois qu'ainsi que vous elle a sa Politique;
Comme vous agiſſez en Monarque prudent, Elle agit de ſa part en cœur independant, En amante à bon tiltre, en Princeſſe auiſée, Qui merite ce trône où l’appelle Theſée.	Comme vous agissez en Monarque prudent, Elle agit de sa part en cœur indépendant, En amante à bon titre, en Princesse avisée, Qui mérite ce trône où l'appelle Thesée.
de ne puis vouo hacery ce crolloio vous trahir, Si ie vous promettois qu’elle peuſt obeïr.	de ne puis vouo hacéri ce crolloi , vous trahir, Si je vous promettais qu'elle pût obéir.
OEDIPE.	OEDIPE.
Pourroit-on mieux défendre vn eſprit ſi rebelle?	Pourrait-on mieux défendre un esprit si rebelle?
IOCASTE.	JOCASTE.
Parlons-en comme il faut, nous nous aimons plus qu’elle, Et c’eſt trop nous aimer, que voir d’vn œil jaloux Qu’elle nous rend le chãge, & s’aime plus que nous.	Parlons-en comme il faut, nous nous aimons plus qu'elle, Et c'est trop nous aimer, que voir d'un œil jaloux Qu'elle nous rend le changge, et s'aime plus que nous.
Vn peu trop de lumiere à nos deſirs s’oppoſe, Peut-eſtre auec le temps nous pourrions quelque choſe;	Un peu trop de lumière à nos désirs s'oppose, Peut-être avec le temps nous pourrions quelque chose;
d’vn jour Mais n’eſperons iamais qu’on change-en moins Quand la raiſon ſouſtient le party de l’amour.	d'un jour Mais n'espérons jamais qu'on change-en moins Quand la raison soutient le parti de l'amour.
OEDIPE.	OEDIPE.
Souſcriuons donc, Madame, à tout ce qu'elle ordonne, Couronnons cet amour de ma propre couronne, Cedons de bonne grace, & n’embraſſons plus tant, Vn trône hereditaire à Corinthe m’attend, A mon ambition ce trône peut ſuffire, Et pour ſes prtis grauseœuise ere anen d’vnEmpire, Mais vous ſouuenez-vous que vous auez deux fils, Que le couroux du Ciel a fait naiſtre ennemis, Et qu’il vous en faut craindre vn exemple barbare, A moins que pour regner leur deſtin les ſepare?	Souscrivons donc, Madame, à tout ce qu'elle ordonne, Couronnons cet amour de ma propre couronne, Cédons de bonne grâce, et n'embrassons plus tant, Un trône héréditaire à Corinthe m'attend, À mon ambition ce trône peut suffire, Et pour ses prîtis grauseœuise ère eanen d'vnEmpire, Mais vous souvenez-vous que vous avez deux fils, Que le courroux du Ciel a fait naître ennemis, Et qu'il vous en faut craindre un exemple barbare, A moins que pour se leur destin les répare?
OCASTE.	OCACSTE.
Ie ne voy rien encor fort à craindre pour eux, Dircé les aime en ſœur, Theſée eſt genereux, Et ſi pour vn grand cœur c’eſt aſſez d’vn Empire, A ſon ambition Athénes doit ſuffire.	Je ne vois rien encor fort à craindre pour eux, Dircé les aime en sœur, Thesée est généreux, Et si pour un grand cœur c'est assez d'Han Empire, A son ambition Athénes doit suffire.
OE DIPE.	ÔE DIPE.
O Vous mettez vne borne à cette ambition?	Ô Vous mettez croire borne à cette ambition?
1o	1o
OCASTE.	OCACSTE.
I'en prens, quoy qu’il en ſoit, peu d’apprehenſion, Et Thebes & Corinthe ont des bras cõme Athénes.	J'en prends, quoi qu'il en soit, peu d'appréhension, Et Thébes et Corinthe ont des bras comme Athénes.
Mais nous touchõs peut-eſtre à la fin de nos peines, Dymas eſt de retour, & Delphes a parlé.	Mais nous touchons peut-être à la fin de nos peines, Dymas est de retour, et Delphes a parlé.
OEDIPE.	OEDIPE.
Que ſon viſage montre vn eſprit deſolé!	Que son visage montre un esprit désolé!
SCENE V.	SCÈNE V.
OE DIPE, IOCASTE, DYMAS, CLEANTE, NERINE.	ÔE DIPE, JOCASTE, DYMAS, CLEANTE, NERINE.
OEDIPE.	OEDIPE.
T bien, quand verrons-nous finir noſtre inD fortune?	T bien, quand verrons-nous finir notre inD fortune?
Qu’apportez-vous, Dymas?	Qu'apportez-vous, Dismas?
quelle réponſe:	quelle réponse:
DYMAS.	DYMAS.
OEDIPE.	OEDIPE.
Quoy!	Quoi!
les Dieux ſont muëts!	les Dieux sont mues!
DYMAS.	DYMAS.
Ils ſont muëts, & ſourds.	Ils sont mues, et sourds.
Nous auons par trois fois imploré leur ſecours, Par trois fois redoublé nos vœux, & nos offrandes, Ils n’ont pas daigné meſme écouter nos demandes.	Nous avons par trois fois imploré leur secours, Par trois fois redoublé nos vœux, et nos offrandes, Ils n'ont pas daigné même écouter nos demandes.
A peine parlions-nous, qu’vn murmure confus Sortant du fonds de l’Antre expliquoit leur refus, Et cent voix tout à coup, ſans eſtre articulées, Dans vne nuit Tubite à nos ſoupirs melées, Faiſoient auec horreur ſoudam cognoiſtre à tous Qu’ils n’auoient plus ny d’yeux, ny d’oreilles pour OE DIPE.	À peine parlions-nous, qu'un murmure confus Sortant du fonds de l'Antre expliquait leur refus, Et cent voix tout à coup, sans être articulées, Dans quelque nuit Tubite à nos soupirs melées, Faisaient avec horreur soudam connaître à tous Qu'ils n'avaient plus ni d'yeux, ni encoreilles pour OE DIPE.
nous.	nous.
TOCASTE.	TOCASTE.
Ah, Seigneur, que marque vn tel ſilence!	Ah, Seigneur, que marque un tel silence!
OEDIPE.	OEDIPE.
Que pourroit-il marquer qu’vne iuſte vangeance?	Que pourrait-il marquer qu'une juste vengeance?
Les Dieux, qui toſt ou tard ſçauent ſe reſſentir, Les Deſdaignent de répondre á qui les fait mentir.	Les Dieux, qui tôt ou tard sçauent se ressentir, Les Dédaignent de répondre qui les fait mentir.
Ce fils dont ils auoient prédit les auantures, Expoſé par voſtre ordre, a trompé leurs augures, Et ce ſang innocent, & ces Dieux irritez Se vangent maintenant de vos impietez.	Ce fils dont ils avaient prédit les aventures, Exposé par fois ordre, a trompé leurs augures, Et ce sang innocent, et ces Dieux irrités Se vengent maintenant de vos impiété.
IOCASTE.	JOCASTE.
Deuions nous l’expoſer à ſon deſtin funeſte, Pour le voir parricide, & pour le voir inceſte, Et des crimes ſi noirs étouffez au berceau Auroiẽt-ils ſçeu pour moi faire vn crime nouueau?	Devions nous l'exposer à son destin funeste, Pour le voir parricide, et pour le voir inceste, Et des crimes si noirs étouffez au berceau Auraient-ils sçeu pour moi faire un crime nouveau?
Non, non, de tant de maux Thebes n’eſt aſſiegée, Que pour la mort du Roy que l’on n’a pas vangée, Son Ombre inceſſament me frape encor les yeux, le Pentenis dfuriſurel a toute neure, entous lieux, Et ſe pleindre en mon cœur de eette ignominie, Qu’impeime à ſon grand nom cette mort impunie.	Non, non, de tant de maux Thebes n'est assiégée, Que pour la mort du Roi que l'on n'a pas vengée, Son Ombre incessament me frappe encor les yeux, le Pentenis dfurisurel a toute neure, entous lieux, Et se pleindre en mon cœur de cette ignominie, Qu'impeime à son grand nom cette mort impunie.
OEDIPE.	OEDIPE.
Pourrions-nous en punir des brigands inconnus Que peut-eſtre iamais en ces lieux on n’a veus?	Pourrions-nous en punir des brigands inconnus Que peut-être jamais en ces lieux on n'a vus?
Si vous m’auez dit vrai, peut-eſtre ay-je moi meſme Sur trois de ces brigrands vangé de Diadéme;	Si vous m'avez dit vrai, peut-être ai-je moi même Sur trois de ces brigrands vengé de Diadème;
Au lieu meſme, au temps meſme, attaqué ſeul par trois, I'en laiſſay deux ſans vie, & mis l’autre aux abois.	Au lieu même, au temps même, attaqué seul par trois, J'en laissai deux sans vie, et mis l'autre aux abois.
Mais ne negligeons rien, & du Royaume ſombre Faifons par Tireſie éuoquer ſa grande Ombre.	Mais né négligeons rien, et du Royaume sombre Faifons par Tiresie évoquer sa grande Ombre.
Puiſque le Ciel ſe taiſt, conſultons les Enfers.	Puisque le Ciel se taît, consultons les Enfers.
Sçachons à qui de nous ſont deus les maux ſoufferts Sçachons-en, s'il le peut, la cauſe & le remede.	Sachons à qui de nous sont deus les maux soufferts Sachons-en, s'il le peut, la cause et le remède.
Allons tout de ce pas reclamer tous ſon aide;	Allons tout de ce pas réclamer tous son aide;
I’iray reuoir Corinthe auec moins de ſoucy, Si ie laiſſe plein calme & pleine joye icy.	J'irai revoir Corinthe avec moins de souci, Si tu laisse plein calme et pleine joie ici.
ACTE	ACTE
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OEDIPE, DIRCE, CLEANTE, MEGARE.	OEDIPE, DIRCE, CLEANTE, MEGARE.
OEDIPE.	OEDIPE.
E ne le cele point, cette hauteur m’étonne, (perſonne, AEmion a du menite, oh cherit ſa Il eſt Prince, & de plus eſtant offert par moy.	E ne le cèle point, cette hauteur m'étonne, (personne, AEmion a du ménite, oh chérit sa Il est Prince, et de plus étant offert par moi.
DIRCE.	DIRCE.
Ie vous ay déja dit, Seigneur, qu’il n’eſt pas Roy.	Je vous ai déjà dit, Seigneur, qu'il n'est pas Roi.
OEDIPE.	OEDIPE.
bon Frjilien touterolo ne vous lait point deſcendre, S’il n’eſt pas dans le trône, il a droit d’y pretendre, Et comme il eſt ſorty de meſme ſang que vous, Ie croy vous faire honneur d’en faire voſtre eſpoux.	bon Frilien touterolo ne vous lait point descendre, S'il n'est pas dans le trône, il a droit d'y prétendre, Et comme il est sorti de même sang que vous, Je crois vous faire honneur d'en faire votre époux.
DIRCE.	DIRCE.
Vous pouuez donc ſans honte en faire voſtre gendre, (dre, Mes ſœurs en l’épouſant n’auront point à deſcenMais pour moy, vous ſȩauez qu’il eſt ailleurs des RoIS, Et meſme en voſtre Cour, dont ie puis faire choix.	Vous pouvez donc sans honte en faire votre gendre, (dre, Mes sœurs en l'épousant n'auront point à descenMais pour moi, vous savez qu'il est ailleurs des RoIS, Et même en votre Cour, dont je puis faire choix.
OEDIPE.	OEDIPE.
Vous le pouuez, Madame, & n'en voudrois pas faire Cans en prendre mon ordre, & celuy d’vne mere.	Vous le pouvez, Madame, et n'en voudrais pas faire Cans en prendre mon ordre, et celui d'une mère.
DIRCE.	DIRCE.
Pour la Reine, il eſt vray qu’en cette qualitè Le ſang peut luy deuoir quelque ciuilité, Ie m’en ſuis acquitée, & ne puis bien comprendre, Eſtant ce que ie ſuis, quel ordre ie dois prendre.	Pour la Reine, il est vrai qu'en cette qualitè Ne sang peut lui avoir quelque civilité, Je m'en suis acquitée, et ne puis bien comprendre, Estant ce que plein suis, quel ordre croire dois prendre.
OEDT	ÔÉDT
OEDIPE.	OEDIPE.
Celuy qu’vn vray deuoir prend des fronts couronnez, (nez;	Celui qu'un vrai devoir prend des fronts couronnés, (nez;
Lors qu’on tient auprés d’eux le rang que vous teIe penſe eſtre icy Roy.	Lors qu'on tient auprès d'eux le rang que vous teIe pense être ici Roi.
DIRGE.	DIRGE.
Ie ſçay ce que vous eſtes, Mais ſi vous me contez au rang de vos ſujettes, Ie ne ſçay ſi celuy qu’on vous a pû donner Vous aſſeruit vn front qu’on a dû couronner.	Je sais ce que vous êtes, Mais si vous me contez au rang de vos sujettes, Je ne sais si celui qu'on vous a pu donner Vous asservit un front qu'on a dû couronner.
Seigneur, quoy qu’il en ſait, j’ay fait choix de Theſée, Ie me ſuis à ce choix moy-meſme authoriſée, I’ay pris l’occaſion que m’ont faite les Dieux De fuir l’aſpect d’vn trône où vous bleſſez mez yeux, Et de vous épargner cet importun ombrage, Qu’à des Rois comme vous peut donner mon viſage.	Seigneur, quoi qu'il en sait, j'ai fait choix de Thesée, Je me suis à ce choix moi-même autorisée, J'ai pris l'occasion que m'ont faite les Dieux De fuir l'aspect d' trône où vous blessé s yeux, Et de vous épargner cet importun ombrage, Qu'à des Rois comme vous peut donner mon visage.
OEDIPE.	OEDIPE.
Le choix d’vn ſi grand Prince eſt bien digne de Et ie l’eſtime trop pour en eſtre jaloux;	Le choix d'un si grand Prince est bien digne de Et Elle l'estime trop pour en être jaloux;
vous, Mais le peuple, au miſieu des coleres celeſtes, Aime encor de Lajus les adorables reſtes, Et ne pourra ſouffrir qu’on luy vienne axracher Ces gages d’vn grand Roy qu’il tient jadis ſi cher.	Vous, Mais le peuple, au misieu des colères célestes, Aime encor de Lajus les adorables restes, Et ne pourra souffrir qu'on lui vienne axracher Ces gages d'un grand Roi qu'il tient jadis si chères.
DIRCE, De l’air dont juſqu’icy ce peuple m’a traitée.	DIRCE, De l'air dont jusqu'ici ce peuple m'a traitée.
Ie dois craindre fort peu de m’en voir regrettée, S’il euſt eu pour ſon Roy quelque ombre d’amitié, Si mon ſexe, ou mon âge euſt émeu ſa pitié, Il n’auroit jamais eu cette lâche foibleſſe De liurer en vos mains l’Eſtat, & ſa Princeſſe, Et me verra toûjours éloigner ſans regret, Puiſque c’eſt l’affranchir d’vn reproche ſecret.	Je dois craindre fort peu de m'en voir regrettée, S'il eût eu pour son Roi quelque ombre d'amitié, Si mon sexe, ou mon âge eût ému sa pitié, Il n'aurait jamais eu cette lâche faiblesse De livrer en vos mains l'État, et sa Princesse, Et me verra toujours éloigner sans regret, Puisque c'est l'affranchir d'un reproche secret.
L’a conſacré luy-meſme à qui l’a conſerué?	L'a consaccré lui-même à qui l'a conservé?
Si vous auiez du sphinx veu le langiant lauage.	Si vous aviez du sphinx vu le langiant lauage.
DIRCE.	DIRCE.
Ie puis dire, Seigneur, que j’ay veu dauantage;	Je puis dire, Seigneur, que j'ai vu davantage;
I’ay veu ce peuple ingrat, que l’Enigme ſurprit, Vous payer aſſez bien d’auoir eu de l’eſprit.	J'ai vu ce peuple ingrat, que l'Enigme surprit, Vous payer assez bien d'avoir eu de l'esprit.
Il pouuoit toutefois auec quelque juſtice Prendre ſur luy le prix d’vn ſi rare ſeruice, Mais quoy qu’il ait oſé vous payer de mon bienEn vous faiſant ſon Roy, vous a-t il fait le mien?	Il pense toutefois était quelque justice Prendre sur lui le prix d'vn si rare service, Mais quoi qu'il ait osé vous payer de mon bienEn vous faisant son Roi, vous a-t -il fait le mien?
En ſe donnant à vous, eut-il droit de me vendre?	En se donnant à vous, eut-il droit de me vendre?
OEDIPE.	OEDIPE.
Ah, c’eſt trop me forcer, Madame, à vous entendre;	Ah, c'est trop me forcer, Madame, à vous entendre;
La jalouſe fierté qui vous enfle le cœur Me regarde toûjours comme vn vſurpateur, Vous voulez ignorer cetté juite ſaxiille, Que le dernier beſoin peut faire vn Roy ſans crime, Qu’vn peuple ſans défenſe, & reduit aux abois.	La jalouse fierté qui vous enfle le cœur Me regarde toujours comme un usurpateur, Vous voulez ignorer cet juite saxiille, Que le dernier besoin peut faire un Roi sans crime, Qu'un peuple sans défense, et réduit aux abois.
DIRCE.	DIRCE.
Le peuple eſt trop heureux quand il meurt pour ſes Rois.	Le peuple est trop heureux quand il meurt pour ses Rois.
Mais, Seigneur, la matiere eſt vn peu delicate, Vous pouuez vous flater, peut-eſtre ie me flate, Sans rien approfondir, parlons à cœur ouuert.	Mais, Seigneur, la matière est un peu délicate, Vous pouvez -vous flatter, peut-être ie me flatte, Sans rien approfondir, parlons à cœur ouvert.
Vous regnez en ma place, & les Dieux l’ont ſouffert, Ie dis plus, ils vous ont ſaiſi de ma couronne:	Vous régnez en ma place, et les Dieux l'ont souffert, Je dis plus, ils vous ont saisi de ma couronne:
Ie n’en murmure point, comme eux ie vous la donne, I'oubliray qu’à moy ſeule ils deuoient la garder;	Je n'en murmure point, comme eux ie -vous la donne, J'oublirai qu'à moi seule ils devaient la garder;
Mais ſi vous attentez juſqu’à me commander, Iuſqu’à prendre ſur moy quelq;	Mais si vous attentez jusqu'à me commander, Jusqu'à prendre sur moi quelq;
pouuoir de maiſtre, Ie me ſouuiendray lors de ce que ie dois eſtre, Et ſi ie ne le ſuis pour vous faire la loy, Ie le ſeray du moins pour me choiſir vn Roy.	pouuoir de maître, Je me souviendrai lors de ce que tu dois être, Et si ici ne le suis pour vous faire la loi, Je le serai du moins pour me choisir un Roi.
Apres cela, Seigneur, ie n’ay rien à vous dire, I’ay fait choix de Theſée, & ce mot doit ſuffire.	Après cela, Seigneur, je n'ai rien à vous dire, J'ai fait choix de Thesée, et ce mot doit suffire.
OEDIPE.	OEDIPE.
Et ie veux à mon tour, Madame, à cœur ouuert B 2 Vous Vous apprendre en deux mots que ce grand choix vous perd, 2.	Et grande veux à mon tour, Madame, à cœur ouvert B 2 Vous Vous apprendre en deux mots que ce grand choix vous perd, 2.
.	.
Qu’il vous remplit le cœur d’vne attente friuole, Qu’au Prince Æmõ pour vous j’ay dõné ma parole, Que ie perdray le ſceptre, ou ſçauray la tenir:	Qu'il vous remplit le cœur d'une attente frivole, Qu'au Prince Æmõ pour vous j'ai donner ma parole, Que me perdrai le sceptre, ou saurai la tenir:
Puiſſent, ſi ie la romps, tous les Dieux m’en punir, Puille de prus de laux M accabier ſeur corere, Qu’Apollon n’en predit jadis pour voſtre frere.	Puissent, si belle la romps, tous les Dieux m'en punir, Puille de prus de laux M accabier sûr corere, Qu'Apollon n'en prédit jadis pour votre frère.
DIRCE.	DIRCE.
N’inſultez point au ſort d’vn enfant malheureux, Et faites des ſermens qui ſoient plus genereux.	N'insultez point au sort d'une enfant malheureux, Et faites des serments qui soient plus généreux.
On ne ſçait pas toûjours ce qu’vn ſerment hazarde, me touu ne vojen pao ce quole olertous garde.	On ne sais pas toujours ce qu'un serment hasarde, me touu ne vojen paojà ce quole olertous garde.
OEDIPE.	OEDIPE.
On le frazarde à tout, quand vn ſerment eſt fait.	On le frasarde à tout, quand un serment est fait.
DIRCE.	DIRCE.
Ce n’eſt pas de vous ſeul que dépend ſon effet.	Ce n'est pas de vous seul que dépend son effet.
* la OEDIPE.	* la OEDIPE.
Ie ſuis Roy, ie puis tout.	Je suis Roi, Seigneur puis tout.
DIRCE.	DIRCE.
Ie puis fort peu de choſe, Mlais enmir de mon cœur moy leuſé ie diſpoſe, Et iamais ſur ce cœur ou n’auancera rien, · Qu’en me donnant vn ſceptre, ou me rendant le mien.	Je puis fort peu de chose, Mlais enmir de mon cœur moi lusé ie dispose, Et jamais sur ce cœur ou n'avancera rien, en me donnant sceptre, ou me rendant le mien.
0	0
OEDIPE.	OEDIPE.
Il eſt quelques moyens de vous faire dédire.	Il est quelques moyens de vous faire dédire.
DIRGE.	DIRGE.
Il en eſt de brauer le plus injuſte Empire, Et de quoy qu’on menace en de tels differens, Qui ne craint point le mort ne craint point les Tyrans.	Il en est de braver le plus injuste Empire, Et de quoi qu'on menace en de tels différents, Qui ne craint point le mort ne craint point les Tyrans.
Ce mot m'eſt échappé, ie n'en fais point d’excuſe, I’en feray, ſi le temps m’apprend que ie m’abuſe;	Ce mot m'est échappé, Seigneur n'en fais point d'excuse, J'en ferai, si le temps m'apprend que ie abuse.
Rendez-vous cependant maiſtre de tout mon ſort, Mais n’offrez à mon choix que Theſée, ou la mort.	Rendez-vous cependant maître de tout mon sort, Mais n'offrez à mon choix que Thesée, ou la mort.
Nous	Nous
OEDIPE.	OEDIPE.
On pourra vous guerir de cette freneſie, Mais il faut aller voir ce qu’a fait Tireſie, Nous içaurons au fetoui eneor vos volontez.	On pourra vous guérir de cette frénésie, Mais il faut aller voir ce qu'a fait Tiresie, Nous içaurons au fétoui eneor vos volontés.
DIRCE.	DIRCE.
Allez ſçauoir de luy ce que vous meritez.	Allez sçauoir de Rome ce que vous méritez.
SCENE II.	SCÈNE II.
DIRCE,MEGARE.	DIRCE,MEGARE.
DIRCE.	DIRCE.
Egare, que dis-tu de cette violence?	Égare, que dis-tu de cette violence?
M Aprés s’eſtre emparé des droits de ma naiſſance, Sa haine opiniaſtre à croiſtre mes malheurs M’oſe encor enuier ce qui ine vient d’ailieurs, Elle empeſche le Ciel de m’eſtre enfin propice, De réparer vers moy cequ freutdijuice, Et veut lier les mains au Deſtin adoucy, Qui m’offre en d’autres lieux ce qu’on me vole icy.	M Aprés s'être emparé des droits de ma naissance, Sa haine opiniâtre à croître mes malheurs M'ose encor envier ce qui ine vient d'ailieurs, Elle empêche le Ciel de m'être enfin propice, De réparer vers moi cequ freutdijuice, Et veut lier les mains au Destin adouci, Qui m'offre en d'autres lieux ce qu'on me vole ici.
MEGARE.	MÉGARE.
Madame, ie ne ſçay ce que ie dois vous dire, La raiſon vous anime, & l’amour vous inſpire, Mais ie crains qu’il n’éclate vn peu plus qu’il ne faut Et que cette raiſon ne parle vn peu trop haur:	Madame, Seigneur ne sais ce que ici dois vous dire, La raison vous anime, et l'amour vous inspire, Mais ie crains qu'il n'éclate un peu plus qu'il ne faut Et que cette raison ne parle un peu trop haur:
Ie crains qu’elle n’irrite vn peu trop la colere D’vn Roy qui juſqu’icy vous a traitée en pere, Et qui vous a rendu tant de preuues d’amour, Qu’il eſpere de vous quelque choſe à ſon tour.	Je crains qu'elle n'irrite un peu trop la colère D'un Roi qui jusqu'ici vous a traitée en père, Et qui vous a rendu tant de prévues d'amour, Qu'il espère de vous quelque chose à son tour.
DIRCL.	DIRCL.
S’il a crû m’ébloüir par de fauſſes careſſes, I’ay veu ſa Politique en former les tendreſſes, Et ces amuſemens de ma captiuité Ne me font rien deuoir à qui m’a tout oſté.	S'il a cru m'éblouir par de fausses caresses, J'ai vu sa Politique en former les tendresses, Et ces amusements de ma captivité Ne me font rien devoir à qui m'a tout ôté.
MEGARE.	MÉGARE.
Vous voyez que d’Æmon il a plis la querelle, Qu’il l’eſtime, cherit.	Vous voyez que d'Æmon il a plis la querelle, Qu'il l'estime, chérit.
DIRCE.	DIRCE.
Politique nouuelle.	Politique nouvelle.
MEGARE.	MÉGARE.
Mais cõment pour Theſée en viendrez vous à bout?	Mais commment pour Thesée en viendrez -vous à bout?
al le mepihle, hait.	al le mépihle, hait.
DIRCE.	DIRCE.
Politique par tout Si la flme d'Æmon en eſt fauoriſée, Ce n’eſt pas qu’il l’eſtime, ou mépriſe Theſée, C’eſt qu’il craint dans ſon cœur que le droit ſouuerain, (Car enfin il m’eſt dû) ne tombe en bonne main.	Politique par tout Si la flamme d'Une en est favorisée, Ce n'est pas qu'il l'estime, ou méprise Thesée, C'est qu'il craint dans son cœur que le droit souverain, (Car enfin il m'est dû) ne tombe en bonne main.
