ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
21 Que ie crains que les dieux n’en deuiennent jaloux?	21 Que Seigneur crains que les dieux n'en deviennent jaloux?
ORPHISE.	ORPHISE.
Si vous auez pour moy quelque ſu jet de crainte Les dieux ne doiuent pas vous cauſer cette atteinte, Ligdamis eſt le ſeul entre tous vos riuaux Qur peut on pioranget, on pun vue mnmnanx;	Si vous avez pour moi quelque su jet de crainte Les dieux ne doivent pas vous causer cette atteinte, Ligédamis est le seul entre tous vos rivaux Qur peut on pioranget, on pun vue mnmnanx;
Preuenez par vos ſoins l’effet de ſa colere.	Prévenez par vos soins l'effet de sa colère.
I-EAGE.	I-EAGE.
Le plus grand de mes ſoins eſt celuy de vous plaire Et pourueu que ma flame eſclaire mon tombeau Ie mourray ſans regret pour vn objet ſi beau.	Le plus grand de mes soins est celui de vous plaire Et pourvu que ma flamme éclaire mon tombeau Je mourrai sans regret pour un objet si beau.
PHISE Le deſſeinde mourireſtune triſte gloire Alors qu’il nous rauit le fruit d’vne victoire:	PHISE Le desseinde mourirestune triste gloire Alors qu'il nous ravit le fruit d'une victoire:
Dequoy vous ſeruiroit çet amour genereux Si la mort receuoit la moiſſon de vos vœux?	Dequoy vous servirait çet amour généreux Si la mort recevait la moisson de vos vœux?
De cette paſſion ſi feruente, & ſi tendre Ne m'en voulez vous riençonſeruer que la cendre?	De cette passion si fervente, et si tendre Ne m'en voulez -vous riençonseruer que la cendre?
Ah Theage quittez ces funeſtes deſſeins, Donneg a voſtre eſprit des mquuemens plus ſains, Voſtre ennemo η eſtꝑgs ellement redoutable Qu'il vous doiue reduirè a ce point deplorable;	Ah Théage quittez ces funestes desseins, Donneg a été esprit des mquuemens plus sains, Votre ennemo or estꝑgs ellement redoutable Qu'il vous doive reduiré à ce point déplorable;
Vous pouuez, par adreſſe euiter ſes fureurs, Et tromper ſon eſpoir par de helles erreurs Dites luy que d’abordinterditte, & ſurpriſe, I’ay blâme vos diſcours,comme ſon entrepriſe,	Vous pouvez, par adresse éviter ses fureurs, Et tromper son espoir par de helles erreurs Dites-même que d'abordinterditte, et surprise, J'ai blâme vos discours,comme son entreprise,
C in Mais que vous ſçauez, bien que toute mafroideur Eſt l'effet du reſpect qu’on doit à ſa grandeur;	Ç C' Est que vous savez, bien que toute mafroideur Est l'effet du respect qu'on doit à sa grandeur;
Que quelque auerſion que i’aye voulu feindre Ie ne fuis ſonabord, que pour le mieux atteindre:	Que quelque aversion que j'aie voulu feindre Je ne fuis sonabord, que pour le mieux atteindre:
Et pourfaire paroiſtre aux Amans de ſa Cour Que ma beauté n’eſt pas la conqueſte d’vn iour:	Et pourfaire paraître aux Amants de sa Cour Que ma beauté n'est pas la conquête d'un jour:
Que deux ou trois efforts vaincront ma modeſtie, Mais qu’il en faut vn peu remettre la partie Afin de me donnerle loiſir de gouſter Le bien dont vos diſcours viennent de me flatter:	Que deux ou trois efforts vaincront ma modestie, Mais qu'il en faut un peu remettre la partie Afin de me donnerle loisir de goûter Le bien dont vos discours viennent de me flatter:
Cependant ſon amour maintenant violente Pem-epre dcutenarapim iegere, ou pins lente, Ou ſi le temps ne peut enrompre les liens, Nous les euiterons par de nouueaux moyens.	Cependant son amour maintenant violente Pempré dcutenarapim mémé, ou pins lente, Ou si le temps ne peut enrompre les liens, Nous les éviterons par de nouveaux moyens.
THEAGE.	THÉGE.
Beauté que ie dois mettre au nombre des miracles Ie ſuiuray vos conſeils, ou pluſtoſt vos oracles, Armé de leur appuy ie verray Ligdamis Et i’vſeray des traits que vous m'auez permis, Puls que dans noy amours la ſetme eſt neceſſaire Pourrompre lès efforts d’vn puiſſant aduërſaire.	Beauté que je dois mettre au nombre des miracles Je suivrai vos conseils, ou plutôt vos oracles, Armé de leur appui avoir verrai Ligédamis Et j'userai des traits que vous m'avez permis, Puls que dans noi amours la setme est nécessaire Pourrompre l' un d’ant avant avérai.
ORPHISE.	ORPHISE.
Allez:	Allez:
& que tantoſt dedans ce meſme lieu Je puiſſevous reuoir.	et que tantôt dedans ce même lieu Je puissevous revoir.
HBAGE.	HAGE.
Ie le veux bien, Adieu.	Je le veux bien, Adieu.
SCENE DEVXIESME LIGDAMIS.	SCÈNE DEUXIÈME LIGDAMIS.
LARAEINDE.	LARAEINDE.
LIGDAMIS.	LIGDAMIS.
Here ſœur que le ſang m’arenduë agreable, Mais que l’affection rend beaucoup plus aymable, J’eſtimerois mes maux mdignes de pitié, Et ie croirois faillir contre noſtre amitie;	Hère sœur que le sang m'arendue agréable, Mais que l'affection rend beaucoup plus aimable, J'estimerais mes maux médignes de pitié, Et sans croirais faillir contre notre amitié;
Si tandis que l’amour me tient à lã torture Ie ne te deſcouurois l’eſtat de ma bleſſure, Veu que i’attends ton ayde, & que ma gueriſon Depend de tabonté plus que de ma raiſon, De plus ie connoïs bien que ton cœur eſt auguſte, Et qu’il veut bien m’aider en vn deſſein ſi iuſte, Mais helas pour dompter l’ennemy que ie crains Ie ne decnnde par des courages hautains;	Si tandis que l'amour me tient à lu torture Je ne te découvrais l'état de ma blessure, Veu que j'attends ton aide, et que ma guérison Dépend de tabonté plus que de ma raison, De plus grands connais bien que ton cœur est auguste, Et qu'il veut bien m'aider en un dessein si juste, Mais hélas pour dompter l'ennemi que ie crains Je ne décnde par des courages hautains;
Pour vaincre ce cruel, mais aymable aduerſaire, S.	Pour vaincre ce cruel, mais aimable adversaire, S.
la force m’eſtoit vtile, ou neceſſaire, Tu ne me verrois pas implorer ton ſecours, Et mon bras ſeroit ſeul à qui i’aurois recours:	la force m'était utile, ou nécessaire, Tu ne me verrais pas implorer ton secours, Et mon bras serait seul à qui j'aurais recours:
Mais le n'aypas beſoing ny de force, ny d'armes:	Mais le n'aipas besoing Seigneur de force, ni d'armes:
24 2 I H ISE ZARALINDE.	24 2 I H IZE ZARALINDE.
Que deſires cons uonti:	Que désires cons ouvonti:
LIGDAMIS.	LIGDAMIS.
Des appas, & des charmes.	Des appas, et des charmes.
ZARALINDE.	ZARALINDE.
Ah!	Ah!
ce n’eſt pas en moy que la nature a mis Ccoiraits par quiv vn, peut-vainere oos ennemis, Et vous deüiez ailleurs chercher de l’aſſiſtance.	ce n'est pas en moi que la nature a mis Ccoiraits par quiv int, peut-vaine oos ennemis, Et vous deviez ailleurs chercher de l'assistance.
LIGDAMIS.	LIGDAMIS.
Mamesgnep’hamanl eumiaqe vompimlante Auecque tés attraits laiſſe agir ta douceur 4 Et ſans beaucoug d'effort iu me rẽdras vainquelir.	Mamesgnep'hamanl eumiaqe vompimlante Avec té attraits laisse agir ta douceur 4 Et sans beaucoug d'effort ju me rẽdras vainquelir.
EARRENDE.	EARRENDE.
*.	*.
Parlez doncq clairement, & me faites comprendre Le but de võs deſirs.	Parlez donc clairement, et me faites comprendre Le but de vus désirs.
42	42
L'IGDAMIS.	L'IGDAMIS.
Ie m’en vayté l’apprendre eſcoute:	Je m'en vayté l'apprendre écoute:
mais auant que te le declarer Souuien toy (chereſœur de ne point murmurer, Etd accüſerpide fospmon enſcours veffence Tacurioſité, que mon obe ïſſance.	mais avant que te le déclarer Souvien toi (cheresœur de ne point murmurer, Et accuserpide fospémon enscours veffense Tacuriosité, que mon obé issance.
2	2
ZARAIBNIDE.	ZARAIBNIDE.
i Ouy ie vous le promets, & ma diſcretion Se fera voir eſgalleà mon uffection.	y Oui je vous le promets, et ma discrétion Se fera voir esgalleà mon uffection.
23 *t2;	23 *t2;
*12 M 111	*12 M 111
Lar L LIG D'AMIS I'adore (Zaralinde) vne beauté ſirare	Lar L IG D'AMIS J'adore (Zaralinde) une beauté sirare
Que TRRG MM RRIE.	Que TRG MM RRIE.
Que les trits de ſes yeux tourheroiont vn barbare Et ie croirqis ma viɇ exemate du, lamrbe du Si cet objet m’eſtoit au ſſidaux, qu’il eſt beaut:	Que les trits de ses yeux tourheraient un barbare Et tu croirqis ma viɇ exemte du, lamrbe du Si cet objet m'était au ssidaux, qu'il est beaut:
Maic ie l’adore envain, mon amour l’importune, Elle fuit mon abord, elle hait ma fortune, onrompuu pojuoirce courage indompté Sans te ſacrifier à ſa rare beauté.	Maic ie l'adore envain, mon amour l'importune, Elle fuit mon abord, elle hait ma fortune, onrompu pojuoirce courage indompté Sans te sacrifier à sa rare beauté.
EARAEIAIVLe, He bien commandez, moy, que faut-il que ie faſſe,	EARAEIAIULe, He bien commandez, moi, que faut-il que pleins fasse,
LIGDAMIS.	LIGDAMIS.
da Juney O purtomtumnou funmma uigrulés a Ou du moins ſon flambęaum ouurira lechemin Parou ie pourray voirvn objet ſi diuin.	da Juney Ô purtomtumnou funma uigrulés a Ou du moins son flambaum ouvrira léchemin Parou Roi pourrai voir objet si divin.
Vous me dites que i’ayme!	Vous me dites que j'aime!
& qui?	et qui?
voſtre maiſtreſſe?	votre maîtresse?
LIGDAMTS.	LIGDAMTS.
Non:	Non:
mais vn Cheualier dont l’eſprit, & l'adreſſe Sçauent bleſſer les cœurs auecque tant d’attraits Que les plus rigoureux en redourent les traits.	mais un Chevalier dont l'esprit, et l'adresse Savent blesser les cœurs avec tant d'attraits Que les plus rigoureux en redourent les traits.
Il eſt vaillant, & bȩau, de plus iſſude princes, Dont la memoire eſt chere à toutes nos prouinces, Et ce digne heritier de ſes nobles uyeux Ne degenere point de leurs faits glorieux;	Il est vaillant, et bȩau, de plus issude princes, Dont la mémoire est chère à toutes nos provinces, Et ce digne héritier de ses nobles uyeux Ne dégénère point de leurs faits glorieux;
Ayme le doyeq maſœun, reçoydedans ton ame En faueurde mes feux, les ardęurs dè ſa flame, Et ſouffrẽ que ma bouohe en te donnemt ſa fo Faſſe auidurd'huy pourluy, ce qu’il a falt pour moy;	Aime le doieq mœux, reçoydedans ton âme En faveurde mes feux, les ardurs dè sa flamme, Et souffrent que ma bouhe en te donnemt sa fo Fasse auidurd'hui pourlui, ce qu'il a fallt pour moi;
De oous deux deſorm ais i'uttens ma deſtinée Ne ſois pas (Zaralinde )à me nuire obſtinée, Oblige mon amour, ou pluſtoſf ton Amant.	De oous deux désorm ais j'utents ma destinée Ne sois pas (Zaralinde ) me nuire obstinée, Oblige mon amour, ou plaîtosf ton Amant.
ZARALINDE.	ZARALINDE.
Ie le veux bien aymer, puis qu’il eſt ſi charmant, Et s’il obtient pour vous vnè heureuſe victoire, Ses vœux emporteront vne pareille gloire, Mais encor Ligdamis puis-ie ſçauoir ſon nom?	Je le veux bien aimer, puis qu'il est si charmant, Et s'il obtient pour vous vnè heureuse victoire, Ses vœux emporteront une pareille gloire, Mais encor Ligédamis puis-je avoir son nom?
LIGDA.	LIGDA.
MIS.	MIS.
Iu tetonnoio aſſeS paria uix aurenon Qui ne ſuffit qu'à peine à loüer ſon courage En vn mot chere ſœur c’eſt le braue Theage.	Ju tetonnais asseS paria uix aurenon Qui ne suffit qu'à peine à louer son courage En un mot chère sœur c'est le brave Théage.
ZARALINDE.	ZARALINDE.
Theage vaut beaucoup, mais ſacondit:	Thage vaut beaucoup, mais sacondit:
on Ne fuſt iamais eſgalle à ſonambition, Pour oſer eſperer vn party de ma ſorte;	on Ne fût jamais égale à sonambition, Pour oser espérer un parti de ma sorte;
Toutesfois ſur le mien voſtre intereſt l’emporte;	Toutefois sur le mien votre intérêt l'emporte;
Ouy mon frere, Theage aura place en moncœur, Puis que vous deſirez, qu’il en ſoit le vain queur, Et que par ſon moyen voſtre grandeur aſpire A la poſſeſſion d'vn plus celebre Empire:	Oui mon frère, Thage aura place en moncœur, Puis que vous désirez, qu'il en soit le vain queur, Et que par son moyen être grandeur aspire À la possession d'un plus célèbre Empire:
LLGDAMIS.	LLGDAMIS.
Aaralinde il eſt vrayque l’objet que ie ſers.	Aaralinde il est vraique l'objet que ici sers.
Me captiux ſi bienquepadore mes fers;	Me captiux si bienquepadore mes fers;
Et qu'on ne peut eſteindre vne ſibelle:	Et qu'on ne peut éteindre une sibelle:
flame	flamme
INAGASCOMEJIE.	INAGASCOMEIE.
Sans que l’on mne ſepare auſſi-toſt demon ams Encore que ſonrang ny ſon extraction (j N’ayent rien de comparable à macond tion, Ie ſçay bien que le Roy d’un ſentiment barbare Taſchera de m’oſter vne beauté ſi rare;	Sans que l'on mène sépare aussitôt amon amis Encore que sonrangi ny son extraction (j Ôaient rien de comparable à macond tion, Je sais bien que le Roi d'un sentiment barbare Tâchera de m'ôter une beauté si rare;
Mais il exercera vainement ſa rigueur, S’il croit me larauir ſans m'arracher le cœur Puis que ſans le bon-heur de poſſeder Orphiſe Le trône eſt deſormais vn bien que ie meſpriſe.	Mais il exercera vainement sa rigueur, S'il croit me laravir sans m'arracher le cœur Puis que sans le bonheur de posséder Orphise Le trône est désormais un bien que je méprise.
2 4 Ah!	2 4 Ah!
que le ſort eſt rude, & qu'aujourd’huy les Rois Soubmettent leurs enfans à de ſeueres loix!	que le sort est rude, et qu'aujourd'hui les Rois Soubmettent leurs enfants à de zé lois!
A peine ont-ils receu l’vſage de la vie Qu'on void indignement leur liberté rauie, Il faut viure en captifs, & c’eſt vn attentat Que de contreuenir aux maximes d’eſtat;	À peine ont-ils reçu l'usage de la vie Qu'on voit indignement leur liberté ravie, Il faut vivre en captifs, et c'est un attentat Que de contrevenir aux maximes d'état;
3 Aux prix de noſtre ſang on acqulert des couronnes On achepte la paix auecque nos perſonnés, Et comme à leur rigueur tout ſemble eſtre permis Souuent on nous àllie auec nos ennemis.	3 Aux prix de notre sang on acqulert des couronnes On achette la paix avec nos personnés, Et comme à leur rigueur tout semble avoir permis Souvent on nous àllie était nos ennemis.
Maischere Zaralinde vn Diou que ie reuere Nous diſpence aujourd’huy de (ette loy ſeuere, Et veut que deſormais nos inclinãtions Ayent droit de diſpoſer de nos affections:	Maischère Zaralinde un Diou que je révère Nous dispense aujourd'hui de (ette loi sévère, Et veut que désormais nos inclinãtions Aïent droit de disposer de nos affections:
Suiuons les volontezs de ce diuin gente, Exemptons nos deſtins de cette tyrannie Qu'exercent deſſus nous des peres rigoureux	Suivons les volontéss de ce divin gente, Exemptons nos destins de cette tyrannie Qu'exercent dessus nous des pères rigoureux
D'u	D'u
RPHTSE n Qui pour ioiure contens nous rendent mal-heureux, Amourne nous promet que des chaiſnes de roſes.	RPHTSE n Qui pour joivre contents nous rendent malheureux, Amourne nous promet que des chaînes de roses.
ZARALINDE.	ZARALINDE.
Ie ſuiuray Ligdamis ce que tu me propoſes;	Je suivrai Ligédamis ce que tu me proposes;
Mais ne ſçaura ys je point quelle eſt cette beauté Quiuent ſa puiſſamment ioneſpritarreſté:	Mais ne saura ys je point quelle est cette beauté Quivent sa puissamment ionespritarresté:
De cette confidente honnore ma franchiſe.	De cette confidente honore ma franchise.
LTGNAMIS.	LTGNAMIS.
Eſt-il beſoin encor de te nommer Orphiſe?	Est-il besoin encor de te nommer Orphise?
Orphiſe!	Orphise!
ZARALINDE.	ZARALINDE.
LIGDAMIS.	LIGDAMIS.
Ah chere ſœur ſi tu veux m’obliger Approuue ce deſſein quine peut plus changer:	Ah chère sœur si tu veux m'obliger Approuve ce dessein quine peut plus changer:
Amour nout a rendus d'vne eſgalle puiſſance, Et ſa rare vertu releue ſa naiſſanće, Mais i'apperçois Theage, allons le recęuoir.	Amour nout a rendus d'une égale puissance, Et sa rare vertu relève sa naissane, Mais j'apperçois Thage, allons le recuoir.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
LTGDAMIS.	LTGDAMIS.
ZARALINDE.	ZARALINDE.
THEAGE.	THÉGE.
LIGDAMIS.	LIGDAMIS.
Ebien cherconfident quel ſera mon eſpoir?	Ébien cherconfident quel sera mon espoir?
IDois-je attẽdre d’Orphiſe vne autre deſtinée,  me so Jesusnr 3 Ne me faits point languir deſcouure moy mon ſort Eſt-il triſte ou ioyeux?	JDais-je attendre d'Orphise une autre destinée, me sout Jésusnr 3 Ne me faits point languir découvre moi mon sort Est-il triste ou joyeux?
ſuis-je viuant, ou mort?	suis-je vivant, ou mort?
THEAIGE.	THÉAIGE.
Sacrifiez, grand prince aux autels de Cythere Orphiſe à relaſché de ſon humeur auſtere Et bien-toſt voſtre àbord à ſes yeux moins ſuſpect Fera naiſtre l’amour où logeoit le respect:	Sacrifiez, grand prince aux autels de Cythère Orphise à relâché de son humeur austère Et bientôt votre àbord à ses yeux moins suspect Fera naître l'amour où logeait le respect:
Deſia cette froideur qui ivous eſt ſi connuë:	Déjà cette froideur qui ivous est si connue:
Au recit de vos feux ſe paſſe & diminuë Et mes diſcours l’ont pù ſi dextrement toucher Qu'il n’eſt plus de glaçons en ce cœur de rocher.	Au récit de vos feux se passe et diminue Et mes discours l'ont pù si dextrement toucher Qu'il n'est plus de glaçons en ce cœur de rocher.
Quand i'ay parlé d’amour cette belle farouche M'areietté d’abord & m'a fermé la bouche, u Mais aprés ſon eſprit a malgré ſa raiſon Gouſté le doux appas de ceſubtil poiſon, ives Et montré que ſon ame en faiſant voſtre peine	Quand j'ai parlé d'amour cette belle farouche M'areietté d'abord et m'a fermé la bouche, u Mais après son esprit a malgré sa raison Goûté le doux appas de cesubtil poison, ives Et montré que son âme en faisant votre peine
D iij Eſtoit reſpectueuſe & non pas inhumaine Elle eſt pourtant d’humeur qu’il ne faut pas preſſer Amour eſt en poſture afinde lableſſer Laiſſez agir ſes traits auſſi bien que ma langue I'acheueray le coup pa¬ vne autre harangue Ei juiis von caporel s tenso de ja Pexueat Mon Princes ie ſçaurayvous en rendre vainqueur.	 Déjà Estait respectueuse et non pas inhumaine Elle est pourtant d'humeur qu'il ne faut pas presser Amour est en posture afinde lablesser Laissez agir ses traits aussi bien que ma langue J'achèverai le coup pay vne autre harangue Éi jui von caporel s' ô de ja Pexéat Mon Princes ie sçaurayvous en rendre vainqueur.
LIGDAMIS.	LIGDAMIS.
Glorieuſe eſperance!	Glorieuse espérance!
agreable nouuelle Mon cœur d’aiſe rauy volle vers cette belle, Et mon eſprit charmé de ſes perfections Suit pour les adorermes inclinations;	agréable nouvelle Mon cœur d'aise ravi volle vers cette belle, Et mon esprit charmé de ses perfections Suit pour les adorermes inclinations;
Mais mes yeux ne pouuans iouyr de cette gloire Sont ialoux des plaiſirs que gouſte ma memoirt Et veulent renoncer à laclarté dù iour 2 S’ils ne ſonteſclairez de cotaſtre d’amour.	Mais mes yeux ne pouvants jouir de cette gloire Sont jaloux des plaisirs que goûte ma mémoir Et veulent renoncer à laclarté dù jour 2 S'ils ne sontéclairez de cotâtre d'amour.
Procure monce bien àdorable Theage;	Procure monce bien àdorable Théage;
Fidele confident acheue tonouurage En faueur de l’eſpoir doni tu verras l'effet.	Fidèle confident achève tonouvrage En faveur de l'espoir doni tu verras l'effet.
Ne laiſſe au nomdes Dieux mon hon-heur imparfait, Que ma Reine au jourd’huy ſouffre que ie la voye Si tu veux que ie ſois au comble de ma ioye.	Ne laisse au nomdes Dieux mon hon-heur imparfait, Que ma Reine au jourd'hui souffre que oie la voie Si tu veux que sans sois au comble de ma joie.
ZARABIN.	ZARABIN.
DE.	DE.
Mon frere moderez ce deſir violent Voſtre fouplairamieux quandi ſeraplus lent,	Mon frère modérez ce désir violent Votre fouplairamieux quandi serapplus lent,
smk s Je leM.	smk s Je leM.
Cette bouïllante humeur aux Amans ſi commune Au lieu que la raiſon reglant leurs mouuemens Nous fait auoir poureux de meilleurs ſentimens.	Cette boullante humeur aux Amants si commune Au lieu que la raison réglant leurs mouvements Nous fait avoir poureux de meilleurs sentiments.
LIGDAMIS.	LIGDAMIS.
Ie ſuiuray chere ſœur cet aduis ſalutaire, Ie ſçauray tout enſemble & bruſler & me taire Mes feux ſeront diſcrets, & mon ſeul ſouue nir Aura droit deſormais de m’en entretenir, Iuſqu’à ce que mes Dieux touchez, de ma cõſtance Donnent à mes deſirs vne entiere licence.	Je suivrai chère sœur cet avis salutaire, Je saurai tout ensemble et brûler et me taire Mes feux seront discrets, et mon seul souve nir Aura droit désormais de m'en entretenir, Jusqu'à ce que mes Dieux touchés, de ma confstance Donnent à mes désirs une entière licence.
Cependant pour reſuer à cę charmant ſoucy Souffrez chers confidens que ie vous laiſſe icy.	Cependant pour rêver à cę charmant souci Souffrez chers confidents que ie vous laisse ici.
Ceſt le premier deuoir où mon amour m’ongage Adieu;	Cest le premier devoir où mon amour m'ongage Adieu;
ſouuenez vous du fidele Theage, Aymez en ma faueur ce braue Cheualier.	souvenez vous du fidèle Thage, Aymez en ma faveur ce brave Chevalier.
Parlant à zaral.	Parlant à zaral.
ZARALINDE.	ZARALINDE.
Son merite eſtde ceux qu’on ne peut oublier Et ſa vertu le rend aſſez, conſiderable.	Son mérite est ceux qu'on ne peut oublier Et sa vertu le rend assez, considérable.
Sans que voſtre faueur me lerende agreable.	Sans que votre faveur me lerende agréable.
M V T.	M V T.
ISE	IZE
SCENE QVATRIEME.	SCÈNE QUATRIÈME.
AARALINDE, IHEAGE.	ÀARALINDE, JHÉAGE.
THEAGE.	THÉGE.
ſſ Adame obligez moy d’eſpargner mes defXVT fauts Ie ne merite pas des eloges ſi hauts, Et cette belle bouche en loüanges feconde!	sens Adame obligez moi d'épargner mes défXVT sauts Je ne mérite pas des éloges si hauts, Et cette belle bouche en louanges féconde!
Aaccuſttontu urtcontes pima peuna jeux du monde Si l’on ne connoiſſoit que voſtre ſentiment Moins que la complaiſaucé a fait ce compliment.	Aaccusttontu urtcontes pima peuna jeux du monde Si l'on ne connaissait que votre sentiment Moins que la complaisaucé a fait ce compliment.
ZARALINDE.	ZARALINDE.
EnelJeamsaſsren fax Jaise, Mais ma bouche iamais ne trahit ma penſée, On ne peuttrop loüer vos rares qualitez Et ie vous donne moins que voüs ne meritez.	EnelJeamsassren fax Jaise, Mais ma bouche jamais ne trahit ma pensée, On ne peuttrop louer vos rares qualités Et personne vous donne moins que voüs ne méritez.
THEAGE.	THÉGE.
De ces rares treſors dont vous flatez ma vie, Ie manque des effets, ie n'en ay que l’enuie Mais ſi ie puis (Madame) vn iour les acquerir Je ne les veux auoir que pour vous les offrir.	De ces rares trésors dont vous flattez ma vie, Je manque des effets, Seigneur n'en ai que l'envie Mais si grande puis (Madame) un jour les acquérir Je ne les veux avoir que pour vous les offrir.
A part Que dis-je toutesfois?	À part Que dis-je toutefois?
quelle eſt mon entrepriſe?	quelle est mon entreprise?
Ne voyie pas helas que ie trahis Orphiſe?	Ne voyie pas hélas que ici trahis Orphise?
Ah Ah!	Ah Ah!
de crainte & d’amourimportuns mouuemens Paſe- voom de ſimrmavoit ou mes tonrmens	de crainte et d'amourimportuns mouvements Pase- voom de simravait ou mes tonrments
ZARALINDE.	ZARALINDE.
Theage quelque obiet dont voſtre ame eſt atteinte nutramiubovocours fait voin cepio contrainte.	Thage quelque objet dont votre âme est atteinte nutramivbovocours fait voin cepio contrainte.
Dites moy, d’ou vous vient cette alteration?	Dites -moi, d'ou vous vient cette altération?
THEAGE.	THÉGE.
De vos grandeurs (Madame) & de ma paſſion Ql malgré tous les ſoins que ie prens à vous plaire Peut-eſtre me rendront ingrat, ou temeraire.	De vos grandeurs (Madame) et de ma passion Ql malgré tous les soins que je prends à vous plaire Peut-être me rendront ingrat, ou téméraire.
ZARALINDE.	ZARALINDE.
Ce ſoucy ne doit pas troubler voſtre repos Theage esperez tout:	Ce souci ne doit pas troubler votre repos Thage espérez tout:
mais changeons de propos Comptez moy le progrez, des amours de mon frere D’où vient qu'a ſes deſirs Orphiſe eſt ſi ſeuere?	mais changeons de propos Comptez moi le progrès, des amours de mon frère D'où vient qu'a ses désirs Orphise est si sévère?
Et quel charme ſi grand'a telle dans ſes yeux Quelle captiue ainſi les hommes & les Dieux?	Et quel charme si grand'a telle dans ses yeux Quelle captive ainsi les hommes et les Dieux?
THEAGE.	THÉGE.
Ie vous obeirois adorable princeſſe Si pour vous contenteri auois aſſez d’adreſſe Mais pour bienexprimer leurs diuines amours Le ſilence en ce point vaut mieux que le diſcours, Employez donc vos yeux pluſtoſt que vos oreilles Vous pouuez, par Orphiſe apprendre ſes merueilles Et bien que ſa beauté ſoit ſon moindre ornement Elle vous tirera de voſtre eſtonnement.	Je vous obéirais adorable princesse Si pour vous contenteri avais assez d'adresse Mais pour bienexprimer leurs divines amours Le silence en ce point vaut mieux que le discours, Employez donc vos yeux plutôt que vos oreilles Vous pouvez, par Oréphise apprendre ses merveilles Et bien que a beauté soit son moindre ornement Elle vous tirera de votre étonnement.
E	E
ZARALINDE.	ZARALINDE.
E Doncques pour ſatis faire au deſir qui me preſſe Fayvenir au palais cette belle deeſſe.	E Donc pour satî faire au désir qui me presse Faivenir au palais cette belle déesse.
ACTE III.	ACTE III.
SCENEPREMIERE LIGDAMIS.	SCENEPREMIÈRE LIGDAMIS.
ZARALINDE.	ZARALINDE.
TANCLADE.	TANCLADE.
DORISTEL.	DORISTEL.
00 28 Heage dites vous ne m’a pas obey?	00 28 Héage dites -vous ne m'a pas obéi?
Apres tant de faueurs cet ingrat m'a trahy?	Après tant de faveurs cet ingrat m'a trahi?
Ah perfide auiourd’huy ie te feray connoiſtre Qu’il ne fait iamais bon ſe ioüer à ſon maiſtre Qu'en amour Ligdamis ne ſouffre point d’egaux Non pas meſme les Dieux s’ils eſtoient ſes riuaux, Et fuſſe tu plus grand que tu n'es temeraire Ie te rendray bien-toſt peu capable de plaire.	Ah perfide aujourd'hui venir te ferai connaître Qu'il ne fait jamais bon se bouer à son maître Qu'en amour Ligdamis ne souffre point d'égaux Non pas même les Dieux s'ils étaient ses rivaux, Et fusse tu plus grand que tu n'es téméraire Je te rendrai bientôt peu capable de plaire.
Mais encor chere ſœur quelles inuentions?	Mais encor chère sœur quelles inventions?
Tont decouuert le but de ſes intentions.	Tont découvert le but de ses intentions.
ZARALINDE.	ZARALINDE.
Lors que d’vn trait ſi beau nous nous ſentons atteindre Il eſt bien mal aisé de ſouffrir & de feindre, La langue quelques fois peut bien diſſimuler Mais quand elle ſe tait les yeux ſçauent parler Et le cœur trop preſſé des ardeurs de ſa flame Montre par ſes ſouſpirs les bleſſures de l’ame.	Lors que d'un trait si beau nous nous sentons atteindre Il est bien mal aisé de souffrir et de feindre, La langue quelques fois peut bien dissimuler Mais quand elle se taît les yeux savent parler Et le cœur trop pressé des ardeurs de sa flamme Montre par ses soupirs les blessures de l'âme.
Ce fut par ce moyen que Theage m’apprit Les diuers mouuemens qui geſnoient ſon eſprit Que ie ſçeus qu’il eſtoit d’vne autre intelligence, Que le traiſtre abuſoit de voſtre confidence Et que loing de porter Orphiſe à vous cherir Tout ſon deſſein n’eſtoit que de ſe l’acquerir;	Ce fut par ce moyen que Théage m'apprit Les divers mouvements qui gênaient son esprit Que te sçeus qu'il était d'une autre intelligence, Que le traître abusait de votre confidence Et que loin de porter Orhise à vous chérir Tout son dessein n'était que de se l'acquérir;
D'abord les complimens furent mis en vſagi Et la ciuilité paruten leur langage:	D'abord les compliments furent mis en usagi Et la civilité paruten leur langage:
Mais dés que i’eus parlé de voſtre affection, Ie les vis auſſi-toſt pleins de confuſion, Leurnumeurdeuint ſombre, & leurs ames bleßées Firent voir que ce trait les auoit offencées Et que pour diuiſer de ſi parfaits accords Voſtre grandeur faiſoit d’inutiles efforts.	Mais dès que j'eus parlé de votre affection, Je les vis aussitôt pleins de confusion, Leurnumeurdeuint sombre, et leurs âmes blessées Firent voir que ce trait les avait offensées Et que pour diviser de si parfaits accords Votre grandeur faisait d'inutiles efforts.
LIGDAMTS.	LIGDAMTS.
