L’IMPOSTEUR,	L'IMPOSTEUR,
OR.	OR.
ORGON.	ORGON.
C'eſt parler ſagement.	C'est parler sagement.
Dites-moy donc, ma Fille, Qu’en toute ſa Perſonne un haut mérite brille, Qu’il touche voſtre cœur, & qu’il vous ſeroit dous De le voir, par mon chois, devenir voſtre Epous.	Dites-moi donc, ma Fille, Qu'en toute sa Personne un haut mérite brille, Qu'il touche votre cœur, et qu'il vous serait dous De le voir, par mon chois, devenir votre Épous.
Eh?	Eh?
Mariane ſe recule avec ſurpriſe.	Mariane se recule avec surprise.
Eh?	Eh?
MARIANE.	MARIANE.
ORGON.	ORGON.
Qu'eſt-ce?	Qu'est-ce?
MARIANE.	MARIANE.
Tlalit-il.	Tlalit-il.
ORGON.	ORGON.
Quoy?	Quoi?
MARIANE.	MARIANE.
Me ſuis-je mépriſe?	Me suis-je méprise?
Comment?	Comment?
ORGON.	ORGON.
MARTANE.	MARTANE.
Qui voulez-vous, mon Pere, que je diſe, Qui me touche le cœur, & qu’il me ſeroit dous De voir, par voſtre chois, devenir mon Epous?	Qui voulez-vous, mon Père, que je dise, Qui me touche le cœur, et qu'il me serait dous De voir, par votre chois, devenir mon Épous?
Tartuffe.	Tartuffe.
ORGON.	ORGON.
MARIANE.	MARIANE.
Il n’en eſt rien, mon Pere, je vous jure:	Il n'en est rien, mon Père, je vous jure:
Pourquoy me faire dire une telle impoſture?	Pourquoi me faire dire une telle imposture?
ORGON.	ORGON.
Mais je veux que cela ſoit une verité;	Mais je veux que cela soit une vérité;
Et c’eſt aſſez pour vous, que je l’aye arreſté.	Et c'est assez pour vous, que je l'aie arrêté.
MARIANE.	MARIANE.
Quoy!	Quoi!
vous voulez, mon Pere.	vous voulez, mon Père.
ORGON.	ORGON.
Ouy, je prétens, ma Fille, Unir, par voſtre hymen, Tartuffe à má Famille.	Oui, je prétends, ma Fille, Unir, par votre hymen, Tartuffe à m Famille.
Il ſera voſtre Epous, j'ay réſolu cela;	Il sera votre Épous, j'ai résolu cela;
Et comme ſur vos vœux je.	Et comme sur vos vœux je.
SCENE II.	SCÈNE II.
DORINE, ORGON, MARIANE	DORINE, ORGON, MARIANE
ORGON.	ORGON.
QUe faites-vous la?	QUe faites-vous la?
La curioſité qui vous preſſe, eſt bien forte, Mamie, à nous venir écouter de la ſorte.	La curiosité qui vous presse, est bien forte, Mamie, à nous venir écouter de la sorte.
DORINE.	DORINE.
Vrayment, je ne ſçay pas ſi c’eſt un bruit qui part.	Vraiment, je ne sais pas si c'est un bruit qui part.
De quelque conjectule, où d’un coup de hazard;	De quelque conjectule, où d'un coup de hasard;
Mais de ce mariage on m’a dit la nouvelle, Et j’ay traitté cela de pure bagatelle.	Mais de ce mariage on m'a dit la nouvelle, Et j'ai traité cela de pure bagatelle.
ORGON.	ORGON.
Quoy donc, la choſe eſt-elle incroyable?	Quoi donc, la chose est-elle incroyable?
Sonrada ?	Sonrada ?
A tel poinct, Que vous-meime, Monneur, jene vous en croy point.	A tel point, Que vous-même, Monneur, jène vous en crois point.
ORGNN.	ORGNN.
y ſȩay bien le moyen de vous le faire croire.	y sais bien le moyen de vous le faire croire.
DORINE.	DORINE.
Ouy, otiy, vous flous conten uile plal ante Hiſtoire	Oui, oti, vous flous conten utile plal ante Histoire
ORGON.	ORGON.
je conte juſtement ce qu’on verra dans peu.	je conte justement ce qu'on verra dans peu.
Chlamlons.	Chlammons.
DORINE.	DORINE.
ORGON.	ORGON.
Ce que je dis, ma Fille, n’eſt point jeu.	Ce que je dis, ma Fille, n'est point jeu.
DORINE.	DORINE.
Allez, ne croyez point à Monſieur voſtre Pere, Il raille.	Allez, ne croyez point à Monsieur votre Père, Il raille.
ORGON.	ORGON.
Je vous dy.	Je vous dis.
ORGON.	ORGON.
A la fin, mon courrous.	À la fin, mon courrous.
DORINE.	DORINE.
Hé bien on vous croit donc, & c’eſt tant pie pour vous.	Hé bien on vous croit donc, et c'est tant pie pour vous.
Quoy!	Quoi!
ſe peut-il, Monſieur, qu’avec l’air d’Homme ſage, Et cette large barbe au milieu du viſage, Vous ſoyez aſſez fou pour vouloir.	se peut-il, Monsieur, qu'avec l'air d'Homme sage, Et cette large barbe au milieu du visage, Vous soyez assez fou pour vouloir.
ORGON.	ORGON.
neoutez.	neoutez.
Vous avez pris ceans certaines privautez Qui ne me plaiſent point;	Vous avez pris ce certaines privautés Qui ne me plaisent point;
je vous le dis, Mamie.	je vous le dis, Mamie.
DORINE.	DORINE.
Parlons ſans nous fâcher, Monſieur, je vous ſuplie Vous moquez-vous des Gens, d’avoir fait ce com plot?	Parlons sans nous fâcher, Monsieur, je vous suplie Vous moquez-vous des Gens, d'avoir fait ce com plot?
Voſtre Fille n’eſt point l’affaire d’un Bigot.	Votre Fille n'est point l'affaire d'un Bigot.
lla d’autles emplois auiquels hiaut qu’il penſe;	lla d'autles emplois auiquels haut qu'il pense;
Et puis, que vous apporte une telle alliance?	Et puis, que vous apporte une telle alliance?
A quel ſujet aller, avec tout voſtre bien, Choiſir un Gendre gueux.	À quel sujet aller, avec tout votre bien, Choisir un Gendre gueux.
ORGON.	ORGON.
Taiſez-vous.	Taisez-vous.
S’il n’a rien, Sçachez que c’eſt par là, qu’il faut qu’on le révere Sa miſere eſt ſans doute une honneſte miſere.	S'il n'a rien, Sachez que c'est par là, qu'il faut qu'on le révere Sa misère est sans doute une honnête misère.
Au deſſus des grandeurs elle doit l’élever, Puis qu’enfin de ſon bien il s’eſt laiſſé priver Par ſon trop peu de ſoin des choſes temporelles, Et ſa puiſſante attache aux choſes éternelles.	Au dessus des grandeurs elle doit l'élever, Puis qu'enfin de son bien il s'est laissé priver Par son trop peu de soin des choses temporelles, Et sa puissante attache aux choses éternelles.
Mais mon ſecours pourra luy donner les moyens De ſortir d’embarras, & rentrer dans ſes biens.	Mais mon secours pourra lui donner les moyens De sortir d'embarras, et rentrer dans ses biens.
Ce ſont Fiefs qu’à bon titre au Païs on renomme, Et tel que l’on le voit, il eſt bien Gentilhomme.	Ce sont Fiefs qu'à bon titre au Pays on renomme, Et tel que l'on le voit, il est bien Gentilhomme.
DORINE.	DORINE.
Ouy, c’eſt luy qui le dit;	Oui, c'est lui qui le dit;
& cette vanité, Monſieur, ne ſied pas bien avec la Pieté.	et cette vanité, Monsieur, ne sied pas bien avec la Piété.
Qui d’une ſainte vie embraſſe l’innocence, Ne doit point tant prôner ſon nom, & ſa naiſſance;	Qui d'une sainte vie embrasse l'innocence, Ne doit point tant prôner son nom, et sa naissance;
Et Et l’humble procedé de la Devotion, Souffre mal les éclats de cette ambition.	Et Et l'humble procédé de la Dévotion, Souffre mal les éclats de cette ambition.
A quoy bon cet orgueil.	À quoi bon cet orgueil.
Mais ce diſcours vous bleſſe, Parlons de ſa Perſonne, & laiſſons ſa Nobleſſe, Ferez-vous poſſeſſeur, ſans quelque peu d’ennuy, O’une Fille comme elle, un Homme comme luy?	Mais ce discours vous blesse, Parlons de sa Personne, et laissons sa Noblesse, Ferez-vous possesseur, sans quelque peu d'ennui, une Fille comme elle, un Homme comme lui?
Et ne devez-vous pas ſonger aux bienſeances, Et de cette union prévoir les conſequences?	Et ne devez-vous pas songer aux bienséances, Et de cette union prévoir les conséquences?
Sçachez que d’une Fille on riſque la vertu, Lors que dans ſon hymen ſon gouſt eſt combattu;	Sachez que d'une Fille on risque la vertu, Lors que dans son hymen son goût est combattu;
Que le deſſein d’y viure en honneſte Perſonne, Dépend des qualitez du Mary qu’on luy donne;	Que le dessein d'y vivre en honnête Personne, Dépend des qualités du Mari qu'on avait donne;
Et que ceux dont par tout on montre au doigt le front, Font leurs Femmes ſouvent, ce qu’on voit qu'elles ſont.	Et que ceux dont par tout on montre au doigt le front, Font leurs Femmes souvent, ce qu'on voit qu'elles sont.
Il eſt bien difficile enfin d’eſtre fidelle A de certains Maris faits d’un certain filodele;	Il est bien difficile enfin d'être fidèle A de certains Maris faits d'un certain filode;
Et qui donne à ſa Fille un Homme qu’elle hait, Eſt reſponſable au Ciel des fautes qu’elle fait.	Et qui donne à sa Fille un Homme qu'elle hait, Est responsable au Ciel des fautes qu'elle fait.
Songez à quels pé rils voſtre deſſein vous livre.	Songez à quels pé rils votre dessein vous livre.
ORGON.	ORGON.
Je vous dis qu’il me faut apprendre d'elle à virre	Je vous dis qu'il me faut apprendre d'elle à virre
DORINE.	DORINE.
Vous n’en feriez que mieux, de ſuivre mes leçons.	Vous n'en feriez que mieux, de suivre mes leçons.
ORGON.	ORGON.
Ne nous amuſons point.	Ne nous amusons point.
ma Fille, à ces chanſons;	ma Fille, à ces chansons;
Je ſçay ce qu’il vous faut, & je ſuis voſtre Pere.	Je sais ce qu'il vous faut, et je suis votre Père.
Javois donné pour vous ma parole à Valere;	Javais donné pour vous ma parole à Valère;
Maideuere qu'a jouer on uit qu'nont enclin, Je le ſoupçonne encor d’eſtre un peu libertin;	Maideuère qu'a jouer on uit qu'nont enclin, Je le soupçonne encor d'être un peu libertin;
Je ne remarque point qu’il hante les Egliſes.	Je ne remarque point qu'il hante les Églises.
DORINE.	DORINE.
Voulez-vous qu’il y coure à vos heures préciſes, Comme ceux qui n’y vont que pour eſtre aperçeus?	Voulez-vous qu'il y coure à vos heures précises, Comme ceux qui n'y vont que pour donner aperçus?
ORGON.	ORGON.
Ie ne demande pas voſtre avis là-deſſus.	Je ne demande pas votre avis là-dessus.
Enfin, avec le Ciel, l’autre eſt le mieuxdu mondé Et c’eſt une richeſſe a nulle autre ſeconde.	Enfin, avec le Ciel, l'autre est le mieuxdu mondé Et c'est une richesse a nulle autre seconde.
Cet hymen, de tous biens, comblera vos deſirs, Il ſera tout confit en douceurs, & plaiſirs.	Cet hymen, de tous biens, comblera vos désirs, Il sera tout confit en douceurs, et plaisirs.
Enſemble vous vivrez, dans vos ardeurs fidelles, Comme deux vrais Enfans, comme deux Tourterelles.	Ensemble vous vivrez, dans vos ardeurs fidèles, Comme deux vrais Enfants, comme deux Tourterelles.
A nul fâcheux debat jamais vous n’en viendrez, Et vous ferez de luy tout ce que vous voudrez.	À nul fâcheux débat jamais vous n'en viendrez, Et vous ferez de lui tout ce que vous voudrez.
DORINE.	DORINE.
nne!	nne!
Enenehrera quun Sot, je vous aſſure.	Enenehrera quun Sot, je vous assure.
ORGON.	ORGON.
Ouais, quels diſcours!	Ouais, quels discours!
DORINE.	DORINE.
Je dis qu’il en a l’encolûre.	Je dis qu'il en a l'encolûre.
Et que ſon aſcendant, Monſicur, l’emportera Sur toute la vertu que voſtre Fille aura.	Et que son ascendant, Monsicur, l'emportera Sur toute la vertu que votre Fille aura.
ORGON.	ORGON.
Ceſſez de m’interrompre, & ſongez à vous taire, Sans mettre voſtre nez où vous n’avez que faire.	Cessez de m'interrompre, et songez à vous taire, Sans mettre votre nez où vous n'avez que faire.
Danla ns Je n'en parle, Monſieur, que pour voſtre intereſt, Elle l’interromp toûjours au moment qu’il ſe retourne pour parler à ſa Fille.	Danla ns Je n'en parle, Monsieur, que pour votre intérêt, Elle l'interromp oujours au moment qu'il se retourne pour parler à sa Fille.
ORGON.	ORGON.
C’eſt prendre trop de ſoin;	C'est prendre trop de soin;
taiſez-vous, s’il vous plaiſt.	taisez-vous, s'il vous plaît.
DOORINE.	DORINE.
Si l’on ne vous aimoit.	Si l'on ne vous aimait.
ORGOR.	ORGOR.
Je ne veux pas qu’on m’aime.	Je ne veux pas qu'on m'aime.
DORINE.	DORINE.
meſme.	même.
Et je veux vous aimer, Monſieur, malgre veus	Et je veux vous aimer, Monsieur, malgré veux
Ah!	Ah!
ORGON.	ORGON.
DORINE.	DORINE.
Voſtre honneur m’eſt cher, & je ne puis ſouffrir Qu'aux brocards d’un chacun vous alliez vous offrir.	Votre honneur m'est cher, et je ne puis souffrir Qu'aux brocards d'un chacun vous alliez vous offrir.
ORGON.	ORGON.
Vous ne vous tairez point?	Vous ne vous tairez point?
DORINE.	DORINE.
C’ſt une conſcience.	C'st une conscience.
Que de vous laiſſer faire une telle alliance.	Que de vous laisser faire une telle alliance.
ORGON.	ORGON.
Te tairas-tu, Serpent, dont les traits effrontez.	Te tairas-tu, Serpent, dont les traits effrontés.
DORINE.	DORINE.
Ah!	Ah!
vous eſtes Devot, & vous vous emportez?	vous êtes Dévot, et vous vous emportez?
ORGGN.	ORGN.
Oüy, ma bile s’échaufe à toutes ces fadaiſes, Et, tout reloiumient, je veux que iu te taiſes.	Oui, ma bile s'échauffe à toutes ces fadaises, Et, tout reloiumient, je veux que ju te taises.
DORINE.	DORINE.
Soit.	Soit.
Mais ne diſant mot, je n’en penſe pas moins.	Mais ne disant mot, je n'en pense pas moins.
ORGON.	ORGON.
Penſe, ſi tu le veux;	Pense, si tu le veux;
mais applique tes ſoins A ne m’en point parler, ou.	mais applique tes soins À ne m'en point parler, ou.
Suffit.	Suffit.
* Comme ſage J’ay peſé muûrement toutes choſes.	* Comme sage J'ai pesé mûrement toutes choses.
* Se retournant vers sa Fille.	* Se retournant vers sa Fille.
DORINE.	DORINE.
J'enrage, De ne pouvoir parler.	J'enrage, De ne pouvoir parler.
Elle se taist lors quil ORGON.	Elle se taît lorsqu' il ORGON.
tourne la teste.	tourne la tête.
Sans eitre Damoneau,	Sans eitre Damoneau,
Tartuffe eſt fait deſorte.	Tartuffe est fait désorte.
DORINE.	DORINE.
Ouy, c’eſt un beau muſeau.	Oui, c'est un beau museau.
ORGON.	ORGON.
Que quand tu n’aurois meſme aucune ſimpathie Pour tous les autres dons.	Que quand tu n'aurais même aucune sympathie Pour tous les autres dons.
Il se retourne devant elle, & la regarde les bras croises	Il se retourne devant elle, et la regarde les bras croises
DORINE.	DORINE.
La voila bien lotie.	La voilà bien lotie.
Si j’eſtois en ſa place, un Homme aſſurément Ne m’épouſeroit pas de force, impuné ment;	Si j'étais en sa place, un Homme assurément Ne m'épouserait pas de force, impuné ment;
Et je luy ferois voir bientoſt, apres la feſte, Qu'une Femme a toûjours une vangeance preſte.	Et je lui ferais voir bientôt, après la fête, Qu'une Femme a toujours une vengeance prête.
ORGON.	ORGON.
Donc, de ce que je dis, on ne fera nul cas?	Donc, de ce que je dis, on ne fera nul cas?
DORINE.	DORINE.
Dequoy vous plaignez vous?	Dequoy vous plaignez -vous?
je ne vous parle pas.	je ne vous parle pas.
ONGUR.	ONGUR.
Qu'eſt-ce que tu fais donc?	Qu'est-ce que tu fais donc?
DORINE.	DORINE.
Je me parle à moy-meſme.	Je me parle à moi-même.
ORGON.	ORGON.
Fortbien.	Fortbien.
Pour chaſtier ſon inſolence extréme, Il faut que je luy donne un revers de ma main.	Pour châtier son insolence extrême, Il faut que je lui donne un revers de ma main.
Il ſe met en poſture de luy donner un ſoufflet;	Il se met en posture de mains donner un soufflet;
& Dorine à chaque coup d’œil qu’il jette, ſe tient droite ſans parler.	et Dorine à chaque coup d'œil qu'il jette, se tient droite sans parler.
dimh V Ma Fille, vous devez approuver mon deſſein.	dimh V Ma Fille, vous devez approuver mon dessein.
Croire que le Mary.	Croire que le Mari.
que j’ay ſçeu vous élire.	que j'ai su vous élire.
Que ne te parles-tu?	Que ne te parles-tu?
LOMRE.	LOMRE.
Je n’ay rien à me dire.	Je n'ai rien à me dire.
ORGON.	ORGON.
Encor un petit mot.	Encor un petit mot.
DORINE.	DORINE.
Hne me plaiſt pas, moy.	Hne me plaît pas, moi.
ORGON.	ORGON.
Certes, je l'y guettois.	Certes, je l'y guettais.
DORINE.	DORINE.
Quelque ſotte, ma foy.	Quelque sotte, ma foi.
ORGON Enſin, ma Fille, il faut payer d’obeïſſance, Et montrer, pour mon chois, entiere dé ference,	ORGON Ensin, ma Fille, il faut payer d'obéissance, Et montrer, pour mon chois, entière de ference,
DORINE ens'e fuyant.	DORINE ens'e fuyant.
Jé me mocquerois fort, de prendre un tel Epous.	Jé me moquerais fort, de prendre un tel Épous.
Il luy veut donner un ſoufflet, & la manque.	Il te veut donner un soufflet, et la manque.
Vous avez-là, ma Fille, une peſte avec vous, Avee qui, ſans peché, je ne ſçaurois plus vivre.	Vous avez-là, ma Fille, une peste avec vous, Avée qui, sans péché, je ne saurais plus vivre.
Je me ſens hors d’eſtat maintenant de pourſuivre, Ses diſcours inſolens m’ont mis l’eſprit en feu, Et je vais prendre l’air, pour me raſſoir un peu.	Je me sens hors d'état maintenant de poursuivre, Ses discours insolents m'ont mis l'esprit en feu, Et je vais prendre l'air, pour me rassoir un peu.
SCENE III.	SCÈNE III.
DORINE, MARIANE.	DORINE, MARIANE.
DORINE.	DORINE.
Vez-vous donc perdu, dites-moy, la parole?	Vez-vous donc perdu, dites-moi, la parole?
A Et faut-il qu’en cecy je faſſe voſtre rôſe?	A À faut-il qu'en ceci je fasse votre rôse?
Souffrir qu’ou vous propoſe un projet inſenſé, cunis que du momdre mot vouo lajez repouſſé!	Souffrir qu'ou vous propose un projet insensé, cunis que du momdre mot vouo lajez repoussé!
MARIANE.	MARIANE.
Contre un Pere ablolu, que veux-tu que je faſſe?	Contre un Père ablolu, que veux-tu que je fasse?
DORINE.	DORINE.
Ce qu’il faut pour parer une telſe menace.	Ce qu'il faut pour parer une telse menace.
Quoy?	Quoi?
MARIANE.	MARIANE.
DORINE.	DORINE.
Luy dire qu’un cœur n’aime point par autruy;	Lui dire qu'un cœur n'aime point par autrui;
Que vous vous mariez pour vous, non pas pour luy:	Que vous vous mariez pour vous, non pas pour venir:
Qu’eſtant celle pour qui le fait toute l’affaire, C’eſt à vous, non à luy, que le Mary doit plaire;	Qu'étant celle pour qui le fait toute l'affaire, C'est à vous, non ào luy, que le Mari doit plaire;
Et que ſi ſon Tartuffe eſt pour luy ſi charmant, Il le peut épouſer, ſans nul empeſchement.	Et que si son Tartuffe est pour venir si charmant, Il le peut épouser, sans nul empêchement.
MARIANE.	MARIANE.
onreie, je Tavoue, a rui nous tant dempire, Que je n’ay jamais eu la force de rien dire.	onreie, je Tavoue, a rui nous tant dempire, Que je n'ai jamais eu la force de rien dire.
DORINE.	DORINE.
Mais raiſonnons.	Mais raisonnons.
Valere a fait pour vous des pas;	Valère a fait pour vous des pas;
L’aimez-vous, je vous prie, ou ne l’aimez-vous pas?	L'aimez-vous, je vous prie, ou ne l'aimez-vous pas?
MARIANE.	MARIANE.
Ah!	Ah!
qu’envers mon amour, ton injuſtice eſt grande, Doiine.	qu'envers mon amour, ton injustice est grande, Doiine.
Me do s tu ranle certe dentaide?	Me do s tu ranle certe dentaide?
T’ay-je pas là-deſſus ouvert cent fois mon cœur?	T'ai-je pas là-dessus ouvert cent fois mon cœur?
Et ſçais-tu pas, pour luy, juſqu’où va mon ardeur?	Et sçais-tu pas, pour lui, jusqu'où va mon ardeur?
DORINE.	DORINE.
Que ſçay-je ſi le cœur a parlé par la bouche, Et ſi c’eſt tout de bon que cet Amant vous touche!	Que sais-je si le cœur a parlé par la bouche, Et si c'est tout de bon que cet Amant vous touche!
MARIANE.	MARIANE.
Tu me fais un grand tort, Dorine, d’en douter, Et mes vrais ſentimens ont ſçeu trop éclater.	Tu me fais un grand tort, Dorine, d'en douter, Et mes vrais sentiments ont su trop éclater.
DORINE.	DORINE.
Enfin vous l’aimez donc?	Enfin vous l'aimez donc?
MlARIANE.	MlARIANE.
Ouy, dune ardeur extréme.	Oui, dune ardeur extrême.
DORINE.	DORINE.
E.	E.
ſelon l’apparence, il vons aime de meſme?	selon l'apparence, il vons aime de même?
Je le croy.	Je le crois.
MARIANE.	MARIANE.
DORINE.	DORINE.
Et tous deux brûlez également Devous von manlez emchore.	Et tous deux brûlés également Devous von manlez emchore.
MARIANE.	MARIANE.
Aſſurément.	Assurément.
DORINE.	DORINE.
Sur cette autre union, qu’elle eſt donc voſtre atMARIANE.	Sur cette autre union, qu'elle est donc votre atMARIANE.
tente?	tente?
DORINE.	DORINE.
Fort bien.	Fort bien.
C’eſt un recours ou je ne ſongeois pas;	C'est un recours ou je ne songeais pas;
Vous n’avez qu’à mourir, pour ſortir d'embarras, Le remede ſans doute eſt merueilleux.	Vous n'avez qu'à mourir, pour sortir d'embarras, Le remède sans doute est merveilleux.
J’enrage, Lors que j’entens tenir ces ſortes de langage.	J'enrage, Lors que j'entends tenir ces sortes de langage.
MARIANE.	MARIANE.
mon Dieu, de quenle numeur, Dorine, tu te rens Tu ne compatis point aux déplaiſirs des Gens.	mon Dieu, de quenle numeur, Dorine, tu te rends Tu ne compatis point aux déplaisirs des Gens.
DORINE.	DORINE.
Je ne compatis point à qui dit des ſornettes, Et dans l’occaſion mollit comme vous faites.	Je ne compatis point à qui dit des sornettes, Et dans l'occasion mollit comme vous faites.
MARIANE.	MARIANE.
ſan duavenastu, ij ay de Rumdites	san duavenastu, ij ai de Rumdites
DORINE.	DORINE.
Mais l’amour dans un cœur veut de la fermeté.	Mais l'amour dans un cœur veut de la fermeté.
MARIANE.	MARIANE.
Mais n’en garde-je pas pour les feux de Valere?	Mais n'en garde-je pas pour les feux de Valère?
Et n’eſt-ce pes à luy de m’obtenir d’un Pere?	Et n'est-ce pes à venir de m'obtenir d'un Père?
DORINE.	DORINE.
Mais quoy!	Mais quoi!
ſi voſtre Pere eſt un Bourru fieffé, Qui s’eſt de ſon Tartuffe entierement coiffé, Et manque à l'union qu’il avoit arreſtée, La faute à voſtre Amant doit-elle eſtre imputée?	si votre Père est un Bourru fieffé, Qui s'est de son Tartuffe entièrement coiffé, Et manque à l'union qu'il avait arrêtée, La faute à votre Amant doit-elle avoir imputée?
MARIANE.	MARIANE.
Mais par un haut refus, & d’éclatans mépris, Feray-je, dans mon chois, voir un cœur trop épris?	Mais par un haut refus, et d'éclatants mépris, Ferai-je, dans mon chois, voir un cœur trop épris?
Sortiray-je pour luy, quelque éclat dont il brille, De la pudeur du Sexe, & du devoir de Fille?	Sortirai-je pour lui, quelque éclat dont il brille, De la pudeur du Sexe, et du devoir de Fille?
Et veux-tu que mes feux par le monde étaléz.	Et veux-tu que mes feux par le monde étalés.
DORINE.	DORINE.
Non, non, je ne veux rien.	Non, non, je ne veux rien.
Ie vois que vous voulez Eſtre à Monfieur Tartuffe;	Je vois que vous voulez Être à Monfieur Tartuffe;
& j’aurois, quand j’y penſe, I Tort de vous détourner d’une telle alliance.	et j'aurais, quand j'y pense, I Jort de vous détourner d'une telle alliance.
Quelle raiſon aurois-je à combatre vos vœux?	Quelle raison aurais-je à combattre vos vœux?
Le Party, de ſoy-me me, eſt fort avantageux.	Le Parti, de soi-même me, est fort avantageux.
Monſieur Tartuffe!	Monsieur Tartuffe!
Oh, oh, n’eſt-ce rien qu’on propoſe?	Oh, oh, n'est-ce rien qu'on propose?
Certes, Monſieur Tartuffe, à bien prendre la choſe, N’eſt pas un Homme, non, qui ſe mouche dupié, Et cé n’eſt pas peu d’heur, que d’eſtre ſa Moitié.	Certes, Monsieur Tartuffe, à bien prendre la chose, N'est pas un Homme, non, qui se mouche dupié, Et cé n'est pas peu d'heur, que d'être sa Moitié.
Tout le monde déja de gloire le couronne, Il eſt Noble chez luy, bien fait de ſa Perſonne, Il a l’oreille rouge, & le teint bien fleury;	Tout le monde déjà de gloire le couronne, Il est Noble chez luy, bien fait de sa Personne, Il a l'oreille rouge, et le teint bien fleuri;
Vous vivrez trop contente avec un tel Mary.	Vous vivrez trop contente avec un tel Mari.
MARIANE.	MARIANE.
Mon Dleu.	Mon Dleu.
DORINE.	DORINE.
Quelle allegreſſe aurez-vous dans voſtre ame, Quand d’un Epous ſi beau vous vous verrez la Femme !	Quelle allégresse aurez-vous dans votre âme, Quand d'un Épous si beau vous vous errez la Femme !
MARIANE.	MARIANE.
Ha, ceſſe, je te prie, un ſemblable diſcours, Et contre cet hymen ouvre-moy du ſecours.	Ha, cesse, je te prie, un semblable discours, Et contre cet hymen ouvre-moi du secours.
C’en eſt fait, je me rens, & ſuis preſte à tout faire.	C'en est fait, je me rends, et suis prête à tout faire.
DORINE.	DORINE.
Non, il ſaut qu’une Fille obeïſſe à ſon Pere, Voulut-il luy donner un Singe pour Epous.	Non, il saut qu'une Fille obéisse à son Père, Voulut-il lui donner un Singe pour Épous.
Voſtre fort eſt fort beau, dequoy vous plaignezvount Vous Vous irez par le Coche en ſa petite ville, Qu'en Oncles, & Couſins, vous trouverez fertile;	Votre fort est fort beau, dequoy vous plaignezvount Vous Vous irez par le Coche en sa petite ville, Qu'en Oncles, et Cousins, vous trouverez fertile;
Et vous vous plairez fort à les entretenir!	Et vous vous plairez fort à les entretenir!
D’abord chez le beau Monde on vous ſera venir, Vous irez viſiter, pour voſtre bien venuë, Madame la Baillive, & Madame l’Eleuë, Qui d’un Siege-pliant vous feront honorer.	D'abord chez le beau Monde on vous sera venir, Vous irez visiter, pour votre bien venue, Madame la Baillive, et Madame l'Elever, Qui d'un Siège-pliant vous feront honorer.
Là, dans le Carnaval, vous pourrez eſperer Le Bal, & la Grand’Bande, à ſçavoir, deux MuIettes, Et, par-fois, Fagotin, & les Marionettes.	Là, dans le Carnaval, vous pourrez espérer Le Bal, et la Grand'Bande, à savoir, deux MuItes, Et, par-fois, Fagotin, et les Marionettes.
Si pourtant voſtre Epous.	Si pourtant votre Épous.
MARTANE.	MARTANE.
Ah!	Ah!
tu me fais mourir.	tu me fais mourir.
De tes conſeils, plûtoſt, ſonge à me ſecourir.	De tes conseils, plutôt, songe à me secourir.
DORINE.	DORINE.
Ie ſuis voſtre Servante.	Je suis votre Servante.
MARTANE.	MARTANE.
Eh, Dorine, de grace.	Eh, Dorine, de grâce.
DORINE.	DORINE.
Il faut, pour vous punir, que cette affaire paſſe.	Il faut, pour vous punir, que cette affaire passe.
MARIANE.	MARIANE.
na faavlermer,	na faavlermer,
DORINE.	DORINE.
Non.	Non.
AARIANE.	ÀARIANE.
Si mes vœux declarez.	Si mes vœux déclarez.
DORINE.	DORINE.
Point, Tartuffe eſt voſtre Homme, & vous en tâteleE.	Point, Tartuffe est votre Homme, et vous en tâteleE.
MARIANE.	MARIANE.
Tuſçais qu’à toy toûjours je me ſuis confiée.	Tusais qu'à toi toûjours je me suis confiée.
Fay-moy.	Fais-moi.
DORINE.	DORINE.
Non;	Non;
vous ſerez, ma foy, Tartuffiée.	vous serez, ma foi, Tartuffiée.
MARIANE.	MARIANE.
Hé bien, puis que mon ſort ne ſçauroit t'émouvoir, Laiſſe-moy deſormais toute à mon deſeſpoir.	Hé bien, puis que mon sort ne saurait t'émouvoir, Laisse-moi désormais toute à mon désespoir.
C’eſt de luy que mon cœur empruntera de l’aide, Et je ſçais, de mes maux, l’iufaillible remede.	C'est de Seigneur que mon cœur empruntera de l'aide, Et je sais, de mes maux, l'iuffaillible remède.
Elte	Élte
DORINE.	DORINE.
veut s’en aller ple laj la, reuenen;	veut s'en aller ple laj la, reuenen;
je quitte mon courrous.	Je quitte mon courrous.
Il faut, nonobſtant tout, auoir pitié de vous.	Il faut, nonobstant tout, avoir pitié de vous.
MARIANE.	MARIANE.
Vois-tu, fi l’on m’expoſe à ce cruel martyre, Ie te le dis, Dorine, il faudra que j’expire.	Vois-tu, fi l'on m'expose à ce cruel martyre, Je te le dis, Dorine, il faudra que j'expire.
DORINE.	DORINE.
Ne vous tourmentez point, on peut adroitement Empeſcher.	Ne vous tourmentez point, on peut adroitement Empêcher.
mais voicy Valere voſtre Amant.	mais voici Valère votre Amant.
SCENE IV.	SCÈNE IV.
VALERE, MARIANE, DORINE.	VALÈRE, MARIANE, DORINE.
VALERE N vient de debiter, Madame, une nouuelle, Que je ne ſçauois pas, & qui ſans doute eſt belle.	VALÈRE N vient de biter, Madame, une nouvelle, Que je ne savais pas, et qui sans doute est belle.
Quoy?	Quoi?
MARIANE.	MARIANE.
VALERE Que vous épouſez Tartuffe.	VALÈRE Que vous épousez Tartuffe.
MARIANE.	MARIANE.
