Auec vne farce plaiſante & recreatifus, tiree d'un des plus gentils eſprits de te temps.	Avec une farce plaisante et recréatifus, tirée d'un des plus gentils esprits de te temps.
Pareil au Roy ie marche, & la viue lumiere De ma gloire s’eſtend depuis l’Aube premiere, Iuſques dans l’Ocean, le Gange m’obeiſt, Le Tage craint mes loix, le Pactole au ſeul bruit, De ma ſuperbe voix branſlant la teſte blonde, Se renfonce à ’inſtant deſſous l’onde profonde, Les peuples d’Orient, les Mores, les Gregeois, Les Pe ſes ſont contraints d’obeyr à ma voix:	Pareil au Roy Roi marche, et la vive lumière De ma gloire s'étend depuis l'Aube première, Jusque dans l'Océan, le Gange m'obéît, Le Tage craint mes lois, le Pactole au seul bruit, De ma superbe voix branslant Se re blonde, Se renfonce à 'instant dessous l'onde profonde, Les peuples d'Orient, les Mores, les Grègeois, Les Pe ses sont contraints d'obéir à ma voix:
Ie ſuis grand Capitaine au milien des armee, On n’entend que mon nom & que ma renommee, Les Princes, les Seigneurs & les grands de la Cour Me plient le genoux chacun ſelon ſon tour.	Je suis grand Capitaine au milien des armée, On n'entend que mon nom et que ma renommée, Les Princes, les Seigneurs et les grands de la Cour Me plient le genoux chacun selon son tour.
C’eſt moy qui ſuis mignon de ce grand Aſſuere, Chacun craint ma parole & chacun me reuere Mon nom s’eſtend par tout chacun chante mon los, Et toute:	C'est moi qui suis mignon de ce grand Assère, Chacun craint ma parole et chacun me révère Mon nom s'étend par tout chacun chante mon los, Et toute:
ois encor' n’ay-ie pas de repos:	ois encor n'ai-je pas de repos:
Vn certain Mardochee, entre tous me courrouce, Qui ſe moque de moy & bien loin me repouſſe Comme homme de neant, ie luy feray ſentit En dedans peu de iours vn triſte repentir, Le gibet eſt tout preſt, il faut qu’il y demeure, Et qu’il y ſoit pendu deuant qu’il ſoit vne heure:	Un certain Mardoche, entre tous me courrouce, Qui se moque de moi et bien loin me repousse Comme homme de néant, ie luy ferai sentit En dedans peu de jours un triste repentir, Le gibet est tout prêt, il faut qu'il y demeure, Et qu'il y soit pendu devant qu'il soit une heure:
Ce grand Roy Aſſuer' commande expreſſement Qu’on m’adore en ſon lieu:	Ce grand Roi Assuer commande expressément Qu'on m'adore en son lieu:
Ceſtuy-cy ſeulement Se mocque de ſes loix, il eſt temps de reprendre Be crime de ce luif ie le vay falre pendre, Ha, te voicy coquin, qui te fait ſi hardy D’entrer en ceſte place?	Cestuy-cy seulement Se moque de ses lois, il est temps de reprendre Be crime de ce luifâme le vais falère pendre, Ha, te voici coquin, qui te fait si hardi D'entrer en cette place?
es-tu pas eſtourdy?	es-tu pas étourdi?
Llabrecslass, Que veut dire auiour d’huy cet hõme eſpouuẽtable Qui croit m’eſpouuenter de ſa voix effroyable:	Llabrecslass, Que veut dire aujour d'hui cet homme espouuẽtable Qui croit m'espouuenter de sa voix effroyable:
As-tu trop beu d’vn coup tu es bien furieux, Nul homme n’oſe-il ſe monſtrer à tes yeux?	As-tu trop bu d'œux coup tu es bien furieux, Nul homme n'ose-il se montrer à tes yeux?
Aman.	Aman.
Ouy:	Oui:
mais ne ſçais-tu pas ce que le Roy commande, Que le peuple m’adore autrement qu’on le pende?	mais ne sais-tu pas ce que le Roi commande, Que le peuple m'adore autrement qu'on le pende?
Et encor oſe tu te monſtrer deuant moy.	Et encor ose tu te montrer devant moi.
Ie t’aprendray tantoſt à meſpriſer le Roy:	Je t'apprendrai tantôt à mépriser le Roi:
Mardochee.	Mardochée.
OR grand perſonnage adorer vn tel homme:	OR grand personnage adorer un tel homme:
I’adorerois pluſtoſt la queuë d’vne pomme, Et n’y tait-il pas beau qu’vn petit raboteur, Qu'vn nomame rotuner recolue vn ter nonneur?	J'adorerais plutôt la queue d'une pomme, Et n'y taît-il pas beau qu'un petit raboteur, Qu'un nomme rotuner recolue un ter nonneur?
Tu te deurois cacher.	Tu te devrais cacher.
Aman.	Aman.
Ie te iure Aſſuere, z au lesras eleil sels elle gauelra sedela Ie m’en vois de ce pas ton gibet eſt tout preſt, Il faut que i’accompliſſe auiourd’huy mon ſouhait.	Je te jure Assuère, z au lesras éleil sels elle gaura sédela Je m'en vois de ce pas ton gibet est tout prêt, Il faut que j'accomplisse aujourd'hui mon souhait.
Mardochee.	Mardochée.
Garde toy auiour d’huy toy qui as fait l’eſchelle Que toy-meſme n’y ſois eſtranglé ſur icelle:	Garde toi aujour d'hui toi qui as fait l'échelle Que toi-même n'y sois étranglé sur icelle:
C’eſt vn eſtrange cas qu’vn petit fourmillon Se façonne auiourd’huy vn Royal pauillon, Vn petit ſeruiteur fait auiourd’huy le maiſtre, Et entre les Seigneurs ſe veut faire paroiſtre, Il ſe fait honorer, il s’appelle Empereur, On diroit à le voir vn ſuffiſant Seigneur, Encores’il eſtoit gentil homme de race:	C'est un étrange cas qu'un petit fourmillon Se façonne aujourd'hui un Royal pavillon, Un petit serviteur fait aujourd'hui le maître, Et entre les Seigneurs se veut faire paraître, Il se fait honorer, il s'appelle Empereur, On dirait à le voir un suffisant Seigneur, Encores’il estoit gentil homme de race:
Ie dirois qu’à bon droit il eſt enflé d’audace:	Je dirais qu'à bon droit il est enflé d'audace:
Mais ce n’eſt qu’vn coquin, ce n’eſt qu’vn roturier, Son pere eſtoit-il pas vn pauure couſturier?	Mais ce n'est qu'un coquin, ce n'est qu'un roturier, Son père était-il pas un pauvre couturier?
Il dit qu’il a fait faire vn gibet pour me pendre, Ie ne crains pas beaucoup il ne peut me ſurprendre, La Reine eſt ma couſine elle peut d’eſtourner Cet encombre & ſur luy le faire retourner, Alons donc hardiment ſi le Roy me fait prendre La Reine m’aidera de ſa priere tendre.	Il dit qu'il a fait faire un gibet pour me pendre, Je ne crains pas beaucoup il ne peut me surprendre, La Reine est ma cousine elle peut d'étourner Cet encombre et sur le faire le retourner, Alons donc hardiment si le Roi me fait prendre La Reine m'aidera de sa prière tendre.
ENTRACTE, HAPPE SOVPPE, GVINGNOTROV.	ENTRACTE, HAPPE SOUPPE, GUINGNOTROU.
Happe ſeuppe.	Happe seupe.
H, voicy bien mon cas, voicy dequoy diſner, IA N’ẽ dites rẽ Meſſieurs:	H, voici bien mon cas, voici dequoy dîner, IA N'en dites rendre Messieurs:
car c’eſt pour deſieuner.	car c'est pour désieuner.
Il le faut bien ſerrer ſi quelqu’vn d’auenture Le trouuoit, il faudroit chercher autre paſture.	Il le faut bien serrer si quelqu'un d'aventure Le trouvait, il faudrait chercher autre pâture.
Guingnotrou.	Guingnotrou.
Happe-ſouppe, vien ça, ou as tu mis le plat Que t’auois en tes mains le Roy te rega daſt Ne penſe pas mentir, s’il eſt en la deſpenſe Crois qu’il verra bien toſt quelque magnificence, Ie ſçay bien de tout temps que tu es bon fripon, Ie te vis l’autre iour ſerter vn gros chappon Au milieu du banquet.	Happe-souppe, viens ça, ou as tu mis le plat Que t'avais en tes mains le Roi te réga dât Ne pense pas mentir, s'il est en la dépense Crois qu'il verra bien tôt quelque magnificence, Je sais bien de tout temps que tu es bon fripon, Je te vis l'autre jour serer un gros chapon Au milieu du banquet.
Happe-ſouppe.	Happe-soupe.
Ie te lure fhdene Que ie n’ay point de plat que pluſtoſt la cauerne De Pluton m’engloutiſle, & que mon pauure corps Demeure deſormais au Royaume des morts.	Je te lure fhdène Que ie n'ai point de plutôt que plutôt la caverne Dé Pluton m'engloutisle, et que mon pauvre corps Demeure désormais au Royaume des morts.
Guingnotrou.	Guingnotrou.
Bien:	Bien:
mais ce n’eſt pas tout, as-tu fait ton potage, Encur raue irunueruutremene le couiage Nous faudroit en chemin.	mais ce n'est pas tout, as-tu fait ton potage, Encur rave irunuerutremène le couiage Nous faudrait en chemin.
Happe ſouppe.	Happe souppe.
Tout eſt bien preparé:	Tout est bien préparé:
Mais dy-moy ie te prie n’as tu rien reſerré.	Mais dis-moi Je te prie n'as tu rien réserré.
Guingnotrou.	Guingnotrou.
Ie n’ay rien reſerué ſinon que trois bouteilles Remplies de vin blanc excellent à merueilles:	Je n'ai rien réservé sinon que trois bouteilles Remplies de vin blanc excellent à merveilles:
Happe-ſouppe.	Happe-soupe.
Voila qui va tres-bien il nous en faut aller.	Voilà qui va très-bien il nous en faut aller.
Et auec vn chappon viſtement l’aualler.	Et avec un chapon vitement l'avaller.
Guingnotrou.	Guingnotrou.
Tout beau, tu as touſiours le goſier bien aride, Ne te naite point tant tu es par trop auide, Tu aimes le vin blanc.	Tout beau, tu as toujours le gosier bien aride, Ne te naite point tant tu es par trop aujde, Tu aimes le vin blanc.
Happe-ſouppe.	Happe-soupe.
Et le clairet auſſi.	Et le clairet aussi.
Guingnotrou.	Guingnotrou.
Pd es touhouis creue,ta iue cucunl doucy De tes pauures enfans & de ta pauure femme Qui vit en languiſſant, qui de toy n’a que blaſme.	Pd es touhouis crève,ta jue cucunl douci De tes pauvres enfants et de ta pauvre femme Qui vit en languissant, qui de toi n'a que blâme.
Happe ſouppe.	Happe souppe.
O le bon perſonnage!	Ô le bon personnage!
on diroit à le voir Que voila vn Docteur tout remply de ſçauoir,	on dirait à le voir Que voilà un Docteur tout rempli de Savoir,
Guingnotrou.	Guingnotrou.
avi as tu veu autrerois coimme toy aux tadernes?	avi as tu veu autrerais coimme toi aux tadernes?
M'as tu veu ramener auec que les lanternes?	M'as tu veu ramener avec que les lanternes?
Brinbalant par la ruë:	Brinbalant par la rue:
ou eſtois-tu hier?	ou étais-tu hier?
Quand iamais tu ne peus le tauernier payer?	Quand jamais tu ne peux le tavernier payer?
Happe-ſouppe.	Happe-soupe.
O pauure Guingnotrou, helas tu ne ſçais boire, O que ie ſuis marry mais ou eſt ta memoite?	Ô pauvre Guingnotrou, hélas tu ne sais boire, Ô que ie suis marri mais ou est ta memoite?
Tu n’y oſe à t’ouyr toucher du bout des doigts, Et c’et toy qui m’appelles auec toy quant tu bois:	Tu n'y ose à t'ouïr toucher du bout des doigts, Et c'et toi qui m'appelles auec toy quant tu bois:
Mais vien ça ie te prie puis qu’il te faut tout dire A t'entendre parler tu n’oſe quaſi rire:	Mais viens ça assez te prie puis qu'il te faut tout dire A t'entendre parler tu n'ose quasi rire:
Ou fus-tu l’autre iour que t’eſtois ſi gaillard?	Ou fus-tu l'autre jour que t'étais si gaillard?
T’auois tout deſpencé iuſqu’à vn pauure liard,  Tu allois chancelant, tu faiſois des gambades.	T'avais tout dépensé jusqu'à Un pauvre liard, Tu allais chancelant, tu faisais des gambades.
On voyoit bien de loin à tes braues œillades Que ton ſacré teſſon n’eſtoit pas beaucoup euit, Toy meimetune rais que boirc lour ec nuict,	On voyait bien de loin à tes braves œillades Que ton sacré tesson n'était pas beaucoup euit, Toi meimetune rais que boirc lour ec nuit,
Guingnotrou.	Guingnotrou.
Et bien, quant ie boiray payes-tu la deſpence?	Et bien, quant apprendre boirai payes-tu la dépense?
Tu es vn braue frelaut, quant ie te vois ie penſe Que quant tu porterois cinq ou ſix lingots d’or, Tu ne payerois pas tout tu en deurois encor, Auſſi es-tu touſiours en tourment & ſans ioye, Tu n’as iamais vaillant vn denier de monnoye, Pour moy quant tu me vois aller aux cabarets, On ne retient iamais mon manteau pour les frais, I'en reuiens touſiours quitte en bien payãt l’hoſteſſe, beto, tu lais touſiours quelque froide promeſſe.	Tu es un brave frêlaut, quant sans te vois ie pense Que quant tu porterais cinq ou six lingots d'or, Tu ne payerais pas tout tu en devrais encor, Aussi estu toujours en tourment et sans joie, Tu n'as jamais vaillant un denier de monnaie, Pour moi quant tu me vois aller aux cabarets, On ne retient jamais mon manteau pour les frais, J'en reviens toujours quitte en bien payant l'hôtesse, beto, tu lais toujours quelque froide promesse.
Garde toy des ſergents, Bien, bien, laiſſe le là.	Garde toi des sergents, Bien, bien, laisse le là.
Happe-ſouppe.	Happe-soupe.
Parlons de delieuner, c’eſt trop remeu cela, Tu dis que tu as ſerré trois ou quatre bouteilles, Viens ie te feray voir vn plat beau à merueilles.	Parlons de délieuner, c'est trop remu cela, Tu dis que tu as serré trois ou quatre bouteilles, Viens sans te ferai voir un plat beau à merveilles.
Guingnotrou.	Guingnotrou.
nee icauuis le pus dien que eu rauois nappe,	née icauuis le pus dien que eu ravais nappe,
Happe-ſouppe.	Happe-soupe.
Alons donc viſtement, l’ouys quelqu’vn deſcendre.	Alons donc vite, l'ouïs quelqu'Hô descendre.
Guingnetrou.	Guingnettrou.
Alons:	Alons:
mais gardons bien qu’on nous vienne ſutprendre.	mais gardons bien qu'on nous vienne sutprendre.
III.	III.
ACTE.	ACTE.
ASSVIRE.	ASSVIRE.
ESTPR.	ESTPR.
HARBONA.	HARBONA.
ZATHAR.	ZATHAR.
AMAN.	AMAN.
SCENE.	SCÈNE.
I.	I.
Aſſuere.	Assuère.
Eſt par trop banqueté, il eſt temps de ſonger  Aux affaires d’eſtat:	Est par trop banqueté, il est temps de songer Aux affaires d'état:
car ſi quelque danger Nous venoit entourer durant ceſte aſſemblee, Noſtre ville en ſeroit en peu de temps troublee:	car si quelque danger Nous venait entourer durant cette assemblée, Notre ville en serait en peu de temps troublée:
Barbona, dites moy, n'a-on point murmuté?	Barbona, dites -moi, n'a-on point murmuté?
Auez vous veu aucun qui ſe ſoit coleré Dans mes braues banquets?	Avez -vous veu aucun qui se soit coleré Dans mes braves banquets?
Harbona.	Harbona.
Sire, tout voſtre Empire De puis huict iours en ça n’a fait que touſiours rire, Les Princes à la Cour n’ont eu aucun debat, Et certe qui vou droit renuerſer voſtre eſtat?	Sire, tout votre Empire De puis huit jours en ça n'a fait que toujours rire, Les Princes à la Cour n'ont eu aucun débat, Et certe qui vou droit renverser votre état?
Zathar.	Zathar.
Pourtant depuis hier i'ay receu la nouuelle, Que la ville d’Eſdron s’eſtoit miſe en querelle:	Pourtant depuis hier j'ai reçu la nouvelle, Que la ville d'Esdron s'était mise en querelle:
Mais voſtre Gouuerneur comme i’ay entendu, A rabatu les coups.	Mais votre Gouverneur comme j'ai entendu, A rabattu les coups.
Ie peuple s’eſt rendu Plus docile à ſa voix	Je peuple s'est rendu Plus docile à sa voix
Aſſutre.	Assutre.
Vrayment ie ſuis bien aiſe Qu’il a ſceu appaiſer ceſte cruelle noiſe:	Vraiment je suis bien aise Qu'il a su apaiser cette cruelle noise:
On void touſiours quelqu’vn qui ſe met aux acgueſts Ie tenois pour certain que iamais mes banquets Ne fineroient ſans guerre & que la populace Auroit le cœur boufi de querelle & d’audace:	On voit toujours quelqu'une qui se met aux acguêts Je tenais pour certain que jamais mes banquets Ne fineraient sans guerre et que la populace Aurait le cœur bouffi de querelle et d'audace:
Mais puis que mon Royaume eſt maintenant en paix Ie m’en enqueſte plus, ie vous iure & promets, Que tandis que Clotho me filera la vie, Et que le fier deſtin ne me l’aura rauie:	Mais puis que mon Royaume est maintenant en paix Je m'en enquête plus, je vous jure et promets, Que tandis que Clotho me filera la vie, Et que le fier destin ne me l'aura ravie:
Que la paix aſſuree & le beau ſiecle d’or Fera naiſtre en ce lieu ſon plus riche treſor.	Que la paix assurée et le beau siècle d'or Fera naître en ce lieu son plus riche trésor.
Ie crois que deſormais nous apprendrons à viure:	Je crois que désormais nous apprendrons à vivre:
Mais c’eſt par trop parler qu’on m’apporte le liure Et le memorial de mes anteceſſeurs.	Mais c'est par trop parler qu'on m'apporte le livre Et le mémorial de mes antecesseurs.
C’eſt le liure qui peut luyre à nos ſucceſſeur.	C'est le livre qui peut luire à nos successeur.
Harbona.	Harbona.
Sire, voicy le liure.	Sire, voici le livre.
Aſſuere.	Assuère.
apportezqu on le ne, Voyons s’il n’y a point quelque belle entrepriſe, Ouurez à l’aduenture, & liſez hautement.	apportezqu on le ne, Voyons s'il n'y a point quelque belle entreprise, Ouvrez à l'aventure, et lisez hautement.
Harbona.	Harbona.
Ca Sire, ie feray voſtre commandement, Ompitte du diedonne predon lu usamic D’Agathan & Thirſan deſcouurant la manie Du complot fait entre eux d’occire l’Empereur, Et luy rauir les biens, les biens, la vie & ſon honneur.	Ça Sire, je ferai votre commandement, Ompitte du diedonne prédon lu usamic D'Agathan et Tyran découvrant la manie Du complot fait entre eux d'occire l'Empereur, Et Ah ravir les biens, les biens, la vie et son honneur.
Aſſuere.	Assuère.
Liſez donc ce chapitre il me plaiſt & m’agree, Ce fut il m’en ſouuient dans ma ſale paree.	Lisez donc ce chapitre il me plaît et m'agre, Ce fut il m'en souvient dans ma sale parée.
Harbona.	Harbona.
Agathan & Tirſan vovant que l’Empereur Aſſuere eſtoit ſeul en ſa maiſon d’honneur, Coniurerent ſa mort:	Agathan et Tirsan vouant que l'Empereur Assuerre était seul en sa maison d'honneur, Conjurerent sa mort:
mais le bon Mardochee Deſcouuriſt le complot ayant l’ame faſchee, De ce que deux ſubiets de qui noſtre grand Roy Ne ſe fuſt point douté ſans peur ny ſans effroy, Auoyent iuré entre eux de tuer & d’occire Le Roy & les Seigneurs de ce ſuperbe Empite, Quand Mardochee eut veu qu’ils eurent attenté Sur l’Eſtat, ſe bandant contre ſa Majeſté, Il aduertiſt la Reyne, & auſſi toſt la Reyne Entrans dedans la ſale ou le Roy ſe pourmeine, Maucleie 1 Eipeleul, d ainnies Mhans Paſſerent lAcheron au milieu de leurs ans.	mais le bon Mardoche Descouurist le complot ayant l'âme fâche, De ce que deux sujets de qui notre grand Roi Ne se fût point douté sans peur ici sans effroi, Avaient juré entre eux de tuer et d'occire Le Roi et les Seigneurs de ce superbe Empite, Quand Mardochée eut vu qu'ils eurent attenté Sur l'État, se bandant contre sa Majesté, Il aduertist la Ne, et aussi tôt la Reine Entrans dedans la sale ou le Roi se pourmeine, Maucleie 1 Eipeleul, d' ainnies Mhants Passèrent l' A milieu de leurs en.
Aſſuere.	Assuère.
Tout beau, demeurez là, qui fut la tecompence Octroyee à celuy qui me miſt en deffence.	Tout beau, demeurez là, qui fut la técompense Octroyee à celui qui me mit en défense.
Zathar.	Zathar.
Sire, il n’en a iamais receu aucun guerdon, Il eſt en voſtre Cour quaſi à l’abandon Des dieux & des humains, Ie vous dis & vous iure Que ie l’honoreray deuant qu’il ſoit vne heure:	Sire, il n'en a jamais reçu aucun guerdon, Il est en votre Cour quasi à l'abandon Des dieux et des humains, Je vous dis et vous jure Que tu l'honorerai devant qu'il soit une heure:
Allez voir en la Cour, qu’on me face venir Quelqu’vn de mes Seigneurs, ie veux me ſouuenir DEceGon Marduenec.	Allez voir en la Cour, qu'on me face venir Quelqu'un de mes Seigneurs, toujours veux me souvenir DÉceGon Marduenec.
Zathar.	Zathar.
SCENE, II.	SCÈNE, II.
Certe Sire il merite Qu'on luy face vn honneur digne de ſon merite.	Certe Sire il mérite Qu'on lui face un honneur digne de son mérite.
Aman.	Aman.
Sire, ie ſuis venu vous m’auez fait mander, Ie n’euſſe pas voulu plus long temps retar ler.	Sire, je suis venu vous m'avez fait mander, Je n'eusse pas voulu plus long temps retar ler.
Aiſhere.	Aishère.
Aman, aproche pres, dis moy que dois-ie faire A celuy qui me plaiſt & qui me veut complaire, Dy moy de quel honnenr il doit eſtre honoré, Dy moy comme il doit eſtre entre tous reueté.	Aman, approche pres, dis -moi que dois-je faire À celui qui me plaît et qui me veut complaire, D moi de quel honoré , doit être honoré, -cy moi comme il doit être entre tous reveté.
Aman.	Aman.
Sire, celuy lequel a trouué quelque grace Deuant le doux aſpect de voſtre auguſte face, Doit eſtre orné de gloire & du manteau Royal.	Sire, celui lequel a trouvé quelque grâce Levant le doux aspect de votre auguste face, Doit être orné de gloire et du manteau Royal.
Tenant le Sceptre en main, & que voſtre cheual Luy ſerue de monture afin qu’on le cognoiſſe Pour le plus grand Seigneur de toute la Nobleſſe:	Tenant le Sceptre en main, et que votre cheval Lui serve de monture afin qu'on le connaisse Pour le plus grand Seigneur de toute la Noblesse:
Il faut apres qu’vn Prince ou quelque grãd Seigneus, Luy ſerue de heraut pour preſcher ſon honneur, Et qu’ainſi plain de proirc aumiſſeu de la ville Il face reſſentir ſa puiſlance ſubtite.	Il faut après qu'un Prince ou quelque grands Seigneus, Lui serve de héraut pour prêcher son honneur, Et qu'ainsi plain de proirc aumisseu de la ville Il face ressentir sa puislance sujet.
Aſſuere.	Assuère.
Va donc depeſche-toy, fais ce que tu as dit, Prens mon mhanteua neyal & mon plus riche habit, Et orne Mardochee, afin que la ieuneſſe Qui demeure en Suſan admire ſa proüeſſe.	Va donc dépêche-toi, fais -ce que tu as dit, Prends mon mhanteua neyal et mon plus riche habit, Et orne Mardochée, afin que la jeunesse Qui demeure en Susan admire sa prounesse.
Amian.	Amian.
Ah pauure miſerable.	Ah pauvre misérable.
ay-ie eſté ſi fidel Pour eſtre ſurmonté d’vn ennemy mortel.	ai-je été si fidel Pour der surmonté d'un ennemi mortel.
SCENE, III.	SCÈNE, III.
Eſter.	Ester.
Onte grand Empereur, qurue vomte puinance, Surmontez des maunais la ſuperbe arrogance, Excuſez moy grand Roy ſi i’oſe entrer icy, I’ay le cœur & l’eſprit de crainte tout tranſy.	Onte grand Empereur, qurue vomte puinance, Surmontés des maunais la superbe arrogance, Excusez moi grand Roi si j'ose entrer ici, J'ai le cœur et l'esprit de crainte tout transi.
Aſſuere.	Assuère.
Lenez vous ma Deelle & ma diuine eſpouſe, Qui a-il de nouueau, y a-il quelque chouſe?	Lenez vous ma Deelle et ma divine épouse, Qui a-il de nouveau, y a-il quelque chouse?
Qui vous ameine icy?	Qui vous âmeine ici?
ie iure foy de Roy, Que i’aime voſtre nom plus cherement que moy, Demandez, yous l’aurez, dites moy la triſteſſe Qui remplit voſtre cœur d’amertume & detreſſe, I’y donneray bon ordre, & ne ſçauez vous pas Que ie ſuis voſtre amy iuſqu’au dernier treſpas?	ie iure foi de Roi, Que j'aime votre nom plus chèrement que moi, Demandez, yous l'aurez, dites -moi la tristesse Qui remplit votre cœur d'amertume et détresse, J'y donnerai bon ordre, et ne savez vous pas Que ie suis votre ami jusqu'au dernier trépas?
Et que pluſtoſt Phœbus quitteroit ſa carriere Deuant que de changer mon amitié premiere?	Et que plutôt Phœbus quitterait sa carrière Deuant que de changer mon amitié première?
Dites donc ie vous prie, d’ou vient ceſte douleur?	Dites donc je vous prie, d'ou vient cette douleur?
Et les triſtes ſanglots qui vous piquent le cœur?	Et les tristes sanglots qui vous piquent le cœur?
Eſler, Sire, c’eſt auiour d’huy que la ſuperbe enuie D’vn de vos courtiſans nous rauira la vie, A moy & à mon peuple, on nous a deſtiné Au ſac & au pillage & le iout ordonné Pour faire ce maſſacre, arriuera bien toſt, Ou vous vertez en bref vn terrible complot:	Éler, Sire, c'est aujour d'hui que la superbe envie D'un de vos courtisans nous ravira la vie, À moi et à mon peuple, on nous a destiné Au sac et au pillage et le jout ordonné Pour faire ce massacre, arrivera bien tôt, Ou vous vertez en bref un terrible complot:
Helas grand Emper eur aurez vous le courage, De voir ceſte tempeile & ce cruel catnage:	Hélas grand Emper eur aurez -vous le courage, De voir cette tempile et ce cruel catnage:
Auriez vous bien le cœur de me voir treſpaſſer?	Auriez -vous bien le cœur de me voir trépasser?
Au milieu des tirans ſans vous y oppoſer?	Au milieu des tyrans sans vous y opposer?
Ie vous pry donc grand Roy ſi l’amitié diuine Eſt encore engrauee en voſtre alme poitrine, Ormoi dilour eduu couene ce le diuirerpect Que ie vous porte encor a quelque peu d’effect, Ie vous prie auiour d’huy de rembarer l’orage Qui menace mon peuple & moy d’vn grãd naufrage.	Je vous pris donc grand Roi si l'amitié divine Est encore engrave en votre âme poitrine, Oroi dilour édu couene ce l' diuirerpect Que je vous porte encor a quelque peu d'effet, Je vous prie aujour d'hui de rembarer l'orage Qui menace mon peuple et moi d'un grande naufrage.
Aſſuere.	Assuère.
Et qui eſt ſi oſé d’ainſi vous menacer?	Et qui est si osé d'ainsi vous menacer?
Qui eſt ce des humains qui oſe outrepaſſer?	Qui est ce des humains qui ose outrepasser?
Au uenus ut mes ious, le croy que inon Noyaume, Ne ſouſtiendra iamais vn ſi effronté homme.	Au ouvenus ut mes jous, le crois que inon Noyaume, Ne soutiendra jamais un si effronté homme.
Effer.	Éffer.
Helas Sire, pourtant c’eſt vn de vos Seigneurs Qui nous a tous liurez à cent mille douleurs.	Hélas Sire, pourtant c'est un de vos Seigneurs Qui nous a toujours livrez à cent mille douleurs.
Aſſuere.	Assuère.
C'eſt vn de mes Seigneurs, & qui eſt-il encore?	C'est un de mes Seigneurs, et qui est-il encore?
Eſter.	Ester.
C'eſt ce cruel Aman que tout chacun adore,	C'est ce cruel Aman que tout chacun adore,
Aſſuere.	Assuère.
Aman, ie ne crois pas.	Aman, Seigneur ne crois pas.
Sire, il a fait mander Par tout voſtre pays, qu’on eut à ſe bander Contre moy & mon peuple, & qu’il auoit puiſſance Momtiunerontte cachet pour plus ferme aſſeurance De nous faire mourir.	Sire, il a fait mander Par tout votre pays, qu'on eut à se bander Contre moi et mon peuple, et qu'il avait puissance Momtiunerontte cachet pour plus ferme assurance De nous faire mourir.
Aſſuere.	Assuère.
Ie iure Lacheron:	Je jure Lacheron:
Quil recepura en bref vn tres iuſte guerdon.	Quil recepura en bref un très juste guerdon.
Eßtr.	Esstr.
Sire, voicy qu’il vient.	Sire, voici qu'il vient.
Aſſuere.	Assuère.
Venez-ça eſtourdy, D'où vous vient cet audace, eſtes vous ſi hatdy, D’attenter mon Eſtat & vouloir entreprendre De trahir mon eſpouſe & ainſi me ſurprendreIe vous feray mourir, qu’on le prenne au delit, Ah, ah, eſt-ce ainſi donc qu’on me fait ſon iouit.	Venez-ça étourdi, D'où vous vient cet audace, êtes -vous si hatdi, D'attenter mon État et vouloir entreprendre De trahir mon épouse et ainsi me surprendreIe vous ferai mourir, qu'on le prenne au délit, Ah, ah, est-ce ainsi donc qu'on me fait son jouit.
Lathas.	Lathas.
Sire, ce n’eſt pas tout il a fait l’eſtrapade Pour pendre Mardochee faiſant ſa promenade:	Sire, ce n'est pas tout il a fait l'estrapade Pour pendre Mardochée faisant sa promenade:
Ent-il pomble, an, an meſchant & malheureux.	Ent-il pomble, an, an méchant et malheureux.
Tu t’es trop oublié, tu eſtois trop heureux:	Tu t'es trop oublié, tu étais trop heureux:
Qu’on le pende à cet heure & qu’il eut recompence, D’auoir en ſon viuant fait ſa propre potence.	Qu'on le pende à cet heure et qu'il eut récompense, D'avoir en son vivant fait sa propre potence.
Aman.	Aman.
He Madame, implorez, implorez du ſecours, Faudra-il donc finir ſi pauurement mes iours.	He Madame, implorez, implorez du secours, Faudra-il donc finir si pauvrement mes jours.
Aſſuere.	Assuère.
F Vrayment tu es bien hardy de parler à ma femme, Alons mon cœur, alons, laiſſons là cet infamme:	 Fraiment tu es bien hardi de parler à ma femme, Alons mon cœur, alons, laissons là cet infamme:
He Sire, he Sire, helas, quoy qu’il me faut mourir:	He Sire, hé Sire, hélas, quoi qu’il me faut mourir:
Pardonnez ie vous prie, quoy qu’il me faut perir D Sur vn triſte gibet, Dieux quelle recompenſe!	Pardonnezole vous prie, quoi qu’il me faut périr D Ur un triste gibet, Dieux quelle récompense!
D’auoir ſeruy le Roy, d’auoir mis en deffence Le Royaume & l’Eſtat, ah Dieu quelle rigueur, Quelle aſpre cruauté, quelle affreuſe horreur:	D'avoir servi le Roi, d'avoir mis en défense Le Royaume et l'État, ah Dieu quelle rigueur, Quelle âpre cruauté, quelle affreuse horreur:
Il me faut donc mourir.	Il me faut donc mourir.
Boureau.	Boureau.
C’eſt choſe reſoluë, Ouy,ntenutmouni, den, le Royte laiue.	C'est chose résolue, Oui,ntenutmouni, den, le Roite laiue.
C’eſt ton dernier carcan, alons il s’en va tard.	C'est ton dernier carcan, alons il s'en va tard.
Aman.	Aman.
