DE TVRENNE.	DE TURENNE.
ſes.	ses.
ZENALPHE.	ZENALPHÉE.
dont ie fuis les enemiiis glorleux La vertu M'ordonne d’epxner qui leur eſt precieux.	dont ici fuis les enemiis glorleux La vertu M'ordonne d'épxner qui leur est précieux.
CONSTANCET Mais deſlors que l'amour anime vn grãd coürage Il diſpenſe de tout pour vanger vn outrage:	CONSTANCET Mais délors que l'amour anime un grand courage Il dispense de tout pour venger un outrage:
Mille & mille grands cœurs ſe ſont eterniſez En ſuiuant les chemins qui te ſont propoſez, Et le plus beau moyen pour meriter des Temples Eſt de ſuiure ce Dieu dedans tous ſes exemples:	Mille et mille grands cœurs se sont éternisés En suivant les chemins qui te sont proposés, Et le plus beau moyen pour mériter des Temples Est de suivre ce Dieu dedans tous ses exemples:
C’eſt par luy qu’on deuient tout puiſſant ſur les F oys Et qu'à toute la terre on impoſe des Loix, Qu’on triomphe du ſort & des plus grands obſtacles, Et qu'on fait des exploits qui valẽt des miracles.	C'est par autre qu'on devient tout -puissant sur les F ois Et qu'à toute la terre on impose des Lois, Qu'on triomphe du sort et des plus grands obstacles, Et qu'on fait des exploits qui valêt des miracles.
Si tu pouuois ſçauoir combien i’ay fait de vœux Pour te former vn cœur ſenſible à ſes beaux feux Tu te montrerois digne, en quittant ta foibleſſe, De poſſeder celuy d’vne grande Princeſſe, Et tu rechercherois auec empreſſement A tout ſacrifier à ſon reſſentiment;	Si tu pouvais savoir combien j'ai fait de vœux Pour te former un cœur sensible à ses beaux feux Tu te montrerais digne, en quittant ta faiblesse, De posséder celui d'une grande Princesse, Et tu rechercherois avec empressement A tout sacrifier à son ressentiment;
Car perdre l'Vniuers pour vanger vne amante N'eſt que le moindre effet d’vne ardeur vehemente, Et deuſt vn monde entier endurer le trépas, Il faut tout immoler à ſes diuins appas.	Car perdre l'Univers pour venger une amante N'est que le moindre effet d'une ardeur véhémente, Et dût un monde entier endurer le trépas, Il faut tout immoler à ses divins appas.
Mais quoy ton cœur reſiſte à P'auis d’vne mere Qui tinuuit au grand art de regner & de plaire:	Mais quoi ton cœur résiste à P'avis d'une mère Qui tinuuit au grand art de régner et de plaire:
ZENALPHE.	ZENALPHÉE.
Oüy, je tremble de voir que mon mauuais deſtin Prend l'amour & le ſang pour me rendre aſſaſſin.	Oui, je tremble de voir que mon mauvais destin Prend l'amour et le sang pour me rendre assassin.
CONSTANCE.	CONSTANCE.
Qui manque laſchement de gagner vn Empire Eſt indigne du iour & de l'air qu’il reſpire, Et ſi de laſcheté tu n’eſtois reueſtu Tu ferois de ce crime vn acte de vertu.	Qui manque lâchement de gagner un Empire Est indigne du jour et de l'air qu'il respire, Et si de lâcheté tu n'étais revêtu Tu ferais de ce crime un acte de vertu.
ZENALPHE.	ZENALPHÉE.
Quoy que vous puiſſiez faire & quoy qu’on puiſſe dire, Tout crime eſt odieux pour monter à l'Empire, Et deuſt mon cœur iouiii vir feraage cternel, I’aime mieux la vertu qu’vn troſne criminel:	Quoi que vous puissiez faire et quoi qu'on puisse dire, Tout crime est odieux pour monter à l'Empire, Et dût mon cœur joui vir feraage cternel, J'aime mieux la vertu qu'un trône criminel:
Nommez ce ſentiment indigne, bas & laſche, Ie ne ſoüilleray point mon nom de cette tache.	Nommez ce sentiment indigne, bas et lâche, Je ne sais point mon nom de cette tache.
CONSTANCE.	CONSTANCE.
uoy!	uoy!
la toute-puiſſance & le droit de regnez Ne te portera pas iuſques à dedaigner Vn obiet qu’vne ſotte & vile populace A mis deſſus le troſne & dans l'auguſte place D'vne Reyne qui t’aime auec toute l'ardeur Que peut vn digne amant attendre d’vn grand cœur.	la toute-puissance et le droit de régnez Ne te portera pas jusques à dédaigner Véné objet qu'une sotte et vile populace A mis dessus le trône et dans l'auguste place D'une Reine qui t'aime auec toute l'ardeur Que peut un digne amant attendre d'un grand cœur.
ZENALPHE.	ZENALPHÉE.
Madame, ces tranſports ont trop de violence, Et ce n’eſt pas icy.	Madame, ces transports ont trop de violence, Et ce n'est pas ici.
Mais la Réyne s’auance.	Mais la Reine s'avance.
CONSTANCE:	CONSTANCE:
Ie la vois approcher, mais comme à ſon orgueil Ie ne puis me contraindre à faire vn bon accueil Ie vay voir la Princeſſe & reſoudre auec elle.	Je la vois approcher, mais comme à son orgueil Ie ne puis me contraindre à faire un bon accueil Je vais voir la Princesse et résoudre avec elle.
ZENALPHE.	ZENALPHÉE.
Quoy?	Quoi?
vous eſtes, Madame, à ce point criminelle Que de perſeueret dans le cruel deſſein De rechercher vn bras pour luy percer le ſein:	vous êtes, Madame, à ce point criminelle Que de perseueret dans le cruel dessein De rechercher un bras pour venir percer le sein:
Non, non;	Non, non;
ie vous ſuiuray iuſqu’à tant que vôtre ame Ait reconnd rhoncara vne n'iaſene cramne, V’ay trop d’auerſion pour vn crime ſi noir, Madame, au nõ des Dieux forcez vous de la voir	Elle vous suivrai jusqu'à tant que votre âme Ait reconnd rhoncara une n'iasène cramène, V'ai trop d'aversion pour un crime si noir, Madame, au nôtre des Dieux forcez -vous de la voir
SCLITEIE SOLIMENE.	SCLITEIE SOLIMENE.
LEONICE.	LEONICE.
SOLIMENE.	SOLIMENE.
Oû vient donc que Zenalphe éuite ma pte.	Ou vient donc que Zénalphe évite ma pte.
ſence?	sence?
LEONICE.	LEONICE.
Conſtance luy parloit ſur vn point d’importãce, Et i’oſeray bien dire à voſtre Majeſté Que comme de Stellane il ſçait la volonté, Il vous faut efforcer de lire dans ſon ame, Si cette ſœur enfin ne porte point ſa flâme A chercher les moyens de vous mettre au trépas;	Constance avait parlait sur un point d'importance, Et j'oserai bien dire à votre Majesté Que comme de Stellane il sait la volonté, Il vous faut efforcer de lire dans son âme, Si cette sœur enfin ne porte point sa flâme À chercher les moyens de vous mettre au trépas;
Car ie ſçay qu’elle eſt fiere, & ne manquera pas De vanger toſt ou tard vne ſi grande offenſe.	Car ie sais qu'elle est fière, et ne manquera pas De venger tôt ou tard une si grande offense.
c	ç
SOLIMENE.	SOLIMENE.
Apres que de nos cœurs la nouuelle alliance n'iemis dans ſes mains ſon troſne & ſes Eſtats;	Après que de nos cœurs la nouvelle alliance n'iemis dans ses mains son trône et ses États;
Voudroit-elle me perdre?	Voudrait-elle me perdre?
ah!	ah!
ie ne le crois pass	On ne le crois pass
LEONICE.	LEONICE.
mour ie lanc raiion a vnniemble outrage;	mour ie manc raiion a unniemble outrage;
On viole tous droits, on met tout en vſage, On ſe croit tout permis apres vn tel affront.	On viole tous droits, on met tout en usage, On se croit tout permis après un tel affront.
SOLIMENE.	SOLIMENE.
D'vn ſi laſche projet les Dieux me deffendront, Et Zenalphe n’a point l'eſprit aſſez perfide, Pour ſoüiller ſa vertu d’vn ſi noir parricide.	D'un si lâche projet les Dieux me défendront, Et Zénalphe n'a point l'esprit assez perfide, Pour soüiller sa vertu d'un si noir parricide.
LEONICE.	LEONICE.
Ie ſçay qu’il a du cœur & qu’il eſt vertueux?	Je sais qu'il a du cœur et qu'il est vertueux?
Mais ie ſuis ſeur auſſi qu’il eſt fott amoureux, Et que lors que P'on aime vne telle Princeſſe, On n’a plus de vertu, d’honneur ny de ſageſſe Que pour les conſacrer à faire tous ſes vœux, Quãd il iroit de perdre ou des Roys ou des Dieux Ce qui doit rendre encor ſa colere implacable C’eſt qu’au temps qu’on deſtine vn chef-d’œuurs admirable A la gloire des Dieux & deuant tant de Roys, Ils ont briſé ſes fers & rebuté ſes loix.	Mais fort suis sûr aussi qu'il est fott amoureux, Et que lors que P'on aime telle Princesse, On n'a plus de vertu, d'honneur ni de sagesse Que pour les consacrer à faire tous ses vœux, Quand il irait de perdre ou des Rois ou des Dieux Ce qui doit rendre encor sa colère implacable C'est quau temps 'on destine un chef-d'œuvres admirable À la gloire des Dieux et devant tant de Rois, Ils ont brisé ses fers et rebuté ses lois.
SOLIMENE.	SOLIMENE.
Il eſt vray qu’vn tel coup m’épouuãte & m’étõne.	Il est vrai qu'un tel coup m'épouvante et m'étendre.
LEONICE.	LEONICE.
Quãd il s’agit d’vn ſceptre on n’épargne persõne Lors qu’on eſt reueſtu du pouuoir ſouuerain, Le cœur meſme à regret le commet à la main:	Quand il s'agit d'un sceptre on n'épargne personne Lors qu'on est revêtu du pouvoir souuerain, Le cœur était à regret le commet à la main:
De ſes droits tout-puiſſans la douceur & les chau mes ront que leurs poneneurs iont toujouis en allarSi l'ame le pouuoit exercer ſans le corps, (mes;	De ses droits tout-puissants la douceur et les chau mes ront que leurs poneneurs jont toujouis en alarS l'âme le pouvait exercer sans le corps, (mes;
On les verroit ſans ceſſe en d’eſtranges diſcords	On les verrait sans cesse en d'étranges discords
SOLIMENE.	SOLIMENE.
Tous ceux en qui le Ciel met la toute-puiſſance Sont toûjours au deſſus de cette défiance:	Tous ceux en qui le Ciel met la toute-puissance Sont toujours au dessus de cette défiance:
Ces troubles, ces tranſports agitent les tyrans, Et non pas les vrays Roys qu’il ſoûtientdans leurs rangs:	Ces troubles, ces transports agitent les tyrans, Et non pas les vrais Rois qu'il soûtientdans leurs rangs:
Mais que ſçais-tu du Temple, & qu’en dit tout le monde?	Mais que sais-tu du Temple, et qu'en dit tout le monde?
LEONICE.	LEONICE.
Ce fameux edifice en merueilles abonde, Madame!	Ce fameux édifice en merveilles abonde, Madame!
& ſes beautez charment tout l'Vniuers, L’on en vante par tout les miracles diuers, L’on dit que le deſſein de ſa rare ſtructure Surpaſſe tous les arts & meſme la nature:	et ses beautés charment tout l'Univers, L'on en vante par tout les miracles divers, L'on dit que le dessein de sa rare structure Surpasse tous les arts et même la nature:
Que l'œil en le voyant demeure tout charmé, Et que tout en vn mot s’y trouue conſommé, Quirit a rreil dedanio tuy qui lle font dunntable, Et que Venus aura ce Temple incomparable.	Que l'œil en le voyant demeure tout charmé, Et que tout en un mot s'y trouve consommé, Quirit a résil dedanio tui qui l' un dunntable, Et que Venus aura ce Temple incomparable.
SOLIMENE.	SOLIMENE.
Le Peuple preſſent dons ce que i’ay dans le ſein?	Le Peuple pressent dons ce que j'ai dans le sein?
LEONICE.	LEONICE.
Voila ſon ſentiment ſur ce fameux deſſein, Il tient que voſtre eſprit, ſans égal en ſageſſe, Ne conſacrera point à queique antre Deeſſe Ce chef-d'œuure ſans prix & don l'éclat charmãt Cara de PV-:	Voilà son sentiment sur ce fameux dessein, Il tient que votre esprit, sans égal en sagesse, Ne consacrera point à queique antre Déesse Ce chef-d'œuvre sans prix et donc et don charmãt Charma de PU-:
bei-co-yhiuers ia gloire & l'ornement.	bey-co-yhivers ja gloire et l'ornement.
SOLIMENE.	SOLIMENE.
Tu crois donc qu’il me porte vne ardeur ſans ſeconde?	Tu crois donc qu'il me porte une ardeur sans seconde?
LEONICE.	LEONICE.
Iamais on n'en a veu de pareille en ce monde, Il vous nomme ſans ceſſe, & dit à tous moments Que tous les Roys ſeront ſous vos commandemens, Que vos traits ſont ſi pleins d’amour & de tendreſſes, Quii s paſſent les beautez des plus grandes Deeſſes, Que la nature a mis ſes plus riches treſors Dans le temple ſacré de voſtre diuin corps:	Jamais on n'en a vu de pareille en ce monde, Il vous nomme sans cesse, et dit à tous moments Que tous les Rois seront sous vos commandements, Que vos traits sont si pleins d'amour et de tendresses, Quii passent les beautés des plus grandes Déesses, Que la nature a mis ses plus riches trésors Dans le temple sacré de votre divin corps:
Apres cela iugez de P'ardeur ſans meſure D'vn peuple dont la flâme eſt ſi ſainte & ſi purs, sib	Après cela jugez de P'ardeur sans mesure D'un peuple dont la flamme est si sainte et si purs, sib
SOLIMENE.	SOLIMENE.
Puiſque tu ſçais fort bien qu’il m’aime infipimé Apprens donc que pour luy i’ay meſme ſentiméu Tout ce grand baſtiment qu’au iour i’ay fait pa.	Puisque tu sais fort bien qu'il m'aime infipimé Apprends donc que pour quelque j'ai assez sentimé Tout ce grand bâtiment qu'au jour j'ai fait pa.
Et i roiſtre, N'eſt qu’vn ſage pretexte à luy trouuer vn Maitre, vh leoy qui tor n'gtand, A nobte ce u parfait, Que gagner tous les cœurs en ſoit le moindie effet.	Et y roistre, N'est qu'un sage prétexte à lui trouver un Majaitre, vh leoy qui tor n'gtand, À nobte ce parfait, Que gagner tous les cœurs en soit le moindie effet.
LEONICE.	LEONICE.
Par ce beau ſentiment il eſt aiſé de eroire Que lur tout lvniuers vous adier la vietoise;	Par ce beau sentiment il est aisé de eroire Que lurt tout lvniuers vous adier la viétoise;
Et ce diſeours fait voir en voſtre Maieſté Vn miracle d’amour, de grace & de bonté,	Et ce diseours fait voir en votre Majesté Un miracle d'amour, de grâce et de bonté,
SOLIMENE.	SOLIMENE.
nuee tant de pouuoir, auec tant de courage, Ie ne veux trauoiller que pour leur auantage, Augmẽter leur bon-heur, les cõbler de bienfaits Que Du moindre de mes dons ſurpaſſer leurs ſouhaits Et q Et ne ſouffrir iamais qu’aucun moment ſe paſſe Sans les fauoriſer de quelque inſigne grace;	nuée tant de pouvoir, avec tant de courage, Je ne veux travoiller que pour leur avantage, Augmenter leur bonheur, les combler de bienfaits Que Du moindre de mes dons surpasser leurs souhaits Et q Et ne souffrir jamais qu'aucun moment se passe Sans les favoriser de quelque insigne grâce;
Afin d’y paruenir, i’ay conjuré ma ſœur D’oublier pour iamais leur crime en ma faueur, I’ay ſi bien reparé la faute qu’ils ont faite, Qu'elle m’a témoigné d’en eſtre ſatisfaite, De ſon troſne & du mien la nouuelle vnion A paſſé ſon attente & ſon ambition;	Afin d'y parvenir, j'ai conjuré ma sœur D'oublier pour jamais leur crime en ma faveur, J'ai si bien réparé la faute qu'ils ont faite, Qu'elle m'a témoigné d'en être satisfaite, De son trône et du mien la nouvelle vnion A passé son attente et son ambition;
Si bien qu’elle n’a plus de pretexte à leur nuire, Poumieu que ious nos loix ir le laine conduire.	Si bien qu'elle n'a plus de prétexte à leur nuire, Poumieu que jous nos lois ir le laine conduire.
LEONICE.	LEONICE.
Vn diſcours ſi charmant ſi grand, ſi genereux Mõtre plus de vertu que n’en ont tous les Dieux;	Un discours si charmant si grand, si généreux Maître plus de vertu que n'en ont tous les Dieux;
Et i’oſe me vanter qu’ils porteront enuie Au moindre éclat qui ſort de voſtre illuſtre vie.	Et j'ose me vanter qu'ils porteront envie Au moindre éclat qui sort de votre illustre vie.
SOLIMENE.	SOLIMENE.
Si les Dieux ſont ialoux de mon regne éclatant, L’Vniuers en ſera ſatisfait & content, Et mon peuple dira qu’il a pour Souueraine Vn objet qui luy ſert & de mere & de Reyne.	Si les Dieux sont jaloux de mon règne éclatant, L'Univers en sera satisfait et content, Et mon peuple dira qu'il a pour Souveraine Un objet qui avait sert et de mère et de Reine.
LEONICE.	LEONICE.
I’ay le cœur tout charmé de voir que vos bontez Font de ſi grands projets pour leurs proſperitez:	J'ai le cœur tout charmé de voir que vos bontés Font de si grands projets pour leurs prospérités:
Mais ſongez que demain voſtre diuin genie Doit redoubler l'éclat de ſa grace infinie, Que c’eſt demain le iour que l'on doit conſacrer Ce Temple que nos yeux ne ceſſent d’admirer;	Mais songez que demain votre divin génie Doit redoubler l'éclat de sa grâce infinie, Que c'est demain le jour que l'on doit consacrer Ce Temple que nos yeux ne cessent d'admirer;
Que tout eſt preparé pour cetre dedicace, Et que les plus grands Roys en accroiſtront la grace, Qu’ils viẽdront aujourd’huy põpeux & floriſſans, Pour rendre leurs deuoirs à vos traits tout-puiſſans, Et par de grands efforts feront voir leur adreſſe Et tout ce qui ſe fait pour vaincre vne Maiſtreſ Que Sebaſte ſur tous déployera dans ce iour Ce que peut la valeur, la puiſſance & l'amour:	Que tout est préparé pour cetre dedicace, Et que les plus grands Rois en accroît la grâce, Qu'ils viendront aujourd'hui põpeux et florissants, Pour rendre leurs devoirs à vos traits tout-puissants, Et par de grands efforts feront voir leur adresse Et tout ce qui se fait pour vaincre une Maîtres Que Sébaste sur tous déploiera dans ce jour Ce que peut la valeur, la puissance et l'amour:
Ce courage ſi grand qui captiue voſtre ame, Entre tant de Riuaux ſignalera ſa flâme, Sa vertu P'a placé dans vn degré ſi haut, [far Que de meſme qu’vn Dieu, l'on le tient ſans d Vous deuez y penſer;	Ce courage si grand qui captive votre âme, Entre tant de Rivaux signalera sa flamme, Sa vertu P'a placé dans un degré si haut, [far Que de même qu'un Dieu, l'on le tient sans d Vous devez y penser;
car vn ſi grand Monarq Voudra de vôtre cœur receuoir quelque marque Voir ſi ſon feu vous touche, & ſi vous l'eſtimez Andeant querce eaproſeo lone granusde lefomme Vous ne répondez rien:	car un si grand Monarq Voudra de votre cœur recevoir quelque marque Voir si son feu vous touche, et si vous l'estimez Andeant querce éproseo lone granusde lefomme Vous ne répondez rien:
vous deuriez, Madam	vous devriez, Madam
SOLIMENE.	SOLIMENE.
Ah!	Ah!
ne redouble point les troubles de mon ame Ie ſçay.	ne redouble point les troubles de mon âme Je sais.
Mais que veut-on?	Mais que veut-on?
SCENL III.	SCENL III.
SOLIMENE, LEONICE, VN GARDE.	SOLIMENE, LEONICE, VN GARDE.
DEux enuoyez expré De la part de deux Roys apportent des portraits	DEux envoyez expré De la part de deux Rois apportent des portraits
SOLIMENE.	SOLIMENE.
Qu'on les faſſe approcher.	Qu'on les fasse approcher.
SOLND AV SOLIMENE, L’EONICE, VN C.	SOLND AU SOLIMENE, L'ENICE, VN Ç.
.	.
V.	V.
GARDE, DEVX ENVOYEZ.	GARDE, DEUX ENVOYEZ.
VN ENVOYE'.	UN ENVOIE.
LE Roy de Trebiſonde, ogatiiant que vos Vertus rauiſſent tout le mondes Vient pour vous rendre hommage, & voila ſon Portrait.	LE Roi de Trébisonde, ogatiant que vos Vertus ravissent tout le mondes Vient pour vous rendre hommage, et voilà son Portrait.
SOLIMENE.	SOLIMENE.
Quoy, celuy de Sebaſte?	Quoi, celui de Sébaste?
AM	AM
N ENVOYE'.	N ENVOIE.
Oüj.	Ouij.
SOLIMENE.	SOLIMENE.
1 Dieux!	1 Dieux!
qu’il eſt parfait!	qu'il est parfait!
AVTRE ENVOYE'.	AUTRE ENVOYE'.
Le Roy de Thrace auſſi fait la meſme demande.	Le Roi de Thrace aussi fait la même demande.
SOLIMENE.	SOLIMENE.
Qu'ils viẽnent librement, cette faueur eſt grande Allez, en attendant le bon-heur de les voir, le vais me preparer à les bien receuoir.	Qu'ils viennent librement, cette faveur est grande Allez, en attendant le bonheur de les voir, le vais me préparer à les bien recevoir.
XOTE XLI.	XOTE XLI.
SCENE I.	SCÈNE I.
SOLIMENE, LEONICE, Q	SOLIMENE, LEONICE, Q
LEONICE.	LEONICE.
Où vous vient donc ce trouble?	Où vous vient donc ce trouble?
& quan D chacun s’appreſte A vous rendre des vœux dans cette grande feſte, Que deux Roys à l'enuy de vos attraits jaloux Viennent pour meriter la gloire d’eſtre à vous, Que tout deuroit icy vous rendre ſatisfaite, On vous voit ſouſpirer.	et quan D chacun s'apprête A vous rendre des vœux dans cette grande fête, Que deux Rois à l'envi de vos attraits jaloux Viennent pour mériter la gloire d'être à vous, Que tout devrait ici vous rendre satisfaite, On vous voit soupirer.
SOLIMENE.	SOLIMENE.
Tant d’honneur m’inquiete, Et ie crains apres tout qu’on cét illuſtre iour, Ta Reyne ne deuienne eſclaue de l'Amour.	Tant d'honneur m'inquiète, Et tu crains après tout qu'on cet illustre jour, Ta Reine ne devienne esclaue de l'Amour.
LEONICE.	LEONICE.
Quoy!	Quoi!
Madame, vn Portrait a ſur vous tel empire	Madame, un Portrait a sur vous tel empire
SOLIMENE.	SOLIMENE.
Oüy, Leoniee, i'aime, il eſt temps de le dire, Et mon cœur a choiſy ce Heros glorieux, Qui ſurpaſſe en vertu les hommes & les Dieux, Et dont la main fertile à faire des miracles De tous ſes ennemis ſurmonte les obſtacles;	Oui, Léonie, j'aime, il est temps de le dire, Et mon cœur a choisi ce Héros glorieux, Qui surpasse en vertu les hommes et les Dieux, Et dont la main fertile à faire des miracles De tous ses ennemis surmonte les obstacles;
Cette ame merueilleuſe, & qui ſçait terraſſer Les Dieux meſme de ceux qui veulent l'offencer, Dont tu ſçais que l'Europe & l'Afrique & l'Aſie.	Cette âme merveilleuse, et qui sait terrasser Les Dieux même de ceux qui veulent l'offenser, Dont tu sais que l'Europe et l'Afrique et l'Asie.
LEONICE.	LEONICE.
Quoy' celuy dont ces Dieux ont tant de jalouſie?	Quoy' celui dont ces Dieux ont tant de jalousie?
SOLIMENE.	SOLIMENE.
Oüy Sebaſte, qui fait le deſtin des combats, Qui deſtruit ou releue à ſon gré les Eſtats:	Oui Sebaste, qui fait le destin des combats, Qui détruit ou relève à son gré les États:
A qui tout Rome doit le comble de ſa gloire, Par qui ſeul elle obtient victoire ſur victoire:	À qui tout Rome doit le comble de sa gloire, Par qui seul elle obtient victoire sur victoire:
Tout redouté qu’il eſt tout chargé de lauriers, Et l'arbitre du ſort des plus vaillans Guerriers, Vient pour me conſacrer ſon bras & ſon épée.	Tout redouté qu'il est tout chargé de lauriers, Et l'arbitre du sort des plus vaillants Guerriers, Vient pour me consacrer son bras et son épée.
LEONICE.	LEONICE.
Madame, ie le vois, ou ie ſuis bien trompée?	Madame, Seigneur le vois, ou ainsi suis bien trompée?
Non, c’eſt le Roy de Trace, éloignez-vous va peu, Ie vœux voir de quel air il me peindra ſon feu.	Non, c'est le Roi de Trace, éloignez-vous va pu, Je vœux voir de quel air il me peindra son feu.
Tous les fronts couronnez veulent la defferanes Qu’on doit à leur grandeur en pareille occurrẽce	Tous les fronts couronnés veulent la defferanes Qu'on doit à leur grandeur en pareille occurrence
SCENE II.	SCÈNE II.
SOLIMENE, MAXIME, VALERE, LEONICE.	SOLIMENE, MAXIME, VALÈRE, LEONICE.
MAXIME.	MAXIME.
Adame, connoiſſant que vos rares vertus IVA Rendent les plus grands Roys à vos piedi abattus, Ie viens en imitant leur flamme & leur tendreſſe, Vous reconnoiſtre auſſi pour Reyne & pour Maiſtreſſe, Pour l'objet ſouuerain de tout cét Vniuers, Dont l'eſprit nous fait voir cent miracles diuers, Et dans le doux eſpoir d’eſtre ſous voſtre Empire, 1 10 Ioindre aux traits enflammés de mon cœur qui ſouſpire, Ce que l’ay de grandeur, de rorce, & de pouuoir, Auec autant d’ardeur qu’on en peut conceuoir, Que peut en exprimer vne ame preparée, A ſuiure de vos loix l’ordonnance ſacrée.	Adame, connaissant que vos rares vertus IVA Rendent les plus grands Rois à vos piedi abattus, Je viens en imitant leur flamme et leur tendresse, Vous reconnaître aussi pour Reine et pour Maîtresse, Pour l'objet souverain de tout cet Univers, Dont l'esprit nous fait voir cent miracles divers, Et dans le doux espoir d'être sous votre Empire, 1 10 Joindre aux traits enflammés de mon cœur qui soupire, Ce que l'ai de grandeur, de rorce, et de grandeur, Auec autant d’ ardeur Que on en peut conceuoir, Que peut en exprimer une âme de, Aos de lois lois lois sacrée.
SOLIMENE.	SOLIMENE.
Ahlc'en eſt trop Seigneur, & vôtre eſprit charmaĩt, Veut marquer ſa grandeur par cét abaiſſement, Ces traits d’humilité ſont d’infaillibles marques, Qu’en vertu vous paſſez tous les plus grands Monarques;	Ahlc'en est trop Seigneur, et votre esprit charmaint, Veut marquer sa grandeur par cet abaissement, Ces traits d'humilité sont d'infaillibles marques, Qu'en vertu vous passez tous les plus grands Monarques;
Eſpargnez donc, grand Roy, ces tiltres glorieux, Car de ſi grands reſpects n’appartiennent qu’aux Dicdl.	Épargnez donc, grand Roi, ces titres glorieux, Car de si grands respects n'appartiennent qu'aux Dicdl.
MAXIME.	MAXIME.
Leur grandeur ne doit pas moins d’encens ny d'ilominage 2 Aux charmes tout puiſſans d’vne Reyne ſi ſage,	Leur grandeur ne doit pas moins d'encens ni d'ilominage 2 Aux charmes tout puissants d'une Reine si sage,
SOLIMENE.	SOLIMENE.
Moderez voſtre ardeur, & faites moins d’eſtat, D'vne Reyne où le Ciel a mis ſi peu d’eſclat.	Modérez votre ardeur, et faites moins d'état, D'une Reine où le Ciel a mis si peu d'éclat.
MAXIME.	MAXIME.
Quand de tout l'Vniuers on me feroit le Maiſtre, Afin de vous ſeruir ie ceſſerois de l'eſtre, Vos fers ſont ſi charmans, voſtre Empire ſi doux, Que rien n’eſt comparable à l'honneur d’eſtre à vous, Heureux ſi par Pexcés d’vne ſi pure flâme, Ie pouuois aſpirer iuſqu’à toucher voſtre ame;	Quand de tout l'Univers on me ferait le Maître, Afin de vous servir jamais cesserais de l'être, Vos fers sont si charmants, votre Empire si doux, Que rien n'est comparable à l'honneur d'être à vous, Heureux si par Pexcès d'une si pure flamme, Je pouvais aspirer jusqu'à toucher votre âme;
Mais c’eſt trop hazarder apres vn tel adueu:	Mais c'est trop hasarder après un tel aveu:
Ie vous laiſſe, Madame, ordonner de mon feu.	Je vous laisse, Madame, ordonner de mon feu.
C iij	Ç Cijà
SCENVE III.	SCENVE III.
SOLIMENE, LEONTCE,	SOLIMENE, LENTCE,
SOLIMENE.	SOLIMENE.
E bien, que me dis-tu de ce premier Monar.	E bien, que me dis-tu de ce premier Monar.
LA que.	LA que.
LEONICE.	LEONICE.
Qu’il a d’vn ſage Roy la veritable marque.	Qu'il a d'un sage Roi la véritable marque.
SOLIMENE.	SOLIMENE.
Si Sebaſte ne m'eũt enuoyé ſon portrait, P'euſſe douté qu’il fut plus noble & plus parfait.	Si Sébaste ne m'eunt envoyé son portrait, P'eusse douté qu'il fut plus noble et plus parfait.
gar- O Heros!	gar- Ô Héros!
ſi ce n’eſt qu’amour t’a voulu feindre.	si ce n'est qu'amour t'a voulu feindre.
nt le Les graces ont ſeruy de pinceau pour te peindre.	naît le Les grâces ont servi de pinceau pour te peindre.
LEONICE.	LEONICE.
Il faut que ce portrait ait des charmes bien forts, Puis que dans voſtre cœur il cauſe ces tranſports,	Il faut que ce portrait ait des charmes bien forts, Puis que dans votre cœur il cause ces transports,
SOLIMENE.	SOLIMENE.
Mais toy-meſme, confeſſe en voyant ſa peinture;	Mais toi-même, confesse en voyant sa peinture;
Qu’il a ce que iamais eût de beau la nature.	Qu'il a ce que jamais eût de beau la nature.
LEONICE.	LEONICE.
O Dieux!	Ô Dieux!
qu’il eſt remply de traits victorieux?	qu'il est rempli de traits victorieux?
SOLIMENE.	SOLIMENE.
alars de le Dieu d'Amour lont penite dedahs ſes  yeux.	alars de le Dieu d'Amour lont pénite dedahs ses yeux.
LEONICE.	LEONICE.
Sans doute, l’on diroit qu’ils leurs ſeruent de troſne.	Sans doute, l'on dirait qu'ils leurs servent de trône.
SOLIMENE.	SOLIMENE.
Il vaut bien à mon gré, le cœur d’vne Amazone.	Il vaut bien à mon gré, le cœur d'une Amazone.
LEONICE.	LEONICE.
Madame, ce ireit point vn viſage trompeur.	Madame, ce ireit point un visage trompeur.
O Dieux?	Ô Dieux?
qu’il eſt charmant?	qu'il est charmant?
SOLIMENE.	SOLIMENE.
Voyant venir Sebaſte,	Voyant venir Sébaste,
N'accable point mon cœur;	N'accable point mon cœur;
C'eſt tout ce qu’il peut faire en voyant ce grand homme, 4 2 Que de bien moderer le feu qui le conſomme.	C'est tout ce qu'il peut faire en voyant ce grand homme, 4 2 Que de bien modérer le feu qui le consomme.
SCENE IV.	SCÈNE IV.
SEBASTE, SOLIMENE, FASTCRATE, LEONICE.	SÉBASTE, SOLIMENE, FASTCRATE, LEONICE.
SEBASTE.	SÉBASTE.
Erueille de nos iours, Reyne dont les beau sil M yeux Se rendẽt tout puiſſans ſur les Roys & les Dieur Beauté dans qui l'on voit les veritables traces, Et l'air majeſtueux des vertus & des graces;	Erveille de nos jours, Reine dont les beau sil M yeux Se rendent tout puissants sur les Rois et les Dieur Beauté dans qui l'on voit les véritables traces, Et l'air majestueux des vertus et des grâces;
Objet de qui l’eſprit & l’extrême bonté, Surpaſſe tous les cœurs en generoſité;	Objet de qui l'esprit et l'extrême bonté, Surpasse tous les cœurs en générosité;
