DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Et de ce ſeul combat, vous enuieray la gloire, De celuy de Sardaigne, apprenez moy l’Hiſtoire;	Et de ce seul combat, vous envierai la gloire, De celui de Sardaigne, apprenez moi l'Histoire;
Donnez vn ſiege au Comte.	Donnez un siège au Compte.
D.	D.
BERNARD.	BERNARD.
A peine vos vaiſſeaux, Deradez trauerſoient le vaſte champ des eaux, Que les vents ennemis de cette humide plaine, Selon noſtre beſoin, meſurans leur haleine, D’irritez qu’ils eſtoient, außi-toſt appaiſez, Feirent voir le reſpect que vous leur impoſez;	À peine vos vaisseaux, Déradez traversaient le vaste champ des eaux, Que les vents ennemis de cette humide plaine, Selon était besoin, mesurants leur haleine, D'irrités qu'ils étaient, aussitôt apaisez, Féirent voir le respect que vous leur imposez;
Cette ſeiche foreſt, eut enfin de Neptune, L’inconſtante faueur, à tel poinct opportune;	Cette seiche forêt, eut enfin de Neptune, L'inconstante faveur, à tel point opportune;
Qu’auec vn ſeul Soleil, vne nuict ſeulement, Veid & noſtre arriuée, & noſtre embarquement, L’aurore alloit ſortir, quand ie feis prendre terre A ces Mars Eſpagnols, ces Demons de la guerre, Ces fleaux des attentats,& des rebellions, Que l’honneur d’eſtre à vous, rend autant deLions.	Qu'avec un seul Soleil, une nuit seulement, Veid et notre arrivée, et notre embarquement, L'aurore allait sortir, quand je feis prendre terre À ces Mars Espagnols, ces Demons de la guerre, Ces fléaux des attentats,et des rebellions, Que l'honneur d'être à vous, rend autant deLions.
Comme l’ardeur peut tout, iointe à l’intelligence, Le temps fut meſnagé par tant de diligence;	Comme l'ardeur peut tout, jointe à l'intelligence, Le temps fut ménagé par tant de diligence;
Que le camp découuert, les murs des ennemis, Auant qu’vn vent de flame en eut porté l’aduis,	Que le camp découvert, les murs des ennemis, Avant qu'un vent de flamme en eut porté l'avis,
Et que de noſtre abord Calaris aduertie Pûſt, où nous priſmes port, faire aucune ſortie;	Et que de notre abord Calaris avertie Pût, où nous prîmes port, faire aucune sortie;
Nul ne gardoit l’accés de ces perfides murs, Mais pour eſtre deſerts, les champs n’eſtoient pas ſeurs.	Nul ne gardait l'accès de ces perfides murs, Mais pour être déserts, les champs n'étaient pas sûrs.
Car cette ingratte ville en ruſes trop experte, Auoit d’arbres couchez, la campagne couuerte.	Car cette ingrate ville en ruses trop experte, Avait d'arbres couchez, la campagne couverte.
Et parſemé de clouds les chemins d’alentour, Qui nous feirent beſoin & d’adreſſe, & de iour.	Et parsemé de clouds les chemins d'alentour, Qui nous féirent besoin et d'adresse, et de jour.
L’vn & l’autre à la fin, nous aydant le paſſage, Apres vn long trauail du piege nous degage;	L'autre et l'autre à la fin, nous aidant le passage, Après un long travail du piège nous dégage;
Et ſuiuant vn ſentier qui deſcend d’vn coſteau, A ſon pied verdiſſant, nous trouuons vn ruiſſeau, Dont le trouble criſtal qui ſortoit d’vne roche, De gens qui le fouloient, nous feiſt iuger l’aproche;	Et suivant un sentier qui descend d'un costeau, À son pied verdissant, nous trouvons un ruisseau, Dont le trouble cristal qui sortait d'une roche, De gens qui le foulaient, nous feist juger l'approche;
Là chacun attentif, conſiderant les lieux, Vn brillant eſcadron ſe preſente à nos yeux, Dont le maintien ſuperbe, & le riche equipage, Loin de nous eſtonner, nous enfle le courage, Nous fait ſauter de ioye, & nous promet le fruict, Du penible trauail de l’onde & de la nuict.	Là chacun attentif, considérant les lieux, Un brillant escadron se présente à nos yeux, Dont le maintien superbe, et le riche équipage, Loin de nous étonner, nous enfle le courage, Nous fait sauter de joie, et nous promet le fruit, Du pénible travail de l'onde et de la nuit.
Il n’eſt ſoldat ſi las, à qui le cœur ne vole, Et qui n’ait la vigueur comme l’ame Eſpagnole;	Il n'est soldat si las, à qui le cœur ne vole, Et qui n'ait la vigueur comme l'âme Espagnole;
Et preſque en vn inſtant touts nos rangs diſpoſez, Separent les trois corps dont ils ſont compoſez.	Et presque en un instant touts nos rangs disposés, Séparent les trois corps dont ils sont composés.
LE ROY aſſoupy & comme endormy.	LE ROY assoupi et comme endormi.
En vain dans cet excés de gloire & d’allegreſſe, Ie tâche à reſiſter au ſommeil qui me preße.	En vain dans cet excès de gloire et d'allégresse, Je tâche à résister au sommeil qui me pressée.
D.	D.
BERNARD.	BERNARD.
L’eſcadron recognu, lors que pour l’inueſtir, Noſtre auant-garde enfin commença de partir, Au meſme inſtant des arcs de ce peuple rebelle, Nous viſmes deßus nous fondre vne eſpaiße greſle, Qui tant que püt durer vn choc ſi violent, A leur temerité fut vn rampart volant:	L'escadron reconnu, lors que pour l'investir, Notre avant-garde enfin commença de partir, Au même instant des arcs de ce peuple rebelle, Nous vîmes dessus nous fondre un espaisse grêle, Qui tant que pu durer un choc si violent, À leur témérité fut un ramart volant:
Il ſemble à cet effort que nos rangs ſe ſeparent, Mais leurs traits épuiſez, nos forces ſe declarent, Et nous fondõs ſureux plus prompts que les éclairs Ne nous frappent la veuë, & ne percent les airs;	Il semble à cet effort que nos rangs se séparent, Mais leurs traits épuisez, nos forces se déclarent, Et nous fondons fureux plus prompts que les éclairs Ne nous frappent la vue, et ne percent les airs;
Le plus hardy s’effroye à ces viues alarmes, Rien ne reſiſte plus au torrent de nos armes, Et nous pauons le champ d’vn meſlange confus, De bras, de pieds, de corps, d’arcs, de traicts, & d’eſcus, Ceux enfin que la fuite a ſauuez de l’orage, A leur ville alarmée annoncent ce naufrage;	Le plus hardi s'effroie à ces vives alarmes, Rien ne résiste plus au torrent de nos armes, Et nous pavons le champ d'un mélange confus, De bras, de pieds, de corps, d'arcs, de traits, et d'écus, Ceux enfin que la fuite a sauvez de l'orage, A leur ville alarmée annoncent ce naufrage;
On s’y prepare au ſiege, on en munit le fort, Et la rebellion tente vn dernier effort;	On s'y prépare au siège, on en munit le fort, Et la rébellion tente un dernier effort;
Mais, Sire, ce Heros, ce prodige incroyable, MouAdmirable aux vainqueurs, aux vaincus effro-ſranc yable, Des ſiecles à venir, futur eſtonnement, Et de celuy qui court, la gloire & l’ornement;	Mais, Sire, ce Héros, ce prodige incroyable, MouAdmirable aux vainqueurs, aux vaincus effrosranc yable, Des siècles à venir, futur étonnement, Et de celui qui court, la gloire et l'ornement;
Pour tout comprendre enfin, le Grand Lope de Lune, Par vne inuention fameuſe, & non commune, Qu'vn Grec tenta iadis ſur l’empire Latin, A rendu vain l’effort de ce peuple mutin:	Pour tout comprendre enfin, le Grand Lope de Lune, Par un invention fameuse, et non commune, Qu'un Grec tenta jadis sur l'empire Latin, A rendu vain l'effort de ce peuple mutin:
Il ſe tire du camp, s’eſtant auec courage, Decoupé d’vn poignard, le ſein, & le viſage, L Lunc.	Il se tire du camp, s'étant ap courage, Découpé d'une poignard, le sein, et le visage, L Unc.
Le Roy dort.	Le Roi dort.
Et deſſus vn coureur, qu’il rend preſque aux abois, A leurs murs arriué, s’eſcrie à haute voix, Si chez vous la vertu peut treuuer quelque azyle, O Sardes genereux!	Et dessus un coureur, qu'il rend presque aux abois, À leurs murs arrivé, s'écrie à haute voix, Si chez vous la vertu peut trouver quelque azyle, Ô Sardes généreux,
ouurez moy voſtre ville, Si l’homme, encor pour l’hõme a quelque humanité, Sauuez moy d’vn tyran & de ſa cruauté, Onouure, à ſa requeſte;	ouvrez moi votre ville, Si l'homme, encor pour l'homme à quelque humanité, Sauvez moi d'un tyran et de sa cruauté, Onouvre, à sa requête;
il obtient audience, Et ſur l’eſprit de touts, gaigne tant de creance, Du à la teſte ſouuent de cinq ou puu tmre-eux, Nous venant faire au camp des deffis genereux, En differentes fois, il ſe feiſt des plus braues, Par noſtre intelligence, vn tel nombre d’eſclaues, Qu'enfin touts ioincts enſemble, & s’eſtant par moyens, Lo4 Pratiqué le ſecours de quelques Cytoyens, Par qui de ce ſecret ie receus le meßage, Dans les murs ennemis, ils ſe firent paßage, Et Dom Lope, s’acquiſt vn renom glorieux, Qui faict reuiure en luy l’eſclat de ſes ayeux?	il obtient audience, Et sur l'esprit de touts, gagne tant de créance, Du à la tête souvent de cinq ou pu tmre-eux, Nous venant faire au camp des défis généreux, En différentes fois, il se feist des plus braves, Par notre intelligence, un tel nombre d'esclaves, Qu'enfin touts joints ensemble, et s'étant par moyens, Lo4 Pratiqué le secours de quelques Cytoyens, Par qui de ce secret avait reçus le message, Dans les murs ennemis, ils se firent passage, Où Les Rage, ôacquît renom glorieux, Qui fait reuiure en lui éclat de ses aïeux?
LE ROY s’eſueillant.	LE ROY s'éveillant.
Que dira Dom Bernard, d’vn ſi profond ſilence?	Que dira Dom Bernard, d'un si profond silence?
De ce facheux ſommeil, ſorçons la violence:	De ce fâcheux sommeil, sorçons la violence:
Et prétons mieux l’oreille au recit des combats, De qui ſi dignement nous a preté le bras.	Et prétons mieux l'oreille au récit des combats, De qui si dignement nous a prêté le bras.
D.	D.
BERNARD.	BERNARD.
Dom Raimond de Moncade, a dans cet te victoire, Par des faits inouys éterniſé ſa gloire, Ermerne.	Dom Raimond de Moncade, a dans cet te victoire, Par des faits inouïs éternisé sa gloire, Ermerne.
LE ROY.	LE ROY.
Oriſtan, eſt ſon gouuernement.	Oristan, est son gouvernement.
D.	D.
BERNARD.	BERNARD.
Le Duc de Ribagorce a ſeruy dignement;	Le Duc de Ribagorce a servi dignement;
Et d’vn cœur indompté, ſignalé ſa vaillance.	Et d'un cœur indompté, signalé sa vaillance.
LE ROY.	LE ROY.
Saſſaris & Sora, ſeront ſa recompenſe.	Sassaris et Sora, seront sa récompense.
D.	D.
BERNARD.	BERNARD.
Pem Nugue à noſtre eſpoir fut vn notable appuy, Et d’vn bras genereux,	Pem Nugue à notre espoir fut un notable appui, Et d'un bras généreux,
LE ROY.	LE ROY.
Calaris eſt pour luy;	Calaris est pour cela;
Et vous reſtaurateur de la gloire publique, Ie vous faits Duc de Vas, & Comte de Modique;	Et vous restaurateur de la gloire publique, Je vous faits Duc de Vas, et Comte de Modique;
D.	D.
BERNARD.	BERNARD.
Uoprunmutung 5Seigneur, pour vn ſuiet ſi bas!	Uoprunmutung 5Seigneur, pour un sujet si bas!
Semes auec les mains, & ne répandés pàs;	Semes avec les mains, et ne répandez pays;
Voſtre profuſion en me chargeant, m’accàble, Et d’vn ſi lourd fardeau ma force eſt incapable.	Votre profusion en me chargeant, m'accàble, Et d'un si lourd fardeau ma force est incapable.
ER OY.	ER OY.
Ce prix me laiſſe encor la qualité d’ingrat, Et charge peu le bras qui ſouſtient tout l'Eſtat;	Ce prix me laisse encor la qualité d'ingrat, Et charge peu le bras qui soutient tout l'État;
Acheuons voſtre Cour, & paſſons chez l’Infante, Où nous conſulterons d’vne affaire importante, Pour qui voſtre retour nous arriue à propos, Et qui ne peut encor vous ſouffrir de repos;	Achevons votre Cour, et passons chez l'Infante, Où nous consulterons d'une affaire importante, Pour qui votre retour nous arrive à propos, Et qui ne peut encor vous souffrir de repos;
Touts s’en vont hormis D.	Touts s'en vont hormis D.
Lope, & Lazarille.	Lope, et Lazarille.
LAZARILLE.	LAZARILLE.
JOus auiez bien raiſon d’attendre ſa venuë, V Voila voſtre vertu dignement recognuë;	JOus aviez bien raison d'attendre sa venue, V Voila votre vertu dignement reconnue;
Voſtre credit eſt grand, on vous voit de bon œil, Et le Roy vous a fait vn fauorable acceuil;	Votre crédit est grand, on vous voit de bon œil, Et le Roi vous a fait un favorable acceuil;
Dom Bernard.	Dom Bernard.
D.	D.
LOPE.	LOPE.
Que veux-tu?	Que veux-tu?
ma raiſon elle-meſme, S’egare & m’abandonne en ce malheur extréme;	ma raison elle-même, S'égare et m'abandonne en ce malheur extrême;
Non tu n'es point pour moy, (dure fatalité!	Non tu n'es point pour moi, (dure fatalité!
Fille comme on te croit, de la neceßité;	Fille comme on te croit, de la necessité;
Elle n'eſtablit point ton ordre ineuitable, Par ton propre deſſein, tu nous es redoutable;	Elle n'établit point ton ordre inévitable, Par ton propre dessein, tu nous es redoutable;
Ma diſgrace n'eſt plus vn caprice du ſort, Tu ne me heurtes point parvn aueugle effort;	Ma disgrâce n'est plus un caprice du sort, Tu ne me heurtes point parvn aveugle effort;
Vne haine immortelle, vne inuincible rage, Vn deßein déclaré, t’obſtine à cet outrage.	Une haine immortelle, une invincible rage, Un dessein déclaré, t'obstine à cet outrage.
1- N En vain par tant d’exploits, ie m'acquiers tant de bruit, A qui tu veux du mal, tout trauail eſt ſans fruict:	1- N En vain par tant d'exploits, une m'acquiers tant de bruit, À qui tu veux du mal, tout travail est sans fruit:
Apres tant de ſoucis, i’eſpererois des roſes, Si tu ſuiuois pour moy, l’ordre commun des choſes, Mais tu l’enfrains barbare, & pour moy ſeulemẽt, Ton aueugle conduite eſt ſans aueuglement, Pour moy ſeul vn prodigue, vn genereux Monarque, Iette ſur ſon renom, vne honteuſe marque, Et ta rigueur en fait par vne iniuſte loy, D'vn Auguſte pourtouts, vn Tybere pour moy;	Après tant de soucis, j'espérerais des roses, Si tu suivais pour moi, l'ordre commun des choses, Mais tu l'enfrains barbare, et pour moi seulement, Ton aveugle conduite est sans aveuglement, Pour moi seul un prodigue, une généreux Monarque, Jette sur son renom, une honteuse marque, Et ta rigueur en fait par une injuste loi, D'un Auguste pourtouts, Tibère pour moi;
Quoy tant de grands effets, tant d’illuſtres offices, Perdent donc en monbras, le titre de ſeruices?	Quoi tant de grands effets, tant d'illustres offices, Perdent donc en monbras, le titre de services?
LAZARILLE.	LAZARILLE.
Vn malheureux enfin, a beau ſe deſoler, Beau ſe plaindre des Cieux, & beau les quereler;	Un malheureux enfin, a beau se désoler, Beau se plaindre des Cieux, et beau les quereler;
Ils verſent ſans deſſein les plaiſirs & les peines, Ils ne ſont point garands des affaires humaines, Et toute la nature en vain leur veut aider, A qui naiſt ſans honheur, rien ne peut ſucceder,	Ils versent sans dessein les plaisirs et les peines, Ils ne sont point garants des affaires humaines, Et toute la nature en vain leur veut aider, À qui naît sans honheur, rien ne peut succéder,
SCENVE V D.	SCENVE V D.
BERNARD, LE COMTE, D.	BERNARD, LE COMTE, D.
LOPE, LAZARILLE.	LOPE, LAZARILLE.
D.	D.
BERNARD embraſſant D.	BERNARD embrassant D.
Lope.	Lope.
DLuſt au ciel, cher de Lune, & ie le dis ſans T feinte, Que le ſort qui vous liure vne ſi rude atteinte, Et contre qui pour vous, touts mes ſouhaits ſont vains, Suiuiſt ſon inconſtance, & nous changeaſt de mains La diſgrace du Roy, me ſeroit moins ſenſible, Que le meſpris qu’il fait de ce bras inuincible;	DLût au ciel, cher de Lune, et ainsi le dis sans T feinte, Que le sort qui vous livre toujours si rude atteinte, Et contre qui pour vous, touts mes souhaits sont vains, Suivist son inconstance, et nous changeast de mains La disgrâce du Roi, me serait moins sensible, Que le mépris qu'il fait de ce bras invincible;
Qui ſeul dans la Sardaigne a reſtably ſes loix, Et dont vn ſceptre ſeul, peut payer les exploits.	Qui seul dans la Sardaigne a rétabli ses lois, Et dont un sceptre seul, peut payer les exploits.
D.	D.
LOPE.	LOPE.
Voſtre heur, parfait amy, vous dure autant d’années, Que m’ont duré d’inſtants mes triſtes deſtinées;	Votre heur, parfait ami, vous dure autant d'années, Que m'ont duré d'instants mes tristes destinées;
Le Roy vous depoſant les charges de l’Eſtat, Me fait iuſtice en vous, & ne m'eſt plus ingrat;	Le Roi vous déposant les charges de l'État, Me fait justice en vous, et ne m'est plus ingrat;
Q 9 Quoy qu'vne méme main vous eſleue, & m’abaiſſe, Le rebut m’en eſt doux, puis qu'elle vous careſſe;	 9 Quoi qu'une même main vous esleue, et m'abaisse, Le rebut m'en est doux, puis qu'elle vous caresse;
Et la moitié de moy qu’elle laiſſe ſi bas, Eclatte en la moitié, qui regit ſes Eſtats;	Et la moitié de moi qu'elle laisse si bas, Éclatte en la moitié, qui régit ses États;
Viuez donc d’Arragon, & l’amour & la gloire, Des plus chers fauoris effacez la memoire, Qu'aucun ſoin ne vous trouble en vos emplois nouueaux, Et Souueraindes mers, dõnez des frains aux eaux Tandis que de fortune éprouuant l’autre face, Chetif & triſte obiect d’opprobre, & de diſgrace, Ie gouſteray chez moy pour le moins le bonheur, De ſçauoir mon amy dans ce haut rang d’honneur;	Vivez donc d'Aragon, et l'amour et la gloire, Des plus chers favoris effacés la mémoire, Qu'aucun soin ne vous trouble en vos emplois nouveaux, Et Souueraindes mers, dõnez des frains aux eaux Tandis que de fortune éprouvant l'autre face, Chétif et triste objet d'opprobre, et de disgrâce, Je goûterai chez moi pour le moins le bonheur, De mi mon ami dans ce haut rang d'honneur;
Et pouuoir oppoſer à ſa rigueur extréme, Le bien qu'elle me fait en vn autre moy-meſme.	Et pouvoir opposer à sa rigueur extrême, Le bien qu'elle me fait en un autre moi-même.
D.	D.
BERNARD.	BERNARD.
Auec plus d’eſperance, épargnez ma douleur, Et croyez que ie tiens à ſenſible malheur, De pouuoir oppoſer à ſa faueur extréme, Le mal qu’elle me fait en vn autre moy-meſme.	Avec plus d'espérance, épargnez ma douleur, Et croyez que personne tiens à sensible malheur, De pouvoir opposer à sa faveur extrême, Le mal qu'elle me fait en un autre moi-même.
LE COMTE.	LE COMTE.
Il eſt vray que iamais vertu n’auoit produit, De ſi fameux ſuccés auec ſi peu de fruict, Et que d’vn art ſçauant, & d’vn pinceau fidelle;	Il est vrai que jamais vertu n'avait produit, De si fameux succès avec si peu de fruit, Et que d'H art savant, et d'un pinceau fidèle;
Dom Bernard en a fait la peinture ſi belle;	Dom Bernard en a fait la peinture si belle;
Qu'enfin ſans vous flatter, il faut qu’à ce recit, Quelque grand ſoin du Prince ait diuerti l’eſprit, Pour en auoir lai ßé la gloire ſans ſeconde, Si ſterile pour vous & pour luy ſi feconde.	Qu'enfin sans vous flatter, il faut qu'à ce récit, Quelque grand soin du Prince ait diverti l'esprit, Pour en avoir lai de la gloire sans seconde, Si stérile pour vous et pour lui si féconde.
D.	D.
LOPE.	LOPE.
Le fauorable accés qu’elle a dans vos eſprits, Me la rend trop fertile, & m’eſt vn prix ſans prix.	Le favorable accès qu'elle a dans vos esprits, Me la rend trop fertile, et m'est un prix sans prix.
D.	D.
BERNARD.	BERNARD.
Nous reuerons le Roy, la priere obſtinée, pecouc eueiquesſeusey cuino iu ueſtinée.	Nous révérons le Roi, la prière obstinée, pécouc eueiquesseusei cuin yu uestinée.
Ce vous ſera du moins vn fruict de ſon refus, Si nous n’obtenons rien, que de n’eſperer plus;	Ce vous sera du moins un fruit de son refus, Si nous n'obtenons rien, que de n'espérer plus;
Mais il repoſe, adieu.	Mais il repose, adieu.
D.	D.
LOPE.	LOPE.
Le ciel vous ſoit propice, Et me faſſe acquiter de cet heureux office!	Le ciel vous soit propice, Et me fasse acquitter de cet heureux office!
O foibleſſe!	Ô faiblesse!
ô contrainte!	ô contrainte!
indigne d’vn grand cœur, D’auoir pour la vertu recours à la faueur!	indigne d'un grand cœur, D'avoir pour la vertu recours à la faveur!
Laſche, deurois-ie encor.	Lâche, devrais-je encor.
LENVE VE D.	LENVE VE D.
LOPE, DOROTHEE à la feneſtre.	LOPE, DOROTHÉE à la fenêtre.
LAZARILLE.	LAZARILLE.
DOROTHEE luy iettant vne lettre.	DOROTHÉE était jetant une lettre.
Dom Lope, cette lettre, Qu'en voſtre propre main i’ay charge de remettre, Vous inuite à meſler du myrthe à vos lauriers, Et des ſuccés d’amour, à vos ſuccés guerriers;	Dom Lope, cette lettre, Qu'en votre propre main j'ai charge de remettre, Vous inuite à mêler du myrthe à vos lauriers, Et des succès d'amour, à vos succès guerriers;
Soyez diſcret, adieu, l'obiet qui vous l'adreſſe, Eſt d’vn rãg & d’vn ſang, digne d’vne maiſtreſſe,	Soyez discret, adieu, l'objet qui vous l'adresse, Est d'un rang et d'un sang, digne d'une maîtresse,
Elle ſort de la feneſtre.	Elle sort de la fenêtre.
D.	D.
LOPE ramaſſant la lettre.	LOPE ramassant la lettre.
Veillons nous, réuons nous?	Veillons -nous, réuons -nous?
puis-ie eſtre en meſme iour, Si mal auec le ſort, & bien auec l’amour!	puis-je être en même jour, Si mal avec le sort, et bien apprendre l'amour!
LAZARILLE.	LAZARILLE.
Non non, cet enragé vous eſtant ſi contraire, Quelle eſt la malheureuſe, à qui vous pourriez plaire?	Non non, cet enragé vous étant si contraire, Quelle est la malheureuse, à qui vous pourriez plaire?
A D.	À D.
LOPE DE LVNE.	LOPE DE LUNE.
Au voyage de Vas, où nous ſuiuions le Roy.	Au voyage de Vas, où nous suivions le Roi.
Vne ſecrette ardeur, vous engagea ma foy, Et vous ayant depuis conſerué mon hommage, Vous en veut auiourd’huy confier le ſecret, Venez ce ſoir au parc, ſeul, fidele, & diſcret, En ſçauoir dauantage.	Une secrète ardeur, vous engagea ma foi, Et vous ayant depuis conservé mon hommage, Vous en veut aujourd'hui confier le secret, Venez ce soir au parc, seul, fidèle, et discret, En savoir davantage.
Il continuë.	Il continue.
Violante:	Violante:
eſt-ce vn ſonge!	est-ce un songe!
eſt-ce vne illuſion?	est-ce une illusion?
De quoy me flattes-tu chere confuſion?	De quoi me flattes-tu chère confusion?
Violante!	Violante!
l’Infante, à mon ſuiet atteinte!	l'Infante, à mon sujet atteinte!
O glorieux meſlange & d’eſpoir & de crainte!	Ô glorieux mélange et d'espoir et de crainte!
Beau ſonge, qui promets plus que ie ne pretends, Dißipe toy bien tard, & dure moy long-temps:	Beau songe, qui promets plus que je ne prétends, Dipe toi bien tard, et dure moi longtemps:
Ie veis l’Infante à Vas, ma doute n’eſt point vai3 Des appas innocens n’accuſons plus la haine, Si de cette Princeſſe ils m’ont acquis les vœux, L’heur qu’ils m'õt procuré m’eſleue au deſſus d’eux;	Je veis l'Infante à Vas, ma doute n'est point vai3 Des appas innocents n'accusons plus la haine, Si de cette Princesse ils m'ont acquis les vœux, L'heur qu'ils m'ont procuré m'esleue au dessus d'eux;
Mais tirons nous dicy, que mon tranſport n’euente, Les ſecrets mouuemens d’vne ardeur imprudente, Qui pourroit ruiner le plus heureux eſpoir, que l'amour a mortel feiſt iamais conceuoir,	Mais tirons nous dicy, que mon transport n'évente, Les secrets mouvements d'une ardeur imprudente, Qui pourrait ruiner le plus heureux espoir, que l'amour a mortel feît jamais concevoir,
LAZARILLE le ſuiuant.	LAZARILLE le suivant.
L’Infante!	L'Infante!
ô qu’il eſt vaintô quelle extrauagance!	ô qu'il est vaintô quelle extravagance!
Tant de malheur, luy ſouffre encor tant d’arroance!	Tant de malheur, Seigneur souffre encor tant d'arroance!
Luy, l’Infante!	Lui, l'Infante!
vn moment l’auoit bien releué!	un moment l'avait bien relevé!
Cherchons, cherchons party, mon maiſtre eſt acheué.	Cherchons, cherchons parti, mon maître est achevé.
MOu.	MOu.
TITIE IIL	TITIE IIL
SUENDATDHRERE L’INFANTE, LEONOR.	SUENDATDHRERE L'INFANTE, LEONOR.
Mai L’INFANTE.	Mai L'INFANTE.
SOmteſſe, voſtre eſprit trop aiſement s’altere La plus belle vertu n’eſt pas la plus auſtere, Les regards, l’entretien de modeſtes esbats, Exercent ſa candeur & ne l'offencent pas.	SOmtesse, votre esprit trop aisément s'altère La plus belle vertu n'est pas la plus austère, Les regards, l'entretien de modestes ébats, Exercent sa candeur et ne l'offensent pas.
Si vous n’aymez l’amant, ſouffrez en la perſonne;	Si vous n'aimez l'amant, souffrez en la personne;
LEONOR.	LEONOR.
L’approche en eſt ſuſpecte auec vne Couronne, Toute honneſte qu'elle eſt, elle fait murmurer, Et ſouuent deshonore, à force d’honorer.	L'approche en est suspecte avec une Couronne, Toute honnête qu'elle est, elle fait murmurer, Et souvent déshonore, à force d'honorer.
Le Roy ne peut déplaire auec toutes les marques, Qui font conſiderer les plus parfaits Monarques:	Le Roi ne peut déplaire avec toutes les marques, Qui font considérer les plus parfaits Monarques:
Mais d’autant plus l’honneur, qu’il me fait de ſes vœux, En iette dans les cœurs, des ſentiments douteux.	Mais d'autant plus l'honneur, qu'il me fait de ses vœux, En jette dans les cœurs, des sentiments douteux.
L’INFANTE.	L'INFANTE.
Fonder ſur des ſoupçons cette rigueur extréme, Eſt bien mal ménager l’eſpoir d’vn diadéme;	Fonder sur des soupçons cette rigueur extrême, Est bien mal ménager l'espoir d'un diadème;
Il en peut faire vn iour tribut à vos appas, Ses jevreis jentimems ne s’en cioignent pas;	Il en peut faire un jour tribut à vos appas, Ses jevreis jentimems ne s'en cioignent pas;
De moindres paßions ont fait des Souueraines, Et vous eſtes d’vn ſang qui peut dõner des Reines;	De moindres passions ont fait des Souveraines, Et vous êtes d'un sang qui peut donner des Reines;
LEONOR.	LEONOR.
Quelques ſi doux attraits dont on puiſſe éclatter, Des thrônes ne ſont pas des prix à meriter.	Quelques si doux attraits dont on puisse éclatter, Des trônes ne sont pas des prix à mériter.
Le ridicule eſpoir de cet honneur inſigne, Le deuroit rebuter, & m’en rendroit indigne;	Le ridicule espoir de cet honneur insigne, Le devrait rebuter, et m'en rendrait indigne;
Mais vous ſur qui le ciel répand à pleines mains, Les treſors qu’il départ aux plus heureux humains, Et dont les ornements & du corps& de l’ame, Iettent dans touts les cœurs, le reſpect, & la flame;	Mais vous sur qui le ciel répand à pleines mains, Les trésors qu'il départ aux plus heureux humains, Et dont les ornements et du corps de l'âme, Jettent dans touts les cœurs, le respect, et la flamme;
Vous dont tout le ſangregne, & fait par tout des loix, C’eſt pour vous que l’amour a deſtiné des Rois.	Vous dont tout le sangregne, et fait par tout des lois, C'est pour vous que l'amour a destiné des Rois.
La Murcie, & Leon preſſent auec inſtance, Par leurs ambaſſadeurs, voſtre illuſtre alliance;	La Murcie, et Léon pressent avec instance, Par leurs ambassadeurs, votre illustre alliance;
Et quelque ſi haut thrône, où vous veuillez, monter Il ſera glorieux de l’heur de vous porter.	Et quelque si haut thrône, où vous veuillez, monter Il sera glorieux de l'heur de vous porter.
L’INFANTE.	L'INFANTE.
Indifferente encor ie n'épouſe perſonne, Ie laiſſe au Roy mon frere, à choiſir ma Couronne, Et quoy que de mon fort apent vraount les cieux, Ne prends que par ſes mains, ny voy que par ſes yeux;	Indifférente encor ie n'épouse personne, Je laisse au Roi mon frère, à choisir ma Couronne, Et quoi que de mon fort apent vrount les cieux, Ne prends que par ses mains, ainsi vois que par ses yeux;
LEONOR.	LEONOR.
Il m’eſt donc libre enfin de vous ouurir mon ame, Puiſque voſtre froideur autoriſe ma flame;	Il m'est donc libre enfin de vous ouvrir mon âme, Puisque votre froideur autorise ma flamme;
Et qu’encor ſans deſſein, & ſans election, Vous pouuez, a pprouuer mon inclination;	Et qu'encor sans dessein, et sans élection, Vous pouvez, a pprouver mon inclination;
Ie ne le puis nier, i’ay creu qu’en voſtre grace, Dom Bernard que i’adore, occupoit quelque place;	Je ne le puis nier, j'ai cru qu'en votre grâce, Dom Bernard que j'adore, occupait quelque place;
Et dans ce ſentiment taſchois de reprimer Le mouuement ſecret qui me force à l’aimer;	Et dans ce sentiment tâchais de réprimer Le mouvement secret qui me force à l'aimer;
Ie ſçay voſtre naiſſance & qu’en ce rang ſupréme, On ne vous peut pretendre à moins d’vn diadéme;	Je sais votre naissance et qu'en ce rang suprême, On ne vous peut prétendre à moins d'un diadème;
Mais d’ailleurs ſon bonheur à ſon meriteégal, Fait (comme par vn charme aux libertez fatal,) Preſque de touts les cœurs, des conqueſtes ſecretes, Qui me rendoient ſuppeut t'etat que vons enfaites.	Mais d'ailleurs son bonheur à son meriteégal, Fait (comme par un charme aux libertés fatal,) Presque de touts les cœurs, des conquêtes secrètes, Qui me rendaient supput t'état que vons enfaites.
Ialouſe, I'alouſe, ie tenois pour vn tribut d’amour, Le fauorable accueil qu’a trouué ſon retour;	Jalouse, J'alouse, on tenais pour un tribut d'amour, Le favorable accueil qu'a trouvé son retour;
