AIV LROLRVRO	AIV LROLRURO
Ais pourquoy demeurer ſi long temps auec elle?	Ais pourquoi demeurer si long temps avec elle?
ADRASTE.	ADRASTE.
Ma foy ie luy parlots de I'yrcu;	Ma foi quelque autre parlots de J'ircu;
FABRICE.	FABRICE.
Qu'elle eſt belle!	Qu'elle est belle!
IVLIEN.	IVLIEN.
Ie n'y voy point d’excés,	Je n'y vois point d'excès,
HELENE.	HELENE.
Cleonte, apreſtez vous, Voicy ce bel Amant dont vous eſtes jaloux.	Cléonte, apprêtez -vous, Voici ce bel Amant dont vous êtes jaloux.
FABRICE.	FABRICE.
Et faut que te t'aporde en deſpir de la crainte.	Et faut que te t'apporde en dépir de la crainte.
ADRASTE.	ADRASTE.
O Dieux!	Ô Dieux!
qu’en le voyant ie ſouffre de contrainte Voſtre preſence arreſte & mon cœur, & mon bras, Et voſtre ſeul respect empeſche ſon tresp as.	qu'en le voyant ici souffre de contrainte Votre présence arrête et mon cœur, et mon bras, Et votre seul respect empêche son trép as.
FABRICE.	FABRICE.
Comme ainſi ſoit qu’Amour ait ſubiugué mon ame Par les puiſſans attraits de vos beaux yeux, Madame, Et que par les aſſauts qu’il liure ſur mon cœur, L’omntpotent qu’il eſt ſoit demeuré vainqueur;	Comme ainsi soit qu'Amour ait subiugué mon âme Par les puissants attraits de vos beaux yeux, Madame, Et que par les assauts qu'il livret sur mon cœur, L'omntpotent qu'il est soit demeuré vainqueur;
I’ay crû qu’il me falloit (pour auoir quietude D’vn feu qui m’a ſi bien abſirait de mon eſtude) Aller droit à la cauſe, & deſintimidé, Tendre à l’obiect duquel mon mal eſt procedé:	J'ai cru qu'il me fallait (pour avoir quiétude D'un feu qui m'a si bien absirait de mon étude) Aller droit à la cause, et desintimidé, Tendre à l'objet duquel mon mal est procédé:
En fin ce Dieu qui tient ma ceruelle occupée, A pouſſé mon eſprit à faire vne Ethopée, Où i’introduis mon cœur, qui tout nauré de coups Par de ſemblables mots ſemble parler à vous.	En fin ce Dieu qui tient ma cervelle occupée, A oussé mon esprit à faire une Ethopée, Où j'introduis mon cœur, qui tout nauré de coups Par de semblables mots semble parler à vous.
Moy, cœur, mais cœur d’vn homme accrauanté de flame;	Moi, cœur, mais cœur d'un homme accravanté de flamme;
Auquel voſtre douceur peut ſeruir de Dictame, Couduit par le reſpect & la timidité, Ie viens ſolliciter voſtre affabilité.	Auquel votre douceur peut servir de Dame, Couduit par le respect et la timidité, Je viens solliciter votre affabilité.
Ie ſçay qu’en vous la grace eſt en ſon Apogée, Qu'on s’y peut abyſmer comme en la mer Ægée, Et Piconque voudroit comprendre vos appas Comme vn autre Icarus il tresbucheroit bas.	Je sais qu'en vous la grâce est en son Apogée, Qu'on s'y peut abîmer comme en la mer Ægée, Et Piconque voudrait comprendre vos appas Comme un autre Icarus il trèsbucherait bas.
IVLIEN.	IVLIEN.
Comme ainfi ſoit, non, non.	Comme ainsi soit, non, non.
Pleuſt à Dieu que noſtre ame, Que nos corps ont receu pour leur forme, Madame Il interrõpt ſon Maiſtre.	Plût à Dieu que notre âme, Que nos corps ont reçu pour leur forme, Madame Il interront son Maître.
Nos corps, dis-ie, où l’on voit que la main du tresbaut A voulu façonner des œuures ſans defaut:	Nos corps, dis-je, où l'on voit que la main du très BELLE voulu façonner des œuvres sans défaut:
Que noſtre ame immortelle, indiuiſible, entiere, Particule des Cieux, exempte de matiere, Et dont les fonctions qui nous donnent la Loy Ont de l’independance à tout autre qu’à ſoy, Fuſt, comme on m’a conté que iadis Promethée Auoit voulu la voir dedans nos corps entée.	Que notre âme immortelle, indivisible, entière, Particule des Cieux, exempte de matière, Et dont les fonctions qui nous donnent la Loy Ont de l'indépendance à tout autre qu'à soi, Fût, comme on m'a conté que iadis Promethée Avait voulu la voir dedans nos corps entée.
Mais, me dira quelqu’vn, Heſiode eſt autheur Que ce n’eſtoit plus l’ame, ains que c’efloit le cœur;	Mais, me dira quelqu'âme, Hésiode est autheur Que ce n'était plus l'âme, ains que c'eflait le cœur;
Et que par conſequent:	Et que par conséquent:
à quoy ie puis reſpondre, Que la Metaphyfique a dequoy le confondre, Et qu’on ſçait que le cœur pour en bien diſcourir, Eſt le premier à viure & dernier à mourir;	à quoi assez puis répondre, Que la Métaphyfique a dequoy le confondre, Et qu'on sait que le cœur pour en bien discourir, Est le premier à vivre et dernier à mourir;
Que le cerueau, le foye, & ce qu’on voit paroiſtre Quand l’artere.	Que le cerveau, le foie, et ce qu'on voit paraître Quand l'artère.
ouy croyez que l’amour de mon Maiſire Eſt plus grande auiourd’huy qu’elle ne fut iamais.	ou croyez que l'amour de mon Maisire Est plus grande aujourd'hui qu'elle ne fut jamais.
FABRICE.	FABRICE.
Iuliane tace, ſilence deſormais, Si plus tu m’interromps par tes dicts ridicules I’vſeray ſur tes doigts plus de quatre ferules.	Juliane tace, silence désormais, Si plus tu m'interromps par tes dicts ridicules J'userai sur tes doigts plus de quatre férules.
IVLIEN.	IVLIEN.
Domine i’obtempere.	Domine j'obère.
FABRICE.	FABRICE.
Or pour continüer, Sçache que mon amour ne peut diminiler, Et vous conſiderant dans le point où vous eſtes, L’on vous peut nuncuper parfaite des parfaites, Cupide des vertus, amatrice de foy, Benigne autant que Beile, & t'eſt außi pourquo;	Or pour continuer, Sache que mon amour ne peut diminiler, Et vous considérant dans le point où vous êtes, L'on vous peut nuncuper parfaite des parfaite, Cupide des vertus, amatrice de foi, Ben autant que Beile, et t'est aussi pourquo;
I’ay creu que pour tollir le mal qui me poſſede Il m’eſtoit bien decent d’y chercher du remede.	J'ai cru que pour tollir le mal qui me possède Il m'était bien décent d'y chercher du remède.
HELENE.	HELENE.
Fabrice voſtre mal n’a pas trouué ſa fin, Quoy vous me prenez donc pour quelque Medecint Vous me cogneiſſez mat te n'en ay pas la mine.	Fabrice votre mal n'a pas trouvé sa fin, Quoi vous me prenez donc pour quelque Médecint Vous me cogneissez mat te n'en ai pas la mine.
ADRASTE.	ADRASTE.
L’excellente reſponce!	L'excellente réponse!
HELENE.	HELENE.
Et de plus ie deſtine Pour vn Pour vn bomme mieux fait que celuy que ie voy Ma beauté, ma douceur, mes paßions & moy.	Et de plus grands destine Pour un Pourmme fait mieux fait que celui que tu vois Ma beauté, ma douceur, mes passions et moi.
Voyant comme il me parle & comme il me reſpecte, Elle dit Damom qu’il a pour moy vous eſt-elle ſuſpecte?	Voyant comme il me parle et comme il me respecte, Elle dit Damom qu'il a pour moi vous est-elle suspecte?
ces trois C’eſt pour vous detromper que ie le traite ainfi.	ces trois C'est pour vous détromper que sans le traite ainsi.
ADRASTE.	ADRASTE.
Vous m'obligez beaucoup mon vnique ſoucy.	Vous m'obligez beaucoup mon unique souci.
TADRICL.	TADRICL.
O cœur adamantin!	Ô cœur adamantin!
HECENC.	HÉCENC.
Mais oyons ſen reproche.	Mais oyons sen reproche.
FABRICE.	FABRICE.
Cœur mille fois plus dur & plus froi dqu'vne roche, Cœur que mes tiedes pleurs n’ont pû mollifier, Cœur que mes chauds ſouſpirs n’ont pût calefier;	Cœur mille fois plus dur et plus froi d'une roche, Cœur que mes tièdes pleurs n'ont pu mollifier, Cœur que mes chauds soupirs n'ont pût calefier;
Quoy tn meſpriſeras mon amitié, éeſte?	Quoi t mépriseras mon amitié, éeste?
Quoy ta rigueur pour moy ſera ſempiternelle?	Quoi ta rigueur pour moi sera sempiternelle?
Amour que ie tolere au milieu de ce ſein, Peus tu uien fouosſigner a tt truerueſſein?	Amour que ici tolère au milieu de ce sein, Peus tu yen fouossigner a tt trueruessein?
Peus tu bien conſentir que pour cette inſenſible, Mupirtœur joit paporr mille fois plus qu'vn crible?	Peu tu bien consentir que pour cette insensible, Mupirtœur jait paporr mille fois plus qu'un crible?
Ouy comme quand Phœhus eſt deſſous l’horiſen.	Oui comme quand Phœhus est dessous l'horisen.
HELENE.	HELENE.
Ie hay dans le diſcours vne comparaiſon.	Je hais dans le discours une comparaison.
FABRICE.	FABRICE.
Vne comparaiſon n'eſt pas vne Hyperbole;	Une comparaison n'est pas une Hyperbole;
Ie m’allous expliquer par vne Parabole:	Je m'allous expliquer par une Parabole:
Mau ie m'en vay parler tout d’vne autre façon.	Mau avait m'en vais parler tout d'une autre façon.
HELENE.	HELENE.
Le craignez vous encor?	Le craignez -vous encor?
ADRASTE.	ADRASTE.
Ie n’ay plus de ſoupçon.	Je n'ai plus de soupçon.
FABRICE.	FABRICE.
Pour exciter en nous vne maſle aſſeurance, Iadis on ſouloit dire vne graue ſentence;	Pour exciter en nous une mâle assurance, Jadis on soûlait dire une grave sentence;
Ie l’ay meſme ctotée encores ce matin Audaces fortuna.	Je l'ai même ctotée encores ce matin Audaces fortuna.
Adieu.	Adieu.
HELENE.	HELENE.
Vous me parlez Latin?	Vous me parlez Latin?
TROISIESME.	TROISIÈME.
IVLIEN, FABRICE, ADRASTE.	IVLIEN, FABRICE, ADRASTE.
IVLIEN.	IVLIEN.
Voy megriſtr vn Docteur de la forte?	Vois megristr un Docteur de la forte?
Quelle ingrate fureur vous point & vous tranſporte?	Quelle ingrate fureur vous point et vous transporte?
Quel demon ennemy de ſa capacité Suggere à voſtre eſprit l’inſenſibilité	Quel démon ennemi de sa capacité Suggère à votre esprit l'insensibilité
FABRICE.	FABRICE.
Me quitter?	Me quitter?
me quitter alors que ie l'aborde?	me quitter alors que ici l'aborde?
Et de plus commençant ſeulement mon Exorde?	Et de plus commençant seulement mon Exorde?
ec pomnt peurep onffant pour me deſeſperer, Ie ſuis trop iracond außi pour l’endurer.	Oec pomnt peurep onffant pour me désespérer, Je suis trop iracond aussi pour l'endurer.
O uy ouy, quand tu ſerois le Rhodien Coloſſe Ie me vangerous bien de cette iniure atroce, Ma plume eſt ſuſiſante à te faire ſentir Le tædieux tourment d'vn tuſte repentir;	Ô Oui oui, quand tu serais le Rhodien Colosse Je me vengerous bien de cette injure atroce, Ma plume est susisante à te faire sentir Le tædieux tourment d'un tuste repentir;
Elle te nommera plus legere qu’Eole, Te dita que mon cœur n’eſt plus dans ta geole, Qu’il eſt guery du mal qui l’auoit abatu, Et qu’il n’a du prurit que pour Dame Vertu.	Elle te nommera plus légère qu'Éole, Te dita que mon cœur n'est plus dans ta geôle, Qu'il est guéri du mal qui l'avait abattu, Et qu'il n'a du prurit que pour Dame Vertu.
IVLIEN.	IVLIEN.
Il eſt vray qu’elle a tort.	Il est vrai qu'elle a tort.
ADRASTE.	ADRASTE.
Et pour moy ie confeſſe Que ie ne puis aſſez admirer)a auije, Et dois beaucoup haïr ſon peu de iugement De n’auoir pû ſouffrir vn diſcours ſi charmant.	Et pour moi ici confesse Que je ne puis assez admirer) aujà,Net ais beaucoup haïr son peu de jugement De n'avoir pu souffrir un discours si charmant.
IVLIEN.	IVLIEN.
O le facond Exorde!	Ô le facond Exorde!
FABRICE.	FABRICE.
Où i'allois luy depeindre Mon feu comme il eſtoit, mais que ie ſens s’eſleindre, Et qui ne doit iamais ardre dedans mon ſein,	Où j'allais Seigneur dépeindre Mon feu comme il était, mais que je sens s'éleindre, Et qui ne doit jamais ardre dedans mon sein,
ADRASTE.	ADRASTE.
Vous auez trop d’amour pour auoir ce deſſein:	Vous avez trop d'amour pour avoir ce dessein:
Vn ſi petit meſpris auroit trop de puiſſance S’il ruinoit ainſi voſtre perſeuerance.	Un si petit mépris aurait trop de puissance S'il ruinait ainsi votre persévérance.
IVLIEN.	IVLIEN.
n ſeul trait d’œil ſe a reuoquer cet arreſt.	n seul trait d'œil se a révoquer cet arrêt.
ADRASTE.	ADRASTE.
Helene à ſon abord.	Hélène à son abord.
FABRICE.	FABRICE.
Cleonte ratum eſt Et de quelques attraits dont elle ſoit doïée Mon cœur eſt penitent de l’auoir trop loüée, Ie ſens qu'il s’affrancou, & que tanotinre, A fait tourner le dos à la captiuité.	Cléonte ratum est Et de quelques attraits dont elle soit doïée Mon cœur est pénitent de l'avoir trop louée, Je sens qu'il s'affrancou, et que totinre, A fait tourner le dos à la captivité.
ADRASTE.	ADRASTE.
Mais voſtre affection n’eſtoit donc pas bien forSi ce foible incident la dißipe & l’emporte.	Mais votre affection n'était donc pas bien forSi ce faible incident la dissipe et l'emporte.
FABRICE.	FABRICE.
Ie la ſentirois extreſme, & vous puis afſirmer Que ſes yeux (vrais brandons qui ſceurent m'enflammer) Auec autant d’ardeur embraſerent mon ame, Que ceux leſquels jedis conſommerent Pergame.	Je la sentirais extrême, et vous puis afsirmer Que ses yeux (vrais brandons qui scurent m'enflammer) Avec autant d'ardeur embrasèrent mon âme, Que ceux lesquels jedis consommèrent Pergame.
Mon eſprit obſedé croyoit tous ſes regards Pus forts que Myrmidons, ou Dolopes ſoudars.	Mon esprit obsédé croyait tous ses regards Pus forts que Myrmidons, ou Dolopes soudars.
Mais ſans continuer cette ſimilitude Ie dis briefuement qu’vn traitement ſi rude, Ioint au dernier effet qu’à produit ſa rigueur A mitigé le feu qui moleſtoit mon cœur.	Mais sans continuer cette similitude Je dis briefuement qu'un traitement si rude, Joint au dernier effet qu'à produit sa rigueur A mitigé le feu qui molestait mon cœur.
IVLIEN.	IVLIEN.
Ortarrefme bon-beur que vient de perdre Helene!	Ortarrefâme bon-beur que vient de perdre Hélène!
ADRASTE.	ADRASTE.
Lers que ie la verray.	Lers que ici la verrai.
FABRICE.	FABRICE.
N’en prenez point la peine, Car moy-meſme aujourd' huy la veux certiorer, Que ſi iamais pour elle on m’entend ſouſpirer Ie veux qu’on me relegue aux confins de là Saxe, Ie veux terteuenir Precepteur de Syntaxe;	N'en prenez point la peine, Car moi-même aujourd' hui la veux certiorer, Que si jamais pour elle on m'entend soupirer Je veux qu'on me relègue aux confins de là Saxe, Je veux terteuenir Précepteur de Syntaxe;
Et pour faire vn ſerment dont oncques on n’vſa, Ie veux qu’on me ferule, & raprendre Muſa, Moy qui monſtre en huict iours tout le traicté des Cauſes	Et pour faire un serment dont oncques on n'usa, Je veux qu'on me férule, et rapprendre Musa, Moi qui montre en huit jours tout le traité des Causes
ADRASTE ſeul.	ADRASTE seul.
Que le ſort à mon gré diſpoſe mal des choſes Puiſque tous les plaiſirs qu’il nous fait esperer.	Que le sort à mon gré dispose mal des choses Puisque tous les plaisirs qu'il nous fait espérer.
Ou n’arriuent iamais, ou ne peuuent durer.	Ou n'arrivent jamais, ou ne peuvent durer.
Il m’auoit fait heureux parlant à ma Maiſtreſſe, Son diuin entretien banniſſoit ma trijejje, Quand Helene importune à mon contentement Eſt venuë interrompre vn diſcours ſi charmant, Et pour accroiſire encor me peine & mon ſupplice, Il a fallu le ſuiure, & parler à Fabrice.	Il m'avait fait heureux parlant à ma Maîtresse, Son divin entretien bannissait ma trijejje, Quand Hélène importune à mon contentement Est venue interrompre un discours si charmant, Et pour accroisire encor me peine et mon supplice, Il a fallu le suivre, et parler à Fabrice.
Mais enfin mon esprit peut reſver à loyfir A l'objet de ma ioye & de mon deſplaiſir.	Mais enfin mon esprit peut rêver à loisir A l'objet de ma joie et de mon déplaisir.
Chere Eliſe il eſt vray que mon cœur ſe partage, Qu’il ſent en meſme temps & le calme & l’orage, Et qu’il voit tout d’vn coup la tempeſie & le port En voyant ton amour & la rigueur du ſort, Mille obſtacles diuers d'vne iniuſle inſolence Trauerſent mon deſſein.	Chère Élise il est vrai que mon cœur se partage, Qu'il sent en même temps et le calme et l'orage, Et qu'il voit tout d'un coup la tempésie et le port En voyant ton amour et la rigueur du sort, Mille obstacles divers d'une injusle insolence Traversent mon dessein.
L’importune preſeuce?	L'importune préseuce?
CLORIS.	CLORIS.
Et homme eſt à mon traiſtre, il faut l’entretenir.	Et homme est à mon traître, il faut l'entretenir.
Ie ne demande point d’où vous pounez venir Et l'amour de Tyrcis me fait aſſez cognoiſtre Qu'on vient de vifiter celle qui le fait naiſtre.	Je ne demande point d'où vous pougnez venir Et l'amour de Tircis me fait assez connaître Qu'on vient de visiter celle qui le fait naître.
AURASTE.	AURASTE.
Ouy Monſieur i'en ſortis.	Oui Monsieur j'en sortis.
CLORIS.	CLORIS.
Et ce cœur rigoureux Deſdaigne-t’il encor ſon amour & ſes veux?	Et ce cœur rigoureux Dédaigne-t-il encor son amour et ses veux?
Que vous a t'elle-dit?	Que vous a t'-elle-dit?
ADRASTE.	ADRASTE.
Rien qui le fatisface,	Rien qui le fatisface,
CLORIS.	CLORIS.
Ie meure elle a bien tort, ſi i’eſlois en ſa place, Et ſi Tyrcis vouloit adorer mes appas, Mon cœur comme le ſien ne reſiſteroit pas;	Je meure elle a bien tort, si j'élois en sa place, Et si Tircis voulait adorer mes appas, Mon cœur comme le sien ne résisterait pas;
D’vn peu d’ingratitude vn tel mespris l’accuſe:	D'un peu d'ingratitude un tel mépris l'accuse:
Peut-eſtre bien qu’außi moy meſme ie m’abuſe, Et qu’ils s’ayment tous deux, mais à condition De caeuen te ueffein de leur affection:	Peut-être bien qu'aussi moi Seigne ur m'abuse, Et qu'ils s'aiment tous deux, mais à condition De cauen te éveffein de leur affection:
Ouy, puis qu’il faut tenir leur amitié ſecrette Ma curioſité ſera mal ſatisfaite.	Oui, puis qu'il faut tenir leur amitié secrète Ma curiosité sera mal satisfaite.
ADRASTE.	ADRASTE.
Ie vous iure monſieur.	Je vous jure monsieur.
CLORIS.	CLORIS.
Cleonte, ie ſçay bien Que vous n’eſtes pas homme à m’en apprendre rien:	Cléonte, Seigneur à bien Que vous n'êtes pas homme à m'en apprendre rien:
S’il deſire tantoſt ſe rencontrer chez elle, Nous pourrons commencer noſtre amitié nouuelle:	S'il désire tantôt se rencontrer chez elle, Nous pourrons commencer notre amitié nouvelle:
Ie bruſle de deſir deſire counatie ly.	Je brûle de désir désire counatie li.
ADRA.	ADRA.
4 4 σιι0.	4 4 σιι0.
c̓ιια σιιασιίο cloclσίο oε υoo d e e 3 4 *F	c̓ιια σιιασιίο cloclσίο ô été d d ès 3 4 *F
ADRASTE.	ADRASTE.
Lt troy uont qu'it auta te vonaneur aufourd'huy.	Lt trois ouvont qu'it auta te vonaneur aufourd'hui.
9 2 ALEVT CINQVIESME.	9 2 ALEUT CINQUIÈME.
CLORIS ſeule.	CLORIS seule.
Anniſſons cette peur qui nous a retenuë, Reſoluons nous enfin de paroiſtre à ſa veuë Et voyons ce Tyrcis, ce traiſtre que mon cœur Tout offencé qu’il eſt recogneiſt pour vainqueur.	Hannissons cette peur qui nous a retenue, Résoluons nous enfin de paraître à sa vue Et voyons ce Tircis, ce traître que mon cœur Tout offensé qu'il est recogneist pour vainqueur.
Ma rage à ce moment gardez-vous de paroiſtre:	Ma rage à ce moment gardez-vous de paraître:
Euitons, s’il ſe peut, les ſoupçons de ce traiſtre:	Éviterons, s'il se peut, les soupçons de ce traître:
Feignons d’aimer Eliſe, & qu’vn meſme deſſein, Vers vn meſme ſujet nous eſchauffe le ſein:	Feignons d'aimer Élise, et qu' même dessein, Vers un même sujet nous échauffe le sein:
Mais que de toutes parts mon ame eſt à la geſne!	Mais que de toutes parts mon âme est à la gêne!
Si l’amour la paſſede, elle eſcoute la haine, Et mon cœur partagé par ces deux paßions Ne ſçait à qui donner ſes inclinations.	Si l'amour la passede, elle écoute la haine, Et mon cœur partagé par ces deux passions Ne sait à qui donner ses inclinations.
Puiſſant demon de la nature, Amour qui fais ma paßion, Laiſſes-tu ſans punition, L’inconftance de ce pariure?	Puissant démon de la nature, Amour qui fais ma passion, Laisses-tu sans punition, L'inconstance de ce parjure?
Tyrcis que tu ſceus m’engager, Malgré toy ma voulu changer, Et ſon ame ingratte & rebelle.	Tircis que tu su m'engager, Malgré toi ma voulu changer, Et son âme ingrate et rebelle.
Sans ſonger aux ſermens qu’elle iuroit par toy Bruſle d’vn flame nouuelle, Et me priue d’vn cœur qui n’appartient qu’à moy.	Sans songer aux serments qu'elle jurait par toi Brûle d'une flamme nouvelle, Et me prive d'un cœur qui n'appartient qu'à moi.
Sans eſcouter ce que la honte, Peut reprocher à ma raiſon, Ie viens rechercher ma priſon, Et l’ennemy qui me ſurmonte.	Sans écouter ce que la honte, Peut reprocher à ma raison, Je viens rechercher ma prison, Et l'ennemi qui me surmonte.
Afin de le mieux iiniter, Son amour m’oblige a quitter, Ma commune façon de viure:	Afin de le mieux jiniter, Son amour m'oblige a quitter, Ma commune façon de vivre:
Ce deſſein toutefois ne doit pas l’eſtonner, Si ie change c’eſt pour le ſuiure, Et luy s’il a changé c’eſt pour m’abandonner.	Ce dessein toutefois ne doit pas l'étonner, Si tu change c'est pour le suivre, Et toujours s'il a changé c'est pour m'abandonner.
Pourray-je bien voir ce perfide Adorant les yeux qui l’ont pris, Ne reſpondre à tous leurs meſpris Que d’vn reſpect laſche & timide?	Pourrai-je bien voir ce perfide Adorant les yeux qui l'ont pris, Ne répondre à tous leurs mépris Que d' respect lâche et timide?
Ouy l’on diroit pour mon ſujet Que ce ſuperbe & rare objet, Le traitte auec indifference;	Oui l'on dirait pour mon sujet Que ce superbe et rare objet, Le traite avec indifférence;
Mais on diroit außi que ce perfide amant, Eſt pour elle tout de conſtance, Et qu’il n’eſt inconſtant que pour moy ſeulement.	Mais on dirait aussi que ce perfide amant, Est pour elle tout de constance, Et qu'il n'est inconstant que pour moi seulement.
Enfin mes flames ſont punies:	Enfin mes flammes sont punies:
Enfin les deſtins font bien voir L’inſolence de leur pouuoir, Et l’effet de leurs tyrannies;	Enfin les destins font bien voir L'insolence de leur pouvoir, Et l'effet de leurs tyrannies;
Leur iniuſtice, mes ſoucis, La colere, l’amour, Tyrcis, Ont tous vn effort qui m’emporte;	Leur injustice, mes soucis, La colère, l'amour, Tircis, Ont tous un effort qui m'emporte;
O Dieux!	Ô Dieux!
ſe peut-il bien que vous ayez permis, Que contre vne ame ſi peu forte On ait tant ſuſeité de ſi forts ennemis?	se peut-il bien que vous ayez permis, Que contre une âme si peu forte On ait tant suseité de si forts ennemis?
	
AE SIXIESME.	AE SIXIÈME.
ELISE, HELENE.	ÉLISE, HELENE.
3 ELISE.	3 ÉLISE.
Epuis cinq où ſix iours touſiours auec Cleonte?	Epuis cinq où six jours toujours avec Cléonte?
& A mon gré cette Amour me ſemble vn peu bien prompte:	et ET mon gré cette Amour me semble un peu bien prompte:
Vous ayme-t’il außi?	Vous aime-t-il aussi?
HELENE.	HELENE.
S’il m’ayme?	S'il m'aime?
He!	He!
pourquoy non?	pourquoi non?
Quoy n’ay-ie pas encor le viſage aſſez bon?	Quoi n'ai-je pas encor le visage assez bon?
Et pour eſtre vn peu vieille en ſuis-ie moins aymable?	Et pour être un peu vieille en suis-je moins aimable?
ELISE.	ÉLISE.
Ouy, mais Cleonte & vous n’auez rien de ſemblable:	Oui, mais Cléonte et vous n'avez rien de semblable:
Voſtre esprit & le ſien, ſa ienneſſe & vos ans, N’ont point de ſympathie, & ſont fort affferents.	Votre esprit et le sien, sa iennesse et vos ans, N'ont point de sympathie, et sont fort afférents.
HELENE.	HELENE.
C'eſt enquoy l'on peut voir ſi i’ay de la puiſſance.	C'est enquoy l'on peut voir si j'ai de la puissance.
Vous ſçauez que l’amour vient de la reſſemblance, Et qu’afin que deux cœurs s’aiment parfaitement Il faut qu’vn meſme inſtinct le pouſſe eſgale ment;	Vous savez que l'amour vient de la ressemblance, Et qu'afin que deux cœurs s'aiment parfaitement Il faut qu'un même instinct le pousse égale ment;
Or quoy que mon esprit ait vn grand aduantage Sur l’esprit de Cleonte à cauſe de mon aage;	Or quoi que mon esprit ait un grand avantage Sur l'esprit de Cléonte à cause de mon âge;
Ie ſçay comme il me faut accommoder au fien, Car pour les rendre eſgaux, i’abaiſſe vnpeu le mien, I'empeſche ou ie retiens ſon effort ordinaire, Ie faus que ſon araeur ſe laſche ou ſe modere, Et me priuant vn peu de ma viuacité, I’ajuſte mes diſcours à ſa capacité.	Je sais comme il me faut accommoder au sien, Car pour les rendre égaux, j'abaisse unpeu le mien, J'empêche ou ainsi retiens son effort ordinaire, Je faus que son araeur se lâche ou se modère, Et me privant un peu de ma vivacité, J'ajuste mes discours à sa capacité.
Vom vous efiunnerlez arpuurqau me viſite, Comme inſenfiblement ce ieune Amant profite, Et comme en peu de temps ſa rudeſſe a changé.	Vom vous éfiunnerlez arpuurqau me visite, Comme insensiblement ce jeune Amant profite, Et comme en peu de temps sa rudesse a changé.
ELISE.	ÉLISE.
Ce ſeroit voſtre fait s’il eſtoit plus aagé.	Ce serait votre fait s'il était plus aagé.
HELENE.	HELENE.
Et c'eſt comme ie l’ayme.	Et c'est comme cela l'aime.
ELISE.	ÉLISE.
Au contraire i'eſtime Que voſtre choix ſeroit vn peu plus legitime, Et que vous aimeriez, beaucoup plus ſagement S’il eſtoit plus aagé de dix ans ſeulement, Et qu’auec ces dix ans l’ordre des deſlinées Pour les luy redonner vous oſtaſt quinze années.	Au contraire j'estime Que votre choix serait un peu plus légitime, Et que vous aimeriez, beaucoup plus sagement S'il était plus aagé de dix ans seulement, Et qu'avec ces dix ans l'ordre dé deslinées Pour les lui redonner vous ôtât quinze années.
Car Helene, apres tout, confiderez vn peu, Quels ſont les mouuemens de voſtre aueugle feu, Voyez ſi voſtre eſprit n’a pas de la folie:	Car Hélène, après tout, considérez un peu, Quels sont les mouvements de votre aveugle feu, Voyez si votre esprit n'a pas de la folie:
La trame de vos iours s’en va preſque faillie, Vous n’auez plus peut-eſtre à viure qu’vn moment, Et vou vouiex encor auoir vn teune amant, Il vous deuroit au moins traitter comme ſa mere.	La trame de vos jours s'en va presque faillie, Vous n'avez plus peut-être à vivre qu'un moment, Et vou vouiex encor avoir un teune amant, Il vous devrait au moins traiter comme sa mère.
HELENE.	HELENE.
S’il me traictoit ainſi ie ſerois en colere, Ie prendrois ſon reſpect pour vn manque d’amour, De ſon peu d’amitié i’entretiendrois la Cour, Ie montrerois ſon foible aux yeux de tout le monde, Ie dirois qu’à ſa mine il n’a rien qui reſponde, Et qu’il me priueroit d’vn droit qui m’appartient:	S'il me traitait ainsi femme serais en colère, Je prendrais son respect pour un manque d'amour, De son peu d'amitié j'entretiendrais la Cour, Je montrerais son faible aux yeux de tout le monde, Je dirais qu'à sa mine il n'a rien qui réponde, Et qu'il me priverait d'un droit qui m'appartient:
Mais quelque fort attrait tout d’vn coup me retient, Pardonne, cher Cleonte, à la peur qu’on me donne, C’eſt bien iniuſtement que mon cœur te ſoupçonnt;	Mais quelque fort attrait tout d'un coup me retient, Pardonne, cher Cléonte, à la peur qu'on me donne, C'est bien injustement que mon cœur te soupçonnt;
Apres tant de ſerments de ta fidelité, Pourrous-ie encor auoir de l’incredulité?	Après tant de serments de ta fidélité, Pourrous-je encor avoir de l'incredulité?
ELISE.	ÉLISE.
Il a donc de l’amour plus qu’il n’en fait paroiflre?	Il a donc de l'amour plus qu'il n'en fait paroiflre?
HELENE.	HELENE.
Il me le fait ſçauoir, a moy qui l'ay fait naiſtre, C’eſt aſſez.	Il me le fait savoir, à moi qui l'ai fait naître, C'est assez.
ELISE.	ÉLISE.
Man comment vous le teſmoigne-t’il?	Man comment vous le témoigne-t-il?
HELENE.	HELENE.
Ie voy qu’à mon abord cet amant peu ſubtil, Ne ſçauroit tmpeſcher que ſon cœur ne ſouſpire, Apres tout rauy d’aiſe il ſe paſme de rire, Et dans le meſme inſtant deuenu ſerieux Il commence à loüer ou ma bouche, ou mes yeux, Il admire ma grace, il me dit que ſon ame Ne pouuoit s’embraſer d’vne plus belle ſlame:	Je vois qu'à mon abord cet amant peu subtil, Ne saurait tmpescher que son cœur ne soupire, Après tout ravi d'aise il se pâme de rire, Et dans le même instant devenu sérieux Il commence à louer ou ma bouche, ou mes yeux, Il admire ma grâce, il me dit que son âme Ne pouvait s'embraser d'une plus belle slâme:
Bref par ſes actions ie cognoy clairement Que ce cœur amoureux m’aime fidellement.	Bref par ses actions ici connais clairement Que ce cœur amoureux m'aime fidèlement.
