TREIACI	TREICI
Vous liſez de trop loin dans les ſecrets des Dieux.	Vous lisez de trop loin dans les secrets des Dieux.
Moy je m’arreſterois à de vaines menaces?	Moi je m'arrêterais à de vaines menaces?
Et je fuirois l’honneur qui m’attend ſur vos traces a Les Parques à ma Mere, il eſt vray, l’ont predit, Lors qu’un Epoux mortel fut receû dans ſon lit.	Et je fuirais l'honneur qui m'attend sur vos traces a Les Parques à ma Mère, il est vrai, l'ont prédit, Lors qu'un Époux mortel fut reçu dans son lit.
Je puis choiſir, dit-on, ou beaucoup d’ans, ſans gloire, Ou peu de jours ſuivis d’une longue memoire.	Je puis choisir, dit-on, ou beaucoup d'ans, sans gloire, Ou peu de jours suivis d'une longue mémoire.
Mais puis qu’il faut enfin que j’arrive au tombeau, Voudrois-je, de la Terre inutile fardeau, Trop avare d’un ſang receû d’une Déeſſe, Attendre chez mon Pere une obſcure vieilleſſe, Et toûjours de la Gloire évitant le ſentier, Ne laiſſer aucun nom, & mourir tout entier?	Mais puis qu'il faut enfin que j'arrive au tombeau, Voudrais-je, de la Terre inutile fardeau, Trop avare d'un sang reçu d'une Déesse, Attendre chez mon Père une obscure vieillesse, Et toujours de la Gloire évitant le sent, Ne laisser aucun nom, et mourir tout entier?
Ah!	Ah!
Ne nous formons point ces indignes obſtacles.	Ne nous formons point ces indignes obstacles.
I’Honneur parle, il ſuffit, ce ſont là nos Oracles.	J'Honneur parle, il suffit, ce sont là nos Oracles.
Les Dieux ſont de nos jours les maiſtres ſouverains Mais, Seigneur, noſtre gloire eſt dans nos propres mains.	Les Dieux sont de nos jours les maîtres souverains Mais, Seigneur, notre gloire est dans nos propres mains.
Pourquoy nous tourmenter de leurs ordres ſuprémes, Ne ſongeons qu’à nous rendre immortels comme eux meſmes, Et laiſſant faire au Sort, courons où la valeur Nous promet un deſtin auſſi grand que le leur.	Pourquoi nous tourmenter de leurs ordres suprêmes, Ne songeons qu'à nous rendre immortels comme eux -mêmes, Et laissant faire au Sort, courons où la valeur Nous promet un destin aussi grand que le leur.
C’eſt à Troye, & j’y cours.	C'est à Troie, et j'y cours.
Et quoy qu’on me prédiſe, Je ne demãde aux Dieux, qu’un vent qui m’y conduiſe Et quand moy ſeul enfin il faudroit l’aſſieger, Patrocle & moy, Seigneur, nous irons vous vanger.	Et quoi qu’on me prédise, Je ne demande aux Dieux, qu'un vent qui m'y conduise Et quand moi seul enfin il faudrait l'assiéger, Patrocle et moi, Seigneur, nous irons vous venger.
Mais non, c’eſt en vos mains que le Deſtin la livre.	Mais non, c'est en vos mains que le Destin la livre.
Je n’aſpire en effet qu’à l’honneur de vous ſuivre, Je ne vous preſſe plus d’approuver les tranſports D’un amour, qui m’alloit éloigner de ces bords:	Je n'aspire en effet qu'à l'honneur de vous suivre, Je ne vous presse plus d'approuver les transports D'un amour, qui m'allait éloigner de ces bords:
Ce meſme amour ſoigneux de voſtre Renommée Vuieiqm lej hioir endimpie cimlourue Phlimiée, Et me défend ſur tout de vous abandonner Aux timides conſeils qu’on oſe vous donner.	Ce même amour soigneux de votre Renommée Vuieqm lejà hioir endimpie cimlourve Phlimiée, Et me défend sur tout de vous abandonner Aux timides conseils qu'on ose vous donner.
SCENE III.	SCÈNE III.
AGAMEMNON, ULYSSE.	AGAMEMNON, ULISSE.
ULYSSE.	ULISSE.
Figneur, vous entendez.	Figneur, vous entendez.
Quelque prix qu’il en O coute Il veut voler à Troye & pourſuivre ſa route.	Quelque prix qu'il en Ô coute Il veut voler à Troie et poursuivre sa route.
Nous craignions ſon amour.	Nous craignions son amour.
Et lui meſme aujourd’hui Par une heureuſe erreur nous arme contre lui,	Et lui -même aujourd'hui Par une heureuse erreur nous arme contre lui,
Helas!	Hélas!
AGAMEMNON.	AGAMEMNON.
ULYSSE.	ULISSE.
De ce ſoûpir que faut-il que j’augure?	De ce soupir que faut-il que j'augure?
Du ſang qui ſe revolte eſt-ce quelque murmure?	Du sang qui se révolte est-ce quelque murmure?
Croiray-je qu’une nuit a pû vous eſbranler?	Croirai-je qu'une nuit a pu vous ébranler?
Eſt-ce donc voſtre cœur qui vient de nous parler?	Est-ce donc votre cœur qui vient de nous parler?
Songez-y.	Songez-y.
Vous devez voſtre Fille a la Gréce.	Vous devez votre Fille a la Grèce.
Vous nous l’avez promiſe.	Vous nous l'avez promise.
Et ſur cette promeſſe Calchas par tous les Grecs conſulté chaque jour Leur a prédit des vents l’infaillible retour.	Et sur cette promesse Calchas par tous les Grecs consulté chaque jour Leur a prédit des vents l'infaillible retour.
A ſes prédictions ſi l’effet eſt contraire, Penſez vous que Calchas continuë a ſe taire, Que ſes plaintes, qu’en vain vous voudre, appaiſer, Laiſſent mentir les Dieux, ſans vous en accuſer ?	À ses prédictions si l'effet est contraire, Pensez -vous que Calchas continue a se taire, Que ses plaintes, qu'en vain vous voudre, apaiser, Laissent mentir les Dieux, sans vous en accuser ?
Et qui ſçait ce qu’aux Grecs fruſtrez de leur Victime Peut permettre un courroux, qu’ils croiront legitime?	Et qui sais ce qu'aux Grecs frustrez de leur Victime Peut permettre un courroux, qu'ils croiront légitime?
Gardez vous de reduire un Peuple furieux, Seigneur, à prononcer entre vous, & les Dieux.	Gardez -vous de réduire un Peuple furieux, Seigneur, à prononcer entre vous, et les Dieux.
N’eſt-ce pas vous enfin, de qui la voix preſſahte Nous a tous appellez aux campagnes du Xante?	N'est-ce pas vous enfin, de qui la voix pressahte Nous a tous appelez aux campagnes du Xante?
Et qui de ville en ville atteſtiez les ſermens Que d’Helene autrefois firent tous les Amans, Quand preſque tous les Grecs, rivaux de voſtre Frere, La demandoient en foulle à Tyndare ſon Pere?	Et qui de ville en ville attestiez les serments Que d'Hélène autrefois firent tous les Amants, Quand presque tous les Grecs, rivaux de votre Frère, La demandaient en foulle à Tyndare son Père?
De quelque heureux Eſpoux que l’on duſt faire choix, Nous juraſmes des lors de défendre ſes droits, Et ſi quelque inſolent lui voloit ſa conqueſte, Nos mains du Raviſſeur lui promirent la teſte.	De quelque heureux Espoux que l'on dût faire choix, Nous jurâmes des lors dé fendre ses droits, Et si quelque insolent lui volait sa conquête, Nos mains du Ravisseur lui promirent la tête.
Mais ſans vous, ce ſerment que l’amour a dicté, Libres de cet amour, l’aurions nous reſpecté?	Mais sans vous, ce serment que l'amour a dicté, Libres de cet amour, l'aurions nous respecté?
Vous ſeul nous arrachant à de nouvelles flammes Nous avez fait laiſſer nos Einans ct nos renimes.	Vous seul nous arrachant à de nouvelles flammes Nous avez fait laisser nos Éinants ct nos renjmes.
Et quand de toutes parts aſſemblez en ces lieux, L’honneur de vous vanger brille ſeul à nos yeux, Quand la Grece déja vous donnant ſon ſuffrage, Vous reconnoiſt l’Autheur de ce famneux ouvrage, Que ſes Rois, qui pouvoient vous diſputer ce rang, Sont preſts pour vous ſervir de verſer tout leur ſar Le ſeul Agamemnon reſuſant la victoire, N’oſe d’un peu de ſang acheter tant de gloire?	Et quand de toutes parts assemblez en ces lieux, L'honneur de vous venger brille seul à nos yeux, Quand la Grèce déjà vous donnant son suffrage, Vous reconnaît l'Auteur de ce famneux ouvrage, Que ses Rois, qui pouvaient vous disputer ce rang, Sont prêts pour vous servir de verser tout leur sar Le seul Agamemnon ressusant la victoire, N'ose d'un peu de sang acheter tant de gloire?
Et dés le premier pas ſe laiſſant effrayer, E Ne commande les Grecs, que pour les renvoyer?	Et dès le premier pas se laissant effrayer, E Ne commande les Grecs, que pour les renvoyer?
AGAMEMNON.	AGAMEMNON.
Ah, Seigneur, qu’éloigné du malheur qui m’opprime Voſtre cœur aiſément ſe montre magnanime !	Ah, Seigneur, qu'éloigné du malheur qui m'opprime Votre cœur aisément se montre magnanime !
Mais que ſi vous voyez ceint du bandeau mortel Voſtre Fils Telémaque approcher de l’autel, Nous vous verrions troublé de cette affreuſe image Changer bientoſt en pleurs ce ſuperbe langage, Eſprouver la douleur que j’eſprouve aujourdhui, Et courir vous jetter entre Calchas & lui !	Mais que si vous voyez ceint du bandeau mortel Votre Fils Telémaque approcher de l'autel, Nous vous verrions troublé de cette affreuse image Changer bientôt en pleurs ce superbe langage, Esprouver la douleur que j'éprouve aujourdhui, Et courir vous jeter entre Calchas et lui !
Seigneur, vous le ſçavez, j’ay donné ma parole, Et ſi ma Fille vient, je conſens qu’on l’immole.	Seigneur, vous le savez, j'ai donné ma parole, Et si ma Fille vient, je consens qu'on l'immole.
Mais malgré tous mes ſoins ſi ſon heureux deſtin La retient dans Argos, ou l’arreſte en chemin;	Mais malgré tous mes soins si son heureux destin La retient dans Argos, ou l'arrête en chemin;
Souffrez que ſans preſſer ce barbare ſpectacle, En faveur de mon ſang j’explique cet obſtacle, Que j’oſe pour ma Fille accepter le ſecours De quelque Dieu plus doux qui veille ſur ſes jours, Vos conſeils ſur mon cœur ir oiſt eu queuop d’empire, Et je rougis.	Souffrez que sans presser ce barbare spectacle, En faveur de mon sang j'explique cet obstacle, Que j'ose pour ma Fille accepter le secours De quelque Dieu plus doux qui veuille sur ses jours, Vos conseils sur mon cœur ir oit eu queuop d'empire, Et je rougis.
SCENE IV.	SCÈNE IV.
AGAMEMNON, ULYSSE, EURYBATE.	AGAMEMNON, ULISSE, EURYBATE.
EURYBATE.	EURYBATE.
SEigneur.	SEigneur.
AGAMEMNON.	AGAMEMNON.
Ah!	Ah!
Que vient-on me dire?	Que vient-on me dire?
EURYBATE,	EURYBATE,
EURYBATE.	EURYBATE.
Ia Reine, dont ma courſe a devancé les pas, Va remettre bientoſt ſa Fille entre vos bras.	Ia Reine, dont ma course a devancé les pas, Va remettre bientôt sa Fille entre vos bras.
Elle approche.	Elle approche.
Elle s’eſt quelque temps égarée Dans ces bois, qui du Camp ſemblent cacher l’entrée.	Elle s'est quelque temps égarée Dans ces bois, qui du Camp semblent cacher l'entrée.
ir peme lous avons dans leur obſcutité.	ir peme lous avons dans leur obscutité.
Retrouvé le chemin que nous avions quitté.	Retrouvé le chemin que nous avions quitté.
Ciel!	Ciel!
AGAMEMNON.	AGAMEMNON.
EURYBATE.	EURYBATE.
Elle ameine auſſi cette jeune Eriphile, Que Lesbos a livrée entre les mains d’Achille, Et qui de ſon Deſtin, qu’elle ne connoiſt pas, Vient, dit-elle, en Aulide interroger Calchas.	Elle âme aussi cette jeune Eriphile, Que Lesbos a livrée entre les mains d'Achille, Et qui de son Destin, qu'elle ne connaît pas, Vient, dit-elle, en Aulide interroger Calchas.
Déja de leur abord la nouvelle eſt ſemée.	Déjà de leur abord la nouvelle est semée.
Et déja de Soldats une foulle charmée, Sur tout d’Iphigenie admirant la beauté Pouſſe au ciel mille vœux pour ſa felicité.	Et déjà de Soldats une foulle charmée, Sur tout d'Iphigénie admirant la beauté Pousse au ciel mille vœux pour sa félicité.
Les uns avec reſpect environnoient la Reine.	Les uns avec respect environnaient la Reine.
D’autres me demandoient le ſujet qui l’ameine.	D'autres me demandaient le sujet qui l'amène.
Main tous lis conienoienle, que il jaillais les Dieux Ne mirent ſur le trône un Roy plus glorieux;	Main tous lis conienoienle, que il jaillais les Dieux Ne mirent sur le trône un Roi plus glorieux;
Egalement comblé de leurs faveurs ſecrettes, Jamais Pere ne fut plus heureux que vous l’eſtes.	Également comblé de leurs faveurs secrètes, Jamais Père ne fut plus heureux que vous l'êtes.
AGHHEMNON.	AGHÉMNON.
Eurybate, il ſuffit.	Eurybate, il suffit.
Vous pouvez nous laiſſer.	Vous pouvez nous laisser.
Le reſte me regarde & je vais y penſer.	Le reste me regarde et je vais y penser.
SCENE V.	SCÈNE V.
IGAMEMNUN, OLYSSE.	IGAMEMNUN, OLYSE.
AGAMEMNON.	AGAMEMNON.
Uſte ciel, c’eſt ainſi qu’aſſurant ta vangeance Tu romps tous les reſſors de ma vaine prudence!	OUste ciel, c'est ainsi qu'assurant ta vengeance Tu romps tous les ressors de ma vaine prudence!
Encor ſi-je pouvois, libre dans mon malheur, Par des larmes au moins ſoulager ma douleur!	Encor si-je pouvais, libre dans mon malheur, Par des larmes au moins soulager ma douleur!
Triſte deſtin des Rois!	Triste destin des Rois!
Eſclaves que nous ſommes Et des rigueurs du Sort, & des diſcours des Hommes.	Esclaves que nous sommes Et des rigueurs du Sort, et des discours des Hommes.
Nous nous voyons ſans ceſſe aſſiegez de teſmoins, Et les plus malheureux oſent pleurer le moins.	Nous nous voyons sans cesse assiégés de témoins, Et les plus malheureux osent pleurer le moins.
ULYSSE.	ULISSE.
Je ſuis Pere, Seigneur.	Je suis Père, Seigneur.
Et foible comme un autre, Mon cœur ſe met ſans peine en la place du voſtre, Et fremiſſant du coup qui vous fait ſouſpirer, Loin de blaſmer vos pleurs, je ſuis preſt de pleurer.	Et faible comme un autre, Mon cœur se met sans peine en la place du vôtre, Et frémissant du coup qui vous fait soupirer, Loin de blâmer vos pleurs, je suis prêt de pleurer.
Mais voſtre amour n’a plus d’excuſe legitime.	Mais votre amour n'a plus d'excuse légitime.
Les Dieux ont à Calchas amené leur Victime.	Les Dieux ont à Calchâ né leur Victime.
Il le ſçait, il l’attend:	Il le sait, il l'attend:
Et s’il la voit tarder, Luy meſme à haute voix viendra la demander.	Et s'il la voit tarder, Lui même à haute voix viendra la demander.
Nous ſommes ſeuls encor.	Nous sommes seuls encor.
Haſtez vous de reſpandre Des pleurs que vous arrache un intereſt ſi tendre.	Hâtez -vous de répandre Des pleurs que vous arrache un intérêt si tendre.
Pleurez ce ſang, pleurez.	Pleurez ce sang, pleurez.
Ou pluſtoſt ſans paſlir, Conſiderez l’honneur qui doit en rejallir.	Ou plutôt sans pâlir, Considérez l'honneur qui doit en rejaillir.
Voyez tout l’Helleſpont blanchiſſant ſous nos rames, Et la perfide Troye abandonnée aux flames, Ses Peuples dans vos fers, Priam à vos genoux, Helene par vos mains renduë à ſon Eſpoux.	Voyez tout l'Hellespont blanchissant sous nos rames, Et la perfide Troie abandonnée aux flammes, Ses Peuples dans vos fers, Priam à vos genoux, Hélène par vos mains rendue à son Époux.
Voyez de vos vaiſſeaux les pouppes couronnées Dans cette meſme Aulide avec vous retournées, Et ce triomphe heureux, qui s’en va devenir L’eternel entretien des ſiecles a velni	Voyez de vos vaisseaux les poupes couronnées Dans cette même Aulide avec vous retournées, Et ce triomphe heureux, qui s'en va devenir L'éternel entretien des siècles a velni
AGAMEMNON.	AGAMEMNON.
Seigneur, de mes efforts je connois l’impuiſſance.	Seigneur, de mes efforts je connais l'impuissance.
Je cede, & laiſſe aux Dieux opprimer l’innocence.	Je cède, et laisse aux Dieux opprimer l'innocence.
La Victime bientoſt marchera ſur vos pas.	La Victime bientôt marchera sur vos pas.
Allez.	Allez.
Mais cependant faites taire Calchas.	Mais cependant faites taire Calchas.
Et m’aidant à cacher ce funeſte myſtere, Laiſlez moy de lAſater eicurter unte Mere.	Et m'aidant à cacher ce funeste mystère, Laislez -moi de lAsater eicurter unte Mère.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERIPHILE, DORIS.	ERIPHILE, DORIS.
ERIPHILE.	ERIPHILE.
E les contraignons point, Doris, retirons nous NLaiſſons-les dans les bras d’un Pere & d’un Eſpoux.	E les contraignons point, Doris, retirons nous NLaissons-les dans les bras d'un Père et d'un Époux.
Et tandis qu’à l’envy leur amour ſe deſploye, Mettons en liberté ma triſteſſe & leur joye.	Et tandis qu'à l'envi leur amour se déploie, Mettons en liberté ma tristesse et leur joie.
DORIS.	DORIS.
Quoy, Madame, tousjours irritant vos douleurs, Croirez-vous ne plus voir que des ſujets de pleurs?	Quoi, Madame, toujours irritant vos douleurs, Croirez-vous ne plus voir que des sujets de pleurs?
Je ſçay que tout déplaiſt aux yeux d’une Captive, Qu’il n’eſt point dans les fers de plaiſir qui la ſuive.	Je sais que tout déplaît aux yeux d'une Captive, Qu'il n'est point dans les fers de plaisir qui la suive.
Mais dans le temps fatal que repaſſant les flots Nous ſuivions malgré nous le Vainqueur de Leſbos, Lorſque dans ſon vaiſſeau Priſonniere timide Vous voyez devant vous ce Vainqueur homicide, Le diray-je?	Mais dans le temps fatal que repassant les flots Nous suivions malgré nous le Vainqueur de Lesbos, Lorsque dans son vaisseau Prisonnière timide Vous voyez devant vous ce Vainqueur homicide, Le dirai-je?
Vos yeux de larmes moins trempez A pleurer vos malheurs eſtoient moins occupez.	Vos yeux de larmes moins trempez A pleurer vos malheurs étaient moins occupés.
Maintenant tout vous rit.	Maintenant tout vous rit.
L’aimable Iphigenie D’une amitié ſincere avec vous eſt unie.	L'aimable Iphigénie D'une amitié sincère avec vous est unie.
Elle vous plaint, vous voit avec des yeux de Sœur, Et vous ſeriez dans Troye avec moins de douceur.	Elle vous plaint, vous voit avec des yeux de Sœur, Et vous seriez dans Troie avec moins de douceur.
Vous vouliez voir l’Aulide, où ſon Pere l’appelle.	Vous vouliez voir l'Aulide, où son Père l'appelle.
Et l’Aulide vous voit arriver avec elle.	Et l'Aulide vous voit arriver avec elle.
Cependant par un ſort que je ne conçoy pas, Voſtre douleur redouble, & cront a chaque pas.	Cependant par un sort que je ne conçois pas, Votre douleur redouble, et cront a chaque pas.
ERIPHILE.	ERIPHILE.
Hé!	Hé!
quoy te ſemble-t’il que la triſte Eriphile Doive eſtre de leur joye un témoin ſi tranquile?	quoi te semble-t-il que la triste Eriphile Doive être de leur joie un témoin si tranquille?
Crois-tu que mes chagrins doivent s’évanoüir A l’aſpect d’un bonheur, dont je ne puis joüir?	Crois-tu que mes chagrins doivent s'évanouir A l'aspet d'un bonheur, dont je ne puis jouir?
Je vois Iphigenie entre les bras d’un Pere.	Je vois Iphigénie entre les bras d'un Père.
Elle fait tout l’orgueil d’une ſuperbe Mere.	Elle fait tout l'orgueil d'une superbe Mère.
Et moy, toûjours en butte à de nouveaux dangers, Remiſe dés l’enfance en des bras eſtrangers, Je receus, & je voy le jour que je reſpire, Sans que Mere ny Pere ait daigné me ſoûrire.	Et moi, toujours en butte à de nouveaux dangers, Remise dès l'enfance en des bras étrangers, Je reçus, et je vois le jour que je respire, Sans que Mère Seigneur Père ait daigné me sourire.
J’ignore qui je ſuis.	J'ignore qui je suis.
Et pour comble d’horreur, Un Oraclecrayanti attacheamondied, Et quand je veux chercher le ſang qui m’a fait naiſtre, Me dit, que ſans perir, je ne me puis connaiſtre.	Et pour comble d'horreur, Un Oraclecrayanti attacheamondie, Et quand je veux chercher le sang qui m'a fait naître, Me dit, que sans périr, je ne me puis connaître.
DORIS.	DORIS.
Non non, juſques au bout vous devez le chercher.	Non non, jusques au bout vous devez le chercher.
Un Oracle tousjours ſe plaiſt à ſe cacher.	Un Oracle toujours se plaît à se cacher.
Tousjours avec un ſens il en preſente un autre.	Toujours avec un sens il en présente un autre.
En perdant un faux nom vous reprenurez le voſtre.	En perdant un faux nom vous reprenurez le vôtre.
C’eſt là tout le danger que vous pouvez courir, Et c’eſt peut-eſtre ainſi que vous devez perir.	C'est là tout le danger que vous pouvez courir, Et c'est peut-être ainsi que vous devez périr.
Songez que voſtre nom fut changé dés l’enfance	Songez que votre nom futé changé dès l'enfance
ERIPHILE.	ERIPHILE.
Je n’ay de tout mon ſort que cette connoiſſance.	Je n'ai de tout mon sort que cette connaissance.
Et ton Pere, du reſte infortuné teſmoin, Ne me permit jamais de penetrer plus loin.	Et ton Père, du reste infortuné témoin, Ne me permit jamais de pénétrer plus loin.
Helas!	Hélas!
dans cette Troye où j’eſtois attenduë, Ma gloire, diſoit-il, m’alloit eſtre renduë:	dans cette Troie où j'étais attendue, Ma gloire, disait-il, m'allait être rendue:
J’allois, en reprenaut & mon nom & mon rang, Des plus grands Rois en moy reconnoiſtre le ſang.	J'allais, en reprenaut et mon nom et mon rang, Des plus grands Rois en moi reconnaître le sang.
Déja je deſcouvrois cette fameuſe Ville.	Déjà je découvrais cette fameuse Ville.
Le Ciel mene à Leſbos l’impitoyable Achille.	Le Ciel mène à Lesbos l'impitoyable Achille.
Tout cede, tout reſſent ſes funeſtes efforts.	Tout cède, tout ressent ses funestes efforts.
B iij Ton Pere enſeveli dans la foulle des morts, Me laiſſe dans les fers à moy-meſme inconnuë.	 Bij On Père enseveli dans la foulle des morts, Me laisse dans les fers à moi-même inconnue.
Et de tant de grandeurs, dont j’eſtois prévenuë, Vile eſclave des Grecs, je n’ay pû conſerver Que la fierté d’un ſang, que je ne puis prouver.	Et de tant de grandeurs, dont j'étais prévenue, Vile esclave des Grecs, je n'ai pu conserver Que la fierté d'un sang, que je ne puis prouver.
DORIS.	DORIS.
Ah!	Ah!
que perdant, Madame, un Témoin ſi fidelle, La main qui vous l’oſta vous doit ſembler cruelle !	que perdant, Madame, un Témoin si fidèle, La main qui vous l'ôta vous doit sembler cruelle !
Mais Calchas eſt icy, Calchas ſi renommé, Qui des ſecrets des Dieux fut tousjours informé.	Mais Calchas est ici, Calchas si renommé, Qui des secrets des Dieux fut toujours informé.
Le Ciel ſouvent lui parle.	Le Ciel souvent lui parle.
Inſtruit par un tel maiſtre, Il ſçait tout ce qui fut, & tout ce qui doit eſtre.	Instruit par un tel maître, Il sait tout ce qui fut, et tout ce qui doit être.
Pourroit-il de vos jours ignorer les Auteurs?	Pourrait-il de vos jours ignorer les Auteurs?
Ce Camp meſme eſt pour vous tout plein de Prote.	Ce Camp même est pour vous tout plein de Prote.
cteurs.	cteurs.
Bien-toſt Iphigenie en épouſant Achille Vous va ſous ſon appuy preſenter un azyle.	Bientôt Iphigénie en épousant Achille Vous va sous son appui présenter un asile.
Ce gage eſt le premier qu’elle attend de ſa foy.	Ce gage est le premier qu'elle attend de sa foi.
ERIPHILE.	ERIPHILE.
ue unenstu, Doris, n panunt toue le reite Cet Hymen de mes maux eſtoit le plus funeſte?	Que unenstu, Doris, n anunt toue le rite Cet Hymen de mes maux était le plus funeste?
Quoy, Madame?	Quoi, Madame?
DORIS.	DORIS.
ERIPHILE.	ERIPHILE.
Tu vois avec étonnement Que ma douleur ne ſouffre aucun ſoulagement.	Tu vois avec étonnement Que ma douleur ne souffre aucun soulagement.
Eſcoute.	Écoute.
Et tu te vas eſtonner que je vive.	Et tu te vas étonner que je vive.
C’eſt peu d’eſtre eſtrangere, inconnuë, & captive.	C'est peu d'être étrangère, inconnue, et captive.
Ce deſtructeur fatal des triſtes Leſbiens, Cet Achille l’auteur de tes maux & des miens, Dont la ſanglante main m’enleva priſonniere, Qui m’arracha d’un coup ma naiſſance & ton Pere, De qui juſques au nom tout doit m’eſtre odieux, Eſt de tous les mortels le plus cher à mesyeux.	Ce destructeur fatal des tristes Lesbiens, Cet Achille l'auteur de tes maux et des miens, Dont la sanglante main m'enleva prisonnière, Qui m'arracha d'un coup ma naissance et ton Père, De qui jusques au nom tout doit m'être odieux, Est de tous les mortels le plus cher à mesyeux.
DORIS.	DORIS.
Ah!	Ah!
que me dites vous!	que me dites -vous!
ERIPHILE.	ERIPHILE.
Je me flattois ſans ceſſe Qu’un ſilence éternel cacheroit ma foibleſſe.	Je me flattais sans cesse Qu'un silence éternel cacherait ma faiblesse.
Mais mon cœur trop preſſé m’arrache ce diſcours, Et te parle une fois, pour ſe taire tousjours.	Mais mon cœur trop pressé m'arrache ce discours, Et te parle une fois, pour se taire toujours.
Ne me demande point ſur quel eſpoir fondée De ce fatal amour je me vis poſſedée.	Ne me demande point sur quel espoir fondée De ce fatal amour je me vis possédée.
Je n’en accuſe point quelques feintes douleurs Dont je crus voir Achille honnorer mes malheurs.	Je n'en accuse point quelques feintes douleurs Dont je crus voir Achille honorer mes malheurs.
Le Ciel s’eſt fait ſans doute une joye jnhumaine A raſſembler ſur moy tous les traits de ſa haine.	Le Ciel s'est fait sans doute une joie jumaine A rassembler sur moi tous les traits de sa haine.
Rappelleray-je encor le ſouvenir affreux Du jour qui dans les fers nous jetta toutes deux !	Rappelerai-je encor le souvenir affreux Du jour qui dans les fers nous jeta toutes deux !
Dans les cruelles mains, par qui je fus ravie, Ie demeuray long temps ſans lumiere & ſans vie.	Dans les cruelles mains, par qui je fus ravie, Je demeurai long temps sans lumière et sans vie.
Enfin mes foibles yeux chercherent la clarté.	Enfin mes faibles yeux cherchèrent la clarté.
Et me voyant preſſer d’un bras enſanglanté, e fremiſſois, Doris, & d’un vainqueur ſauvage Praignois de rencontrer l’effroyable viſage.	Et me voyant presser d'un bras ensanglanté, e remissais, Doris, et d'un vainqueur sauvage Praignais de rencontrer l'effroyable visage.
entrai dans ſon Vaiſſeau, deteſtant ſa fureur, it tousjours deſtournant ma veuë avec horreur.	entrai dans son Vaisseau, détestant sa fureur, it toujours détournant ma vue avec horreur.
e le vis.	Je le vis.
Son aſpect n’avoit rien de farouche.	Son aspect n'avait rien de farouche.
e ſentis le reproche expirer dans ma bouche.	e sentis le reproche expirer dans ma bouche.
e ſentis contre moy mon cœur ſe declarer, oubliay ma colere, & ne ſceûs que pleurer.	e sentis contre moi mon cœur se déclarer, oubliai ma colère, et ne su que pleurer.
e me laiſſay conduire à cet aimable guide.	Je me laissai conduire à cet aimable guide.
?	?
l’aimois à Leſbos, & je l’aime en Aulide.	l'aimais à Lesbos, et je l'aime en Aulide.
phigenie en vain s’offre à me proteger, e me tend une main pronte à me ſoulager.	phigénie en vain s'offre à me protéger, e st tend une main prompte à me soulager.
riſte effet des fureurs dont je ſuis tourmentée!	riste effet des fureurs dont je suis tourmentée!
e n’accepte la main qu’elle m’a preſentée, que pour m’armer contre elle, & ſans me deſcouvrir, araverſer ſon bonheur, que je ne puis ſouffrir.	eu n'accepte la main qu'elle m'a présentée, que pour m'armer contre elle, et sans me découvrir, arraverser son bonheur, que je ne puis souffrir.
DORIS.	DORIS.
t que pourroit contre elle une impuiſſante haine?	t que pourrait contre elle une impuissante haine?
Je valoit-il pas mieux, renfermée à Mycene, Eviter les tourmens que vous venez chercher.	Je valait-il pas mieux, renfermée à Mycène, Éviter les tourments que vous venez chercher.
Et combattre des feux contraints de le cacher?	Et combattre des feux contraints de le cacher?
ERIPHILE.	ERIPHILE.
Je le voulois, Doris.	Je le voulais, Doris.
Mais quelque triſte image Que ſa gloire à mes yeux monſtraſt ſur ce rivage, Au ſort qui me traiſnoit il fallut conſentir.	Mais quelque triste image Que sa gloire à mes yeux montrât sur ce rivage, Au sort qui me traînait il fallut consentir.
Une ſecrette voix m’ordonna de partir, Me dit qu’offrant icy ma préſence importune Peuteſtre j’y pourrois porter mon infortune, Que peuteſtre approchant ces Amans trop heureux, Quelqu’un de mes malheurs ſe reſpandroit ſur eux Voila ce qui m’ameine, & non l’impatience D’apprendre à qui je dois une triſte naiſſance.	Une secrète voix m'ordonna de partir, Me dit qu'offrant ici ma présence importune Peutêtre j'y pourrais porter mon infortune, Que peutestre approchant ces Amants trop heureux, Quelqu'un de mes malheurs se répandrait sur eux Voila ce qui m'amène, et non l'impatience D'apprendre à qui je dois une triste naissance.
Ou pluſtoſt leur hymen me ſervira de loy.	Ou plutôt leur hymen me servira de loi.
S’il s’acheve, il ſuffit, tout eſt fini pour moy.	S'il s'achève, il suffit, tout est fini pour moi.
Je periray, Doris, & par une mort pronte Dans la nuit du tombeau j’enfermeray ma honte, Sans chercher des parens ſi long-temps ignorez, Et que ma folle amour a trop deshonnorez,	Je périrai, Doris, et par une mort prompte Dans la nuit du tombeau j'enfermerai ma honte, Sans chercher des parents si longtemps ignorez, Et que ma folle amour a trop déshonorez,
DORIS.	DORIS.
Que je vous plains, Madame!	Que je vous plains, Madame!
Et que pour voſtre vie.	Et que pour votre vie.
ERIPHILE.	ERIPHILE.
Tu vois Agamemnon avec Iphigenie.	Tu vois Agamemnon avec Iphigénie.
SCENE II.	SCÈNE II.
AGAMEMNON, IPHIGENIE, ERIPHILE, DORIS.	AGAMEMNON, IPHIGENIE, ERIPHILE, DORIS.
IPHIGENIE.	IPHIGENIE.
