YV RE, R Y	YU RE, R Y
Ce mignon qui vous plaiſt eſt bon pour fauory, Mais le Duc de Calabre eſt meilleur pour mary, Il tient ſur ce ſubiect ma parole engagée, Et i’attends de vous voir à ce deſſein rangée.	Ce mignon qui vous plaît est bon pour favori, Mais le Duc de Calabre est meilleur pour mari, Il tient sur ce sujet ma parole engagée, Et j'attends de vous voir à ce dessein rangée.
LEONOR.	LEONOR.
Ie ne me treuue point coupable d’action Qui monstre pour Leandre aucune intention.	Je ne me trouve point coupable d'action Qui montre pour Lé aucune intention.
Si Leandre m’eſt cher c’eſt ſa Vertu que i’ayme:	Si Léandre m'est cher c'est sa Vertu que j'aime:
Par tout où ie la voy, ie la cheris de meſme;	Par tout où tu la vois, ie la chéris de même;
Et de tous les mortels, le plus defectueux Me plairoit à l’egal, s’il estoit vertueux,	Et de tous les mortels, le plus défectueux Me plaierait à l'égal, s'il était vertueux,
LE ROY.	LE ROY.
Si d’autres ſentimens m’auoient l’ame bleſſée.	Si d'autres sentiments m'avaient l'âme blessée.
De ſi ſages diſcours confondroient ma pensée, I’accuſerois à tort vn vertueux amour, Dont l’obiect.	De si sages discours confondraient ma pensée, J'accuserais à tort un vertueux amour, Dont l'objet.
Mais Fabrice est deſià de retour, Souffrez qu’en liberté ceſt homme ſe décharge De quelques ſoins legers dont il a pris la charge.	Mais Fabrice est déjà de retour, Souffrez qu'en liberté cet homme se décharge De quelques soins légers dont il a pris la charge.
ACTE	ACTE
SGENE SEPTIEME.	SGENE SEPTIÈME.
LE ROY.	LE ROY.
PABRICE.	PABRICE.
FABRICE courant.	FABRICE courant.
SIRE, heurenſe nouuelle!	SIRE, heurense nouvelle!
LE ROY.	LE ROY.
agreable tranſport	agréable transport
FABRICE.	FABRICE.
Voſtre Maiſtreſſe eſt ſeule, & vous deſire fort.	Votre Maîtresse est seule, et vous désire fort.
LE ROY.	LE ROY.
O celeſte diſcours!	Ô céleste discours!
reſponſefauor able!	responsefauor able!
Ne peudons point, Fabrice, vn temps ſi deſirable;	Ne peudons point, Fabrice, un temps si désirable;
Ie voy qu’elle a l’eſprit comme le teint ſans fard:	Je vois qu'elle a l'esprit comme le teint sans fard:
Allons, marchons, courons;	Allons, marchons, courons;
FABRICE.	FABRICE.
.	.
mais Sire, il eſt bien tard, Et c’est bien à regret qu’il faut que ie vous voye, Par vn autre diſcours moderer voſtre ioye.	mais Sire, il est bien tard, Et c'est bien à regret qu'il faut que je vous voie, Par un autre discours modérer votre joie.
Celle que vous ſeruez n'est plus ſi pres de vous, Tantoſt vos entretiens nous ont fait vn ialoux.	Celle que vous servez n'est plus si pres de vous, Tantôt vos entretiens nous ont fait un jaloux.
Aux lieux où l’a ſon pere auiourd’huy faict conduire, Ie doute ſi le iour ſeulement y peut luire, Tant vos ieunes ardeurs luy cauſent de glaçons, Et tant voſtre viſite augmente ſes ſoupçons.	Aux lieux où l'a son père aujourd'hui fait conduire, Je doute si le jour seulement y peut luire, Tant vos jeunes ardeurs lui causent de glaçons, Et tant vôtre visite augmente ses soupçons.
LE	LE
LE ROY.	LE ROY.
Le traiſtre auance peu, par cette humeur craintiue, Qui luy faict captiüer l’obiect qui me captiue, Bien-toſt ce foible eſprit ſçaura qu’on peut encor Forcer des murs d’airain auecques des flots d’or:	Le traître avance peu, par cette humeur craintive, Qui lui fait captouer l'objet qui me captive, Bientôt ce faible esprit saura qu'on peut encor Forcer des murs d'air avec des flots d'or:
Et puyqne Eltiant a mes cuna eſt propice, Nous ſçaurons bien par l’art reprimer l’artifice.	Et puisque Eltiant à mes cuna est propice, Nous saurons bien par l'art réprimer l'artifice.
FABRICE ſeul.	FABRICE seul.
Quel aduantage, ô Dieux!	Quel avantage, ô Dieux!
Fabrica a ſur des Roys.	Fabrica a sur des Rois.
Et combien ie me ris d’Amour & de ſes loix!	Et combien Prince me ris d'Amour et de ses lois!
Ce Prince à cet enfant voit ſon ame aſſeruie, Il forme ſes deſſeins, il gouuerne ſa vie, dirouble jaraion, it engage ja joy, Et peut autant ſur luy, que Bacchus peut ſur moy.	Ce Prince à cet enfant voit son âme asservie, Il forme ses desseins, il gouverne sa vie, dirouble jaraion, it engage ja joi, Et peut autant sur lui, que Bacchus peut sur moi.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
E COMTE TANCRE DE auec des ſeruiteurs du Duc.	E COMTE -THANCRE DE avec des serviteurs du Duc.
MELITE arriuant de la campagne.	MELITE arrivant de la campagne.
LE COMTE.	LE COMTE.
N l'eſpoir d’adorer ceſte diuine aurore,  Ie ſens vn nouueau iour en mon ame s’éclore;	 N'espoir d'adorer cette divine aurore, Je sens un nouveau jour en mon âme s'éclore;
Que ie bruſle de voir de ſi charmans appas!	Que ici brûle de voir de si charmants appas!
La terre à mon aduis s’allonge ſous mes pas, Et le Soleil ialoux du feu qui me conſume, Faict ce me ſemble vn tour plus long que de couſtume.	La terre à mon avis s'allonge sous mes pas, Et le Soleil jaloux du feu qui me consume, Fait ce me semble un tour plus long que de coutume.
Et Chaſteau qui conſerue vn ſi rare threſor, Recule pour me nuire;	Et Château qui conserve un si rare thresor, Recule pour me nuire;
eſt-il bien loin encor?	est-il bien loin encor?
ETSIO.	ETSIO.
Vne heure, ou moins de temps vous procure ſa veuë:	Une heure, ou moins de temps vous procure sa vue:
LE COMTE.	LE COMTE.
Ceſte prompte arriuée a-t'elle eſté preueuë?	Cette prompte arrivée a-t'-elle été prévue?
Le Duc eſperoit-il me voir ſi toſt icy?	Le Duc espérait-il me voir si tôt ici?
LYSIS.	LYSIS.
Non, que dans quelques iours.	Non, que dans quelques jours.
LE COMTE.	LE COMTE.
Ie le croyois auſſi:	Je le croyais aussi:
Mais le deſir de voir cét aymable viſage, A contre mon attente auancé mon voyage.	Mais le désir de voir cet aimable visage, A contre mon attente avancé mon voyage.
pououorcoputitaun fauorable vent.	pouorcoputitaun favorable vent.
Si bien:	Si bien:
mais quolles gens nous vienent au deuant?	mais quolles gens nous vienent au devant?
Liliane, & le Duc.	Liliane, et le Duc.
LYSIS.	LYSIS.
LE COMTE.	LE COMTE.
Dieux!	Dieux!
à cette parole, Mon cœur ſe fend de ioye, & mon ame s'ennole.	à cette parole, Mon cœur se fend de joie, et mon âme s'ennole.
ACTE II	ACTE II
ACTE II.	ACTE II.
SCENE SECONDE.	SCÈNE SECONDE.
AbDVO.	AbDVO.
EIDIHTL EECOMTE.	EIDIHTL EECOMTE.
LES VALETS.	LES VALETS.
LE DVC.	LE DUC.
Ve i’ay d’occaſion de benir ce beau iour!	Ve j'ai d'occasion de bénir ce beau jour!
QOù le Ciel m’a ſi bien ſignalé ſon amour;	QÙ le Ciel m'a si bien signalé son amour;
Que ie luy doy de veux!	Que ici ici dois de veux!
Que mon ame eſt contente De me voir à la fin d’vne ſi douce attente!	Que mon âme est contente De me voir à la fin d'une si douce attente!
Apres tant de ſoucis, enfin ie trouue en vous Le gendre que ie veux, & ma fille vn eſpoux.	Après tant de soucis, enfin enfin trouve en vous Le gendre que tu veux, et ma fille un époux.
LE COMTE.	LE COMTE.
Vous trouueZ vn ſuiet, & Madame vn eſclaue, Dont vn enfant ſe iouë, & qu’vne fille braue:	Vous trouvez un sujet, et Madame un esclave, Dont un enfant se joue, et qu'une fille brave:
Mais que ce priſonnier, adorable beauté Soit vn obiect d’amour, plus que de cruauté.	Mais que ce prisonnier, adorable beauté Soit un objet d'amour, plus que de cruauté.
Qu'il ne ſoit point puni, puis qu’il n'eſt point coupable.	Qu'il ne soit point puni, puis qu'il n'est point coupable.
Il la Cruelle qui vous rend à mes vœux intraictable?	Il la Cruelle qui vous rend à mes vœux intraitable?
Pourquoy deffendeZ-vous qu’en l’estat où ie ſuis Vn baiſer ſeulement allege mes ennuys?	Pourquoi défendez-vous qu'en l'état où tu suis Un baiser seulement allège mes ennuis?
LE DVC.	LE DUC.
Vostre œil peut aysément lire ſur ſon viſage Les effects d’vne honte ordinaire à ſon âge:	Votre œil peut aisément lire sur son visage Les effets d'une honte ordinaire à son âge:
Mais bien-toſt vous ſerez au point de vous vanger, Et la premiere nuict la ſçaura bien ranger.	Mais bientôt vous serez au point de vous venger, Et la première nuit la saura bien ranger.
ACIE	ACIE
ACTE II	ACTE II
SCENE TROIZIESME.	SCÈNE -TROIZIESME.
LE CAPITAINE DES GARDES.	LE CAPITAINE DES GARDES.
4.	4.
ARCHERS.	ARCHERS.
LE CAPITAINE.	LE CAPITAINE.
Lus ſubiect de mon Roy que de vostre meT rite, D’vne charge faſcheuſe à regret ie m’acquitte.	Lus sujet de mon Roi que de votre meT rite, D'une charge fâcheuse à regret ion m'acquitte.
Pardonnez Monſeigneur, le Roy m’a faict haster, Auec commandement de vous faire arreſter.	Pardonnez Monseigneur, le Roi m'a fait hâter, Avec commandement de vous faire arrêter.
LE DVC.	LE DUC.
Quel ſubiect a rendu ce deſſein legitime?	Quel sujet a rendu ce dessein légitime?
LE CAPITAINE.	LE CAPITAINE.
Son courroux pouue aſſez l’enormité du crime, Il a creu que le Comte y participe auſſi:	Son courroux pouve assez l'enormité du crime, Il a cru que le Comte y participe aussi:
C’eſt le triſte ſubiect qui nous amene icy.	C'est le triste sujet qui nous amène ici.
TANCREDE.	TANCREDE.
Moy que ie ſois d’humeur capable de ce blaſme!	Moi que ici sois d'humeur capable de ce blâme!
Qu’vn ſentiment ſi faux puiſſe entrer en ſon ame!	Qu'un sentiment si faux puisse entrer en son âme!
Qu'étranger i’aye icy rien de tel entrepris?	Qu'étranger j'aie ici rien de tel entrepris?
Ie m’ignore moy-meſme, ou le Roy s’est meſpris, Ie n’ay que cette belle, icy, qui me retienne.	Je m'ignore moi-même, ou le Roi s'est mépris, Je n'ai que cette belle, ici, qui me retienne.
Et ne merite point de priſon que la ſienne.	Et ne mérite point de prison que la sienne.
Sa beauté ſeulement a droict de me blaſmer, Quoy que ſi i'ay failly, c’est pour la trop aymer.	Sa beauté seulement a droit de me blâmer, Quoi que si j'ai failly, c'est pour la trop aimer.
LE CAP.	LE CAP.
mettant l’eſpée à la main.	mettant l'épée à la main.
Quoy que vous ne fuſſiez d’aucun forfait capable, Ceſte deffence eſt vaine, & vous rendroit coupable:	Quoi que vous ne fussiez d'aucun forfait capable, Cette défense est vaine, et vous rendrait coupable:
L’innocent ne doit point ſouffrir d’eſtre contraint:	L'innocent ne doit point souffrir d'être contraint:
Et qui n’a point failly s’accuſe quand il craint.	Et qui n'a point failli s'accuse quand il craint.
Ia mais vn Roy ſi bon n’uſurpa de licence, Qui doiue ſeulement eſtonner l’innocence, La verité ſçaura ſa colere amortir, Et de ſes faux ſoupçons, faire vn vray repentir.	Ia mais un Roi si bon n'usurpa de licence, Qui doive seulement étonner l'innocence, La vérité saura sa colère amortir, Et de ses faux soupçons, faire un vrai repentir.
LE DVC.	LE DUC.
Au moins que ce Seigneur ſoit exempt de l’iniure, Que par vous mon deuoir innocemment endure, Que ie reçoiue ailleurs, que dans vne priſon, Celuy dont l’alliance honore ma maiſon.	Au moins que ce Seigneur soit exempt de l'injure, Que par vous mon devoir innocemment endure, Que ie reçoive ailleurs, que dans une prison, Celui dont l'alliance honore ma maison.
LE COMTE.	LE COMTE.
Non, puiſque ſans ſuiet ce Prince nous ſoupçonne.	Non, puisque sans sujet ce Prince nous soupçonne.
Ceſt jans juitt auſſt,que nofirt amt s'eſonne.	C' est juit aus,que nofirt amut s'esonne.
Adieu, diuin ſuiet de mon plus doux ſoucy.	Adieu, divin sujet de mon plus doux souci.
LE CAPITAINE.	LE CAPITAINE.
Vous les deuez, Madame, accompagner auſſi.	Vous les devez, Madame, accompagner aussi.
LE DVC, tout bas à ſa fille.	LE DUC, tout bas à sa fille.
Seule tu mets & nous, & ton eſtime en proye, Et nous veux deceuoir, par ces larmes de ioye.	Seule tu mets et nous, et ton estime en proie, Et nous veux décevoir, par ces larmes de joie.
LILIANE.	LILIANE.
Vous me verriez le cœur, & plus noble, & plus ſain.	Vous me verriez le cœur, et plus noble, et plus sain.
S’il vous eſtoit permis de lire dans mon ſein.	S'il vous était permis de lire dans mon sein.
LE DVC.	LE DUC.
au Comte.	au Comte.
Puiſqu’à vostre repos, ma honte eſt neceſſaire, Ie vous diray, Monſieur, mon ſens ſur cette affaire.	Puisqu'à votre repos, ma honte est nécessaire, Je vous dirai, Monsieur, mon sens sur cette affaire.
LILIANE	LILIANE
LILIANE dit à Melite tout bas.	LILIANE dit à Mélite tout bas.
Enfin vois-tu quel ſoin ce Prince prend de moy, Et combien il est doux de viure ſous ſa loy?	Enfin vois-tu quel soin ce Prince prend de moi, Et combien il est doux de vivre sous sa loi?
Cette fourbe peut-elle aſſez estre priſée, Que mon conſentement auoit authoriſée?	Cette fourbe peut-elle assez être prisée, Que mon consentement avait autorisée?
MELITE.	MELITE.
Aduiſez toutefois à marcher comme il faut, A monter ſur le troſne, & non ſur l’échaffaut.	Aduisez toutefois à marcher comme il faut, À monter sur le trône, et non sur l'échaffaut.
Il n’est point de priſon ſi belle, ny ſi bonne, Qu'elle ſoit vn chemin d’aller à la Couronne.	Il n'est point de prison si belle, ni si bonne, Qu'elle soit un chemin d'aller à la Couronne.
RCIE II.	RCIE II.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LEANDRE, ſeul.	LÉANDRE, seul.
Nneau plus precieux par ton enchanteA ment.	Nneau plus précieux par ton enchanteA ment.
Que par le prix de l’or, ny par ce diamant:	Que par le prix de l'or, ni par ce diamant:
Si ta vertu me donne un ſuccez fauorable, Que tu vaux de threſors, que tu mes adorable!	Si ta vertu me donne un succès favorable, Que tu vaux de trésors, que tu mes adorable!
Ma memoire à iamais me parlera de toy, Si tu m’obliges tant, que de l’oster au Roy:	Ma mémoire à jamais me parlera de toi, Si tu m'obliges tant, que de l'ôter au Roi:
Voila ſa meſme bague, au moins en apparance, Et ſon œil n’en ſçauroit faire la difference, Pouuant Pouuant à ſon leuer ſuppoſer celle-cy, Ie voy heureuſement mon deſſein reüſſy:	Voilà sa même bague, au moins en apparance, Et son œil n'en saurait faire la différence, Pouvant Pouvant à son lever supposer celle-cy, Je vois heureusement mon dessein reüssy:
Et le ſens qu’il perdra m’acquiert vn diadeſme, Et les chaſtes faueurs de la beauté que i’ayme.	Et le sens qu'il perdra m'acquiert un diadème, Et les chastes faveurs de la beauté que j'aime.
Mun Dieux!	Mun Dieux!
comme à propos i’arriue à ſon leuer, Et iuſtement au poinct qu'il eſt prest a lauer.	comme à propos j'arrive à son lever, Et justement au point qu'il est prêt a lauer.
ACTE II.	ACTE II.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LE ROY vient en la garderobe, où eſt LEANDRE, & autres ſeruiteurs.	LE ROY vient en la garderobe, où est LÉANDRE, et autres serviteurs.
LE ROY.	LE ROY.
s’habillant.	s'habillant.
Nfin ie voy ma ſœur vn peu mieux diſposée.	Nfin ici vois ma sœur un peu mieux disposée.
LA ceſte affection qu’elle a tant refusée.	LA cette affection qu'elle a tant refusée.
Le Prince que ie veux doit poſſeder ce fruict, Et les autres n’ont fait qu’vn inutile bruict:	Le Prince que je veux doit posséder ce fruit, Et les autres n'ont fait qu'un inutile bruit:
Quoy qu’on puiſſe iuger des actions des Dames, L’apparence ſouuent est autre que leurs ames, Elles ont ſçeu nos maux contre nous conuertir, Et par nos fictions ont appris à mentir.	Quoi qu'on puisse juger des actions des Dames, L'apparence souvent est autre que leurs âmes, Elles ont su nos maux contre nous convertir, Et par nos fictions ont appris à mentir.
Quoy qu’on ait estimé, ma ſœur n’eſt pas de glace, Et quelque trait d’Amour en ſon cœur treuue lace.	Quoi qu'on ait estimé, ma sœur n'est pas de glace, Et quelque trait d'Amour en son cœur trouve lace.
Ie ſçay que depuis peu ce Seigneur eſt party, Et qu’il vient à grands iours s’acquerir ce party.	Je sais que depuis peu ce Seigneur est parti, Et qu'il vient à grands jours s'acquérir ce parti.
I’entends que l’on prepare en toute la Prouince Vne reception capable de ce Prince.	J'entends que l'on prépare en toute la Province Vne réception capable de ce Prince.
CIEEIIe	CIEIIIe
SCENE SIXIESME.	SCÈNE SIXIÈME.
FABRICE accourt eſchauffé.	FABRICE accourt échauffé.
LE ROY.	LE ROY.
OVcourt Fabrice, ô Dieux!	OUcourt Fabrice, ô Dieux!
FABRICE.	FABRICE.
Vous demander pardon.	Vous demander pardon.
LE ROY.	LE ROY.
Quel crime as-tu commis, pour implorer ce don?	Quel crime as-tu commis, pour implorer ce don?
FABRICE.	FABRICE.
Rien que vous ne voyez, & c’est aſſez d’offence, Que de vous aborder auec tant de licence;	Rien que vous ne voyez, et c'est assez d'offense, Que de vous aborder avec tant de licence;
Mais i’ay bien d’autre part dequoy vous resiouyr, Si vostre humeur ſe plût autrefois à m’oüyr, Par le commandement qu’hier vous fiſtes faire, Beaucoup ſont en eſtat de ne vous pas deplaire.	Mais j'ai bien d'autre part dequoy vous réjouir, Si votre humeur se plut autrefois à m'ouïr, Par le commandement qu'hier vous fîtes faire, Beaucoup sont en état de ne vous pas déplaire.
Tancrede eſt priſonnier, Alexandre arresté, Et cet obiect meurtier de voſtre liberté.	Tancrede est prisonnier, Alexandre arrêté, Et cet objet meurtier de votre liberté.
Quoy, Sire, vous traitez vos riuaux de la ſorte?	Quoi, Sire, vous traitez vos rivaux de la sorte?
Si quelque paſſion deſormais me tranſporte, La peur d’vn tel affront eſteindra mes amours, Ou nousjerons rinaux, ie cederay tonſiours.	Si quelque passion désormais me transporte, La peur d'un tel affront éteindra mes amours, Ou nousjerons rinaux, je céderai tonsjours.
LE ROY.	LE ROY.
Ne porte plus, Amour, ton bandeau que de honte, Puis-qu’vn de tes ſuiets aujourdhui te ſurmonte, Et ne te vante plus du pouuoir que Cypris Tauoit pour appannage acquis ſur tes eſprits:	Ne porte plus, Amour, ton bandeau que de honte, Puis-qu'un de tes sujets aujourdhui te surmonte, Et ne te vante plus du pouvoir que Cypris Tavait pour appannage acquis sur tes esprits:
Ne me reproche plus que ces chaiſnes ſont fortes, Puiſque pour mon ſuiet aujourd’huy tu les portes:	Ne me reproche plus que ces chaînes sont fortes, Puisque pour mon sujet aujourd'hui tu les portes:
Ton arc eſt deffendu, ma Maiſtreſſe eſt aux fers, Et vous ſouffrez tous deux les maux que i’ay ſoufferts.	Ton arc est défendu, ma Maîtresse est aux fers, Et vous souffrez tous deux les maux que j'ai soufferts.
Amy, cher confident, où mon eſpoir ſe fonde, Pour vn ſi doux rapport, te dois-ie moins qu’vn mõde?	Ami, cher confident, où mon espoir se fonde, Pour un si doux rapport, te dois-je moins qu'un momme?
ce.	ce.
FABRICE.	FABRICE.
Quoyque voſtre bonté me daigne preſenter, Vous me verreZ d’humeur facile à contenter, Me donnant ſeulement vn Royaume, vn Empire, Ie n’importune plus voſtre Majeſté, Sire.	Quoique votre bonté me daigne présenter, Vous me verrez d'humeur facile à contenter, Me donnant seulement un Royaume, un Empire, Je n'importune plus votre Majesté, Sire.
LE ROY.	LE ROY.
Ie trouue tes deſirs vn peu trop delicats, Et rabaiſſe le don à deux mille ducats.	Je trouve tes désirs un peu trop délicats, Et rabaisse le don à deux mille ducats.
EABRICE.	EABRICE.
O combien i’ayme en vous ceſte noble couſtume!	Ô combien j'aime en vous cette noble coutume!
Sire, tout de ce pas, i’apporte icy la plume:	Sire, tout de ce pas, j'apporte ici la plume:
Car nous ne voyons plus parmy vos Financiers, La candeur qui parut deſſous vos deuanciers:	Car nous ne voyons plus parmi vos Financiers, La candeur qui parut dessous vos devanciers:
Et ie n’obtiendray d’eux, ny faueur, ny finance, Si voſtre Majeſté n’en ſigne l’ordonnance.	Et flamme n'obtiendrai d'eux, ni faveur, ni finance, Si votre Majesté n'en signe l'ordonnance.
LE ROY.	LE ROY.
Il eſt vray qu’ils ont tort, ſi Fabrice a raiſon:	Il est vrai qu'ils ont tort, si Fabrice à raison:
Filene, cependant, courez à la priſon, Que là ces deux captifs ſeurement on conſerue.	Filène, cependant, courez à la prison, Que là ces deux captifs sûrement on conserve.
Qu'on explique leurs pas, que leurs yeux on obſerue, Qu'on n’y laiſſe aborder, ny parens, ny valets, Et faites amener Liliane au Palais.	Qu'on explique leurs pas, que leurs yeux on observe, Qu'on n'y laisse aborder, ni parens,eur parents, Ni faites amener Liliane au Palais.
LE ROY continuë.	LE ROY continue.
Qu'on apporte à lauer.	Qu'on apporte à lauer.
LEANDRE.	LÉANDRE.
Ha parolle opportune!	Ha parole opportune!
Ne laiſſe pas, Leandre, eſchapper la Fortune:	Ne laisse pas, Léandre, échapper la Fortune:
C’eſt icy qu’il te faut eſtre prudent & prompt:	C'est ici qu'il te faut être prudent et prompt:
Mais tenant ce baſſin, ie la tiens par le front, Et ſi ie puis changer l’anneau qu’il y va mettre, Le Ciel ne me pouuoit dauantage promettre.	Mais tenant ce bassin, était la tiens par le front, Et si tu puis changer l'anneau qu'il y va mettre, Le Ciel ne me pouvait davantage promettre.
LE RO Y lauant dit, ayant mis l’anneau ſur le baſſin.	LE RO Y lavant dit, ayant mis l'anneau sur le bassin.
Amants qu’on ne verſe plus d’eau, Qu’on ne ſe plaigne ny ſouſpire, Par la priſon d’vn œil ſi beau, L’amour a perdu ſon empire.	Amants qu'on ne verse plus d'eau, Qu'on ne se plaigne ni soupire, Par la prison d'un œil si beau, L'amour a perdu son empire.
LEANDRE, prenant l’anneau, dit tout bas.	LÉANDRE, prenant l'anneau, dit tout bas.
Ceunure,ne otit pias a eau, Ne craint deſormais, ny ſouſpire:	Ceunure,ne otit pias a eau, Ne craint désormais, ni soupire:
Car pouuant changer cette hnneau, Le Roy va perdre ſon Empire.	Car pouvant changer cette hannneau, Le Roi va perdre son Empire.
LE ROY.	LE ROY.
Ie tiens cet obiect precieux, Ie ne reſpandray plus de larmes, Et malgré tous mes enuieux, Ie ſeray maistre de ſes charmes.	Je tiens cet objet précieux, Je ne répandrai plus de larmes, Et malgré tous mes envieux, Je serai maître de ses charmes.
LEANDRE, luy ayant rendu l’anneau enchanté.	LÉANDRE, lui ayant rendu l'anneau enchanté.
Il tient cet anneau precieux, Ie ne reſpandray plus de larmes.	Il tient cet anneau précieux, Je ne répandrai plus de larmes.
Et malgré tous mes enuieux Ie ſeray maiſtre, par ſes charmes,	Et malgré tous mes envieux Je serai maître, par ses charmes,
LE ROY en ſa chambre s’appuye ſur le bras, & dit.	LE ROY en sa chambre s'appuie sur le bras, et dit.
Mais d’où m’arriue, ô Dieux!	Mais d'où m'arrive, ô Dieux!
ce ſoudain changement?	ce soudain changement?
Quelle alteration?	Quelle altération?
Quel aſſoupiſſement?	Quel assoupissement?
Iey!	Jei!
Amour ſe vange, & le ſommeil complice De ſon intention deſſous mes yeux ſe gliſſe.	Amour se venge, et le sommeil complice De son intention dessous mes yeux se glisse.
LEANDRE.	LÉANDRE.
Ce tnarine le ba mtiie enc eral que n cena.	Ce tnarine le ba mtiie enc éral que n ena.
Alcandre, eſprit diuin, que ie te dois de vœux!	Alcandre, esprit divin, que ie te dois de vœux!
ACTE II.	ACTE II.
d nMa Mla a d a dln LE CAPITAINE DES GARDES, aux pieds du ROY.	 dUMa Mla a d ' Han NA CAPITAINE DES GARDES, aux pieds du ROY.
VIRE, i’ay de tout point l’affaire executée.	VIRE, j'ai de tout point l'affaire exécutée.
luec ces deux Seigneurs la fille eſt arreſtée.	luec ces deux Seigneurs la fille est arrêtée.
Ils s’y ſont diſpoſez apres quelques refus.	Ils s'y sont disposez après quelques refus.
Que vous plaiſt-il icy me commander de plus.	Que vous plaît-il ici me commander de plus.
LE ROY.	LE ROY.
A ce propos obſcurs, mes lévres ſont muetes, Panes Panee pius ciairement, ou uites qui oons eſtes?	À ce propos obscurs, mes lèvres sont muetes, Panes Pane pius ciairement, ou uites qui oons êtes?
LEANDRE.	LÉANDRE.
Quel homme maintenant est plus heureux que moy?	Quel homme maintenant est plus heureux que moi?
LE CAPITAINE.	LE CAPITAINE.
Sire, ie ſuis Dorame!	Sire, Seigneur suis Dorme!
LE ROY.	LE ROY.
Ha ie vous recognoy!	Ha ici vous reconnais!
Les ſouçys attachez à l’eſtat de ma vie, Mont preſque entierement la memoiré rauie.	Les souçys attachez à l'état de ma vie, Mont presque entièrement la mémoiré ravie.
Que vouleZ-vous de moy?	Que voulez-vous de moi?
LE CAPITAINE.	LE CAPITAINE.
Vous dire ſeulement, Q me dapunu euejoo ooouno vommionuomient.	Vous dire seulement, Q me dapunu euejoo oovino vommionvomient.
Qu'Alexandre, ſa fille, & le Comte ſon gendre Sont icy priſonniers.	Qu'Alexandre, sa fille, et le Comte son gendre Sont ici prisonniers.
LE ROY.	LE ROY.
Dieux!	Dieux!
que viens-ie d’entendre?	que viens-je d'entendre?
Priſonniers!	Prisonniers!
& pourquoy s’ils eſtoient innocens:	et pourquoi s'ils étaient innocents:
Alexandre, & les ſiens me ſont obeyſſants.	Alexandre, et les siens me sont obéissants.
LE CAP.	LE CAP.
one ju ceste acrton, nui ovieui ne me preſe, I’ay receu là deſſus vostre parole expreſſe.	one ju cette acréton, nui ovieui ne me prese, J'ai reçu là -dessus votre parole expresse.
LE ROY.	LE ROY.
Dequoy l’accuſe-t'on?	Dequoy l'accuse-t'-on?
LE CAP.	LE CAP.
D’auoir, ie croy, ietté Les yeux & le deſir ſur vostre authorité.	D'avoir, Madame crois, jeté Les yeux et le désir sur votre autorité.
LE ROY, Dieux!	LE ROY, Dieux!
que l’ambition est forte, & que ce vice, Par des ſubtils appas dans les ames ſe gliſſe.	que l'ambition est forte, et que ce vice, Par des subtils appas dans les âmes se glisse.
L’orgueil, ce doux poiſon, treuue lieu dans les cœurs.	L'orgueil, ce doux poison, trouve lieu dans les cœurs.
Qui dè tout autre crime ont esté les vainqueurs.	Qui dèle tout autre crime ont été les vainqueurs.
Que nous prenons à tort, abuſez que nous ſommes, Les qualiteZ de Roys, & de Maiſtres des hommes, Ces titres ne ſont deubs qu’à leurs affections, Les Roys ne peuuent rien deſſus leurs paſſions.	Que nous prenons à tort, abusez que nous sommes, Les qualités de Rois, et de Maîtres des hommes, Ces titres ne sont devbs qu'à leurs affections, Les Rois ne peuvent rien dessus leurs passions.
Dorane, ſi le Duc eſt chargé de ce crime, Ie trouue, & ſa priſon, & ſa mort legitime.	Dorane, si le Duc est chargé de ce crime, Je trouve, et sa prison, et sa mort légitime.
Tandis que nous ferons informer plus auant, Qu'on le tienne à l’abry du Soleil & du vent.	Tandis que nous ferons informer plus avant, Qu'on le tienne à l'abri du Soleil et du vent.
Sa fille, que ie croy de ce crime innocente, Pour garde aura ſans plus la chambre de l’Infante.	Sa fille, que personne crois de ce crime innocente, Pour garde aura sans plus la chambre de l'Infante.
Tous vos commandemens ont pour moy des appas:	Tous vos commandements ont pour moi des appas:
Et nous vous allomcioeIeyeouynue ce pas, Dieux!	Et nous vous allomcioeIeyeouynue ce pas, Dieux!
qu’il faut que ce Prince ayt de melancholie!	qu'il faut que ce Prince ait de mélancolie!
Ce qu’il dit en vn iour, le ſuiuant il l’oublie.	Ce qu'il dit en un jour, le suivant il l'oublie.
LE ROY, parlant à Leandre.	LE ROY, parlant à Léandre.
Que ce rapport (amy) rend mon eſprit confus!	Que ce rapport (ami) rend mon esprit confus!
Icy ie ſuis trompé, ſi iamais ie le fus:	Ici ici suis trompé, si jamais ie le fus:
Et iamais action ne m’auoit fait paroiſtre Qu'en luy ie puiſſe auoir vn ſeruiteur ſi traistre.	Et jamais action ne m'avait fait paraître Qu'en cy ie puisse avoir un serviteur si traître.
LEANDRE.	LÉANDRE.
