A PARIS.	À PARIS.
Pnomle jumauinſent;	Pnomle jumauinsent;
Iy enerenpas tout arait dedans l’êtonnement:	Ji enpérenpas tout arait dedans l'étonnement:
Il n’eſt pas temps encore:	Il n'est pas temps encore:
& ce cœur qui ſoupire A bien pour vous ſurprendre autre choſe à vous d’ire	et ce cœur qui soupire À bien pour vous surprendre autre chose à vous d'ire
Et quoy?	Et quoi?
FROSINE.	FROSINE.
A SCAGNE.	À SCAGNE.
I’ayme Valere.	J'aime Valère.
FROSINE.	FROSINE.
Ha!	Ha!
vous auiez rarſom, L’obiet de vôtre amour, luy dont à la maiſon Vôtre impoſture enleue vn puiſſant heritage, Et qui de vôtre ſexe ayant le moindre ombrage.	Vous aviez rarsom, L'objet de votre amour, lui dont à la maison Votre imposture enlève un puissant héritage, Et qui de votre sexe ayant le moindre ombrage.
Veri oit incontinant ce bien luy retourner, C’eſt encore vn plus grand ſujet de s’étonner.	Véri oit incontinant ce bien lui retourner, C'est encore un plus grand sujet de s'étonner.
ASCAGNE.	ÀSCAGNE.
I’ay dequoy toutefois ſurprendre plus voſtre ame:	J'ai dequoy toutefois surprendre plus votre âme:
Ie ſuis ſa femme.	Je suis sa femme.
FROSINE.	FROSINE.
O!	Ô!
Dieux!	Dieux!
ſa femme!	sa femme!
ASCAGNE.	ÀSCAGNE.
Ouy, ſa femme.	Oui, sa femme.
FROSINE.	FROSINE.
Ha!	Ha!
certes celuy-la l’emporte, & vient about De toute nia raiſon.	certes celui-la l'emporte, et vient about De toute nia raison.
ASCAGNE.	ÀSCAGNE.
Ce n’eſt pas encor tout.	Ce n'est pas encor tout.
Encore!	Encore!
FROSINE.	FROSINE.
ASCAGNE.	ÀSCAGNE.
Ie la ſuis, diſ-je, ſans qu’ille penſe, 11) quiruit demonſort la moindre connoiſſance.	Je la suis, dis-je, sans qu'ille pense, 11) quiruit demonsort la moindre connaissance.
FROSINE.	FROSINE.
Ho!	Ho!
pouſſez;	poussez;
ie le quitte, & ne raiſonne plus, Tant mes ſens coup ſur coup ſe treuuent confondus.	Je le quitte, et ne raisonne plus, Tant mes sens coup sur coup se trouvent confondus.
A ces Enigmes là ie ne puis rien comprendre.	À ces Enigmes là apprendre ne puis rien comprendre.
ASCAGNE.	ÀSCAGNE.
Ie vais vous l’expliquer, ſi vous voulez m’entendre.	Je vais vous l'expliquer, si vous voulez m'entendre.
Valere dans les fers de ma ſœur arreſté Me ſembloit vn amant digne d’eſtre écouté, Et ie ne pouuois voir qu’on rebutaſt ſa flame, Sans qu’vn peu d’intereſt touchât pour luy mon ame.	Valère dans les fers de ma sœur arrêté Me semblait un amant digne d'être écouté, Et grande ne pouvais voir qu'on rebutât sa flamme, Sans qu'un peu d'intérêt touchât pour lui un âme.
Ie voulois que Lucile aymaſt ſon entretien, Ie blâmois ſes rigueurs, & les blâmay ſi bien, Que moy meſme i’entray, ſans pouuoir m’en del fendre, Dans tous les ſentimens qu’elle ne pouuoit prendre.	Je voulais que Lucile aimât son entretien, Je blâmais ses rigueurs, et les blâmai si bien, Que moi -même j'entrai, sans pouvoir m'en dél endre, Dans tous les sentiments qu'elle ne pouvait prendre.
C’eſtoit en luy parlant moy qu’il perſuadoit, Ie melaiſſois gagner aux ſoupirs qu’il perdoit, Et ſes veux rejettez de l’objet qui l’enflame Eſtoient, comme vainqueurs, receus dedans mon ame.	C'était en lui parlant moi qu'il persuadait, Je melaissais gagner aux soupirs qu'il perdait, Et ses veux rejettez de l'objet qui l'enflamme Étaient, comme vainqueurs, reçus dedans mon âme.
Ainſi mon cœur, Froſine, vn peu trop foible, helas!	Ainsi mon cœur, Frôine, un peu trop faible, hélas!
Se rendit à des ſoins qu’on neluy rendoit pas, Par vn coup refleſchy reçeut vne bleſſure, Et paya pour vn autre auec beaucoup d’vſure.	Se rendit à des soins qu'on nelui rendait pas, Par un coup réfleschi reçut une blessure, Et paya pour un autre femme beaucoup d'usure.
Enfin, ma chere, enfin, l’amour que i’eus pour luy Se voulut expliquer, mais ſous le nom d’autruy:	Enfin, ma chère, enfin, l'amour que j'eus pour tu Se voulut expliquer, mais sous le nom d'autrui:
Dans ma bouche, vne nuit, cêt amant trop aymable Cruſt rencontrer Lucile à ſes vœux fauorable.	Dans ma bouche, une nuit, cet amant trop aimable Crût rencontrer Lucile à ses vœux favorable.
Et ie ſçeus ménager ſi bien cet entretien, Que du dêguiſement il ne reconnut rienSous ce voile trompeur qui flatoit ſa penſée, Ie luy dis que pour luy mon ame eſtoit bleſſée;	Et deux su ménager si bien cet entretien, Que du déguisement il ne reconnut rienSous ce le trompeur qui flattait sa pensée, Ie que pour lui pour pour lui âme était blessée;
Mais que, voyant mon pere en d’autres ſentimens Ie deuois vne feinte à ſes commandemens;	Mais que, voyant mon père en d'autres sentiments Je devais une feinte à ses commandements;
Qu’ainſi de nôtre amour nous ferions vn miſtere, Dont la nuit ſeulement ſeroit depoſitaire, Et qu’entre nous de iour, de peur de rien gâter, Tout entretien ſecret ſe deuoit éuiter;	Qu'ainsi de notre amour nous ferions un mystère, Dont la nuit seulement serait dépositaire, Et qu'entre nous de jour, de peur de rien gâter, Tout entretien secret se devait éviter;
Qu’il me verroit alors la meſme indifference, Qu’auant que nous euſſions aucune intelligence, Et que de ſon côté, de meſme que du mien, Geſte, parole écrit, ne m’en dit iamais rien.	Qu'il me verrait alors la même indifférence, Qu'avant que nous eussions aucune intelligence, Et que de son côté, de même que du mien, Geste, parole écrit, ne m'en dit jamais rien.
Enfin, ſans m’arreſter ſur toute l’induſtrie bont ruy conduit le fil de cette tromperie.	Enfin, sans m'arrêter sur toute l'industrie bont rui conduit le fil de cette tromperie.
Iay pounſe ſuiqu'au bout vn profet n'hardy, Et me ſuis aſſuré l’Epoux que ie vous dy.	Jais pounse suqu'au bout un profet n'hardi, Et me suis assuré l'Époux que ie vous dis.
FROSINE.	FROSINE.
Peſte!	Peste!
les grans talens que vôtre eſprit poſſede!	les grans talents que votre esprit possède!
Diroit-on qu’elle y touche, auec ſa mine froide?	Dirait-on qu'elle y touche, avec sa mine froide?
Cependant, vous auez eſté bien viſte icy;	Cependant, vous avez été bien vite ici;
Car Ie veux que la chole ait d’abord reui, Ne iugez vous pas bien, à regarder l’iſſuë, Qu’elle ne peut long-temps êviter d’eſtre ſçeuë.	Car Je veux que la cole ait d'abord revi, Ne jugez vous pas bien, à regarder l'issue, Qu'elle ne peut longtemps ouviter d'être sue.
ASCAGNE.	ÀSCAGNE.
Quand l’amour eſt bien fort, rien ne peut l’arreſter;	Quand l'amour est bien fort, rien ne peut l'arrêter;
Ses projets ſeulement vont à ſe contenter, Et, pourueu qu’il arr iue au but qu’il ſe propoſe, Il croit que tout le re e aples eſt peu dechoſe.	Ses projets seulement vont à se contenter, Et, pourvu qu'il arr ive au but qu'il se propose, Il croit que tout le reles est peu de déchose.
Mais, enfin, aujourd’huy ie me découvre a vous, Afin que vos conſeils.	Mais, enfin, aujourd'hui venir me découvre à vous, Afin que vos conseils.
Mais voicy cét Epoux.	Mais voici cet Époux.
SCENE II	SCÈNE II
SCENE II VALERE,ASCAGNE, IROUINE,	SCÈNE II VALÈRE,ASCAGNE, JROUINE,
VALERE.	VALÈRE.
I vous eſtes tous deux en quelque conference, Nuu le vius faile toit de Meſſer ia prerence, Ie me retireray.	I vous êtes tous deux en quelque conférence, Nu le vivus faile toit de Messer ja prrence, Je me retirerai.
ASCAGNE.	ÀSCAGNE.
Non, non;	Non, non;
vous pouuez bien, ruis que vous le faiſiez, rompre nôtre entretien.	vous pouvez bien, ruis que vous le faisiez, rompre notre entretien.
Moy?	Moi?
VALERE.	VALÈRE.
ASCAGNE.	ÀSCAGNE.
Vous meſme.	Vous -même.
VALERE.	VALÈRE.
Et comment?	Et comment?
ASCRGNE.	ÀSCRGNE.
Ie diſois que Valcre Auroit, ſi i’eſtois fille, vn peu trop ſçeu me plaire Et que, ſi ie faiſois tous les veux de ſon cœur Ie ne tarderois guere à faire ſon bon-heur.	Je disais que Valcre Aurait, si j'étais fille, un peu trop su me plaire Et que, si ici faisais tous les veux de son cœur Je ne tarderais guère à faire son bonheur.
VALERE.	VALÈRE.
Ces proteſtations ne coutent pas grand choſe.	Ces protestations ne coûtent pas grand chose.
Alors qu’à leur effet vn pareil ſi s’oppoſe:	Alors qu'à leur effet un pareil si s'oppose:
Mais vous ſeriez bien pris, ſi quelque éuenement ruiont metlie a Tepleuue vn ndoux compliment.	Mais vous seriez bien pris, si quelque événement ruiont métélie a Teplue un noux compliment.
ASCAGNE.	ÀSCAGNE.
Point du tout;	Point du tout;
ie vous dy que regnant dans vôtre ame* Ie voudrois de bon cœur couronner vôtre flame.	On vous dis que régnant dans votre âme* Je voudrais de bon cœur couronner votre flamme.
VALERE.	VALÈRE.
Et ne entoit queiqu'’vne, ou par votre ſecours Vous puſſiez eſtre vtile au bon-heur de mes iours.	Et ne entait queiqu'une, ou par votre secours Vous pussiez été utile au bonheur de mes jours.
ASCAGNE.	ÀSCAGNE.
Ie pourrois aſſez mal répondre à vôtre attente.	Je pourrais assez mal répondre à votre attente.
VALERE.	VALÈRE.
Cette confeſſion n’eſt pas fort obligeante.	Cette confession n'est pas fort obligeante.
ASCAGNE.	ÀSCAGNE.
Hé!	Hé!
quoy!	quoi!
vous voudriez, Valere, iniuſtement, Qu’eſtant fille, & mon cœur vous aymant tendre ment, Ie m’allaſſe engager auec vne promeſſe De ſeruir vos ardeurs pour quelqu’autre maiſtreſſe.	vous voudriez, Valère, injustement, Qu'étant fille, et mon cœur vous aimant tendre ment, Je m'allasse engager avec une promesse De servir vos ardeurs pour quelque autre maîtresse.
Vn ſi penible effort pour moy m’eſt interdit	Un si pénible effort pour moi m'est interdit
VALERE.	VALÈRE.
Mais celan’eſtant pas?	Mais celan'étant pas?
ASCAGNE.	ÀSCAGNE.
Ce que ie vous ay dit te l’ay dit comme fille, & vous le deuez prendre Tout de meſine.	Ce que ici vous ai dit te l'ai dit comme fille, et vous le devez prendre Tout de mesine.
VALERE.	VALÈRE.
Ainſi donc il ne faut rien pretendre, Aſcagne, a des bontez que vous auriez pour nous, A moins que le Ciel faſſe vn grand miracle en vous.	Ainsi donc il ne faut rien prétendre, Ascagne, a des bontés que vous auriez pour nous, À moins que le Ciel fasse un grand miracle en vous.
Bref, ſi vous n’eſtes fille, adieu vôtre tendreſſe;	Bref, si vous n'êtes fille, adieu votre tendresse;
Il ne vous reſte rien qui pour nous s’intereſſe?	Il ne vous reste rien qui pour nous s'intéresse?
ASCAGNE.	ÀSCAGNE.
P'ay l’eſprit delicat plus qu’on ne peut penſer, Et le moindre ſcrupule a dequoy m’offenſer Quand il s’agit d’aymer;	P'ai l'esprit délicat plus qu'on ne peut penser, Et le moindre scrupule a dequoy m'offenser Quand il s'agit d'aimer;
enfin ie ſuis ſincere;	enfin ie suis sincère;
Ie ne m’engage point à vous ſeruir, Valere, Si vous ne m’aſſurez au moins abſolument, de vous guitien pourmoj le merme ſentiment;	Je ne m'engage point à vous servir, Valère, Si vous ne m'assurez au moins absolument, de vous guitien pourmoj le merme sentiment;
Que pareille chaleur d’amitié vous tranſporte, Et que, ſi i’eſtois fille;	Que pareille chaleur d'amitié vous transporte, Et que, si j'étais fille;
vne flame plus forte N’outrageroit point celle ou ie viurois pour vous.	une flamme plus forte N'outragerait point celle ou ie vivrais pour vous.
VALERE.	VALÈRE.
Ie n’auois iamais veu ce ſcrupule ialoux;	Je n'avais jamais vu ce scrupule jaloux;
G ij Mais tout nouueau qu’il eſt, ce mouuement m’oblige, Et ie vous fais icy tout l’aueu qu’il exige.	G ij Mais tout nouveau qu'il est, ce mouvement m'oblige, Et personne vous fais ici tout l'aveu qu'il exige.
Mais ſans fard?	Mais sans fard?
ASCAGNE.	ÀSCAGNE.
VALERE.	VALÈRE.
Ouy, tans fard	Oui, tans fard
ASCAGNE.	ÀSCAGNE.
Il eſt vray deſormais;	Il est vrai désormais;
Vos interets ſeront les miens, ie vous promets.	Vos intérêts seront les miens, je vous promets.
VALERE.	VALÈRE.
bien toſt à vous dire vn important miſtere, Où l’effet de ces mots me ſera neceſſaire.	bien tôt à vous dire un important mystère, Où l'effet de ces mots me sera nécessaire.
ASCAGNE.	ÀSCAGNE.
Et i’ay quelque ſecret de meſme à vous ouurir, Où vôtre cœur pour moy ſe pourra découurir.	Et j'ai quelque secret de même à vous ouvrir, Où votre cœur pour moi se pourra découvrir.
VALERE.	VALÈRE.
Hé!	Hé!
de quelle façon cela pourroit-il eſtre?	de quelle façon cela pourrait-il être?
ASCAGNE.	ÀSCAGNE.
C’eſt que i’ay de l’amour qui n’oſeroit paroiſtre, Et vous pourriês auoir ſur l’obiet de mes vœux Vn empire à pouuoir rendre mon ſort heureux.	C'est que j'ai de l'amour qui n'oserait paraître, Et vous pourriês avoir sur l'objet de mes vœux Un empire à pouvoir rendre mon sort heureux.
VALERE.	VALÈRE.
Expliquez vous, Aſcagne, & croyez par auance Que voſtre heur eſt certain, s’il eſt en ma puiſſance.	Expliquez -vous, Ascagne, et croyez par avance Que votre heur est certain, s'il est en ma puissance.
ASCAGNE.	ÀSCAGNE.
Vous promettez icy plus que vous le cloyez.	Vous promettez ici plus que vous le cloyez.
VALERE.	VALÈRE.
Non, non;	Non, non;
dites l’obiet pour qui vous m’employez.	dites l'objet pour qui vous m'employez.
RCAGNE.	RACGNE.
Il n’eſt pas encofe temps;	Il n'est pas encose temps;
mais c’eſt vne perſonne Qui vous touche de prés.	mais c'est une personne Qui vous touche de près.
VALERE.	VALÈRE.
Voſtre diſcours m’étonne;	Votre discours m'étonne;
Pleuſt à Dieu que ma ſœur.	Plût à Dieu que ma sœur.
ASCAGNE.	ÀSCAGNE.
Ce n’eſt pas la ſaiſonDe m’expliquer, vous diſ-ie.	Ce n'est pas la saisonDe m'expliquer, vous dis-je.
VALERE.	VALÈRE.
de pourduer.	de pourduer.
G iij	G jijà
ASCAGNE.	ÀSCAGNE.
Pour raiſon.	Pour raison.
Vous ſçaurez mon ſecret, quand ie ſçauray le vôtre	Vous saurez mon secret, quand ici sçauray le vôtre
VALERE.	VALÈRE.
c’ay belom pour cela de l’aueu de quelque autre.	c'ai belom pour cela de l'aveu de quelque autre.
ASCAGNE Ayez-le donc!	ASCAGNE Ayez-le donc!
& iors nous expliquant nos vœux, Nous verrons qui tiendra mieux parole des deux	et jors nous expliquant nos vœux, Nous verrons qui tiendra mieux parole des deux
VALERE.	VALÈRE.
Adieu;	Adieu;
i’en ſuis content.	j'en suis content.
ASCNUNE.	ASCNUNE.
Et moy content, Valere.	Et moi content, Valère.
FROSINE.	FROSINE.
Il croit trouuer en vous l’aſſiſtance d'vn frere.	Il croit trouver en vous l'assistance d'Hre frère.
SCENE III.	SCÈNE III.
FROSINE, ASCAGNE, MARINEIIE, AVCILE.	FROSINE, ASCAGNE, MARINEIE, AUCILE.
LVCILE.	LUCILE.
N’En eſt fait;	N'En est fait;
c’eſt ainſi que ie me puis vanger?	c'est ainsi que personne me puis venger?
CEt, ſi cette action a dequoy l’affliger, C’eſt toute la douceur que mon cœur s’y propoſe.	CEt, si cette action a dequoy l'affliger, C'est toute la douceur que mon cœur s'y propose.
Mon frere, vous voyez vne metamorphoſe.	Mon frère, vous voyez une métamorphose.
Ie veux cherir Valere apres tant de nerte, Et mes veux maintenant tournent de ſon côté.	Je veux chérir Valère après tant de nerte, Et mes veux maintenant tournent de son côté.
ASCAGNE.	ÀSCAGNE.
Que dites, vous:	Que dites, vous:
ma feur, comment dcourir au change!	ma seur, comment dourir au change!
Cette inégalité me ſemble trop étrange.	Cette inégalité me semble trop étrange.
LVCILE.	LUCILE.
La voſtre me ſurprend auec plus de ſuiet:	La vôtre me surprend avec plus de sujet:
De toslomadtrerois puitre eſtoit l’obiet;	De toslomadtrerais puitre était l'objet;
Ie vous ay veu pour luy m’accuſer de caprice, D’aueugle cruauté, d’orgueil, & d’iniuſtice, Et, quand ie veux l’aimer mon deſſein vous déplaiſt, Et ie vous voy parler contre ſon intereſt.	Je vous ai vu pour lui m'accuser de caprice, D'aveugle cruauté, d'orgueil, et d'injustice, Et, quand je veux l'aimer mon dessein vous déplaît, Et ainsi vous vois parler contre son intérêt.
ASCAGNE.	ÀSCAGNE.
Ie le quitte, ma ſœur, pour embraſſer le voſtre Ie ſçay qu’il eſt rangé deſſous les loix d’vn autre Et ce ſeroit vn trait honteux à vos appas daa euxlos Telles es dui de ledit paa.	Je le quitte, ma sœur, pour embrasser le vôtre Je sais qu'il est rangé dessous les lois d'un autre Et ce serait un trait honteux à vos appas da euxlos Telles es vi de ledit pa.
LVCILE.	LUCILE.
Si ce n’eſt que cela, i’auray ſoin de ma gloire;	Si ce n'est que cela, j'aurai soin de ma gloire;
Et ie ſçay pour ſon cœur tout ce que i’en doy croire Il s’explique à mes yeux intelligiblement.	Et grande sais pour son cœur tout ce que j'en dois croire Il s'explique à mes yeux intelligiblement.
Ainſi, déconurez-luy, ſans peur, mon ſentiment:	Ainsi, déconurez-lui, sans peur, mon sentiment:
oujn vous refuſez de le faire, ma couche.	oujus vous refusez de le faire, ma couche.
Luy varaiſe içauoir que ſon ardeur me touche.	Lui varaize içauoir que son ardeur me touche.
Quoy!	Quoi!
mon frere, à ces mots vous reſtez interditl	mon frère, à ces mots vous restez interditl
ASCAGNE.	ÀSCAGNE.
Ha!	Ha!
ma ſœur, ſi ſur vous ie puis auoir credit, Si vous eſtes ſenſible aux prieres d’vn frere, Quittez vn tel deſſein, & n’ôtez point Valere Aux vœux d’vn ieune objet dont l’intereſt m’e cher, Et qui ſur ma parole à droit de vous toucher.	ma sœur, si sur vous rien puis avoir crédit, Si vous êtes sensible aux prières d'un frère, Quittez un tel dessein, et n'ôtez point Valère Aux vœux d'un jeune objet dont l'intérêt m'e cher, Et qui sur ma parole à droit de vous toucher.
La pauure infortunée ayme auec violence;	La pauvre infortunée aime avec violence;
A moy ſeul de ſes feux elle fait confidence, Et ie voy dans ſon cœur de tendres mouuemens A dompter la fierté des plus durs ſentimens.	À moi seul de ses feux elle fait confidence, Et ici vois dans son cœur de tendres mouvements A dompter la fierté des plus durs sentiments.
Ouy, vous auriez pitié de l’eſtat de ſon ame, Connoiſſant de quel coup vous menacez ſa flame, Et ie reſſens ſi bien la douleur qu’elle aura, Que ie ſuis aſſuré ma ſœur, qu’elle en mourra.	Oui, vous auriez pitié de l'état de son âme, Connaissant de quel coup vous menacez sa flamme, Et su ressens si bien la douleur qu'elle aura, Que je suis assuré ma sœur, qu'elle en mourra.
Si Si vous luy derobez l’amant qui peut luy plaire.	Si Si vous lui dérobez l'amant qui peut deux plaire.
Eraſte eſt vn party qui doit vous ſatisfaire;	Eraste est un parti qui doit vous satisfaire;
Et des feux mutuels.	Et des feux mutuels.
LVCILE.	LUCILE.
Mon frere, c’eſt aſſez:	Mon frère, c'est assez:
Ie ne ſçay point pour qui vous vous intereſſez;	Je ne sais point pour qui vous vous intéressez;
Mais, de grace, cenons ce diſcours, ie vous prie, Et me laiſſez vn peu dans quelque réverie.	Mais, de grâce, cenons ce discours, je vous prie, Et me laissez un peu dans quelque rêverie.
ASCAGNE.	ÀSCAGNE.
Allez, cruelle ſœur, vous me deſeſperez, Si vous effectuez vos deſſeins declarez.	Allez, cruelle sœur, vous me désespérez, Si vous effectuez vos desseins déclarez.
SCENE IV MARINETEEIDVCILE.	SCÈNE IV MARINETEIDUCILE.
MARINETTE.	MARINETTTE.
A reſolution, Madame, eſt aſſez prompte.	A résolution, Madame, est assez prompte.
LVCILE.	LUCILE.
Vn cœur ne peze rien alors que l’on l’affronte;	Un cœur ne pèze rien alors que l'on l'affronte;
Il court à ſa vengeance, & ſaiſit promptement I’out ce qu’il croit ſeruir à ſon reſſentiment, Le traiſtre!	Il court à sa vengeance, et saisit promptement J'out ce qu'il croit servir à son ressentiment, Le traître!
faire voir cette inſolence extrême:	faire voir cette insolence extrême:
MARINETTE.	MARINETTTE.
Vous m’en voyez encore toute hors de moy-meſme;	Vous m'en voyez encore toute hors de moi-même;
Et, quoy que là deſſus ie rumine ſans fin, L’auenture me paſſe & i’y pers mon latin.	Et, quoi que là dessus a rumine sans fin, L'aventure me passe et j'y pers mon latin.
Car enfin, aux tranſports d’vne bonne nouuelle, Iamais cœur ne s’ouurit d’vne façon plus belle:	Car enfin, aux transports d'une bonne nouvelle, Jamais cœur ne s'ouvrit d'une façon plus belle:
De l’écrit obligeant le ſien tout tranſporté Ne me donnoit pas moins que de la deïté;	De l'écrit obligeant le sien tout transporté Ne me donnait pas moins que de la deïté;
Et cependant iamais, à cét autre meſſage, Fille ne fut traitée auecque tant d’outrage.	Et cependant jamais, à cet autre message, Fille ne fut traitée avec tant d'outrage.
Ie ne ſçay, pour cauſer de ſi grands changemens, Ce qui s’eſt pû paſſer entre ces courts momens.	Je ne sais, pour causer de si grands changements, Ce qui s'est pu passer entre ces courts momens.
LVCILE.	LUCILE.
Rien ne s’eſt pû paſſer dont il faille eſtre en peine, Puis que rien ne le doit deffendre de ma haine.	Rien ne s'est pu passer dont il faille être en peine, Puis que rien ne le doit défendre de ma haine.
Quoy!	Quoi!
tu voudrois chercher hors de ſa lâcheté La ſecrette raiſon de cette indignité!	tu voudrais chercher hors de sa lâcheté La secrète raison de cette indignité!
Cét écrit mal-heureux dont mon ame s’aceuſe Peut-il a ſon tranſport loumrir la momdre excuſe?	Cet écrit malheureux dont mon âme s'aceuse Peut-il a son transport loumir la moment excuse?
MARINETTE.	MARINETTTE.
En effet;	En effet;
ie comprends que vous avez raiſon, Et que cette querelle eſt pure trahiſon.	Ce comprends que vous avez raison, Et que cette querelle est pure trahison.
Nous en tenons, Madame;	Nous en tenons, Madame;
& puis prétons l’oreille Aux bons chiens de pendars qui nous chantent merueille, Qui pour nous acrocher feignant tant de langueur;	et puis prêtons l'oreille Aux bons chiens de pendards qui nous chantent merveille, Qui pour nous acrocher feignant tant de langueur;
Laiſſons à leurs beaux mots fondre nôtre rigueur, Rendom nououlemiorœun, crop foibles que nous ſommes.	Laissons à leurs beaux mots fondre notre rigueur, Rendom nouvlemiorœun, crop faibles que nous sommes.
Foin de nôtre ſotiſe, & peſte ſoit des hommes.	Foin de notre sottise, et peste soit des hommes.
LVCILE.	LUCILE.
Hé bien, bien;	Hé bien, bien;
qu’il s’en vante, & rie à nos dépens;	qu'il s'en vante, et rie à nos dépens;
Il n’aura pas ſuiet d’en triompher long-temps;	Il n'aura pas sujet d'en triompher longtemps;
Et ie luy feray voir qi’en vne ame bien faite Le mépris ſuit de pres la faueur qu’on rejette.	Et ieande ferai voir qi'en une âme bien faite Le mépris suit de pres la faveur qu'on rejette.
MARINETTE.	MARINETTTE.
Au moins, en pareil cas, eſt-ce vn bon-heur bien doux, Quand on ſçait qu’on n’a point d’auantage ſur vous Marinette eut bon nez, quoy qu’on en puiſſe dire.	Au moins, en pareil cas, est-ce un bonheur bien doux, Quand on sait qu'on n'a point d'avantage sur vous Marinette eut bon nez, quoi qu'on en puisse dire.
De ne permetre rien vn ſoir qu’on vouloit rire.	De ne permetre rien un soir qu'on voulait rire.
Quelque autre, ſous eſpoir de matrimonion, Auroit ouuert l’oreille à la tentation;	Quelque autre, sous espoir de matrimonion, Aurait ouvert l'oreille à la tentation;
Mais moy, neſcio, vos.	Mais moi, nécio, vos.
LVCILE.	LUCILE.
Que tu dis de folies!	Que tu dis de folies!
Et choiſis mal ton temps pour de telles faillies!	Et choisis mal ton temps pour de telles faillies!
Enfin ie ſuis touchée au cœur ſenſiblement, Et, ſi iamais celuy de ce perfide amant Par vn coup de bon-heur, dont i’aurois tort, ie penſe, De vouloir à preſent conceuoir l’eſperance, (Car le Ciel a rrop pris plaiſir à m’affliger, Pour me donner celuy de me pouuoir vanger) Quand, diſ-ie, par vn ſort à mes deſirs propice, Il reuiendroit m’offrir ſa vie en ſacrifice, Deteſter à mes pieds l’action d’auiourd’huy, Ie te deffens ſur tout de me parler pour luy.	Enfin ie suis touchée au cœur sensiblement, Et, si jamais celui de ce perfide amant Par un coup de bonheur, dont j'aurais tort, ie pense, De vouloir à présent concevoir l'espérance, (Car le Ciel a rop pris plaisir à m'affliger, Pour me donner celui de me pouvoir venger) Quand, dis-je, par un sort à mes désirs propice, Il reviendrait m'offrir sa vie en sacrifice, Detester à mes pieds l'action d'aujourd'hui, Je te défens sur tout de parler parler pour lui l'
Au contraire, ie veux que ton zele s’exprime A me bien metre aux yeux la grandeur de ſon crime, Et meſme, ſi mon cœur eſtoit pour luy tenté De deſcendre iamais à quelque lâcheté, Que ton affection me ſoit alors ſeuere, Et tienne comme il faut la main à ma colere.	Au contraire, Seigneur veux que ton zèle s'exprime À me bien metre aux yeux la grandeur de son crime, Et même, si mon cœur était pour lui tenté De descendre jamais à quelque lâcheté, Que ton affection me soit alors sévère, Et tienne comme il faut la main à ma colère.
MA RINETTE.	MA RINETTTE.
Vrayment, n’ayez point peur, & laiſſez faire à nous;	Vraiment, n'ayez point peur, et laissez faire à nous;
I’ay pour le moius autant de colere que vous, Et ie ſerois plûtôt fille toute ma vie, Que mon gros traitre auſſi me redonnât enuie.	J'ai pour le moius autant de colère que vous, Et apprendre serais plutôt fille toute ma vie, Que mon gros traître aussi me redonnât envie.
S’il vient.	S'il vient.
SCINE V.	SCINE V.
SCENE MARINETTE, LVCILE, ALBERT,	SCÈNE MARINETTE, LUCILE, ALBERT,
ALBERT.	ALBERT.
N Entrez, Lucile, & me faites venir Le precepteur, ie veux vn peu l’entretenir, Et m’informer de luy qui me gouuerne Aſcagne, S’il ſçait point quel ennuy depuis peu l’acompagne.	 Entrez, Lucile, et me faites venir Le précepteur, tu veux un peu l'entretenir, Et m'informer de Seigneur qui me gouverne Ascagne, S'il sait point quel ennui depuis peu l'acompagne.
Il continue ſeul.	Il continue seul.
En quel gouffre de ſoins & de perplexité Nousſiette vne action faite ſans équite!	En quel gouffre de soins et de perplexité Noussiette une action faite sans équite!
D’vn enfant ſuppoſé par mon trop d’auarice Mon cœur depuis long-tẽps ſouffre bien le ſupplice, Et, quand ie voy les maux où ie me ſuis plongé, Ie voudrois à ce bien n’auoir iamais ſonge.	D'un enfant supposé par mon trop d'avarice Mon cœur depuis longtemps souffre bien le supplice, Et, quand ie vois les maux où tu me suis plongé, Je voudrais à ce bien n'avoir jamais songe.
Tantoſt ie crains de voir, par la fourbe éuentée, Ma famille en opprobre & miſere iettée;	Tantôt notre crains de voir, par la fourbe éventée, Ma famille en opprobre et misère jetée;
Tantoſt, pour ce fils-là, qu’il me f’aut conſeruer, Ie crains cent accidens qui peuuent arriuer.	Tantôt, pour ce fils-là, qu'il me s'aut conserver, Je crains cent accidents qui peuvent arriver.
S’il aduient que dehors quelque affaire m’appelle.	S'il advient que dehors quelque affaire m'appelle.
I’apprehende au retour cette triſte nouuelle, Las!	J'appréhende au retour cette triste nouvelle, Las!
vous ne ſçauez pas?	vous ne savez pas?
vous l’a-t’on anoncé?	vous l'a-t-on anoncé?
Voſtre fils a la fièvre, ou iambe, ou bras caſſé:	Votre fils a la fièvre, ou jambe, ou bras cassé:
Enfin, à tous momens, ſurquoy que ie m’arreſte, Cent ſortes de chagrins me roulent par la teſte.	Enfin, à tous moments, surquoi que ie m'arrête, Cent sortes de chagrins me roulent par la tête.
Ha!	Ha!
ANE AEBERT, MLTATTIRASTE,	ANE AEBERT, MLTATTIRASTE,
METAPHRASTE.	METAPHRASTE.
MAndatum tuum curo diligenter.	MAndatum tuum curo diligenter,
ALBERT.	ALBERT.
Maiſtre, i’ay voulu.	Maître, j'ai voulu.
METAPHRASTE, Maiſtre eſt dit à Magiſter, C’eſt comme qui diroit trois fois plus grand.	METAPHRASTE, Maître est dit à Magister, C'est comme qui dirait trois fois plus grand.
ALBERT.	ALBERT.
