AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
De cette ambition mon ame entretenuë M’accuſe iuſtement de trop de retenue, Si i'en cnoy ma raiſon, ie luy ſuis inégal Mais ie prens ſes conſeils comme ceux d’vn riual, Ie croy qu’elle me trompe, & cherit elle meſme Les rauiſſans auteurs de mon Amour extreſme Elle oblige ſouuent mon ame à des respects Qui me rendent en fin tous ſes auis ſuspects.	De cette ambition mon âme entretenue M'accuse justement de trop de retenue, Si j'en cnoy ma raison, en luy suis inégal Mais tu prends ses conseils comme ceux d'un rival, Je crois qu'elle me trompe, et cherit -elle même Les ravissants auteurs de mon Amour extrême Elle oblige souvent mon âme à des respects Qui me rendent en fin tous ses avis suspects.
Mais ou ſuis-ie reduit?	Mais ou suis-je réduit?
regarde ta naiſſance Et meſure auiourd’huy tes feux à ta puiſſance.	regarde ta naissance Et mesure aujourd'hui tes feux à ta puissance.
Sous cette pasſion mon esprit abatu Deuient ſourd aux propos que luy tient ma vertu;	Sous cette passion mon esprit abattu Deuvient sourd aux propos que tu tient ma vertu;
La Fortune ades iours qu’on la treuue prospere;	La Fortune ades jours qu'on la trouve prospère;
Hé bien, volage Amour, veux tu donc que i’espere?	Hé bien, volage Amour, veux -tu donc que j'espère?
Les Deeſſes iadis auſsi bien que les Dieux	Les Déesses jadis aussi bien que les Dieux
Pour aymer icy bas ont méprisé les Cieux;	Pour aimer ici bas ont méprisé les Cieux;
Ce chaſſeur, au leuer d’vn beau iour qu’il adore, Attire a ſoy les yeux & les vœux de l’Aurore;	Ce chasseur, au lever d'un beau jour qu'il adore, Attire a soi les yeux et les vœux de l'Aurore;
Venus a qui nos cœurs ont dreſsé tant d’Autels N’a pas touſiours aymé parmy les Immortels, Et contre ſon humeur l’inuincible Diane Fut elle pas reduite aux apas d’vn profane?	Venus a qui nos cœurs ont dressé tant d'Autels N'a pas toujours aimé parmi les Immortels, Et contre son humeur l'invincible Diane Fut elle pas réduite aux apas d'un profane?
Ce Iuge ſouuerain de trois rares beautez.	Ce Juge souverain de trois rares beautés.
Donc l’arreſt fut ſuiui de tant de cruautez, Apres auoir mené des troupeaux par la pleine Fut deſtiné l’obiet des Amours d vne Reine;	Donc l'arrêt fut suivi de tant de cruautés, Après avoir mené des troupeaux par la pleine Fut destiné l'objet des Amours d une Reine;
En fin pourquoy le Ciel m’auroit il imprimé e deſir de l’aymer que pour en eſtre aymé?	En fin pourquoi le Ciel m'aurait il imprimé est désir de l'aimer que pour en être aimé?
IVe puiſ-ie pas penſer que les Dieux l’ont éleuë Pour montrer en cela leur puiſſance abſoluë?	IVe puis-je pas penser que les Dieux l'ont élever Pour montrer en cela leur puissance absolue?
I' ay trep peu de courage, & mon feu cependant Se nourit des ſuiets qui le vont retardant;	J' ai trep peu de courage, et mon feu cependant Se nourit des sujets qui le vont retardant;
Ma patience cede à l’exces de ma flame, Ie ſçauray donc dans peu, ce qu’elle a dedans l’ame Il faut entretenir Leriane, & la voir Pour m'inſtruire par elle aux poincts de mon deuoir	Ma patience cède à l'excès de ma flamme, Je saurai donc dans peu, ce qu'elle a dedans l'âme Il faut entretenir Leriane, et la voir Pour m'instruire par elle aux points de mon devoir
A I E	À I É
SCENE dERInRE.	SCÈNE RInRE.
II.	II.
* ATAL embraſement qui paſſant iuſqu’a l’ame La reduit au danger de ſe perdre en ſa flame Beaux yeux dont les attraits ont demandé ma foy Quoy donc ne ſereZ vous rigoureux que pour moy:	* ATAL embrasement qui passant jusqu'a l'âme La réduit au danger de se perdre en sa flamme Beaux yeux dont les attraits ont demandé ma foi Quoi donc ne serez vous rigoureux que pour moi:
Que me ſert de treuuer en tes yeux pitoyables Vn ſecours ordinaire a tous les miſerables?	Que me sert de trouver en tes yeux pitoyables Un secours ordinaire a tous les misérables?
Hâ cruelle pitie qui me feroit mourir St ie manquois d’ailleurs de moyens pour guerir?	Hâ cruelle pitié qui me ferait mourir St ici manquais d'ailleurs de moyens pour guérir?
Inutile remede, inuentions friuolles De penſer ſecourir auecque des paroles!	Inutile remède, inventions frivoles De penser secourir notre des paroles!
C’eſt à faire aux ſorciers qui par certains diſcours Aportent du mal’heur, ou du bien a nos iours Mais le mal de l’Amour veut vn effet ſenſible Pour rendre ſeulement ſa gueriſon poſsible.	C'est à faire aux sorciers qui par certains discours Aportent du mal'heur, ou du bien a nos jours Mais le mal de l'Amour veut un effet sensible Pour rendre seulement sa guérison possible.
Apres auoir perdu tant de iours & de nuits Sans auoir veu ton cœur touche de mes ennuis Tu le ſçauras, Damon, qu’vne femme abuſee Vange aux occaſions ſon amour mépriſee La beauté quit'a pris & ſouſmis à ſa Loy Ne veut pas que tu brûle & pour elle, & pour moy:	Après avoir perdu tant de jours et de nuits Sans avoir vu ton cœur touche de mes ennuis Tu le sauras, Damon, qu'une femme abée Venge aux occasions son amour méprisée La beauté quit'a pris et sousmis à sa Loi Ne veut pas que tu brûle et pour elle, et pour moi:
Prens-tu point mon Amour pour vn feu d’artifice Où pour vn ieu d’enfant mes ofres de ſeruice?	Prends-tu point mon Amour pour un feu d'artifice Où pour un jeu enfant mes offres de service?
Non, non;	Non, non;
mais occupé par vn objet plus beau Tu me vois en riant aprocher du tombeau:	mais occupé par un objet plus beau -tu me vois en riant approcher du tombeau:
Il eſt temps d’areſter cette trame amoureuſe Et dedans ton mal’heur me rendre plus heureuſe, Ie pratique vn Riual à ta foible raiſon Qui, portera toname a rompre ſa priſon!	Il est temps d'arester cette trame amoureuse Et dedans ton malheur me rendre plus heureuse, Je pratique un Rival à ta faible raison Qui, portera ton a rompre sa prison!
I'ay l’eſprit aſſeZ plein de ruſe ce me ſemble, Pour me vanger d’vn ſeul, i’en trompe trois enſemble.	J'ai l'esprit assez plein de ruse ce me semble, Pour me venger d'un seul, j'en trompe trois ensemble.
Voicy de mon deſſein le premier inſtrument, Conduiſons cette affaire auec du iugement.	Voici de mon dessein le premier instrument, Conduisons cette affaire avec du jugement.
Que tu viens a propos!	Que tu viens à propos!
te dirai-ie Therſandre, Ce que ta paßion n’oſeroit pas prétendre?	te dirai-je Thersandre, Ce que ta passion n'oserait pas prétendre?
En fin ton homicide a conçeu dans le cœur Des dédains aſſeureZ de ſon premier vainqueur I’ay leu dedans ſes yeux le ſecret de ſon ame Ei tés deſirs qu'elle a de répondre a ta flame, Elle croiroit faillir de ne te pas priſer.	En fin ton homicide a conçu dans le cœur Des dédains assurés de son premier vainqueur J'ai leu dedans ses yeux le secret de son âme Ei tés désirs qu'elle a de répondre a ta flamme, Elle croiroit faillir de ne te pas priser.
THERSANDRE.	THÉRSANDRE.
Hâ que ſubtilement tu me viens abuſer!	Hât que subtilement tu me viens abuser!
LERIANE.	LERIANE.
Dy que ie viens plutoſt de faire ta fortune,	Dis que ici viens plutôt de faire ta fortune,
THERSANDRE.	THÉRSANDRE.
N’a-telle point montré quelque froideur,	N'a-telle point montré quelque froideur,
LERIANE.	LERIANE.
Ancune, Au contraire elle croit tedeuoir du retour,	Ancune, Au contraire elle croit tedevoir du retour,
THERSANDRE.	THÉRSANDRE.
Ouy, ſi mon ſang eſtoit pareil a mon amour,	Oui, si mon sang était pareil a mon amour,
LERIANE.	LERIANE.
CeſtaſſeZ det'aymer pour aquerir ſa grace.	CestasseZ dét-aimer pour aquérir sa grâce.
THERSANDRE.	THÉRSANDRE.
C’eſt vn foible moyen de conſeruer la place,	C'est un faible moyen de conserver la place,
LERIANE.	LERIANE.
Que demande vn enfant que de l’affection?	Que demande un enfant que de l'affection?
THERSANDRE.	THÉRSANDRE.
Auiourd’huy les enfans ont de l’ambition,	Aujourd'hui les enfants ont de l'ambition,
LERIANE.	LERIANE.
Mais en fin elle t’ayme,	Mais en fin elle t'aime,
THERSANDRE.	THÉRSANDRE.
Elle a trop de courage.	Elle a trop de courage.
Pour aymer ſon ſuiet.	Pour aimer son sujet.
LERIANE.	LERIANE.
Thledena, peat quie, Si ie t’en montre vn gage	Thledena, péat quie, Si tu t'en montre un gage
THERSANDRE.	THÉRSANDRE.
Ha bon Dieul que ce iour (mour Me donne en meſme temps & de crainte & d’aSeroit-ce point l’anneau que tu m'as promis d’elle?	Ha bon Dieul que ce jour (mour Me donne en même temps et de crainte et d'aSerait-ce point l'anneau que tu m'as promis d'elle?
LERIANE.	LERIANE.
Midis acondition que in tuy ſois fidene Il eſt pareil au ſien.	Midis acondition que in tui sois fidène Il est pareil au sien.
THERSANDRE.	THÉRSANDRE.
Hà quel contentement!	Hà quel contentement!
Pardonne, Leriane, aux craintes d’vn Amant;	Pardonne, Lériane, aux craintes d'un Amant;
LERIANE.	LERIANE.
Veux-tu que ie t’en dõne vn plus grãd teſmoignage Ie te la feray veoir, tenons nous au paſſage E On va bien toſt au temple, & ie croy qu’elle ira, Voy de quelle façon elle t’acueillera.	Veux-tu que cela t'en dõne un plus grand témoignage Je te la ferai veoir, tenons nous au passage E On va bien tôt au temple, et un crois qu'elle ira, Vois de quelle façon elle t'acueillera.
DAMON CACHE.	DAMON CACHÉE.
T	T
LERIANE.	LERIANE.
La voila qu’elle auance Il luy faut ſeulement faire la reuerence.	La voilà qu'elle avance Il a faut seulement faire la révérence.
A T L I I	À T L I I
SCENE ITI.	SCÈNE ITI.
8 DAMON.	8 DAMON.
VSTICE!	VSTICE!
Cieux!	Cieux!
Amour!	Amour!
& vous Dieux immortels MVN Pour qui dans ce ſaint lieu s’éleuent des autels, VangeZ moy maintenant par vn notable exemple D’vne ingrate qui fait ſes vœux dans votre temple O Dieux qui connoiſſeZ Damon & ſes Amours Votre iuſtice peut me donner du ſecours, Vous pouueZ contenter mon amoureuſe enuie Puniſſant ſes mépris, ou bien m’oſtant la vie;	et vous Dieux immortels MUN Pour qui dans ce saint lieu s'éleuent des autels, Vengez moi maintenant par un notable exemple D'une ingrate qui fait ses vœux dans votre temple Ô Dieux qui connaissés Damon et ses Amours Votre justice peut me donner du secours, Vous pouvez contenter mon amoureuse envie Punissant ses mépris, ou bien m'ôtant la vie;
Si vous autoriſeZ ſes regars inhumains N'attendez pas iamais des encens de mes mains	Si vous autorisez ses régars inhumains N'attendez pas jamais des encens de mes mains
Et que quand vous voudreZ voſtre tonnerre éclate Ie ſuis aſſez puny de voir Madonte ingrate;	Et que quand vous voudrez votre tonnerre éclate Je suis assez puni de voir Madonte ingrate;
Vous ſeriez impuiſſans à treuuer vn mal’heur Que mon cœur reſſentît auec plus de douleur.	Vous seriez impuissants à trouver un malheur Que mon cœur ressentît toujours plus de douleur.
S'en eſt fait, ie n’ay plus le moindre feu pour elle Ce changement honteux la rend trop criminelle, Ie ſuis de cette humeur que i’ayme la beaute Qui me feroit horreur dedans la cruauté.	S'en est fait, je n'ai plus le moindre feu pour elle Ce changement honteux la rend trop criminelle, Je suis de cette humeur que j'aime la beauté Ur me ferait horreur dedans la cruauté.
Helas!	Hélas!
pauure Damon, où tendent ces menares Le moyen de quiter tant d’apas & de graces?	pauvre Damon, où tendent ces menares Le moyen de quitter tant d'appas et de grâces?
Ie ſerois inſenſible, & ferois un peche D’auoir les yeux ouuerts ſans en eſtre touché, Les dieux meſmes vaincus par l’effort de ſes charmes Pour vanger ſes mépris ſe treuuerroient ſans armes;	Je serais insensible, et ferais un pèche D'avoir les yeux ouverts sans en être touché, Les dieux mêmes vaincus par l'effort de ses charmes Pour venger ses mépris se trouveraient sans armes;
Ses cheueux ou l’Amour donne toutes ſes loix Sont ſi chargez de cœurs qu’ils tremblent ſous leurs Et les boutõs de feu de sõ beau ſein d’albâtre ( poix N'ont que trop de pouuoir pour faire vn Idolâtre;	Ses cheveux ou l'Amour donne toutes ses lois Sont si chargés de cœurs qu'ils tremblent sous leurs Et les boutons de feu de son beau sein d'albâtre ( poix N'ont que trop de pouvoir pour faire un Idolâtre;
D'abord quand on regarde vn viſage ſi beau L œilauſsi teſt ſurpris le prend pour vn tableau, Et penſe que ce ſoit quelque riche figure Ou l Art ayt trauaillé plutoſt que la Nature	D'abord quand on regarde un visage si beau L œilaussi test surpris le prend pour un tableau, Et pense que ce soit quelque riche figure Ou l Art ait trauaillé plutôt que la Nature
Ces deux põmes d’Amour qu’on ne voit qu’a demy Me charment au trauers d’vn mouchoir ennemy.	Ces deux pommes d'Amour qu'on ne voit qu'a demi Me charment au travers d'un mouchoir ennemi.
On me l auoit bien dit que la belle inhumaine Peyeroit de mépris mon ſeruice & ma peine, Mais le croire, c’eſtoit faire tort à ſes yeux Qui d’vn regard ſecret & caché meſme aux Dieux M'auoient trop aſſuré qu’ils brûloient de la flame Qu'a deſſein ils auoient ietté dedans mon Ame Lors qu’ils feſoient eſtat de donner chaque iour A ma raiſon nouice vne leçon d’amour:	On me l avait bien dit que la belle inhumaine Peyeroit de mépris mon service et ma peine, Mais le croire, c'était faire tort à ses yeux Qui d'un regard secret et caché même aux Dieux M'avaient trop assuré qu'ils brûlaient de la flamme Qu'a dessein ils avaient jeté dedans mon Âme Lors qu'ils fesaient état de donner chaque jour A ma raison nouvice une leçon d'amour:
Ces Aſtres dont ie priſe encore l’influence M’aprirent de l’Amour l’art & l’experience, Ces ſoleils qui rendoient mes eſprits ſi contens M'auoient fait esperer vn éternel printemps M’’auoient fait eſperer que le change des choſes Ne terniroit iamais le pourpre de nos roſes;	Ces Astres dont ie prise encore l'influence M'apprirent de l'Amour l'art et l'expérience, Ces soleils qui rendaient mes esprits si contents M'avaient fait espérer un éternel printemps M'avaient fait espérer que le change des choses Ne ternirait jamais le pourpre de nos roses;
L’infidelle qu’elle eſt m’auoit iuré la foy Qu'ils ne lu:	L'infidèle qu'elle est m'avait juré la foi Qu'ils ne lu:
roient iamais pour autre que pour moy!	raient jamais pour autre que pour moi!
Madonte, c’eſt à toy que s’adreſſe ma plainte Non d’eſpoir que iamais ton ame en ſoit atteinte, Non d’eſpoir de guerir puiſque le changement, Orgueilleuſe, te ſert d’éclat & d’ornement.	Madonte, c'est à toi que s'adresse ma plainte Non d'espoir que jamais ton âme en soit atteinte, Non d'espoir de guérir puisque le changement, Orgueilleuse, te sert d'éclat et d'ornement.
Orgueilleuſe, que diſ ie?	Orgueilleuse, que dis ie?
indiſcret, ie l’ofence Tous les Dieux outrageZ en prendront la defence Quoy!	indiscret, ie l'ofense Tous les Dieux outragez en prendront la défense Quoi!
mon amour perdra l’vſage de parler Veyant le ſien inſtruit à celuy de voler?	mon amour perdra l'usage de parler Veyant le sien instruit à celui de voler?
Non, non;	Non, non;
ſi ſon amour eſt ſi bien fait à feindre Le mien dans ſes dedains à raiſon de ſe plaindre:	si son amour est si bien fait à feindre Le mien dans ses dédains à raison de se plaindre:
A tort ie la diſois vne Diuinité Les Dieux ne changent point, & ſa legereté M en donne vndemãtir, cherchãt dans l’impoſsible De ménager l'Amour comme vn bien diuiſible, Comme ſi la Nature auoit fait notre cœur Capable d’enfermer plus d'vn obiet vainqueur;	A tort Seigneur la disais une Divinité Les Dieux ne changent point, et sa légèreté M en donne vndemãtir, cherchãt dans l'impossible De ménager l'Amour comme un bien divisible, Comme si la Nature avait fait notre cœur Capable d'enfermer plus d'être objet vainqueur;
L'Amour eſt fils vnique il n’eut iamais de frere Bien qu’vn Dieu fort ſouuent ayt viſité ſa mere.	L'Amour est fils unique il n'eut jamais de frère Bien qu'un Dieu fort souvent ait visité sa mère.
Beaux yeux ou mon eſprit s’eſt trompé ſi lon temps PorteZ, porte Z ailleurs vos rayons inconſtants Criminelles beautez vous auriez trop de gloire N’eſtant plus dãs mõ cœur de viure en ma memoire!	Beaux yeux ou mon esprit s'est trompé si lon temps Portez, porte Z ailleurs vos rayons inconstants Criminelles beautés vous auriez trop de gloire N'étant plus dans mon cœur de vivre en ma mémoire!
Toutes mes libertęz dont ie voy le retour Eleuent vn trophee endepit de l’Amour.	Toutes mes liberts dont ie vois le retour Élèvent un trophée endepit de l'Amour.
Soufrir certains mépris, voir Madonte entreprẽdre De maiſtriſer Damon, & de ſeruir Therſandre Voir vn homme de rien, vn ſimple ſeruiteur Prendre la qualité de mon Competiteur, Therſandre dont le ſang & l’eſtre me fait honte Qu’il s’oſe preualoir des graces de Madonte?	Soufrir certains mépris, voir Madonte entreprendre De maîtriser Damon, et de servir Thersandre Voir un homme de rien, un simple serviteur Prendre la qualité de mon Compétiteur, Thersandre dont le sang et l'être me fait honte Qu'il s'ose prévaloir des grâces de Madonte?
Auoir les yeux ouuerts, & voir que de nouueau Elle ayt fauorisé ce riual d'vn anneau?	Avoir les yeux ouverts, et et que de nouveau Elle ait favorisé ce rival d'un anneau?
O Dieux!	Ô Dieux!
pour le ſoufrir changez plutoſt mon ame Moderez au beſoin mon courage où ma flame Non non;	pour le soufrir changez plutôt mon âme Modérez au besoin mon courage où ma flamme Non non;
i’ay trop de cœur, ie ſiis reduit au point Du ſalut des vaincus qui n’en eſperent point C’eſt par trop differer, il faut tenter l’extreſme Ie ne ſoufre vn Riual qu’en l’Amour de moy-meſme.	j'ai trop de cœur, votre siis réduit au point Du salut des vaincus qui n'en espèrent point C'est par trop différer, il faut tenter l'extrême Je ne souffre un Rival qu'en l'Amour de moi-même.
Haladin!	Haladin!
voy Therſandre, & luy dy de ma part N 10 Puue paomts jen cemata necart Fais en fin ton deuoir, ſi bien que cét infame Vienne pour m'en vanger finir icy ſa trame.	vois Thersandre, et ainsi dis de ma part N 10 Puve paomts jen cemata necart Fais en fin ton devoir, si bien que cet infâme Vienne pour m'en venger finir ici sa trame.
Aaiela e da Monſieur i’entre trop fort dedans votre intereſt Pour ne me pas porter a tout ce qu’il vous plaiſt.	Ajela e da Monsieur j'entre trop fort dedans votre intérêt Pour ne me pas porter à tout ce qu'il vous plaît.
A E I I	À E I I
SCENE 1L THERSANDRE, ARCAS.	SCÈNE 1L THÉRSANDRE, ARCAS.
AIIERSNEDRE.	AIIERSNEDRE.
N FIN l’Amour fléchi par ma perſeuerance Me permet de le ſuiure auec de l’eſperãce, I’ayme & ie ſuis ayme d’vn ſoleil que les Dieux, S’ils afectoient le chãge auroient mis dans les Cieux C’eſt vn contentement dont mon eſprit ſe pique Et qu’il faut, cher Amy, que ie te communique Que l’art d’aymer eſt beau, lors qu’on ayme en bon lieu!	N AIME l'Amour fléchi par ma persévérance Me permet de le suivre avec de l'espérance, J'aime et ainsi aime aime d'un soleil que les Dieux, S'ils afectaient mis chãge auroient mis les Cieux Cieux C'est un contentement dont mon esprit se pique Et qu'il faut, cher Ami, que je te communique Que l'art d'aimer est beau, lors qu'on aime en bon lieu!
mentuſpeuuuorhamouuroi ienuejjeins d’vn Dieu,	mentuspeuuuorhamouuroi ienuejjeins d'un Dieu,
ARCAS.	ARCAS.
Oupuuroſtd vn enfant,	Oupuurostd un enfant,
THERSANDRE.	THÉRSANDRE.
Mais plus vieil que le monde Et dont le feu s’étend ſur l’Empire de l’onde Qui pretend droit au Ciel, qu’on adore par tout Et dont les Immortels ne viennent pas a bout;	Mais plus vieil que le monde Et dont le feu s'étend sur l'Empire de l'onde Qui prétend droit au Ciel, qu'on adore par tout Et dont les Immortels ne viennent pas a bout;
Ces ſuperbes Geans qui leur firent la guerre Redoutoient plus que luy le feu de leur tonnerre;	Ces superbes Géants qui leur firent la guerre Rédoutaient plus que lui le feu de leur tonnerre;
Tout vient de ſes faueurs, du ſeul flambeau d’Amour Eſt alumé celuy qui nous donne le iour, Pluſieurs meſme ont ſoufert vn amoureux martire Qu’vne bouche modeſte auroit honte de dire.	Tout vient de ses faveurs, du seul flambeau d'Amour Est alumé celui qui nous donne le jour, Plusieurs même ont souffert un amoureux martyre Qu'une bouche modeste aurait honte de dire.
ARCAS.	ARCAS.
C’eſt vnabus, les Dieux ne ſont point amoureex,	C'est vnabus, les Dieux ne sont point amoureex,
TERSANDRE.	TERSANDRE.
A ce comte les Dieux ne ſeroient pas heureux, Etialoux autrement de l’état ou nous ſommes Auroient aroit d enmer la fortune des hommes,	À ce compte les Dieux ne seraient pas heureux, Étaloux autrement de l'état ou nous sommes Auraient arait d enmer la fortune des hommes,
ARCAS.	ARCAS.
Amy, venons enfin à l’aymable priſon Qui captiue tes ſens au gré de ta raiſon;	Ami, venons enfin à l'aimable prison Qui captive tes sens au gré de ta raison;
Iattens vne beaute qui n'ayt point de ſecond?	Jattends une beauté qui n'ait point de second?
THERSANDRE.	THÉRSANDRE.
Puiſ-ie parler icy du plus beau nom du monde Sans me faire auſsy toſt vn Riual d’vn Amy?	Puis-je parler ici du plus beau nom du monde Sans me faire aussi tôt un Rival d'un Ami?
Madonte:	Madonte:
ha ie deuois n’en parler qu’a demy!	ha ici devais n'en parler qu'a demi!
Ceſt-elle, cher Arcas, dont mon Ame est bleſſee Et dont l'obiet iamais ne ſert de ma penſee.	Cest-elle, cher Arcas, dont mon Âme est blessée Et dont l'objet jamais ne sert de ma pensée.
ARCAS.	ARCAS.
Tu te trompes, Therſandre, en ces apas flateurs Songe a la qualité de tes Competiteurs;	Tu te trompes, Thersandre, en ces appas flatteurs Songe a la qualité de tes Compétiteurs;
Sur tous certain Seigneur te doit aſſeZ aprendre Si ſans impunité quelqu'vn y peut pretendre, Conſidere ſa ſuite, & ce haut apareil, Si les moindres oyſeaux adorent le Soleil, L'Aigle ſeul s’en aproche, & porte à ſa lumiere Vn regard aſſuré de ſa force premiere.	Sur tous certain Seigneur te doit assez apprendre Si sans impunité quelqu'vn y peut prétendre, Considère sa suite, et ce haut appareil, Si les moindres oiseaux adorent le Soleil, L'Aigle seul s'en approche, et porte à sa lumière Un regard assuré de sa force première.
De meſme est il permis à ton cœur d’honorer Celle à qui ſeulement Damon peut aſpirer.	De même est il permis à ton cœur d'honorer Celle à qui seulement Damon peut aspirer.
THERSANDRE.	THÉRSANDRE.
Ie ne crains point Damon, ſçache que ſa diſgrace Mrofre de beaux moyens de me mettre en ſa place, Lt que tout autre encor ſemolable ace Rinal Me feroit auſsi peu de crainte que de mal.	Je ne crains point Damon, sçache que sa disgrâce Mrofre de beaux moyens de me mettre en sa place, Lt que tout autre encor semolable ace Ralinal Me ferait aussi peu de crainte que de mal.
ARCAS.	ARCAS.
Toutefois, cher Amy, garde toy d’vn méconte Comment?	Toutefois, cher Ami, garde toi d'un méconte Comment?
ce Caualier auroit quité Madonte?	ce Cavalier aurait quité Madonte?
Que ce parfait Amant, à qui les plus longs iours Deuant ce rare obiet ſembloient eſtre trop cours, Ayt changé ſon amour au mépris de ſa belle?	Que ce parfait Amant, à qui les plus longs jours Devant ce rare objet semblaient être trop cours, Ait té son amour au mépris de sa belle?
Que ſes feux ſoient paſſez, qu’il luy ſoit infidelle?	Que ses feux soient passez, qu'il lui soit infidèle?
Non pascela:	Non pascela:
THERSANDRE.	THÉRSANDRE.
ARCAS.	ARCAS.
Quoy donc?	Quoi donc?
que d’vn contraire éfet Ce ſoleil ſans defaut en cherche vn plus parfait, Ruelle porte autre-part ſes Amours criminelles, Et que tu ſois l’objet de ſes flames nouuelles:	que d'un contraire éfet Ce soleil sans défaut en cherche un plus parfait, Ruelle porte autre-part ses Amours criminelles, Et que tu sois l'objet de ses flammes nouvelles:
Aſſurément:	Assurément:
THERSANDRE.	THÉRSANDRE.
ARCAS.	ARCAS.
Encor comment l’as-tu connu	Encor comment l'as-tu connu
THERSANDRE.	THÉRSANDRE.
En ce que l’allant voir ie ſuis le bien venu, Que ſa facilité ma bien voulu permettre Que ie luy feiſſe voir mes feux dans vne lettre, V ne lettre qu’vn Dieu ne dicteroit pas mieux S’il eſtoit comme moybleße de ſes beaux yeux!	En ce que l'allant voir je suis le bien venu, Que sa facilité ma bien voulu permettre Que ielui feisse voir mes feux dans une lettre, V ne lettre qu'un Dieu ne dicterait pas mieux S'il était comme moyblesse de ses beaux yeux!
Chaque trait de ma plume eſtoit vn trait de flame QuAmour auecles ſiens graua dedans ſon Am Les plus beaux complimẽs que nous fournit l’eſprit Ne furent pas omis à tracercet écrit.	Chaque trait de ma plume était un trait de flamme QuAmour avecles siens grava dedans son Am Les plus beaux compliments que nous fournit l'esprit Ne furent pas omis à tracercet écrit.
ARCAS.	ARCAS.
v en Mrauonte, apres tout, tu tentes l’impoßible,	v en Mrauonte, après tout, tu tentes l'impossible,
THERSANDRE.	THÉRSANDRE.
Quoy, penſerois tu point qu'elle fût inſenſible?	Quoi, penserais -tu point qu'elle fût insensible?
ARCAS.	ARCAS.
Mais ſon ſang & le tien n’ont point d’égalité,	Mais son sang et le tien n'ont point d'égalité,
THERSANDRE.	THÉRSANDRE.
Arcas, l’Amour n’eſt point de baſſe qualité;	Arcas, l'Amour n'est point de basse qualité;
Hê qu’eſt-ce que l’argent?	Hêtez qu'est-ce que l'argent?
c’eſt vne belle terre, L’ennemy de la paix, l’inſtrument de la guerre;	c'est une belle terre, L'ennemi de la paix, l'instrument de la guerre;
Mais le feu bien plus rare, & plus proche des Cieux Dedaigne ſeulement d’eſtre veu de nos yeux.	Mais le feu bien plus rare, et plus proche des Cieux Dédaigne seulement d'être vu de nos yeux.
ARCAS.	ARCAS.
L’or à bien du pouuoir, le Soleil & la Lune, Qui fait paſſer la Nuit pour vne belle brune, 22 Tous les Aſtres du Ciel ne ſeroient pas ſi beaux S’ils n’auoient la couleur des plus riches metaux;	L'or à bien du pouvoir, le Soleil et la Lune, Qui fait passer la Nuit pour une belle brune, 22 Tous les Astres du Ciel ne seraient pas si beaux S'ils n'avaient la couleur des plus riches métaux;
C’eſt l’or qui fait aymer & craindre les Monarques Qui nous tire ſouuent d entre les mains des Parques Ce fut luy qui donna le nom aux premiers temps, Et qui ſeut auoura my rend nosdeſirs contens.	C'est l'or qui fait aimer et craindre les Monarques Qui nous tire souvent d entre les mains des Parques Ce fut été qui donna le nom aux premiers temps, Et qui seut auoura mi rend nosdesirs contents.
THERSANDRE.	THÉRSANDRE.
Autrefois ma raiſon euſt ſuiui ta croyance, Mais i'en fais maiptenant vne autre experience, A part tous ces diſcours;	Autrefois ma raison eût suiui ta croyance, Mais j'en fais maiptenant une autre expérience, À part tous ces discours;
ce gage que tu vois Tont femotaote dctiny queut pontt en jes doits Fait-il qu’auec raiſon i’aſſure qu’elle m'ayme?	ce gage que tu vois Tont femotate ditini queut pont en jes doits Fait-il qu'avec raison j'assure qu'elle m'aime?
ARCAS.	ARCAS.
Pourueu que ſon eſprit de l’vn à l’autre extréme Ne ſe porte a la fin,	Pourvu que son esprit de l'un à l'autre extrême Ne se porte à la fin,
THERSANDRE.	THÉRSANDRE.
Ie m’en remets le ſoin.	Je m'en remets le soin.
HALADIN.	HALADIN.
Therſandre, vn Caualier t’atend l’épee au poin Au combat ſur le pré, mais ſans autre auantage Que ce qui rend Damon pieſſant par ſon courage;	Thersandre, un Cavalier t'attend l'épee au point Au combat sur le pré, mais sans autre avantage Que ce qui rend Damon piessant par son courage;
Tu ne ſçaurois venir que trop tard au tournoy Où l’on pretend tirer la bague auecque toy La bague que tu tiens, & n'as pas meritee, Que n'deuobs auou prudenmien relelee.	Tu ne saurais venir que trop tard au tournoi Où l'on prétend tirer la bague avec toi La bague que tu tiens, et n'as pas méritée, Que n'deuobs avou mien relelee.
THERSANDRE.	THÉRSANDRE.
Ouy dea:	Oui dea:
c’eſt donc qu’il faut preuuer qu’vn amouSçait à l’occaſion ſe montrer valeureux?	c'est donc qu'il faut preuuer qu'un amouSçait à l'occasion se montrer valeureux?
reux	reux
ſ ReAS.	 ReAS.
Hé quoy ſi promptement?	Hé quoi si promptement?
THERSANDRE.	THÉRSANDRE.
Ce cartel qu’on me donne Tromet a mion amom me douuic couronne, Mon bras luy fera voir en l’ayant abatu, Que Therſandre eſt au moins ſon pareil en vertu.	Ce cartel qu'on me donne Tromet a myon amom me douc couronne, Mon bras lui fera voir en l'ayant abattu, Que Thersandre est au moins son pareil en vertu.
ARCAS.	ARCAS.
