PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
il vient à moy dernier, Et faut ſa trahiſon de ſon ſang expier.	il vient à moi dernier, Et faut sa trahison de son sang expier.
CARICLE’E.	CARICLÉLÉ.
Les armes m’ont manqué;	Les armes m'ont manqué;
Theagene mon ame, Montre icy quel ameur tu portes à ta Dame, Son honeur conſerué dépend de ta valeur, Serois-tu ſurmonté d’vn infame voleur?	Théagène mon âme, Montre ici quel ameur tu portes à ta Dame, Son honeur conservé dépend de ta valeur, Serais-tu surmonté d'être infâme voleur?
Las!	Las!
ie tremble, voyant ſa longue reſiſtance, De t’auoir enhardy, ie crain la repentanee, Il recule, courage achéue mon Soleil, Ce chef d’œuure guerrier qui n'ut onc de pareil.	Elle tremble, voyant sa longue résistance, De t'avoir enhardi, toujours crain la repentance, Il recule, courage achève mon Soleil, Ce chef d'œuvre guerrier qui n'ut onc de pareil.
PELORE.	PELORE.
Receuez, Dieux d’Enfer vne ombre difamée, Ie meurs, ie pers d’vn coup, & vie & renomée.	Recez, Dieux d'Enfer une ombre difamée, Je meurs, Seigneur perds d'E coup, et vie et renomée.
SCENE IV.	SCÈNE IV.
& DERN.	et DERN.
THEAGENE, & CARICLEE.	THÉGENE, et CARICLEE.
THEAGENE.	THÉGENE.
A!	À!
que ie ſuis bleßé, que foible ie me ſens, II Mes yeux ne voyent plus de iour, s’ébloüißãs, La parole me faut, ſecourez-moy Princeſſe.	que je suis blesié, que faible on me sens, II Mes yeux ne voient plus de jour, s'éblouissants, La parole me faut, secourez-moi Princesse.
CARICLEE.	CARICLE.
Tirons-nous tant ſoit peu de cette morte preſſe, Appuyé hardîment ſur mon col enlaßé;	Tirons-nous tant soit peu de cette morte presse, Apuyé hardîment sur mon col enlassé;
Or ſus, dorenauant te voila bien placé, Regardons d’aréter le ſang de tes bleſsûres;	Or sus, dorénavant te voilà bien placé, Regardons d'areter le sang de tes blessûres;
Maintefois ie l’ay fait par magiques murmures, Il tombe en pâmoiſon, ô Cieux!	Maintefois Seigneur l'ai fait par magiques murmures, Il tombe en pâmoison, ô Cieux!
ô Cieux!	ô Cieux!
helas!	hélas!
Mon Pere, ou étes-vous?	Mon Père, ou êtes-vous?
notre comun ſoulas, Que feray-ie ſeulette?	notre comun soûlas, Que ferai-je seulette?
où ſera ma recourſe?	où sera ma recourse?
Maintenant que la nuit précipite ſa courſe;	Maintenant que la nuit précipite sa course;
Ie couurtues fon corps ut tous mes beſtemens, Atendant la mercy des Aſtres inclemens.	Je couvres son corps ut tous mes bestemens, Atendant la merci des Astres incléments.
Fin de la premiere lournée.	Fin de la première lournée.
SOMAIRE DV SVIET DE LA SECONDE Toulliec.	SOMAIRE DU SVIET DE LA SECONDE Toullieuc.
NE ſeconde troupe de Pirates venuë pour butiner, découure ſur le riuage, Theagene couuert de playes, & demy-mort, entre les bras de ſa Maiſtreſſe;	NE seconde troupe de Pirates venue pour butiner, découvre sur le rivage, Théagène couvert de plaies, et demi-mort, entre les bras de sa Maîtresse;
ces barbares les prennent d’abord pour quelques Deitez.	ces barbares les prennent d'abord pour quelques Déités.
& la verité reconuë, ils paſſent outre au reſte du butin;	et la vérité reconuë, ils passent outre au reste du butin;
où rencontrez pa Thyamis ( autre chef de Corſaires, ils ſont mis en fuite.	où rencontrez pa Thyamis ( autre chef de Corsaires, ils sont mis en fuite.
Apres la victoire, Thyamis à la premiere veuë, deuient priroiitus n siauté de ſa belle captiue Cariclée, s’informe de ſon auanture, laquelle ſçeüe, & l’impetrant des ſiens pour ſa part du butin, il proteſte la vouloir épouſer, Cariclée luy promet feintement que cela ſera, lòrs que dépoſée de ſa ſacrificature au premier Temple, telle alliance n’aura plus d’obſtacle.	Après la victoire, Thymis à la première vue, devient priroiitus n siauté de sa belle captive Cariclée, s'informe de son aventure, laquelle sue, et l'impétrant des siens pour sa part du butin, il proteste la vouloir épouser, Cariclée lui promet feintement que cela sera, l' au ra , l' obcrificature au premier Temple, telle alliance n'aura plus d'obstacle.
Thyamis accepte l’excuſe, & commet à la garde de Gnemon ſien domeſtique, Cariclée, & Theagene, qu’elle aduoüe pour frere.	Thymis accepte l'excuse, et commet à la garde de Gémon sien domestique, Cariclée, et Thagène, qu'elle aduoüe pour frère.
Theagene conçoit vn deſeſpoir de jalouſie, ſur la promeſſe faite au Corſaire par la Cariclée, qui ſe iuſtiſiant là deſſus, le conſole, & luy fait aprouuer vn ſi gentil ſtratagéme amoureux.	Théagène conçoit un désespoir de jalousie, sur la promesse faite au Corsaire par la Cariclée, qui se justisiant là -dessus, le console, et avait fait aprouuer un si gentil stratagème amoureux.
Gnemon pendant la nuit, raconte à ces deux priſoniers l’hiſtoire de ſa fortune, leur done bone eſperance pour le regard de Thyamis, & promet à Theagene gueriſon de ſes bleſsûres, par l’application d’vn ſimple qu’il va chercher;	Gémon pendant la nuit, raconte à ces deux prisoniers l'histoire de sa fortune, leur done bon espérance pour le regard de Thamis, et promet à Théagène guérison de ses blessûres, par l'application d'un simple qu'il va chercher;
cependant, les Pirates n’aguéres vaincus, reprennent courage, & auec ſuffiſant renfort, viennent pour charger Thyamis, & ſa troupe;	cependant, les Pirates n'aguéres vaincus, reprennent courage, et avec suffisant renfort, viennent pour charger Thamis, et sa troupe;
Gnemon les dé69 couure, & en aduertit ſon maiſtre, que le deſeſpoir de ſes affaires, & l’apréhenſion ialouſe qu’vn autre ne vienne à cüeillir la fleur virginale de Cariclée, le font réſoudre à la tuër;	Gémon les dé69 couvre, et en avertit son maître, que le désespoir de ses affaires, et l'appréhension jalouse qu'un autre ne vienne à cueillir la fleur virginale de Cariclée, le font résoudre à la tuer;
il s’achemine à cét éfet en la cauerne, où elle étoit gardée, mais au lieu de Cariclée, déçeu tant par quelque reſſemblance, que par l’obſcurité des lieux, il tuë Thisbé, que ſon Eſcuyer Thermutis y venoit d’enfermer;	il s'achemine à cet éfet en la caverne, où elle était gardée, mais au lieu de Cariclée, déçu tant par quelque ressemblance, que par l'obscurité des lieux, il tue Thisbé, que son Escuyer Thermutis y venait d'enfermer;
de là, retournant au combat trouue les ſiens en déroute, & eſt pris priſonier des ennemis, qui l’épargnent.	de là, retournant au combat trouve les siens en déroute, et est pris prisonier des ennemis, qui l'épargnent.
à cauſe de la recompenſe promiſe par ſon frere, à qui le luy pouroit amener vif, ce qui ferme noſtre ſecond ſujet.	à cause de la récompense promise par son frère, à qui le reste pourrait amener vif, ce qui ferme notre second sujet.
LES ACTEVRS, I.	LES ACTEURS, I.
TROVPE DE PIRATES.	TROUPE DE PIRATES.
I.	I.
PIRATE.	PIRATE.
II.	II.
PIRATE.	PIRATE.
THEAGENE.	THÉGENE.
CARICLEE.	CARICLE.
CARICLEE.	CARICLE.
SECONDE IOVRNEE.	SECONDE IOURNE.
ACTE I.	ACTE I.
I.	I.
TROVPE DE PIRATES THRAGENE, CARICLÉE, II.	TROUPE DE PIRATES THRAGENE, CARICLÉE, II.
TR.	TR.
où PASTRES, THYAMIS, & GNEMON.	où PÂTRES, THYAMIS, et GNEMON.
SCLAD I.	SCLAD I.
I PIRATE.	I PIRATE.
E Fils d’Hyperion, tire ſa teste blonde, Du moite ſein des eaux, pour éclairer le monde, A Il eſt iour compagnons, déja hors de ſon creux, S’élance pour guëter l’animal genereux.	 Fils d'Hypérion, tire sa tête blonde, Du moite sein des eaux, pour éclairer le monde, À Il est jour compagnons, déjà hors de son creux, S'élance pour guer l'animal généreux.
Et nous tout agrauez de ſomme, & de pareſſe, Perdons l’ocaſion que l’heure nous adreſſe;	Et nous tout agravez de somme, et de paresse, Perdons l'ocasion que l'heure nous adresse;
E iiij Et nous à ce matin du bon-heur inuitez, N’alons point découurir ces riuages hantez, N’alons point rechercher l’ordinaire curée, Comme ſi nous auions vne vie aſſurée;	E iiij Est nous à ce matin du bonheur invités, N'alons point découvrir ces rivages hantez, N'alons point rechercher l'ordinaire curée, Comme si nous avions une vie assurée;
Comme ſi ce dragon d’horrible pauureté, N’eſtoit plus que iamais à nous nuire apprété, Ne venoit engloutir noſtre troupe à toute heure, Suiue ailleurs qui voudra la fortune meilleure, Il me plaiſt de mourir en ce libre métier, Et quiconque hardy veut ſuiure mon ſentier, Le declare tout haut, de ce pas m’acompagne, Pour ne prétendre apres ce qu’ores il dédaigne, Pour cuider du butin tirer aucune part, que vouuron menuoyer vn genereux hazard:	Comme si ce dragon d'horrible pauvreté, N'était plus que jamais à nous nuire apprêté, Ne venait engloutir notre troupe à toute heure, Suive ailleurs qui voudra la fortune meilleure, Il me plaît de mourir en ce libre métier, Et quiconque hardi veut suivre mon sentier, Lé pare tout haut, de ce pas m'acompagne, Pour ne prétendre après ce qu'ores il dédaigne, Pour cuider du butin tirer aucune part, que vouront menuoyer un généreux hasard:
L'vn de nous parauant y laiſſeroit la vie.	L'un de nous paravant y laisserait la vie.
Qu'eſt-ce qu’on tarde plus à dire ſon enuie?	Qu'est-ce qu'on tarde plus à dire son envie?
II.	II.
PIRATE.	PIRATE.
Tu reprens à bon droit notre ſtupidité, Et ne ſçaurois parler auec plus d’equité, Qui ne laboure point;	Tu reprends à bon droit notre stupidité, Et ne saurais parler avec plus d'équité, Qui ne laboure point;
iniuſtement moiſſonne, C’eſt vne antique Loy que la nature ordonne:	injustement moissonne, C'est une antique Loi que la nature ordonne:
Or ſans perdre en diſcours dauantage de temps, Alons tous d’vn acoud la côte furetans, Trace-nous le chemin comme à l’acoutumée, Aſſûré du ſecours de noſtre flote armée, Aſſûré de nous voir vn à vn détrancher, Plutoſt (s’il eſt beſoin) que ſa priſe lâcher.	Or sans perdre en discours davantage de temps, Alons tous d'un acoud la côte furetants, Trace-nous le chemin comme à l'acoutumée, Assuré du secours de notre flotte armée, Assuré de nous voir un à un détrancher, Plutôt (s'il est besoin) que sa prise lâcher.
I.	I.
PIRATE.	PIRATE.
File à file ſans bruit, donans par cette ſente, Nous ferons à couuert ſur la riue décente, Droit au lieu que le Nil deſtine plus ſouuent, Aux vaiſſeaux échoüez de ſon onde, & du vent:	File à file sans bruit, donc par cette sente, Nous ferons à couvert sur la rive décente, Droit au lieu que le Nil destine plus souvent, Aux vaisseaux échinés de son onde, et du vent:
L’ordre que l’on tiendra plus propre à l’entrepriſe, Et à mieux inueſtir quelque barque ſurpriſe, L’enueloper à coup, tout ainſy que l’oiſeau Demeure enuelopé ſous le noüeux raiſeau, Me gliſſant le premier par l’épaiſſeur ſecrette De ces ioncs limoneux, que la bande ſoit préſte, Preſte au moindre ſignal de m’enceindre legers, Et de me ſecourir precurſeur des dangers:	L'ordre que l'on tiendra plus propre à l'entreprise, Et à mieux investir quelque barque surprise, L'envelopper à coup, tout ains que l'oiseau Demeure enveloppé sous le nature raiseau, Me glissant le premier par l'épaisseur secrète De ces ioncs limoneux, que la bande soit prête, Preste au moindre signal de m'enceindre légers, Et de me secourir précurseur des dangers:
Il ſuffit, deſormais nous aprochons la place, Suiuez au petit pas les erre de ma trace.	Il suffit, désormais nous approchons la place, Suivez au petit pas les erre de ma trace.
II.	II.
PIRATE.	PIRATE.
Va (puis qu’ainſy te plaiſt) de nos cœurs aſſûré, Que peril (quel qu’il fût) n’a iamais épeuré, Nous n’abandonnerons ta perſone expoſée, Dût mille fois Clothon trancher nostre fuſée, Auſsy n’est-ce raiſon, compagnons de butin, D'en vouloir ſeparer les hazards du deſtin.	Va (puis qu'ainsi te plaît) de nos cœurs assuré, Que péril (quel qu'ils fût) n'a jamais épeuré, Nous n'abandonnerons ta persone exposée, Dût mille fois Clothon trancher quelque fusée, Aussy n'est-ce raison, compagnons de butin, D'en vouloir séparer les hasards du destin.
I.	I.
PIRATE.	PIRATE.
Ce ſilence muet rien de bon ne m’augure, Icy des ſeuls zephirs s’entone le murmure, Qu’autrefois vn grand Dieu de leur flâme tranſy;	Ce silence muet rien de bon ne m'augure, Ici des seuls zéphyrs s'entone le murmure, Qu'autrefois un grand Dieu de leur flamme transi;
Découurons plus auant, ô Ciel, ô terre mere!	Découvrons plus avant, ô Ciel, ô terre mère!
Que veulent tant de corps ionchez ſur la poußiere?	Que veulent tant de corps ionchés sur la poussiere?
Ces ſuperbes appreſts de feſtin renuerſez, Rendent mon cœur de glacr, & mes cheueux dreſſez	Ces superbes apprêts de festin renversez, Rendent mon cœur de glacr, et mes cheveux dressez
Les Lapithes ont-ils icy renouuelée, D'vn adultere rapt la honteuſe meslée?	Les Lapithes ont-ils ici renouvelée, D'un adultère rapt la honteuse mêlée?
Encor n’apperceuoy-ie vn vaiſſeau, qui chargé, Eſt quaſi ſoubs ſon faix par les eaux ſumergé:	Encor n'apperceuoy-je un vaisseau, qui chargé, Est quasi soubs son faix par les eaux sumergé:
Vuide de gens, de rame, ainſi que de défence, Le taiſant plus aux miens ie comets vne offence.	Vid de gens, de rame, ainsi que de défense, Le taisant plus aux miens Seigneur comets une offense.
Acourez compagnons, à moy, que tardez-vous?	Acourez compagnons, à moi, que tardez-vous?
La proye eſt plantureuſe, il y en a pour tous, Venez ô pareſſeux, de ce bon-heur indignes, Ne priſez-vous non plus ny ma voix, ny mes ſignes?	La proie est plantureuse, il y en a pour tous, Venez ô paresseux, de ce bonheur indignes, Ne prisez-vous non plus ni ma voix, ni mes signes?
Ha!	Ha!
rebrouſſez plutoſt, nous ſomes tous perdus, Les Dieux pour nous punir ſont icy décendus:	rebroussez plutôt, nous somes tous perdus, Les Dieux pour nous punir sont ici décendus:
De Diane, ou d’Iſis vne viuante image, Plutoſt que de piller, veut qu’on luy rende homage:	De Diane, ou d'Isis une vivante image, Plutôt que de piller, veut qu'onfois rende hommage:
Voyez ſon veſtement, ſa treſſe, ſon carquois, C’eſt (ie n’en doute plus) la Deëſſe des bois:	Voyez son vêtement, sa tresse, son carquois, C'est (ie n'en doute plus) la Déesse des bois:
Courbons-luy les genoux, & de mains ſupliantes, D'vn tonerre éuitons les pointes foudroyantes, Tonerre que ſes yeux peuuent aſſez darder, Si elle nous vouloit en courous regarder.	Courbons-lui les genoux, et de mains suppliantes, D'un tonerre éviterons les pointes foudroyantes, Tonerre que ses yeux peuvent assez darder, Si elle nous voulait en courous regarder.
Iat quoptde ptus en plus te prodige s'augmente, Vn Adon demy-mort la chétiue lamente;	Iat quoptde ptus en plus te prodige s'augmente, Un Adon demi-mort la chétive lamente;
Diſcrets, pour vn moment tenons-nous en deuoir, Par ſa fin toute choſe eſt facile à ſçauoir.	Discrets, pour un moment tenons-nous en devoir, Par sa fin toute chose est facile à savoir.
II.	II.
PIRATE.	PIRATE.
C’eſt bien dit, parauant que de plus entreprendre, Leur diſcours peut aſſez ce qu'on ignore aprendre.	C'est bien dit, paravant que de plus entreprendre, Leur discours peut assez ce qu'on ignore apprendre.
THEAGEIE, C CARICLE’E.	THÉGEIE, Ç ARICLÉLÉE.
THEAGENE.	THÉGENE.
As?	As?
Madame, eſt-ce vous qui viue respirez, Loù bien tant ſeulement vos manes honorez Votre eſprit reuenu à mon heure derniere, Qui malgré le deſtin en ſa foy perſeuere:	Madame, est-ce vous qui vive respirez, Loù bien tant seulement vos mânes honorez Votre esprit revenu à mon heure dernière, Qui malgré le destin en sa foi persévère:
Eſtes-vous ma Deëſſe vne ombre, ou vn vray corps, Preſerué de la mort, à trauers tant de morts?	Êtes-vous ma Deesse une ombre, ou un vrai corps, Preservé de la mort, à travers tant de morts?
CARICLE’E.	CARICLÉLÉ.
Il eſt en toy mon cœur, que ie viue, ou ie meure, En ta mort ie rompray ma mortelle demeure, Ta vie retiendra mon àme en ſa priſon, Mon ſalut ne dépend que de ta gueriſon, Ie t’atteſte des Dieux la colere inhumaine, Que ce fer que ie tien m’ûſt affranchy de peine, Sinon que i’ay ſenty en ton ſein palpitant, Vn foible esprit vital mon deſaſtre flatant, Le reflatant d’espoir, que ie verroy tafface, Reprendre derechef le luſtre de ſa grace, Ta bouche me parler, & me dire vn adieu, Premier que nous partions de ce terreſtre lieu:	Il est en toi mon cœur, que sans vive, ou ainsi meure, En ta mort ie romprai ma mortelle demeure, Ta vie retiendra mon âme en sa prison, Mon salut ne dépend que de ta guérison, Je t'atteste des Dieux la colère inhumaine, Que ce fer que pr tien m'eût affranchi de peine, Sinon que j'ai senti en ton sein palpitant, Ven foible esprit vit mon désastre flattant, Le reflatant d'espoir, que deux verroi tafface, Reprendre derechef le lustre de sa grâce, Ta che me parler, et me parle adieu, Premier que nous partions de ce terrestre lieu:
Belle bouche, l’honeur du corail, & des roſes, Puiſque pour mon bon-heur tes leures ſont déeloſes, Sur vos bords, à l’Amour come ſur ſon autel, I'offriray cent baiſers;	Belle bouche, l'honeur du corail, et des roses, Puisque pour mon bonheur tes lèvres sont déeloses, Sur vos bords, à l'Amour come sur son autel, J'offrirai cent baisers;
I.	I.
PIRATE.	PIRATE.
Qui vit onc rien de tel?	Qui vit onc rien de tel?
Vne Déeſſe auoir tant d’amoureuſe flâme, Sur le corps demy-mort d’vn homme elle ſe pâme, Etreint ſa ieune face, & l’arrouſe de pleurs:	Une Déesse avoir tant d'amoureuse flamme, Sur le corps demi-mort d'un homme elle se pâme, Etreint sa jeune face, et l'arrouse de pleurs:
O fols de conceuoir l’obiet de ces frayeurs, S’aheurter au respect d’vne beauté mortelle, Oüy, car iamais aux Dieux paßion ne fut telle:	Ô fols de concevoir l'objet de ces frayeurs, S'aheurter au respect d'une beauté mortelle, Oui, car jamais aux Dieux passion ne fut telle:
Ils ne s’embraſſent point de nos corps reueſtus, Chaſſons doncques l’effroy de ces cœurs abatus, Chacun mette la main hardiment à l’ouurage, L’impunité nous doit releuer le courage.	Ils ne s'embrassent point de nos corps revêtus, Chassons donc l'effroi de ces cœurs abattus, Chacun mette la main hardiment à l'ouvrage, L'impunité nous doit relever le courage.
a da TIRATE.	a da TIRATE.
Sans rien précipiter voyons-les de plus prés, L’execution toujours ſera facile apres.	Sans rien précipiter voyons-les de plus près, L'exécution toujours sera facile après.
THEAGENE.	THÉGENE.
O baiſers animez, la douceur de vos charmes, Surmonte de Clothon la puiſſance, & les armes, Diane à mon uuis retira ſon chaſſeur, Auecque vos pareils de l’horrible noirceur, Vous rendez la douleur à nos corps inſenſible, Où vous ayant cueillis, la mort n’eſt plus paßible.	Ô baisers animez, la douceur de vos charmes, Surmonte de Clothon la puissance, et les armes, Diane à mon uuis retira son chasseur, Avec vos pareils de l'horrible noirceur, Vous rendez la douleur à nos corps insensible, Où vous ayant cueillis, la mort n'est plus passible.
CARICLEE.	CARICLE.
Laiſſe-moy maintenant tes playes viſiter, Le ſang par certains mots ie m'aſſure aréter, Et qu'vn ſimple apliqué, puis dextrement bandées, Elles ſeront dans peu toutes conſolidées,	Laisse-moi maintenant tes plaies visiter, Le sang par certains mots ie m'assure aréter, Et qu'un simple appliqué, puis dextrement bandées, Elles seront dans peu toutes consolidées,
I HEAGENE.	I HÉGENE.
Diſpoſez de ce corps à voſtre volonté:	Disposez de ce corps à votre volonté:
Ie porteray mes maux d'vn courage indomté, Feray plus que ma force, & plus que mon enuie, ol le ſçay vous complaire en conſeruant ma vie.	Je porterai mes maux d'autre courage indomté, Ferai plus que ma force, et plus que mon envie, ol le sais vous complaire en conservant ma vie.
PIRATE.	PIRATE.
Sus, ſus, qu’on les aborde, ils ſont ſeuls demeure:	Sus, sus, qu'on les aborde, ils sont seuls demeure:
D'vn carnage éuident, en ces lieux égarez, La ſuperſtition vient d’vne âme coüarde, Il ſe faut ſaiſir d’eux, les mettre en bonne garde;	D'un carnage évident, en ces lieux égarés, La superstition vient d'une âme couarde, Il se faut saisir d'eux, les mettre en bonne garde;
O Cieux!	Ô Cieux!
en l’aprochant plus belle elle paroit, Sa graue Maieſté vne trémeur m’accroît;	en l'approchant plus belle elle paraît, Sa grave Majesté une trémeur m'accroît;
Enfans ie vous ſupply n'vſons de violence, Ses diſcours nous feront ſages par le ſilence.	Enfants ici vous suppli n'usons de violence, Ses discours nous feront sages par le silence.
CARICLEE.	CARICLE.
Pren bon cœur, mon Soleil, eſpere que les Dieux, Ietteront deſſus nous leurs pitoyables yeux, De la fin de nos maux l’inocence m’aſſure;	Pren bon cœur, mon Soleil, espère que les Dieux, Jetteront dessus nous leurs pitoyables yeux, De la fin de nos maux l'inocence m'assure;
Ie n’ay point reconu de mortelle bleſſure, Et pouruù qu'vn treſor de premiere ſanté, (Suprême de mes vœux) te rende leur bonté, Pour la perte des biens, les peines endurées, Ie les réputeray douces, & bien-heurées:	Je n'ai point réponu de mortelle blessure, Et pourvêù qu'un trésor de première santé, (Suprême de mes vœux) te rende leur bonté, Pour la perte des biens, les peines endurées, Je les réputerai douces, et bien-heurées:
De toutes qualitez, l’homme eſt né pour ſouffrir.	De toutes qualités, l'homme est né pour souffrir.
Mais ô Cieux, quel ſpectacle à nous ſe viẽt offrir, Quels monſtres ſont-ce là à quelle noire cohorte Des gouffres de Pluton deuers nous ſe transporte?	Mais ô Cieux, quel spectacle à nous se vient offrir, Quels monstres sont-ce là à quelle noire cohorte Des gouffres de Pluton devers nous se transporte?
Aprochez hardiment quiconque vous ſoyez Où eſprits de ces corps dedans leur ſang noyez, Giſans icy autour;	Aprochez hardiment quiconque vous soyez Où esprits de ces corps dedans leur sang noyez, Gisans ici autour;
où (que plutoſt i’eſtime) Gens par qui la raiſon ſous la fureur s'oprime:	où (que plutôt j'estime) Gens par qui la raison sous la fureur s'oprime:
Qui viuez inhumains de rapine, & de ſang:	Qui vivez inhumains de rapine, et de sang:
De grace faites-nous tenir vn meſme rang, Deli vrez ie vous pri' par vn fer ſecourable Des outrages du ſort ce couple miſerable.	De grâce faites-nous tenir un même rang, Déli vrez ie -vous pri' par un fer secourable Des outrages du sort ce couple misérable.
Ha!	Ha!
vous ne faites cas, Barbares, de ma voix, Capable d’atendrir le fier peuple des bois, Vous ſemplez plus que moy à vnt fatc etbnee, Tant la rancœur du Ciel nous pourſuit oſtinée.	vous ne faites cas, Barbares, de ma voix, Capable d'attendrir le fier peuple des bois, Vous semplez plus que moi à un fatc etbnee, Tant la rancœur du Ciel nous poursuit ostinée.
II.	II.
PIRATE.	PIRATE.
Laiſſons amys, laiſſons ces feminines pleurs, Laiſſons à ces chétifs ſangloter leurs douleurs, Ils ne nous peuuent fuyr, donons dedans la barque, Que groſſe de butin aisement on remarque.	Laissons amis, laissons ces féminines pleurs, Laissons à ces chétifs sangloter leurs douleurs, Ils ne nous peuvent fuir, donc dedans la barque, Que grosse de butin aisément on remarque.
PIRATE.	PIRATE.
Ceſt bien dit, il la faut bruſquement inueſtir, Puis apres, ces captifs entre nous départir.	Cest bien dit, il la faut brusquement investir, Puis après, ces captifs entre nous départir.
SCENE III.	SCÈNE III.
T’HEAGENE, CARICLÉE, & LA Il.	T'HÉGENE, CARICLÉE, et LA Il.
TROVPE DE PIRATES.	TROUPE DE PIRATES.
THEAGENE.	THÉGENE.
Res n’auons-nous plus qu’eſperer, ny que 2 craindre, Helas?	Res n'avons-nous plus qu'espérer, ni que 2 craindre, Hélas?
& ie n’aurois autrement dequoy plaindre, Le filet de mes iours plus qu’à demy trantlé, Si ces brigans m'auoient au ſepulchre couche, Acoury d’vn poignard le terme de ma vie, Et que ma mort ne fût d'vne autre mort ſuiuie;	et petit n'aurais autrement dequoy plaindre, Le filet de mes jours plus qu'à demi trantlé, Si ces brigants m'avaient au sépulcre couche, Acouri d'un poignard le terme de ma vie, Et que ma mort ne fût d'une autre mort suivie;
Mort plus dure beaucoup de l’impiteux deſtin, Qui laiſſe voſtre honeur precieux en butin, Le laiſſe ſans défence, & ne permet qu’encore, Mon courage paroiſſe à ces yeux que i'adore;	Mort plus dure beaucoup de l'impiteux destin, Qui laisse votre honeur précieux en butin, Le laisse sans défense, et ne permet qu'encore, Mon courage paraisse à ces yeux que j'adore;
Me priue de vigueur à mon plus grand beſoin, Helas!	Me prive de vigueur à mon plus grand besoin, Hélas!
helas!	hélas!
à qui remettray-ie ce ſoin.	à qui remettrai-je ce soin.
CARICLE’E.	CARICLÉLÉ.
Ne le remets qu'à moy, aucune ialouſie Du côté de l’honeur n’entre en ta fantaiſie, Ie te l’ay conſacre, autre iamais que toy, Ne s’en emparera infracteur de ma foy, Ie tien, ie tien ſa clef en ce bras magnanime, Du iour au pris de luy ie ne fay point d’eſtime, Le banc de ſon naufrage aprochant découuert, Vn chemin genereux du trépas m’eſt ouuert, I'y courray reſolue, & ombre Plutonique, Tu ioüyras content de ta Dame pudique, Ce ſoucy ne t’aflige, hâ!	Ne le remets qu'à moi, aucune ialousie Du côté de l'honeur n'entre en ta fantaisie, Je te l'ai consacre, autre jamais que toi, Ne s'en emparera infracteur de ma foi, Je tien, ie tien sa clef en ce bras magnanime, Du jour au pris de nô ie ne fais point d'estime, Le banc de son naufrage approchant découvert, Vn chemin généreux du trépas m'estime résolue, J'y courrai résolue, et ombre Plutonique, Tu ioüyras content de ta Dame pudique, Ce soucy ne taflig, !
Cieux?	Cieux?
quel nouueau bruit Vn ennemy plus fort nos Pirates pourſuit, On les a préuenus d’vne embûche dreſſée, Helas, ie tremble au cœur, éperdüe, & glacée.	quel nouveau bruit Un ennemi plus fort nos Pirates poursuit, On les a prévenus d'une embûche dressée, Hélas, était tremble au cœur, éperdue, et glacée.
SCENE IIII.	SCÈNE IIII.
THYAMIS, CARICLEE, THEAGENE, GNEMON, & LES DEVX TROVPES.	THYAMIS, CARICLEE, THÉGENE, GNEMON, et LES DEUX TROUPES.
THYAMIS.	THYAMIS.
Pres enfans, apres, tüez, acheuez tout, EY Pendant cette fureur inuincible qui boüt, Qui petille en vos cœurs, le vray Temple de gloire, L’honeur & le proufit égalent la victoire, Vous eſtes riches tous, vous n’aurez deſormais Qu'à conſeruer l’acquis, heureux pour tout iamais:	Pres enfants, après, tuez, achevez tout, EY Pendant cette fureur invincible qui bout, Qui petille en vos cœurs, le vrai Temple de gloire, L'honeur et le profit égalent la victoire, Vous êtes riches tous, vous n'aurez désormais Qu'à conserver l'acquis, heureux pour tout jamais:
Comment il n'y a plus perſone qui reſiſte, Deſſur ce vain diſcours trop longuement i’inſiſte, La foudre de vos bras a diſsipé d’abord, Ces lâches fugitifs, menacez de la mort, Ils ſe ſont écartez, ainſy qu’à la venuë D'vn grand Aigle afamé qui décend de la nuë, Les pigeons amaſſez qui retournent des champs, Pour leurs tendres petits la pâture cherchans, Il eſt temps, poſſeſſeurs d'vne proye aſſurée, Qu’autour de moy chacun ſe range à la curée, Que ſans (l’ordre vſité) entre nous remûer, Tout s’aporte en comun pour le diſtribuer Sur le tertre prochain, ie vous feray l’office D’œconome loyal ſelon voſtre police;	Comment il n'y a plus persone qui résiste, Déessur ce vain discours trop longuement j'insiste, La foudre de vos bras a dissipé d'abord, Ces lâches fugitifs, menacés de la mort, Ils se sont écartés, ains qu'à la venue D'un grand Aigle afamé qui décend de la nue, Les pigeons amassez qui retournent des champs, Pour leurs tendres petits la pâture cherchants, Il est temps, possesseurs d'une proie assurée, Qu'auteur de Qu' chacun se range à la curée, Que sans (lordre vsité) entre nous remûer, Tout ma en comun pour le distribuer Sur le tertre prochain, ie vous ferai 'officeRDœconome loyal selon re police;
Diuulguez ma parole, & ce mien mandement.	Divulguez ma parole, et ce mien mandement.
O ſouueraine Iſis, eſt-ce vn enchantement Qui m’eblouit les yeux, qui par ſonge m’ameine, Quelque diuinité ſous vne forme humaine?	Ô souveraine Isis, est-ce un enchantement Qui m'eblouit les yeux, qui par songe m'amène, Quelque divinité sous une forme humaine?
