A 3591.	À 3591.
Cette inſigne ſorciere apres pluſieurs myſteres, Marquant ſur vn miroir quelques vieux caracteres, 31 Et murmurant deſſus l’enfonça dans de l’eau;	Cette insigne sorcière après plusieurs mystères, Marquant sur un miroir quelques vieux caractères, 31 Et murmurant dessus l'enfonça dans de l'eau;
Enſuite à la lueur d’vn funeſte flambeau, Y ſoufflant par trois fois elle fit voir au Comte dc eme deMadame, coloojescelamoute.	Ensuite à la lueur d' Hôte flambeau, Y soufflant par trois fois elle fit voir au Comte d' âme deMadame, colojescelamoute.
Car d’abord vn galand s’échappant de ſes mains, Vn autre conſentoit à ſes honteux deſſeins,	Car d'abord un galan échappant de ses mains, Venn autre consent à ses honteux desseins,
LYSANDRE.	LYSANDRE.
Que de fourbes,Cleon!	Que de fourbes,Cléon!
ce que tu viens de dire, M’apprend que cette mort a fait vne martyre.	ce que tu viens de dire, M'apprend que cette mort a fait ici martyre.
C’eſt cette meſme Argine, ô Dieu l’étrange ſort!	C'est cette même Argine, ô Dieu l'étrange sort!
Dont i'auois commencé de te conter la mort, Et qui depuis vne heure en la Foreſt prochaine A de tous ſes forfaits receu la iuſte peine.	Dont j'avais commencé de te conter la mort, Et qui depuis quelque heure en la Forêt prochaine A de tous ses forfaits reçu la juste peine.
Comme i’y paſſois ſeul, i'entends le bruit des coups, Dont quatre hommes chargeoient vne femme à genoux, Chacun d’eux inconnu ſous vn habit fanſtaque Se déguiſoit de plus le viſage d’vn maſque, Et faiſoit voltiger ſur elle à tour de bras L'étincelant acier d’vn peſant coutelas.	Comme j'y passais seul, j'entends le bruit des coups, Dont quatre hommes chargeaient une femme à genoux, Chacun d'eux inconnu sous un habit fanstaque Se déguisait de plus le visage d'un masque, Et faisait voltiger sur elle à tour de bras L'étincelant acier d'un pesant coutelas.
Elle s’en deſfendant d’vne main fort adroire Paroit à quelques coups auecque ſa baguette, Et reclamoit en vainſous de terribles noms Le ſeçours trop tardif de ces traîtres demons.	Elle s'en défendant d'une main fort adroire Parait à quelques coups après sa baguette, Et réclamait en vainsous de terribles noms Le seçours trop tardif de ces traîtres démons.
Enfin de trois grands coups mortellement atteinte, Et voyant de ſon ſang la terre toute teinte;	Enfin de trois grands coups mortellement atteinte, Et voyant de son sang la terre toute teinte;
Elle n’en pouuoit plus, quand au bruit de ma voix Les quatre aſſaſſins s’enfuirent dans le bois.	Elle n'en pouvait plus, quand au bruit de ma voix Les quatre assassins s'enfuirent dans le bois.
Comme ie les ſuiuois, arreſte, me dit-elle, Ah!	Comme ici les suivais, arrête, me dit-elle, Ah!
ie merite bien vne mort ſi cruelle, Ie ne la ſouffre plus deſormais à regret Si ie te puis encore declarer vn ſeeret, Cette mort eſt le prix que ie reçois d’vn traître Que i'en ſauué jadis en trahiſſant ſon maiſtre.	ie mite bien quelque mort si cruelle, Je ne la souffre plus désormais à regret Si après te puis encore déclarer un seèret, Cette mort est le prix que je reçois d'un traître Que j'en sauvé jadis en trahissant son maître.
Paſſant, ſi tu contiois le Palatin Sifroy, Dis-luy ce que ie vay conſier à ta foy.	Passant, si tu contiais le Palatin Sifroy, Dis-lui ce que ici vais consier à ta foi.
Que dans ce triſte eſtat Argine meurt contente D'expier par ſa mo' celle d’vne innocente, Et que ce qu’il en vit à ſa confuſion, De mon mitoir trompeur fut vne illuſion, Elle meurt là deſſus, & quatre loups énormes Qui ſans doute cachoient des demons ſous leurs formes, Sortant d’vn meſme pas de quatre diuers forts Sont venus deuant moy en enleuer le corps.	Que dans ce triste état Argine meurt contente D'expier par sa moût celle d'une innocente, Et que ce qu'il en vit à sa confusion, De mon mitoir trompeur fut été illusion, Elle meurt là -dessus, et quatre loups énormes Qui sans doute cachaient des démons sous leurs formes, Sortant d'un même pas de quatre divers forts Sont venus devant moi en lever le corps.
La Foreſt en fremit, & tout le Ciel s’en trouble Et moy vers le Chaſteau d’effroy le pas ie double.	La Forêt en frémit, et tout le Ciel s'en trouble Et moi vers le Château d'effroi le pas un double.
Voicy la verité de ce fatal miroir Dont le charme forma le peché qu’il fit voir.	Voici la vérité de ce fatal miroir Dont le charme forma le péché qu'il fit voir.
ORISMOND.	ORISMOND.
ſpres vn ſi tragique & ſi beau témoignage Comment Golo peut-il conjurer cét orage?	sprès un si tragique et si beau témoignage Comment Golo peut-il conjurer cet orage?
Quoy pouuons-nous douter, s’il le faut déferer, Et ſi contre ce traiſtre il nous faut declarer?	Quoi pouvons-nous douter, s'il le faut déférer, Et si contre ce traître il nous faut déclarer?
Quoytlors qu’auecque le Ciel, l’Enfer jure ſa perte.	Quoitlors qu'avec le Ciel, l'Enfer jure sa perte.
B iiij.	 Bijà.
Source gallica.	Source galica.
bnffr (E	bnffr (E
Ile sio vn:	Ile sio :
24Innecence Reconnue,	24Innecence Reconnue,
N'oſons nous l’entreprendre encor à force ouuerte.	N'osons nous l'entreprendre encor à force ouuerte.
Non, non, ne eraignons plus de nous trop auancet, Sur de ſi bons garands ie veux bien commençer.	Non, non, ne eraignons plus de nous trop avancet, Sur de si bons garants te veux bien commençer.
LYSANDRE.	LYSANDRE.
Commeneez ſeulement, Lyſandre vous ſeconde, Que voules vouvde moy qui de moncour seponde?	Commènez seulement, Lysandre vous seconde, Que voulez vouvde moi qui de moncour séponde?
CLEON.	CLEON.
Ie ſeray le troiſiéme, & dans ce beau deſſein, Ie ne vous manqueray ny de cœur ny de main.	Je serai le troisième, et dans ce beau dessein, Je ne vous manquerai ici de cœur ici de main.
Mais pour ne point laiſſer refroidir l'entrepriſe Pretions l’occaſion dont Dieu nous fauoriſe, Et voyons au pluſtoſt ce que de cẽt écrit Le tecrecimponauriels lor ton ciptie.	Mais pour ne point laisser refroidir l'entreprise Prétions l'occasion dont Dieu nous favorise, Et voyons au plustost ce que de commise écrit Le tecrecimponauriels lor ton ciptie.
Alors pour appuyer cette attaque premiere Vous pourrez declarer ce qu’a dit la ſorciere,	Alors pour appuyer cette attaque première Vous pourrez déclarer ce qu'a dit la sorcière,
ORISMOND.	ORISMOND.
Le deſſein de la ſorte eſt tres-bien concerté, Et peut s’executer en toute ſeureté:	Le dessein de la sorte est très-bien concerté, Et peut s'exécuter en toute sûreté:
Mais qui veut de vous deux ſe charg er dela lettre?	Mais qui veut de vous deux se charg er déla lettre?
LYSANDRE.	LYSANDRE.
Donnez-la moy toûjours, & i'oſe vous promettre Que ie luy feray voir auant la fin du iour.	Donnez-la moi toujours, et j'ose vous promettre Que je lui ferai voir avant la fin du jour.
Mais en voicy le temps,haſtons noſtre retour.	Mais en voici le temps,hâtons notre retour.
I	I
ORISMOND.	ORISMOND.
De peur que d’vn complot l’Intendant ne ſe doute, Ie retourne apres vous, mais par vne autre route.	De peur que d'être complot l'Intendant ne se doute, Je retourne après vous, mais par une autre route.
ragedie Chreſtienne.	ragédie Chrétienne.
2	2
ORIS MOND ſeul.	ORIS MOND seul.
Vſte Ciel, c’eſt ainſi qu’enfin la verité Sous les regards d’vn Dieu ſort de l’obſcurité, Et que malgré l’effort d’vne injuſte puiſſance Elle fait de ſes maux triompher l’innocence!	Vste Ciel, c'est ainsi qu'enfin la vérité Sous les regards d'un Dieu sort de l'obscurité, Et que malgré l'effort d'une injuste puissance Elle fait de ses maux triompher l'innocence!
Apres ſept ans paſſez à la ſanctifier, Dieu s’en va la produite & ſe luſtifier.	Après sept ans passez à la sanctifier, Dieu s'en va la produite et se lustifier.
Sous l’éclat de vos yeux, Seigneur, enfin le vice Se veut faire vn bandeau de ſa propre malice, luſques parmy les morts, vos adorables ſoins Luy ſuſcitent enfin de terribles témoins.	Sous l'éclat de vos yeux, Seigneur, enfin le vice Se veut faire un bandeau de sa propre malice, lusques parmi les morts, vos adorables soins Lui suscitent enfin de terribles témoins.
Ah!	Ah!
Golo, nous formons nous trois vne tempeſte, Qui doit dans peu de temps éclater ſur ta teſte, Et ce iuſte vainqueur, va montrer en ſon lieu Que s’il ſçait tolerer, il ſçait punir en Dieu, En vain oppoſe-tu l’Enfer auec ſes charmes Contre le Ciel vangeur ſe ſont de foibles armes;	Golo, nous formons nous trois une tempête, Qui doit dans peu de temps éclater sur ta tête, Et ce juste vainqueur, va montrer en son lieu Que s'il sait tolérer, il sait punir en Dieu, En vain oppose-tu l'Enfer avec ses charmes Contre le Ciel vengeur se sont de faibles armes;
Vne ombre contre toy va ſe faite ceuutour Pour y voir triompher l’innocence & l’amour, Et l'vſage innocent d’innocens artifices, Va bien.	Une ombre contre toi va se faite ceuutour Pour y voir triompher l'innocence et l'amour, Et l'usage innocent d'innocents artifices, Va bien.
toſt diſſiper tes plus noires malices.	tôt dissiper tes plus noires malices.
Il s'envs.	Il s'envs.
L’Innocence Reconmië,	L'Innocence Reconmië,
En Recits de Muſique.	En Recits de Musique.
ARGVMENT.	ARGUMENT.
I.	I.
Vne trouppe d’Amours ayant appris que la Princeſſe auoit eſté tuée dans la Foreſt, y va pour luy dreſſer vn tombeau, auquel ils ſe mettent à travailler.	Une troupe d'Amours ayant appris que la Princesse avait été tuée dans la Forêt, y va pour venir dresser un tombeau, auquel ils se mettent à travailler.
Il.	Il.
Cependant ils vont demander le corps aux Nymphes, afin de le mettre en terre.	Cependant ils vont demander le corps aux Nymphes, afin de le mettre en terre.
III.	III.
Vn Echo leur fait entendre qu’elle vit encore dans cette meſme Foreſt.	Un Écho leur fait entendre qu'elle vit encore dans cette même Forêt.
IV.	IV.
Ce qui leut citaut conutute par dauttes vony nle quittent le deſſein de luy dieſſer vn Tombeau, & prendie celuy de l’aller chercher en vie.	Ce qui lut citaut conute par dauttes voni nle quittent le dessein de reste diéser un Tombeau, et prendie celui de l'aller chercher en vie.
Trouppe des Amours ſans muſique.	Troupe des Amours sans musique.
*Teuey dmhonro Ce fut en ce lieu, chers amours, Qu'vn ſupplice finit ſes iours,	*Teuei dmhonro Ce fut en ce lieu, chers amours, Qu'un supplice finit ses jours,
Second Amour.	Second Amour.
Mais c’eſt par nos mains que la gloire Y veut dreſſer à ſa memoire Quelque ſuperbe monument Qui la pleure eternellement c Et dont la fidelle ſtructure Vange ſon nom de cette injure, Nous trauaillons ſur ce deſſein.	Mais c'est par nos mains que la gloire Y veut dresser à sa mémoire Quelque superbe monument Qui la pleure éternellement ç Et dont la fidèle structure Venge son nom de cette injure, Nous travaillons sur ce dessein.
Troiſiéme Amour.	Troisième Amour.
Mais tout noſtre trauail eſt :	Mais tout notre travail est :
ain Si ce monument ſi ſuperbe Ne doit rien couurit que de l’herbe;	ain Si ce monument si superbe Ne doit rien couvrit que de l'herbe;
Faiſons pluſtoſt tous nos efforts Aun de Iccosuſcrioncores.	Faisons plutôt tous nos efforts Aun de Iccosuscrioncores.
Quatriéme Amour.	Quatrième Amour.
Volons par tout à tire d’aiſles, Pour en auoirquelques nouuelles.	Volons par tout à tire d'aisles, Pour en avoirquelques nouvelles.
Premier Amour.	Premier Amour.
Lyſis ſeul dont la belle voix Plaiſt tant aux Nymphes de ces bois Sans interrompre noſtre ouurage Leus pourra faire le meſſage.	Lysis seul dont la belle voix Plaît tant aux Nymphes de ces bois Sans interrompre notre ouvrage Leus pourra faire le message.
Quatriéme Ameur.	Quatrième Ameur.
Lyſis, mais d’vn ton diſcret, Taſche d’en tirer le ſecret.	Lysis, mais d'un ton discret, Tâche d'en tirer le secret.
LYSIS enchantant, Tendant que les autres trauaillent à eleüer uno Pyramide.	LYSIS enchantant, Tendant que les autres travaillent à élever un Pyramide.
Bois ſacrez qui cachez le corps de Geneuiéue, Et de ſa triſte mort, portez encor le deüil, Souffrez que l’amour le retreuue.	Bois sacrés qui cachez le corps de Geneuiéue, Et de sa triste mort, portez encor le deuil, Souffrez que l'amour le retreuve.
Pour luy rendre en ce lieu lereſpect du cęreueil,	Pour ici rendre en ce lieu lérespet du cęreueil,
Chers deſerts, c’eſt a tort que ce deſſéln vous bleſſe, Et que de ce dépoſt vous eſtes ſi jaloux, Il faut que noſtre ſoin luy dreſſe Rpetaus Ce dernier monument qui luy manque chez vous.	Chers déserts, c'est a tort que ce desséln vous blesse, Et que de ce dépôt vous êtes si jaloux, Il faut que notre soinment dresse Rpétaus Ce dernier monument qui lui manque chez vous.
11SIS.	11SIS.
Ce dernier monument.	Ce dernier monument.
L'EOMO.	L'EMO.
Ce dernier ronument.	Ce dernier ronument.
LISTS.	LISTS.
Qui luy manque.	Qui avait manque.
L’ECHO.	L'ECHO.
Qui luy manque.	Qui avait manque.
LYSIS.	LYSIS.
Chez vous.	Chez vous.
LECHO.	LECHO.
Chez vous,	Chez vous,
Premier Amour ſans muſique, Quelque Nymphe d’icy s’approche Qui te répond de cette Roche, Mais qui tes paroles confond Auee celles que tu réponds.	Premier Amour sans musique, Quelque Nymphe d'ici s'approche Qui te répond de cette Roche, Mais qui tes paroles confond Auee celles que tu répond.
Et ne le diſſimuler point.	Et ne le dissimuler point.
LYSIS s'adreſſe a t'Ecno en tunmiant.	LYSIS s'adresse a t'-Éco en tunmiant.
Echo, dis.	Écho, dis.
nous, ie te prie N’eſt-il rien icy reſté,	nous, Seigneur te prie N'est-il rien ici resté,
Second Amour.	Second Amour.
Il faut l’interroger d’adreſſe Pour en titer réponſe expreſſe, Et recueillir ſur chaque point, De l’innocente beauté Que la mort nous a rauie?	Il faut l'interroger d'adresse Pour en titer réponse expresse, Et recueillir sur chaque point, De l'innocente beauté Que la mort nous a ravie?
ECHO.	ECHO.
Vie.	Vie.
LYSIS.	LYSIS.
Quoy done ſeroit-elle au nombre De ceux qui viuent encor, Qui cacheroit ce treſor Dans vne Foreſt ſi ſombre?	Quoi donc serait-elle au nombre De ceux qui vivent encor, Qui cacherait ce trésor Dans une Forêt si sombre?
ECHO.	ECHO.
Ombre.	Ombre.
LYSIS Cette incroyable nouuelle Doit de ta part m’étonner:	LYSIS Cette incroyable nouvelle Doit de ta part m'étonner:
Mais m’en voudrois tu donner Quelque temom plus noelte?	Mais m'en voudrais tu donner Quelque témom plus nolte?
ECHO.	ECHO.
El'e.	Él'e.
LYSIS.	LYSIS.
Eſt-ce loin de cette roche Qu’elle a choiſi ſon ſejour, Dis ce leclet al nilodr Et n’en crains point de reproche.	Est-ce loin de cette roche Qu'elle a choisi son séjour, Dis ce leclet al nilodr Et n'en crains point de reproche.
ECHO.	ECHO.
Proche.	Proche.
Adieu conoi, LYSIS.	Adieu conoi, LYSIS.
dldteu done.	dlûteu done.
ECHO.	ECHO.
Adieu volage.	Adieu volage.
LYSIS.	LYSIS.
Adieu volage.	Adieu volage.
ECHO.	ECHO.
LISIS.	LISIS.
Quoy tu te mocques de moy.	Quoi tu te moques de moi.
EGHO.	ÉGHO.
qe j eu te motques ue moy.	Oqe j eu te motques ue moi.
Ir	Ir
LISIS.	LISIS.
Si tu veux tife, taytoy.	Si tu veux tife, taitoi.
ECHO.	ECHO.
Si tu veux rire tay toy.	Si tu veux rire tai toi.
N’en parlons plus dauantage.	N'en parlons plus davantage.
LCHO.	LCHO.
N’en parlons plus dauantage.	N'en parlons plus davantage.
Cauſeuſe adieu.	Causeuse adieu.
LISIS.	LISIS.
dbascas dulsds ECHO.	dascas dulsds ECHO.
LISIS.	LISIS.
Adieu lalls te von.	Adieu lalls te von.
Adieu ſans te voir.	Adieu sans te voir.
ECHO.	ECHO.
LISIS.	LISIS.
Tay-toy, ſans me plus répondre.	Tais-toi, sans me plus répondre.
DARO1 Tay-toy, ſans me plus répondre.	DARO1 Tais-toi, sans me plus répondre.
LIJIS.	LIJIS.
Ou ie m’en vay te confondre.	Ou ici m'en vais te confondre.
ECHO.	ECHO.
Va te confondre.	Va te confondre.
LISIS.	LISIS.
Apres vn eſpoir ſi doux.	Après un espoir si doux.
ECHO.	ECHO.
Eſpoir doux.	Espoir doux.
Ie te fuis, adieu.	Je te fuis, adieu.
LISIS.	LISIS.
ECHO.	ECHO.
Fuis, adieu.	Fuis, adieu.
Trompeuſe, adieu.	Trompeuse, adieu.
LISIS.	LISIS.
Tragedie Chreſtienne.	Tragédie Chrétienne.
Atompeur, auieus ECHO.	Attompeur, avieus ECHO.
LISIS.	LISIS.
Adieu voix trompeuſe, adieu,	Adieu voix trompeuse, adieu,
ECHO.	ECHO.
Adieu.	Adieu.
Equun foun uoeu Piqoumoo un mprumens;	Equun foun œuoeu Piqoumo un mprumens;
O chante en muſique.	Ô chante en musique.
Cette voix ne me trompe pas, Geneuiéue eſt encore viuante Tant de vertus & tant d’appas ouii pu ſauuer vne innocente;	Cette voix ne me trompe pas, Geneuiéue est encore vivante Tant de vertus et tant d'appas oui pu sauver une innocente;
Et malgré la rigueur de ſon injuſte ſort Elle triomphe de la mort.	Et malgré la rigueur de son injuste sort Elle triomphe de la mort.
A rolo onumans nplin ſul.	A rolo onumants nplin sul.
Et malgré la rigueur de ſon injuſte ſort Elle triomphe de ſa mort.	Et malgré la rigueur de son injuste sort Elle triomphe de sa mort.
Tous trois enſemble, ſçauoir Lyſis, l’Echo & la Baſſe ſouſtenus d’inſtrumens.	Tous trois ensemble, savoir Lysis, l'Écho et la Basse soutenus d'instruments.
Sifroy, ne t’afflige donc plus Ta Geneuiéue vit encore, Les ombres de ces bois touffus Cachent ce que ton cœur adore, Et malgré la rigueur de ſon injuſte ſort Elle thompne de la mort.	Sifroy, ne t'afflige donc plus Ta Geneuiéue vit encore, Les ombres de ces bois touffus Cachent ce que ton cœur adore, Et malgré la rigueur de son injuste sort Elle thompne de la mort.
LISIS reprend encore ſeul.	LISIS reprend encore seul.
Et malgré la rigueur de ſon injuſte ſort Elle triomphe de la mort.	Et malgré la rigueur de son injuste sort Elle triomphe de la mort.
Premier Amour, ſans muſique.	Premier Amour, sans musique.
Puiſque Geneuiéue eſt en vie D ij Source gallica.	Puisque Geneuiéue est en vie D éj Source galica.
bnf.	bnf.
fr ( Biblit le de France Malgré l’injuſte jalouſic;	fr ( Biblit le de France Malgré l'injuste jalousic;
Sur le débris de ſontombeau Dreſſons quelque deſſein nouueau, Où d’vne auanture ſi belle La memoire ſoit immortelle.	Sur le débris de sontombeau Dressons quelque dessein nouveau, Où d'une aventure si belle La mémoire soit immortelle.
Second Amour.	Second Amour.
Allons dans tous ces bois chercher Quel endroit à pu la cacher.	Allons dans tous ces bois chercher Quel endroit à pu la cacher.
Troiſiéme Amour.	Troisième Amour.
Retirons la vertu des ombres Où la tiennent ces Foreſts ſombres.	Retirons la vertu des ombres Où la tiennent ces Forêts sombres.
AO2 11	ÀO2 11
SCEIE PREMIERE.	SCIE PREMIÈRE.
LYSANDRE.	LYSANDRE.
CLEON.	CLEON.
CLEON.	CLEON.
Ve fait le Comte?	Ve fait le Comte?
LYSANDRE.	LYSANDRE.
Il prend vn moment de repos.	Il prend un moment de repos.
Nous ne pouuions treuuer vn temps plus à propos.	Nous ne pouvions trouver un temps plus à propos.
Sa caſſette eſt ouuerte, il eſt aiſé d’y mettre it lalet Paimy d’autres écrits cette fatale lettre, Comme il eſt curieux ſouuent de les reuoir Mneinamquerapardes en appesessone	Sa cassette est ouverte, il est aisé d'y mettre it lalet Paimi d'autres écrits cette fatale lettre, Comme il est curieux souvent de les revoir Mneinamquerapardes en appesessone
CLEON.	CLEON.
Mais n’y treuuez-vous pas quelque danger, Ly ſandre?	Mais n'y trouvez-vous pas quelque danger, Ly sandre?
Sur vne viſion c’eſt beaucoup entreprendre.	Sur une vision c'est beaucoup entreprendre.
LYSANDRE.	LYSANDRE.
Qugy done, vou, cnancoren de peruren deltein Où vous auez promis & le cœur & la main?	Qui don, vou, cnancoren de peruren déltein Où vous avez promis et le cœur et la main?
CLEON.	CLEON.
Vous connoiſſez Golo, ſi par quelque artifice Ilſçait qu’vn de nous deux ſoit de cecy cõplice, Vous ſçauez ſon credit, vous ſçauez ſon pouuoir Comme il s’en ſeruira vous le pouuez preuoir.	Vous connaissez Golo, si par quelque artifice Ilsait qu'un de nous deux soit de ceci complice, Vous savez son crédit, vous savez son pouvoir Comme il s'en servira vous le pouvez prévoir.
LISANDRE.	LISANDRE.
C’eſt bien ce que pourra tout ce qu’il a d’adreſſe Que de ſe retirer du piege qu'on ſuy dreſſc.	C'est bien ce que pourra tout ce qu'il a d'adresse Que de se retirer du piège qu'on suis dressc.
Et ie m'en tiens ſi fort, que s’il y contredit, Moy ſeul le ſoûtiendray contre tout ſon credit.	Et petit m'en tiens si fort, que s'il y contredit, Moi seul le soutiendrai contre tout son crédit.
CLEON.	CLEON.
Contentons-nous d’agir ſans toutefois paroîtte;	Contentons-nous d'agir sans toutefois paroîtte;
Seruons à la façon qu’vne ombre le veut eſtre,	Servons à la façon qu'une ombre le veut être,
LISANDRE.	LISANDRE.
Ou ſelon le beſoin qu’elle en a cette fois Preſtons à ſon eſprit & la main & la voir, Si le Comte au beſoin manque à ſon innocence Nos armes ſeruiront du moins à ſa deffence.	Ou selon le besoin qu'elle en a cette fois Prêtons à son esprit et la main et la voir, Si le Comte au besoin manque à son innocence Nos armes serviront du moins à sa défense.
Et ſi pour la prouuer tout autre droit eſt vain Aren iaoura veni dunpreudes dela inans Pour vn ſi beau ſujet contre tant d’injuſtice I'entreray volontiers le premier dans la lice, Aſſaille qui voudra.	Et si pour la prouver tout autre droit est vain Aren joura veni dunpreudes déla inans Pour un si beau sujet contre tant d'injustice J'entrerai volontiers le premier dans la lice, Assaille qui voudra.
Ie ſeray le tenant, Et j’y preſenteray cartel à tout venant.	Je serai le tenant, Et j'y présenterai cartel à tout venant.
CLEON.	CLEON.
I'approuue les tranſports d’vne ardeur ſi fidelle, Et moy-meſme ſuis preſt de ſeconder tonzele;	J'approuve les transports d'une ardeur si fidèle, Et moi-même suis prêt de seconder tonzèle;
D iij Mais conduiſons l’affaire auec dexterité, Il n'en faut venir là qu’à toute extremité.	 Déj Mais conduisons l'affaire avec dextérité, Il n'en faut venir là qu'à toute extrémité.
Voyons auparauant ce que feront ces lignes, Si d’vn amour conſtãt il donne quelques ſignes, Nous pourrons appuyer ces premiers ſentimens n ent ra Et ſouffler ſur ce feu par nos reſſentimens.	Voyons auparavant ce que feront ces lignes, Si d'un amour constãt il donne quelques signes, Nous pourrons appuyer ces premiers sentiments n ent ra Et souffler sur ce feu par nos ressentiments.
Mouttus quelqu'vu qui vient, diſcourons d’autre choſe.	Mouttus quelqu'vu qui vient, discourons d'autre chose.
D CLEON.	D CLEON.
N’entrez pas, il repoſe, s ſirtent De crainte toutefois de troubler ſon ſommeil Nous vous laiſſons icy.	N'entrez pas, il repose, s irtent De crainte toutefois de troubler son sommeil Nous vous laissons ici.
LERIS.	LERIS.
l'attendray ſon réueil.	l'attendrai son réueil.
Mais ie me trompe fort s’il me fait bien attendre L'amour & les ſoucis ont le repos bien tendre, A peine a t’il fermé les yeux pour ſommeiller Que leurs illuſions le vicnnent téueiller.	Mais personne me trompe fort s'il me fait bien attendre L'amour et les soucis ont le repos bien tendre, À peine a t'il fermé les yeux pour sommeiller Que leurs illusions le vicnent tueiller.
Ly ſandre auec Cleon, comme ie m’imagine, Venoient l’entretenir ſur le meurtre d’Argine.	Ly sandre avec Cleon, comme Elle m'imagine, Venaient l'entretenir sur le meurtre d'Argine.
Dé a ſur quelques bruits qui ſont de leur façon On en jette tout bas ſur Golo le ſoupçon.	Dé a sur quelques bruits qui sont de leur façon On en jette tout bas sur Golo le soupçon.
Il les faut preuenir.	Il les faut prévenir.
Ah!	Ah!
Tragedie Chreſtienne.	Tragédie Chrétienne.
SCENE III.	SCÈNE III.
SIFROY.	SIFROY.
LERIS.	LERIS.
LERIS.	LERIS.
Que veut.	Que veut.
l.	l.
SIFROY.	SIFROY.
A moy!	À moi!
LERIS.	LERIS.
Voyons ce qu’il deſire.	Voyons ce qu'il désire.
Golo?	Golo?
SIFROY.	SIFROY.
LERIS.	LERIS.
Seigneur, il dort, ſi c’eſt pourtant dormir Sous ces tudes aſſauts, dont ie le vois fremir;	Seigneur, il dort, si c'est pourtant dormir Sous ces tudes assauts, dont notre le vois frémir;
Helas!	Hélas!
qui pourroit voir quelles bizatreries, Forment dans ſon eſprit ces noires teſueries!	qui pourrait voir quelles bizâtreries, Forment dans son esprit ces noires témueries!
Tantoſt il voit Drogan, qui tenant vn flambeau Vient conduire ſes pas iuſque ſur ſon tombeau:	Tantôt il voit Drogan, qui tenant un flambeau Vient conduire ses pas jusque sur son tombeau:
Tantoſt il voit Madame encore toute ſanglante, Et tantoſt à ſoy meſme il la voit ſuruiuante:	Tantôt il voit Madame encore toute sanglante, Et tantôt à soi Un il la voit surviante:
Il ccoit qu’elle l’appelle au fond de la Tareſt, Pour empeſcher l'éclat de ſon funeſte arreſt.	Il cécoit qu'elle l'appelle au fond de la Tarêt, Pour empêcher l'éclat de son funeste arrêt.
Sommeil.	Sommeil.
à qui la nuit a c-dé ſon empire, Toy vers qui dans les maux chacun de uous ſoſipire, D iiij Au moins pour vn moment charme vn peu les ennuis, Qui luy cauſent déja tant de mauuaiſes nuits.	à qui la nuit a ç-dé son empire, Toi vers qui dans les maux chacun de -vous sosipire, D ijà Au moins pour un moment charme peu les ennuis, Qui avait causent déjà tant de mauvaises nuits.
Ou ſi tu ne veux pas te rendre plus propice, Ne le tourmente plus auec tant de malice, Eitaut mieux l’interrompre, en luy faiſant du bruit.	Ou si tu ne veux pas te rendre plus propice, Ne le tourmente plus avec tant de malice, Eitaut mieux l'interrompre, en lui faisant du bruit.
SIFROY ſe leuant & courant vers Leris.	SIFROY se lèvant et courant vers Léris.
Ah?	Ah?
chere ombre, où fuis-tu, Sifroy qui te pourſuit!	chère ombre, où fuis-tu, Sifroy qui te poursuit!
Letis, appelle-la.	Létis, appelle-la.
LERIS.	LERIS.
Seig neur.	Seig neur.
SIFROY.	SIFROY.
1e tole commande.	1e tole commande.
He quoy:	He quoi:
LERIS.	LERIS.
SIFROY.	SIFROY.
Cours & luy dis que Sifroy la demande.	Cours et était dis que Sifroy la demande,
Que voures tous.	Que voures tous.
LERIS.	LERIS.
Geneuiéue?	Geneuiéue?
SIFROY.	SIFROY.
Tauteir ſe diſe tant de fois.	Tauteir se dise tant de fois.
LERIS.	LERIS.
Hé Seigneur!	Hé Seigneur!
SIFROY.	SIFROY.
Elle fuit dans le bois.	Elle fuit dans le bois.
LERIS.	LERIS.
Helas vous ſçauez bien!	Hélas vous savez bien!
SIFROY.	SIFROY.
Parle, que veux tu dire?	Parle, que veux -tu dire?
LERIS.	LERIS.
Que Geneuiéue eſt morte!	Que Geneuiéue est morte!
SIFROY Et que Sifroy reſpire!	SIFROY Et que Sifroy respire!
4 2 Tragedie Chreſtienne,	4 2 Tragédie Chrétienne,
cher, Il a tout auſſi-toſt diſparu de ma venë Et i’a laiſſé percé de ce trait qui me tue.	cher, Il a tout aussitôt disparu de ma venue Et j'a laissé percé de ce trait qui me tue.
LERIS:	LERIS:
Pourquoy tous ces trauſports pour vn bien qui n'eſt plus?	Pourquoi tous ces trausports pour un bien qui n'est plus?
SIFROY.	SIFROY.
Ils ſont iuſtes, Leris, quoy qu’ils ſoient ſuperflus:	Ils sont justes, Léris, quoi qu'ils soient superflus:
I'ay moy-meſme verſé le ſang de cette Belle, En ſignant ſon trépas d’vne main criminelle.	J'ai moi-même versé le sang de cette Belle, En signant son trépas d'une main criminelle.
Silence ma raiſon !	Silence ma raison !
éclate ma douleur!	éclate ma douleur!
Tes tranſpotts ſont trop doux pour ce coup de malheur, Viens acheuer ſur mey le ſanglant ſacrifice;	Tes transpotts sont trop doux pour ce coup de malheur, Viens achever sur me le sanglant sacrifice;
Mais pourquoy mon amour n’en fait-il pas l’office?	Mais pourquoi mon amour n'en fait-il pas l'office?
C’eſt luy ſeul que la mort ale plus outragé, Et la mienne deuroit l’auoir déja vangé.	C'est lui seul que la mort ale plus outragé, Et la mienne devrait l'avoir déjà vengé.
LERIS.	LERIS.
