AV LECTEVR.	AU LECTEUR.
Ne trouueray-ie donc pas d’auantage pour occuper la valeur de mes armes,& ne feray-ie point reſſentir à tous mes ennemis quel ie ſuis, & cõbien ie ſuis animé par lavertu de ceſte liqueur?	Ne trouverai-je donc pas d'avantage pour occuper la valeur de mes armes,et ne ferai-je point ressentir à tous mes ennemis quel le suis, et confien ce suis animé par lavertu de cette liqueur?
es-tu celuy qui dois eſprouuer la grandeur de mon courage, & reſſentir la force de mes armes?	es-tu celui qui dois éprouver la grandeur de mon courage, et ressentir la force de mes armes?
NEPTVNE.	NEPTUNE.
Que ſi tu te dis fils de Iupiter, & que tu te renomme Bachus, ſçache que c’eſt à toy que i’en veux.	Que si tu te dis fils de Jupiter, et que tu te renomme Bachus, sache que c'est à toi que j'en veux.
BACHVS.	BACHUS.
Et toy, ſi tu te vente de commãder à la mer & aux eaux, & que tu nous menaſſe de nous ſubmerger, ſçache que ie te declare la guerre, & que c’eſt contre toy que ie porte les armes.	Et toi, si tu te vente de commander à la mer et aux eaux, et que tu nous menasse de nous submerger, sache que sans te déclare la guerre, et que c'est contre toi que je porte les armes.
NEPTVNE.	NEPTUNE.
De qui tiens-tu ce pouuoir?	De qui tiens-tu ce pouvoir?
oſe-tu bien ſeullement penſer de toucher 29 mon Empire;	ose-tu bien seullement penser de toucher 29 mon Empire;
que ſi les Dieux te veulent eſleuer auec eux, qu’ils te creent de nouueaux Empires, ou qu’ils deſcẽdẽt eux meſmes pour te ſecõder en tes conqueſtes:	que si les Dieux te veulent élever avec eux, qu'ils te créent de nouveaux Empires, ou qu'ils descẽdẽt eux -mêmes pour te seconder en tes conquêtes:
car tandis qu’il y aura vn Neptune, ſçache que nul autre ne regnera.	car tandis qu'il y aura un Neptune, sache que nul autre ne régnera.
BACHVS.	BACHUS.
Les Dieux ne ſe mettront pas en peine de creer des nouueaux Empi- &ſes ſoldats res pour me faire regner:	Les Dieux ne se mettront pas en peine de créer des nouveaux Empi- etses soldats rés pour me faire régner:
i’ay des ar-celles qu’ils mes, i’ay des armes pour conquerir ceux qui ſont faits, & pour vaincre ceux qui les poſſedent.	j'ai des arcelles qu'ils mes, j'ai des armes pour conquérir ceux qui sont faits, et pour vaincre ceux qui les possèdent.
NEPTVNE.	NEPTUNE.
Ces armes là ſont du tout admirables en l’aſſeurance qu’elles te donnent de triõpher vn iour de l’vniuers.	Ces armes là sont du tout admirables en l'assurance qu'elles te donnent de triompher un jour de l'Hivers.
Mais encore, puis que nous ſommes ennemis & dignes l’vn de l’autte, ne me ſeroit-il pas permis de voir ce que c’eſt.	Mais encore, puis que nous sommes ennemis et dignes l'un de l'autte, ne me serait-il pas permis de voir ce que c'est.
BACHVS.	BACHUS.
Non, non, ie ne le refuſe pas, il eſt ont.	Non, non, Madame ne le refuse pas, il est ont.
verre.	verre.
de victoires, mes ennemis ſont des trophees quiannobliſſent mes armes autant de fois que ie combats.	de victoires, mes ennemis sont des trophées quiannoblissent mes armes autant de fois que ie combats.
Les lauriers ne ſerõt deſormais que pour ma teſte, rien que des palmes dans mes mains, puis que i’ay la victoire cõtre vn Neptune.	Les lauriers ne seront désormais que pour ma tête, rien que des palmes dans mes mains, puis que j'ai la victoire comptre in Tune.
Me voyla au tẽps pour ſacrifier toutes ces dépoüilles à la trouppedes Dieux;	Me voilà au temps pour sacrifier toutes ces dépouilles à la troupédes Dieux;
allons Soidats.	allons Soidats.
SCENE III.	SCÈNE III.
TRITON.	TRITON.
MELIT LD TRITON, Soldat de Neptune.	MELIT LD TRITON, Soldat de Neptune.
Vel deshonneur, quelle honte, quel affront fait à noſtre tourage, nous combattons ſous l’éendart d’vn Neptune, qui appaiſe les ots, qui modere les tempeſtes, qui a ſſputé auec les Dieux le partage dõt iouyt, quelle infamie à ſa gloire, 2 quelle tache à ſon honneur, de ſuccomber ſi laſchemẽt aux armes d’vn ieune Capitaine.	Vel déshonneur, quelle honte, quel affront fait à notre tourage, nous combattons sous l'éendard d'Hel Neptune, qui apaise les ots, qui modère les tempêtes, qui a sputé avec les Dieux le partage dõt jouit, quelle infamie à sa gloire, 2 quelle tache à son honneur, de succomber si lâchement aux armes d'un jeune Capitaine.
MELITE Soldat de pachus.	MELITE Soldat de pachus.
Quelle gloire à vn ſoldat de ſe voir touſiours victorieux dans les combats, de ſe voir ſous l’eſtendart d’vn Capitaine auſſi heureux que vaillant.	Quelle gloire à un soldat de se voir toujours victorieux dans les combats, de se voir sous l'étendard d'un Capitaine aussi heureux que vaillant.
Et lembraffe.	Et lembraffe.
Ha cher amy, braue ſoldat, ie porte compaſſion a tes infortunes, veu que ſi vaillant que tu es, tu n’as pas reuſſi dans ce combat:	Ha cher ami, brave soldat, je porte compassion à tes infortunes, vu que si vaillant que tu es, tu n'as pas réussi dans ce combat:
mais ton hon neur n’en eſt en rien diminué pout cela:	mais ton hon neur n'en est en rien diminué pout cela:
car ſçache que tu as eſté vaincu par le plus braue, & le plus genereur Capitaine de la terre.	car sache que tu as été vaincu par le plus brave, et le plus généreur Capitaine de la terre.
TFITON.	TFITON.
Ie le reconnois pour tel, ô valleu reux Soldat, ie ne ſuis en rien desho noré pour auoir cedé à vos armes vi ctorieuſes:	Je le reconnais pour tel, ô valeu reux Soldat, personne ne suis en rien désho noré pour avoir cédé à vos armes vi torieuses:
mais ie deſirerois biẽ ſç uoir vne choſe;	mais ici désirerais bien emp uoir une chose;
pourquoy voſt Capitaine vous a il fait boire auant que venir aux mains auec nous?	pourquoi vos Capitaine vous a il fait boire avant que venir aux mains avec nous?
qu’eſt-ce qu’il vous a fait boire?	qu'est-ce qu'il vous a fait boire?
MELITE.	MELITE.
O l’admirable vertu, & les rares ſingularitez de celuy que tu parles:	Ô l'admirable vertu, et les rares singularités de celui que tu parles:
c’eſt vn nectar qui anime nos ſens, qui nous donne courage pour attaquer nos ennemis.	c'est un nectar qui anime nos sens, qui nous donne courage pour attaquer nos ennemis.
faite.	faite.
MELITE.	MELITE.
Arreſte, arreſte.	Arrête, arrête.
victoires, & que nos conqueſtes ne finiſſent qu’aux limites de l’vniuers.	victoires, et que nos conquêtes ne finissent qu'aux limites de l'univers.
O braue Capitaine ta deſroute eſt deplorable, mais tu te peux conſoler Neptune.	Ô brave Capitaine ta déroute est déplorable, mais tu te peux consoler Neptune.
en ta perte, puis que ie ſuis ton vainqueur.	en ta perte, puis que ici suis ton vainqueur.
NBPTVNE.	NBPTUNE.
Au contraire, ſçache que tes ſurpriſes ne m’ont point endommagé ny la force, ny le courage:	Au contraire, sache que tes surprises ne m'ont point endommagé ni la force, toujours le courage:
& apprens que ie t’attens pour te liurer bataille, & que ie tireray la vengeance de tes temeraires entrepriſes.	et apprends que venir t'attends pour te livrer bataille, et que personne tirerai la vengeance de tes téméraires entreprises.
BACHVS.	BACHUS.
Courage ſoldats, ſont ceux que vous auez deſia mis en deſroute, beuuons chacun vn coup pour triõpher plus glorieuſemẽt de ces aquatiques.	Courage soldats, sont ceux que vous avez déjà mis en déroute, buvons chacun un coup pour triompher plus glorieusemẽt de ces aquatiques.
NEPTVNE.	NEPTUNE.
Souuenez-vous, mes ſoldats, qu’il faut conſeruer noſtre vie & noſtre liberte, ce ne ſont que des yurongnes.	Souvenez-vous, mes soldats, qu'il faut conserver notre vie et notre liberté, ce ne sont que des yurongnes.
B BACHVS.	 BACHUS.
Trop de victoires gagnees, trop d’ennemis vaincus pour ne me dire monarque de l’vniuers, les dépoüilles le monſtrent, mes ennemis le ſçauent & le confeſſent:	Trop de victoires gagnées, trop d'ennemis vaincus pour ne me dire monarque de l'Hivers, les dépouilles le montrent, mes ennemis le savent et le confessent:
que reſte il maintenant pour l’accompliſſement de ma gloire?	que reste il maintenant pour l'accomplissement de ma gloire?
Il prend en Voila les armes, & les inſtruments dent de Nep- qui deuoiẽt ſeruir à ma perte & à l’inondation de la terre, de crainte qu’elle ne fuſt le champ de mes armées & le ſujet de mes triomphes & de ma gloire.	Il prend en Voilà les armes, et les instruments dent de Nép- qui dévoyaient servir à ma perte et à l'inondation de la terre, de crainte qu'elle ne fût le champ de mes armées et le sujet de mes triomphes et de ma gloire.
I’ay maintenant deux tiltres, de gloire & d’honneur immortel;	J'ai maintenant deux titres, de gloire et d'honneur immortel;
l’vn de vainqueur, & l’autre de pro tecteur de l’vniuers.	l'un de vainqueur, et l'autre de pro jecteur de l'univers.
ACTE TROISIESME.	ACTE -TROISIÈME.
POLYDOR.	POLYDOR.
LYCVRGVE.	LYCURGUE.
L’AMBASSADEVR DE BACHVS.	L'AMBASSADEUR DE BACHUS.
PENTHEE.	PENTHÉE.
DACHVS.	DACHUS.
R POETDOR.	 ROETDOR.
Eureux, & mille fois heureux, de me voir eſleué à ceſt honneur, que d’auoir employé mes armes à la deffence de ma Patrie, à la conſeruation de noſtre eſtat floriſſant:	Eurux, et mille fois heureux, de me voir élevé à cet honneur, que d'avoir employé mes armes à la défense de ma Patrie, à la conservation de notre état florissant:
mais encore mille fois heureux d’auoir mis les limites de noſtre païs dans le milieu des terres de nos ennemis;	mais encore mille fois heureux d'avoir mis les limites de notre pays dans le milieu des terres de nos ennemis;
trop d’hõneur à vn ſoldat de ſe voir vainqueur en la deffence deſa patrie.	trop d'honneur à un soldat de se voir vainqueur en la défense des patrie.
LICVRGVE.	LICURGUE.
Et bien, à quoy en ſont nos guerreseſtrangeres.	Et bien, à quoi en sont nos guerresestrangeres.
POLIDOR.	POLIDOR.
Meſſieurs, ie ſuis voſtre ſoldat, & quant & quant la trompette & le nonce de vos victoires.	Messieurs, Seigneur suis votre soldat, et quant et quant la trompette et le nonce de vos victoires.
LICVRGVE.	LICURGUE.
Ha!	Ha!
heureuſes nouuelles pour nous, & auſſi heureux ſoit celuy qui nous les apporte:	heureuses nouvelles pour nous, et aussi heureux soit celui qui nous les apporte:
mais encores comment cela eſt il paſſé?	mais encore comment cela est il passé?
la gloire eſt elle auſſi grade pour nous que la victoire leur eſt dommageable?	la gloire est elle aussi grade pour nous que la victoire leur est dommageable?
POLIDOR.	POLIDOR.
Sçache qu’il eſt ainſi:	Sache qu'il est ainsi:
Impatiens que nous eſtions de la longueur dela treue, noꝰ les auõs reduits à ce poinct, ou de nous ceder ſans coup ferir, ou d’emporter la place à la poincte de l’eſpee:	Impatiens que nous étions de la longueur déla trouve, noù les avons réduits à ce point, ou de nous céder sans coup férir, ou d'emporter la place à la pointe de l'épée:
nos ennemis auſſi reſolus de deffendre que nous de les attaquerſe ſont mis en deuoir.	nos ennemis aussi résolus de défendre que nous de les attaquerse sont mis en devoir.
Ils ſouſtiennen aſſez bien à la premiere attaque, nous reuenons viſtemẽt dans nos rangs, & nos eſcadrõs ſe mettent en gros poul les faire deſloger dunouou ils eſtoie campez, ils ſe iettent rudement dans noſtre gros, nous leur faiſons iour pour les enuelopper de toutes parts, & leur faiſons prendre la terre à belle dent.	Ils soutiennen assez bien à la première attaque, nous revenons vitement dans nos rangs, et nos escadrions se mettent en gros poul les faire déloger dunou ils étoie campez, ils se jettent rudement dans notre gros, nous leur faisons jour pour les envelopper de toutes parts, et leur faisons prendre la terre à belle dent.
LICVRGVE.	LICURGUE.
Heureux donc pour noſtre Eſtat, heureux pour noſtre Empire, & à toy braue ſoldat, il eſt auſſi glorieux qu’il nous eſt heureux:	Heureux donc pour notre État, heureux pour notre Empire, et à toi brave soldat, il est aussi glorieux qu'il nous est heureux:
car tous ceux qui combattent genereuſement, & auec tant de bon-heur, ils ſe peuuent qualifier du nom de protecteur de nos Eſtats, & nous les cognoiſſons & honerons à iamais de ce tiltre glorieux:	car tous ceux qui combattent généreusement, et avec tant de bonheur, ils se peuvent qualifier du nom de protecteur de nos États, et nous les connaissons et honerons à jamais de ce titre glorieux:
mais l’Eſtat t’eſt particulierement redeuable d’eſtre le premier denonciateur de nos victorieuſes conqueſtes.	mais l'État t'est particulièrement redevable d'être le premier dénonciateur de nos victorieuses conquêtes.
Sçache qu’il aura eſgard à ta' diligence & valeur, & que tu receuras premier que tous la couronne que nous deuons aux ſoldats, puis que tu es le premier de qui on a ouy le progrez de nos armes.	Sache qu'il aura égard à ta' diligence et valeur, et que tu recevras premier que tous la couronne que nous devons aux soldats, puis que tu es le premier de qui on a ouï le progrès de nos armes.
AMBASSADEVR DE BACHVS.	AMBASSADEUR DE BACHUS.
Meſſieurs, le reſpect que tout le monde rend à vos dignitez & grandeurs, a eſmeu mon Seigneur mon Maiſtre de m’enuoyer vers voſtre Excellence pour luy rendre hommage & honneur, à raiſon de la permiſ ſion qu’il deſire obtenir, de paſſer au milieu de vos terres.	Messieurs, le respect que tout le monde rend à vos dignités et grandeurs, a ému mon Seigneur mon Maître de m'envoyer vers votre Excellence pour lui rendre hommage et honneur, à raison de la permis si qu'il désire obtenir, de passer au milieu de vos terres.
Ce faiſant vous obligerez le plus genereux & le plu braue Prince de la terre, lequel ſe pre ſume deſia auoir obtenu ce qu’il de mande, vous offre tout ſon pouuoir, & ne deſire eſtre employé que pou voſtre ſeruice:	Ce faisant vous obligerez le plus généreux et le plu brave Prince de la terre, lequel se pré vme déjà avoir obtenu ce qu'il de mande, vous offre tout son pouvoir, et ne désire va employé que pou te service:
Sans toutesfois queſt valeur vous doiue donner aucun ſoupçon;	Sans toutefois quest valeur vous doive donner aucun soupçon;
car il eſt pluſtoſt Roy de plaiſir, de paix & de contentement que non pas quelque ſuperbe Tiran où quelque cauteleux Guerrier.	car il est plutôt Roi de plaisir, de paix et de contentement que non pas quelque superbe Tyran où quelque cauteleux Guerrier.
LICVR GVI	LICUR GUI
LICVRGVE.	LICURGUE.
Les genereux ont tout pouuoir en noit le ſtre Eſtat, & puis que ton ſeigneur eſt reputépour tel, nous luy offrons liberalement ſe paſſage, & voulons qu’il ſoit receu ſelon ſes merites par toutes nos tetres & païs.	Les généreux ont tout pouvoir en noit le stre État, et puis que ton seigneur est reputépour tel, nous-même offrons libéralement se passage, et voulons qu'il soit reçu selon ses mérites par toutes nos tettres et pays.
L’AMBASSADEVR.	L'AMBASSADEUR.
Meſſieurs, mon Seigneur mon Maiſtre ſe reſſentira de vos courtoiſies & faueurs;	Messieurs, mon Seigneur mon Maître se ressentira de vos courtoisies et faveurs;
il m’a donné commiſſion que apres auoir obtenu mes demandes, ie vous fiſſe preſent en ſon nom de ce que ie vous offre:	il m'a donné commission que après avoir obtenu mes demandes, je vous fisse présent en son nom de ce que ie vous offre:
& te deux brocs vous prie & conjure que vous en preniez à d’argẽt pleins ore vos repas & à toutes heures que voudrez.	et te deux brocs vous prie et conjure que vous en preniez à d'argent pleins ore vos repas et à toutes heures que voudrez.
Ceſont choſes les plus delicates & ſuaues que l’on ait iamais peu gouſter, leſquels il vous a voulu offrir, comme choſe venant de luy & digne de ſes amis.	Cesont choses les plus délicates et suaves que l'on ait jamais peu goûter, lesquels il vous a voulu offrir, comme chose venant de Seigneur et digne de ses amis.
LICVRGVE.	LICURGUE.
Ie t’aſſeure & promets derechef que ton Maiſtre & tous les ſiens ſeront tous bien venus en noſtre domaine, & que puis qu’il eſt ſi courtois & magnifique de nous honorer de ſes preſens, & qui ſont propres à noſtre ſubſtance, ie veux auant que d’aller aux Sacrifices que nous prenions vn repas enſemble, & que nous gouſtions de ces preſens.	Je t'assure et promets derechef que ton Maître et tous les siens seront tous bien venus en notre domaine, et que puis qu'il est si courtois et magnifique de nous honorer de ses présents, et qui sont propres à notre substance, je veux avant que d'aller aux Sacrifices que nous prenions un repas ensemble, et que nous goûtions de ces présents.
Allez, Maiſtre-d’Hoſtel, dreſſeznous là vne table;	Allez, Maître-d’Hôtel, dresseznous là une table;
Mais encore quel eſt voſtre Seigneur?	Mais encore quel est votre Seigneur?
d’où vient-il?	d'où vient-il?
quel Royaume eſt-ce qu’il poſſede?	quel Royaume est-ce qu'il possède?
L’AMBASSADEVR.	L'AMBASSADEUR.
Puis que voſtre grandeur me le permet, ie vous diray que ce ne ſont que merueilles pour ce qui eſt de ſon extraction, & des faueurs qu’il reçoit iournellement, & entre autres c’eſt qu’il tient ſon origine du Ciel, de laquelle nous admirons pluſtoſt l’excellence, que nous n’en recherchons la cauſe;	Puis que votre grandeur me le permet, je vous dirai que ce ne sont que merveilles pour ce qui est de son extraction, et des faveurs qu'il reçoit journellement, et entre autres c'est qu'il tient son origine du Ciel, de laquelle nous admirons plutôt l'excellence, que nous n'en recherchons la cause;
& les.	et les.
Dieux meſmes luy ont promis qu’il regneroit en des païs fort barbares, & qu’il dompteroit des peuples fort puiſſans apres qu’il auroit paſſé paiſiblement dedãs quelque païs;	Dieux mêmes luitaît promis qu'il régnerait en des pays fort barbares, et qu'il dompterait des peuples fort puissants après qu'il aurait passé paisiblement dedans quelque pays;
Et pour marque de tout cela, c’eſt qu’il a receu de leurs mains ceſte liqueur dont ie vous ay fait preſent.	Et pour marque de tout cela, c'est qu'il a reçu de leurs mains cette liqueur dont ie vous ai fait présent.
LICVRGVE.	LICURGUE.
Elle a donc quelque ſinguliere vertu.	Elle a donc quelque singulière vertu.
L'AMBASSADEVR.	L'AMBASSADEUR.
Les effects & la vertu en ſont du tout admirables, & il n’y a que ceux qui en ont beu qui ſoient dignes d’en parler, ny que ceux qui en vſent qui en puiſſent ſçauoir quelque choſe.	Les effets et la vertu en sont du tout admirables, et il n'y a que ceux qui en ont bu qui soient dignes d'en parler, ni que ceux qui en usent qui en puissent savoir quelque chose.
LICVRGVE.	LICURGUE.
Allons donc, & voyonsce quec elt.	Allons donc, et voyonsce quec elt.
L’AMBASSADEVR.	L'AMBASSADEUR.
Allons, puis que vous m’en voulez faire l’honneur, & que ie ſois teſmoin du plaiſir que vous receurez en la beuuant.	Allons, puis que vous m'en voulez faire l'honneur, et que je sois témoin du plaisir que vous recevrez en la buvant.
LICVRGVE.	LICURGUE.
Ca beuuons de ceſte liqueur que tu dis ſi admirable;	Ça buons de cette liqueur que tu dis si admirable;
Allons, aux bonnes graces de ton Seigneur & de tous ſes ſubjects;	Allons, aux bonnes grâces de ton Seigneur et de tous ses sujets;
ôque cela eſt agreable!	ôque cela est agréable!
allons, reuerſe, al-Ayant beu.	allons, réverse, al-Ayant bu.
lons tous mes compatriottes;	lons tous mes compatriottes;
à toy braue Soldat, ſois participant de noſtre ioye, & beuuons à tous ces Capitaines qui ont ſi genereúſement combattu pour deffendre noſtre bonne patrie.	à toi brave Soldat, sois participant de notre joie, et buvons à tous ces Capitaines qui ont si genereúsement combattu pour défendre notre bonne patrie.
POLYDOR.	POLYDOR.
O liqueur que tu es agreable, c’eſt à iuſte raiſon que l’on dit auoir eſté enuoyée du cienptis que tu nous charme les ſens ſi delicieuſement, ne ſçaurions nous entonner les loüanges de celuy de qui nous l’auons receuë?	Ô liqueur que tu es agréable, c'est à juste raison que l'on dit avoir été envoyée du cienptis que tu nous charme les sens si délicieusement, ne saurions nous entonner les langes de celui de qui nous l'avons reçue?
L’AMBASSADEVR.	L'AMBASSADEUR.
A cette heure preſente vous entendrez teus les geſtes de ſa vie, & que premiere-chante vne ment nous beuuions à luy & à toute la compagnie.	À cette heure présente vous entendrez tus les gestes de sa vie, et que première-chante une ment nous beuuions à personne et à toute la compagnie.
CHANSON Achus tout plein de gloire JEst deſcendu des cieux;	CHANSON Achus tout plein de gloire JÉt descendu des cieux;
Mais toutes ſes victoires Le font plus glorieux.	Mais toutes ses victoires Le font plus glorieux.
Ceux qui ſont ſous ſes Loix Viuent en demy-Dieux, 3 Ne faiſans point d’exploicts Qu'aux mets delicieux.	Ceux qui sont sous ses Lois Vivent en demi-Dieux, 3 Ne faisant point d'exploits Qu'aux mets délicieux.
PENTHEE.	PENTHÉE.
Enentrant il Quelle folie vous tient, mes genereux Citoyens?	Enentrant il Quelle folie vous tient, mes généreux Citoyens?
Ha!	Ha!
que faites-vous?	que faites-vous?
Sont-ce la les armes que vous prepalez pour deſfendre voſtre ville que l’on va enuahir?	Sont-ce la les armes que vous prépalez pour défendre votre ville que l'on va envahir?
Aux armes, aux armes, quittons tout cela.	Aux armes, aux armes, quittons tout cela.
20 LICVRGVE.	20 LICURGUE.
Ha, cher Penthee, tu ne ſçais ce que par le bras.	Ha, cher Penthée, tu ne sais ce que par le bras.
tu dis, gouſte de cela.	tu dis, goûte de cela.
PENTHEE.	PENTHÉE.
1l.	1l.
1 09 Et vous, ô Magiſtrats, ne voulez-vous pas quitter ce banquet?	1 09 Et vous, ô Magistrats, ne voulez-vous pas quitter ce banquet?
L’ennemy eſt auyl ſoit portes de voſtre ville;	L'ennemi est auy soit portes de votre ville;
vous qui eſtes ſi prudens, ne voyez vous pas que ces Ambaſſadeurs ſont enuoyez pour vous ſur prendre?	vous qui êtes si prudents, ne voyez vous pas que ces Ambassadeurs sont envoyez pour vous sur prendre?
Sortez, ſortez.	Sortez, sortez.
BACHVS ſuruenant.	BACHUS survenant.
T.	T.
Donnons Soldats, voila le temps propre.	Donnons Soldats, voilà le temps propre.
Toutes ces victoires ne me publient-elles pas maintenant vainqueur du monde, s’empare de & Monarque de l’Vniuers?	Toutes ces victoires ne me publient-elles pas maintenant vainqueur du monde, s'empare de et Monarque de l'Univers?
Y a-il lieu que mes armes n’ayent ſubjugué?	Y a-il lieu que mes armes n'aient subjugué?
où mon armee n’aye triomphé?	où mon armée n'aie triomphé?
Tant de deſpouïlles que i’ay de mes ennemis ne me peuuent-elles pas eſleuer iuſques dans le Ciel?	Tant de dépouilles que j'ai de mes ennemis ne me peuvent-elles pas élever jusques dans le Ciel?
ouy ſi ie les veux mettre les vnes ſur les autres, & me mettre au deſſus, ſans doute que ma ux teſte triomphante ſe trouueroit dans le Ciel, & pareſtroit au milieu des autres Aſtres?	oui si ici les veux mettre les unes sur les autres, et me mettre au dessus, sans doute que ma ux tête triomphante se trouverait dans le Ciel, et parestroit au milieu des autres Astres?
Qui refuſera deſormais l’honneur à mon nom, le reſpe ct à ma grandeur & la crainte à ma puiſſance?	Qui refusera désormais l'honneur à mon nom, le respe ct à ma grandeur et la crainte à ma puissance?
i’ay aſſez fait pour meriter ces honneurs & ces deuoirs.	j'ai assez fait pour mériter ces honneurs et ces devoirs.
leur ville.	leur ville.
Reſte maintenant a eſtablir des Loix qui Bachus ſe maintiennent la puiſſance que mes armes m’ont acquiſes, & ie veux que ce qui a eſté luy met vne ous le principal inſtrument de mes conqueſtes, uy ſoit la loy fondamentale de mes Eſtats;	Reste maintenant a établir des Lois qui Bachus se maintiennent la puissance que mes armes m'ont acquises, et sans veux que ce qui a été deux met quelque ous le principal instrument de mes conquêtes, ui soit la loi fondamentale de mes États;
teſteque cette liqueur qui m’a tant ſubjugué de peuples, me les conſerue dans vne eſtroite obeyſſance.	tête cette liqueur qui m'a tant subjugué de peuples, me les conserve dans une étroite obéissance.
Partant eſcoutez ce que Melite mon Chancelier vous dira.	Partant écoutez ce que Mélite mon Chancelier vous dira.
La bataille ſe donne où tous les Atheniens ſont mis à vau de route, & Bachus	La bataille se donne où tous les Athéniens sont mis à vau de route, et Bachus
LOY FONDAMENTALE de l'Eſiat & Empire de Dachus.	LOI FONDAMENTALE de l'Esiat et Empire de Dachus.
EPICT.	EPICT.
DAchus Roy de Graue, de Laſciota e toyens d’A- I ) d’Aye, grãd Duc d’Auxerre, de Bour gogne, Comte d’Orleans, & d’Argenteuillles & Licurgue A ordonné & ordonne qu’vn chacun de ſes ſubiets, de quelque aage & condition qu’ils ſoient, gardent inuiolablement l’vſance ſage du vin, dit liqueur Bachique, à peintequant d’eſtre bruſlé tout vif, & les cendres ietteesrancl au vent, leurs biens confiſquez moitié ap plicables aux cabarets, & l’autre aux de nontiateurs.	DAchus Roi de Grave, de Lasciota e aux coA- I ) d'Aye, grande Duc d'Auxerre, de Bour gogne, Comte d'Orleans, et d'Argenteuillles et Licurgue A ordonné et ordonne qu'un chacun de ses sujets, de quelque âge et condition qu'ils soient, gardent inviolablement l'usance sage du vin, dit liqueur Bachique, à peinquant d'être brûlé tout vif, et les cendres ietteesranclrés vent, leurs biens confisquez moitié ap plicables aux cabarets, et eautre aux de nontiateurs'
onb	onb
LLOVRGVE.	LLOURGUE.
NAGSIIGIA L'Edict pu- Redoutable Monarque de l’Vniuers nous acceptons tres-volõtiers les loix que voſtre Majeſté a ordonné, & ie promeu deuant tous les Dieux immortels que i’at teſte que ie ſeray tout le premier qui ob ſeruera iuſqu’à l’heure de la mort l’Edil maintenant publié, & ie publieray moy meſme à tout ce peuple, auquel autrefois ay commandé, l’Edict que voſtre Majeſté aordonné.	NAGSIGIA L'Édit pu- Redoutable Monarque de l'Univers nous acceptons très-volõtiers les lois que votre Majesté a ordonné, et ainsi promeu devant tous les Dieux immortels que j'at tête que sans serai tout le premier qui ob servera jusqu'à l'heure de la mort l'Edil de publiéa mort ie publierai moi -même à tout ce peuple, auquel autrefois ay commandé, l'Édit que votre Majesté aordonné.
CHANSON.	CHANSON.
Achus, mes chers amis, A boire nous conuie, our ooſtruons jes Euitis euil es iours de noſtre vie.	Achus, mes chers amis, À boire nous convie, our otruons jes Euitis euil es jours de notre vie.
BACHVS.	BACHUS.
tiol l’auray eſgard à l’honneur & à l’obeyſl’vſance que tu rends à ma Majeſté, viens ſonnants dent & moy, ie te veux faire mon Eſcuyer nchant.	tiol l'aurai égard à l'honneur et à l'obéisl'usance que tu rends à ma Majesté, viens sonnants dent et moi, tu te veux faire mon Écuyer néchant.
158 ιπ λ6jαbι	158 λ6jαbι
Le Roy d’Eſpagne à la France.	Le Roi d'Espagne à la France.
Cum deſiderat ſeruus ad fontes aquarum, ita deſiderat anima mea ad te.	Cum desidérat servus ad fontes aquarum, ita desidérat anima mea ad te.
Reſp.	Resp.
Et lætabuntur onagri inſiti ſua.	Et lætabuntur onagri insiti sua.
La France à Monſieur le Prince.	La France à Monsieur le Prince.
Tu Domine ſeruabis nos, à generatione hac in æternuri.	Tu Domine servabis nos, à génératione hac in æternuri.
Reſp.	Resp.
Nolite fieri ſicut æquus & mulus, quibus non eſt intellectus.	Nolite fieri sicut æquus et mulus, quibus non est intellectus.
Les François à l’infante.	Les Français à l'infante.
Neſcierant neque intellexerant.	Nescierant ne intellexerant.
Reſp.	Resp.
Quia aduerſus ſum ego ſoror, & cognati, pater, mater, & humiles longè à me.	Quia aversus sum ego sotor, et connati, pater, mater, et humiles longè à me.
Les Huguenots à Monſieur le Prince.	Les Huguenots à Monsieur le Prince.
Inſidiantur vt rapiant pauperem.	Insidiantur ut rapiant pauperem.
Reſp.	Resp.
Vigilate & orate & reſiſtite fortes.	Vigilate et orate et résistite fortes.
Le Roy d’Eſpagne à Monſieur le Prince.	Le Roi d'Espagne à Monsieur le Prince.
Niſi commenſus fueris ad obediendum in te mouebo cœlum & terram.	Nisi commensus fueris ad obédiendum in te mouebo cœlum et terram.
Reſp.	Resp.
Non timebo millia populi cincundantis me.	Non timbo millia populi cincundantis me.
Epilogue du Curé.	Épilogue du Curé.
Oens aoique conmo ce leprudentia vtinam ſuperent & intelligerent & nouiſſima prouiderent.	Oens aoique conmo ce leprudentia vtinam supèrent et intelligèrent et nouvissima providérent.
Prologue dudit Curé touchant la guerre.	Prologue dudit Curé touchant la guerre.
Laudate gentes principem eius, quia ſanguinem ſeruorum ſuorum vlſiſcetur.	Laudate gentes principem éjus, quia sangvinem servorum suorum vlscetur.
Reſp.	Resp.
Si exurgat aduerſum po pulum in hoc ego ſperabo.	Si exurgat aversum pô utum in hoc ego sperabo.
Le Marquis de Spinola à Monſieur le Prince.	Le Marquis de Spinolà à Monsieur le Prince.
Dixi ecce venio.	Dixi ecce venio.
Reſp.	Resp.
Si conſiſtant caſtra non timebo.	Si consistant castra non timebo.
Monſieur le Prince à ſon armee.	Monsieur le Prince à son armée.
