TRCEIIICE	TRCEIICE
Comment eſt-ce qu’on nomme.	Comment est-ce qu'on nomme.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Dequoy vous mêlez-vous?	Dequoy vous mêlez-vous?
ſuffit que je le ſçais.	suffit que je le sais.
PANDOLPHE.	PANDOLPHÉ.
Oh je vous montreray que ce n'eit pas aiſez.	Oh je vous montrerai que ce n'éit pas aisé.
Elle n’épouſera que qui ſçaura me plaire.	Elle n'épousera que qui saura me plaire.
Quel ſuiet avez-vous de refufer Valere?	Quel sujet avez-vous de refuser Valère?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Ie ſçais ce que je ſçais.	Je sais ce que je sais.
Il faudroit qu’à Paris n iue grande diſette aujou d’huy de maris, s il falloit qu’il devint le ſien, je vous auure.	Il faudrait qu'à Paris n jue grande disette aujou d'hui de maris, s' al lait qu'il devint le sien, je vous auure.
PANDOLPHE.	PANDOLPHÉ.
Eſt-ce qu’à vôtre advis ſa naiſſance eſt obſcure?	Est-ce qu'à votre avis sa naissance est obscure?
Luy peut-on 'eprocher quelque tâche en ſon ſany	Lui peut-on 'éprocher quelque tâche en son sani
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Que ſçais-je?	Que sais-je?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Que m’imports?	Que m'imports?
PANDOLPHE.	PANDOLPHÉ.
A-t’il pas du bien, de la conduite?	A-t-il pas du bien, de la conduite?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
&e de queltions?	été de queltions?
Contre luy?	Contre lui?
PANDOLPHE.	PANDOLPHÉ.
Mals quel iujet vous nine	Mals quel jujet vous nine
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Cent pour un.	Cent pour un.
TLT DOLPHE.	TLT DOLPHÉ.
Il faut les déclares,	Il faut les déclares,
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
C'eſt un ruſé qui veut.	C'est un rusé qui veut.
Qu'elle aille s’y fourrer.	Qu'elle aille s'y fourrer.
Pour voir.	Pour voir.
ISABELLE.	ISABELLE.
S’il eſt ſi fin, hé bien, tant mieux, ma Mere, Il le ſera pour moy, car je ne la ſuis guere.	S'il est si fin, hé bien, tant mieux, ma Mère, Il le sera pour moi, car je ne la suis guère.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Il vous plaiſt, je le vois.	Il vous plaît, je le vois.
ISABELLE.	ISABELLE.
Tout le monde en fait cas.	Tout le monde en fait cas.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Enfin vous l’aymez donc?	Enfin vous l'aimez donc?
ISABELLE.	ISABELLE.
Il ne me déplaiſt pas.	Il ne me déplaît pas.
Cẽ qu’on veut épouſer, ne faut-il pas qu’on l’aime.	Cien qu'on veut épouser, ne faut-il pas qu'on l'aime.
Quãd mõ pere vous prit, vous l’aimiez tout de même, Je croy.	Quand mien père vous prit, vous l'aimiez tout de même, Je crois.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Moy, je l’aymois!	Moi, je l'aimais!
ISABELLE.	ISABELLE.
Quoy juſques à ce jour.	Quoi jusques à ce jour.
MADAML IANDOLPHE.	MADAML IANDOLPHÉE.
Ce fut par un contract que j’appris ſon amour.	Ce fut par un contrat que j'appris son amour.
mont de nousupoint qu’en allant à l’Egliſe.	mont de nousupoint qu'en allant à l'Église.
ISABELLE, D'un pareil procedé certes je ſuis ſurpriſe, Et.	ISABELLE, D'un pareil procédé certes je suis surprise, Et.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Point tant de raiſons.	Point tant de raisons.
Je trouve un party preſt;	Je trouve un parti prêt;
Et vous l’accepterez enfin, puis qu’il me plaiſt.	Et vous l'accepterez enfin, puis qu'il me plaît.
PANDOLPHE.	PANDOLPHÉ.
Mais ma femme.	Mais ma femme.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Momeur, tartez-vous, je vous prie.	Momeur, tartez-vous, je vous prie.
à Iſabelle.	à Isabelle.
Il va venir bien toſt, ſongez à.	Il va venir bien tôt, songez à.
PANDOLPHE.	PANDOLPHÉ.
Mais m’amie.	Mais m'amie.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Mais m’amie.	Mais m'amie.
Hé bien?	Hé bien?
quoy?	quoi?
Mais.	Mais.
PANDOLPHE.	PANDOLPHÉ.
Je retiens mon courroux,	Je retiens mon courroux,
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
A Iſabelle.	À Isabelle.
L’homme furieux!	L'homme furieux!
Qu’on le craint!	Qu'on le craint!
allons, vous, Qu’õ marche devant moy, Je vay vous faire entẽdre Quelque choſe deibeau, qui va bien vous ſurprendre.	allons, vous, Qu'on marche devant moi, Je vais vous faire entendre Quelque chose deibeau, qui va bien vous surprendre.
PANDOLPHE.	PANDOLPHÉ.
Qu’eſt-ce donc?	Qu'est-ce donc?
AATE ETME PANDOLPHE.	AATE ÉTME PANDOLPHÉE.
Trop de ſoin trouble, voſtre repos.	Trop de soin trouble, votre repos.
les os.	les os.
Je vous plains.	Je vous plains.
Le pauvre homne:	Le pauvre homne:
il n’a plus que	il n'a plus que
SCLNEVTA PANDOLPHE,	SCLNEUTA PANDOLPHÉE,
H la chienne?	H la chienne?
Oüi, je croy que pour la faire A naitre, Le Diable la paîtrit de ſoufre & de ſalpêtre.	Oui, je crois que pour la faire A aytre, Le Diable la paîtrit de souffre et de salpêtre.
Rien ne peut la changer, ny douceur, ny courroux Ah quand je fus tenté d’en devenir l’époux, N’étoit.	Rien ne peut la changer, ni douceur, ni courroux Ah quand je fus tenté d'en devenir l'époux, N'était.
il point alors de pont-neuf, le riviere Pour m’y précipiter la tête la premiere?	il point alors de pont-neuf, le rivière Pour m'y précipiter la tête la première?
Mais au moins empêchons qu’au gré de ſes ſouhaits, Son caprice en ma fille acheve ſes projets, Et trompant la fureur qu’en ſon ſein elle couve, Delivrons la brebis des griffes de la Louve.	Mais au moins empêchons qu'au gré de ses souhaits, Son caprice en ma fille achève ses projets, Et trompant la fureur qu'en son sein elle couve, Délivrons la brebis des griffes de la Louve.
Bon.	Bon.
Valere paroiſt.	Valère paraît.
SCENE VIII.	SCÈNE VIII.
PANDOLTHE VAADNE.	PANDOLTHE VADNE.
Me vois-je.	Me vois-je.
VALERE.	VALÈRE.
MOnſieur, par quel bon-heur	MOnsieur, par quel bonheur
PANDOLPHE.	PANDOLPHÉ.
Laiſſons-là les complimens, Monſieur.	Laissons-là les compliments, Monsieur.
Vous m’avez ce matin fait demander ma fille.	Vous m'avez ce matin fait demander ma fille.
Aimant comme je fais vous & vôtre famille, Vous deviez faire moins de façons entre nous, Et ſans qu’une autre.	Aimant comme je fais vous et votre famille, Vous deviez faire moins de façons entre nous, Et sans qu'une autre.
SCENE IX.	SCÈNE IX.
PANDOLPHEVALERE.	PANDOLPHÉVALERE.
ISABELLE.	ISABELLE.
Ma fille.	Ma fille.
PANDOLPHE.	PANDOLPHÉ.
AI Llons, ſaluëz vôtre Epoux,	AI Llons, salues votre Époux,
VALERE.	VALÈRE.
Ah dans ce jour quelle heureuſe avanture.	Ah dans ce jour quelle heureuse aventure.
ISABELLE Tout bezu.	ISABELLE Tout bezu.
Connoiſſez-vous Monſieur, cette écriture?	Connaissez-vous Monsieur, cette écriture?
VALERE.	VALÈRE.
VALERE.	VALÈRE.
Ouy c’eſt de Clidamire, & pourtant.	Oui c'est de Clidamire, et pourtant.
ISABELLE.	ISABELLE.
Il ſuſfit.	Il susfit.
Tenez, conſervez mieux ce que l’on vous écrit.	Tenez, conservez mieux ce que l'on vous écrit.
Elle s’en va.	Elle s'en va.
SCENE X.	SCÈNE X.
VALERE, PANDOLPHE.	VALÈRE, PANDOLPHÉE.
VALERE tout étonné lit,	VALÈRE tout étonné lit,
A VALERE.	À VALÈRE.
*Y Oſtre mariage avcc Iſabelle eſt comme vous V dites un pretexte favorable pour couv ir nôtre amour, & je ſuis ravie que vous m’aſſuriez qu’en luy donnant la main, vous me conſerviez toujours ieououtiphene ueit guere étre ſatisftite d’un bon heur où il manque, ce que vous me reſervez.	*Y Ostre mariage aucc Isabelle est comme vous V dites un prétexte favorable pour couv ir notre amour, et je suis ravie que vous m'assuriez qu'en avait donnant la main, vous me conserviez toujours ieououtiphene ueit guère étre satisftite un bon heur il manque, ce que vous me réservez.
Avec un tel partage je n’enviray jamais le ſien.	Avec un tel partage je n'envirai jamais le sien.
Clidamire.	Clidamire.
FANVDOLEIIE.	FANVDOLEIIE.
Oho h!	Oho h!
Qu’enten-je icy?	Qu'entends-je ici?
vertu bleu, quelle hiſtoire?	vertu bleu, quelle histoire?
Comme vous en donnez.	Comme vous en donnez.
VALERE.	VALÈRE.
He quoy vous pouvez croire.	He quoi vous pouvez croire.
PANDOLPHE.	PANDOLPHÉ.
Serviteur, ſerviteur.	Serviteur, serviteur.
Le trait eſt ſingulier, Mais ma fille vaut bien un homme tout entier.	Le trait est singulier, Mais ma fille vaut bien un homme tout entier.
SCENE XI.	SCÈNE XI.
VAESRENRODATU	VASRENRODATU
VALERE.	VALÈRE.
Uſte Ciel!	OUste Ciel!
Ah Lubin, ſçais tu bien la nouvelle.	Ah Lubin, sais tu bien la nouvelle.
Ça,	Ça,,
2 LUBIN.	2 LUBIN.
belle.	belle.
mamenene eit moy qui viens d’en inſtruire Iſa	mamenene eit moi qui viens d'en instruire Isa
VALERE.	VALÈRE.
coiſient, e citloy,	coisient, e itloi,
LUBIN.	LUBIN.
Moy-meſme.	Moi-même.
NALERE.	NALÈRE.
Et tu crois ſottement Que de tout cet éclat je riray ſeulement?	Et tu crois sottement Que de tout cet éclat je rirai seulement?
E e D RIvo.	E E D RIvo.
Non, je croy que cela vous faſchera peutêtre.	Non, je crois que cela vous fâchera peutêtre.
VALERE.	VALÈRE.
Et tu m’as pu jouer de ces tours, maudit traitre?	Et tu m'as pu jouer de ces tours, maudit traître?
LUBIN.	LUBIN.
commene ſume teaeiie de dit qu'hivouioit ſuy parler, Et que Madame icy l’avoit fait appeller.	commène sume teaéiie de dit qu'hivouiait su parler, Et que Madame ici l'avait fait appeler.
Et qui?	Et qui?
VALERE.	VALÈRE.
LUBIN.	LUBIN.
Ce Holandois.	Ce Holandais.
Je vais dire qu’il monte?	Je vais dire qu'il monte?
Qu'on eſt preſt à le voir.	Qu'on est prêt à le voir.
il ſort.	il sort.
VALERE ſeul.	VALÈRE seul.
Ah qu’eſt-ce qu’il me çonte?	Ah qu'est-ce qu'il me çonte?
Mais cachons nous.	Mais cachons -nous.
Voyons d’un endroit retiré!	Voyons d'un endroit retiré!
Comment reuſſira ce que j’ai ay preparé.	Comment réussira ce que j'ai ai préparé.
SCENE XII.	SCÈNE XII.
LE HOLANDOIS, LUBIN.	LE HOLANDOIS, LUBIN.
LE HOLANDOIS.	LE HOLANDOIS.
H carçon ti céans, di létre pien chentille?	H caron ty céans, di laître pien chentille?
LAfoir pien ti l’archent?	LAfoir pien ty l'archent?
lêtre ſache ſti fille Qui toit etre:	lêtre sache sti fille Qui toit être:
mon femme?	mon femme?
Eh va ton le chercher.	Eh va ton le chercher.
Moi li poufre poin foir?	Moi li pouffre poin soir?
LUBIN.	LUBIN.
Mais la voici, Monneur.	Mais la voici, Monneur.
On va vous la lâcher	On va vous la lâcher
SCENE XIII.	SCÈNE XIII.
MAD.	MAD.
PANDOLPHE, ISABELLE,LYSE,	PANDOLPHÉ, ISABELLE,LYSE,
Hlétre fous peut-étre 1I Qui fouloir timer moi, que moi fouloir connetre?	Hlètre fous peut-être 1I Qui fouloir timer moi, que moi fouloir connaître?
Ie ne ſçais.	Je ne sais.
ISABELLE.	ISABELLE.
LE HOLANDOIS.	LE HOLANDOIS.
Iſſapelle etre pas fotre nom?	Issapelle être pas fotre nom?
ISABELLE.	ISABELLE.
Ouy, Monſieur.	Oui, Monsieur.
Quel cheval!	Quel cheval!
Que LE HOLANDOIS.	Que LE HOLANDOIS.
Ah pon.	Ah pon.
Iêtre fous don.	Iêtre fous donc.
y prentre pour femme.	y prentre pour femme.
Il etre ponne priſe.	Il être ponne prise.
Mais fous le dites rien.	Mais fous le dites rien.
LYSE.	LYSE.
Monſieur, elle eſt ſurpriſe De voir un Medecin dans un habit ſi gay.	Monsieur, elle est surprise De voir un Médecin dans un habit si gagnai.
LE HOLANDOIS.	LE HOLANDOIS.
Qui létre ein Metecin?	Qui lètre ein Metecin?
ASLe.	ASLée.
Vous.	Vous.
Qoi n’eſt il pas vray?	Qoi n'est il pas vrai?
LE HOLANDOIS.	LE HOLANDOIS.
Pardi fous doivre mieux ſafoir comme on mi nomme.	Pardi fous doivre mieux safoir comme on mi nomme.
Moi point ein Metecin, moi létre ein honête homme.	Moi point ein Métecin, moi laître ein honnête homme.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Excuſez ſa mepriſe.	Excusez sa méprise.
LE HOLANDOIS.	LE HOLANDOIS.
Ein Metecin?	Ein Métecin?
Fi, fi.	Fi, fi.
Moi létre ein Empyric, Holantois tieu mercy.	Moi lètre ein Empyric, Holantais tieu merci.
Et fous doivre ſavoir, morti, que mes ſemplaples Enfoüir Metecins à tous les mille tiaples.	Et fous doivre savoir, morty, que mes semplaples Enfoüir Mecins à tous les mille tiaples.
Moi ſaigner point chamais:	Moi saigner point chamais:
Betre eitt iiention Pour affoiplir ein corps, & rendre ein mal pli lon.	Bentre eitt jiention Pour affaiplir ein corps, et rendre ein mal pli lon.
Point lanquir, poine fanquil avce moi, que ie meure, Mes malates quérir ou mourir tout-à-l’heure.	Point lanquir, poine fanquil avce moi, que tu meure, Mes malates quérir ou mourir tout-à-l'heure.
ISADELLE.	ISADELLE.
Il eſt de bonné foy.	Il est de bonné foi.
LYSE.	LYSE.
Peſte!	Peste!
quel depeſcheur!	quel depescheur!
LE HOLANDOIS.	LE HOLANDOIS.
Oui chez nous il malate oter point le vigueur.	Oui chez nous il malate ôter point le vigueur.
Pour poufre ſoutenir ma poudre fiolente Ein homme avoir peſoin de ſon force pris grante.	Pour pouffre soutenir ma poudre fiolente Ein homme avoir pesoin de son force pris grante.
J’en avre fait fenir une de mon pays Qui doit faire bientôt ein giand bruit tans Paris.	J'en aure fait fenir une de mon pays Qui doit faire bientôt ein giand bruit tans Paris.
Il en tura quelqu’un.	Il en tura quelqu'un.
Car con me expe ien e D’ein fameux Empyric il fait tout ii ſeience;	Car con me expe yen eût D'ein fameux Empyric il fait tout ji seience;
Ieus chuche pien qu’afant arrifer a ſti ran Il faloir en chemin repantre pien tu ſan.	Jeus chuche pien qu'afant arriser a sti ran Il saloir en chemin repantre pien tu san.
Qal j’i troufe ein ſecret, pour li mettre en uſſache, I'eſſaye mon ſecret ſur trente.	Qual j'y troupe ein secret, pour li mettre en ussache, J'essaye mon secret sur trente.
LTOL.	LTOL.
He bien.	He bien.
LE FOLANDOIS.	LE FOLANDOIS.
Par fois.	Par fois.
De trente qui l’ont pris il n’en reſte qui trois Chi corriche la te ſe, & j’en rechappi quatre.	De trente qui l'ont pris il n'en reste qui trois Chi corriche la te se, et j'en rechappi quatre.
I’y corriche touchour, ainſi touchour rapatre.	J'y corriche touchour, ainsi touchour rapâtre.
Et quant enfin pour deux qui vole point quérir, I’y voy que mon remede empeſche un timourir.	Et quant enfin pour deux qui vole point quérir, J'y vois que mon remède empêche un timourir.
Je ſuis moi pien conten.	Je suis moi pien conten.
& ſur cette aſſuranceIs puis pien eſperer faire fortune en France.	et sur cette assuranceIs puis pien espérer faire fortune en France.
LYSE.	LYSE.
Quanl vous tuez cuelqu’un vous paye-ton?	Quanl vous tuez cuelqu'un vous paie-ton?
LE HOLANDOIS.	LE HOLANDOIS.
Pour moi Je les faire payer par afance, mon foi.	Pour moi Je les faire payer par afance, mon foi.
E TOL.	E TOL.
C’eſt bien fai, & vôtre art par cette prévoiance, S’il ne ſauve leurs jours, ſauve leur conſcience.	C'est bien fay, et votre art par cette prévoyance, S'il ne sauve leurs jours, sauve leur conscience.
OCEILAXIV MAD.	OCILAXIV MAD.
PANDOLPHE ISABELLE, LYSE, LE HOLANDOIS, CLEANTE.	PANDOLPHE ISABELLE, LYSE, LE HOLANDOIS, CLEANTE.
CLEANTE.	CLÉANTE.
Adame voudra bier, je croi, me pardonner M Si de ces lieux, Monſieur, j’oſe vous emmener dun pere n’en peut plus.	Adame voudra bier, je crois, me pardonner M Si de ces lieux, Monsieur, j'ose vous emmener dun père n'en peut plus.
LE HOLANDOIS.	LE HOLANDOIS.
A Madame Pandolphe.	À Madame Pandolphe.
Et bien vous foir vous meſme Comme gens cherche moi tans le dancher extreme.	Et bien vous soir vous -même Comme gens cherche moi tans le dancher extrême.
ISABELLE.	ISABELLE.
A pait Ah je vai voir enfin ſortir cet animal,	À paît Ah je vais voir enfin sortir cet animal,
LE HOLANDOIS.	LE HOLANDOIS.
Le malate, comment il appelle ſon mal?	Le malate, comment il appelle son mal?
Il en a deux.	Il en a deux.
CLEANTE.	CLÉANTE.
LE HOLANDOIS.	LE HOLANDOIS.
Teux2	Teux2
CLEANTE.	CLÉANTE.
Oui la fievre & votre poudre.	Oui la fièvre et votre poudre.
Ah ah.	Ah ah.
LYSE.	LYSE.
CLEANTE.	CLÉANTE.
A I' valer il a ſçeu ſe reſoudre seton tous les egarus marquez dans vos billets.	À J' valer il a su se résoudre séton tous les égarus marqués dans vos billets.
Mais ſon mal s’eſt d’abord accru juſqu’a l’excez.	Mais son mal s'est d'abord accru jusqu'a l'excès.
Aux douleurs qu’renene sia parienee cede.	Aux douleurs qu'renene zia parienée cède.
Venez donc s’il vous plaiſt guerir vôtre remede.	Venez donc s'il vous plaît guérir votre remède.
LE HOLANDOIS.	LE HOLANDOIS.
Oui moi fenir pientoſt.	Oui moi fenir pientôt.
CLEANTE.	CLÉANTE.
Non vous ſuivrez mes pas L’affaire preſſe trop.	Non vous suivrez mes pas L'affaire presse trop.
Je ne vous quitte pas.	Je ne vous quitte pas.
Vous me ſuivrez vous disje, au peril de ma vie.	Vous me suivrez -vous disje, au péril de ma vie.
LE Sr HOLANDOIS.	LE Sr HOLANDOIS.
Atieu ton.	Attieu ton.
Il faloir contenter ſon envie.	Il fallait contenter son envie.
ISABEDEE Ah fuſt-ce pour jamais.	ISABEDE Ah fût-ce pour jamais.
A part.	À part.
LE HOLANDOIS.	LE HOLANDOIS.
Fous chagriner point fort.	Fous chagriner point fort.
Je reviens troufer fous.	Je reviens trousser fous.
Il ſera bientoſt mort.	Il sera bientôt mort.
On le reconduit juſqu’au bout du Theatre Et Iſabelle rentre.	On le reconduit jusqu'au bout du Théâtre Et Isabelle rentre.
SCENE XV.	SCÈNE XV.
MAD.	MAD.
PANDOLPHE, LYSE, LVBIN,	PANDOLPHE, LYSE, LUBIN,
Plaiſt-il?	Plaît-il?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Vel fâcheux contretemps m’amene ici cet homme Edoi e TOJIN.	Vel fâcheux contretemps m'amène ici cet homme Édoi e ON.
LUBIN.	LUBIN.
Moy!	Moi!
m’aſſommer!	m'assommer!
MADAME PANDOBIAE.	MADAME PANDOBIAE.
Pourquoy faire dans ce logis Entrer un inconnu, ſans ſçavoir ſi j’y ſuis.	Pourquoi faire dans ce logis Entrer un inconnu, sans savoir si j'y suis.
LOBIN.	LOBIN.
Oh je le ſavois bien.	Oh je le savais bien.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Tien voila pour ta peine Maraut, ſors de chez moi tout à l'heure.	Tiens voilà pour ta peine Maraud, sors de chez moi tout à l'heure.
LUBIN.	LUBIN.
Oui morguienne	Oui morguienne
SCENE XVI.	SCÈNE XVI.
MADAME TANDOEI IE JEYSE.	MADAME -TANDOEI IE JEYSE.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
VTVris, & ce qu’ici Lyſe tu viens de voir IPeut-étre te fera douter de ſon ſavoir Mais dans la medecine, ainſi qu’en toute choſe, Eſt-ce qu’on a toûjours tont ce qu’on ſe propoſe?	VTUris, et ce qu'ici Lyse tu viens de voir IPeut-être te fera douter de son savoir Mais dans la médecine, ainsi qu'en toute chose, Est-ce qu'on a toujours tont ce qu'on se propose?
Et voyons nous enfin tous ceux qu’il a gueris?	Et voyons nous enfin tous ceux qu'il a guéris?
Il déplait à ma fille, ainſi que j’ay compris.	Il déplait à ma fille, ainsi que j'ai compris.
Tant mieux.	Tant mieux.
Je la punis par là de ſon audace D’avoir o’é tantôt me contredire en face.	Je la punis par là de son audace D'avoir o'é tantôt me contredire en face.
O quel plaiſir!	Ô quel plaisir!
Valere en va mourir d’ennui.	Valère en va mourir d'ennui.
Ma Coquine, & ſon pere étoient joints avec luy.	Ma Coquine, et son père étaient joints avec notre.
Luy!	Lui!
de ce que ie veux, il me fe oit demordre!	de ce que ici veux, il me se oit démordre!
Non duſſay-je chez moi mettre tout en deſordre, Ce que j’ay reſolu, je le maintiens toûjours.	Non dussé-je chez moi mettre tout en désordre, Ce que j'ai résolu, je le maintiens toujours.
Il n’eſt point de moyens ou ie n’euſſe recours.	Il n'est point de moyens ou ainsi n'eusse recours.
Je connois Clidamire & ſçay qu’en ſa colere, Pour l’oter à ma fille, elle eſt femme a tout faire, Et ſuiuant mon conſeil elle meſme a tracé Un mot ſigné par elle à luy meſme adreſſé.	Je connais Clidamire et sais qu'en sa colère, Pour l'ôter à ma fille, elle est femme a tout faire, Et suivant mon conseil elle -même a tracé Un mot signé par elle à lui mesme adressé.
J'ay moiſt é cette le tre à ma fille t'ompée, Et feint que de ſa poche elle étoit échappée.	J'ai moist é cette le tre à ma fille t'ompée, Et feint que de sa poche elle était échappée.
Je triomphe, & voudi ois encor qu’il fût certain Que le coup qui l’aſſomme eſt un tra t de ma main, Mais l’occaſion preſſe.	Je triomphe, et voudi ois encor qu'il fût certain Que le coup qui l'assomme est un tra t de ma main, Mais l'occasion presse.
Appeſlons uu Notane, Et que les mécontens en crevent de colere.	Appeslons u Notane, Et que les mécontents en crèvent de colère.
SCENE XVII.	SCÈNE XVII.
TALERE ſortant de l'endroit ou il eſt caché.	TALERE sortant de l'endroit ou il est caché.
Ciel!	Ciel!
que viens-je d’oüir!	que viens-je d'ouïrir!
Quel eſprit endiablé!	Quel esprit endiablé!
Pour détourner le coup dont mon cœur eſt troublé C’eſt en vain que ce homme envoyé par moy-méme A fait de mon Rival voir l’ignorance extreme.	Pour détourner le coup dont mon cœur est troublé C'est en vain que ce homme envoyé par moi-même A fait de mon Rival voir l'ignorance extrême.
Je pourrois aisément faire encor aujoutd’huy Venir icy des gens eſtropiez par luy.	Je pourrais aisément faire encor aujoutd'hui Venir ici des gens estropiez par lui.
Mais que puis je eſperer de cette vaine addreſſe?	Mais que puis je espérer de cette vaine adresse?
Elle eſt inébranlable, & d’ailleurs le tems preſſe.	Elle est inébranlable, et d'ailleurs le temps presse.
Pour achever PHymen elle attend ſon retour.	Pour achever PHymen elle attend son retour.
Quoy ſa hayne pourra plus que tout mon amour?	Quoi sa haine pourra plus que tout mon amour?
Eſſayons tout.	Essayons tout.
Rendons fourbe pour impoſture.	Rendons fourbe pour imposture.
SCENE XVIII.	SCÈNE XVIII.
VALERE LUBIN.	VALÈRE LUBIN.
LUBIN.	LUBIN.
Me faire cette injure?	Me faire cette injure?
Comment?	Comment?
VALERE.	VALÈRE.
LUBIN.	LUBIN.
Me dire à moy qu’on me mettra dehore Morguié, j’en veux ſortir par dépit.	Me dire à moi qu'on me mettra dehore Morguyé, j'en veux sortir par dépit.
VALERE.	VALÈRE.
He bien, ſors.	He bien, sors.
D'hyer je luis lans valet:	D'hier je luis lans valet:
Veux tu prendre ſa place	Veux tu prendre sa place
Je vous reçoy.	Je vous reçois.
LUBIN.	LUBIN.
VALERE.	VALÈRE.
Tu ſçais quel malheut ie menace.	Tu sais quel malheut ici menace.
Tu ne reſteras pas bien longtémps avec moy.	Tu ne resteras pas bien longtémps avec moi.
Pourquoy non?	Pourquoi non?
LOBIN.	LOBIN.
VALERE.	VALÈRE.
On enléve Iſabelle à ma foy.	On enlève Isabelle à ma foi.
Je n’y puis reſiſter, ce coup me deſeſpere, Et je veux que lu mort miſſe ma miſere.	Je n'y puis résister, ce coup me désespère, Et je veux que lu mort misse ma misère.
LUBIN.	LUBIN.
La mort?	La mort?
En mourant?	En mourant?
VALERE.	VALÈRE.
Ouy.	Oui.
LUBIN.	LUBIN.
Diablezot?	Diablezot?
VALERE.	VALÈRE.
Tu vas voir.	Tu vas voir.
LUBIN.	LUBIN.
Ouy, vous riez peut-être.	Oui, vous riez peut-être.
VALERE.	VALÈRE.
On m’ôte tout eſpoir.	On m'ôte tout espoir.
Que faire dans la vie, he las!	Que faire dans la vie, hé las!
ſans Iſabelle?	sans Isabelle?
AEDaNv Que faire?	ADaNv Que faire?
Palſangué ce que i'y fais ſans elle.	Palsangué ce que j'y fais sans elle.
Rire, boire, manger, & dormir tout le ſou.	Rire, boire, manger, et dormir tout le sou.
VALERE.	VALÈRE.
Fy!	Fi!
tu vis en pourceau.	tu vis en pourceau.
LUBIN.	LUBIN.
Fy vous mourez en fou.	Fi vous mourez en fou.
Pour moy, ie ne voy point de ſottiſe plus fade, Que de vouloir mourir quand on n’eſt point malade.	Pour moi, Seigneur ne vois point de sottise plus fade, Que de vouloir mourir quand on n'est point malade.
Car enfin croyez vous que Tarquin l’Empereur Eſtoit dans ſon ſang froid, quãd tout plein de fureur, Rien que d’avoir été vio é par Lucrece, Il ſe tua luy meſme & crut faire proüeſſe.	Car enfin croyez vous que Tarquin l'Empereur Était dans son sang froid, quand tout plein de fureur, Rien que d'avoir été vio é par Lucrece, Il se tua lui reste et crut faire prouesse.
Cetoit un ſot Monſieur.	Certait un sot Monsieur.
Ouy?	Oui?
vous riez.	vous riez.
He bien, Mourez mourez, morguié je ne diray plus rien.	He bien, Mourez mourez, morguié je ne dirai plus rien.
VALERE.	VALÈRE.
Ma foy, tu feras mieux.	Ma foi, tu feras mieux.
Cette mort ou j’aſpire Eſt pour en éviter une mille fois pire.	Cette mort ou j'aspire Est pour en éviter une mille fois pire.
muis fais exactement ce que ie te diray, Et ce que j’ay ſur moy ie te le donneraySers moi bien aujourd’huy, tu verras ſi je t’aime.	muis fais exactement ce que ie te dirai, Et ce que j'ai sur moi le te le donneraiS moi bien aujourd'hui, tu verras si je t'aime.
LUBIN.	LUBIN.
uand voulte vous mourir.	uand voulte vous mourir.
VALERE.	VALÈRE.
Tout a cette heure meſme.	Tout a cette heure même.
LU BIN.	LU BIN.
Mais en effet, tandis que vous étes en train, En mourant à preſent vous mourrez ſans chagrin.	Mais en effet, tandis que vous êtes en train, En mourant à présent vous mourrez sans chagrin.
La mort pourroit venir en des momens contraires, Où vous pourriez, Monſieur, avoir d’autres affaires.	La mort pourrait venir en des moments contraires, Où vous pourriez, Monsieur, avoir d'autres affaires.
Et puis nous faut-il pas à tous faire une fin?	Et puis nous faut-il pas à tous faire une fin?
Aujourd’huy vous mourez, un autre meurt demain, Un autre dans un an, moy dans cent ans peut-étre.	Aujourd'hui vous mourez, un autre meurt demain, Un autre dans un an, moi dans cent ans peut-être.
Et cætera.	Et cætera.
tout meurt, Ainſi, mon pauvre Maître.	tout meurt, Ainsi, mon pauvre Maître.
Allons.	Allons.
VALERE.	VALÈRE.
LUBIN.	LUBIN.
Allez.	Allez.
VALERE.	VALÈRE.
Mais vien.	Mais viens.
LVBIN.	LUBIN.
Parlons de bonne foy.	Parlons de bonne foi.
Eſt-ce que vous voulez que ie meure auſſi, moy?	Est-ce que vous voulez que ici meure aussi, moi?
VALERE.	VALÈRE.
Non, au contraire il faut que tu reſtes en vie Pour me rendre un ſervice.	Non, au contraire il faut que tu restes en vie Pour me rendre un service.
