LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
Venez un peu mettre la Paix entre ces Perſonnes-cy.	Venez un peu mettre la Paix entre ces Personnes-cy.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Qu’eſt-ce donc?	Qu'est-ce donc?
Qu’y a-t-il, Meſſieurs?	Qu'y a-t-il, Messieurs?
MONSIEUR JO RDAIN.	MONSIEUR JO RDAIN.
Ils ſe ſont mis en colere pour la preference de leurs Profeſſions, juſqu’à ſe dire des injures, & en vouloir venir aux mains.	Ils se sont mis en colère pour la préférence de leurs Professions, jusqu'à se dire des injures, et en vouloir venir aux mains.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Hé quoy, Meſſieurs, faut-il s’emporter de la ſorte?	Hé quoi, Messieurs, faut-il s'emporter de la sorte?
& n’avez-vous point leu le docte Traitté que Seneque a compoſé, de la Colere?	et n'avez-vous point lu le docte Traité que Sénèque a composé, de la Colère?
Y at-il t-il rien de plus bas & de plus honteux, que cette paſſion, qui fait d’un Homme une Beſte feroce?	Y at-il t-il rien de plus bas et de plus honteux, que cette passion, qui fait d'un Homme une Bête féroce?
Et la Raiſon ne doit-elle pas eſtre maîtreſſe de tous nos mouvemens?	Et la Raison ne doit-elle pas être maîtresse de tous nos mouvements?
MAISTRE A DANCER.	MAÎTRE A DANCER.
Comment, Monſieur, il vient nous dire des injures à tous deux, en mépriſant la Dance que j’exerce, & la Muſique dont il fait profeſſion.	Comment, Monsieur, il vient nous dire des injures à tous deux, en méprisant la Dance que j'exerce, et la Musique dont il fait profession.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Un Homme ſage eſt au deſſus de toutes les injures qu’ou luy peut dire;	Un Homme sage est au dessus de toutes les injures qu'ou lui peut dire;
& la grande réponſe qu’on doit faire aux outrages, c’eſt la modelation, & la patience.	et la grande réponse qu'on doit faire aux outrages, c'est la modélation, et la patience.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Ils ont tous deux l’audace, de vouloir comparer leurs Profeſſions à la mienne.	Ils ont tous deux l'audace, de vouloir comparer leurs Professions à la mienne.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Faut-il que cela vous émeuve?	Faut-il que cela vous émeuve?
Ce n’eſt pas de vaine gloire, & de condition, que les Hommes doivent diſputer entr’eux;	Ce n'est pas de vaine gloire, et de condition, que les Hommes doivent disputer entr'eux;
& ce qui nous diſtingue parfaitemeut les uns des autres, c’eſt la Sageſſe, & la Vertu.	et ce qui nous distingue parfaitement les uns des autres, c'est la Sagesse, et la Vertu.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Je luy ſoûtiens que la Dance eſt une Science à laquelle on ne peut faire aſſez d’honneur.	Je ne soûtiens que la Dance est une Science à laquelle on ne peut faire assez d'honneur.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Et moy, que la Muſique en eſt une que tous les Siecles ont reverée.	Et moi, que la Musique en est une que tous les Siècles ont révérée.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Et moy, je leur ſoûtiens à tous deux, que la Science de tirer des Armes, eſt la plus belle & la plus neceſſaire de toutes les Sciences.	Et moi, je leur soutiens à tous deux, que la Science de tirer des Armes, est la plus belle et la plus nécessaire de toutes les Sciences.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Et que ſera donc la Philoſophie?	Et que sera donc la Philosophie?
Je vous trouvé tous trois bien impertinens, de parler devant moy avec cette arrogance;	Je vous trouvé tous trois bien impertinents, de parler devant moi avec cette arrogance;
& de donner.	et de donner.
impudemment le nom de Science à des choſes que l’on ne doit pas meſme honorer du nom d’Art, & qui ne peuvent eſtre compriſes que ſous le noni de Meſtier miſerable de Gladiateur, de Chanteur.	impudemment le nom de Science à des choses que l'on ne doit pas même honorer du nom d'Art, et qui ne peuvent être comprises que sous le noni de Métier misérable de Gladiateur, de Chanteur.
& de Baladin.	et de Baladin.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
Allez, Philoſophe de chien.	Allez, Philosophe de chien.
MAISTRE DE MUSIQUE.	MAÎTRE DE MUSIQUE.
Allez, Beliſtre de Pédant.	Allez, Bélistre de Pédant.
MAISTRE A DANCER.	MAÎTRE A DANCER.
Allez, Cuiſtre fieffe.	Allez, Cuistre fieffe.
MAISTE DE PHILOSOPHIE.	MAISTE DE PHILOSOPHIE.
Comment?	Comment?
Marauts que vous eſtes.	Marauts que vous êtes.
Le Fhiloſophe ſe iette ſur eux, & tous trois le chargent de coups, & ſortent en ſe battent.	Le Fhilosophe se jette sur eux, et tous trois le chargent de coups, et sortent en se battent.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Monſieur le Philoſophe.	Monsieur le Philosophe.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Inſames!	Insames!
coquins!	coquins!
inſolens!	insolens!
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Monſieur le Philoſophe.	Monsieur le Philosophe.
MAISTRE D’ARMES.	MAÎTRE D'ARMES.
La peſte l’Animal.	La peste l'Animal.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Meſſieurs.	Messieurs.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Impudens!	Impudents!
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
Monſieur le Philoſophe.	Monsieur le Philosophe.
MA!	MA!
STRE A DANCER.	STRE À DANCER.
ma lalaua a lre de fAſEi Deees.	ma lalava a lre de fAsÉi Dées.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Meſſieurs.	Messieurs.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Meſſieurs.	Messieurs.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Fripons!	Fripons!
gueux!	gueux!
traiſtres!	traîtres!
impeſteurs!	impesteurs!
Ils ſortent.	Ils sortent.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Monſieur le Philoſophe, Meſſieurs, Monſieur le Philoſophe, Meſſteurs, Monſieur le Philoſophe.	Monsieur le Philosophe, Messieurs, Monsieur le Philosophe, Messteurs, Monsieur le Philosophe.
Oh battez.	Oh battez.
vous tant qu’il vous plaira, je n’y ſçaurois que faire, & je n’iray pas gaſter ma Robe pour vous ſeparer.	vous tant qu'il vous plaira, je n'y saurais que faire, et je n'irai pas gâter ma Robe pour vous séparer.
Je ſerois bien fou, de m’aller fourer parmy eux, pour recevoir quelque coup qui me feroit mal.	Je serais bien fou, de m'aller fourer parmi eux, pour recevoir quelque coup qui me ferait mal.
SCENE IV.	SCÈNE IV.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
MONSIEUR JOURDAIN, MAISTRE DE PHILOSOPHIE en raccommodant ſon Colet.	MONSIEUR JOURDAIN, MAÎTRE DE PHILOSOPHIE en raccommodant son Colet.
V Enons à noſtre Leçon.	V Enons à notre Leçon.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ah!	Ah!
Monſieur.	Monsieur.
je ſuis fâché des coups qu’ils vous ont donné.	je suis fâché des coups qu'ils vous ont donné.
MAISTRE DE PHILOSOPHIE, Cela n’eſt rien.	MAÎTRE DE PHILOSOPHIE, Cela n'est rien.
Un Philoſophe ſçait recevoir comme il faut les choſes, & je vay compoſer contr’eux une Satyre du ſtyle de Juvenal, qui les déchirera de la belle façon.	Un Philosophe sais recevoir comme il faut les choses, et je vais composer contr'eux une Satyre du style de Juvenal, qui les déchirera de la belle façon.
Laiſſons cela.	Laissons cela.
Que voulez-vous aprendre?	Que voulez-vous apprendre?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tout ce que je pouray, car j’ay toutes les envies du monde d’eſtre ſçavant, & j’enrage que mon Pere & ma Mere ne m’ayent pas fait bien étudier dans toutes les Sciences, quand j’eſtois jeune.	Tout ce que je pourrai, car j'ai toutes les envies du monde d'être savant, et j'enrage que mon Père et ma Mère ne m'aient pas fait bien étudier dans toutes les Sciences, quand j'étais jeune.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Ce ſentiment eſt raiſonnable, Nam ſine docrrina vita eſt quaſi mortis imago.	Ce sentiment est raisonnable, Nam sine docrina vita est quasi mortis imago.
Vous entendez cela, & vous ſçavez le Latin ſans doute.	Vous entendez cela, et vous savez le Latin sans doute.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, mais faites comme ſi je ne le ſçavois pas.	Oui, mais faites comme si je ne le Savais pas.
Expliquez-moy ce que cela veut dire.	Expliquez-moi ce que cela veut dire.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Cela veut dire que ſans la Science, la Vie eſt preſque une image de la Mort.	Cela veut dire que sans la Science, la Vie est presque une image de la Mort.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ce Latine ſa a faiſon.	Ce Latine sa a saison.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
N’avez-vous point quelques principes, quelques comneneemens des Sciences?	N'avez-vous point quelques principes, quelques comneneemens des Sciences?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oh oüy, je ſçay lire & écrire.	Oh oui, je sais lire et écrire.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Par où vous plaiſt-il que nous commencions?	Par où vous plaît-il que nous commencions?
Voulez-vous que je vous aprenne la Logique?	Voulez-vous que je vous apprenne la Logique?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qu’eſt-ce que c’eſt que cette Logique?	Qu'est-ce que c'est que cette Logique?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
C’eſt elle qui enſeigne les trois operations de I’Eſprit.	C'est elle qui enseigne les trois opérations de J'Esprit.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qui ſont elles, ces trois operations de l’Eſprit?	Qui sont elles, ces trois opérations de l'Esprit?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
La premiere, la ſeconde, & la troiſiéme.	La première, la seconde, et la troisième.
La premiere eſt, de bien concevoir par le moyen des Univerſaux.	La première est, de bien concevoir par le moyen des Univers.
La ſeconde, de bien juger par le moyen des Cathegories:	La seconde, de bien juger par le moyen des Cathégories:
Et la troiſiéme, de bien tirer une conſequence par le moyen des Figures.	Et la troisième, de bien tirer une conséquence par le moyen des Figures.
Barbara, Celarent, Darii, Ferio, Baralipton, &c.	Barbara, Célarent, Dari, Fério, Baralipton, etc.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voila des mots qui ſont trop rebarbatifs.	Voilà des mots qui sont trop rébarbatifs.
Cette Logique-là ne me revient point.	Cette Logique-là ne me revient point.
Aprenons autre choſe qui ſoit plus joly.	Apprenons autre chose qui soit plus joli.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Voulez-vons aprendre la Morale?	Voulez-vons apprendre la Morale?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
La Morale?	La Morale?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Oüy.	Oui.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qu’eſt-ce qu’elle dit cette Morale?	Qu'est-ce qu'elle dit cette Morale?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Elle traitte de la Felicité;	Elle traite de la Félicité;
Enſeigne aux Homa mes à moderer leurs paſſions, &.	Enseigne aux Homa mes à modérer leurs passions, et.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, laiſſons cela.	Non, laissons cela.
Je ſuis bilieux comme tous les Diables;	Je suis bilieux comme tous les Diables;
& il n’y a Morale qui tienne, je me veux mettre en colere tout mon ſaoul, quand il m’en prend envie.	et il n'y a Morale qui tienne, je me veux mettre en colère tout mon saoul, quand il m'en prend envie.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Eſt-ce la Phyſique que vous voulez aprendre?	Est-ce la Physique que vous voulez apprendre?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Qu’eſt-ce qu’elle chante cette Phyſique?	Qu'est-ce qu'elle chante cette Physique?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
La Phyſique eſt celle qui explique les principes des choſes naturelles, & les proprietez du Corps;	La Physique est celle qui explique les principes des choses naturelles, et les propriétés du Corps;
Qui diſcourt de la nature des Elemens, des Métaux, des Mineraux, des Pierres, des Plantes, & des Animaux, & nous enſeigne les cauſes de tous les Méteores, l’Arc-en Ciel, les Feux volans, les Cométes, les Eclairs, de Tonnerre, la Foudre, la Pluye, la Neige, la Greſle, les Vents, & les Tourbillons.	Qui discourt de la nature des Éléments, des Métaux, des Mineraux, des Pierres, des Plantes, et des Animaux, et nous enseigne les causes de tous les Mèteores, l'Arc-en Ciel, les Feux volants, les Comtes, les Éclairs, de Tonnerre, la Foudre, la Pluie, la Neige, la Gresle, les Vents, et les Tourbillons.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il y a trop de tintamare là-dedans, trop de broüillamini.	Il y a trop de tintamare là-dedans, trop de brouillamini.
MAISTRE.	MAÎTRE.
DE PHILOSOPHIE.	DE PHILOSOPHIE.
Que voulez-vous donc que je vous aprenne?	Que voulez-vous donc que je vous apprenne?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Aprenez-moy l’Ortographe.	Apprenez-moi l'Ortographe.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Tres-volontiers.	Très-volontiers.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Apres vous m’aprendrez l’Almanach, pour ſçavoir quand il y a de la Lune, & quand il n’y en a point.	Après vous m'apprendrez l'Almanach, pour savoir quand il y a de la Lune, et quand il n'y en a point.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Soit.	Soit.
Pour bien ſuivre voſtre penſée, & traitter cette matiere en Philoſophe, il faut commencer ſelon l’ordre des choſes, par une exacte connoiſſance de la nature des Lettres, & de la diferente maniere de les prononcer toutes.	Pour bien suivre votre pensée, et traiter cette matière en Philosophe, il faut commencer selon l'ordre des choses, par une exacte connaissance de la nature des Lettres, et de la diérente manière de les prononcer toutes.
Et là-deſſus j’ay à vous dire, que les Lettres ſont diviſées en voyelles, ainſi dites voyelles, parce qu’elles expriment les voix;	Et là-dessus j'ai à vous dire, que les Lettres sont divisées en voyelles, ainsi dites voyelles, parce qu'elles expriment les voix;
& en conſonnes, ainſi apellées conſonnes, parce qu’elles ſonnent avec les voyelles, & ne font que marquer les diverſes articulations des voix.	et en consonnes, ainsi appelées consonnes, parce qu'elles sonnent avec les voyelles, et ne font que marquer les diverses articulations des voix.
Il y a cinc voyelles, ou voix, A, E, I,O, V.	Il y a cinc voyelles, ou voix, A, E, IÔ, V.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
J’entens tout cela.	J'entends tout cela.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Lavoix, A, ſe forme en ouvrant fort la bouche, A.	Lavoix, A, se forme en ouvrant fort la bouche, A.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
A, A, oüy.	A, À, oui.
MAISTREDE PHILOSOPHIE.	MAISTREDE PHILOSOPHIE.
La voix, E, ſe forme en r’aprochant la machoire d’enbas de celle d’enhaut, A,E.	La voix, E, se forme en rapprochant la mâchoire d'enbas de celle d'enhaut, A,.
B.	B.
iii.	ji.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
A,E, a, E Ma foy oüy.	A,E, a, E Ma foi oui.
Ah que cela eſt beau!	Ah que cela est beau!
MAISTRE DE PHÍLOSOPHIE.	MAÎTRE DE PHÉLOSOPHIE.
Et la voix, I, en r’aprochant encore davantage les ma choires l’une de l’autre, & écartant les deux coins de la bouche vers les oreilles,A,E,I.	Et la voix, I, en raprochant encore davantage les ma choirez l'une de l'autre, et écartant les deux coins de la bouche vers les oreilles,A,E,I.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
A, E, I,I, I, I.	À, E, I,I, I, I.
Cela eſt vray.	Cela est vrai.
Vive la Science.	Vive la Science.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
La voix, O, ſe forme en r’ouvrant les machoires, & r’aprochant les levres par les deux coins, Ie haut & le bas, O.	La voix, Ô, se Âme en rouvrant les mâchoires, et rapprochant les lèvres par les deux coins, Je haut et le bas, Ô.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
O, O.	Ô, Ô.
Il n’y a rien de plus juſte.	Il n'y a rien de plus juste.
A, E,I, O,1, O.	A, E,I, Ô,, Ô.
Cela eſt admirable!	Cela est admirable!
I,O, 1,O.	IJO, 1,O.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
L’ouverture de la bouche fait juſtement comme un perit rond qui repreſente un O.	L'ouverture de la bouche fait justement comme un périt rond qui représente un Ô.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
O,O,O.	Ô,O,O.
Vous avez raiſon, O.	Vous avez raison, Ô.
Ah la belle choſe, que de ſçavoir quelque choſe!	Ah la belle chose, que de Savoir quelque chose!
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
La voix, V, ſe forme en r’aprochant les dents ſans les joindre entierement, & allongeant les deux levres en dehors, les aprochant auſſi l’une de l’autre ſans les joindre tout-à-fait, V.	La voix, V, se forme en raprochant les dents sans les joindre entièrement, et allongeant les deux lèvres en dehors, les approchant aussi l'une de l'autre sans les joindre tout-à-fait, V.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
V,V.	V,V.
Il n’y a rien de plus veritable, y.	Il n'y a rien de plus véritable, y.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Vos deux levres s’allongent comme ſi vous faiſiez la mouë:	Vos deux lèvres s'allongent comme si vous faisiez la moue:
D’où vient que ſi vous la voulez faire à quelqu’un, & vous moquer de luy, vous ne ſçauriez luy dire que V.	D'où vient que si vous la voulez faire à quelqu'un, et vous moquer de peine, vous ne sauriez toujours dire que V.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
V, V.	V, V.
Cela eſt vrai.	Cela est vrai.
Ah que n’ai-je étudié plû&vαx ypoun aquvomcoue cente.	Ah que n'ai-je étudié plûetvαx ypoun aquvomcoue cente.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Demain, nous verrons les autres Lettres, qui ſoit Ies COMIOIHeS.	Demain, nous verrons les autres Lettres, qui soit Ies COMIOIHeS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Eſt-ce qu’il y a des choſes auſſi curieuſes qu’à ceſſes-cy?	Est-ce qu'il y a des choses aussi curieuses qu'à cesses-cy?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Sans doute.	Sans doute.
La conſonne, D, par exemple, ſe prononce en donnant du bout de la langue au deſſus des dents d’enhaut, DA.	La consonne, D, par exemple, se prononce en donnant du bout de la langue au dessus des dents d'enhaut, DA.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
DA, DA.	DA, DA.
Oüy.	Oui.
Ah les belles choſes!	Ah les belles choses!
les belles choſes!	les belles choses!
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Th,xn.	Th,x.
ceit la vente, iin mon rcre c ma Mere, que je vous veux de mal!	ceit la vente, jin mon rcre ç ma Mère, que je vous veux de mal!
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Et T’R, en portant le bout de la langue juſqu’au haut du palais;	Et T'R, en portant le bout de la langue jusqu'au haut du palais;
de ſorte qu’eſtant frolée par l’air qui ſort avec force, elle lui cede, & revient toujours au meſme endroit, faiſant une maniere de tremblement, Rra	de sorte qu'étant frolée par l'air qui sort avec force, elle lui cede, et revient toujours au même endroit, faisant une manière de tremblement, Rra
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
R,1,ra3R, i,r,r,r, ra.	R,1,ra3R, y,r,r,, ra.
Cela eſt vrai.	Cela est vrai.
Ah l’habile Homme que vous eſtes!	Ah l'habile Homme que vous êtes!
& que j’ai perdu de temps !	et que j'ai perdu de temps !
R,r, r, ra.	R,r, r, a.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Je vous expliquerai à fond toutes ces cuMontel.	Je vous expliquerai à fond toutes ces cuMontel.
MONSIEUR JOURDAINJe vous en prie.	MONSIEUR JOURDAINE -vous en prie.
Au reſte il faut que je vous faſſe une confidence.	Au reste il faut que je vous fasse une confidence.
Je ſuis amoureux d’une Perſonne de grande qualité, & je ſouhaiterois que vous m’aidaſſiez à lui écrire quelque choſe dans un petit Billet que je veux laiſſer tomber à ſes pieds.	Je suis amoureux d'une Personne de grande qualité, et je souhaiterais que vous m'aidassiez à lui écrire quelque chose dans un petit Billet que je veux laisser tomber à ses pieds.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Fort- bien.	Fort- bien.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Cela ſera galant, oüy.	Cela sera galant, oui.
MAISTREDE PHILOSOPHIE.	MAISTREDE PHILOSOPHIE.
Sans doute.	Sans doute.
Sont-ce des Vers que vous lui voulez écrire?	Sont-ce des Vers que vous lui voulez écrire?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, non, point de Vers.	Non, non, point de Vers.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Vous ne voulez que de la Proſe?	Vous ne voulez que de la Prose?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, je ne veux ni Proſe, ni Vers.	Non, je ne veux ni Prose, ni Vers.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Il faut bien que ce ſoit l’un, ou l’autre.	Il faut bien que ce soit l'un, ou l'autre.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Pourquoi ?	Pourquoi ?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Par la ra iſon, Mouſieur, qu’il n’y a pour s’exprimer, que la Proſe, ou les Vers.	Par la ra izon, Mousieur, qu'il n'y a pour s'exprimer, que la Prose, ou les Vers.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Il n’ya que la Proſe, ou les Vers?	Il n'ya que la Prose, ou les Vers?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Non, Monſieur:	Non, Monsieur:
Tout ce qui n’eſt point Proſe, eſt Vers;	Tout ce qui n'est point Prose, est Vers;
& tout ce qui n’eſt point Vers, eſt Proſe.	et tout ce qui n'est point Vers, est Prose.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Et comme l’on parle, qu’eſt-ce que c’eſt donc que cela?	Et comme l'on parle, qu'est-ce que c'est donc que cela?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
De la Proſe.	De la Prose.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Quoi, quand je dis, Nicole aportez-moi mes Pantoufles, & me donnez mon Bonnet de nuit, c’eſt de la Proſe ?	Quoi, quand je dis, Nicole apportez-moi mes Pantoufles, et me donnez mon Bonnet de nuit, c'est de la Prose ?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Oüy, Monſieur.	Oui, Monsieur.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Par ma foi, il y a plus de quarante ans que je dis de la Proſe, ſans que j’en ſçeuſſe rien;	Par ma foi, il y a plus de quarante ans que je dis de la Prose, sans que j'en susse rien;
& je vous ſuis le plus obligé du monde, de m’avoir apris cela.	et je vous suis le plus obligé du monde, de m'avoir appris cela.
Je voudrois donc lui mettre dans un Eillet:	Je voudrais donc lui mettre dans un Eillet:
Belle Marquiſe, vos beaux yeux me font mourir d’amour;	Belle Marquise, vos beaux yeux me font mourir d'amour;
mais je voudrois que cela fût mis d’une maniere galante;	mais je voudrais que cela fût mis d'une manière galante;
que cela fût tourné gentiment.	que cela fut tourné gentiment.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Mettre que les feux de ſes yeux reduiſent vôtre cœur en cendres;	Mettre que les feux de ses yeux réduisent votre cœur en cendres;
que vous ſouffrez nuit & jour pour elle les violences d’un.	que vous souffrez nuit et jour pour elle les violences d'un.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, non, non, je ne veux point tout cela;	Non, non, non, je ne veux point tout cela;
Je ne veux que ce que je vous ay dit :	Je ne veux que ce que je vous ai dit :
Belle Morquiſe, vos beaux yeux me font mourir d’amour.	Belle Morquise, vos beaux yeux me font mourir d'amour.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Il faut bien étendre un peu la choſe.	Il faut bien étendre un peu la chose.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, vous dy-je, je ne veux que ces ſeules paroles-là dans le Billet;	Non, non dis-je, je ne veux que ces seules paroles-là dans le Billet;
mais tournées à la mode, bien arrangées comme il faut.	mais tournées à la mode, bien arrangées comme il faut.
Je vous prie de me dire un peu, pour voir, les diverſes manieres dont on les peut mettre.	Je vous prie de me dire un peu, pour voir, les diverses manières dont on les peut mettre.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
On les peut mettre premierement comme vous avez dit:	On les peut mettre premièrement comme vous avez dit:
Belle Marquiſe, vos beaux yeux me font mourir d’amour Ou bien:	Belle Marquise, vos beaux yeux me font mourir d'amour Ou bien:
D’amour mourir me font, belle Marquiſe, vos beaux yeux.	D'amour mourir me font, belle Marquise, vos beaux yeux.
Ou bien:	Ou bien:
Vos yeux beeux d’amour me font, belle Marquiſe, mourir.	Vos yeux beeux d'amour me font, belle Marquise, mourir.
Ou bien:	Ou bien:
Mourir vos beaux yeux, belle Marquiſe d’amour me font.	Mourir vos beaux yeux, belle Marquise d'amour me font.
Ou bien :	Ou bien :
Me ſont vos yeux beaux mourir, belle Merquiſe, d’amour.	Me sont vos yeux beaux mourir, belle Merquise, d'amour.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mais de toutes ces façons là, laquelle eſt la meilleure?	Mais de toutes ces façons là, laquelle est la meilleure?
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Celle que vous avez dite:	Celle que vous avez dite:
Belle Marquiſe, vos beaux yeuz me font mourir d’amour.	Belle Marquise, vos beaux yeuz me font mourir d'amour.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Cependant je n’ai point étudié, & j’ai fait cela tout du premier coup.	Cependant je n'ai point étudié, et j'ai fait cela tout du premier coup.
Je vous remercie de tout mon cœur, & vous prie de venir demain de bonne heure.	Je vous remercie de tout mon cœur, et vous prie de venir demain de bonne heure.
MAISTRE DE PHILOSOPHIE.	MAÎTRE DE PHILOSOPHIE.
Je n’y man querai pas.	Je n'y man quérai pas.
MONSIEÜR JOURDAIN.	MONSIEUR JOURDAIN.
Comment?	Comment?
