ARGVMENT DE LA preſente Tragedie.	ARGUMENT DE LA présente Tragédie.
Mais trouuant l’Autel vuide & la cuidant rengee, En quelque autre coin, ie recherche par tout Et furette les lieux de l’vn à l’autre bout, Sans pouuoir iamais veoir quelque marque aſſeuree Par-ou le cault larron auoit fait ſon entree, Ie reuiens ſur mes pas & penſant eſueiller Mes autres compagnons qui ſembloient ſommeiller, Ie trouue qu’vn ſommeil ſi tres fort les aterre Qu’ils ſembloient aux Teſſons ronflant deſſoubs la terre, Auſſi toſt que du ſommeil ils ſe ſont eſueillez Ils vienſent auec moy & cherchons eſtoſſſiez, L’image ou le volleur, mais helas noſtre peine Ainſi qu’au parauant fut inutile & vaine.	Mais trouvant l'Autel vid et la cuidant rengée, En quelque autre coin, votre recherche par tout Et furette les lieux de l'un à l'autre bout, Sans pouvoir jamais voir quelque marque assurée Par-ou le cault larron avait fait son entrée, Je reviens sur mes pas et pensant éveiller Mes autres compagnons qui semblaient sommeiller, Je trouve qu'un sommeiller si si très fort aterre Qu'ils semblaient aux Tessons ronflant dessoubs la terre, Mais tôt que du sommeil ils se sont éveillez Ils viens auec moi et cherchons étaient, Ma ou le voluteur, mais h nôtre ou Le qu’le par tout le et vaine.
Aladin.	Aladin.
Ha!	Ha!
traitres, ha coquins, ha larrons, halpendarts Manifeſtes volleurs yurongnes non ſoldats, Vous auez employé toute la nuit a boire A ribler à goſſer, & voulez faire accroire, Que vous auez touſiours bien fait voſtre debuoir Mais ie iure les dieux que ie vous feray veoir, Comme ie ſçay punir vne telle inſolence Allez deſpechez vous & faites diligence, De retrouuer l’Image autrement deſſus vous I’eſpandray la fureur de mon aſpre courroux, Viſitez les maiſons les temples infidelles Et pour mieux en auoir ſuffiſantes nouuelles, Qu’on publie par tout & promette guerdon A celuy qui voudra deceler le larron, Ou rendre le larcin, menaſſant de ſupplice Celuy-là qui voudra courir ce malefice, Car la douceur ne ſert de prompt remede il faut Que le fer & le feu ſuplee à ce deffaut.	très, ha coquins, ha larrons, halpendards Manifestes volleurs yurongnes non soldats, Vous avez employé toute la nuit a boire A ribler à gagner, et voulez faire accroire, Que vous avez toujours bien fait votre débuoir Mais ainsi jure les dieux que je vous fera ieoir, Comme tu sais punir votre telle insolence Allez despechez vous et faites diligence, De retrouver l'Image autrement dessus vous J'épandrai la fureur de mon âpre avez, Visitez les maisons les temples infidèles Et pour mieux in auoir suffisantes les, eonpublie partout et promette ur A celui qui voudra déceler le larron' Ou rendre le ç, menassant de supplice Celuy-là qui voudra courir ce maléfice, Car la douceur ne et de prompt remède il faut Que le fer et le feu suplee ce défaut.
Olinde, Ie croy que le Soleil faiſant ſa courſe ronde Qui de ces traits ardans eſclaire tout le monde, Ne ſçauroit eſpandant ſa diuine clarté Contempler vn miroir de ſi rare beauté, Que les yeux de ma ſaincte ou mon amour ſe lie Ma Ciprine mon cœur ma chaſte Sophronie, Dés long-temps ie luy ay declaré ma langueur:	Olinde, Je crois que le Soleil faisant sa course ronde Qui de ces traits ardans éclaire tout le monde, Ne saurait épandant sa divine clarté Contempler un miroir de si rare beauté, Que les yeux de ma sainte ou mon amour se lie Ma Ciprine mon cœur ma chaste Sophronie, Dés longtemps ie lui ai déclaré ma langueur:
Mais vn refus mignard qui prouient de ſon cœur, Me donne à mes eſprits vne ferme aſſeurance Qu’vn iour de tous mes maux me donra allegeance, Son parler graue & ſainct & non point affeſté Son port humblement doux remply de Majeſté, Font que ie voy offrir aux pieds de ma meurtriere Les doux piteux accens de mon humble priere, Elle ſçait mon tourment, elle ſçait mon eſmoy Et ſçait qu’elle à gaigné la victoire ſur moy, Elle iuge à mes yeux, elle lit mes œillades Combien pour ſon amour ſont mes membres malades, Ie m’en vay la trouuer, ha Sophronie helas!	Mais un refus mignard qui provient de son cœur, Me donne à mes esprits une ferme assurance Qu'un jour de tous mes maux me donra allégeance, Son parler grave et saint et non point affété Son port humblement doux rempli de Majesté, Font que je vois offrir aux pieds de ma meurtrière Les doux piteux accents de mon humble prière, Elle sait mon tourment, elle sait mon émoi Et sait qu'elle à gagné la victoire sur moi, Elle juge à mes yeux, elle lit mes œillades Combien pour son amour sont mes membres malades, Je m'en vais la trouver, ha Sophronie hélas!
Quand verray-je tes yeux l’Empire de Pallas!	Quand verrai-je tes yeux l'Empire de Pallas!
Aladin.	Aladin.
Faudra-il dont touſiours que ceſte fauce engence	Faudra-il dont toujours que cette fauce engence
qui vous m’euſt d’expoſer tant d’incoulpables aDe Chreſtiens reuoltez nous faiſant ſans vengeãce, Les rebelles efforts de quelque trahiſon Les debuons-nous ſouffrir ſans en auoir raiſon?	qui vous m'eût d'exposer tant d'incoulables aDe Chrétiens révoltez nous faisant sans vengeance, Les rebelles efforts de quelque trahison Les débuons-nous souffrir sans en avoir raison?
Attendrons-nous encor quelque nouuelle preuuë De leur deſſoyauté, c’eſt aſſez qu’il s’en treuue Vne ſi remarquable, ils ont bien merité Vn aſpre chaſtiment de leur deſloyauté, I'ay fait foüiller par tout les Temples, les Egliſes Et ſi ie n’en ay point de nouuelles apriſes, Meſme le ſage Iſmen a fait tòus ces effors De pouuoir recouurir le larcin par ces ſors, Mais les Demons aymez ſe ſont laiſſez ſemondre Par murmures doublez ſans voulloir rien reſpondre, Si eſt-ce qu’vn tel crime impuni ne ſera La commune ruine au moins accablera, Le larcin incogneu, & tous ceux là qu’il penſent De me la deceler ſçachant bien qu’ils m’offenſent, Sus, ſus, mes chers ſoldats fidelles deffenſeurs De la garde Payenne & iuſtes puniſſeurs, Des ſubjets reuoltez, armez voſtre courage De fer, de feu, de ſang, de meurtre & carnage, ſuez, bruſſez, frappez, aſſommez, maſſacrez Les hommes, les vieillards, les Preſtres ſacrez, Les femmes, les enfans, & faites qu’en peu d’heure Vn ſeul de ceſte ſexte enuie ne demeure.	Attendrons-nous encor quelque nouvelle preuuë De leur dessoyauté, c'est assez qu'il s'en trouve Une si remarquable, ils ont bien mérité Un âpre châtiment de leur déloyauté, J'ai fait fouiller par tout les Temples, les Églises Et si tues n'en ai point de nouvelles après, Même le sage Ismen a fait tus ces effort De pendant recouvrir le larcin par ces sors, Mais les Demons blés se sont laissez semondre Par mures doublés sans mur rien répondre, Si est-ce tel crime impuni ne sera La commune ruine au moins blé, Le larcin incogneu, et tous ceux il pensent De me la déceler san bien ils voffensent, Sus, sus,mes chers soldats fidelles es Ré la garde Payenne et iustes punisseurs, Des subjets re, si nô courage De fer, de vu, de sang, ne meurtre et carnage, se, brusseza La, assommez, une Rés hommes, les vieillards, les Ute ur, Les femmes, les enfans, et faites moin peu heure seul a ceste sexte envie ne demeure,
Orcan.	Orcan.
Quoy voulez-vous grand Roy faire mourir ainſt Tous ces pauures Chreſtiens ſans en auoir mercy,	Quoi voulez-vous grand Roi faire mourir ainst Tous ces pauvres Chrétiens sans en avoir merci,
mes B 2 A la mercy du fer & des brillantes flammes.	mes B 2 A la merci du fer et des brillantes flammes.
R’appelez la raiſon qui s’elongne de vous Et pour ſi peu de cas n’entrez point en couroux, Oſtez de voſtre eſprit ceſte eſtrange manuie.	R'appelez la raison qui s'élongne de vous Et pour si peu de cas n'entrez point en courra, Ostez de votre esprit cette étrange manuie.
A ladm.	À ladm.
Que ie pardonne tout que non challant i’oublie Les affronts qu’on me fait ſans point m’en reſſentir C'eſt c’eſt l’authorité Royalle deſmentir, C’eſt n’auoir point de cœur pour effort de mal-faiLaet pumance dentacau mlaue ettre leueres	Que me pardonne tout que non chalant j'oublie Les affronts qu'on me fait sans point m'en ressentir C'est c'est l'autorité Royalle démentir, C'est n'avoir point de cœur pour effort de malhaiLaet pumance dentacau mlau tre lèvres
Orcan.	Orcan.
Il vaut mieux exceder en bonté qu’en rigueur.	Il vaut mieux excéder en bonté qu'en rigueur.
Aladin.	Aladin.
C’eſt malſait quel qu’il ſoit d’vſer trop de douceur.	C'est malsait quel qu'il soit d'user trop de douceur.
2	2
Orcan.	Orcan.
Laclemence & bonté n’a tenu rang de vice.	Laclemence et bonté n'a tenu rang de vice.
QliaAido Qui pardonne aux meſchans il accroit ſa malice.	QuliaAido Qui pardonne aux méchants il accroît sa malice.
Orcan.	Orcan.
Il ne faut offencer pour le meſchant le bon.	Il ne faut offenser pour le méchant le bon.
A ladin.	À ladin.
Ou chaſtiment public perira le larron.	Ou châtiment public périra le larron.
Orcan.	Orcan.
Vous les auez permis viure ſoubs ceſte loy.	Vous les avez permis vivre sous cette loi.
Aladin, Qui ſçauroit obliger a ſa promeſſe vn Roy.	Aladin, Qui saurait obliger à sa promesse un Roi.
Orcan.	Orcan.
Les dieux vous puniront ſi vous eſtes pariure.	Les dieux vous puniront si vous êtes parjure.
CEtaulito Au fort les ennemis en receuront l’iniure.	CEtaulito Au fort les ennemis en receont l'injure.
Orcan.	Orcan.
Laiſſez leur la vengeance ils y ſçauront pouruoir 2.	Laissez leur la vengeance ils y sçauront pourvoir 2.
Aladin.	Aladin.
A nous ainſi qu’aux dieux ils manquent de debdone	À nous ainsi qu'aux dieux ils manquent de débdone
Orcan.	Orcan.
Ils n’ont commis l’excez duquel on les accuſe.	Ils n'ont commis l'excès duquel on les accuse.
Aladin, Ie ne me paye point d’vne friuolle excuſe.	Aladin, Je ne me paie point d'une frivole excuse.
Orcan.	Orcan.
Vous les debuez ouir parauant que iuger.	Vous les débuez ouïr paravant que juger.
Aladin, Il n’y en a pas vn qui c’eſt venu purger.	Aladin, Il n'y en a pas un qui c'est venu purger.
Orcan.	Orcan.
Tous n’ont pas conſenty que l’Image fut priſe.	Tous n'ont pas consenti que l'Image fut prise.
Aladin.	Aladin.
Vn ſeul n’euſt iamais fait vne telle entrepriſe Ceux qui ſont conſentans ils me doiuent liurer Le larron garrotté, afin de deliurer, Tout le reſte d’entr’eux du ſoupçon de ce crime Mais ie voy bien que c’eſt ils m’ont en leur eſtime, Que ie leur ſouffriray me voyant pout cheſnu B Ils penſent que ie ſois feneant deuenu, Mais ie veux de ce pas que vous archers fidelles Leur faſſiez reſſentir les peines plus cruelles, que irmais n’a ſenty dans enfer Ixion Puis qu’ils me vont braſſant ſi grande trahiſon, Dascouven larrene de tala gouene mencee Qu’on ne m’en parle plus la pierre en eſt iettee.	Un seul n'eût jamais fait un telle entreprise Ceux qui sont consentant ils me doivent livrer Le larron garrotté, afin de délivrer, Tout le reste d'entrer'eux du soupçon de ce crime Mais je vois bien que c'est ils m'ont en leur estime, Que enfin leur souffrirai me voyant pout chaînu B Ils pensent que je sois feneant Mai, Mais Mais veux de ce pas que vous archers fidèles Leur fassiez ressentir les peines plus cruelles, que irmais n'a senti dans enfer Ixion Puis qu'ils me vont brassant si grande trahison, Dascouven larren de la goue de on ne en parle plus la pierre en est iettee.
Orcan.	Orcan.
Les ferez vous mourir ſans vous auoir mal fait?	Les ferez vous mourir sans vous avoir mal fait?
Aladin.	Aladin.
S’eſleuer contre moy n’eſt-ce pas vn forfait.	S'élever contre moi n'est-ce pas un forfait.
Orean.	Orean.
Ouy, & digne de mort, mais ceſte calomnie Ne prouienc ieutement que de name & d’enuies Celle ne ſuffit pas pour contre la raiſon Accuſer le Chreſtien d’aucune trahiſon.	Oui, et digne de mort, mais cette calomnie Ne provience jeutement que de name et d'envies Celle ne suffit pas pour contre la raison Accuser le Chrétien d'aucune trahison.
Aladin.	Aladin.
N’eſt-ce pas me trahir quand par ingratitude Pour ne les auoir pas reduits en ſeruitude, Ont ils fait & porté l’hommage & les honneurs que ſoulloit cy deuant me faire mes Seigneurs, Soubs ombre d’vne loy nouuellement forgee Dedans le creux cerueau de leur teſte enragee, que i’endure cela, ha!	N'est-ce pas me trahir quand par ingratitude Pour ne les avoir pas réduits en servitude, Ont ils fait et porté l'hommage et les honneurs que soullait cy devant me faire mes Seigneurs, Sourbs ombre d'une loi nouvellement forge Dedans le ce cerveau de leur tête enragée, que j'endure cela, ha!
pluſtoſt mille mors Pluſtoſt vn tigre affreux ſe paiſſe de mon corps, nue d’vn Loupaffamé & d’vn Lyon ſauuage I’aſſouuiſſe auiourd’huy & la fain & la rage, que ie ne mette à mort ceux qui contre ma loy Oſent bien adorer vn autre Dieu que moy.	plutôt mille mors Plutôt un tigre affreux se paisse de mon corps, nue d'un Loupaffamé et d'un Lyon sauvage J'assouisse aujourd'hui et la sain et la rage, que je ne mette à mort ceux qui contre ma lois Osent bien adorer un autre Dieu que moi.
Le Conſe iller.	Le Conse iller.
sire, n’obſtinez pas voſtre royal courage Pour perdre les Chreſtiens le nõ, moins le lignage, Car c’eſt vn peuple aymé, pourquoy Dieu fait armer Le leuant, le couchant, la terre auſii la mer, C’eſt luy qui peut dompter tous les Roys de la terre oui oſent contre luy mener ouuerte guerre.	sire, n'obstinez pas ainsi royal courage Pour perdre les Chrétiens le nôtre, moins le lignage, Car c'est un peuple aimé, pourquoi Dieu fait armer Le leuant le le couchant, la terre ausi la mer, C'est un qui peut dompter tous les Rois de la terre oui osent contre mille mener ou guerre.
2 Soldat.	2 Soldat.
Perfide renegat de blaſphemante voys Oſe-tu bien blaſmer le plus grand Roy des Roys, Non non Prince puiſſant ayez l’oreille cloſe Au conſeil fraudulleur que ce ſot vous propoſe, Et iuſte puniſſez ce malheureux Chreſtien qui nous vient abuſer d’vne choſe de rien, Ah traitre on t’apprendra.	Perfide renégat de blasphémante ais Ose-tu bien blâmer le plus grand Roi des Rois, Non non Prince puissant ayez l'oreille close Au conseil fraudulleur que ce sot vous propose, Et juste punissez ce malheureux Chrétien qui nous vient abuser d'une chose de rien, Ah traître on t'apprendra.
Aladin.	Aladin.
Laiſſez, ſon arrogance Merite que ma main ſeulle en prenne vengeance, Laiſſez le moy ſoldat, ô profeſte eſcouté ouel profeſte ou demon ta ſi bien incité, 14 Ces orkeres certullis de quel Dleu ta laic croire que ſur moy les Chreſtiens obtiendront la victoirs, Liez le moy ſoldats & arrachez ſon cœur Et l’apportez icy, marque de ma rancœur.	Laissez, son arrogance Mérite que ma main seulle en prenne vengeance, Laissez le moi soldat, ô profeste écouté ouel profeste ou démon ta si bien incité, 14 Ces orkeres certullis de quel Dleu ta laïc croire que sur moi les Chrétiens obtiendront la victoirs, Liez le moi soldats et arrachez son cœur Et l'apportez ici, marque de ma rancœur.
Orcan Mais Sire, qui vous m’euſt d’animer au carnage Dece pauere ohrertien torere loy arcourege.	Orcan Mais Sire, qui vous m'eût d'animer au carnage Déce pauère ohrtien tore lois arcourege.
Aladin.	Aladin.
I’en auray vne gloire infinie aiamais.	J'en aurai assez gloire infinie aiamais.
Orcan.	Orcan.
Mais bien on vous dira rigoureux deſormais.	Mais bien on vous dira rigoureux désormais.
B 4	 4
Aladin.	Aladin.
Sera vne rigueur de purger ſa prouince De ceux qui font refus d’obeir a leur Prince.	Sera une rigueur de purger sa prouince De ceux qui font refus d'obéir a leur Prince.
Orcan.	Orcan.
rvominuis entor cela pourtant ne ſuffit pas D’accuſer l’innocent d’vn iniuſte treſpas.	rvominuis entor cela pourtant ne suffit pas D'accuser l'innocent d'un injuste trépas.
Aladin.	Aladin.
C eit vn peuple mejenant qui m eit du tout nuiſible.	Ç Cit un peuple méjenant qui m' it du tout nuisible.
Orcan.	Orcan.
Mais c’eſt vn peuple aimé debonnaire & paiſible.	Mais c'est un peuple aimé débonnaire et paisible.
Aladin.	Aladin.
Orcanole tu bien prononcer teis propose	Orcanole tu bien prononcer teis propose
Orcan.	Orcan.
Ie le dis pour autant qu’ils aiment le repos.	Je le dis pour autant qu'ils aiment le repos.
Aladin.	Aladin.
Eit te tymé le repos quand par outrecuidance.	Éit te tymé le repos quand par outrecuidance.
Ils m’eſpriſent d’vn Roy l’eſquitable ordonnance.	Ils m'éprisent d'une Roi l'équitable ordonnance.
Orcan Le Chreſtien à touſiours obſerué voſtre eſdit.	Orcan Le Chrétien à toujours observé votre édit.
Aladin.	Aladin.
Et pourquoy eſt-ce donc qu’ores il contredit?	Et pourquoi est-ce donc qu'ores il contredit?
Orcan.	Orcan.
Il ne contredit pas.	Il ne contredit pas.
m’enez, n'eſt-ce pas la voitre pitis grand deſir?	m'enez, n'est-ce pas la voitre pitis grand désir?
Aladin.	Aladin.
Ah!	Ah!
fidelle ſoldat de qu’elle recompence Pourrois-ie ſatis-faire à ta rare prudence.	fidèle soldat de qu'elle récompense Pourrais-je satî-faire à ta rare prudence.
2.	2.
Soldat.	Soldat.
I'ayouuert la poretrme & en ay arraché Le cœur encor tremblant.	J'ayouuert la poretrme et en ai arraché Le cœur encor tremblant.
Aladin.	Aladin.
Ie n’en ſuis pas faſché Mais ou eſt-il amy?	Je n'en suis pas fâché Mais ou est-il ami?
2.	2.
Soldat.	Soldat.
Tenez le voila Sire.	Tenez le voilà Sire.
Orcan.	Orcan.
Ah!	Ah!
traitre maſſacreur, ah!	traître massacreur, ah!
volleur, ah!	volleur, ah!
buſire.	busire.
Aladin.	Aladin.
Ah!	Ah!
cœur cœur deſloyal miniſtre du malheur Que ie te foulle aux pieds appaiſant ma fureur, Deſſur toy ô!	cœur cœur déloyal ministre du malheur Que ie te foulle aux pieds apaisant ma fureur, Déesur toi ô!
meſchant, ô!	méchant, ô!
la belle vengeance.	la belle vengeance.
2.	2.
Soldat.	Soldat.
Voila voila que c’eſt d’irriter la puiſſance du inonarque Mladil.	Voilà voilà que c'est d'irriter la puissance du inonarque Mladil.
Aladin.	Aladin.
Tout de meſme ſeront Ceux qui mal-aduiſez me deſ-obeyront,	Tout de même seront Ceux qui malhaduisez me désobéiront,
Orcan.	Orcan.
Sire, la loy diuine & la ſaincte ordonnance Doit uuom freu premier que l’humaine impuiſſance.	Sire, la loi divine et la sainte ordonnance Doit om fru premier que l'humaine impuissance.
Aladin.	Aladin.
quoy faut il qu’vn ſubjet contrediſe a ma loy Et s’oppoſe orgueilleux au mandement d’vn Roy?	quoi faut il qu'un sujet contredise à ma loi Et s'oppose orgueilleux au mandement d'un Roi?
Orcan.	Orcan.
Non ie ne le dis pas ſe ſeroit choſe inique Mais il conuient qu’vn Roy ne ſoit point tirannique.	Non ici ne le dis pas se serait chose inique Mais il convient qu'un Roi ne soit point tyrannique.
Aladin.	Aladin.
Ie les rendray bien toſt ſubjets ſoubs mon pouuoir.	Je les rendrai bien tôt sujets sous mon pouvoir.
Orcan.	Orcan.
Mais il les faut auſſi conformer au debuoir.	Mais il les faut aussi conformer au devoir.
Aladin.	Aladin.
*N’eſt-ce pas mon debuoir de faire qu’on m’adore En ces lieux comme vn Dieu quand le monde m’honore.	*N'est-ce pas mon débuoir de faire qu'on m'adore En ces lieux comme un Dieu quand le monde m'honore.
Orcane Il n’y a qu’vn Dieu qui habite les cieux Et tous autres que luy ſont demons & non dieux.	Orcane Il n'y a qu'un Dieu qui habite les cieux Et tous autres que deux sont démons et non dieux.
A ladin.	À ladin.
O!	Ô!
grands Dieux qu’eſt-ce icy, ha!	grands Dieux qu'est-ce ici, ha!
terre quelle rage Luy fait dire ces mots d’vn blaſphemant langage, Que prononce ta bouche, ah traitre fauſſe foy Congnois-tu en la terre vn autre Dieu que moy, Tu en mourras meſchant ta laſche perfidie Sera par mes ſoldats a ceſte heure punie, Sçay-tu pas que ie ſuis le puiſſant Roy des Roys L’honneur des Sciriens, des Perſans, des Medoys, O peuple de Iudee, ô!	terre quelle rage Lui fait dire ces mots d'un blasphèment langage, Que prononce ta bouche, a traître fausse foi Congnais-tu en la terre un autre Dieu que moi, Tu en mourras méchant ta lâche perfidie Sera par mes soldats a cette heure punie, Sais-tu pas que on suis le puissant Roi des Rois L'honneur des Sciriens, des Persans, des Médoys, Ô peuple de Iudee, ô!
Scyrie, & toy Phare Ploye-tu le genouil que deuant Mathiare, Prenez le moy ſoldat & d’vn coup de poignard Enuoyez le auſſi toſt abayer autre part.	Scyrie, et toi Phare Ploie-tu le genouil que devant Mathiare, Prenez le moi soldat et d'un coup de poignard Envoyez le aussi tôt abayer autre part.
2 Soldal.	2 Soldal.
Orcan ne veux tu pas faire quelque priere A noſtre Dieu Manon.	Orcan ne veux pas quelque faire quelque prière A notre Dieu Manon.
Retire toy arriere Orcan.	Retire toi arrière Orcan.
Execrable & maudit, penſes-tu que tes Dieux Me puiſſent faire veoir celuy qui reſgne aux cieux, Nvoil fonjmiame hon;	Exécrable et maudit, penses-tu que tes Dieux Me puissent faire voir celui qui resgne aux cieux, Névoil fonjmiame hon;
ee ne ſont que ſtatuës De parler & de voix de tout point deſpourueuës.	Je ne sont que statues De parler et de voix de tout point despourueuës.
2 Soldat.	2 Soldat.
Orcan, il vaudroit mieux approuuer c’eit eſdit Que de te perdre ainſi miſerable à credit.	Orcan, il vaudrait mieux approuver c'éit édit Que de te perdre ainsi misérable à crédit.
Orcan.	Orcan.
Miniſtre de ſatan viperienne engence rourquoy t’efforce-tu d’esbranſler ma conſtance, Meſchant fais ton deuoir & chaſſe hors de moy L’Eſprit que i’ay voüé à mon Dieu pour ma foy	Ministre de satan vipérienne engence rourquoi t'efforce-tu d'ébranler ma constance, Mêchant fais ton devoir et chasse hors de moi L'Esprit que j'ai voüé à mon Dieu pour ma foi
2.	2.
Soldat.	Soldat.
Tien donc va aux enfers.	Tiens donc va aux enfers.
ACTE TROISIESME.	ACTE -TROISIÈME.
Sophrenie, Aladin, Olinde,	Sophrénie, Aladin, Olinde,
*'Oy qui pour retirer la race priſonniere IDu fidelle Iacob, d’vne terre eſtrangere,	*'Oi qui pour retirer la race prisonnière IDu fidèle Jacob, d'une terre étrangère,
Choiſis entre lé?	Choisis entre lé?
parcs Moyſe en ſon germain Et tendant à leur voys ta tout puiſſante main, Sur le torrent du Nil qui bouche les oreilles 29 Fiſt par diuerſes fois pleuuoir tant de merueilles, Appreſte moy Seigneur renforce mes eſprits Pour conduire a bon port le deſſaing entrepris, De deliurer ton peuple, octroye que ie puiſſe Par ma mort volontaire affranchir le ſupplice, Qui leur eſt preparé, vn bon nombre de ceux Que tu as nettovez de ton ſang precieux, Inſpire dans mon cœur vne force virille que la crainte ordinaire à mon ſexe fragille, S’eſloigne loing de moy, permets que conſtamment Ie prodigue ma vie & ſouffre le tourmont, Que le fier Aladin d’vne rage cruelle Deſtine iniuſtement à la troupe fidelle, De mes freres Chreſtiens, fais que mon ſeul trepas Appaiſe ſa furie, & qu’il n’enuoye pas, Tant de chefs baptiſez deſous la ſepulture Mais que pour leur ſalut ſe ſupplice i’endure, Vn Cheualier Payen c’eſt bien precipité Pour purger autrefois la Romaine Cité, Des mortelles langueurs d’vne peſte naiſſante Dans le goulfre profond de la terre beante, Vn Roy c’eſt bien couuert d’vn habit deſguiſé Afin qu’il ſe fourraſt dans le ſeing abuſé, Par l'honorable fer de ſa ville fatalle Et pourtant au danger de ſa terre natalle, Ie n’offenceray point vn deuoir inegal Trõpant d’vn feint diſcours le Roy plus que brutal, Vne vefue c’eſt bien pour ſauuer Betulye Trempé les mains au ſang du Prince de Sirye, Auray-ie moins d’honneur de m’offrir à la mort Qu’elle de la donner a vn guerrier ſi fort, Non non il faut ietter toute peur en arriere Et franchir librement la fatalle carriere, Reſoluë a combattre & vaincre le tourment Qui meurt pour ſa patrie vit eternellement, Mais voicy le tirant qui tout bouffy de rage Porte eſcrit en ces yeux & deſſus ſon viſage, L’image des Chreſtiens, il le faut aborder Sans qu’en rien mon diſcours le face aprehender, Roy, ie viens deuers toy, mais cependant ordonne Que tes ſoldats eſmeus ne meurtriſſent perſonne, Ie te viens deſclarer & mettre en ton pouuoir Le nocturne larron que tu n’as peu ſçauoir, Qui t’a tant offencé afin de ſatisfaire En te vengeant de luy en ta forte colere.	parcs Moïse en son germain Et tendant à leur vois ta tout chante main, Sur le torrent du Nilles qui bouche les oreilles 29 Fît par diverses fois pluoir tant de merveilles, Apprête moi Seigneur renforce mes esprits Pour conduire a bon port le dessaing entrepris, De délivrer ton peuple, octroie que je puisse Par ma mort volontaire affranchir le supplice, Qui leur est préparé, un bon nombre de ceux Que tu as nettovez de ton sang cieux, Inspire dans mon cœur se force virille que la crainte ordinaire à mon sexe fragille, éloigne loing de moi, permets que constamment Ie prodigue ma vie et souffre le tourmont, Que le fier Aladin rage cruelle Destine iniustement la troupe fidelle, De mes frères Et, fais que mon seul trépas Appaise sa furie, et il enuoye pas, Tant de chefs baptisez desous la sépulture Mais que pour leur salut se supplice endure, Cheualier Payen est bien precipité Pour purger autrefois la Romaine Cité, Des mortelles langueurs peste naissante Dans le goulfre profond de la terre béante, Roy est bien couuert habit desguisé Afin il se fourrât dans le seing abusé, Par 'une fer de a ville fatalle Et pourtant au danger de sa terre natalle, Ie offenceray point deuoir inégal Trõpant feint discours le Roy plus que brutal, vefue est bien pour sauuer Betulye Me les mains au sang du Prince de Sirye, Auray-ie moins honneur de offrir la mort Quelle de la donner a guerrier si fort, Non non il a ietter toute peur en arriere Et franchir librement la fatalle re, Resoluë a combattre et vaincre le tourment Qui meurt pour sa patrie vit éternellement, Mais voicy le tirant qui tout bouffi de rage Porte écrit en ces yeux et dessus son visage, image des Chrestiens, il le faut aborder Sans en rien mon discours le face aprehender, Roy, ie viens dévers toi, mais cependant ordonne Que tes soldats émeus ne meurtrissent personne, Ie te viens déclarer et mettre en ton pouuoir Le nocturne larron que tu as peu sçauoir, Qui a tant offencé afin de satisfaire En te vengeant de lui en ta forte colère.
Aladin, Que veut dire cecy que maintenant ie ſens Vne alteration qui ſe coulle en mes ſens, Ce regard impourueu porte en ſoy quelque amorce Qui peu a peu m’attire & mal-gré moy m’efforce, A deuenir plus doux, dechaſſant la rigueur Que le iuſte courroux a conceu dans mon cœur, Parle dit hardiment & n’aye aucune crainte I’atteſte le Soleil & ſa lumiere ſaincte, que de ce cault vengeur le meffait ceſſera Et que nul des Chreſtiens offencé ne ſera, Par mes ſoldats pourueu que ſelon ton langage Tu deſcouure celuy qui a rauy l’image, Afin qu’il ſoit puny de ſa temerité En m’en contant le fait ſelon la verſte.	Aladin, Que veut dire ceci que maintenant ici sens Vne altération qui se coulle en mes sens, Ce regard impourvu porte en soi quelque amorce Qui peu a pu m'attire et mal-gré moi m'efforce, A devenir plus doux, déchassant la rigueur Que le juste courroux a conçu dans mon cœur, Parle dit hardiment et n'aie aucune crainte J'atteste le Soleil et sa lumière sainte, que de ce cault vengeur le méfait cessera Et que nul des Chrétiens offensé ne sera, Par dé soldats pourvu que selon ton langage Tu descouure lui qui a ra image, Afin qu' ai puni de sa temerité En en contant le fait selon la verste.
Sophronie.	Sophronie.
Ie ne t’en veux mentir n’en entre en deffiance Le coulpable Aladin eſt ore en ta preſence, C’eſt moy qui ay de nuict derobé le portraict Ces mains ſont celles là qui ont l’outrage fait, Ce bras en eſt moteur, dans ce ſein loge l’ame qui a oſé ourdir vne ſi belle trame, T.	Je ne t'en veux mentir n'en entre en défiance Le coulpable Aladin est ore en ta présence, C'est moi qui ai de nuit derobé le portrait Ces mains sont celles -là qui ont l'outrage fait, Ce bras en est moteur, dans ce sein loge l'âme qui a osé ourdir une si belle trame, T.
ayant veu reſſortir de noſtre Temple hier C'eſt moy, c’eſt moy tirant que tu dois chaſtier.	ayant vu ressortir de notre Temple hier C'est moi, c'est moi tirant que tu dois châtier.
A laain.	À laain.
Croiray-ie qu’vne ieune & ſimple famellette Ayt peu mettre en effait vn tel acte ſeullette, Sans que quelqu'vn plus cault ne luy ait conſeillé Dy moy qui auec toy a ſi bien trauaille, Celuy qui ta induit a telle choſe faire Et qui ta meſme aydé a ſi diuine affaire.	Croirai-je qu'une jeune et simple famellette Ayt peu mettre en effait un tel acte seullette, Sans que quelqu'un plus cault ne a ait conseillé Dis moi qui tour toi a si bien travaille, Celui qui ta induit à telle chose faire Et qui ta même aidé à si divine affaire.
Sophronie.	Sophronie.
