A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
ACTE PREMIER.	ACTE PREMIER.
SCENE TP.	SCÈNE TP.
ALIDOR ſeul dans le lict.	ÀLIDOR seul dans le lit.
Amais dans l’empire amoureux Amant ne fut plus malheureux, Iamais il n’euſt tant de trauerſes.	Amais dans l'empire amoureux Amant ne fut plus malheureux, Jamais il n'eût tant de traverses.
I’aime ſans esperer, & l’objet que ie ſers Voit mes peines diuerſes, Et pourtant ne ſçait pas que ie ſois dans ſes fers Ie meurs, & ie n’oſe parler Du feu dont ie me ſens bruſler, Auecque tant de violence:	J'aime sans espérer, et l'objet que je sers Voit mes peines diverses, Et pourtant ne sait pas que assez sois dans ses fers Je meurs, et Seigneur n'ose parler Du feu dont ie me sens brûler, Avec tant de violence:
Mon ardeur criminelle apprebende le iour, Et m'oblige au ſilence De peur d’estre blaſmé d’vn indiſcret amour.	Mon ardeur criminelle aprebende le jour, Et m'oblige au silence De peur d'être blâmé d'un indiscret amour.
Helas!	Hélas!
eſt-ce vn crime d’aimer, Des yeux, qui pourroient animer Le rocher le plus inſenſible.	est-ce un crime d'aimer, Des yeux, qui pourraient animer Le rocher le plus insensible.
Non, non, ie croy pluſtoſt qu’en voyant leurs appas, Il doit eſtre impoßible D'auoir quelque raiſon, & de n'en bruſler pas.	Non, non, Seigneur crois plutôt qu'en voyant leurs appas, Il doit être impoglible D'avoir quelque raison, et de n'en brûler pas.
Mais c'eſt vncrime d’y penſer, Ie ne le puis ſans offenſer Oronte qui me ſert de pere:	Mais c'est uncrime d'y penser, Je ne le puis sans offenser Oronte qui me sert de père:
Et qui ſçachant mes jememomruuuſplaiſir, Oi laiuſte cholere, En me faiſant mourirne preuient mon deſir.	Et qui sçachant mes jememomruuusplaisir, Oi laiuste cholère, En me faisant mourirne prévient mon désir.
Faſſe le Ciel ce qui voudra, Ma reſolution tiendra Dans les termes que ie l’ay priſe.	Fasse le Ciel ce qui voudra, Ma résolution tiendra Dans les termes que personne l'ai prise.
Qu'en peut-il arriuer, ſuiuons les loix du ſort, B iij Puis qu’en mon entrepriſe Le moindre de mes maux ſera touſiours la mort	Qu'en peut-il arriver, suivons les lois du sort, B ij Ou rd'en mon entreprise Le moindre de mes maux sera toujours la mort
ACTE PREMIER.	ACTE PREMIER.
SCENE V.	SCÈNE V.
ORONTE.	ORONTE.
ALIDOR.	ÀLIDOR.
ORONTE.	ORONTE.
T bien, cher Alidor, auez-vous donc enuie, En vous laiſſant mourir de me priuer de vie, Auray-ie le malheur de vous voir au tombeau, Sonam que vous bruſliez de l’amoureux flãbeau, Deuant que le demon, qui ſeul vnit les ames Vous ayt fait ſouspirer ſoubs l’effort de ſes fla mes.	TANT bien, cher Alidor, avez-vous donc envie, En vous laissant mourir de me priver de vie, Aurai-je le malheur de vous voir au tombeau, Sonam que vous brûliez de l'amoureux flambeau, Deuant que le démon, qui seul un les âmes Vous ai fait soupirer sousbs l'effort de ses flatta mes.
ALIDOR.	ÀLIDOR.
Tla pllojaele Qiunte.	Tla pllojàèle Qiunte.
ORONTE.	ORONTE.
Acheuez hardiment.	Achevez hardiment.
ALIDOR.	ÀLIDOR.
A Que mon crime merite vn cruel chaſtiment, C’eſt trop peu que la mort, il faut que ie l’aduoüe, Vous me deuriez punir d’vne eternelle roüe, I’ay moy-meſmes horreur du crime que i'ay fait, Et mon ingratitude eſt mon moindre forfait, Laiſſez-moy dõc mourir, ſi vous n'aimés ma peine, Voſtre compaßion, Oronte, eſt inhumaine, Vous plaignez le coupable, & foulez l’innocent.	À Que mon crime mérite un cruel châtiment, C'est trop peu que la mort, il faut que sans l'aduoüe, Vous me devriez punir d'une éternelle rue, J'ai moi-mêmes horreur du crime que j'ai fait, Et mon ingratitude est mon moindre forfait, Laissez-moi domm mourir, si vous n'aimés ma peine, Votre compassion, Oronte, est inhumaine, Vous plaignez le coupable, et foulez l'innocent.
O RONTE tout bas.	Ô RONTE tout bas.
Helas!	Hélas!
que ce diſcours eſt pour moy bien preſſent, R’aſſeurez vos eſprits, & perdez ceſte crainte, Ilne faut plus couurir voſtre amour d’vne feinte, Ie ſçay que vous aimez, que l’objet de vos feux Eſt l’objet qui reçoit de bon cœur tous mes vœux, Calirie en vn mot tient nos ames captiues, Mais n'importe, ie veux, Alidor, que tu viues, Ne te tourmente plus, recouure ta ſanté, Et tu poſſederas ceſte rare peaute.	que ce discours est pour moi bien pressent, R'assurez vos esprits, et perdez cette crainte, Ilne faut plus couvrir votre amour d'une feinte, Je sais que vous aimez, que l'objet de vos feux Est l'objet qui reçoit de bon cœur tous mes vœux, Calirie en un mot tient nos âmes captives, Mais n'importe, ie veux, Alidor, que tu vives, Ne te tourmente plus, recouvre ta santé, Et tu posséderas cette ra te.
ALIDOR.	ÀLIDOR.
Que le Ciel, & l’Amour me rendent miſerable, Puiſque malgré mes ſoins voꝰ me ſçauez coupable, I’esperois de mourir, & de pouuoir cacher Le coup que i’ay receu de ce fatal Archer:	Que le Ciel, et l'Amour me rendent misérable, Puisque malgré mes soins vo me savez coupable, J'espérais de mourir, et de pouvoir cacher Le coup que j'ai reçu de ce fatal Archer:
Mais les Dieux qui võt voir le fonds de nos pẽſees, Qui ſçauent l’aduenir, & les choſes paſſees, Font voir que mon amour leur eſt bien odieux, Puis qu’ils l’ont exposé clairement à vos yeux, Puniſſez donc Oronte, vningrat, vn parjure, Qui voust vonu faie im ſuſche injure.	Mais les Dieux qui vont voir le fond de nos pensées, Qui sauvent l'avenir, et les choses passe, Font voir que mon amour leur est bien odieux, Puis qu'ils l'ont exposé clairement à vos yeux, Punissez donc Oronte, uningrat, un parjure, Qui vous vonvie fay t sûche injure.
Autrement on croira que voſtre laſcheté Vous fait ſouffrir en moy ceſte meſchanceté.	Autrement on croira que votre lâcheté Vous fait souffrir en moi cette méchanceté.
ORONTE.	ORONTE.
Oſte de ton esprit ces paßsions ſauuages, Ceſte fauté eſt commune aux hõmes les plus ſages.	Oste de ton esprit ces passion sauvages, Cette fauté est commune aux hommes les plus sages.
Au moins ſi c’eſt faillir que d’aimer ardemment, Deux beaux yeux où l’amour cõmãde abſolumẽt, Qui maiſtriſent les cœurs auec vn tel empire,	Au moins si c'est faillir que d'aimer ardemment, Deux beaux yeux où l'amour cõmãde absolumẽt, Qui maîtrisent les cœurs auec un tel empire,
Que l’on croit ſans raiſon, qui pour eux ne ſouſpire, Ie l’ay bien approuué, moy dont l’aage plus meur Deuroit auoir changé les penſers & l’humeur:	Que l'on croit sans raison, qui pour eux ne soupire, Je l'ai bien approuvé, moi dont l'âge plus meur Ait avoir changé les pensers et l'humeur:
1 Mais puis qu'vn meſme amour violente ton ame, Que ton cœur eſt touché d’vne pareille flame, Ie te veux teſmoigner que pour ta gueriſon, Si i’ay beaucoup d’amour, i’ay bien plus de raiſon, Ie ne ſçaurois iamais auoir l’ame contente, Si dans le de ſespoir la tienne eſtoit conſtante:	1 Mais puis qu'un même amour violente ton âme, Que ton cœur est touché d'une pareille flamme, Je te veux témoigner que pour ta guérison, Si j'ai beaucoup d'amour, j'ai bien plus de raison, Je ne saurais jamais avoir l'âme contente, Si dans le de sespoir la tienne était constante:
Change doncques d’humeur, espere tout d’amour, Et tu ſeras bien toſt eſclairé d’vn beauiour.	Change donc d'humeur, espère tout d'amour, Et tu seras bien tôt éclairé d'un beaujour.
I’aime cher Alidor, trop cherement ta vie, Pour ſouffrir qu’à ma faute elle te ſoit rauie Ie ſuis tant obligé de te la conſeruer.	J'aime cher Alidor, trop chèrement ta vie, Pour souffrir qu'à ma faute elle te soit ravie Je suis tant obligé de te la conserver.
Que ie me voudrois perdre, afin de te fauuer.	Que ie me voudrais perdre, afin de te sauver.
Ie viendray bien à bout de ce que ie meduse, Ie ſçay que Calirie eſtime ton merite, Ie viens de l’engager à te voir plus fouuent.	Je viendrai bien à bout de ce que Dieu méduse, Je sais que Calirie estime ton mérite, Je viens de l'engager à te voir plus souvent.
Et tu la cognoiſtras autre qu'auparauant, Remets-toy ſeulement.	Et tu la connaîtras autre qu'auparavant, Remets-toi seulement.
	
ALIDOR.	ÀLIDOR.
O Dieux!	Ô Dieux!
quelle iniuſtice, Me voulez-vous ſauuer pour vous mettre au ſupplice, Moy, dis-ie, dont l’amour vous offenſe ſi fort:	quelle injustice, Me voulez-vous sauver pour vous mettre au supplice, Moi, dis-je, dont l'amour vous offense si fort:
Non, non, O ronte, non, i’aime bien mieux la mort, Au moins ie n’auray plus l’horreur de vous deſplaire, Laiſſez-moy dõc mourir, ie n'ay qu’vn pas à faire.	Non, non, Ô ronte, non, j'aime bien mieux la mort, Au moins ie n'aurai plus l'horreur de vous déplaire, Laissez-moi dõc Seigneur, notre n'ai qu'un pas à faire.
Mon esprit abbattu des maux que ie reſſens Eſt preſt d’abandonner ces membres languiſſans:	Mon esprit abattu des maux que ici ressens Est prêt d'abandonner ces membres languissants:
Poſſedez Calirie, ô bien-heureux Oronte, Et ſouffrez que la mort vienne couurir ma honte	Possédez Calirie, ô bienheureux Oronte, Et souffrez que la mort vienne couvrir ma honte
ORONTE.	ORONTE.
Alidor ſi tu veux aduancer mon trespas, Tu n'as qu'a perſiſter à ne m’obeyr pas:	Alidor si tu veux avancer mon trépas, Tu n'as qu'a persister à ne m'obéir pas:
Mais s’il te reſſouuient auec quelle tendreſſe, I’ay long temps pris le ſoin d’eſleuer ta ieuneſſe, Que ie t’ay plus aimé, que tout ce que les Dieux Ont peu iuſqu'à preſent faire voir à mes yeux, Tu prendras le ſoucy de ſauuer ce que i'aime, Puis que de ta ſanté despend ma ſanté meſme, Promets-le moy mon fils.	Mais s'il te ressouvient avec quelle tendresse, J'ai long temps pris le soin d'élever ta jeunesse, Que tu t'ai plus aimé, que tout ce que les Dieux Ont pu jusqu'à présent faire voir à mes yeux, Tu prendras le souci de sauver ce que j'aime, Puis que de ta santé dépend ma santé rendre, Promets-le moi mon fils.
ALIDOR.	ÀLIDOR.
Vous puis-ie refuſer,	Vous puis-je refuser,
ORONTE.	ORONTE.
Me voila ſatisfait taſche de repoſer.	Me voilà satisfait tâche de reposer.
ALIDOR ſeul.	ÀLIDOR seul.
Que ie ſuis combattu de diuerſes penſees, Dont les vnes eſtant des autres effacees, Forment en mon eſprit tant de confuſion, Que tout ce qu’il m’a dit me ſemble illuſion.	Que ie suis combattu de diverses pensées, Dont les unes étant des autres effacées, Forment en mon esprit tant de confusion, Que tout ce qu'il m'a dit me semble illusion.
Quelle apparence außi qu’apres tant de ſeruices, Tant de ſoins, tãt d’amour, & tant de bõs offices, Qu'il n’a pas employez, que pour la poſſeder, Lors qu’il en eſt au poinct, il la vueille ceder, Non, non, c’eſt vn effect de noſtre reſuerie, Calirie aime Oronte, Oronte Calirie, Et l’on pourra pluſtoſt allumer des glaçons, Et rendre les rochers fertiles en moiſſons, Que de pouuoir iamais eſteindre ceſte flame, Qu'vn amour mutuel entretient dans leur ame:	Quelle apparence aussi qu’ apres Tant de soins, Tant de soins, tãt d'amour, et tant de bons offices, Qu'il n'a pas employez, que pour la posséder, Lors qu'il en est au point, il la veuille céder, Non, non, c'est un effet de notre rêverie, Calie aime Oronte, Oronte Calie, Et l'on pourra plutôt allumer des glaçons, Et rendre les rochers fertiles en moissons, Que de pouvoir jamais éteindre ceste flamme, Qu'un amour mutuel entretient entre leur âme:
Mourons doncques, mourons, & ceſſons d’eſperer Ce que ie ne dois pas ſeulement deſirer:	Mourons donc, mourons, et cessons d'espérer Ce que je ne dois pas seulement désirer:
Touresfois l’amitié qu’Oronte me teſmoigne Le que m'offrir le port, lors que ie m'en eſloigne, lo ou eſt touché ſi fort de mon ennuy, Que tene nurais pas ſi malade que luy, e mrat à ceſte amitié forte, Ctte nereceuois le bon-heur qu’il m’apporte.	Tourtefois l'amitié qu'Oronte me témoigne Le que m'offrir le port, lors que sans m'en éloigne, lo ou est touché si fort de mon ennui, Que téne nurais pas si malade que lui, e rat à cette amitié forte, Ctte nereceuois le bonheur qu'il m'apporte.
Mais voicy cét objet, autheur de mes douleurs, Voicy ces yeux vainqueurs cauſe de mes malheurs:	Mais voici cet objet, auteur de mes douleurs, Voici ces yeux vainqueurs cause de mes malheurs:
Adorons-la pourtant, c’eſt ſans idolatrie, m tiaieſté des Dieux ſe trouue en Calirie, Oronte ie vois bien que c'eſt ſans fiction Que tu me veux ayder en mon affection.	Adorons-la pourtant, c'est sans idolâtrie, m été des Dieux se trouve en Calirie, Oronte femme vois bien que c'est sans fiction Que tu me veux aider en mon affection.
ACTE PREMIER.	ACTE PREMIER.
SCENE VI.	SCÈNE VI.
CALIRIE.	CALIRIE.
ALIDOR.	ÀLIDOR.
CALIRIE.	CALIRIE.
Lidor voulés-vous eſtre touſiours malade, Durãt ceſte ſaiſon propre à la promenade, que tout ſe reſiouyt, que les champs ſont ſi beaux, Que les arbres ont pris de viſages nouueaux, Vous à qui la ieuneſſe, & la beauté promett ent Tous les plus doux plaiſirs que les Dieux nous permettent, Qui vertueux, courtois, prudent en vos diſcours Aux meilleurs entretiens deuez paſſer vos iours.	Lidor voulez-vous être toujours malade, Durant cette saison propre à la promenade, que tout se resiouyt, que les champs sont si beaux, Que les arbres ont pris de visages nouveaux, Vous à qui la jeunesse, et la beauté promett ent Tous les plus doux plaisirs que les Dieux nous permettent, Qui vertueux, courtois, prudent en vos discours Aux meilleurs entretiens devez passer vos jours.
Voulez-vous donc laiſſer voſtre ame enſeuelie Dans les noires vapeurs de la melancholie, Et pour quelque chagrin conceu legerement, Ruiner voſtre eſtime, & voſtre iugement, Chaqu'vn eſt eſtonné de vostre maladie, Voyant qu'elle s’accroit lors qu’on y remedie, Voſtre oncle qui n'eſt plus qu’vn corps demy viuãt Ne ſe peut conſeruer, ſinon en vous ſauuant, On dit publiquement, que ce n'est que triſteſſe, Que quelque desplaiſir dedans l’ame vous preſſe, Faut-il qu’vn deſplaiſir ſoit en vous ſi puiſſant Qu'il vous porte au deſir de vous voir languiſſant Non, non, braue Alidor, forcez ceſte manie, Chaſſez les mouuemens d’vn ſi triſte genie, Et recouurant bien toſt la force & la ſanté, Reprenez voſtre humeur, & voſtre gayeté, Que ſi vous perſiſtez en voſtre humeur farouche, On vous laiſſera ſeul languir dans voſtre couche, Perſonne ne voudra vous voir, ny vous ouyr, Ne parlez doncques plus que de vous reſiouyr.	Voulez-vous donc laisser votre âme ensevelie Dans les noires vapeurs de la mélancolie, Et pour quelque chagrin conçu légèrement, Ruiner votre estime, et votre jugement, Chaqu'un est estonné de votre maladie, Voyant qu'elle s'accroît lors qu'on y remèdie, Votre oncle qui n'est plus qu'un corps demi viuãt Ne se peut conserver, sinon en vous sauvant, On dit publiquement, que ce n'est que tristesse, Que quelque déplaisir dedans l'âme vous presse, Faut-il qu'un déplaisir soit en vous si puissant Qu'il vous porte au désir de vous voir languissant Non, non, Qu' Il, forcez ceste manie, Chassez les mouuemens si triste genie, Et recouurant bien tôt la force et la santé, Reprenez vôtre humeur, et vôtre gayeté, Que si vous persistez en or humeur farouche, On vous laissera seul languir dans te couche, Personne ne voudra vous voir, ni vous ouïr, Ne parlez on plus que de vous resiouyr,
ALIDOR.	ÀLIDOR.
Parfaite Calirie, adorable merueille, Dõt le prudẽt diſcours, tout d’vn coup me reſueille, Et tire mes esprits d’vn aſſoupiſſement, Qui n'euſt iamais finy que dans le monument, Quelque iuſte triſteſſe où mon ame ſe plonge, Et de quelque ſoucy dont mon esprit ſe ronge, Que ie me trouue heureux parmy tous mes ennuis, Puis que vous me plaignez en l’eſtat où ie ſuis, Et que voſtre pitié pour moy trop fauorable, Prend part aux desplaiſirs d’vn hõme miſerable, Si vous ſçauiez pourtant quelle iuſte raiſon Me fait chercher ma mort, & non ma gueriſon, Vous diriez qu'Alidor eſt digne du tonnerre, Qu'il ne mernt pusut mantner ſar taierre, Et qu'il deuoit mourir des le premier moment Raqui	Parfaite Calirie, adorable merveille, Domme le prudẽt discours, tout d'un coup me réveille, Et tire mes esprits d' assoupissement, Qui n'eût jamais fini que dans le monument, Quelque iuste tristesse où mon âme se plonge, Et de quelque souci dont mon esprit se ronge, Que je me trouve heureux parmi tous mes ennuis, Puis que vous me plaignez en l'état où je suis, Et que votre pitié pour moi trop favorable, Prend part aux déplaisirs d'un hé misérable, Si vous sauriez pourtant quelle juste raison M fait cher ma mort, et non ma mort, Vous diriez qu'Al est se du tonnerre, Qu'il ne mernt pusut mantner ie, Et qu'il deuoit mourir des le premier moment A
CALIRIE.	CALIRIE.
Pourſuiuez, ne craignez nullement.	Poursuivez, ne craignez nullement.
ALIDOR.	ÀLIDOR.
Ilidor que fais-tu, penſe à toninfortune, Elle eſt particuliere, & tu la rends commune:	Ilidor que fais-tu, pense à toninfortune, Elle est particulière, et tu la rends commune:
Beauté qui pouuez tout, accordez-moy ce point, Que s'il eſt commence, ie ne l'acheue point.	Beauté qui pouvez tout, accordez-moi ce point, Que s'il est commence, toujours ne l'achève point.
CALIRIE.	CALIRIE.
Vous voila retombé dans vostre reſuerie, Il vous faut diüertir,	Vous voilà retombé dans votre rêverie, Il vous faut divertir,
ALIDOR.	ÀLIDOR.
Aimable Calirie, L’honneur de vous parler, de vous voir ſeulemen Surpaſſe le plaiſir du diuertiſſement, Vn regard de vos yeux, vn mot de voſtre bouche Me peuuent releuer de ceste triſte couche, Vous ſeule pouuez plus que tous les Medecins, Qui nous voulans guerir deuiennent aſſaßins.	Aimable Calirie, L'honneur de vous parler, de vous voir seulemen Surpasse le plaisir du divertissement, Un regard de vos yeux, un mot de votre bouche Me peuvent relever de cette triste couche, Vous seule pouvez plus que tous les Médecins, Qui nous voulant guérir deviennent assassins.
CALIRIE.	CALIRIE.
Si par mon entretien, & ſi par mes viſites Vous pouuez Alidor, guerir comme vous dites, I’eſpere en peu de temps de vous voir en ſanté:	Si par mon entretien, et si par mes visites Vous pouvez Alidor, guérir comme vous dites, J'espère en peu de temps de vous voir en santé:
Repoſez là deſſus.	Reposez là -dessus.
ALIDOR lors qu’on cache le lict.	ÀLIDOR lors qu'on cache le lit.
O Ciel!	Ô Ciel!
que de bonté.	que de bonté.
Oronte, quel moyen de pouuoir recognoiſtre Ceſte extreme amitte que tu me fais paroiſtre.	Oronte, quel moyen de pouuoir reconnaître Cette extrême amitte que tu me fais paraître.
CALIRIE ſeule.	CALIRIE seule.
Ou ie me trompe fort, ou i’ay bien recognu La nature du mal dont il eſt detenu, Tous ces begayemens, ces tranſports, ces œillades Ne ſont pas accidẽs communs aux corps malades, Mais quoy qu’il en puiſſe eſtre, il faut continuër Iuſqu'à ce que ſon mal vienne à diminuër, Alors ayant parfait ce que demande Oronte, Ie luy teſmoigneray qu’il a mal fait ſon conte, Et que ſans l’amitié que ſon oncle a pour luy, I'aurois ſans me faſcher ſupporté ſon ennuy:	Ou personne me trompe fort, ou j'ai bien reconnu La nature du mal dont il est détenu, Tous ces begayemens, ces transports, ces œillades Ne sont pas accids communs aux corps malades, Mais quoi qu’il en puisse être, il faut continuer Jusqu'à ce que son mal vienne à diminuer, Alors ayant parfait ce que demande Oronte, Je lui témoignerai qu'il a mal fait son conte, Et que sans l'amitié que son oncle à pour lui, J'aurais sans me fâcher supporté son ennui:
Mais que ne peut Oronte, à qui dés mon enfance I'ay ſur mes volontez donné toute puiſſance.	Mais que ne peut Oronte, à qui dès mon enfance J'ai sur mes volontés donné toute puissance.
	
ACTE SECOND.	ACTE SECOND.
ORCANvieux Gentil-homme qui l’accompagne.	ORCANvieux Gentilhomme qui l'accompagne.
CENE I.	CÈNE I.
CINTILLE ſous le nom d’Alcandre.	CINTILE sous le nom d'Alcandre.
CINTILLE.	CINTILE.
’Ay bien changé de lieu, mais le me me ſoucy Qui me troubloit chez moy, m'affli ge encore icy.	Çà-li bien changé de lieu, mais le me me souci Qui me troublait chez moi, m'asli ge encore ici.
I’ay bien changé d’habit, mais non pas de fortune, Puis que la meſme ardeur encore m'importune,	J'ai bien changé d'habit, mais non pas de fortune, Puis que la même ardeur encore m'importune,
Que i'ay dedans le ſein, cét ennemy cruel Qui me rend en tous lieux le mal continuel.	Que j'ai dedans le sein, cet ennemi cruel Qui me rend en tous lieux le mal continuel.
Dieu dont la prouidence entretient toutes choſes, Qui des biens & des maux à ton plaiſir diſpoſes, As-tu fait noſtre ſexe ainſi foible & craintif, Pour le tenir touſiours iniuftement captif, L’as-tu fait ſans defenſe, afin qu’il ſoit la proye De ces monſtres cruels qui nous priuent de ioye De ces bommes ingrats, dont l’affront violent S’eſt acquis deſſus nous vn empire inſolent, Et bien ſi tu l’as fait, auec quelle iuſtice Es-tu noſtre ennemy, pour leur eſtre propice, Et pourquoy ſouffres-tu que nos yeux, & nos cœurs Se liguent contre nous pour ſuiure ces vainqueurs, Nous trouuons de douceurs en ces tyrans infames, Et nommons nos amis les bourreaux de nos ames, Nous les aimons alors qu’ils nous peuuent hayr, Et nous fions en ceux qui nous veulent trahyr.	Dieu dont la providence entretient toutes choses, Qui des biens et des maux à ton plaisir disposes, As-tu fait notre sexe ainsi faible et craintif, Pour le tenir toujours injustement captif, L'as-tu fait sans défense, afin qu'il soit la proie De ces monstres cruels qui nous privent de joie De ces bommes ingrats, dont l'affront violent S'est acquis dessus nous un empire insolent, Et bien si tu l'as fait, avec quelle justice Es-tu nôtre ennemi, pour leur être propice, Et pourquoi souffres-tu que nos yeux, et nos cœurs Se liguent contre nous pour suiure ces vainqueurs, Se trouvons de douceurs en ces tyrans infâmes, Et nommons nos amis le ur de nos ames, Nous les aimons alors ils nous peuuent haïr, Et nous fions en ceux qui nous veulent trahir.
ORCAN.	ORCAN.
Madame, où penſez-vous, finiſſez vos ſaillies, – 1– Les Dieux n’ont point de part en toutes vos folies, Leur prouidence eſt grande agiſſant deſſus nous, Pour vn homme trompeur ne les blaſmez pas tous,	Madame, où pensez-vous, finissez vos saillies, Les Dieux ont point de part en toutes vos folies, Leur prouidence est grande agissant dessus nous, Pour homme trompeur ne les blâmez pas tous,
CANTILLE.	CANTILE.
Orcan, que puis-ie faire, Alidor m’a ſeduite, I'ay quitté mon pays pour arreſter ſa fuite, I'ay laißse mes parens oublie mon deuoir, Pouxauoir le bon heur encore de le voir:	Orcan, que puis-je faire, Alidor m'a séduite, J'ai quitté mon pays pour arrêter sa fuite, J'ai laisse mes parents oublie mon devoir, Pouxavoir le bon heur encore de le voir:
vn nois s'eſt eſcoule depuis noſtre arriuée, Et ie me vois pourtant de ce hon-heur priuée.	un nois s'est écoule depuis notre arrivée, Et tu me vois pourtant de ce hon-heur privée.
ORGAN.	ORGAN.
Vne melancholie, à ce que l’on m’adit, Le tient depuis long temps malade dans vn lit, Sans qu'on puiſſe donner vne cauſe certaine Du cruel desplaiſir, dont s’entretient ſa peine, Peut-estre le remords que ſon ame reſſent D’auoir quitte vos yeux le rend ſi languiſſant, Et l’on le peut iuger auec quelque apparence.	Une mélancolie, à ce que l'on m'adit, Le tient depuis long temps malade dans un lit, Sans qu'on puisse donner une cause certaine Du cruel déplaisir, dont s'entretient sa peine, Peut-être le remords que son âme ressent D'avoir quitte vos yeux le rend si languissant, Et l'on le peut juger avec quelque apparence.
CINTILLE, Ah!	CINTILE, Ah!
ne me flatte point d’vne telle esperance.	ne me flatte point d'une telle rance.
ORCAN.	ORCAN.
Il faut voir Florintor, qui m'a deſia promis, Qil vous le feroit voir ſi toſt qu'il ſoit remis.	Il faut voir Florintor, qui m'a déjà promis, Qil vous le ferait voir si tôt qu'il soit remis.
CINTILLE.	CINTILE.
Mais il est amoureux ſi fort de Meliſſee, Qu'ilporte rarement autre part ſa penſee.	Mais il est amoureux si fort de Mélisse, Qu'ilporte rarement autre part sa pensée.
Le voicy, MN.	Le voici, MN.
CINEILLE.	CINEILLE.
Florintor.	Florintor.
FLORINTOR.	FLORINTOR.
Ie vous allois chercher, Alidor auiourd’huy commence de marcher, Ie le viens ue fauiur fort jainfan uupprendre, Qu’il eſtoit cher encor au ſouuenir d'Alcandre, Et ne tiendra qu'à vous que vous ne le voyez.	Je vous allais chercher, Alidor aujourd'hui commence de marcher, Je le viens ue faujur fort jainfan upprendre, Qu'il était cher encor au souvenir d'Alcandre, Et ne tiendra qu'à vous que vous ne le voyez.
CINTILLE.	CINTILE.
I'estime maintenant vos ſoins bien employez Allons-y,	J'estime maintenant vos soins bien employés Allons-y,
FLORINTOR.	FLORINTOR.
vous voyez auparauant la belle, PUIID iij Qui depuis ſi long temps ſe monstre ſi cruelle, Et nous viſiterons Alidor ſur le ſoir, Außi bien ne peut-on à ceſte heure lè voir.	vous voyez auparavant la belle, PUID jij Qui depuis si long temps se montre si cruelle, Et nous visiterons Alidor sur le soir, Aussi bien ne peut-on à cette heure lè voir.
INTILLE.	INTILE.
Allons ſi vous croyez que ie vous ſois vtile.	Allons si vous croyez que ici vous sois utile.
LORINTOR.	LORINTOR.
Ie croy que vos diſcours me la rendront facile.	Je crois que vos discours me la rendront facile.
ACTE SECOND.	ACTE SECOND.
duuade lle	duvade lèle
MELISSEE ſeule.	MELISE seule.
Ne ſecrette ardeur ſe gliſſe dans mes os, Qui me gaſte l’esprit, & m'oſte le repos.	Ne secrète ardeur se glisse dans mes os, Qui me gâte l'esprit, et m'ôte le repos.
Que fais-tu, ma raiſon, ſerois-tu bien laſſee De regler les transports qui troublent Meliſſee.	Que fais-tu, ma raison, serais-tu bien lassée De régler les transports qui troublent Mélisse.
Non, nõ, viens empeſcher que ce laſche vainqueur Te chaſſant de chez moy ne me gaigne le cœur, Que dis-ie qu’il ne gaigne, il le tient, il l’emporte, Et pour luy reſiſter tu n’es pas aſſez forte, Ceſte ieune beauté, ceſte aimable douceur, Que fait voir à mes yeux ce nouueau rauiſſeur, Ce teint pareil aux fleurs que lõ n'a point touchees,	Non, non, viens empêcher que ce lâche vainqueur Te chassant de chez moi ne me gagne le cœur, Que dis-je qu'il ne gagne, il le tient, il l'emporte, Et pour lui résister tu n'es pas assez forte, Cette jeune beauté, cette aimable douceur, Que fait voir à mes yeux ce nouveau ravisseur, Ce teint pareil ne fleurs pareil n'a point touchées,
Et mille autres beautez en ſon esprit cachees, Me rauiſſent les ſens, & forcent ma raiſon D’adorer ſon vainqueur, & d’aimer ma priſon, Reprens, reprens tes ſens, force ceste manie, Reiette les conſeils d’vn ſi mauuais genie, Mets-toy deuant les yeux l’humeur des ieunes gens, Qui ſe voyans aimez ſont plus deſobligeants, Ce n'eſt qu'vn eſtranger de qui la vaine gloire Mespriſera peut-eſtre vne telle victoire, Et s’il eſt engagé, ſon inſolent meſpris Luy fera negliger le cœur qu’il aura pris;	Et mille autres beautés en son esprit cache, Me ravissent les sens, et forcent ma raison D'adorer son vainqueur, et d'aimer ma prison, Reprends, reprends tes sens, force cette manie, Reiette les conseils d'un si mauvais génie, Mets-toi devant les yeux l'humeur des jeunes gens, Qui se voyant aimez sont plus désobligeants, Ce n'est qu'un étranger de qui la vaine gloire Mesprisera peut-être une telle victoire, Et s'il est engagé, son insolent mépris fera négliger le cœur qu'il aura pris;
Inutiles penſers, images effacées Par celles que l’amour a dans mon cœur tracées, Foibles reffentimens ne me reſiſtez plus, Voſtre deſir eſt vain, vos efforts ſuperflus.	Inutiles pensers, images effacées Par celles que l'amour a dans mon cœur tracées, Faibles ressentiments ne me résistez plus, Votre désir est vain, vos efforts superflus.
L’adorable ſuiet de mon inquietude A de perfections, qui ſont tout mon eſtude, Qui ſont tout mõ bonheur, ma raiſon & mes ſoins.	L'adorable sujet de mon inquiétude À de perfections, qui sont tout mon étude, Qui sont tout mon bonheur, ma raison et mes soins.
Inſenſibles obiets, vous en eſtes teſmoins, Io ne l’ay dit qu’à vous, car mon ardeur ſecrette	Insensibles objets, vous en êtes témoins, Jo ne l'ai dit qu'à vous, car mon ardeur secrète
