MONSEIGNEVR,	MONSEIGNEUR,
POLEXANDRE.	POLEXANDRE.
Ie veux croire que vous n’auez iamais deſiré cét honneur, quoy que vous le meritiez.	Je veux croire que vous n'avez jamais désiré cet honneur, quoi que vous le méritiez.
Mais puiſque la Fortune vous le preſente, vous auez l’eſprit trop bon pour le refuſer.	Mais puisque la Fortune vous le présente, vous avez l'esprit trop bon pour le refuser.
ARTHENICE.	ARTHENICE.
Ie ne remercieray iamais la Fortune de cette ſorte de preſens.	Je ne remercierai jamais la Fortune de cette sorte de présents.
.	.
.	.
1 Gveau.	1 Guveau.
POLEXANDRE.	POLEXANDRE.
Ne ſeriez-vous pas heureuſe de poſſeder les bonnes graces du plus grand Monarque du monde?	Ne seriez-vous pas heureuse de posséder les bonnes grâces du plus grand Monarque du monde?
ARTHENICE.	ARTHENICE.
Mon honneur n’eſt point à vendre, pour acheter vn bien ſi cher.	Mon honneur n'est point à vendre, pour acheter un bien si cher.
POLEXANDRE.	POLEXANDRE.
Ce n’eſt pas intereſſer voſtre honneur, que dele mourbutubfy d’vn Scepero cod vrie Couronne.	Ce n'est pas intéresser votre honneur, que dele mourbutubfi d'Un Scepéro cod vrie Couronne.
ARTHENICE.	ARTHENICE.
Ttori, pourueu que ie porte ce Sceptre à la main, & cette Couronne ſur la teſte.	Ttori, pourvu que ainsi porte ce Sceptre à la main, et cette Couronne sur la tête.
POLEXANDRE.	POLEXANDRE.
Ne vous ſuffit-il pas de Regner?	Ne vous suffit-il pas de Regner?
ARTHENICE.	ARTHENICE.
Eſt-ce Regner que d’eſtre Eſclaue?	Est-ce Règner que d'être Esclave?
POLEXANDRE.	POLEXANDRE.
Eſt-ce eſtre Eſclaue que de commander à vn Souuerain?	Est-ce être Esclave que de commander à un Souuerain?
ARTHENICE.	ARTHENICE.
l’aimemieux obeïr à la Raiſon.	l'aimemieux obéir à la Raison.
E iij	 Ejà
POLEXANDRE.	POLEXANDRE.
La Raiſon veut auſſi que vous ne refuſiez pas le preſent que le Roy vous fait de ſon cœur.	La Raison veut aussi que vous ne refusiez pas le présent que le Roi vous fait de son cœur.
ARTHENICE.	ARTHENICE.
Son cœur n’eſt plus à luy:	Son cœur n'est plus à lui:
vne autre le poſſede.	une autre le possède.
TOADIINDRE.	TOADINDRE.
Que vous importe cela, puis qu’il ne ſoupite dua peurvous?	Que vous importe cela, puis qu'il ne soupite dua peurvous?
ARTHENICE.	ARTHENICE.
Mon ambition ne ſe repaiſt pas de vent.	Mon ambition ne se repaît pas de vent.
POLEXANDRE.	POLEXANDRE.
Le Reoy ne pout vous erpourer, pource que la Reine vit encore.	Le Reoi ne pout vous erpourer, pource que la Reine vit encore.
ARTHENICE.	ARTHENICE.
Et ie ne ſçaurois l’aimer, pource que mon honneur me le deffend.	Et ici ne saurais l'aimer, pource que mon honneur me le défend.
POLEXANDRE.	POLEXANDRE.
Voulez vous qu’il perde ſes Eſtats pour vous contenter?	Voulez -vous qu'il perde ses États pour vous contenter?
ARTHENICE.	ARTHENICE.
vouien vous que le Iume ma Ieputation pour le ſatisfaire?	vouien vous que le Jume ma Jeputation pour le satisfaire?
POLEXANDRE.	POLEXANDRE.
Vous eſtes bien delicate, de refuſer vn Roy pour Seruiteur.	Vous êtes bien délicate, de refuser un Roi pour Serviteur.
ARTHENICE.	ARTHENICE.
VUI UUI Ie ſerois bien plus fole encore, ſi ie l’acceptois pour Maiſtre.	VVI VVI Ie serais bien plus sole encore, si ici l'acceptais pour Maître.
POLEXANDRE.	POLEXANDRE.
Quel plus grand aduantage ſçauriez vous ſouhaitter?	Quel plus grand avantage sauriez vous souhaiter?
ARTHENICE.	ARTHENICE.
Celuy de viure & de mourir dans la condition d’honneur que ie profeſſe.	Celui de vivre et de mourir dans la condition d'honneur que je professe.
POLEXANDRE.	POLEXANDRE.
La condition de ſa Maiſtreſſe eſt fort honorable.	La condition de sa Maîtresse est fort honorable.
ARTHENICE.	ARTHENICE.
Celle de Fille de bien l’eſt encore plus.	Celle de Fille de bien l'est encore plus.
POLEXANDRE.	POLEXANDRE.
Si vous ne l’eſtiez le Roy ne vous aymeroit point.	Si vous ne l'étiez le Roi ne vous aimerait point.
Linl22 110 1	Linl22 110 1
ARLHENTCE.	ARLHENTCE.
I’en veux conſeruer auſſi la qualité, pour me rendre plus digne de ſes bonnes graces.	J'en veux conserver aussi la qualité, pour me rendre plus digne de ses bonnes grâces.
POLEXANDRE.	POLEXANDRE.
Voſtre Beauté ſuffit, pour faire voſtre Fortune.	Votre Beauté suffit, pour faire votre Fortune.
ARTHENICE.	ARTHENICE.
Ma Fortune eſt faite, puiſque ie ſuis contente.	Ma Fortune est faite, puisque je suis contente.
POLEXANDRE.	POLEXANDRE.
Où trouuez vous du ſentiment, hors dedla condition ſouueraine qu’on vous preſente?	Où trouvez -vous du sentiment, hors dédlà condition souveraine qu'on vous présente?
ARTHENICE.	ARTHENICE.
Ie ne veux eſtre abſoluë que ſur mes paſſions.	Je ne veux être absolue que sur mes passions.
POLEXANDRE.	POLEXANDRE.
La Vertu n’eſt point ennemie de la Fortune.	La Vertu n'est point ennemie de la Fortune.
ARTHENICE.	ARTHENICE.
Celle qu’on me preſente ne peut compâtir auec mon honneur.	Celle qu'on me présente ne peut compatir avec mon honneur.
POLEXANDRE.	POLEXANDRE.
L’honneur de voſtre Sexe n’eſt qu’vne Chimere.	L'honneur de votre Sexe n'est qu'une Chimère.
2MiiMlo Mi La Fortune de la Cour n’eſt qu’vn Fantoſme.	2MiMlo Mi La Fortune de la Cour n'est qu'un Fantôme.
POLEAANDRE.	POLEANDRE.
Ce Fantoſme eſt l’Idole des cœurs ambitieux.	Ce Fantôme est l'Idole des cœurs ambitieux.
ARTHENICE.	ARTHENICE.
Dites pluſtoſt que c’eſt l’Autel où le plus ſouuent ils ſeruent de Victimes.	Dites plutôt que c'est l'Autel où le plus souvent ils servent de Victimes.
POLEXANDRE.	POLEXANDRE.
Les Trônes ont beaucoup d’appas, & de charmes.	Les Trônes ont beaucoup d'appas, et de charmes.
ARTHENICE.	ARTHENICE.
Ils n’ont pas moins de ſoucis & d’eſpines.	Ils n'ont pas moins de soucis et d'épines.
POLEXANDRE.	POLEXANDRE.
Vous eſtes d’humeur auiourd’huy à meſpriſer les grandeurs.	Vous êtes d'humeur aujourd'hui à mépriser les grandeurs.
ARTHENICE.	ARTHENICE.
Ie ſuis touſiours d’humeur à ne me laiſſer point center d lould tames apparences.	Je suis toujours d'humeur à ne me laisser point center d ould tames apparences.
POLEXANDRE.	POLEXANDRE.
le vous trouue bien farouche.	le vous trouve bien farouche.
AIeTIIENICE.	AIeTIIENICE.
Ie vous trouue bien hardy.	Je vous trouve bien hardi.
POLEXANDRE.	POLEXANDRE.
Ie ne ſuis hardy que pour voſtre intereſt.	Je ne suis hardi que pour votre intérêt.
ARTHENICE.	ARTHENICE.
Ie ne ſuis farouche que pour luy meſme.	Je ne suis farouche que pour lui -même.
POLEXANDRE.	POLEXANDRE.
Voſtre Beauté ſe paſſera, Arthenice.	Votre Beauté se passera, Arthénice.
ARTHENICE.	ARTHENICE.
Ma reputation durera touſiours, Polexandre.	Ma réputation durera toujours, Polexandre.
POLEXANDRE.	POLEXANDRE.
Vne fille a beau eſtre vertueuſe, tout le monde la fuit, quand la Pauureté l’accompagne.	Une fille a beau être vertueuse, tout le monde la fuit, quand la Pauvreté l'accompagne.
ARTHENICE.	ARTHENICE.
Vne fille a beau eſtre riche, tout le monde lameſpriſe, quand la Vertu l’abandonne.	Une fille a beau être riche, tout le monde lamesprise, quand la Vertu l'abandonne.
POLEXANDRE.	POLEXANDRE.
Screz vous tounours de cette humeur?	Screz -vous tounours de cette humeur?
ARTHENICE.	ARTHENICE.
Me parlerez vous touſiours de la ſorte?	Me parlerez -vous toujours de la sorte?
TOLEAANDRE.	TOLEANDRE.
Ie vous parle auec franchiſe.	Je vous parle avec franchise.
ARTHENICE.	ARTHENICE.
Ie vous reſpons auec raiſon.	Je vous réponds homme raison.
POLEXANDRE.	POLEXANDRE.
Eſt-ce voſtre derniere volonté?	Est-ce votre dernière volonté?
ARTHENICE.	ARTHENICE.
Ie ne ſuis point capable d’en auoir d’autre.	Je ne suis point capable d'en avoir d'autre.
POLEXANDRE.	POLEXANDRE.
Que deuiendra le Roy?	Que deviendra le Roi?
ARTHENICE.	ARTHENICE.
Ce qu’il luy plaira.	Ce qu'il avait plaira.
PO LEXANDRE.	PÔ LEXANDRE.
Que voulez vous que ie luy die?	Que voulez -vous que ie luy die?
ARTHENICE.	ARTHENICE.
Ce que vous voudrez.	Ce que vous voudrez.
POLEXANDRE.	POLEXANDRE.
Que doit-il eſperer de ſes pourſuittes?	Que doit-il espérer de ses poursuittes?
Aeeiiz ARTHENICE.	Aeeiiz ARTHÉNICE.
POLEXANDRE.	POLEXANDRE.
Encore vn mot.	Encore un mot.
Adieu.	Adieu.
ARTHENICE.	ARTHENICE.
Adieu donc.	Adieu donc.
POLEXANDRE.	POLEXANDRE.
Fin du locond Aete.	Fin du locond Aète.
I1 A 2 –	I1 A 2 
SCENE PREMIERE.	SCÈNE PREMIÈRE.
POLEXANDRE, ſeul.	POLEXANDRE, seul.
Que la conqueſte de cette Beauté couſtera de ſoupirs & de larmes!	Que la conquête de cette Beauté coûtera de soupirs et de larmes!
Ie preuoy que le feu de ſes yeux reduira en cendre cét Empire;	Je prévois que le feu de ses yeux réduira en ce cét Empire;
que ſes traits bleſſeront à mort mille cœurs innocens;	que ses traits blesseront à mort mille cœurs innocents;
& que ſes charmes tous funeſtes, ſeront autant d’écueils à ceux qui auront le courage de reſiſter à ſa Tyrannie.	et que ses charmes tous funestes, seront autant d'écueils à ceux qui auront le courage de résister à sa Tyrannie.
O Ciel!	Ô Ciel!
iuſte Ciel!	iuste Ciel!
il n’appartient qu’à toy de donner des courtes limites à ſa puiſſance, puis qu’elle menace de ruine tes Autels.	il n'appartient qu'à toi de donner des courtes limites à sa puissance, puis qu'elle menace de ruine tes Autels.
Allume dono tes flames vangereſſes, pour eſteindre les ſiennes impudiques, ſi tu en veux euiter l’embraſement.	Allume dono si flames vangeresses, pour éteindre les siennes impudiques, si tu en veux éviter l'embrasement.
Mais quelle reſponce feray-ie au Roy?	Mais quelle réponse ferai-je au Roi?
i’apprehende ſon abord, & beaucoup plus encore ſes reproches.	j'appréhende son abord, et beaucoup plus encore ses reproches.
Toutefois mon eſtonnement & mon ſilence donnant quelque forte de complaiſance à ſa paſſion, il ſe ſatisfera luy meſme, & ſera rauy de ſçauoir que mes perſuaſions ont eſté inutiles, dans vn deſſein où il croit reüſſir par la ſeule force de ſon Amour:	Toutefois mon étonnement et mon silence donnant quelque forte de complaisance à sa passion, il se satisfera au mesme, et sera ravi de savoir que mes persuasions ont été inutiles, dans un dessein où il croit réussir par la seule force de son Amour:
le voicy venir.	le voici venir.
2 EN LE ROY.	2 EN LE ROY.
T bien, Polexandre, n’eſt-elle pas inexorable?	T bien, Polexandre, n'est-elle pas inexorable?
parle hardiment:	parle hardiment:
mais pourM quoy veux-ie te faire parler, ſi ton ſilence exprime deſia tout ce que tu as à me dire?	mais pourM quoi veux-je te faire parler, si ton silence exprime déjà tout ce que tu as à me dire?
Il ne fut iamais de rigueur pareille à la ſienne:	Il ne fut jamais de rigueur pareille à la sienne:
mais comme ſa Vertu égale ſa Cruauté;	mais comme sa Vertu égale sa Cruauté;
toutes les fois que ie m’en plains, mon viſage rougit de honte, pour me faire porter la peine de l’Iniuſtice que ie commets.	toutes les fois que je m'en plains, mon visage rougit de honte, pour me faire porter la peine de l'Iniustice que sans commets.
Qu’eſt-ce donc qu’elle t’a dit?	Qu'est-ce donc qu'elle t'a dit?
POLEXANDRE.	POLEXANDRE.
Rien du tout:	Rien du tout:
ſa Vertu m’a touſiours reſpondu pour elle.	sa Vertu m'a toujours répondu pour elle.
LE ROY.	LE ROY.
Tu m’en apprens aſſez en peu de mots :	Tu m'en apprends assez en peu de mots :
la crainte me ſaiſit:	la crainte me saisit:
l’eſperance m’abandonne, à qui doy-ie auoir recours?	l'espérance m'abandonne, à qui dois-je avoir recours?
POLEXANDRE.	POLEXANDRE.
A voſtre Puiſſance.	À votre Puissance.
EENOT.	EENOT.
Que puis-ie dans mon aueuglement?	Que puis-je dans mon aveuglement?
POLEXANDRE.	POLEXANDRE.
Prendre par torce ce que la Raiſon vous refuſe.	Prendre par torce ce que la Raison vous refuse.
LE ROY.	LE ROY.
L’Amour m’en oſte le courage.	L'Amour m'en ôte le courage.
POLEXANDRE.	POLEXANDRE.
Il ſuffit qu’il vous en donne le deſir.	Il suffit qu'il vous en donne le désir.
EEROT l'en aimerois mieux l’eſperance.	EEROT l'en aimerais mieux l'espérance.
POLEXANDRE.	POLEXANDRE.
Et voſtre authorité vous en peut donner la poſſeſſion.	Et votre autorité vous en peut donner la possession.
LE ROY.	LE ROY.
Dés que l’Amour me banda les yeux, il m’arracha la Couronne de la teſte;	Dès que l'Amour me banda les yeux, il m'arracha la Couronne de la tête;
& du meſme coup qu’il bleſſa mon cœur, il me fit tomber le Sceptre des mains.	et du même coup qu'il blessa mon cœur, il me fit tomber le Sceptre des mains.
Ie ne regne plus, Polexandre;	Je ne règne plus, Polexandre;
Arthenice occupe ma place:	Arthénice occupe ma place:
ie luis ſujet auſſi bien que toy,	Elle luis sujet aussi bien que toi,
POLEXANDRE.	POLEXANDRE.
Ie veux qu’elle ait des qualitez dignes d’vn Empire:	Je veux qu'elle ait des qualités dignes d'un Empire:
mais auant que voſtre Majeſté change ſon Amour en Idolatrie, qu’elle conſidere que c’eſt vne Idole qui luy demande deſia en Sacriſice ſon Honneur, ſa Femme, ſes Enfans, & vn nombre infiny de Subiets, dont la fidelité n’aura iamais d’exemple.	mais avant que votre Majesté change son Amour en Idolâtrie, qu'elle considère que c'est une Idole qui avait demande déjà en Sacrisice son Honneur, sa Femme, ses Enfants, et un nombre infini de Subiets, dont la fidélité n'aura jamais d'exemple.
LE ROY.	LE ROY.
Ha!	Ha!
Polexandre, tu ne ſçais que c’eſt que d’aimer:	Polexandre, tu ne sais que c'est que d'aimer:
le luis capable de toutes choſes, fors que de Raiſon.	le luis capable de toutes choses, fors que de Raison.
Mon Empire, mon honneur, ma femme, mes enfans, & tous mes ſubiets enſemble, me ſont vn ſujet de haine deuant cét Obiet de mon Amour.	Mon Empire, mon honneur, ma femme, mes enfants, et tous mes sujets ensemble, me sont un sujet de haine devant cet Obiet de mon Amour.
POLEXANDRE.	POLEXANDRE.
Ie ſçay bien qu’imiour eit viie flaiadie qui trouble également l’Eſprit & les Sens:	Je sais bien qu'imiour éit viie flaiadie qui trouble également l'Esprit et les Sens:
mais à toute extremité la ioüiſſance en eſt le remede:	mais à toute extrémité la jouissance en est le remède:
ſa conqueſte ne couſtera à V.	sa conquête ne coûtera à V.
M.	M.
qu’vn peu de patience:	qu'un peu de patience:
le temps la luy liurera entre les mains.	le temps la lui livrera entre les mains.
LE	LE
LE ROY.	LE ROY.
Oſes-tu me preſcher la patience, me voyant tout en feu?	Oses-tu me prêcher la patience, me voyant tout en feu?
Ie brûle, mais d’vne flâme eternelle;	Je brûle, mais d'une flamme éternelle;
comme ſi mon corps eſtoit deſia l’Enfer dont iion ame eit menacee.	comme si mon corps était déjà l'Enfer dont jion âme eit menacée.
Soulage ſeulement mon mal, puis qu’il eſt ſans remede.	Soulage seulement mon mal, puis qu'il est sans remède.
Que dis-tu de ſa Beauté?	Que dis-tu de sa Beauté?
POLEXANDRE.	POLEXANDRE.
Ehe elt auiiables	Ehe ellet aujables
LE ROY.	LE ROY.
As-tu pris garde à ſes yeux?	As-tu pris garde à ses yeux?
TOLEXANDRE.	TOLEXANDRE.
Ils ſont charmans.	Ils sont charmants.
LE ROY.	LE ROY.
Que te ſemble de ſon teint?	Que te semble de son teint?
POLEXANDRE.	POLEXANDRE.
Il eſt ſans pareil.	Il est sans pareil.
LE ROY.	LE ROY.
Ha!	Ha!
Polexandre, tu me bleſſes de nouueau.	Polexandre, tu me blesses de nouveau.
POLEXANDRE.	POLEXANDRE.
C’eſt V.	C'est V.
M.	M.
qui ſe bleſſe elle meſme:	qui se blesse elle -même:
les traits qu'elle m elanee Ieſaiment Iur enc.	les traits qu'elle m élancée Jésaiment Jur enc.
LE ROY.	LE ROY.
Ie ne m’en plains pas:	Je ne m'en plains pas:
dy m’en dauantage;	dis m'en davantage;
mais ne me flatte point.	mais ne me flatte point.
11G2	11G2
POLEXANDRE.	POLEXANDRE.
Il faut donc que ie change de diſcours.	Il faut donc que Ne change de discours.
LE ROY.	LE ROY.
N’eſt-il pas vray que ſes regards ne ſont quefeu?	N'est-il pas vrai que ses regards ne sont quefu?
POLEXANDRE.	POLEXANDRE.
Ie l’auouë, mais ſon cœur n’eſt que glace.	Je l'avoue, mais son cœur n'est que glace.
LE RCOI Son Eſprit n’eut iamais de pareil.	LE RCOI Son Esprit n'eut jamais de pareil.
POLEXANDRE.	POLEXANDRE.
Et ſa Vertu auſſi n’aura iamais d’exemple.	Et sa Vertu aussi n'aura jamais d'exemple.
LE ROY.	LE ROY.
Pourquoy louës-tu ſi fort mon Ennemie?	Pourquoi loues-tu si fort mon Ennemie?
Ne ſçais-tu pas que ſa Vertu a pris les armes contre moy;	Ne sçais-tu pas que sa Vertu a pris les armes contre moi;
& que mon Deſtin a mis entre ſes mains les Couronnes de la Victoire?	et que mon Destin a mis entre ses mains les Couronnes de la Victoire?
mon mal-heur dans ſon excés ne peut s’égaler qu’à mon Amour:	mon malheur dans son excès ne peut s'égaler qu'à mon Amour:
mais voicy l’Objet de ma haine.	mais voici l'Objet de ma haine.
.	.
a -c.	a -ça
Av III LA REINE, ſuiuie de Cleonice, parlanit au Roy.	Av III LA REINE, suivie de Cléonice, parlanit au Roi.
LA REINE.	LA REINE.
ANS le bruit qui court que voſtre Maieſté * me veut repudier, ie viens en apprendre le ſujet de ſa Bouche, pour me punir moy meſme la premiere, ſi i’ay failly.	ANS le bruit qui court que votre Majesté * me veut répudier, Seigneur viens en apprendre le sujet de sa Bouche, pour me punir moi -même la première, si j'ai failli.
LE ROY.	LE ROY.
Madame, ie ne me porteray iamais à cette extremité, ſans y eſtre contraint.	Madame, Seigneur ne me porterai jamais à cette extrémité, sans y être contraint.
On peut dire ce qu’on voudra:	On peut dire ce qu'on voudra:
ie ne feray que ce que ie dois.	Ne ne ferai que ce que ici dois.
LA REINE.	LA REINE.
Monſieur, il faut bien que ie croye ce que ie voy.	Monsieur, il faut bien que Dieu croie ce que je vois.
LE ROT.	LE ROT.
Que voyez vous, Madame?	Que voyez -vous, Madame?
LA REINE.	LA REINE.
Voſtre bandeau, & vos chaines.	Votre bandeau, et vos chaines.
LE ROY.	LE ROY.
Ie ne ſuis ny Aueugle, ny Captif.	Je ne suis ici Aveugle, ni Captif.
LA REINE.	LA REINE.
Eroue ca Bien mai aiſé, Monſieur de cacher voſtre paſſion, puis qu’elle tient également & vôtre cœur aux fers, & mon Ame à la geſne.	Éroue ca Bien mai aisé, Monsieur de cacher votre passion, puis qu'elle tient également et votre cœur aux fers, et mon Âme à la gêne.
LE ROY.	LE ROY.
Mon Amour eſt trop iuſte pour la cacher, & ſon ſujet trop beau, pour n’en publier pas le nom & les perfections.	Mon Amour est trop juste pour la cacher, et son sujet trop beau, pour n'en publier pas le nom et les perfections.
LA REINE.	LA REINE.
Voſtre exeiple ie feruira touſiours de raifon pour l’eſtimer beaucoup.	Votre exeiple On servira toujours de raison pour l'estimer beaucoup.
Mais ne permettez pas, Monſieur, que ſon merite faſſe mon crime;	Mais ne permettez pas, Monsieur, que son mérite fasse mon crime;
& qu’à force de l’aimer, ie ne deuienne à là fin le ſujet de voſtre haine.	et qu'à force de l'aimer, je ne devienne à là fin le sujet de votre haine.
LE ROY.	LE ROY.
Si ſa Beauté vous donne de la jalouſie, ſa Vertu vous l’oſtera bien toſt.	Si sa Beauté vous donne de la jalousie, sa Vertu vous l'ôtera bien tôt.
LA REINE.	LA REINE.
Ie n’enuie ny l’vne ny l’autre:	Je n'envie ici l'une apprendre l'autre:
mais i’apprehende que toutes deux enſemble ne m’oſtent le Setpteceamanda.	mais j'appréhende que toutes deux ensemble ne m'ôtent le Setpteamanda.
LE ROY.	LE ROY.
Qui vous peut cauſer cette crainte?	Qui vous peut causer cette crainte?
LA REINE.	LA REINE.
Voſtre nouuelle paſſion.	Votre nouvelle passion.
LE ROY.	LE ROY.
Elle eſt trop innocente pour vous nuire.	Elle est trop innocente pour vous nuire.
LAREINE.	LAREINE.
21100 11200 Si elle eſt innocente auiourd’huy, demain elle peut eſtre criminelle.	21100 11200 Si elle est innocente aujourd'hui, demain elle peut être criminelle.
LE ROY.	LE ROY.
Attendez donc iuſques apres-demain à m’en faire des reproches.	Attendez donc jusques après-demain à m'en faire des reproches.
LA REINE.	LA REINE.
Il n’en ſera plus temps.	Il n'en sera plus temps.
LEROY.	LEROY.
Me voulez vous condamner auant qu’eſtre coupable?	Me voulez -vous condamner avant qu'être coupable?
LA REINE.	LA REINE.
Non, Monſieur, mais ie vous accuſe, pour	Non, Monsieur, mais rien vous accuse, pour
G 1 vous eliipelener de le deuem	G 1 vous eliipelener de le devem
2 LE ROY.	2 LE ROY.
Il y a vn peu de tyrannie, Madame, en voſtre procedé.	Il y a un peu de tyrannie, Madame, en votre procédé.
TITT	TITT
dir le d a a umo Mais il y a beaucoup d’Amour.	dir le dès a a umo Mais il y a beaucoup d'Amour.
&dicd ro 1M120y 100u oHo Viuez en repos, & ne troublez pas le mien de vos ſoubçons imaginaires.	etdicd ro 1M120i 100 oHo Vivez en repos, et ne troublez pas le mien de vos soubçons imaginaires.
QHa H I1I LA REINE.	QHa H I1I LA REINE.
hsa mimtooillo lus Ne voulez vous pas que ie crie au feu, ſi ie vous voy bruſler d’vne flame qui me doit reduire en cendre?	hsa mimtooilo lus Ne voulez -vous pas que sans crie au feu, si ie vous vois brûler d'une flamme qui me doit réduire en cendre?
LE ROY.	LE ROY.
niqu (0b 310 Si vous apprehendez ſon ardeur, la fuitte vous peut guerir de cette crainte.	niqu (0b 310 Si vous appréhendez son ardeur, la fuite vous peut guérir de cette crainte.
1auDIRTII	1auDIRTII
LA REINE.	LA REINE.
Mais en fuyant i’abandonne mon honneur, qui m’eſt plus cher que la vie.	Mais en fuyant j'abandonne mon honneur, qui m'est plus cher que la vie.
DAMM	DAM
LE ROY.	LE ROY.
l’auray ſoin de le conſeruer, puis qu’il fait	l'aurai soin de le conserver, puis qu'il fait
aàa dim jobgot el iucislgpons daidv el LA REINE ſeule auec Cleonice.	aà dim jobgot el jucislgpons daidu el LA REINE seule avec Cléonice.
Chere Couſine, que peut-on adiouſter à mon mal-heur, pour me rendre la plus miſerable Princeſſe du monde?	Chère Cousine, que peut-on ajouter à mon malheur, pour me rendre la plus misérable Princesse du monde?
On me laiſſe la Vie, & l’on veut m’oſter l’Honneur.	On me laisse la Vie, et l'on veut m'ôter l'Honneur.
Puis-ie ſouffrir que le Soleil m’eſclaire, n’eſtant plus couuerte que de honte & d’infamie?	Puis-je souffrir que le Soleil m'éclaire, n'étant plus couverte que de honte et d'infamie?
Ie connois trop que le Roy eſt reſolu de me repudier:	Je connais trop que le Roi est résolu de me répudier:
mais ie voudrois bien ſçauoir encore, ſi Arthenice eſt complice de ſon deſſein.	mais ici voudrais bien savoir encore, si Arthénice est complice de son dessein.
Il faut de neceſſité que ie luy parle:	Il faut de nécessité que ici avait parle:
ſon viſage, ſon action, ou ſes diſcours me feront voir au dehors tout ce qu’elle a dans l’ame;	son visage, son action, ou ses discours me feront voir au dehors tout ce qu'elle a dans l'âme;
& en toute extremité, ie luy feray apprehender le bien qu’elle deſire.	et en toute extrémité, imaires ferai appréhender le bien qu'elle désire.
CLEONICE.	CLÉONICE.
Madame, V.	Madame, V.
M.	M.
ſe peut donner ce contentement:	se peut donner ce contentement:
mais ie ne ſçaurois me perſúader qu’vne perſonne de cette condition ait l’audace ſeulement de meſurer ſon corps à voſtre ombre.	mais ici ne saurais me persader qu'une personne de cette condition ait l'audace seulement de mesurer son corps à votre ombre.
Les Trônes des Rois ſont enuironnez d’eſclairs qui menacent de la foudre tous ceux qui s’en approchent.	Les Trônes des Rois sont environnés d'éclairs qui menacent de la foudre tous ceux qui s'en approchent.
2	2
LA REINE.	LA REINE.
La vanité aueugle tout le monde;	La vanité aveugle tout le monde;
mais cét aueuglement ſera funeſte pour elle.	mais cet aveuglément sera funeste pour elle.
ATLTV oun iiur amin MM uM ARTHENICE, ET AMELITE.	ATLT oun jivr amin MM UM ARTHENICE, ET AMELITE.
2iiEearn.	2iEearn.
A Fille, on tient que le Roy vous veut eſMpouſer;	À Fille, on tient que le Roi vous veut esMpouser;
c’eſt à vous d’y penſer, ſi vous eſtes ſage.	c'est à vous d'y penser, si vous êtes sage.
ARTHENICE.	ARTHENICE.
Madame, ie croy que la vraye ſageſſe conſiite a il y pelnrer famlais, gontiſiene puis-ie eſpouſer vn homme marié?	Madame, ie crois que la vraie sagesse consiite à il y pelnrer famlais, gontisiene puis-je épouser un homme marié?
AMEL'ITE.	AMEL'ITE.
Sa Maieſté en cherchera les moyens:	Sa Maiesté en cherchera les moyens:
ce ne ſont pas vos affaires.	ce ne sont pas vos affaires.
ARTHENICE.	ARTHENICE.
Elle les peut chercher pour ſon contentement:	Elle les peut chercher pour son contentement:
mais ie les dois trouuer pour mon intereſt.	mais ici les dois trouver pour mon intérêt.
AME	ÂME
AMELITE.	AMELITE.
Que craignez vous auec vn Sceptre à la main,  vhe Gourome rur lajcente?	Que craignez -vous auec vn Sceptre à la main, vhe Gourome rur lajente?
vn pouuoir abſolu ne trouue iamais de reſiſtance.	Hé pouvoir absolu ne trouve jamais de résistance.
ARTHENICE.	ARTHENICE.
Si la Tyrannie me fait regner, croyez vous que mes delices ſoient de la meſure de mes grandeuru.	Si la Tyrannie me fait régner, croyez vous que mes délices soient de la mesure de mes grandeuru.
le veux que la Portune du monde ſoit enchainée à mes pieds;	le veux que la Portune du monde soit enchainée à mes pieds;
les foudres du Ciel ne laiſſeront pas de gronder ſur ma teſte:	les foudres du Ciel ne laisseront pas de gronder sur ma tête:
eſtes vous iaBeule de llonconcencomenes	êtes -vous jaBeule de llonconcencomenes
AMELITE.	AMELITE.
La qualité de Reine fait repoſer à leur aiſe les plus inquietées.	La qualité de Reine fait reposer à leur aise les plus inquiétées.
ARTHENICE.	ARTHENICE.
L’eſclat d’vn Trône ne rejalit iamais dans vn cœur affligé.	L'éclat d' Trône ne rejalit jamais dans un cœur affligé.
AMELITE.	AMELITE.
Vous ne ſçauez pas encore, ma Fille, le plaiſir qu’il y a de commander.	Vous ne savez pas encore, ma Fille, le plaisir qu'il y a de commander.
ARTHENICE.	ARTHENICE.
Ie ne puis pas le ſçauoir, Madame, ſi ie n’ay iamais appris qua vous oben.	Je ne puis pas le savoir, Madame, si ici n'ai jamais appris qua vous oben.
AMELITE.	AMELITE.
Obeïſſez moy donc, en ſuiuant le conſeil que ie vous donne:	Obéissez -moi donc, en suivant le conseil que je vous donne:
il faut eſtre Reine à quelque prix que ce loit.	il faut être Reine à quelque prix que ce loit.
vous eltes trop timide dans vn deſſein ſi glorieux.	vous éltes trop timide dans un dessein si glorieux.
A quoy vous ſert la beauté, ſi le courage vous manque?	À quoi vous sert la beauté, si le courage vous manque?
ARTHENICE.	ARTHENICE.
Et à quoy me ſert la grandeur, ſi le repos me défaut?	Et à quoi me sert la grandeur, si le repos me défaut?
AMELITE.	AMELITE.
Que vous faut-il pour eſtre heureuſe?	Que vous faut-il pour être heureuse?
ARTHENICE.	ARTHENICE.
Vne Fortune proportionnée à ma condition.	Une Fortune proportionnée à ma condition.
AMELITE.	AMELITE.
